undervisningen	lesgeven	undervisning	lesgeven	N;DEF;MASC+FEM;SG	N;NEUT;SG
undersøgt	bestudeerd	undersøge	bestuderen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
undersøgt	onderzocht	undersøge	onderzoeken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
undersøgt	onderzocht	undersøge	onderzoeken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
organiske	biologisch	organisk	biologisch	ADJ;PL	ADJ
organiske	organische	organisk	organisch	ADJ;PL	ADJ
organiske	organisch	organisk	organisch	ADJ;PL	ADJ
michelle	michelle	michel	michelen	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
signatur	handtekening	signatur	handtekening	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
signatur	ondertekening	signatur	ondertekening	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sammenlignes	vergelijkt	sammenligne	vergelijken	V;IND;PRS;FIN;PASS	V;SG;PRS;FIN
blind	blind	blind	blind	ADJ;INDF;MASC+FEM;SG	ADJ
blind	blinde	blind	blind	ADJ;INDF;MASC+FEM;SG	ADJ
blind	blinden	blind	blinden	ADJ;INDF;MASC+FEM;SG	ADJ
kavaleri	cavalerie	kavaleri	cavalerie	N;INDF;NEUT;SG	N;MASC+FEM;SG
mel	meel	mel	meel	N;INDF;MASC+FEM;SG	N;NEUT;SG
mel	bloem	mel	bloem	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mel	mel	mel	mel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opvarmning	verwarming	opvarmning	verwarming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opvarmning	opwarming	opvarmning	opwarming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opvarmning	warming	opvarmning	warming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
header	kop	heade	kop	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
header	koptekst	heade	koptekst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
header	header	heade	header	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
køb	aanschaf	køb	aanschaf	N;INDF;NEUT;SG	N;MASC+FEM;SG
køb	aankoop	køb	aankoop	N;INDF;NEUT;SG	N;MASC+FEM;SG
køb	inkoop	køb	inkoop	N;INDF;NEUT;SG	N;MASC+FEM;SG
køb	koop	køb	koop	N;INDF;NEUT;SG	N;MASC+FEM;SG
køb	aankoop	køb	aankoop	N;INDF;NEUT;SG	N;MASC+FEM;SG
walker	walker	walke	walk	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
afslørede	onthulde	afsløre	onthullen	V;IND;PST;FIN;ACT	V;SG;PST;FIN
afslørede	onthuld	afsløre	onthullen	V;IND;PST;FIN;ACT	V;V.PTCP
trio	trio	trio	trio	N;INDF;MASC+FEM;SG	N;NEUT;SG
sporten	sport	sport	sport	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
ruth	ruth	ruth	ruth	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
domstol	hof	domstol	hof	N;INDF;MASC+FEM;SG	N;NEUT;SG
leverer	bezorgen	levere	bezorgen	V;IND;PRS;FIN;ACT	V;NFIN
leverer	levert	levere	leveren	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
leverer	bezorgt	levere	bezorgen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
grænserne	grenzen	grænse	grens	N;DEF;MASC+FEM;PL	N;PL
grænserne	grenzen	grænse	grens	N;DEF;MASC+FEM;PL	N;PL
komponenter	onderdelen	komponent	onderdeel	N;INDF;MASC+FEM;PL	N;PL
komponenter	componenten	komponent	component	N;INDF;MASC+FEM;PL	N;PL
stein	stein	stein	stein	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skulptur	beeld	skulptur	beeld	N;INDF;MASC+FEM;SG	N;NEUT;SG
skulptur	beeldhouwwerk	skulptur	beeldhouwwerk	N;INDF;MASC+FEM;SG	N;NEUT;SG
skulptur	sculptuur	skulptur	sculptuur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
pearl	pearl	pearl	pearl	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
pearl	parel	pearl	parel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ordfører	rapporteur	ordfører	rapporteur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
trykte	afgedrukt	trykte	afdrukken	V;PL;PST;V.PTCP	V;V.PTCP
trykte	gedrukt	trykte	drukken	V;PL;PST;V.PTCP	V;V.PTCP
trykte	geprint	trykte	printen	V;PL;PST;V.PTCP	V;V.PTCP
trykte	bedrukt	trykte	bedrukken	V;PL;PST;V.PTCP	V;V.PTCP
faciliteter	faciliteiten	facilitet	faciliteit	N;INDF;MASC+FEM;PL	N;PL
godkendte	goedgekeurde	godkende	goedkeuren	V;PL;PST;V.PTCP	V;V.PTCP
godkendte	goedgekeurd	godkende	goedkeuren	V;PL;PST;V.PTCP	V;V.PTCP
permanente	permanente	permanent	permanent	ADJ;PL	ADJ
permanente	permanent	permanent	permanent	ADJ;PL	ADJ
winston	winston	winston	winston	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fisker	visser	fisker	visser	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fisker	visvangst	fisker	visvangst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fisker	visserij	fisker	visserij	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
dygtige	talentvol	dygtig	talentvol	ADJ;PL	ADJ
dygtige	getalenteerd	dygtig	getalenteerd	ADJ;PL	ADJ
dygtige	talentvolle	dygtig	talentvol	ADJ;PL	ADJ
dygtige	getalenteerde	dygtig	talenteren	ADJ;PL	ADJ
emmy	emmy	emmy	emmy	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
beton	beton	beton	beton	N;INDF;MASC+FEM;SG	N;NEUT;SG
mandat	mandaat	mandat	mandaat	N;INDF;NEUT;SG	N;NEUT;SG
kæde	ketting	kæde	ketting	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bureau	bureau	bureau	bureau	N;INDF;NEUT;SG	N;NEUT;SG
bureau	agentschap	bureau	agentschap	N;INDF;NEUT;SG	N;NEUT;SG
bureau	bureau	bureau	bureau	N;INDF;NEUT;SG	N;NEUT;SG
police	politie	police	politie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
rede	nest	rede	nest	N	N;NEUT;SG
rede	nestje	rede	nest	N	N;NEUT;SG
drab	doodslag	drab	doodslag	N;INDF;NEUT;SG	N;MASC+FEM;SG
drab	moord	drab	moord	N;INDF;NEUT;SG	N;MASC+FEM;SG
humor	humor	humor	humor	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
humor	humor	humor	humor	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
lufthavne	vliegvelden	lufthavne	vliegveld	N;INDF;MASC+FEM;PL	N;PL
lufthavne	luchthavens	lufthavne	luchthaven	N;INDF;MASC+FEM;PL	N;PL
afløser	vervanging	afløser	vervanging	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
afløser	vervanger	afløser	vervanger	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fuldmægtig	beheerder	fuldmægtig	beheerd	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fuldmægtig	administrateur	fuldmægtig	administrateur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nassau	nassau	nassau	nassau	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
proteiner	eiwitten	protein	eiwit	N;INDF;NEUT;PL	N;PL
proteiner	proteïnen	protein	proteïn	N;INDF;NEUT;PL	N;PL
proteiner	proteïnen	protein	proteïn	N;INDF;NEUT;PL	N;PL
proteiner	eiwitten	protein	eiwit	N;INDF;NEUT;PL	N;PL
leth	leth	leth	leth	N;INDF;NEUT;SG	N;MASC+FEM;SG
suppleret	aangevuld	supplere	aanvullen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
suppleret	aangevuld	supplere	aanvullen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
satellitter	satellieten	satellit	satelliet	N;INDF;MASC+FEM;PL	N;PL
koncentreret	geconcentreerde	koncentrere	geconcentreerd	V;INDF;SG;PST;V.PTCP	V;V.PTCP
koncentreret	geconcentreerd	koncentrere	concentreren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
koncentreret	concentreren	koncentrere	concentreren	V;INDF;SG;PST;V.PTCP	V;NFIN
påstand	claim	påstand	claim	N;INDF;MASC+FEM;SG	N;NEUT;SG
påstand	bewering	påstand	bewering	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
påstand	beschuldiging	påstand	beschuldiging	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
factor	factor	factor	factor	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
molekyler	moleculen	molekyle	molecul	N;INDF;MASC+FEM;PL	N;PL
møbler	meubels	møbel	meubel	N;INDF;NEUT;PL	N;PL
møbler	meubelen	møbel	meubelen	N;INDF;NEUT;PL	N;PL
neutrale	neutrale	neutral	neutraal	ADJ;PL	ADJ
neutrale	neutraal	neutral	neutraal	ADJ;PL	ADJ
terror	terreur	terror	terreur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
terror	verschrikking	terror	verschrikking	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
terror	terrorisme	terror	terrorisme	N;INDF;MASC+FEM;SG	N;NEUT;SG
kriminelle	misdadig	kriminel	misdadig	ADJ;PL	ADJ
forøget	toegenomen	forøge	toenemen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
forøget	verhoogd	forøge	verhogen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
forøget	verhoogde	forøge	verhogen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
regelmæssige	regelmatige	regelmæssig	regelmatig	ADJ;PL	ADJ
regelmæssige	regulier	regelmæssig	regulier	ADJ;PL	ADJ
regelmæssige	reguliere	regelmæssig	regulier	ADJ;PL	ADJ
regelmæssige	regelmatig	regelmæssig	regelmatig	ADJ;PL	ADJ
skarpe	scherp	skarp	scherp	ADJ;PL	ADJ
skarpe	scherpe	skarp	scherp	ADJ;PL	ADJ
kriminalitet	criminaliteit	kriminalitet	criminaliteit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kriminalitet	misdrijf	kriminalitet	misdrijf	N;INDF;MASC+FEM;SG	N;NEUT;SG
kriminalitet	misdaad	kriminalitet	misdaad	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kriminalitet	criminaliteit	kriminalitet	criminaliteit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
undervist	onderwezen	undervist	onderwezen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
undervist	onderwees	undervist	onderwees	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
batteri	accu	batteri	accu	N;INDF;NEUT;SG	N;MASC+FEM;SG
batteri	batterij	batteri	batterij	N;INDF;NEUT;SG	N;MASC+FEM;SG
afdelingen	departement	afdeling	departement	N;DEF;MASC+FEM;SG	N;NEUT;SG
afdelingen	afdeling	afdeling	afdeling	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
mur	prikbord	mur	prikbord	N;INDF;MASC+FEM;SG	N;NEUT;SG
mur	wand	mur	wand	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mur	muur	mur	muur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
passede	passen	passe	passen	V;IND;PST;FIN;ACT	V;NFIN
passede	verzorgde	passe	verzorgen	V;IND;PST;FIN;ACT	V;SG;PST;FIN
passede	verzorgd	passe	verzorgen	V;IND;PST;FIN;ACT	V;V.PTCP
forberede	bereiden	forbere	bereiden	V;NFIN;ACT	V;NFIN
forberede	voorbereiden	forbere	voorbereiden	V;NFIN;ACT	V;NFIN
richmond	richmond	richmond	richmond	N;INDF;NEUT;SG	N;NEUT;SG
illustrationer	illustraties	illustration	illustratie	N;INDF;MASC+FEM;PL	N;PL
skandinavisk	scandinavische	skandinavisk	scandinavisch	ADJ;INDF;SG	ADJ
brugerne	gebruikers	bruger	gebruiker	N;DEF;MASC+FEM;PL	N;PL
sct	sct	sct	sct	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
tjenester	diensten	tjenester	dienst	N;INDF;MASC+FEM;PL	N;PL
templet	tempel	temple	tempel	N;DEF;NEUT;SG	N;MASC+FEM;SG
håbet	hoop	håb	hoop	N;DEF;NEUT;SG	N;MASC+FEM;SG
håbet	hope	håb	hope	N;DEF;NEUT;SG	N;MASC+FEM;SG
indlagt	ingelegd	indlægge	inleggen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indlagt	toegelaten	indlægge	toelaten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indlagt	toegegeven	indlægge	toegeven	V;INDF;SG;PST;V.PTCP	V;V.PTCP
reform	hervorming	reform	hervorming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
reform	hervorming	reform	hervorming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
missioner	missies	mission	missie	N;INDF;MASC+FEM;PL	N;PL
tidsrum	tijdvak	tidsrum	tijdvak	N;INDF;NEUT;SG	N;NEUT;SG
tidsrum	periode	tidsrum	periode	N;INDF;NEUT;SG	N;MASC+FEM;SG
psykisk	psychologische	psykisk	psychologisch	ADJ;INDF;SG	ADJ
psykisk	psychologisch	psykisk	psychologisch	ADJ;INDF;SG	ADJ
psykisk	paranormaal	psykisk	paranormaal	ADJ;INDF;SG	ADJ
psykisk	psychische	psykisk	psychisch	ADJ;INDF;SG	ADJ
psykisk	psychiatrisch	psykisk	psychiatrisch	ADJ;INDF;SG	ADJ
psykisk	psychiatrische	psykisk	psychiatrisch	ADJ;INDF;SG	ADJ
psykisk	mentaal	psykisk	mentaal	ADJ;INDF;SG	ADJ
psykisk	mentale	psykisk	mentale	ADJ;INDF;SG	ADJ
psykisk	geestelijk	psykisk	geestelijk	ADJ;INDF;SG	ADJ
psykisk	geestelijke	psykisk	geestelijke	ADJ;INDF;SG	ADJ
psykisk	mentaal	psykisk	mentaal	ADJ;INDF;SG	ADJ
psykisk	geestelijk	psykisk	geestelijk	ADJ;INDF;SG	ADJ
beskadiget	beschadigd	beskadige	beschadigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
beskadiget	beschadigde	beskadige	beschadigen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
rudolph	rudolph	rudolph	rudolph	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
rudolph	rudolf	rudolph	rudolf	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
modtagelse	ontvangst	modtagelse	ontvangst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
modtagelse	kwitantie	modtagelse	kwitantie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
modtagelse	ontvangstbewijs	modtagelse	ontvangstbewijs	N;INDF;MASC+FEM;SG	N;NEUT;SG
modtagelse	receptie	modtagelse	receptie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
modtagelse	ontvangst	modtagelse	ontvangst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
stribe	streep	stribe	streep	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
support	ondersteuning	support	ondersteuning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
support	steun	support	steun	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
support	support	support	support	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sandhed	waarheid	sandhed	waarheid	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hævet	opgegroeid	hæve	opgroeien	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hævet	getogen	hæve	tijgen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hævet	opgevoed	hæve	opvoeden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hævet	gezwollen	hæve	zwellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hævet	opgezwollen	hæve	opzwellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
manuelt	handmatige	manuel	handmatig	ADJ;INDF;SG	ADJ
manuelt	manueel	manuel	manueel	ADJ;INDF;SG	ADJ
manuelt	handmatig	manuel	handmatig	ADJ;INDF;SG	ADJ
manuelt	manueel	manuel	manueel	ADJ;INDF;SG	ADJ
manuelt	handmatig	manuel	handmatig	ADJ;INDF;SG	ADJ
præstation	prestatie	præstation	prestatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
præstation	prestatie	præstation	prestatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
atmosfæren	sfeer	atmosfær	sfeer	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
atmosfæren	atmosfeer	atmosfær	atmosfeer	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
atmosfæren	dampkring	atmosfær	dampkring	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
eksistere	besta	eksistere	besta	V;NFIN;ACT	V;SG;PRS;FIN
eksistere	bestaan	eksistere	bestaan	V;NFIN;ACT	V;NFIN
eksistere	bestaat	eksistere	bestaan	V;NFIN;ACT	V;SG;PRS;FIN
betragtede	beschouwd	betragte	beschouwen	V;IND;PST;FIN;ACT	V;V.PTCP
betragtede	overwogen	betragte	overwegen	V;IND;PST;FIN;ACT	V;V.PTCP
racer	rassen	race	ras	N;INDF;MASC+FEM;PL	N;PL
racer	races	race	race	N;INDF;MASC+FEM;PL	N;PL
racer	rassen	race	ras	N;INDF;MASC+FEM;PL	N;PL
boksning	boks	boksning	boks	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forestilling	schouwspel	forestilling	schouwspel	N;INDF;MASC+FEM;SG	N;NEUT;SG
forestilling	spektakel	forestilling	spektakel	N;INDF;MASC+FEM;SG	N;NEUT;SG
specialiseret	gespecialiseerd	specialisere	gespecialiseerd	V;INDF;SG;PST;V.PTCP	V;V.PTCP
specialiseret	gespecialiseerd	specialisere	gespecialiseerd	V;INDF;SG;PST;V.PTCP	V;V.PTCP
cameron	cameron	cameron	cameron	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
holberg	holberg	holberg	holberg	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bjerre	bjerre	bjerre	bjerren	N;INDF;NEUT;SG	N;MASC+FEM;SG
fastholdt	onderhouden	fastholde	onderhouden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
badminton	badminton	badminton	badminton	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
størrelser	maten	størrelse	maten	N;INDF;MASC+FEM;PL	N;PL
øre	oor	øre	oor	N;INDF;MASC+FEM;SG	N;NEUT;SG
katalog	catalogus	katalog	catalogus	N;INDF;NEUT;SG	N;MASC+FEM;SG
katalog	catalogus	katalog	catalogus	N;INDF;NEUT;SG	N;MASC+FEM;SG
shakespeare	shakespeare	shakespeare	shakespeaar	N;INDF;NEUT;SG	N;MASC+FEM;SG
schwerin	schwerin	schwerin	schwerin	N;INDF;MASC+FEM;SG	N;NEUT;SG
rapporterede	gerapporteerde	rapportere	rapporteren	V;IND;PST;FIN;ACT	V;V.PTCP
rapporterede	gemeld	rapportere	melden	V;IND;PST;FIN;ACT	V;V.PTCP
rapporterede	gerapporteerd	rapportere	rapporteren	V;IND;PST;FIN;ACT	V;V.PTCP
løvfældende	bladverliezende	løvfældende	bladverliezend	ADJ	ADJ
studentereksamen	baccalaureaat	studentereksame	baccalaureaat	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
susan	susan	susan	susan	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
karsten	karsten	karsten	karsten	N;DEF;MASC+FEM;SG	N;SG
klassificeret	ingedeeld	klassificere	indelen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
klassificeret	geklasseerd	klassificere	klasseren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
klassificeret	geclassificeerd	klassificere	classificeren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sædvanlige	gebruikelijke	sædvanlig	gebruikelijk	ADJ;PL	ADJ
sædvanlige	gebruikelijk	sædvanlig	gebruikelijk	ADJ;PL	ADJ
produktet	product	produkt	product	N;DEF;NEUT;SG	N;NEUT;SG
produktet	produkt	produkt	produkken	N;DEF;NEUT;SG	N;NEUT;SG
taber	verliezen	tabe	verliezen	V;IND;PRS;FIN;ACT	V;NFIN
broadway	broadway	broadway	broadway	N;INDF;MASC+FEM;SG	N;NEUT;SG
tropiske	tropisch	tropisk	tropisch	ADJ;PL	ADJ
tropiske	tropische	tropisk	tropisch	ADJ;PL	ADJ
indstilling	optie	indstilling	optie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
indstilling	attitude	indstilling	attitude	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
indstilling	houding	indstilling	houding	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
indstilling	configuratie	indstilling	configuratie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
lød	klonken	lyde	klinken	V;IND;PST;FIN;ACT	V;PL;PST;FIN
lød	klonk	lyde	klinken	V;IND;PST;FIN;ACT	V;SG;PST;FIN
busk	busk	busk	busk	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
busk	struik	busk	struik	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
busk	bush	busk	bush	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
busk	bosje	busk	bos	N;INDF;MASC+FEM;SG	N;NEUT;SG
busk	struik	busk	struik	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
rapporter	rapporten	rapport	rapport	N;INDF;MASC+FEM;PL	N;PL
rapporter	verslagen	rapport	verslag	N;INDF;MASC+FEM;PL	N;PL
kompleks	complexe	kompleks	complex	ADJ;INDF;SG	ADJ
kompleks	ingewikkeld	kompleks	ingewikkeld	ADJ;INDF;SG	ADJ
fænomener	fenomenen	fænomene	fenomenen	N;INDF;NEUT;PL	N;PL
fænomener	verschijnselen	fænomene	verschijnselen	N;INDF;NEUT;PL	N;PL
koncept	concept	koncept	concept	N;INDF;NEUT;SG	N;NEUT;SG
wallace	wallace	wallace	wallace	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
redigere	bewerk	redig	bewerk	V;NFIN;ACT	V;SG;PRS;FIN
redigere	bewerken	redig	bewerken	V;NFIN;ACT	V;NFIN
eksport	uitvoer	eksport	uitvoer	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
eksport	export	eksport	export	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
eksport	uitvoer	eksport	uitvoer	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
eksport	export	eksport	export	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
lært	geleerd	lære	leren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
lært	leerde	lære	leren	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
lært	onderwezen	lære	onderwezen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
lært	onderwees	lære	onderwees	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
lært	geleerd	lære	leren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
elite	elite	elite	elite	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nedsatte	verlaagd	nedsat	verlagen	V;PL;PST;V.PTCP	V;V.PTCP
nedsatte	verminderd	nedsat	verminderen	V;PL;PST;V.PTCP	V;V.PTCP
nedsatte	gereduceerd	nedsat	reduceren	V;PL;PST;V.PTCP	V;V.PTCP
spurgte	vroegen	spørge	vraag	V;IND;PST;FIN;ACT	V;PL;PST;FIN
spurgte	gevraagd	spørge	vraag	V;IND;PST;FIN;ACT	V;V.PTCP
ment	betekende	mene	betekenen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
ment	bedoeld	mene	bedoelen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ment	bedoelde	mene	bedoelen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
jules	jules	jules	jules	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
symboliserer	symboliseert	symbolisere	symboliseren	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
symboliserer	symboliseert	symbolisere	symboliseren	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
bloch	bloch	bloch	bloeh	N;INDF;NEUT;SG	N;MASC+FEM;SG
legendariske	legendarische	legendarisk	legendarisch	ADJ;PL	ADJ
legendariske	legendarisch	legendarisk	legendarisch	ADJ;PL	ADJ
udtrykker	uitdrukt	udtrykke	uitdrukken	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
udtrykker	uitdrukken	udtrykke	uitdrukken	V;IND;PRS;FIN;ACT	V;NFIN
udtrykker	uiten	udtrykke	uiten	V;IND;PRS;FIN;ACT	V;NFIN
polo	polo	polo	polo	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
frugter	vruchten	frugte	vrucht	N;INDF;MASC+FEM;PL	N;PL
frugter	vruchten	frugte	vrucht	N;INDF;MASC+FEM;PL	N;PL
bifloder	zijrivieren	biflode	zijrivier	N;INDF;MASC+FEM;PL	N;PL
hood	kap	hood	kap	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hood	motorkap	hood	motorkap	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hood	hood	hood	hood	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hood	capuchon	hood	capuchon	N;INDF;MASC+FEM;SG	N;NEUT;SG
tobias	tobias	tobias	tobias	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
indvandrere	migranten	indvandrer	migrant	N;INDF;MASC+FEM;PL	N;PL
indvandrere	immigranten	indvandrer	immigrant	N;INDF;MASC+FEM;PL	N;PL
indvandrere	migranten	indvandrer	migrant	N;INDF;MASC+FEM;PL	N;PL
indvandrere	immigranten	indvandrer	immigrant	N;INDF;MASC+FEM;PL	N;PL
arbejdspladser	jobs	arbejdsplads	job	N;INDF;MASC+FEM;PL	N;PL
arbejdspladser	vacatures	arbejdsplads	vacature	N;INDF;MASC+FEM;PL	N;PL
arbejdspladser	banen	arbejdsplads	baan	N;INDF;MASC+FEM;PL	N;PL
arbejdspladser	werkplekken	arbejdsplads	werkplek	N;INDF;MASC+FEM;PL	N;PL
arbejdspladser	arbeidsplaatsen	arbejdsplads	arbeidsplaats	N;INDF;MASC+FEM;PL	N;PL
anklager	beschuldigingen	anklage	beschuldiging	N;INDF;MASC+FEM;PL	N;PL
konsulent	adviseur	konsulent	adviseur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konsulent	consulent	konsulent	consulent	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konsulent	consultant	konsulent	consultant	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konsulent	adviseur	konsulent	adviseur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konsulent	raadadviseur	konsulent	raadadviseur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skribent	schrijver	skribent	schrijver	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skribent	schrijfster	skribent	schrijfster	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
saturn	saturn	saturn	saturn	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
saturn	saturnus	saturn	saturnus	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forklarede	toegelicht	forklare	toelichten	V;IND;PST;FIN;ACT	V;V.PTCP
forklarede	uitgelegd	forklare	uitleggen	V;IND;PST;FIN;ACT	V;V.PTCP
samtale	conversatie	samtale	conversatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
