die	the	die	the	DET;DEF	DET;DEF
liberale	liberal	liberaal	liberal	ADJ;NOM	ADJ
onderwyser	teacher	onderwyser	teacher	N;SG	N;SG
skilderye	paintings	skilderye	painting	N;PL	N;PL
gelaat	left	gelaat	leave	V;PST;V.PTCP	V;PST;V.PTCP
orrel	organ	orrel	organ	N;SG	N;SG
organisasies	organizations	organisasie	organization	N;PL	N;PL
weergawes	versions	weergawe	version	N;PL	N;PL
distrikte	districts	distrik	district	N;PL	N;PL
beskrywing	superscript	beskrywing	superscript	N;SG	N;SG
onthou	remember	onthou	remember	V;PRS	V;IMP;FIN
goedere	goods	goed	goods	N;PL	N;PL
vriend	friend	vriend	friend	N;SG	N;SG
unieke	unique	uniek	unique	ADJ;NOM	ADJ
aand	evening	aand	evening	N;SG	N;SG
aand	night	aand	night	N;SG	N;SG
hanteer	handle	hanteer	handle	V;PRS	V;IMP;FIN
situasie	situation	situasie	situation	N;SG	N;SG
direkteur	director	direkteur	director	N;SG	N;SG
opvoeding	education	opvoeding	education	N;SG	N;SG
onttrek	unsubscribe	onttrek	unsubscribe	V;PRS	V;IMP;FIN
siektes	diseases	siekte	disease	N;PL	N;PL
wyn	wine	wyn	wine	N;SG	N;SG
stukke	pieces	stuk	piece	N;PL	N;PL
gewys	showed	wys	show	V;PST;V.PTCP	V;IND;PST;FIN
gewys	show	wys	show	V;PST;V.PTCP	V;IMP;FIN
toestemming	consent	toestemming	consent	N;SG	N;SG
toestemming	permission	toestemming	permission	N;SG	N;SG
praktyk	practice	praktyk	practice	N;SG	N;SG
wapens	weapons	wapens	weapon	N;PL	N;PL
wapens	badges	wapens	badge	N;PL	N;PL
moord	murder	moord	murder	N;SG	N;SG
gedeeltelik	partially	gedeeltelik	partially	ADV	ADV
gevier	celebrated	vier	celebrate	V;PST;V.PTCP	V;PST;V.PTCP
leeftyd	lifetime	leeftyd	lifetime	N;SG	N;SG
verval	expires	verval	expire	V;PRS	V;IND;SG;3;PRS;FIN
rekenaar	computer	rekenaar	computer	N;SG	N;SG
eienaar	owner	eienaar	owner	N;SG	N;SG
veranderinge	modifications	verandering	modification	N;PL	N;PL
maatskappye	companies	maatskappy	company	N;PL	N;PL
mening	opinion	mening	opinion	N;SG	N;SG
landelike	rural	landelik	rural	ADJ;NOM	ADJ
tekens	tokens	tekens	token	N;PL	N;PL
tekens	signs	tekens	sign	N;PL	N;PL
dialek	dialect	dialek	dialect	N;SG	N;SG
vinnige	fast	vinnig	fast	ADJ;NOM	ADJ
romeine	romans	romeine	roman	N;PL	N;PL
waardes	tables	waarde	table	N;PL	N;PL
waardes	values	waarde	value	N;PL	N;PL
behandeling	treatment	behandeling	treatment	N;SG	N;SG
uitspraak	pronunciation	uitspraak	pronunciation	N;SG	N;SG
kode	code	kode	code	N;SG	N;SG
negatiewe	negative	negatief	negative	ADJ;NOM	ADJ
beker	cup	beker	cup	N;SG	N;SG
sterrestelsels	galaxies	sterrestelsel	galaxy	N;PL	N;PL
spelling	spelling	spelling	spelling	N;SG	N;SG
spelling	splitting	spelling	split	N;SG	N;SG
prente	images	prent	image	N;PL	N;PL
prente	pictures	prent	picture	N;PL	N;PL
aangekom	arrived	aankom	arrive	V;PST;V.PTCP	V;IND;PST;FIN
argeologiese	archaeological	argeologies	archaeological	ADJ;NOM	ADJ
skuld	debt	skuld	debt	N;SG	N;SG
skuld	guilt	skuld	guilt	N;SG	N;SG
skuld	shield	skuld	shield	N;SG	N;SG
parameters	parameters	parameter	parameter	N;PL	N;PL
gereelde	regular	gereeld	regular	ADJ;NOM	ADJ
aksie	execution	aksie	execution	N;SG	N;SG
suurstof	oxygen	suurstof	oxygen	N;SG	N;SG
werkers	workers	werker	worker	N;PL	N;PL
tradisies	traditions	tradisie	tradition	N;PL	N;PL
wenner	winner	wenner	winner	N;SG	N;SG
kenmerke	features	kenmerk	feature	N;PL	N;PL
variant	variant	variant	variant	N;SG	N;SG
beskawing	civilization	beskawing	civilization	N;SG	N;SG
wenners	winners	wenners	winner	N;PL	N;PL
verlies	loss	verlies	loss	N;SG	N;SG
vlaandere	flanders	vlaander	flander	N;PL	N;PL
projekte	projects	projek	project	N;PL	N;PL
universiteite	universities	universiteit	university	N;PL	N;PL
testament	testament	testament	testament	N;SG	N;SG
rang	rank	rang	rank	N;SG	N;SG
bygewoon	attended	bywoon	attend	V;PST;V.PTCP	V;PST;V.PTCP
bygewoon	attend	bywoon	attend	V;PST;V.PTCP	V;IMP;FIN
sangeres	singer	sangere	singer	N;SG	N;SG
presiese	precise	presies	precise	ADJ;NOM	ADJ
presiese	exact	presies	exact	ADJ;NOM	ADJ
pragtige	gorgeous	pragtig	gorgeous	ADJ;NOM	ADJ
rock	rock	rock	rock	N;SG	N;SG
paaie	roads	paaie	road	N;PL	N;PL
paaie	paths	paaie	path	N;PL	N;PL
kommentaar	function	kommentaar	function	N;SG	N;SG
kommentaar	comment	kommentaar	comment	N;SG	N;SG
kommentaar	command	kommentaar	command	N;SG	N;SG
leeu	lion	leeu	lion	N;SG	N;SG
insekte	insects	insek	insect	N;PL	N;PL
vuur	fire	vuur	fire	N;SG	N;SG
gevolge	consequences	gevolg	consequence	N;PL	N;PL
gemeet	measured	meet	measure	V;PST;V.PTCP	V;PST;V.PTCP
storie	reel	storie	reel	N;SG	N;SG
alternatiewe	alternate	alternatief	alternate	ADJ;NOM	ADJ
vleis	meat	vleis	meat	N;SG	N;SG
kere	times	kere	time	N;PL	N;PL
aangehou	detained	aanhou	detain	V;PST;V.PTCP	V;PST;V.PTCP
toernooi	tournament	toernooi	tournament	N;SG	N;SG
waterstof	hydrogen	waterstof	hydrogen	N;SG	N;SG
landskap	landscape	landskap	landscape	N;SG	N;SG
owerhede	authorities	owerheid	authority	N;PL	N;PL
wag	wait	wag	wait	V;PRS	V;IMP;FIN
ingang	entrance	ingang	entrance	N;SG	N;SG
skaal	scale	skaal	scale	N;SG	N;SG
gesig	face	gesig	face	N;SG	N;SG
eenvoudig	simply	eenvoudig	simply	ADV	ADV
seksuele	sexual	seksueel	sexual	ADJ;NOM	ADJ
simbole	symbols	simbool	symbol	N;PL	N;PL
metaal	metal	metaal	metal	N;SG	N;SG
wyfie	female	wyfie	female	N;SG	N;SG
natalse	swamp	natals	swamp	N;SG	N;SG
positiewe	positive	positief	positive	ADJ;NOM	ADJ
gehelp	helped	help	help	V;PST;V.PTCP	V;IND;PST;FIN
kante	sides	kant	side	N;PL	N;PL
wilde	wild	wild	wild	ADJ;NOM	ADJ
organismes	organisms	organisme	organisms	N;PL	N;PL
asiatiese	asian	asiaties	asian	ADJ;NOM	ADJ
weerstand	resistance	weerstand	resistance	N;SG	N;SG
premier	premier	premier	premier	N;SG	N;SG
uitgeoefen	exercised	uithefen	exercise	V;PST;V.PTCP	V;PST;V.PTCP
gebruike	conventions	gebruik	convention	N;PL	N;PL
musikant	musician	musikant	musician	N;SG	N;SG
voorstede	suburbs	voorstede	suburb	N;PL	N;PL
logo	logo	logo	logo	N;SG	N;SG
teenwoordigheid	presence	teenwoordigheid	presence	N;SG	N;SG
bedrag	amount	bedrag	amount	N;SG	N;SG
gesamentlike	joint	gesamentlik	joint	ADJ;NOM	ADJ
samesmelting	merger	samesmelting	merger	N;SG	N;SG
metodes	methods	metode	method	N;PL	N;PL
poësie	poetry	poësie	poetry	N;SG	N;SG
toerisme	tourism	toerisme	tourism	N;SG	N;SG
waarheid	truth	waarheid	truth	N;SG	N;SG
mengsel	mixture	mengsel	mixture	N;SG	N;SG
katte	cats	kat	cat	N;PL	N;PL
uitvoer	execute	uitvoer	execute	V;PRS	V;IMP;FIN
mure	walls	muur	wall	N;PL	N;PL
geëindig	ended	geëindig	end	V;PST;V.PTCP	V;IND;PST;FIN
student	student	student	student	N;SG	N;SG
maniere	ways	manier	way	N;PL	N;PL
maniere	manners	manier	manners	N;PL	N;PL
geweld	violence	geweld	violence	N;SG	N;SG
ure	hours	uut	hour	N;PL	N;PL
spanning	voltage	spanning	voltage	N;SG	N;SG
slaag	succeed	slaag	succeed	V;PRS	V;IMP;FIN
spoorweë	railroads	spoorweë	railroad	N;PL	N;PL
armeense	armenian	armeens	armenian	ADJ;NOM	ADJ
senior	senior	senior	senior	ADJ;NOM	ADJ
klasse	classes	klas	class	N;PL	N;PL
wetgewing	legislation	wetgewing	legislation	N;SG	N;SG
kommunikasie	communication	kommunikasie	communication	N;SG	N;SG
grade	degrees	graad	degree	N;PL	N;PL
ooreenkomste	agreements	ooreenkomste	agreement	N;PL	N;PL
outeur	writer	outeur	writer	N;SG	N;SG
outeur	hathor	outeur	hathor	N;SG	N;SG
outeur	author	outeur	author	N;SG	N;SG
voorsiening	provision	voorsiening	provision	N;SG	N;SG
formele	formal	formeel	formal	ADJ;NOM	ADJ
niemand	nobody	niemand	nobody	PRO	PRO;SG
lied	song	lied	song	N;SG	N;SG
families	families	families	family	N;PL	N;PL
medium	medium	medium	medium	N;SG	N;SG
faktore	factors	faktor	factor	N;PL	N;PL
kiesers	voters	kieser	voter	N;PL	N;PL
selde	rarely	selde	rarely	ADV	ADV
konserwatiewe	conservative	konserwatief	conservative	ADJ;NOM	ADJ
hulpbronne	resources	hulpbron	resource	N;PL	N;PL
vermy	avoid	vermy	avoid	V;PRS	V;IMP;FIN
aspekte	aspects	aspek	aspect	N;PL	N;PL
benadering	approximation	benadering	approximation	N;SG	N;SG
benadering	approach	benadering	approach	N;SG	N;SG
vasgestel	established	vasstel	establish	V;PST;V.PTCP	V;PST;V.PTCP
genera	genera	genera	genera	N;PL	N;PL
skei	split	skei	split	V;PRS	V;V.PTCP
eiendom	property	eiendom	property	N;SG	N;SG
honderde	hundreds	hond	hundred	N;PL	N;PL
susters	sisters	susters	sister	N;PL	N;PL
versamel	collect	versamel	collect	V;PRS	V;IMP;FIN
teorieë	theories	teorieë	theory	N;PL	N;PL
slagoffers	victims	slagoffer	victim	N;PL	N;PL
nuus	news	nuus	news	N;SG	N;SG
gehuisves	housed	gehuisve	house	V;PST;V.PTCP	V;PST;V.PTCP
bane	circuits	bane	circuit	N;PL	N;PL
gestaak	stopped	staak	stop	V;PST;V.PTCP	V;PST;FIN
gestaak	aborted	staak	abort	V;PST;V.PTCP	V;PST;V.PTCP
aangekoop	purchased	aankoop	purchase	V;PST;V.PTCP	V;PST;V.PTCP
aanhangers	fans	aanhanger	fan	N;PL	N;PL
arbeid	labour	arbeid	labour	N;SG	N;SG
arbeid	labor	arbeid	labor	N;SG	N;SG
briewe	letters	brief	letter	N;PL	N;PL
prestasie	performance	prestasie	performance	N;SG	N;SG
strepe	stripes	strepe	stripe	N;PL	N;PL
verdediging	defense	verdediging	defense	N;SG	N;SG
verdediging	defence	verdediging	defence	N;SG	N;SG
sand	sand	sand	sand	N;SG	N;SG
brasiliaanse	brazilian	brasiliaans	brazilian	ADJ;NOM	ADJ
ontsnap	escape	ontsnap	escape	V;PRS	V;IMP;FIN
poort	port	poort	port	N;SG	N;SG
koerante	newspapers	koerant	newspaper	N;PL	N;PL
normale	normal	normaal	normal	ADJ;NOM	ADJ
stories	stories	stories	story	N;PL	N;PL
vel	skin	vel	skin	N;SG	N;SG
glas	glass	glas	glass	N;SG	N;SG
toegeskryf	assigned	toeskryf	assign	V;PST;V.PTCP	V;PST;V.PTCP
betrekkinge	relations	betrekking	relation	N;PL	N;PL
gotiese	gothic	goties	gothic	ADJ;NOM	ADJ
onderhoud	maintenance	onderhoud	maintenance	N;SG	N;SG
lewens	lives	lewe	life	N;PL	N;PL
verklaring	declaration	verklaring	declaration	N;SG	N;SG
impak	impact	impak	impact	N;SG	N;SG
sekondêre	secondary	sekondêr	secondary	ADJ;NOM	ADJ
komedie	comedy	komedie	comedy	N;SG	N;SG
optree	acting	optree	act	V;PRS	V;V.MSDR
moontlikheid	possibility	moontlikheid	possibility	N;SG	N;SG
gewapende	armed	gewaap	armed	ADJ;NOM	ADJ
gewapende	armored	gewaap	armored	ADJ;NOM	ADJ
harde	hard	hard	hard	ADJ;NOM	ADJ
snelheid	velocity	snelheid	velocity	N;SG	N;SG
protestantse	protestant	protestants	protestant	ADJ;NOM	ADJ
biografie	bio	biografie	bio	N;SG	N;SG
biografie	biography	biografie	biography	N;SG	N;SG
produseer	produces	produseer	produce	V;PRS	V;IND;SG;3;PRS;FIN
satelliet	satellite	satelliet	satellite	N;SG	N;SG
onderwysers	teachers	onderwyser	teacher	N;PL	N;PL
onderwysers	educators	onderwyser	educator	N;PL	N;PL
modelle	models	modelle	model	N;PL	N;PL
syfers	digits	syfers	digit	N;PL	N;PL
persentasie	percentage	persentasie	percentage	N;SG	N;SG
afgevaardigdes	delegates	afvaardigde	delegate	N;PL	N;PL
vergader	gather	vergader	gather	V;PRS	V;IMP;FIN
bykomende	additional	bykom	additional	ADJ;NOM	ADJ
toetse	tests	toets	test	N;PL	N;PL
rots	material	rots	material	N;SG	N;SG
vereeniging	vereeniging	vereeniging	vereenige	N;SG	N;SG
ingenieur	engineer	ingenieur	engineer	N;SG	N;SG
konteks	context	konteks	context	N;SG	N;SG
aftrede	retirement	aftrede	retirement	N;SG	N;SG
liedjies	songs	liedjies	song	N;PL	N;PL
gesteun	supported	steun	support	V;PST;V.PTCP	V;PST;V.PTCP
geologiese	geologic	geologies	geologic	ADJ;NOM	ADJ
beginsels	principles	beginsel	principle	N;PL	N;PL
dokter	doctor	dokter	doctor	N;SG	N;SG
tydelike	temporary	tydelik	temporary	ADJ;NOM	ADJ
kapasiteit	capacity	kapasiteit	capacity	N;SG	N;SG
vorms	shapes	vorm	shape	N;PL	N;PL
vorms	forms	vorm	form	N;PL	N;PL
opposisie	opposition	opposisie	opposition	N;SG	N;SG
bespreking	reservation	bespreking	reservation	N;SG	N;SG
bespreking	discussion	bespreking	discussion	N;SG	N;SG
operasie	operation	operasie	operation	N;SG	N;SG
teologie	theology	teologie	theology	N;SG	N;SG
nodige	necessary	nodig	necessary	ADJ;NOM	ADJ
gras	grass	gras	grass	N;SG	N;SG
gedeel	shared	deel	share	V;PST;V.PTCP	V;PST;V.PTCP
blankes	whites	blankes	white	N;PL	N;PL
elektrisiteit	electricity	elektrisiteit	electricity	N;SG	N;SG
elektrisiteit	power	elektrisiteit	power	N;SG	N;SG
verowering	conquest	verowering	conquest	N;SG	N;SG
gelaai	loaded	laai	load	V;PST;V.PTCP	V;PST;V.PTCP
verteenwoordigers	representatives	verteenwoordiger	representative	N;PL	N;PL
deeltjies	particles	deeltjiie	particle	N;PL	N;PL
lok	attract	lok	attract	V;PRS	V;IMP;FIN
omskep	convert	omskep	convert	V;PRS	V;IMP;FIN
gehalte	quality	gehalte	quality	N;SG	N;SG
strate	streets	straat	street	N;PL	N;PL
horisontale	horizontal	horisontaal	horizontal	ADJ;NOM	ADJ
witwatersrand	witwatersrand	witwatersrand	witwatersrand	N;SG	N;SG
ondersteuners	supporters	ondersteuner	supporter	N;PL	N;PL
herbou	rebuild	herbou	rebuild	V;PRS	V;IMP;FIN
gerig	directed	rig	direct	V;PST;V.PTCP	V;PST;V.PTCP
banke	banks	banke	bank	N;PL	N;PL
kampioen	champion	kampioen	champion	N;SG	N;SG
gevlug	skipped	gevlug	skip	V;PST;V.PTCP	V;PST;V.PTCP
rekenaars	computers	rekenaar	computer	N;PL	N;PL
mannetjie	male	mannetjie	male	N;SG	N;SG
jeug	youth	jeug	youth	N;SG	N;SG
chemie	chemistry	chemie	chemistry	N;SG	N;SG
dokument	document	dokument	document	N;SG	N;SG
belasting	tax	belasting	tax	N;SG	N;SG
vang	capture	vang	capture	V;PRS	V;IMP;FIN
resultate	results	resultate	result	N;PL	N;PL
volgorde	order	volgorde	order	N;SG	N;SG
tuine	gardens	tuine	garden	N;PL	N;PL
vuurtoring	lighthouse	vuurtoring	lighthouse	N;SG	N;SG
koper	buyer	koper	buyer	N;SG	N;SG
koper	copper	koper	copper	N;SG	N;SG
kandidate	candidates	kandidaat	candidate	N;PL	N;PL
komponente	components	komponent	component	N;PL	N;PL
toneelstuk	play	toneelstuk	play	N;SG	N;SG
romans	novels	romans	novel	N;PL	N;PL
tydskrifte	magazines	tydskrif	magazine	N;PL	N;PL
kulture	cultures	kultuur	culture	N;PL	N;PL
geregistreer	registered	registreer	register	V;PST;V.PTCP	V;PST;V.PTCP
geregistreer	subscribed	registreer	subscribe	V;PST;V.PTCP	V;PST;V.PTCP
geleer	learned	leer	learn	V;PST;V.PTCP	V;PST;V.PTCP
geleer	learnt	leer	learn	V;PST;V.PTCP	V;PST;FIN
ras	race	ras	race	N;SG	N;SG
dollar	dollar	dollar	dollar	N;SG	N;SG
rotse	rocks	rots	rock	N;PL	N;PL
monargie	monarchy	monargie	monarchy	N;SG	N;SG
monargie	oligarchy	monargie	oligarchy	N;SG	N;SG
verbindings	connections	verbinding	connection	N;PL	N;PL
besetting	lineup	besetting	lineup	N;SG	N;SG
besetting	occupation	besetting	occupation	N;SG	N;SG
geloop	walked	geloop	walk	V;PST;V.PTCP	V;IND;PST;FIN
geloop	launched	geloop	launch	V;PST;V.PTCP	V;PST;V.PTCP
crusaders	crusaders	crusader	crusader	N;PL	N;PL
romantiese	romantic	romanties	romantic	ADJ;NOM	ADJ
handhaaf	maintain	handhaaf	maintain	V;PRS	V;IMP;FIN
personeel	staff	personeel	staff	N;SG	N;SG
take	tasks	taak	task	N;PL	N;PL
veroordeel	condemn	veroordeel	condemn	V;PRS	V;IMP;FIN
navorsers	researchers	navorser	researcher	N;PL	N;PL
oorsaak	cause	oorsaak	cause	N;SG	N;SG
administrateur	administrator	administrateur	administrator	N;SG	N;SG
aanvanklike	initial	aanvanklik	initial	ADJ;NOM	ADJ
krisis	crisis	krisis	crisis	N;SG	N;SG
geroep	called	roep	call	V;PST;V.PTCP	V;PST;V.PTCP
skepping	creation	skepping	creation	N;SG	N;SG
stowwe	substances	stof	substance	N;PL	N;PL
vyftig	fifty	vyftig	fifty	NUM	NUM
minerale	minerals	mineraal	mineral	N;PL	N;PL
toegerus	equipped	toerus	equip	V;PST;V.PTCP	V;PST;V.PTCP
deelname	participation	deelname	participation	N;SG	N;SG
perde	horses	perd	horse	N;PL	N;PL
kantoor	office	kantoor	office	N;SG	N;SG
getuig	testify	tuig	testify	V;PST;V.PTCP	V;IMP;FIN
uitgesaai	broadcast	uitsaai	broadcast	V;PST;V.PTCP	V;PST;V.PTCP
brandstof	fuel	brandstof	fuel	N;SG	N;SG
aangrensende	adjacent	aangrens	adjacent	ADJ;NOM	ADJ
gelees	read	gelees	read	V;PST;V.PTCP	V;IMP;FIN
sitplekke	seats	sitplek	seat	N;PL	N;PL
individue	individuals	individu	individual	N;PL	N;PL
religieuse	religious	religieus	religious	ADJ;NOM	ADJ
veg	fight	veg	fight	V;PRS	V;IMP;FIN
aansoek	application	aansoek	application	N;SG	N;SG
opera	opera	opera	opera	N;SG	N;SG
figure	figures	figure	figure	N;PL	N;PL
toegestaan	granted	toestaan	grant	V;PST;V.PTCP	V;PST;V.PTCP
identiteit	identity	identiteit	identity	N;SG	N;SG
steenkool	coal	steenkool	coal	N;SG	N;SG
geskuif	moved	skuif	move	V;PST;V.PTCP	V;PST;V.PTCP
stat	stat	stat	stat	N;SG	N;SG
verdedig	defend	verdedig	defend	V;PRS	V;IMP;FIN
swaartekrag	gravity	swaartekrag	gravity	N;SG	N;SG
alliansie	alliance	alliansie	alliance	N;SG	N;SG
instrumente	instruments	instrument	instrument	N;PL	N;PL
klere	clothing	klere	clothing	N;SG	N;SG
behartig	regulate	behartig	regulate	V;PRS	V;IMP;FIN
besluite	decisions	besluit	decision	N;PL	N;PL
materie	matter	materie	matter	N;SG	N;SG
geskikte	appropriate	geskik	appropriate	ADJ;NOM	ADJ
kuslyn	coast	kuslyn	coast	N;SG	N;SG
regerings	governments	regering	government	N;PL	N;PL
moeite	effort	moeite	effort	N;SG	N;SG
gewysig	edited	wysig	edite	V;PST;V.PTCP	V;PST;V.PTCP
gewysig	updated	wysig	update	V;PST;V.PTCP	V;PST;V.PTCP
gewysig	changed	wysig	change	V;PST;V.PTCP	V;PST;V.PTCP
gewysig	modified	wysig	modify	V;PST;V.PTCP	V;PST;V.PTCP
nasionaliteit	nationality	nasionaliteit	nationality	N;SG	N;SG
materiale	materials	materiaal	material	N;PL	N;PL
eer	sing	eer	sing	V;PRS	V;IMP;FIN
geproduseer	produced	produseer	produce	V;PST;V.PTCP	V;PST;V.PTCP
magnetiese	magnetic	magneties	magnetic	ADJ;NOM	ADJ
vestiging	establishment	vestiging	establishment	N;SG	N;SG
handelaars	dealerships	handelaar	dealership	N;PL	N;PL
handelaars	dealers	handelaar	dealer	N;PL	N;PL
generasie	generation	generasie	generation	N;SG	N;SG
prosesse	processes	proses	process	N;PL	N;PL
eienskap	attribute	eienskap	attribute	N;SG	N;SG
eienskap	feature	eienskap	feature	N;SG	N;SG
hoofstuk	chapter	hoofstuk	chapter	N;SG	N;SG
verhoudings	relationships	verhouding	relationship	N;PL	N;PL
standaarde	standards	standaard	standard	N;PL	N;PL
sone	zone	sone	zone	N;SG	N;SG
argitekte	architects	argitek	architect	N;PL	N;PL
tydstip	time	tydstip	time	N;SG	N;SG
vlerke	wings	vlerk	wing	N;PL	N;PL
meksikaanse	mexican	meksikaans	mexican	ADJ;NOM	ADJ
tande	teeth	tande	tooth	N;PL	N;PL
geteken	drawn	teken	draw	V;PST;V.PTCP	V;PST;V.PTCP
liedjie	song	liedjie	song	N;SG	N;SG
ekspedisie	expedition	ekspedisie	expedition	N;SG	N;SG
hektaar	hectare	hektaar	hectare	N;SG	N;SG
blom	flower	blom	flower	N;SG	N;SG
aktiwiteit	activity	aktiwiteit	activity	N;SG	N;SG
ongeluk	accident	ongeluk	accident	N;SG	N;SG
resultaat	result	resultaat	result	N;SG	N;SG
infrastruktuur	infrastructure	infrastruktuur	infrastructure	N;SG	N;SG
bulle	bulls	bulle	bull	N;PL	N;PL
hamlet	hamlet	hamlet	hamlet	N;SG	N;SG
getel	counted	tel	count	V;PST;V.PTCP	V;PST;V.PTCP
toerusting	equipment	toerusting	equipment	N;SG	N;SG
toerusting	gear	toerusting	gear	N;SG	N;SG
konstruksie	construction	konstruksie	construction	N;SG	N;SG
geleenthede	occasions	geleentheid	occasion	N;PL	N;PL
geleenthede	events	geleentheid	event	N;PL	N;PL
digters	poets	digters	poet	N;PL	N;PL
voortdurend	continuously	voortduur	continuously	ADV	ADV
hemel	heaven	hemel	heaven	N;SG	N;SG
titels	titles	titels	title	N;PL	N;PL
gevangenes	prisoners	gevangene	prisoner	N;PL	N;PL
kategorieë	categories	kategorie	category	N;PL	N;PL
uitstekende	excellent	uitstek	excellent	ADJ;NOM	ADJ
gesing	unison	gesing	unison	N;SG	N;SG
begraafplaas	cemetery	begraafplaas	cemetery	N;SG	N;SG
uitgestorwe	extinct	uitstorwe	extinct	ADJ;NOM	ADJ
geïdentifiseer	identified	identifiseer	identify	V;PST;V.PTCP	V;PST;V.PTCP
onthul	reveal	onthul	reveal	V;PRS	V;IMP;FIN
arms	arms	arms	arm	N;PL	N;PL
duim	inches	duim	inch	N;PL	N;PL
selle	cells	selle	cell	N;PL	N;PL
demokrasie	democracy	demokrasie	democracy	N;SG	N;SG
praktiese	practical	prakties	practical	ADJ;NOM	ADJ
klip	stone	klip	stone	N;SG	N;SG
lesers	readers	leser	reader	N;PL	N;PL
oral	everywhere	oral	everywhere	ADV	ADV
komeet	comet	komeet	comet	N;SG	N;SG
stelling	statement	stelling	statement	N;SG	N;SG
tipes	types	tipes	type	N;PL	N;PL
skuldig	guilty	skuldig	guilty	N;SG	N;SG
sagte	soft	sagte	soft	ADJ;NOM	ADJ
biologiese	biological	biologies	biological	ADJ;NOM	ADJ
lisensie	license	lisensie	license	N;SG	N;SG
lisensie	licence	lisensie	licence	N;SG	N;SG
uitstalling	exhibit	uitstalling	exhibit	N;SG	N;SG
velde	fields	vel	field	N;PL	N;PL
aansig	viewer	aansig	viewer	N;SG	N;SG
aansig	display	aansig	display	N;SG	N;SG
aansig	view	aansig	view	N;SG	N;SG
afgeleë	remote	afleë	remote	N;SG	N;SG
rewolusionêre	revolutionary	rewolusionêre	revolutionary	ADJ;NOM	ADJ
godin	goddess	godin	goddess	N;SG	N;SG
mis	mist	mis	mist	N;SG	N;SG
mis	fog	mis	fog	N;SG	N;SG
albums	albums	albums	album	N;PL	N;PL
waterval	waterfall	waterval	waterfall	N;SG	N;SG
luitenant	lieutenant	luitenant	lieutenant	N;SG	N;SG
toespraak	speech	toespraak	speech	N;SG	N;SG
meen	believing	meen	believe	V;PRS	V;V.MSDR
voertuie	vehicles	voertuig	vehicle	N;PL	N;PL
springbok	springbok	springbok	springbok	N;SG	N;SG
onderdruk	suppress	onderdruk	suppress	V;PRS	V;IMP;FIN
trein	train	trein	train	N;SG	N;SG
patroon	pattern	patroon	pattern	N;SG	N;SG
kwaliteit	quality	kwaliteit	quality	N;SG	N;SG
takke	branches	tak	branch	N;PL	N;PL
houding	attitude	houding	attitude	N;SG	N;SG
deelnemers	participants	deelnemer	participant	N;PL	N;PL
ervaring	experience	ervaring	experience	N;SG	N;SG
tuisblad	home	tuisblad	home	N;SG	N;SG
gelyke	peer	gelyk	peer	N;SG	N;SG
voortrekkers	voortrekkers	voortrekker	voortrekker	N;PL	N;PL
beveel	recommends	beveel	recommend	V;PRS	V;IND;SG;3;PRS;FIN
gevorderde	advanced	vorder	advanced	ADJ;NOM	ADJ
slang	snake	slang	snake	N;SG	N;SG
geassosieer	associated	assosieer	associate	V;PST;V.PTCP	V;PST;V.PTCP
simptome	symptoms	simptome	symptom	N;PL	N;PL
hervorming	reformation	hervorming	reformation	N;SG	N;SG
genre	genre	genr	genre	N;SG	N;SG
parke	parks	park	park	N;PL	N;PL
gesinne	families	gesin	family	N;PL	N;PL
rasse	breeds	rasse	breed	N;PL	N;PL
tref	impose	tref	impose	V;PRS	V;IMP;FIN
tref	hit	tref	hit	V;PRS	V;IMP;FIN
bedreiging	threat	bedreiging	threat	N;SG	N;SG
uitleg	layout	uitleg	layout	N;SG	N;SG
spore	trails	spor	trail	N;PL	N;PL
doeleindes	purposes	doeleinde	purpose	N;PL	N;PL
aardbewing	earthquake	aardbewing	earthquake	N;SG	N;SG
woestyn	dessert	woestyn	dessert	N;SG	N;SG
woestyn	desert	woestyn	desert	N;SG	N;SG
kolle	dots	kol	dot	N;PL	N;PL
kolle	spots	kol	spot	N;PL	N;PL
kookkuns	cuisine	kookkuns	cuisine	N;SG	N;SG
kookkuns	cooking	kookkuns	cooking	N;SG	N;SG
meisie	girl	meisie	girl	N;SG	N;SG
vrae	questions	vraag	question	N;PL	N;PL
werknemers	employees	werknemer	employee	N;PL	N;PL
reageer	react	reageer	react	V;PRS	V;IMP;FIN
reageer	respond	reageer	respond	V;PRS	V;IMP;FIN
tronk	jail	tronk	jail	N;SG	N;SG
tronk	prison	tronk	prison	N;SG	N;SG
enjins	engines	enjins	engines	N;PL	N;PL
evolusie	evolution	evolusie	evolution	N;SG	N;SG
sektor	sector	sektor	sector	N;SG	N;SG
addisionele	additional	addisioneel	additional	ADJ;NOM	ADJ
leierskap	leadership	leierskap	leadership	N;SG	N;SG
afrigter	coach	afrigter	coach	N;SG	N;SG
pond	pound	pond	pound	N;SG	N;SG
daal	drops	daal	drop	V;PRS	V;IND;SG;3;PRS;FIN
mites	myths	mite	myth	N;PL	N;PL
items	items	item	item	N;PL	N;PL
winkels	shops	winkels	shop	N;PL	N;PL
winkels	stores	winkels	store	N;PL	N;PL
erg	seriously	erg	seriously	ADV	ADV
genetiese	genetic	geneties	genetic	ADJ;NOM	ADJ
films	films	films	film	N;PL	N;PL
oseane	oceans	oseane	ocean	N;PL	N;PL
