contraste	contraste	contraste	contraste	N;MASC;SG	N;MASC;SG
puro	puro	puro	puro	ADJ;MASC;SG	ADJ;MASC;SG
iugoslávia	yugoslavia	iugoslávia	yugoslavia	N;FEM;SG	N;FEM;SG
currículo	currículo	currículo	currículo	N;MASC;SG	N;MASC;SG
currículo	currículum	currículo	currículum	N;MASC;SG	N;MASC;SG
currículo	curriculum	currículo	curriculum	N;MASC;SG	N;MASC;SG
currículo	currículo	currículo	currículo	N;MASC;SG	N;MASC;SG
currículo	currículum	currículo	currículum	N;MASC;SG	N;MASC;SG
currículo	curriculum	currículo	curriculum	N;MASC;SG	N;MASC;SG
currículo	reanudación	currículo	reanudación	N;MASC;SG	N;FEM;SG
currículo	currículum	currículo	currículum	N;MASC;SG	N;MASC;SG
warren	madriguera	warren	madriguera	N;MASC;SG	N;FEM;SG
conquistado	conquistó	conquistar	conquistar	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
barras	barras	barra	barra	N;FEM;PL	N;FEM;PL
barras	rejas	barra	rejo	N;FEM;PL	N;FEM;PL
barras	bares	barra	bar	N;FEM;PL	N;MASC;PL
premio	premio	premio	premio	N;MASC;SG	N;MASC;SG
slam	slam	slam	slam	N;MASC;SG	N;MASC;SG
núcleos	núcleos	núcleo	núcleo	N;MASC;PL	N;MASC;PL
núcleos	núcleos	núcleo	núcleo	N;MASC;PL	N;MASC;PL
mudando	cambiar	mudar	cambiar	V;V.MSDR	V;NFIN
mudando	cambiando	mudar	cambiar	V;V.MSDR	V;V.MSDR
arsenal	arsenal	arsenal	arsenal	N;MASC;SG	N;MASC;SG
respectivos	respectivas	respectivo	respectivo	ADJ;MASC;PL	ADJ;FEM;PL
respectivos	respectivos	respectivo	respectivo	ADJ;MASC;PL	ADJ;MASC;PL
mirim	mirim	mirim	mirim	N;MASC;SG	N;MASC;SG
antigamente	anteriormente	antigamente	anteriormente	ADV	ADV
antigamente	antiguamente	antigamente	antiguamente	ADV	ADV
turcos	turcos	turco	turco	N;MASC;PL	N;MASC;PL
turcos	turcos	turco	turco	N;MASC;PL	N;MASC;PL
colina	colina	colina	colina	N;FEM;SG	N;FEM;SG
colina	cerro	colina	cerro	N;FEM;SG	N;MASC;SG
farol	faro	farol	faro	N;MASC;SG	N;MASC;SG
farol	baliza	farol	baliza	N;MASC;SG	N;FEM;SG
conselhos	consejos	conselho	consejo	N;MASC;PL	N;MASC;PL
conselhos	concejos	conselho	concejo	N;MASC;PL	N;MASC;PL
conselhos	consejos	conselho	consejo	N;MASC;PL	N;MASC;PL
marítima	marítimo	marítimo	marítimo	N;FEM;SG	N;MASC;SG
bombas	bombas	bomba	bomba	N;FEM;PL	N;FEM;PL
bombas	bombas	bomba	bomba	N;FEM;PL	N;FEM;PL
equipas	equipos	equipa	equipo	N;FEM;PL	N;MASC;PL
escocês	escocés	escocês	escocés	N;MASC;SG	N;MASC;SG
escocês	scottish	escocês	scottish	N;MASC;SG	N
debates	debates	debate	debate	N;MASC;PL	N;MASC;PL
acusação	acusación	acusação	acusación	N;FEM;SG	N;FEM;SG
acusação	acusación	acusação	acusación	N;FEM;SG	N;FEM;SG
acusação	enjuiciamiento	acusação	enjuiciamiento	N;FEM;SG	N;MASC;SG
acusação	acusación	acusação	acusación	N;FEM;SG	N;FEM;SG
acusação	fiscalía	acusação	fiscalía	N;FEM;SG	N;FEM;SG
investigações	investigaciones	investigação	investigación	N;FEM;PL	N;FEM;PL
investigações	investigaciones	investigação	investigación	N;FEM;PL	N;FEM;PL
adequada	adecuada	adequado	adecuado	ADJ;FEM;SG	ADJ;FEM;SG;V.PTCP
adequada	adecuado	adequado	adecuado	ADJ;FEM;SG	ADJ;MASC;SG;V.PTCP
adequada	apto	adequado	apto	ADJ;FEM;SG	ADJ;MASC;SG
adequada	apropiado	adequado	apropiado	ADJ;FEM;SG	ADJ;MASC;SG;V.PTCP
adequada	adecuado	adequado	adecuado	ADJ;FEM;SG	ADJ;MASC;SG;V.PTCP
misericórdia	clemencia	misericórdia	clemencia	N;FEM;SG	N;FEM;SG
misericórdia	misericordia	misericórdia	misericordia	N;FEM;SG	N;FEM;SG
misericórdia	piedad	misericórdia	piedad	N;FEM;SG	N;FEM;SG
válidos	válidos	válido	válido	ADJ;MASC;PL	ADJ;MASC;PL
assumindo	suponiendo	assumir	suponer	V;V.MSDR	V;V.MSDR
assumindo	asumiendo	assumir	asumir	V;V.MSDR	V;V.MSDR
guiana	guyana	guiana	guyana	N;FEM;SG	N;FEM;SG
make	make	make	maker	N;FEM;SG	N
esquadrão	escuadra	esquadrão	escuadra	N;MASC;SG	N;FEM;SG
esquadrão	escuadrón	esquadrão	escuadrón	N;MASC;SG	N;MASC;SG
esquadrão	pelotón	esquadrão	pelotón	N;MASC;SG	N;MASC;SG
esquadrão	squad	esquadrão	squad	N;MASC;SG	N
esquadrão	escuadra	esquadrão	escuadra	N;MASC;SG	N;FEM;SG
esquadrão	escuadrón	esquadrão	escuadrón	N;MASC;SG	N;MASC;SG
registo	registro	registo	registro	N;MASC;SG	N;MASC;SG
registo	registro	registo	registro	N;MASC;SG	N;MASC;SG
registo	secretaría	registo	secretaría	N;MASC;SG	N;FEM;SG
registo	inscripción	registo	inscripción	N;MASC;SG	N;FEM;SG
registo	registro	registo	registro	N;MASC;SG	N;MASC;SG
registo	matrícula	registo	matrícula	N;MASC;SG	N;FEM;SG
governante	regla	governante	regla	N;MASC;SG	N;FEM;SG
governante	gobernante	governante	gobernante	N;MASC;SG	N;SG
piratas	piratas	pirata	pirata	N;MASC;PL	N;PL
piratas	piratas	pirata	pirata	N;MASC;PL	N;PL
kids	kids	kids	kids	N;MASC;SG	N
corredor	runner	corredor	runner	N;MASC;SG	N;SG
corredor	corredor	corredor	corredor	N;MASC;SG	N;MASC;SG
corredor	vestíbulo	corredor	vestíbulo	N;MASC;SG	N;MASC;SG
corredor	pasillo	corredor	pasillo	N;MASC;SG	N;MASC;SG
corredor	corredor	corredor	corredor	N;MASC;SG	N;MASC;SG
corredor	pasillo	corredor	pasillo	N;MASC;SG	N;MASC;SG
corredor	pasillo	corredor	pasillo	N;MASC;SG	N;MASC;SG
kingdom	reino	kingdom	reino	N;MASC;SG	N;MASC;SG
kingdom	kingdom	kingdom	kingdom	N;MASC;SG	N;MASC;SG
vizinho	vecino	vizinho	vecino	N;MASC;SG	N;MASC;SG
vizinho	vecino	vizinho	vecino	N;MASC;SG	N;MASC;SG
vizinho	prójimo	vizinho	prójimo	N;MASC;SG	N;MASC;SG
vestígios	vestigios	vestígio	vestigio	N;MASC;PL	N;MASC;PL
vestígios	rastros	vestígio	rastro	N;MASC;PL	N;MASC;PL
vestígios	trazas	vestígio	traza	N;MASC;PL	N;FEM;PL
vestígios	trazos	vestígio	trazo	N;MASC;PL	N;MASC;PL
vestígios	vestigios	vestígio	vestigio	N;MASC;PL	N;MASC;PL
vestígios	trazas	vestígio	traza	N;MASC;PL	N;FEM;PL
vestígios	trace	vestígio	trace	N;MASC;PL	N
sandra	sandra	sandra	sandra	N;FEM;SG	N;FEM;SG
profundo	profundo	profundo	profundo	ADJ;MASC;SG	ADJ;MASC;SG
profundo	profunda	profundo	profundo	ADJ;MASC;SG	ADJ;FEM;SG
profundo	profundo	profundo	profundo	ADJ;MASC;SG	ADJ;MASC;SG
profundo	profunda	profundo	profundo	ADJ;MASC;SG	ADJ;FEM;SG
clipes	clips	clipe	clip	N;MASC;PL	N;MASC;PL
tanques	tanques	tanque	tanque	N;MASC;PL	N;MASC;PL
tanques	tanques	tanque	tanque	N;MASC;PL	N;MASC;PL
tanques	cisternas	tanque	cisterna	N;MASC;PL	N;FEM;PL
ideologia	ideología	ideologia	ideología	N;FEM;SG	N;FEM;SG
implica	implica	implicar	implicar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
implica	insinúa	implicar	insinuo	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gerente	gerente	gerente	gerente	N;MASC;SG	N;SG
gerente	administrador	gerente	administrador	N;MASC;SG	N;MASC;SG
gerente	gestor	gerente	gestor	N;MASC;SG	N;MASC;SG
gerente	manager	gerente	manager	N;MASC;SG	N;FEM;SG
urss	urss	ur	urss	N;FEM;SG	N;FEM;SG
reconhecer	reconocen	reconhecer	reconocer	V;NFIN	V;IND;PL;3;PRS;FIN
reconhecer	reconoce	reconhecer	reconocer	V;NFIN	V;IND;SG;3;PRS;FIN
reconhecer	reconoces	reconhecer	reconoz	V;NFIN	V;IND;SG;2;PRS;FIN
reconhecer	reconocer	reconhecer	reconocer	V;NFIN	V;NFIN
reconhecer	reconociendo	reconhecer	reconocer	V;NFIN	V;V.MSDR
reconhecer	reconocer	reconhecer	reconocer	V;NFIN	V;NFIN
reconhecer	reconocer	reconhecer	reconocer	V;NFIN	V;NFIN
reconhecer	reconozcan	reconhecer	reconocer	V;NFIN	V;IMP;PL;3;FIN
reconhecer	reconocer	reconhecer	reconocer	V;NFIN	V;NFIN
atrações	atracciones	atração	atracción	N;FEM;PL	N;FEM;PL
prazer	placer	prazer	placer	N;MASC;SG	N;MASC;SG
avisado	advirtió	avisar	advertir	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
rené	renato	rené	renato	N;MASC;SG	N;MASC;SG
actor	actor	actor	actor	N;MASC;SG	N;MASC;SG
assinar	suscribirse	assinar	suscribir	V;NFIN	V;SBJV;SG;3;PRS;FIN
assinar	suscribir	assinar	suscribir	V;NFIN	V;NFIN
assinar	firmando	assinar	firmar	V;NFIN	V;V.MSDR
assinar	firmar	assinar	firmar	V;NFIN	V;NFIN
assinar	firme	assinar	firmar	V;NFIN	V;SBJV;SG;3;PRS;FIN
assinar	firmar	assinar	firmar	V;NFIN	V;NFIN
ofereceu	ofreció	oferecer	ofrecer	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
intelectuais	intelectuales	intelectual	intelectual	N;MASC;PL	N;PL
intelectuais	intelectuales	intelectual	intelectual	N;MASC;PL	N;PL
caridade	beneficencia	caridade	beneficencia	N;FEM;SG	N;FEM;SG
caridade	caridad	caridade	caridad	N;FEM;SG	N;FEM;SG
caridade	beneficencia	caridade	beneficencia	N;FEM;SG	N;FEM;SG
caridade	caridad	caridade	caridad	N;FEM;SG	N;FEM;SG
carvão	hulla	carvão	hulla	N;MASC;SG	N;MASC;SG
carvão	carbón	carvão	carbón	N;MASC;SG	N;MASC;SG
carvão	carbón	carvão	carbón	N;MASC;SG	N;MASC;SG
pistas	pistas	pista	pista	N;FEM;PL	N;FEM;PL
pistas	laderas	pista	ladera	N;FEM;PL	N;FEM;PL
pistas	pistas	pista	pista	N;FEM;PL	N;FEM;PL
cordilheira	alcance	cordilheira	alcance	N;FEM;SG	N;MASC;SG
cordilheira	intervalo	cordilheira	intervalo	N;FEM;SG	N;MASC;SG
cordilheira	gama	cordilheira	gama	N;FEM;SG	N;FEM;SG
cordilheira	rango	cordilheira	rango	N;FEM;SG	N;MASC;SG
cordilheira	cordillera	cordilheira	cordillera	N;FEM;SG	N;FEM;SG
cordilheira	cordillera	cordilheira	cordillera	N;FEM;SG	N;FEM;SG
internacionalmente	internacionalmente	internacionalmente	internacionalmente	ADV	ADV
noites	nights	noite	night	N;FEM;PL	N
noites	noches	noite	noche	N;FEM;PL	N;FEM;PL
noites	tardes	noite	tarde	N;FEM;PL	N;FEM;PL
noites	veladas	noite	velado	N;FEM;PL	N;FEM;PL
departamentos	departamentos	departamento	departamento	N;MASC;PL	N;MASC;PL
amaro	amaro	amaro	amaro	N;MASC;SG	N;MASC;SG
barcos	barcos	barco	barco	N;MASC;PL	N;MASC;PL
barcos	embarcaciones	barco	embarcación	N;MASC;PL	N;FEM;PL
barcos	botes	barco	bote	N;MASC;PL	N;MASC;PL
barcos	lanchas	barco	lancha	N;MASC;PL	N;FEM;PL
arredores	alrededores	arredores	alrededor	N;MASC;PL	N;MASC;PL
malta	malta	malta	malta	N;FEM;SG	N;FEM;SG
oponente	oponente	oponente	oponente	N;MASC;SG	N;SG
oponente	adversario	oponente	adversario	N;MASC;SG	N;MASC;SG
raymond	ramón	raymond	ramón	N;MASC;SG	N;MASC;SG
raymond	raymond	raymond	raymond	N;MASC;SG	N;MASC;SG
raymond	raimundo	raymond	raimundo	N;MASC;SG	N;MASC;SG
dublagem	doblaje	dublagem	doblaje	N;FEM;SG	N;MASC;SG
hunter	cazador	hunter	cazador	N;MASC;SG	N;MASC;SG
hunter	cazadora	hunter	cazadora	N;MASC;SG	N;FEM;SG
hunter	hunter	hunter	hunter	N;MASC;SG	N
iniciando	empezando	iniciar	empezar	V;V.MSDR	V;V.MSDR
iniciando	comenzando	iniciar	comenzar	V;V.MSDR	V;V.MSDR
iniciando	empezando	iniciar	empezar	V;V.MSDR	V;V.MSDR
iniciando	iniciando	iniciar	iniciar	V;V.MSDR	V;V.MSDR
iniciando	comenzando	iniciar	comenzar	V;V.MSDR	V;V.MSDR
iniciando	iniciando	iniciar	iniciar	V;V.MSDR	V;V.MSDR
forest	bosque	forest	bosque	N;MASC;SG	N;MASC;SG
forest	selva	forest	selva	N;MASC;SG	N;FEM;SG
consideração	consideración	consideração	consideración	N;FEM;SG	N;FEM;SG
consideração	contraprestación	consideração	contraprestación	N;FEM;SG	N;FEM;SG
visitou	visitó	visitar	visitar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
salva	ahorra	salvar	ahorra	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
salva	salva	salvar	salvar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
salva	ahorrar	salvar	ahorrar	V;IND;SG;3;PRS;FIN	V;NFIN
salva	guardar	salvar	guardar	V;IND;SG;3;PRS;FIN	V;NFIN
salva	salvar	salvar	salvar	V;IND;SG;3;PRS;FIN	V;NFIN
salva	ahorra	salvar	ahorra	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
premier	premier	premier	premier	N;MASC;SG	N;MASC;SG
extensa	extensa	extenso	extenso	ADJ;FEM;SG	ADJ;FEM;SG
extensa	extenso	extenso	extenso	ADJ;FEM;SG	ADJ;MASC;SG
extensa	extensivo	extenso	extensivo	ADJ;FEM;SG	ADJ;MASC;SG
her	her	her	her	N;MASC;SG	N
justo	justa	justo	justo	ADJ;MASC;SG	ADJ;FEM;SG
anéis	anillos	anel	anillo	N;MASC;PL	N;MASC;PL
humberto	umberto	humberto	umberto	N;MASC;SG	N;MASC;SG
átomos	atom	átomo	atom	N;MASC;PL	N;MASC
átomos	átomos	átomo	átomo	N;MASC;PL	N;MASC;PL
vanessa	vanessa	vanesso	vanesso	N;FEM;SG	N;FEM;SG
comunistas	comunistas	comunista	comunista	N;MASC;PL	N;PL
comunistas	comunistas	comunista	comunista	N;MASC;PL	N;PL
transmitir	transmita	transmitir	transmito	V;NFIN	V;SBJV;SG;3;PRS;FIN
transmitir	transmitir	transmitir	transmitir	V;NFIN	V;NFIN
transmitir	transmite	transmitir	transmitir	V;NFIN	V;IND;SG;3;PRS;FIN
transmitir	transmitan	transmitir	transmitir	V;NFIN	V;IMP;PL;3;FIN
rodovias	carreteras	rodovia	carretera	N;FEM;PL	N;FEM;PL
rodovias	autopistas	rodovia	autopista	N;FEM;PL	N;FEM;PL
inspirada	inspiró	inspirar	inspirar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
joan	juana	joan	juana	N;FEM;SG	N;FEM;SG
absurdo	absurdo	absurdo	absurdo	ADJ;MASC;SG	ADJ;MASC;SG
absurdo	absurdo	absurdo	absurdo	ADJ;MASC;SG	ADJ;MASC;SG
absurdo	absurda	absurdo	absurdo	ADJ;MASC;SG	ADJ;FEM;SG
absurdo	sinsentido	absurdo	sinsentir	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
frankfurt	frankfurt	frankfurt	frankfurt	N;MASC;SG	N;MASC;SG
frankfurt	fráncfort	frankfurt	fráncfort	N;MASC;SG	N;MASC;SG
lara	lara	lara	lara	N;FEM;SG	N;FEM;SG
inovação	innovación	inovação	innovación	N;FEM;SG	N;FEM;SG
florida	florida	florida	florida	N;FEM;SG	N;FEM;SG
falhas	fallas	falha	falla	N;FEM;PL	N;FEM;PL
falhas	fracasos	falha	fracaso	N;FEM;PL	N;MASC;PL
falhas	fallos	falha	fallo	N;FEM;PL	N;MASC;PL
falhas	defectos	falha	defecto	N;FEM;PL	N;MASC;PL
falhas	fallas	falha	falla	N;FEM;PL	N;FEM;PL
falhas	defectos	falha	defecto	N;FEM;PL	N;MASC;PL
falhas	fallos	falha	fallo	N;FEM;PL	N;MASC;PL
falhas	fallas	falha	falla	N;FEM;PL	N;FEM;PL
falhas	faltas	falha	falta	N;FEM;PL	N;FEM;PL
nbc	nbc	nbc	nbc	N;FEM;SG	N;FEM;SG
meridional	sureña	meridional	sureño	ADJ;MASC;SG	ADJ;FEM;SG
meridional	meridional	meridional	meridional	ADJ;MASC;SG	ADJ;SG
meridional	sureño	meridional	sureño	ADJ;MASC;SG	ADJ;MASC;SG
fundir	fusionar	fundir	fusionar	V;NFIN	V;NFIN
fundir	combinar	fundir	combinar	V;NFIN	V;NFIN
fundir	fusionar	fundir	fusionar	V;NFIN	V;NFIN
dum	dum	dum	dum	N;MASC;SG	N
felicidade	felicidad	felicidade	felicidad	N;FEM;SG	N;FEM;SG
suficientes	suficientes	suficiente	suficiente	ADJ;MASC;PL	ADJ;PL
performances	actuaciones	performance	actuación	N;FEM;PL	N;FEM;PL
performances	representaciones	performance	representación	N;FEM;PL	N;FEM;PL
triunfo	triunfo	triunfo	triunfo	N;MASC;SG	N;MASC;SG
telescópio	telescopio	telescópio	telescopio	N;MASC;SG	N;MASC;SG
norman	norman	norman	normar	N;MASC;SG	N;MASC;SG
tronco	torso	tronco	torso	N;MASC;SG	N;MASC;SG
tronco	tronco	tronco	tronco	N;MASC;SG	N;MASC;SG
tronco	maletero	tronco	maletero	N;MASC;SG	N;MASC;SG
tronco	baúl	tronco	baúl	N;MASC;SG	N;MASC;SG
tronco	trompa	tronco	trompa	N;MASC;SG	N;FEM;SG
caverna	gruta	cavernar	gruta	N;FEM;SG	N;FEM;SG
caverna	cueva	cavernar	cueva	N;FEM;SG	N;FEM;SG
caverna	cave	cavernar	cave	N;FEM;SG	N
caverna	caverna	cavernar	caverna	N;FEM;SG	N;FEM;SG
promessa	promesa	promessa	promesa	N;FEM;SG	N;FEM;SG
promessa	prenda	promessa	prenda	N;FEM;SG	N;FEM;SG
promessa	promesa	promessa	promesa	N;FEM;SG	N;FEM;SG
historicamente	históricamente	historicamente	históricamente	ADV	ADV
liverpool	liverpool	liverpool	liverpool	N;MASC;SG	N;MASC;SG
liverpool	madrid	liverpool	madrid	N;MASC;SG	N;MASC;SG
alternativas	alternativas	alternativa	alternativa	N;FEM;PL	N;FEM;PL
bebê	bebe	bebê	beber	N;MASC;SG	N;MASC;SG
bebê	nena	bebê	nena	N;MASC;SG	N;FEM;SG
bebê	bebé	bebê	bebé	N;MASC;SG	N;MASC;SG
bebê	nene	bebê	nene	N;MASC;SG	N;MASC;SG
bebê	baby	bebê	baby	N;MASC;SG	N
harold	harold	harold	harold	N;MASC;SG	N;MASC;SG
comparado	comparó	comparar	comparar	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
propõe	propone	propor	proponer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
propõe	proponer	propor	proponer	V;IND;SG;3;PRS;FIN	V;NFIN
propõe	propone	propor	proponer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
virginia	virginia	virginia	virginia	N;FEM;SG	N;FEM;SG
resultante	resultante	resultante	resultante	ADJ;MASC;SG	ADJ;SG
resultante	resultante	resultante	resultante	ADJ;MASC;SG	ADJ;SG
portos	puertos	porto	puerto	N;MASC;PL	N;MASC;PL
portos	puertos	porto	puerto	N;MASC;PL	N;MASC;PL
adversários	adversarios	adversário	adversario	N;MASC;PL	N;MASC;PL
adversários	adversarios	adversário	adversario	N;MASC;PL	N;MASC;PL
adversários	oponentes	adversário	oponente	N;MASC;PL	N;PL
adversários	opositores	adversário	opositor	N;MASC;PL	N;MASC;PL
minuto	minuto	minuto	minuto	N;MASC;SG	N;MASC;SG
reitor	rector	reitor	rector	N;MASC;SG	N;MASC;SG
reitor	decano	reitor	decano	N;MASC;SG	N;MASC;SG
reitor	rectora	reitor	rectora	N;MASC;SG	N;FEM;SG
reitor	rector	reitor	rector	N;MASC;SG	N;MASC;SG
edge	edge	edge	edge	N;MASC;SG	N
edge	filo	edge	filo	N;MASC;SG	N;MASC;SG
edge	borde	edge	borde	N;MASC;SG	N;MASC;SG
edge	arista	edge	aristar	N;MASC;SG	N;FEM;SG
contemporâneo	contemporáneo	contemporâneo	contemporáneo	ADJ;MASC;SG	ADJ;MASC;SG
contemporâneo	contemporánea	contemporâneo	contemporáneo	ADJ;MASC;SG	ADJ;FEM;SG
noiva	novia	noiva	novia	N;FEM;SG	N;FEM;SG
coletiva	colectivo	coletivo	colectivo	N;FEM;SG	N;MASC;SG
coletiva	colectividad	coletivo	colectividad	N;FEM;SG	N;FEM;SG
pavilhão	flag	pavilhão	flag	N;MASC;SG	N;SG
pavilhão	bandera	pavilhão	bandera	N;MASC;SG	N;FEM;SG
pavilhão	pabellón	pavilhão	pabellón	N;MASC;SG	N;MASC;SG
spin	spin	spin	spin	N;MASC;SG	N;SG
proximidade	cercanía	proximidade	cercanía	N;FEM;SG	N;FEM;SG
proximidade	proximidad	proximidade	proximidad	N;FEM;SG	N;FEM;SG
proximidade	cercanía	proximidade	cercanía	N;FEM;SG	N;FEM;SG
proximidade	proximidad	proximidade	proximidad	N;FEM;SG	N;FEM;SG
inserir	inserte	inserir	inserte	V;NFIN	V;SBJV;SG;3;FIN
inserir	inserta	inserir	insertar	V;NFIN	V;IND;SG;3;PRS;FIN
inserir	insertar	inserir	insertar	V;NFIN	V;NFIN
insiste	insiste	insistir	insistir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
insiste	insistir	insistir	insistir	V;IND;SG;3;PRS;FIN	V;NFIN
insiste	insiste	insistir	insistir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
wii	wii	wii	wii	N;MASC;SG	N;SG
borda	rim	borda	rim	N;FEM;SG	N;SG
borda	llanta	borda	llantar	N;FEM;SG	N;FEM;SG
borda	edge	borda	edge	N;FEM;SG	N
borda	filo	borda	filo	N;FEM;SG	N;MASC;SG
borda	borde	borda	borde	N;FEM;SG	N;MASC;SG
borda	arista	borda	aristar	N;FEM;SG	N;FEM;SG
borda	frontera	borda	frontera	N;FEM;SG	N;FEM;SG
borda	borde	borda	borde	N;FEM;SG	N;MASC;SG
funcionário	trabajador	funcionário	trabajador	N;MASC;SG	N;MASC;SG
funcionário	funcionario	funcionário	funcionario	N;MASC;SG	N;MASC;SG
funcionário	official	funcionário	official	N;MASC;SG	N
funcionário	funcionaria	funcionário	funcionaria	N;MASC;SG	N;FEM;SG
percepção	percepción	percepção	percepción	N;FEM;SG	N;FEM;SG
ganho	ganancia	ganho	ganancia	N;MASC;SG	N;FEM;SG
loire	loira	loire	loira	N;MASC;SG	N;MASC;SG
loire	loire	loire	loirar	N;MASC;SG	N;MASC;SG
nov	noviembre	nov	noviembre	N;MASC;SG	N
frequentes	frecuentes	frequente	frecuente	ADJ;MASC;PL	ADJ;PL
frequentes	comunes	frequente	común	ADJ;MASC;PL	ADJ;PL
frequentes	frecuentes	frequente	frecuente	ADJ;MASC;PL	ADJ;PL
cinza	ceniza	cinza	cenizar	N;FEM;SG	N;FEM;SG
cinza	grey	cinza	grey	N;FEM;SG	N
oxigênio	oxigeno	oxigênio	oxigeno	N;MASC;SG	N;MASC;SG
oxigênio	oxígeno	oxigênio	oxígeno	N;MASC;SG	N;MASC;SG
serie	serie	seriar	serie	N;FEM;SG	N;FEM;SG
corrêa	corrêa	corrêa	corrêa	N;MASC;SG	N
frequente	frecuente	frequente	frecuente	ADJ;MASC;SG	ADJ;SG
frequente	común	frequente	común	ADJ;MASC;SG	ADJ;SG
frequente	frecuente	frequente	frecuente	ADJ;MASC;SG	ADJ;SG
phoenix	fénix	phoenix	fénix	N;MASC;SG	N;SG
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	N;MASC;SG
enviada	envió	enviar	enviar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
muralha	muralla	muralha	muralla	N;FEM;SG	N;FEM;SG
muralha	pared	muralha	pared	N;FEM;SG	N;FEM;SG
muralha	muro	muralha	muro	N;FEM;SG	N;MASC;SG
machos	varones	macho	varón	N;MASC;PL	N;MASC;PL
machos	machos	macho	macho	N;MASC;PL	N;MASC;PL
difíceis	difíciles	difícil	difícil	ADJ;MASC;PL	ADJ;PL
sargento	sarge	sargento	sarge	N;MASC;SG	N;FEM;SG
sargento	sargento	sargento	sargento	N;MASC;SG	N;MASC;SG
sargento	sargento	sargento	sargento	N;MASC;SG	N;MASC;SG
indicando	indicando	indicar	indicar	V;V.MSDR	V;V.MSDR
rachel	rachel	rachel	rachel	N;FEM;SG	N;FEM;SG
renovação	reacondicionamiento	renovação	reacondicionamiento	N;FEM;SG	N;MASC;SG
renovação	remodelación	renovação	remodelación	N;FEM;SG	N;FEM;SG
renovação	renovación	renovação	renovación	N;FEM;SG	N;FEM;SG
renovação	renovación	renovação	renovación	N;FEM;SG	N;FEM;SG
manchete	titular	manchete	titular	N;FEM;SG	N;MASC;SG
consorte	consorte	consorte	consorte	N;FEM;SG	N;FEM;SG
fragmentos	fragmentos	fragmento	fragmento	N;MASC;PL	N;MASC;PL
exclusivo	exclusivo	exclusivo	exclusivo	ADJ;MASC;SG	ADJ;MASC;SG
exclusivo	exclusiva	exclusivo	exclusivo	ADJ;MASC;SG	ADJ;FEM;SG
geometria	geometría	geometria	geometría	N;FEM;SG	N;FEM;SG
crônica	crónica	crônico	crónica	N;FEM;SG	N;FEM;SG
crônica	chronicle	crônico	chronicle	N;FEM;SG	N;MASC;SG
crônica	crónica	crônico	crónica	N;FEM;SG	N;FEM;SG
telecomunicações	telecomunicaciones	telecomunicação	telecomunicación	N;FEM;PL	N;FEM;PL
apoiado	apoyó	apoiar	apoyar	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
eficaz	eficaz	eficaz	eficaz	ADJ;FEM;SG	ADJ;SG
eficaz	efectiva	eficaz	efectivo	ADJ;FEM;SG	ADJ;FEM;SG
sweet	sweet	sweet	sweet	N;MASC;SG	N
prestígio	prestigio	prestígio	prestigio	N;MASC;SG	N;MASC;SG
prestígio	prestigio	prestígio	prestigio	N;MASC;SG	N;MASC;SG
prestígio	prestige	prestígio	prestigar	N;MASC;SG	N;MASC;SG
governadores	gobernadores	governador	gobernador	N;MASC;PL	N;MASC;PL
coletivo	colectivo	coletivo	colectivo	N;MASC;SG	N;MASC;SG
coletivo	colectividad	coletivo	colectividad	N;MASC;SG	N;FEM;SG
centímetros	pulgadas	centímetro	pulgado	N;MASC;PL	N;FEM;PL
centímetros	centímetros	centímetro	centímetro	N;MASC;PL	N;MASC;PL
centímetros	centímetros	centímetro	centímetro	N;MASC;PL	N;MASC;PL
say	di	say	di	N;MASC;SG	N
secundárias	secundarias	secundário	secundario	ADJ;FEM;PL	ADJ;FEM;PL
fenômenos	fenómenos	fenômeno	fenómeno	N;MASC;PL	N;MASC;PL
líbia	libio	líbia	libio	N;FEM;SG	N;MASC;SG
embarcações	naves	embarcação	nave	N;FEM;PL	N;FEM;PL
embarcações	barcos	embarcação	barco	N;FEM;PL	N;MASC;PL
embarcações	buques	embarcação	buque	N;FEM;PL	N;MASC;PL
