august	август	august	август	N;MASC;SG	N;INDF;MASC;SG
caracterizado	характеризира	caracterizado	характеризирам	V;MASC;SG;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
mariposa	молец	mariposa	молец	N;FEM;SG	N;INDF;MASC;SG
redonda	кръгла	redonda	кръгъл	N;FEM;SG	N;INDF;FEM;SG
redonda	рунд	redonda	рунд	N;FEM;SG	N;INDF;MASC;SG
redonda	кръг	redonda	кръг	N;FEM;SG	N;INDF;MASC;SG
sociologia	социология	sociologia	социология	N;FEM;SG	N;INDF;FEM;SG
gótico	готически	gótico	готически	ADJ;MASC;SG	ADJ;INDF;MASC;SG
quadrado	квадрат	quadrado	квадрат	N;MASC;SG	N;INDF;MASC;SG
quadrado	площад	quadrado	площад	N;MASC;SG	N;INDF;MASC;SG
renânia	рейнланд	renânia	рейнланд	N;FEM;SG	N;INDF;MASC;SG
atacou	атакуван	atacar	атакувам	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sin	грехът	sin	грях	N;MASC;SG	N;DEF;MASC;SG
sin	грях	sin	грях	N;MASC;SG	N;INDF;MASC;SG
normais	нормални	normal	нормален	ADJ;MASC;PL	ADJ;INDF;PL
amistoso	friendly	amistoso	friendly	N;MASC;SG	N;INDF;MASC;SG
coragem	смелост	coragem	смелост	N;FEM;SG	N;INDF;FEM;SG
coragem	кураж	coragem	кураж	N;FEM;SG	N;INDF;MASC;SG
coragem	смелост	coragem	смелост	N;FEM;SG	N;INDF;FEM;SG
coragem	храброст	coragem	храброст	N;FEM;SG	N;INDF;FEM;SG
atitudes	нагласи	atitude	нагласа	N;FEM;PL	N;INDF;FEM;PL
obtidos	получени	obter	получа	V;MASC;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
vantagens	предимства	vantagem	предимство	N;FEM;PL	N;INDF;NEUT;PL
vantagens	ползи	vantagem	ползи	N;FEM;PL	N;INDF;FEM;PL
vantagens	обезщетения	vantagem	обезщетение	N;FEM;PL	N;INDF;NEUT;PL
vantagens	предимства	vantagem	предимство	N;FEM;PL	N;INDF;NEUT;PL
vantagens	преимущества	vantagem	преимущество	N;FEM;PL	N;INDF;NEUT;PL
vantagens	предимства	vantagem	предимство	N;FEM;PL	N;INDF;NEUT;PL
básicas	основи	básico	основа	N;FEM;PL	N;INDF;FEM;PL
directamente	директно	directamente	директно	ADV	ADV
directamente	пряко	directamente	пряко	ADV	ADV
ilegal	нелегален	ilegal	нелегален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ilegal	незаконен	ilegal	незаконен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ilegal	незаконна	ilegal	незаконен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ilegal	незаконна	ilegal	незаконен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
mansão	имение	mansão	имение	N;FEM;SG	N;INDF;NEUT;SG
mansão	имението	mansão	имение	N;FEM;SG	N;DEF;NEUT;SG
mansão	имение	mansão	имение	N;FEM;SG	N;INDF;NEUT;SG
mansão	имението	mansão	имение	N;FEM;SG	N;DEF;NEUT;SG
sugeriu	предложен	sugerir	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sugeriu	предложено	sugerir	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
submarino	подводница	submarino	подводница	N;MASC;SG	N;INDF;FEM;SG
submarino	подводницата	submarino	подводница	N;MASC;SG	N;DEF;FEM;SG
mudado	променена	mudar	променя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
mudado	променен	mudar	променя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
mudado	променено	mudar	променя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
intenso	интензивна	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
intenso	интензивен	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
intenso	интензивна	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
intenso	интензивен	intenso	интензивен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
adquirir	придобие	adquirir	придобие	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
ferrari	ферари	ferrari	ферар	N;MASC;SG	N;INDF;MASC;SG
peixoto	пейшото	peixoto	пейшо	N;MASC;SG	N;DEF;NEUT;SG
trilhas	пътеки	trilha	пътеки	N;FEM;PL	N;INDF;FEM;PL
trilhas	следите	trilha	следя	N;FEM;PL	N;DEF;FEM;PL
trilhas	писти	trilha	пистя	N;FEM;PL	N;INDF;FEM;PL
trilhas	следи	trilha	следя	N;FEM;PL	N;INDF;FEM;PL
trilhas	релси	trilha	релса	N;FEM;PL	N;INDF;FEM;PL
assistir	гледай	assistir	гледам	V;NFIN	V;IPFV;IMP;SG;2;FIN
assistir	гледайте	assistir	гледам	V;NFIN	V;IPFV;IMP;PL;2;FIN
espelho	огледалото	espelho	огледало	N;MASC;SG	N;DEF;NEUT;SG
espelho	огледалце	espelho	огледалце	N;MASC;SG	N;INDF;NEUT;SG
espelho	огледало	espelho	огледало	N;MASC;SG	N;INDF;NEUT;SG
expandir	разшири	expandir	разширя-(се)	V;NFIN	V;PFV;IMP;SG;2;FIN
existiu	съществувал	existir	съществувам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
area	зона	area	зона	N;FEM;SG	N;INDF;FEM;SG
area	площ	area	площ	N;FEM;SG	N;INDF;FEM;SG
area	област	area	област	N;FEM;SG	N;INDF;FEM;SG
area	район	area	район	N;FEM;SG	N;INDF;MASC;SG
impede	предотвратява	impedir	предотвратявам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
boeing	боинг	boeing	боинг	N;MASC;SG	N;INDF;MASC;SG
assalto	нападение	assalto	нападение	N;MASC;SG	N;INDF;NEUT;SG
assalto	грабеж	assalto	грабеж	N;MASC;SG	N;INDF;MASC;SG
assalto	обир	assalto	обир	N;MASC;SG	N;INDF;MASC;SG
favoráveis	благоприятни	favorável	благоприятен	ADJ;MASC;PL	ADJ;INDF;PL
favoráveis	благоприятни	favorável	благоприятен	ADJ;MASC;PL	ADJ;INDF;PL
bourbon	бърбън	bourbon	бърбън	N;MASC;SG	N;INDF;MASC;SG
angelo	анджело	angelo	анджело	N;MASC;SG	N;INDF;MASC;SG
trens	влакове	trem	влак	N;MASC;PL	N;INDF;MASC;PL
trens	влаковете	trem	влак	N;MASC;PL	N;DEF;MASC;PL
sudão	судан	sudão	судан	N;MASC;SG	N;INDF;FEM;SG
verbo	глагол	verbo	глагол	N;MASC;SG	N;INDF;MASC;SG
ampliação	увеличение	ampliação	увеличение	N;FEM;SG	N;INDF;NEUT;SG
ampliação	увеличаване	ampliação	увеличаване	N;FEM;SG	N;INDF;NEUT;SG
ampliação	увеличение	ampliação	увеличение	N;FEM;SG	N;INDF;NEUT;SG
abraço	прегръдка	abraço	прегръдка	N;MASC;SG	N;INDF;FEM;SG
abraço	прегръдка	abraço	прегръдка	N;MASC;SG	N;INDF;FEM;SG
copas	сърца	copa	сърце	N;FEM;PL	N;INDF;NEUT;PL
copas	сърцата	copa	сърце	N;FEM;PL	N;DEF;NEUT;PL
vestido	облечена	vestir	облека	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
vestido	облечен	vestir	облека	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
muralhas	стени	muralha	стена	N;FEM;PL	N;INDF;FEM;PL
muralhas	стените	muralha	стена	N;FEM;PL	N;DEF;FEM;PL
barragem	язовир	barragem	язовир	N;FEM;SG	N;INDF;MASC;SG
informar	информира	informar	информирам	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
jefferson	джеферсън	jefferson	джеферсън	N;MASC;SG	N;INDF;MASC;SG
identificado	маркиран	identificar	маркирам	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
identificado	отбелязан	identificar	отбележа	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
identificado	идентифициран	identificar	идентифицирам	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
identificado	идентифицирана	identificar	идентифицирам	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
delegação	делегация	delegação	делегация	N;FEM;SG	N;INDF;FEM;SG
delegação	делегиране	delegação	делегиране	N;FEM;SG	N;INDF;NEUT;SG
expresso	изразена	expresso	изразя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
expresso	изразено	expresso	изразя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
expresso	изразен	expresso	изразя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
human	човек	human	човек	N;MASC;SG	N;INDF;MASC;SG
precipitação	утаяване	precipitação	утаяване	N;FEM;SG	N;INDF;NEUT;SG
khan	кхан	khan	кхан	N;MASC;SG	N;INDF;MASC;SG
khan	хан	khan	хан	N;MASC;SG	N;INDF;MASC;SG
corda	въже	corda	въже	N;FEM;SG	N;INDF;NEUT;SG
coligação	коалиция	coligação	коалиция	N;FEM;SG	N;INDF;FEM;SG
coligação	коалицията	coligação	коалиция	N;FEM;SG	N;DEF;FEM;SG
espíritos	духовете	espírito	дух	N;MASC;PL	N;DEF;MASC;PL
espíritos	духове	espírito	дух	N;MASC;PL	N;INDF;MASC;PL
ritual	ритуал	ritual	ритуал	N;MASC;SG	N;INDF;MASC;SG
luna	луна	luna	луна	N;FEM;SG	N;INDF;FEM;SG
procurou	търсен	procurar	търсен	V;IND;SG;3;PST;FIN	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
concluir	завърши	concluir	завърша	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
concluir	довърши	concluir	довърша-(се)	V;NFIN	V;PFV;IMP;SG;2;FIN
concluir	довърша	concluir	довърша-(се)	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
teto	таван	teto	таван	N;MASC;SG	N;INDF;MASC;SG
teto	тавана	teto	таван	N;MASC;SG	N;DEF;MASC;SG
teto	покривът	teto	покрив	N;MASC;SG	N;DEF;MASC;SG
teto	покрив	teto	покрив	N;MASC;SG	N;INDF;MASC;SG
teto	покрива	teto	покрив	N;MASC;SG	N;INDF;MASC;SG
possibilidades	възможности	possibilidade	възможност	N;FEM;PL	N;INDF;FEM;PL
possibilidades	вероятности	possibilidade	вероятност	N;FEM;PL	N;INDF;FEM;PL
restaurantes	ресторанти	restaurante	ресторант	N;MASC;PL	N;INDF;MASC;PL
cozinha	кухня	cozinha	кухня	N;FEM;SG	N;INDF;FEM;SG
cozinha	готвенето	cozinha	готвене	N;FEM;SG	N;DEF;NEUT;SG
cozinha	готвене	cozinha	готвене	N;FEM;SG	N;INDF;NEUT;SG
cozinha	кухня	cozinha	кухня	N;FEM;SG	N;INDF;FEM;SG
cozinha	кухнята	cozinha	кухня	N;FEM;SG	N;DEF;FEM;SG
introduziu	въведен	introduzir	въведа	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
introduziu	въведено	introduzir	въведа	V;IND;SG;3;PST;FIN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
introduziu	въведена	introduzir	въведа	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
explorar	изследва	explorar	изследвам	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gaspar	гаспар	gaspar	гаспар	N;MASC;SG	N;INDF;MASC;SG
comer	ям	comer	аз	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
comer	яде	comer	ям-(се)	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
comer	яжте	comer	ям-(се)	V;NFIN	V;IPFV;IMP;PL;2;FIN
comer	яж	comer	яж	V;NFIN	V;IPFV;IMP;SG;2;FIN
comer	ям	comer	аз	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
mísseis	ракетите	míssil	ракета	N;MASC;PL	N;DEF;FEM;PL
mísseis	ракети	míssil	ракета	N;MASC;PL	N;INDF;FEM;PL
dívida	дълг	dívida	дълг	N;FEM;SG	N;INDF;MASC;SG
field	полето	field	поле	N;MASC;SG	N;DEF;NEUT;SG
field	поле	field	поле	N;MASC;SG	N;INDF;NEUT;SG
definidos	определени	definir	определя-(се)	V;MASC;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
definidos	дефинирани	definir	дефинирам	V;MASC;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
raças	надбягвания	raça	надбягване	N;FEM;PL	N;INDF;NEUT;PL
raças	състезания	raça	състезание	N;FEM;PL	N;INDF;NEUT;PL
raças	раси	raça	раса	N;FEM;PL	N;INDF;FEM;PL
raças	породи	raça	породя-(се)	N;FEM;PL	N;INDF;FEM;PL
albânia	албания	albânia	албания	N;FEM;SG	N;INDF;FEM;SG
únicas	уникални	único	уникален	ADJ;FEM;PL	ADJ;INDF;PL
quebec	квебек	quebec	квебек	N;MASC;SG	N;INDF;MASC;SG
fio	тел	fio	тел	N;MASC;SG	N;INDF;FEM;SG
fio	жица	fio	жиц	N;MASC;SG	N;INDF;FEM;SG
fio	нишка	fio	нишка	N;MASC;SG	N;INDF;FEM;SG
fio	конец	fio	конец	N;MASC;SG	N;INDF;MASC;SG
infecção	заразяване	infecção	заразяване	N;FEM;SG	N;INDF;NEUT;SG
infecção	инфекция	infecção	инфекция	N;FEM;SG	N;INDF;FEM;SG
aparelhos	устройствата	aparelho	устройство	N;MASC;PL	N;DEF;NEUT;PL
aparelhos	устройства	aparelho	устройство	N;MASC;PL	N;INDF;NEUT;PL
aparelhos	апарати	aparelho	апарат	N;MASC;PL	N;INDF;MASC;PL
ideais	идеали	ideal	идеа	N;MASC;PL	N;INDF;MASC;PL
vizinha	съсед	vizinha	съсед	N;FEM;SG	N;INDF;MASC;SG
vizinha	съседка	vizinha	съседка	N;FEM;SG	N;INDF;FEM;SG
vizinha	съсед	vizinha	съсед	N;FEM;SG	N;INDF;MASC;SG
vizinha	съседка	vizinha	съседка	N;FEM;SG	N;INDF;FEM;SG
fame	славата	fame	слава	N;MASC;SG	N;DEF;FEM;SG
fame	слава	fame	слава	N;MASC;SG	N;INDF;FEM;SG
águia	орел	águia	орел	N;FEM;SG	N;INDF;MASC;SG
antioquia	антиохия	antioquia	антиохия	N;FEM;SG	N;DEF;MASC;SG
antioquia	антиокия	antioquia	антиокия	N;FEM;SG	N;INDF;FEM;SG
soberania	суверенитета	soberania	суверенитет	N;FEM;SG	N;DEF;MASC;SG
soberania	суверенитет	soberania	суверенитет	N;FEM;SG	N;INDF;MASC;SG
biografias	биографии	biografia	биография	N;FEM;PL	N;INDF;FEM;PL
sabor	вкус	sabor	вкус	N;MASC;SG	N;INDF;MASC;SG
sabor	вкус	sabor	вкус	N;MASC;SG	N;INDF;MASC;SG
sabor	аромат	sabor	аромат	N;MASC;SG	N;INDF;MASC;SG
kentucky	кентъки	kentucky	кентък	N;MASC;SG	N;INDF;MASC;SG
negativo	отрицателен	negativo	отрицателен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
negativo	отрицателна	negativo	отрицателен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
causado	причинено	causar	причиня	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
causado	причинена	causar	причиня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
protestantes	протестанти	protestante	протестант	N;MASC;PL	N;INDF;MASC;PL
protestantes	демонстранти	protestante	демонстрант	N;MASC;PL	N;INDF;MASC;PL
protestantes	демонстранти	protestante	демонстрант	N;MASC;PL	N;INDF;MASC;PL
inês	инес	inês	инес	N;FEM;SG	N;INDF;FEM;SG
inês	инес	inês	инес	N;FEM;SG	N;INDF;FEM;SG
inês	агнес	inês	агнес	N;FEM;SG	N;INDF;FEM;SG
bonita	хубава	bonito	хубав	ADJ;FEM;SG	ADJ;INDF;FEM;SG
navegador	навигатор	navegador	навигатор	N;MASC;SG	N;INDF;MASC;SG
navegador	браузър	navegador	браузър	N;MASC;SG	N;INDF;MASC;SG
vaz	ваз	vazer	ваз	N;MASC;SG	N;INDF;MASC;SG
anfíbio	амфибия	anfíbio	амфибия	N;MASC;SG	N;INDF;FEM;SG
remo	гребане	remo	гребане	N;MASC;SG	N;INDF;NEUT;SG
remo	ремус	remo	ремус	N;MASC;SG	N;INDF;MASC;SG
remo	гребло	remo	гребло	N;MASC;SG	N;INDF;NEUT;SG
juízes	съдии	juíz	съдия	N;MASC;PL	N;INDF;MASC;PL
juízes	съдиите	juíz	съдия	N;MASC;PL	N;DEF;MASC;PL
silver	сребърна	silver	сребърна-(се)	N;MASC;SG	N;INDF;FEM;SG
silver	силвър	silver	силвър	N;MASC;SG	N;INDF;MASC;SG
silver	сребро	silver	сребро	N;MASC;SG	N;INDF;NEUT;SG
silver	сребърен	silver	сребърен	N;MASC;SG	N;INDF;MASC;SG
moça	момиченце	moça	момиченце	N;FEM;SG	N;INDF;NEUT;SG
moça	момиче	moça	момиче	N;FEM;SG	N;INDF;NEUT;SG
moça	дамата	moça	дама	N;FEM;SG	N;DEF;FEM;SG
moça	лейди	moça	лейд	N;FEM;SG	N;INDF;FEM;SG
moça	дама	moça	дама	N;FEM;SG	N;INDF;FEM;SG
heaven	рай	heaven	рай	N;MASC;SG	N;INDF;MASC;SG
heaven	рая	heaven	рай	N;MASC;SG	N;INDF;MASC;SG
heaven	небето	heaven	небе	N;MASC;SG	N;DEF;NEUT;SG
georg	георг	georg	георг	N;MASC;SG	N;INDF;MASC;SG
penas	перата	pena	пера	N;FEM;PL	N;DEF;NEUT;PL
penas	пера	pena	пера	N;FEM;PL	N;INDF;NEUT;PL
gardens	градините	gardem	градина	N;MASC;PL	N;DEF;FEM;PL
gardens	градини	gardem	градина	N;MASC;PL	N;INDF;FEM;PL
segura	безопасен	seguro	безопасен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
segura	сигурна	seguro	сигурен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
introduzida	въведен	introduzir	въведа	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
introduzida	въведено	introduzir	въведа	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
introduzida	въведена	introduzir	въведа	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
faro	фаро	faro	фаро	N;MASC;SG	N;INDF;MASC;SG
jesuítas	йезуитите	jesuíta	йезуит	N;MASC;PL	N;DEF;MASC;PL
falcão	сокол	falcão	сокол	N;MASC;SG	N;INDF;MASC;SG
falcão	хоук	falcão	хоук	N;MASC;SG	N;INDF;MASC;SG
falcão	ястреб	falcão	ястреб	N;MASC;SG	N;INDF;MASC;SG
capturar	улови	capturar	уловя-(се)	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
pen	писалка	pen	писалка	N;MASC;SG	N;INDF;FEM;SG
pen	pen	pen	pen	N;MASC;SG	N;INDF;MASC;SG
pen	химикалка	pen	химикалка	N;MASC;SG	N;INDF;FEM;SG
pen	химикал	pen	химикал	N;MASC;SG	N;INDF;MASC;SG
inseto	насекомо	inseto	насекомо	N;MASC;SG	N;INDF;NEUT;SG
inseto	бръмбар	inseto	бръмбар	N;MASC;SG	N;INDF;MASC;SG
inseto	бъг	inseto	бъг	N;MASC;SG	N;INDF;MASC;SG
inseto	буболечка	inseto	буболечка	N;MASC;SG	N;INDF;FEM;SG
expectativa	очакване	expectativa	очакване	N;FEM;SG	N;INDF;NEUT;SG
sultão	султан	sultão	султан	N;MASC;SG	N;INDF;MASC;SG
sultão	султанът	sultão	султан	N;MASC;SG	N;DEF;MASC;SG
sultão	султана	sultão	султана	N;MASC;SG	N;DEF;MASC;SG
gerenciamento	мениджмънт	gerenciamento	мениджмънт	N;MASC;SG	N;INDF;MASC;SG
gerenciamento	управление	gerenciamento	управление	N;MASC;SG	N;INDF;NEUT;SG
financiamento	финансиране	financiamento	финансиране	N;MASC;SG	N;INDF;NEUT;SG
financiamento	финансиране	financiamento	финансиране	N;MASC;SG	N;INDF;NEUT;SG
protesto	възражение	protesto	възражение	N;MASC;SG	N;INDF;NEUT;SG
protesto	протест	protesto	протест	N;MASC;SG	N;INDF;MASC;SG
pecado	грехът	pecado	грях	N;MASC;SG	N;DEF;MASC;SG
pecado	грях	pecado	грях	N;MASC;SG	N;INDF;MASC;SG
fugiu	избяга	fugir	избягам	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
fugiu	избягал	fugir	избягам	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
burocratas	бюрократи	burocrata	бюрократ	N;MASC;PL	N;INDF;MASC;PL
wellington	уелингтън	wellington	уелингтън	N;MASC;SG	N;INDF;MASC;SG
pilar	стълб	pilar	стълб	N;MASC;SG	N;INDF;MASC;SG
pilar	пилар	pilar	пилар	N;MASC;SG	N;INDF;FEM;SG
geográfico	географска	geográfico	географски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
geográfico	географски	geográfico	географски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
geográfico	географска	geográfico	географски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
geográfico	географски	geográfico	географски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
roberts	робъртс	robert	робъртс	N;MASC;SG	N;INDF;MASC;SG
pato	дък	pato	дък	N;MASC;SG	N;INDF;MASC;SG
pato	патка	pato	патка	N;MASC;SG	N;INDF;FEM;SG
pato	пате	pato	пата	N;MASC;SG	N;INDF;NEUT;SG
pato	патица	pato	патица	N;MASC;SG	N;INDF;FEM;SG
classificadas	сортирани	classificar	сортирам	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
classificadas	класифицирани	classificar	класифицирам	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
participante	участник	participante	участник	N;MASC;SG	N;INDF;MASC;SG
concreto	бетон	concreto	бетон	N;MASC;SG	N;INDF;MASC;SG
ama	обича	amar	обичам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fiável	надежден	fiável	надеждя-(се)	ADJ;MASC;SG	ADJ;INDF;MASC;SG
fiável	надеждна	fiável	надежден	ADJ;MASC;SG	ADJ;INDF;FEM;SG
protegido	защитена	proteger	защитя	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
protegido	защитено	proteger	защитя	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
prefixo	представка	prefixo	представка	N;MASC;SG	N;INDF;FEM;SG
concedida	предоставено	conceder	предоставя	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
concedida	предоставен	conceder	предоставя	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
concedida	предоставена	conceder	предоставя	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
institucional	институционална	institucional	институционален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
square	квадрат	square	квадрат	N;MASC;SG	N;INDF;MASC;SG
square	площад	square	площад	N;MASC;SG	N;INDF;MASC;SG
lendas	легенди	lenda	легенда	N;FEM;PL	N;INDF;MASC;PL
lendas	легендите	lenda	легенд	N;FEM;PL	N;DEF;MASC;PL
prato	блюдо	prato	блюдо	N;MASC;SG	N;INDF;NEUT;SG
prato	ястие	prato	ястие	N;MASC;SG	N;INDF;NEUT;SG
prato	чинията	prato	чиния	N;MASC;SG	N;DEF;FEM;SG
prato	чиния	prato	чиния	N;MASC;SG	N;INDF;FEM;SG
prato	плоча	prato	плоча-(се)	N;MASC;SG	N;INDF;FEM;SG
mixagem	смесване	mixagem	смесване	N;FEM;SG	N;INDF;NEUT;SG
mixagem	микс	mixagem	микс	N;FEM;SG	N;INDF;MASC;SG
mixagem	смесване	mixagem	смесване	N;FEM;SG	N;INDF;NEUT;SG
difusão	дифузия	difusão	дифузия	N;FEM;SG	N;INDF;FEM;SG
difusão	излъчване	difusão	излъчване	N;FEM;SG	N;INDF;NEUT;SG
difusão	разпространяване	difusão	разпространяване	N;FEM;SG	N;INDF;NEUT;SG
difusão	разпространение	difusão	разпространение	N;FEM;SG	N;INDF;NEUT;SG
tributo	почит	tributo	почит	N;MASC;SG	N;INDF;FEM;SG
tributo	поклон	tributo	поклон	N;MASC;SG	N;INDF;MASC;SG
muro	стена	muro	стена	N;MASC;SG	N;INDF;FEM;SG
muro	стената	muro	стена	N;MASC;SG	N;DEF;FEM;SG
muro	уол	muro	уол	N;MASC;SG	N;INDF;FEM;SG
medicamentos	лекарства	medicamento	лекарство	N;MASC;PL	N;INDF;NEUT;PL
fraco	слаб	fraco	слаб	ADJ;MASC;SG	ADJ;INDF;MASC;SG
fraco	слаба	fraco	слаб	ADJ;MASC;SG	ADJ;INDF;FEM;SG
dezesseis	шестнадесет	dezessel	шестнадесет	NUM	NUM;INDF;PL
demonstrou	доказана	demonstrar	докажа	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
demonstrou	доказано	demonstrar	докажа	V;IND;SG;3;PST;FIN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
demonstração	демо	demonstração	демо	N;FEM;SG	N;INDF;NEUT;SG
demonstração	демонстрация	demonstração	демонстрация	N;FEM;SG	N;INDF;FEM;SG
demonstração	доказване	demonstração	доказване	N;FEM;SG	N;INDF;NEUT;SG
faculdades	колежи	faculdade	колеж	N;FEM;PL	N;INDF;MASC;PL
faculdades	колежите	faculdade	колеж	N;FEM;PL	N;DEF;MASC;PL
bull	бик	bull	бика	N;MASC;SG	N;INDF;MASC;SG
bull	бул	bull	бул	N;MASC;SG	N;INDF;MASC;SG
salário	заплатата	salário	заплата	N;MASC;SG	N;DEF;FEM;SG
salário	заплата	salário	заплата	N;MASC;SG	N;INDF;FEM;SG
wallace	уолас	wallace	уолас	N;MASC;SG	N;INDF;MASC;SG
comandos	командоси	comando	командос	N;MASC;PL	N;INDF;MASC;PL
comandos	команди	comando	команд	N;MASC;PL	N;INDF;MASC;PL
comandos	командите	comando	команд	N;MASC;PL	N;DEF;MASC;PL
comandos	командоси	comando	командос	N;MASC;PL	N;INDF;MASC;PL
comandos	контроли	comando	контрола	N;MASC;PL	N;INDF;FEM;PL
recomendação	препоръка	recomendação	препоръка	N;FEM;SG	N;INDF;FEM;SG
coberto	покрито	cobrir	покрия-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
coberto	покрита	cobrir	покрия-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
conspiração	парцел	conspiração	парцел	N;FEM;SG	N;INDF;MASC;SG
conspiração	сюжет	conspiração	сюжет	N;FEM;SG	N;INDF;MASC;SG
conspiração	заговор	conspiração	заговор	N;FEM;SG	N;INDF;MASC;SG
conspiração	заговор	conspiração	заговор	N;FEM;SG	N;INDF;MASC;SG
conspiração	конспирация	conspiração	конспирация	N;FEM;SG	N;INDF;FEM;SG
