aliado	حليف	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
robo	سطو	robo	سَطو	N;MASC;SG	N;NOM;INDF;SG
modificado	معدلة	modificado	مُعَدَّل	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
radial	شعاعي	radial	شَعَاعِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
contactos	الاتصالات	contacto	اِتِّصَال	N;MASC;PL	N;NOM;DEF;PL
contactos	اتصالات	contacto	اِتِّصَال	N;MASC;PL	N;NOM;INDF;PL
flauta	الفلوت	flauta	فِلَىت	N;FEM;SG	N;NOM;DEF;SG
flauta	الناي	flauta	نَايِي	N;FEM;SG	N;NOM;DEF;SG
hormigón	الاسمنت	hormigón	أَسمَنت	N;MASC;SG	N;NOM;DEF;SG
hormigón	الخرسانة	hormigón	خَرَسَانَة	N;MASC;SG	N;NOM;DEF;SG
odio	الكراهية	odio	كُرَاهِيّ	N;MASC;SG	N;NOM;DEF;SG
odio	الحقد	odio	الحقد	N;MASC;SG	N;NOM;DEF;SG
odio	كراهية	odio	كَرَاهِيَّة	N;MASC;SG	N;NOM;INDF;SG
odio	الكراهية	odio	كُرَاهِيّ	N;MASC;SG	N;NOM;DEF;SG
odio	الكره	odio	الكره	N;MASC;SG	N;NOM;DEF;SG
odio	حقد	odio	حَقد	N;MASC;SG	N;NOM;INDF;SG
consultas	المشاورات	consulta	مُشَاوَرَة	N;FEM;PL	N;NOM;DEF;PL
consultas	مشاورات	consulta	مُشَاوَرَة	N;FEM;PL	N;NOM;INDF;PL
consultas	استفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;INDF;PL
consultas	الاستفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;DEF;PL
consultas	المشاورات	consulta	مُشَاوَرَة	N;FEM;PL	N;NOM;DEF;PL
consultas	استفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;INDF;PL
consultas	الاستفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;DEF;PL
consultas	استفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;INDF;PL
consultas	تحريات	consulta	تَحَرِّي	N;FEM;PL	N;NOM;INDF;PL
consultas	التحقيقات	consulta	تَحقِيق	N;FEM;PL	N;NOM;DEF;PL
consultas	الاستفسارات	consulta	اِستِفسَار	N;FEM;PL	N;NOM;DEF;PL
comprobar	تحقق	comprobar	حَقَّق	V;NFIN	V;PFV;MASC;SG;3;ACT
comprobar	تفقد	comprobar	فَقَد	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
prosa	النثر	prosa	نَثر	N;FEM;SG	N;NOM;DEF;SG
radicales	المتطرفين	radical	مُتَطَرِّف	ADJ;PL	ADJ;NOM;DEF;MASC;PL
religiones	الاديان	religión	دِين	N;FEM;PL	N;NOM;DEF;PL
religiones	الديانات	religión	دِيَانَة	N;FEM;PL	N;NOM;DEF;PL
lealtad	الاخلاص	lealtad	خَلَص	N;FEM;SG	N;NOM;DEF;SG
lealtad	ولاء	lealtad	وَلَاء	N;FEM;SG	N;NOM;INDF;SG
lealtad	الولاء	lealtad	وَلَاء	N;FEM;SG	N;NOM;DEF;SG
start	بداية	start	بِدَايَة	N	N;NOM;INDF;SG
start	البداية	start	بِدَايَة	N	N;NOM;DEF;SG
start	بدء	start	بَدء	N	N;NOM;INDF;SG
funcional	وظيفية	funcional	وَظِيفِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
funcional	وظيفي	funcional	وظيفي	ADJ;SG	ADJ;NOM;INDF;MASC;SG
disparos	طلقات	disparo	طَلَق	N;MASC;PL	N;NOM;INDF;PL
disparos	لقطات	disparo	لَقَطَة	N;MASC;PL	N;NOM;INDF;PL
máscara	قناع	máscara	قناع	N;FEM;SG	N;NOM;INDF;SG
máscara	القناع	máscara	قَنَاع	N;FEM;SG	N;NOM;DEF;SG
activista	ناشط	activista	نَاشِط	N;SG	N;NOM;INDF;SG
activista	الناشطة	activista	نَاشِطَة	N;SG	N;NOM;DEF;SG
novelista	الروائي	novelista	رِوَائِيّ	N;SG	N;NOM;DEF;SG
puro	نقية	puro	نَقِيَّة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
tomas	طلقات	toma	طَلَق	N;FEM;PL	N;NOM;INDF;PL
tomas	لقطات	toma	لَقَطَة	N;FEM;PL	N;NOM;INDF;PL
separada	منفصل	separado	مُنفَصِل	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
separada	منفصل	separado	مُنفَصِل	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
separada	منفصلة	separado	مُنفَصِل	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
comprensión	الفهم	comprensión	فَهم	N;FEM;SG	N;NOM;DEF;SG
comprensión	التفاهم	comprensión	تَفَاهُم	N;FEM;SG	N;NOM;DEF;SG
comprensión	التفهم	comprensión	تَفَهُّم	N;FEM;SG	N;NOM;DEF;SG
comprensión	الفهم	comprensión	فَهم	N;FEM;SG	N;NOM;DEF;SG
comprensión	تفاهم	comprensión	تَفَاهُم	N;FEM;SG	N;NOM;INDF;SG
distinguir	يميز	distinguir	أَمَاز	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
expediciones	بعثات	expedición	بَعثَة	N;FEM;PL	N;NOM;INDF;PL
rodeada	محاط	rodeado	مُحَاطِي	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
chocolate	الشوكولاتة	chocolate	شُوكُولَات	N;MASC;SG	N;NOM;DEF;SG
terminada	منتهي	terminado	منتهي	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
tumbas	قبور	tumba	قَبر	N;FEM;PL	N;NOM;INDF;PL
tumbas	القبور	tumba	قُبُور	N;FEM;PL	N;NOM;DEF;PL
conservar	احتفظ	conservar	اِحتَفَظ	V;NFIN	V;PFV;MASC;SG;3;ACT
inmediata	الفوري	inmediato	فَورِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
inmediata	فوري	inmediato	فَورِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
riego	الري	riego	رَيّ	N;MASC;SG	N;NOM;DEF;SG
riego	للري	riego	للري	N;MASC;SG	N;NOM;DEF;SG
piernas	سيقان	pierna	سِيقَان	N;FEM;PL	N;NOM;INDF;PL
dramático	درامية	dramático	دِرَامِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
músculo	العضلة	músculo	عُضلَة	N;MASC;SG	N;NOM;DEF;SG
músculo	عضلة	músculo	عضلة	N;MASC;SG	N;NOM;INDF;SG
atleta	رياضي	atleta	رِيَاضِيّ	N;SG	N;NOM;INDF;SG
bonus	علاوة	bonu	عِلَاوَة	N	N;ACC;INDF;SG
bonus	العلاوة	bonu	عِلَاوَة	N	N;NOM;DEF;SG
croata	الكرواتي	croata	كُرُوَاتِيّ	N;SG	N;NOM;DEF;SG
croata	الكرواتية	croata	كُرُوَاتِيّ	N;SG	N;NOM;DEF;SG
perdón	الاسف	perdón	أَسف	N;MASC;SG	N;NOM;DEF;SG
perdón	عذرا	perdón	عَذَر	N;MASC;SG	N;ACC;INDF;SG
paquete	طرد	paquete	طَرد	N;SG	N;NOM;INDF;SG
paquete	حزمة	paquete	حُزمَة	N;SG	N;NOM;INDF;SG
paquete	طرد	paquete	طَرد	N;SG	N;NOM;INDF;SG
paquete	الحزمة	paquete	حُزمَة	N;SG	N;NOM;DEF;SG
paquete	الطرد	paquete	طَرد	N;SG	N;NOM;DEF;SG
paquete	رزمة	paquete	رزمة	N;SG	N;NOM;INDF;SG
paquete	الحزمة	paquete	حُزمَة	N;SG	N;NOM;DEF;SG
paquete	حزمة	paquete	حُزمَة	N;SG	N;NOM;INDF;SG
paquete	حزمة	paquete	حُزمَة	N;SG	N;NOM;INDF;SG
desconocida	مجهول	desconocido	مَجهُول	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
mono	قرد	mono	قَرد	N;MASC;SG	N;NOM;INDF;SG
mono	القرد	mono	قَرد	N;MASC;SG	N;NOM;DEF;SG
rehabilitación	التاهيل	rehabilitación	تَاهِيل	N;FEM;SG	N;NOM;DEF;SG
revelación	الكشف	revelación	كَشف	N;FEM;SG	N;NOM;DEF;SG
revelación	الوحي	revelación	وَحي	N;FEM;SG	N;NOM;DEF;SG
revelación	الكشف	revelación	كَشف	N;FEM;SG	N;NOM;DEF;SG
revelación	الافصاح	revelación	إِفصَاح	N;FEM;SG	N;NOM;DEF;SG
aluminio	الالمنيوم	aluminio	الالمنيوم	N;MASC;SG	N;NOM;DEF;SG
satélites	السواتل	satélite	سُوَاتِل	N;MASC;PL	N;NOM;DEF;PL
satélites	السواتل	satélite	سُوَاتِل	N;MASC;PL	N;NOM;DEF;PL
zero	صفرا	zero	صفرا	N	N;ACC;INDF;SG
zero	الصفر	zero	صِفر	N	N;NOM;DEF;SG
infección	عدوى	infección	عَدوَى	N;FEM;SG	N;NOM;INDF;SG
infección	العدوى	infección	عَدوَى	N;FEM;SG	N;NOM;DEF;SG
largometraje	الميزة	largometraje	مِيزَة	N;MASC;SG	N;NOM;DEF;SG
largometraje	ميزة	largometraje	مِيزَة	N;MASC;SG	N;NOM;INDF;SG
largometraje	سمة	largometraje	سِمَّة	N;MASC;SG	N;NOM;INDF;SG
noveno	تاسعا	noveno	تَاسِع	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
noveno	التاسع	noveno	تَاسِع	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
noveno	التاسعة	noveno	تَاسِع	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
mezquita	مسجد	mezquita	مَسجِد	N;FEM;SG	N;NOM;INDF;SG
mezquita	المسجد	mezquita	مَسجِد	N;FEM;SG	N;NOM;DEF;SG
mezquita	الجامع	mezquita	جَامِع	N;FEM;SG	N;NOM;DEF;SG
contratos	عقود	contrato	عَقد	N;MASC;PL	N;NOM;INDF;PL
contratos	العقود	contrato	عَقد	N;MASC;PL	N;NOM;DEF;PL
guardias	حراس	guardia	حراس	N;PL	N;NOM;INDF;PL
guardias	الحراس	guardia	حَارِس	N;PL	N;NOM;DEF;PL
terrorista	الارهابي	terrorista	إِرهَابِيّ	N;SG	N;NOM;DEF;SG
superficial	السطحية	superficial	سَطحِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
superficial	سطحية	superficial	سَطحِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
superficial	سطحي	superficial	سَطحِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
superficial	سطحي	superficial	سَطحِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
hardware	العتاد	harewar	عِتَاد	N;MASC;SG	N;NOM;DEF;SG
abundancia	وفرة	abundancia	وَفرَة	N;FEM;SG	N;NOM;INDF;SG
abundancia	الوفرة	abundancia	وَفرَة	N;FEM;SG	N;NOM;DEF;SG
procesamiento	معالجة	procesamiento	مُعَالَجَة	N;MASC;SG	N;NOM;INDF;SG
procesamiento	التجهيز	procesamiento	تَجهِيز	N;MASC;SG	N;NOM;DEF;SG
procesamiento	المعالجة	procesamiento	مُعَالَجَة	N;MASC;SG	N;NOM;DEF;SG
procesamiento	تجهيز	procesamiento	تَجهِيز	N;MASC;SG	N;NOM;INDF;SG
test	الاختبار	test	اِختِبَار	N;MASC;SG	N;NOM;DEF;SG
test	اختبار	test	اِختِبَار	N;MASC;SG	N;NOM;INDF;SG
redactor	محرر	redactor	محرر	N;MASC;SG	N;NOM;INDF;SG
redactor	المحرر	redactor	مُحَرَّر	N;MASC;SG	N;NOM;DEF;SG
conspiración	مؤامرة	conspiración	مُؤَامَرَة	N;FEM;SG	N;NOM;INDF;SG
conspiración	المؤامرة	conspiración	مُؤَامَرَة	N;FEM;SG	N;NOM;DEF;SG
estratégica	الاستراتيجي	estratégico	إِسترَاتِيجِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
estratégica	استراتيجي	estratégico	إِسترَاتِيجِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
verbo	فعل	verbo	فِعل	N;MASC;SG	N;NOM;INDF;SG
verbo	الفعل	verbo	فِعل	N;MASC;SG	N;NOM;DEF;SG
excelencia	فخامة	excelencia	فَخَامَة	N;FEM;SG	N;NOM;INDF;SG
excelencia	التفوق	excelencia	تَفَوُّق	N;FEM;SG	N;NOM;DEF;SG
excelencia	الامتياز	excelencia	اِمتِيَاز	N;FEM;SG	N;NOM;DEF;SG
excelencia	التميز	excelencia	تَمَيُّز	N;FEM;SG	N;NOM;DEF;SG
funcionario	مسؤول	funcionario	مَسؤُول	N;MASC;SG	N;NOM;INDF;SG
explorador	كشاف	explorador	كَشَاف	N;MASC;SG	N;NOM;INDF;SG
explorador	المتصفح	explorador	مُتَصَفِّح	N;MASC;SG	N;NOM;DEF;SG
explorador	متصفح	explorador	متصفح	N;MASC;SG	N;NOM;INDF;SG
mixto	مختلط	mixto	مُختَلِط	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
mixto	مختلط	mixto	مُختَلِط	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
mixto	مختلطة	mixto	مُختَلِط	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
mixto	المختلطة	mixto	مُختَلِط	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
melodía	اللحن	melodía	لَحن	N;FEM;SG	N;NOM;DEF;SG
estimación	التقدير	estimación	تَقدِير	N;FEM;SG	N;NOM;DEF;SG
estimación	تقدير	estimación	تَقدِير	N;FEM;SG	N;NOM;INDF;SG
estimación	التقدير	estimación	تَقدِير	N;FEM;SG	N;NOM;DEF;SG
estimación	تقدير	estimación	تَقدِير	N;FEM;SG	N;NOM;INDF;SG
estimación	المقدرة	estimación	مُقَدِّر	N;FEM;SG	N;NOM;DEF;SG
area	مساحة	area	مِسَاحَة	N;FEM;SG	N;NOM;INDF;SG
area	المساحة	area	مِسَاحَة	N;FEM;SG	N;NOM;DEF;SG
area	منطقة	area	مِنطَقَة	N;FEM;SG	N;NOM;INDF;SG
area	المنطقة	area	مِنطَقَة	N;FEM;SG	N;NOM;DEF;SG
comunicado	البلاغ	comunicado	بَلَاغ	N;MASC;SG	N;NOM;DEF;SG
comunicado	بلاغ	comunicado	بَلَغ	N;MASC;SG	N;NOM;INDF;SG
comunicado	بيان	comunicado	بَيَان	N;MASC;SG	N;NOM;INDF;SG
comunicado	البيان	comunicado	بَيَان	N;MASC;SG	N;NOM;DEF;SG
conversaciones	محادثات	conversación	مُحَادَثَة	N;FEM;PL	N;NOM;INDF;PL
conversaciones	المحادثات	conversación	مُحَادَثَة	N;FEM;PL	N;NOM;DEF;PL
conversaciones	محادثات	conversación	مُحَادَثَة	N;FEM;PL	N;NOM;INDF;PL
conversaciones	المحادثات	conversación	مُحَادَثَة	N;FEM;PL	N;NOM;DEF;PL
percepción	ادراك	percepción	إِدرَاك	N;FEM;SG	N;NOM;INDF;SG
percepción	الادراك	percepción	إِدرَاك	N;FEM;SG	N;NOM;DEF;SG
percepción	التصور	percepción	تَصَوُّر	N;FEM;SG	N;NOM;DEF;SG
bachillerato	البكالوريا	bachillerato	بُكلُورِيَا	N;MASC;SG	N;NOM;DEF;SG
cuadrada	مربعة	cuadrado	مُرَبَّع	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
cuadrada	مربع	cuadrado	مُرَبَّع	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
pila	البطارية	pila	بِطَارِيّ	N;FEM;SG	N;NOM;DEF;SG
pila	بطارية	pila	بَطَّارِيَّة	N;FEM;SG	N;NOM;INDF;SG
pila	الكومة	pila	كَومَة	N;FEM;SG	N;NOM;DEF;SG
pila	كومة	pila	كُومَة	N;FEM;SG	N;NOM;INDF;SG
pila	الكومة	pila	كَومَة	N;FEM;SG	N;NOM;DEF;SG
pila	كومة	pila	كُومَة	N;FEM;SG	N;NOM;INDF;SG
caos	الفوضى	caos	فَوضَى	N;MASC	N;NOM;DEF;SG
módulo	وحدة	módulo	وَحدَة	N;MASC;SG	N;NOM;INDF;SG
turcos	الاتراك	turco	تُرك	N;MASC;PL	N;NOM;DEF;PL
garganta	الحنجرة	garganta	حُنجُرَة	N;FEM;SG	N;NOM;DEF;SG
eficiencia	كفاءة	eficiencia	كَفَاءَة	N;FEM;SG	N;NOM;INDF;SG
eficiencia	الكفاءة	eficiencia	كَفَاءَة	N;FEM;SG	N;NOM;DEF;SG
eficiencia	الفعالية	eficiencia	فَعَّالِيَّة	N;FEM;SG	N;NOM;DEF;SG
prohibido	ممنوع	prohibido	مَمنُوع	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
prohibido	محظور	prohibido	مَحظُور	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
prohibido	محظورة	prohibido	مَحظُور	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
noruego	النرويجية	noruego	نُروِيجِيّ	N;MASC;SG	N;NOM;DEF;SG
consistente	متسق	consistente	مُتَسَقِّق	ADJ;SG	ADJ;NOM;INDF;MASC;SG
consistente	متسقة	consistente	مُتَسَقِّق	ADJ;SG	ADJ;NOM;INDF;FEM;SG
dulces	حلويات	dulce	حَلوَى	N;MASC;PL	N;NOM;INDF;PL
dulces	الحلويات	dulce	حَلوَى	N;MASC;PL	N;NOM;DEF;PL
permanencia	دوام	permanencia	دوام	N;FEM;SG	N;NOM;INDF;SG
permanencia	الدوام	permanencia	دَوَام	N;FEM;SG	N;NOM;DEF;SG
grueso	سميك	grueso	سميك	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
grueso	سميكة	grueso	سمِيكَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
exceso	فائض	exceso	فَائِض	N;MASC;SG	N;NOM;INDF;SG
exceso	الفائض	exceso	فَائِض	N;MASC;SG	N;NOM;DEF;SG
triángulo	المثلث	triángulo	مُثَلَّث	N;MASC;SG	N;NOM;DEF;SG
triángulo	مثلث	triángulo	مُثَلَّث	N;MASC;SG	N;NOM;INDF;SG
relativo	النسبي	relativo	نِسبِيّ	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
relativo	نسبيا	relativo	نِسبِيّ	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
relativo	نسبية	relativo	نِسبِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
relativo	نسبي	relativo	نِسبِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
cama	فراش	cama	فَرَاش	N;FEM;SG	N;NOM;INDF;SG
cama	الفراش	cama	فِرَاش	N;FEM;SG	N;NOM;DEF;SG
cama	الفراش	cama	فِرَاش	N;FEM;SG	N;NOM;DEF;SG
cama	سرير	cama	سَرِير	N;FEM;SG	N;NOM;INDF;SG
cama	السرير	cama	سَرِير	N;FEM;SG	N;NOM;DEF;SG
cama	فراش	cama	فَرَاش	N;FEM;SG	N;NOM;INDF;SG
eficaz	فعالة	eficaz	فَعَّال	ADJ;SG	ADJ;NOM;INDF;FEM;SG
eficaz	فعال	eficaz	فَعَّال	ADJ;SG	ADJ;NOM;INDF;MASC;SG
comenta	علق	comentar	عَلَّق	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;3;ACT
piedad	شفقة	piedad	شفقة	N;FEM;SG	N;NOM;INDF;SG
piedad	الشفقة	piedad	شَفقَة	N;FEM;SG	N;NOM;DEF;SG
piedad	الرحمة	piedad	رَحمَة	N;FEM;SG	N;NOM;DEF;SG
realismo	الواقعية	realismo	وَاقِعِيَّة	N;MASC;SG	N;NOM;DEF;SG
conversación	المحادثة	conversación	مُحَادَثَة	N;FEM;SG	N;NOM;DEF;SG
conversación	محادثة	conversación	محادثة	N;FEM;SG	N;NOM;INDF;SG
pionero	رائدا	pionero	رَائِد	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
pionero	رائدة	pionero	رَائِدَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
emisoras	المذيعين	emisora	مُذِيع	N;FEM;PL	N;NOM;DEF;PL
emisoras	محطات	emisora	مَحَطَّة	N;FEM;PL	N;NOM;INDF;PL
emisoras	المحطات	emisora	مَحَطَّة	N;FEM;PL	N;NOM;DEF;PL
habitaciones	الغرف	habitación	غُرفَة	N;FEM;PL	N;NOM;DEF;PL
habitaciones	غرف	habitación	غُرفَة	N;FEM;PL	N;NOM;INDF;PL
arbustos	الشجيرات	arbusto	شَجِير	N;MASC;PL	N;NOM;DEF;PL
aeropuertos	مطارات	aeropuerto	مَطَار	N;MASC;PL	N;NOM;INDF;PL
aeropuertos	المطارات	aeropuerto	مَطَار	N;MASC;PL	N;NOM;DEF;PL
urbanización	التحضر	urbanización	تَحَضُّر	N;FEM;SG	N;NOM;DEF;SG
adjunto	النائب	adjunto	نَائِب	N;MASC;SG	N;NOM;DEF;SG
adjunto	نائب	adjunto	نَائِب	N;MASC;SG	N;NOM;INDF;SG
adjunto	التعلق	adjunto	تَعَلُّق	N;MASC;SG	N;NOM;DEF;SG
adjunto	المرفق	adjunto	مِرفَق	N;MASC;SG	N;NOM;DEF;SG
adjunto	مرفق	adjunto	مِرفَق	N;MASC;SG	N;NOM;INDF;SG
supervivencia	نجاة	supervivencia	نجاة	N;FEM;SG	N;NOM;INDF;SG
supervivencia	البقاء	supervivencia	بَقَاء	N;FEM;SG	N;NOM;DEF;SG
supervivencia	بقاء	supervivencia	بَقَاء	N;FEM;SG	N;NOM;INDF;SG
supervivencia	النجاة	supervivencia	النجاة	N;FEM;SG	N;NOM;DEF;SG
pistola	مسدس	pistola	مُسَدَّس	N;FEM;SG	N;NOM;INDF;SG
pistola	مسدس	pistola	مُسَدَّس	N;FEM;SG	N;NOM;INDF;SG
ascensión	الارتقاء	ascensión	اِرتِقَاء	N;FEM;SG	N;NOM;DEF;SG
cover	غطاء	cover	غِطَاء	N	N;NOM;INDF;SG
cover	الغطاء	cover	غِطَاء	N	N;NOM;DEF;SG
cover	تغطية	cover	تَغطِيَة	N	N;NOM;INDF;SG
cover	غلاف	cover	غِلَاف	N	N;NOM;INDF;SG
cover	الغلاف	cover	غِلَاف	N	N;NOM;DEF;SG
constancia	مثابرة	constancia	مُثَابَرَة	N;FEM;SG	N;NOM;INDF;SG
constancia	المثابرة	constancia	مُثَابَرَة	N;FEM;SG	N;NOM;DEF;SG
migración	هجرة	migración	هِجرَة	N;FEM;SG	N;NOM;INDF;SG
migración	الهجرة	migración	هِجرَة	N;FEM;SG	N;NOM;DEF;SG
editora	محرر	editora	محرر	N;FEM;SG	N;NOM;INDF;SG
editora	المحرر	editora	مُحَرَّر	N;FEM;SG	N;NOM;DEF;SG
box	صندوق	box	صُندُوق	N	N;NOM;INDF;SG
box	الصندوق	box	صُندُوق	N	N;NOM;DEF;SG
noventa	التسعينات	noventa	تِسعِينَات	N;MASC;PL	N;NOM;DEF;PL
ola	الموجة	ola	مُوجَة	N;FEM;SG	N;NOM;DEF;SG
ola	موجة	ola	مَوجَة	N;FEM;SG	N;NOM;INDF;SG
adición	الاضافة	adición	إِضَافَة	N;FEM;SG	N;NOM;DEF;SG
adición	اضافة	adición	إِضَافَة	N;FEM;SG	N;NOM;INDF;SG
dialecto	اللهجة	dialecto	لَهجَة	N;MASC;SG	N;NOM;DEF;SG
dialecto	لهجة	dialecto	لَهجَة	N;MASC;SG	N;NOM;INDF;SG
gramática	النحو	gramático	نَحو	N;FEM;SG	N;NOM;DEF;SG
limpieza	نظافة	limpieza	نَظَافَة	N;FEM;SG	N;NOM;INDF;SG
limpieza	النظافة	limpieza	نِظَافَة	N;FEM;SG	N;NOM;DEF;SG
limpieza	تنظيف	limpieza	تَنظِيف	N;FEM;SG	N;NOM;INDF;SG
limpieza	التنظيف	limpieza	تَنظِيف	N;FEM;SG	N;NOM;DEF;SG
limpieza	تنظيف	limpieza	تَنظِيف	N;FEM;SG	N;NOM;INDF;SG
limpieza	التنظيف	limpieza	تَنظِيف	N;FEM;SG	N;NOM;DEF;SG
limpieza	النظيفة	limpieza	نَظِيف	N;FEM;SG	N;NOM;DEF;SG
revolucionaria	الثورية	revolucionario	ثُورِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
púrpura	البنفسجي	púrpura	بَنفسِجِيّ	N;FEM;SG	N;NOM;DEF;SG
eclesiástica	الكنسية	eclesiástico	كَنسِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
tecnológica	تكنولوجية	tecnológico	تِكنُولُوجِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
expresar	اعرب	expresar	أَعرَب	V;NFIN	V;PFV;MASC;SG;3;ACT
minoría	الاقلية	minoría	الاقلية	N;FEM;SG	N;NOM;DEF;SG
minoría	اقلية	minoría	اقلية	N;FEM;SG	N;NOM;INDF;SG
medicamentos	العقاقير	medicamento	عَقَّار	N;MASC;PL	N;NOM;DEF;PL
medicamentos	عقاقير	medicamento	عَقَّاقِير	N;MASC;PL	N;NOM;INDF;PL
medicamentos	مخدرات	medicamento	مُخَدِّر	N;MASC;PL	N;NOM;INDF;PL
medicamentos	المخدرات	medicamento	مُخَدِّر	N;MASC;PL	N;NOM;DEF;PL
medicamentos	ادوية	medicamento	دَوَاء	N;MASC;PL	N;NOM;INDF;PL
medicamentos	الادوية	medicamento	دَوَاء	N;MASC;PL	N;NOM;DEF;PL
bebida	الشرب	bebida	شُرب	N;FEM;SG	N;NOM;DEF;SG
bebida	شرب	bebida	شُرب	N;FEM;SG	N;NOM;INDF;SG
bebida	شرب	bebida	شُرب	N;FEM;SG	N;NOM;INDF;SG
bebida	شراب	bebida	شَرب	N;FEM;SG	N;NOM;INDF;SG
bebida	مشروب	bebida	مَشرُوب	N;FEM;SG	N;NOM;INDF;SG
rascacielos	ناطحات	rascacielos	نَاطِحَة	N;MASC;PL	N;NOM;INDF;PL
aceptada	مقبولة	aceptado	مَقبُول	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
favorito	مفضل	favorito	مُفَضِّل	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
favorito	المفضل	favorito	مُفَضِّل	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
favorito	مفضلة	favorito	مُفضَلّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
favorito	مفضل	favorito	مُفَضِّل	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
favorito	المفضل	favorito	مُفَضِّل	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
tiende	ينزع	tender	نَزَع	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
tiende	يميل	tender	مَال	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
conjunta	مشتركة	conjunto	مُشتَرَك	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
apoya	يدعم	apoyar	دَعَم	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
apoya	تؤيد	apoyar	أَيَّد	V;IND;SG;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
transforma	تحول	transformar	تَحَوَّل	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;3;ACT
transforma	يحول	transformar	حَوَّل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
élite	نخبة	élite	نُخبَة	N;FEM;SG	N;NOM;INDF;SG
