से	from	से	from		
निदान	diagnoza	निदान	diagnoza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निदान	diagnostyka	निदान	diagnostyka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निदान	diagnostyka	निदान	diagnostyka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिमा	figura	प्रतिमा	figura	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बेटी	córka	बेटी	córka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बेटी	córeczka	बेटी	córeczka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ज्योतिष	astrologia	ज्योतिष	astrologia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मुश्किल	ledwo	मुश्किल	ledwo		
मुश्किल	ledwie	मुश्किल	ledwie		
मुश्किल	hard	मुश्किल	hard		
मुश्किल	twarde	मुश्किल	twardy		
मुश्किल	trudne	मुश्किल	trudny		
ईंधन	paliwo	ईंधन	paliwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
तनाव	stres	तनाव	stres	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बैठक	zebrania	बैठक	zebraniać	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
बैठक	posiedzenia	बैठक	posiedzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
बैठक	posiedzenie	बैठक	posiedzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
बैठक	zebranie	बैठक	zebranie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
बैठक	spotkanie	बैठक	spotkanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
कम्प्यूटर	komputer	कम्प्यूटर	komputer	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जल्द	niedługo	जल्द	niedługo	ADV	ADV
जल्द	wkrótce	जल्द	wkrótce	ADV	ADV
हॉल	sala	हॉल	sala	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जवाब	odpowiedź	जवाब	odpowiedź	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जवाब	odpowiedź	जवाब	odpowiedź	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जवाब	odpowiedź	जवाब	odpowiedź	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जवाब	reakcja	जवाब	reakcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जवाब	reagowanie	जवाब	reagować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
संपादक	wydawca	संपादक	wydawca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संपादक	redaktor	संपादक	redaktor	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संपादक	edytor	संपादक	edytor	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संपादक	wydawcy	संपादक	wydawca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ग्रुप	grupa	ग्रुप	grupa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गहराई	głębokość	गहराई	głębokość	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कण	cząstka	कण	cząstka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शिखर	szczyt	शिखर	szczyt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
धरती	ziemia	धरती	ziemia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परंपरागत	tradycyjne	परंपरागत	tradycyjny	ADJ	ADJ;NOM;NEUT;SG
परंपरागत	tradycyjna	परंपरागत	tradycyjny	ADJ	ADJ;NOM;FEM;SG
परंपरागत	tradycyjny	परंपरागत	tradycyjny	ADJ	ADJ;NOM;MASC;SG
परंपरागत	tradycyjnych	परंपरागत	tradycyjny	ADJ	ADJ;GEN;MASC;PL
परंपरागत	prawosławny	परंपरागत	prawosławny	ADJ	ADJ;NOM;MASC;SG
समीकरण	równanie	समीकरण	równać	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जाँच	test	जाँच	test	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जाँच	badanie	जाँच	badanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
जाँच	próba	जाँच	próba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जाँच	sprawdzanie	जाँच	sprawdzać	N;NOM;FEM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
मापन	pomiar	मापन	pomiar	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मापन	wycena	मापन	wycenać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रथा	trening	प्रथा	trening	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रथा	praktyka	प्रथा	praktyka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दोनो	oboje	दोनो	obój		
दोनो	oba	दोनो	oba		
देखी	obejrzał	देख	obejrzeć	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
आंशिक	proporcjonalny	आंशिक	proporcjonalny	ADJ;NOM	ADJ;NOM;MASC;SG
आंशिक	proporcjonalna	आंशिक	proporcjonalny	ADJ;NOM	ADJ;NOM;FEM;SG
आंशिक	proporcjonalne	आंशिक	proporcjonalny	ADJ;NOM	ADJ;NOM;NEUT;SG
आंशिक	częściowa	आंशिक	częściowy	ADJ;NOM	ADJ;NOM;FEM;SG
आंशिक	częściowy	आंशिक	częściowy	ADJ;NOM	ADJ;NOM;MASC;SG
आंशिक	częściowe	आंशिक	częściowy	ADJ;NOM	ADJ;NOM;NEUT;SG
परम्परा	tradycja	परम्परा	tradycja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
एसोसिएशन	stowarzyszenia	एसोसिएशन	stowarzyszenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
एसोसिएशन	stowarzyszenia	एसोसिएशन	stowarzyszenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
एसोसिएशन	stowarzyszenie	एसोसिएशन	stowarzyszenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
साइट	witryna	साइट	witryna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
साइट	strona	साइट	strona	N;NOM;FEM;SG;3	N;NOM;FEM;SG
यहूदी	żyd	यहूदी	żyd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विशेषकर	szczególnie	विशेषकर	szczególnie	ADV	ADV
विशेषकर	specjalnie	विशेषकर	specjalnie	ADV	ADV
विशेषकर	szczególnie	विशेषकर	szczególnie	ADV	ADV
महाद्वीप	kontynent	महाद्वीप	kontynent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मुक्ति	wyzwolenie	मुक्ति	wyzwolenie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
मुक्ति	ratunek	मुक्ति	ratunek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मुक्ति	zbawienie	मुक्ति	zbawienie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
प्रजनन	hodowla	प्रजनन	hodowle	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बॉक्स	pole	बॉक्स	pole	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बॉक्स	pudełko	बॉक्स	pudełko	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बॉक्स	skrzynia	बॉक्स	skrzyniać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बॉक्स	ramka	बॉक्स	ramka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
श्रेय	kredyt	श्रेय	kredyt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टेट	stan	स्टेट	stan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टेट	państwo	स्टेट	państwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
समकालीन	współczesna	समकालीन	współczesny	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रारूप	szkic	प्रारूप	szkic	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रारूप	format	प्रारूप	format	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वजन	ciężar	वजन	ciężar	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रक्रियाओं	procedury	प्रक्रिया	procedura	N;ACC;FEM;PL;3	N;ACC;FEM;PL
अभिव्यक्ति	wyrażenia	अभिव्यक्ति	wyrażenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
अभिव्यक्ति	wyrażenie	अभिव्यक्ति	wyrażenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
चोट	uraz	चोट	uraz	N;NOM;FEM;SG;3	N;NOM;MASC;SG
चोट	uszkodzenie	चोट	uszkodzić	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
संगीतकार	muzyk	संगीतकार	muzyk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रवृत्ति	trend	प्रवृत्ति	trend	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रवृत्ति	tendencja	प्रवृत्ति	tendencja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रुचि	zainteresowanie	रुचि	zainteresowanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
परत	warstwa	परत	warstwa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पर्यटक	turyści	पर्यटक	turysta	N;NOM;MASC;PL;3	N;NOM;MASC;PL
मछली	włókno	मछली	włókno	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
मछली	ryba	मछली	ryba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मछली	rybka	मछली	rybka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उपभोक्ता	konsument	उपभोक्ता	konsument	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वैज्ञानिकों	naukowców	वैज्ञानिक	naukowiec	N;ACC;MASC;PL;3	N;ACC;MASC;PL
कक्ष	ogniwa	कक्ष	ogniwy		
कक्ष	cela	कक्ष	cela		
मशहूर	sławne	मशहूर	sławny	ADJ	ADJ;NOM;NEUT;SG
मशहूर	sławny	मशहूर	sławny	ADJ	ADJ;NOM;MASC;SG
मशहूर	sławna	मशहूर	sławna	ADJ	ADJ;NOM;FEM;SG
अनुबंध	pakt	अनुबंध	pakt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुबंध	porozumienie	अनुबंध	porozumienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
अनुबंध	umowa	अनुबंध	umowa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुबंध	porozumienia	अनुबंध	porozumienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
अनुबंध	umowa	अनुबंध	umowa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुबंध	zlecenie	अनुबंध	zlecenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
पाठ्यक्रम	kurs	पाठ्यक्रम	kurs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिष्ठित	szlachetnych	प्रतिष्ठित	szlachetny	ADJ	ADJ;GEN;MASC;PL
प्रतिष्ठित	szlachetne	प्रतिष्ठित	szlachetny	ADJ	ADJ;NOM;NEUT;SG
प्रतिष्ठित	szlachetna	प्रतिष्ठित	szlachetny	ADJ	ADJ;NOM;FEM;SG
प्रतिष्ठित	szlachetny	प्रतिष्ठित	szlachetny	ADJ	ADJ;NOM;MASC;SG
प्रतिष्ठित	wybitny	प्रतिष्ठित	wybitny	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
गवर्नर	gubernator	गवर्नर	gubernator	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिभा	geniusz	प्रतिभा	geniusz	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रतिभा	talent	प्रतिभा	talent	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सीट	siedzenie	सीट	siedzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
सीट	siedziba	सीट	siedziba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सीट	siedzenia	सीट	siedzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
व्यावहारिक	praktyczne	व्यावहारिक	praktyczny	ADJ;NOM	ADJ;NOM;NEUT;SG
व्यावहारिक	praktyczna	व्यावहारिक	praktyczny	ADJ;NOM	ADJ;NOM;FEM;SG
व्यावहारिक	praktyczny	व्यावहारिक	praktyczny	ADJ;NOM	ADJ;NOM;MASC;SG
व्यावहारिक	wnikliwe	व्यावहारिक	wnikliwy	ADJ;NOM	ADJ;NOM;NEUT;SG
उत्सव	festiwal	उत्सव	festiwal	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्सव	święto	उत्सव	święto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
उत्सव	świętowanie	उत्सव	świętowanie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
उत्सव	święto	उत्सव	święto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
उत्सव	uroczystość	उत्सव	uroczystość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कपड़े	ubrania	कपड़ा	ubranie	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
कपड़े	ubrania	कपड़ा	ubranie	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
सालों	lata	साल	rok	N;NOM;MASC;PL;3	N;NOM;MASC;PL
हजारों	tysięcy	हजार	tysiąc	N;ACC;MASC;PL;3	N;ACC;MASC;PL
लम्बी	długa	लंबा	długi	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
लम्बी	długie	लंबा	długi	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
बुद्धि	wywiad	बुद्धि	wywiad	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बुद्धि	inteligencja	बुद्धि	inteligencja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विषाणु	wirus	विषाणु	wirus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
फ्रांसीसी	francuski	फ्रांसीसी	francuski	ADJ;NOM	ADJ;NOM;MASC;SG
फ्रांसीसी	francuska	फ्रांसीसी	francuski	ADJ;NOM	ADJ;NOM;FEM;SG
फ्रांसीसी	francuskie	फ्रांसीसी	francuski	ADJ;NOM	ADJ;NOM;NEUT;SG
कठोर	rygorystyczne	कठोर	rygorystyczny	ADJ	ADJ;NOM;NEUT;SG
कठोर	poważna	कठोर	poważny	ADJ	ADJ;NOM;FEM;SG
कठोर	poważne	कठोर	poważny	ADJ	ADJ;NOM;NEUT;SG
कठोर	rygorystyczne	कठोर	rygorystyczny	ADJ	ADJ;NOM;NEUT;SG
विकार	zaburzenie	विकार	zaburzyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विकार	choroba	विकार	choroba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
घटक	element	घटक	element	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घटक	komponent	घटक	komponent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घटक	składnik	घटक	składnik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घनत्व	gęstość	घनत्व	gęstość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
काल्पनिक	fantazja	काल्पनिक	fantazja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रयत्न	nakład	प्रयत्न	nakład	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रजाति	gatunek	प्रजाति	gatunek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विविधता	zróżnicowanie	विविधता	zróżnicowanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
विविधता	różnorodność	विविधता	różnorodność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मानवीय	humanitarna	मानवीय	humanitarny	ADJ	ADJ;NOM;FEM;SG
मानवीय	humanitarne	मानवीय	humanitarny	ADJ	ADJ;NOM;NEUT;SG
कृति	arcydzieło	कृति	arcydzieć	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
ग्रेट	super	ग्रेट	super		
ग्रेट	wspaniale	ग्रेट	wspaniale		
दर्जा	ranking	दर्जा	ranking	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दर्जा	stopień	दर्जा	stopień	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुप्रयोग	podanie	अनुप्रयोग	podanie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
अनुप्रयोग	zastosowanie	अनुप्रयोग	zastosowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
अनुप्रयोग	aplikacja	अनुप्रयोग	aplikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बचने	unikam	बच	unikać	V;NFIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
बचने	unika	बच	unikać	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
सचिव	sekretarz	सचिव	sekretarz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सचिव	sekretarka	सचिव	sekretarka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डिज़ाइन	projekt	डिज़ाइन	projekt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डिज़ाइन	konstrukcja	डिज़ाइन	konstrukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डिज़ाइन	projektowanie	डिज़ाइन	projektować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
आवास	rezydencja	आवास	rezydencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आवास	mieszkalnictwa	आवास	mieszkalnictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आवास	lodge	आवास	lodge	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ज़िला	okręg	ज़िला	okręg	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ज़िला	dystrykt	ज़िला	dystrykt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ज़िला	dzielnica	ज़िला	dzielnica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ज़िला	rejon	ज़िला	rejon	N;NOM;MASC;SG;3	N;NOM;MASC;SG
धारणा	koncepcja	धारणा	koncepcja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
द्रव्यमान	masa	द्रव्यमान	masa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
द्रव्यमान	msza	द्रव्यमान	msza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
न्यायाधीश	sędzia	न्यायाधीश	sędzia	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आकृति	kształt	आकृति	kształt	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आकृति	rysunek	आकृति	rysunek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आकृति	figura	आकृति	figura	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रभावशाली	imponujące	प्रभावशाली	imponować	ADJ	ADJ;NOM;NEUT;SG
एलबम	album	एलबम	album	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एलबम	płyta	एलबम	płyta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चित्रित	malowane	चित्रित	malować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
चित्रित	przedstawiony	चित्रित	przedstawić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
पेट	żołądek	पेट	żołądek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पेट	brzuch	पेट	brzuch	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पेट	brzuch	पेट	brzuch	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दोस्त	kumpel	दोस्त	kumpel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दोस्त	przyjaciółka	दोस्त	przyjaciółka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दोस्त	koleżanka	दोस्त	koleżanka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दोस्त	znajomy	दोस्त	znajomy	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दोस्त	przyjaciel	दोस्त	przyjaciel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वापसी	zwrot	वापसी	zwrot	N;NOM;FEM;SG;3	N;NOM;MASC;SG
वापसी	cofnięcie	वापसी	cofnięcie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
वापसी	wycofania	वापसी	wycofanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
वापसी	wycofanie	वापसी	wycofać	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रोत्साहित	zachęcające	प्रोत्साहित	zachęcać	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
क्रमशः	odpowiednio	क्रमशः	odpowiednio	ADV	ADV
लाइसेंस	licencja	लाइसेंस	licencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लाइसेंस	licencja	लाइसेंस	licencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिशन	misja	मिशन	misja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लंबा	długa	लंबा	długi	ADJ;MASC;SG	ADJ;NOM;FEM;SG
लंबा	długie	लंबा	długi	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
विशेषज्ञ	eksperci	विशेषज्ञ	ekspert	N;NOM;MASC;PL;3	N;NOM;MASC;PL
नौकरी	zlecenie	नौकरी	zlecenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
नौकरी	praca	नौकरी	praca	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उपाय	środki	उपाय	środek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
आकाश	niebo	आकाश	niebo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
शासकों	linijki	शासक	linijka	N;ACC;MASC;PL;3	N;ACC;FEM;PL
स्थानांतरित	przeniesiony	स्थानांतरित	przenieść	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
स्थानांतरित	przeniesiona	स्थानांतरित	przenieść	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
स्थानांतरित	przeniesione	स्थानांतरित	przenieść	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
बचाव	ratowanie	बचाव	ratować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
बचाव	ratunek	बचाव	ratunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बचाव	zapobieganie	बचाव	zapobieganie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
देखभाल	troska	देखभाल	troski	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पर्यटकों	turystów	पर्यटक	turysta	N;ACC;MASC;PL;3	N;ACC;MASC;PL
मादा	samica	मादा	samica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मादा	kobieta	मादा	kobieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मादा	suczka	मादा	suczka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खरीद	zakup	खरीद	zakup	N;NOM;FEM;SG;3	N;NOM;MASC;SG
खरीद	kupno	खरीद	kupno	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
खरीद	zamówienia	खरीद	zamówienie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
उत्सर्जन	wydalanie	उत्सर्जन	wydalać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
उत्सर्जन	emisja	उत्सर्जन	emisja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निवासियों	mieszkańców	निवासी	mieszkaniec	N;ACC;MASC;PL;3	N;ACC;MASC;PL
निवासियों	rezydentów	निवासी	rezydent	N;ACC;MASC;PL;3	N;ACC;MASC;PL
निवासियों	mieszkańców	निवासी	mieszkaniec	N;ACC;MASC;PL;3	N;ACC;MASC;PL
क्षति	zniszczenia	क्षति	zniszczyć	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
क्षति	uszkodzenie	क्षति	uszkodzić	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
क्षति	uszkodzenia	क्षति	uszkodzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
दोष	wina	दोष	wino		
अवतार	avatar	अवतार	avatar	N;NOM;MASC;SG;3	N;NOM;MASC;SG
हाथी	słoń	हाथी	słoń	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शैक्षिक	wykształcenie	शैक्षिक	wykształcenie	N;NOM	N;NOM;NEUT;SG
शैक्षिक	edukacja	शैक्षिक	edukacja	N;NOM	N;NOM;FEM;SG
टीका	szczepionka	टीका	szczepionka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रिलीज	zwolnienie	रिलीज	zwolnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;V.MSDR
रिलीज	uwolnienie	रिलीज	uwolnić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
अदालत	dwór	अदालत	dwór	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अदालत	sąd	अदालत	sąd	N;NOM;FEM;SG;3	N;NOM;MASC;SG
दाब	presja	दाब	presja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दाब	ciśnienie	दाब	ciśnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दाब	nacisk	दाब	nacisk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समझौता	pakt	समझौता	pakt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समझौता	kompromis	समझौता	kompromis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जंगली	dziki	जंगली	dzik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जंगली	dziki	जंगली	dzik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जरूरी	wymagana	जरूरी	wymagać	ADJ	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
जरूरी	wymagane	जरूरी	wymagać	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
जरूरी	wymagany	जरूरी	wymagać	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
आर्ट	sztuka	आर्ट	sztuka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
श्वेत	biel	श्वेत	biel		
श्वेत	white	श्वेत	whita		
श्वेत	biały	श्वेत	biały		
बातों	rzeczy	बात	rzecz	N;ACC;FEM;PL;3	N;ACC;FEM;PL
पत्रकार	dziennikarze	पत्रकार	dziennikarz	N;NOM;MASC;PL;3	N;NOM;MASC;PL
वस्त्र	odzież	वस्त्र	odzież	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वस्त्र	ubranie	वस्त्र	ubranie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आगमन	dojazd	आगमन	dojazd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आगमन	przybycie	आगमन	przybyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
आगमन	przyjazd	आगमन	przyjazd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आगमन	adwent	आगमन	adwent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कन्या	panna	कन्या	panna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पर्व	festiwal	पर्व	festiwal	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पर्व	święto	पर्व	święto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
निष्कर्ष	wnioski	निष्कर्ष	wniosek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
साफ	oczyszczony	साफ	oczyszczony	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
