van	no	van	no		
plato	plato	plato	platot	N;SG	N
kiesers	vēlētāji	kieser	vēlētājs	N;PL	N;NOM;MASC;PL
kiesers	vēlētājiem	kieser	vēlētājs	N;PL	N;DAT;MASC;PL
kiesers	vēlētājus	kieser	vēlētājs	N;PL	N;ACC;MASC;PL
selde	reti	selde	reti	ADV	ADV
konserwatiewe	konservatīvā	konserwatief	konservatīva	ADJ;NOM	ADJ;NOM;FEM;SG
hulpbronne	līdzekļi	hulpbron	līdzeklis	N;PL	N;NOM;MASC;PL
vermy	izvairīties	vermy	izvairīties	V;PRS	V;POS;REFL;NFIN
vermy	nepieļaut	vermy	nepieļaut	V;PRS	V;NEG;NFIN
aspekte	aspektiem	aspek	aspekts	N;PL	N;DAT;MASC;PL
aspekte	aspekti	aspek	aspekts	N;PL	N;NOM;MASC;PL
benadering	pieeja	benadering	pieeja	N;SG	N;NOM;FEM;SG
vasgestel	izveidots	vasstel	izveidot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genera	ģinšu	genera	ģins	N;PL	N;GEN;FEM;PL
skei	sadalīt	skei	sadalīt	V;PRS	V;POS;NFIN
eiendom	īpašums	eiendom	īpašums	N;SG	N;NOM;MASC;SG
eiendom	īpašība	eiendom	īpašība	N;SG	N;NOM;FEM;SG
honderde	simtiem	hond	simts	N;PL	N;DAT;MASC;PL
honderde	simti	hond	simti	N;PL	N;NOM;MASC;PL
susters	māsas	susters	māsa	N;PL	N;NOM;FEM;PL
versamel	vāc	versamel	vākt	V;PRS	V;IMP;SG;2;POS;FIN;ACT
versamel	savākt	versamel	savākt	V;PRS	V;POS;NFIN
versamel	vākt	versamel	vākt	V;PRS	V;POS;NFIN
versamel	savāc	versamel	savākt	V;PRS	V;IMP;SG;2;POS;FIN;ACT
teorieë	teorijas	teorieë	teorija	N;PL	N;NOM;FEM;PL
slagoffers	upuri	slagoffer	upuris	N;PL	N;NOM;MASC;PL
slagoffers	upuriem	slagoffer	upuris	N;PL	N;DAT;MASC;PL
gehuisves	izmitināti	gehuisve	izmitināti	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gestaak	apturēts	staak	apturēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gestaak	pārtrauca	staak	pārtraukt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
gestaak	pārtraukts	staak	pārtraukt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gestaak	pārtraukta	staak	pārtraukt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
aangekoop	iepirka	aankoop	iepirkt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
aangekoop	iegādāts	aankoop	iegādāt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aangekoop	pirkta	aankoop	pirkt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
aangekoop	nopirkts	aankoop	nopirkt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aanhangers	fani	aanhanger	fans	N;PL	N;NOM;MASC;PL
aanhangers	faniem	aanhanger	fans	N;PL	N;DAT;MASC;PL
aanhangers	līdzjutējiem	aanhanger	līdzjutējs	N;PL	N;DAT;MASC;PL
aanhangers	ventilatori	aanhanger	ventilators	N;PL	N;NOM;MASC;PL
arbeid	darbaspēks	arbeid	darbaspēks	N;SG	N;NOM;MASC;SG
arbeid	darbaspēks	arbeid	darbaspēks	N;SG	N;NOM;MASC;SG
briewe	vēstulēs	brief	vēstule	N;PL	N;ESS;FEM;PL
briewe	vēstules	brief	vēstule	N;PL	N;NOM;FEM;PL
briewe	burti	brief	burte	N;PL	N;NOM;MASC;PL
prestasie	sniegums	prestasie	sniegums	N;SG	N;NOM;MASC;SG
prestasie	veiktspēja	prestasie	veiktspēja	N;SG	N;NOM;FEM;SG
verdediging	aizstāvība	verdediging	aizstāvība	N;SG	N;NOM;FEM;SG
verdediging	aizsardzība	verdediging	aizsardzība	N;SG	N;NOM;FEM;SG
verdediging	aizstāvība	verdediging	aizstāvība	N;SG	N;NOM;FEM;SG
verdediging	aizsardzība	verdediging	aizsardzība	N;SG	N;NOM;FEM;SG
sand	smilts	sand	smilts	N;SG	N;NOM;FEM;SG
christendom	kristietība	christendom	kristietība	N;SG	N;NOM;FEM;SG
ontsnap	izbēgt	ontsnap	izbēgt	V;PRS	V;POS;NFIN
ontsnap	aizbēgt	ontsnap	aizbēgt	V;PRS	V;POS;NFIN
poort	portu	poort	ports	N;SG	N;ACC;MASC;SG
poort	ostā	poort	osta	N;SG	N;ESS;FEM;SG
poort	osta	poort	osta	N;SG	N;NOM;FEM;SG
koerante	avīzes	koerant	avīze	N;PL	N;NOM;FEM;PL
koerante	laikraksti	koerant	laikraksts	N;PL	N;NOM;MASC;PL
normale	normāla	normaal	normāls	ADJ;NOM	ADJ;NOM;FEM;SG
normale	normāls	normaal	normāls	ADJ;NOM	ADJ;NOM;MASC;SG
stories	stāsti	stories	stāsts	N;PL	N;NOM;MASC;PL
vel	ādu	vel	āda	N;SG	N;ACC;FEM;SG
vel	āda	vel	āda	N;SG	N;NOM;FEM;SG
glas	stikls	glas	stikls	N;SG	N;NOM;MASC;SG
glas	stikla	glas	stikls	N;SG	N;GEN;MASC;SG
glas	glāze	glas	glāze	N;SG	N;NOM;FEM;SG
toegeskryf	piešķirtie	toeskryf	piešķirt	V;PST;V.PTCP	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
toegeskryf	piešķirts	toeskryf	piešķirt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
toegeskryf	piešķirti	toeskryf	piešķirt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
individuele	individuāla	individueel	individuāls	ADJ;NOM	ADJ;NOM;FEM;SG
individuele	individuālā	individueel	individuāls	ADJ;NOM	ADJ;NOM;FEM;SG
betrekkinge	attiecības	betrekking	attiecība	N;PL	N;NOM;FEM;PL
gotiese	gotiskais	goties	gotisks	ADJ;NOM	ADJ;NOM;MASC;SG
onderhoud	uzturēšana	onderhoud	uzturēšana	N;SG	N;NOM;FEM;SG
onderhoud	apkope	onderhoud	apkope	N;SG	N;NOM;FEM;SG
lewens	dzīvības	lewe	dzīvība	N;PL	N;NOM;FEM;PL
verklaring	deklarāciju	verklaring	deklarācija	N;SG	N;ACC;FEM;SG
verklaring	deklarācija	verklaring	deklarācija	N;SG	N;NOM;FEM;SG
impak	trieciens	impak	trieciens	N;SG	N;NOM;MASC;SG
impak	ietekme	impak	ietekme	N;SG	N;NOM;FEM;SG
sekondêre	sekundārā	sekondêr	sekundārs	ADJ;NOM	ADJ;NOM;FEM;SG
sekondêre	sekundārais	sekondêr	sekundārs	ADJ;NOM	ADJ;NOM;MASC;SG
sekondêre	sekundārās	sekondêr	sekundāra	ADJ;NOM	ADJ;NOM;FEM;PL
komedie	komēdija	komedie	komēdija	N;SG	N;NOM;FEM;SG
optree	rīkojoties	optree	rīkoties	V;PRS	V;REFL;V.CVB
moontlikheid	iespēja	moontlikheid	iespēja	N;SG	N;NOM;FEM;SG
gewapende	bruņots	gewaap	bruņots	ADJ;NOM	ADJ;NOM;MASC;SG
gewapende	bruņota	gewaap	bruņots	ADJ;NOM	ADJ;NOM;FEM;SG
gewapende	bruņoti	gewaap	bruņots	ADJ;NOM	ADJ;NOM;MASC;PL
harde	cietās	hard	cieta	ADJ;NOM	ADJ;NOM;FEM;PL
harde	cietais	hard	ciets	ADJ;NOM	ADJ;NOM;MASC;SG
snelheid	ātrums	snelheid	ātrums	N;SG	N;NOM;MASC;SG
roep	saukt	roep	saukt	V;PRS	V;POS;NFIN
biografie	biogrāfijā	biografie	biogrāfija	N;SG	N;ESS;FEM;SG
russe	krievi	russe	krievs	N;PL	N;NOM;MASC;PL
produseer	ražo	produseer	ražot	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
satelliet	pavadonis	satelliet	pavadonis	N;SG	N;NOM;MASC;SG
satelliet	satelītu	satelliet	satelīts	N;SG	N;ACC;MASC;SG
onderwysers	skolotāji	onderwyser	skolotājs	N;PL	N;NOM;MASC;PL
onderwysers	skolotājiem	onderwyser	skolotājs	N;PL	N;DAT;MASC;PL
onderwysers	pasniedzēji	onderwyser	pasniedzējs	N;PL	N;NOM;MASC;PL
onderwysers	pedagogiem	onderwyser	pedagogs	N;PL	N;DAT;MASC;PL
modelle	modeļus	modelle	modelis	N;PL	N;ACC;MASC;PL
modelle	modeļi	modelle	modelis	N;PL	N;NOM;MASC;PL
modelle	paraugi	modelle	paraugs	N;PL	N;NOM;MASC;PL
modelle	modeles	modelle	modele	N;PL	N;NOM;FEM;PL
syfers	cipariem	syfers	cipars	N;PL	N;DAT;MASC;PL
syfers	cipari	syfers	cipars	N;PL	N;NOM;MASC;PL
tel	skaitīt	tel	skaitīt	V;PRS	V;POS;NFIN
tel	saskaitīt	tel	saskaitīt	V;PRS	V;POS;NFIN
tel	skaitīt	tel	skaitīt	V;PRS	V;POS;NFIN
afgevaardigdes	delegāti	afvaardigde	delegāti	N;PL	N;NOM;MASC;PL
vergader	savāktu	vergader	savākt	V;PRS	V;COND;POS;FIN;ACT
grondslag	pamats	grondslag	pamats	N;SG	N;NOM;MASC;SG
grondslag	bāze	grondslag	bāze	N;SG	N;NOM;FEM;SG
toetse	testi	toets	tests	N;PL	N;NOM;MASC;PL
toetse	pārbaudes	toets	pārbaude	N;PL	N;NOM;FEM;PL
toetse	testus	toets	tests	N;PL	N;ACC;MASC;PL
rots	materiāls	rots	materiāls	N;SG	N;NOM;MASC;SG
liga	līga	liga	līga	N;SG	N;NOM;FEM;SG
liga	liga	liga	ligt	N;SG	N;NOM;FEM;SG
ingenieur	inženieris	ingenieur	inženieris	N;SG	N;NOM;MASC;SG
konteks	konteksts	konteks	konteksts	N;SG	N;NOM;MASC;SG
konteks	konteksta	konteks	konteksts	N;SG	N;GEN;MASC;SG
aftrede	pensijā	aftrede	pensija	N;SG	N;ESS;FEM;SG
aftrede	pensionēšanās	aftrede	pensionēšanās	N;SG	N;NOM;FEM;SG
liedjies	dziesmas	liedjies	dziesma	N;PL	N;NOM;FEM;PL
gesteun	atbalstīti	steun	atbalstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gesteun	atbalstīta	steun	atbalstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gesteun	atbalstītie	steun	atbalstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gesteun	atbalstīts	steun	atbalstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geologiese	ģeoloģiska	geologies	ģeoloģiska	ADJ;NOM	ADJ;NOM;FEM;SG
dans	dejo	dans	dejot	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
dans	dejot	dans	dejot	V;PRS	V;POS;NFIN
dans	dejo	dans	dejot	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
beginsels	principi	beginsel	princips	N;PL	N;NOM;MASC;PL
dokter	ārsts	dokter	ārsts	N;SG	N;NOM;MASC;SG
kapasiteit	jauda	kapasiteit	jauda	N;SG	N;NOM;FEM;SG
kapasiteit	ietilpība	kapasiteit	ietilpība	N;SG	N;NOM;FEM;SG
kapasiteit	spēja	kapasiteit	spēja	N;SG	N;NOM;FEM;SG
kapasiteit	kapacitāte	kapasiteit	kapacitāte	N;SG	N;NOM;FEM;SG
vorms	formas	vorm	forma	N;PL	N;NOM;FEM;PL
vorms	formas	vorm	forma	N;PL	N;NOM;FEM;PL
vorms	formās	vorm	forma	N;PL	N;ESS;FEM;PL
vorms	veidlapas	vorm	veidlapa	N;PL	N;NOM;FEM;PL
opposisie	opozīcija	opposisie	opozīcija	N;SG	N;NOM;FEM;SG
bespreking	rezervēšana	bespreking	rezervēšana	N;SG	N;NOM;FEM;SG
bespreking	atruna	bespreking	atrunt	N;SG	N;NOM;FEM;SG
bespreking	apspriešana	bespreking	apspriešana	N;SG	N;NOM;FEM;SG
bespreking	diskusija	bespreking	diskusija	N;SG	N;NOM;FEM;SG
operasie	darbība	operasie	darbība	N;SG	N;NOM;FEM;SG
operasie	operācija	operasie	operācija	N;SG	N;NOM;FEM;SG
operasie	ekspluatācija	operasie	ekspluatācija	N;SG	N;NOM;FEM;SG
nodige	nepieciešami	nodig	nepieciešams	ADJ;NOM	ADJ;NOM;MASC;PL
nodige	nepieciešama	nodig	nepieciešama	ADJ;NOM	ADJ;NOM;FEM;SG
nodige	nepieciešams	nodig	nepieciešams	ADJ;NOM	ADJ;NOM;MASC;SG
gras	zāle	gras	zāle	N;SG	N;NOM;FEM;SG
gras	zāli	gras	zāle	N;SG	N;ACC;FEM;SG
gedeel	dalīta	deel	dalīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
dek	sedz	dek	segt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
dek	ietilpst	dek	ietilpt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
dek	aptver	dek	aptvert	V;PRS	V;IMP;SG;2;POS;FIN;ACT
heen	kautkur	heen	kautkur	ADV	ADV
elektrisiteit	elektroenerģija	elektrisiteit	elektroenerģija	N;SG	N;NOM;FEM;SG
elektrisiteit	elektrība	elektrisiteit	elektrība	N;SG	N;NOM;FEM;SG
elektrisiteit	jauda	elektrisiteit	jauda	N;SG	N;NOM;FEM;SG
elektrisiteit	vara	elektrisiteit	vara	N;SG	N;NOM;FEM;SG
gelaai	ielādēts	laai	ielādēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verteenwoordigers	pārstāvjus	verteenwoordiger	pārstāvis	N;PL	N;ACC;MASC;PL
verteenwoordigers	pārstāvji	verteenwoordiger	pārstāvis	N;PL	N;NOM;MASC;PL
deeltjies	daļiņas	deeltjiie	daļiņa	N;PL	N;NOM;FEM;PL
lok	piesaista	lok	piesaistīt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
lok	piesaistītu	lok	piesaistīt	V;PRS	V;COND;POS;FIN;ACT
lok	piesaistīt	lok	piesaistīt	V;PRS	V;POS;NFIN
omskep	pārveidot	omskep	pārveidot	V;PRS	V;POS;NFIN
omskep	pārvērst	omskep	pārvērst	V;PRS	V;POS;NFIN
pare	pāru	paar	pāris	N;SG	N;ACC;MASC;SG
gehalte	kvalitāte	gehalte	kvalitāte	N;SG	N;NOM;FEM;SG
strate	ielām	straat	iela	N;PL	N;DAT;FEM;PL
strate	ielās	straat	iela	N;PL	N;ESS;FEM;PL
strate	ielas	straat	iela	N;PL	N;NOM;FEM;PL
horisontale	horizontāls	horisontaal	horizontāls	ADJ;NOM	ADJ;NOM;MASC;SG
horisontale	horizontālas	horisontaal	horizontāla	ADJ;NOM	ADJ;NOM;FEM;PL
horisontale	horizontālā	horisontaal	horizontāla	ADJ;NOM	ADJ;NOM;FEM;SG
horisontale	horizontāla	horisontaal	horizontāla	ADJ;NOM	ADJ;NOM;FEM;SG
ondersteuners	atbalstītājiem	ondersteuner	atbalstītājs	N;PL	N;DAT;MASC;PL
ondersteuners	atbalstītāji	ondersteuner	atbalstītājs	N;PL	N;NOM;MASC;PL
herbou	atjaunot	herbou	atjaunot	V;PRS	V;POS;NFIN
veranderings	izmaiņas	verandering	izmaiņa	N;PL	N;NOM;FEM;PL
veranderings	pārmaiņas	verandering	pārmaiņa	N;PL	N;NOM;FEM;PL
gerig	vērsta	rig	vērst	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gerig	virzīta	rig	virzīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gerig	vērsts	rig	vērst	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
banke	bankas	banke	banka	N;PL	N;NOM;FEM;PL
banke	bankās	banke	banka	N;PL	N;ESS;FEM;PL
kampioen	čempions	kampioen	čempions	N;SG	N;NOM;MASC;SG
gevlug	izlaists	gevlug	izlaist	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
rekenaars	datoriem	rekenaar	dators	N;PL	N;DAT;MASC;PL
rekenaars	datorus	rekenaar	dators	N;PL	N;ACC;MASC;PL
rekenaars	datori	rekenaar	dators	N;PL	N;NOM;MASC;PL
mannetjie	vīrietis	mannetjie	vīrietis	N;SG	N;NOM;MASC;SG
jeug	jaunatne	jeug	jaunatne	N;SG	N;NOM;FEM;SG
jeug	jaunība	jeug	jaunība	N;SG	N;NOM;FEM;SG
chemie	ķīmija	chemie	ķīmija	N;SG	N;NOM;FEM;SG
dokument	dokuments	dokument	dokuments	N;SG	N;NOM;MASC;SG
dokument	dokumentu	dokument	dokuments	N;SG	N;ACC;MASC;SG
belasting	nodoklis	belasting	nodoklis	N;SG	N;NOM;MASC;SG
vang	noķert	vang	noķert	V;PRS	V;POS;NFIN
vang	noķer	vang	noķert	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
resultate	rezultāti	resultate	rezultāts	N;PL	N;NOM;MASC;PL
resultate	rezultātus	resultate	rezultāts	N;PL	N;ACC;MASC;PL
volgorde	pasūtījums	volgorde	pasūtījums	N;SG	N;NOM;MASC;SG
volgorde	kārtība	volgorde	kārtība	N;SG	N;NOM;FEM;SG
volgorde	rīkojums	volgorde	rīkojums	N;SG	N;NOM;MASC;SG
volgorde	secība	volgorde	secība	N;SG	N;NOM;FEM;SG
tuine	dārzi	tuine	dārzs	N;PL	N;NOM;MASC;PL
tuine	dārzos	tuine	dārzs	N;PL	N;ESS;MASC;PL
vuurtoring	bāka	vuurtoring	bākt	N;SG	N;NOM;FEM;SG
koper	pircējam	koper	pircējs	N;SG	N;DAT;MASC;SG
koper	pircējs	koper	pircējs	N;SG	N;NOM;MASC;SG
koper	pircēja	koper	pircējs	N;SG	N;GEN;MASC;SG
koper	vara	koper	vara	N;SG	N;NOM;FEM;SG
koper	varš	koper	varš	N;SG	N;NOM;MASC;SG
baai	līcis	baai	līcis	N;SG	N;NOM;MASC;SG
baai	sekcija	baai	sekcija	N;SG	N;NOM;FEM;SG
kandidate	kandidāti	kandidaat	kandidāts	N;PL	N;NOM;MASC;PL
kandidate	kandidātus	kandidaat	kandidāts	N;PL	N;ACC;MASC;PL
kandidate	kandidātiem	kandidaat	kandidāts	N;PL	N;DAT;MASC;PL
komponente	komponenti	komponent	komponents	N;PL	N;NOM;MASC;PL
komponente	sastāvdaļas	komponent	sastāvdaļa	N;PL	N;NOM;FEM;PL
komponente	komponentes	komponent	komponente	N;PL	N;NOM;FEM;PL
romans	romānos	romans	romāns	N;PL	N;ESS;MASC;PL
tydskrifte	žurnālus	tydskrif	žurnāls	N;PL	N;ACC;MASC;PL
tydskrifte	žurnāli	tydskrif	žurnāls	N;PL	N;NOM;MASC;PL
kulture	kultūras	kultuur	kultūra	N;PL	N;NOM;FEM;PL
geregistreer	reģistrētie	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
geregistreer	reģistrēta	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
geregistreer	reģistrētas	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
geregistreer	reģistrētā	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
geregistreer	reģistrēti	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
geregistreer	reģistrēts	registreer	reģistrēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geregistreer	parakstītā	registreer	parakstīt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
geregistreer	parakstītais	registreer	parakstīt	V;PST;V.PTCP	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
indonesië	indonēzija	indonesië	indonēzija	N;SG	N;NOM;FEM;SG
geleer	iemācījies	leer	iemācīties	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
geleer	uzzināju	leer	uzzināt	V;PST;V.PTCP	V;FH;IND;SG;1;POS;PST;FIN;ACT
ras	rase	ras	rase	N;SG	N;NOM;FEM;SG
ras	skrējiens	ras	skrējiens	N;SG	N;NOM;MASC;SG
organiese	organiskie	organies	organisks	ADJ;NOM	ADJ;NOM;MASC;PL
dollar	dolāru	dollar	dolārs	N;SG	N;ACC;MASC;SG
dollar	dolārs	dollar	dolārs	N;SG	N;NOM;MASC;SG
dollar	dolāra	dollar	dolārs	N;SG	N;NOM;MASC;SG
rotse	klintis	rots	klints	N;PL	N;NOM;FEM;PL
rotse	akmeņi	rots	akmens	N;PL	N;NOM;MASC;PL
monargie	monarhs	monargie	monarhs	N;SG	N;NOM;MASC;SG
monargie	monarhija	monargie	monarhija	N;SG	N;NOM;FEM;SG
monargie	oligarhija	monargie	oligarhija	N;SG	N;NOM;FEM;SG
verbindings	savienojumi	verbinding	savienojums	N;PL	N;NOM;MASC;PL
besetting	profesija	besetting	profesija	N;SG	N;NOM;FEM;SG
besetting	nodarbošanās	besetting	nodarbošanās	N;SG	N;NOM;FEM;SG
geloop	izgāja	geloop	iziet	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
geloop	gāju	geloop	iet	V;PST;V.PTCP	V;FH;IND;SG;1;POS;PST;FIN;ACT
geloop	uzsāka	geloop	uzsākt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
crusaders	krustnešiem	crusader	krustnesis	N;PL	N;DAT;MASC;PL
evangelie	evaņģēlijs	evangelie	evaņģēlijs	N;SG	N;NOM;MASC;SG
personeel	personāls	personeel	personāls	N;SG	N;NOM;MASC;SG
take	uzdevumi	taak	uzdevums	N;PL	N;NOM;MASC;PL
veroordeel	nosodīt	veroordeel	nosodīt	V;PRS	V;POS;NFIN
navorsers	pētniekiem	navorser	pētnieks	N;PL	N;DAT;MASC;PL
navorsers	pētnieki	navorser	pētnieks	N;PL	N;NOM;MASC;PL
oorsaak	cēlonis	oorsaak	cēlonis	N;SG	N;NOM;MASC;SG
administrateur	administrators	administrateur	administrators	N;SG	N;NOM;MASC;SG
administrateur	administratora	administrateur	administrators	N;SG	N;GEN;MASC;SG
aanvanklike	sākotnējais	aanvanklik	sākotnējs	ADJ;NOM	ADJ;NOM;MASC;SG
krisis	krīze	krisis	krīze	N;SG	N;NOM;FEM;SG
geroep	saucās	roep	saukties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
geroep	saukts	roep	saukt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
skepping	izveidošanas	skepping	izveidošana	N;SG	N;NOM;FEM;SG
skepping	izveide	skepping	izveide	N;SG	N;NOM;FEM;SG
skepping	izveidošana	skepping	izveidošana	N;SG	N;NOM;FEM;SG
skepping	radīšana	skepping	radīšana	N;SG	N;NOM;FEM;SG
stowwe	vielas	stof	viela	N;PL	N;NOM;FEM;PL
vyftig	piecdesmit	vyftig	piecdesmit	NUM	NUM;PL
minerale	minerālvielas	mineraal	minerālviela	N;PL	N;NOM;FEM;PL
toegerus	aprīkotas	toerus	aprīkot	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
toegerus	aprīkota	toerus	aprīkot	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
toegerus	aprīkoti	toerus	aprīkot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
toegerus	aprīkots	toerus	aprīkot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
deelname	piedalīšanās	deelname	piedalīšanās	N;SG	N;NOM;FEM;SG
deelname	līdzdalība	deelname	līdzdalība	N;SG	N;NOM;FEM;SG
deelname	dalība	deelname	dalība	N;SG	N;NOM;FEM;SG
perde	zirgi	perd	zirgs	N;PL	N;NOM;MASC;PL
perde	zirgus	perd	zirgs	N;PL	N;ACC;MASC;PL
kantoor	birojs	kantoor	birojs	N;SG	N;NOM;MASC;SG
kantoor	biroja	kantoor	birojs	N;SG	N;GEN;MASC;SG
kantoor	biroju	kantoor	birojs	N;SG	N;ACC;MASC;SG
getuig	liecināt	tuig	liecināt	V;PST;V.PTCP	V;POS;NFIN
brandstof	degviela	brandstof	degviela	N;SG	N;NOM;FEM;SG
gelees	lasi	gelees	lasīt	V;PST;V.PTCP	V;IMP;SG;2;POS;FIN;ACT
gelees	lasīt	gelees	lasīt	V;PST;V.PTCP	V;POS;NFIN
mane	krēpes	mane	krēpe	N;PL	N;NOM;FEM;PL
sitplekke	sēdekļi	sitplek	sēdeklis	N;PL	N;NOM;MASC;PL
sitplekke	sēdvietas	sitplek	sēdvieta	N;PL	N;NOM;FEM;PL
individue	indivīdi	individu	indivīds	N;PL	N;NOM;MASC;PL
individue	privātpersonas	individu	privātpersona	N;PL	N;NOM;FEM;PL
religieuse	reliģiskās	religieus	reliģiska	ADJ;NOM	ADJ;NOM;FEM;PL
anoniem	anonīmi	anoniem	anonīmi	ADV	ADV
veg	cīnīties	veg	cīnīties	V;PRS	V;POS;REFL;NFIN
aansoek	piemērošana	aansoek	piemērošana	N;SG	N;NOM;FEM;SG
aansoek	piemērošanu	aansoek	piemērošana	N;SG	N;ACC;FEM;SG
aansoek	pieteikums	aansoek	pieteikums	N;SG	N;NOM;MASC;SG
vinniger	ātrāk	vinnig	ātri	ADV;CMPR	ADV;CMPR
opera	opera	opera	opera	N;SG	N;NOM;FEM;SG
figure	skaitļi	figure	skaitļi	N;PL	N;NOM;MASC;PL
toegestaan	piešķirts	toestaan	piešķirt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
identiteit	personība	identiteit	personība	N;SG	N;NOM;FEM;SG
identiteit	identitāti	identiteit	identitāte	N;SG	N;ACC;FEM;SG
identiteit	identitāte	identiteit	identitāte	N;SG	N;NOM;FEM;SG
geskuif	pārcelts	skuif	pārcelt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geskuif	pārcelta	skuif	pārcelt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
geskuif	pārcelti	skuif	pārcelt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
geskuif	pārvietots	skuif	pārvietot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verdedig	jāaizstāv	verdedig	aizstāvēt	V;PRS	V;POS;FIN;ACT
verdedig	aizstāvēt	verdedig	aizstāvēt	V;PRS	V;POS;NFIN
swaartekrag	smaguma	swaartekrag	smagums	N;SG	N;GEN;MASC;SG
swaartekrag	smagums	swaartekrag	smagums	N;SG	N;NOM;MASC;SG
alliansie	alianse	alliansie	alianse	N;SG	N;NOM;FEM;SG
instrumente	instrumenti	instrument	instruments	N;PL	N;NOM;MASC;PL
klere	apģērbs	klere	apģērbs	N;SG	N;NOM;MASC;SG
klere	apģērbs	klere	apģērbs	N;SG	N;NOM;MASC;SG
max	maks	max	maks	N;SG	N;NOM;MASC;SG
behartig	reglamentēt	behartig	reglamentēt	V;PRS	V;POS;NFIN
behartig	regulēt	behartig	regulēt	V;PRS	V;POS;NFIN
