ve	in	ve	in	CONJ	CONJ
basit	preprosta	basit	preprost	ADJ	ADJ;NOM;FEM;SG
kaynaklar	viri	kaynak	vir	N;NOM;PL;3	N;NOM;MASC;PL
kaynaklar	sredstva	kaynak	sredstvo	N;NOM;PL;3	N;NOM;NEUT;PL
kaynaklar	viri	kaynak	vir	N;NOM;PL;3	N;NOM;MASC;PL
cumhurbaşkanı	predsednik	cumhurbaşkanı	predsednik	N;NOM;SG;3	N;NOM;MASC;SG
cumhurbaşkanı	predsednica	cumhurbaşkanı	predsednica	N;NOM;SG;3	N;NOM;FEM;SG
alındı	prejeti	al	prejeti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;NFIN
alındı	vzet	al	vzet	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;NFIN
gitti	odšel	git	oditi	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
boyu	višina	boy	višina	N;NOM;SG;3	N;NOM;FEM;SG
boyu	dolžina	boy	dolžina	N;NOM;SG;3	N;NOM;FEM;SG
boyu	velikost	boy	velikost	N;NOM;SG;3	N;NOM;FEM;SG
aşağı	dol	aşağ	dol		
defans	branilec	defans	branilec	N;NOM;SG;3	N;NOM;MASC;SG
defans	obramba	defans	obramba	N;NOM;SG;3	N;NOM;FEM;SG
defans	obramba	defans	obramba	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	pomočnik	yardımcı	pomočnik	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	asistent	yardımcı	asistent	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	asistentka	yardımcı	asistentka	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	pomočnica	yardımcı	pomočnica	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	namestnica	yardımcı	namestnica	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	namestnik	yardımcı	namestnik	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	vice	yardımcı	vica	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	podpredsednik	yardımcı	podpredsednik	N;NOM;SG;3	N;NOM;MASC;SG
adaları	otoke	ada	otok	N;ACC;PL;3	N;ACC;MASC;PL
çözünürlük	ločljivost	çözünürlük	ločljivost	N;NOM;SG;3	N;NOM;FEM;SG
çözünürlük	resolucija	çözünürlük	resolucija	N;NOM;SG;3	N;NOM;FEM;SG
ad	ime	ad	ime	N;NOM;SG;3	N;NOM;NEUT;SG
birden	nenadoma	birden	nenadoma	ADV	ADV
birden	naenkrat	birden	naenkrat	ADV	ADV
direktör	direktor	direk	direktor	N;NOM;SG;3	N;NOM;MASC;SG
direktör	direktorica	direk	direktorica	N;NOM;SG;3	N;NOM;FEM;SG
direktör	režiser	direk	režiser	N;NOM;SG;3	N;NOM;MASC;SG
anne	mami	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	mumija	anne	mumij	N;NOM;SG;3	N;NOM;FEM;SG
anne	mamica	anne	mamica	N;NOM;SG;3	N;NOM;FEM;SG
anne	mami	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	mamica	anne	mamica	N;NOM;SG;3	N;NOM;FEM;SG
anne	mami	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	mama	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	mater	anne	mati	N;NOM;SG;3	N;NOM;FEM;SG
anne	mati	anne	mati	N;NOM;SG;3	N;NOM;FEM;SG
anne	mami	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	mama	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
katılan	udeležili	kat	udeležiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;PL;V.PTCP
katılan	pridružil	kat	pridružiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
akademisi	akademija	akadem	akademij	N;NOM;SG;3	N;NOM;FEM;SG
ince	tanjši	ince	tameš	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
ince	prefinjeno	ince	prefinjen	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
ince	vitka	ince	vitek	ADJ	ADJ;NOM;FEM;SG
ince	tanke	ince	tanek	ADJ	ADJ;NOM;FEM;PL
ince	tanka	ince	tanek	ADJ	ADJ;NOM;FEM;SG
ince	tanek	ince	tanek	ADJ	ADJ;NOM;INDF;MASC;SG
ince	vitka	ince	vitek	ADJ	ADJ;NOM;FEM;SG
ciddi	resne	ciddi	resen	ADJ	ADJ;NOM;FEM;PL
ciddi	resna	ciddi	resen	ADJ	ADJ;NOM;FEM;SG
ciddi	resni	ciddi	resen	ADJ	ADJ;NOM;MASC;PL
ceza	kazen	ceza	kazen	N;NOM;SG;3	N;NOM;FEM;SG
ceza	kazen	ceza	kazen	N;NOM;SG;3	N;NOM;FEM;SG
ceza	kaznovanje	ceza	kaznovanje	N;NOM;SG;3	N;NOM;NEUT;SG
ceza	pripor	ceza	pripor	N;NOM;SG;3	N;NOM;MASC;SG
ceza	pridržanje	ceza	pridržanje	N;NOM;SG;3	N;NOM;NEUT;SG
ceza	kazen	ceza	kazen	N;NOM;SG;3	N;NOM;FEM;SG
ceza	stavek	ceza	stavek	N;NOM;SG;3	N;NOM;MASC;SG
ceza	obsodba	ceza	obsodba	N;NOM;SG;3	N;NOM;FEM;SG
özelliği	lastnost	özellik	lastnost	N;NOM;SG;3	N;NOM;FEM;SG
özelliği	značilnost	özellik	značilnost	N;NOM;SG;3	N;NOM;FEM;SG
şampiyonlar	prvaki	şampiyon	prvak	N;NOM;PL;3	N;NOM;MASC;PL
başbakan	premier	başbakan	premier	N;NOM;SG;3	N;NOM;MASC;SG
terk	dopust	terk	dopust	N;NOM;SG;3	N;NOM;MASC;SG
terk	opustitev	terk	opustitev	N;NOM;SG;3	N;NOM;FEM;SG
terk	smetišče	terk	smetišče	N;NOM;SG;3	N;NOM;NEUT;SG
getirildi	prinesel	getir	prinesti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
valign	valign	valign	valign		
sekiz	osem	sekiz	osem	NUM	NUM;NOM;PL
yemek	kosilo	yemek	kosilo	N;NOM;SG;3	N;NOM;NEUT;SG
yemek	hrana	yemek	hrana	N;NOM;SG;3	N;NOM;FEM;SG
yemek	jedilnica	yemek	jedilnica	N;NOM;SG;3	N;NOM;FEM;SG
yemek	večerja	yemek	večerja	N;NOM;SG;3	N;NOM;FEM;SG
yemek	krožnik	yemek	krožnik	N;NOM;SG;3	N;NOM;MASC;SG
yemek	jed	yemek	jed	N;NOM;SG;3	N;NOM;FEM;SG
yemek	obrok	yemek	obrok	N;NOM;SG;3	N;NOM;MASC;SG
yemek	moka	yemek	moka	N;NOM;SG;3	N;NOM;FEM;SG
dans	dance	dans	danca	N;NOM;SG;3	N;NOM;MASC;SG
dans	pleši	dans	plešiti	N;NOM;SG;3	N;NOM;MASC;SG
dans	ples	dans	ples	N;NOM;SG;3	N;NOM;MASC;SG
dans	ples	dans	ples	N;NOM;SG;3	N;NOM;MASC;SG
dans	plesa	dans	ples	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prevoz	ulaşım	prevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prevoz	ulaşım	prevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	transport	ulaşım	transport	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	promet	ulaşım	promet	N;NOM;SG;3	N;NOM;MASC;SG
önem	pomembnost	önem	pomembnost	N;NOM;SG;3	N;NOM;FEM;SG
yavaş	počasno	yavaş	počasen	ADJ	ADJ;NOM;NEUT;SG
yavaş	počasen	yavaş	počasen	ADJ	ADJ;NOM;INDF;MASC;SG
ülkeler	narodi	ülke	narod	N;NOM;PL;3	N;NOM;MASC;PL
ülkeler	države	ülke	država	N;NOM;PL;3	N;NOM;FEM;PL
düzenleme	organizira	düzenle	organizirati	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;3;PRS;FIN
ziyaret	obisk	ziyaret	obisk	N;NOM;SG;3	N;NOM;MASC;SG
ziyaret	obisk	ziyaret	obisk	N;NOM;SG;3	N;NOM;MASC;SG
antlaşması	pogodba	antlaşma	pogodba	N;NOM;SG;3	N;NOM;FEM;SG
olimpiyat	olimpijada	olimpiyat	olimpijad	N;NOM;SG;3	N;NOM;FEM;SG
olimpiyat	olympic	olimpiyat	olympica	N;NOM;SG;3	N;NOM;MASC;SG
yazdı	napisal	yaz	napisati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
yazdı	napisala	yaz	napisati	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
yazdı	zapisal	yaz	zapisati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
görülen	videli	gör	videti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;PL;V.PTCP
görülen	videl	gör	videti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;SG;V.PTCP
önceden	predhodno	önceden	predhodno	ADV	ADV
önceden	prej	önceden	prej	ADV	ADV;CMPR
önceden	vnaprej	önceden	vnaprej	ADV	ADV
önceden	prej	önceden	prej	ADV	ADV;CMPR
hafif	lahka	hafif	lahek	ADJ	ADJ;NOM;FEM;SG
hafif	lahki	hafif	lahek	ADJ	ADJ;NOM;MASC;PL
hafif	lahek	hafif	lahek	ADJ	ADJ;NOM;INDF;MASC;SG
sarayı	palačo	sara	palača	N;ACC;SG;3	N;ACC;FEM;SG
lideri	vodja	lider	vodja	N;NOM;SG;3	N;NOM;MASC;SG
lideri	leader	lider	leader	N;NOM;SG;3	N;NOM;MASC;SG
toplumsal	socialno	toplumsal	socialen	ADJ	ADJ;NOM;NEUT;SG
toplumsal	družabni	toplumsal	družaben	ADJ	ADJ;NOM;DEF;MASC;SG
toplumsal	družabno	toplumsal	družabno	ADJ	ADJ;NOM;NEUT;SG
toplumsal	socialne	toplumsal	socialen	ADJ	ADJ;NOM;FEM;PL
toplumsal	socialna	toplumsal	socialen	ADJ	ADJ;NOM;FEM;SG
toplumsal	družbena	toplumsal	družben	ADJ	ADJ;NOM;FEM;SG
şehirler	mesta	şehir	mesto	N;NOM;PL;3	N;NOM;NEUT;PL
şehirler	mesta	şehir	mesto	N;NOM;PL;3	N;NOM;NEUT;PL
şehirler	mesti	şehir	mesto	N;NOM;PL;3	N;NOM;NEUT;PL
kalesi	castle	kale	castla	N;NOM;SG;3	N;NOM;MASC;SG
kalesi	grad	kale	grad	N;NOM;SG;3	N;NOM;MASC;SG
kalesi	dvorec	kale	dvorec	N;NOM;SG;3	N;NOM;MASC;SG
uçak	letalo	uçak	letalo	N;NOM;SG;3	N;NOM;NEUT;SG
uçak	zrakoplov	uçak	zrakoplov	N;NOM;SG;3	N;NOM;MASC;SG
uçak	ravnina	uçak	ravnina	N;NOM;SG;3	N;NOM;FEM;SG
uçak	letalo	uçak	letalo	N;NOM;SG;3	N;NOM;NEUT;SG
uçak	letalo	uçak	letalo	N;NOM;SG;3	N;NOM;NEUT;SG
uçak	letalo	uçak	letalo	N;NOM;SG;3	N;NOM;NEUT;SG
gerçekten	dejansko	gerçekten	dejansko	ADV	ADV
gerçekten	zares	gerçekten	zares	ADV	ADV
gerçekten	resnično	gerçekten	resnično	ADV	ADV
gerçekten	res	gerçekten	res	ADV	ADV
gerçekten	resnično	gerçekten	resnično	ADV	ADV
gerçekten	zares	gerçekten	zares	ADV	ADV
savaşları	vojne	savaş	vojna	N;NOM;PL;3	N;NOM;FEM;PL
kurucusu	ustanovitelj	kurucu	ustanovitelj	N;NOM;SG;3	N;NOM;MASC;SG
yükseldi	vstal	yüksel	vstati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
yükseldi	vstala	yüksel	vstati	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
mühendisliği	inženiring	mühendislik	inženiring	N;NOM;SG;3	N;NOM;MASC;SG
dağları	hribi	dağ	hrib	N;NOM;PL;3	N;NOM;MASC;PL
dağları	planine	dağ	planina	N;NOM;PL;3	N;NOM;FEM;PL
dağları	gore	dağ	gora	N;NOM;PL;3	N;NOM;FEM;PL
albümleri	albume	albüm	album	N;ACC;PL;3	N;ACC;MASC;PL
ilişkiler	odnosi	ilişki	odnos	N;NOM;PL;3	N;NOM;MASC;PL
ilişkiler	razmerja	ilişki	razmerje	N;NOM;PL;3	N;NOM;NEUT;PL
ilişkiler	zveze	ilişki	zveza	N;NOM;PL;3	N;NOM;FEM;PL
ilişkiler	odnosi	ilişki	odnos	N;NOM;PL;3	N;NOM;MASC;PL
ilişkiler	razmerja	ilişki	razmerje	N;NOM;PL;3	N;NOM;NEUT;PL
görüntü	podoba	görüntü	podoba	N;NOM;SG;3	N;NOM;FEM;SG
görüntü	slika	görüntü	slika	N;NOM;SG;3	N;NOM;FEM;SG
emre	emre	emre	emr		
başardı	uspela	baş	uspeti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
başardı	uspelo	baş	uspeti	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;V.PTCP
başardı	uspel	baş	uspeti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
yugoslavya	jugoslavija	yugoslavya	jugoslavija	N;NOM;SG;3	N;NOM;FEM;SG
açıkladı	pojasnil	açıkla	pojasniti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
açıkladı	razkril	açıkla	razkriti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
kaynakları	vire	kaynak	vir	N;ACC;PL;3	N;ACC;MASC;PL
kaynakları	vire	kaynak	vir	N;ACC;PL;3	N;ACC;MASC;PL
bilimler	vede	bilim	veda	N;NOM;PL;3	N;NOM;FEM;PL
hep	vedno	hep	vedno	ADV	ADV
hep	zmeraj	hep	zmeraj	ADV	ADV
konser	koncert	konser	koncert	N;NOM;SG;3	N;NOM;MASC;SG
işbirliği	sodelovanje	işbirliği	sodelovanje	N;NOM;SG;3	N;NOM;NEUT;SG
işbirliği	zadruga	işbirliği	zadruga	N;NOM;SG;3	N;NOM;FEM;SG
işbirliği	sodelovanje	işbirliği	sodelovanje	N;NOM;SG;3	N;NOM;NEUT;SG
istatistikleri	statistike	ista	statistika	N;NOM;PL;3	N;NOM;FEM;PL
komedi	komedija	komedi	komedija	N;NOM;SG;3	N;NOM;FEM;SG
buz	ice	buz	ice		
oyuncular	igralci	oyuncu	igralec	N;NOM;PL;3	N;NOM;MASC;PL
oyuncular	akterji	oyuncu	akter	N;NOM;PL;3	N;NOM;MASC;PL
oyuncular	igralci	oyuncu	igralec	N;NOM;PL;3	N;NOM;MASC;PL
oyuncular	akterji	oyuncu	akter	N;NOM;PL;3	N;NOM;MASC;PL
oyuncular	izvajalci	oyuncu	izvajalec	N;NOM;PL;3	N;NOM;MASC;PL
kullanıcılar	uporabniki	kullanıcı	uporabnik	N;NOM;PL;3	N;NOM;MASC;PL
olaylar	nezgode	olay	nezgoda	N;NOM;PL;3	N;NOM;FEM;PL
olaylar	dogodki	olay	dogodek	N;NOM;PL;3	N;NOM;MASC;PL
olaylar	prireditve	olay	prireditev	N;NOM;PL;3	N;NOM;FEM;PL
cevap	odgovor	cevap	odgovor	N;NOM;SG;3	N;NOM;MASC;SG
cevap	odgovor	cevap	odgovor	N;NOM;SG;3	N;NOM;MASC;SG
cevap	odzivanje	cevap	odzivanje	N;NOM;SG;3	N;NOM;NEUT;SG
cevap	odziv	cevap	odziv	N;NOM;SG;3	N;NOM;MASC;SG
manyetik	magnetno	manyetik	magneten	ADJ	ADJ;NOM;NEUT;SG
manyetik	magnetni	manyetik	magneten	ADJ	ADJ;NOM;MASC;SG
manyetik	magnetna	manyetik	magneten	ADJ	ADJ;NOM;FEM;SG
dilleri	jeziki	dil	jezik	N;NOM;PL;3	N;NOM;MASC;PL
ağa	agha	ağa	agha		
bölgesel	regionalno	bölgesel	regionalen	ADJ	ADJ;NOM;NEUT;SG
bölgesel	regionalna	bölgesel	regionalen	ADJ	ADJ;NOM;FEM;SG
bölgesel	regionalni	bölgesel	regionalen	ADJ	ADJ;NOM;MASC;SG
kayıp	izgubljena	kayıp	izgubljen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
kayıp	izgubljeni	kayıp	izgubljen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
kayıp	izgubljeno	kayıp	izgubljen	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
kayıp	izgubljen	kayıp	izgubljen	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
kayıp	pogrešana	kayıp	pogrešan	ADJ	ADJ;NOM;FEM;SG;V.PTCP
kayıp	manjkajoče	kayıp	manjkajoč	ADJ	ADJ;NOM;FEM;PL;V.PTCP
kayıp	pogrešan	kayıp	pogrešan	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
görüş	prepoznavnost	görüş	prepoznavnost	N;NOM;SG;3	N;NOM;FEM;SG
görüş	vidljivost	görüş	vidljivost	N;NOM;SG;3	N;NOM;FEM;SG
görüş	vidnost	görüş	vidnost	N;NOM;SG;3	N;NOM;FEM;SG
trabzonspor	trabzonspor	trabzonspor	trabzonspor	N;NOM;SG;3	N;NOM;MASC;SG
milletler	narodi	millet	narod	N;NOM;PL;3	N;NOM;MASC;PL
evlilik	poroka	evlilik	poroka	N;NOM;SG;3	N;NOM;FEM;SG
evlilik	zakon	evlilik	zakon	N;NOM;SG;3	N;NOM;MASC;SG
evlilik	poroka	evlilik	poroka	N;NOM;SG;3	N;NOM;FEM;SG
teknoloji	tech	teknoloji	techa		
imparatorluk	imperij	imparatorluk	imperij	N;NOM;SG;3	N;NOM;MASC;SG
imparatorluk	cesarstvo	imparatorluk	cesarstvo	N;NOM;SG;3	N;NOM;NEUT;SG
altyazı	podnaslov	altyazı	podnasel	N;NOM;SG;3	N;NOM;MASC;SG
katıldığı	udeležili	kat	udeležiti	V;PFV;IND;POS;PST;V.PTCP;PASS	V;PFV;MASC;PL;V.PTCP
çeyrek	četrt	çeyrek	četrt		
gelişmiş	razvil	geliş	razviti	V;PFV;NFH;IND;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
gelişmiş	razvila	geliş	razviti	V;PFV;NFH;IND;POS;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
gelişmiş	razviti	geliş	razviti	V;PFV;NFH;IND;POS;PST;V.PTCP	V;PFV;NFIN
modeli	model	model	model	N;NOM;SG;3	N;NOM;MASC;SG
modeli	vzorec	model	vzorec	N;NOM;SG;3	N;NOM;MASC;SG
modeli	maneken	model	maneken	N;NOM;SG;3	N;NOM;MASC;SG
akademik	akademske	akademik	akademski	ADJ	ADJ;NOM;FEM;PL
akademik	akademsko	akademik	akademski	ADJ	ADJ;NOM;NEUT;SG
akademik	akademski	akademik	akademski	ADJ	ADJ;NOM;MASC;SG
official	uradnik	official	uradnik	N;NOM;SG;3	N;NOM;MASC;SG
şarkılar	pesmi	şarkı	pesem	N;NOM;PL;3	N;NOM;FEM;PL
üyeler	poslanci	üye	poslanec	N;NOM;PL;3	N;NOM;MASC;PL
üyeler	članice	üye	članica	N;NOM;PL;3	N;NOM;FEM;PL
üyeler	člani	üye	član	N;NOM;PL;3	N;NOM;MASC;PL
zamanlar	časi	zaman	čas	N;NOM;PL;3	N;NOM;MASC;PL
akademi	akademija	akadem	akademij	N;NOM;SG;3	N;NOM;FEM;SG
uzunluk	dolžina	uzunluk	dolžina	N;NOM;SG;3	N;NOM;FEM;SG
barcelona	barcelona	barcelon	barcelon	N;NOM;SG;3	N;NOM;FEM;SG
tedavi	zdravilo	tedavi	zdravilo	N;NOM;SG;3	N;NOM;NEUT;SG
tedavi	ozdravitev	tedavi	ozdravitev	N;NOM;SG;3	N;NOM;FEM;SG
tedavi	terapija	tedavi	terapija	N;NOM;SG;3	N;NOM;FEM;SG
tedavi	zdravljenje	tedavi	zdravljenje	N;NOM;SG;3	N;NOM;NEUT;SG
tedavi	obdelava	tedavi	obdelava	N;NOM;SG;3	N;NOM;FEM;SG
tedavi	zdravljenje	tedavi	zdravljenje	N;NOM;SG;3	N;NOM;NEUT;SG
tedavi	obravnava	tedavi	obravnava	N;NOM;SG;3	N;NOM;FEM;SG
karmaşık	zapletena	karmaşık	zapleten	ADJ	ADJ;NOM;FEM;SG
karmaşık	zapleteno	karmaşık	zapleten	ADJ	ADJ;NOM;NEUT;SG
karmaşık	kompleksna	karmaşık	kompleksen	ADJ	ADJ;NOM;FEM;SG
karmaşık	zapleten	karmaşık	zapleten	ADJ	ADJ;NOM;INDF;MASC;SG
karmaşık	zapletena	karmaşık	zapleten	ADJ	ADJ;NOM;FEM;SG
karmaşık	zapleteno	karmaşık	zapleten	ADJ	ADJ;NOM;NEUT;SG
yaşlı	stare	yaşlı	star	ADJ	ADJ;NOM;FEM;PL
yaşlı	staro	yaşlı	star	ADJ	ADJ;NOM;NEUT;SG
yaşlı	stara	yaşlı	star	ADJ	ADJ;NOM;FEM;SG
yaşlı	stari	yaşlı	star	ADJ	ADJ;NOM;MASC;PL
yaşlı	starejših	yaşlı	star	ADJ	ADJ;GEN;CMPR;MASC;PL
yaşlı	starejši	yaşlı	star	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
yaşlı	starejše	yaşlı	star	ADJ	ADJ;NOM;CMPR;FEM;SG
yaşlı	starejša	yaşlı	star	ADJ	ADJ;NOM;CMPR;FEM;SG
yaşlı	starejši	yaşlı	star	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
yaşlı	starejše	yaşlı	star	ADJ	ADJ;NOM;CMPR;FEM;SG
oluşturulan	ustvaril	oluş	ustvariti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
genovese	genovese	genove	genoves		
süresi	trajanje	süre	trajanje	N;NOM;SG;3	N;NOM;NEUT;SG
çıkmış	izstopil	çık	izstopiti	V;PFV;NFH;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
çıkmış	izstopila	çık	izstopiti	V;PFV;NFH;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
devletler	države	devlet	država	N;NOM;PL;3	N;NOM;FEM;PL
tour	ogled	tour	ogled	N;NOM;SG;3	N;NOM;MASC;SG
tour	turneja	tour	turnej	N;NOM;SG;3	N;NOM;FEM;SG
derecesi	stopnja	derece	stopnja	N;NOM;SG;3	N;NOM;FEM;SG
sabah	jutro	sabah	jutro	N;NOM;SG;3	N;NOM;NEUT;SG
gruplar	trakovi	grup	trak	N;NOM;PL;3	N;NOM;MASC;PL
gruplar	skupine	grup	skupina	N;NOM;PL;3	N;NOM;FEM;PL
filmler	filmi	film	film	N;NOM;PL;3	N;NOM;MASC;PL
filmler	filmi	film	film	N;NOM;PL;3	N;NOM;MASC;PL
hareketler	premiki	hareket	premik	N;NOM;PL;3	N;NOM;MASC;PL
hareketler	gibanja	hareket	gibanje	N;NOM;PL;3	N;NOM;NEUT;PL
hareketler	dejanja	hareket	dejanje	N;NOM;PL;3	N;NOM;NEUT;PL
hareketler	ukrepi	hareket	ukrep	N;NOM;PL;3	N;NOM;MASC;PL
hareketler	dejavnosti	hareket	dejavnost	N;NOM;PL;3	N;NOM;FEM;PL
hareketler	aktivnosti	hareket	aktivnost	N;NOM;PL;3	N;NOM;FEM;PL
hareketler	poteze	hareket	poteza	N;NOM;PL;3	N;NOM;FEM;PL
hareketler	gibi	hareket	gib	N;NOM;PL;3	N;NOM;MASC;PL
hareketler	premiki	hareket	premik	N;NOM;PL;3	N;NOM;MASC;PL
hareketler	gibanja	hareket	gibanje	N;NOM;PL;3	N;NOM;NEUT;PL
komitesi	komite	komite	komite	N;NOM;SG;3	N;NOM;MASC;SG
komitesi	odbor	komite	odbor	N;NOM;SG;3	N;NOM;MASC;SG
edebiyatı	literaturo	edebiyat	literatura	N;ACC;SG;3	N;ACC;FEM;SG
odası	dvorani	oda	dvorana	N;NOM;SG;3	N;NOM;FEM;SG
odası	komora	oda	komor	N;NOM;SG;3	N;NOM;FEM;SG
ödüller	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödüller	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödüller	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
servisi	storitev	servi	storitev	N;NOM;SG;3	N;NOM;FEM;SG
servisi	servis	servi	servis	N;NOM;SG;3	N;NOM;MASC;SG
sıcaklık	temperatura	sıcaklık	temperatura	N;NOM;SG;3	N;NOM;FEM;SG
sıcaklık	vročina	sıcaklık	vročina	N;NOM;SG;3	N;NOM;FEM;SG
sıcaklık	toplota	sıcaklık	toplota	N;NOM;SG;3	N;NOM;FEM;SG
sıcaklık	toplota	sıcaklık	toplota	N;NOM;SG;3	N;NOM;FEM;SG
konuk	gosta	konuk	gost	N;NOM;SG;3	N;NOM;MASC;SG
konuk	gostja	konuk	gostja	N;NOM;SG;3	N;NOM;FEM;SG
getirdi	prinesel	getir	prinesti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
tanınan	prepoznal	tanı	prepoznati	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
karısı	žena	karı	žena	N;NOM;SG;3	N;NOM;FEM;SG
karısı	zena	karı	zena	N;NOM;SG;3	N;NOM;FEM;SG
karısı	soproga	karı	soprog	N;NOM;SG;3	N;NOM;FEM;SG
matematik	matematika	matematik	matematika	N;NOM;SG;3	N;NOM;FEM;SG
matematik	matematika	matematik	matematika	N;NOM;SG;3	N;NOM;FEM;SG
matematik	matematiki	matematik	matematika	N;NOM;SG;3	N;NOM;FEM;SG
matematik	matematika	matematik	matematika	N;NOM;SG;3	N;NOM;FEM;SG
takımlar	obleke	takım	obleka	N;NOM;PL;3	N;NOM;FEM;PL
takımlar	ekipe	takım	ekipa	N;NOM;PL;3	N;NOM;FEM;PL
takımlar	moštva	takım	moštvo	N;NOM;PL;3	N;NOM;NEUT;PL
ağrı	ağrı	ağrı	arra		
çelebi	çelebi	çel	deleba		
teorisi	teorija	teori	teorija	N;NOM;SG;3	N;NOM;FEM;SG
harita	zemljevid	harit	zemljevid	N;NOM;SG;3	N;NOM;MASC;SG
değişiklikler	spremembe	değişiklik	sprememba	N;NOM;PL;3	N;NOM;FEM;PL
değişiklikler	spremembe	değişiklik	sprememba	N;NOM;PL;3	N;NOM;FEM;PL
türkler	turki	türk	turek	N;NOM;PL;3	N;NOM;MASC;PL
çekilen	posneli	çek	posneti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;PL;V.PTCP
çekilen	posneti	çek	posnet	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;NFIN
çekilen	posnel	çek	posneti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
işler	zaposlitve	iş	zaposlitev	N;NOM;PL;3	N;NOM;FEM;PL
şeyler	stvari	şey	stvar	N;NOM;PL;3	N;NOM;FEM;PL
şeyler	stvari	şey	stvar	N;NOM;PL;3	N;NOM;FEM;PL
otomobil	avtomobil	otomobil	avtomobil	N;NOM;SG;3	N;NOM;MASC;SG
otomobil	car	otomobil	car	N;NOM;SG;3	N;NOM;MASC;SG
otomobil	avto	otomobil	avto	N;NOM;SG;3	N;NOM;MASC;SG
otomobil	avtomobil	otomobil	avtomobil	N;NOM;SG;3	N;NOM;MASC;SG
otomobil	auto	otomobil	auta	N;NOM;SG;3	N;NOM;MASC;SG
