kategória	kategorija	kategória	kategorija	N;NOM;FEM;SG	N;NOM;FEM;SG
otvorené	odprto	otvorený	odprt	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
umelecké	umetniška	umelecký	umetniški	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
umelecké	umetniško	umelecký	umetniški	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
umelecké	umetniški	umelecký	umetniški	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
záznam	evidentiranje	záznam	evidentiranje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
záznam	zapisovanje	záznam	zapisovanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
záznam	snemanje	záznam	snemanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
záznam	plošča	záznam	plošča	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
záznam	rekord	záznam	rekord	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
záznam	zapis	záznam	zapis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
róbert	robert	róbert	robert	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
rodné	dekliško	rodný	dekliški	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
rodné	dekliški	rodný	dekliški	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
témy	teme	téma	tema	N;NOM;FEM;PL	N;NOM;FEM;PL
témy	teme	téma	tema	N;NOM;FEM;PL	N;NOM;FEM;PL
témy	osebki	téma	osebek	N;NOM;FEM;PL	N;NOM;MASC;PL
prúd	tok	prúd	tok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
prúd	potok	prúd	potok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
berlín	berlin	berlina	berlin	N;NOM;MASC;SG	N;NOM;MASC;SG
dej	zarota	dej	zarota	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
chodník	pot	chodník	pot	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
chodník	pločnik	chodník	pločnik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
chodník	pločnik	chodník	pločnik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
chodník	sled	chodník	sled	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
bývalí	bivše	bývalý	bivši	ADJ;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;PL
bývalí	nekdanje	bývalý	nekdanji	ADJ;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;PL
pásma	trakovi	pásmo	trak	N;NOM;NEUT;PL	N;NOM;MASC;PL
vancouver	vancouver	vancouver	vancouver	N;NOM;FEM;SG	N;NOM;MASC;SG
písať	piši	písať	pišati	V;IPFV;POS;NFIN	V;IPFV;IND;SG;3;PRS;FIN
podpora	podpora	podpora	podpora	N;NOM;FEM;SG	N;NOM;FEM;SG
blues	blues	blues	blues	N;NOM;NEUT;SG	N;NOM;MASC;SG
populácie	populacije	populácia	populacija	N;NOM;FEM;PL	N;NOM;FEM;PL
znakov	znakov	znak	znak	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
scenár	scenarij	scenár	scenarij	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
scenár	scenarij	scenár	scenarij	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
scenár	scenarij	scenár	scenarij	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
scenár	skripta	scenár	skripta	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
scenár	skript	scenár	skript	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
útoky	napadi	útok	napad	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
prostriedky	sredstva	prostriedok	sredstvo	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
prostriedky	viri	prostriedok	vir	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
nedostatok	pomanjkljivost	nedostatok	pomanjkljivost	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
nedostatok	pomanjkanje	nedostatok	pomanjkanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
nedostatok	pomanjkanje	nedostatok	pomanjkanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
nedostatok	pomanjkanje	nedostatok	pomanjkanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
drôme	drôme	drom	drema	N;NOM;FEM;SG	N;NOM;MASC;SG
stredné	srednji	stredný	srednji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
stredné	srednja	stredný	srednji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
stredné	srednja	stredný	srednji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
stredné	zmerna	stredný	zmeren	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
stredné	zmeren	stredný	zmeren	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
stredné	zloben	stredný	zloben	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
stredné	hudoben	stredný	hudoben	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
stredné	zlobno	stredný	zlobno	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
brazília	brazilija	brazíliť	brazilij	N;NOM;FEM;SG	N;NOM;FEM;SG
kozmické	kozmično	kozmický	kozmično	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
príklady	primeri	príklad	primer	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
medaily	medalje	medaila	medalja	N;NOM;FEM;PL	N;NOM;FEM;PL
konštrukcia	gradnja	konštrukcia	gradnja	N;NOM;FEM;SG	N;NOM;FEM;SG
konštrukcia	konstrukcija	konštrukcia	konstrukcija	N;NOM;FEM;SG	N;NOM;FEM;SG
konštrukcia	gradbeništvo	konštrukcia	gradbeništvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
konštrukcia	zasnova	konštrukcia	zasnova	N;NOM;FEM;SG	N;NOM;FEM;SG
konštrukcia	oblikovanje	konštrukcia	oblikovanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
konštrukcia	dizajn	konštrukcia	dizajno	N;NOM;FEM;SG	N;NOM;MASC;SG
konštrukcia	zgradba	konštrukcia	zgradba	N;NOM;FEM;SG	N;NOM;FEM;SG
konštrukcia	struktura	konštrukcia	struktura	N;NOM;FEM;SG	N;NOM;FEM;SG
konštrukcia	konstrukcija	konštrukcia	konstrukcija	N;NOM;FEM;SG	N;NOM;FEM;SG
modul	modul	moduť	modul	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
modul	vstavek	moduť	vstavek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
lokalita	lokacija	lokalita	lokacija	N;NOM;FEM;SG	N;NOM;FEM;SG
požiadavky	prošnje	požiadavka	prošnja	N;NOM;FEM;PL	N;NOM;FEM;PL
požiadavky	zahteve	požiadavka	zahteva	N;NOM;FEM;PL	N;NOM;FEM;PL
požiadavky	zahteve	požiadavka	zahteva	N;NOM;FEM;PL	N;NOM;FEM;PL
povedať	povej	povedať	povedati	V;PFV;POS;NFIN	V;PFV;IMP;SG;2;FIN
povedať	povej	povedať	povedati	V;PFV;POS;NFIN	V;PFV;IMP;SG;2;FIN
voľný	svoboden	voľný	svoboden	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
voľný	svobodna	voľný	svoboden	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
voľný	brezplačna	voľný	brezplačen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
vilaine	vilaine	vilaine	vilaina	N;NOM;FEM;SG	N;NOM;MASC;SG
konala	ravnala	konať	ravnati	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
alžbeta	elizabeta	alžbeta	elizabet	N;NOM;FEM;SG	N;NOM;FEM;SG
alžbeta	elizabeth	alžbeta	elizabeth	N;NOM;FEM;SG	N;NOM;FEM;SG
alžbeta	elizabeta	alžbeta	elizabet	N;NOM;FEM;SG	N;NOM;FEM;SG
áno	ja	áno	ja	PART	PART
áno	ja	áno	ja	PART	PART
ekonóm	ekonomist	ekonóm	ekonomist	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
žiadosť	zahtevek	žiadosť	zahtevek	N;NOM;FEM;SG	N;NOM;MASC;SG
žiadosť	vloga	žiadosť	vloga	N;NOM;FEM;SG	N;NOM;FEM;SG
žiadosť	prošnja	žiadosť	prošnja	N;NOM;FEM;SG	N;NOM;FEM;SG
žiadosť	zahtevek	žiadosť	zahtevek	N;NOM;FEM;SG	N;NOM;MASC;SG
hlasovanie	glasovanje	hlasovanie	glasovanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
hlasovanie	glasovanje	hlasovanie	glasovanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
sestra	sestra	sestra	sestra	N;NOM;FEM;SG	N;NOM;FEM;SG
sestra	sestrica	sestra	sestrica	N;NOM;FEM;SG	N;NOM;FEM;SG
sestra	bolničarka	sestra	bolničarka	N;NOM;FEM;SG	N;NOM;FEM;SG
sestra	sestra	sestra	sestra	N;NOM;FEM;SG	N;NOM;FEM;SG
trest	kazen	trest	kazen	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
trest	kazen	trest	kazen	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
trest	kaznovanje	trest	kaznovanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
front	fronta	front	fronta	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
front	spredaj	front	spredaj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
front	vrsta	front	vrsta	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
kultúrna	kulturno	kultúrny	kulturen	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
kultúrna	kulturni	kultúrny	kulturen	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
kultúrna	kulturna	kultúrny	kulturen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
podporuje	podpira	podporovať	podpirati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
podporuje	spodbuja	podporovať	spodbujati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gróf	štetje	gróf	štetje	N;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG
gróf	grof	gróf	grof	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vodný	vodni	vodný	voden	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
trvá	teče	trvať	teči	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
trvá	vztraja	trvať	vztrajati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
trvá	traja	trvať	trajati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
predstavujú	zastopati	predstavovať	zastopati	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;NFIN
predstavujú	predstavljajo	predstavovať	predstavljati	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
manžel	soprog	manžel	soprog	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
manžel	moz	manžel	moz	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
manžel	mož	manžel	mož	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vodná	vodni	vodný	voden	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
atlét	športnik	atlét	športnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
myšlienky	zamisli	myšlienka	zamisel	N;NOM;FEM;PL	N;NOM;FEM;PL
myšlienky	ideje	myšlienka	ideja	N;NOM;FEM;PL	N;NOM;FEM;PL
použitá	uporabljen	použitý	uporabljen	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
použitá	uporabljena	použitý	uporabljen	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
použitá	uporabljeno	použitý	uporabljeno	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
hérault	hérault	hérault	hérault	N;NOM;FEM;SG	N;NOM;MASC;SG
národy	narodi	národ	narod	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
národy	narodi	národ	narod	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
olej	olje	olej	olje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
olej	nafta	olej	naft	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
vozidla	vozilo	vozidnúť	vozilo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
vie	ve	vedieť	vedeti	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
vojvoda	duke	vojvoda	duka	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vojvoda	knez	vojvoda	knez	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vojvoda	vojvoda	vojvoda	vojvoda	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
beh	tek	beh	tek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vozidlo	vozilo	vozidnúť	vozilo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
ardèche	ardèche	ardich	ardèche	N;NOM;FEM;SG	N;NOM;MASC;SG
generácia	generacija	generácia	generacija	N;NOM;FEM;SG	N;NOM;FEM;SG
generácia	ustvarjanje	generácia	ustvarjanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
tretie	tretje	tretí	tretji	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
tretie	tretji	tretí	tretji	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
tretie	tretja	tretí	tretji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
marcel	marcel	marcieť	marcel	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
zmysel	pomen	zmysel	pomen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zmysel	čut	zmysel	čut	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
východné	vzhodni	východný	vzhoden	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
východné	vzhodna	východný	vzhoden	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
východné	vzhodni	východný	vzhoden	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
východné	vzhodna	východný	vzhoden	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
prítomnosť	sedanjost	prítomnosť	sedanjost	N;NOM;FEM;SG	N;NOM;FEM;SG
prítomnosť	prisotnost	prítomnosť	prisotnost	N;NOM;FEM;SG	N;NOM;FEM;SG
prítomnosť	navzočnost	prítomnosť	navzočnost	N;NOM;FEM;SG	N;NOM;FEM;SG
východná	vzhodni	východný	vzhoden	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
východná	vzhodna	východný	vzhoden	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
východná	vzhodni	východný	vzhoden	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
východná	vzhodna	východný	vzhoden	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
pán	gospod	pán	gospod	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
prehry	izgube	prehra	izguba	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
misia	misija	misia	misija	N;NOM;FEM;SG	N;NOM;FEM;SG
misia	poslanstvo	misia	poslanstvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
misia	naloga	misia	naloga	N;NOM;FEM;SG	N;NOM;FEM;SG
net	neto	net	neto	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
net	net	net	net	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kapacita	zmogljivost	kapacita	zmogljivost	N;NOM;FEM;SG	N;NOM;FEM;SG
kapacita	kapaciteta	kapacita	kapaciteta	N;NOM;FEM;SG	N;NOM;FEM;SG
asistent	pomočnik	asistent	pomočnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
asistent	asistent	asistent	asistent	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
asistent	asistentka	asistent	asistentka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
asistent	pomočnica	asistent	pomočnica	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
jaskyne	jame	jaskyňa	jama	N;NOM;FEM;PL	N;NOM;FEM;PL
jaskyne	votline	jaskyňa	votlina	N;NOM;FEM;PL	N;NOM;FEM;PL
indie	indie	india	indie	N;NOM;MASC;SG	N;NOM;MASC;SG
indie	indija	india	indija	N;NOM;MASC;SG	N;NOM;FEM;SG
kostoly	cerkve	kostol	cerkev	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
okruh	polmer	okruh	polmer	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
okruh	vezja	okruh	vezja	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
okruh	vezje	okruh	vezja	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
okruh	dirkališče	okruh	dirkališče	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
umiestnená	postavljen	umiestnený	postavljen	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
egypte	egipt	egypiť	egipt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
správanie	vedenje	správanie	vedenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
správanie	obnašanje	správanie	obnašanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
správanie	vedenje	správanie	vedenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
správanie	obnašanje	správanie	obnašanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bojové	bojna	bojový	bojen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
odmietol	odklonil	odmietnuť	odkloniti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
väčšia	večja	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
väčšia	večji	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;CMPR;MASC;SG
väčšia	večje	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
väčšia	večja	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
väčšia	večje	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
väčšia	večja	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
väčšia	večji	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;CMPR;MASC;SG
väčšia	večje	veľký	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
vnútorné	notranja	vnútorný	notranji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
vnútorné	notranji	vnútorný	notranji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
vnútorné	notranji	vnútorný	notranji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
vnútorné	notranji	vnútorný	notranji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
vnútorné	notranja	vnútorný	notranji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
funkcií	funkcij	funkcia	funkcija	N;GEN;FEM;PL	N;GEN;FEM;PL
následok	posledica	následok	posledica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
pobrežia	obale	pobrežiť	obala	N;NOM;NEUT;PL	N;NOM;FEM;PL
mosty	mostovi	most	mostov	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
zriedkavo	redko	zriedkavo	redko	ADV	ADV
zóny	območja	zóna	območje	N;NOM;FEM;PL	N;NOM;NEUT;PL
zóny	cone	zóna	cona	N;NOM;FEM;PL	N;NOM;FEM;PL
delenie	razdelek	delenie	razdelek	N;NOM;NEUT;SG	N;NOM;MASC;SG
delenie	delitev	delenie	delitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
delenie	deljenje	delenie	deljenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
delenie	oddelek	delenie	oddelek	N;NOM;NEUT;SG	N;NOM;MASC;SG
delenie	divizija	delenie	divizija	N;NOM;NEUT;SG	N;NOM;FEM;SG
delenie	pregrada	delenie	pregrada	N;NOM;NEUT;SG	N;NOM;FEM;SG
delenie	razdelitev	delenie	razdelitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
delenie	delitev	delenie	delitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
jednoduché	preprost	jednoduchý	preprosto	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
jednoduché	preprosta	jednoduchý	preprost	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
trasa	pot	triasť	pot	N;NOM;FEM;SG	N;NOM;FEM;SG
trasa	pot	triasť	pot	N;NOM;FEM;SG	N;NOM;FEM;SG
únia	union	únia	union	N;NOM;FEM;SG	N;NOM;MASC;SG
únia	unija	únia	unija	N;NOM;FEM;SG	N;NOM;FEM;SG
únia	sindikat	únia	sindikat	N;NOM;FEM;SG	N;NOM;MASC;SG
stála	stal	stáť	stati	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
stála	stala	stáť	stati	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
podujatie	dogodek	podujatie	dogodek	N;NOM;NEUT;SG	N;NOM;MASC;SG
podujatie	prireditev	podujatie	prireditev	N;NOM;NEUT;SG	N;NOM;FEM;SG
podujatie	dogodka	podujatie	dogodek	N;NOM;NEUT;SG	N;NOM;MASC;SG
štatistika	statistika	štatistika	statistika	N;NOM;FEM;SG	N;NOM;FEM;SG
fyziku	fiziko	fyzika	fizika	N;ACC;FEM;SG	N;ACC;FEM;SG
reprezentuje	predstavlja	reprezentovať	predstavljati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
reprezentuje	zastopa	reprezentovať	zastop	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
formálne	formalno	formálne	formalno	ADV	ADV
formálne	uradno	formálne	uradno	ADV	ADV
formálne	formalno	formálne	formalno	ADV	ADV
nádrže	rezervoarji	nádrža	rezervoar	N;NOM;FEM;PL	N;NOM;MASC;PL
nádrže	rezervoarji	nádrža	rezervoar	N;NOM;FEM;PL	N;NOM;MASC;PL
inde	drugod	inde	drugod	ADV	ADV
inde	drugje	inde	drugje	ADV	ADV
občanov	državljane	občan	državljan	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
afrika	afrika	afrika	afrik	N;NOM;FEM;SG	N;NOM;FEM;SG
menší	manjše	malý	majhen	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
menší	manjša	malý	majhen	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;FEM;SG
menší	manjši	malý	majhen	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
pomenované	poimenovana	pomenovaný	poimenovan	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
hodnosť	čin	hodnosť	čin	N;NOM;FEM;SG	N;NOM;MASC;SG
podnikateľ	poslovnež	podnikateľ	poslovnež	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
podnikateľ	podjetnik	podnikateľ	podjetnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
nutné	potrebno	nutný	potreben	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
spracovanie	obdelovanje	spracovanie	obdelovanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
spracovanie	predelava	spracovanie	predelava	N;NOM;NEUT;SG	N;NOM;FEM;SG
spracovanie	obdelava	spracovanie	obdelava	N;NOM;NEUT;SG	N;NOM;FEM;SG
spracovanie	obdelava	spracovanie	obdelava	N;NOM;NEUT;SG	N;NOM;FEM;SG
spracovanie	zdravljenje	spracovanie	zdravljenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
spracovanie	obravnava	spracovanie	obravnava	N;NOM;NEUT;SG	N;NOM;FEM;SG
používanie	uporaba	používanie	uporaba	N;NOM;NEUT;SG	N;NOM;FEM;SG
používanie	uporaba	používanie	uporaba	N;NOM;NEUT;SG	N;NOM;FEM;SG
atlas	atlas	atlas	atlas	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
schopné	zmožen	schopný	zmožen	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
schopné	sposoben	schopný	sposoben	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
menovaný	imenovan	menovaný	imenovan	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
menovaný	nominiran	menovaný	nominiran	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
stratovulkán	stratovulkan	stratovulkan	stratovulkan	N;NOM;FEM;SG	N;NOM;MASC;SG
izrael	izrael	izrael	izrati	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
samostatný	ločena	samostatný	ločen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;V.PTCP
samostatný	ločeno	samostatný	ločen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;V.PTCP
samostatný	samostojna	samostatný	samostojen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
vyjadruje	izraža	vyjadrovať	izražati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
belgická	belgijska	belgický	belgijski	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
belgická	belgijski	belgický	belgijski	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
belgická	belgijsko	belgický	belgijski	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
spravuje	upravlja	spravovať	upravljati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
brána	gate	brána	gata	N;NOM;FEM;SG	N;NOM;MASC;SG
brána	prehod	brána	prehod	N;NOM;FEM;SG	N;NOM;MASC;SG
korlević	korlević	korlevika	korlević	N;NOM;MASC;SG	N;NOM;MASC;SG
zabezpečuje	zagotavlja	zabezpečovať	zagotavljati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
zabezpečuje	zagotavlja	zabezpečovať	zagotavljati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
zvyšky	ostanki	zvyšok	ostanek	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
zvyšky	ostanki	zvyšok	ostanek	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
