年	tahun	年	tahun	N	N;SG
紅外	inframerah	紅外	inframerah	N	N;SG
酶	enzim	酶	enzim	N	N;SG
酶	enzim	酶	enzim	N	N;SG
外部	eksterior	外部	eksterior	N	N
外部	eksternal	外部	eksternal	N	N
鹽	garam	鹽	garam	N	N;SG
鹽	asin	鹽	asin	N	N;SG
向量	vektor	向量	vektor	N	N;SG
向量	vektor	向量	vektor	N	N;SG
數碼	digital	數碼	digital	N	N;SG
態度	sikapnya	態度	sikap	N	N;SG
態度	sikap	態度	sikap	N	N;SG
態度	sikap	態度	sikap	N	N;SG
成分	bahan	成分	bahan	N	N;SG
成分	bahan	成分	bahan	N	N;SG
模特	model	模特	model	N	N;SG
模特	model	模特	model	N	N;SG
防禦	pembela	防禦	penbela	N	N;SG
防禦	pertahanan	防禦	pertahanan	N	N;SG
防禦	defensif	防禦	defensif	N	N;SG
先前	tadi	先前	tadi	N	N
簽名	tanda	簽名	tanda	N	N;SG
簽名	tandatangani	簽名	tandatangani	N	N;SG
簽名	tandatangan	簽名	tandatangan	N	N;SG
回歸	kembali	回歸	kembali	V	V;SG;ACT
損失	kerugian	損失	kerugian	N	N;SG
損失	kehilangan	損失	kehilangan	N	N;SG
損失	rugi	損失	rugi	N	N;SG
損失	kerugian	損失	kerugian	N	N;SG
注入	menyuntikkan	注入	mensuntikkan	V	V;SG;ACT
推廣	mempromosikannya	推廣	menpromosikan	V	V;SG;ACT
推廣	promosikan	推廣	promosikan	V	V;SG;ACT
推廣	mempromosikan	推廣	menpromosikan	V	V;SG;ACT
僧	biksu	僧	biksu	N	N
僧	rahib	僧	rahib	N	N;SG
僧	biarawan	僧	biarawan	N	N
升級	ditingkatkan	升級	ditingkatkan	V	V;SG;PASS
升級	tingkatkan	升級	tingkatkan	V	V;SG;ACT
升級	perbarui	升級	perbarui	V	V;SG;ACT
嘗試	berusaha	嘗試	berusaha	V	V;SG;ACT
嘗試	mencoba	嘗試	mencoba	V	V;SG;ACT
財政	fiskal	財政	fiskal	N	N
氣象	meteorologi	氣象	meteorologi	N	N
氣象	meteorologi	氣象	meteorologi	N	N
氣象	cuaca	氣象	cuaca	N	N;SG
人文	kemanusiaan	人文	kemanusiaan	N	N;SG
人文	humaniora	人文	humaniora	N	N
魚類	ikan	魚類	ikan	N	N;SG
造型	bergaya	造型	bergaya	V	V;SG;ACT
書籍	pembukuan	書籍	penbukuan	N	N;SG
書籍	buku	書籍	buku	N	N;SG
書籍	kitab	書籍	kitab	N	N;SG
書籍	buku	書籍	buku	N	N;SG
各國	negara	各國	negara	N	N;SG
施工	konstruksi	施工	konstruksi	N	N;SG
施工	pembangunan	施工	penbangunan	N	N;SG
效率	efisiensi	效率	efisiensi	N	N;SG
效率	efisiensi	效率	efisiensi	N	N;SG
地域	geografi	地域	geografi	N	N;SG
函數	fungsi	函數	fungsi	N	N;SG
函數	fungsi	函數	fungsi	N	N;SG
勳章	medal	勳章	medal	N	N
勳章	medali	勳章	medali	N	N;SG
勳章	medali	勳章	medali	N	N;SG
大橋	anjungan	大橋	anjungan	N	N;SG
大橋	jembatan	大橋	jembatan	N	N;SG
征服	menaklukan	征服	mentaklukan	V	V;SG;ACT
征服	taklukkan	征服	taklukkan	V	V;SG;ACT
征服	menaklukkan	征服	mentaklukkan	V	V;SG;ACT
征服	menaklukkan	征服	mentaklukkan	V	V;SG;ACT
整體	holistik	整體	holistik	N	N;SG
聚集	mengumpulkan	聚集	menkumpulkan	V	V;SG;ACT
定位	posisi	定位	posisi	N	N;SG
弓	busur	弓	busur	N	N;SG
弓	busur	弓	busur	N	N;SG
女	aktris	女	aktris	N	N;SG
防守	pembela	防守	penbela	N	N;SG
防守	pertahanan	防守	pertahanan	N	N;SG
校友	alumni	校友	alumni	N	N;SG
校友	antariksa	校友	antariksa	N	N;SG
校友	alumnus	校友	alumnus	N	N;SG
蛋	telur	蛋	telur	N	N;SG
蛋	telur	蛋	telur	N	N;SG
口徑	kaliber	口徑	kaliber	N	N
口徑	kaliber	口徑	kaliber	N	N
裁判	wasit	裁判	wasit	N	N;SG
科學	ilmuwan	科學	ilmuwan	N	N;MASC;SG
科學	ilmuan	科學	ilmuan	N	N;SG
科學	ilmuwan	科學	ilmuwan	N	N;MASC;SG
小	kecil	小	kecil	ADJ	ADJ;SG
小	mungil	小	mungil	ADJ	ADJ;SG
下方	bawah	下方	bawah	N	N;SG
架構	arsitektur	架構	arsitektur	N	N;SG
共享	berbagi	共享	berbagi	V	V;SG;ACT
共享	dibagikan	共享	dibagikan	V	V;SG;PASS
共享	membagikan	共享	menbagikan	V	V;SG;ACT
共享	bagikan	共享	bagikan	V	V;SG;ACT
共享	berbagi	共享	berbagi	V	V;SG;ACT
共享	bagikan	共享	bagikan	V	V;SG;ACT
共享	berbagi	共享	berbagi	V	V;SG;ACT
共享	bagikan	共享	bagikan	V	V;SG;ACT
共享	berbagi	共享	berbagi	V	V;SG;ACT
共享	dibagikan	共享	dibagikan	V	V;SG;PASS
累	kelelahan	累	kelelahan	N	N;SG
累	capek	累	capek	N	N
星期	minggu	星期	minggu	N	N;SG
星期	minggu	星期	minggu	N	N;SG
指引	pedoman	指引	pedoman	N	N;SG
指引	panduan	指引	panduan	N	N;SG
指引	pemandu	指引	penpandu	N	N;SG
加工	memroses	加工	menpros	V	V;SG;ACT
加工	memproses	加工	menproses	V	V;SG;ACT
加工	diproses	加工	diproses	V	V;SG;PASS
山地	gunung	山地	gunung	N	N;SG
山地	pegunungan	山地	pegunungan	N	N;SG
改良	ditingkatkan	改良	ditingkatkan	V	V;SG;PASS
改良	disempurnakan	改良	disempurnakan	V	V;SG;PASS
劇本	skrip	劇本	skrip	N	N;SG
劇本	naskah	劇本	naskah	N	N;SG
劇本	script	劇本	script	N	N
完美	sempurna	完美	sempurna	ADJ	ADJ;SG
氧	oksigen	氧	oksigen	N	N;SG
玫瑰	mawar	玫瑰	mawar	N	N;SG
玫瑰	mawar	玫瑰	mawar	N	N;SG
記憶	memori	記憶	memori	N	N;SG
記憶	kenangan	記憶	kenangan	N	N;SG
記憶	kenangan	記憶	kenangan	N	N;SG
記憶	ingatan	記憶	ingatan	N	N;SG
記憶	memori	記憶	memori	N	N;SG
座位	kursi	座位	kursi	N	N;SG
座位	kursi	座位	kursi	N	N;SG
宣言	manifesto	宣言	manifesto	N	N
宣言	deklarasi	宣言	deklarasi	N	N;SG
期刊	jurnal	期刊	jurnal	N	N;SG
期刊	jurnal	期刊	jurnal	N	N;SG
合同	kontrak	合同	kontrak	N	N;SG
合同	kontrak	合同	kontrak	N	N;SG
喜劇	komedi	喜劇	komedi	N	N;SG
人氣	popularitas	人氣	popularitas	N	N;SG
美術	seni	美術	seni	N	N;SG
美術	kesenian	美術	kesenian	N	N;SG
光明	cahaya	光明	cahaya	N	N;SG
光明	lampu	光明	lampu	N	N;SG
事務	firma	事務	firma	N	N
垂直	vertikal	垂直	vertikal	N	N;SG
垂直	vertikal	垂直	vertikal	N	N;SG
網上	daring	網上	daring	N	N
主辦	menyelenggarakan	主辦	menselenggarakan	V	V;SG;ACT
技能	keahlian	技能	keahlian	N	N;SG
技能	keterampilan	技能	keterampilan	N	N;SG
技能	keahlian	技能	keahlian	N	N;SG
技能	keterampilan	技能	keterampilan	N	N;SG
技能	kemampuan	技能	kemampuan	N	N;SG
姓氏	marga	姓氏	marga	N	N;SG
立場	posisi	立場	posisi	N	N;SG
立場	jabatan	立場	jabatan	N	N;SG
豐富	kaya	豐富	kaya	ADJ	ADJ;SG
砂	papak	砂	papak	N	N
男孩	bocah	男孩	bocah	N	N
加速	mempercepat	加速	menpercepat	V	V;SG;ACT
感情	emosi	感情	emosi	N	N;SG
感情	hubungan	感情	hubungan	N	N;SG
感情	emosi	感情	emosi	N	N;SG
感情	perasaan	感情	perrasaan	N	N;SG
狐	rubah	狐	rubah	N	N
重複	gandakan	重複	gandakan	V	V;SG;ACT
智慧	kecerdasan	智慧	kecerdasan	N	N;SG
智慧	intelijen	智慧	intelijen	N	N;SG
智慧	hikmat	智慧	hikmat	N	N;SG
智慧	kebijaksanaan	智慧	kebijaksanaan	N	N;SG
智慧	hikmah	智慧	hikmah	N	N;SG
智慧	kearifan	智慧	kearifan	N	N;SG
尺寸	ukuran	尺寸	ukuran	N	N;SG
尺寸	dimensi	尺寸	dimensi	N	N;SG
尺寸	ukuran	尺寸	ukuran	N	N;SG
嫁	nikahi	嫁	nikahi	V	V;SG;ACT
嫁	menikah	嫁	mennikah	V	V;SG;ACT
樂隊	band	樂隊	band	N	N
樂隊	band	樂隊	band	N	N
信徒	pemuja	信徒	penpuja	N	N;SG
同志	kamerad	同志	kamerad	N	N;SG
騎	tumpangan	騎	tumpangan	N	N;SG
體育	arena	體育	arena	N	N;SG
體育	gelanggang	體育	gelanggang	N	N;SG
體育	gimnasium	體育	gimnasium	N	N;SG
體育	gimnasium	體育	gimnasium	N	N;SG
體育	stadion	體育	stadion	N	N;SG
體育	stadium	體育	stadium	N	N
鐘	jam	鐘	jam	N	N;SG
鐘	lonceng	鐘	lonceng	N	N;SG
分享	berbagi	分享	berbagi	V	V;SG;ACT
分享	dibagikan	分享	dibagikan	V	V;SG;PASS
分享	membagikan	分享	menbagikan	V	V;SG;ACT
分享	bagikan	分享	bagikan	V	V;SG;ACT
分享	berbagi	分享	berbagi	V	V;SG;ACT
分享	bagikan	分享	bagikan	V	V;SG;ACT
分享	berbagi	分享	berbagi	V	V;SG;ACT
分享	bagikan	分享	bagikan	V	V;SG;ACT
分享	berbagi	分享	berbagi	V	V;SG;ACT
分享	dibagikan	分享	dibagikan	V	V;SG;PASS
班機	penerbangan	班機	penterbangan	N	N;SG
時報	kali	時報	kali	N	N;SG
擴大	memperluas	擴大	menperluas	V	V;SG;ACT
擴大	diperluas	擴大	diperluas	V	V;SG;PASS
擴大	memperluas	擴大	menperluas	V	V;SG;ACT
擴大	diperbesar	擴大	diperbesar	V	V;SG;PASS
擴大	kembangkan	擴大	kembangkan	V	V;SG;ACT
擴大	luaskan	擴大	luaskan	V	V;SG;ACT
擴大	memperluas	擴大	menperluas	V	V;SG;ACT
讀者	pembaca	讀者	penbaca	N	N;SG
讀者	pembaca	讀者	penbaca	N	N;SG
指數	indeks	指數	indeks	N	N;SG
指數	eksponen	指數	eksponen	N	N;SG
指數	eksponensial	指數	eksponensial	N	N;SG
指數	indeks	指數	indeks	N	N;SG
猴	monyet	猴	monyet	N	N;SG
猴	kera	猴	kera	N	N
撰寫	menulis	撰寫	mentulis	V	V;SG;ACT
撰寫	tulislah	撰寫	tulis	V	V;SG;ACT
撰寫	tertulis	撰寫	tertulis	V	V;SG;PASS
撰寫	ditulis	撰寫	ditulis	V	V;SG;PASS
撰寫	menulis	撰寫	mentulis	V	V;SG;ACT
重點	fokus	重點	fokus	N	N;SG
感覺	perasaan	感覺	perrasaan	N	N;SG
左翼	kiri	左翼	kiri	N	N;SG
種族	balapan	種族	balapan	N	N;SG
種族	ras	種族	ras	N	N;SG
種族	balapan	種族	balapan	N	N;SG
種族	perlombaan	種族	perlombaan	N	N;SG
種族	ras	種族	ras	N	N;SG
種族	lomba	種族	lomba	N	N;SG
種族	etnis	種族	etnis	N	N;SG
種族	etnik	種族	etnik	N	N;SG
限	batas	限	batas	N	N;SG
休息	beristirahat	休息	beristirahat	V	V;SG;ACT
休息	beristirahat	休息	beristirahat	V	V;SG;ACT
曲目	lacak	曲目	lacak	N	N;SG;ACT
東區	timur	東區	timur	N	N;SG
定期	reguler	定期	reguler	N	N;SG
定期	periodik	定期	periodik	N	N
反抗	memberontak	反抗	menberontak	V	V;SG;ACT
殺害	membunuh	殺害	menbunuh	V	V;SG;ACT
席位	kursi	席位	kursi	N	N;SG
穿越	menyeberang	穿越	menseberang	V	V;SG;ACT
穿越	melintas	穿越	menlintas	V	V;SG;ACT
株	strain	株	strain	N	N
管制	mengontrol	管制	menkontrol	V	V;SG;ACT
咖啡	kopi	咖啡	kopi	N	N;SG
胸	payudara	胸	payudara	N	N;SG
眼睛	mata	眼睛	mata	N	N;SG
眼睛	mata	眼睛	mata	N	N;SG
星座	konstelasi	星座	konstelasi	N	N
星座	konstelasi	星座	konstelasi	N	N
星座	rasi	星座	rasi	N	N
星座	horoskop	星座	horoskop	N	N
貴族	bangsawan	貴族	bangsawan	N	N;MASC;SG
貴族	kebangsawanan	貴族	kebangsawanan	N	N;SG
殺死	membunuh	殺死	menbunuh	V	V;SG;ACT
殺死	bunuhlah	殺死	bunuh	V	V;SG;ACT
殺死	bunuh	殺死	bunuh	V	V;SG;ACT
訊息	pesan	訊息	pesan	N	N;SG
訊息	pesan	訊息	pesan	N	N;SG
浪漫	percintaan	浪漫	percintaan	N	N;SG
浪漫	romantis	浪漫	romantis	N	N;SG
浪漫	asmara	浪漫	asmara	N	N;SG
浪漫	romantis	浪漫	romantis	N	N;SG
浪漫	romantic	浪漫	romantic	N	N;SG
窗	jendela	窗	jendela	N	N;SG
窗	jendela	窗	jendela	N	N;SG
主權	kedaulatan	主權	kedaulatan	N	N;SG
主權	kedaulatan	主權	kedaulatan	N	N;SG
探索	menjelajah	探索	menjelajah	V	V;SG;ACT
探索	menjelajahi	探索	menjelajahi	V	V;SG;ACT
探索	temukan	探索	temukan	V	V;SG;ACT
探索	menemukan	探索	mentemukan	V	V;SG;ACT
簽約	menandatangani	簽約	mentandatangani	V	V;SG;ACT
晚間	petang	晚間	petang	N	N;SG
晚間	sore	晚間	sore	N	N;SG
晚間	malam	晚間	malam	N	N;SG
手槍	pistols	手槍	pistols	N	N
手槍	pistol	手槍	pistol	N	N
手槍	pistol	手槍	pistol	N	N
月份	bulan	月份	bulan	N	N;SG
月份	bulan	月份	bulan	N	N;SG
軸	poros	軸	poros	N	N;SG
軸	sumbu	軸	sumbu	N	N;SG
軸	axle	軸	axle	N	N
軸	sumbu	軸	sumbu	N	N;SG
內地	interior	內地	interior	N	N;SG
內地	pedalaman	內地	pedalaman	N	N
電車	trem	電車	trem	N	N
電車	troli	電車	troli	N	N;SG
電車	trem	電車	trem	N	N
電車	trem	電車	trem	N	N
觀光	tamasya	觀光	tamasya	N	N;SG
理工	politeknik	理工	politeknik	N	N
弟子	murid	弟子	murid	N	N;SG
價格	harga	價格	harga	N	N;SG
價格	harga	價格	harga	N	N;SG
價格	harganya	價格	harga	N	N;SG
精選	unggulan	精選	unggulan	N	N;SG
銅	tembaga	銅	tembaga	N	N;SG
銅	perunggu	銅	perunggu	N	N;SG
部署	penyebaran	部署	pensebaran	N	N;SG
部署	penyebaran	部署	pensebaran	N	N;SG
精靈	jin	精靈	jin	N	N;SG
精靈	peri	精靈	penri	N	N;SG
事實	fakta	事實	fakta	N	N;SG
事實	kebenaran	事實	kebenaran	N	N;SG
巨人	raksasa	巨人	raksasa	N	N;SG
巨人	raksasa	巨人	raksasa	N	N;SG
永遠	selamanya	永遠	selama	N	N;SG
污染	pencemaran	污染	pencemaran	N	N;SG
污染	kontaminasi	污染	kontaminasi	N	N;SG
污染	pencemaran	污染	pencemaran	N	N;SG
污染	polusi	污染	polusi	N	N;SG
更高	tinggi	更高	tinggi	ADJ	ADJ;SG
戰術	taktik	戰術	taktik	N	N;SG
戰術	taktik	戰術	taktik	N	N;SG
戰術	taktis	戰術	taktis	N	N;SG
宿舍	asrama	宿舍	asrama	N	N;SG
宿舍	asrama	宿舍	asrama	N	N;SG
宿舍	asrama	宿舍	asrama	N	N;SG
宿舍	asrama	宿舍	asrama	N	N;SG
追求	mengejar	追求	menkejar	V	V;SG;ACT
衛生	sanitasi	衛生	sanitasi	N	N;SG
衛生	kebersihan	衛生	kebersihan	N	N;SG
衛生	sanitasi	衛生	sanitasi	N	N;SG
符號	simbol	符號	simbol	N	N;SG
符號	simbol	符號	simbol	N	N;SG
誕生	lahir	誕生	lahir	V	V;SG;ACT
誕生	terlahir	誕生	terlahir	V	V;SG;PASS
誕生	dilahirkan	誕生	dilahirkan	V	V;SG;PASS
議題	topik	議題	topik	N	N;SG
規範	norma	規範	norma	N	N;SG
規範	normatif	規範	normatif	N	N
規範	norma	規範	norma	N	N;SG
燈	lampu	燈	lampu	N	N;SG
燈	lampu	燈	lampu	N	N;SG
印象	tayangan	印象	tayangan	N	N;SG
印象	kesan	印象	kesan	N	N;SG
印象	penayangan	印象	pentayangan	N	N;SG
印象	tayangan	印象	tayangan	N	N;SG
印象	impresi	印象	impresi	N	N;SG
乳	susu	乳	susu	N	N;SG
乳	susunya	乳	susu	N	N;SG
神奇	ajaib	神奇	ajaib	ADJ	ADJ;SG
神奇	ajaib	神奇	ajaib	ADJ	ADJ;SG
週刊	mingguan	週刊	mingguan	N	N;SG
吐	meludah	吐	menludah	V	V;SG;ACT
撞擊	berdampak	撞擊	berdampak	V	V;SG;ACT
外圍	periferal	外圍	periferal	N	N;SG
日子	hari	日子	hari	N	N;SG
種子	biji	種子	biji	N	N;SG
種子	benih	種子	benih	N	N;SG
種子	bibit	種子	bibit	N	N;SG
種子	biji	種子	biji	N	N;SG
種子	benih	種子	benih	N	N;SG
種子	bibit	種子	bibit	N	N;SG
標本	spesimen	標本	spesimen	N	N;SG
標本	spesimen	標本	spesimen	N	N;SG
瀑布	waterfall	瀑布	waterfall	N	N
瀑布	terjun	瀑布	terjun	N	N;SG;ACT
呈現	menyajikan	呈現	mensajikan	V	V;SG;ACT
維護	pemeliharaan	維護	penpeliharaan	N	N;SG
維護	perawatan	維護	penrawatan	N	N;SG
搜尋	pencarian	搜尋	pencarian	N	N;SG
搜尋	pencarian	搜尋	pencarian	N	N;SG
答	jawab	答	jawab	N	N;SG;ACT
答	jawaban	答	jawaban	N	N;SG
鼓勵	mendorong	鼓勵	mendorong	V	V;SG;ACT
鼓勵	mendorong	鼓勵	mendorong	V	V;SG;ACT
考試	pemeriksaan	考試	penperiksaan	N	N;SG
考試	ujian	考試	ujian	N	N;SG
考試	ujian	考試	ujian	N	N;SG
展覽	pameran	展覽	pameran	N	N;SG
展覽	pameran	展覽	pameran	N	N;SG
展覽	pameran	展覽	pameran	N	N;SG
展覽	pameran	展覽	pameran	N	N;SG
競選	berkampanye	競選	berkampanye	V	V
輸入	masukkan	輸入	masukkan	V	V;SG;ACT
輸入	masukkan	輸入	masukkan	V	V;SG;ACT
贊助	disponsori	贊助	disponsori	V	V;SG;PASS
保守	konservatif	保守	konservatif	ADJ	ADJ;SG
幫忙	membantu	幫忙	menbantu	V	V;SG;ACT
競賽	kompetisi	競賽	kompetisi	N	N;SG
競賽	balapan	競賽	balapan	N	N;SG
競賽	perlombaan	競賽	perlombaan	N	N;SG
競賽	ras	競賽	ras	N	N;SG
競賽	lomba	競賽	lomba	N	N;SG
競賽	kompetisi	競賽	kompetisi	N	N;SG
競賽	persaingan	競賽	persaingan	N	N;SG
競賽	lomba	競賽	lomba	N	N;SG
競賽	kontes	競賽	kontes	N	N;SG
首歌	lagu	首歌	lagu	N	N;SG
神話	mitos	神話	mitos	N	N
神話	mitologi	神話	mitologi	N	N
神話	mitos	神話	mitos	N	N
股票	ekuitas	股票	ekuitas	N	N
股票	saham	股票	saham	N	N;SG
股票	bursa	股票	bursa	N	N;SG
股票	saham	股票	saham	N	N;SG
股票	stok	股票	stok	N	N;SG
實現	menyadari	實現	mensadari	V	V;SG;ACT
實現	direalisasikan	實現	direalisasikan	V	V;SG;PASS
實現	mencapainya	實現	mencapai	V	V;SG;ACT
實現	mencapai	實現	mencapai	V	V;SG;ACT
實現	meraih	實現	menraih	V	V;SG;ACT
實現	raih	實現	raih	V	V;SG;ACT
出局	keluar	出局	keluar	V	V;SG;ACT
戰場	battlefield	戰場	battlefield	N	N
平等	persamaan	平等	persamaan	N	N;SG
平等	kesetaraan	平等	kesetaraan	N	N;SG
平等	sederajat	平等	sederajat	N	N;SG
價	harga	價	harga	N	N;SG
價	harganya	價	harga	N	N;SG
困難	kesukaran	困難	kesukaran	N	N;SG
困難	kesempitan	困難	kesempitan	N	N
困難	kesusahan	困難	kesusahan	N	N;SG
困難	kesulitan	困難	kesulitan	N	N;SG
困難	kesukaran	困難	kesukaran	N	N;SG
困難	kesulitan	困難	kesulitan	N	N;SG
機車	skuter	機車	skuter	N	N;SG
機車	motor	機車	motor	N	N;SG
機車	lokomotif	機車	lokomotif	N	N
危險	bahaya	危險	bahaya	N	N;SG
技巧	tipuan	技巧	tipuan	N	N;SG
技巧	trik	技巧	trik	N	N;SG
技巧	keahlian	技巧	keahlian	N	N;SG
技巧	keterampilan	技巧	keterampilan	N	N;SG
技巧	kemampuan	技巧	kemampuan	N	N;SG
技巧	teknik	技巧	teknik	N	N;SG
帽	cap	帽	cap	N	N
帽	topi	帽	topi	N	N;SG
帽	cap	帽	cap	N	N
公寓	datar	公寓	datar	N	N;SG
公寓	kondominium	公寓	kondominium	N	N
公寓	condo	公寓	condo	N	N
公寓	apartement	公寓	apartement	N	N;SG
公寓	apartment	公寓	apartment	N	N;SG
公寓	apartemen	公寓	apartemen	N	N;SG
公寓	apartement	公寓	apartement	N	N;SG
公寓	apartemen	公寓	apartemen	N	N;SG
下載	mengunduh	下載	menunduh	V	V;SG;ACT
下載	mengunduh	下載	menunduh	V	V;SG;ACT
梯	tangga	梯	tangga	N	N;SG
租借	leasing	租借	leasing	N	N;SG
租借	penyewaan	租借	pensewaan	N	N;SG
釋放	melepaskan	釋放	menlepaskan	V	V;SG;ACT
釋放	lepaskan	釋放	lepaskan	V	V;SG;ACT
釋放	melepaskan	釋放	menlepaskan	V	V;SG;ACT
戰艦	battleship	戰艦	battleship	N	N
登記	daftarkan	登記	daftarkan	V	V;SG;ACT
黃色	kuning	黃色	kuning	N	N;SG
提案	proposal	提案	proposal	N	N;SG
提案	usul	提案	usul	N	N;SG;ACT
提案	usulan	提案	usulan	N	N;SG
提案	lamaran	提案	lamaran	N	N;SG
學士	bujangan	學士	bujangan	N	N;SG
學士	sarjana	學士	sarjana	N	N
批判	kritik	批判	kritik	N	N;SG
傀儡	boneka	傀儡	boneka	N	N;SG
傀儡	boneka	傀儡	boneka	N	N;SG
熟悉	familiar	熟悉	familiar	ADJ	ADJ;SG
熟悉	akrab	熟悉	akrab	ADJ	ADJ;SG
熟悉	terbiasa	熟悉	terbiasa	ADJ	ADJ;RL;SG
直徑	diameter	直徑	diameter	N	N;SG
拱	lengkungan	拱	lengkungan	N	N;SG
寶貝	sayang	寶貝	sayang	N	N;SG
寶貝	bayi	寶貝	bayi	N	N;SG
公會	guild	公會	guild	N	N
地質	geologis	地質	geologis	N	N
地質	geologi	地質	geologi	N	N
政委	komisaris	政委	komisaris	N	N;SG
實力	kekuatan	實力	kekuatan	N	N;SG
獎金	bonusnya	獎金	bonus	N	N
營業	buka	營業	buka	V	V;SG;ACT
營業	terbuka	營業	terbuka	V	V;SG
閱讀	pembacaan	閱讀	penbacaan	N	N;SG
閱讀	bacaan	閱讀	bacaan	N	N;SG
檢查	mengecek	檢查	mengecek	V	V
檢查	memeriksa	檢查	menperiksa	V	V;SG;ACT
檢查	memeriksa	檢查	menperiksa	V	V;SG;ACT
檢查	cek	檢查	cek	V	V;SG;ACT
檢查	periksa	檢查	periksa	V	V;SG;ACT
增強	disempurnakan	增強	disempurnakan	V	V;SG;PASS
增強	ditingkatkan	增強	ditingkatkan	V	V;SG;PASS
聲稱	mengklaim	聲稱	menklaim	V	V;SG;ACT
聲稱	mengklaim	聲稱	menklaim	V	V;SG;ACT
聲稱	diklaim	聲稱	diklaim	V	V;SG;PASS
恐	teror	恐	teror	N	N;SG
神父	ayah	神父	ayah	N	N;SG
神父	bapak	神父	bapak	N	N;SG
沙漠	gurun	沙漠	gurun	N	N;SG
腿	kaki	腿	kaki	N	N;SG
腿	kaki	腿	kaki	N	N;SG
腿	tungkai	腿	tungkai	N	N;SG
障礙	hambatan	障礙	hambatan	N	N;SG
障礙	rintangan	障礙	rintangan	N	N;SG
障礙	kendala	障礙	kendala	N	N;SG
障礙	rintangan	障礙	rintangan	N	N;SG
障礙	halangan	障礙	halangan	N	N;SG
障礙	hambatan	障礙	hambatan	N	N;SG
空氣	udara	空氣	udara	N	N;SG
空氣	air	空氣	air	N	N;SG
法令	dekrit	法令	dekrit	N	N;SG
法令	dekrit	法令	dekrit	N	N;SG
法令	dekrit	法令	dekrit	N	N;SG
法令	titah	法令	titah	N	N;SG
鰻	belut	鰻	belut	N	N
保險	asuransi	保險	asuransi	N	N;SG
遺址	reruntuhan	遺址	reruntuhan	N	N
遺址	puing	遺址	puing	N	N;SG
煤	batubara	煤	batubara	N	N;SG
姐姐	adik	姐姐	adik	N	N;SG
姐姐	suster	姐姐	suster	N	N
姐姐	kakak	姐姐	kakak	N	N;SG
子	peluru	子	peluru	N	N;SG
週期	siklus	週期	siklus	N	N;SG
週期	daur	週期	daur	N	N;SG
週期	siklus	週期	siklus	N	N;SG
千瓦	kilowatt	千瓦	kilowatt	N	N
千瓦	kilowatt	千瓦	kilowatt	N	N
賽車	balapan	賽車	balapan	N	N;SG
賽車	balap	賽車	balap	N	N;SG;ACT
賽車	racing	賽車	racing	N	N
模仿	meniru	模仿	mentiru	V	V;SG;ACT
模仿	tiru	模仿	tiru	V	V;SG;ACT
祖先	leluhur	祖先	leluhur	N	N
祖先	leluhur	祖先	leluhur	N	N
複雜	rumit	複雜	rumit	ADJ	ADJ;SG
複雜	ribet	複雜	ribet	ADJ	ADJ;SG
複雜	rumit	複雜	rumit	ADJ	ADJ;SG
戰略	strategi	戰略	strategi	N	N;SG
復興	renaisans	復興	renaisans	N	N
復興	renaissance	復興	renaissance	N	N
復興	kebangkitan	復興	kebangkitan	N	N;SG
個性	individualitas	個性	individualitas	N	N
個性	kepribadian	個性	kepribadian	N	N;SG
包圍	mengepung	包圍	menkepung	V	V;SG;ACT
包圍	mengelilingi	包圍	menkelilingi	V	V;SG;ACT
包圍	mengepung	包圍	menkepung	V	V;SG;ACT
自主	otonomi	自主	otonomi	N	N;SG
自主	otonom	自主	otonom	N	N
自主	otonomi	自主	otonomi	N	N;SG
歌詞	lirik	歌詞	lirik	N	N;SG;ACT
型態	jenis	型態	jenis	N	N;SG
型態	tipe	型態	tipe	N	N;SG
病人	pasien	病人	pasien	N	N;SG
病人	pasien	病人	pasien	N	N;SG
消防	api	消防	api	N	N;SG
消防	kebakaran	消防	kebakaran	N	N;SG
優惠	preferensi	優惠	preferensi	N	N;SG
優惠	setingan	優惠	setingan	N	N;SG
優惠	penawaran	優惠	pentawaran	N	N;SG
優惠	tawaran	優惠	tawaran	N	N;SG
優惠	penawaran	優惠	pentawaran	N	N;SG
優惠	tawaran	優惠	tawaran	N	N;SG
公頃	hektar	公頃	hektar	N	N;SG
公頃	hektar	公頃	hektar	N	N;SG
搖滾	batuan	搖滾	batuan	N	N;SG
搖滾	batu	搖滾	batu	N	N;SG
勞工	buruh	勞工	buruh	N	N;SG
勞工	buruh	勞工	buruh	N	N;SG
前面	depan	前面	depan	N	N;SG
寺院	vihara	寺院	vihara	N	N
寺院	biara	寺院	biara	N	N
寺院	biara	寺院	biara	N	N
執政	memerintah	執政	menperintah	V	V;SG;ACT
專題	topik	專題	topik	N	N;SG
專題	topik	專題	topik	N	N;SG
專題	theme	專題	theme	N	N
專題	temanya	專題	tema	N	N;SG
專題	tema	專題	tema	N	N;SG
刊登	publikasikan	刊登	publikasikan	V	V
刊登	terbitkan	刊登	terbitkan	V	V;SG;PASS
氣候	iklim	氣候	iklim	N	N;SG
頻率	frekuensi	頻率	frekuensi	N	N;SG
頻率	frekuensinya	頻率	frekuensinya	N	N;SG
頻率	frekuensi	頻率	frekuensi	N	N;SG
提醒	mengingatkan	提醒	meningatkan	V	V;SG;ACT
提醒	ingatkan	提醒	ingatkan	V	V;SG;ACT
片段	fragmen	片段	fragmen	N	N;SG
