for	für	for	für	ADP	ADP
kæreste	liebste	kær	lieb	ADJ;DEF;RL	ADJ
bidrog	beigetragen	bidrog	beitragen	V;IND;PST;FIN;ACT	V;V.PTCP
bidrog	beigesteuert	bidrog	beisteuern	V;IND;PST;FIN;ACT	V;V.PTCP
angiver	spezifiziert	angive	spezifizieren	V;IND;PRS;FIN;ACT	V;V.PTCP
angiver	deutet	angive	deuten	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
markeret	ausgewählt	markere	auswählen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
markeret	gewählt	markere	wählen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
markeret	überprüft	markere	überprüfen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
markeret	kontrolliert	markere	kontrollieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
markeret	geprüft	markere	prüfen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
markeret	gecheckt	markere	weckecken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
øvre	oberen	øvre	ober	ADJ	ADJ;NOM;PL
øvre	oberer	øvre	ober	ADJ	ADJ
øvre	obere	øvre	ober	ADJ	ADJ;NOM;FEM;PL
afsluttet	beendet	afslutte	beenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	gekündigt	afslutte	kündigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	abgeschlossen	afslutte	abschließen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	fertiggestellt	afslutte	fertigstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	beendet	afslutte	beenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	erledigt	afslutte	erledigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	abgeschlossen	afslutte	abschließen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	fertiggestellt	afslutte	fertigstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	beendet	afslutte	beenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	beendet	afslutte	beenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	geendet	afslutte	geenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afsluttet	beendete	afslutte	beenden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
afsluttet	endete	afslutte	enden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
lyder	klingt	lyde	klingen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
netværk	vernetzung	netværk	vernetzung	N;INDF;NEUT;SG	N;FEM;SG
deraf	deshalb	deraf	deshalb	ADV	ADV
deraf	somit	deraf	somit	ADV	ADV
deraf	daher	deraf	daher	ADV	ADV
skudt	schoss	skyde	schießen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
skudt	geschossen	skyde	schießen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
skudt	erschossen	skyde	erschießen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
producere	produzieren	producere	produzieren	V;NFIN;ACT	V;NFIN
butikker	läden	butik	laden	N;INDF;MASC+FEM;PL	N;PL
butikker	läden	butik	laden	N;INDF;MASC+FEM;PL	N;PL
hævdede	beansprucht	hævde	beanspruchen	V;IND;PST;FIN;ACT	V;FIN
hævdede	beanspruchte	hævde	beanspruchen	V;IND;PST;FIN;ACT	V;IND;SG;3;FIN
hævdede	behauptete	hævde	behaupten	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
hævdede	behauptet	hævde	behaupten	V;IND;PST;FIN;ACT	V;V.PTCP
passer	passt	passe	passen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
passer	paßt	passe	passen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
passer	passen	passe	passen	V;IND;PRS;FIN;ACT	V;NFIN
passer	passt	passe	passen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
passer	passe	passe	passen	V;IND;PRS;FIN;ACT	V;IND;SG;3;FIN
passer	passen	passe	passen	V;IND;PRS;FIN;ACT	V;NFIN
nedenfor	darunter	nedenfor	darunter	ADV	ADV
nedenfor	unten	nedenfor	unten	ADV	ADV
troede	gedanken	tro	panken	V;IND;PST;FIN;ACT	V;NFIN
troede	dachte	tro	denken	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
troede	gedacht	tro	denken|gedenken	V;IND;PST;FIN;ACT	V;V.PTCP
troede	glaubten	tro	glauben	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
troede	glaubte	tro	glauben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
troede	geglaubt	tro	glauben	V;IND;PST;FIN;ACT	V;V.PTCP
artiklerne	satzung	artikel	satzung	N;DEF;MASC+FEM;PL	N
kommunistiske	kommunist	kommunistisk	kommunist	ADJ;PL	ADJ
kommunistiske	kommunistischen	kommunistisk	kommunistisch	ADJ;PL	ADJ;NOM;MASC;PL
kommunistiske	kommunistische	kommunistisk	kommunistisch	ADJ;PL	ADJ;NOM;FEM;PL
indholdet	inhalte	indhold	inhalt	N;DEF;NEUT;SG	N
repræsentanter	vertretungen	repræsentant	vertretungen	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
desværre	bedauerlicherweise	desværre	bedauerlicherweise	ADV	ADV
desværre	leider	desværre	leider	ADV	ADV
desværre	bedauerlicherweise	desværre	bedauerlicherweise	ADV	ADV
desværre	leider	desværre	leider	ADV	ADV
desværre	unglücklicherweise	desværre	unglücklicherweise	ADV	ADV
lighed	gleichstellung	lighed	gleichstellung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
fulde	voll	fuld	voll	ADJ;DEF;SG	ADJ
fulde	vollständig	fuld	vollständig	ADJ;DEF;SG	ADJ
fulde	betrunken	fuld	betrunken	ADJ;DEF;SG	ADJ
fulde	besoffen	fuld	besiffen	ADJ;DEF;SG	ADJ
eksamen	untersuchung	eksamen	untersuchung	N;INDF;MASC+FEM;SG	N;SG
eksamen	prüfung	eksamen	prüfung	N;INDF;MASC+FEM;SG	N;SG
eksamen	prüfung	eksamen	prüfung	N;INDF;MASC+FEM;SG	N;SG
repræsentant	vertretung	repræsentant	vertretung	N;INDF;MASC+FEM;SG	N;FEM;SG
overvejende	hauptsächlich	overveje	hauptsächlich	ADJ	ADJ
overvejende	überwiegend	overveje	überwiegend	ADJ	ADJ
overvejende	vorwiegend	overveje	vorwiegend	ADJ	ADJ
opløst	löste	opløse	lösen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
opløst	gelöst	opløse	lösen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
opløst	aufgelöst	opløse	auflösen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
opløst	auflöste	opløse	auflösen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
opløst	zerfallen	opløse	zerfallen	V;INDF;SG;PST;V.PTCP	V;NFIN
opløst	aufgelöst	opløse	auflösen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
forbedre	verbessern	forbedre	verbessern	V;NFIN;ACT	V;NFIN
førende	führend	førende	führend	ADJ	ADJ
førende	führende	førende	führend	ADJ	ADJ;NOM;FEM;PL
førende	führender	førende	führend	ADJ	ADJ
udgivelser	veröffentlichungen	udgivelse	veröffentlichung	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
udgivelser	publikationen	udgivelse	publikationen	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
beskrev	beschrieb	beskrive	beschreiben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
beskrev	beschrieben	beskrive	beschreiben	V;IND;PST;FIN;ACT	V;V.PTCP
udbredelse	verbreitung	udbredelse	verbreitung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
udbredelse	verbreitung	udbredelse	verbreitung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kåret	gewählt	kår	wählen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kåret	gestimmt	kår	stimmen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kåret	stimmte	kår	stimmen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
kåret	abgestimmt	kår	abstimmen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kemi	chemie	kemi	chemie	N;INDF;MASC+FEM;SG	N;NOM;FEM
beregnet	kalkuliert	beregne	kalkulieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
beregnet	berechnete	beregne	berechnet	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
beregnet	errechnet	beregne	errechnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
beregnet	berechnet	beregne	berechnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
beregnet	errechnet	beregne	errechnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
beregnet	berechnete	beregne	berechnet	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
beregnet	berechnet	beregne	berechnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sekretær	sekretär	sekretær	sekretär	N;INDF;MASC+FEM;SG	N
varierer	variieren	variere	variieren	V;IND;PRS;FIN;ACT	V;NFIN
varierer	variiert	variere	variieren	V;IND;PRS;FIN;ACT	V;V.PTCP
varierer	variiert	variere	variieren	V;IND;PRS;FIN;ACT	V;V.PTCP
bragt	gebracht	bringe	bringen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bragt	brachte	bringe	bringen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
bragt	mitgebracht	bringe	mitbringen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
jernbanen	bahnlinie	jernban	bahnlinie	N;DEF;MASC+FEM;SG	N;NOM;SG
hjalp	geholfen	hjælpe	helfen	V;IND;PST;FIN;ACT	V;V.PTCP
hjalp	half	hjælpe	helfen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tilladt	genehmigt	tillade	hehmigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tilladt	zugelassen	tillade	zulassen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tilladt	genehmigte	tillade	genehmigt	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
tilladt	genehmigt	tillade	hehmigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tilladt	autorisiert	tillade	autorisieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tilladt	erlaubte	tillade	erlauben	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
tilladt	erlaubt	tillade	erlauben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tilladt	erlaubte	tillade	erlauben	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
tilladt	erlaubt	tillade	erlauben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
milliarder	milliarden	milliard	milliarden	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
milliarder	milliarden	milliard	milliarden	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
milliarder	billionen	milliard	billion	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
besat	besessen	besætte	besitzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besat	besaß	besætte	besitzen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
besat	besetzte	besætte	besetzen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
besat	beschäftigt	besætte	beschäftigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besat	bewohnt	besætte	bewohnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besat	besetzt	besætte	besetzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besat	besessen	besætte	besitzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fremragende	exzellente	fremragende	exzellent	ADJ	ADJ;NOM;FEM;PL
fremragende	exzellent	fremragende	exzellent	ADJ	ADJ
fremragende	ausgezeichnete	fremragende	ausgezeichnet	ADJ	ADJ;NOM;FEM;SG
fremragende	hervorragend	fremragende	hervorragend	ADJ	ADJ
dårlig	schlecht	dårlig	schlecht	ADJ;INDF;MASC+FEM;SG	ADJ
dårlig	schlimm	dårlig	schlimm	ADJ;INDF;MASC+FEM;SG	ADJ
dårlig	schlechten	dårlig	schlecht	ADJ;INDF;MASC+FEM;SG	ADJ
steg	stieg	stige	steigen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
steg	erhob	stige	erheben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
musikalske	musikalisch	musikalsk	musikalisch	ADJ;PL	ADJ
musikalske	musikinstrumente	musikalsk	musikinstrument	ADJ;PL	ADJ;NOM;PL
juridisk	gesetzlich	juridisk	gesetzlich	ADJ;INDF;SG	ADJ
juridisk	juristisch	juridisk	juristisch	ADJ;INDF;SG	ADJ
juridisk	rechtlich	juridisk	rechtlich	ADJ;INDF;SG	ADJ
juridisk	rechtlichen	juridisk	rechtlich	ADJ;INDF;SG	ADJ
juridisk	rechtliches	juridisk	rechtlich	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
juridisk	rechtsgrundlage	juridisk	rechtsgrundlage	ADJ;INDF;SG	ADJ;NOM;FEM;SG
fans	ventilatoren	fans	ventilator	N;INDF;MASC+FEM;PL	N;NOM;PL
kolde	kalte	kold	kalt	ADJ;PL	ADJ;NOM;FEM;PL
kolde	kalt	kold	kalt	ADJ;PL	ADJ
deler	teilen	dele	teilen	V;IND;PRS;FIN;ACT	V;NFIN
deler	teilen	dele	teilen	V;IND;PRS;FIN;ACT	V;NFIN
besluttet	beschlossen	beslutte	beschließen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besluttet	entschieden	beslutte	entscheiden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
besluttet	entschied	beslutte	entscheiden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
besluttet	entschlossen	beslutte	entschlossen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
halvt	hälfte	halv	Hälfte	ADJ;INDF;NEUT;SG	ADJ
halvt	halb	halv	halb	ADJ;INDF;NEUT;SG	ADJ
foreslået	vorschlug	foreslå	vorschlagen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
foreslået	vorgeschlagen	foreslå	vorschlagen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
foreslået	schlug	foreslå	schlagen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
foreslået	empfohlen	foreslå	empfehlen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
foreslået	vorgeschlagen	foreslå	vorschlagen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
rigtigt	recht	rigtigt	recht	ADV	ADV
rigtigt	richtig	rigtigt	richtig	ADV	ADV
rigtigt	rechts	rigtigt	rechts	ADV	ADV
rigtigt	richtig	rigtigt	richtig	ADV	ADV
bevarede	gewartet	bevare	warten	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	beibehalten	bevare	beibehalten	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	bewahrt	bevare	bewahren	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	konserviert	bevare	konservieren	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	einbehalten	bevare	einbehalten	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	beibehalten	bevare	beibehalten	V;PL;PST;V.PTCP	V;V.PTCP
bevarede	behalten	bevare	behalten	V;PL;PST;V.PTCP	V;NFIN
kristen	christlich	kristen	christlich	ADJ;INDF;MASC+FEM;SG	ADJ
mulig	möglichen	mulig	möglich	ADJ;INDF;MASC+FEM;SG	ADJ
mulig	möglicher	mulig	möglich	ADJ;INDF;MASC+FEM;SG	ADJ
mulig	möglich	mulig	möglich	ADJ;INDF;MASC+FEM;SG	ADJ
halv	hälfte	halv	Hälfte	ADJ;INDF;MASC+FEM;SG	ADJ
halv	halb	halv	halb	ADJ;INDF;MASC+FEM;SG	ADJ
hovedsæde	sitz	hovedsæde	sitz	N;INDF;NEUT;SG	N;NOM;MASC;SG
kortere	kürzer	kort	kurz	ADJ;CMPR	ADJ
kortere	kürzere	kort	kurz	ADJ;CMPR	ADJ;NOM;PL
kortere	kürzerer	kort	kurz	ADJ;CMPR	ADJ
fyldt	gefüllt	fylde	füllen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fyldt	gestopft	fylde	stopfen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fyldt	gefüllt	fylde	füllen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fyldt	abgefüllt	fylde	abfüllen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anerkendelse	bestätigung	anerkendelse	Bestätigung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
snarere	vielmehr	snarere	vielmehr	ADV	ADV
snarere	eher	snarere	eher	ADV	ADV
rute	strecke	rute	strecken	N;INDF;MASC+FEM;SG	N;SG
beskæftiger	beschäftigt	beskæftige	beschäftigen	V;IND;PRS;FIN;ACT	V;V.PTCP
voksende	wachsenden	vokse	wachsend	V;PRS;V.PTCP	V;PL;FIN
voksende	wächst	vokse	wachsen	V;PRS;V.PTCP	V;IND;SG;3;PRS;FIN
voksende	wachsen	vokse	wachsen	V;PRS;V.PTCP	V;NFIN
voksende	erhöhen	vokse	erhöhen	V;PRS;V.PTCP	V;NFIN
forbinder	verbinden	forbinder	verbinden	V;IND;PRS;FIN;ACT	V;NFIN
romaner	romane	roman	roman	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
ægte	echte	ægte	echt	ADJ	ADJ;NOM;FEM;PL
ægte	real	ægte	real	ADJ	ADJ
ægte	realen	ægte	real	ADJ	ADJ;SG
ægte	reale	ægte	real	ADJ	ADJ;NOM;FEM;PL
ægte	echten	ægte	echt	ADJ	ADJ;MASC;SG
ægte	authentischen	ægte	authentisch	ADJ	ADJ
ægte	verbindlich	ægte	verbindlich	ADJ	ADJ
ægte	authentische	ægte	authentisch	ADJ	ADJ;NOM;FEM;PL
ægte	authentisch	ægte	authentisch	ADJ	ADJ
ægte	echte	ægte	echt	ADJ	ADJ;NOM;FEM;PL
ægte	echt	ægte	echt	ADJ	ADJ
ægte	echtes	ægte	echt	ADJ	ADJ;NOM;NEUT;SG
ægte	echten	ægte	echt	ADJ	ADJ;MASC;SG
styret	gelungen	styre	gelingen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	geschafft	styre	schaffen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	verwaltet	styre	verwalten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	bewirtschaftet	styre	bewirtschaften	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	geleitet	styre	geleiten|leiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	geführt	styre	führen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	kontrolliert	styre	kontrollieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
styret	gesteuert	styre	steuern	V;INDF;SG;PST;V.PTCP	V;V.PTCP
oplag	zirkulation	oplag	zirkulation	N;INDF;NEUT;SG	N;NOM;SG
oplag	durchblutung	oplag	durchblutung	N;INDF;NEUT;SG	N;NOM;FEM;SG
følte	fühlten	føle	fühlen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
følte	fühlte	føle	fühlen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
følte	gefühlt	føle	fühlen	V;IND;PST;FIN;ACT	V;V.PTCP
begyndt	begonnen	begynde	beginnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begyndt	angefangen	begynde	anfangen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begyndt	begann	begynde	beginnen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
begyndt	gestartet	begynde	starten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begyndt	begonnen	begynde	beginnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begyndt	angefangen	begynde	anfangen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begyndt	begann	begynde	beginnen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
erobret	erobert	erobre	erobern	V;INDF;SG;PST;V.PTCP	V;V.PTCP
erobret	eroberte	erobre	erobern	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
erobret	besiegt	erobre	besiegen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
frivillige	helfer	frivillig	helf	ADJ;PL	ADJ
frivillige	ehrenamtliche	frivillig	ehrenamtlich	ADJ;PL	ADJ;NOM;FEM;PL
frivillige	freiwillige	frivillig	freiwillig	ADJ;PL	ADJ;NOM;FEM;PL
frivillige	freiwilligen	frivillig	freiwillig	ADJ;PL	ADJ
frivillige	freiwillige	frivillig	freiwillig	ADJ;PL	ADJ;NOM;FEM;PL
frivillige	freiwilligkeit	frivillig	freiwilligkeit	ADJ;PL	ADJ
frivillige	freiwillig	frivillig	freiwillig	ADJ;PL	ADJ
frivillige	freiwilliger	frivillig	freiwillig	ADJ;PL	ADJ
udbrud	ausbruch	udbrud	ausbruch	N;INDF;NEUT;SG	N
udbrud	ausbruch	udbrud	ausbruch	N;INDF;NEUT;SG	N
berømt	berühmter	berømt	berühmt	ADJ;INDF;SG	ADJ
berømt	berühmt	berømt	berühmt	ADJ;INDF;SG	ADJ
mangel	knappheit	mangel	knappheit	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mangel	verknappung	mangel	verknappung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
dit	deine	din	dein	PRO;NOM;MASC+FEM;SG;2	PRO;NOM;MASC;SG
dit	deiner	din	dein	PRO;NOM;MASC+FEM;SG;2	PRO;NOM;MASC;SG
virkning	auswirkung	virkning	auswirkung	N;INDF;MASC+FEM;SG	N;SG
virkning	wirkung	virkning	wirkung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virkning	auswirkung	virkning	auswirkung	N;INDF;MASC+FEM;SG	N;SG
virkning	wirkung	virkning	wirkung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virkning	effekt	virkning	effekt	N;INDF;MASC+FEM;SG	N
beholdt	einbehalten	beholde	einbehalten	V;IND;PST;FIN;ACT	V;V.PTCP
beholdt	beibehalten	beholde	beibehalten	V;IND;PST;FIN;ACT	V;V.PTCP
beholdt	behalten	beholde	behalten	V;IND;PST;FIN;ACT	V;NFIN
beholdt	behielt	beholde	behalten	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
beholdt	gehalten	beholde	halten	V;IND;PST;FIN;ACT	V;V.PTCP
forbudt	unzulässig	forbudt	unzulässig	ADJ;INDF;SG	ADJ
forbudt	verboten	forbudt	verbieten	ADJ;INDF;SG	ADJ;V.PTCP
forbudt	unzulässig	forbudt	unzulässig	ADJ;INDF;SG	ADJ
forbudt	verboten	forbudt	verbieten	ADJ;INDF;SG	ADJ;V.PTCP
forbudt	verboten	forbudt	verbieten	ADJ;INDF;SG	ADJ;V.PTCP
elsker	lieben	elske	lieben	V;IND;PRS;FIN;ACT	V;FIN
elsker	lieben	elske	lieben	V;IND;PRS;FIN;ACT	V;FIN
elsker	liebt	elske	lieben	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
dreng	kind	dreng	kind	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ramte	getroffen	ramme	treffen|triefen	V;IND;PST;FIN;ACT	V;V.PTCP
hjælper	helfen	hjælpe	helfen	V;IND;PRS;FIN;ACT	V;NFIN
hjælper	hilft	hjælpe	helfen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
hjælper	hilft	hjælpe	helfen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
samarbejdet	mitarbeit	samarbejde	mitarbeit	N;DEF;NEUT;SG	N;NOM;SG
samarbejdet	kooperation	samarbejde	kooperation	N;DEF;NEUT;SG	N;SG
firma	firma	firma	firma	N;INDF;NEUT;SG	N;NOM;FEM;SG
firma	firma	firma	firma	N;INDF;NEUT;SG	N;NOM;FEM;SG
producerede	produziert	producere	produzieren	V;IND;PST;FIN;ACT	V;V.PTCP
producerede	hergestellt	producere	herstellen	V;IND;PST;FIN;ACT	V;V.PTCP
producerede	erzeugt	producere	erzeugen	V;IND;PST;FIN;ACT	V;V.PTCP
meddelte	kündigte	meddele	kündigen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
meddelte	verkündet	meddele	verkünden	V;IND;PST;FIN;ACT	V;V.PTCP
meddelte	bekanntgegeben	meddele	bekanntgeben	V;IND;PST;FIN;ACT	V;V.PTCP
meddelte	angekündigt	meddele	ankündigen	V;IND;PST;FIN;ACT	V;V.PTCP
tilbyder	bietet	tilbyde	bieten	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tilbyder	angeboten	tilbyde	anbieten	V;IND;PRS;FIN;ACT	V;V.PTCP
tilbyder	bieten	tilbyde	bieten	V;IND;PRS;FIN;ACT	V;NFIN
tilbyder	anbieten	tilbyde	anbieten	V;IND;PRS;FIN;ACT	V;NFIN
sæt	festgelegt	sætte	festlegen	V;IMP	V;V.PTCP
sæt	setzen	sætte	setzen	V;IMP	V;NFIN
sæt	gesetzt	sætte	setzen	V;IMP	V;V.PTCP
sæt	einstellen	sætte	einstellen	V;IMP	V;NFIN
inspiration	inspiration	inspiration	inspiration	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
drenge	knaben	dreng	knaben	N;INDF;MASC+FEM;PL	N;NOM;PL
bånd	bänder	bånd	Band	N;INDF;NEUT;SG	N
bånd	bänder	bånd	Band	N;INDF;NEUT;SG	N
støttet	gefördert	støtte	fördern	V;INDF;SG;PST;V.PTCP	V;V.PTCP
støttet	unterstützte	støtte	unterstützen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
støttet	unterstützt	støtte	unterstützen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
centre	zentren	centre	zentren	N;INDF;MASC+FEM;SG	N
centre	zentren	centre	zentren	N;INDF;MASC+FEM;SG	N
ingeniør	technik	ingeniør	technik	N;INDF;MASC+FEM;SG	N;SG
sårede	verletzt	såre	verletzen	V;PL;PST;V.PTCP	V;V.PTCP
sårede	verletzten	såre	verletzen	V;PL;PST;V.PTCP	V;IND;PL;3;PST;FIN
sårede	verwundeten	såre	verwundet	V;PL;PST;V.PTCP	V;IND;PL;3;PST;FIN
sårede	verletzt	såre	verletzen	V;PL;PST;V.PTCP	V;V.PTCP
sårede	verwundet	såre	verwunden	V;PL;PST;V.PTCP	V;V.PTCP
federation	vereinigung	federation	vereinigung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
løse	lösen	løse	lösen	V;NFIN;ACT	V;NFIN
løse	verlieren	løse	verlieren	V;NFIN;ACT	V;NFIN
løse	lösen	løse	lösen	V;NFIN;ACT	V;NFIN
løse	auflösen	løse	auflösen	V;NFIN;ACT	V;NFIN
løse	lösen	løse	lösen	V;NFIN;ACT	V;NFIN
løse	beheben	løse	beheben	V;NFIN;ACT	V;NFIN
udstilling	ausstellung	udstilling	ausstellingen	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
udstilling	ausstellung	udstilling	ausstellingen	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
udstilling	messegelände	udstilling	messegelände	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
selvstændigt	selbständig	selvstændigt	selbständig	ADJ;INDF;NEUT;SG	ADJ
