css	css	css	css	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
rigdom	bogastva	rigdom	bogastvo	N;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
rigdom	bogastvo	rigdom	bogastvo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
rigdom	premoženje	rigdom	premoženje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
nævne	omenil	nævne	omeniti	V;NFIN;ACT	V;PFV;MASC;SG;V.PTCP
nævne	omeni	nævne	omeniti	V;NFIN;ACT	V;PFV;IND;SG;3;PRS;FIN
akt	dejanje	akt	dejanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
akt	akt	akt	akt	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kaster	meče	kaste	meči	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
kaster	vrže	kaste	vreči	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
halen	rep	han	rep	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
halen	tail	han	taiti	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
ansøgning	zahtevek	ansøgning	zahtevek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ansøgning	vloga	ansøgning	vloga	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sangere	pevke	sangere	pevka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
sangere	pevci	sangere	pevec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
kammer	dvorani	kamme	dvorana	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kammer	komora	kamme	komor	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kammer	komoro	kamme	komora	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
hemmelig	skrivna	hemmelig	skriven	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
hemmelig	skrivno	hemmelig	skrivno	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
følges	sledili	følges	slediti	V;NFIN;PASS	V;IPFV;MASC;PL;V.PTCP
følges	sledilo	følges	slediti	V;NFIN;PASS	V;IPFV;NEUT;SG;V.PTCP
følges	sledila	følges	slediti	V;NFIN;PASS	V;IPFV;FEM;SG;V.PTCP
følges	sledil	følges	slediti	V;NFIN;PASS	V;IPFV;MASC;SG;V.PTCP
bue	lok	bue	lok	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bue	arc	bue	arce	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bue	lok	bue	lok	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bue	premec	bue	premec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
værksted	delavnica	værksted	delavnica	N;INDF;NEUT;SG	N;NOM;FEM;SG
værksted	garaža	værksted	garaža	N;INDF;NEUT;SG	N;NOM;FEM;SG
værksted	garažo	værksted	garaža	N;INDF;NEUT;SG	N;ACC;FEM;SG
værksted	garaži	værksted	garaža	N;INDF;NEUT;SG	N;NOM;FEM;SG
værksted	delavnica	værksted	delavnica	N;INDF;NEUT;SG	N;NOM;FEM;SG
værksted	delavnico	værksted	delavnica	N;INDF;NEUT;SG	N;ACC;FEM;SG
udtalelser	mnenja	udtalelse	mnenje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
udtalelser	izjave	udtalelse	izjava	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
weekend	vikenda	weekend	vikenda	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
weekend	vikend	weekend	vikend	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sætninger	stavki	sætning	stavka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
sætninger	fraze	sætning	fraza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
sætninger	fraz	sætning	fraz	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
sætninger	stavki	sætning	stavka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
bryggeri	pivovarna	bryggeri	pivovarna	N;INDF;NEUT;SG	N;NOM;FEM;SG
bryggeri	brewer	bryggeri	brewer	N;INDF;NEUT;SG	N;NOM;MASC;SG
pulje	bazen	pulje	bazen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
pulje	biljard	pulje	biljard	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sørger	žalovali	sørge	žalovati	V;IND;PRS;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
sørger	zagotavlja	sørge	zagotavljati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
atlético	atlético	atlético	atlatica	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
tilsyn	nadzorovanje	tilsyn	nadzorovanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
tilsyn	nadzor	tilsyn	nadzor	N;INDF;NEUT;SG	N;NOM;MASC;SG
helium	helij	helium	helija	N;INDF;NEUT;SG	N;NOM;MASC;SG
indtaget	vzet	indtage	vzet	V;INDF;SG;PST;V.PTCP	V;PFV;NFIN
indtaget	zaužil	indtage	zaužiti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
crash	trk	crash	trk	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
glimrende	odličen	glimrende	odličen	ADJ	ADJ;NOM;INDF;MASC;SG
besidder	poseduje	besidde	posedovati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
ungdoms	mladosti	ungdom	mladost	N;GEN;INDF;MASC+FEM;SG	N;GEN;FEM;SG
søgning	iskanje	søgning	iskanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
søgning	išči	søgning	iskati	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
søgning	iskanje	søgning	iskanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
evolution	evolucijo	evolution	evolucija	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
evolution	razvoj	evolution	razvoj	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
evolution	evolucija	evolution	evolucija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
husene	hiš	hus	hiša	N;DEF;NEUT;PL	N;GEN;FEM;PL
husene	hiške	hus	hiška	N;DEF;NEUT;PL	N;NOM;FEM;PL
husene	hiše	hus	hiša	N;DEF;NEUT;PL	N;NOM;FEM;PL
vidne	priča	vidne	priča	N;INDF;NEUT;SG	N;NOM;FEM;SG
seksuel	spolna	seksuel	spolen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
landede	pristalo	lande	pristati	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;V.PTCP
landede	pristal	lande	pristati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
landede	pristali	lande	pristati	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
beskeden	skromna	beskeden	skromen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
beskeden	skromen	beskeden	skromen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
zar	car	zar	car	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
zar	car	zar	car	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
krydsere	križarke	krydser	križarka	N;INDF;NEUT;PL	N;NOM;FEM;PL
vinderne	zmagovalcev	vinde	zmagovalec	N;DEF;MASC+FEM;PL	N;GEN;MASC;PL
vinderne	zmagovalci	vinde	zmagovalec	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
vinderne	zmagovalce	vinde	zmagovalec	N;DEF;MASC+FEM;PL	N;ACC;MASC;PL
brock	brock	brock	brock	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
falsk	lažno	falsk	lažen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
falsk	ponarejena	falsk	ponarejen	ADJ;INDF;SG	ADJ;NOM;FEM;SG;V.PTCP
falsk	lažno	falsk	lažen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
mhz	mhz	mhz	mhz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
monarki	monarhija	monarki	monarhija	N;INDF;NEUT;SG	N;NOM;FEM;SG
moral	nauk	moral	nauk	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gilbert	gilbert	gilbert	gilbert	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sandsynlighed	verjetnost	sandsynlighed	verjetnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sandsynlighed	verjetnost	sandsynlighed	verjetnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
håbede	upal	håbe	upati	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
håbede	upala	håbe	upati	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
håbede	upal	håbe	upati	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
strengt	strogo	strengt	stroga	ADV	ADV
akustisk	zvočni	akustisk	zvočen	ADJ;INDF;SG	ADJ;NOM;MASC;SG
konference	konferenca	konference	konferenca	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
martha	marta	martha	mart	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
martha	martha	martha	marth	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
leveres	dostavil	levere	dostaviti	V;IND;PRS;FIN;PASS	V;PFV;MASC;SG;V.PTCP
kyster	obale	kyste	obala	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kyster	obal	kyste	obala	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
frisk	svež	frisk	svež	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
frisk	sveža	frisk	svež	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stabil	stabilen	stabil	stabilen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
stabil	stabilno	stabil	stabilen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
forbrug	potrošnja	forbrug	potrošnja	N;INDF;NEUT;SG	N;NOM;FEM;SG
forbrug	poraba	forbrug	poraba	N;INDF;NEUT;SG	N;NOM;FEM;SG
germain	germain	germain	germain	N;INDF;NEUT;SG	N;NOM;MASC;SG
seat	sedež	seat	sedež	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
seat	sedeža	seat	sedež	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
eksperter	strokovnjaki	ekspert	strokovnjak	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
tyndt	tanka	tyndt	tanek	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tyndt	tanek	tyndt	tanek	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
sank	potopila	synke	potopiti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
sank	potonila	synke	potoniti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
sank	potopil	synke	potopiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
sank	potonil	synke	potoniti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
sank	potopila	synke	potopiti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
sank	potonil	synke	potoniti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
sank	potonila	synke	potoniti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
freja	freja	freja	freja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
freja	freya	freja	freya	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
versionen	različica	version	različica	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
chefen	šefica	chef	šefica	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
chefen	boss	chef	boss	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
chefen	šef	chef	šef	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
diesel	dizel	diesel	dizel	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tromsø	tromsø	tromsø	troms	N;INDF;NEUT;SG	N;NOM;MASC;SG
analyser	analize	analyse	analiza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
analyser	analize	analyse	analiza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
steget	vstal	stige	vstati	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
steget	vstala	stige	vstati	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
forårsagede	povzročila	forårsage	povzročiti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
forårsagede	povzročil	forårsage	povzročiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
bekendte	znanci	bekendt	znanec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
bekendte	znance	bekendt	znance	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
mærker	znamke	mærke	znamka	N;INDF;NEUT;PL	N;NOM;FEM;PL
mærker	znamk	mærke	znamka	N;INDF;NEUT;PL	N;GEN;FEM;PL
mærker	znamenja	mærke	znamenje	N;INDF;NEUT;PL	N;NOM;NEUT;PL
mærker	oznake	mærke	oznak	N;INDF;NEUT;PL	N;NOM;FEM;PL
mærker	oznake	mærke	oznak	N;INDF;NEUT;PL	N;NOM;FEM;PL
mærker	označbe	mærke	označba	N;INDF;NEUT;PL	N;NOM;FEM;PL
mærker	značke	mærke	značka	N;INDF;NEUT;PL	N;NOM;FEM;PL
mærker	oznake	mærke	oznak	N;INDF;NEUT;PL	N;NOM;FEM;PL
tråd	žica	tråd	žica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
tråd	žico	tråd	žica	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
tråd	nit	tråd	nit	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bopæl	prebivanje	bopæl	prebivanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bopæl	bivališče	bopæl	bivališče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bopæl	bivanje	bopæl	bivanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bopæl	rezidenca	bopæl	rezidenca	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bopæl	prebivališče	bopæl	prebivališče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bopæl	bivališče	bopæl	bivališče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bopæl	domicil	bopæl	domiciti	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bopæl	prebivališče	bopæl	prebivališče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
jürgen	jürgen	jürg	jürgen	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
jürgen	jürgen	jürg	jürgen	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
læsere	bralci	læser	bralec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
knight	vitez	knight	vitez	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilgængeligt	razpoložljivi	tilgængeligt	razpoložljiv	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
tilgængeligt	razpoložljiva	tilgængeligt	razpoložljiv	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgængeligt	dostopna	tilgængeligt	dostopen	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgængeligt	dostopno	tilgængeligt	dostopen	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
tilgængeligt	dostopen	tilgængeligt	dostopen	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
tungt	težka	tungt	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tungt	težko	tungt	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
bertel	bertel	bertel	berteti	N;INDF;NEUT;SG	N;NOM;MASC;SG
smukt	čudovita	smuk	čudovit	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
smukt	lepa	smuk	lep	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
torpedoer	torpedi	torpedoe	torped	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
grundstoffer	elementi	grundstof	element	N;INDF;NEUT;PL	N;NOM;MASC;PL
ryg	hrbet	ryg	hrbet	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ryg	dim	ryg	dim	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ryg	dima	ryg	dimati	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
ryg	kadi	ryg	kada	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
ryg	kajenje	ryg	kajenje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
forbød	prepovedal	forbyde	prepovedati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
faldende	padajo	falde	padati	V;PRS;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN
faldende	spušča	falde	spuščati	V;PRS;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
niende	deveti	nie	deveti	ADJ	ADJ;NOM;MASC;SG
niende	deveto	nie	deveti	ADJ	ADJ;NOM;NEUT;SG
forstad	predmestje	forstad	predmestje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
forstad	predmestje	forstad	predmestje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
forstad	predmestju	forstad	predmestje	N;INDF;MASC+FEM;SG	N;DAT;NEUT;SG
mund	gobec	mund	gobec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bryggeriet	pivovarna	bryggeri	pivovarna	N;DEF;NEUT;SG	N;NOM;FEM;SG
huskes	spomnil	huske	spomniti	V;IND;PRS;FIN;PASS	V;PFV;MASC;SG;V.PTCP
uro	nemir	uro	nemir	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
uro	anksioznost	uro	anksioznost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
uro	tesnoba	uro	tesnoba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
uro	bojazen	uro	bojazen	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
uro	vznemirjenost	uro	vznemirjenost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
due	golob	due	golob	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
due	golobica	due	golobica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
due	goloba	due	golob	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
due	golob	due	golob	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
justin	justin	justin	justin	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
trusler	grožnje	trusel	grožnja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
gestapo	gestapa	gestapo	gestap	N;INDF;NEUT;SG	N;GEN;MASC;SG
gestapo	gestapo	gestapo	gestapo	N;INDF;NEUT;SG	N;NOM;MASC;SG
andersson	andersson	andersson	andersson	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fjernsyn	televizijo	fjernsyn	televizija	N;INDF;NEUT;SG	N;ACC;FEM;SG
fjernsyn	televizija	fjernsyn	televizija	N;INDF;NEUT;SG	N;NOM;FEM;SG
ture	ogledi	tur	ogled	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
ture	izleti	tur	izleti	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
ture	potovanja	tur	potovanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
ture	izleti	tur	izleti	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
leonardo	leonardo	leonardo	leonardo	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
diskografi	diskografija	diskografi	diskografija	N;INDF;NEUT;SG	N;NOM;FEM;SG
opfandt	izumili	opfinde	izumiti	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
opfandt	izumil	opfinde	izumiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
tiende	deseto	tiende	deseti	ADJ	ADJ;NOM;NEUT;SG
tiende	deseti	tiende	deseti	ADJ	ADJ;NOM;MASC;SG
tiende	deseta	tiende	deset	ADJ	ADJ;NOM;FEM;SG
logik	logika	logik	logika	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
logik	logiko	logik	logika	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
latinsk	latinsko	latinsk	latinsko	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
forbliver	ostaja	forblive	ostajati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
forbliver	ostane	forblive	ostati	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
event	dogodek	event	dogodek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
event	prireditev	event	prireditev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
event	dogodka	event	dogodek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kattegat	kattegat	kattegat	kattegat	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ruiner	ruševinah	ruin	ruševina	N;INDF;MASC+FEM;PL	N;ESS;FEM;PL
ruiner	ruševine	ruin	ruševina	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
ruiner	ruševin	ruin	ruševina	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
investeringer	naložbe	investering	naložba	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
investeringer	investicije	investering	investicija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
investeringer	naložbe	investering	naložba	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
investeringer	investicije	investering	investicija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
israelsk	izraelsko	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
israelsk	izraelska	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;FEM;SG
israelsk	izraelski	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
israelsk	izraelski	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
israelsk	izraelsko	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
organer	organe	organ	organ	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
organer	organi	organ	organ	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
organer	organih	organ	organ	N;INDF;MASC+FEM;PL	N;ESS;MASC;PL
organer	telesa	organ	telo	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
skåret	odreži	skære	odrežiti	V;INDF;SG;PST;V.PTCP	V;PFV;IND;SG;2;FIN
mindesmærke	memorial	mindesmærke	memorial	N;INDF;NEUT;SG	N;NOM;MASC;SG
komtesse	grofica	komtesse	grofica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
producenter	pridelovalci	producent	pridelovalec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
producenter	proizvajalci	producent	proizvajalec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
producenter	izdelovalci	producent	izdelovalec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
producenter	proizvajalci	producent	proizvajalec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
tottenham	tottenham	tottenham	tottenhati	N;DEF;MASC+FEM;SG	N;DAT;MASC;SG
fødslen	rojstvo	fødsel	rojstvo	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
koncerten	koncert	koncert	koncert	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
ægypten	egipt	ægypt	egipt	N;INDF;NEUT;SG	N;NOM;MASC;SG
ulykker	nesreče	ulykke	nesreča	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
ulykker	nezgode	ulykke	nezgoda	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
ulykker	nesreče	ulykke	nesreča	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
privilegier	privilegije	privilegi	privilegija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
privilegier	privilegiji	privilegi	privilegija	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
omgivende	okoliških	omgive	okoliški	ADJ	ADJ;GEN;MASC;PL
canal	kanal	canal	kanal	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ost	sira	ost	sir	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
ost	sir	ost	sir	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ost	siru	ost	sir	N;INDF;MASC+FEM;SG	N;DAT;MASC;SG
værre	slabše	slem	slab	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
værre	hujše	slem	hud	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
hulk	hulk	hulk	hulka	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
legenden	legend	legende	legenda	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
legenden	legenda	legende	legenda	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
interviews	intervjuje	interviews	intervjevati	N;INDF;NEUT;PL	N;ACC;MASC;PL
interviews	intervjujev	interviews	intervjujev	N;INDF;NEUT;PL	N;GEN;MASC;PL
interviews	razgovori	interviews	razgovor	N;INDF;NEUT;PL	N;NOM;MASC;PL
interviews	pogovori	interviews	pogovor	N;INDF;NEUT;PL	N;NOM;MASC;PL
troen	faith	tro	faith	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
troen	vera	tro	vera	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
troen	veri	tro	vera	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
troen	vero	tro	vera	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
troen	verovanje	tro	verovanje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
troen	prepričanje	tro	prepričanje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
add	dodajanje	add	dodajanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
hyldest	poklon	hyldest	poklon	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
lettisk	latvijski	lettisk	latvijski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
mønstre	vzorci	mønster	vzorec	N;INDF;NEUT;PL	N;NOM;MASC;PL
mønstre	modeli	mønster	model	N;INDF;NEUT;PL	N;NOM;MASC;PL
vægten	težo	vægt	teža	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
vægten	utež	vægt	utež	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
vægten	teža	vægt	teža	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
åbnes	odpre	åbne	odpreti	V;IND;PRS;FIN;PASS	V;PFV;IND;SG;3;PRS;FIN
piper	piper	pipe	piper	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
palads	palačo	palads	palača	N;INDF;NEUT;SG	N;ACC;FEM;SG
palads	palača	palads	palača	N;INDF;NEUT;SG	N;NOM;FEM;SG
banner	banner	banne	banner	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
opdagelse	odkritje	opdagelse	odkritje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
helen	helena	hel	helen	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
faser	faze	fase	faza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
faser	faze	fase	faza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
faser	stopnje	fase	stopnja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
faser	fazah	fase	faza	N;INDF;MASC+FEM;PL	N;ESS;FEM;PL
