پُف	puff	پُف	puff		
تبصرہ	rewizja	تبصرہ	rewizja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبصرہ	krytyka	تبصرہ	krytyka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبصرہ	komentarz	تبصرہ	komentarz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تبلیغ	komunikat	تبلیغ	komunikat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تبلیغ	komunikacja	تبلیغ	komunikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تپ	fury	تپ	fura		
تپاں	hot	تپاں	hot		
تپّڑ	odwagi	تپّڑ	odwaga		
تپّڑ	mat	تپّڑ	mata		
تپّڑ	ducha	تپّڑ	duch		
تپّڑ	spirit	تپّڑ	spirit		
تُپک	muszkiet	تُپک	muszkiet		
تپن	ciepła	تپن	ciepło		
تپن	ciepło	تپن	ciepło		
تپن	upał	تپن	upał		
تپن	heat	تپن	heat		
تپن	ciepło	تپن	ciepło		
تپن	ciepła	تپن	ciepło		
تت	true	تت	true		
تت	czysta	تت	czysty		
تت	szczere	تت	szczery		
تتّا	zła	تتّا	zły		
تتّا	zły	تتّا	zły		
تتّا	hot	تتّا	hot		
تتّا	wrzącej	تتّا	wrzącej		
تتّا	wrzenia	تتّا	wrzenie		
تتّا	ciepła	تتّا	ciepło		
تتّا	ciepło	تتّا	ciepło		
تِتربِتّر	rozproszone	تِتربِتّر	rozprosić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
تِتربِتّر	rozproszone	تِتربِتّر	rozprosić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
تثلیث	syn	تثلیث	syn	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تجاذُبی	grawitacyjne	تجاذُبی	grawitacyjny	ADJ	ADJ;NOM;NEUT;SG
تِجارت	handel	تِجارت	handel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تِجارت	handel	تِجارت	handel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تِجارت	biznes	تِجارت	biznes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تِجارت	interes	تِجارت	interes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تِجارتی	komercyjny	تِجارتی	komercyjny	ADJ;NOM	ADJ;NOM;MASC;SG
تِجارتی	komercyjne	تِجارتی	komercyjny	ADJ;NOM	ADJ;NOM;NEUT;SG
تجدید	nowość	تجدید	nowość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجدید	ożywienie	تجدید	ożywienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تجدید	odrodzenie	تجدید	odrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
تجدید	nowość	تجدید	nowość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجدید	przedłużenie	تجدید	przedłużyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تجدید	odnowienie	تجدید	odnowienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تجرباتی	eksperymentalne	تجرباتی	eksperymentalny	ADJ;NOM	ADJ;NOM;NEUT;SG
تجربہ	doświadczenia	تجربہ	doświadczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تجربہ	doświadczenie	تجربہ	doświadczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تجربہ	proces	تجربہ	proces	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تجربہ	próba	تجربہ	próba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجربہ	rozprawa	تجربہ	rozprawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجریدی	wymyślony	تجریدی	wymyślić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
تجریدی	idealna	تجریدی	idealny	ADJ	ADJ;NOM;FEM;SG
تجریدی	idealne	تجریدی	idealny	ADJ	ADJ;NOM;NEUT;SG
تجریدی	idealny	تجریدی	idealny	ADJ	ADJ;NOM;MASC;SG
تجریدی	osobne	تجریدی	osobny	ADJ	ADJ;NOM;NEUT;SG
تجریدی	odrębne	تجریدی	odrębny	ADJ	ADJ;NOM;NEUT;SG
تجریدی	oddzielne	تجریدی	oddzielny	ADJ	ADJ;NOM;NEUT;SG
تجریدی	mistyczne	تجریدی	mistyczny	ADJ	ADJ;NOM;NEUT;SG
تجزیاتی	analityczne	تجزیاتی	analityczny	ADJ;NOM	ADJ;NOM;NEUT;SG
تجزیاتی	analityczna	تجزیاتی	analityczny	ADJ;NOM	ADJ;NOM;FEM;SG
تجزیہ	analiza	تجزیہ	analiza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجسُّس	ciekawość	تجسُّس	ciekawość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تجسُّس	szpiegostwo	تجسُّس	szpiegostwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تجسیم	ucieleśnienie	تجسیم	ucieleśnienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تجسیم	ucieleśnienie	تجسیم	ucieleśnienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
داب	pycha	داب	pychać		
داب	control	داب	control		
داب	maniery	داب	manier		
داب	force	داب	forka		
داب	podziw	داب	podziw		
داب	waga	داب	waga		
داب	grandeur	داب	grandeur		
داب	code	داب	cod		
داب	moc	داب	moc		
داب	power	داب	power		
تجویز	opinia	تجویز	opinia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	orzeczenie	تجویز	orzeczenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
تجویز	decyzja	تجویز	decyzja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	rozstrzygnięcie	تجویز	rozstrzygnąć	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تجویز	orzeczenie	تجویز	orzeczenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
تجویز	osąd	تجویز	osąd	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تجویز	rezolucja	تجویز	rezolucja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	wniosek	تجویز	wniosek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تجویز	propozycja	تجویز	propozycja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	opinia	تجویز	opinia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	orzeczenie	تجویز	orzeczenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
تجویز	decyzja	تجویز	decyzja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	rozstrzygnięcie	تجویز	rozstrzygnąć	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تجویز	propozycja	تجویز	propozycja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	sugestia	تجویز	sugestia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	orzeczenie	تجویز	orzeczenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
تجویز	osąd	تجویز	osąd	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تجویز	rezolucja	تجویز	rezolucja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	wniosek	تجویز	wniosek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تجویز	propozycja	تجویز	propozycja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تجویز	plan	تجویز	plan	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تجویزی	zdecydowana	تجویزی	zdecydowany	ADJ	ADJ;NOM;FEM;SG
تجویزی	ustalona	تجویزی	ustalić	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
تجویزی	ustalone	تجویزی	ustalić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
تجویزی	zdeterminowany	تجویزی	zdeterminować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
تجویزی	zdeterminowana	تجویزی	zdeterminować	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
تجہیل	niewiedzy	تجہیل	niewiedzy		
تحاوُر	dialog	تحاوُر	dialog	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحاوُر	rozmowa	تحاوُر	rozmowa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحائف	prezenty	تحفہ	prezent	N;NOM;MASC;PL;3	N;NOM;MASC;PL
تحتانی	podstawowy	تحتانی	podstawowy	ADJ;NOM	ADJ;NOM;MASC;SG
تحتانی	pierwotne	تحتانی	pierwotny	ADJ;NOM	ADJ;NOM;NEUT;SG
تحتانی	podstawowe	تحتانی	podstawowy	ADJ;NOM	ADJ;NOM;NEUT;SG
تحتانی	gorszy	تحتانی	zły	ADJ;NOM	ADJ;NOM;CMPR;MASC;SG
تحتانی	niższy	تحتانی	nisszyć	ADJ;NOM	ADJ;NOM;CMPR;MASC;SG
تحتانی	niższa	تحتانی	nissza	ADJ;NOM	ADJ;NOM;CMPR;FEM;SG
تحدید	ograniczenie	تحدید	ograniczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحدید	ograniczanie	تحدید	ograniczać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحدید	ograniczenie	تحدید	ograniczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحدید	ograniczanie	تحدید	ograniczać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحدید	ograniczenie	تحدید	ograniczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحریر	skład	تحریر	skład	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحریر	swoboda	تحریر	swoboda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحریر	wolność	تحریر	wolność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحریر	przedsięwzięcie	تحریر	przedsięwzięcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحریر	skład	تحریر	skład	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحریر	swoboda	تحریر	swoboda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحریر	wolność	تحریر	wolność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحریر	pisanie	تحریر	pisać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحریر	pismo	تحریر	pismo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحریر	przedsięwzięcie	تحریر	przedsięwzięcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحریری	napisane	تحریری	napisać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
تحریری	pisemne	تحریری	pisemny	ADJ	ADJ;NOM;NEUT;SG
تحریری	zapisane	تحریری	zapisać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
تحریفات	odchylenia	تحریف	odchylić	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
تحریم	zakaz	تحریم	zakaz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحصیل	nauka	تحصیل	nauka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحصیل	zysk	تحصیل	zysk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحصیل	zbieranie	تحصیل	zbierać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	kolekcja	تحصیل	kolekcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحصیل	zbiór	تحصیل	zbiór	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحصیل	pozyskanie	تحصیل	pozyskać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	przejęcie	تحصیل	przejąć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	nabywanie	تحصیل	nabywać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	nabycie	تحصیل	nabyta	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	pozyskiwanie	تحصیل	pozyskiwać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحصیل	osiąganie	تحصیل	osiągać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تحصیلات	zbiory	تحصیل	zbiór	N;NOM;MASC;PL;3	N;NOM;MASC;PL
تحصیلات	kolekcje	تحصیل	kolekcja	N;NOM;MASC;PL;3	N;NOM;FEM;PL
تحفُّظات	zastrzeżenia	تحفظ	zastrzeżenie	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
تحفُّظاتی	konserwatywny	تحفُّظاتی	konserwatywny	ADJ;NOM	ADJ;NOM;MASC;SG
تحقیر	upokorzenie	تحقیر	upokorzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحقیرانہ	obraźliwe	تحقیرانہ	obraźliwy	ADJ	ADJ;NOM;NEUT;SG
تحقیق	prawda	تحقیق	prawda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحقیق	sprawdzenie	تحقیق	sprawdzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تحقیق	weryfikacja	تحقیق	weryfikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحکُّمانہ	dowodzący	تحکُّمانہ	dowodzić	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
تحلیل	znikający	تحلیل	znikać	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
تحلیل	znikający	تحلیل	znikać	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
تحلیلی	analityczne	تحلیلی	analityczny	ADJ	ADJ;NOM;NEUT;SG
تحلیلی	analityczna	تحلیلی	analityczny	ADJ	ADJ;NOM;FEM;SG
تحلیلی	analitycznych	تحلیلی	analityczny	ADJ	ADJ;GEN;MASC;PL
تحوُّر	złość	تحوُّر	złość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحوُّر	gniew	تحوُّر	gniew	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحوُّر	pośpiech	تحوُّر	pośpiech	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحویل	gotówka	تحویل	gotówka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحویل	depozyt	تحویل	depozyt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تحویل	zaufanie	تحویل	zaufanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تحویل	opłata	تحویل	opłatać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تحویل	stolica	تحویل	stolica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخالُف	antagonizm	تخالُف	antagonizm	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تخالُف	opozycja	تخالُف	opozycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخالُف	sprzeciw	تخالُف	sprzeciw	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تخت	takht	تخت	takht	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تخت	monarchia	تخت	monarchia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخت	tron	تخت	tron	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تختہ	zarząd	تختہ	zarząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تختہ	wyżywienie	تختہ	wyżywienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تختہ	deska	تختہ	deska	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تختہ	tablica	تختہ	tablica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تختہ	deska	تختہ	deska	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تختہ	stół	تختہ	stół	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تختہ	stolik	تختہ	stolik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تختہ	tablica	تختہ	tablica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تختی	tabletka	تختی	tabletka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تختی	tabliczka	تختی	tabliczka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تخریب	zniszczenia	تخریب	zniszczyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تخریب	zniszczenie	تخریب	zniszczyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخریب	niszczenie	تخریب	niszczenie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تخریب	zniszczenia	تخریب	zniszczyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تخریب	spustoszenie	تخریب	spustoszyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخریب	zniszczenie	تخریب	zniszczyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخریبی	destrukcyjne	تخریبی	destrukcyjny	ADJ	ADJ;NOM;NEUT;SG
تخریبی	gwałtowne	تخریبی	gwałtowny	ADJ	ADJ;NOM;NEUT;SG
تخریبی	brutalny	تخریبی	brutalny	ADJ	ADJ;NOM;MASC;SG
تخریبی	gwałtowny	تخریبی	gwałtowny	ADJ	ADJ;NOM;MASC;SG
تخصُّص	specjalizacja	تخصُّص	specjalizacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخصیص	specjalizacja	تخصیص	specjalizacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخصیص	specjalność	تخصیص	specjalność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخطیط	projekt	تخطیط	projekt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تخطیط	konstrukcja	تخطیط	konstrukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخطیط	projektowanie	تخطیط	projektować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تخفیف	ulga	تخفیف	ulga	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	umorzenie	تخفیف	umorzyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخفیف	obniżka	تخفیف	obniżka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	redukcja	تخفیف	redukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	zmniejszenie	تخفیف	zmniejszenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخفیف	ulga	تخفیف	ulga	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	umorzenie	تخفیف	umorzyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخفیف	obniżka	تخفیف	obniżka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	redukcja	تخفیف	redukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخفیف	zmniejszenie	تخفیف	zmniejszenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخلیص	freedom	تخلیص	freed		
تخلیق	produkcja	تخلیق	produkcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخلیق	produkcja	تخلیق	produkcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخلیق	tworzenie	تخلیق	tworzyć	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تخلیق	utworzenie	تخلیق	utworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخلیق	stworzenie	تخلیق	stworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخلیقی	pomysłowy	تخلیقی	pomysłowy	ADJ	ADJ;NOM;MASC;SG
تخلیقی	kreatywny	تخلیقی	kreatywny	ADJ	ADJ;NOM;MASC;SG
تُخم	jajko	تُخم	jajko		
تُخم	jajo	تُخم	jajo		
تُخم	spermy	تُخم	spermy		
تُخم	nasion	تُخم	nasiono		
تُخم	ziarno	تُخم	ziarno		
تُخم	potomstwa	تُخم	potomstwo		
تخمیر	charakter	تخمیر	charakter	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تخمیر	przyroda	تخمیر	przyroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تخمیر	usposobienie	تخمیر	usposobienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تخمینہ	przypuszczenie	تخمینہ	przypuścić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخمینہ	przypuszczenie	تخمینہ	przypuścić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخمینہ	oszacowanie	تخمینہ	oszacować	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تخمینہ	przypuszczenie	تخمینہ	przypuścić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تخمینہ	przypuszczenie	تخمینہ	przypuścić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تدبیر	opinia	تدبیر	opinia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تدبیر	lekarstwo	تدبیر	lekarstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	zarządzanie	تدبیر	zarządzać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تدبیر	kierownictwo	تدبیر	kierownictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	zarząd	تدبیر	zarząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدبیر	zarządzania	تدبیر	zarządzanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	wyrób	تدبیر	wyrób	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدبیر	urządzenie	تدبیر	urządzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	plan	تدبیر	plan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدبیر	opinia	تدبیر	opinia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تدبیر	lekarstwo	تدبیر	lekarstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	zarządzanie	تدبیر	zarządzać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تدبیر	kierownictwo	تدبیر	kierownictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	zarząd	تدبیر	zarząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدبیر	zarządzania	تدبیر	zarządzanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	wyrób	تدبیر	wyrób	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدبیر	urządzenie	تدبیر	urządzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدبیر	taktyka	تدبیر	taktyka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تدبیر	plan	تدبیر	plan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدریجی	stopniowe	تدریجی	stopniowy	ADJ	ADJ;NOM;NEUT;SG
تدریجی	stopniowego	تدریجی	stopniowy	ADJ	ADJ;ACC;MASC;SG
تدریجی	stopniowe	تدریجی	stopniowy	ADJ	ADJ;NOM;NEUT;SG
تدریجی	stopniowego	تدریجی	stopniowy	ADJ	ADJ;ACC;MASC;SG
تدریس	instrukcja	تدریس	instrukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تدریس	nauczanie	تدریس	nauczanie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تدریس	nauczania	تدریس	nauczanie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تدریس	kształcenie	تدریس	kształcenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدریس	wykształcenie	تدریس	wykształcenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تدریس	edukacja	تدریس	edukacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تدفین	pogrzeb	تدفین	pogrzeb	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تدفین	pochówek	تدفین	pochówek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تذکیر	wzmianka	تذکیر	wzmianka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تذلیل	upokorzenie	تذلیل	upokorzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تر	tłuste	تر	tłusty		
تر	rich	تر	richy		
تر	świeży	تر	świeży		
تر	mokro	تر	mokro		
تر	wilgoć	تر	wilgoć		
بہتر	lepsza	بہتر	dobry	ADJ	ADJ;NOM;CMPR;FEM;SG
بہتر	lepsze	بہتر	dobry	ADJ	ADJ;NOM;CMPR;MASC;SG
تُر	prom	تُر	prom		
تُر	krosno	تُر	krosno		
ترازو	bilans	ترازو	bilans	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ترازو	saldo	ترازو	saldo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
ترازو	równowaga	ترازو	równowaga	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تراس	dread	تراس	dread		
تراشنا	cięcie	تراشنا	cięcie		
ترانہ	melodia	ترانہ	melodia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ترانہ	hymn	ترانہ	hymn	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ترانہ	melodia	ترانہ	melodia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ترتیب	komponowanie	ترتیب	komponować	N;NOM;FEM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ترتیب	rozmieszczenie	ترتیب	rozmieszczenie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ترتیب	dekoracja	ترتیب	dekoracja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	klasyfikacja	ترتیب	klasyfikacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	formacja	ترتیب	formacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	szyk	ترتیب	szyk	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ترتیب	porządek	ترتیب	porządek	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ترتیب	zamówienie	ترتیب	zamówienie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
ترتیب	kolejność	ترتیب	kolejność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	komponowanie	ترتیب	komponować	N;NOM;FEM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ترتیب	rozmieszczenie	ترتیب	rozmieszczenie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ترتیب	dekoracja	ترتیب	dekoracja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	klasyfikacja	ترتیب	klasyfikacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ترتیب	układ	ترتیب	układ	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ترتیب	porozumienie	ترتیب	porozumienie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ترجمان	ustnik	ترجمان	ustnik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
