से	vom	से	vom		
ट्रैक	gleise	ट्रैक	gleis	N;NOM;MASC;SG;3	N
मैन	mann	मैन	mann		
जिम्मेदार	verantwortlich	जिम्मेदार	verantwortlich	ADJ	ADJ
जिम्मेदार	verantwortliche	जिम्मेदार	verantwortlich	ADJ	ADJ;NOM;FEM;PL
जिम्मेदार	verantwortlicher	जिम्मेदार	verantwortlicher	ADJ	ADJ
आवृत्ति	wiederholung	आवृत्ति	wiederholung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कोण	blickwinkel	कोण	blickwinkel	N;NOM;MASC;SG;3	N
कोण	blickwinkel	कोण	blickwinkel	N;NOM;MASC;SG;3	N
अफ्रीकी	afrikanischen	अफ्रीकी	afrikanisch	ADJ	ADJ;ACC;MASC;SG
अफ्रीकी	afrikanische	अफ्रीकी	afrikanisch	ADJ	ADJ;NOM;FEM;PL
अफ्रीकी	afrikaner	अफ्रीकी	afrikaner	ADJ	ADJ
खतरा	gefährdung	खतरा	gefährdung	N;NOM;MASC;SG;3	N;FEM;SG
टूर्नामेंट	wettkampf	टूर्नामेंट	wettkampf	N;NOM;MASC;SG;3	N
चिंता	beunruhigung	चिंता	beunruhigung	N;NOM;FEM;SG;3	N;SG
चिंता	unruhe	चिंता	unruh	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहमत	vereinbarte	सहमत	vereinbart	ADJ	ADJ;NOM;FEM;PL
मोटे	fetten	मोटा	fett	V;PFV;MASC;PL;3;V.PTCP;ACT	V;NFIN
हिसाब	buchführung	हिसाब	buchführung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हिसाब	abrechnung	हिसाब	abrechnung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पहुंचा	erreicht	पहुंच	erreichen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
पहुंचा	erreichte	पहुंच	erreichen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बिग	big	बिग	bigen		
समानता	gleichstellung	समानता	gleichstellung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आदिवासी	stammes	आदिवासी	stamm	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दुर्घटना	unfall	दुर्घटना	unfall	N;NOM;FEM;SG;3	N
सोच	denken	सोच	denken	V;SG;FIN;ACT	V;NFIN
सोच	nachdenken	सोच	nachdenken	V;SG;FIN;ACT	V;NFIN
दर्शनीय	malerischen	दर्शनीय	malerisch	ADJ	ADJ
दर्शनीय	landschaftlich	दर्शनीय	landschaftlich	ADJ	ADJ
ऋतु	spielzeit	ऋतु	spielzeit	N;NOM;FEM;SG;3	N;NOM;SG
ऋतु	saison	ऋतु	saison	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मेडिकल	arzt	मेडिकल	arzen	N;NOM;MASC;SG;3	N;SG
मेडिकल	medizin	मेडिकल	medizin	N;NOM;MASC;SG;3	N;NOM;SG
हस्तक्षेप	eingriffe	हस्तक्षेप	eingriff	N;NOM;MASC;SG;3	N
हस्तक्षेप	störung	हस्तक्षेप	störung	N;NOM;MASC;SG;3	N;FEM;SG
हस्तक्षेप	eingriffe	हस्तक्षेप	eingriff	N;NOM;MASC;SG;3	N
पतन	einsturz	पतन	einsturz	N;NOM;MASC;SG;3	N;SG
स्वाभाविक	natürlichen	स्वाभाविक	natürlich	ADJ	ADJ
स्वाभाविक	natürliches	स्वाभाविक	natürlich	ADJ	ADJ;NOM;NEUT;SG
स्वाभाविक	natürlicher	स्वाभाविक	natürlich	ADJ	ADJ
स्वाभाविक	natürliche	स्वाभाविक	natürlich	ADJ	ADJ;NOM;FEM;PL
स्वाभाविक	angeborene	स्वाभाविक	angeboren	ADJ	ADJ;NOM;FEM;PL
हरे	hase	हरा	haben		
हरे	hare	हरा	haren		
हरे	hasen	हरा	hasen		
फ़ाइल	akten	फााइल	akt	N;NOM;MASC;SG;3	N
फ़ाइल	akten	फााइल	akt	N;NOM;MASC;SG;3	N
स्वागत	begrüßung	स्वागत	Begrüßung	N;NOM;MASC;SG;3	N
विरासत	erbe	विरासत	erben	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
विरासत	erbe	विरासत	erben	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
विलोपन	ausscheidung	विलोपन	ausscheidung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विलोपन	eliminierung	विलोपन	eliminierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विलोपन	ausschaltung	विलोपन	ausschaltung	N;NOM;MASC;SG;3	N;FEM;SG
विलोपन	beseitigung	विलोपन	Beseitigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
एकता	einheit	एकता	einheit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मतदान	abstimmung	मतदान	abstimmung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गहरा	dunkel	गहरा	dunkel	ADJ;NOM;MASC;SG	ADJ
गहरा	dunkler	गहरा	dunkel	ADJ;NOM;MASC;SG	ADJ
गहरा	dunkelheit	गहरा	dunkelheit	ADJ;NOM;MASC;SG	ADJ
गहरा	tief	गहरा	tief	ADJ;NOM;MASC;SG	ADJ
गहरा	dunkler	गहरा	dunkel	ADJ;NOM;MASC;SG	ADJ
बारह	zwölf	बारह	zwölf	NUM	NUM
पूर्ति	erfüllung	पूर्ति	Erfüllung	N;NOM;FEM;SG;3	N;SG
संकलन	sammlung	संकलन	sammlung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संकलन	zusammenstellung	संकलन	zusammenstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संकलन	erstellung	संकलन	Erstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खड़ी	stehend	खड़ा	stehend	ADJ;NOM;FEM;SG	ADJ
खड़ी	stehendes	खड़ा	stehend	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
खड़ी	ständigen	खड़ा	ständig	ADJ;NOM;FEM;SG	ADJ
अपनाया	angenommen	अपना	annehmen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
अपनाया	verabschiedet	अपना	verabschieden	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
अपनाया	erlassen	अपना	erlassen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
अपनाया	adoptiert	अपना	adoptieren	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
सुख	glückseligkeit	सुख	glückseligkeit		
वर्गीकृत	geheim	वर्गीकृत	geheim	ADJ	ADJ
वर्गीकृत	klassifiziert	वर्गीकृत	klassifizieren	ADJ	ADJ;V.PTCP
वर्गीकृत	verschiedene	वर्गीकृत	verschieden	ADJ	ADJ;NOM;FEM;PL
आकर्षक	charmant	आकर्षक	charmant	ADJ	ADJ
आकर्षक	attraktiven	आकर्षक	attraktiv	ADJ	ADJ;PL
आकर्षक	ansprechend	आकर्षक	ansprechend	ADJ	ADJ
आकर्षक	attraktives	आकर्षक	attraktiv	ADJ	ADJ;NOM;NEUT;SG
आकर्षक	attraktive	आकर्षक	attraktiv	ADJ	ADJ;NOM;FEM;PL
आकर्षक	attraktiv	आकर्षक	attraktiv	ADJ	ADJ
पकड़	greifen	पकड	greifen	V;FIN;ACT	V;NFIN
पकड़	griff	पकड	greifen	V;FIN;ACT	V;FIN
पथ	trasse	पथ	trassen	N;NOM;MASC;SG;3	N
पेज	seite	पेज	seit	N;NOM;MASC;SG;3	N
परम	bast	परम	bast		
परम	ultimate	परम	ultimat		
गिर	fallen	गिर	fallen	V;ACT	V;NFIN
खुला	geöffnet	खुल	öffnen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
खुला	öffnen	खुल	öffnen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
खुला	freigeschaltet	खुल	freischalten	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
नकारात्मक	negativen	नकारात्मक	negativ	ADJ	ADJ
नकारात्मक	negatives	नकारात्मक	negativ	ADJ	ADJ;NOM;NEUT;SG
नकारात्मक	negativer	नकारात्मक	negativ	ADJ	ADJ
नकारात्मक	negative	नकारात्मक	negativ	ADJ	ADJ;NOM;FEM;PL
नकारात्मक	negativ	नकारात्मक	negativ	ADJ	ADJ
निगरानी	überwachung	निगरानी	überwachung	N;NOM;FEM;SG;3	N;SG
निगरानी	begleitung	निगरानी	begleitung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निगरानी	überwachung	निगरानी	überwachung	N;NOM;FEM;SG;3	N;SG
राजस्व	erträge	राजस्व	erträg	N;NOM;MASC;SG;3	N
राजस्व	umsatz	राजस्व	umsatz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पटकथा	drehbuch	पटकथा	drehbuch	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
व्यवस्थित	organisiert	व्यवस्थित	organisieren	ADJ	ADJ;V.PTCP
व्यवस्थित	systematisch	व्यवस्थित	systematisch	ADJ	ADJ
व्यवस्थित	systematischer	व्यवस्थित	systematisch	ADJ	ADJ
व्यवस्थित	systematisches	व्यवस्थित	systematisch	ADJ	ADJ;NOM;NEUT;SG
व्यवस्थित	systematischen	व्यवस्थित	systematisch	ADJ	ADJ
व्यवस्थित	systematische	व्यवस्थित	systematisch	ADJ	ADJ;NOM;FEM;PL
डॉक्टर	arzt	डॉक्टर	arzen	N;NOM;MASC;SG;3	N;SG
डॉक्टर	arzt	डॉक्टर	arzen	N;NOM;MASC;SG;3	N;SG
डॉक्टर	doktor	डॉक्टर	doktor	N;NOM;MASC;SG;3	N;SG
डॉक्टर	ärztin	डॉक्टर	ärztin	N;NOM;MASC;SG;3	N;SG
टैग	tag	टैग	tagen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रखकर	inverkehrbringen	रख	inverkehrbringen	V;V.CVB	V;NFIN
सबूत	nachweise	सबूत	nachweise	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सबूत	nachweis	सबूत	nachweis	N;NOM;MASC;SG;3	N
सबूत	nachweise	सबूत	nachweise	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सबूत	nachweis	सबूत	nachweis	N;NOM;MASC;SG;3	N
सटीक	zutreffend	सटीक	zutreffend	ADJ	ADJ
सटीक	korrekt	सटीक	korrekt	ADJ	ADJ
सटीक	präzise	सटीक	präzis	ADJ	ADJ
सटीक	genaue	सटीक	genau	ADJ	ADJ;NOM
सटीक	exakte	सटीक	exakt	ADJ	ADJ;NOM;FEM;PL
सटीक	exakten	सटीक	exakt	ADJ	ADJ
सटीक	genauer	सटीक	genau	ADJ	ADJ
सटीक	genaue	सटीक	genau	ADJ	ADJ;NOM
समाप्ति	fertigstellung	समाप्ति	fertigstellung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उल्लंघन	verletzung	उल्लंघन	verletzung	N;NOM;MASC;SG;3	N;FEM;SG
उल्लंघन	bruch	उल्लंघन	bruch	N;NOM;MASC;SG;3	N;SG
उल्लंघन	verletzung	उल्लंघन	verletzung	N;NOM;MASC;SG;3	N;FEM;SG
समग्र	aggregat	समग्र	aggregat		
पड़े	bezweifeln	पड़	bezweifeln	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
औषधि	medizin	औषधि	medizin	N;NOM;FEM;SG;3	N;NOM;SG
प्रतिस्पर्धा	wettkampf	प्रतिस्पर्धा	wettkampf	N;NOM;FEM;SG;3	N
कायम	gepflegt	कायम	pflegen	ADJ	ADJ;V.PTCP
कायम	aufrechterhalten	कायम	aufrechterhalten	ADJ	ADJ
खूबसूरत	wunderschön	खूबसूरत	wunderschön	ADJ	ADJ
खूबसूरत	schöner	खूबसूरत	schön	ADJ	ADJ
खूबसूरत	schönste	खूबसूरत	schön	ADJ	ADJ;NOM;FEM;SG
खूबसूरत	schöne	खूबसूरत	schön	ADJ	ADJ;NOM;FEM;PL
खूबसूरत	schön	खूबसूरत	schön	ADJ	ADJ
शक्तियों	kräfte	शक्ति	krafen	N;ACC;FEM;PL;3	N
अणु	molekularbiologie	अणु	molekularbiologie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अणु	molekül	अणु	molekül	N;NOM;MASC;SG;3	N;SG
भीड़	menge	भीड़	mengen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रिकॉर्डिंग	aufzeichnung	रिकॉर्डिंग	aufzeichnung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
द्वीपसमूह	inselgruppe	द्वीपसमूह	inselgruppe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
द्वीपसमूह	inselgruppe	द्वीपसमूह	inselgruppe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्कोर	punktzahl	स्कोर	punktzahl	N;NOM;MASC;SG;3	N
स्कोर	filmmusik	स्कोर	filmmusik	N;NOM;MASC;SG;3	N
स्कोर	punktzahl	स्कोर	punktzahl	N;NOM;MASC;SG;3	N
चेतावनी	warnung	चेतावनी	warnung	N;NOM;FEM;SG;3	N;NOM;SG
चेतावनी	warnung	चेतावनी	warnung	N;NOM;FEM;SG;3	N;NOM;SG
चेतावनी	warnung	चेतावनी	warnung	N;NOM;FEM;SG;3	N;NOM;SG
परामर्श	beratung	परामर्श	beratung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परामर्श	anhörung	परामर्श	anhörung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परामर्श	konsultation	परामर्श	konsultation	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परामर्श	anhörung	परामर्श	anhörung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दंड	todesstrafe	दंड	todesstraf	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दंड	ahndung	दंड	ahndung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दंड	bestrafung	दंड	bestrafung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हिट	aufrufe	हिट	aufrufen		
हिट	zugriffe	हिट	zugreifen		
हिट	schlag	हिट	schlagen		
प्रतिबंध	beschränkung	प्रतिबंध	beschränkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिबंध	einschränkung	प्रतिबंध	einschränkung	N;NOM;MASC;SG;3	N;FEM;SG
प्रतिबंध	beschränkung	प्रतिबंध	beschränkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिबंध	einschränkung	प्रतिबंध	einschränkung	N;NOM;MASC;SG;3	N;FEM;SG
पढ़ाई	studium	पढ़ाई	studium	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
पढ़ाई	studie	पढ़ाई	studie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहाड़	gebirge	पहाड	gebirge	N;NOM;MASC;SG;3	N
संशोधित	überarbeitete	संशोधित	überarbeitet	ADJ	ADJ;NOM;FEM;SG
संशोधित	modifizierte	संशोधित	modifizieren	ADJ	ADJ;SG
नौसेना	marine	नौसेना	marin	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहमति	zustimmung	सहमति	zustimmung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रमाणित	zertifizierte	प्रमाणित	zertifizierte	ADJ	ADJ;SG
प्रमाणित	zertifizierter	प्रमाणित	zertifizierter	ADJ	ADJ
पाता	findet	पा	finden	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
पाता	finden	पा	finden	V;IPFV;MASC;SG;V.PTCP;ACT	V;NFIN
कमजोर	schwache	कमजोर	schwach	ADJ	ADJ;NOM;FEM;PL
कमजोर	schwachen	कमजोर	schwachen	ADJ	ADJ
कमजोर	schwach	कमजोर	schwach	ADJ	ADJ
कमजोर	schwacher	कमजोर	schwach	ADJ	ADJ
नजर	auge	नजर	auge	N;NOM;FEM;SG;3	N;NOM;SG
असर	auswirkung	असर	auswirkung	N;NOM;MASC;SG;3	N;SG
असर	wirkung	असर	wirkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
असर	effekt	असर	effekt	N;NOM;MASC;SG;3	N
रीति	ritual	रीति	ritual	N;NOM;FEM;SG;3	N;NOM;SG
सीधा	straight	सीधा	straight	ADJ;NOM;MASC;SG	ADJ
सीधा	hetero	सीधा	hetero	ADJ;NOM;MASC;SG	ADJ
सीधा	direkt	सीधा	direkt	ADJ;NOM;MASC;SG	ADJ
सीधा	geradeaus	सीधा	geradeaus	ADJ;NOM;MASC;SG	ADJ
सीधा	direkten	सीधा	direkt	ADJ;NOM;MASC;SG	ADJ
सीधा	direkt	सीधा	direkt	ADJ;NOM;MASC;SG	ADJ
सीधा	direkter	सीधा	direkt	ADJ;NOM;MASC;SG	ADJ
सीधा	direktes	सीधा	direkt	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
भाषण	vortrag	भाषण	vortragen	N;NOM;MASC;SG;3	N;SG
भाषण	ansprache	भाषण	ansprechen	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भाषण	sprache	भाषण	sprechen	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सृष्टि	schaffung	सृष्टि	schaffung	N;NOM;FEM;SG;3	N
स्वस्थ	gesund	स्वस्थ	gesund	ADJ	ADJ
भागीदारी	beteiligung	भागीदारी	Beteiligung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	einbindung	भागीदारी	einbindung	N;NOM;FEM;SG;3	N;FEM;SG
भागीदारी	mitwirkung	भागीदारी	mitwirkung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	beteiligung	भागीदारी	Beteiligung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	mitwirkung	भागीदारी	mitwirkung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उद्योगों	industrien	उद्योग	industrienen	N;ACC;MASC;PL;3	N;PL
उद्योगों	branchen	उद्योग	branchen	N;ACC;MASC;PL;3	N;PL
मर	toten	मर	toten	V;ACT	V;PL;FIN
गहरी	tief	गहरा	tief	ADJ;NOM;FEM;SG	ADJ
विस्फोट	explosion	विस्फोट	explosion	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नक्शा	stadtplan	नक्शा	stadtplan	N;NOM;MASC;SG;3	N
बिल्कुल	absolut	बिल्कुल	absolut	ADV	ADV
बिल्कुल	unbedingt	बिल्कुल	unbedingt	ADV	ADV
पाये	gefunden	पा	finden	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
पाये	fanden	पा	finden	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;PL;3;PST;FIN
कथन	statement	कथन	statement	N;NOM;MASC;SG;3	N;SG
कथन	erklärung	कथन	erklärung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भरे	gefüllt	भर	füllen	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
भरे	abgefüllt	भर	abfüllen	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
ज्वालामुखी	vulkans	ज्वालामुखी	vulkans	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बैंकों	banken	बैंक	banken	N;ACC;MASC;PL;3	N;PL
कमरे	zimmer	कमरा	zimmer	N;NOM;MASC;SG;3	N
कमरे	zimmer	कमरा	zimmer	N;NOM;MASC;SG;3	N
स्वाद	aroma	स्वाद	aroma	N;NOM;MASC;SG;3	N;SG
अनुक्रम	ordnung	अनुक्रम	ordnung	N;NOM;MASC;SG;3	N
अनुक्रम	auftrag	अनुक्रम	auftragen	N;NOM;MASC;SG;3	N;MASC;SG
अनुक्रम	bestellung	अनुक्रम	bestellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुक्रम	folge	अनुक्रम	folge	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तार	drähte	तार	drähen	N;NOM;MASC;SG;3	N;NOM;SG
डर	angst	डर	angst		
जानवर	tier	जानवर	Tier	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जानवर	tier	जानवर	Tier	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
केन्द्रित	mittig	केंद्रित	mittig	ADJ	ADJ
निर्यात	ausfuhr	निर्यात	ausfahren	N;NOM;MASC;SG;3	N;NOM;SG
निर्यात	ausfuhr	निर्यात	ausfahren	N;NOM;MASC;SG;3	N;NOM;SG
गाड़ी	auto	गाड़ी	auto	N;NOM;FEM;SG;3	N;NOM;SG
गाड़ी	autovermietung	गाड़ी	autovermietung	N;NOM;FEM;SG;3	N;NOM;MASC;SG
भर्ती	einstellung	भर्ती	einstellung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भर्ती	anwerbung	भर्ती	anwerbung	N;NOM;FEM;SG;3	N;SG
स्तंभ	kolumne	स्तंभ	kolumne	N;NOM;MASC;SG;3	N;SG
ताल	schlag	ताल	schlagen		
ताल	taal	ताल	taal		
बनाम	versus	बनाम	versus		
मजबूर	erzwungene	मजबूर	erzwungen	ADJ	ADJ;NOM;FEM;PL
अधिग्रहण	übernahme	अधिग्रहण	übernehmen	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अधिग्रहण	erwerb	अधिग्रहण	erwerben	N;NOM;MASC;SG;3	N
अधिग्रहण	akquisition	अधिग्रहण	akquisition	N;NOM;MASC;SG;3	N;SG
प्रकरण	folge	प्रकरण	folge	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्लेट	bleche	प्लेट	blechen	N;NOM;FEM;SG;3	N;NOM
सम्पादन	bearbeitung	सम्पादन	bearbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सम्पादन	redaktion	सम्पादन	redaktion	N;NOM;MASC;SG;3	N;SG
संगठित	organisiert	संगठित	organisieren	ADJ	ADJ;V.PTCP
संगठित	organisiert	संगठित	organisieren	ADJ	ADJ;V.PTCP
समन्वय	koordinierung	समन्वय	koordinierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समन्वय	koordination	समन्वय	koordination	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्वीकृति	bestätigung	स्वीकृति	Bestätigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वीकृति	abnahme	स्वीकृति	abnehmen	N;NOM;FEM;SG;3	N;SG
पीने	saufen	पी	saufen	V;NFIN;ACT	V;NFIN
पीने	trink	पी	trenken	V;NFIN;ACT	V;IND;SG;2;PRS;FIN
पीने	trinken	पी	trinken	V;NFIN;ACT	V;NFIN
असली	echte	असली	echt	ADJ;NOM	ADJ;NOM;FEM;PL
असली	real	असली	real	ADJ;NOM	ADJ
असली	realen	असली	real	ADJ;NOM	ADJ;SG
असली	reale	असली	real	ADJ;NOM	ADJ;NOM;FEM;PL
असली	echten	असली	echt	ADJ;NOM	ADJ;MASC;SG
असली	ursprünglich	असली	ursprünglich	ADJ;NOM	ADJ
असली	original	असली	original	ADJ;NOM	ADJ
असली	originell	असली	originell	ADJ;NOM	ADJ
असली	originellen	असली	originell	ADJ;NOM	ADJ
उद्यम	unternehmensführung	उद्यम	unternehmensführung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शुरुआती	einsteiger	शुरुआती	einsteiger	ADJ	ADJ
शुरुआती	anfänger	शुरुआती	anfanger	ADJ	ADJ
प्रकाशक	verlag	प्रकाशक	verliegen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रकाशक	verlag	प्रकाशक	verliegen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गाय	kühe	गाय	küh		
गाय	kuh	गाय	kuh		
खाली	leerer	खाली	leer	ADJ	ADJ
खाली	leer	खाली	leer	ADJ	ADJ
खाली	leeren	खाली	leer	ADJ	ADJ
खाली	leeren	खाली	leer	ADJ	ADJ
खाली	leer	खाली	leer	ADJ	ADJ
खाली	blank	खाली	blank	ADJ	ADJ
प्रतिष्ठा	ruf	प्रतिष्ठा	ruf	N;NOM;FEM;SG;3	N;NOM;MASC;SG
छत	dach	छत	dach	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
छत	dach	छत	dach	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
आवाज़	menge	आवाज़	mengen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौखिक	oral	मौखिक	oral		
चलाया	hinrichten	चला	hinrichten	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
चलाया	ausgeführt	चला	ausführen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
चलाया	hingerichtet	चला	hinrichten	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
रहें	bleiben	रह	bleiben	V;SBJV;PL;FIN;ACT	V;NFIN
विनिमय	umtausch	विनिमय	umtausch	N;NOM;MASC;SG;3	N
बहस	diskussion	बहस	diskussion	N;NOM;FEM;SG;3	N
कथित	angeblich	कथित	angeblich	ADJ;NOM	ADJ
कथित	vermeintlichen	कथित	vermeintlich	ADJ;NOM	ADJ
कथित	angebliche	कथित	angeblich	ADJ;NOM	ADJ;NOM;FEM;PL
कथित	angeblichen	कथित	angeblich	ADJ;NOM	ADJ
कोर	core	कोर	core		
नियुक्ति	termin	नियुक्ति	termin	N;NOM;FEM;SG;3	N;SG
नियुक्ति	berufung	नियुक्ति	berufung	N;NOM;FEM;SG;3	N
नियुक्ति	bestellung	नियुक्ति	bestellung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नियुक्ति	beschäftigung	नियुक्ति	Beschäftigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बहती	fließt	बह	fließen	V;IPFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
बहती	fließt	बह	fließen	V;IPFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
बहती	fließen	बह	fließen	V;IPFV;FEM;SG;V.PTCP;ACT	V;NFIN
विटामिन	vitamine	विटामिन	vitamine	N;NOM;MASC;SG;3	N;NOM;SG
विटामिन	vitamine	विटामिन	vitamine	N;NOM;MASC;SG;3	N;NOM;SG
खून	blut	खून	bluten	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बाग	gartens	बाग	gartens	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
डच	niederländer	डच	niederland		
डच	holländer	डच	holländer		
चौथी	vierter	चौथी	viert	ADJ;NOM;FEM;SG	ADJ
चौथी	vierte	चौथी	viert	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
चौथी	viertes	चौथी	viert	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
उम्मीदवार	kandidaten	उम्मीदवार	kandidat	N;NOM;MASC;PL;3	N;NOM;PL
उम्मीदवार	beitrittskandidaten	उम्मीदवार	beitrittskandidaten	N;NOM;MASC;PL;3	N;NOM;PL
उम्मीदवार	kandidaten	उम्मीदवार	kandidat	N;NOM;MASC;PL;3	N;NOM;PL
उम्मीदवार	kandidat	उम्मीदवार	kandidat	N;NOM;MASC;PL;3	N
बिलकुल	absolut	बिलकुल	absolut	ADV	ADV
बिलकुल	unbedingt	बिलकुल	unbedingt	ADV	ADV
रूपांतरण	umwandlung	रूपांतरण	umwandlung	N;NOM;MASC;SG;3	N;SG
रूपांतरण	umbau	रूपांतरण	umbau	N;NOM;MASC;SG;3	N
रूपांतरण	konvertierung	रूपांतरण	konvertierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरण	umstellung	रूपांतरण	umstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरण	umwandlung	रूपांतरण	umwandlung	N;NOM;MASC;SG;3	N;SG
रूपांतरण	verwandlung	रूपांतरण	verwandlung	N;NOM;MASC;SG;3	N;FEM;SG
भ्रष्टाचार	korruptionsbekämpfung	भ्रष्टाचार	korruptionsbekämpfung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सलाहकार	beratung	सलाहकार	beratung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चलचित्र	kino	चलचित्र	kino	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
