το	la	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;FEM;SG
ζώνες	cinturons	ζώνη	cinturó	N;NOM;FEM;PL	N;MASC;PL
θύματα	víctimes	θύμα	víctima	N;NOM;NEUT;PL	N;FEM;PL
επιθετικός	agressiu	επιθετικός	agressiu	ADJ;NOM;MASC;SG	ADJ;MASC;SG
πνευματικά	mentalment	πνευματικά	mentalment	ADV	ADV
δήλωση	declaració	δήλωση	declaració	N;ACC;FEM;SG	N;FEM;SG
δήλωση	declaració	δήλωση	declaració	N;ACC;FEM;SG	N;FEM;SG
θέα	vista	θέα	vista	N;NOM;FEM;SG	N;FEM;SG
θέα	visualització	θέα	visualització	N;NOM;FEM;SG	N;FEM;SG
ολυμπιάδα	olimpíada	ολυμπιάδα	olimpíat	N;NOM;FEM;SG	N;FEM;SG
ηθική	ètic	ηθικός	ètic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	ADJ;SG
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	ADJ;SG
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	ADJ;SG
ξύλο	fusta	ξύλο	fusta	N;NOM;NEUT;SG	N;FEM;SG
μαθηματικός	matemàtic	μαθηματικός	matemàtic	ADJ;NOM;MASC;SG	ADJ;MASC;SG
γερουσία	senat	γερουσία	senat	N;NOM;FEM;SG	N;MASC;SG
αργά	tard	αργά	tard	ADV	ADV
αργά	lentament	αργά	lentament	ADV	ADV
εκδήλωση	esdeveniment	εκδήλωση	esdeveniment	N;ACC;FEM;SG	N;MASC;SG
αύγουστος	agost	αύγουστος	agost	N;NOM;MASC;SG	N
καθηγητές	catedràtics	καθηγητής	catedràtic	N;NOM;MASC;PL	N;MASC;PL
καθηγητές	professores	καθηγητής	professora	N;NOM;MASC;PL	N;FEM;PL
καθηγητές	mestres	καθηγητής	mestre	N;NOM;MASC;PL	N;MASC;PL
καθηγητές	professors	καθηγητής	professor	N;NOM;MASC;PL	N;MASC;PL
καθηγητές	docents	καθηγητής	docent	N;NOM;MASC;PL	N;PL
τοπίο	paisatge	τοπίο	paisatge	N;NOM;NEUT;SG	N;MASC;SG
κανόνας	regla	κανόνας	regla	N;NOM;MASC;SG	N;FEM;SG
ιερός	sagrat	ιερός	sagrat	ADJ;NOM;MASC;SG	ADJ;MASC;SG
όγκο	volum	όγκος	volum	N;ACC;MASC;SG	N;MASC;SG
ξεχωριστά	separadament	ξεχωριστώ	separadament	ADV	ADV
άγνωστη	desconegut	άγνωστος	desconegut	ADJ;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
άγνωστη	desconeguda	άγνωστος	desconegut	ADJ;NOM;FEM;SG	ADJ;FEM;SG;V.PTCP
κατάλληλη	apropiat	κατάλληλος	apropiar	ADJ;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
εξώφυλλο	portada	εξώφυλλο	portada	N;NOM;NEUT;SG	N;FEM;SG
εξώφυλλο	caràtula	εξώφυλλο	caràtula	N;NOM;NEUT;SG	N;FEM;SG
σχεδιασμός	planificació	σχεδιασμός	planificació	N;NOM;MASC;SG	N;FEM;SG
σχεδιασμός	planejament	σχεδιασμός	planejament	N;NOM;MASC;SG	N;MASC;SG
σχεδιασμός	disseny	σχεδιασμός	disseny	N;NOM;MASC;SG	N;MASC;SG
ανθρώπινο	humà	ανθρώπινος	humà	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
αδέλφια	germans	αδέρφι	germà	N;NOM;NEUT;PL	N;MASC;PL
υποστηρικτές	simpatitzants	υποστηρικτής	simpatitzant	N;NOM;MASC;PL	N;PL
λατρεία	adoració	λατρεία	adoració	N;NOM;FEM;SG	N;FEM;SG
σύμβαση	contracte	σύμβαση	contracte	N;ACC;FEM;SG	N;MASC;SG
σύμβαση	conveni	σύμβαση	conveni	N;ACC;FEM;SG	N;MASC;SG
σύμβαση	convenció	σύμβαση	convenció	N;ACC;FEM;SG	N;FEM;SG
ορισμός	definició	ορισμός	definició	N;NOM;MASC;SG	N;FEM;SG
ιταλικό	italià	ιταλικός	italià	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
πετρελαίου	petroleum	πετρέλαιο	petroleum	N;GEN;NEUT;SG	N;SG
πετρελαίου	petroli	πετρέλαιο	petroli	N;GEN;NEUT;SG	N;MASC;SG
επισκέπτες	visitants	επισκέπτης	visitant	N;NOM;MASC;PL	N;PL
επισκέπτες	convidats	επισκέπτης	convidat	N;NOM;MASC;PL	N;MASC;PL
ορίζει	defineix	ορίζω	definir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
συσκευή	dispositiu	συσκευή	dispositiu	N;NOM;FEM;SG	N;MASC;SG
απαιτήσεις	requeriments	απαίτηση	requeriment	N;NOM;FEM;PL	N;MASC;PL
απαιτήσεις	requisits	απαίτηση	requisit	N;NOM;FEM;PL	N;MASC;PL
απαιτήσεις	exigències	απαίτηση	exigència	N;NOM;FEM;PL	N;FEM;PL
απαιτήσεις	demandes	απαίτηση	demanda	N;NOM;FEM;PL	N;FEM;PL
απαιτήσεις	reclamacions	απαίτηση	reclamació	N;NOM;FEM;PL	N;FEM;PL
απαιτήσεις	pretensions	απαίτηση	pretensió	N;NOM;FEM;PL	N;FEM;PL
υδρογόνο	hidrogen	υδρογόνο	hidrogen	N;NOM;NEUT;SG	N;MASC;SG
πρόποδες	prealps	πρόποδος	prealps	N;NOM;MASC;PL	N;MASC;PL
κατάρρευση	desglossament	κατάρρευση	desglossament	N;ACC;FEM;SG	N;MASC;SG
κατάρρευση	esfondrament	κατάρρευση	esfondrament	N;ACC;FEM;SG	N;MASC;SG
επιχείρημα	argument	επιχείρημα	argument	N;NOM;NEUT;SG	N;MASC;SG
χρήσεις	usos	χρήση	ús	N;NOM;FEM;PL	N;MASC;PL
τομέας	sector	τομέας	sector	N;NOM;MASC;SG	N;MASC;SG
μετατροπή	conversió	μετατροπή	conversió	N;ACC;FEM;SG	N;FEM;SG
αστρονόμος	astrònom	αστρονόμος	astrònom	N;NOM;MASC;SG	N;MASC;SG
εισόδου	entrada	είσοδος	entrada	N;GEN;FEM;SG	N;FEM;SG
εισόδου	input	είσοδος	input	N;GEN;FEM;SG	N;MASC;SG
εισόδου	aportació	είσοδος	aportació	N;GEN;FEM;SG	N;FEM;SG
γεωγραφικά	geogràficament	γεωγραφικά	geogràficament	ADV	ADV
επιχειρήματα	arguments	επιχείρημα	argument	N;NOM;NEUT;PL	N;MASC;PL
ανθολογία	antologia	ανθολογία	antologia	N;NOM;FEM;SG	N;FEM;SG
φρουρά	guàrdia	φρουρά	guàrdia	N;ACC;FEM;SG	N;SG
προσωπικότητες	personalitats	προσωπικότητα	personalitat	N;NOM;FEM;PL	N;FEM;PL
επιπρόσθετα	addicionalment	επιπρόσθετα	addicionalment	ADV	ADV
όπλο	pistola	όπλο	pistola	N;NOM;NEUT;SG	N;FEM;SG
νεαρός	jove	νεαρός	jove	N;NOM;MASC;SG	N;SG
πέτρα	pedra	πέτρο	pedra	N;NOM;FEM;SG	N;FEM;SG
πέτρα	roca	πέτρο	roca	N;NOM;FEM;SG	N;FEM;SG
πέτρα	rock	πέτρο	rock	N;NOM;FEM;SG	N;MASC;SG
διάδοση	difusió	διάδοση	difusió	N;ACC;FEM;SG	N;FEM;SG
κύκλους	cercles	κύκλος	cercle	N;ACC;MASC;PL	N;MASC;PL
κύκλους	cicles	κύκλος	cicle	N;ACC;MASC;PL	N;MASC;PL
θείο	sofre	θείο	sofre	N;NOM;NEUT;SG	N;MASC;SG
ανταλλαγή	comerç	ανταλλαγή	comerç	N;NOM;FEM;SG	N;MASC;SG
ανταλλαγή	intercanvi	ανταλλαγή	intercanvi	N;NOM;FEM;SG	N;MASC;SG
καταστήματα	botigues	κατάστημα	botiga	N;NOM;NEUT;PL	N;FEM;PL
καταστήματα	comerços	κατάστημα	comerç	N;NOM;NEUT;PL	N;MASC;PL
καταστήματα	botigues	κατάστημα	botiga	N;NOM;NEUT;PL	N;FEM;PL
παρατήρηση	observació	παρατήρηση	observació	N;ACC;FEM;SG	N;FEM;SG
μόνιμη	permanent	μόνιμος	permanent	ADJ;NOM;FEM;SG	ADJ;SG
πρωταθλητή	champ	πρωταθλητής	champ	N;ACC;MASC;SG	N;FEM
πρωταθλητή	campió	πρωταθλητής	campió	N;ACC;MASC;SG	N;MASC;SG
πρωταθλητή	campiona	πρωταθλητής	campiona	N;ACC;MASC;SG	N;FEM;SG
δομές	estructures	δομή	estructura	N;NOM;FEM;PL	N;FEM;PL
αρχιτέκτονα	arquitecte	αρχιτέκτονας	arquitecte	N;ACC;MASC;SG	N;MASC;SG
αμυντικός	defensiva	αμυντικός	defensiva	ADJ;NOM;MASC;SG	ADJ;FEM;SG
αμυντικός	defensiu	αμυντικός	defensiu	ADJ;NOM;MASC;SG	ADJ;MASC;SG
αγώνισμα	esdeveniment	αγώνισμα	esdeveniment	N;NOM;NEUT;SG	N;MASC;SG
απόσπασμα	destacament	απόσπασμα	destacament	N;NOM;NEUT;SG	N;MASC;SG
απόσπασμα	despreniment	απόσπασμα	despreniment	N;NOM;NEUT;SG	N;MASC;SG
απόσπασμα	esquadra	απόσπασμα	esquadra	N;NOM;NEUT;SG	N;FEM;SG
κατανόηση	enteniment	κατανόηση	enteniment	N;ACC;FEM;SG	N;MASC;SG
κατανόηση	comprensió	κατανόηση	comprensió	N;ACC;FEM;SG	N;FEM;SG
κατανόηση	entesa	κατανόηση	entesa	N;ACC;FEM;SG	N;FEM;SG
ναζί	nazis	ναζί	nazi	N;NOM;MASC;PL	N;MASC;PL
κορυφές	cims	κορυφή	cim	N;NOM;FEM;PL	N;MASC;PL
κορυφές	pics	κορυφή	pic	N;NOM;FEM;PL	N;MASC;PL
αστέρια	estels	αστέριος	estel	N;NOM;NEUT;PL	N;MASC;PL
αστέρια	estrelles	αστέριος	estrella	N;NOM;NEUT;PL	N;FEM;PL
λευκή	blanc	λευκός	blanc	ADJ;NOM;FEM;SG	ADJ;MASC;SG
συγγενείς	familiars	συγγένης	familiar	N;NOM;MASC;PL	N;PL
συγγενείς	parents	συγγένης	parent	N;NOM;MASC;PL	N;MASC;PL
πολιτιστική	cultural	πολιτιστικός	cultural	ADJ;NOM;FEM;SG	ADJ;SG
περιορισμένη	restringeix	περιορίζω	restringir	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
μετακίνηση	moviment	μετακίνηση	moviment	N;ACC;FEM;SG	N;MASC;SG
κύματα	ones	κύμα	ona	N;NOM;NEUT;PL	N;FEM;PL
κύματα	onades	κύμα	onada	N;NOM;NEUT;PL	N;FEM;PL
φύλλο	fulla	φύλλο	fulla	N;NOM;NEUT;SG	N;FEM;SG
μεταφράσεις	traduccions	μεταφράση	traducció	N;NOM;FEM;PL	N;FEM;PL
οργανισμοί	organitzacions	οργανισμός	organització	N;NOM;MASC;PL	N;FEM;PL
οργανισμοί	organismes	οργανισμός	organisme	N;NOM;MASC;PL	N;MASC;PL
διαπραγματεύσεις	negociacions	διαπραγμάτευση	negociació	N;NOM;FEM;PL	N;FEM;PL
επικράτεια	territori	επικράτεια	territori	N;NOM;FEM;SG	N;MASC;SG
εξωτερικά	externament	εξωτερικά	externament	ADV	ADV
αναμέτρηση	enfrontament	αναμέτρηση	enfrontament	N;ACC;FEM;SG	N;MASC;SG
επίδοση	actuació	επίδοση	actuació	N;ACC;FEM;SG	N;FEM;SG
επίδοση	rendiment	επίδοση	rendiment	N;ACC;FEM;SG	N;MASC;SG
μύθο	mite	μύθος	mite	N;NOM;MASC;SG	N;MASC;SG
μύθο	faula	μύθος	faula	N;NOM;MASC;SG	N;FEM;SG
επώνυμο	cognom	επώνυμο	cognom	N;NOM;NEUT;SG	N;MASC;SG
αποκτά	adquireix	αποκτά	adquirir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
συστατικά	components	συστατικά	component	N;NOM;NEUT;PL	N;MASC;PL
συστατικά	ingredients	συστατικά	ingredient	N;NOM;NEUT;PL	N;MASC;PL
πολιτιστικό	cultural	πολιτιστικός	cultural	ADJ;NOM;NEUT;SG	ADJ;SG
ισλάμ	islam	ισλάμ	islam	N;NOM;NEUT;SG	N;MASC;SG
ρωμαϊκό	romà	ρωμαϊκός	romà	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
πεθαίνει	mor	πεθαίνω	mor	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
γαλαξία	galàxia	γαλαξία	galàxia	N;NOM;MASC;SG	N;FEM;SG
ακριβής	precisa	ακριβής	precisar	ADJ;NOM;MASC;SG	ADJ;FEM;SG
ακριβής	precís	ακριβής	precís	ADJ;NOM;MASC;SG	ADJ;MASC;SG
ακριβής	exacte	ακριβής	exacte	ADJ;NOM;MASC;SG	ADJ;MASC;SG
αίτημα	requeriment	αίτημα	requeriment	N;NOM;NEUT;SG	N;MASC;SG
αίτημα	petició	αίτημα	petició	N;NOM;NEUT;SG	N;FEM;SG
πόλεμοι	guerres	πόλεμος	guerra	N;NOM;MASC;PL	N;FEM;PL
πλήρωμα	tripulació	πλήρωμα	tripulació	N;NOM;NEUT;SG	N;FEM;SG
διανομή	distribució	διανομή	distribució	N;NOM;FEM;SG	N;FEM;SG
χώροι	espais	χώρος	espai	N;NOM;MASC;PL	N;MASC;PL
σταθερό	estable	σταθερός	estable	ADJ;NOM;NEUT;SG	ADJ;SG
σταθερό	corregit	σταθερός	corregir	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
σταθερό	arreglat	σταθερός	arreglar	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
αθλήματα	esports	άθλημα	esport	N;NOM;NEUT;PL	N;MASC;PL
πλαγιές	talussos	πλαγιά	talús	N;NOM;FEM;PL	N;MASC;PL
έθνος	nació	έθνος	nació	N;NOM;NEUT;SG	N;FEM;SG
παρέμβαση	interferència	παρέμβαση	interferència	N;ACC;FEM;SG	N;FEM;SG
παρέμβαση	intervenció	παρέμβαση	intervenció	N;ACC;FEM;SG	N;FEM;SG
ένοπλες	armats	ένοπλος	armat	ADJ;NOM;FEM;PL	ADJ;MASC;PL;V.PTCP
σιδήρου	planxa	σίδηρος	planxa	N;GEN;NEUT;SG	N;FEM;SG
αριστερή	esquerra	αριστερής	esquerre	ADJ;NOM;FEM;SG	ADJ;FEM;SG
έντονο	intens	έντονος	intens	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
πυρκαγιά	incendi	πυρκαγιά	incendi	N;NOM;FEM;SG	N;MASC;SG
οθωμανούς	otomans	οθωμανός	otomà	N;ACC;MASC;PL	N;MASC;PL
μέτρηση	mesura	μέτρηση	mesura	N;NOM;FEM;SG	N;FEM;SG
μέτρηση	mesurament	μέτρηση	mesurament	N;NOM;FEM;SG	N;MASC;SG
επιχειρηματίας	empresari	επιχειρηματίας	empresari	N;NOM;FEM;SG	N;MASC;SG
χαρά	alegria	χαρά	alegria	N;NOM;FEM;SG	N;FEM;SG
χαρά	plaer	χαρά	plaer	N;NOM;FEM;SG	N;MASC;SG
έγγραφο	document	έγγραφο	document	N;NOM;NEUT;SG	N;MASC;SG
καταγραφή	gravació	καταγραφή	gravació	N;ACC;FEM;SG	N;FEM;SG
καταγραφή	enregistrament	καταγραφή	enregistrament	N;ACC;FEM;SG	N;MASC;SG
καταγραφή	matriculació	καταγραφή	matriculació	N;ACC;FEM;SG	N;FEM;SG
καταγραφή	inscripció	καταγραφή	inscripció	N;ACC;FEM;SG	N;FEM;SG
παρόμοιες	similars	παρόμοιος	similar	ADJ;NOM;FEM;PL	ADJ;PL
παρόμοιες	semblants	παρόμοιος	semblant	ADJ;NOM;FEM;PL	ADJ;PL
μετάδοση	transmissió	μετάδοση	transmissió	N;ACC;FEM;SG	N;FEM;SG
μετάδοση	emissió	μετάδοση	emissió	N;ACC;FEM;SG	N;FEM;SG
μετάδοση	radiodifusió	μετάδοση	radiodifusió	N;ACC;FEM;SG	N;FEM;SG
ψυχή	ànima	ψυχή	ànima	N;ACC;FEM;SG	N;FEM;SG
κυπριακή	xipriota	κυπριακός	xipriota	ADJ;NOM;FEM;SG	ADJ;SG
αντιπάλους	opositors	αντίπαλος	opositor	N;ACC;MASC;PL	N;MASC;PL
οικία	residència	οικία	residència	N;NOM;FEM;SG	N;FEM;SG
ζημιές	danys	ζημιά	dany	N;NOM;FEM;PL	N;MASC;PL
ομιλία	discurs	ομιλία	discurs	N;ACC;FEM;SG	N;MASC;SG
ελπίδα	esperança	ελπίδα	esperança	N;NOM;FEM;SG	N;FEM;SG
σύλληψη	arrest	σύλληψη	arrest	N;ACC;FEM;SG	N;MASC;SG
σύλληψη	detenció	σύλληψη	detenció	N;ACC;FEM;SG	N;FEM;SG
αίτηση	aplicació	αίτηση	aplicació	N;NOM;FEM;SG	N;FEM;SG
αίτηση	requeriment	αίτηση	requeriment	N;NOM;FEM;SG	N;MASC;SG
αίτηση	petició	αίτηση	petició	N;NOM;FEM;SG	N;FEM;SG
πλούσιο	ric	πλούσιο	ric	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
πτυχίο	diploma	πτυχίο	diploma	N;NOM;NEUT;SG	N;MASC;SG
πτυχίο	grau	πτυχίο	grau	N;NOM;NEUT;SG	N;MASC;SG
γρήγορη	ràpid	γρήγορος	ràpid	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εξοπλισμό	engranatge	εξοπλισμός	engranatge	N;ACC;MASC;SG	N;MASC;SG
ενδεχομένως	possiblement	ενδεχομένως	possiblement	ADV	ADV
ενδεχομένως	potencialment	ενδεχομένως	potencialment	ADV	ADV
εκπαιδευτικό	educatiu	εκπαιδευτικός	educatiu	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
σοβαρή	seriós	σοβαρός	seriós	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ιατρός	metge	ιατρός	metge	N;NOM;MASC;SG	N;MASC;SG
επιγραφές	inscripcions	επιγραφή	inscripció	N;NOM;FEM;PL	N;FEM;PL
ταξίδια	trajectes	ταξίδι	trajecte	N;NOM;NEUT;PL	N;MASC;PL
ταξίδια	viatges	ταξίδι	viatge	N;NOM;NEUT;PL	N;MASC;PL
θετικές	positius	θετικός	positiu	ADJ;NOM;FEM;PL	ADJ;MASC;PL
φάσεις	fases	φάση	fase	N;NOM;FEM;PL	N;FEM;PL
φάσεις	etapes	φάση	etapa	N;NOM;FEM;PL	N;FEM;PL
ήρωες	herois	ήρωο	heroi	N;NOM;MASC;PL	N;MASC;PL
προορισμό	destinació	προορισμός	destinació	N;ACC;MASC;SG	N;FEM;SG
σκοτώσει	mata	σκοτώνω	matar	V;PFV;NFIN;ACT	V;IND;SG;3;PRS;FIN
τριάντα	trenta	τριάντα	trenta	NUM;NOM;NEUT;PL	NUM;PL
σταθμούς	estacions	σταθμός	estació	N;ACC;MASC;PL	N;FEM;PL
σταθμούς	emissores	σταθμός	emissora	N;ACC;MASC;PL	N;FEM;PL
διαλυτότητα	solubilitat	διαλυτότητα	solubilitat	N;NOM;FEM;SG	N;FEM;SG
αντικατάσταση	substitució	αντικατάσταση	substitució	N;ACC;FEM;SG	N;FEM;SG
τοιχογραφίες	murals	τοιχογραφία	mural	N;NOM;FEM;PL	N;MASC;PL
βιομηχανική	industrial	βιομηχανικός	industrial	ADJ;NOM;FEM;SG	ADJ;SG
συνεργάτης	soci	συνεργάτης	soci	N;NOM;MASC;SG	N;MASC;SG
ασκήσεις	exercicis	άσκηση	exercici	N;NOM;FEM;PL	N;MASC;PL
ασκήσεις	simulacres	άσκηση	simulacre	N;NOM;FEM;PL	N;MASC;PL
εσωτερικά	internament	εσωτερικά	internament	ADV	ADV
επιρροές	influències	επιρροή	influència	N;NOM;FEM;PL	N;FEM;PL
σεναριογράφος	guionista	σεναριογράφος	guionista	N;NOM;MASC;SG	N;SG
υποχρεώσεις	obligacions	υποχρέωση	obligació	N;NOM;FEM;PL	N;FEM;PL
υποχρεώσεις	compromisos	υποχρέωση	compromís	N;NOM;FEM;PL	N;MASC;PL
σπήλαιο	cova	σπήλαιο	cova	N;NOM;NEUT;SG	N;FEM;SG
δέλτα	delta	δέλτα	delta	N;NOM;MASC;SG	N;MASC;SG
ιδιωτική	privat	ιδιωτικός	privat	ADJ;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
δυσκολίες	dificultats	δυσκολία	dificultat	N;NOM;FEM;PL	N;FEM;PL
τάφο	tomba	τάφος	tomba	N;ACC;MASC;SG	N;FEM;SG
ατομικό	individual	ατομικός	individual	ADJ;NOM;NEUT;SG	ADJ;SG
βουλγαρική	búlgar	βουλγάρικος	búlgar	ADJ;NOM;FEM;SG	ADJ;MASC;SG
νομοθεσία	legislació	νομοθεσία	legislació	N;NOM;FEM;SG	N;FEM;SG
αραβική	àrab	αραβικός	àrab	ADJ;NOM;FEM;SG	ADJ;SG
εξετάσεις	proves	εξέταση	prova	N;NOM;FEM;PL	N;FEM;PL
εξετάσεις	exàmens	εξέταση	examen	N;NOM;FEM;PL	N;MASC;PL
συνδυασμός	combinació	συνδυασμός	combinació	N;NOM;MASC;SG	N;FEM;SG
λάθη	errors	λάθος	error	N;NOM;NEUT;PL	N;MASC;PL
αντάρτες	guerrillers	αντάρτης	guerriller	N;NOM;MASC;PL	N;MASC;PL
αντάρτες	insurgents	αντάρτης	insurgent	N;NOM;MASC;PL	N;PL
αντάρτες	partisans	αντάρτης	partisà	N;NOM;MASC;PL	N;MASC;PL
διατριβή	tesi	διατριβός	tesi	N;NOM;FEM;SG	N;FEM;SG
συνέπειες	conseqüències	συνέπεια	conseqüència	N;NOM;FEM;PL	N;FEM;PL
συνέπειες	implicacions	συνέπεια	implicació	N;NOM;FEM;PL	N;FEM;PL
φιλοσοφική	filosòfic	φιλοσοφικός	filosòfic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
προσωπικότητα	personalitat	προσωπικότητα	personalitat	N;ACC;FEM;SG	N;FEM;SG
οπαδούς	seguidors	οπαδός	seguidor	N;ACC;MASC;PL	N;MASC;PL
ιερέας	sacerdot	ιερία	sacerdot	N;NOM;MASC;SG	N;MASC;SG
νικώντας	vèncer	νικώ	vèncer	V;IPFV;V.CVB;ACT	V;NFIN
επισκοπή	diòcesi	επισκοπή	diòcesi	N;NOM;FEM;SG	N;FEM;SG
ξενοδοχείο	hotel	ξενοδοχείο	hotel	N;NOM;NEUT;SG	N;MASC;SG
επισήμως	formalment	επίσημα	formalment	ADV	ADV
επισήμως	oficialment	επίσημα	oficialment	ADV	ADV
στόχους	objectius	στόχος	objectiu	N;ACC;MASC;PL	N;MASC;PL
επαγγελματικό	professional	επαγγελματικός	professional	ADJ;NOM;NEUT;SG	ADJ;SG
κίνδυνος	risc	κίνδυνος	risc	N;NOM;MASC;SG	N;MASC;SG
κίνδυνος	perillositat	κίνδυνος	perillositat	N;NOM;MASC;SG	N;FEM;SG
κίνδυνος	perill	κίνδυνος	perill	N;NOM;MASC;SG	N;MASC;SG
σχεδιασμού	planificació	σχεδιασμός	planificació	N;GEN;MASC;SG	N;FEM;SG
σχεδιασμού	planejament	σχεδιασμός	planejament	N;GEN;MASC;SG	N;MASC;SG
φυσικοί	físics	φυσικός	físic	ADJ;NOM;MASC;PL	ADJ;MASC;PL
κατανάλωση	consum	κατανάλωση	consum	N;ACC;FEM;SG	N;MASC;SG
μωάμεθ	muhammad	μωάμεθ	muhammad	N;NOM;NEUT;SG	N;MASC;SG
διάγνωση	diagnosi	διάγνωση	diagnosi	N;NOM;FEM;SG	N;FEM;SG
διάγνωση	diagnòstic	διάγνωση	diagnòstic	N;NOM;FEM;SG	N;MASC;SG
μεταφορές	transferències	μεταφορά	transferència	N;NOM;FEM;PL	N;FEM;PL
μεταφορές	trasllats	μεταφορά	trasllat	N;NOM;FEM;PL	N;MASC;PL
μεταφορές	transports	μεταφορά	transport	N;NOM;FEM;PL	N;MASC;PL
εταιρίες	corporacions	εταιρία	corporació	N;NOM;FEM;PL	N;FEM;PL
εταιρίες	empreses	εταιρία	empresa	N;NOM;FEM;PL	N;FEM;PL
εταιρίες	companyies	εταιρία	companyia	N;NOM;FEM;PL	N;FEM;PL
φάρμακα	medicaments	φάρμακο	medicament	N;NOM;NEUT;PL	N;MASC;PL
δυναμική	dinàmic	δυναμικός	dinàmic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
κατάλληλο	apropiat	κατάλληλος	apropiar	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
ακτίνα	feix	ακτίνα	fer	N;ACC;FEM;SG	N;MASC;SG
ακτίνα	radi	ακτίνα	radi	N;ACC;FEM;SG	N;MASC;SG
συνεργάτες	socis	συνεργάτης	soci	N;NOM;MASC;PL	N;MASC;PL
εναλλακτική	alternatiu	εναλλακτικός	alternatiu	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εναλλακτική	alternatiu	εναλλακτικός	alternatiu	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εξίσου	igualment	εξίσου	igualment	ADV	ADV
εκφράσεις	expressions	έκφραση	expressió	N;NOM;FEM;PL	N;FEM;PL
μύθος	mite	μύθος	mite	N;NOM;MASC;SG	N;MASC;SG
έξοδο	sortida	έξοδος	sortida	N;ACC;FEM;SG	N;FEM;SG
ισορροπία	balanç	ισορροπία	balanç	N;ACC;FEM;SG	N;MASC;SG
ισορροπία	saldo	ισορροπία	saldo	N;ACC;FEM;SG	N;MASC;SG
ισορροπία	equilibri	ισορροπία	equilibri	N;ACC;FEM;SG	N;MASC;SG
ισορροπία	equilibri	ισορροπία	equilibri	N;ACC;FEM;SG	N;MASC;SG
ισπανός	espanyol	ισπανός	espanyol	ADJ;NOM;MASC;SG	ADJ;MASC;SG
τυπική	típica	τυπικός	típic	ADJ;NOM;FEM;SG	ADJ;FEM;SG
τυπική	típic	τυπικός	típic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εξελίξεις	desenvolupaments	εξέλιξη	desenvolupament	N;NOM;FEM;PL	N;MASC;PL
ρυθμός	taxa	ρυθμός	taxa	N;NOM;MASC;SG	N;FEM;SG
συνασπισμού	coalició	συνασπισμός	coalició	N;GEN;MASC;SG	N;FEM;SG
κάστρα	castells	κάστρα	castell	N;NOM;NEUT;PL	N;MASC;PL
θεατές	espectadors	θεατός	espectador	N;NOM;MASC;PL	N;MASC;PL
θεατές	espectadors	θεατός	espectador	N;NOM;MASC;PL	N;MASC;PL
σφαγή	massacre	σφαγή	massacre	N;ACC;FEM;SG	N;FEM;SG
σουλτάνος	sultà	σουλτάνος	sultà	N;NOM;MASC;SG	N;MASC;SG
ελαφρά	lleugerament	ελαφρά	lleugerament	ADV	ADV
μέταλλα	metalls	μέταλλος	metall	N;NOM;NEUT;PL	N;MASC;PL
σκηνοθέτες	directors	σκηνοθέτης	director	N;NOM;MASC;PL	N;MASC;PL
χορός	dansa	χορός	dansa	N;NOM;MASC;SG	N;FEM;SG
κύμα	ona	κύμα	ona	N;NOM;NEUT;SG	N;FEM;SG
κέρματα	monedes	κέρμα	moneda	N;NOM;NEUT;PL	N;FEM;PL
βία	violència	βία	violència	N;NOM;FEM;SG	N;FEM;SG
πρωταγωνίστησε	protagonitzar	πρωταγωνίζω	protagonitzar	V;PFV;IND;SG;3;PST;FIN;ACT	V;NFIN
πύλες	gates	πύλη	gata	N;NOM;FEM;PL	N;PL
πύλες	portals	πύλη	portal	N;NOM;FEM;PL	N;MASC;PL
κορίτσι	noia	κορίτσι	noia	N;NOM;NEUT;SG	N;FEM;SG
εγγονός	nét	εγγονός	nét	N;NOM;MASC;SG	N;MASC;SG
