年	año	年	año	N	N;MASC;SG
標題	título	標題	título	N	N;MASC;SG
標題	títulos	標題	título	N	N;MASC;PL
標題	rúbricas	標題	rúbrica	N	N;FEM;PL
標題	epígrafes	標題	epígraf	N	N;MASC;PL
標題	encabezamientos	標題	encabezamiento	N	N;MASC;PL
想法	ideas	想法	idea	N	N;FEM;PL
想法	pensamiento	想法	pensamiento	N	N;MASC;SG
想法	pensamientos	想法	pensamiento	N	N;MASC;PL
戀愛	koi	戀愛	koi	N	N;MASC;SG
戀愛	amor	戀愛	amor	N	N;MASC;SG
戀愛	amores	戀愛	amor	N	N;MASC;PL
戀愛	love	戀愛	love	N	N
戀愛	parentesco	戀愛	parentesco	N	N;MASC;SG
戀愛	relación	戀愛	relación	N	N;FEM;SG
戀愛	relacion	戀愛	relacion	N	N;FEM;SG
戀愛	relaciones	戀愛	relación	N	N;FEM;PL
傳播	difundiendo	傳播	difundir	V	V;V.MSDR
傳播	difundir	傳播	difundir	V	V;NFIN
傳播	difundir	傳播	difundir	V	V;NFIN
等級	nivel	等級	nivel	N	N;MASC;SG
等級	level	等級	level	N	N
等級	jerarquías	等級	jerarquía	N	N;FEM;PL
等級	jerarquía	等級	jerarquía	N	N;FEM;SG
等級	grado	等級	grado	N	N;MASC;SG
等級	grados	等級	grado	N	N;MASC;PL
英尺	pies	英尺	pie	N	N;MASC;PL
英尺	foot	英尺	foot	N	N
英尺	pie	英尺	pie	N	N;MASC;SG
市	ayuntamientos	市	ayuntamiento	N	N;MASC;PL
市	municipios	市	municipio	N	N;MASC;PL
市	municipalidades	市	municipalidad	N	N;FEM;PL
興趣	intereses	興趣	interés	N	N;MASC;PL
興趣	interes	興趣	inter	N	N;MASC;SG
興趣	interés	興趣	interés	N	N;MASC;SG
興趣	intereses	興趣	interés	N	N;MASC;PL
允許	permitir	允許	permitir	V	V;NFIN
理念	concepto	理念	concepto	N	N;MASC;SG
理念	filosofía	理念	filosofía	N	N;FEM;SG
理念	conceptos	理念	concepto	N	N;MASC;PL
理念	nociones	理念	noción	N	N;FEM;PL
桃園	taoyuan	桃園	taomuar	N	N;MASC;SG
鼻	nariz	鼻	nariz	N	N;FEM;SG
怪	impares	怪	impar	N	N;MASC;PL
差異	diferencias	差異	diferencia	N	N;FEM;PL
差異	discrepancia	差異	discrepancia	N	N;FEM;SG
差異	discrepancias	差異	discrepancia	N	N;FEM;PL
差異	diferencia	差異	diferencia	N	N;FEM;SG
差異	variación	差異	variación	N	N;FEM;SG
差異	diferencia	差異	diferencia	N	N;FEM;SG
員工	empleados	員工	empleado	N	N;MASC;PL
員工	trabajador	員工	trabajador	N	N;MASC;SG
員工	empleados	員工	empleado	N	N;MASC;PL
綠色	green	綠色	green	N	N;SG
車隊	flota	車隊	flota	N	N;FEM;SG
車隊	flotas	車隊	flota	N	N;FEM;PL
車隊	convoy	車隊	convoy	N	N;MASC;SG
車隊	comitiva	車隊	comitiva	N	N;FEM;SG
單元	módulos	單元	módulo	N	N;MASC;PL
單元	módulo	單元	módulo	N	N;MASC;SG
單元	modulo	單元	modulo	N	N;MASC;SG
單元	módulos	單元	módulo	N	N;MASC;PL
單元	unidades	單元	unidad	N	N;FEM;PL
單元	unit	單元	unit	N	N
單元	unidad	單元	unidad	N	N;FEM;SG
英吋	centímetro	英吋	centímetro	N	N;MASC;SG
英吋	pulgadas	英吋	pulgado	N	N;FEM;PL
英吋	pulgadas	英吋	pulgado	N	N;FEM;PL
英吋	centímetros	英吋	centímetro	N	N;MASC;PL
神秘	misteriosa	神秘	misterioso	ADJ	ADJ;FEM;SG
神秘	misterioso	神秘	misterioso	ADJ	ADJ;MASC;SG
神秘	misteriosos	神秘	misterioso	ADJ	ADJ;MASC;PL
神秘	misterioso	神秘	misterioso	ADJ	ADJ;MASC;SG
神秘	misteriosas	神秘	misterioso	ADJ	ADJ;FEM;PL
神秘	misteriosa	神秘	misterioso	ADJ	ADJ;FEM;SG
槽	tragamonedas	槽	tragamonedo	N	N;FEM;PL
槽	ranura	槽	ranura	N	N;FEM;SG
槽	tragamonedas	槽	tragamonedo	N	N;FEM;PL
槽	slots	槽	slot	N	N;MASC;PL
槽	tragaperras	槽	tragaperra	N	N;FEM;PL
槽	ranuras	槽	ranura	N	N;FEM;PL
槽	surco	槽	surco	N	N;MASC;SG
槽	groove	槽	groove	N	N;MASC;SG
尊重	respeto	尊重	respeto	N	N;MASC;SG
溫度	temperatura	溫度	temperatura	N	N;FEM;SG
溫度	temperaturas	溫度	temperatura	N	N;FEM;PL
溫度	temperaturas	溫度	temperatura	N	N;FEM;PL
砲	cañón	砲	cañón	N	N;MASC;SG
砲	cañones	砲	cañón	N	N;MASC;PL
砲	cañon	砲	cañon	N	N;MASC;SG
星光	starlight	星光	starlight	N	N
真實	real	真實	real	ADJ	ADJ;SG
真實	reales	真實	real	ADJ	ADJ;PL
真實	verdadero	真實	verdadero	ADJ	ADJ;MASC;SG
真實	cierto	真實	cierto	ADJ	ADJ;MASC;SG
真實	verdadera	真實	verdadero	ADJ	ADJ;FEM;SG
真實	verdadero	真實	verdadero	ADJ	ADJ;MASC;SG
援助	ayuda	援助	ayuda	N	N;FEM;SG
援助	ayudas	援助	ayuda	N	N;FEM;PL
援助	asistencia	援助	asistencia	N	N;FEM;SG
意識	consciencia	意識	consciencia	N	N;FEM;SG
意識	conciencia	意識	conciencia	N	N;FEM;SG
觀點	perspectivas	觀點	perspectiva	N	N;FEM;PL
觀點	perspectiva	觀點	perspectiva	N	N;FEM;SG
色彩	color	色彩	color	N	N;MASC;SG
色彩	colores	色彩	color	N	N;MASC;PL
色彩	colorantes	色彩	colorante	N	N;PL
色彩	color	色彩	color	N	N;MASC;SG
色彩	colores	色彩	color	N	N;MASC;PL
加強	fortaleciendo	加強	fortalecer	V	V;V.MSDR
加強	reforzar	加強	reforzar	V	V;NFIN
加強	fortalecer	加強	fortalecer	V	V;NFIN
襲擊	atentados	襲擊	atentado	N	N;MASC;PL
襲擊	ataques	襲擊	ataque	N	N;MASC;PL
襲擊	ataque	襲擊	ataque	N	N;MASC;SG
襲擊	atentado	襲擊	atentado	N	N;MASC;SG
冒險	aventureros	冒險	aventurero	N	N;MASC;PL
冒險	aventura	冒險	aventura	N	N;FEM;SG
冒險	aventuras	冒險	aventura	N	N;FEM;PL
冒險	aventuras	冒險	aventura	N	N;FEM;PL
冒險	adventures	冒險	adventur	N	N
懷	huai	懷	huai	N	N;MASC;SG
公告	proclama	公告	proclamar	V	V;IND;SG;3;PRS;FIN
儀式	ceremonia	儀式	ceremonia	N	N;FEM;SG
儀式	ceremonias	儀式	ceremonia	N	N;FEM;PL
儀式	rito	儀式	rito	N	N;MASC;SG
成熟	vencimientos	成熟	vencimiento	N	N;MASC;PL
成熟	vencimiento	成熟	vencimiento	N	N;MASC;SG
成熟	madurez	成熟	madurez	N	N;FEM;SG
成熟	maduras	成熟	maduro	N	N;FEM;PL
成熟	maduras	成熟	maduro	N	N;FEM;PL
容量	capacidad	容量	capacidad	N	N;FEM;SG
證據	comprobante	證據	comprobante	N	N;MASC;SG
證據	prueba	證據	prueba	N	N;FEM;SG
證據	pruebas	證據	prueba	N	N;FEM;PL
證據	evidencia	證據	evidencia	N	N;FEM;SG
證據	evidencias	證據	evidencia	N	N;FEM;PL
證據	pruebas	證據	prueba	N	N;FEM;PL
廢除	revocar	廢除	revocar	V	V;NFIN
發明	inventar	發明	inventar	V	V;NFIN
發明	inventa	發明	inventar	V	V;IND;SG;3;PRS;FIN
發明	inventamos	發明	inventar	V	V;IND;PL;1;PRS;FIN
發明	inventó	發明	inventar	V	V;IND;SG;3;PST;FIN
發明	inventamos	發明	inventar	V	V;IND;PL;1;PRS;FIN
公社	comuna	公社	comuna	N	N;FEM;SG
公社	comunas	公社	comuna	N	N;FEM;PL
傳奇	legend	傳奇	legend	N	N
傳奇	leyenda	傳奇	leyenda	N	N;FEM;SG
傳奇	legendarios	傳奇	legendario	N	N;MASC;PL
傳奇	leyendas	傳奇	leyenda	N	N;FEM;PL
傳奇	leyenda	傳奇	leyenda	N	N;FEM;SG
苦	amargura	苦	amargura	N	N;FEM;SG
岩石	rocks	岩石	rocks	N	N;MASC
岩石	rocas	岩石	roca	N	N;FEM;PL
岩石	piedras	岩石	piedra	N	N;FEM;PL
岩石	rocas	岩石	roca	N	N;FEM;PL
岩石	piedra	岩石	piedra	N	N;FEM;SG
岩石	roca	岩石	roca	N	N;FEM;SG
岩石	rock	岩石	rock	N	N;MASC;SG
觀察	observar	觀察	observar	V	V;NFIN
觀察	observe	觀察	observar	V	V;IMP;SG;3;FIN
觀察	observen	觀察	observar	V	V;IMP;PL;3;FIN
觀察	observa	觀察	observar	V	V;IND;SG;3;PRS;FIN
碟	disco	碟	disco	N	N;MASC;SG
碟	disco	碟	disco	N	N;MASC;SG
更好	mejores	更好	mejor	ADJ	ADJ;PL
好友	friends	好友	friends	N	N
好友	amigos	好友	amigo	N	N;MASC;PL
好友	amigas	好友	amiga	N	N;FEM;PL
好友	amigo	好友	amigo	N	N;MASC;SG
好友	friend	好友	friend	N	N
好友	amiga	好友	amiga	N	N;FEM;SG
殖民	colonización	殖民	colonización	N	N;FEM;SG
序列	secuencia	序列	secuencia	N	N;FEM;SG
序列	secuencias	序列	secuencia	N	N;FEM;PL
序列	sucesión	序列	sucesión	N	N;FEM;SG
支付	pagar	支付	pagar	V	V;NFIN
支付	paga	支付	pagar	V	V;IND;SG;3;PRS;FIN
支付	pague	支付	pagar	V	V;IMP;SG;3;FIN
道德	moraleja	道德	moraleja	N	N;FEM;SG
道德	moral	道德	moral	N	N;FEM;SG
道德	moral	道德	moral	N	N;FEM;SG
道德	moralidad	道德	moralidad	N	N;FEM;SG
道德	moral	道德	moral	N	N;FEM;SG
分割	dividir	分割	dividir	V	V;NFIN
福利	ventajas	福利	ventaja	N	N;FEM;PL
福利	prestaciones	福利	prestación	N	N;FEM;PL
福利	beneficios	福利	beneficio	N	N;MASC;PL
福利	bienestar	福利	bienestar	N	N;MASC;SG
豹	leopardo	豹	leopardo	N	N;MASC;SG
豹	pantera	豹	pantera	N	N;FEM;SG
慈善	beneficencia	慈善	beneficencia	N	N;FEM;SG
慈善	caridad	慈善	caridad	N	N;FEM;SG
慈善	filantropía	慈善	filantropía	N	N;FEM;SG
慈善	beneficencia	慈善	beneficencia	N	N;FEM;SG
慈善	caridad	慈善	caridad	N	N;FEM;SG
星期	domingos	星期	domingo	N	N;MASC;PL
星期	domingo	星期	domingo	N	N
網球	tenis	網球	tenis	N	N;MASC
建築	construyendo	建築	construir	V	V;V.MSDR
河口	bayou	河口	bayou	N	N;MASC;SG
河口	estuario	河口	estuario	N	N;MASC;SG
姊妹	hermanas	姊妹	hermana	N	N;FEM;PL
姊妹	sister	姊妹	sister	N	N
姊妹	hermana	姊妹	hermana	N	N;FEM;SG
哲學	filosofía	哲學	filosofía	N	N;FEM;SG
方程	ecuación	方程	ecuación	N	N;FEM;SG
方程	ecuaciones	方程	ecuación	N	N;FEM;PL
味	sabor	味	sabor	N	N;MASC;SG
完善	refinamiento	完善	refinamiento	N	N;MASC;SG
完善	perfeccionamiento	完善	perfeccionamiento	N	N;MASC;SG
完善	perfección	完善	perfección	N	N;FEM;SG
地形	topografía	地形	topografía	N	N;FEM;SG
地形	terrenos	地形	terreno	N	N;MASC;PL
地形	terreno	地形	terreno	N	N;MASC;SG
藍色	blue	藍色	blue	N	N
維修	reparar	維修	reparar	V	V;NFIN
詳細	detalle	詳細	detalle	N	N;MASC;SG
兔	liebre	兔	liebre	N	N;FEM;SG
兔	conejos	兔	conejo	N	N;MASC;PL
兔	conejo	兔	conejo	N	N;MASC;SG
書店	librería	書店	librería	N	N;FEM;SG
書店	librería	書店	librería	N	N;FEM;SG
書店	librerías	書店	librería	N	N;FEM;PL
接觸	contactar	接觸	contactar	V	V;NFIN
接觸	contacta	接觸	contacta	V	V;IND;SG;3;PRS;FIN
很好	agradable	很好	agradable	ADJ	ADJ;SG
很好	bonita	很好	bonito	ADJ	ADJ;FEM;SG
很好	bonito	很好	bonito	ADJ	ADJ;MASC;SG
很好	lindo	很好	lindo	ADJ	ADJ;MASC;SG
很好	linda	很好	linda	ADJ	ADJ;FEM;SG
懷疑	dudar	懷疑	dudar	V	V;NFIN
懷疑	dudo	懷疑	dudo	V	V;IMP;SG;1;PRS;FIN
量子	cuántico	量子	cuántico	N	N;MASC;SG
量子	cuántica	量子	cuántico	N	N;FEM;SG
掌握	dominando	掌握	dominar	V	V;V.MSDR
掌握	dominar	掌握	dominar	V	V;NFIN
流量	caudal	流量	caudal	N	N;MASC;SG
流量	flow	流量	flow	N	N
流量	flujo	流量	flujo	N	N;MASC;SG
推薦	sugirió	推薦	sugerir	V	V;IND;SG;3;PST;FIN
推薦	recomendamos	推薦	recomendar	V	V;IND;PL;1;PRS;FIN
推薦	recomendar	推薦	recomendar	V	V;NFIN
推薦	recomiendo	推薦	recomender	V	V;V.MSDR
推薦	recomienda	推薦	recomendar	V	V;IND;SG;3;PRS;FIN
推薦	recomienda	推薦	recomendar	V	V;IND;SG;3;PRS;FIN
推薦	recomendó	推薦	recomendar	V	V;IND;SG;3;PST;FIN
吉他	guitarra	吉他	guitarra	N	N;FEM;SG
吉他	guitarras	吉他	guitarra	N	N;FEM;PL
矛盾	paradoja	矛盾	paradoja	N	N;FEM;SG
矛盾	paradojas	矛盾	paradoja	N	N;FEM;PL
矛盾	contradicciones	矛盾	contradicción	N	N;FEM;PL
矛盾	contradicción	矛盾	contradicción	N	N;FEM;SG
激烈	fiero	激烈	fiero	ADJ	ADJ;MASC;SG
激烈	feroz	激烈	feroz	ADJ	ADJ;SG
激烈	feroces	激烈	feroz	ADJ	ADJ;PL
激烈	intensos	激烈	intenso	ADJ	ADJ;MASC;PL
激烈	intensa	激烈	intenso	ADJ	ADJ;FEM;SG
激烈	intensas	激烈	intenso	ADJ	ADJ;FEM;PL
激烈	intenso	激烈	intenso	ADJ	ADJ;MASC;SG
方程	formula	方程	formula	N	N;FEM;SG
方程	fórmula	方程	fórmula	N	N;FEM;SG
方程	ecuación	方程	ecuación	N	N;FEM;SG
方程	ecuaciones	方程	ecuación	N	N;FEM;PL
課	lección	課	lección	N	N;FEM;SG
膜	membrana	膜	membrana	N	N;FEM;SG
演化	evolucionar	演化	evolucionar	V	V;NFIN
演化	evoluciona	演化	evolucionar	V	V;IND;SG;3;PRS;FIN
演化	evolucionar	演化	evolucionar	V	V;NFIN
演化	evolucionando	演化	evolucionar	V	V;V.MSDR
鏈	cadenas	鏈	cadena	N	N;FEM;PL
鏈	cadena	鏈	cadena	N	N;FEM;SG
神社	santuario	神社	santuario	N	N;MASC;SG
神社	jinja	神社	jinja	N	N;MASC;SG
磁	magnetismo	磁	magnetismo	N	N;MASC;SG
鄰近	contiguo	鄰近	contiguo	N	N;MASC;SG
構造	construir	構造	construir	V	V;NFIN
射擊	disparos	射擊	disparo	N	N;MASC;PL
射擊	disparo	射擊	disparo	N	N;MASC;SG
射擊	tiroteo	射擊	tiroteo	N	N;MASC;SG
射擊	tiro	射擊	tiro	N	N;MASC;SG
射擊	rodaje	射擊	rodaje	N	N;MASC;SG
滑	tobogán	滑	tobogán	N	N;MASC;SG
滑	diapositiva	滑	diapositivo	N	N;FEM;SG
滑	desliz	滑	desliz	N	N;MASC;SG
滑	deslizamiento	滑	deslizamiento	N	N;MASC;SG
姓名	nombre	姓名	nombre	N	N;MASC;SG
姓名	name	姓名	name	N	N
姓名	denominación	姓名	denominación	N	N;FEM;SG
姓名	nombres	姓名	nombre	N	N;MASC;PL
跑道	pista	跑道	pista	N	N;FEM;SG
跑道	pasarela	跑道	pasarela	N	N;FEM;SG
原理	principio	原理	principio	N	N;MASC;SG
原理	principios	原理	principio	N	N;MASC;PL
原理	doctrina	原理	doctrina	N	N;FEM;SG
條例	reglamento	條例	reglamento	N	N;MASC;SG
條例	reglamentaciones	條例	reglamentación	N	N;FEM;PL
條例	reglamentos	條例	reglamento	N	N;MASC;PL
條例	regulaciones	條例	regulación	N	N;FEM;PL
條例	normativa	條例	normativa	N	N;FEM;SG
條例	reglamentación	條例	reglamentación	N	N;FEM;SG
條例	ordenanza	條例	ordenanza	N	N;FEM;SG
條例	reglamentación	條例	reglamentación	N	N;FEM;SG
條例	reglamento	條例	reglamento	N	N;MASC;SG
條例	regulación	條例	regulación	N	N;FEM;SG
主管	supervisora	主管	supervisora	N	N;FEM;SG
主管	supervisor	主管	supervisor	N	N;MASC;SG
補充	complementar	補充	complementar	V	V;NFIN
責任	responsabilidad	責任	responsabilidad	N	N;FEM;SG
責任	responsabilidades	責任	responsabilidad	N	N;FEM;PL
責任	responsabilidad	責任	responsabilidad	N	N;FEM;SG
得分	puntuación	得分	puntuación	N	N;FEM;SG
得分	partitura	得分	partitura	N	N;FEM;SG
大眾	volkswagen	大眾	volkswagen	N	N;MASC;SG
彗星	cometa	彗星	cometer	N	N;SG
彗星	cometas	彗星	cometa	N	N;MASC;PL
山坡	ladera	山坡	ladera	N	N;FEM;SG
山坡	pistas	山坡	pista	N	N;FEM;PL
山坡	laderas	山坡	ladera	N	N;FEM;PL
敵人	enemigo	敵人	enemigo	N	N;MASC;SG
敵人	enemigos	敵人	enemigo	N	N;MASC;PL
箭	flechas	箭	flecha	N	N;FEM;PL
箭	flecha	箭	flecha	N	N;FEM;SG
箭	arrow	箭	arrow	N	N
櫻	sakura	櫻	sakura	N	N;FEM;SG
警報	alerta	警報	alerta	N	N;FEM;SG
警報	alertas	警報	alerta	N	N;FEM;PL
胺	amina	胺	amina	N	N;FEM;SG
餐廳	restaurantes	餐廳	restaurante	N	N;PL
餐廳	restaurante	餐廳	restaurante	N	N;SG
餐廳	restaurantes	餐廳	restaurante	N	N;PL
簽署	firmando	簽署	firmar	V	V;V.MSDR
簽署	firmar	簽署	firmar	V	V;NFIN
紅外	infrarrojos	紅外	infrarrojo	N	N;MASC;PL
紅外	infrarrojo	紅外	infrarrojo	N	N;MASC;SG
紅外	infrarroja	紅外	infrarroja	N	N;FEM;SG
酶	enzimas	酶	enzima	N	N;FEM;PL
酶	enzimas	酶	enzima	N	N;FEM;PL
酶	enzima	酶	enzima	N	N;FEM;SG
黑人	black	黑人	black	N	N
黑人	negros	黑人	negro	N	N;MASC;PL
鹽	sal	鹽	sal	N	N;FEM;SG
向量	vectores	向量	vector	N	N;MASC;PL
向量	vectores	向量	vector	N	N;MASC;PL
態度	actitud	態度	actitud	N	N;FEM;SG
態度	actitudes	態度	actitud	N	N;FEM;PL
態度	actitud	態度	actitud	N	N;FEM;SG
成分	ingredientes	成分	ingrediente	N	N;MASC;PL
成分	ingrediente	成分	ingrediente	N	N;MASC;SG
模特	modelos	模特	modelo	N	N;MASC;PL
模特	maquetas	模特	maqueta	N	N;FEM;PL
模特	modelos	模特	modelo	N	N;MASC;PL
模特	maqueta	模特	maqueta	N	N;FEM;SG
模特	modelo	模特	modelo	N	N;MASC;SG
防禦	defensas	防禦	defensa	N	N;PL
防禦	defensa	防禦	defensa	N	N;SG
簽名	señal	簽名	señal	N	N;FEM;SG
簽名	firma	簽名	firma	N	N;FEM;SG
簽名	signo	簽名	signo	N	N;MASC;SG
簽名	firma	簽名	firma	N	N;FEM;SG
簽名	firmas	簽名	firma	N	N;FEM;PL
回歸	regresar	回歸	regresar	V	V;NFIN
定理	teorema	定理	teorema	N	N;MASC;SG
損失	pérdidas	損失	pérdida	N	N;FEM;PL
損失	pérdida	損失	pérdida	N	N;FEM;SG
損失	pérdidas	損失	pérdida	N	N;FEM;PL
注入	inyectar	注入	inyectar	V	V;NFIN
獅	león	獅	león	N	N;MASC;SG
推廣	promocionar	推廣	promocionar	V	V;NFIN
推廣	promover	推廣	promover	V	V;NFIN
推廣	promueva	推廣	promueva	V	V;SBJV;SG;3;FIN
推廣	promociona	推廣	promocionar	V	V;IND;SG;3;PRS;FIN
僧	monje	僧	monje	N	N;MASC;SG
升級	actualizar	升級	actualizar	V	V;NFIN
升級	actualizando	升級	actualizar	V	V;V.MSDR
嘗試	pruebe	嘗試	probar	V	V;IMP;SG;3;FIN
嘗試	probar	嘗試	probar	V	V;NFIN
嘗試	intente	嘗試	intentar	V	V;SBJV;SG;3;PRS;FIN
嘗試	tratar	嘗試	tratar	V	V;NFIN
嘗試	intentando	嘗試	intentar	V	V;V.MSDR
嘗試	probando	嘗試	probar	V	V;V.MSDR
嘗試	tratando	嘗試	tratar	V	V;V.MSDR
嘗試	intento	嘗試	intentar	V	V;IND;SG;1;PRS;FIN
財政	fiscal	財政	fiscal	N	N;SG
氣象	meteorología	氣象	meteorología	N	N;FEM;SG
氣象	meteorología	氣象	meteorología	N	N;FEM;SG
氣象	clima	氣象	clima	N	N;MASC;SG
氣象	tiempo	氣象	tiempo	N	N;MASC;SG
氣象	meteorología	氣象	meteorología	N	N;FEM;SG
人文	humanidades	人文	humanidad	N	N;FEM;PL
魚類	pescado	魚類	pescado	N	N;MASC;SG
魚類	pesca	魚類	pesca	N	N;FEM;SG
魚類	peces	魚類	pez	N	N;MASC;PL
魚類	pescados	魚類	pescado	N	N;MASC;PL
魚類	pez	魚類	pez	N	N;MASC;SG
造型	modelar	造型	modelar	V	V;NFIN
書籍	libros	書籍	libro	N	N;MASC;PL
書籍	libro	書籍	libro	N	N;MASC;SG
各國	paises	各國	pais	N	N;MASC;PL
各國	países	各國	país	N	N;MASC;PL
施工	construcción	施工	construcción	N	N;FEM;SG
施工	construcciones	施工	construcción	N	N;FEM;PL
施工	construccion	施工	construcciar	N	N;FEM;SG
效率	eficiencia	效率	eficiencia	N	N;FEM;SG
效率	eficacia	效率	eficacia	N	N;FEM;SG
六十	sesenta	六十	sesenta	NUM	NUM;PL
地域	geografía	地域	geografía	N	N;FEM;SG
函數	función	函數	función	N	N;FEM;SG
函數	funciones	函數	función	N	N;FEM;PL
勳章	medalla	勳章	medalla	N	N;FEM;SG
勳章	medallas	勳章	medalla	N	N;FEM;PL
勳章	medallas	勳章	medalla	N	N;FEM;PL
為何	porqué	為何	porqué		
大橋	bridge	大橋	bridge	N	N;MASC;SG
大橋	puente	大橋	puente	N	N;MASC;SG
征服	conquistar	征服	conquistar	V	V;NFIN
征服	conquistando	征服	conquistar	V	V;V.MSDR
征服	conquistar	征服	conquistar	V	V;NFIN
聚集	reuniendo	聚集	reunir	V	V;V.MSDR
定位	posicionamiento	定位	posicionamiento	N	N;MASC;SG
弓	arcos	弓	arco	N	N;MASC;PL
弓	moño	弓	moño	N	N;MASC;SG
弓	reverencia	弓	reverencia	N	N;FEM;SG
弓	arco	弓	arco	N	N;MASC;SG
弓	proa	弓	proa	N	N;FEM;SG
弓	bow	弓	bow	N	N
女	actrices	女	actriz	N	N;FEM;PL
女	actriz	女	actriz	N	N;FEM;SG
防守	defensas	防守	defensa	N	N;PL
防守	defensa	防守	defensa	N	N;SG
校友	alumnos	校友	alumno	N	N;MASC;PL
蛋	huevos	蛋	huevo	N	N;MASC;PL
蛋	huevo	蛋	huevo	N	N;MASC;SG
蛋	huevo	蛋	huevo	N	N;MASC;SG
蛋	óvulo	蛋	óvulo	N	N;MASC;SG
鱷	cocodrilo	鱷	cocodrilo	N	N;MASC;SG
鱷	cocodrilos	鱷	cocodrilo	N	N;MASC;PL
關閉	cierra	關閉	cerrar	V	V;IND;SG;3;PRS;FIN
關閉	cerrar	關閉	cerrar	V	V;NFIN
口徑	calibre	口徑	calibre	N	N;MASC;SG
口徑	calibre	口徑	calibre	N	N;MASC;SG
裁判	árbitro	裁判	árbitro	N	N;MASC;SG
裁判	árbitro	裁判	árbitro	N	N;MASC;SG
科學	cientifico	科學	cientifico	N	N;MASC;SG
科學	científicos	科學	científico	N	N;MASC;PL
小	pequeño	小	pequeño	ADJ	ADJ;MASC;SG
架構	arquitectura	架構	arquitectura	N	N;FEM;SG
共享	compartir	共享	compartir	V	V;NFIN
共享	compartiendo	共享	compartir	V	V;V.MSDR
共享	compartan	共享	compartir	V	V;IMP;PL;3;FIN
共享	comparte	共享	compartir	V	V;IND;SG;3;PRS;FIN
共享	compartir	共享	compartir	V	V;NFIN
共享	comparta	共享	compartir	V	V;IMP;SG;3;FIN
共享	comparte	共享	compartir	V	V;IND;SG;3;PRS;FIN
累	cansancio	累	cansancio	N	N;MASC;SG
星期	week	星期	week	N	N;FEM;SG
星期	semana	星期	semana	N	N;FEM;SG
星期	semanas	星期	semana	N	N;FEM;PL
指引	guía	指引	guía	N	N;FEM;SG
指引	guia	指引	guia	N	N;FEM;SG
加工	procesando	加工	procesar	V	V;V.MSDR
奏	kana	奏	kanar	N	N;FEM;SG
山地	montañas	山地	montaña	N	N;FEM;PL
山地	montaña	山地	montaña	N	N;FEM;SG
改良	mejoró	改良	mejorar	V	V;IND;SG;3;PST;FIN
劇本	guión	劇本	guión	N	N;MASC;SG
劇本	guion	劇本	guion	N	N;MASC;SG
劇本	script	劇本	script	N	N;MASC;SG
劇本	guion	劇本	guion	N	N;MASC;SG
劇本	guión	劇本	guión	N	N;MASC;SG
完美	perfectos	完美	perfecto	ADJ	ADJ;MASC;PL
完美	perfecto	完美	perfecto	ADJ	ADJ;MASC;SG
完美	perfecta	完美	perfecto	ADJ	ADJ;FEM;SG
完美	perfectas	完美	perfecto	ADJ	ADJ;FEM;PL
夏天	summer	夏天	summer	N	N
夏天	verano	夏天	verano	N	N;MASC;SG
氧	oxigeno	氧	oxigeno	N	N;MASC;SG
氧	oxígeno	氧	oxígeno	N	N;MASC;SG
聰	satoshi	聰	satoshi	N	N;MASC;SG
玫瑰	roses	玫瑰	ros	N	N;MASC
玫瑰	rosas	玫瑰	rosa	N	N;FEM;PL
玫瑰	rose	玫瑰	rose	N	N
玫瑰	rosa	玫瑰	rosa	N	N;FEM;SG
記憶	recuerdos	記憶	recuerdo	N	N;MASC;PL
記憶	memorias	記憶	memoria	N	N;FEM;PL
記憶	recuerdos	記憶	recuerdo	N	N;MASC;PL
記憶	memoria	記憶	memoria	N	N;FEM;SG
座位	asiento	座位	asiento	N	N;MASC;SG
座位	asientos	座位	asiento	N	N;MASC;PL
座位	escaños	座位	escaño	N	N;MASC;PL
座位	asientos	座位	asiento	N	N;MASC;PL
座位	asiento	座位	asiento	N	N;MASC;SG
座位	seat	座位	seat	N	N;MASC;SG
宣言	manifiesto	宣言	manifiesto	N	N;MASC;SG
宣言	declaración	宣言	declaración	N	N;FEM;SG
期刊	diarios	期刊	diario	N	N;MASC;PL
期刊	revistas	期刊	revista	N	N;FEM;PL
期刊	diario	期刊	diario	N	N;MASC;SG
期刊	journal	期刊	journal	N	N;SG
期刊	revista	期刊	revista	N	N;FEM;SG
期刊	periódico	期刊	periódico	N	N;MASC;SG
合同	contratos	合同	contrato	N	N;MASC;PL
合同	contrato	合同	contrato	N	N;MASC;SG
遊行	desfilar	遊行	desfilar	V	V;NFIN
喜劇	comedia	喜劇	comedia	N	N;FEM;SG
人氣	populares	人氣	popular	N	N;PL
人氣	popularidad	人氣	popularidad	N	N;FEM;SG
美術	arte	美術	arte	N	N;SG
光明	light	光明	light	N	N
光明	luz	光明	luz	N	N;FEM;SG
事務	bufete	事務	bufete	N	N;MASC;SG
同學	compañeros	同學	compañero	N	N;MASC;PL
主辦	acogió	主辦	acoger	V	V;IND;SG;3;PST;FIN
技能	habilidades	技能	habilidad	N	N;FEM;PL
技能	destrezas	技能	destreza	N	N;FEM;PL
技能	competencias	技能	competencia	N	N;FEM;PL
技能	habilidades	技能	habilidad	N	N;FEM;PL
技能	habilidad	技能	habilidad	N	N;FEM;SG
技能	destreza	技能	destreza	N	N;FEM;SG
姓氏	apellidos	姓氏	apellido	N	N;MASC;PL
姓氏	apellido	姓氏	apellido	N	N;MASC;SG
