का	de	का	de	ADP;NOM;MASC;SG	ADP
पोस्ट	correo	पोस्ट	correo	N;NOM;FEM;SG;3	N
मेला	feira	मेला	feira	N;NOM;MASC;SG;3	N
वायरस	virus	वायरस	virus	N;NOM;MASC;SG;3	N
मगर	pero	मगर	pero	CONJ	CONJ
मगर	pero	मगर	pero	CONJ	CONJ
मगर	mais	मगर	mais	CONJ	CONJ
महीनों	meses	महीना	mes	N;NOM;MASC;PL;3	N
सेल	célula	सेल	célula	N;NOM;MASC;SG;3	N
सेल	cela	सेल	celar	N;NOM;MASC;SG;3	N
सीज़न	estacións	सीज़न	estación	N;NOM;MASC;SG;3	N
आनन्द	ledicia	आनन्द	ledicia	N;NOM;MASC;SG;3	N
आनन्द	alegría	आनन्द	alegríar	N;NOM;MASC;SG;3	N
आनन्द	desfrute	आनन्द	desfrute	N;NOM;MASC;SG;3	N
विचारधारा	ideoloxía	विचारधारा	ideoloxía	N;NOM;FEM;SG;3	N
उम्मीद	esperanza	उम्मीद	esperanza	N;NOM;FEM;SG;3	N
कार्यकारी	executivo	कार्यकारी	executivo	N;NOM;MASC;SG;3	N
कार्यकारी	ordenanza	कार्यकारी	ordenanza	N;NOM;MASC;SG;3	N
मास्टर्स	mestres	मास्टर	mestres	N;NOM;MASC;PL;3	N
प्रोफेसर	mestre	प्रोफेसर	mestre	N;NOM;MASC;SG;3	N
प्रोफेसर	profesor	प्रोफेसर	profesor	N;NOM;MASC;SG;3	N
विकिरण	radiación	विकिरण	radiación	N;NOM;MASC;SG;3	N
संरक्षित	protexido	संरक्षित	protexido	ADJ;NOM	ADJ
बदला	cambiou	बदल	cambiar	V;PFV;MASC;SG;V.PTCP;ACT	V
बदला	cambiei	बदल	cambiar	V;PFV;MASC;SG;V.PTCP;ACT	V
बदला	vingar	बदल	vingar	V;PFV;MASC;SG;V.PTCP;ACT	V
पंक्ति	liña	पंक्ति	liña	N;NOM;FEM;SG;3	N
पंक्ति	fila	पंक्ति	fila	N;NOM;FEM;SG;3	N
पंक्ति	fila	पंक्ति	fila	N;NOM;FEM;SG;3	N
गतिविधि	actividade	गतिविधि	actividade	N;NOM;FEM;SG;3	N
बर्फ	neve	बर्फ	neve	N;NOM;FEM;SG;3	N
बर्फ	xeo	बर्फ	xeo	N;NOM;FEM;SG;3	N
कार्रवाई	acción	कार्रवाई	acción	N;NOM;FEM;SG;3	N
शिशु	bebés	शिशु	bebés	N;NOM;MASC;SG;3	N
शिशु	nenos	शिशु	neno	N;NOM;MASC;SG;3	N
ट्रैक	pista	ट्रैक	pistar	N;NOM;MASC;SG;3	N
ट्रैक	camiño	ट्रैक	camiño	N;NOM;MASC;SG;3	N
ट्रैक	rastro	ट्रैक	rastro	N;NOM;MASC;SG;3	N
ट्रैक	cambios	ट्रैक	cambio	N;NOM;MASC;SG;3	N
ट्रैक	hipódromo	ट्रैक	hipódromo	N;NOM;MASC;SG;3	N
गर्मी	calefacción	गर्मी	calefacción	N;NOM;FEM;SG;3	N
गर्मी	calor	गर्मी	calor	N;NOM;FEM;SG;3	N
गीतों	cancións	गीत	canción	N;ACC;MASC;PL;3	N
गीतों	canción	गीत	canción	N;ACC;MASC;PL;3	N
कोण	ángulo	कोण	ángulo	N;NOM;MASC;SG;3	N
अफ्रीकी	africana	अफ्रीकी	africano	ADJ	ADJ
अफ्रीकी	africanos	अफ्रीकी	africano	ADJ	ADJ
अफ्रीकी	africano	अफ्रीकी	africano	ADJ	ADJ
रंगों	cores	रंग	cora	N;ACC;MASC;PL;3	N
खतरा	perigo	खतरा	perigo	N;NOM;MASC;SG;3	N
चिंता	ansiedade	चिंता	ansiedade	N;NOM;FEM;SG;3	N
घरों	casas	घर	casa	N;ACC;MASC;PL;3	N
घरों	vivendas	घर	vivenda	N;ACC;MASC;PL;3	N
घरों	casa	घर	casa	N;ACC;MASC;PL;3	N
घरों	fogares	घर	fogar	N;ACC;MASC;PL;3	N
घरों	atención	घर	atención	N;ACC;MASC;PL;3	N
घरों	casas	घर	casa	N;ACC;MASC;PL;3	N
घरों	fogares	घर	fogar	N;ACC;MASC;PL;3	N
प्रयोगशाला	laboratorio	प्रयोगशाला	laboratorio	N;NOM;FEM;SG;3	N
संस्थानों	institucións	संस्थान	institución	N;ACC;MASC;PL;3	N
प्रार्थना	oracións	प्रार्थना	oración	N;NOM;FEM;SG;3	N
प्रार्थना	oración	प्रार्थना	oración	N;NOM;FEM;SG;3	N
बम	bomba	बम	bomba	N;NOM;MASC;SG;3	N
बम	bombas	बम	bomba	N;NOM;MASC;SG;3	N
लम्बाई	lonxitude	लम्बाई	lonxitude	N;NOM;FEM;SG;3	N
दुर्घटना	accidente	दुर्घटना	accidente	N;NOM;FEM;SG;3	N
चेतना	consciencia	चेत	consciencia	N;NOM;FEM;SG;3	N
चेतना	conciencia	चेत	conciencia	N;NOM;FEM;SG;3	N
पट्टी	pola	पट्टी	pola	N;NOM;FEM;SG;3	N
पट्टी	taberna	पट्टी	taberno	N;NOM;FEM;SG;3	N
पट्टी	bar	पट्टी	bar	N;NOM;FEM;SG;3	N
रास्ता	xeito	रास्ता	xeito	N;NOM;MASC;SG;3	N
रास्ता	maneira	रास्ता	maneira	N;NOM;MASC;SG;3	N
रास्ता	forma	रास्ता	forma	N;NOM;MASC;SG;3	N
रास्ता	camiño	रास्ता	camiño	N;NOM;MASC;SG;3	N
सोच	pensando	सोच	pensar	V;SG;FIN;ACT	V
सोच	pensar	सोच	pensar	V;SG;FIN;ACT	V
पृष्ठभूमि	fondo	पृष्ठभूमि	fondo	N;NOM;FEM;SG;3	N
टन	toneladas	टन	tonelada	N;NOM;MASC;SG;3	N
टन	quintais	टन	quintal	N;NOM;MASC;SG;3	N
ऋतु	tempada	ऋतु	tempada	N;NOM;FEM;SG;3	N
शाम	tarde	शाम	tarde	N;NOM;FEM;SG;3	N
शाम	noite	शाम	noite	N;NOM;FEM;SG;3	N
शाम	noites	शाम	noite	N;NOM;FEM;SG;3	N
शाम	tardes	शाम	tarde	N;NOM;FEM;SG;3	N
मेडिकल	medicina	मेडिकल	medicina	N;NOM;MASC;SG;3	N
मेडिकल	médico	मेडिकल	médico	N;NOM;MASC;SG;3	N
मेडिकल	médicos	मेडिकल	médico	N;NOM;MASC;SG;3	N
मेडिकल	médica	मेडिकल	médica	N;NOM;MASC;SG;3	N
किसान	granxeiro	किसान	granxeiro	N;NOM;MASC;PL;3	N
पतन	caída	पतन	caída	N;NOM;MASC;SG;3	N
पतन	outono	पतन	outono	N;NOM;MASC;SG;3	N
स्वाभाविक	natural	स्वाभाविक	natural	ADJ	ADJ
स्वाभाविक	normal	स्वाभाविक	normal	ADJ	ADJ
स्वाभाविक	naturais	स्वाभाविक	natural	ADJ	ADJ
स्नान	baño	स्नान	baño	N;NOM;MASC;SG;3	N
सफ़ेद	brancos	सफ़ेद	branco	N;NOM;MASC;SG;3	N
फ़ाइल	arquivos	फााइल	arquivo	N;NOM;MASC;SG;3	N
स्वागत	benvida	स्वागत	benvida	N;NOM;MASC;SG;3	N
स्वागत	benvido	स्वागत	benvido	N;NOM;MASC;SG;3	N
पक्षियों	aves	पक्षी	ave	N;ACC;MASC;PL;3	N
पक्षियों	paxaros	पक्षी	paxar	N;ACC;MASC;PL;3	N
विरासत	herdanza	विरासत	herdanza	N;NOM;FEM;SG;3	N
गोली	pílula	गोली	pílula	N;NOM;FEM;SG;3	N
गोली	bala	गोली	bala	N;NOM;FEM;SG;3	N
एकता	unidade	एकता	unidade	N;NOM;FEM;SG;3	N
मतदान	votación	मतदान	votación	N;NOM;MASC;SG;3	N
पृष्ठों	páxinas	पृष्ठ	páxina	N;ACC;MASC;PL;3	N
चावल	arroz	चावल	arroz	N;NOM;MASC;SG;3	N
मूलतः	basicamente	मूलतः	basicamente	ADV	ADV
मूलतः	básicamente	मूलतः	básicamente	ADV	ADV
गहरा	escuras	गहरा	escura	ADJ;NOM;MASC;SG	ADJ
गहरा	escuro	गहरा	escuro	ADJ;NOM;MASC;SG	ADJ
गहरा	escura	गहरा	escurar	ADJ;NOM;MASC;SG	ADJ
गहरा	profundo	गहरा	profundo	ADJ;NOM;MASC;SG	ADJ
लड़की	moza	लड़की	mozo	N;NOM;FEM;SG;3	N
लड़की	moza	लड़की	mozo	N;NOM;FEM;SG;3	N
लड़की	rapaza	लड़की	rapaza	N;NOM;FEM;SG;3	N
लड़की	nena	लड़की	nena	N;NOM;FEM;SG;3	N
आकर्षक	engaiolante	आकर्षक	engaiolante	ADJ	ADJ
आकर्षक	encantadora	आकर्षक	encantador	ADJ	ADJ
आकर्षक	encantador	आकर्षक	encantador	ADJ	ADJ
आकर्षक	agradable	आकर्षक	agradable	ADJ	ADJ
आकर्षक	atractiva	आकर्षक	atractivo	ADJ	ADJ
आकर्षक	fermosa	आकर्षक	fermosa	ADJ	ADJ
सवाल	pregunta	सवाल	pregunta	N;NOM;MASC;PL;3	N
सवाल	cuestión	सवाल	cuestión	N;NOM;MASC;PL;3	N
सवाल	preguntas	सवाल	pregunta	N;NOM;MASC;PL;3	N
सवाल	pregunta	सवाल	pregunta	N;NOM;MASC;PL;3	N
सवाल	cuestións	सवाल	cuestión	N;NOM;MASC;PL;3	N
संतुलन	equilibrio	संतुलन	equilibrio	N;NOM;MASC;SG;3	N
संतुलन	balance	संतुलन	balance	N;NOM;MASC;SG;3	N
राष्ट्रों	nacións	राष्ट्र	nación	N;ACC;MASC;PL;3	N
स्क्रीन	pantalla	स्क्रीन	pantalla	N;NOM;MASC;SG;3	N
पथ	camiño	पथ	camiño	N;NOM;MASC;SG;3	N
पथ	senda	पथ	senda	N;NOM;MASC;SG;3	N
शिक्षक	profesor	शिक्षक	profesor	N;NOM;MASC;SG;3	N
शिक्षक	mestra	शिक्षक	mestra	N;NOM;MASC;SG;3	N
शिक्षक	mestre	शिक्षक	mestre	N;NOM;MASC;SG;3	N
शिक्षक	profesores	शिक्षक	profesor	N;NOM;MASC;SG;3	N
शिक्षक	mestres	शिक्षक	mestres	N;NOM;MASC;SG;3	N
शिक्षक	bos	शिक्षक	bo	N;NOM;MASC;SG;3	N
सहयोगी	colega	सहयोगी	colego	N;NOM;MASC;PL;3	N
नोट	nota	नोट	nota	N;NOM;MASC;SG;3	N
नोट	notas	नोट	nota	N;NOM;MASC;SG;3	N
नीतियों	políticas	नीति	política	N;ACC;FEM;PL;3	N
पेज	páxinas	पेज	páxina	N;NOM;MASC;SG;3	N
गिर	caer	गिर	caer	V;ACT	V
खुला	abertos	खुल	aberto	V;PFV;MASC;SG;V.PTCP;ACT	V
खुला	abrir	खुल	abrir	V;PFV;MASC;SG;V.PTCP;ACT	V
खुला	aberto	खुल	abrir	V;PFV;MASC;SG;V.PTCP;ACT	V
खुला	abre	खुल	abre	V;PFV;MASC;SG;V.PTCP;ACT	V
खुला	abra	खुल	abra	V;PFV;MASC;SG;V.PTCP;ACT	V
वास्तुकला	arquitecto	वास्तुकला	arquitecto	N;NOM;FEM;SG;3	N
वास्तुकला	arquitectura	वास्तुकला	arquitectura	N;NOM;FEM;SG;3	N
नकारात्मक	negativo	नकारात्मक	negativo	ADJ	ADJ
वक्त	momento	वक्त	momento	N;NOM;MASC;SG;3	N
वक्त	tempo	वक्त	tempo	N;NOM;MASC;SG;3	N
वक्त	vez	वक्त	vez	N;NOM;MASC;SG;3	N
वक्त	hora	वक्त	hora	N;NOM;MASC;SG;3	N
निगरानी	vixilancia	निगरानी	vixilancia	N;NOM;FEM;SG;3	N
नेताओं	líderes	नेता	líder	N;ACC;MASC;PL;3	N
डॉक्टर	médicos	डॉक्टर	médico	N;NOM;MASC;SG;3	N
डॉक्टर	doutores	डॉक्टर	doutor	N;NOM;MASC;SG;3	N
डॉक्टर	médico	डॉक्टर	médico	N;NOM;MASC;SG;3	N
डॉक्टर	médico	डॉक्टर	médico	N;NOM;MASC;SG;3	N
डॉक्टर	doutor	डॉक्टर	doutor	N;NOM;MASC;SG;3	N
ऑक्सीजन	osíxeno	ऑक्सीजन	osíxeno	N;NOM;MASC;SG;3	N
प्रदूषण	contaminación	प्रदूषण	contaminación	N;NOM;MASC;SG;3	N
रखकर	colocar	रख	colocar	V;V.CVB	V
सबूत	probas	सबूत	proba	N;NOM;MASC;SG;3	N
सबूत	evidencia	सबूत	evidencia	N;NOM;MASC;SG;3	N
सबूत	evidencias	सबूत	evidencia	N;NOM;MASC;SG;3	N
सबूत	proba	सबूत	proba	N;NOM;MASC;SG;3	N
सबूत	probas	सबूत	proba	N;NOM;MASC;SG;3	N
सटीक	preciso	सटीक	preciso	ADJ	ADJ
सटीक	precisa	सटीक	preciso	ADJ	ADJ
सटीक	exacta	सटीक	exactar	ADJ	ADJ
समाप्ति	unllas	समाप्ति	unlla	N;NOM;FEM;SG;3	N
समाप्ति	fin	समाप्ति	fin	N;NOM;FEM;SG;3	N
समाप्ति	final	समाप्ति	final	N;NOM;FEM;SG;3	N
समाप्ति	final	समाप्ति	final	N;NOM;FEM;SG;3	N
पूंजी	capital	पूंजी	capital	N;NOM;FEM;SG;3	N
पूंजी	capitais	पूंजी	capital	N;NOM;FEM;SG;3	N
एजेंसी	axencia	एजेंसी	axencia	N;NOM;FEM;SG;3	N
एजेंसी	axencias	एजेंसी	axencia	N;NOM;FEM;SG;3	N
गरीब	pobres	गरीब	pobre	N;NOM;MASC;SG;3	N
औषधि	medicinas	औषधि	medicina	N;NOM;FEM;SG;3	N
औषधि	medicina	औषधि	medicina	N;NOM;FEM;SG;3	N
औषधि	na	औषधि	na	N;NOM;FEM;SG;3	N
औषधि	médicos	औषधि	médico	N;NOM;FEM;SG;3	N
औषधि	menciña	औषधि	menciña	N;NOM;FEM;SG;3	N
मांस	carne	माँस	carne	N;NOM;MASC;SG;3	N
प्रतिस्पर्धा	competición	प्रतिस्पर्धा	competición	N;NOM;FEM;SG;3	N
बिन्दु	momento	बिंदु	momento	N;NOM;MASC;SG;3	N
बिन्दु	punto	बिंदु	punto	N;NOM;MASC;SG;3	N
कप्तान	capitán	कप्तान	capitán	N;NOM;MASC;SG;3	N
खूबसूरत	fermoso	खूबसूरत	fermoso	ADJ	ADJ
खूबसूरत	fermosa	खूबसूरत	fermosa	ADJ	ADJ
खूबसूरत	precioso	खूबसूरत	precioso	ADJ	ADJ
खूबसूरत	fermosas	खूबसूरत	fermosa	ADJ	ADJ
संयंत्र	planta	संयंत्र	planta	N;NOM;MASC;SG;3	N
अणु	partículas	अणु	partícula	N;NOM;MASC;SG;3	N
अणु	molecular	अणु	molecular	N;NOM;MASC;SG;3	N
अणु	moleculares	अणु	molecular	N;NOM;MASC;SG;3	N
अणु	molécula	अणु	molécula	N;NOM;MASC;SG;3	N
अणु	molecular	अणु	molecular	N;NOM;MASC;SG;3	N
भीड़	multitude	भीड़	multitude	N;NOM;FEM;SG;3	N
भीड़	masa	भीड़	masa	N;NOM;FEM;SG;3	N
भीड़	vista	भीड़	vista	N;NOM;FEM;SG;3	N
भीड़	xente	भीड़	xente	N;NOM;FEM;SG;3	N
भीड़	xente	भीड़	xente	N;NOM;FEM;SG;3	N
क्रेडिट	tarxetas	क्रेडिट	tarxeta	N;NOM;MASC;SG;3	N
क्रेडिट	crédito	क्रेडिट	crédito	N;NOM;MASC;SG;3	N
द्वीपसमूह	illas	द्वीपसमूह	illa	N;NOM;MASC;SG;3	N
स्कोर	exames	स्कोर	exame	N;NOM;MASC;SG;3	N
गोत्र	clans	गोत्र	clan	N;NOM;MASC;SG;3	N
दंड	castigo	दंड	castigo	N;NOM;MASC;SG;3	N
प्रतिबंध	restrición	प्रतिबंध	restrición	N;NOM;MASC;SG;3	N
पढ़ाई	estudo	पढ़ाई	estudo	N;NOM;FEM;SG;3	N
पढ़ाई	despacho	पढ़ाई	despacho	N;NOM;FEM;SG;3	N
पहाड़	montaña	पहाड	montaña	N;NOM;MASC;SG;3	N
क्रांतिकारी	revolucionario	क्रांतिकारी	revolucionario	N;NOM;MASC;SG;3	N
मठ	mosteiro	मठ	mosteiro	N;NOM;MASC;SG;3	N
गिटार	guitarra	गिटार	guitarrar	N;NOM;MASC;SG;3	N
सहमति	acordo	सहमति	acordo	N;NOM;FEM;SG;3	N
लोहे	ferro	लोहा	ferro	N;NOM;MASC;SG;3	N
भय	medo	भय	medo	N;NOM;MASC;SG;3	N
नागरिकों	cidadáns	नागरिक	cidadán	N;ACC;MASC;PL;3	N
नागरिकों	civís	नागरिक	civir	N;ACC;MASC;PL;3	N
नागरिकों	xente	नागरिक	xente	N;ACC;MASC;PL;3	N
एसिड	ácido	एसिड	ácido	N;NOM;MASC;SG;3	N
एसिड	aminoácidos	एसिड	aminoácer	N;NOM;MASC;SG;3	N
बुक	libro	बुक	libro	N;NOM;MASC;SG;3	N
अंगों	órganos	अंग	órgano	N;ACC;MASC;PL;3	N
हथियार	armas	हथियार	arma	N;NOM;MASC;PL;3	N
हथियार	armamento	हथियार	armamento	N;NOM;MASC;PL;3	N
हथियार	arma	हथियार	arma	N;NOM;MASC;PL;3	N
हथियार	arma	हथियार	arma	N;NOM;MASC;PL;3	N
कागज	papel	कागज	papel	N;NOM;MASC;SG;3	N
कागज	xornal	कागज	xornal	N;NOM;MASC;SG;3	N
कागज	artigo	कागज	artigo	N;NOM;MASC;SG;3	N
चुनौती	reto	चुनौती	reto	N;NOM;FEM;SG;3	N
चुनौती	desafío	चुनौती	desafío	N;NOM;FEM;SG;3	N
वसा	graxa	वसा	graxar	N;NOM;MASC;SG;3	N
वसा	gorda	वसा	gorda	N;NOM;MASC;SG;3	N
वसा	gordo	वसा	gordo	N;NOM;MASC;SG;3	N
वसा	gordos	वसा	gordo	N;NOM;MASC;SG;3	N
कमजोर	débil	कमजोर	débil	ADJ	ADJ
नजर	ollo	नजर	ollo	N;NOM;FEM;SG;3	N
नजर	ollos	नजर	ollo	N;NOM;FEM;SG;3	N
असर	efecto	असर	efecto	N;NOM;MASC;SG;3	N
असर	efectos	असर	efecto	N;NOM;MASC;SG;3	N
सीधा	directo	सीधा	directo	ADJ;NOM;MASC;SG	ADJ
सीधा	directa	सीधा	directo	ADJ;NOM;MASC;SG	ADJ
भाषण	charla	भाषण	charlar	N;NOM;MASC;SG;3	N
भाषण	discurso	भाषण	discurso	N;NOM;MASC;SG;3	N
भाषण	expresión	भाषण	expresión	N;NOM;MASC;SG;3	N
सृष्टि	creación	सृष्टि	creación	N;NOM;FEM;SG;3	N
स्वस्थ	san	स्वस्थ	ser	ADJ	ADJ
स्वस्थ	saudable	स्वस्थ	saudable	ADJ	ADJ
भागीदारी	participación	भागीदारी	participación	N;NOM;FEM;SG;3	N
भागीदारी	implicación	भागीदारी	implicación	N;NOM;FEM;SG;3	N
भागीदारी	participación	भागीदारी	participación	N;NOM;FEM;SG;3	N
स्टॉक	depósito	स्टॉक	depósito	N;NOM;MASC;SG;3	N
मर	morreu	मर	morrer	V;ACT	V
यात्रियों	pasaxeiros	यात्री	pasaxeiro	N;ACC;MASC;PL;3	N
गहरी	profundo	गहरा	profundo	ADJ;NOM;FEM;SG	ADJ
लिंक्स	enlaces	लिंक्स	enlace	N;NOM;FEM;SG;3	N
लिंक्स	ligazóns	लिंक्स	ligazón	N;NOM;FEM;SG;3	N
विस्फोट	explosión	विस्फोट	explosión	N;NOM;MASC;SG;3	N
नक्शा	mapa	नक्शा	mapa	N;NOM;MASC;SG;3	N
बिल्कुल	realmente	बिल्कुल	real	ADV	ADV
बिल्कुल	absolutamente	बिल्कुल	absolutamente	ADV	ADV
बिल्कुल	totalmente	बिल्कुल	total	ADV	ADV
घास	herba	घास	herba	N;NOM;MASC;SG;3	N
पाये	atopei	पा	atopar	V;PFV;MASC;PL;V.PTCP;ACT	V
पाये	atopamos	पा	atopar	V;PFV;MASC;PL;V.PTCP;ACT	V
पाये	atoparon	पा	atopar	V;PFV;MASC;PL;V.PTCP;ACT	V
पाये	atopou	पा	atopar	V;PFV;MASC;PL;V.PTCP;ACT	V
कथन	declaración	कथन	declaración	N;NOM;MASC;SG;3	N
बैंकों	bancos	बैंक	banco	N;ACC;MASC;PL;3	N
कारकों	factores	कारक	factor	N;ACC;MASC;PL;3	N
सिविल	civís	सिविल	civir	N;NOM;MASC;SG;3	N
शेर	leóns	शेर	león	N;NOM;MASC;SG;3	N
प्रतिदिन	cotiá	प्रतिदिन	cotián	N;NOM;MASC;SG;3	N
प्रतिदिन	día	प्रतिदिन	día	N;NOM;MASC;SG;3	N
प्रतिदिन	cotiá	प्रतिदिन	cotián	N;NOM;MASC;SG;3	N
प्रतिदिन	diario	प्रतिदिन	diario	N;NOM;MASC;SG;3	N
कमरे	cuartos	कमरा	cuarto	N;NOM;MASC;SG;3	N
कमरे	salas	कमरा	sala	N;NOM;MASC;SG;3	N
कमरे	habitacións	कमरा	habitación	N;NOM;MASC;SG;3	N
कमरे	sala	कमरा	sala	N;NOM;MASC;SG;3	N
कमरे	habitación	कमरा	habitación	N;NOM;MASC;SG;3	N
चित्रकार	pintor	चित्रकार	pintor	N;NOM;MASC;SG;3	N
विद्यार्थी	estudantes	विद्यार्थी	estudantes	N;NOM;MASC;SG;3	N
विद्यार्थी	alumnos	विद्यार्थी	alumno	N;NOM;MASC;SG;3	N
विद्यार्थी	estudante	विद्यार्थी	estudante	N;NOM;MASC;SG;3	N
विद्यार्थी	estudantes	विद्यार्थी	estudantes	N;NOM;MASC;SG;3	N
विद्यार्थी	alumno	विद्यार्थी	alumno	N;NOM;MASC;SG;3	N
पेय	bebe	पेय	beber	N;NOM;MASC;SG;3	N
पेय	copa	पेय	copa	N;NOM;MASC;SG;3	N
पेय	copas	पेय	copa	N;NOM;MASC;SG;3	N
अनुक्रम	orde	अनुक्रम	orde	N;NOM;MASC;SG;3	N
अनुक्रम	xiro	अनुक्रम	xiro	N;NOM;MASC;SG;3	N
अनुक्रम	postal	अनुक्रम	postal	N;NOM;MASC;SG;3	N
अनुक्रम	secuencia	अनुक्रम	secuencia	N;NOM;MASC;SG;3	N
पत्रकारिता	xornalismo	पत्रकारिता	xornalismo	N;NOM;FEM;SG;3	N
अचानक	repente	अचानक	repente	ADV	ADV
करियर	carreira	करियर	carreira	N;NOM;MASC;SG;3	N
जानवर	besta	जानवर	besta	N;NOM;MASC;SG;3	N
जानवर	animais	जानवर	animal	N;NOM;MASC;SG;3	N
जानवर	animais	जानवर	animal	N;NOM;MASC;SG;3	N
जानवर	animal	जानवर	animal	N;NOM;MASC;SG;3	N
चेहरे	rostros	चेहरा	rostro	N;NOM;MASC;PL;3	N
चेहरे	caras	चेहरा	cara	N;NOM;MASC;PL;3	N
चेहरे	cara	चेहरा	cara	N;NOM;MASC;PL;3	N
चेहरे	rostro	चेहरा	rostro	N;NOM;MASC;PL;3	N
अंग्रेज	inglés	अंग्रेज	inglés	N;NOM;MASC;SG;3	N
अंग्रेज	ingleses	अंग्रेज	inglese	N;NOM;MASC;SG;3	N
गाड़ी	coche	गाड़ी	coche	N;NOM;FEM;SG;3	N
गाड़ी	auto	गाड़ी	auto	N;NOM;FEM;SG;3	N
गाड़ी	carro	गाड़ी	carro	N;NOM;FEM;SG;3	N
हिंसा	violencia	हिंसा	violencia	N;NOM;FEM;SG;3	N
स्तंभ	columna	स्तंभ	columna	N;NOM;MASC;SG;3	N
स्तंभ	retagarda	स्तंभ	retagarda	N;NOM;MASC;SG;3	N
कार्यकाल	horas	कार्यकाल	hora	N;NOM;MASC;SG;3	N
आजादी	liberdade	आजादी	liberdade	N;NOM;FEM;SG;3	N
अंडे	ovos	अंडा	ovo	N;NOM;MASC;PL;3	N
अधिग्रहण	adquisición	अधिग्रहण	adquisición	N;NOM;MASC;SG;3	N
गुफा	das	गुफा	das	N;NOM;FEM;SG;3	N
गुफा	cavernas	गुफा	caverna	N;NOM;FEM;SG;3	N
गुफा	cova	गुफा	cova	N;NOM;FEM;SG;3	N
परिणामों	resultados	परिणाम	resultado	N;ACC;MASC;PL;3	N
प्लास्टिक	plásticos	प्लास्टिक	plástico	N;NOM;MASC;SG;3	N
प्लास्टिक	plástico	प्लास्टिक	plástico	N;NOM;MASC;SG;3	N
ब्लॉक	mazás	ब्लॉक	mazás	N;NOM;MASC;SG;3	N
ब्लॉक	mazá	ब्लॉक	mazá	N;NOM;MASC;SG;3	N
ब्लॉक	bloque	ब्लॉक	bloque	N;NOM;MASC;SG;3	N
ब्लॉक	acceso	ब्लॉक	acceso	N;NOM;MASC;SG;3	N
ब्लॉक	barracón	ब्लॉक	barracón	N;NOM;MASC;SG;3	N
समुदायों	comunidades	समुदाय	comunidade	N;ACC;MASC;PL;3	N
मुसलमान	musulmáns	मुसलमान	musulmáns	N;NOM;MASC;PL;3	N
स्वीकृति	aprobación	स्वीकृति	aprobación	N;NOM;FEM;SG;3	N
पीने	bebendo	पी	beber	V;NFIN;ACT	V
पीने	beber	पी	beber	V;NFIN;ACT	V
असली	real	असली	real	ADJ;NOM	ADJ
असली	orixinal	असली	orixinal	ADJ;NOM	ADJ
असली	orixinais	असली	orixinal	ADJ;NOM	ADJ
पैसे	cartos	पैसा	carto	N;NOM;MASC;PL;3	N
पैसे	diñeiro	पैसा	diñeiro	N;NOM;MASC;PL;3	N
पैसे	xiro	पैसा	xiro	N;NOM;MASC;PL;3	N
खाली	baleira	खाली	baleira	ADJ	ADJ
खाली	baleiro	खाली	baleiro	ADJ	ADJ
खाली	baleiras	खाली	baleira	ADJ	ADJ
किसानों	agricultores	किसान	agricultor	N;ACC;MASC;PL;3	N
प्रतिष्ठा	reputación	प्रतिष्ठा	reputación	N;NOM;FEM;SG;3	N
प्रतिष्ठा	sona	प्रतिष्ठा	sona	N;NOM;FEM;SG;3	N
मुद्दे	problemas	मुद्दा	problema	N;NOM;MASC;PL;3	N
मुद्दे	cuestións	मुद्दा	cuestión	N;NOM;MASC;PL;3	N
मुद्दे	temas	मुद्दा	tema	N;NOM;MASC;PL;3	N
मुद्दे	asuntos	मुद्दा	asunto	N;NOM;MASC;PL;3	N
चाय	té	चाय	té	N;NOM;FEM;SG;3	N
छत	teito	छत	teito	N;NOM;FEM;SG;3	N
आवाज़	volume	आवाज़	volume	N;NOM;FEM;SG;3	N
आवाज़	voz	आवाज़	voz	N;NOM;FEM;SG;3	N
चाल	truco	चाल	truco	N;NOM;FEM;SG;3	N
रहें	quedar	रह	quedar	V;SBJV;PL;FIN;ACT	V
रहें	ficar	रह	ficar	V;SBJV;PL;FIN;ACT	V
रहें	queda	रह	quedar	V;SBJV;PL;FIN;ACT	V
विनिमय	intercambio	विनिमय	intercambio	N;NOM;MASC;SG;3	N
बहस	debate	बहस	debate	N;NOM;FEM;SG;3	N
ड्राइव	coche	ड्राइव	coche	N;NOM;MASC;SG;3	N
नियुक्ति	cita	नियुक्ति	cita	N;NOM;FEM;SG;3	N
नियुक्ति	traballo	नियुक्ति	traballo	N;NOM;FEM;SG;3	N
विटामिन	vitaminas	विटामिन	vitamina	N;NOM;MASC;SG;3	N
विटामिन	vitamina	विटामिन	vitamina	N;NOM;MASC;SG;3	N
खून	sangue	खून	sangue	N;NOM;MASC;SG;3	N
बाग	xardín	बाग	xardír	N;NOM;MASC;SG;3	N
बाग	horta	बाग	horta	N;NOM;MASC;SG;3	N
चौथी	cuarto	चौथी	cuarto	ADJ;NOM;FEM;SG	ADJ
चौथी	cuarta	चौथी	cuarto	ADJ;NOM;FEM;SG	ADJ
उम्मीदवार	candidatos	उम्मीदवार	candidato	N;NOM;MASC;PL;3	N
बिलकुल	realmente	बिलकुल	real	ADV	ADV
बिलकुल	absolutamente	बिलकुल	absolutamente	ADV	ADV
बिलकुल	totalmente	बिलकुल	total	ADV	ADV
ग्रहों	planeta	ग्रह	planeta	N;ACC;MASC;PL;3	N
ग्रहों	planetas	ग्रह	planeta	N;ACC;MASC;PL;3	N
