年	год	年	год	N	N;INAN;NOM;MASC;SG
架構	архитектуры	架構	архитектура	N	N;INAN;NOM;FEM;PL
共享	разделяет	共享	разделять	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
共享	поделилась	共享	делиться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
共享	поделились	共享	делиться	V	V;PFV;IND;PL;PST;FIN;MID
共享	поделился	共享	делиться	V	V;PFV;MASC;IND;SG;PST;FIN;MID
共享	поделиться	共享	делиться	V	V;PFV;NFIN;MID
共享	разделить	共享	разделить	V	V;PFV;NFIN;ACT
共享	поделитесь	共享	делиться	V	V;PFV;IMP;PL;2;FUT;FIN;MID
共享	разделяет	共享	разделять	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
星期	недели	星期	неделя	N	N;INAN;NOM;FEM;PL
星期	неделю	星期	неделя	N	N;INAN;ACC;FEM;SG
星期	неделя	星期	неделя	N	N;INAN;NOM;FEM;SG
星期	недели	星期	неделя	N	N;INAN;NOM;FEM;PL
星期	недель	星期	неделя	N	N;INAN;GEN;FEM;PL
指引	проводник	指引	проводник	N	N;INAN;NOM;MASC;SG
指引	гид	指引	гид	N	N;INAN;NOM;MASC;SG
指引	руководства	指引	руководство	N	N;INAN;NOM;NEUT;PL
指引	руководство	指引	руководство	N	N;INAN;NOM;NEUT;SG
奏	кана	奏	кан	N	N;INAN;NOM;MASC;SG
等	ожидание	等	ожидание	N	N;INAN;NOM;NEUT;SG
山地	горы	山地	гора	N	N;INAN;NOM;FEM;PL
山地	гора	山地	гора	N	N;INAN;NOM;FEM;SG
改良	улучшилась	改良	улучшиться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
改良	улучшилось	改良	улучшиться	V	V;PFV;NEUT;IND;SG;PST;FIN;MID
劇本	сценарий	劇本	сценарий	N	N;INAN;NOM;MASC;SG
劇本	сценарист	劇本	сценарист	N	N;ANIM;NOM;MASC;SG
劇本	сценарий	劇本	сценарий	N	N;INAN;NOM;MASC;SG
完美	идеальная	完美	идеальный	ADJ	ADJ;NOM;FEM;SG
完美	идеальный	完美	идеальный	ADJ	ADJ;NOM;MASC;SG
夏天	лето	夏天	лето	N	N;INAN;NOM;NEUT;SG
夏天	саммер	夏天	саммер	N	N;INAN;NOM;FEM;SG
氧	кислорода	氧	кислород	N	N;INAN;GEN;MASC;SG
氧	кислород	氧	кислород	N	N;INAN;NOM;MASC;SG
玫瑰	розы	玫瑰	роза	N	N;INAN;NOM;FEM;PL
玫瑰	роуз	玫瑰	роуз	N	N;ANIM;NOM;FEM;SG
玫瑰	роза	玫瑰	роза	N	N;INAN;NOM;FEM;SG
玫瑰	роз	玫瑰	роза	N	N;INAN;GEN;FEM;PL
記憶	воспоминания	記憶	воспоминание	N	N;INAN;NOM;NEUT;PL
記憶	память	記憶	память	N	N;INAN;NOM;FEM;SG
記憶	воспоминание	記憶	воспоминание	N	N;INAN;NOM;NEUT;SG
記憶	памяти	記憶	память	N	N;INAN;GEN;FEM;SG
座位	места	座位	место	N	N;INAN;NOM;NEUT;PL
座位	сиденья	座位	сиденье	N	N;INAN;NOM;NEUT;PL
座位	сиденья	座位	сиденье	N	N;INAN;NOM;NEUT;PL
座位	сиденье	座位	сиденье	N	N;INAN;NOM;NEUT;SG
宣言	манифест	宣言	манифест	N	N;INAN;NOM;MASC;SG
宣言	декларация	宣言	декларация	N	N;INAN;NOM;FEM;SG
宣言	заявление	宣言	заявление	N	N;INAN;NOM;NEUT;SG
期刊	журналы	期刊	журнал	N	N;INAN;NOM;MASC;PL
期刊	дневники	期刊	дневник	N	N;INAN;NOM;MASC;PL
期刊	дневник	期刊	дневник	N	N;INAN;NOM;MASC;SG
期刊	журнал	期刊	журнал	N	N;INAN;NOM;MASC;SG
合同	контракты	合同	контракт	N	N;INAN;NOM;MASC;PL
合同	договоры	合同	договор	N	N;INAN;NOM;MASC;PL
合同	контракт	合同	контракт	N	N;INAN;NOM;MASC;SG
喜劇	комедии	喜劇	комедия	N	N;INAN;NOM;FEM;PL
喜劇	комедия	喜劇	комедия	N	N;INAN;NOM;FEM;SG
人氣	популярность	人氣	популярность	N	N;INAN;NOM;FEM;SG
人氣	популярности	人氣	популярность	N	N;INAN;NOM;FEM;SG
美術	искусство	美術	искусство	N	N;INAN;NOM;NEUT;SG
光明	свет	光明	свет	N	N;INAN;NOM;MASC;SG
光明	света	光明	свет	N	N;INAN;GEN;MASC;SG
事務	фирма	事務	фирма	N	N;INAN;NOM;FEM;SG
垂直	вертикали	垂直	вертикаль	N	N;INAN;NOM;FEM;PL
同學	одноклассников	同學	одноклассник	N	N;ANIM;ACC;MASC;PL
同學	одноклассник	同學	одноклассник	N	N;ANIM;NOM;MASC;SG
技能	навыков	技能	навык	N	N;INAN;GEN;MASC;PL
技能	навыки	技能	навык	N	N;INAN;NOM;MASC;PL
技能	умение	技能	умение	N	N;INAN;NOM;NEUT;SG
技能	мастерство	技能	мастерство	N	N;INAN;NOM;NEUT;SG
技能	навыки	技能	навык	N	N;INAN;NOM;MASC;PL
姓氏	фамилия	姓氏	фамилия	N	N;INAN;NOM;FEM;SG
立場	позиция	立場	позиция	N	N;INAN;NOM;FEM;SG
立場	должность	立場	должность	N	N;INAN;NOM;FEM;SG
立場	положение	立場	положение	N	N;INAN;NOM;NEUT;SG
豐富	богат	豐富	богатый	ADJ	ADJ;MASC;SG
豐富	богатых	豐富	богатый	ADJ	ADJ;GEN;PL
豐富	богатая	豐富	богатый	ADJ	ADJ;NOM;FEM;SG
豐富	богатый	豐富	богатый	ADJ	ADJ;NOM;MASC;SG
豐富	богатые	豐富	богатый	ADJ	ADJ;NOM;PL
砂	песок	砂	песок	N	N;INAN;NOM;MASC;SG
男孩	мальчик	男孩	мальчик	N	N;ANIM;NOM;MASC;SG
男孩	парень	男孩	парень	N	N;ANIM;NOM;MASC;SG
男孩	парни	男孩	парень	N	N;ANIM;NOM;MASC;PL
男孩	мальчики	男孩	мальчик	N	N;ANIM;NOM;MASC;PL
男孩	мальчишки	男孩	мальчишка	N	N;ANIM;NOM;MASC;PL
男孩	мальчиков	男孩	мальчик	N	N;ANIM;GEN;MASC;PL
加速	ускорить	加速	ускорить	V	V;PFV;NFIN;ACT
感情	эмоции	感情	эмоция	N	N;INAN;NOM;FEM;PL
感情	взаимосвязь	感情	взаимосвязь	N	N;INAN;NOM;FEM;SG
感情	взаимоотношения	感情	взаимоотношение	N	N;INAN;NOM;NEUT;PL
感情	отношения	感情	отношение	N	N;INAN;NOM;NEUT;PL
感情	эмоции	感情	эмоция	N	N;INAN;NOM;FEM;PL
感情	чувства	感情	чувство	N	N;INAN;NOM;NEUT;PL
狐	фокс	狐	фокс	N	N;ANIM;NOM;MASC;SG
狐	лиса	狐	лисо	N	N;ANIM;NOM;FEM;SG
狐	лис	狐	лис	N	N;INAN;NOM;MASC;SG
重複	дублировать	重複	дублировать	V	V;IPFV;NFIN;ACT
智慧	интеллект	智慧	интеллект	N	N;INAN;NOM;MASC;SG
智慧	разведка	智慧	разведка	N	N;INAN;NOM;FEM;SG
智慧	разведки	智慧	разведка	N	N;INAN;NOM;FEM;SG
智慧	мудрости	智慧	мудрость	N	N;INAN;NOM;FEM;PL
智慧	мудрость	智慧	мудрость	N	N;INAN;NOM;FEM;SG
尺寸	размеры	尺寸	размер	N	N;INAN;NOM;MASC;PL
尺寸	размеры	尺寸	размер	N	N;INAN;NOM;MASC;PL
尺寸	аспекты	尺寸	аспект	N	N;INAN;NOM;MASC;PL
尺寸	размеры	尺寸	размер	N	N;INAN;NOM;MASC;PL
尺寸	размер	尺寸	размер	N	N;INAN;NOM;MASC;SG
嫁	жениться	嫁	жениться	V	V;IPFV;NFIN;MID
樂隊	полосы	樂隊	полоса	N	N;INAN;NOM;FEM;PL
信徒	верующих	信徒	верующий	N	N;ANIM;ACC;MASC;PL
信徒	верующие	信徒	верующий	N	N;ANIM;NOM;MASC;PL
同志	товарищ	同志	товарищ	N	N;ANIM;NOM;MASC;SG
騎	езда	騎	езда	N	N;INAN;NOM;FEM;SG
騎	поездка	騎	поездка	N	N;INAN;NOM;FEM;SG
體育	арена	體育	арен	N	N;INAN;NOM;FEM;SG
體育	арене	體育	арена	N	N;INAN;DAT;FEM;SG
體育	спортзал	體育	спортзал	N	N;INAN;NOM;MASC;SG
體育	зал	體育	зал	N	N;INAN;NOM;MASC;SG
體育	гимназии	體育	гимназия	N	N;INAN;NOM;FEM;PL
體育	стадион	體育	стадион	N	N;INAN;NOM;MASC;SG
鐘	часы	鐘	часы	N	N;INAN;NOM;MASC;PL
鐘	чанг	鐘	чанг	N	N;INAN;NOM;MASC;SG
鐘	колокольчик	鐘	колокольчик	N	N;INAN;NOM;MASC;SG
鐘	белл	鐘	беллый	N	N;ANIM;NOM;FEM;SG
鐘	колокол	鐘	колокол	N	N;INAN;NOM;MASC;SG
分享	разделяет	分享	разделять	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
分享	поделилась	分享	делиться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
分享	поделились	分享	делиться	V	V;PFV;IND;PL;PST;FIN;MID
分享	поделился	分享	делиться	V	V;PFV;MASC;IND;SG;PST;FIN;MID
分享	поделиться	分享	делиться	V	V;PFV;NFIN;MID
分享	разделить	分享	разделить	V	V;PFV;NFIN;ACT
分享	поделитесь	分享	делиться	V	V;PFV;IMP;PL;2;FUT;FIN;MID
分享	разделяет	分享	разделять	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
班機	полёт	班機	полет	N	N;INAN;NOM;MASC;SG
班機	бегство	班機	бегство	N	N;INAN;NOM;NEUT;SG
班機	перелет	班機	перелет	N	N;INAN;NOM;MASC;SG
班機	полет	班機	полет	N	N;INAN;NOM;MASC;SG
班機	рейс	班機	рейс	N	N;INAN;NOM;MASC;SG
時報	времена	時報	время	N	N;INAN;NOM;NEUT;PL
時報	таймс	時報	таймс	N	N;INAN;NOM;MASC;SG
擴大	расширяется	擴大	расширяться	V	V;IPFV;IND;SG;3;PRS;FIN;MID
擴大	расширенная	擴大	расширить	V	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
擴大	расширенный	擴大	расширить	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
擴大	расширена	擴大	расширный	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
擴大	увеличено	擴大	увеличить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
擴大	увеличена	擴大	увеличить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
擴大	увеличен	擴大	увеличить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
擴大	расширенного	擴大	расширить	V	V;PFV;GEN;MASC;SG;PST;V.PTCP;PASS
擴大	расширять	擴大	расширять	V	V;IPFV;NFIN;ACT
擴大	расширить	擴大	расширить	V	V;PFV;NFIN;ACT
擴大	развернуть	擴大	развернуть	V	V;PFV;NFIN;ACT
讀者	читатели	讀者	читатель	N	N;ANIM;NOM;MASC;PL
讀者	читателей	讀者	читатель	N	N;ANIM;ACC;MASC;PL
讀者	читатель	讀者	читатель	N	N;ANIM;NOM;MASC;SG
指數	индекс	指數	индекс	N	N;INAN;NOM;MASC;SG
指數	указатель	指數	указатель	N	N;INAN;NOM;MASC;SG
指數	указатели	指數	указатель	N	N;INAN;NOM;MASC;PL
指數	индексы	指數	индекс	N	N;INAN;NOM;MASC;PL
指數	индексы	指數	индекс	N	N;INAN;NOM;MASC;PL
猴	обезьяны	猴	обезьяна	N	N;ANIM;NOM;MASC;PL
猴	обезьянка	猴	обезьянка	N	N;ANIM;NOM;FEM;SG
猴	обезьяна	猴	обезьяна	N	N;ANIM;NOM;FEM;SG
撰寫	напиши	撰寫	пишаш	V	V;PFV;IMP;SG;2;FIN;ACT
撰寫	пиши	撰寫	писать	V	V;IPFV;IMP;SG;2;FIN;ACT
撰寫	пишите	撰寫	писать	V	V;IPFV;IMP;PL;2;FIN;ACT
撰寫	напишите	撰寫	писать	V	V;PFV;IMP;PL;2;FIN;ACT
撰寫	написать	撰寫	писать	V	V;PFV;NFIN;ACT
撰寫	написано	撰寫	писать	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
撰寫	пишу	撰寫	писать	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
撰寫	писать	撰寫	писать	V	V;IPFV;NFIN;ACT
絕對	абсолютно	絕對	абсолютно	ADV	ADV
重點	фокус	重點	фокус	N	N;INAN;NOM;MASC;SG
重點	внимание	重點	внимание	N	N;INAN;NOM;NEUT;SG
感覺	ощущение	感覺	ощущение	N	N;INAN;NOM;NEUT;SG
感覺	чувство	感覺	чувство	N	N;INAN;NOM;NEUT;SG
感覺	ощущения	感覺	ощущение	N	N;INAN;NOM;NEUT;PL
種族	гонки	種族	гонка	N	N;INAN;NOM;FEM;PL
種族	гонки	種族	гонка	N	N;INAN;NOM;FEM;PL
種族	гонка	種族	гонка	N	N;INAN;NOM;FEM;SG
種族	расы	種族	раса	N	N;INAN;NOM;FEM;PL
種族	раса	種族	раса	N	N;INAN;NOM;FEM;SG
限	лимит	限	лимит	N	N;INAN;NOM;MASC;SG
限	ограничение	限	ограничение	N	N;INAN;NOM;NEUT;SG
限	предел	限	предел	N	N;INAN;NOM;MASC;SG
休息	сломать	休息	ломать	V	V;PFV;NFIN;ACT
休息	отдыхает	休息	отдыхать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
休息	отдохнуть	休息	отдохнуть	V	V;PFV;NFIN;ACT
曲目	трек	曲目	трек	N	N;INAN;NOM;MASC;SG
曲目	дорожка	曲目	дорожка	N	N;INAN;NOM;FEM;SG
曲目	трека	曲目	трек	N	N;INAN;NOM;MASC;PL
曲目	треки	曲目	трек	N	N;INAN;NOM;MASC;PL
曲目	дорожки	曲目	дорожка	N	N;INAN;NOM;FEM;PL
曲目	следы	曲目	след	N	N;INAN;NOM;MASC;PL
東區	востоке	東區	восток	N	N;INAN;ESS;MASC;SG
東區	восток	東區	восток	N	N;INAN;NOM;MASC;SG
東區	ист	東區	ист	N	N;INAN;NOM;NEUT;SG
席位	места	席位	место	N	N;INAN;NOM;NEUT;PL
席位	сиденья	席位	сиденье	N	N;INAN;NOM;NEUT;PL
株	штамм	株	штамм	N	N;INAN;NOM;MASC;SG
株	штаммов	株	штамм	N	N;INAN;GEN;MASC;PL
管制	контролирует	管制	контролировать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
咖啡	кофе	咖啡	кофе	N	N;INAN;NOM;MASC;SG
胸	груди	胸	грудь	N	N;INAN;NOM;FEM;SG
胸	сундук	胸	сундук	N	N;INAN;NOM;MASC;SG
胸	грудь	胸	грудь	N	N;INAN;NOM;FEM;SG
胸	груди	胸	грудь	N	N;INAN;NOM;FEM;SG
胸	грудь	胸	грудь	N	N;INAN;NOM;FEM;SG
眼睛	глаз	眼睛	глаз	N	N;INAN;NOM;MASC;SG
眼睛	глаза	眼睛	глаз	N	N;INAN;NOM;MASC;PL
眼睛	глазки	眼睛	глазок	N	N;INAN;NOM;MASC;PL
眼睛	глаз	眼睛	глаз	N	N;INAN;NOM;MASC;SG
眼睛	око	眼睛	око	N	N;INAN;NOM;NEUT;SG
亂	бардак	亂	бардак	N	N;INAN;NOM;MASC;SG
亂	беспорядок	亂	беспорядок	N	N;INAN;NOM;MASC;SG
亂	бардак	亂	бардак	N	N;INAN;NOM;MASC;SG
星座	созвездии	星座	созвездие	N	N;INAN;NOM;NEUT;SG
星座	созвездия	星座	созвездие	N	N;INAN;NOM;NEUT;PL
星座	гороскоп	星座	гороскоп	N	N;INAN;NOM;MASC;SG
貴族	благородство	貴族	благородство	N	N;INAN;NOM;NEUT;SG
殺死	убейте	殺死	убейт	V	V;PFV;IMP;PL;2;FIN;ACT
訊息	сообщение	訊息	сообщение	N	N;INAN;NOM;NEUT;SG
訊息	послание	訊息	послание	N	N;INAN;NOM;NEUT;SG
訊息	сообщения	訊息	сообщение	N	N;INAN;NOM;NEUT;PL
訊息	сообщений	訊息	сообщение	N	N;INAN;GEN;NEUT;PL
訊息	послания	訊息	послание	N	N;INAN;NOM;NEUT;PL
浪漫	романтика	浪漫	романтика	N	N;INAN;NOM;FEM;SG
浪漫	романтики	浪漫	романтик	N	N;INAN;NOM;MASC;PL
浪漫	романтик	浪漫	романтик	N	N;ANIM;NOM;MASC;SG
浪漫	романтика	浪漫	романтика	N	N;INAN;NOM;FEM;SG
窗	окна	窗	окно	N	N;INAN;NOM;NEUT;PL
窗	окна	窗	окно	N	N;INAN;NOM;NEUT;PL
窗	окно	窗	окно	N	N;INAN;NOM;NEUT;SG
主權	суверенитет	主權	суверенитет	N	N;INAN;NOM;MASC;SG
探索	изучить	探索	изучить	V	V;PFV;NFIN;ACT
探索	исследовать	探索	исследовать	V	V;IPFV;NFIN;ACT
探索	обнаружить	探索	обнаружить	V	V;PFV;NFIN;ACT
晚間	вечер	晚間	вечер	N	N;INAN;NOM;MASC;SG
手槍	пистолеты	手槍	пистолет	N	N;INAN;NOM;MASC;PL
手槍	пистолет	手槍	пистолет	N	N;INAN;NOM;MASC;SG
月份	месяца	月份	месяц	N	N;INAN;GEN;MASC;SG
月份	месяцы	月份	месяц	N	N;INAN;NOM;MASC;PL
月份	месяцев	月份	месяц	N	N;INAN;GEN;MASC;PL
月份	месяц	月份	месяц	N	N;INAN;NOM;MASC;SG
月份	месяца	月份	месяц	N	N;INAN;GEN;MASC;SG
軸	шахту	軸	шахта	N	N;INAN;ACC;FEM;SG
軸	шахта	軸	шахта	N	N;INAN;NOM;FEM;SG
軸	осей	軸	ось	N	N;INAN;GEN;FEM;PL
軸	оси	軸	ось	N	N;INAN;NOM;FEM;PL
軸	ось	軸	ось	N	N;INAN;NOM;FEM;SG
軸	оси	軸	ось	N	N;INAN;NOM;FEM;PL
軸	ось	軸	ось	N	N;INAN;NOM;FEM;SG
內地	интерьер	內地	интерьер	N	N;INAN;NOM;MASC;SG
內地	материке	內地	материк	N	N;INAN;ESS;MASC;SG
電車	трамвай	電車	трамвай	N	N;INAN;NOM;MASC;SG
電車	тележки	電車	тележка	N	N;INAN;NOM;FEM;PL
電車	трамвай	電車	трамвай	N	N;INAN;NOM;MASC;SG
電車	трамваи	電車	трамвай	N	N;INAN;NOM;MASC;PL
電車	трамвай	電車	трамвай	N	N;INAN;NOM;MASC;SG
觀光	достопримечательности	觀光	достопримечательность	N	N;INAN;NOM;FEM;PL
唇	губки	唇	губка	N	N;INAN;NOM;FEM;PL
唇	губы	唇	губа	N	N;INAN;NOM;FEM;PL
唇	губ	唇	губа	N	N;INAN;GEN;MASC;SG
特區	сар	特區	сар	N	N;INAN;NOM;MASC;SG
適合	подходящих	適合	подходить	V	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
適合	подходящий	適合	подходить	V	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
適合	подходящее	適合	подходящий	V	V;IPFV;NOM;NEUT;SG;PRS;V.PTCP;ACT
適合	подходит	適合	подходить	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
適合	подходящие	適合	подходить	V	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
適合	подходит	適合	подходить	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
弟子	ученик	弟子	ученик	N	N;ANIM;NOM;MASC;SG
價格	цены	價格	цена	N	N;INAN;NOM;FEM;PL
價格	прайс	價格	прайс	N	N;INAN;NOM;MASC;SG
價格	цена	價格	цена	N	N;INAN;NOM;FEM;SG
銅	меди	銅	медь	N	N;INAN;GEN;FEM;SG
銅	коп	銅	коп	N	N;INAN;NOM;MASC;SG
銅	медь	銅	медь	N	N;INAN;NOM;FEM;SG
銅	бронза	銅	бронза	N	N;INAN;NOM;FEM;SG
部署	развертывание	部署	развертывание	N	N;INAN;NOM;NEUT;SG
部署	развертывания	部署	развертывание	N	N;INAN;NOM;NEUT;PL
精靈	джини	精靈	джина	N	N;INAN;NOM;FEM;SG
精靈	джинн	精靈	джинн	N	N;ANIM;NOM;MASC;SG
精靈	эльф	精靈	эльф	N	N;ANIM;NOM;MASC;SG
百年	столетие	百年	столетие	N	N;INAN;NOM;NEUT;SG
百年	столетия	百年	столетие	N	N;INAN;NOM;NEUT;PL
事實	факты	事實	факт	N	N;INAN;NOM;MASC;PL
事實	истина	事實	истина	N	N;INAN;NOM;FEM;SG
事實	правду	事實	правда	N	N;INAN;ACC;FEM;SG
巨人	гигантов	巨人	гигант	N	N;ANIM;GEN;MASC;PL
巨人	гигант	巨人	гигант	N	N;ANIM;NOM;MASC;SG
無限	бесконечности	無限	бесконечность	N	N;INAN;NOM;FEM;PL
王后	королева	王后	королева	N	N;ANIM;NOM;FEM;SG
王后	куин	王后	куин	N	N;INAN;NOM;MASC;SG
王后	царица	王后	царица	N	N;ANIM;NOM;FEM;SG
污染	загрязнение	污染	загрязнение	N	N;INAN;NOM;NEUT;SG
污染	заражение	污染	заражение	N	N;INAN;NOM;NEUT;SG
污染	загрязнение	污染	загрязнение	N	N;INAN;NOM;NEUT;SG
更高	выше	更高	высокий	ADJ	ADJ;CMPR
更高	выше	更高	высокий	ADJ	ADJ;CMPR
戰術	тактику	戰術	тактика	N	N;INAN;ACC;FEM;SG
戰術	тактика	戰術	тактика	N	N;INAN;NOM;FEM;SG
戰術	тактика	戰術	тактика	N	N;INAN;NOM;FEM;SG
宿舍	общежитие	宿舍	общежитие	N	N;INAN;NOM;NEUT;SG
宿舍	общежитии	宿舍	общежитие	N	N;INAN;ESS;NEUT;SG
宿舍	общежития	宿舍	общежитие	N	N;INAN;NOM;NEUT;PL
宿舍	общежитие	宿舍	общежитие	N	N;INAN;NOM;NEUT;SG
宿舍	общежития	宿舍	общежитие	N	N;INAN;NOM;NEUT;PL
宿舍	общежитие	宿舍	общежитие	N	N;INAN;NOM;NEUT;SG
宿舍	хостел	宿舍	хостел	N	N;INAN;NOM;MASC;SG
宿舍	общежитие	宿舍	общежитие	N	N;INAN;NOM;NEUT;SG
衛生	гигиены	衛生	гигиена	N	N;INAN;NOM;FEM;PL
衛生	гигиена	衛生	гигиен	N	N;INAN;NOM;FEM;SG
衛生	гигиены	衛生	гигиена	N	N;INAN;NOM;FEM;PL
衛生	санитарии	衛生	санитарий	N	N;INAN;NOM;FEM;PL
符號	символов	符號	символ	N	N;INAN;GEN;MASC;PL
符號	символы	符號	символ	N	N;INAN;NOM;MASC;PL
符號	символ	符號	символ	N	N;INAN;NOM;MASC;SG
誕生	родилась	誕生	рождаться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
誕生	родился	誕生	рождаться	V	V;PFV;MASC;IND;SG;PST;FIN;MID
議題	темы	議題	тема	N	N;INAN;NOM;FEM;PL
七十	семьдесят	七十	семьдесят	NUM	NUM;NOM
規範	нормы	規範	норма	N	N;INAN;NOM;FEM;PL
規範	норм	規範	норма	N	N;INAN;GEN;FEM;PL
規範	норм	規範	норма	N	N;INAN;GEN;FEM;PL
規範	норма	規範	норма	N	N;INAN;NOM;FEM;SG
規範	нормой	規範	норма	N	N;INAN;INS;FEM;SG
規範	нормы	規範	норма	N	N;INAN;NOM;FEM;PL
燈	свет	燈	свет	N	N;INAN;NOM;MASC;SG
燈	огни	燈	огонь	N	N;INAN;NOM;MASC;PL
燈	светильник	燈	светильник	N	N;INAN;NOM;MASC;SG
燈	лампа	燈	лампа	N	N;INAN;NOM;FEM;SG
印象	впечатления	印象	впечатление	N	N;INAN;NOM;NEUT;PL
印象	впечатление	印象	впечатление	N	N;INAN;NOM;NEUT;SG
印象	показы	印象	показ	N	N;INAN;NOM;MASC;PL
印象	впечатления	印象	впечатление	N	N;INAN;NOM;NEUT;PL
乳	молоко	乳	молоко	N	N;INAN;NOM;NEUT;SG
乳	молока	乳	молоко	N	N;INAN;GEN;NEUT;SG
神奇	удивительно	神奇	удивительный	ADJ	ADJ;NEUT;SG
神奇	потрясающая	神奇	потрясающий	ADJ	ADJ;NOM;FEM;SG
神奇	волшебная	神奇	волшебный	ADJ	ADJ;NOM;FEM;SG
神奇	волшебный	神奇	волшебный	ADJ	ADJ;NOM;MASC;SG
吐	плевать	吐	плевать	V	V;IPFV;NFIN;ACT
傑出	выдающийся	傑出	выдающийся	ADJ	ADJ;NOM;MASC;SG
傑出	выдающиеся	傑出	выдающийся	ADJ	ADJ;NOM;PL
日子	дни	日子	день	N	N;INAN;NOM;MASC;PL
日子	дней	日子	день	N	N;INAN;GEN;MASC;PL
種子	семена	種子	семя	N	N;INAN;NOM;NEUT;PL
種子	семя	種子	семя	N	N;INAN;NOM;NEUT;SG
種子	семена	種子	семя	N	N;INAN;NOM;NEUT;PL
種子	семян	種子	семя	N	N;INAN;GEN;NEUT;PL
樂園	рай	樂園	рай	N	N;INAN;NOM;MASC;SG
標本	образец	標本	образец	N	N;INAN;NOM;MASC;SG
標本	образцы	標本	образец	N	N;INAN;NOM;MASC;PL
標本	экземпляры	標本	экземпляр	N	N;INAN;NOM;MASC;PL
瀑布	водопады	瀑布	водопад	N	N;INAN;NOM;MASC;PL
瀑布	водопад	瀑布	водопад	N	N;INAN;NOM;MASC;SG
瀑布	фоллс	瀑布	фоллс	N	N;INAN;NOM;MASC;SG
呈現	представляем	呈現	представлять	V	V;IPFV;IND;PL;1;PRS;FIN;ACT
維護	поддержание	維護	поддержание	N	N;INAN;NOM;NEUT;SG
維護	ведение	維護	ведение	N	N;INAN;NOM;NEUT;SG
搜尋	поиск	搜尋	поиск	N	N;INAN;NOM;MASC;SG
搜尋	поиск	搜尋	поиск	N	N;INAN;NOM;MASC;SG
答	ответ	答	ответ	N	N;INAN;NOM;MASC;SG
鼓勵	поощрять	鼓勵	поощрять	V	V;IPFV;NFIN;ACT
氪	криптон	氪	криптон	N	N;INAN;NOM;MASC;SG
考試	экзамены	考試	экзамен	N	N;INAN;NOM;MASC;PL
考試	экзамен	考試	экзамен	N	N;INAN;NOM;MASC;SG
考試	экзамены	考試	экзамен	N	N;INAN;NOM;MASC;PL
考試	экзамен	考試	экзамен	N	N;INAN;NOM;MASC;SG
考試	экзамены	考試	экзамен	N	N;INAN;NOM;MASC;PL
展覽	выставка	展覽	выставка	N	N;INAN;NOM;FEM;SG
展覽	выставки	展覽	выставка	N	N;INAN;NOM;FEM;PL
展覽	выставка	展覽	выставка	N	N;INAN;NOM;FEM;SG
展覽	выставки	展覽	выставка	N	N;INAN;NOM;FEM;PL
展覽	выставки	展覽	выставка	N	N;INAN;NOM;FEM;PL
輸入	войти	輸入	войти	V	V;PFV;NFIN;ACT
輸入	введите	輸入	ввести	V	V;PFV;IMP;PL;2;FIN;ACT
保守	консервативные	保守	консервативный	ADJ	ADJ;NOM;PL
真人	масато	真人	масать	N	N;ANIM;NOM;MASC;SG
幫忙	помогите	幫忙	помочь	V	V;PFV;IMP;PL;2;FIN;ACT
幫忙	помочь	幫忙	помочь	V	V;PFV;NFIN;ACT
競賽	соревнования	競賽	соревнование	N	N;INAN;NOM;NEUT;PL
競賽	конкурсы	競賽	конкурс	N	N;INAN;NOM;MASC;PL
競賽	гонки	競賽	гонка	N	N;INAN;NOM;FEM;PL
競賽	гонка	競賽	гонка	N	N;INAN;NOM;FEM;SG
競賽	расы	競賽	раса	N	N;INAN;NOM;FEM;PL
競賽	раса	競賽	раса	N	N;INAN;NOM;FEM;SG
競賽	конкуренция	競賽	конкуренция	N	N;INAN;NOM;FEM;SG
競賽	соревнования	競賽	соревнование	N	N;INAN;NOM;NEUT;PL
競賽	конкурс	競賽	конкурс	N	N;INAN;NOM;MASC;SG
競賽	конкуренции	競賽	конкуренция	N	N;INAN;GEN;FEM;SG
競賽	соревнование	競賽	соревнование	N	N;INAN;NOM;NEUT;SG
競賽	конкурс	競賽	конкурс	N	N;INAN;NOM;MASC;SG
