for	pour	for	pour	ADP	ADP
markeret	vérifié	markere	vérifier	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
markeret	vérifiée	markere	vérifier	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
markeret	coché	markere	coché	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
markeret	signalé	markere	signaler	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
markeret	signalée	markere	signaler	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
markeret	marquée	markere	marquer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
markeret	marqué	markere	marquer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
øvre	supérieure	øvre	supérieur	ADJ	ADJ;FEM;SG
øvre	supérieur	øvre	supérieur	ADJ	ADJ;MASC;SG
afsluttet	terminée	afslutte	terminer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
afsluttet	résilié	afslutte	résilier	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
afsluttet	fini	afslutte	finir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
afsluttet	terminée	afslutte	terminer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
afsluttet	terminé	afslutte	terminer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
afsluttet	complété	afslutte	compléter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
afsluttet	terminée	afslutte	terminer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
afsluttet	achevé	afslutte	achever	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
afsluttet	terminé	afslutte	terminer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
computer	ordinateur	compute	ordinateur	N;INDF;MASC+FEM;SG	N;MASC;SG
computer	bureau	compute	bureau	N;INDF;MASC+FEM;SG	N;MASC;SG
netværk	réseautage	netværk	réseautage	N;INDF;NEUT;SG	N;MASC;SG
netværk	réseau	netværk	réseau	N;INDF;NEUT;SG	N;MASC;SG
netværk	reseau	netværk	reseau	N;INDF;NEUT;SG	N;MASC;SG
netværk	réseau	netværk	réseau	N;INDF;NEUT;SG	N;MASC;SG
johansen	johansen	johans	johansen	N;DEF;MASC+FEM;SG	N;MASC;SG
skudt	abattu	skyde	abattre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
producere	produire	producere	produire	V;NFIN;ACT	V;NFIN
producere	produisent	producere	produire	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
butikker	commerces	butik	commerce	N;INDF;MASC+FEM;PL	N;MASC;PL
butikker	magasins	butik	magasin	N;INDF;MASC+FEM;PL	N;MASC;PL
butikker	boutiques	butik	boutique	N;INDF;MASC+FEM;PL	N;FEM;PL
butikker	magasins	butik	magasin	N;INDF;MASC+FEM;PL	N;MASC;PL
hævdede	réclamé	hævde	réclamer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
hævdede	prétendu	hævde	prétendre	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
hævdede	revendiqué	hævde	revendiquer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
personligt	personnellement	personligt	personnellement	ADV	ADV
passer	ajuster	passe	ajuster	V;IND;PRS;FIN;ACT	V;NFIN
troede	réfléchi	tro	réfléchir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
troede	pensé	tro	pensé	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
artiklerne	articles	artikel	article	N;DEF;MASC+FEM;PL	N;MASC;PL
blues	blues	blue	blues	N;INDF;MASC+FEM;SG	N;MASC;SG
blues	cafard	blue	cafard	N;INDF;MASC+FEM;SG	N;MASC;SG
repræsentanter	représentants	repræsentant	représentant	N;INDF;MASC+FEM;PL	N;MASC;PL
desværre	tristement	desværre	tristement	ADV	ADV
desværre	hélas	desværre	héla	ADV	ADV
desværre	malheureusement	desværre	malheureusement	ADV	ADV
desværre	hélas	desværre	héla	ADV	ADV
desværre	malheureusement	desværre	malheureusement	ADV	ADV
lighed	ressemblance	lighed	ressemblance	N;INDF;MASC+FEM;SG	N;FEM;SG
lighed	égalité	lighed	égalité	N;INDF;MASC+FEM;SG	N;FEM;SG
lighed	egalité	lighed	egalité	N;INDF;MASC+FEM;SG	N;FEM;SG
lighed	similitude	lighed	similitude	N;INDF;MASC+FEM;SG	N;FEM;SG
lighed	ressemblance	lighed	ressemblance	N;INDF;MASC+FEM;SG	N;FEM;SG
lighed	similarité	lighed	similarité	N;INDF;MASC+FEM;SG	N;FEM;SG
handling	action	handling	action	N;INDF;MASC+FEM;SG	N;FEM;SG
fulde	complète	fuld	complet	ADJ;DEF;SG	ADJ;FEM;SG
fulde	pleine	fuld	plein	ADJ;DEF;SG	ADJ;FEM;SG
fulde	plein	fuld	plein	ADJ;DEF;SG	ADJ;MASC;SG
fulde	complet	fuld	complet	ADJ;DEF;SG	ADJ;MASC;SG
fulde	saoul	fuld	saoul	ADJ;DEF;SG	ADJ;MASC;SG
fulde	ivre	fuld	ivre	ADJ;DEF;SG	ADJ;MASC;SG
eksamen	examen	eksamen	examen	N;INDF;MASC+FEM;SG	N;MASC;SG
eksamen	examen	eksamen	examen	N;INDF;MASC+FEM;SG	N;MASC;SG
repræsentant	représentant	repræsentant	représentant	N;INDF;MASC+FEM;SG	N;MASC;SG
repræsentant	représentante	repræsentant	représentant	N;INDF;MASC+FEM;SG	N;FEM;SG
manager	directeur	manager	directeur	N;INDF;MASC+FEM;SG	N;MASC;SG
manager	manager	manager	manager	N;INDF;MASC+FEM;SG	N;MASC;SG
manager	directrice	manager	directrice	N;INDF;MASC+FEM;SG	N;FEM;SG
manager	gérant	manager	gérant	N;INDF;MASC+FEM;SG	N;MASC;SG
sex	sexe	sex	sexe	N;INDF;MASC+FEM;SG	N;MASC;SG
opløst	dissoute	opløse	dissoudre	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
opløst	dissout	opløse	dissout	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
opløst	dissoudre	opløse	dissoudre	V;INDF;SG;PST;V.PTCP	V;NFIN
opløst	dissous	opløse	dissoudre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
opløst	désintégré	opløse	désintégrer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
opløst	dissoute	opløse	dissoudre	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
opløst	dissous	opløse	dissoudre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
opløst	démantelé	opløse	démanteler	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
forbedre	améliorez	forbedre	améliorer	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
forbedre	améliore	forbedre	améliorer	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
forbedre	améliorer	forbedre	améliorer	V;NFIN;ACT	V;NFIN
udgivelser	publications	udgivelse	publication	N;INDF;MASC+FEM;PL	N;FEM;PL
beskrev	décrites	beskrive	décrire	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
beskrev	décrits	beskrive	décrire	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
beskrev	décrit	beskrive	décrire	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
beskrev	décrite	beskrive	décrire	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
udbredelse	diffusion	udbredelse	diffusion	N;INDF;MASC+FEM;SG	N;FEM;SG
udbredelse	diffusion	udbredelse	diffusion	N;INDF;MASC+FEM;SG	N;FEM;SG
udbredelse	dissémination	udbredelse	dissémination	N;INDF;MASC+FEM;SG	N;FEM;SG
rektor	proviseur	rektor	proviseur	N;INDF;MASC+FEM;SG	N;MASC;SG
rektor	recteur	rektor	recteur	N;INDF;MASC+FEM;SG	N;MASC;SG
vilde	sauvages	vild	sauvage	ADJ;PL	ADJ;MASC;PL
vilde	sauvages	vild	sauvage	ADJ;PL	ADJ;MASC;PL
kåret	votée	kår	voter	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
kåret	voté	kår	voter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
cambridge	cambridge	cambridge	cambridge	N;INDF;MASC+FEM;SG	N;MASC;SG
internettet	internet	internettet	internet	N;DEF;NEUT;SG	N;MASC;SG
kemi	chimie	kemi	chimie	N;INDF;MASC+FEM;SG	N;FEM;SG
beregnet	calculé	beregne	calculer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
beregnet	calculée	beregne	calculer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
beregnet	calculé	beregne	calculer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
beregnet	calculée	beregne	calculer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
langsomt	lentement	langsomt	lentement	ADV	ADV
langsomt	lentement	langsomt	lentement	ADV	ADV
langsomt	doucement	langsomt	doucement	ADV	ADV
rolling	laminage	rolling	laminage	N;INDF;MASC+FEM;SG	N;MASC;SG
rolling	roulement	rolling	roulement	N;INDF;MASC+FEM;SG	N;MASC;SG
sekretær	secrétaire	sekretær	secrétaire	N;INDF;MASC+FEM;SG	N;MASC;SG
offentligt	publiquement	offentligt	publiquement	ADV	ADV
varierer	varient	variere	varier	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
varierer	varie	variere	varier	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
varierer	varie	variere	varier	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
varierer	varient	variere	varier	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
bragt	apporté	bringe	apporter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
bragt	amené	bringe	amener	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
skove	forêts	skov	forêt	N;INDF;MASC+FEM;PL	N;FEM;PL
skove	forêts	skov	forêt	N;INDF;MASC+FEM;PL	N;FEM;PL
hjalp	aidé	hjælpe	aider	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
hjalp	aidés	hjælpe	aider	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
tilladt	autorisée	tillade	autoriser	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
tilladt	autorisé	tillade	autoriser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
tilladt	agréé	tillade	agrée	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
tilladt	autorisé	tillade	autoriser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
tilladt	autorisée	tillade	autoriser	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
tilladt	autorisé	tillade	autoriser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
milliarder	milliards	milliard	milliard	N;INDF;MASC+FEM;PL	N;MASC;PL
milliarder	milliards	milliard	milliard	N;INDF;MASC+FEM;PL	N;MASC;PL
milliarder	billions	milliard	billion	N;INDF;MASC+FEM;PL	N;MASC;PL
besat	possédé	besætte	possédé	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
besat	possédée	besætte	posséder	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
besat	occupé	besætte	occuper	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
besat	occupée	besætte	occuper	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
besat	obsédé	besætte	obséder	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
besat	obsédée	besætte	obséder	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fremragende	excellents	fremragende	excellent	ADJ	ADJ;MASC;PL
fremragende	excellente	fremragende	excellent	ADJ	ADJ;FEM;SG
fremragende	excellent	fremragende	excellent	ADJ	ADJ;MASC;SG
dårlig	méchant	dårlig	méchant	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
dårlig	mauvaise	dårlig	mauvais	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
dårlig	mauvais	dårlig	mauvais	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
steg	rosé	stige	rosé	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kratere	cratères	krater	cratère	N;INDF;NEUT;PL	N;MASC;PL
juridisk	juridique	juridisk	juridique	ADJ;INDF;SG	ADJ;MASC;SG
juridisk	légal	juridisk	légal	ADJ;INDF;SG	ADJ;MASC;SG
juridisk	légale	juridisk	légal	ADJ;INDF;SG	ADJ;FEM;SG
software	logiciel	softwar	logiciel	N;INDF;MASC+FEM;SG	N;MASC;SG
fans	fans	fans	fan	N;INDF;MASC+FEM;PL	N;MASC;PL
fans	ventilateurs	fans	ventilateur	N;INDF;MASC+FEM;PL	N;MASC;PL
fans	adeptes	fans	adepte	N;INDF;MASC+FEM;PL	N;MASC;PL
kolde	froids	kold	froid	ADJ;PL	ADJ;MASC;PL
deler	partager	dele	partager	V;IND;PRS;FIN;ACT	V;NFIN
deler	partager	dele	partager	V;IND;PRS;FIN;ACT	V;NFIN
besluttet	décidée	beslutte	décider	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
besluttet	décidé	beslutte	décider	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
riget	reich	rige	reich	N;DEF;NEUT;SG	N;MASC;SG
halvt	demi	halv	demi	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
malerier	peintures	maleri	peinture	N;INDF;NEUT;PL	N;FEM;PL
malerier	toiles	maleri	toile	N;INDF;NEUT;PL	N;FEM;PL
malerier	tableaux	maleri	tableau	N;INDF;NEUT;PL	N;MASC;PL
islam	islam	islam	islam	N;INDF;MASC+FEM;SG	N;MASC;SG
foreslået	suggérée	foreslå	suggérer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
foreslået	suggéré	foreslå	suggérer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
foreslået	proposé	foreslå	proposer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
foreslået	proposée	foreslå	proposer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
foreslået	proposé	foreslå	proposer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
flora	flore	flora	flore	N;INDF;MASC+FEM;SG	N;FEM;SG
gram	mamy	gram	mamy	N;INDF;MASC+FEM;SG	N;FEM;SG
gram	gramme	gram	gramme	N;INDF;MASC+FEM;SG	N;MASC;SG
gram	gram	gram	gram	N;INDF;MASC+FEM;SG	N;MASC;SG
bevarede	maintenus	bevare	maintenu	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
bevarede	conservés	bevare	conserver	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
bevarede	préservés	bevare	préserver	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
bevarede	conservées	bevare	conserver	V;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
bevarede	préservées	bevare	préserver	V;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
bevarede	conservés	bevare	conserver	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
bevarede	conservées	bevare	conserver	V;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
kristen	chrétienne	kristen	chrétien	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
kristen	chrétien	kristen	chrétien	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
drive	lecteur	drive	lecteur	N;INDF;MASC+FEM;SG	N;MASC;SG
mulig	possible	mulig	possible	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fod	foot	fod	foot	N;INDF;MASC+FEM;SG	N;MASC;SG
fod	pied	fod	pied	N;INDF;MASC+FEM;SG	N;MASC;SG
halv	demi	halv	demi	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
længdekreds	méridien	længdekreds	méridien	N;INDF;MASC+FEM;SG	N;MASC;SG
hovedsæde	siège	hovedsæde	siège	N;INDF;NEUT;SG	N;MASC;SG
fyldt	remplie	fylde	remplir	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fyldt	rempli	fylde	remplir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
anerkendelse	reconnaissance	anerkendelse	reconnaissance	N;INDF;MASC+FEM;SG	N;FEM;SG
anerkendelse	reconnaissance	anerkendelse	reconnaissance	N;INDF;MASC+FEM;SG	N;FEM;SG
snarere	plutôt	snarere	plutôt	ADV	ADV
rute	itinéraire	rute	itinéraire	N;INDF;MASC+FEM;SG	N;MASC;SG
rute	route	rute	route	N;INDF;MASC+FEM;SG	N;FEM;SG
rute	trajet	rute	trajet	N;INDF;MASC+FEM;SG	N;MASC;SG
rute	parcours	rute	parcours	N;INDF;MASC+FEM;SG	N;MASC;SG
beskæftiger	emploie	beskæftige	employer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
voksende	grandir	vokse	grandir	V;PRS;V.PTCP	V;NFIN
voksende	grandissant	vokse	grandir	V;PRS;V.PTCP	V;PRS;V.PTCP
forbinder	connecter	forbinder	connecter	V;IND;PRS;FIN;ACT	V;NFIN
forbinder	reliant	forbinder	relier	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
romaner	romans	roman	roman	N;INDF;MASC+FEM;PL	N;MASC;PL
ægte	réel	ægte	réel	ADJ	ADJ;MASC;SG
ægte	réelle	ægte	réel	ADJ	ADJ;FEM;SG
ægte	véritable	ægte	véritable	ADJ	ADJ;MASC;SG
ægte	vrai	ægte	vrai	ADJ	ADJ;MASC;SG
ægte	vraie	ægte	vrai	ADJ	ADJ;FEM;SG
ægte	authentiques	ægte	authentique	ADJ	ADJ;MASC;PL
ægte	authentique	ægte	authentique	ADJ	ADJ;MASC;SG
ægte	authentiques	ægte	authentique	ADJ	ADJ;MASC;PL
ægte	véritable	ægte	véritable	ADJ	ADJ;MASC;SG
ægte	authentique	ægte	authentique	ADJ	ADJ;MASC;SG
styret	gérée	styre	gérer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
styret	géré	styre	gérer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
styret	guidé	styre	guider	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
styret	guidée	styre	guider	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
styret	contrôlée	styre	contrôler	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
styret	contrôlé	styre	contrôler	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
job	emploi	job	emploi	N;INDF;NEUT;SG	N;MASC;SG
golden	golden	gold	golden	N;DEF;MASC+FEM;SG	N;MASC;SG
oplag	entrepôt	oplag	entrepôt	N;INDF;NEUT;SG	N;MASC;SG
oplag	circulation	oplag	circulation	N;INDF;NEUT;SG	N;FEM;SG
følte	senti	føle	sentir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
følte	ressenti	føle	ressentir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
begyndt	commencé	begynde	commencer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
begyndt	démarré	begynde	démarrer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
begyndt	commencée	begynde	commencer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
begyndt	commencé	begynde	commencer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
begyndt	commencée	begynde	commencer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
morgen	matin	morgen	matin	N;INDF;MASC+FEM;SG	N;MASC;SG
alvor	gravité	alvor	gravité	N;INDF;MASC+FEM;SG	N;FEM;SG
erobret	vaincu	erobre	vaincre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
erobret	conquis	erobre	conquérir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
erobret	conquise	erobre	conquérir	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fængslet	prison	fængsel	prison	N;DEF;NEUT;SG	N;FEM;SG
fængslet	prison	fængsel	prison	N;DEF;NEUT;SG	N;FEM;SG
frivillige	volontaires	frivillig	volontaire	ADJ;PL	ADJ;MASC;PL
frivillige	bénévoles	frivillig	bénévole	ADJ;PL	ADJ;MASC;PL
frivillige	volontaires	frivillig	volontaire	ADJ;PL	ADJ;MASC;PL
sangerinde	chanteur	sangerinde	chanteur	N;INDF;MASC+FEM;SG	N;MASC;SG
sangerinde	chanteuse	sangerinde	chanteur	N;INDF;MASC+FEM;SG	N;FEM;SG
ejere	propriétaires	ejer	propriétaire	N;INDF;MASC+FEM;PL	N;MASC;PL
sekunder	secondes	sekunder	seconde	N;INDF;MASC+FEM;PL	N;FEM;PL
jane	jeanne	jane	jeanne	N;INDF;MASC+FEM;SG	N;FEM;SG
udbrud	épidémie	udbrud	épidémie	N;INDF;NEUT;SG	N;FEM;SG
udbrud	éclosion	udbrud	éclosion	N;INDF;NEUT;SG	N;FEM;SG
udbrud	éruption	udbrud	éruption	N;INDF;NEUT;SG	N;FEM;SG
berømt	fameux	berømt	fameux	ADJ;INDF;SG	ADJ;MASC;SG
berømt	célèbre	berømt	célèbre	ADJ;INDF;SG	ADJ;MASC;SG
mangel	carence	mangel	carence	N;INDF;MASC+FEM;SG	N;FEM;SG
mangel	déficience	mangel	déficience	N;INDF;MASC+FEM;SG	N;FEM;SG
mangel	absence	mangel	absence	N;INDF;MASC+FEM;SG	N;FEM;SG
mangel	manque	mangel	manque	N;INDF;MASC+FEM;SG	N;MASC;SG
mangel	pénurie	mangel	pénurie	N;INDF;MASC+FEM;SG	N;FEM;SG
virkning	impact	virkning	impact	N;INDF;MASC+FEM;SG	N;MASC;SG
virkning	incidence	virkning	incidence	N;INDF;MASC+FEM;SG	N;FEM;SG
virkning	effet	virkning	effet	N;INDF;MASC+FEM;SG	N;MASC;SG
heste	chevaux	hest	cheval	N;INDF;MASC+FEM;PL	N;MASC;PL
heste	chevaux	hest	cheval	N;INDF;MASC+FEM;PL	N;MASC;PL
årsag	raison	årsag	raison	N;INDF;MASC+FEM;SG	N;FEM;SG
årsag	cause	årsag	cause	N;INDF;MASC+FEM;SG	N;FEM;SG
nærliggende	proche	nærliggende	proche	ADJ	ADJ;MASC;SG
beholdt	conservés	beholde	conserver	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
beholdt	conservées	beholde	conserver	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
beholdt	conservé	beholde	conserver	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
beholdt	retenue	beholde	retenir	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
beholdt	retenu	beholde	retenir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
beholdt	gardé	beholde	garder	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
baggrunden	fond	baggrund	fond	N;DEF;MASC+FEM;SG	N;MASC;SG
baggrunden	contexte	baggrund	contexte	N;DEF;MASC+FEM;SG	N;MASC;SG
elsker	aime	elske	aimer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
elsker	aimer	elske	aimer	V;IND;PRS;FIN;ACT	V;NFIN
elsker	aime	elske	aimer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
elsker	adore	elske	adorer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
borgen	château	borgen	château	N;DEF;MASC+FEM;SG	N;MASC;SG
borgen	chateau	borgen	château	N;DEF;MASC+FEM;SG	N;MASC;SG
dreng	garçon	dreng	garçon	N;INDF;MASC+FEM;SG	N;MASC;SG
dreng	boy	dreng	boy	N;INDF;MASC+FEM;SG	N;MASC;SG
dreng	gamin	dreng	gamin	N;INDF;MASC+FEM;SG	N;MASC;SG
hovedsagelig	principalement	hovedsagelig	principalement	ADV	ADV
hovedsagelig	essentiellement	hovedsagelig	essentiellement	ADV	ADV
ramte	touché	ramme	toucher	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ramte	frappé	ramme	frapper	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ramte	frapper	ramme	frapper	V;IND;PST;FIN;ACT	V;NFIN
lufthavnen	aéroport	lufthavn	aéroport	N;DEF;MASC+FEM;SG	N;MASC;SG
hjælper	aidant	hjælpe	aider	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
hjælper	aider	hjælpe	aider	V;IND;PRS;FIN;ACT	V;NFIN
samarbejdet	coopération	samarbejde	coopération	N;DEF;NEUT;SG	N;FEM;SG
stephen	étienne	steph	étien	N;INDF;MASC+FEM;SG	N;MASC;SG
png	png	png	png	N;INDF;MASC+FEM;SG	N;MASC;SG
politi	police	politi	police	N;INDF;NEUT;SG	N;FEM;SG
politi	policier	politi	policier	N;INDF;NEUT;SG	N;MASC;SG
udgiver	publier	udgive	publier	V;IND;PRS;FIN;ACT	V;NFIN
firma	compagnie	firma	compagnie	N;INDF;NEUT;SG	N;FEM;SG
firma	société	firma	société	N;INDF;NEUT;SG	N;FEM;SG
producerede	produite	producere	produire	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
producerede	produites	producere	produire	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
meddelte	annoncé	meddele	annoncer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
meddelte	annoncés	meddele	annoncer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
meddelte	annoncées	meddele	annoncer	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
meddelte	annoncée	meddele	annoncer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
afsnittet	section	afsnitte	section	N;DEF;NEUT;SG	N;FEM;SG
tilbyder	offrir	tilbyde	offrir	V;IND;PRS;FIN;ACT	V;NFIN
tilbyder	offrant	tilbyde	offrir	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
sæt	définir	sætte	définir	V;IMP	V;NFIN
minde	mémoire	minde	mémoire	N;INDF;NEUT;SG	N;FEM;SG
inspiration	inspiration	inspiration	inspiration	N;INDF;MASC+FEM;SG	N;FEM;SG
drenge	garçons	dreng	garçon	N;INDF;MASC+FEM;PL	N;MASC;PL
bånd	ruban	bånd	ruban	N;INDF;NEUT;SG	N;MASC;SG
bånd	cassette	bånd	cassette	N;INDF;NEUT;SG	N;FEM;SG
bånd	bande	bånd	bande	N;INDF;NEUT;SG	N;FEM;SG
bånd	ruban	bånd	ruban	N;INDF;NEUT;SG	N;MASC;SG
støttet	appuyé	støtte	appuyer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
støttet	soutenue	støtte	soutenir	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
