ben	本	ben	本		
részlet	詳細	részlet	詳細	N;NOM;SG	N
részlet	詳情	részlet	詳情	N;NOM;SG	N
kalandjai	冒險	kaland	冒險	N;NOM;PL	N
küldetés	任務	küldetés	任務	N;NOM;SG	N
műsorvezető	主機	műsorvezető	主機	N;NOM;SG	N
sejtek	細胞	sej	細胞	N;NOM;PL	N
várt	預計	vár	預計	V;INDF;IND;SG;3;PST;FIN;ACT	V
hamburg	漢堡	hamburg	漢堡	N;NOM;SG	N
kongresszus	國會	kongresszus	國會	N;NOM;SG	N
valóság	現實	valóság	現實	N;NOM;SG	N
völgyben	河谷	völgy	河谷	N;IN+ESS;SG	N
völgyben	谷	völgy	谷	N;IN+ESS;SG	N
völgyben	山谷	völgy	山谷	N;IN+ESS;SG	N
völgyben	谷地	völgy	谷地	N;IN+ESS;SG	N
drámaíró	劇作家	drámaíró	劇作家	N;NOM;SG	N
kezelés	治療	kezelés	治療	N;NOM;SG	N
kezelés	療	kezelés	療	N;NOM;SG	N
kezelés	治療	kezelés	治療	N;NOM;SG	N
bőr	皮革	bőr	皮革	N;NOM;SG	N
bőr	皮	bőr	皮	N;NOM;SG	N
bőr	肌膚	bőr	肌膚	N;NOM;SG	N
cselekmény	陰謀	cselekmény	陰謀	N;NOM;SG	N
cselekmény	劇情	cselekmény	劇情	N;NOM;SG	N
hegyen	山	hegy	山	N;ON+ESS;SG	N
hegyen	山區	hegy	山區	N;ON+ESS;SG	N
hegyen	山地	hegy	山地	N;ON+ESS;SG	N
hegyen	山	hegy	山	N;ON+ESS;SG	N
dobok	鼓聲	dob	鼓聲	N;NOM;PL	N
dobok	鼓	dob	鼓	N;NOM;PL	N
útvonalon	路線	útvonal	路線	N;ON+ESS;SG	N
tilos	禁	tilos	禁		
szárny	翼	szárny	翼	N;NOM;SG	N
szárny	翅膀	szárny	翅膀	N;NOM;SG	N
szárny	翼	szárny	翼	N;NOM;SG	N
gyűjtött	收集	gyűjt	收集	V;INDF;IND;SG;3;PST;FIN;ACT	V
angyal	天使	angyal	天使	N;NOM;SG	N
arsenal	武庫	arsenal	武庫	N;NOM;SG	N
tölti	花費	tölt	花費	V;DEF;IND;SG;3;PRS;FIN;ACT	V
megsérült	受傷	meg+sérül	受傷	V;INDF;IND;SG;3;PST;FIN;ACT	V
megsérült	受損	meg+sérül	受損	V;INDF;IND;SG;3;PST;FIN;ACT	V
módosított	修改	módosított	修改	V;INDF;IND;SG;3;PST;FIN;ACT	V
szimfonikus	交響	szimfonikus	交響	N;NOM;SG	N
szimfonikus	交響	szimfonikus	交響	N;NOM;SG	N
akartam	通緝	akar	通緝	V;INDF;IND;SG;1;PST;FIN;ACT	V
gyűrű	環	gyűrű	環	N;NOM;SG	N
gyűrű	戒指	gyűrű	戒指	N;NOM;SG	N
gyűrű	環	gyűrű	環	N;NOM;SG	N
gyűrű	戒指	gyűrű	戒指	N;NOM;SG	N
borító	封面	borító	封面	N;NOM;SG	N
borító	掩護	borító	掩護	N;NOM;SG	N
borító	封面	borító	封面	N;NOM;SG	N
gyilkosság	凶	gyilkosság	凶	N;NOM;SG	N
gyilkosság	凶	gyilkosság	凶	N;NOM;SG	N
környéken	鄰里	környék	鄰里	N;ON+ESS;SG	N
aláírás	簽名	aláírás	簽名	N;NOM;SG	N
aláírás	簽名	aláírás	簽名	N;NOM;SG	N
táj	風景	táj	風景	N;NOM;SG	N
táj	風景	táj	風景	N;NOM;SG	N
táj	景觀	táj	景觀	N;NOM;SG	N
hun	渾	hun	渾		
lovag	騎士	lovag	騎士	N;NOM;SG	N
hadosztály	組織	hadosztály	組織	N;NOM;SG	N
turizmus	旅遊	turizmus	旅遊	N;NOM;SG	N
érzem	感受	érez	感受	V;DEF;IND;SG;1;PRS;FIN;ACT	V
érzem	感受	érez	感受	V;DEF;IND;SG;1;PRS;FIN;ACT	V
fegyverek	武器	fegyver	武器	N;NOM;PL	N
fegyverek	兵器	fegyver	兵器	N;NOM;PL	N
fegyverek	槍支	fegyver	槍支	N;NOM;PL	N
fegyverek	槍械	fegyver	槍械	N;NOM;PL	N
fegyverek	軍	fegyver	軍	N;NOM;PL	N
ezred	團	ezred	團	N;NOM;SG	N
ezred	兵團	ezred	兵團	N;NOM;SG	N
fejét	頭	feje	頭	N;ACC;SG	N
fejét	頭部	feje	頭部	N;ACC;SG	N
haladás	進步	haladás	進步	N;NOM;SG	N
haladás	進度	haladás	進度	N;NOM;SG	N
vélemények	審查	vélemény	審查	N;NOM;PL	N
vélemények	意見	vélemény	意見	N;NOM;PL	N
vélemények	意見	vélemény	意見	N;NOM;PL	N
temetés	葬禮	temetés	葬禮	N;NOM;SG	N
virtuális	虛擬	virtuális	虛擬	N;NOM;SG	N
építkezés	施工	építkezés	施工	N;NOM;SG	N
építkezés	建築	építkezés	建築	N;NOM;SG	N
diák	學生	diák	學生	N;NOM;SG	N
ábécé	字母	ábéc	字母	N;NOM;SG	N
támogatott	贊助	támogat	贊助	V;INDF;IND;SG;3;PST;FIN;ACT	V
fürdő	溫泉	fürdő	溫泉	N;NOM;SG	N
fürdő	水療	fürdő	水療	N;NOM;SG	N
fürdő	浴室	fürdő	浴室	N;NOM;SG	N
fürdő	浴	fürdő	浴	N;NOM;SG	N
medve	熊	medve	熊	N;NOM;SG	N
naptár	日曆	naptár	日曆	N;NOM;SG	N
naptár	曆	naptár	曆	N;NOM;SG	N
nyelve	舌頭	nyelve	舌頭	N;NOM;SG	N
nyelve	舌	nyelve	舌	N;NOM;SG	N
tudás	知識	tudás	知識	N;NOM;SG	N
szentek	聖人	szenik	聖人	N;NOM;PL	N
szentek	聖徒	szenik	聖徒	N;NOM;PL	N
felügyelő	督察	felügyelő	督察	N;NOM;SG	N
felügyelő	主管	felügyelő	主管	N;NOM;SG	N
felügyelő	督導	felügyelő	督導	N;NOM;SG	N
pajzs	盾牌	pajzs	盾牌	N;NOM;SG	N
pajzs	盾牌	pajzs	盾牌	N;NOM;SG	N
szabadtéri	室外	szabadtéri	室外	N;NOM;SG	N
szabadtéri	戶外	szabadtéri	戶外	N;NOM;SG	N
nukleáris	核	nukleáris	核	N;NOM;SG	N
nukleáris	核子	nukleáris	核子	N;NOM;SG	N
meghatározása	定義	meghatározás	定義	N;NOM;SG	N
meghatározása	決心	meghatározás	決心	N;NOM;SG	N
foglalkozás	職業	foglalkozás	職業	N;NOM;SG	N
foglalkozás	專業	foglalkozás	專業	N;NOM;SG	N
foglalkozás	職業	foglalkozás	職業	N;NOM;SG	N
emlékek	記憶	emlék	記憶	N;NOM;PL	N
emlékek	記憶	emlék	記憶	N;NOM;PL	N
emlékek	記憶	emlék	記憶	N;NOM;PL	N
emlékek	記憶	emlék	記憶	N;NOM;PL	N
kán	可汗	kán	可汗	N;NOM;SG	N
kán	大汗	kán	大汗	N;NOM;SG	N
kán	汗	kán	汗	N;NOM;SG	N
vonalak	線	vonal	線	N;NOM;PL	N
vonalak	線	vonal	線	N;NOM;PL	N
talaj	土壤	talaj	土壤	N;NOM;SG	N
talaj	泥土	talaj	泥土	N;NOM;SG	N
talaj	土壤	talaj	土壤	N;NOM;SG	N
talaj	土	talaj	土	N;NOM;SG	N
talaj	地面	talaj	地面	N;NOM;SG	N
rendelt	訂購	rendelt	訂購	V;INDF;IND;SG;3;PST;FIN;ACT	V
kocsi	車	kocsi	車	N;NOM;SG	N
kocsi	汽車	kocsi	汽車	N;NOM;SG	N
kocsi	馬車	kocsi	馬車	N;NOM;SG	N
hegedű	琴	hegedű	琴	N;NOM;SG	N
hegedű	提琴	hegedű	提琴	N;NOM;SG	N
foglalkozása	職業	foglalkozás	職業	N;NOM;SG	N
foglalkozása	專業	foglalkozás	專業	N;NOM;SG	N
foglalkozása	職業	foglalkozás	職業	N;NOM;SG	N
por	塵土	por	塵土	N;NOM;SG	N
por	塵	por	塵	N;NOM;SG	N
por	塵埃	por	塵埃	N;NOM;SG	N
por	灰塵	por	灰塵	N;NOM;SG	N
por	粉	por	粉	N;NOM;SG	N
por	粉末	por	粉末	N;NOM;SG	N
por	火藥	por	火藥	N;NOM;SG	N
szellem	鬼	szellem	鬼	N;NOM;SG	N
szellem	鬼	szellem	鬼	N;NOM;SG	N
szellem	幽靈	szellem	幽靈	N;NOM;SG	N
szellem	精神	szellem	精神	N;NOM;SG	N
évfordulója	週年	évforduló	週年	N;NOM;SG	N
rajz	繪圖	rajz	繪圖	N;NOM;SG	N
rajz	圖畫	rajz	圖畫	N;NOM;SG	N
rajz	繪畫	rajz	繪畫	N;NOM;SG	N
csapadék	雨量	csapadék	雨量	N;NOM;SG	N
harcos	戰士	harcos	戰士	N;NOM;SG	N
harcos	勇士	harcos	勇士	N;NOM;SG	N
harcos	拳手	harcos	拳手	N;NOM;SG	N
harcos	鬥士	harcos	鬥士	N;NOM;SG	N
konfliktus	衝突	konfliktus	衝突	N;NOM;SG	N
konfliktus	衝突	konfliktus	衝突	N;NOM;SG	N
következménye	後果	következmény	後果	N;NOM;SG	N
oltár	祭壇	oltár	祭壇	N;NOM;SG	N
oltár	壇	oltár	壇	N;NOM;SG	N
kísérletek	審判	kísérlet	審判	N;NOM;PL	N
kísérletek	試驗	kísérlet	試驗	N;NOM;PL	N
kísérletek	實驗	kísérlet	實驗	N;NOM;PL	N
színek	顏色	szín	顏色	N;NOM;PL	N
színek	色彩	szín	色彩	N;NOM;PL	N
színek	色	szín	色	N;NOM;PL	N
színek	彩色	szín	彩色	N;NOM;PL	N
színek	顏色	szín	顏色	N;NOM;PL	N
színek	色彩	szín	色彩	N;NOM;PL	N
színek	顏色	szín	顏色	N;NOM;PL	N
színek	色彩	szín	色彩	N;NOM;PL	N
paraméterek	參數	paraméter	參數	N;NOM;PL	N
hímek	男性	hím	男性	N;NOM;PL	N
beszélgetés	對話	beszélgetés	對話	N;NOM;SG	N
beszélgetés	聊天	beszélgetés	聊天	N;NOM;SG	N
gyógyszerek	藥品	gyógyszer	藥品	N;NOM;PL	N
gyógyszerek	藥物	gyógyszer	藥物	N;NOM;PL	N
gyógyszerek	毒品	gyógyszer	毒品	N;NOM;PL	N
gyógyszerek	藥品	gyógyszer	藥品	N;NOM;PL	N
gyógyszerek	醫藥	gyógyszer	醫藥	N;NOM;PL	N
kórus	合唱	kórus	合唱	N;NOM;SG	N
kórus	合唱	kórus	合唱	N;NOM;SG	N
kórus	合唱	kórus	合唱	N;NOM;SG	N
karrier	職業	karrier	職業	N;NOM;SG	N
karrier	職業	karrier	職業	N;NOM;SG	N
feszültség	電壓	feszültség	電壓	N;NOM;SG	N
szavakat	詞語	szó	詞語	N;ACC;PL	N
szavakat	字	szó	字	N;ACC;PL	N
szavakat	詞	szó	詞	N;ACC;PL	N
építés	施工	építés	施工	N;NOM;SG	N
építés	建築	építés	建築	N;NOM;SG	N
különbséget	區分	különbség	區分	N;ACC;SG	N
különbséget	區別	különbség	區別	N;ACC;SG	N
vásárolt	購買	vásárol	購買	V;INDF;IND;SG;3;PST;FIN;ACT	V
felszíni	表面	fel+színi	表面	N;NOM;SG	N
felszíni	地面	fel+színi	地面	N;NOM;SG	N
felszíni	地表	fel+színi	地表	N;NOM;SG	N
kontinens	內地	kontinens	內地	N;NOM;SG	N
kontinens	大陸	kontinens	大陸	N;NOM;SG	N
kontinens	大洲	kontinens	大洲	N;NOM;SG	N
kontinens	大陸	kontinens	大陸	N;NOM;SG	N
kontinens	大洲	kontinens	大洲	N;NOM;SG	N
kontinens	大陸	kontinens	大陸	N;NOM;SG	N
időjárás	天氣	időjárás	天氣	N;NOM;SG	N
időjárás	氣象	időjárás	氣象	N;NOM;SG	N
szélessége	寬度	szélesség	寬度	N;NOM;SG	N
szobrot	雕像	szobor	雕像	N;ACC;SG	N
szobrot	雕塑	szobor	雕塑	N;ACC;SG	N
szobrot	塑像	szobor	塑像	N;ACC;SG	N
piac	市場	piac	市場	N;NOM;SG	N
piac	市場	piac	市場	N;NOM;SG	N
akusztikus	聲學	akusztikus	聲學	N;NOM;SG	N
személyiség	人格	személyiség	人格	N;NOM;SG	N
személyiség	性格	személyiség	性格	N;NOM;SG	N
személyiség	個性	személyiség	個性	N;NOM;SG	N
tulajdonságai	屬性	tulajdonság	屬性	N;NOM;PL	N
távolság	山脈	távolság	山脈	N;NOM;SG	N
távolság	範圍	távolság	範圍	N;NOM;SG	N
távolság	射程	távolság	射程	N;NOM;SG	N
távolság	間	távolság	間	N;NOM;SG	N
távolság	間	távolság	間	N;NOM;SG	N
fosszilis	化石	fosszilis	化石	N;NOM;SG	N
ismeretek	知識	ismeret	知識	N;NOM;PL	N
óvoda	幼兒	óvoda	幼兒	N;NOM;SG	N
óvoda	幼兒	óvoda	幼兒	N;NOM;SG	N
óvoda	托兒	óvoda	托兒	N;NOM;SG	N
óvoda	托兒	óvoda	托兒	N;NOM;SG	N
óvoda	幼兒	óvoda	幼兒	N;NOM;SG	N
munkások	工人	munkás	工人	N;NOM;PL	N
támadások	襲擊	támadás	襲擊	N;NOM;PL	N
tavak	湖泊	tavak	湖泊	N;NOM;PL	N
jelöltek	認捐	jelöl	認捐	N;NOM;PL	N
vegyület	大院	vegyület	大院	N;NOM;SG	N
sérült	受傷	sérül	受傷	V;INDF;IND;SG;3;PST;FIN;ACT	V
sérült	受損	sérül	受損	V;INDF;IND;SG;3;PST;FIN;ACT	V
tavasz	春	tavasz	春	N;NOM;SG	N
tavasz	春秋	tavasz	春秋	N;NOM;SG	N
tavasz	春天	tavasz	春天	N;NOM;SG	N
tavasz	彈簧	tavasz	彈簧	N;NOM;SG	N
tavasz	春季	tavasz	春季	N;NOM;SG	N
reakció	反應	reakció	反應	N;NOM;SG	N
élni	生活	él	生活	V;NFIN;ACT	V
élni	直播	él	直播	V;NFIN;ACT	V
színpad	舞台	színpad	舞台	N;NOM;SG	N
színpad	階段	színpad	階段	N;NOM;SG	N
alagút	地道	alagút	地道	N;NOM;SG	N
alagút	隧道	alagút	隧道	N;NOM;SG	N
alagút	地道	alagút	地道	N;NOM;SG	N
alagút	隧道	alagút	隧道	N;NOM;SG	N
válság	危機	válság	危機	N;NOM;SG	N
rendőr	警方	rendőr	警方	N;NOM;SG	N
rendőr	警務	rendőr	警務	N;NOM;SG	N
rendőr	警察	rendőr	警察	N;NOM;SG	N
manga	漫畫	manga	漫畫	N;NOM;SG	N
művészetek	藝術	művészet	藝術	N;NOM;PL	N
barátok	朋友	barát	朋友	N;NOM;PL	N
barátok	好友	barát	好友	N;NOM;PL	N
jelölések	符號	jelölés	符號	N;NOM;PL	N
jelölések	標記	jelölés	標記	N;NOM;PL	N
betegek	病患	beteg	病患	N;NOM;PL	N
betegek	患者	beteg	患者	N;NOM;PL	N
betegek	病人	beteg	病人	N;NOM;PL	N
betegek	病	beteg	病	N;NOM;PL	N
ciklus	週期	ciklus	週期	N;NOM;SG	N
ciklus	週期	ciklus	週期	N;NOM;SG	N
ciklus	迴圈	ciklus	迴圈	N;NOM;SG	N
költészet	詩	költészet	詩	N;NOM;SG	N
költészet	詩歌	költészet	詩歌	N;NOM;SG	N
képregény	漫畫	képregény	漫畫	N;NOM;SG	N
képregény	漫畫	képregény	漫畫	N;NOM;SG	N
klinikai	臨床	klinikai	臨床	N;NOM;SG	N
tanulni	學習	tanul	學習	V;NFIN;ACT	V
helyek	地方	hely	地方	N;NOM;PL	N
helyek	地點	hely	地點	N;NOM;PL	N
helyek	地點	hely	地點	N;NOM;PL	N
tényező	因子	tényező	因子	N;NOM;SG	N
tényező	因數	tényező	因數	N;NOM;SG	N
előadások	講課	előadás	講課	N;NOM;PL	N
előadások	演講	előadás	演講	N;NOM;PL	N
grafikai	圖形	grafikai	圖形	N;NOM;SG	N
támogatás	援助	támogatás	援助	N;NOM;SG	N
eladott	賣	eladott	賣	V;INDF;IND;SG;3;PST;FIN;ACT	V
eladott	售出	eladott	售出	V;INDF;IND;SG;3;PST;FIN;ACT	V
fizetett	付費	fizet	付費	V;INDF;IND;SG;3;PST;FIN;ACT	V
levele	信	levél	信	N;NOM;SG	N
levele	字母	levél	字母	N;NOM;SG	N
levele	信函	levél	信函	N;NOM;SG	N
levele	信件	levél	信件	N;NOM;SG	N
piaci	市場	piaci	市場	N;NOM;SG	N
malom	磨坊	malom	磨坊	N;NOM;SG	N
lehetőségek	可能	lehetőség	可能	N;NOM;PL	N
lehetőségek	選項	lehetőség	選項	N;NOM;PL	N
lehetőségek	機遇	lehetőség	機遇	N;NOM;PL	N
lehetőségek	機會	lehetőség	機會	N;NOM;PL	N
befolyásolja	影響	befolyásol	影響	V;DEF;IND;SG;3;PRS;FIN;ACT	V
ünnepek	假期	ünnep	假期	N;NOM;PL	N
ünnepek	假日	ünnep	假日	N;NOM;PL	N
ünnepek	節假	ünnep	節假	N;NOM;PL	N
ünnepek	節日	ünnep	節日	N;NOM;PL	N
mozi	電影	mozi	電影	N;NOM;SG	N
mozi	電影	mozi	電影	N;NOM;SG	N
mozi	影片	mozi	影片	N;NOM;SG	N
mozi	電影	mozi	電影	N;NOM;SG	N
mozi	電影	mozi	電影	N;NOM;SG	N
mozi	戲院	mozi	戲院	N;NOM;SG	N
helyben	當地	hely	當地	N;IN+ESS;SG	N
helyben	本地	hely	本地	N;IN+ESS;SG	N
egyén	個人	egyén	個人	N;NOM;SG	N
egyén	個別	egyén	個別	N;NOM;SG	N
egyén	個	egyén	個	N;NOM;SG	N
együttműködés	協作	együttműködés	協作	N;NOM;SG	N
fáraó	法老	fáraó	法老	N;NOM;SG	N
jellemzői	特徵	jellemző	特徵	N;NOM;PL	N
jellemzői	特性	jellemző	特性	N;NOM;PL	N
jellemzői	特點	jellemző	特點	N;NOM;PL	N
jellemzői	功能	jellemző	功能	N;NOM;PL	N
jellemzői	特色	jellemző	特色	N;NOM;PL	N
jellemzői	特徵	jellemző	特徵	N;NOM;PL	N
jellemzői	特點	jellemző	特點	N;NOM;PL	N
termelés	產量	termelés	產量	N;NOM;SG	N
állítás	債權	állítás	債權	N;NOM;SG	N
bővült	擴大	bővül	擴大	V;INDF;IND;SG;3;PST;FIN;ACT	V
felszámolták	清償	fel+számol	清償	V;DEF;IND;PL;3;PST;FIN;ACT	V
rajongók	粉絲	rajongó	粉絲	N;NOM;PL	N
versenyek	種族	verseny	種族	N;NOM;PL	N
versenyek	競賽	verseny	競賽	N;NOM;PL	N
becenév	暱稱	becenév	暱稱	N;NOM;SG	N
becenév	綽號	becenév	綽號	N;NOM;SG	N
megoldani	解決	meg+old	解決	V;NFIN;ACT	V
megoldani	解決	meg+old	解決	V;NFIN;ACT	V
vászon	亞麻	vász	亞麻	N;NOM;SG	N
vászon	畫布	vász	畫布	N;NOM;SG	N
vászon	帆布	vász	帆布	N;NOM;SG	N
erőt	力氣	erő	力氣	N;ACC;SG	N
erőt	強度	erő	強度	N;ACC;SG	N
erőt	實力	erő	實力	N;ACC;SG	N
erőt	力量	erő	力量	N;ACC;SG	N
erőt	體力	erő	體力	N;ACC;SG	N
logika	邏輯	logika	邏輯	N;NOM;SG	N
neveket	人名	nevék	人名	N;ACC;PL	N
neveket	名稱	nevék	名稱	N;ACC;PL	N
neveket	姓名	nevék	姓名	N;ACC;PL	N
kézirat	手稿	kézirat	手稿	N;NOM;SG	N
kézirat	稿子	kézirat	稿子	N;NOM;SG	N
partra	岸	partra	岸	N;ON+ALL;SG	N
partra	岸邊	partra	岸邊	N;ON+ALL;SG	N
partra	海岸	partra	海岸	N;ON+ALL;SG	N
felület	表面	felület	表面	N;NOM;SG	N
felület	地面	felület	地面	N;NOM;SG	N
felület	地表	felület	地表	N;NOM;SG	N
lények	生物	lény	生物	N;NOM;PL	N
kontinentális	大陸	kontinentális	大陸	N;NOM;SG	N
élelmiszer	糧食	élelmiszer	糧食	N;NOM;SG	N
élelmiszer	食品	élelmiszer	食品	N;NOM;SG	N
élelmiszer	食物	élelmiszer	食物	N;NOM;SG	N
sáv	巷	sáv	巷	N;NOM;SG	N
sáv	車道	sáv	車道	N;NOM;SG	N
sáv	脫衣	sáv	脫衣	N;NOM;SG	N
sáv	地帶	sáv	地帶	N;NOM;SG	N
eleje	前面	eleje	前面	N;NOM;SG	N
eleje	陣線	eleje	陣線	N;NOM;SG	N
virágok	花	virág	花	N;NOM;PL	N
virágok	鮮花	virág	鮮花	N;NOM;PL	N
virágok	花卉	virág	花卉	N;NOM;PL	N
virágok	花兒	virág	花兒	N;NOM;PL	N
virágok	花朵	virág	花朵	N;NOM;PL	N
arány	速率	arány	速率	N;NOM;SG	N
arány	率	arány	率	N;NOM;SG	N
arány	利率	arány	利率	N;NOM;SG	N
arány	比率	arány	比率	N;NOM;SG	N
arány	比值	arány	比值	N;NOM;SG	N
arány	比例	arány	比例	N;NOM;SG	N
dolgozók	工人	dolgozó	工人	N;NOM;PL	N
nátrium	鈉	nátrium	鈉	N;NOM;SG	N
motoros	摩托	motoros	摩托	N;NOM;SG	N
motoros	摩托	motoros	摩托	N;NOM;SG	N
motoros	機車	motoros	機車	N;NOM;SG	N
láb	英尺	láb	英尺	N;NOM;SG	N
láb	腳	láb	腳	N;NOM;SG	N
láb	腳	láb	腳	N;NOM;SG	N
láb	英尺	láb	英尺	N;NOM;SG	N
láb	腿	láb	腿	N;NOM;SG	N
láb	腿	láb	腿	N;NOM;SG	N
menekültek	難民	menekült	難民	N;NOM;PL	N
dokumentumfilm	紀錄	dokumentumfilm	紀錄	N;NOM;SG	N
függetlenség	獨立	függetlenség	獨立	N;NOM;SG	N
ifjúság	青年	ifjúság	青年	N;NOM;SG	N
ifjúság	青春	ifjúság	青春	N;NOM;SG	N
ifjúság	青少	ifjúság	青少	N;NOM;SG	N
lyuk	洞口	lyuk	洞口	N;NOM;SG	N
kereskedők	商人	kereskedő	商人	N;NOM;PL	N
kereskedők	商家	kereskedő	商家	N;NOM;PL	N
bizonyíték	證據	bizonyíték	證據	N;NOM;SG	N
bizonyíték	證據	bizonyíték	證據	N;NOM;SG	N
arc	弧	arc	弧	N;NOM;SG	N
arc	面部	arc	面部	N;NOM;SG	N
arc	臉	arc	臉	N;NOM;SG	N
arc	臉部	arc	臉部	N;NOM;SG	N
szövetségesek	盟友	szövetséges	盟友	N;NOM;PL	N
szövetségesek	盟軍	szövetséges	盟軍	N;NOM;PL	N
szövetségesek	盟國	szövetséges	盟國	N;NOM;PL	N
szövetségesek	同盟	szövetséges	同盟	N;NOM;PL	N
szövetségesek	盟友	szövetséges	盟友	N;NOM;PL	N
idény	季	idény	季	N;NOM;SG	N
idény	季節	idény	季節	N;NOM;SG	N
kezét	手	kéz	手	N;ACC;SG	N
nemsokára	不久	nemsoka	不久	N;ON+ALL;SG	N
lény	生物	lény	生物	N;NOM;SG	N
kitüntetés	榮譽	kitüntetés	榮譽	N;NOM;SG	N
kitüntetés	獎章	kitüntetés	獎章	N;NOM;SG	N
kitüntetés	勳章	kitüntetés	勳章	N;NOM;SG	N
kitüntetés	獎牌	kitüntetés	獎牌	N;NOM;SG	N
papír	紙	papír	紙	N;NOM;SG	N
papír	紙張	papír	紙張	N;NOM;SG	N
papír	論文	papír	論文	N;NOM;SG	N
trónt	王座	trónt	王座	N;ACC;SG	N
trónt	王位	trónt	王位	N;ACC;SG	N
trónt	寶座	trónt	寶座	N;ACC;SG	N
műemlékek	古蹟	mű	古蹟	N;NOM;PL	N
mesék	寓言	mesék	寓言	N;NOM;PL	N
mesék	故事	mesék	故事	N;NOM;PL	N
mesék	動態	mesék	動態	N;NOM;PL	N
kút	噴泉	kút	噴泉	N;NOM;SG	N
mese	動態	mese	動態	N;NOM;SG	N
mese	故事	mese	故事	N;NOM;SG	N
mese	寓言	mese	寓言	N;NOM;SG	N
kezelése	治療	kezelés	治療	N;NOM;SG	N
string	弦	string	弦	N;NOM;SG	N
string	字串	string	字串	N;NOM;SG	N
string	弦	string	弦	N;NOM;SG	N
nemek	性別	én	性別	N;NOM;PL	N
betűk	信	betű	信	N;NOM;PL	N
betűk	字母	betű	字母	N;NOM;PL	N
betűk	信件	betű	信件	N;NOM;PL	N
airlines	航空	airlines	航空	N;NOM;SG	N
airlines	航空	airlines	航空	N;NOM;SG	N
fort	堡壘	for	堡壘		
eltérés	偏差	eltérés	偏差	N;NOM;SG	N
hibák	錯誤	hiba	錯誤	N;NOM;PL	N
hibák	失誤	hiba	失誤	N;NOM;PL	N
hibák	瑕疵	hiba	瑕疵	N;NOM;PL	N
hibák	缺陷	hiba	缺陷	N;NOM;PL	N
zóna	區	zóna	區	N;NOM;SG	N
zóna	區域	zóna	區域	N;NOM;SG	N
fogalmak	定義	fogalom	定義	N;NOM;PL	N
fogalmak	術語	fogalom	術語	N;NOM;PL	N
fogalmak	條款	fogalom	條款	N;NOM;PL	N
fogalmak	概念	fogalom	概念	N;NOM;PL	N
fogalmak	理念	fogalom	理念	N;NOM;PL	N
súlya	重量	súly	重量	N;NOM;SG	N
súlya	體重	súly	體重	N;NOM;SG	N
súlya	份量	súly	份量	N;NOM;SG	N
intel	情報	intel	情報	N;NOM;SG	N
formát	形狀	forma	形狀	N;ACC;SG	N
módosítás	編輯	módosítás	編輯	N;NOM;SG	N
hívei	信徒	hív	信徒	N;NOM;PL	N
szolgálja	服務	szolgál	服務	V;DEF;IND;SG;3;PRS;FIN;ACT	V
szőke	金髮	szőke	金髮	N;NOM;SG	N
japánok	日文	japán	日文	N;NOM;PL	N
vulkáni	火山	vulkáni	火山	N;NOM;SG	N
küzdelem	鬥爭	küzdelem	鬥爭	N;NOM;SG	N
küzdelem	奮鬥	küzdelem	奮鬥	N;NOM;SG	N
küzdelem	格鬥	küzdelem	格鬥	N;NOM;SG	N
küzdelem	打架	küzdelem	打架	N;NOM;SG	N
küzdelem	戰鬥	küzdelem	戰鬥	N;NOM;SG	N
mozgás	動議	mozgás	動議	N;NOM;SG	N
mozgás	運動	mozgás	運動	N;NOM;SG	N
mozgás	動	mozgás	動	N;NOM;SG	N
mozgás	運動	mozgás	運動	N;NOM;SG	N
nézők	觀眾	néző	觀眾	N;NOM;PL	N
nézők	觀眾	néző	觀眾	N;NOM;PL	N
tornász	體操	tornász	體操	N;NOM;SG	N
csontos	骨	csontos	骨	N;NOM;SG	N
csontos	骨骼	csontos	骨骼	N;NOM;SG	N
csontos	骨頭	csontos	骨頭	N;NOM;SG	N
csontos	骨	csontos	骨	N;NOM;SG	N
csontos	骨骼	csontos	骨骼	N;NOM;SG	N
csontos	骨頭	csontos	骨頭	N;NOM;SG	N
börtönbe	監獄	börtön	監獄	N;IN+ALL;SG	N
szobrok	雕塑	szobor	雕塑	N;NOM;PL	N
szobrok	雕像	szobor	雕像	N;NOM;PL	N
szobrok	塑像	szobor	塑像	N;NOM;PL	N
szobrok	雕塑	szobor	雕塑	N;NOM;PL	N
vírus	病毒	vírus	病毒	N;NOM;SG	N
ítélet	判決	ítélet	判決	N;NOM;SG	N
ítélet	判決	ítélet	判決	N;NOM;SG	N
ítélet	判決	ítélet	判決	N;NOM;SG	N
ítélet	句子	ítélet	句子	N;NOM;SG	N
ítélet	刑期	ítélet	刑期	N;NOM;SG	N
barát	朋友	bara	朋友	N;NOM;SG	N
barát	好友	bara	好友	N;NOM;SG	N
barát	男	bara	男	N;NOM;SG	N
barát	男友	bara	男友	N;NOM;SG	N
példányok	標本	példány	標本	N;NOM;PL	N
példányok	拷貝	példány	拷貝	N;NOM;PL	N
eredményes	高	eredményes	高	ADJ;NOM;SG	ADJ
diplomata	外交	diplomata	外交	N;NOM;SG	N
diplomata	外交	diplomata	外交	N;NOM;SG	N
üzem	廠	üz	廠	N;NOM;SG	N
üzem	植物	üz	植物	N;NOM;SG	N
üzem	工廠	üz	工廠	N;NOM;SG	N
üzem	廠	üz	廠	N;NOM;SG	N
üzem	工廠	üz	工廠	N;NOM;SG	N
