commerciaux	comerciales	commercial	comercial	ADJ;MASC;PL	ADJ;PL
canaux	canales	canal	canal	N;MASC;PL	N;MASC;PL
canaux	canales	canal	canal	N;MASC;PL	N;MASC;PL
figaro	figaro	figaro	figaro	N;MASC;SG	N;MASC;SG
exercer	practicando	exercer	practicar	V;NFIN	V;V.MSDR
exercer	practicar	exercer	practicar	V;NFIN	V;NFIN
brièvement	brevemente	brièvement	brevemente	ADV	ADV
implantation	implantación	implantation	implantación	N;FEM;SG	N;FEM;SG
irlandaise	irlandesa	irlandais	irlandés	ADJ;FEM;SG	ADJ;FEM;SG
boucle	hebilla	boucle	hebilla	N;FEM;SG	N;FEM;SG
boucle	loop	boucle	loop	N;FEM;SG	N
boucle	bucle	boucle	bucle	N;FEM;SG	N;MASC;SG
produisent	producen	produire	producir	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
produisent	producir	produire	producir	V;IND;PL;3;PRS;FIN	V;NFIN
escadre	escuadra	escadre	escuadra	N;FEM;SG	N;FEM;SG
escadre	escuadrón	escadre	escuadrón	N;FEM;SG	N;MASC;SG
escadre	wing	escadre	wing	N;FEM;SG	N
maçonnerie	mampostería	maçonnerie	mampostería	N;FEM;SG	N;FEM;SG
correctement	apropiadamente	correctement	apropiadamente	ADV	ADV
correctement	adecuadamente	correctement	adecuadamente	ADV	ADV
correctement	correctamente	correctement	correctamente	ADV	ADV
correctement	correctamente	correctement	correctamente	ADV	ADV
piliers	pilares	pilier	pilar	N;MASC;PL	N;MASC;PL
coordination	coordinación	coordination	coordinación	N;FEM;SG	N;FEM;SG
coordination	coordinación	coordination	coordinación	N;FEM;SG	N;FEM;SG
talents	talentos	talent	talento	N;MASC;PL	N;MASC;PL
talents	talentos	talent	talento	N;MASC;PL	N;MASC;PL
diplomatique	diplomática	diplomatique	diplomático	ADJ;MASC;SG	ADJ;FEM;SG
doux	dulce	doux	dulce	ADJ;MASC;SG	ADJ;SG
doux	suave	doux	suave	ADJ;MASC;SG	ADJ;SG
doux	gentil	doux	gentil	ADJ;MASC;SG	ADJ;SG
doux	suave	doux	suave	ADJ;MASC;SG	ADJ;SG
doux	leve	doux	leve	ADJ;MASC;SG	ADJ;SG
doux	blanda	doux	blando	ADJ;MASC;SG	ADJ;FEM;SG
doux	suave	doux	suave	ADJ;MASC;SG	ADJ;SG
doux	blando	doux	blando	ADJ;MASC;SG	ADJ;MASC;SG
pères	padres	père	padre	N;MASC;PL	N;MASC;PL
pères	papás	père	papás	N;MASC;PL	N;MASC;PL
capables	capaces	capable	capaz	ADJ;MASC;PL	ADJ;PL
syndicats	uniones	syndicat	unión	N;MASC;PL	N;FEM;PL
syndicats	sindicatos	syndicat	sindicato	N;MASC;PL	N;MASC;PL
immédiate	inmediato	immédiat	inmediato	ADJ;FEM;SG	ADJ;MASC;SG
immédiate	inmediata	immédiat	inmediato	ADJ;FEM;SG	ADJ;FEM;SG
gaulois	gálico	gaulois	gálico	ADJ;MASC;SG	ADJ;MASC;SG
malades	enfermos	malade	enfermo	N;MASC;PL	N;MASC;PL
concession	concesión	concession	concesión	N;FEM;SG	N;FEM;SG
concession	concesionario	concession	concesionario	N;FEM;SG	N;MASC;SG
hainaut	hainaut	hainer	hainaut	N;MASC;SG	N;FEM;SG
inspirée	inspiró	inspirer	inspirar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
eurovision	eurovisión	eurovision	eurovisión	N;FEM;SG	N;FEM;SG
égyptien	egipcia	égyptien	egipcio	ADJ;MASC;SG	ADJ;FEM;SG
égyptien	egipcio	égyptien	egipcio	ADJ;MASC;SG	ADJ;MASC;SG
naturaliste	naturaliste	naturaliste	naturaliste	N;MASC;SG	N;MASC;SG
naturaliste	naturalista	naturaliste	naturalista	N;MASC;SG	N;SG
juges	jueces	juge	juez	N;MASC;PL	N;PL
juges	magistrados	juge	magistrado	N;MASC;PL	N;MASC;PL
hms	hms	hm	hms	N;MASC;SG	N;MASC;SG
avantages	ventajas	avantage	ventaja	N;MASC;PL	N;FEM;PL
avantages	ventajas	avantage	ventaja	N;MASC;PL	N;FEM;PL
avantages	prestaciones	avantage	prestación	N;MASC;PL	N;FEM;PL
avantages	beneficios	avantage	beneficio	N;MASC;PL	N;MASC;PL
prévention	prevención	prévention	prevención	N;FEM;SG	N;FEM;SG
dommages	daños	dommage	daño	N;MASC;PL	N;MASC;PL
dommages	daños	dommage	daño	N;MASC;PL	N;MASC;PL
prononce	pronuncia	prononcer	pronuncia	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
prononce	pronunciar	prononcer	pronunciar	V;IND;SG;3;PRS;FIN	V;NFIN
eglise	iglesia	eglise	iglesia	N;FEM;SG	N;FEM;SG
organique	orgánica	organique	orgánico	ADJ;MASC;SG	ADJ;FEM;SG
organique	orgánico	organique	orgánico	ADJ;MASC;SG	ADJ;MASC;SG
impôt	fiscalidad	impôt	fiscalidad	N;MASC;SG	N;FEM;SG
impôt	tributación	impôt	tributación	N;MASC;SG	N;FEM;SG
vengeance	venganza	vengeance	venganza	N;FEM;SG	N;FEM;SG
vengeance	venganza	vengeance	venganza	N;FEM;SG	N;FEM;SG
vengeance	revancha	vengeance	revancha	N;FEM;SG	N;FEM;SG
vengeance	venganza	vengeance	venganza	N;FEM;SG	N;FEM;SG
bombardement	bombardeo	bombardement	bombardeo	N;MASC;SG	N;MASC;SG
bombardement	bombardeo	bombardement	bombardeo	N;MASC;SG	N;MASC;SG
bombardement	bombardeo	bombardement	bombardeo	N;MASC;SG	N;MASC;SG
bombardement	atentado	bombardement	atentado	N;MASC;SG	N;MASC;SG
guadeloupe	guadalupe	guadeloupe	guadalupe	N;FEM;SG	N;FEM;SG
violoncelle	chelo	violoncelle	chelo	N;MASC;SG	N;MASC;SG
violoncelle	violonchelo	violoncelle	violonchelo	N;MASC;SG	N;MASC;SG
ancêtre	ancestro	ancêtre	ancestro	N;MASC;SG	N;MASC;SG
stage	pasantía	stage	pasantía	N;MASC;SG	N;FEM;SG
demain	mañana	demain	mañana	ADV	ADV
nasa	nasa	nasa	nasa	N;FEM;SG	N;FEM;SG
mensuel	mensual	mensuel	mensual	ADJ;MASC;SG	ADJ;SG
souveraineté	soberanía	souveraineté	soberanía	N;FEM;SG	N;FEM;SG
profond	profundo	profond	profundo	ADJ;MASC;SG	ADJ;MASC;SG
profond	profunda	profond	profundo	ADJ;MASC;SG	ADJ;FEM;SG
profond	profundo	profond	profundo	ADJ;MASC;SG	ADJ;MASC;SG
profond	profunda	profond	profundo	ADJ;MASC;SG	ADJ;FEM;SG
continuité	continuidad	continuité	continuidad	N;FEM;SG	N;FEM;SG
systématiquement	sistemáticamente	systématiquement	sistemáticamente	ADV	ADV
attend	espera	attendre	esperar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
intensité	intensidad	intensité	intensidad	N;FEM;SG	N;FEM;SG
protéines	proteínas	protéine	proteína	N;FEM;PL	N;FEM;PL
protéines	proteínas	protéine	proteína	N;FEM;PL	N;FEM;PL
récent	reciente	récent	reciente	ADJ;MASC;SG	ADJ;SG
hollandais	holandesa	hollandais	holandés	ADJ;MASC;SG	ADJ;FEM;SG
attentats	atentados	attentat	atentado	N;MASC;PL	N;MASC;PL
attentats	ataques	attentat	ataque	N;MASC;PL	N;MASC;PL
attentats	atentados	attentat	atentado	N;MASC;PL	N;MASC;PL
attentats	bombardeos	attentat	bombardeo	N;MASC;PL	N;MASC;PL
décrire	describe	décrire	describir	V;NFIN	V;IND;SG;3;PRS;FIN
décrire	describir	décrire	describir	V;NFIN	V;NFIN
décrire	describa	décrire	describir	V;NFIN	V;IMP;SG;3;FIN
sauveur	salvador	sauveur	salvador	N;MASC;SG	N;MASC;SG
sauveur	salvador	sauveur	salvador	N;MASC;SG	N;MASC;SG
éclairage	iluminación	éclairage	iluminación	N;MASC;SG	N;FEM;SG
éclairage	iluminación	éclairage	iluminación	N;MASC;SG	N;FEM;SG
rochefort	rochefort	rochefort	rochefort	N;MASC;SG	N;MASC;SG
vernaculaire	vernácula	vernaculaire	vernácula	ADJ;MASC;SG	ADJ;FEM;SG
mathématique	matemático	mathématique	matemático	ADJ;MASC;SG	ADJ;MASC;SG
mathématique	matemática	mathématique	matemático	ADJ;MASC;SG	ADJ;FEM;SG
mathématique	matemática	mathématique	matemático	ADJ;MASC;SG	ADJ;FEM;SG
mathématique	matemático	mathématique	matemático	ADJ;MASC;SG	ADJ;MASC;SG
mathématique	matemática	mathématique	matemático	ADJ;MASC;SG	ADJ;FEM;SG
baccalauréat	licenciatura	baccalauréat	licenciatura	N;MASC;SG	N;FEM;SG
baccalauréat	bachelor	baccalauréat	bachelor	N;MASC;SG	N;MASC;SG
baccalauréat	bachiller	baccalauréat	bachiller	N;MASC;SG	N;MASC;SG
baccalauréat	soltero	baccalauréat	soltero	N;MASC;SG	N;MASC;SG
baccalauréat	bachillerato	baccalauréat	bachillerato	N;MASC;SG	N;MASC;SG
baccalauréat	bachiller	baccalauréat	bachiller	N;MASC;SG	N;MASC;SG
wikidata	wikidata	wikidata	wikidata	N;MASC;SG	N;FEM;SG
dialogues	diálogos	dialogue	diálogo	N;MASC;PL	N;MASC;PL
dialogues	diálogos	dialogue	diálogo	N;MASC;PL	N;MASC;PL
dialogues	diálogos	dialogue	diálogo	N;MASC;PL	N;MASC;PL
passes	pases	passe	pase	N;FEM;PL	N;MASC;PL
atlético	atlético	atlético	atlético	N;MASC;SG	N;MASC;SG
mesurer	medir	mesurer	medir	V;NFIN	V;NFIN
mesurer	mide	mesurer	medir	V;NFIN	V;IND;SG;3;PRS;FIN
mesurer	medir	mesurer	medir	V;NFIN	V;NFIN
protestante	protestante	protestant	protestante	ADJ;FEM;SG	ADJ;SG
grace	gracia	grace	gracia	N;FEM;SG	N;FEM;SG
précipitations	lluvias	précipitation	lluvia	N;FEM;PL	N;FEM;PL
précipitations	precipitaciones	précipitation	precipitación	N;FEM;PL	N;FEM;PL
précipitations	precipitaciones	précipitation	precipitación	N;FEM;PL	N;FEM;PL
paire	par	paire	par	N;FEM;SG	N;MASC;SG
paire	pareja	paire	pareja	N;FEM;SG	N;FEM;SG
console	consola	console	consola	N;FEM;SG	N;FEM;SG
tombes	fosas	tombe	fosa	N;FEM;PL	N;FEM;PL
tombes	tumbas	tombe	tumba	N;FEM;PL	N;FEM;PL
tombes	tumbas	tombe	tumba	N;FEM;PL	N;FEM;PL
récents	recientes	récent	reciente	ADJ;MASC;PL	ADJ;PL
réservoir	tanque	réservoir	tanque	N;MASC;SG	N;MASC;SG
réservoir	cisterna	réservoir	cisterna	N;MASC;SG	N;FEM;SG
réservoir	embalse	réservoir	embalse	N;MASC;SG	N;MASC;SG
approfondir	profundizando	approfondir	profundizar	V;NFIN	V;V.MSDR
approfondir	profundizar	approfondir	profundizar	V;NFIN	V;NFIN
approfondir	profundizar	approfondir	profundizar	V;NFIN	V;NFIN
vocabulaire	vocabulario	vocabulaire	vocabulario	N;MASC;SG	N;MASC;SG
missile	misil	missile	misil	N;MASC;SG	N;MASC;SG
utiles	útiles	utile	útil	ADJ;MASC;PL	ADJ;PL
utiles	útiles	utile	útil	ADJ;MASC;PL	ADJ;PL
wallonie	valonia	wallonie	valonia	N;FEM;SG	N;FEM;SG
transept	transepto	transept	transepto	N;MASC;SG	N;MASC;SG
anneaux	anillos	anneau	anillo	N;MASC;PL	N;MASC;PL
cyr	cyr	cyr	cyr	N;MASC;SG	N;SG
fuir	huye	fuir	huir	V;NFIN	V;IND;SG;3;PRS;FIN
fuir	huir	fuir	huir	V;NFIN	V;NFIN
fuir	huyen	fuir	huir	V;NFIN	V;IND;PL;3;PRS;FIN
sentier	sendero	sentier	sendero	N;MASC;SG	N;MASC;SG
sentier	rastro	sentier	rastro	N;MASC;SG	N;MASC;SG
sentier	sendero	sentier	sendero	N;MASC;SG	N;MASC;SG
sentier	sendero	sentier	sendero	N;MASC;SG	N;MASC;SG
sentier	path	sentier	path	N;MASC;SG	N
sentier	camino	sentier	camino	N;MASC;SG	N;MASC;SG
sentier	surco	sentier	surco	N;MASC;SG	N;MASC;SG
richelieu	richelieu	richelieu	richelieu	N;MASC;SG	N;MASC;SG
boxeur	boxeador	boxeur	boxeador	N;MASC;SG	N;MASC;SG
boxeur	boxer	boxeur	boxer	N;MASC;SG	N;MASC;SG
boxeur	peleador	boxeur	peleador	N;MASC;SG	N;MASC;SG
boxeur	luchador	boxeur	luchador	N;MASC;SG	N;MASC;SG
boxeur	combatiente	boxeur	combatiente	N;MASC;SG	N;SG
qualifiée	calificar	qualifier	calificar	V;FEM;SG;PST;V.PTCP	V;NFIN
fifa	fifa	fif	fifa	N;FEM;SG	N;FEM;SG
finance	financiación	finance	financiación	N;FEM;SG	N;FEM;SG
finance	financiamiento	finance	financiamiento	N;FEM;SG	N;MASC;SG
vedette	estrella	vedette	estrella	N;FEM;SG	N;FEM;SG
vedette	star	vedette	star	N;FEM;SG	N
critère	criterio	critère	criterio	N;MASC;SG	N;MASC;SG
critère	criterio	critère	criterio	N;MASC;SG	N;MASC;SG
inédit	inédito	inédit	inédito	ADJ;MASC;SG	ADJ;MASC;SG
inédit	inédito	inédit	inédito	ADJ;MASC;SG	ADJ;MASC;SG
tensions	tensiones	tension	tensión	N;FEM;PL	N;FEM;PL
tensions	tensiones	tension	tensión	N;FEM;PL	N;FEM;PL
casse	rotura	casse	rotura	N;FEM;SG	N;FEM;SG
casse	atraco	casse	atraco	N;FEM;SG	N;MASC;SG
impôts	impuestos	impôt	impuesto	N;MASC;PL	N;MASC;PL
impôts	impuestos	impôt	impuesto	N;MASC;PL	N;MASC;PL
brigitte	bridget	brigitte	bridget	N;FEM;SG	N;FEM;SG
brigitte	brigitte	brigitte	brigitte	N;FEM;SG	N;FEM;SG
fresques	murales	fresque	mural	N;FEM;PL	N;MASC;PL
pattes	patas	patte	pata	N;FEM;PL	N;FEM;PL
pattes	piernas	patte	pierna	N;FEM;PL	N;FEM;PL
pattes	patas	patte	pata	N;FEM;PL	N;FEM;PL
pattes	patitas	patte	patita	N;FEM;PL	N;FEM;PL
économiste	economista	économiste	economista	N;MASC;SG	N;SG
adapter	adaptarse	adapter	adaptarse	V;NFIN	V;SBJV;SG;3;IPFV;FIN
adapter	adaptándose	adapter	adaptánose	V;NFIN	V;SBJV;SG;3;PRS;FIN
adapter	adaptar	adapter	adaptar	V;NFIN	V;NFIN
adapter	adaptando	adapter	adaptar	V;NFIN	V;V.MSDR
adapter	adaptarse	adapter	adaptarse	V;NFIN	V;SBJV;SG;3;IPFV;FIN
adapter	adaptar	adapter	adaptar	V;NFIN	V;NFIN
disparaître	desapareciendo	disparaître	desaparecer	V;NFIN	V;V.MSDR
disparaître	desaparecer	disparaître	desaparecer	V;NFIN	V;NFIN
disparaître	desapareciendo	disparaître	desaparecer	V;NFIN	V;V.MSDR
disparaître	desaparecer	disparaître	desaparecer	V;NFIN	V;NFIN
disparaître	desaparece	disparaître	desaparecer	V;NFIN	V;IND;SG;3;PRS;FIN
disparaître	desaparecen	disparaître	desaparecer	V;NFIN	V;IND;PL;3;PRS;FIN
disparaître	desaparezca	disparaître	desaparecer	V;NFIN	V;SBJV;SG;3;PRS;FIN
verbe	verbo	verbe	verbo	N;MASC;SG	N;MASC;SG
adopter	adoptar	adopter	adoptar	V;NFIN	V;NFIN
adopter	adopta	adopter	adoptar	V;NFIN	V;IND;SG;3;PRS;FIN
adopter	adoptan	adopter	adoptar	V;NFIN	V;IND;PL;3;PRS;FIN
adopter	adoptando	adopter	adoptar	V;NFIN	V;V.MSDR
rond	redonda	rond	redonda	N;MASC;SG	N;FEM;SG
rond	ronda	rond	ronda	N;MASC;SG	N;FEM;SG
rond	round	rond	round	N;MASC;SG	N;MASC;SG
bnf	bnf	bnf	bnf	N;FEM;SG	N;SG
érigé	erigió	ériger	eregir	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
pokémon	pokémon	pokémon	pokémon	N;MASC;SG	N;MASC
pokémon	pokemon	pokémon	pokemon	N;MASC;SG	N;MASC;SG
linux	linux	linux	linux	N;MASC;SG	N;MASC;SG
commandée	ordenó	commander	ordenar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
fabricant	fabricante	fabricant	fabricante	N;MASC;SG	N;SG
syntaxe	sintaxis	syntaxe	sintaxis	N;FEM;SG	N;FEM
logis	logis	logis	logis	N;MASC;SG	N;MASC;SG
michelle	michelle	michelle	michelle	N;FEM;SG	N;FEM;SG
joie	alegria	joie	alegria	N;FEM;SG	N;FEM;SG
joie	alegría	joie	alegría	N;FEM;SG	N;FEM;SG
joie	gozo	joie	gozo	N;FEM;SG	N;MASC;SG
costume	disfraz	costume	disfraz	N;MASC;SG	N;MASC;SG
costume	traje	costume	traje	N;MASC;SG	N;MASC;SG
costume	vestuario	costume	vestuario	N;MASC;SG	N;MASC;SG
costume	traje	costume	traje	N;MASC;SG	N;MASC;SG
puissants	poderosas	puissant	poderoso	ADJ;MASC;PL	ADJ;FEM;PL
puissants	poderosos	puissant	poderoso	ADJ;MASC;PL	ADJ;MASC;PL
hymne	himno	hymne	himno	N;MASC;SG	N;MASC;SG
hymne	himno	hymne	himno	N;MASC;SG	N;MASC;SG
douleur	dolor	douleur	dolor	N;FEM;SG	N;MASC;SG
gay	gay	gay	gay	N;MASC;SG	N;SG
mannequin	muñeco	mannequin	muñeco	N;MASC;SG	N;MASC;SG
mannequin	maniquí	mannequin	maniquí	N;MASC;SG	N;MASC;SG
mannequin	maqueta	mannequin	maqueta	N;MASC;SG	N;FEM;SG
mannequin	modelo	mannequin	modelo	N;MASC;SG	N;MASC;SG
mannequin	maniquí	mannequin	maniquí	N;MASC;SG	N;MASC;SG
mannequin	modelaje	mannequin	modelaje	N;MASC;SG	N;MASC;SG
intense	intensivo	intense	intensivo	ADJ;FEM;SG	ADJ;MASC;SG
intense	intensiva	intense	intensivo	ADJ;FEM;SG	ADJ;FEM;SG
intense	intenso	intense	intenso	ADJ;FEM;SG	ADJ;MASC;SG
intense	intensa	intense	intenso	ADJ;FEM;SG	ADJ;FEM;SG
intense	intenso	intense	intenso	ADJ;FEM;SG	ADJ;MASC;SG
appartiennent	pertenecer	appartenir	pertenecer	V;IND;PL;3;PRS;FIN	V;NFIN
appartiennent	pertenecen	appartenir	pertenecer	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
flash	flash	flash	flash	N;MASC;SG	N;MASC;SG
flash	destello	flash	destello	N;MASC;SG	N;MASC;SG
pacte	pacto	pacte	pacto	N;MASC;SG	N;MASC;SG
pacte	convenio	pacte	convenio	N;MASC;SG	N;MASC;SG
pacte	pacto	pacte	pacto	N;MASC;SG	N;MASC;SG
pacte	pacto	pacte	pacto	N;MASC;SG	N;MASC;SG
analyses	analytics	analyse	analytics	N;FEM;PL	N;MASC
analyses	análisis	analyse	análisis	N;FEM;PL	N;MASC
analyses	análisis	analyse	análisis	N;FEM;PL	N;MASC
analyses	analisis	analyse	analisis	N;FEM;PL	N;MASC
analyses	análisis	analyse	análisis	N;FEM;PL	N;MASC
foire	feria	foire	feria	N;FEM;SG	N;FEM;SG
excellence	excelencia	excellence	excelencia	N;FEM;SG	N;FEM;SG
excellence	excelencia	excellence	excelencia	N;FEM;SG	N;FEM;SG
plateforme	andén	plateforme	andén	N;FEM;SG	N;MASC;SG
plateforme	plataforma	plateforme	plataforma	N;FEM;SG	N;FEM;SG
stock	caldo	stock	caldo	N;MASC;SG	N;MASC;SG
traversé	cruzó	traverser	cruzar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
corruption	soborno	corruption	soborno	N;FEM;SG	N;MASC;SG
corruption	corrupción	corruption	corrupción	N;FEM;SG	N;FEM;SG
dépenses	gastos	dépense	gasto	N;FEM;PL	N;MASC;PL
dépenses	gastos	dépense	gasto	N;FEM;PL	N;MASC;PL
dépenses	gastos	dépense	gasto	N;FEM;PL	N;MASC;PL
vampire	vampiro	vampire	vampiro	N;MASC;SG	N;MASC;SG
consultation	consultoría	consultation	consultoría	N;FEM;SG	N;FEM;SG
consultation	asesoría	consultation	asesoría	N;FEM;SG	N;FEM;SG
consultation	consulta	consultation	consulta	N;FEM;SG	N;FEM;SG
comtés	condados	comté	condado	N;MASC;PL	N;MASC;PL
comtés	comarcas	comté	comarca	N;MASC;PL	N;FEM;PL
platine	platinum	platine	platinum	N;FEM;SG	N;SG
platine	platino	platine	platino	N;FEM;SG	N;MASC;SG
jeter	descarte	jeter	descartar	V;NFIN	V;SBJV;SG;3;PRS;FIN
jeter	desechar	jeter	desechar	V;NFIN	V;NFIN
jeter	descartar	jeter	descartar	V;NFIN	V;NFIN
jeter	tirar	jeter	tirar	V;NFIN	V;NFIN
pin	pinus	pin	pinu	N;MASC;SG	N
pin	pino	pin	pino	N;MASC;SG	N;MASC;SG
pin	alfiler	pin	alfiler	N;MASC;SG	N;MASC;SG
pin	pin	pin	pin	N;MASC;SG	N;MASC;SG
pédagogique	pedagógico	pédagogique	pedagógico	ADJ;MASC;SG	ADJ;MASC;SG
pédagogique	pedagógica	pédagogique	pedagógico	ADJ;MASC;SG	ADJ;FEM;SG
nécessairement	necesariamente	nécessairement	necesariamente	ADV	ADV
tissu	tela	tissu	tela	N;MASC;SG	N;FEM;SG
tissu	paño	tissu	paño	N;MASC;SG	N;MASC;SG
tissu	tela	tissu	tela	N;MASC;SG	N;FEM;SG
continu	continuo	continu	continuo	ADJ;MASC;SG	ADJ;MASC;SG
continu	continua	continu	continuo	ADJ;MASC;SG	ADJ;FEM;SG
rire	riendo	rire	reír	V;NFIN	V;V.MSDR
rire	riéndose	rire	riéndose	V;NFIN	V;SBJV;PL;3;PRS;FIN
rire	ríe	rire	ríe	V;NFIN	V;IND;SG;3;PRS;FIN
rire	reír	rire	reír	V;NFIN	V;NFIN
créations	creaciones	création	creación	N;FEM;PL	N;FEM;PL
coupable	culpable	coupable	culpable	ADJ;MASC;SG	ADJ;SG
report	aplazamiento	report	aplazamiento	N;MASC;SG	N;FEM;SG
apport	ingesta	apport	ingesto	N;MASC;SG	N;FEM;SG
apport	ingestión	apport	ingestión	N;MASC;SG	N;FEM;SG
channel	canal	channel	canal	N;MASC;SG	N;MASC;SG
channel	channel	channel	channel	N;MASC;SG	N;SG
cylindres	cilindros	cylindre	cilindro	N;MASC;PL	N;MASC;PL
cylindres	cilindros	cylindre	cilindro	N;MASC;PL	N;MASC;PL
cylindres	rollos	cylindre	rollo	N;MASC;PL	N;MASC;PL
cylindres	rolls	cylindre	rolls	N;MASC;PL	N;MASC
cylindres	bobinas	cylindre	bobina	N;MASC;PL	N;FEM;PL
vif	vívido	vif	vívido	ADJ;MASC;SG	ADJ;MASC;SG
quais	muelles	quai	muelle	N;MASC;PL	N;MASC;PL
terreur	terror	terreur	terror	N;FEM;SG	N;MASC;SG
terreur	terrorismo	terreur	terrorismo	N;FEM;SG	N;MASC;SG
temporaire	temporal	temporaire	temporal	ADJ;MASC;SG	ADJ;SG
temporaire	temporario	temporaire	temporario	ADJ;MASC;SG	ADJ;MASC;SG
ultra	ultra	ultra	ultra	N;MASC;SG	N
sonde	sonda	sonde	sonda	N;FEM;SG	N;FEM;SG
tante	tía	tante	tía	N;FEM;SG	N;FEM;SG
tante	tita	tante	tita	N;FEM;SG	N;FEM;SG
tante	tía	tante	tía	N;FEM;SG	N;FEM;SG
tante	tia	tante	tia	N;FEM;SG	N;FEM;SG
tante	tía	tante	tía	N;FEM;SG	N;FEM;SG
tante	tia	tante	tia	N;FEM;SG	N;FEM;SG
télécommunications	telecomunicaciones	télécommunication	telecomunicación	N;FEM;PL	N;FEM;PL
télécommunications	telecomunicaciones	télécommunication	telecomunicación	N;FEM;PL	N;FEM;PL
assurances	aseguradoras	assurance	aseguradora	N;FEM;PL	N;FEM;PL
assurances	seguros	assurance	seguro	N;FEM;PL	N;MASC;PL
assurances	seguros	assurance	seguro	N;FEM;PL	N;MASC;PL
vélo	bici	vélo	bici	N;MASC;SG	N;FEM;SG
vélo	moto	vélo	moto	N;MASC;SG	N;FEM;SG
vélo	bike	vélo	bike	N;MASC;SG	N
vélo	bicicleta	vélo	bicicleta	N;MASC;SG	N;FEM;SG
vélo	bici	vélo	bici	N;MASC;SG	N;FEM;SG
vélo	bicicleta	vélo	bicicleta	N;MASC;SG	N;FEM;SG
vélo	ciclismo	vélo	ciclismo	N;MASC;SG	N;MASC;SG
vélo	bicicleta	vélo	bicicleta	N;MASC;SG	N;FEM;SG
vélo	bici	vélo	bici	N;MASC;SG	N;FEM;SG
vélo	ciclismo	vélo	ciclismo	N;MASC;SG	N;MASC;SG
vélo	bicicleta	vélo	bicicleta	N;MASC;SG	N;FEM;SG
cloche	cloche	cloche	cloche	N;FEM;SG	N;MASC;SG
cloche	campana	cloche	campana	N;FEM;SG	N;FEM;SG
cloche	timbre	cloche	timbre	N;FEM;SG	N;MASC;SG
cloche	bell	cloche	bell	N;FEM;SG	N;SG
stabilité	estabilidad	stabilité	estabilidad	N;FEM;SG	N;FEM;SG
stabilité	establo	stabilité	establo	N;FEM;SG	N;MASC;SG
rabbin	rabino	rabbin	rabino	N;MASC;SG	N;MASC;SG
marketing	mercadeo	marketing	mercadeo	N;MASC;SG	N;MASC;SG
marketing	marketing	marketing	marketing	N;MASC;SG	N;MASC;SG
marketing	mercadotecnia	marketing	mercadotecnia	N;MASC;SG	N;FEM;SG
marketing	comercialización	marketing	comercialización	N;MASC;SG	N;FEM;SG
simultanément	simultáneamente	simultanément	simultáneamente	ADV	ADV
simultanément	simultáneamente	simultanément	simultáneamente	ADV	ADV
essonne	essonne	essonner	essonne	N;FEM;SG	N;MASC;SG
touché	golpeó	toucher	golpear	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
touché	golpear	toucher	golpear	V;MASC;SG;PST;V.PTCP	V;NFIN
touché	tocó	toucher	tocar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
touché	toqué	toucher	toquer	V;MASC;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN
touché	afectó	toucher	afectar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
globalement	mundialmente	globalement	mundialmente	ADV	ADV
globalement	globalmente	globalement	globalmente	ADV	ADV
globalement	globalmente	globalement	globalmente	ADV	ADV
attirer	atraer	attirer	atraer	V;NFIN	V;NFIN
attirer	atraen	attirer	atraer	V;NFIN	V;IND;PL;3;PRS;FIN
attirer	atrae	attirer	atraer	V;NFIN	V;IND;SG;3;PRS;FIN
attirer	atraiga	attirer	atraigar	V;NFIN	V;IMP;SG;3;FIN
attirer	atraer	attirer	atraer	V;NFIN	V;NFIN
attirer	atrayendo	attirer	atrair	V;NFIN	V;V.MSDR
attirer	atraer	attirer	atraer	V;NFIN	V;NFIN
végétation	vegetación	végétation	vegetación	N;FEM;SG	N;FEM;SG
souffle	aliento	souffle	aliento	N;MASC;SG	N;MASC;SG
souffle	respiración	souffle	respiración	N;MASC;SG	N;FEM;SG
souffle	respiro	souffle	respiro	N;MASC;SG	N;MASC;SG
pol	pol	pol	pol		
diagnostic	diagnostico	diagnostic	diagnostico	N;MASC;SG	N;MASC;SG
diagnostic	diagnóstico	diagnostic	diagnóstico	N;MASC;SG	N;MASC;SG
diagnostic	diagnostico	diagnostic	diagnostico	N;MASC;SG	N;MASC;SG
diagnostic	diagnóstico	diagnostic	diagnóstico	N;MASC;SG	N;MASC;SG
diagnostic	diagnostico	diagnostic	diagnostico	N;MASC;SG	N;MASC;SG
diagnostic	diagnóstico	diagnostic	diagnóstico	N;MASC;SG	N;MASC;SG
caraïbes	caribeños	caraïbe	caribeño	N;MASC;PL	N;MASC;PL
