年	aasta	年	aasta	N	N;NOM;SG
情人	armukesed	情人	armuke	N	N;NOM;PL
情人	armastajad	情人	armastaja	N	N;NOM;PL
情人	armuke	情人	armuke	N	N;NOM;SG
情人	armastaja	情人	armastaja	N	N;NOM;SG
性別	sugu	性別	sugu	N	N;NOM;SG
性別	sugu	性別	sugu	N	N;NOM;SG
性別	seks	性別	seks	N	N;NOM;SG
性別	sex	性別	sex	N	N;NOM;SG
腔	õõnsus	腔	õõnsus	N	N;NOM;SG
邊界	piire	邊界	piir	N	N;PRT;PL
邊界	piirid	邊界	piir	N	N;NOM;PL
邊界	piirid	邊界	piir	N	N;NOM;PL
邊界	piir	邊界	piir	N	N;NOM;SG
邊界	piiri	邊界	piir	N	N;PRT;SG
邊界	piir	邊界	piir	N	N;NOM;SG
差距	ebavõrdsus	差距	eba_võrdsus	N	N;NOM;SG
差距	lünki	差距	lünk	N	N;PRT;PL
差距	lüngad	差距	lüngas	N	N;NOM;PL
差距	lõhe	差距	lõhe	N	N;NOM;SG
盒	box	盒	box	N	N;NOM;SG
盒	kast	盒	kast	N	N;NOM;SG
盒	karp	盒	karp	N	N;NOM;SG
盒	kasti	盒	kast	N	N;IN+ALL;LGSPEC1;SG
盒	lahter	盒	lahter	N	N;NOM;SG
豬	sigu	豬	sigu	N	N;PRT;PL
豬	sead	豬	siga	N	N;NOM;PL
豬	siga	豬	siga	N	N;NOM;SG
豬	põrsas	豬	põrsas	N	N;NOM;SG
牆	müür	牆	müür	N	N;NOM;SG
牆	sein	牆	sein	N	N;NOM;SG
牆	seina	牆	sein	N	N;PRT;SG
牆	seinad	牆	sein	N	N;NOM;PL
貨幣	valuuta	貨幣	valuuta	N	N;NOM;SG
貨幣	rahaühik	貨幣	raha_ühik	N	N;NOM;SG
貨幣	vääring	貨幣	vääring	N	N;NOM;SG
微	microsoft	微	microsoft	N	N;NOM;SG
蝴蝶	liblikas	蝴蝶	liblikas	N	N;NOM;SG
蝴蝶	liblikad	蝴蝶	liblikas	N	N;NOM;PL
社團	ühendused	社團	ühendus	N	N;NOM;PL
鯨	vaalad	鯨	vaal	N	N;NOM;PL
鯨	vaal	鯨	vaal	N	N;NOM;SG
鯨	vaala	鯨	vaal	N	N;NOM;SG
優勢	eeliseid	優勢	eelis	N	N;PRT;PL
優勢	eelised	優勢	eelis	N	N;NOM;PL
優勢	eelis	優勢	eelis	N	N;NOM;SG
舌	keele	舌	keel	N	N;GEN;SG
現實	tegelikkus	現實	tegelikkus	N	N;NOM;SG
現實	reaalsus	現實	reaalsus	N	N;NOM;SG
形態	morfoloogia	形態	morfoloogia	N	N;NOM;SG
真相	tõde	真相	tõde	N	N;NOM;SG
步行	kõndimine	步行	kõndimine	N	N;NOM;SG
步行	jalutuskäik	步行	jalutus_käik	N	N;NOM;SG
礁	riff	礁	riff	N	N;NOM;SG
假設	hüpotees	假設	hüpotees	N	N;NOM;SG
假設	oletused	假設	oletus	N	N;NOM;PL
假設	eeldused	假設	eeldus	N	N;NOM;PL
周邊	läheduses	周邊	lähedus	N	N;IN+ESS;SG
排除	välistada	排除	välistama	V	V;NFIN
排除	välistatud	排除	välistama	V	V;PST;V.PTCP;PASS
輔助	täiendus	輔助	täiendus	N	N;NOM;SG
婦女	naised	婦女	naine	N	N;NOM;PL
改進	paranenud	改進	paranema	V	V;PST;V.PTCP;ACT
改進	parandada	改進	parandama	V	V;NFIN
正義	õiglus	正義	õiglus	N	N;NOM;SG
正義	õigusemõistmine	正義	õiguse_mõistmine	N	N;NOM;SG
艇	paate	艇	paat	N	N;PRT;PL
艇	paadid	艇	paat	N	N;NOM;PL
艇	paat	艇	paat	N	N;NOM;SG
模擬	analoog	模擬	analoog	N	N;NOM;SG
模擬	simulatsioonid	模擬	simulatsioon	N	N;NOM;PL
模擬	analoog	模擬	analoog	N	N;NOM;SG
模擬	simulatsiooni	模擬	simulatsioon	N	N;PRT;SG
模擬	simulatsioon	模擬	simulatsioon	N	N;NOM;SG
貨物	kaubad	貨物	kaup	N	N;NOM;PL
貨物	kaup	貨物	kaup	N	N;NOM;SG
貨物	kauba	貨物	kaup	N	N;GEN;SG
天才	geenius	天才	geenius	N	N;NOM;SG
天才	talent	天才	talent	N	N;NOM;SG
天才	ande	天才	andma	N	N;PRT;PL
天才	annet	天才	anne	N	N;PRT;SG
海峽	väinade	海峽	väin	N	N;GEN;PL
海峽	kanal	海峽	kana	N	N;AT+ESS
;SG
海峽	kanalid	海峽	kanal	N	N;NOM;PL
她們	nad	她	tema	PRO;PL;3	PRO;NOM;PL;3
保育	säilitamine	保育	säilitamine	N	N;NOM;SG
保育	looduskaitse	保育	loodus_kaitse	N	N;NOM;SG
爪	käpp	爪	käpp	N	N;NOM;SG
爪	küünis	爪	küünis	N	N;NOM;SG
爪	käpp	爪	käpp	N	N;NOM;SG
爪	käppa	爪	käpp	N	N;PRT;SG
爪	küüned	爪	küüs	N	N;NOM;PL
爪	küünised	爪	küünis	N	N;NOM;PL
筆	pliiats	筆	pliiats	N	N;NOM;SG
筆	pliiatsi	筆	pliiats	N	N;GEN;SG
筆	pen	筆	pen	N	N;NOM;SG
筆	pliiats	筆	pliiats	N	N;NOM;SG
筆	pliiatsid	筆	pliiats	N	N;NOM;PL
垃圾	prügikasti	垃圾	prügi_kast	N	N;PRT;SG
垃圾	prügi	垃圾	prügi	N	N;NOM;SG
垃圾	prügi	垃圾	prügi	N	N;NOM;SG
音樂	kontsert	音樂	kontsert	N	N;NOM;SG
音樂	kontserdil	音樂	kontsert	N	N;AT+ESS
;SG
音樂	kontserdid	音樂	kontsert	N	N;NOM;PL
國籍	kodakondsus	國籍	kodakondsus	N	N;NOM;SG
國籍	rahvus	國籍	rahvus	N	N;NOM;SG
刺激	stimuleerida	刺激	stimuleerima	V	V;NFIN
借用	laenata	借用	laenama	V	V;NFIN
借用	laena	借用	lagi	V	V;IMP;SG;2;PRS;FIN;ACT
租	üür	租	üür	N	N;NOM;SG
租	üüri	租	üür	N	N;PRT;SG
租	rent	租	rent	N	N;NOM;SG
勇士	sõdalased	勇士	sõdalane	N	N;NOM;PL
勇士	sõdalane	勇士	sõdalane	N	N;NOM;SG
因子	teguri	因子	tegur	N	N;GEN;SG
因子	tegur	因子	tegur	N	N;NOM;SG
因子	faktor	因子	faktor	N	N;NOM;SG
成年	täiskasvanueas	成年	täis_kasvanu_iga	N	N;IN+ESS;SG
成年	täiskasvanu	成年	täis_kasvanu	N	N;NOM;SG
成年	täiskasvanud	成年	täis_kasvanu	N	N;NOM;SG
職位	positsioonid	職位	positsioon	N	N;NOM;PL
職位	asukoht	職位	asu_koht	N	N;NOM;SG
職位	positsioon	職位	positsioon	N	N;NOM;SG
職位	asend	職位	asend	N	N;NOM;SG
水晶	crystal	水晶	crystal	N	N;NOM;SG
水晶	kristall	水晶	kristall	N	N;NOM;SG
水晶	kristallid	水晶	kristall	N	N;NOM;PL
訊號	signaale	訊號	signaal	N	N;PRT;PL
訊號	signaalid	訊號	signaal	N	N;NOM;PL
訊號	signaal	訊號	signaal	N	N;NOM;SG
訊號	signaali	訊號	signaal	N	N;PRT;SG
訊號	märguanne	訊號	märguanne	N	N;NOM;SG
血液	veri	血液	veri	N	N;NOM;SG
血液	vere	血液	veri	N	N;NOM;SG
後方	tagaosa	後方	taga_osa	N	N;NOM;SG
主人	meister	主人	meister	N	N;NOM;SG
主人	õpetaja	主人	õpetaja	N	N;NOM;SG
主人	peremees	主人	pere_mees	N	N;NOM;SG
主人	isand	主人	isand	N	N;NOM;SG
審查	läbivaatamine	審查	läbi_vaatamine	N	N;NOM;SG
審查	ülevaatus	審查	üle_vaatus	N	N;NOM;SG
審查	läbivaatus	審查	läbi_vaatus	N	N;NOM;SG
審查	tsensuur	審查	tsensuur	N	N;NOM;SG
福音	evangeeliumi	福音	eva_ngeelium	N	N;PRT;SG
最快	kiireim	最快	kiireim	ADJ	ADJ;NOM;RL;SG
可能	võimalused	可能	võimalus	N	N;NOM;PL
可能	tõenäosus	可能	tõe_näosus	N	N;NOM;SG
可能	tõenäosus	可能	tõe_näosus	N	N;NOM;SG
可能	võimalus	可能	võimalus	N	N;NOM;SG
較高	kõrgemad	較高	kõrgem	ADJ	ADJ;NOM;CMPR;PL
較高	kõrgem	較高	kõrgem	ADJ	ADJ;NOM;CMPR;SG
經濟	majandus	經濟	majandus	N	N;NOM;SG
草地	rohumaa	草地	rohu_maa	N	N;NOM;SG
草地	muru	草地	muru	N	N;NOM;SG
草地	rohi	草地	rohi	N	N;NOM;SG
草地	muru	草地	muru	N	N;NOM;SG
草地	heinamaa	草地	heina_maa	N	N;NOM;SG
中午	keskpäeval	中午	kesk_päev	N	N;AT+ESS
;SG
中午	keskpäev	中午	kesk_päev	N	N;NOM;SG
中午	keskpäeval	中午	kesk_päev	N	N;AT+ESS
;SG
費用	tasu	費用	tasu	N	N;NOM;SG
費用	kulu	費用	kulu	N	N;NOM;SG
費用	maksumus	費用	maksumus	N	N;NOM;SG
費用	kulud	費用	kulu	N	N;NOM;PL
費用	kulutused	費用	kulutus	N	N;NOM;PL
費用	kulud	費用	kulu	N	N;NOM;PL
費用	kulud	費用	kulu	N	N;NOM;PL
購物	shop	購物	shop	N	N;NOM;SG
購物	pood	購物	pood	N	N;NOM;SG
購物	kauplus	購物	kauplus	N	N;NOM;SG
購物	poodi	購物	pood	N	N;IN+ALL;LGSPEC1;SG
購物	poe	購物	pood	N	N;PRT;SG
購物	poodi	購物	pood	N	N;IN+ALL;LGSPEC1;SG
天氣	ilm	天氣	ilm	N	N;NOM;SG
最少	minimaalne	最少	minimaalne	ADJ	ADJ;NOM;SG
外觀	fassaad	外觀	fassaad	N	N;NOM;SG
外觀	välimus	外觀	välimus	N	N;NOM;SG
氣體	gaas	氣體	gaas	N	N;NOM;SG
氣體	gaasi	氣體	gaas	N	N;PRT;SG
氣體	bensiin	氣體	bensiin	N	N;NOM;SG
氣體	gaasid	氣體	gaas	N	N;NOM;PL
喇嘛	laama	喇嘛	laama	N	N;NOM;SG
盟軍	liitlaste	盟軍	liitlane	N	N;GEN;PL
盟軍	liitlased	盟軍	liitlane	N	N;NOM;PL
灰色	gray	灰色	gray	N	N;NOM;SG
灰色	grey	灰色	grey	N	N;NOM;SG
秩序	tellimus	秩序	tellimus	N	N;NOM;SG
秩序	järjekord	秩序	järje_kord	N	N;NOM;SG
秩序	korraldus	秩序	korraldus	N	N;NOM;SG
秩序	ordu	秩序	ordu	N	N;NOM;SG
侵略	sissetungi	侵略	sisse_tung	N	N;PRT;SG
侵略	sissetung	侵略	sissetung	N	N;NOM;SG
侵略	agressiooni	侵略	agressioon	N	N;PRT;SG
鋼琴	klaver	鋼琴	klaver	N	N;NOM;SG
監獄	vanglaid	監獄	vangla	N	N;PRT;PL
監獄	vanglates	監獄	vangla	N	N;IN+ESS;PL
監獄	vangla	監獄	vangla	N	N;NOM;SG
監獄	vangla	監獄	vangla	N	N;NOM;SG
促進	edendades	促進	edendama	V	V;V.CVB
區間	intervall	區間	intervall	N	N;NOM;SG
邊境	piirid	邊境	piir	N	N;NOM;PL
邊境	piir	邊境	piir	N	N;NOM;SG
邊境	piiri	邊境	piir	N	N;PRT;SG
獵	hunt	獵	hunt	N	N;NOM;SG
獵	jaht	獵	jaht	N	N;NOM;SG
獵	jahile	獵	jaht	N	N;AT+ALL;SG
獵	jahi	獵	jaht	N	N;NOM;SG
獵	jaht	獵	jaht	N	N;NOM;SG
遺產	kultuuripärandi	遺產	kultuuri_pärant	N	N;PRT;SG
遺產	pärand	遺產	pärand	N	N;NOM;SG
遺產	pärand	遺產	pärand	N	N;NOM;SG
遺產	päranduse	遺產	pärandus	N	N;GEN;SG
獨特	kordumatu	獨特	kordumatu	ADJ	ADJ;NOM;SG
獨特	ainulaadne	獨特	ainu_laadne	ADJ	ADJ;NOM;SG
獨特	unikaalne	獨特	unikaalne	ADJ	ADJ;NOM;SG
電氣	elekter	電氣	elekter	N	N;NOM;SG
股權	omakapital	股權	oma_kapital	N	N;NOM;SG
股權	omakapitali	股權	oma_kapital	N	N;PRT;SG
記憶	ram	記憶	ram	N	N;NOM;SG
記憶	memory	記憶	memory	N	N;NOM;SG
記憶	mälu	記憶	mälu	N	N;NOM;SG
記憶	mälestus	記憶	mälestus	N	N;NOM;SG
擴展	laiendatud	擴展	laienda=tud	V	V;PST;V.PTCP;PASS
擴展	laiendada	擴展	laiendama	V	V;NFIN
飯店	hotell	飯店	hotell	N	N;NOM;SG
飯店	hotel	飯店	hotel	N	N;NOM;SG
飯店	restoranid	飯店	restoran	N	N;NOM;PL
飯店	restoran	飯店	restoran	N	N;NOM;SG
下游	allavoolu	下游	alla-vool	N	N;IN+ALL;LGSPEC1;SG
更換	asenda	更換	asendama	V	V;IMP;SG;2;PRS;FIN;ACT
更換	asendus	更換	asenduma	V	V;IND;SG;3;PST;FIN;ACT
更換	asendatakse	更換	asendama	V	V;IND;PRS;FIN;PASS
更換	asendus	更換	asenduma	V	V;IND;SG;3;PST;FIN;ACT
快樂	joy	快樂	joy	N	N;NOM;SG
快樂	rõõmu	快樂	rõõm	N	N;PRT;SG
快樂	rõõm	快樂	rõõm	N	N;NOM;SG
守護	eestkostja	守護	eest_kostja	N	N;NOM;SG
守護	hooldaja	守護	hooldaja	N	N;NOM;SG
守護	kaitsja	守護	kaitsja	N	N;NOM;SG
守護	valvur	守護	valvur	N	N;NOM;SG
守護	valvur	守護	valvur	N	N;NOM;SG
頭部	pea	頭部	pea	N	N;NOM;SG
玩具	mänguasi	玩具	mängu_asi	N	N;NOM;SG
玩具	mänguasjad	玩具	mängu_asi	N	N;NOM;PL
粉絲	fänne	粉絲	fänn	N	N;PRT;PL
粉絲	fännid	粉絲	fänn	N	N;NOM;PL
粉絲	ventilaator	粉絲	ventilaator	N	N;NOM;SG
粉絲	fänn	粉絲	fänn	N	N;NOM;SG
消除	kõrvaldada	消除	kõrvaldama	V	V;NFIN
畫家	kunstnik	畫家	kunstnik	N	N;NOM;SG
消滅	hävita	消滅	hävitama	V	V;IMP;SG;2;PRS;FIN;ACT
消滅	hävitada	消滅	hävitama	V	V;NFIN
形狀	kujund	形狀	kujund	N	N;NOM;SG
形狀	kuju	形狀	kuju	N	N;NOM;SG
形狀	kujuga	形狀	kuju	N	N;COM;SG
兵器	relvad	兵器	relv	N	N;NOM;PL
兵器	relv	兵器	relv	N	N;NOM;SG
迫害	tagakiusamine	迫害	taga_kiusamine	N	N;NOM;SG
報紙	ajaleht	報紙	aja_leht	N	N;NOM;SG
天文	astronoomid	天文	astronoom	N	N;NOM;PL
天文	astronoom	天文	astronoom	N	N;NOM;SG
硫	väävel	硫	väävel	N	N;NOM;SG
硫	väävel	硫	väävel	N	N;NOM;SG
硫	väävli	硫	vääveli	N	N;NOM;SG
地產	omadus	地產	omadus	N	N;NOM;SG
地產	omand	地產	omand	N	N;NOM;SG
天堂	taevas	天堂	taevas	N	N;IN+ESS;SG
天堂	paradiisi	天堂	paradiis	N	N;PRT;SG
天堂	paradiis	天堂	paradiis	N	N;NOM;SG
關鍵	võtme	關鍵	võti	N	N;GEN;SG
關鍵	key	關鍵	key	N	N;NOM;SG
關鍵	võti	關鍵	võti	N	N;NOM;SG
人力	tööjõudu	人力	töö_jõud	N	N;PRT;SG
人力	tööjõud	人力	töö_jõud	N	N;NOM;SG
框架	raamid	框架	raam	N	N;NOM;PL
框架	raamistik	框架	raamistik	N	N;NOM;SG
框架	kaader	框架	kaader	N	N;NOM;SG
框架	raam	框架	raam	N	N;NOM;SG
框架	raami	框架	raam	N	N;PRT;SG
槍管	tünn	槍管	tünn	N	N;NOM;SG
抑制	ohjeldada	抑制	ohjeldama	V	V;NFIN
室內	siseruumides	室內	sise_ruum	N	N;IN+ESS;PL
室內	siseruumides	室內	sise_ruum	N	N;IN+ESS;PL
中	andmekandja	中	andme_kandja	N	N;NOM;SG
武士	samurai	武士	samurai	N	N;NOM;SG
淡	pale	淡	pale	N	N;NOM;SG
棚	kuuri	棚	kuur	N	N;GEN;SG
巨星	superstaar	巨星	superstaar	N	N;NOM;SG
國旗	lipp	國旗	lipp	N	N;NOM;SG
國旗	lipu	國旗	lipp	N	N;GEN;SG
酯	ester	酯	ester	N	N;NOM;SG
判決	kohtuotsus	判決	kohtuotsus	N	N;NOM;SG
判決	kohtuotsuse	判決	kohtu_otsus	N	N;GEN;SG
案例	case	案例	case	N	N;NOM;SG
案例	kohtuasi	案例	kohtu_asi	N	N;NOM;SG
案例	juhtum	案例	juhtum	N	N;NOM;SG
案例	juhud	案例	juht	N	N;NOM;PL
案例	juhtumid	案例	juhtum	N	N;NOM;PL
原料	koostisosad	原料	koosti_sosa	N	N;NOM;PL
原料	koostisained	原料	koosti_saine	N	N;NOM;PL
服裝	rõivad	服裝	rõim	N	N;NOM;PL
服裝	riideid	服裝	riie	N	N;PRT;PL
服裝	riided	服裝	riie	N	N;NOM;PL
服裝	rõivad	服裝	rõim	N	N;NOM;PL
服裝	riietus	服裝	riietuma	N	N;NOM;SG
服裝	riided	服裝	riie	N	N;NOM;PL
服裝	kostüüm	服裝	kostüüm	N	N;NOM;SG
服裝	kostüümid	服裝	kostüüm	N	N;NOM;PL
雷達	radar	雷達	radar	N	N;NOM;SG
排球	võrkpall	排球	võrk_pall	N	N;NOM;SG
確保	tagada	確保	tagama	V	V;NFIN
確保	tagama	確保	tagama	V	V;IN+ALL;V.CVB;ACT
溫泉	spa	溫泉	spa	N	N;NOM;SG
航行	purjed	航行	purje	N	N;NOM;PL
航行	navigatsiooni	航行	navigatsioon	N	N;PRT;SG
傾向	kalduvus	傾向	kalduvus	N	N;NOM;SG
傾向	kalduvus	傾向	kalduvus	N	N;NOM;SG
修復	paranda	修復	parandama	V	V;IMP;SG;2;PRS;FIN;ACT
九十	üheksakümmend	九十	üheksa_kümmend	NUM	NUM;NOM;SG
癌	kartsinoom	癌	kartsinoom	N	N;NOM;SG
癌	vähk	癌	vähk	N	N;NOM;SG
瓶	pudel	瓶	pudel	N	N;NOM;SG
瓶	pudelis	瓶	pudel	N	N;IN+ESS;SG
領地	territoorium	領地	territoorium	N	N;NOM;SG
領地	territooriumi	領地	territoorium	N	N;PRT;SG
飲食	söömas	飲食	sööma	V	V;IN+ESS;V.CVB;ACT
飲食	söön	飲食	sööma	V	V;IND;SG;1;PRS;FIN;ACT
社會	sotsialismi	社會	sotsialism	N	N;PRT;SG
輻射	radioaktiivsuse	輻射	radio_aktiiv=sus	N	N;GEN;SG
輻射	radiatsiooni	輻射	radiatsioon	N	N;PRT;SG
輻射	radiatsioon	輻射	radiatsioon	N	N;NOM;SG
輻射	kiirgus	輻射	kiirgus	N	N;NOM;SG
驚	šokk	驚	šokk	N	N;NOM;SG
女友	sõbranna	女友	sõbranna	N	N;NOM;SG
女友	tüdruksõber	女友	tüdruk_sõber	N	N;NOM;SG
奶	piima	奶	piim	N	N;PRT;SG
奶	piim	奶	piim	N	N;NOM;SG
季節	hooaeg	季節	hoo_aeg	N	N;NOM;SG
季節	hooaega	季節	hoo_aeg	N	N;PRT;SG
生態	ökoloogia	生態	ökoloogia	N	N;NOM;SG
資深	vanem	資深	vanem	ADJ	ADJ;NOM;CMPR;SG
雞	kana	雞	kana	N	N;NOM;SG
夥伴	partner	夥伴	partner	N	N;NOM;SG
夥伴	paarimees	夥伴	paari_mees	N	N;NOM;SG
夥伴	partnerid	夥伴	partner	N	N;NOM;PL
床	voodid	床	voodi	N	N;NOM;PL
床	voodi	床	voodi	N	N;NOM;SG
信任	usaldus	信任	usaldus	N	N;NOM;SG
信任	usaldust	信任	usaldus	N	N;PRT;SG
袋	kott	袋	kott	N	N;NOM;SG
袋	koti	袋	kott	N	N;GEN;SG
袋	kotid	袋	kott	N	N;NOM;PL
各省	provintsid	各省	provints	N	N;NOM;PL
重力	gravitatsioon	重力	gravitatsioon	N	N;NOM;SG
散文	proosa	散文	proosa	N	N;NOM;SG
秘書	sekretär	秘書	sekretär	N	N;NOM;SG
棕	brown	棕	brown	N	N;NOM;SG
藥物	uimastid	藥物	uimasti	N	N;NOM;PL
藥物	narkootikumid	藥物	narkootikum	N	N;NOM;PL
藥物	meditsiin	藥物	meditsiin	N	N;NOM;SG
藥物	ravimid	藥物	ravim	N	N;NOM;PL
藥物	narkootikum	藥物	narkootikum	N	N;NOM;SG
藥物	uimasti	藥物	uimasti	N	N;NOM;SG
捐	annetada	捐	annetama	V	V;NFIN
傷害	haiget	傷害	haige	N	N;PRT;SG
死者	ohver	死者	ohver	N	N;NOM;SG
死者	kannatanu	死者	kannatanu	N	N;NOM;SG
古蹟	monumente	古蹟	monument	N	N;PRT;PL
類別	kategooria	類別	kategooria	N	N;NOM;SG
類別	klassid	類別	klass	N	N;NOM;PL
類別	tunnid	類別	tund	N	N;NOM;PL
類別	klass	類別	klass	N	N;NOM;SG
類別	klassi	類別	klass	N	N;IN+ALL;LGSPEC1;SG
類別	kategooriad	類別	kategooria	N	N;NOM;PL
邊緣	serv	邊緣	serv	N	N;NOM;SG
邊緣	edge	邊緣	edge	N	N;NOM;SG
邊緣	servad	邊緣	serv	N	N;NOM;PL
邊緣	fringe	邊緣	fring	N	N;NOM;SG
酷	lahe	酷	laht	N	N;NOM;SG
酷	cool	酷	cool	N	N;NOM;SG
視覺	nägemus	視覺	nägemus	N	N;NOM;SG
視覺	visioon	視覺	visioon	N	N;NOM;SG
視覺	nägemine	視覺	nägemine	N	N;NOM;SG
精英	eliit	精英	eliit	N	N;NOM;SG
虛構	väljamõeldis	虛構	välja_mõeld	N	N;NOM;SG
假期	puhkus	假期	puhkus	N	N;NOM;SG
假期	pühal	假期	püha	N	N;AT+ESS
;SG
假期	puhkus	假期	puhkus	N	N;NOM;SG
假期	pühi	假期	pühkima	N	N;PRT;SG
軍人	sõdur	軍人	sõdur	N	N;NOM;SG
言論	retoorika	言論	retoorika	N	N;NOM;SG
陰	yin	陰	yin	N	N;NOM;SG
結局	lõpp	結局	lõpp	N	N;NOM;SG
旋轉	pööra	旋轉	pöörama	V	V;IMP;SG;2;PRS;FIN;ACT
額外	ekstra	額外	ekster	N	N;NOM;SG
額外	extra	額外	extra	N	N;NOM;SG
平日	argipäev	平日	argi_päev	N	N;NOM;SG
平日	tööpäevadel	平日	töö_päev	N	N;AT+ESS
;PL
軍官	politseinik	軍官	politseinik	N	N;NOM;SG
軍官	ohvitser	軍官	ohvitser	N	N;NOM;SG
物理	füüsika	物理	füüsika	N	N;NOM;SG
比率	suhtarv	比率	suht_arv	N	N;NOM;SG
比率	suhe	比率	suhe	N	N;NOM;SG
作業	kodutööd	作業	kodu_töö	N	N;NOM;SG
武力	force	武力	force	N	N;NOM;SG
武力	jõud	武力	jõud	N	N;NOM;SG
武力	jõuga	武力	jõud	N	N;COM;SG
醫師	arst	醫師	arst	N	N;NOM;SG
醫師	arsti	醫師	arst	N	N;PRT;SG
醫師	doktor	醫師	doktor	N	N;NOM;SG
器官	organid	器官	organ	N	N;NOM;PL
器官	organi	器官	organi	N	N;SG
器官	elundite	器官	elund	N	N;GEN;PL
器官	organ	器官	orgama	N	N;NOM;SG
山谷	org	山谷	org	N	N;NOM;SG
山谷	oru	山谷	oru	N	N;NOM;SG
山谷	valley	山谷	valley	N	N;NOM;SG
山谷	orud	山谷	org	N	N;NOM;PL
創意	loovuse	創意	loovus	N	N;GEN;SG
當代	tänapäeva	當代	täna_päev	N	N;PRT;SG
協定	kokkulepe	協定	kokku_lepe	N	N;NOM;SG
協定	leping	協定	leping	N	N;NOM;SG
協定	lepingud	協定	leping	N	N;NOM;PL
協定	kokkulepped	協定	kokku_lepe	N	N;NOM;PL
行人	jalakäijate	行人	jala_käija	N	N;GEN;PL
行人	jalakäijate	行人	jala_käija	N	N;GEN;PL
規格	spetsifikatsioonid	規格	spetsifikatsioon	N	N;NOM;PL
規格	täpsustus	規格	täpsustus	N	N;NOM;SG
規格	spetsifikatsioon	規格	spetsifikatsioon	N	N;NOM;SG
規格	spec	規格	spec	N	N;NOM;SG
雕	eagle	雕	eagle	N	N;NOM;SG
雕	kotkas	雕	kotkas	N	N;NOM;SG
雕	kull	雕	kull	N	N;NOM;SG
雕	hawk	雕	hawk	N	N;NOM;SG
地獄	põrgu	地獄	põrgu	N	N;NOM;SG
混淆	segadust	混淆	segadus	N	N;PRT;SG
混淆	segadus	混淆	segadus	N	N;NOM;SG
混淆	segaduses	混淆	segadus	N	N;IN+ESS;SG
參數	parameeter	參數	parameeter	N	N;NOM;SG
參數	väited	參數	väide	N	N;NOM;PL
參數	argumendid	參數	argument	N	N;NOM;PL
共用	jaga	共用	jagama	V	V;IMP;SG;2;PRS;FIN;ACT
共用	jagada	共用	jagama	V	V;NFIN
插曲	episood	插曲	episoo	N	N;NOM;SG
樂器	instrumendid	樂器	instrument	N	N;NOM;PL
樂器	instrument	樂器	instrument	N	N;NOM;SG
樂器	pill	樂器	pill	N	N;NOM;SG
樂器	vahend	樂器	vahend	N	N;NOM;SG
來賓	külaline	來賓	külaline	N	N;NOM;SG
來賓	külalised	來賓	külaline	N	N;NOM;PL
雕塑	skulptuur	雕塑	skulptuur	N	N;NOM;SG
雕塑	skulptuurid	雕塑	skulptuur	N	N;NOM;PL
雕塑	kuju	雕塑	kuju	N	N;NOM;SG
藝術	esitajad	藝術	esitaja	N	N;NOM;PL
藝術	kunstnikud	藝術	kunstnik	N	N;NOM;PL
藝術	esitaja	藝術	esitaja	N	N;NOM;SG
藝術	artist	藝術	artist	N	N;NOM;SG
藝術	kunstnik	藝術	kunstnik	N	N;NOM;SG
命運	saatuse	命運	saatus	N	N;GEN;SG
命運	saatus	命運	saatus	N	N;NOM;SG
命運	saatuse	命運	saatus	N	N;GEN;SG
命運	saatus	命運	saatus	N	N;NOM;SG
房子	house	房子	hous	N	N;NOM;SG
房子	majja	房子	maja	N	N;IN+ALL;LGSPEC1;SG
房子	maja	房子	maja	N	N;NOM;SG
房子	majad	房子	maja	N	N;NOM;PL
崇拜	kummardavad	崇拜	kummardama	V	V;IND;PL;3;PRS;FIN;ACT
指南	juhend	指南	juhend	N	N;NOM;SG
指南	giid	指南	giid	N	N;NOM;SG
明珠	pearl	明珠	pearl	N	N;NOM;SG
明珠	pärl	明珠	pärl	N	N;NOM;SG
明珠	pärli	明珠	pärl	N	N;NOM;SG
螺旋	helix	螺旋	helix	N	N;NOM;SG
螺旋	spiraal	螺旋	spiraal	N	N;NOM;SG
珊瑚	korallid	珊瑚	korall	N	N;NOM;PL
珊瑚	coral	珊瑚	coral	N	N;NOM;SG
財務	finants	財務	finants	N	N;NOM;SG
財務	rahandus	財務	rahandus	N	N;NOM;SG
財務	rahandus	財務	rahandus	N	N;NOM;SG
公平	omakapital	公平	oma_kapital	N	N;NOM;SG
公平	omakapitali	公平	oma_kapital	N	N;PRT;SG
公平	laat	公平	laat	N	N;NOM;SG
公平	õiglus	公平	õiglus	N	N;NOM;SG
電池	patarei	電池	patarei	N	N;NOM;SG
電池	aku	電池	aku	N	N;NOM;SG
電池	patareid	電池	patar	N	N;PRT;PL
電池	akud	電池	aku	N	N;NOM;PL
失蹤	puuduvad	失蹤	puuduma	V	V;IND;PL;3;PRS;FIN;ACT
失蹤	puudub	失蹤	puuduma	V	V;IND;SG;3;PRS;FIN;ACT
獵人	kütid	獵人	kütma	N	N;NOM;PL
獵人	jahimehed	獵人	jahi_mees	N	N;NOM;PL
獵人	kütt	獵人	kütt	N	N;NOM;SG
獵人	hunter	獵人	hunter	N	N;NOM;SG
獵人	jahimees	獵人	jahi_mees	N	N;NOM;SG
葡萄	vitis	葡萄	vitt	N	N;NOM;SG
葡萄	viinamarja	葡萄	viina_mari	N	N;NOM;SG
葡萄	viinamarjad	葡萄	viina_mari	N	N;NOM;PL
