nicht	नहीं	nicht	नहीं	PART;NEG	PART;NEG
minister	मंत्रि	minister	मंत्रि		
mitarbeit	साझेदारी	mitarbeit	साझेदारी	N;NOM;SG	N;NOM;FEM;SG;3
mitarbeit	सहयोग	mitarbeit	सहयोग	N;NOM;SG	N;NOM;MASC;SG;3
mitarbeit	सहयोग	mitarbeit	सहयोग	N;NOM;SG	N;NOM;MASC;SG;3
plan	प्लान	plan	प्लान	N	N;NOM;MASC;SG;3
plan	योजना	plan	योजना	N	N;NOM;FEM;SG;3
interessant	दिलचस्प	interessant	दिलचस्प	ADJ	ADJ
wunsch	काश	wunsch	काश		
drittel	तीसरा	Drittel	तीसरा	ADJ;NOM	ADJ;NOM;MASC;SG
schweren	भारी	schwer	भारी	ADJ;SG	ADJ;NOM
schweren	कठोर	schwer	कठोर	ADJ;SG	ADJ
geb	जन्मे	geb	जन्मा	V;V.PTCP	V;MASC;IND;SG;3;FIN;ACT
entwurf	प्रारूप	entwerfen	प्रारूप	N	N;NOM;MASC;SG;3
entwurf	ड्राफ़्ट	entwerfen	ड्राफ़्ट	N	N;NOM;MASC;SG;3
entwurf	मसौदा	entwerfen	मसौदा	N	N;NOM;MASC;SG;3
entwurf	ड्राफ्ट	entwerfen	ड्राफ्ट	N	N;NOM;MASC;SG;3
entwurf	डिजाइन	entwerfen	डिजाइन	N	N;NOM;MASC;SG;3
entwurf	डिज़ाइन	entwerfen	डिज़ाइन	N	N;NOM;MASC;SG;3
entwurf	ड्राफ़्ट	entwerfen	ड्राफ़्ट	N	N;NOM;MASC;SG;3
entwurf	मसौदा	entwerfen	मसौदा	N	N;NOM;MASC;SG;3
auszeichnung	भेद	auszeichnung	भेद	N;NOM;FEM;SG	N;NOM;MASC;SG;3
auszeichnung	अवार्ड	auszeichnung	अवार्ड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
auszeichnung	पुरस्कार	auszeichnung	पुरस्कार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zugang	एक्सेस	zugang	एक्सेस	N	N;NOM;MASC;SG;3
zugang	अभिगम	zugang	अभिगम	N	N;NOM;MASC;SG;3
zugang	गेटवे	zugang	गेटवा	N	N;NOM;MASC;SG;3
oberhalb	ऊपर	oberhalb	ऊपर	ADV	ADV;NOM;MASC;SG;3
inhalte	विषयवस्तु	inhalt	विषयवस्तु	N	N;NOM;FEM;SG;3
inhalte	सामग्री	inhalt	सामग्री	N	N;NOM;FEM;SG;3
inhalte	विषयवस्तु	inhalt	विषयवस्तु	N	N;NOM;FEM;SG;3
inhalte	सामग्री	inhalt	सामग्री	N	N;NOM;FEM;SG;3
angeblich	कथित	angeblich	कथित	ADJ	ADJ;NOM
medaille	मेडल	medaill	मेडल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
medaille	पदक	medaill	पदक	N;NOM;FEM;SG	N;NOM;MASC;SG;3
chef	प्रधान	chef	प्रधान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
chef	प्रमुख	chef	प्रमुख	N;NOM;MASC;SG	N;NOM;MASC;SG;3
chef	मुखिया	chef	मुखिया	N;NOM;MASC;SG	N;NOM;MASC;SG;3
chef	बॉस	chef	बॉस	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dritter	तीसरे	dritt	तीसरा	ADJ	ADJ;ACC;MASC;SG
dritter	तीसरा	dritt	तीसरा	ADJ	ADJ;NOM;MASC;SG
doppel	डबल	doppel	डबल		
verschieben	चलती	verscheiben	चल	V;NFIN	V;IPFV;FEM;SG;V.PTCP;ACT
verschieben	टालना	verscheiben	टाल	V;NFIN	V;MASC;NFIN;ACT
erklärte	समझाया	erklären	समझा	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
big	बिग	bigen	बिग		
ausgeführt	चलाया	ausführen	चला	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
ziehen	खींचे	ziehen	खींचा	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
ziehen	खींचें	ziehen	खींच	V;NFIN	V;SBJV;PL;FIN;ACT
ziehen	खीचें	ziehen	खीच	V;NFIN	V;SBJV;PL;3;FIN;ACT
ziehen	खींचें	ziehen	खींच	V;NFIN	V;SBJV;PL;FIN;ACT
fahrer	सवार	fahrer	सवार	ADJ	ADJ
verkaufte	बेची	verkaufen	बेच	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
küste	तटीय	küsen	तटीय	ADJ	ADJ;NOM
gedichte	कविताएँ	gedicht	कविता	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
gedichte	कविताएं	gedicht	कविता	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
endgültig	अंतिम	endgültig	अंतिम	ADJ	ADJ;NOM
kapitel	सूरा	kapitel	सूरा	N	N;NOM;MASC;SG;3
kapitel	अध्याय	kapitel	अध्याय	N	N;NOM;MASC;SG;3
kapitel	अध्याय	kapitel	अध्याय	N	N;NOM;MASC;SG;3
drehbuch	स्क्रीनप्ले	drehbuch	स्क्रीनप्ला	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
drehbuch	पटकथा	drehbuch	पटकथा	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
drehbuch	लिपि	drehbuch	लिपि	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
drehbuch	स्क्रिप्ट	drehbuch	स्क्रिप्ट	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
versuche	कोशिश	versuchen	कोशिश	N;NOM;SG	N;NOM;FEM;SG;3
versuche	ट्रायल	versuchen	ट्रायल	N;NOM;SG	N;NOM;MASC;SG;3
versuche	प्रयास	versuchen	प्रयास	N;NOM;SG	N;NOM;MASC;SG;3
versuche	प्रयोग	versuchen	प्रयोग	N;NOM;SG	N;NOM;MASC;SG;3
alternative	वैकल्पिक	alternativ	वैकल्पिक	ADJ;NOM;FEM;PL	ADJ;NOM
alternative	वैकल्पिक	alternativ	वैकल्पिक	ADJ;NOM;FEM;PL	ADJ;NOM
praktisch	सुविधाजनक	praktisch	सुविधाजनक	ADJ	ADJ
praktisch	व्यावहारिक	praktisch	व्यावहारिक	ADJ	ADJ;NOM
antike	प्राचीन	antik	प्राचीन	ADJ;NOM;FEM;SG	ADJ;NOM
korrekt	सटीक	korrekt	सटीक	ADJ	ADJ
korrekt	सही	korrekt	सही	ADJ	ADJ
wichtigen	महत्वपूर्ण	wichtig	महत्वपूर्ण	ADJ	ADJ
verändert	बदला	verändern	बदल	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
erstellen	बनाएं	erstellen	बना	V;NFIN	V;SBJV;PL;3;FIN;ACT
erstellen	बनाएँ	erstellen	बना	V;NFIN	V;SBJV;PL;FIN;ACT
erstellen	बनाने	erstellen	बना	V;NFIN	V;MASC;NFIN;ACT
erstellen	बनाना	erstellen	बना	V;NFIN	V;MASC;NFIN;ACT
pokal	ट्रॉफी	pokal	ट्रॉफी	N;NOM;MASC;SG	N;NOM;FEM;SG;3
pokal	प्याला	pokal	प्याला	N;NOM;MASC;SG	N;NOM;MASC;SG;3
eng	कड़ा	eng	कड़ा	ADJ	ADJ;NOM;MASC;SG
eng	सीमित	eng	सीमित	ADJ	ADJ
bedeutende	प्रतिष्ठित	bedeutend	प्रतिष्ठित	ADJ;NOM;FEM;PL	ADJ
frieden	सलाम	frieden	सलाम		
stub	स्टब	stub	स्टब		
ruf	प्रतिष्ठा	ruf	प्रतिष्ठा	N;NOM;MASC;SG	N;NOM;FEM;SG;3
handlung	प्लाट	handlung	प्लाट		
größer	बड़ा	groß	बड़ा	ADJ	ADJ;NOM;MASC;SG
größer	बड़ा	groß	बड़ा	ADJ	ADJ;NOM;MASC;SG
raus	बाहर	raus	बाहर	ADV	ADV;NOM;MASC;SG;3
persönlichen	व्यक्तिगत	persönlich	व्यक्तिगत	ADJ;ACC;MASC;SG	ADJ
wichtiger	महत्वपूर्ण	wichtig	महत्वपूर्ण	ADJ	ADJ
gestaltung	डिजाइन	gestaltung	डिजाइन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gestaltung	डिज़ाइन	gestaltung	डिज़ाइन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gestaltung	डिजाइनिंग	gestaltung	डिजाइनिंग	N;NOM;FEM;SG	N;NOM;FEM;SG;3
anspruch	दावा	anspruch	दावा	N	N;NOM;MASC;SG;3
anspruch	अर्जी	anspruch	अर्जी	N	N;NOM;FEM;SG;3
angebot	उद्धरण	anpieten	उद्धरण	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
angebot	ऑफर	anpieten	ऑफर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
angebot	प्रस्ताव	anpieten	प्रस्ताव	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
umgeben	घिरी	umgeben	घिर	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
umgeben	घेर	umgeben	घेर	V;V.PTCP	V;ACT
nachweis	डिटेक्शन	nachweis	डिटेक्शन	N	N;NOM;MASC;SG;3
nachweis	साक्ष्य	nachweis	साक्ष्य	N	N;NOM;MASC;PL;3
nachweis	सबूत	nachweis	सबूत	N	N;NOM;MASC;SG;3
nachweis	प्रमाण	nachweis	प्रमाण	N	N;NOM;MASC;SG;3
nachweis	सबूत	nachweis	सबूत	N	N;NOM;MASC;SG;3
nachweis	प्रमाण	nachweis	प्रमाण	N	N;NOM;MASC;SG;3
net	नेट	Net	नेट		
mögliche	संभव	möglich	संभव	ADJ;NOM;FEM;PL	ADJ
verstehe	समझ	verstehen	समझ	V;IND;SG;3;PRS;FIN	V;ACT
verstehe	समझे	verstehen	समझ	V;IND;SG;3;PRS;FIN	V;SG;FIN;ACT
geeignet	उपयुक्त	geeignet	उपयुक्त	ADJ	ADJ
geeignet	उपयुक्त	geeignet	उपयुक्त	ADJ	ADJ
geeignet	उचित	geeignet	उचित	ADJ	ADJ;NOM
übernehmen	लें	übernehmen	ले	V;NFIN	V;SBJV;PL;3;FIN;ACT
übernehmen	ले	übernehmen	ले	V;NFIN	V;ACT
übernehmen	लो	übernehmen	ले	V;NFIN	V;SBJV;SG;FIN;ACT
privaten	निजी	privat	निजी	ADJ;PL	ADJ;NOM
welchen	क्या	welch	क्या	PRO;NOM;SG	PRO
studie	अध्ययन	studie	अध्ययन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
studie	पढ़ाई	studie	पढ़ाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kleineren	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
linke	शेष	linker	शेष	ADJ;NOM;FEM;PL	ADJ
flucht	पलायन	fluchen	पलायन	N	N;NOM;MASC;SG;3
flucht	एस्केप	fluchen	एस्केप	N	N;NOM;MASC;SG;3
maschinen	मशीनें	maschen	मशीन	N;NOM;FEM;PL	N;NOM;FEM;PL;3
verbesserung	सुधार	verbesserung	सुधार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
verbesserung	सुधार	verbesserung	सुधार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erforderlich	आवश्यक	erforderlich	आवश्यक	ADJ	ADJ
erforderlich	जरूरी	erforderlich	जरूरी	ADJ	ADJ
eventuell	संभवतः	eventuell	संभवतः	ADV	ADV
eventuell	शायद	eventuell	शायद	ADV	ADV
eventuell	शायद	eventuell	शायद	ADV	ADV
eventuell	संभवतः	eventuell	संभवतः	ADV	ADV
meistens	अधिकांशतः	meistens	अधिकांशतः	ADV	ADV
verboten	प्रतिबंधित	verbieten	प्रतिबंधित	ADJ;V.PTCP	ADJ
erweiterung	विस्तार	Erweiterung	विस्तार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erweiterung	एक्सटेंशन	Erweiterung	एक्सटेंशन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erweiterung	विस्तार	Erweiterung	विस्तार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erweiterung	एक्सटेंशन	Erweiterung	एक्सटेंशन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erweiterung	विस्तार	Erweiterung	विस्तार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
möglichen	संभव	möglich	संभव	ADJ	ADJ
vorstand	कार्यकारी	vorstehen	कार्यकारी	N;SG	N;NOM;MASC;SG;3
vorstand	कार्यपालिका	vorstehen	कार्यपालिका	N;SG	N;NOM;FEM;SG;3
vorstand	सीईओ	vorstehen	सीईओ	N;SG	N;NOM;MASC;SG;3
vorstand	बोर्ड	vorstehen	बोर्ड	N;SG	N;NOM;MASC;SG;3
vorstand	फलक	vorstehen	फलक	N;SG	N;NOM;MASC;SG;3
fälle	मामले	fallen	मामला	N;NOM;MASC;PL	N;NOM;MASC;PL;3
staatliche	सरकारी	staatlich	सरकारी	ADJ;NOM;FEM;PL	ADJ;NOM
erzählt	बताया	erzählen	बता	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
erzählt	बताई	erzählen	बता	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
endlich	आखिरकार	endlich	आखिरकार	ADV	ADV
schwere	भारी	schwer	भारी	ADJ;NOM;FEM;PL	ADJ;NOM
schwere	कठोर	schwer	कठोर	ADJ;NOM;FEM;PL	ADJ
grab	मज़ार	grab	मज़ार	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
grab	कब्र	grab	कब्र	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
zieht	खींचता	zeihen|ziehen	खींच	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
getötet	मारे	töten	मार	V;V.PTCP	V;PFV;MASC;PL;V.PTCP;ACT
innere	आंतरिक	inner	आंतरिक	ADJ;NOM;FEM;PL	ADJ;NOM
innere	आन्तरिक	inner	आन्तरिक	ADJ;NOM;FEM;PL	ADJ;NOM
gering	हल्का	gering	हल्का	ADJ	ADJ;NOM;MASC;SG
gering	पतला	gering	पतला	ADJ	ADJ;NOM;MASC;SG
gottes	भगवान	gott	भगवान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gottes	परमेश्वर	gott	परमेश्वर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
demokratischen	लोकतांत्रिक	demokratisch	लोकतांत्रिक	ADJ;NOM;MASC;PL	ADJ
plätze	धब्बे	platz	धब्बे	N;NOM;MASC;PL	N;NOM;MASC;PL;3
plätze	सीटें	platz	सीट	N;NOM;MASC;PL	N;NOM;FEM;PL;3
grün	हरी	grün	हरा	ADJ	ADJ;NOM;FEM;SG
marke	ब्रांड	marken	ब्रांड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
marke	ब्रांड	marken	ब्रांड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
marke	ट्रेडमार्क	marken	ट्रेडमार्क	N;NOM;FEM;SG	N;NOM;MASC;SG;3
einleitung	प्रस्तावना	einleitung	प्रस्तावना	N;SG	N;NOM;FEM;SG;3
einleitung	भूमिका	einleitung	भूमिका	N;SG	N;NOM;FEM;SG;3
einleitung	परिचय	einleitung	परिचय	N;SG	N;NOM;MASC;SG;3
einleitung	उद्देशिका	einleitung	उद्देशिका	N;SG	N;NOM;FEM;SG;3
einleitung	प्रस्तावना	einleitung	प्रस्तावना	N;SG	N;NOM;FEM;SG;3
einleitung	परिचयात्मक	einleitung	परिचयात्मक	N;SG	N;NOM;MASC;SG;3
einleitung	परिचय	einleitung	परिचय	N;SG	N;NOM;MASC;SG;3
einleitung	दीक्षा	einleitung	दीक्षा	N;SG	N;NOM;FEM;SG;3
weibchen	महिलाएँ	weibchen	महिला	N;NOM;FEM;PL	N;NOM;FEM;PL;3
weibchen	महिलाएं	weibchen	महिला	N;NOM;FEM;PL	N;NOM;FEM;PL;3
weibchen	बेटियाँ	weibchen	बेटी	N;NOM;FEM;PL	N;NOM;FEM;PL;3
ansprache	भाषण	ansprechen	भाषण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ansprache	पता	ansprechen	पता	N;NOM;FEM;SG	N;NOM;MASC;SG;3
herrn	भगवान	herrn	भगवान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
herrn	रब	herrn	रब	N;NOM;MASC;SG	N;NOM;MASC;SG;3
damen	लेडीज	damen	लेडीज		
weiss	सफेद	wissen	सफेद		
weiss	श्वेत	wissen	श्वेत		
weiss	वेइस	wissen	वेइस		
sprach	बोला	sprechen	बोल	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
zitat	कोट	zitat	कोट		
dame	डेम	damen	डेम		
dame	dame	damen	dame		
mail	डाक	mail	डाक	N;NOM;FEM;SG	N;NOM;FEM;SG;3
mail	मेल	mail	मेल	N;NOM;FEM;SG	N;NOM;FEM;SG;3
spezielle	विशिष्ट	speziell	विशिष्ट	ADJ;NOM;FEM;PL	ADJ
spezielle	विशेष	speziell	विशेष	ADJ;NOM;FEM;PL	ADJ;NOM
spezielle	खास	speziell	खास	ADJ;NOM;FEM;PL	ADJ;NOM
zählte	गिना	zählen	गिना	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
zählte	गिने	zählen	गिन	V;IND;SG;3;PST;FIN	V;MASC;SG;FIN;ACT
bühne	चरण	bühnen	चरण	N;FEM;SG	N;NOM;MASC;SG;3
bühne	स्टेज	bühnen	स्टेज	N;FEM;SG	N;NOM;MASC;SG;3
kandidaten	उम्मीदवार	kandidat	उम्मीदवार	N;NOM;PL	N;NOM;MASC;PL;3
kandidaten	उम्मीदवार	kandidat	उम्मीदवार	N;NOM;PL	N;NOM;MASC;PL;3
aktiven	सक्रिय	aktiv	सक्रिय	ADJ	ADJ
kleines	छोटा	klein	छोटा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
kleines	छोटी	klein	छोटा	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
hören	सुनने	hören	सुन	V;NFIN	V;NFIN;ACT
hören	सुनना	hören	सुन	V;NFIN	V;MASC;NFIN;ACT
hören	सुन	hören	सुन	V;NFIN	V;ACT
hören	सुनना	hören	सुन	V;NFIN	V;MASC;NFIN;ACT
hören	सुनें	hören	सुन	V;NFIN	V;SBJV;PL;FIN;ACT
hören	सुनो	hören	सुनो	V;NFIN	V;SBJV;SG;3;FIN;ACT
einfache	आसान	einfach	आसान	ADJ;NOM;FEM;PL	ADJ
dokumentation	प्रलेखन	dokumentation	प्रलेखन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dokumentation	दस्तावेज़ीकरण	dokumentation	दस्तावेज़ीकरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dokumentation	वृत्तचित्र	dokumentation	वृत्तचित्र	N;NOM;FEM;SG	N;NOM;MASC;SG;3
krone	क्रोना	kron	क्रोना		
krone	क्रोन	kron	क्रोन		
krone	क्राउन	kron	क्राउन		
format	प्रारूप	format	प्रारूप	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
format	फ़ॉर्मेट	format	फ़ॉर्मेट	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
format	फॉर्मेट	format	फॉर्मेट	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
format	स्वरूप	format	स्वरूप	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
voll	पूरा	voll	पूरा	ADJ	ADJ;NOM;MASC;SG
anerkannt	पहचाना	anerkennen	पहचान	V;V.PTCP	V;MASC;SG;V.PTCP;ACT
gewinn	लाभ	gewinn	लाभ	N	N;NOM;MASC;SG;3
gewinn	जीत	gewinn	जीत	N	N;NOM;FEM;SG;3
gewinn	कमाई	gewinn	कमाई	N	N;NOM;FEM;SG;3
gewinn	आय	gewinn	आय	N	N;NOM;FEM;SG;3
abstand	अलहदा	abstehen	अलहदा		
abstand	अंतर	abstehen	अंतर		
abstand	गैप	abstehen	गैप		
erreichten	पहुँचे	erreichen	पहुँच	V;IND;PL;3;PST;FIN	V;PFV;MASC;PL;V.PTCP;ACT
bereit	तैयार	bereit	तैयार	ADJ	ADJ
persönlichkeiten	हस्तियाँ	persönlichkeit	हस्ती	N;NOM;FEM;PL	N;NOM;FEM;PL;3
langer	लंबी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
langer	लंबा	lang	लंबा	ADJ	ADJ;MASC;SG
langer	लम्बी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
gesprochen	बोला	sprechen	बोल	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
erzeugt	बनाया	erzeugen	बना	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
erzeugt	बनाए	erzeugen	बना	V;V.PTCP	V;PFV;MASC;PL;V.PTCP;ACT
rollen	फेंकें	roll	फेंक	V;NFIN	V;SBJV;PL;FIN;ACT
beteiligung	भागीदारी	Beteiligung	भागीदारी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
beteiligung	भागीदारी	Beteiligung	भागीदारी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
breiten	चौड़ी	breit	चौड़ी	ADJ;SG	ADJ;NOM;FEM;SG
unterschiedlich	अलग	unterschiedlich	अलग	ADJ	ADJ
lokalen	स्थानीय	lokal	स्थानीय	ADJ;NOM;PL	ADJ;NOM
siege	घेराबंदी	siegen	घेराबंदी	N;NOM	N;NOM;FEM;SG;3
siege	घेरा	siegen	घेरा	N;NOM	N;NOM;MASC;SG;3
volkszählung	जनगणना	volkszählung	जनगणना	N;SG	N;NOM;FEM;SG;3
volkszählung	जनसांख्यिकी	volkszählung	जनसांख्यिकी	N;SG	N;NOM;MASC;SG;3
klub	क्लब	klub	क्लब	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dach	छत	dach	छत	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
dach	छत	dach	छत	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
lernte	सीखा	lernen	सीख	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
lernte	सीखे	lernen	सीखे	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
altstadt	ऐतिहासिक	altstadt	ऐतिहासिक	ADJ	ADJ
altstadt	पुराने	altstadt	पुराना	ADJ	ADJ;MASC;PL
altstadt	पुरानी	altstadt	पुराना	ADJ	ADJ;FEM;SG
altstadt	पुराना	altstadt	पुराना	ADJ	ADJ;MASC;SG
gewisse	निश्चित	gewiß	निश्चित	ADJ;NOM;FEM;PL	ADJ;NOM
bgcolor	bgcolor	bgcolor	bgcolor		
einst	एकबार	einst	एकबार	ADV	ADV
real	असली	real	असली	ADJ	ADJ;NOM
real	वास्तविक	real	वास्तविक	ADJ	ADJ;NOM
sagte	कहा	sagen	कह	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
sagte	बताया	sagen	बता	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
sagte	बताई	sagen	बता	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
führer	नेताओ	führer	नेताओ		
führer	गाइड	führer	गाइड		
analyse	विश्लेषण	analyse	विश्लेषण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
analyse	analytics	analyse	analytics	N;NOM;FEM;SG	N;NOM;MASC;SG;3
analyse	विश्लेषण	analyse	विश्लेषण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
falsche	गलत	falsch	गलत	ADJ;NOM;FEM;PL	ADJ
falsche	गलत	falsch	गलत	ADJ;NOM;FEM;PL	ADJ
falsche	गलत	falsch	गलत	ADJ;NOM;FEM;PL	ADJ
organisiert	संगठित	organisieren	संगठित	ADJ;V.PTCP	ADJ
organisiert	संगठित	organisieren	संगठित	ADJ;V.PTCP	ADJ
organisiert	व्यवस्थित	organisieren	व्यवस्थित	ADJ;V.PTCP	ADJ
koch	शेफ़	koch	शेफ़		
schlug	सुझाया	schlagen	सुझा	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kurzer	छोटा	kurz	छोटा	ADJ	ADJ;NOM;MASC;SG
kurzer	छोटी	kurz	छोटा	ADJ	ADJ;FEM;SG
bearbeitung	संपादन	bearbeitung	संपादन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bearbeitung	सम्पादन	bearbeitung	सम्पादन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bearbeitung	संपादन	bearbeitung	संपादन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bearbeitung	प्रोसेसिंग	bearbeitung	प्रोसेसिंग	N;NOM;FEM;SG	N;NOM;FEM;SG;3
bearbeitung	प्रसंस्करण	bearbeitung	प्रसंस्करण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bearbeitung	machining	bearbeitung	machining	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gedacht	सोचा	denken|gedenken	सोच	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
vierte	चौथा	viert	चौथा	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
vierte	चौथी	viert	चौथी	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
denken	सोच	denken	सोच	V;NFIN	V;SG;FIN;ACT
abgelehnt	झुठलाया	ablehnen	झुठला	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
umfang	परिधि	umfingen	परिधि		
umfang	वाल्यूम	umfingen	वाल्यूम		
laufen	दौड़ना	laufen	दौड़	V;NFIN	V;MASC;NFIN;ACT
laufen	चला	laufen	चल	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
laufen	चलाएँ	laufen	चला	V;NFIN	V;SBJV;PL;FIN;ACT
laufen	चलेगी	laufen	चल	V;NFIN	V;FEM;IND;SG;3;FUT;FIN;ACT
laufen	चलाएं	laufen	चला	V;NFIN	V;SBJV;PL;FIN;ACT
maximal	अधिकतम	maximal	अधिकतम	ADJ	ADJ
maximal	अधिकतम	maximal	अधिकतम	ADJ	ADJ
forum	फ़ोरम	forum	फाोरम		
gewicht	भार	wechen	भार	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gewicht	वजन	wechen	वजन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gewicht	वज़न	wechen	वज़न	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
erhöht	उठी	erhöhen	उठ	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
erhöht	उठाया	erhöhen	उठा	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
absolut	एकदम	absolut	एकदम	ADV	ADV
absolut	बिलकुल	absolut	बिलकुल	ADV	ADV
absolut	बिल्कुल	absolut	बिल्कुल	ADV	ADV
glück	भाग्य	glück	भाग्य	N;NOM;SG	N;NOM;MASC;SG;3
glück	भाग्यशाली	glück	भाग्यशाली	N;NOM;SG	N;NOM;FEM;SG;3
glück	ख़ुशी	glück	ख़ुशी	N;NOM;SG	N;NOM;FEM;SG;3
glück	खुशी	glück	खुशी	N;NOM;SG	N;NOM;FEM;SG;3
glück	भाग्य	glück	भाग्य	N;NOM;SG	N;NOM;MASC;SG;3
glück	किस्मत	glück	किस्मत	N;NOM;SG	N;NOM;FEM;SG;3
umwelt	वातावरण	umwelt	वातावरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umwelt	परिवेश	umwelt	परिवेश	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umwelt	एनवायरनमेंट	umwelt	एनवायरनमेंट	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umwelt	पर्यावरण	umwelt	पर्यावरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
urteil	निर्णय	urteil	निर्णय	N;SG	N;NOM;MASC;SG;3
urteil	निर्णय	urteil	निर्णय	N;SG	N;NOM;MASC;SG;3
eingefügt	चिपकाया	einfügen	चिपका	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
