daha	دیگر	daha	دیگر	ADV	ADV
işbirliği	همکاری	işbirliği	همکاری	N;NOM;SG;3	N;SG
işbirliği	تعاونی	işbirliği	تعاونی	N;NOM;SG;3	N;SG
işbirliği	همکاری	işbirliği	همکاری	N;NOM;SG;3	N;SG
istatistikleri	آمارهای	ista	آمار	N;NOM;PL;3	N;PL
çorum	چوروم	çorum	چوروم		
komedi	کمدی	komedi	None	N;NOM;SG;3	N;SG
anlamı	معنای	anlam	معنا	N;ACC;SG;3	N;SG
anlamı	معنی	anlam	معنی	N;ACC;SG;3	N;SG
anlamı	معنا	anlam	معنا	N;ACC;SG;3	N;SG
cem	cem	cem	cem		
oyuncular	بازیکنان	oyuncu	بازیکن	N;NOM;PL;3	N;PL
oyuncular	بازیگران	oyuncu	بازیگر	N;NOM;PL;3	N;PL
kullanıcılar	کاربران	kullanıcı	کاربر	N;NOM;PL;3	N;PL
bizim	ما	biz	ما	PRO;GEN;PL;1	PRO;PL;1
atina	آتن	at	None	N;DAT;SG;3	N;SG
olaylar	حوادث	olay	حوادث	N;NOM;PL;3	N;PL
olaylar	رویدادهای	olay	رویداد	N;NOM;PL;3	N;PL
olaylar	رویدادها	olay	رویداد	N;NOM;PL;3	N;PL
olaylar	حوادث	olay	حوادث	N;NOM;PL;3	N;PL
olaylar	اتفاقات	olay	اتفاق	N;NOM;PL;3	N;PL
cevap	پاسخگویی	cevap	پاسخگویی	N;NOM;SG;3	N;SG
cevap	جواب	cevap	جواب	N;NOM;SG;3	N;SG
cevap	پاسخ	cevap	پاسخ	N;NOM;SG;3	N;SG
cevap	پاسخ	cevap	پاسخ	N;NOM;SG;3	N;SG
cevap	پاسخگویی	cevap	پاسخگویی	N;NOM;SG;3	N;SG
cevap	پاسخ	cevap	پاسخ	N;NOM;SG;3	N;SG
cevap	واکنش	cevap	واکنش	N;NOM;SG;3	N;SG
dilleri	زبانهای	dil	زبان	N;NOM;PL;3	N;PL
dilleri	زبانها	dil	زبان	N;NOM;PL;3	N;PL
görüş	بازخورد	görüş	بازخورد	N;NOM;SG;3	N;SG
görüş	نمایانی	görüş	نمایان	N;NOM;SG;3	N;SG
görüş	دید	görüş	دید#بین	N;NOM;SG;3	N;SG
milletler	ملتها	millet	ملت	N;NOM;PL;3	N;PL
milletler	ملل	millet	ملت	N;NOM;PL;3	N;PL
evlilik	ازدواج	evlilik	ازدواج	N;NOM;SG;3	N;SG
evlilik	عروسی	evlilik	عروسی	N;NOM;SG;3	N;SG
evlilik	ازدواج	evlilik	ازدواج	N;NOM;SG;3	N;SG
eş	wife	eş	wife		
imparatorluk	امپراطوری	imparatorluk	امپراطوری	N;NOM;SG;3	N;SG
imparatorluk	امپایر	imparatorluk	امپایر	N;NOM;SG;3	N;SG
imparatorluk	امپراتوری	imparatorluk	امپراتوری	N;NOM;SG;3	N;SG
imparatorluk	امپراطوری	imparatorluk	امپراطوری	N;NOM;SG;3	N;SG
imparatorluk	سلطنتی	imparatorluk	سلطنت	N;NOM;SG;3	N;SG
imparatorluk	امپراتوری	imparatorluk	امپراتوری	N;NOM;SG;3	N;SG
hanedanı	دودمان	hanedan	دودم	N;INS;SG;3	N;SG
hanedanı	سلسله	hanedan	سلسله	N;INS;SG;3	N;SG
bunları	اینها	bu	این	PRO;ACC;PL;3	PRO;PL
koyu	بای	koyu	با		
koyu	اینلت	koyu	اینلت		
dijital	رقمی	dijital	None	N;NOM;SG;3	N;SG
dijital	digital	dijital	digital	N;NOM;SG;3	N;SG
dijital	دیجیتالی	dijital	None	N;NOM;SG;3	N;SG
dijital	دیجیتال	dijital	None	N;NOM;SG;3	N;SG
onlar	ایشان	o	ایشان	PRO;NOM;PL;3	PRO;PL;3
modeli	model	model	model	N;NOM;SG;3	N;SG
modeli	مدل	model	مدل	N;NOM;SG;3	N;SG
üyeler	اعضای	üye	عضو	N;NOM;PL;3	N;PL
üyeler	اعضا	üye	عضو	N;NOM;PL;3	N;PL
aracı	ابزار	araç	ابزار	N;ACC;SG;3	N;SG
aracı	واسطه	araç	واسطه	N;ACC;SG;3	N;SG
aracı	واسطه	araç	واسطه	N;ACC;SG;3	N;SG
billboard	بیلبورد	billboard	بیلبورد	N;NOM;SG;3	N;SG
çoğunluğu	اکثریت	çoğunluk	اکثریت	N;ACC;SG;3	N;SG
zamanlar	زمانهای	zaman	زمان	N;NOM;PL;3	N;PL
zamanlar	دفعات	zaman	دفعه	N;NOM;PL;3	N;PL
akademi	آکادمی	akadem	آکادمی	N;NOM;SG;3	N;SG
akademi	فرهنگستان	akadem	فرهنگست	N;NOM;SG;3	N;SG
barcelona	بارسلون	barcelon	بارسلون	N;NOM;SG;3	N;SG
barcelona	بارسلونا	barcelon	بارسلونا	N;NOM;SG;3	N;SG
tedavi	درمانی	tedavi	درمان	N;NOM;SG;3	N;SG
tedavi	علاج	tedavi	علاج	N;NOM;SG;3	N;SG
tedavi	درمانی	tedavi	درمان	N;NOM;SG;3	N;SG
tedavi	معالجه	tedavi	معالجه	N;NOM;SG;3	N;SG
tedavi	درمان	tedavi	درمان	N;NOM;SG;3	N;SG
tedavi	معالجه	tedavi	معالجه	N;NOM;SG;3	N;SG
tedavi	درمان	tedavi	درمان	N;NOM;SG;3	N;SG
karmaşık	پیچیده	karmaşık	پیچیده	ADJ	ADJ
karmaşık	پیچیده	karmaşık	پیچیده	ADJ	ADJ
yaşlı	کهنه	yaşlı	کهنه	ADJ	ADJ
yaşlı	مسن	yaşlı	None	ADJ	ADJ
yaşlı	سالخورده	yaşlı	سالخورده	ADJ	ADJ;SG;3;V.PTCP
yaşlı	بزرگتر	yaşlı	بزرگ	ADJ	ADJ;CMPR
yaşlı	پیرتر	yaşlı	پیر	ADJ	ADJ;CMPR
alanları	مزارع	alan	مزرعه	N;ACC;PL;3	N;PL
alanları	نواحی	alan	ناحیه	N;ACC;PL;3	N;PL
alanları	مناطق	alan	منطقه	N;ACC;PL;3	N;PL
karakteri	شخصیت	karakteri	شخصیت	N;ESS;SG;3	N;SG
karakteri	نویسه	karakteri	نویسه	N;ESS;SG;3	N;SG
süresi	دوام	süre	دوام	N;NOM;SG;3	N;SG
maça	پیک	maça	پیک	N;DAT;SG;3	N;SG
tour	تور	tour	تور	N;NOM;SG;3	N;SG
tour	tour	tour	tour	N;NOM;SG;3	N;SG
yerleri	مکانهایی	yer	مکان	N;ACC;PL;3	N;PL
yerleri	مکانها	yer	مکان	N;ACC;PL;3	N;PL
yerleri	مساجد	yer	None	N;ACC;PL;3	N;PL
yerleri	مکانهای	yer	مکان	N;ACC;PL;3	N;PL
yerleri	مکانها	yer	مکان	N;ACC;PL;3	N;PL
yerleri	محلهای	yer	محل	N;ACC;PL;3	N;PL
derecesi	درجه	derece	درجه	N;NOM;SG;3	N;SG
sabah	صبح	sabah	صبح	N;NOM;SG;3	N;SG
sabah	بامداد	sabah	بامداد	N;NOM;SG;3	N;SG
gruplar	گروهها	grup	گروه	N;NOM;PL;3	N;PL
filmler	فیلمهایی	film	فیلم	N;NOM;PL;3	N;PL
filmler	فیلمهای	film	فیلم	N;NOM;PL;3	N;PL
filmler	فیلمهایی	film	فیلم	N;NOM;PL;3	N;PL
filmler	فیلمها	film	فیلم	N;NOM;PL;3	N;PL
bölümleri	فصلها	bölüm	فصل	N;ACC;PL;3	N;PL
bölümleri	قسمتهای	bölüm	قسمت	N;ACC;PL;3	N;PL
bölümleri	بخشهای	bölüm	بخش	N;ACC;PL;3	N;PL
bölümleri	بخشها	bölüm	بخش	N;ACC;PL;3	N;PL
sistemleri	سیستمها	sistem	سیستم	N;ACC;PL;3	N;PL
hareketler	فعالیتها	hareket	فعالیت	N;NOM;PL;3	N;PL
hareketler	حرکات	hareket	None	N;NOM;PL;3	N;PL
hareketler	حرکات	hareket	None	N;NOM;PL;3	N;PL
gelecek	اینده	gel	اینده		
komitesi	کمیته	komite	کمیته	N;NOM;SG;3	N;SG
komitesi	کمیسیون	komite	کمیسیون	N;NOM;SG;3	N;SG
edebiyatı	ادبیات	edebiyat	ادبیات	N;ACC;SG;3	N;SG
edebiyatı	literature	edebiyat	literature	N;ACC;SG;3	N;SG
odası	تالار	oda	تالار	N;NOM;SG;3	N;SG
odası	دالان	oda	دال	N;NOM;SG;3	N;SG
filmleri	فیلمهایی	film	فیلم	N;ACC;PL;3	N;PL
filmleri	فیلمهای	film	فیلم	N;ACC;PL;3	N;PL
ödüller	جوایز	ödül	جایزه	N;NOM;PL;3	N;PL
ödüller	جوایز	ödül	جایزه	N;NOM;PL;3	N;PL
servisi	خدمت	servi	خدمت	N;NOM;SG;3	N;SG
servisi	سرویس	servi	سرویس	N;NOM;SG;3	N;SG
sıcaklık	دما	sıcaklık	دما	N;NOM;SG;3	N;SG
sıcaklık	گرما	sıcaklık	None	N;NOM;SG;3	N;SG
sıcaklık	حرارت	sıcaklık	حرارت	N;NOM;SG;3	N;SG
sıcaklık	گرمای	sıcaklık	None	N;NOM;SG;3	N;SG
sıcaklık	دما	sıcaklık	دما	N;NOM;SG;3	N;SG
sıcaklık	گرما	sıcaklık	None	N;NOM;SG;3	N;SG
sıcaklık	گرمی	sıcaklık	گرمی	N;NOM;SG;3	N;SG
ürünleri	محصولاتی	ürün	محصول	N;ACC;PL;3	N;PL
ürünleri	محصولات	ürün	محصول	N;ACC;PL;3	N;PL
aracılığıyla	via	aracılık	via	N;INS;SG;3	N;SG
aracılığıyla	طریق	aracılık	طریق	N;INS;SG;3	N;SG
konuk	مهمان	konuk	مهمان	N;NOM;SG;3	N;SG
toprakları	اراضی	toprak	ارض	N;ACC;PL;3	N;PL
toprakları	سرزمینهای	toprak	سرزمین	N;ACC;PL;3	N;PL
getirdi	آورده	getir	آورد#آور	V;PFV;IND;SG;3;POS;PST	V;SG;3;V.PTCP
yazılım	نرمافزار	yazılım	نرمافزار	N;NOM;SG;3	N;SG
karısı	زن	karı	زن	N;NOM;SG;3	N;SG
karısı	همسر	karı	همسر	N;NOM;SG;3	N;SG
karısı	عیال	karı	عیال	N;NOM;SG;3	N;SG
sanatlar	هنرهای	sanat	هنر	N;NOM;PL;3	N;PL
matematik	ریاضیات	matematik	ریاضی	N;NOM;SG;3	N;SG
matematik	ریاضی	matematik	ریاضی	N;NOM;SG;3	N;SG
matematik	ریاضیات	matematik	ریاضی	N;NOM;SG;3	N;SG
matematik	ریاضی	matematik	ریاضی	N;NOM;SG;3	N;SG
matematik	ریاضیات	matematik	ریاضی	N;NOM;SG;3	N;SG
matematik	math	matematik	math	N;NOM;SG;3	N;SG
salonu	هال	salon	هال	N;ACC;SG;3	N;SG
salonu	تالار	salon	تالار	N;ACC;SG;3	N;SG
seçilen	برگزیده	seç	برگزیده	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;3;V.PTCP
seçilen	برگزیده	seç	برگزیده	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;3;V.PTCP
hedef	goal	hedef	goal		
takımlar	تیمهای	takım	تیم	N;NOM;PL;3	N;PL
kuantum	کوانتوم	kuantum	کوانتوم	N;NOM;SG;3	N;SG
kuantum	کوانتومی	kuantum	کوانتومی	N;NOM;SG;3	N;SG
venedik	ونیز	vene	ونیز		
teorisi	نظریه	teori	نظریه	N;NOM;SG;3	N;SG
teorisi	تئوری	teori	تئوری	N;NOM;SG;3	N;SG
teorisi	فرضیه	teori	فرضیه	N;NOM;SG;3	N;SG
harita	نگاشت	harit	نگاشت#گار	N;NOM;SG;3	N;SG
harita	نقشه	harit	None	N;NOM;SG;3	N;SG
değişiklikler	اصلاحات	değişiklik	اصلاح	N;NOM;PL;3	N;PL
değişiklikler	تغییرات	değişiklik	تغییر	N;NOM;PL;3	N;PL
türkler	ترکهای	türk	ترک	N;NOM;PL;3	N;PL
türkler	ترکها	türk	ترک	N;NOM;PL;3	N;PL
kalma	tos	kal	tos		
işler	کارها	iş	کار	N;NOM;PL;3	N;PL
işler	کارهای	iş	کار	N;NOM;PL;3	N;PL
şeyler	اوضاع	şey	وضع	N;NOM;PL;3	N;PL
şeyler	چیزها	şey	چیز	N;NOM;PL;3	N;PL
otomobil	اتومبیل	otomobil	اتومبیل	N;NOM;SG;3	N;SG
otomobil	خودرو	otomobil	خودرو	N;NOM;SG;3	N;SG
otomobil	خودرو	otomobil	خودرو	N;NOM;SG;3	N;SG
otomobil	خودروی	otomobil	خودرو	N;NOM;SG;3	N;SG
otomobil	ماشین	otomobil	ماشین	N;NOM;SG;3	N;SG
otomobil	خودرو	otomobil	خودرو	N;NOM;SG;3	N;SG
otomobil	خودروسازی	otomobil	خودروسازی	N;NOM;SG;3	N;SG
otomobil	خودکار	otomobil	خودکار	N;NOM;SG;3	N;SG
kutusu	باکس	kutu	باکس	N;NOM;SG;3	N;SG
kutusu	جعبه	kutu	جعبه	N;NOM;SG;3	N;SG
kutusu	دریافتی	kutu	دریافتی	N;NOM;SG;3	N;SG
sahipliği	مالکیت	sahiplik	مالکیت	N;NOM;SG;3	N;SG
yavuz	یاووز	yavuz	یاووز		
dönüş	رویت	dönüş	رویت		
sayfada	صفحۀ	sayfa	صفحۀ	N;ESS;SG;3	N;SG
sayfada	صفحه	sayfa	صفحه	N;ESS;SG;3	N;SG
ufak	small	ufak	small		
öncelikle	ابتدا	öncelik	ابتدا	N;INS;SG;3	N;SG
yozgat	یوزغاد	yozgat	یوزغاد		
blue	کبود	blue	کبود#کن	N;NOM;SG;3	N;SG
blue	بلو	blue	بلو	N;NOM;SG;3	N;SG
ilişkileri	روابط	ilişki	رابطه	N;ACC;PL;3	N;PL
ilişkileri	روابط	ilişki	رابطه	N;ACC;PL;3	N;PL
satış	sale	satış	sale		
sekreteri	دبیر	sekreter	دبیر	N;ACC;SG;3	N;SG
sekreteri	منشی	sekreter	منشی	N;ACC;SG;3	N;SG
desteği	پشتیبان	destek	پشتیب	N;NOM;SG;3	N;SG
desteği	پشتیبانی	destek	پشتیبانی	N;NOM;SG;3	N;SG
desteği	حمایت	destek	حمایت	N;NOM;SG;3	N;SG
yüksekliği	ارتفاعی	yükseklik	ارتفاعی	N;ACC;SG;3	N;SG
yüksekliği	بلندی	yükseklik	بلندی	N;ACC;SG;3	N;SG
yüksekliği	ارتفاع	yükseklik	ارتفاع	N;ACC;SG;3	N;SG
yüksekliği	height	yükseklik	height	N;ACC;SG;3	N;SG
başarısız	مردود	başarısız	مردود	ADJ	ADJ
arnavutluk	آلبانیایی	arnavutluk	آلبانیایی	N;NOM;SG;3	N;SG
arnavutluk	آلبانی	arnavutluk	آلبانی	N;NOM;SG;3	N;SG
ilişki	رابطه	ilişki	رابطه	N;NOM;SG;3	N;SG
ilişki	رابطه	ilişki	رابطه	N;NOM;SG;3	N;SG
ilişki	نسبتی	ilişki	نسبت	N;NOM;SG;3	N;SG
ilişki	ارتباط	ilişki	ارتباط	N;NOM;SG;3	N;SG
ilişki	رابطه	ilişki	رابطه	N;NOM;SG;3	N;SG
isimleri	نامها	isim	نامه	N;ACC;PL;3	N;PL
isimleri	نامهای	isim	نامه	N;ACC;PL;3	N;PL
kitapları	کتابها	kitap	کتاب	N;ACC;PL;3	N;PL
kitapları	کتابهای	kitap	کتاب	N;ACC;PL;3	N;PL
öldürüldü	کشته	öl	کشت#کش	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
köprüsü	پل	köprü	پل	N;NOM;SG;3	N;SG
köprüsü	پلی	köprü	پلی	N;NOM;SG;3	N;SG
yılların	سالهای	yıl	سال	N;GEN;PL;3	N;PL
yılların	سالها	yıl	سال	N;GEN;PL;3	N;PL
vali	vali	vali	vali		
doktora	یل	doktora	یل		
girl	girl	girl	girl		
seçilmiş	برگزیده	seç	برگزیده	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
seçilmiş	برگزیده	seç	برگزیده	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
finali	اختتامیه	finali	اختتامیه	N;NOM;SG;3	N;SG
kütüphanesi	کتابخانه	kütüphane	کتابخانه	N;NOM;SG;3	N;SG
barajı	دم	barajı	دم	N;NOM;SG;3	N;SG
barajı	سد	barajı	سد	N;NOM;SG;3	N;SG
air	ایر	air	ایر	N;NOM;SG;3	N;SG
air	هوا	air	هوا	N;NOM;SG;3	N;SG
sözleri	شعرای	söz	شاعر	N;NOM;PL;3	N;PL
kapağı	درپوش	kapak	درپوش	N;NOM;SG;3	N;SG
kapağı	سرپوش	kapak	سرپوش	N;NOM;SG;3	N;SG
şehristanı	شهرستان	şehristan	شهرستان	N;NOM;SG;3	N;SG
şehristanı	کانتی	şehristan	کانت#کان	N;NOM;SG;3	N;SG
bay	بای	bay	با		
sesi	صوت	ses	صوت	N;NOM;SG;3	N;SG
sesi	صدا	ses	صدا	N;NOM;SG;3	N;SG
sesi	صدا	ses	صدا	N;NOM;SG;3	N;SG
sesi	صدای	ses	صدا	N;NOM;SG;3	N;SG
yerler	مکانهایی	yer	مکان	N;NOM;PL;3	N;PL
yerler	مکانها	yer	مکان	N;NOM;PL;3	N;PL
yerler	مساجد	yer	None	N;NOM;PL;3	N;PL
yerler	مکانهای	yer	مکان	N;NOM;PL;3	N;PL
yerler	مکانها	yer	مکان	N;NOM;PL;3	N;PL
yerler	محلهای	yer	محل	N;NOM;PL;3	N;PL
yerler	طبقات	yer	طبقه	N;NOM;PL;3	N;PL
yerler	مقاصد	yer	مقاصد	N;NOM;PL;3	N;PL
sürümü	نسخۀ	sürü	نسخۀ	N;ACC;SG;3	N;SG
sürümü	نسخه	sürü	نسخه	N;ACC;SG;3	N;SG
hristiyan	کریستین	hristiyan	کریستین	N;NOM;SG;3	N;SG
hristiyan	کریستیان	hristiyan	کریستی	N;NOM;SG;3	N;SG
hristiyan	مسیحی	hristiyan	مسیحی	N;NOM;SG;3	N;SG
hristiyan	کریستن	hristiyan	کریستن	N;NOM;SG;3	N;SG
hristiyan	مسیحی	hristiyan	مسیحی	N;NOM;SG;3	N;SG
terim	اجل	terim	اجل		
komisyonu	تصدی	komisyon	تصدی	N;ACC;SG;3	N;SG
komisyonu	کمیسیون	komisyon	کمیسیون	N;ACC;SG;3	N;SG
teklif	بید	teklif	بید#بین	N;NOM;SG;3	N;SG
teklif	توجیه	teklif	توجیه	N;NOM;SG;3	N;SG
teklif	خواستگاری	teklif	None	N;NOM;SG;3	N;SG
teklif	فرمان	teklif	فرمان	N;NOM;SG;3	N;SG
teklif	پیشکش	teklif	پیشکش	N;NOM;SG;3	N;SG
teklif	پیشنهاد	teklif	پیشنهاد	N;NOM;SG;3	N;SG
teklif	تقدیم	teklif	تقدیم	N;NOM;SG;3	N;SG
ayak	پای	ayak	پا	N;NOM;SG;3	N;SG
ayak	فوت	ayak	فوت	N;NOM;SG;3	N;SG
ayak	پیاده	ayak	پیاده	N;NOM;SG;3	N;SG
ayak	پا	ayak	پا	N;NOM;SG;3	N;SG
ayak	پایی	ayak	پا	N;NOM;SG;3	N;SG
teşekkür	تشکر	teşekkür	تشکر	N;NOM;SG;3	N;SG
siz	شما	siz	شما	PRO;NOM;PL;2	PRO;PL;2
sizin	شما	siz	شما	PRO;GEN;PL;2	PRO;PL;2
bağımsızlık	استقلال	bağımsızlık	استقلال	N;NOM;SG;3	N;SG
bağımsızlık	استقلالی	bağımsızlık	استقلالی	N;NOM;SG;3	N;SG
kulesi	تاور	kule	تاور	N;NOM;SG;3	N;SG
kulesi	برج	kule	برج	N;NOM;SG;3	N;SG
şampiyonluk	قهرمانی	şampiyonluk	قهرمانی	N;NOM;SG;3	N;SG
istasyonu	پاسگاه	ista	پاسگاه	N;ACC;SG;3	N;SG
istasyonu	ایستگاه	ista	ایستگاه	N;ACC;SG;3	N;SG
mühendislik	مهندسی	mühendislik	مهندسی	N;NOM;SG;3	N;SG
oyunlar	بازیهای	oyun	None	N;NOM;PL;3	N;PL
oyunlar	بازیها	oyun	بازی	N;NOM;PL;3	N;PL
performansı	عملکرد	performans	عملکرد	N;NOM;SG;3	N;SG
performansı	اجرا	performans	اجرا	N;NOM;SG;3	N;SG
performansı	کارایی	performans	کارایی	N;NOM;SG;3	N;SG
dedi	گفت	de	گفت#گو	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
çocuklar	پسران	çocuk	پسر	N;NOM;PL;3	N;PL
çocuklar	پسرها	çocuk	پسر	N;NOM;PL;3	N;PL
çocuklar	پسرا	çocuk	پسرا	N;NOM;PL;3	N;PL
çocuklar	کودکان	çocuk	کودک	N;NOM;PL;3	N;PL
çocuklar	فرزندان	çocuk	فرزند	N;NOM;PL;3	N;PL
çocuklar	اطفال	çocuk	None	N;NOM;PL;3	N;PL
facebook	فیسبوک	facebook	فیسبوک	N;NOM;SG;3	N;SG
facebook	فیس	facebook	فیس	N;NOM;SG;3	N;SG
kelimesi	سخن	kelime	سخن	N;NOM;SG;3	N;SG
kelimesi	کلمه	kelime	کلمه	N;NOM;SG;3	N;SG
kelimesi	واژه	kelime	واژه	N;NOM;SG;3	N;SG
kelimesi	کلام	kelime	کلام	N;NOM;SG;3	N;SG
istedi	پرسید	iste	پرسید#پرس	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
hastalık	بیماری	hastalık	بیماری	N;NOM;SG;3	N;SG
hastalık	بیماری	hastalık	بیماری	N;NOM;SG;3	N;SG
hastalık	ناخوشی	hastalık	ناخوشی	N;NOM;SG;3	N;SG
hastalık	مرضی	hastalık	مرضی	N;NOM;SG;3	N;SG
hastalık	بیماری	hastalık	بیماری	N;NOM;SG;3	N;SG
şekli	شکل	şekli	شکل	N;ACC;SG;3	N;SG
adları	نامها	ad	نامه	N;ACC;PL;3	N;PL
adları	نامهای	ad	نامه	N;ACC;PL;3	N;PL
içeriği	رضایت	içerik	رضایت	N;NOM;SG;3	N;SG
içeriği	محتوای	içerik	محتوا	N;NOM;SG;3	N;SG
içeriği	محتوا	içerik	محتوا	N;NOM;SG;3	N;SG
like	like	like	like		
etkileri	تأثیرات	etki	تأثیر	N;ACC;PL;3	N;PL
etkileri	تاثیرات	etki	تاثیر	N;ACC;PL;3	N;PL
etkileri	اثرات	etki	اثر	N;ACC;PL;3	N;PL
etkileri	آثار	etki	اثر	N;ACC;PL;3	N;PL
dolar	دلار	dolar	دلار	N;NOM;SG;3	N;SG
dolar	دالر	dolar	دالر	N;NOM;SG;3	N;SG
dikkate	رسیدگی	dikkat	رسیدگی	N;DAT;SG;3	N;SG
akşam	عصر	akşam	عصر	N;NOM;SG;3	N;SG
akşam	غروب	akşam	غروب	N;NOM;SG;3	N;SG
akşam	شام	akşam	شام	N;NOM;SG;3	N;SG
bilimleri	علوم	bilim	علم	N;ACC;PL;3	N;PL
bayrağı	پرچم	bayrak	پرچم	N;NOM;SG;3	N;SG
alana	آلانا	alan	آلانا	N;DAT;SG;3	N;SG
yolları	مسیرها	yol	مسیر	N;NOM;PL;3	N;PL
yolları	راههای	yol	راه	N;NOM;PL;3	N;PL
yolları	راهها	yol	راه	N;NOM;PL;3	N;PL
yolları	راههایی	yol	راه	N;NOM;PL;3	N;PL
yolları	راههای	yol	راه	N;NOM;PL;3	N;PL
yolları	روشهای	yol	روش	N;NOM;PL;3	N;PL
yolları	مسیرهای	yol	مسیر	N;NOM;PL;3	N;PL
yolları	مسیرها	yol	مسیر	N;NOM;PL;3	N;PL
köyleri	روستاها	köy	روستا	N;ACC;PL;3	N;PL
köyleri	روستاهای	köy	روستا	N;ACC;PL;3	N;PL
times	times	times	times		
temsilcisi	نماینده	temsilci	نماینده	N;NOM;SG;3	N;SG
temsilcisi	نماینده	temsilci	نماینده	N;NOM;SG;3	N;SG
özellikler	ویژگیها	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikler	ویژگیهای	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikler	مشخصات	özellik	مشخصه	N;NOM;PL;3	N;PL
özellikler	مشخصاتی	özellik	مشخص	N;NOM;PL;3	N;PL
özellikler	مشخصاتش	özellik	مشخص	N;NOM;PL;3	N;PL
özellikler	مشخصات	özellik	مشخصه	N;NOM;PL;3	N;PL
özellikler	ویژگیها	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikler	ویژگیهای	özellik	ویژگی	N;NOM;PL;3	N;PL
kaptan	cap	kaptan	cap		
işletim	عامل	işle	عامل	N;NOM;SG;3	N;SG
konumu	محل	konum	محل	N;ACC;SG;3	N;SG
konumu	مکان	konum	مکان	N;ACC;SG;3	N;SG
başlangıçta	اصالتا	başlangıç	اصالتا	N;ESS;SG;3	N;SG
başlığı	سرآیند	başlık	سرآیند	N;NOM;SG;3	N;SG
binlerce	هزاران	binlerce	هزار	NUM	NUM
binlerce	هزارها	binlerce	هزار	NUM	NUM
may	می	may	می		
dersleri	درسهای	ders	درس	N;NOM;PL;3	N;PL
dersleri	دروس	ders	None	N;NOM;PL;3	N;PL
dersleri	کلاسهای	ders	کلاس	N;NOM;PL;3	N;PL
dersleri	کلاسها	ders	کلاس	N;NOM;PL;3	N;PL
kolordu	لشگر	kolor	لشگر	N;NOM;SG;3	N;SG
isimler	نامها	isim	نامه	N;NOM;PL;3	N;PL
isimler	نامهای	isim	نامه	N;NOM;PL;3	N;PL
elizabeth	الیزابت	elizabeth	الیزابت	N;NOM;SG;3	N;SG
madalyası	مدال	madalya	مدال	N;NOM;SG;3	N;SG
mutlu	خوشبخت	mutlu	خوشبخت	ADJ	ADJ
mutlu	خوش	mutlu	خوش	ADJ	ADJ
mutlu	شاد	mutlu	شاد	ADJ	ADJ
mutlu	خوشحال	mutlu	None	ADJ	ADJ
varlığını	حضورش	varlık	حضورش	N;ACC;SG;3	N;SG
varlığını	حضور	varlık	حضور	N;ACC;SG;3	N;SG
kişiye	شخص	kişi	شخص	N;DAT;SG;3	N;SG
bölümler	قسمتهای	bölüm	قسمت	N;NOM;PL;3	N;PL
bölümler	بخشهای	bölüm	بخش	N;NOM;PL;3	N;PL
bölümler	بخشها	bölüm	بخش	N;NOM;PL;3	N;PL
bölümler	فصلها	bölüm	فصل	N;NOM;PL;3	N;PL
high	والا	high	None		
varlığı	حضورش	varlık	حضورش	N;NOM;SG;3	N;SG
varlığı	حضور	varlık	حضور	N;NOM;SG;3	N;SG
oda	تالار	oda	تالار	N;NOM;SG;3	N;SG
oda	دالان	oda	دال	N;NOM;SG;3	N;SG
oda	اتاق	oda	None	N;NOM;SG;3	N;SG
oda	اتاقی	oda	اتاقی	N;NOM;SG;3	N;SG
oda	اطاق	oda	اطاق	N;NOM;SG;3	N;SG
oda	اتاق	oda	None	N;NOM;SG;3	N;SG
alınmış	گرفته	al	گرفت#گیر	V;PFV;NFH;IND;POS;PST;PASS	V;SG;3;V.PTCP
okuma	خوانده	oku	خواند#خوان	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;3;V.PTCP
grupları	گروهها	grup	گروه	N;ACC;PL;3	N;PL
yöntemi	متد	yöntem	متد	N;ACC;SG;3	N;SG
yöntemi	روش	yöntem	روش	N;ACC;SG;3	N;SG
seçimi	گزینش	seçim	گزینش	N;ACC;SG;3	N;SG
çevresi	احاطه	çevre	احاطه	N;NOM;SG;3	N;SG
museum	موزه	museum	موزه	N;NOM;SG;3	N;SG
alanlar	آلانها	alan	آلان	N;NOM;PL;3	N;PL
alanlar	مزارع	alan	مزرعه	N;NOM;PL;3	N;PL
alanlar	نواحی	alan	ناحیه	N;NOM;PL;3	N;PL
alanlar	مناطق	alan	منطقه	N;NOM;PL;3	N;PL
oyunculuk	بازیگری	oyunculuk	بازیگر	N;NOM;SG;3	N;SG
oyunculuk	رفتار	oyunculuk	رفتار	N;NOM;SG;3	N;SG
sorunları	مسائل	sorun	مسأله	N;ACC;PL;3	N;PL
eve	خانه	ev	خانه	N;DAT;SG;3	N;SG
