撤消	ανακαλέσει	撤消	ανακαλώ	V	V;PFV;IND;SG;3;FIN;ACT
仇恨	μίσος	仇恨	μίσος	N	N;NOM;NEUT;SG
仇恨	μίσος	仇恨	μίσος	N	N;NOM;NEUT;SG
矮人	νάνος	矮人	νάνος	N	N;NOM;MASC;SG
矮人	νάνο	矮人	νάνος	N	N;NOM;MASC;SG
混沌	χάος	混沌	χάος	N	N;NOM;NEUT;SG
鑰匙	κλειδί	鑰匙	κλειδί	N	N;NOM;NEUT;SG
鑰匙	πλήκτρο	鑰匙	πλήκτρο	N	N;NOM;NEUT;SG
鑰匙	κλείδα	鑰匙	κλείδα	N	N;NOM;FEM;SG
執事	ντίκον	執事	ντίκον	N	N
摩托	μοτοσυκλέτα	摩托	μοτοσυκλέτα	N	N;NOM;FEM;SG
摩托	μοτοσικλέτα	摩托	μοτοσικλέτα	N	N;NOM;FEM;SG
摩托	μηχανάκι	摩托	μηχανάκι	N	N;NOM;NEUT;SG
摩托	μοτοσυκλέτα	摩托	μοτοσυκλέτα	N	N;NOM;FEM;SG
摩托	μοτοσικλέτα	摩托	μοτοσικλέτα	N	N;NOM;FEM;SG
摩托	μοτοσικλέτες	摩托	μοτοσικλέτης	N	N;NOM;MASC;PL
地雷	νάρκες	地雷	νάρκα	N	N;NOM;FEM;PL
地雷	ορυχεία	地雷	ορυχεία	N	N;NOM;NEUT;PL
地雷	νάρκες	地雷	νάρκα	N	N;NOM;FEM;PL
點數	πιστώσεις	點數	πίστωση	N	N;NOM;FEM;PL
點數	σημεία	點數	σημείο	N	N;NOM;NEUT;PL
點數	βαθμοί	點數	βαθμός	N	N;NOM;MASC;PL
點數	πόντοι	點數	πόντος	N	N;NOM;MASC;PL
警示	καταχωρίσεις	警示	κατάχωριση	N	N;NOM;FEM;PL
警示	ειδοποιήσεις	警示	ειδοποίηση	N	N;NOM;FEM;PL
警示	ειδοποίηση	警示	ειδοποίηση	N	N;NOM;FEM;SG
警示	συναγερμός	警示	συναγερμός	N	N;NOM;MASC;SG
潛力	δυνατότητες	潛力	δυνατότητα	N	N;NOM;FEM;PL
潛力	δυναμικό	潛力	δυναμικός	N	N;NOM;NEUT;SG
班級	τάξεις	班級	τάξη	N	N;NOM;FEM;PL
班級	μαθήματα	班級	μάθημα	N	N;NOM;NEUT;PL
班級	κλάσεις	班級	κλάση	N	N;NOM;FEM;PL
班級	τάξη	班級	τάξη	N	N;NOM;FEM;SG
班級	κλάση	班級	κλάση	N	N;NOM;FEM;SG
班級	μάθημα	班級	μάθημα	N	N;NOM;NEUT;SG
低溫	υποθερμία	低溫	υποθερμία	N	N;NOM;FEM;SG
送出	στείλε	送出	στέλνω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
送出	στείλτε	送出	στέλνω	V	V;IPFV;IND;PL;2;PRS;FIN;ACT
送出	στείλω	送出	στείλω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
聚焦	εστιάζοντας	聚焦	εστιάζω	V	V;IPFV;V.CVB;ACT
後宮	χαρέμι	後宮	χαρέμι	N	N;NOM;NEUT;SG
腎	νεφρά	腎	νεφρά	N	N;NOM;NEUT;PL
腎	νεφρό	腎	νεφρό	N	N;NOM;NEUT;SG
腎	νεφρών	腎	νεφρός	N	N;GEN;MASC;PL
腎	νεφρά	腎	νεφρά	N	N;NOM;NEUT;PL
鈎	γάντζο	鈎	γάντζο	N	N;ACC;MASC;SG
鈎	αγκίστρι	鈎	αγκίστρι	N	N;NOM;NEUT;SG
鈎	γάντζους	鈎	γάντζος	N	N;NOM;MASC;PL
觸發	ενεργοποιήθηκε	觸發	ενεργοποιώ	V	V;PFV;IND;SG;3;PST;FIN;PASS
觸發	ενεργοποιεί	觸發	ενεργοποιώ	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
香水	αρώματα	香水	άρωμα	N	N;NOM;NEUT;PL
香水	άρωμα	香水	άρωμα	N	N;NOM;NEUT;SG
香水	άρωμα	香水	άρωμα	N	N;NOM;NEUT;SG
香水	αρώματα	香水	άρωμα	N	N;NOM;NEUT;PL
胚胎	έμβρυο	胚胎	έμβρυο	N	N;NOM;NEUT;SG
胚胎	έμβρυα	胚胎	έμβρυ	N	N;NOM;NEUT;PL
感知	αντίληψη	感知	αντίληψη	N	N;ACC;FEM;SG
感知	αντιλήψεις	感知	αντίληψη	N	N;NOM;FEM;PL
鈣	ασβέστιο	鈣	ασβέστιο	N	N;NOM;NEUT;SG
民主	εκδημοκρατισμός	民主	εκδημοκρατισμός	N	N;NOM;MASC;SG
民主	εκδημοκρατισμό	民主	εκδημοκρατισμός	N	N;ACC;MASC;SG
民主	εκδημοκρατισμού	民主	εκδημοκρατισμός	N	N;GEN;MASC;SG
民主	εκδημοκρατισμός	民主	εκδημοκρατισμός	N	N;NOM;MASC;SG
民主	εκδημοκρατισμό	民主	εκδημοκρατισμός	N	N;ACC;MASC;SG
關節	άρθρωση	關節	άρθρωση	N	N;ACC;FEM;SG
關節	αρθρώσεων	關節	άρθρωση	N	N;GEN;FEM;PL
關節	αρθρώσεις	關節	άρθρωση	N	N;NOM;FEM;PL
淡出	ξεθωριάζει	淡出	ξεθωριάζω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
淡出	ξεθωριάζουν	淡出	ξεθωριάζω	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
煤礦	άνθρακας	煤礦	άνθρακα	N	N;NOM;MASC;SG
煤礦	άνθρακα	煤礦	άνθρακο	N	N;NOM;NEUT;SG
學期	εξάμηνο	學期	εξάμηνος	N	N;NOM;NEUT;SG
學期	όρος	學期	όρος	N	N;NOM;MASC;SG
官司	αγωγή	官司	αγωγή	N	N;ACC;FEM;SG
官司	μήνυση	官司	μήνυση	N	N;ACC;FEM;SG
固體	συμπαγής	固體	συμπαγή	N	N;NOM;MASC;SG
固體	στερεό	固體	στερεό	N	N;NOM;NEUT;SG
固體	συμπαγές	固體	συμπαγή	N	N;NOM;NEUT;SG
寄宿	επιβίβαση	寄宿	επιβίβαση	N	N;ACC;FEM;SG
鼻子	μύτη	鼻子	μύτος	N	N;NOM;FEM;SG
芝麻	σουσάμι	芝麻	σουσάμι	N	N;NOM;NEUT;SG
瓷器	πορσελάνη	瓷器	πορσελάνη	N	N;NOM;FEM;SG
諜	κατάσκοπος	諜	κατάσκοπος	N	N;NOM;MASC;SG
諜	κατάσκοπο	諜	κατάσκοπος	N	N;ACC;MASC;SG
特權	προνόμιο	特權	προνόμιο	N	N;NOM;NEUT;SG
特權	προνόμια	特權	προνόμιο	N	N;NOM;NEUT;PL
漁民	αλιέων	漁民	αλιέων	N	N;GEN;NEUT;PL
漁民	αλιείς	漁民	αλιή	N	N;NOM;MASC;PL
漁民	ψαράδες	漁民	ψαράδα	N	N;NOM;MASC;PL
漁民	αλιείς	漁民	αλιή	N	N;NOM;MASC;PL
漁民	ψαράς	漁民	ψαράς	N	N;NOM;MASC;SG
漁民	ψαρά	漁民	ψαρά	N	N;NOM;NEUT;SG
水解	υδρόλυσης	水解	υδρόλυση	N	N;GEN;FEM;SG
痕跡	ίχνη	痕跡	ίχνος	N	N;NOM;NEUT;PL
猩猩	γορίλας	猩猩	γορίλα	N	N;NOM;MASC;SG
猩猩	γορίλα	猩猩	γορίλα	N	N;NOM;NEUT;SG
猩猩	ουρακοτάγκος	猩猩	ουρακοτάγκος	N	N;NOM;MASC;SG
證人	μάρτυρες	證人	μάρτυρας	N	N;NOM;MASC;PL
證人	μάρτυς	證人	μάρτυς	N	N;NOM;MASC;SG
證人	μάρτυρας	證人	μάρτυρας	N	N;NOM;MASC;SG
證人	μάρτυρα	證人	μάρτυρα	N	N;ACC;MASC;SG
本體	οντολογία	本體	οντολογία	N	N;NOM;FEM;SG
女巫	μάγισσα	女巫	μάγισσα	N	N;NOM;FEM;SG
擁抱	αγκαλιά	擁抱	αγκαλιά	N	N;ACC;FEM;SG
擁抱	αγκαλιά	擁抱	αγκαλιά	N	N;ACC;FEM;SG
擁抱	αγκαλιές	擁抱	αγκαλιά	N	N;NOM;FEM;PL
西邊	δύση	西邊	δύση	N	N;ACC;FEM;SG
陣列	συστοιχίες	陣列	συστοιχία	N	N;NOM;FEM;PL
陣列	συστοιχία	陣列	συστοιχία	N	N;ACC;FEM;SG
紡織	κλωστοϋφαντουργία	紡織	κλωστοϋφαντουργία	N	N;NOM;FEM;SG
紡織	υφάσματα	紡織	ύφασμα	N	N;NOM;NEUT;PL
甘蔗	ζαχαροκάλαμο	甘蔗	ζαχαροκάλαμος	N	N;NOM;NEUT;SG
甘蔗	ζαχαροκάλαμο	甘蔗	ζαχαροκάλαμος	N	N;NOM;NEUT;SG
哭	κλαις	哭	κλαις	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
哭	κλαίω	哭	κλαίω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
哭	κλαίει	哭	κλαίνω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
哭	κλαίω	哭	κλαίω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
哭	κλαίγοντας	哭	κλαίγω	V	V;IPFV;V.CVB;ACT
賭博	τζόγος	賭博	τζόγος	N	N;NOM;MASC;SG
賭博	τζόγο	賭博	τζόγος	N	N;ACC;MASC;SG
賭博	τζόγος	賭博	τζόγος	N	N;NOM;MASC;SG
功效	αποτελεσματικότητα	功效	αποτελεσματικότητα	N	N;ACC;FEM;SG
腫瘤	όγκος	腫瘤	όγκος	N	N;NOM;MASC;SG
腫瘤	όγκος	腫瘤	όγκος	N	N;NOM;MASC;SG
紀律	πειθαρχία	紀律	πειθαρχία	N	N;NOM;FEM;SG
酷刑	μαρτύριο	酷刑	μαρτύριο	N	N;NOM;NEUT;SG
酷刑	βασανιστήριο	酷刑	βασανιστήριο	N	N;NOM;NEUT;SG
酷刑	βασανιστήρια	酷刑	βασανιστήρι	N	N;NOM;NEUT;PL
酷刑	βασανισμό	酷刑	βασανισμός	N	N;ACC;MASC;SG
口服	στοματικό	口服	στοματικός	N	N;NOM;NEUT;SG
嚴謹	αυστηρός	嚴謹	αυστηρός	ADJ	ADJ;NOM;MASC;SG
嚴謹	αυστηρή	嚴謹	αυστηρή	ADJ	ADJ;NOM;FEM;SG
嚴謹	αυστηρό	嚴謹	αυστηρός	ADJ	ADJ;NOM;NEUT;SG
嚴謹	αυστηροί	嚴謹	αυστηρός	ADJ	ADJ;NOM;MASC;PL
展品	έκθεμα	展品	έκθεμα	N	N;NOM;NEUT;SG
展品	εκθέματα	展品	έκθεμα	N	N;NOM;NEUT;PL
展品	εκθέματα	展品	έκθεμα	N	N;NOM;NEUT;PL
史詩	επική	史詩	επικός	N	N;NOM;FEM;SG
史詩	επικό	史詩	επικό	N	N;NOM;NEUT;SG
推斷	συναχθεί	推斷	συνάσσω	V	V;PFV;NFIN;PASS
礦物	ορυκτά	礦物	ορυκτά	N	N;NOM;NEUT;PL
礦物	ορυκτά	礦物	ορυκτά	N	N;NOM;NEUT;PL
礦物	ορυκτών	礦物	ορυκτός	N	N;GEN;MASC;PL
礦物	ορυκτό	礦物	ορυκτός	N	N;NOM;NEUT;SG
麻醉	αναισθησία	麻醉	αναισθησία	N	N;NOM;FEM;SG
加深	βαθαίνει	加深	βαθαίνω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
攝政	αντιβασιλέας	攝政	αντιβασιλέας	N	N;NOM;MASC;SG
攝政	αντιβασιλέα	攝政	αντιβασιλέας	N	N;ACC;MASC;SG
褶	πλισέ	褶	πλίσκω	N	N;NOM;NEUT;PL
芳香	αρωματικό	芳香	αρωματικός	N	N;NOM;NEUT;SG
芳香	άρωμα	芳香	άρωμα	N	N;NOM;NEUT;SG
芳香	άρωμα	芳香	άρωμα	N	N;NOM;NEUT;SG
民謠	μπαλάντα	民謠	μπαλάντα	N	N;NOM;FEM;SG
氣球	μπαλόνι	氣球	μπαλόνι	N	N;NOM;NEUT;SG
氣球	αερόστατο	氣球	αερόστατος	N	N;NOM;NEUT;SG
氣球	μπαλόνια	氣球	μπαλόνια	N	N;NOM;NEUT;PL
倫理	ηθικό	倫理	ηθικός	N	N;NOM;NEUT;SG
倫理	δεοντολογία	倫理	δεοντολογία	N	N;NOM;FEM;SG
神學	ιεροδιδασκαλείο	神學	ιεροδιδασκαλείο	N	N;NOM;NEUT;SG
營利	κέρδος	營利	κέρδος	N	N;NOM;NEUT;SG
營利	κέρδη	營利	κέρδος	N	N;NOM;NEUT;PL
營利	αποδοτικότητα	營利	αποδοτικότητα	N	N;ACC;FEM;SG
營利	κερδοφορία	營利	κερδοφορία	N	N;ACC;FEM;SG
良心	συνείδηση	良心	συνείδηση	N	N;ACC;FEM;SG
位	μετατόπιση	位	μετατόπιση	N	N;ACC;FEM;SG
雨傘	ομπρέλα	雨傘	ομπρέλα	N	N;NOM;FEM;SG
雨傘	ομπρέλες	雨傘	ομπρέλα	N	N;NOM;FEM;PL
花生	φιστίκι	花生	φιστίκι	N	N;NOM;NEUT;SG
花生	φυστίκια	花生	φυστίκι	N	N;NOM;NEUT;PL
花生	φιστίκια	花生	φιστίκι	N	N;NOM;NEUT;PL
閃光	φλας	閃光	φλας	N	N
閃光	λάμψη	閃光	λάμψη	N	N;ACC;FEM;SG
閃光	αναλαμπή	閃光	αναλαμπή	N	N;NOM;FEM;SG
和弦	χορδή	和弦	χορδή	N	N;NOM;FEM;SG
和弦	χορδές	和弦	χορδή	N	N;NOM;FEM;PL
子	υποκόμη	子	υποκόμαι	N	N
子	υποκόμη	子	υποκόμαι	N	N
削減	κόψτε	削減	κόψτε	V	V;PFV;IND;PL;2;PRS;FIN;ACT
削減	κόψω	削減	κόψω	V	V;PFV;IND;SG;1;FIN;ACT
髮型	τρίχα	髮型	τρίχος	N	N;NOM;FEM;SG
髮型	τρίχες	髮型	τρίχος	N	N;NOM;FEM;PL
髮型	μαλλιά	髮型	μαλλιά	N	N;NOM;NEUT;PL
髮型	χτένισμα	髮型	χτένισμα	N	N;NOM;NEUT;SG
叛變	ανταρσία	叛變	ανταρσία	N	N;NOM;FEM;SG
殘酷	σκληρός	殘酷	σκληρός	ADJ	ADJ;NOM;MASC;SG
殘酷	σκληρό	殘酷	σκληρός	ADJ	ADJ;NOM;NEUT;SG
殘酷	σκληρή	殘酷	σκληρός	ADJ	ADJ;NOM;FEM;SG
犀	ρινόκερος	犀	ρινόκερος	N	N;NOM;MASC;SG
九	εννέα	九	εννέα	NUM	NUM;NOM;NEUT;PL
九	εννιά	九	εννιά	NUM	NUM;NOM;MASC;PL
悲傷	θλίψη	悲傷	θλίψη	N	N;NOM;FEM;SG
悲傷	λύπη	悲傷	λύπος	N	N;NOM;FEM;SG
悲傷	θλιβερό	悲傷	θλιβερός	N	N;NOM;NEUT;SG
僧侶	μοναχός	僧侶	μοναχός	N	N;NOM;MASC;SG
僧侶	μοναχούς	僧侶	μοναχός	N	N;ACC;MASC;PL
僧侶	μοναχοί	僧侶	μοναχός	N	N;NOM;MASC;PL
恐嚇	εκφοβισμό	恐嚇	εκφοβισμός	N	N;ACC;MASC;SG
恐嚇	εκφοβισμός	恐嚇	εκφοβισμός	N	N;NOM;MASC;SG
沒收	κατασχέθηκε	沒收	καθισχέω	V	V;PFV;IND;SG;3;PST;FIN;PASS
沒收	κατάσχεσε	沒收	κατάσχω	V	V;PFV;IND;SG;3;PST;FIN;ACT
沒收	κατασχέθηκαν	沒收	κατάσχω	V	V;PFV;IND;PL;3;PST;FIN;PASS
粉紅	ροζ	粉紅	ροζ	N	N;NOM;FEM;SG
反向	αντίστροφο	反向	αντίστροφος	N	N;NOM;NEUT;SG
反向	αντιστροφή	反向	αντιστροφή	N	N;NOM;FEM;SG
反向	αναστροφή	反向	αναστροφή	N	N;ACC;FEM;SG
原油	ακατέργαστο	原油	ακατέργαστος	N	N;NOM;NEUT;SG
原油	ακατέργαστη	原油	ακατέργαστος	N	N;NOM;FEM;SG
原油	ακατέργαστα	原油	ακατέργαστα	N	N;NOM;NEUT;PL
原油	αργού	原油	αργού	N	N;GEN;NEUT;SG
浴	κολύμβησης	浴	κολύμβηση	N	N;GEN;FEM;SG
浴	κολύμβηση	浴	κολύμβηση	N	N;ACC;FEM;SG
浴	μπάνιο	浴	μπάνιο	N	N;NOM;NEUT;SG
浴	λουτρό	浴	λουτρό	N	N;NOM;NEUT;SG
星期	κυριακή	星期	κυριακή	N	N;ACC;FEM;SG
塵埃	σκόνη	塵埃	σκόνη	N	N;NOM;FEM;SG
平滑	λεία	平滑	λέγω	N	N;NOM;FEM;SG
平滑	εξομάλυνση	平滑	εξομάλυνση	N	N;ACC;FEM;SG
弩	τόξο	弩	τόξο	N	N;NOM;NEUT;SG
薄弱	αδύναμη	薄弱	αδύναμη	ADJ	ADJ;NOM;FEM;SG
薄弱	αδύναμο	薄弱	αδύναμο	ADJ	ADJ;NOM;NEUT;SG
薄弱	αδύναμοι	薄弱	αδύναμος	ADJ	ADJ;NOM;MASC;PL
指明	προσδιορίζει	指明	προσδιορίζω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
謊言	ψέμα	謊言	ψέμα	N	N;NOM;NEUT;SG
謊言	ψέματα	謊言	ψέμα	N	N;NOM;NEUT;PL
謊言	ψέμματα	謊言	ψέμμα	N	N;NOM;NEUT;PL
野獸	τέρας	野獸	τέρας	N	N;NOM;NEUT;SG
野獸	θηρίο	野獸	θηρίο	N	N;NOM;NEUT;SG
野獸	κτήνος	野獸	κτήνος	N	N;NOM;MASC;SG
填充	γεμίσει	填充	γεμίζω	V	V;PFV;IND;3;NFIN;ACT
填充	συμπληρώστε	填充	συμπληρώνω	V	V;IPFV;IMP;PL;2;FIN;ACT
起因	αιτίες	起因	αιτία	N	N;NOM;FEM;PL
起因	αίτια	起因	αίτιο	N	N;NOM;NEUT;PL
水分	υγρασία	水分	υγρασία	N	N;NOM;FEM;SG
縫	ράψιμο	縫	ράψιμο	N	N;NOM;NEUT;SG
頂端	τοπ	頂端	τοπ	N	N
頂端	κορυφή	頂端	κορυφή	N	N;ACC;FEM;SG
角落	γωνιά	角落	γωνιά	N	N;NOM;FEM;SG
角落	γωνία	角落	γωνία	N	N;NOM;FEM;SG
角落	γωνιές	角落	γωνιά	N	N;NOM;FEM;PL
角落	γωνίες	角落	γωνία	N	N;NOM;FEM;PL
狂	φανατισμό	狂	φανατισμός	N	N;ACC;MASC;SG
郵輪	κρουαζιέρες	郵輪	κρουαζιέρας	N	N;NOM;FEM;PL
郵輪	κρουαζιέρα	郵輪	κρουαζιέρα	N	N;NOM;FEM;SG
燈光	φώτα	燈光	φώτα	N	N;NOM;NEUT;PL
燈光	φως	燈光	φως	N	N;NOM;NEUT;SG
燈光	ελαφρύ	燈光	ελαφρύ	N	N;NOM;NEUT;SG
燈光	φώς	燈光	φώς	N	N;NOM;NEUT;SG
太陽	ηλιακές	太陽	ηλιακός	N	N;NOM;FEM;PL
太陽	ηλιακό	太陽	ηλιακός	N	N;NOM;NEUT;SG
太陽	ηλιακή	太陽	ηλιακός	N	N;NOM;FEM;SG
儲備	αποθέματα	儲備	απόθεμα	N	N;NOM;NEUT;PL
儲備	αποθεματικό	儲備	αποθεματικός	N	N;NOM;NEUT;SG
儲備	απόθεμα	儲備	απόθεμα	N	N;NOM;NEUT;SG
儲備	ρεζέρβα	儲備	ρεζέρβος	N	N;NOM;FEM;SG
儲備	αποθεματικό	儲備	αποθεματικός	N	N;NOM;NEUT;SG
舵	πηδάλιο	舵	πηδάλιο	N	N;NOM;NEUT;SG
舵	πηδάλιο	舵	πηδάλιο	N	N;NOM;NEUT;SG
池塘	λιμνούλα	池塘	λιμνούλα	N	N;NOM;FEM;SG
池塘	λίμνη	池塘	λίμνη	N	N;NOM;FEM;SG
講話	λόγος	講話	λόγος	N	N;NOM;MASC;SG
講話	ομιλία	講話	ομιλία	N	N;ACC;FEM;SG
激發	εμπνεύσει	激發	εμπνεύω	V	V;PFV;NFIN;ACT
禁忌	ταμπού	禁忌	ταμπού	N	N;NOM;NEUT;SG
禁忌	ταμπού	禁忌	ταμπού	N	N;NOM;NEUT;SG
邪教	λατρεία	邪教	λατρεία	N	N;NOM;FEM;SG
邪教	αίρεση	邪教	αίρεση	N	N;ACC;FEM;SG
醚	αιθέρα	醚	αιθέρα	N	N;NOM;MASC;SG
醚	αιθέρες	醚	αιθέρα	N	N;NOM;MASC;PL
榮耀	δοξα	榮耀	δοξα	N	N
榮耀	δόξα	榮耀	δίχομαι	N	N;ACC;FEM;SG
叛軍	επαναστάτης	叛軍	επαναστάτης	N	N;NOM;MASC;SG
叛軍	επαναστάτη	叛軍	επαναστάτης	N	N;ACC;MASC;SG
叛軍	αντάρτες	叛軍	αντάρτης	N	N;NOM;MASC;PL
叛軍	επαναστάτες	叛軍	επαναστάτης	N	N;NOM;MASC;PL
家園	πατρίδα	家園	πατρίδα	N	N;ACC;FEM;SG
波動	διακύμανση	波動	διακύμανση	N	N;NOM;FEM;SG
波動	διακυμάνσεις	波動	διακύμανση	N	N;NOM;FEM;PL
波動	μεταβλητότητας	波動	μεταβλητότητα	N	N;GEN;FEM;SG
波動	αστάθεια	波動	αστάθεια	N	N;NOM;FEM;SG
波動	μεταβλητότητα	波動	μεταβλητότητα	N	N;ACC;FEM;SG
層次	στρώσεις	層次	στρώση	N	N;NOM;FEM;PL
層次	στρώματα	層次	στρώμα	N	N;NOM;NEUT;PL
層次	επίπεδο	層次	επίπεδο	N	N;NOM;NEUT;SG
層次	στάθμη	層次	στάθμη	N	N;ACC;FEM;SG
矽	πυρίτιο	矽	πυρίτιος	N	N;NOM;NEUT;SG
矽	πυριτίου	矽	πύριτιος	N	N;GEN;NEUT;SG
繡	κέντημα	繡	κέντημα	N	N;NOM;NEUT;SG
少	λιγότερες	少	λίγος	ADJ	ADJ;NOM;CMPR;FEM;PL
欺騙	εξαπατήσει	欺騙	εξαπατώ	V	V;PFV;NFIN;ACT
磁性	μαγνητισμό	磁性	μαγνητισμός	N	N;ACC;MASC;SG
內政	εσωτερικό	內政	εσωτερικό	N	N;NOM;NEUT;SG
內政	εσωτερικών	內政	εσωτερικός	N	N;GEN;FEM;PL
花朵	άνθη	花朵	άνθη	N	N;NOM;NEUT;PL
花朵	λουλούδια	花朵	λουλούδι	N	N;NOM;NEUT;PL
花朵	άνθος	花朵	άνθος	N	N;NOM;NEUT;SG
花朵	λουλούδι	花朵	λουλούδι	N	N;NOM;NEUT;SG
炸藥	δυναμίτης	炸藥	δυναμίτης	N	N;NOM;MASC;SG
炸藥	δυναμίτη	炸藥	δυναμίτης	N	N;NEUT;SG
炸藥	εκρηκτικό	炸藥	εκρηκτικός	N	N;NOM;NEUT;SG
炸藥	εκρηκτικά	炸藥	εκρηκτικός	N	N;NOM;NEUT;PL
炸藥	εκρηκτικά	炸藥	εκρηκτικός	N	N;NOM;NEUT;PL
皮革	δερμάτινα	皮革	δερματίνω	N	N;NOM;NEUT;PL
皮革	δέρμα	皮革	δέρμα	N	N;NOM;NEUT;SG
皮革	δερμα	皮革	δερμα	N	N;NOM;NEUT;SG
皮革	δέρματα	皮革	δέρμα	N	N;NOM;NEUT;PL
皮革	δερμάτινο	皮革	δερματινός	N	N;NOM;NEUT;SG
下限	δάπεδο	下限	δάπεδο	N	N;NOM;NEUT;SG
下限	όροφο	下限	όροφος	N	N;ACC;MASC;SG
下限	πάτωμα	下限	πάτωμα	N	N;NOM;NEUT;SG
下限	όροφος	下限	όροφος	N	N;NOM;MASC;SG
牛仔	καουμπόι	牛仔	καούμπος	N	N;NOM;MASC;SG
親戚	συγγενής	親戚	συγγενής	N	N;NOM;MASC;SG
親戚	συγγενείς	親戚	συγγένης	N	N;NOM;MASC;PL
勘探	εξερεύνηση	勘探	εξερεύνηση	N	N;ACC;FEM;SG
窯	κλιβάνους	窯	κλιβάνος	N	N;ACC;MASC;PL
窯	γουέαρ	窯	γουέαρ	N	N
窯	κλίβανο	窯	κλίβανο	N	N;ACC;MASC;SG
乳房	στήθος	乳房	στήθος	N	N;NOM;NEUT;SG
乳房	στήθη	乳房	στέκη	N	N;NOM;NEUT;PL
乳房	στήθος	乳房	στήθος	N	N;NOM;NEUT;SG
乳房	στήθια	乳房	στήθιο	N	N;NOM;NEUT;PL
凍	παγωνιά	凍	παγωνία	N	N;NOM;FEM;SG
凍	πάγωμα	凍	πάγωμα	N	N;NOM;NEUT;SG
凍	κατάψυξη	凍	κατάψυξη	N	N;ACC;FEM;SG
鹽水	ορός	鹽水	ορός	N	N;NOM;MASC;SG
館長	έφορος	館長	έφορος	N	N;NOM;MASC;SG
骨折	κάταγμα	骨折	κάταγμα	N	N;NOM;NEUT;SG
骨折	θραύση	骨折	θραύση	N	N;NOM;FEM;SG
骨折	κάταγμα	骨折	κάταγμα	N	N;NOM;NEUT;SG
史學	ιστοριογραφία	史學	ιστοριογραφία	N	N;NOM;FEM;SG
泳池	πισίνα	泳池	πισίνα	N	N;NOM;FEM;SG
黏	κολλώδες	黏	κολλώδης	N	N;NOM;NEUT;SG
灰姑	σταχτοπούτα	灰姑	σταχτοπώ	N	N;NOM;FEM;SG
偏差	απόκλιση	偏差	απόκλιση	N	N;ACC;FEM;SG
偏差	αποκλίσεις	偏差	απόκλιση	N	N;NOM;FEM;PL
偏差	προκατάληψη	偏差	προκατάληψη	N	N;NOM;FEM;SG
陰影	σκιές	陰影	σκιός	N	N;NOM;FEM;PL
陰影	σκιά	陰影	σκιά	N	N;NOM;FEM;SG
陰影	σκιά	陰影	σκιά	N	N;NOM;FEM;SG
陰影	απόχρωση	陰影	απόχρωση	N	N;NOM;FEM;SG
鱷魚	κροκόδειλος	鱷魚	κροκόδειλος	N	N;NOM;MASC;SG
鱷魚	κροκόδειλο	鱷魚	κροκόδειλνο	N	N;NOM;NEUT;SG
殘骸	συντρίμμια	殘骸	συντρίμμια	N	N;NOM;NEUT;PL
殘骸	ναυάγιο	殘骸	ναυάγιος	N	N;NOM;NEUT;SG
籽	σπόρους	籽	σπόρος	N	N;NOM;MASC;PL
籽	σπέρματα	籽	σπέρμα	N	N;NOM;NEUT;PL
籽	σπόροι	籽	σπόρος	N	N;NOM;MASC;PL
付款	πληρώσει	付款	πληρώνω	V	V;PFV;NFIN;ACT
付款	πλήρωσε	付款	πληρώνω	V	V;PFV;IND;SG;3;PST;FIN;ACT
水牛	βουβάλι	水牛	βουβάλι	N	N;NOM;NEUT;SG
水牛	βουβάλια	水牛	βουβάλιο	N	N;NOM;NEUT;PL
水牛	βουβάλια	水牛	βουβάλιο	N	N;NOM;NEUT;PL
面部	προσώπου	面部	πρόσωπο	N	N;GEN;NEUT;SG
護航	συνοδεία	護航	συνοδείο	N	N;ACC;FEM;SG
護航	συνοδός	護航	συνοδός	N	N;NOM;MASC;SG
各部	υπουργεία	各部	υπουργείο	N	N;NOM;NEUT;PL
孫子	εγγόνι	孫子	εγγόνι	N	N;NOM;NEUT;SG
孫子	εγγόνια	孫子	εγγόνια	N	N;NOM;NEUT;PL
孫子	εγγονός	孫子	εγγονός	N	N;NOM;MASC;SG
孫子	εγγονό	孫子	εγγονός	N	N;ACC;MASC;SG
黑幫	συμμορίες	黑幫	συμμορία	N	N;NOM;FEM;PL
師父	αφέντη	師父	αφήντης	N	N;ACC;MASC;SG
寶寶	μωρό	寶寶	μωρός	N	N;NOM;NEUT;SG
車庫	γκαράζ	車庫	γκαράζ	N	N;NOM;NEUT;SG
綠黨	πράσινοι	綠黨	πράσινος	N	N;NOM;MASC;PL
損傷	τραύμα	損傷	τραύμα	N	N;NOM;NEUT;SG
損傷	ζημία	損傷	ζημία	N	N;ACC;FEM;SG
損傷	τραυματισμός	損傷	τραυματισμός	N	N;NOM;MASC;SG
損傷	ζημίας	損傷	ζημία	N	N;GEN;FEM;SG
