اتھاہ	adanc	اتھاہ	adanc		
اِنتظام	management	اِنتظام	management	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِنتظام	regulament	اِنتظام	regulament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِنتظام	aranjament	اِنتظام	aranjament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انٹوچنا	apuca	انٹوچنا	apuca	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
انٹوچنا	apucă	انٹوچنا	apuca	V;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
انٹوچنا	capturează	انٹوچنا	captura	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
انجام	rezultat	انجام	rezultat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انجام	doom	انجام	doom	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انجام	sfârșit	انجام	sfârșit	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انجام	final	انجام	final	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انجام	destin	انجام	destin	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِنحصار	asediu	اِنحصار	asediu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انداز	stat	انداز	stat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انداز	manierism	انداز	manierism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انداز	stat	انداز	stat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انداز	manierism	انداز	manierism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انداز	stil	انداز	stil	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندازاً	aproximativ	اندازاً	aproximativ	ADV	ADV
اندازہ	stil	اندازہ	stil	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندازہ	calcul	اندازہ	calcul	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندازہ	stil	اندازہ	stil	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندازہ	calcul	اندازہ	calcul	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندام	body	اندام	body	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندام	organism	اندام	organism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندام	corp	اندام	corp	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندام	trup	اندام	trup	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھا	dark	اندھا	dark	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھا	intuneric	اندھا	intuneric	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھا	chior	اندھا	chior	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھیر	dark	اندھیر	dark	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھیر	intuneric	اندھیر	intuneric	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اندھیر	intuneric	اندھیر	intuneric	N;NOM;MASC;SG;3	N;INDF;MASC;SG
انڈا	ou	انڈا	ou	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِنصاف	law	اِنصاف	law	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِنضباطی	disciplinar	اِنضباطی	disciplinar	ADJ	ADJ;INDF;MASC;SG
اِنضباطی	disciplinară	اِنضباطی	disciplinar	ADJ	ADJ;INDF;FEM;SG
اِنفرادی	individual	اِنفرادی	individual	ADJ;NOM	ADJ;INDF;MASC;SG
اِنفرادی	individuale	اِنفرادی	individual	ADJ;NOM	ADJ;INDF;FEM;PL
اِنقطاعی	concludente	اِنقطاعی	concludent	ADJ	ADJ;INDF;FEM;PL
اِنقطاعی	concludent	اِنقطاعی	concludent	ADJ	ADJ;INDF;MASC;SG
اِنقلابی	revolutionar	اِنقلابی	revolutionar	ADJ	ADJ;INDF;MASC;SG
انکارکرنا	respinge	انکارکرنا	respinge	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
انکارکرنا	resping	انکارکرنا	respinge	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
انکارکرنا	refuza	انکارکرنا	refuza	V;NFIN;ACT	V;IND;SG;3;IPFV;FIN
انکارکرنا	refuză	انکارکرنا	refuza	V;NFIN;ACT	V;IND;SG;3;PST;FIN
انگ	distribuie	انگ	distribui	V;MASC;SG;V.PTCP;ACT	V;IND;3;PRS;FIN
انگیز	vibrant	انگیز	vibrant	ADJ	ADJ;INDF;MASC;SG
انگیز	incitant	انگیز	incitant	ADJ	ADJ;INDF;MASC;SG
انواع	specii	انواع	specie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
انواع	soiuri	انواع	soi	N;NOM;MASC;PL;3	N;INDF;FEM;PL
انوکھا	neatins	انوکھا	neatins	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	minunat	انوکھا	minunat	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	singular	انوکھا	singular	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	unicat	انوکھا	unica	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	unic	انوکھا	unic	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	neatins	انوکھا	neatins	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	minunat	انوکھا	minunat	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	singular	انوکھا	singular	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	unicat	انوکھا	unica	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
انوکھا	unic	انوکھا	unic	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
بادشاہانہ	princiar	بادشاہانہ	princiar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
بادشاہانہ	majestic	بادشاہانہ	majestic	N;NOM;MASC;SG;3	N;INDF;MASC;SG
بادشاہانہ	royal	بادشاہانہ	royal	N;NOM;MASC;SG;3	N;INDF;MASC;SG
دوستانہ	prietenoasă	دوستانہ	prietenos	ADJ	ADJ;INDF;FEM;SG
دوستانہ	prietenos	دوستانہ	prietenos	ADJ	ADJ;INDF;MASC;SG
روحانی	spirituală	روحانی	spiritual	ADJ	ADJ;INDF;FEM;SG
روحانی	spiritual	روحانی	spiritual	ADJ	ADJ;INDF;MASC;SG
روحانی	spirituale	روحانی	spiritual	ADJ	ADJ;INDF;FEM;PL
روحانی	spirituala	روحانی	spiritual	ADJ	ADJ;DEF;FEM;SG
اُوپر	high	اُوپر	high		
اوٹ	acoperi	اوٹ	acoperi		
اَوٹنا	fierbe	اَوٹنا	fierbe	V;NFIN	V;IND;SG;3;PRS;FIN
اَوٹنا	fierb	اَوٹنا	fierbe	V;NFIN	V;IND;SG;3;PRS;FIN
اوٹنا	ascunde	اوٹنا	ascunde	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اوٹنا	acoperă	اوٹنا	acoperi	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
اوجھ	tupeu	اوجھ	tupeu		
اوجھل	invizibilă	اوجھل	invizibil	ADJ	ADJ;INDF;FEM;SG
اوجھل	invizibile	اوجھل	invizibil	ADJ	ADJ;INDF;FEM;PL
اوجھل	invizibil	اوجھل	invizibil	ADJ	ADJ;INDF;MASC;SG
اوجھل	ascuns	اوجھل	ascuns	ADJ	ADJ;INDF;MASC;SG
اوجھل	ascunsă	اوجھل	ascuns	ADJ	ADJ;INDF;FEM;SG
اوجھل	ascunse	اوجھل	ascuns	ADJ	ADJ;INDF;FEM;PL
اوڑھنا	acoperind	اوڑھنا	acoperi	V;MASC;SG;NFIN;ACT	V;V.MSDR
اَوقات	împrejurări	ووق	împrejurare	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	circumstanțe	ووق	circumstanță	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	ore	ووق	oră	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	resurse	ووق	resursă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	mijloace	ووق	mijloc	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	timpuri	ووق	timp	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اَوقات	vremuri	ووق	vreme	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اُونچ	inaltime	اُونچ	inaltim		
اہا	minune	اہا	minune		
اہار	paste	اہار	paste		
اہرن	cercel	اہرن	cercel		
اہرن	cercel	اہرن	cercel		
اَہل	avand	اَہل	avand		
اہلہ	potop	اہلہ	potop		
اہلہ	potop	اہلہ	potop		
اہلیت	fitness	اہلیت	fitness	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اہم	importante	اہم	important	ADJ	ADJ;INDF;FEM;PL
اہم	importanta	اہم	important	ADJ	ADJ;DEF;FEM;SG
اہم	importantă	اہم	important	ADJ	ADJ;INDF;FEM;SG
اہم	presante	اہم	presant	ADJ	ADJ;INDF;FEM;PL
اہم	importante	اہم	important	ADJ	ADJ;INDF;FEM;PL
اہم	importanta	اہم	important	ADJ	ADJ;DEF;FEM;SG
اہم	importantă	اہم	important	ADJ	ADJ;INDF;FEM;SG
اہم	semnificative	اہم	semnificativ	ADJ	ADJ;INDF;FEM;PL
اہم	semnificativă	اہم	semnificativ	ADJ	ADJ;INDF;FEM;SG
اہم	presante	اہم	presant	ADJ	ADJ;INDF;FEM;PL
اِیجابی	pozitiv	اِیجابی	pozitiv	ADJ	ADJ;INDF;MASC;SG
اِیجابی	pozitivă	اِیجابی	pozitiv	ADJ	ADJ;INDF;FEM;SG
اِیجابی	pozitive	اِیجابی	pozitiv	ADJ	ADJ;INDF;FEM;PL
اِیجابی	afirmativ	اِیجابی	afirmativ	ADJ	ADJ;INDF;MASC;SG
ایزد	doamne	ایزد	domn		
ایزدی	cerească	ایزدی	cere	ADJ	ADJ;INDF;FEM;SG
ایزدی	divine	ایزدی	diven	ADJ	ADJ;INDF;FEM;PL
ایزدی	divina	ایزدی	divina	ADJ	ADJ;DEF;FEM;SG
ایزدی	divin	ایزدی	divin	ADJ	ADJ;INDF;MASC;SG
ایزدی	divină	ایزدی	divin	ADJ	ADJ;INDF;FEM;SG
ایشیائی	asiatic	ایشیائی	asiatic	ADJ	ADJ;INDF;MASC;SG
ایشیائی	asiatice	ایشیائی	asiatic	ADJ	ADJ;INDF;FEM;PL
ایشیائی	asiatici	ایشیائی	asiatic	ADJ	ADJ;INDF;MASC;PL
ایشیائی	asiatică	ایشیائی	asiatic	ADJ	ADJ;INDF;FEM;SG
ایک	unu	ایک	unu	NUM	NUM;MASC;SG
ایک	unu	ایک	unu	NUM	NUM;MASC;SG
ایکتا	sindicat	ایک	sindica	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایکتا	harmony	ایک	harmony	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	mesager	ایلچی	mesager	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	messenger	ایلچی	messenger	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	ambasador	ایلچی	ambasador	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	reprezentant	ایلچی	reprezentant	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	diplomat	ایلچی	diplomat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	mesager	ایلچی	mesager	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	messenger	ایلچی	messenger	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	ambasador	ایلچی	ambasador	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	emisar	ایلچی	emisar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	reprezentant	ایلچی	reprezentant	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ایلچی	diplomat	ایلچی	diplomat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اینچنا	atrage	اینچنا	atrage	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اینچنا	scrieti	اینچنا	scrieti	V;MASC;SG;NFIN;ACT	V;IND;SG;2;PRS;FIN
اینچنا	scrie	اینچنا	scrie	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اینچنا	trage	اینچنا	trage	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اینچنا	desenează	اینچنا	desena	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
آ	vino	آ	vino	V;ACT	V;IND;SG;2;PRS;FIN
آب	sheen	آب	sheen	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آب	suc	آب	suc	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آب	sheen	آب	sheen	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آب	suc	آب	suc	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آبادیاتی	demografice	آبادیاتی	demografic	ADJ;NOM	ADJ;INDF;FEM;PL
آبائی	ereditare	آبائی	ereditare	ADJ	ADJ;INDF;FEM;PL
آبائی	ereditar	آبائی	ereditar	ADJ	ADJ;INDF;MASC;SG
آبائی	ereditară	آبائی	ereditar	ADJ	ADJ;INDF;FEM;SG
آبائی	ancestrale	آبائی	ancestral	ADJ	ADJ;INDF;FEM;PL
آبائی	nativă	آبائی	nativă	ADJ	ADJ;INDF;FEM;SG
آبائی	native	آبائی	nativ	ADJ	ADJ;INDF;FEM;PL
آبی	acvatic	آبی	acvatic	ADJ	ADJ;INDF;MASC;SG
آبی	acvatice	آبی	acvatic	ADJ	ADJ;INDF;FEM;PL
آبی	apoasă	آبی	apos	ADJ	ADJ;INDF;FEM;SG
آبی	apoase	آبی	apos	ADJ	ADJ;INDF;FEM;PL
آبی	umed	آبی	umed	ADJ	ADJ;INDF;MASC;SG
آبی	umedă	آبی	umed	ADJ	ADJ;INDF;FEM;SG
آبیاتی	hidrologic	آبیاتی	hidrologic	ADJ;NOM	ADJ;INDF;MASC;SG
آپ	te	آپ	tu	PRO;ACC	PRO;ACC;SG;2
آتا	venind	آ	veni	V;IPFV;MASC;SG;V.PTCP;ACT	V;V.MSDR
آتش	dragoste	آتش	dragoste	N;NOM;MASC;SG;3	N;INDF;MASC
آتش	incendiu	آتش	incendiu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آتش	foc	آتش	foc	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آتِشگیر	explozibil	آتِشگیر	explozibil	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آتی	venind	آ	veni	V;IPFV;FEM;SG;V.PTCP;ACT	V;V.MSDR
آتے	venind	آ	veni	V;IPFV;MASC;PL;V.PTCP;ACT	V;V.MSDR
آتے	vin	آ	veni	V;IPFV;MASC;PL;V.PTCP;ACT	V;IND;PL;3;PRS;FIN
آٹھ	opt	آٹھ	opt	NUM	NUM;PL
آختہ	castrat	آختہ	castrat	ADJ	ADJ;INDF;MASC;SG
آخِری	extremă	آخِری	extrem	ADJ	ADJ;INDF;FEM;SG
آخیر	sfarsit	آخیر	sfarsi		
آد	străvechi	آد	străvechi		
آداب	protocol	آداب	protocol	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدر	atentie	آدر	atentie		
آدمی	mesager	آدمی	mesager	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	messenger	آدمی	messenger	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	servitor	آدمی	servitor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	slujitor	آدمی	slujitor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	runner	آدمی	runner	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	alergător	آدمی	alergător	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	bărbat	آدمی	bărbat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	om	آدمی	om	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	barbat	آدمی	barbat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	soț	آدمی	soț	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	adult	آدمی	adult	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	mesager	آدمی	mesager	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	messenger	آدمی	messenger	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	servitor	آدمی	servitor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	slujitor	آدمی	slujitor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	runner	آدمی	runner	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	alergător	آدمی	alergător	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	bărbat	آدمی	bărbat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	om	آدمی	om	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	barbat	آدمی	barbat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	soț	آدمی	soț	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	adult	آدمی	adult	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدمی	individ	آدمی	individ	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آدھ	jumatate	آدھ	jumata		
آدھ	jumate	آدھ	juma		
آدھا	jumatate	آدھا	jumata		
آدھا	jumate	آدھا	juma		
آراستہ	împodobit	آراستہ	împodobit	ADJ	ADJ;INDF;MASC;SG
آراستہ	decorată	آراستہ	decora	ADJ	ADJ;INDF;FEM;SG
آراستہ	decorate	آراستہ	decora	ADJ	ADJ;INDF;FEM;PL
آراستہ	decorat	آراستہ	decorat	ADJ	ADJ;INDF;MASC;SG
آراستہ	pregătit	آراستہ	pregăti	ADJ	ADJ;INDF;MASC;SG
آراستہ	pregătită	آراستہ	pregătit	ADJ	ADJ;INDF;FEM;SG
آراستہ	împodobit	آراستہ	împodobit	ADJ	ADJ;INDF;MASC;SG
آراستہ	aranjată	آراستہ	aranja	ADJ	ADJ;INDF;FEM;SG
آراستہ	aranjate	آراستہ	aranja	ADJ	ADJ;INDF;FEM;PL
آراستہ	aranjat	آراستہ	aranja	ADJ	ADJ;INDF;MASC;SG
آرائش	pansament	آرائش	pansament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	dressing	آرائش	dressinge	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	ornament	آرائش	ornament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	aranjament	آرائش	aranjament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	pansament	آرائش	pansament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	dressing	آرائش	dressinge	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	ornament	آرائش	ornament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	decor	آرائش	decor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائش	aranjament	آرائش	aranjament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرائی	aranjament	آرائی	aranjament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرمیدگی	confort	آرمیدگی	confort	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آرمیدگی	comfort	آرمیدگی	comfort	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	zid	آڑ	zid	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	perete	آڑ	perete	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	gard	آڑ	gard	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	cover	آڑ	cover	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	obstacol	آڑ	obstacol	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	suport	آڑ	suport	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	sprijin	آڑ	sprijin	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	zid	آڑ	zid	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	perete	آڑ	perete	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	gard	آڑ	gard	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	cover	آڑ	cover	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	obstacol	آڑ	obstacol	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	ecran	آڑ	ecran	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	suport	آڑ	suport	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آڑ	sprijin	آڑ	sprijin	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آزادی	freedom	آزادی	freedom	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آزار	belea	آزار	belea		
آزاردہ	enervante	آزاردہ	enervant	ADJ	ADJ;INDF;FEM;PL
آزاردہ	enervantă	آزاردہ	enervant	ADJ	ADJ;INDF;FEM;SG
آزُردگی	necaz	آزُردگی	necaz	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آزُردہ	enervat	آزُردہ	enervat	ADJ	ADJ;INDF;MASC;SG
آزُردہ	trista	آزُردہ	trist	ADJ	ADJ;DEF;FEM;SG
آزُردہ	tristă	آزُردہ	tristă	ADJ	ADJ;INDF;FEM;SG
آزُردہ	triste	آزُردہ	trist	ADJ	ADJ;INDF;FEM;PL
آزُردہ	trist	آزُردہ	trist	ADJ	ADJ;INDF;MASC;SG
آزُردہ	tulburat	آزُردہ	tulbura	ADJ	ADJ;INDF;MASC;SG
آزُردہ	tulburată	آزُردہ	tulbura	ADJ	ADJ;INDF;FEM;SG
آزمانا	evaluează	آزما	evalua	V;SG;ACT	V;IND;3;PRS;FIN
آزمانا	examinează	آزما	examina	V;SG;ACT	V;IND;3;PRS;FIN
آزمانا	încearcă	آزما	încerca	V;SG;ACT	V;IND;3;PRS;FIN
آزمانا	incearca	آزما	incearca	V;SG;ACT	V;IND;SG;3;IPFV;FIN
آزمائش	proces	آزمائش	proces	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آزمائش	test	آزمائش	test	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آزمُودہ	testate	آزمُودہ	testa	ADJ	ADJ;INDF;FEM;PL
آزمُودہ	testat	آزمُودہ	testa	ADJ	ADJ;INDF;MASC;SG
آزمُودہ	testată	آزمُودہ	testat	ADJ	ADJ;INDF;FEM;SG
آزمُودہ	dovedite	آزمُودہ	dovedi	ADJ	ADJ;INDF;FEM;PL
آزمُودہ	dovedită	آزمُودہ	dovedit	ADJ	ADJ;INDF;FEM;SG
آزمُودہ	demonstrate	آزمُودہ	demonstrat	ADJ	ADJ;INDF;FEM;PL
آزمُودہ	dovedit	آزمُودہ	dovedi	ADJ	ADJ;INDF;MASC;SG
آزمُودہ	demonstrat	آزمُودہ	demonstra	ADJ	ADJ;INDF;MASC;SG
آسان	convenabilă	آسان	convenabil	ADJ	ADJ;INDF;FEM;SG
آسان	convenabilă	آسان	convenabil	ADJ	ADJ;INDF;FEM;SG
آسائش	confort	آسائش	confort	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسائش	comfort	آسائش	comfort	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسرا	adăpost	آسرا	adăpost	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسرا	adapost	آسرا	adapost	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسرا	refugiu	آسرا	refugiu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسرا	faith	آسرا	faith	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسرا	sanctuar	آسرا	sanctuar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	sky	آسمان	sky	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	firmament	آسمان	firmament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	zenith	آسمان	zenith	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	orizont	آسمان	orizont	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	horizon	آسمان	horizon	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	sky	آسمان	sky	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	firmament	آسمان	firmament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	zenith	آسمان	zenith	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	orizont	آسمان	orizont	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمان	horizon	آسمان	horizon	N;NOM;MASC;SG;3	N;INDF;MASC;SG
آسمانی	divine	آسمانی	diven	ADJ	ADJ;INDF;FEM;PL
آسمانی	divina	آسمانی	divina	ADJ	ADJ;DEF;FEM;SG
آسمانی	divin	آسمانی	divin	ADJ	ADJ;INDF;MASC;SG
آسمانی	divină	آسمانی	divin	ADJ	ADJ;INDF;FEM;SG
آسمانی	cerească	آسمانی	cere	ADJ	ADJ;INDF;FEM;SG
آشکار	cunoscut	آشکار	cunoscut	ADJ	ADJ;INDF;MASC;SG
آشکار	cunoscută	آشکار	cunoscut	ADJ	ADJ;INDF;FEM;SG
آشکار	cunoscute	آشکار	cunoscut	ADJ	ADJ;INDF;FEM;PL
آشکار	dezvăluită	آشکار	dezvăluit	ADJ	ADJ;INDF;FEM;SG
آشکار	dezvăluite	آشکار	dezvălui	ADJ	ADJ;INDF;FEM;PL
آشکار	dezvăluit	آشکار	dezvăluit	ADJ	ADJ;INDF;MASC;SG
آشکار	vizibilă	آشکار	vizibil	ADJ	ADJ;INDF;FEM;SG
آشکار	vizibile	آشکار	vizibil	ADJ	ADJ;INDF;FEM;PL
آشکار	dezvaluit	آشکار	dezvalui	ADJ	ADJ;INDF;MASC;SG
آشکار	dezvăluită	آشکار	dezvăluit	ADJ	ADJ;INDF;FEM;SG
آشکار	dezvăluit	آشکار	dezvăluit	ADJ	ADJ;INDF;MASC;SG
آشکار	aparentă	آشکار	aparent	ADJ	ADJ;INDF;FEM;SG
آشکار	cunoscut	آشکار	cunoscut	ADJ	ADJ;INDF;MASC;SG
آشکار	cunoscută	آشکار	cunoscut	ADJ	ADJ;INDF;FEM;SG
آشکار	cunoscute	آشکار	cunoscut	ADJ	ADJ;INDF;FEM;PL
آشکار	vădită	آشکار	vădit	ADJ	ADJ;INDF;FEM;SG
آشکار	dezvăluită	آشکار	dezvăluit	ADJ	ADJ;INDF;FEM;SG
آشکار	dezvăluite	آشکار	dezvălui	ADJ	ADJ;INDF;FEM;PL
آشکار	dezvăluit	آشکار	dezvăluit	ADJ	ADJ;INDF;MASC;SG
آشکار	vizibilă	آشکار	vizibil	ADJ	ADJ;INDF;FEM;SG
آشکار	vizibile	آشکار	vizibil	ADJ	ADJ;INDF;FEM;PL
آشکار	dezvaluit	آشکار	dezvalui	ADJ	ADJ;INDF;MASC;SG
آشکار	dezvăluită	آشکار	dezvăluit	ADJ	ADJ;INDF;FEM;SG
آشکار	dezvăluit	آشکار	dezvăluit	ADJ	ADJ;INDF;MASC;SG
آشکار	aparentă	آشکار	aparent	ADJ	ADJ;INDF;FEM;SG
آشمال	servitor	آشمال	servitor	N	N;INDF;MASC;SG
آشمال	slujitor	آشمال	slujitor	N	N;INDF;MASC;SG
آشمال	slugă	آشمال	slugă	N	N;INDF;FEM;SG
آشمال	servitorul	آشمال	servitor	N	N;DEF;MASC;SG
آشنا	asociat	آشنا	asociat	ADJ	ADJ;INDF;MASC;SG
آشنا	asociată	آشنا	asociat	ADJ	ADJ;INDF;FEM;SG
آشنا	conștient	آشنا	conștient	ADJ	ADJ;INDF;MASC;SG
