تابی	ヒート	تابی	ヒート	N;NOM;MASC;SG;3	N
ٹلانا	削除	ٹلانا	削除	V;SG;NFIN;ACT	V
ٹلانا	取り除く	ٹلانا	取り除く	V;SG;NFIN;ACT	V
ٹُلکنا	死ぬ	ٹُلک	死ぬ	V;NFIN;ACT	V
ٹلنا	消える	ٹل	消える	V;MASC;SG;NFIN;ACT	V
ٹلنا	引き出す	ٹل	引き出す	V;MASC;SG;NFIN;ACT	V
ٹلنا	延期	ٹل	延期	V;MASC;SG;NFIN;ACT	V
ٹلنا	移動	ٹل	移動	V;MASC;SG;NFIN;ACT	V
ٹوپی	トピ	ٹوپی	トピ	N;NOM;MASC;SG;3	N
ٹوپی	キャップ	ٹوپی	キャップ	N;NOM;MASC;SG;3	N
ٹوپی	ハット	ٹوپی	ハット	N;NOM;MASC;SG;3	N
ٹوپی	帽子	ٹوپی	帽子	N;NOM;MASC;SG;3	N
ٹوٹا	喪失	ٹوٹا	喪失	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹوٹا	怪我	ٹوٹا	怪我	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹوٹا	損傷	ٹوٹا	損傷	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹُوٹنا	破壊	ٹُوٹنا	破壊	V;NFIN	V
ٹُوٹنا	暴行	ٹُوٹنا	暴行	V;NFIN	V
ٹُوٹنا	攻撃	ٹُوٹنا	攻撃	V;NFIN	V
ٹُوٹنا	ひび割れ	ٹُوٹنا	ひび割れ	V;NFIN	V
ٹُوٹنا	休憩	ٹُوٹنا	休憩	V;NFIN	V
ٹُوٹنا	区切り	ٹُوٹنا	区切り	V;NFIN	V
ٹوکنا	割り込み	ٹوک	割り込む	V;SG;NFIN;ACT	V
ٹوکنا	停止	ٹوک	停止	V;SG;NFIN;ACT	V
ٹوکنا	チェック	ٹوک	チェック	V;SG;NFIN;ACT	V
ٹولی	バンド	ٹولی	バンド	N;NOM;FEM;SG;3	N
ٹونٹی	蛇口	ٹونٹی	蛇口	N;NOM;FEM;SG;3	N
ٹونٹی	蛇口	ٹونٹی	蛇口	N;NOM;FEM;SG;3	N
ٹہل	歩き	ٹہل	歩く	V;SG;ACT	V
ٹہل	歩く	ٹہل	歩く	V;SG;ACT	V
ٹہل	出席	ٹہل	出席	V;SG;ACT	V
ٹہل	傍聴	ٹہل	傍聴	V;SG;ACT	V
ٹہلانا	閉じる	ٹہلانا	閉じる	V;MASC;SG;NFIN;ACT	V
ٹہلنا	消える	ٹہل	消える	V;MASC;SG;NFIN;ACT	V
ٹہلنا	死ぬ	ٹہل	死ぬ	V;MASC;SG;NFIN;ACT	V
ٹہلنا	消える	ٹہل	消える	V;MASC;SG;NFIN;ACT	V
ٹہلنا	死ぬ	ٹہل	死ぬ	V;MASC;SG;NFIN;ACT	V
ٹہلنا	散策	ٹہل	散策	V;MASC;SG;NFIN;ACT	V
ٹیڑھا	怒り	ٹیڑھا	怒り	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹیڑھا	怒り	ٹیڑھا	怒り	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹھانسنا	詰め込み	ٹھانسنا	詰め込む	V;MASC;SG;ACT	V
ٹھاننا	解決	ٹھان	解決	V;SG;NFIN;ACT	V
ٹھاننا	解消	ٹھان	解消	V;SG;NFIN;ACT	V
ٹھائوں	住居	ٹھا	住居	N;ACC;MASC;PL;3	N
ٹھائوں	居所	ٹھا	居所	N;ACC;MASC;PL;3	N
ٹھائوں	場所	ٹھا	場所	N;ACC;MASC;PL;3	N
ٹھائوں	スポット	ٹھا	スポット	N;ACC;MASC;PL;3	N
ٹِھٹھرنا	縮小	ٹِھٹھرنا	縮小	V;NFIN;ACT	V
ٹھِٹھکنا	ためらう	ٹھِٹھکنا	ためらう	V;NFIN	V
ٹھِٹھکنا	休止	ٹھِٹھکنا	休止	V;NFIN	V
ٹھٹھنا	整列	ٹھٹھ	整列	V;SG;NFIN;ACT	V
ٹھس	怠け者	ٹھس	怠け者		
ٹھس	バカ	ٹھس	バカ		
ٹھس	怠け者	ٹھس	怠け者		
ٹِھکانا	終了	ٹِھکانا	終了	V;MASC;SG;NFIN;ACT	V
ٹِھکانا	信頼	ٹِھکانا	信頼	V;MASC;SG;NFIN;ACT	V
ٹِھکانا	制限	ٹِھکانا	制限	V;MASC;SG;NFIN;ACT	V
ٹِھکانا	帰宅	ٹِھکانا	帰宅	V;MASC;SG;NFIN;ACT	V
ٹھکٹھکانا	タップ	ٹھکٹھکانا	タップ	V;MASC;SG;NFIN;ACT	V
ٹُھکرانا	拒否	ٹُھکرانا	拒否	V;SG;NFIN;ACT	V
ٹھگائی	浮気	ٹھگا	浮気	V;PFV;FEM;SG;V.PTCP;ACT	V
ٹھنڈ	風邪	ٹھنڈ	風邪	N;NOM;MASC;SG;3	N
ٹھنڈ	コールド	ٹھنڈ	コールド	N;NOM;MASC;SG;3	N
ٹھوس	鈍い	ٹھوس	鈍く	ADJ	ADJ
ٹھوس	難しい	ٹھوس	難しい	ADJ	ADJ
ٹھوس	コンパクト	ٹھوس	コンパクト	ADJ	ADJ
ٹھوس	濃密	ٹھوس	濃密	ADJ	ADJ
ٹھوس	鈍い	ٹھوس	鈍く	ADJ	ADJ
ٹھوس	難しい	ٹھوس	難しい	ADJ	ADJ
ٹھوس	コンパクト	ٹھوس	コンパクト	ADJ	ADJ
ٹھوس	濃密	ٹھوس	濃密	ADJ	ADJ
ٹھوکر	喪失	ٹھوکر	喪失	V;ACT	V
ٹھونکنا	タップ	ٹھونکنا	タップ	V;SG;NFIN;ACT	V
ٹھہرانا	停止	ٹھہرانا	停止	V;MASC;SG;NFIN;ACT	V
ٹھہرانا	決める	ٹھہرانا	決める	V;MASC;SG;NFIN;ACT	V
ٹھہرانا	修正	ٹھہرانا	修正	V;MASC;SG;NFIN;ACT	V
ٹھہرانا	停止	ٹھہرانا	停止	V;MASC;SG;NFIN;ACT	V
ٹھہرانا	決める	ٹھہرانا	決める	V;MASC;SG;NFIN;ACT	V
ٹھہرائو	和解	ٹھہرائو	和解	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹھہرائو	安定	ٹھہرائو	安定	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹھہرائو	休止	ٹھہرائو	休止	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹھہرنا	耐える	ٹھہر	耐える	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	滞在	ٹھہر	滞在	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	遅延	ٹھہر	遅延	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	耐える	ٹھہر	耐える	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	滞在	ٹھہر	滞在	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	遅延	ٹھہر	遅延	V;MASC;SG;NFIN;ACT	V
ٹھہرنا	停止	ٹھہر	停止	V;MASC;SG;NFIN;ACT	V
ٹھیکا	賃貸	ٹھیک	賃貸	N;NOM;MASC;SG;3	N
ٹھیکا	賃貸借	ٹھیک	賃貸借	N;NOM;MASC;SG;3	N
ٹھیلنا	押す	ٹھیلنا	押す	V;SG;NFIN;ACT	V
ثبات	忍耐	ثبات	忍耐	N;NOM;MASC;SG;3	N
ثبات	根気	ثبات	根気	N;NOM;MASC;SG;3	N
ثبات	耐久	ثبات	耐久	N;NOM;MASC;SG;3	N
ثبات	解像	ثبات	解像	N;NOM;MASC;SG;3	N
ثبات	持久力	ثبات	持久力	N;NOM;MASC;SG;3	N
ثبات	安定	ثبات	安定	N;NOM;MASC;SG;3	N
ثبت	インプレッション	ثبت	インプレッション	N;NOM;MASC;SG;3	N
ثقافت	文化	ثقافت	文化	N;NOM;MASC;SG;3	N
ثقافت	カルチャー	ثقافت	カルチャー	N;NOM;MASC;SG;3	N
