the	de	the	de	DET;DEF	DET;DEF
discussed	besproken	discuss	bespreken	V;PST;V.PTCP	V;V.PTCP
discussed	besprak	discuss	bespreken	V;PST;V.PTCP	V;SG;PST;FIN
require	vereisen	require	vereisen	V;IND;PRS;FIN	V;NFIN
transfer	overplaatsing	transfer	overplaatsing	N;SG	N;MASC+FEM;SG
transfer	transfer	transfer	transfer	N;SG	N;MASC+FEM;SG
transfer	overdracht	transfer	overdracht	N;SG	N;MASC+FEM;SG
cells	cellen	cell	cel	N;PL	N;PL
permanent	permanente	permanent	permanent	ADJ	ADJ
permanent	permanent	permanent	permanent	ADJ	ADJ
phase	fase	phase	fase	N;SG	N;MASC+FEM;SG
audience	doelgroep	audience	doelgroep	N;SG	N;MASC+FEM;SG
audience	publiek	audience	publiek	N;SG	N;NEUT;SG
motion	motion	motion	motion	N;SG	N;MASC+FEM;SG
motion	beweging	motion	beweging	N;SG	N;MASC+FEM;SG
motion	motie	motion	motie	N;SG	N;MASC+FEM;SG
hungarian	hongaarse	hungarian	hongaars	ADJ	ADJ
hungarian	hongaars	hungarian	hongaars	ADJ	ADJ
arab	arabisch	arab	arabisch	ADJ	ADJ
trains	treinen	train	trein	N;PL	N;PL
sets	verzamelingen	set	verzameling	N;PL	N;PL
sets	sets	set	set	N;PL	N;PL
ranked	gerangschikt	rank	gerangschikt	V;PST;V.PTCP	V;V.PTCP
begin	beginnen	begin	beginnen	V;IMP;FIN	V;NFIN
eyes	ogen	eye	oog	N;PL	N;PL
eyes	oogjes	eye	oog	N;PL	N;PL
criminal	misdadig	criminal	misdadig	ADJ	ADJ
commonwealth	commonwealth	commonwealth	commonwealth	N;SG	N;MASC+FEM;SG
commonwealth	gemenebest	commonwealth	gemenebest	N;SG	N;NEUT;SG
finish	finish	finish	finish	N;SG	N;MASC+FEM;SG
finish	afwerking	finish	afwerking	N;SG	N;MASC+FEM;SG
communication	communicatie	communication	communicatie	N;SG	N;MASC+FEM;SG
communication	mededeling	communication	mededeling	N;SG	N;MASC+FEM;SG
scope	draagwijdte	scope	draagwijdte	N;SG	N;MASC+FEM;SG
scope	toepassingsgebied	scope	toepassingsgebied	N;SG	N;NEUT;SG
scope	reikwijdte	scope	reikwijdte	N;SG	N;MASC+FEM;SG
accused	beschuldigde	accuse	beschuldigen	V;PST;V.PTCP	V;SG;PST;FIN
accused	beschuldigd	accuse	beschuldigen	V;PST;V.PTCP	V;V.PTCP
divisions	splitsingen	division	splitsing	N;PL	N;PL
divisions	afdelingen	division	afdeling	N;PL	N;PL
divisions	divisies	division	divisie	N;PL	N;PL
accept	accepteren	accept	accepteren	V;IMP;FIN	V;NFIN
accept	aanvaarden	accept	aanvaarden	V;IMP;FIN	V;NFIN
accept	accepteer	accept	accepteer	V;IMP;FIN	V;SG;PRS;FIN
warning	waarschuwing	warning	waarschuwing	N;SG	N;MASC+FEM;SG
objects	objecten	object	object	N;PL	N;PL
objects	voorwerpen	object	voorwerp	N;PL	N;PL
contest	wedstrijdje	contest	wedstrijd	N;SG	N;NEUT;SG
contest	wedstrijd	contest	wedstrijd	N;SG	N;MASC+FEM;SG
contest	prijsvraag	contest	prijsvraag	N;SG	N;MASC+FEM;SG
fighter	strijder	fighter	strijder	N;SG	N;MASC+FEM;SG
fighter	vechter	fighter	vechter	N;SG	N;MASC+FEM;SG
fighter	fighter	fighter	fighter	N;SG	N;MASC+FEM;SG
finds	vindt	find	vinden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
coaches	coaches	coach	coaches	N;PL	N;PL
coaches	trainers	coach	trainer	N;PL	N;PL
sorry	sorry	sorry	sorry	INTJ	INTJ
showed	toonde	show	tonen	V;IND;PST;FIN	V;SG;PST;FIN
cathedral	kathedraal	cathedral	kathedraal	N;SG	N;MASC+FEM;SG
losing	verliezen	lose	verliezen	V;V.MSDR	V;NFIN
advance	voorschot	advance	voorschot	N;SG	N;NEUT;SG
reality	werkelijkheid	reality	werkelijkheid	N;SG	N;MASC+FEM;SG
reality	realiteit	reality	realiteit	N;SG	N;MASC+FEM;SG
broadcasting	uitzending	broadcasting	uitzending	N;SG	N;MASC+FEM;SG
broadcasting	omroep	broadcasting	omroep	N;SG	N;MASC+FEM;SG
vandalism	vandalisme	vandalism	vandalisme	N;SG	N;NEUT;SG
enemy	vijand	enemy	vijand	N;SG	N;MASC+FEM;SG
assessed	gekeurd	assess	keuren	V;PST;V.PTCP	V;V.PTCP
assessed	beoordeeld	assess	beoordelen	V;PST;V.PTCP	V;V.PTCP
assessed	beoordeelde	assess	beoordelen	V;PST;V.PTCP	V;SG;PST;FIN
billion	biljoen	billion	biljoen	NUM	NUM
buried	begraven	bury	begraven	V;PST;V.PTCP	V;V.PTCP
buried	bedolven	bury	bedelven	V;PST;V.PTCP	V;V.PTCP
respect	respect	respect	respect	N;SG	N;NEUT;SG
rare	zeldzame	rare	zeldzaam	ADJ	ADJ
rare	zeldzaam	rare	zeldzaam	ADJ	ADJ
colleges	hogescholen	college	hogeschool	N;PL	N;PL
colleges	colleges	college	college	N;PL	N;PL
explain	verklaar	explain	verklaar	V;IMP;FIN	V;SG;PRS;FIN
explain	uitleggen	explain	uitleggen	V;IMP;FIN	V;NFIN
authorities	autoriteiten	authority	autoriteit	N;PL	N;PL
maximum	maximale	maximum	maximaal	ADJ	ADJ
maximum	maximaal	maximum	maximaal	ADJ	ADJ
fan	ventilator	fan	ventilator	N;SG	N;MASC+FEM;SG
fan	waaier	fan	waaier	N;SG	N;MASC+FEM;SG
fan	fan	fan	fan	N;SG	N;MASC+FEM;SG
painter	kunstschilder	painter	kunstschilder	N;SG	N;MASC+FEM;SG
painter	schilder	painter	schilder	N;SG	N;MASC+FEM;SG
attempted	geprobeerd	attempt	proberen	V;PST;V.PTCP	V;V.PTCP
universe	universe	universe	univers	N;SG	N;MASC+FEM;SG
universe	heelal	universe	heelal	N;SG	N;NEUT;SG
universe	universum	universe	universum	N;SG	N;NEUT;SG
passes	pasjes	pass	pas	N;PL	N;PL
obvious	evident	obvious	evident	ADJ	ADJ
suffered	leed	suffer	lijden	V;PST;V.PTCP	V;SG;PST;FIN
pieces	stuks	piece	stuk	N;PL	N;PL
pieces	stukken	piece	stuk	N;PL	N;PL
pieces	stukjes	piece	stuk	N;PL	N;PL
apply	solliciteren	apply	solliciteren	V;IMP;FIN	V;NFIN
apply	toepassen	apply	toepassen	V;IMP;FIN	V;NFIN
actresses	actrices	actress	actrice	N;PL	N;PL
competitions	competities	competition	competitie	N;PL	N;PL
competitions	wedstrijden	competition	wedstrijd	N;PL	N;PL
aid	steun	aid	steun	N;SG	N;MASC+FEM;SG
aid	hulp	aid	hulp	N;SG	N;MASC+FEM;SG
driver	chauffeur	driver	chauffeur	N;SG	N;MASC+FEM;SG
driver	stuurprogramma	driver	stuurprogramma	N;SG	N;NEUT;SG
driver	driver	driver	driver	N;SG	N;MASC+FEM;SG
driver	bestuurder	driver	bestuurder	N;SG	N;MASC+FEM;SG
folk	folk	folk	folk	N;SG	N;MASC+FEM;SG
baby	baby	baby	baby	N;SG	N;MASC+FEM;SG
baby	schat	baby	schat	N;SG	N;MASC+FEM;SG
baby	schatje	baby	schat	N;SG	N;NEUT;SG
billboard	billboard	billboard	billboard	N;SG	N;MASC+FEM;SG
billboard	reclamebord	billboard	reclamebord	N;SG	N;NEUT;SG
calling	bellen	call	bellen	V;V.MSDR	V;NFIN
happened	gebeurde	happen	gebeuren	V;IND;PST;FIN	V;SG;PST;FIN
danish	deens	danish	deens	ADJ	ADJ
danish	deense	danish	deens	ADJ	ADJ
wants	wil	want	willen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
formula	formule	formula	formule	N;SG	N;MASC+FEM;SG
interior	interieur	interior	interieur	N;SG	N;NEUT;SG
interior	binnenland	interior	binnenland	N;SG	N;NEUT;SG
powerful	machtig	powerful	machtig	ADJ	ADJ
powerful	krachtig	powerful	krachtig	ADJ	ADJ
powerful	krachtige	powerful	krachtig	ADJ	ADJ
registered	geregistreerd	register	registreren	V;PST;V.PTCP	V;V.PTCP
registered	ingeschreven	register	inschrijven	V;PST;V.PTCP	V;V.PTCP
registered	geregistreerde	register	registreren	V;PST;V.PTCP	V;V.PTCP
publisher	uitgeverij	publisher	uitgeverij	N;SG	N;MASC+FEM;SG
publisher	uitgever	publisher	uitgever	N;SG	N;MASC+FEM;SG
sounds	klinkt	sound	klinken	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
approved	goedgekeurde	approve	goedkeuren	V;PST;V.PTCP	V;V.PTCP
approved	goedgekeurd	approve	goedkeuren	V;PST;V.PTCP	V;V.PTCP
achieved	behaald	achieve	behalen	V;PST;V.PTCP	V;V.PTCP
achieved	bereikte	achieve	bereiken	V;PST;V.PTCP	V;SG;PST;FIN
achieved	bereikt	achieve	bereiken	V;PST;V.PTCP	V;V.PTCP
provincial	provinciaal	provincial	provinciaal	ADJ	ADJ
provincial	provinciale	provincial	provinciaal	ADJ	ADJ
fund	fonds	fund	fonds	N;SG	N;NEUT;SG
athletes	atleten	athlete	atleten	N;PL	N;PL
athletes	sporters	athlete	sporter	N;PL	N;PL
bird	vogeltje	bird	vogel	N;SG	N;NEUT;SG
bird	vogel	bird	vogel	N;SG	N;MASC+FEM;SG
bands	bands	band	bands	N;PL	N;PL
audio	audio	audio	audio	N;SG	N;MASC+FEM;SG
audio	geluid	audio	geluid	N;SG	N;NEUT;SG
cat	poes	cat	poes	N;SG	N;MASC+FEM;SG
cat	kat	cat	kat	N;SG	N;MASC+FEM;SG
bureau	bureau	bureau	bureau	N;SG	N;NEUT;SG
centuries	eeuwen	century	eeuw	N;PL	N;PL
valid	valide	valid	valide	ADJ	ADJ
valid	geldig	valid	geldig	ADJ	ADJ
valid	geldige	valid	geldig	ADJ	ADJ
chemical	chemisch	chemical	chemisch	ADJ	ADJ
items	items	item	item	N;PL	N;PL
lane	laan	lane	laan	N;SG	N;MASC+FEM;SG
lane	lane	lane	laan	N;SG	N;MASC+FEM;SG
holding	holding	holding	holding	N;SG	N;MASC+FEM;SG
counties	provincies	county	provincie	N;PL	N;PL
update	update	update	update	N;SG	N;MASC+FEM;SG
speak	spreek	speak	spreken	V;IMP;FIN	V;SG;PRS;FIN
speak	spreken	speak	spreken	V;IMP;FIN	V;NFIN
domestic	binnenlands	domestic	binnenlands	ADJ	ADJ
domestic	huiselijk	domestic	huiselijk	ADJ	ADJ
domestic	huishoudelijk	domestic	huishoudelijk	ADJ	ADJ
false	vals	false	vals	ADJ	ADJ
false	onwaar	false	onwaar	ADJ	ADJ
false	valse	false	vals	ADJ	ADJ
equivalent	gelijkwaardige	equivalent	gelijkwaardig	ADJ	ADJ
equivalent	gelijkwaardig	equivalent	gelijkwaardig	ADJ	ADJ
caught	gevat	catch	vatten	V;PST;V.PTCP	V;V.PTCP
caught	gepakt	catch	pakken	V;PST;V.PTCP	V;V.PTCP
caught	gesnapt	catch	snappen	V;PST;V.PTCP	V;V.PTCP
caught	betrapt	catch	betrappen	V;PST;V.PTCP	V;V.PTCP
caught	gevangen	catch	vangen	V;PST;V.PTCP	V;V.PTCP
ending	einde	end	einde	N;SG	N;NEUT;SG
partner	partner	partner	partner	N;SG	N;MASC+FEM;SG
aviation	luchtvaart	aviation	luchtvaart	N;SG	N;MASC+FEM;SG
failure	mislukking	failure	mislukking	N;SG	N;MASC+FEM;SG
failure	mislukkeling	failure	mislukkeling	N;SG	N;MASC+FEM;SG
strength	sterkte	strength	sterkte	N;SG	N;MASC+FEM;SG
strength	kracht	strength	kracht	N;SG	N;MASC+FEM;SG
knight	ridder	knight	ridder	N;SG	N;MASC+FEM;SG
nominations	voordrachten	nomination	voordracht	N;PL	N;PL
nominations	nominaties	nomination	nominatie	N;PL	N;PL
concern	bezorgdheid	concern	bezorgdheid	N;SG	N;MASC+FEM;SG
recordings	opnames	recording	opname	N;PL	N;PL
functions	functies	function	functie	N;PL	N;PL
calls	telefoontjes	call	telefoon	N;PL	N;PL
criticism	kritiek	criticism	kritiek	N;SG	N;MASC+FEM;SG
magic	magie	magic	magie	N;SG	N;MASC+FEM;SG
magic	magic	magic	magic	N;SG	N;MASC+FEM;SG
treaty	verdrag	treaty	verdrag	N;SG	N;NEUT;SG
selection	selectie	selection	selectie	N;SG	N;MASC+FEM;SG
rear	achterkant	rear	achterkant	N;SG	N;MASC+FEM;SG
rear	achterhoede	rear	achterhoede	N;SG	N;MASC+FEM;SG
rear	achterzijde	rear	achterzijde	N;SG	N;MASC+FEM;SG
colonial	koloniaal	colonial	koloniaal	ADJ	ADJ
colonial	koloniale	colonial	koloniaal	ADJ	ADJ
motor	motor	motor	motor	N;SG	N;MASC+FEM;SG
obtained	verkregen	obtain	verkrijgen	V;PST;V.PTCP	V;V.PTCP
circuit	circuit	circuit	circuit	N;SG	N;NEUT;SG
compilation	compilatie	compilation	compilatie	N;SG	N;MASC+FEM;SG
islamic	islamitische	islamic	islamitisch	ADJ	ADJ
islamic	islamitisch	islamic	islamitisch	ADJ	ADJ
determined	bepaald	determined	bepaald	ADJ	ADJ
determined	vastberaden	determined	vastberaden	ADJ	ADJ
geography	geografie	geography	geografie	N;SG	N;MASC+FEM;SG
geography	aardrijkskunde	geography	aardrijkskunde	N;SG	N;MASC+FEM;SG
fuel	brandstof	fuel	brandstof	N;SG	N;MASC+FEM;SG
fuel	splijtstof	fuel	splijtstof	N;SG	N;MASC+FEM;SG
artillery	artillerie	artillery	artillerie	N;SG	N;MASC+FEM;SG
artillery	geschut	artillery	schutten	N;SG	N;NEUT;SG
medieval	middeleeuwse	medieval	middeleeuws	ADJ	ADJ
medieval	middeleeuws	medieval	middeleeuws	ADJ	ADJ
locations	locaties	location	locatie	N;PL	N;PL
inclusion	insluiting	inclusion	insluiting	N;SG	N;MASC+FEM;SG
inclusion	inclusie	inclusion	inclusie	N;SG	N;MASC+FEM;SG
inclusion	opneming	inclusion	opneming	N;SG	N;MASC+FEM;SG
recognition	herkenning	recognition	herkenning	N;SG	N;MASC+FEM;SG
recognition	erkenning	recognition	erkenning	N;SG	N;MASC+FEM;SG
northeast	noordoost	northeast	noordoost	N;SG	N;MASC+FEM;SG
northeast	noordoosten	northeast	noordoosten	N;SG	N;NEUT;SG
moment	moment	moment	moment	N;SG	N;NEUT;SG
moment	ogenblik	moment	ogenblik	N;SG	N;NEUT;SG
succeeded	gelukt	succeed	lukken	V;PST;V.PTCP	V;V.PTCP
succeeded	geslaagd	succeed	slagen	V;PST;V.PTCP	V;V.PTCP
historian	historicus	historian	historicus	N;SG	N;MASC+FEM;SG
condition	conditie	condition	conditie	N;SG	N;MASC+FEM;SG
condition	aandoening	condition	aandoening	N;SG	N;MASC+FEM;SG
condition	voorwaarde	condition	voorwaard	N;SG	N;MASC+FEM;SG
condition	toestand	condition	toestand	N;SG	N;MASC+FEM;SG
newspapers	kranten	newspaper	krant	N;PL	N;PL
newspapers	dagbladen	newspaper	dagblad	N;PL	N;PL
represent	vertegenwoordigen	represent	vertegenwoordigen	V;IMP;FIN	V;NFIN
watch	kijk	watch	kijken	V;IMP;FIN	V;SG;PRS;FIN
watch	kijken	watch	kijken	V;IMP;FIN	V;NFIN
protect	beschermen	protect	beschermen	V;IMP;FIN	V;NFIN
protect	bescherm	protect	beschermen	V;IMP;FIN	V;SG;PRS;FIN
launch	lanceren	launch	lanceren	V;IMP;FIN	V;NFIN
municipalities	gemeenten	municipality	gemeente	N;PL	N;PL
mix	mix	mix	mix	N;SG	N;MASC+FEM;SG
shift	shift	shift	shift	N;SG	N;MASC+FEM;SG
shift	verschuiving	shift	verschuiving	N;SG	N;MASC+FEM;SG
shared	gedeeld	share	delen	V;PST;V.PTCP	V;V.PTCP
austrian	oostenrijks	austrian	oostenrijks	ADJ	ADJ
austrian	oostenrijkse	austrian	oostenrijks	ADJ	ADJ
door	deur	door	deur	N;SG	N;MASC+FEM;SG
institution	instelling	institution	instelling	N;SG	N;MASC+FEM;SG
princess	prinsesje	princess	prinses	N;SG	N;NEUT;SG
princess	prinses	princess	prinses	N;SG	N;MASC+FEM;SG
princess	princess	princess	princess	N;SG	N;MASC+FEM;SG
trail	trail	trail	trail	N;SG	N;MASC+FEM;SG
trail	spoor	trail	spoor	N;SG	N;NEUT;SG
parks	parken	park	park	N;PL	N;PL
applications	toepassingen	application	toepassing	N;PL	N;PL
applications	applicaties	application	applicatie	N;PL	N;PL
hundred	honderd	hundred	honderd	NUM	NUM
talking	praten	talk	praten	V;V.MSDR	V;NFIN
talking	pratende	talk	praten	V;V.MSDR	V;V.PTCP
metres	meters	metre	meter	N;PL	N;PL
gray	grijze	gray	grijs	ADJ	ADJ
gray	grijs	gray	grijs	ADJ	ADJ
sector	sector	sector	sector	N;SG	N;MASC+FEM;SG
escape	ontsnappen	escape	ontsnappen	V;IMP;FIN	V;NFIN
orders	bestellingen	order	bestelling	N;PL	N;PL
orders	orders	order	order	N;PL	N;PL
corner	corner	corner	corner	N;SG	N;MASC+FEM;SG
corner	hoekje	corner	hoek	N;SG	N;NEUT;SG
corner	hoek	corner	hoek	N;SG	N;MASC+FEM;SG
subjects	onderdanen	subject	onderdaan	N;PL	N;PL
subjects	onderwerpen	subject	onderwerp	N;PL	N;PL
subjects	vakken	subject	vak	N;PL	N;PL
temperature	temperatuur	temperature	temperatuur	N;SG	N;MASC+FEM;SG
remember	onthoud	remember	onthoud	V;IMP;FIN	V;SG;PRS;FIN
promote	promoten	promote	promoot	V;IMP;FIN	V;NFIN
promote	promoot	promote	promoot	V;IMP;FIN	V;SG;PRS;FIN
promote	bevorderen	promote	bevorderen	V;IMP;FIN	V;NFIN
values	waardes	value	waarde	N;PL	N;PL
values	waarden	value	waard	N;PL	N;PL
spot	spot	spot	spot	N;SG	N;MASC+FEM;SG
progress	progress	progress	progress	N;SG	N;MASC+FEM;SG
progress	vooruitgang	progress	vooruitgang	N;SG	N;MASC+FEM;SG
progress	voortgang	progress	voortgang	N;SG	N;MASC+FEM;SG
learn	leren	learn	leren	V;IMP;FIN	V;NFIN
planet	planet	planet	planet	N;SG	N;MASC+FEM;SG
planet	planeet	planet	planeet	N;SG	N;MASC+FEM;SG
occupied	bezet	occupy	bezetten	V;PST;V.PTCP	V;V.PTCP
occupied	bezette	occupy	bezetten	V;PST;V.PTCP	V;SG;PST;FIN
usage	gebruik	usage	gebruik	N;SG	N;NEUT;SG
refused	weigerde	refuse	weigeren	V;IND;PST;FIN	V;SG;PST;FIN
refused	geweigerd	refuse	weigeren	V;IND;PST;FIN	V;V.PTCP
refused	weigerden	refuse	weigeren	V;IND;PST;FIN	V;PL;PST;FIN
truth	waarheid	truth	waarheid	N;SG	N;MASC+FEM;SG
sufficient	voldoende	sufficient	voldoende	ADJ	ADJ
equal	gelijk	equal	gelijk	ADJ	ADJ
equal	gelijke	equal	gelijk	ADJ	ADJ
administrator	beheerder	administrator	beheerd	N;SG	N;MASC+FEM;SG
administrator	administrateur	administrator	administrateur	N;SG	N;MASC+FEM;SG
persons	personen	person	persoon	N;PL	N;PL
factory	fabriek	factory	fabriek	N;SG	N;MASC+FEM;SG
factory	factory	factory	factory	N;SG	N;MASC+FEM;SG
fought	gevochten	fight	vechten	V;PST;V.PTCP	V;V.PTCP
fought	bevochten	fight	bevechten	V;PST;V.PTCP	V;V.PTCP
fought	gestreden	fight	strijden	V;PST;V.PTCP	V;V.PTCP
derived	afgeleid	derive	afleiden	V;PST;V.PTCP	V;V.PTCP
derived	afgeleide	derive	afleiden	V;PST;V.PTCP	V;V.PTCP
magazines	tijdschriften	magazine	tijdschrift	N;PL	N;PL
magazines	magazines	magazine	magazine	N;PL	N;PL
flow	flow	flow	flow	N;SG	N;MASC+FEM;SG
peer	peer	peer	peer	N;SG	N;MASC+FEM;SG
attacked	aangevallen	attack	aanvallen	V;PST;V.PTCP	V;V.PTCP
generate	genereert	generate	genereren	V;IMP;FIN	V;SG;PRS;FIN
generate	genereren	generate	genereren	V;IMP;FIN	V;NFIN
shape	shape	shape	shape	N;SG	N;MASC+FEM;SG
shape	vorm	shape	vorm	N;SG	N;MASC+FEM;SG
creator	schepper	creator	schepper	N;SG	N;MASC+FEM;SG
creator	maker	creator	maker	N;SG	N;MASC+FEM;SG
creator	bedenker	creator	bedenker	N;SG	N;MASC+FEM;SG
requires	vereist	require	vereisen	V;IND;SG;3;PRS;FIN	V;V.PTCP
option	optie	option	optie	N;SG	N;MASC+FEM;SG
starts	begint	start	beginnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
establishment	vestiging	establishment	vestiging	N;SG	N;MASC+FEM;SG
selling	verkoop	sell	verkoop	N;SG	N;MASC+FEM;SG
causes	oorzaken	cause	oorzaak	N;PL	N;PL
budget	budget	budget	budget	N;SG	N;NEUT;SG
budget	begroting	budget	begroting	N;SG	N;MASC+FEM;SG
battles	veldslagen	battle	veldslaan	N;PL	N;PL
battles	gevechten	battle	gevecht	N;PL	N;PL
sky	hemel	sky	hemel	N;SG	N;MASC+FEM;SG
sky	lucht	sky	lucht	N;SG	N;MASC+FEM;SG
sky	sky	sky	sky	N;SG	N;MASC+FEM;SG
legend	legende	legend	legende	N;SG	N;MASC+FEM;SG
legend	legend	legend	legend	N;SG	N;MASC+FEM;SG
arrested	opgepakt	arrest	oppakken	V;PST;V.PTCP	V;V.PTCP
arrested	aangehouden	arrest	aanhouden	V;PST;V.PTCP	V;V.PTCP
arrested	gearresteerd	arrest	arresteren	V;PST;V.PTCP	V;V.PTCP
forum	forum	forum	forum	N;SG	N;NEUT;SG
broke	brak	break	breken	V;IND;PST;FIN	V;SG;PST;FIN
broke	gebroken	break	breken	V;IND;PST;FIN	V;V.PTCP
strike	staking	strike	staking	N;SG	N;MASC+FEM;SG
injury	blessure	injury	blessure	N;SG	N;MASC+FEM;SG
injury	letsel	injury	letsel	N;SG	N;NEUT;SG
injury	schade	injury	schade	N;SG	N;MASC+FEM;SG
injury	verwonding	injury	verwonding	N;SG	N;MASC+FEM;SG
converted	geconverteerd	converted	converteren	V;PST;V.PTCP	V;V.PTCP
converted	bekeerd	converted	bekeerd	V;PST;V.PTCP	V;V.PTCP
converted	omgezet	converted	omzetten	V;PST;V.PTCP	V;V.PTCP
converted	omgerekend	converted	omrekenen	V;PST;V.PTCP	V;V.PTCP
converted	omgebouwd	converted	ombouwen	V;PST;V.PTCP	V;V.PTCP
violence	geweld	violence	geweld	N;SG	N;NEUT;SG
statements	verklaringen	statement	verklaring	N;PL	N;PL
controlled	beheerste	control	beheersen	V;PST;V.PTCP	V;SG;PST;FIN
controlled	gecontroleerde	control	controleren	V;PST;V.PTCP	V;V.PTCP
controlled	beheerst	control	beheersen	V;PST;V.PTCP	V;V.PTCP
controlled	gecontroleerd	control	controleren	V;PST;V.PTCP	V;V.PTCP
translated	vertaald	translate	vertalen	V;PST;V.PTCP	V;V.PTCP
papers	papieren	papers	papieren	N;PL	N;PL
detail	detail	detail	detail	N;SG	N;NEUT;SG
chapel	kapel	chapel	kapel	N;SG	N;MASC+FEM;SG
banks	banks	bank	banks	N;PL	N;PL
banks	banken	bank	bank	N;PL	N;PL
offensive	aanstootgevend	offensive	aanstootgevend	ADJ	ADJ
kings	koningen	king	koning	N;PL	N;PL
factor	factor	factor	factor	N;SG	N;MASC+FEM;SG
rename	hernoemen	rename	hernoemen	V;IMP;FIN	V;NFIN
replace	vervangen	replace	vervangen	V;IMP;FIN	V;V.PTCP
replace	vervang	replace	vervang	V;IMP;FIN	V;SG;PRS;FIN
museums	musea	museum	museum	N;PL	N;PL
resistance	tegenstand	resistance	tegenstand	N;SG	N;MASC+FEM;SG
resistance	weerstand	resistance	weerstand	N;SG	N;MASC+FEM;SG
resistance	resistentie	resistance	resistentie	N;SG	N;MASC+FEM;SG
resistance	verzet	resistance	verzet	N;SG	N;NEUT;SG
junction	junction	junction	junction	N;SG	N;MASC+FEM;SG
tries	probeert	try	proberen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
engines	motoren	engines	motor	N;PL	N;PL
contributed	bijgedragen	contribute	bijdragen	V;PST;V.PTCP	V;V.PTCP
contributed	bijdroeg	contribute	bijdraag	V;PST;V.PTCP	V;SG;PST;FIN
medium	medium	medium	medium	N;SG	N;NEUT;SG
device	toestel	device	toestel	N;SG	N;NEUT;SG
device	apparaat	device	apparaat	N;SG	N;NEUT;SG
profit	winst	profit	winst	N;SG	N;MASC+FEM;SG
dream	droom	dream	droom	N;SG	N;MASC+FEM;SG
dream	dream	dream	dream	N;SG	N;MASC+FEM;SG
enter	invoeren	enter	invoeren	V;IMP;FIN	V;NFIN
twelve	twaalf	twelve	twaalf	NUM	NUM
universal	universeel	universal	universeel	ADJ	ADJ
universal	universele	universal	universeel	ADJ	ADJ
typical	typische	typical	typisch	ADJ	ADJ
typical	typisch	typical	typisch	ADJ	ADJ
skills	vaardigheden	skill	vaardigheid	N;PL	N;PL
skills	skills	skill	skill	N;PL	N;PL
bought	kocht	buy	kopen	V;PST;V.PTCP	V;SG;PST;FIN
bought	gekocht	buy	kopen	V;PST;V.PTCP	V;V.PTCP
passenger	passagier	passenger	passagier	N;SG	N;MASC+FEM;SG
passenger	reiziger	passenger	reiziger	N;SG	N;MASC+FEM;SG
funding	financiering	funding	financiering	N;SG	N;MASC+FEM;SG
agriculture	landbouw	agriculture	landbouw	N;SG	N;MASC+FEM;SG
parent	moedermaatschappij	parent	moedermaatschappij	N;SG	N;MASC+FEM;SG
decades	decennia	decade	decennia	N;PL	N;PL
receiving	ontvangende	receive	ontvangen	V;V.MSDR	V;V.PTCP
receiving	ontvangen	receive	ontvangen	V;V.MSDR	V;V.PTCP
signal	signaal	signal	signaal	N;SG	N;NEUT;SG
reform	hervorming	reform	hervorming	N;SG	N;MASC+FEM;SG
organisation	organisatie	organisation	organisatie	N;SG	N;MASC+FEM;SG
prix	prix	prix	prix	N;SG	N;MASC+FEM;SG
column	column	column	column	N;SG	N;MASC+FEM;SG
column	zuil	column	zuil	N;SG	N;MASC+FEM;SG
column	kolom	column	kolom	N;SG	N;MASC+FEM;SG
managers	beheerders	manager	beheerder	N;PL	N;PL
managers	bedrijfsleiders	manager	bedrijfsleider	N;PL	N;PL
managers	managers	manager	manager	N;PL	N;PL
indicate	aangeven	indicate	aangeven	V;IMP;FIN	V;NFIN
ukrainian	oekraïens	ukrainian	oekraïen	ADJ	ADJ
ukrainian	oekraïense	ukrainian	oekraïens	ADJ	ADJ
amateur	amateur	amateur	amateur	N;SG	N;MASC+FEM;SG
flora	flora	flora	flora	N;SG	N;MASC+FEM;SG
gene	gene	gene	gene	N;SG	N;MASC+FEM;SG
gene	gen	gene	gen	N;SG	N;NEUT;SG
soul	ziel	soul	ziel	N;SG	N;MASC+FEM;SG
soul	soul	soul	soul	N;SG	N;MASC+FEM;SG
discussions	discussies	discussion	discussie	N;PL	N;PL
discussions	besprekingen	discussion	bespreking	N;PL	N;PL
entrance	entree	entrance	entree	N;SG	N;MASC+FEM;SG
entrance	ingang	entrance	ingang	N;SG	N;MASC+FEM;SG
path	pad	path	pad	N;SG	N;NEUT;SG
nice	mooi	nice	mooi	ADJ	ADJ
nice	lekker	nice	lekker	ADJ	ADJ
nice	fijn	nice	fijn	ADJ	ADJ
nice	leuk	nice	leuk	ADJ	ADJ
string	tekenreeks	string	tekenreeks	N;SG	N;MASC+FEM;SG
string	string	string	string	N;SG	N;MASC+FEM;SG
string	touwtje	string	touw	N;SG	N;NEUT;SG
influenced	beïnvloedde	influence	beïnvloeden	V;PST;V.PTCP	V;SG;PST;FIN
influenced	beïnvloed	influence	beïnvloeden	V;PST;V.PTCP	V;V.PTCP
developing	ontwikkelen	develop	ontwikkelen	V;V.MSDR	V;NFIN
