年	jaar	年	jaar	N	N;NEUT;SG
血液	bloed	血液	bloed	N	N;NEUT;SG
後方	achterkant	後方	achterkant	N	N;MASC+FEM;SG
後方	achterhoede	後方	achterhoede	N	N;MASC+FEM;SG
後方	achterzijde	後方	achterzijde	N	N;MASC+FEM;SG
主人	master	主人	master	N	N;MASC+FEM;SG
主人	meester	主人	meester	N	N;MASC+FEM;SG
審查	reviews	審查	review	N	N;PL
審查	beoordelingen	審查	beoordeling	N	N;PL
審查	recensies	審查	recensie	N	N;PL
審查	beoordeling	審查	beoordeling	N	N;MASC+FEM;SG
審查	recensie	審查	recensie	N	N;MASC+FEM;SG
審查	herziening	審查	herziening	N	N;MASC+FEM;SG
審查	censuur	審查	censuur	N	N;MASC+FEM;SG
福音	gospel	福音	gospel	N	N;MASC+FEM;SG
福音	evangelie	福音	evangelie	N	N;NEUT;SG
最快	snelste	最快	snel	ADJ	ADJ;RL
最快	snelst	最快	snel	ADJ	ADJ;RL
可能	mogelijkheden	可能	mogelijkheid	N	N;PL
可能	waarschijnlijkheid	可能	waarschijnlijkheid	N	N;MASC+FEM;SG
可能	waarschijnlijkheid	可能	waarschijnlijkheid	N	N;MASC+FEM;SG
可能	mogelijkheid	可能	mogelijkheid	N	N;MASC+FEM;SG
較高	hogere	較高	hoog	ADJ	ADJ;CMPR
較高	hoger	較高	hoog	ADJ	ADJ;CMPR
標示	markeren	標示	markeren	V	V;NFIN
標示	markeren	標示	markeren	V	V;NFIN
經濟	economie	經濟	economie	N	N;MASC+FEM;SG
草地	grasland	草地	grasland	N	N;NEUT;SG
草地	grasveld	草地	grasveld	N	N;NEUT;SG
草地	gazon	草地	gazon	N	N;NEUT;SG
草地	gras	草地	gras	N	N;NEUT;SG
草地	grass	草地	grass	N	N;MASC+FEM;SG
草地	weiland	草地	weiland	N	N;NEUT;SG
草地	weide	草地	weide	N	N;MASC+FEM;SG
草地	meadow	草地	meadow	N	N;MASC+FEM;SG
中午	middag	中午	middag	N	N;MASC+FEM;SG
中午	middaguur	中午	middaguur	N	N;NEUT;SG
談判	onderhandelen	談判	onderhandelen	V	V;NFIN
談判	onderhandelen	談判	onderhandelen	V	V;NFIN
談判	onderhandelen	談判	onderhandelen	V	V;NFIN
談判	onderhandelen	談判	onderhandelen	V	V;NFIN
流通	circulerende	流通	circuleren	V	V;V.PTCP
流通	circuleren	流通	circuleren	V	V;NFIN
費用	vergoeding	費用	vergoeding	N	N;MASC+FEM;SG
費用	honorarium	費用	honorarium	N	N;NEUT;SG
費用	kostprijs	費用	kostprijs	N	N;MASC+FEM;SG
費用	uitgaven	費用	uitgave	N	N;PL
費用	onkosten	費用	onkosten	N	N;PL
費用	vergoedingen	費用	vergoeding	N	N;PL
費用	honoraria	費用	honoraria	N	N;PL
購物	winkel	購物	winkel	N	N;MASC+FEM;SG
最少	minimaal	最少	minimaal	ADJ	ADJ
撤銷	vermijden	撤銷	vermijden	V	V;NFIN
撤銷	intrekken	撤銷	intrekken	V	V;NFIN
撤銷	herroepen	撤銷	herroep	V	V;V.PTCP
外觀	façade	外觀	façade	N	N;MASC+FEM;SG
外觀	gevel	外觀	gevel	N	N;MASC+FEM;SG
外觀	voorgevel	外觀	voorgevel	N	N;MASC+FEM;SG
外觀	verschijning	外觀	verschijning	N	N;MASC+FEM;SG
氣體	gas	氣體	gas	N	N;NEUT;SG
氣體	gassen	氣體	gas	N	N;PL
喇嘛	lama	喇嘛	lama	N	N;MASC+FEM;SG
盟軍	geallieerde	盟軍	geallieerde	N	N;MASC+FEM;SG
盟軍	bondgenoten	盟軍	bondgenoot	N	N;PL
盟軍	geallieerden	盟軍	geallieerde	N	N;PL
灰色	gray	灰色	gray	N	N;MASC+FEM;SG
灰色	grey	灰色	grey	N	N;MASC+FEM;SG
秩序	orde	秩序	orde	N	N;MASC+FEM;SG
秩序	order	秩序	order	N	N;MASC+FEM;SG
秩序	bestelling	秩序	bestelling	N	N;MASC+FEM;SG
侵略	invasie	侵略	invasie	N	N;MASC+FEM;SG
侵略	agressie	侵略	agressie	N	N;MASC+FEM;SG
鋼琴	piano	鋼琴	piano	N	N;MASC+FEM;SG
監獄	gevangenissen	監獄	gevangenis	N	N;PL
監獄	gevangenis	監獄	gevangenis	N	N;MASC+FEM;SG
監獄	gevangenis	監獄	gevangenis	N	N;MASC+FEM;SG
促進	promoten	促進	promoot	V	V;NFIN
促進	bevorderen	促進	bevorderen	V	V;NFIN
區間	interval	區間	interval	N	N;MASC+FEM;SG
邊境	grenzen	邊境	grens	N	N;PL
邊境	grens	邊境	grens	N	N;MASC+FEM;SG
邊境	grens	邊境	grens	N	N;MASC+FEM;SG
獵	hunt	獵	hunt	N	N;MASC+FEM;SG
獵	jacht	獵	jacht	N	N;MASC+FEM;SG
遺產	erfenis	遺產	erfenis	N	N;MASC+FEM;SG
遺產	patrimonium	遺產	patrimonium	N	N;NEUT;SG
遺產	erfgoed	遺產	erfgoed	N	N;NEUT;SG
遺產	nalatenschap	遺產	nalatenschap	N	N;MASC+FEM;SG
遺產	erfenis	遺產	erfenis	N	N;MASC+FEM;SG
遺產	erfenis	遺產	erfenis	N	N;MASC+FEM;SG
遺產	erfdeel	遺產	erfdeel	N	N;NEUT;SG
獨特	unieke	獨特	uniek	ADJ	ADJ
獨特	uniek	獨特	uniek	ADJ	ADJ
眉	wenkbrauwen	眉	wenkbrauw	N	N;PL
眉	wenkbrauw	眉	wenkbrauw	N	N;MASC+FEM;SG
股權	billijkheid	股權	billijkheid	N	N;MASC+FEM;SG
股權	deelnemingen	股權	deelneming	N	N;PL
記憶	ram	記憶	ram	N	N;MASC+FEM;SG
記憶	geheugen	記憶	heugen	N	N;PL
記憶	herinneringen	記憶	herinnering	N	N;PL
記憶	herinnering	記憶	herinnering	N	N;MASC+FEM;SG
記憶	memory	記憶	memory	N	N;MASC+FEM;SG
擴展	uitgebreid	擴展	uitbreiden	V	V;V.PTCP
擴展	verlengd	擴展	verlengen	V	V;V.PTCP
擴展	verlengen	擴展	verlengen	V	V;NFIN
擴展	uitbreiden	擴展	uitbreiden	V	V;NFIN
擴展	uitbreiden	擴展	uitbreiden	V	V;NFIN
下游	stroomafwaarts	下游	stroomafwaarts	N	N;MASC+FEM;SG
更換	vervangen	更換	vervangen	V	V;V.PTCP
更換	vervang	更換	vervang	V	V;SG;PRS;FIN
快樂	joy	快樂	joy	N	N;MASC+FEM;SG
快樂	blijdschap	快樂	blijdschap	N	N;MASC+FEM;SG
快樂	vreugde	快樂	vreugde	N	N;MASC+FEM;SG
快樂	happy	快樂	happy	N	N;MASC+FEM;SG
守護	guardian	守護	guardian	N	N;MASC+FEM;SG
守護	bewaker	守護	bewaker	N	N;MASC+FEM;SG
守護	garde	守護	gard	N	N;MASC+FEM;SG
守護	bewaker	守護	bewaker	N	N;MASC+FEM;SG
頭部	hoofd	頭部	hoofd	N	N;NEUT;SG
頭部	head	頭部	head	N	N;MASC+FEM;SG
玩具	speeltje	玩具	speel	N	N;NEUT;SG
玩具	speelgoed	玩具	speelgoed	N	N;NEUT;SG
玩具	toy	玩具	toy	N	N;MASC+FEM;SG
玩具	speelgoed	玩具	speelgoed	N	N;NEUT;SG
玩具	speeltjes	玩具	speel	N	N;PL
盆地	stroomgebieden	盆地	stroomgebied	N	N;PL
盆地	bekkens	盆地	bekken	N	N;PL
盆地	stroomgebied	盆地	stroomgebied	N	N;NEUT;SG
盆地	bekken	盆地	bekken	N	N;NEUT;SG
粉絲	fans	粉絲	fan	N	N;PL
粉絲	ventilatoren	粉絲	ventilator	N	N;PL
粉絲	ventilator	粉絲	ventilator	N	N;MASC+FEM;SG
粉絲	waaier	粉絲	waaier	N	N;MASC+FEM;SG
粉絲	fan	粉絲	fan	N	N;MASC+FEM;SG
消除	elimineren	消除	elimineren	V	V;NFIN
拖	verslepen	拖	verslijpen	V	V;NFIN
拖	slepen	拖	slepen	V	V;NFIN
拖	slepen	拖	slepen	V	V;NFIN
畫家	schilders	畫家	schilder	N	N;PL
畫家	kunstschilder	畫家	kunstschilder	N	N;MASC+FEM;SG
畫家	schilder	畫家	schilder	N	N;MASC+FEM;SG
消滅	verwoesten	消滅	verwoesten	V	V;NFIN
消滅	vernietigen	消滅	vernietigen	V	V;NFIN
消滅	vernietig	消滅	vernietig	V	V;SG;PRS;FIN
形狀	shape	形狀	shape	N	N;MASC+FEM;SG
形狀	vorm	形狀	vorm	N	N;MASC+FEM;SG
兵器	wapens	兵器	wapen	N	N;PL
兵器	wapen	兵器	wapen	N	N;NEUT;SG
迫害	vervolging	迫害	vervolging	N	N;MASC+FEM;SG
迫害	vervolgingen	迫害	vervolging	N	N;PL
報紙	krant	報紙	krant	N	N;MASC+FEM;SG
報紙	kranten	報紙	krant	N	N;PL
報紙	dagblad	報紙	dagblad	N	N;NEUT;SG
天文	astronomen	天文	astronoom	N	N;PL
天文	astronoom	天文	astronoom	N	N;MASC+FEM;SG
硫	zwavel	硫	zwavel	N	N;MASC+FEM;SG
硫	zwavel	硫	zwavel	N	N;MASC+FEM;SG
腰	taille	腰	taille	N	N;MASC+FEM;SG
腰	middel	腰	middel	N	N;NEUT;SG
強化	verbeterd	強化	verbeteren	V	V;V.PTCP
強化	versterkt	強化	versterken	V	V;V.PTCP
地產	eigenschap	地產	eigenschap	N	N;MASC+FEM;SG
地產	eigendom	地產	eigendom	N	N;NEUT;SG
地產	vastgoed	地產	vastgoed	N	N;NEUT;SG
天堂	hemel	天堂	hemel	N	N;MASC+FEM;SG
天堂	heaven	天堂	heaven	N	N;PL
天堂	paradijs	天堂	paradijs	N	N;NEUT;SG
天堂	paradise	天堂	paradise	N	N;MASC+FEM;SG
關鍵	key	關鍵	key	N	N;MASC+FEM;SG
關鍵	sleutel	關鍵	sleutel	N	N;MASC+FEM;SG
關鍵	toets	關鍵	toets	N	N;MASC+FEM;SG
人力	mankracht	人力	mankracht	N	N;MASC+FEM;SG
框架	frames	框架	frame	N	N;PL
框架	kaders	框架	kader	N	N;PL
框架	raamwerk	框架	raamwerk	N	N;NEUT;SG
框架	framework	框架	framework	N	N;NEUT;SG
框架	kader	框架	kader	N	N;NEUT;SG
框架	frame	框架	frame	N	N;MASC+FEM;SG
框架	kader	框架	kader	N	N;NEUT;SG
框架	kaders	框架	kader	N	N;PL
槍管	barrel	槍管	barrel	N	N;MASC+FEM;SG
槍管	vat	槍管	vat	N	N;NEUT;SG
室內	indoor	室內	indoor	N	N;NEUT;SG
中	medium	中	medium	N	N;NEUT;SG
武士	samurai	武士	samurai	N	N;MASC+FEM;SG
武士	samoerai	武士	samoerai	N	N;MASC+FEM;SG
棚	schuurtje	棚	schuur	N	N;NEUT;SG
棚	schuur	棚	schuur	N	N;MASC+FEM;SG
巨星	superster	巨星	superster	N	N;MASC+FEM;SG
國旗	vlag	國旗	vlag	N	N;MASC+FEM;SG
酯	ester	酯	ester	N	N;MASC+FEM;SG
判決	oordeel	判決	oordeel	N	N;NEUT;SG
判決	arrest	判決	arrest	N	N;NEUT;SG
判決	oordeel	判決	oordeel	N	N;NEUT;SG
判決	uitspraak	判決	uitspraak	N	N;MASC+FEM;SG
判決	oordeel	判決	oordeel	N	N;NEUT;SG
判決	vonnis	判決	vonnis	N	N;NEUT;SG
入境	inkomend	入境	inkomen	V	V;V.PTCP
入境	inkomende	入境	inkomen	V	V;V.PTCP
案例	geval	案例	geval	N	N;NEUT;SG
案例	case	案例	case	N	N;MASC+FEM;SG
案例	zaak	案例	zaak	N	N;MASC+FEM;SG
案例	gevallen	案例	geval	N	N;PL
職員	griffier	職員	griffier	N	N;MASC+FEM;SG
職員	klerk	職員	klerk	N	N;MASC+FEM;SG
原料	ingrediënten	原料	ingrodiënt	N	N;PL
服裝	kleding	服裝	kleding	N	N;MASC+FEM;SG
服裝	kleren	服裝	kleren	N	N;PL
服裝	kledij	服裝	kledij	N	N;MASC+FEM;SG
服裝	kleding	服裝	kleding	N	N;MASC+FEM;SG
服裝	kledij	服裝	kledij	N	N;MASC+FEM;SG
服裝	kostuum	服裝	kostuum	N	N;NEUT;SG
服裝	kostuums	服裝	kostuum	N	N;PL
雷達	radar	雷達	radar	N	N;MASC+FEM;SG
排球	volleybal	排球	volleybal	N	N;NEUT;SG
滅絕	uitgestorven	滅絕	uitsterven	V	V;V.PTCP
溫泉	spa	溫泉	spa	N	N;MASC+FEM;SG
溫泉	kuuroord	溫泉	kuuroord	N	N;NEUT;SG
溫泉	onsen	溫泉	ons	N	N;MASC+FEM;SG
航行	navigatie	航行	navigatie	N	N;MASC+FEM;SG
流亡	verbannen	流亡	verbannen	V	V;V.PTCP
傾向	neiging	傾向	neiging	N	N;MASC+FEM;SG
傾向	tendensen	傾向	tendens	N	N;PL
傾向	neigingen	傾向	neiging	N	N;PL
傾向	neiging	傾向	neiging	N	N;MASC+FEM;SG
傾向	tendens	傾向	tendens	N	N;MASC+FEM;SG
傾向	neiging	傾向	neiging	N	N;MASC+FEM;SG
修復	repareren	修復	repareren	V	V;NFIN
修復	restaureren	修復	restaureren	V	V;NFIN
九十	negentig	九十	negentig	NUM	NUM
癌	carcinoom	癌	carcinoom	N	N;MASC+FEM;SG
癌	kanker	癌	kanker	N	N;MASC+FEM;SG
瓶	fles	瓶	fles	N	N;MASC+FEM;SG
瓶	flesje	瓶	fles	N	N;NEUT;SG
領地	grondgebied	領地	grondgebied	N	N;NEUT;SG
領地	territorium	領地	territorium	N	N;NEUT;SG
飲食	eten	飲食	eten	V	V;NFIN
社會	socialist	社會	socialist	N	N;MASC+FEM;SG
社會	socialisme	社會	socialisme	N	N;NEUT;SG
輻射	radioactiviteit	輻射	radioactiviteit	N	N;MASC+FEM;SG
輻射	straling	輻射	straling	N	N;MASC+FEM;SG
輻射	bestraling	輻射	bestraling	N	N;MASC+FEM;SG
輻射	neerslag	輻射	neerslag	N	N;MASC+FEM;SG
驚	schok	驚	schok	N	N;MASC+FEM;SG
驚	shock	驚	shock	N	N;MASC+FEM;SG
女友	vriendinnetje	女友	vriendin	N	N;NEUT;SG
女友	vriendin	女友	vriendin	N	N;MASC+FEM;SG
奶	melk	奶	melk	N	N;MASC+FEM;SG
季節	seizoensgebonden	季節	seizoensgebond	N	N;PL
季節	seizoen	季節	seizoen	N	N;NEUT;SG
季節	seizoenen	季節	seizoen	N	N;PL
生態	ecologie	生態	ecologie	N	N;MASC+FEM;SG
資深	laatstejaars	資深	laatstejaar	ADJ	ADJ;RL
雞	kip	雞	kip	N	N;MASC+FEM;SG
雞	kippen	雞	kip	N	N;PL
夥伴	partner	夥伴	partner	N	N;MASC+FEM;SG
夥伴	partners	夥伴	partner	N	N;PL
床	bedden	床	bed	N	N;PL
床	bed	床	bed	N	N;NEUT;SG
信任	vertrouwen	信任	vertrouwen	N	N;NEUT;SG
袋	zakje	袋	zak	N	N;NEUT;SG
袋	zak	袋	zak	N	N;MASC+FEM;SG
袋	tas	袋	tas	N	N;MASC+FEM;SG
袋	tassen	袋	tas	N	N;PL
袋	zakjes	袋	zak	N	N;PL
各省	gouvernementen	各省	gouvernement	N	N;PL
各省	provincies	各省	provincie	N	N;PL
踢	schoppen	踢	schoppen	V	V;NFIN
重力	zwaarte	重力	zwaart	N	N;MASC+FEM;SG
重力	zwaartekracht	重力	zwaartekracht	N	N;MASC+FEM;SG
判斷	oordelen	判斷	oordelen	V	V;NFIN
散文	proza	散文	proza	N	N;NEUT;SG
秘書	secretaris	秘書	secretaris	N	N;MASC+FEM;SG
秘書	secretaresse	秘書	secretaresse	N	N;MASC+FEM;SG
棕	brown	棕	brown	N	N;MASC+FEM;SG
藥物	drugs	藥物	drug	N	N;PL
藥物	medicijnen	藥物	medicijn	N	N;PL
藥物	geneeskunde	藥物	geneeskunde	N	N;MASC+FEM;SG
藥物	geneesmiddel	藥物	geneesmiddel	N	N;NEUT;SG
藥物	medicijnen	藥物	medicijn	N	N;PL
藥物	medicatie	藥物	medicatie	N	N;MASC+FEM;SG
藥物	drug	藥物	drug	N	N;MASC+FEM;SG
複製	dupliceren	複製	dupliceren	V	V;NFIN
複製	kopiëren	複製	kopier	V	V;NFIN
複製	kopieer	複製	kopieer	V	V;SG;PRS;FIN
複製	reproduceren	複製	reproduceren	V	V;NFIN
複製	kopiëren	複製	kopier	V	V;NFIN
捐	doneren	捐	doneren	V	V;NFIN
院校	hogescholen	院校	hogeschool	N	N;PL
院校	colleges	院校	college	N	N;PL
交付	leveren	交付	leveren	V	V;NFIN
交付	afleveren	交付	afleveren	V	V;NFIN
交付	bezorgen	交付	bezorgen	V	V;NFIN
傷害	harm	傷害	harm	N	N;MASC+FEM;SG
死者	slachtoffer	死者	slachtoffer	N	N;NEUT;SG
古蹟	monumenten	古蹟	monument	N	N;PL
類別	categorie	類別	categorie	N	N;MASC+FEM;SG
類別	lessen	類別	les	N	N;PL
類別	klassen	類別	klasse	N	N;PL
類別	klasse	類別	klasse	N	N;MASC+FEM;SG
類別	class	類別	class	N	N;MASC+FEM;SG
類別	klas	類別	klas	N	N;MASC+FEM;SG
類別	categorieën	類別	categorieën	N	N;PL
邊緣	rand	邊緣	rand	N	N;MASC+FEM;SG
邊緣	edge	邊緣	edg	N	N;MASC+FEM;SG
邊緣	borderline	邊緣	borderline	N	N;MASC+FEM;SG
邊緣	randen	邊緣	rand	N	N;PL
邊緣	fringe	邊緣	fring	N	N;MASC+FEM;SG
辭職	aftreden	辭職	aftreden	V	V;NFIN
辭職	aftreden	辭職	aftreden	V	V;NFIN
視覺	visioen	視覺	visioen	N	N;NEUT;SG
視覺	visie	視覺	visie	N	N;MASC+FEM;SG
視覺	vision	視覺	vision	N	N;MASC+FEM;SG
視覺	zicht	視覺	zicht	N	N;NEUT;SG
精英	elite	精英	elite	N	N;MASC+FEM;SG
虛構	fictie	虛構	fictie	N	N;MASC+FEM;SG
支線	feeder	支線	feeder	N	N;MASC+FEM;SG
假期	vakanties	假期	vakantie	N	N;PL
假期	feestdag	假期	feestdag	N	N;MASC+FEM;SG
假期	vakantie	假期	vakantie	N	N;MASC+FEM;SG
假期	vakantie	假期	vakantie	N	N;MASC+FEM;SG
假期	feestdagen	假期	feestdag	N	N;PL
假期	vakanties	假期	vakantie	N	N;PL
假期	vakantie	假期	vakantie	N	N;MASC+FEM;SG
軍人	soldaat	軍人	soldaat	N	N;MASC+FEM;SG
言論	retoriek	言論	retoriek	N	N;MASC+FEM;SG
採訪	interviewen	採訪	interviewen	V	V;NFIN
陰	yin	陰	yin	N	N;MASC+FEM;SG
結局	einde	結局	einde	N	N;NEUT;SG
旋轉	roteren	旋轉	roteren	V	V;NFIN
旋轉	draaiend	旋轉	draaien	V	V;V.PTCP
旋轉	draaien	旋轉	draaien	V	V;NFIN
旋轉	roterende	旋轉	roteren	V	V;V.PTCP
旋轉	roteren	旋轉	roteren	V	V;NFIN
旋轉	draaien	旋轉	draaien	V	V;NFIN
旋轉	draaien	旋轉	draaien	V	V;NFIN
平日	weekdagen	平日	weekdag	N	N;PL
美食	keuken	美食	keuken	N	N;MASC+FEM;SG
軍官	officier	軍官	officier	N	N;MASC+FEM;SG
軍官	agent	軍官	agent	N	N;MASC+FEM;SG
物理	natuurkunde	物理	natuurkunde	N	N;MASC+FEM;SG
物理	fysica	物理	fysica	N	N;MASC+FEM;SG
比率	ratio	比率	ratio	N	N;MASC+FEM;SG
比率	verhouding	比率	verhouding	N	N;MASC+FEM;SG
比率	verhoudingen	比率	verhouding	N	N;PL
作業	huiswerk	作業	huiswerk	N	N;NEUT;SG
武力	kracht	武力	kracht	N	N;MASC+FEM;SG
醫師	arts	醫師	arts	N	N;MASC+FEM;SG
醫師	doktor	醫師	doktor	N	N;MASC+FEM;SG
醫師	dokter	醫師	dokter	N	N;MASC+FEM;SG
醫師	doctor	醫師	doctor	N	N;MASC+FEM;SG
器官	organen	器官	orgaan	N	N;PL
器官	orgel	器官	orgel	N	N;NEUT;SG
器官	orgaan	器官	orgaan	N	N;NEUT;SG
山谷	vallei	山谷	vallei	N	N;MASC+FEM;SG
山谷	valleien	山谷	valleien	N	N;PL
創意	creativiteit	創意	creativiteit	N	N;MASC+FEM;SG
協定	overeenkomst	協定	overeenkomst	N	N;MASC+FEM;SG
協定	akkoorden	協定	akkoord	N	N;PL
協定	overeenkomsten	協定	overeenkomsten	N	N;PL
行人	voetgangers	行人	voetganger	N	N;PL
行人	voetganger	行人	voetganger	N	N;MASC+FEM;SG
行人	voetgangers	行人	voetganger	N	N;PL
規格	specificaties	規格	specificatie	N	N;PL
規格	specificatie	規格	specificatie	N	N;MASC+FEM;SG
規格	specificaties	規格	specificatie	N	N;PL
規格	specificaties	規格	specificatie	N	N;PL
規格	spec	規格	spec	N	N;MASC+FEM;SG
終止	beëindigen	終止	beëindigen	V	V;NFIN
雕	eagle	雕	eag	N	N;MASC+FEM;SG
雕	arend	雕	arend	N	N;MASC+FEM;SG
雕	adelaar	雕	adelaar	N	N;MASC+FEM;SG
雕	hawk	雕	hawk	N	N;MASC+FEM;SG
雕	havik	雕	havik	N	N;MASC+FEM;SG
地獄	hel	地獄	hel	N	N;MASC+FEM;SG
地獄	hell	地獄	hell	N	N;MASC+FEM;SG
混淆	verwardheid	混淆	verwardheid	N	N;MASC+FEM;SG
混淆	verwarring	混淆	verwarring	N	N;MASC+FEM;SG
參數	parameter	參數	parameter	N	N;MASC+FEM;SG
參數	argumenten	參數	argument	N	N;PL
火力	vuurkracht	火力	vuurkracht	N	N;MASC+FEM;SG
區劃	zonering	區劃	zonering	N	N;MASC+FEM;SG
磡	hom	磡	hom	N	N;MASC+FEM;SG
共用	gedeeld	共用	delen	V	V;V.PTCP
共用	delen	共用	delen	V	V;NFIN
共用	delen	共用	delen	V	V;NFIN
插曲	episode	插曲	episode	N	N;MASC+FEM;SG
插曲	aflevering	插曲	aflevering	N	N;MASC+FEM;SG
樂器	instrumenten	樂器	instrument	N	N;PL
樂器	instrument	樂器	instrument	N	N;NEUT;SG
清理	opruimen	清理	opruimen	V	V;NFIN
來賓	gast	來賓	gast	N	N;MASC+FEM;SG
來賓	gasten	來賓	gast	N	N;PL
雕塑	beeld	雕塑	beeld	N	N;NEUT;SG
雕塑	beeldhouwwerk	雕塑	beeldhouwwerk	N	N;NEUT;SG
雕塑	sculptuur	雕塑	sculptuur	N	N;MASC+FEM;SG
雕塑	sculpturen	雕塑	sculptuur	N	N;PL
雕塑	beeldje	雕塑	beeldje	N	N;NEUT;SG
雕塑	standbeeld	雕塑	standbeeld	N	N;NEUT;SG
藝術	kunstenaars	藝術	kunstenaar	N	N;PL
藝術	artiesten	藝術	artiest	N	N;PL
藝術	kunstenares	藝術	kunstenares	N	N;MASC+FEM;SG
藝術	artiest	藝術	artiest	N	N;MASC+FEM;SG
藝術	kunstenaar	藝術	kunstenaar	N	N;MASC+FEM;SG
藝術	artist	藝術	artist	N	N;MASC+FEM;SG
命運	noodlot	命運	noodlot	N	N;NEUT;SG
命運	lotsbestemming	命運	lotsbestemming	N	N;MASC+FEM;SG
命運	lot	命運	lot	N	N;NEUT;SG
命運	destiny	命運	destiny	N	N;MASC+FEM;SG
命運	noodlot	命運	noodlot	N	N;NEUT;SG
命運	lot	命運	lot	N	N;NEUT;SG
料理	keuken	料理	keuken	N	N;MASC+FEM;SG
房子	huis	房子	huis	N	N;NEUT;SG
房子	huizen	房子	huis	N	N;PL
崇拜	aanbidden	崇拜	aanbidden	V	V;NFIN
擔心	bezorgd	擔心	bezorgd	V	V;V.PTCP
指南	handleiding	指南	handleiding	N	N;MASC+FEM;SG
指南	gids	指南	gids	N	N;MASC+FEM;SG
指南	gidsen	指南	gidsen	N	N;PL
插入	invoegen	插入	invoegen	V	V;NFIN
插入	inbrengen	插入	inbrengen	V	V;NFIN
明珠	pearl	明珠	pearl	N	N;MASC+FEM;SG
明珠	parel	明珠	parel	N	N;MASC+FEM;SG
螺旋	helix	螺旋	helix	N	N;MASC+FEM;SG
螺旋	spiraal	螺旋	spiraal	N	N;MASC+FEM;SG
珊瑚	koralen	珊瑚	koraal	N	N;PL
珊瑚	koraal	珊瑚	koraal	N	N;NEUT;SG
珊瑚	koralen	珊瑚	koraal	N	N;PL
珊瑚	coral	珊瑚	coral	N	N;MASC+FEM;SG
珊瑚	koraal	珊瑚	koraal	N	N;NEUT;SG
財務	financien	財務	financien	N	N;PL
財務	financiën	財務	financiën	N	N;PL
財務	financiën	財務	financiën	N	N;PL
預測	voorspellen	預測	voorspellen	V	V;NFIN
準則	richtsnoer	準則	richtsnoer	N	N;NEUT;SG
公平	billijkheid	公平	billijkheid	N	N;MASC+FEM;SG
公平	deelnemingen	公平	deelneming	N	N;PL
公平	billijkheid	公平	billijkheid	N	N;MASC+FEM;SG
公平	eerlijkheid	公平	eerlijkheid	N	N;MASC+FEM;SG
電池	accu	電池	accu	N	N;MASC+FEM;SG
電池	batterij	電池	batterij	N	N;MASC+FEM;SG
電池	batterijen	電池	batterij	N	N;PL
失蹤	ontbreken	失蹤	ontbreken	V	V;NFIN
失蹤	vermist	失蹤	vermissen	V	V;V.PTCP
失蹤	missen	失蹤	missen	V	V;NFIN
失蹤	ontbrekend	失蹤	ontbrekend	V	V;V.PTCP
失蹤	ontbrekende	失蹤	ontbreken	V	V;V.PTCP
失蹤	ontbreekt	失蹤	ontbreken	V	V;SG;PRS;FIN
獵人	jagers	獵人	jager	N	N;PL
獵人	hunter	獵人	hunter	N	N;MASC+FEM;SG
獵人	jager	獵人	jager	N	N;MASC+FEM;SG
葡萄	vitis	葡萄	vitis	N	N;MASC+FEM;SG
葡萄	druiven	葡萄	druif	N	N;PL
葡萄	druif	葡萄	druif	N	N;MASC+FEM;SG
葡萄	druiven	葡萄	druif	N	N;PL
老闆	baas	老闆	baas	N	N;MASC+FEM;SG
老闆	boss	老闆	boss	N	N;MASC+FEM;SG
皇室	royalty	皇室	royalty	N	N;NEUT;SG
皇室	royal	皇室	royal	N	N;MASC+FEM;SG
零售	detailhandel	零售	detailhandel	N	N;MASC+FEM;SG
零售	detailhandel	零售	detailhandel	N	N;MASC+FEM;SG
零售	kleinhandel	零售	kleinhandel	N	N;MASC+FEM;SG
富豪	regal	富豪	regal	N	N;MASC+FEM;SG
富豪	miljardair	富豪	miljardair	N	N;MASC+FEM;SG
富豪	volvo	富豪	volvo	N	N;MASC+FEM;SG
靈魂	ziel	靈魂	ziel	N	N;MASC+FEM;SG
靈魂	soul	靈魂	soul	N	N;MASC+FEM;SG
靈魂	zielen	靈魂	zielen	N	N;PL
杏	abrikozen	杏	abrikoos	N	N;PL
杏	abrikoos	杏	abrikoos	N	N;MASC+FEM;SG
殼	granaat	殼	granaat	N	N;MASC+FEM;SG
殼	shell	殼	shell	N	N;MASC+FEM;SG
殼	schelp	殼	schelp	N	N;MASC+FEM;SG
殼	omhulsel	殼	omhulsel	N	N;NEUT;SG
殼	schelpen	殼	schelp	N	N;PL
殼	hulzen	殼	hulzen	N	N;PL
工程	ingenieurs	工程	ingenieur	N	N;PL
工程	technici	工程	technicus	N	N;PL
工程	engineer	工程	engineer	N	N;MASC+FEM;SG
工程	technicus	工程	technicus	N	N;MASC+FEM;SG
工程	ingenieur	工程	ingenieur	N	N;MASC+FEM;SG
祖母	grootmoeder	祖母	grootmoeder	N	N;MASC+FEM;SG
祖母	oma	祖母	oma	N	N;MASC+FEM;SG
春天	voorjaar	春天	voorjaar	N	N;NEUT;SG
春天	lente	春天	lente	N	N;MASC+FEM;SG
用法	gebruik	用法	gebruik	N	N;NEUT;SG
手術	chirurgie	手術	chirurgie	N	N;MASC+FEM;SG
手術	operatie	手術	operatie	N	N;MASC+FEM;SG
手術	bewerking	手術	bewerking	N	N;MASC+FEM;SG
手術	operatie	手術	operatie	N	N;MASC+FEM;SG
