and	oraz	and	oraz	CONJ	CONJ
opposite	przeciwieństwo	opposite	przeciwieństwo	N;SG	N;NOM;NEUT;SG
streets	ulice	street	ulica	N;PL	N;NOM;FEM;PL
extension	rozszerzenia	extension	rozszerzenie	N;SG	N;NOM;NEUT;SG
extension	wydłużenie	extension	wydłużyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
extension	przedłużenie	extension	przedłużyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
extension	rozszerzenie	extension	rozszerzenie	N;SG	N;NOM;NEUT;SG
parliamentary	parlamentarnej	parliamentary	parlamentarny	ADJ	ADJ;GEN;FEM;SG
parliamentary	parlamentarne	parliamentary	parlamentarny	ADJ	ADJ;NOM;NEUT;SG
shooting	strzelanina	shooting	strzelanina	N;SG	N;NOM;FEM;SG
shooting	strzelanie	shooting	strzelać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ready	gotowy	ready	gotowy	ADJ	ADJ;NOM;MASC;SG
ready	gotowe	ready	gotowy	ADJ	ADJ;NOM;NEUT;SG
pick	wybierz	pick	wybrać	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
aware	świadomy	aware	świadomy	ADJ	ADJ;NOM;MASC;SG
aware	świadoma	aware	świadomy	ADJ	ADJ;NOM;FEM;SG
dictionary	słownik	dictionary	słownik	N;SG	N;NOM;MASC;SG
dictionary	słownika	dictionary	słownik	N;SG	N;GEN;MASC;SG
composition	skład	composition	skład	N;SG	N;NOM;MASC;SG
successfully	pomyślnie	successfully	pomyślnie	ADV	ADV
successfully	skutecznie	successfully	skutecznie	ADV	ADV
benefit	korzyść	benefit	korzyść	N;SG	N;NOM;FEM;SG
benefit	świadczenie	benefit	świadczenie	N;SG	N;NOM;NEUT;SG
benefit	korzyści	benefit	korzyść	N;SG	N;ACC;FEM;SG
lands	ziemie	land	ziemia	N;PL	N;NOM;FEM;PL
interests	zainteresowania	interest	zainteresowanie	N;PL	N;NOM;NEUT;PL
interests	zainteresowań	interest	zainteresowanie	N;PL	N;GEN;NEUT;PL
scheduled	zaplanowano	schedule	zaplanować	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
teachers	nauczycielom	teacher	nauczyciel	N;PL	N;DAT;MASC;PL
teachers	nauczyciele	teacher	nauczyciel	N;PL	N;NOM;MASC;PL
teachers	nauczycielki	teacher	nauczycielka	N;PL	N;GEN;FEM;PL
teachers	nauczycieli	teacher	nauczyciel	N;PL	N;ACC;MASC;PL
closing	zamknięcie	closing	zamknięcie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
closing	zamknięcia	closing	zamknąć	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
closing	zamykanie	closing	zamykać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
advertising	reklamy	advertising	reklama	N;SG	N;ACC;FEM;SG
advertising	reklama	advertising	reklama	N;SG	N;NOM;FEM;SG
advertising	reklamę	advertising	reklama	N;SG	N;ACC;FEM;SG
contribution	składka	contribution	składka	N;SG	N;NOM;FEM;SG
contribution	wkład	contribution	wkład	N;SG	N;NOM;MASC;SG
retirement	emeryturę	retirement	emerytura	N;SG	N;ACC;FEM;SG
retirement	emerytura	retirement	emerytura	N;SG	N;NOM;FEM;SG
scientists	naukowcy	scientist	naukowiec	N;PL	N;NOM;MASC;PL
scientists	naukowców	scientist	naukowiec	N;PL	N;ACC;MASC;PL
blocks	bloków	block	blok	N;PL	N;GEN;MASC;PL
blocks	klocki	block	klocka	N;PL	N;NOM;MASC;PL
blocks	bloki	block	blok	N;PL	N;NOM;MASC;PL
participate	uczestniczyć	participate	uczestniczyć	V;IMP;FIN	V;IPFV;NFIN;ACT
anniversary	rocznica	anniversary	rocznica	N;SG	N;NOM;FEM;SG
discovery	odkrycia	discovery	odkrycie	N;SG	N;NOM;NEUT;SG
discovery	odkrywanie	discovery	odkrywać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
discovery	odkrycie	discovery	odkrycie	N;SG	N;NOM;NEUT;SG
explained	wyjaśnił	explain	wyjaśnić	V;IND;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
explained	wyjaśniono	explain	wyjaśnić	V;IND;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
expedition	ekspedycja	expedition	ekspedycja	N;SG	N;NOM;FEM;SG
expedition	wyprawa	expedition	wyprawa	N;SG	N;NOM;FEM;SG
meanwhile	tymczasem	meanwhile	tymczasem	ADV	ADV
creative	kreatywny	creative	kreatywny	ADJ	ADJ;NOM;MASC;SG
maintain	utrzymać	maintain	utrzymać	V;IMP;FIN	V;PFV;NFIN;ACT
maintain	utrzymywać	maintain	utrzymywać	V;IMP;FIN	V;IPFV;NFIN;ACT
detailed	szczegółowy	detailed	szczegółowy	ADJ	ADJ;NOM;MASC;SG
detailed	szczegółowe	detailed	szczegółowy	ADJ	ADJ;NOM;NEUT;SG
facts	fakty	fact	fakt	N;PL	N;NOM;MASC;PL
frame	klatka	frame	klatka	N;SG	N;NOM;FEM;SG
frame	ramka	frame	ramka	N;SG	N;NOM;FEM;SG
finance	finansowania	finance	finansowanie	N;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
finance	finansowanie	finance	finansować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
script	scenariusz	script	scenariusz	N;SG	N;ACC;MASC;SG
script	skrypt	script	skrypt	N;SG	N;NOM;MASC;SG
camera	aparatu	camera	aparat	N;SG	N;GEN;MASC;SG
camera	kamera	camera	kamera	N;SG	N;NOM;FEM;SG
camera	aparat	camera	aparat	N;SG	N;NOM;MASC;SG
returns	zwraca	return	zwracać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
returns	powraca	return	powracać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
assistance	pomocy	assistance	pomoc	N;SG	N;GEN;FEM;SG
experienced	doświadczony	experienced	doświadczyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
experienced	doświadczonych	experienced	doświadczyć	ADJ	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
underground	podziemne	underground	podziemny	ADJ	ADJ;NOM;NEUT;SG
underground	podziemny	underground	podziemny	ADJ	ADJ;NOM;MASC;SG
beautiful	piękne	beautiful	piękny	ADJ	ADJ;NOM;NEUT;SG
beautiful	piękna	beautiful	piękny	ADJ	ADJ;NOM;FEM;SG
beautiful	śliczna	beautiful	śliczny	ADJ	ADJ;NOM;FEM;SG
successor	następcą	successor	następca	N;SG	N;INS;MASC;SG
successor	następcę	successor	następca	N;SG	N;ACC;MASC;SG
successor	następca	successor	następca	N;SG	N;NOM;MASC;SG
successor	następcy	successor	następca	N;SG	N;NOM;MASC;SG
classification	klasyfikacji	classification	klasyfikacja	N;SG	N;GEN;FEM;SG
classification	klasyfikacja	classification	klasyfikacja	N;SG	N;NOM;FEM;SG
tool	narzędzie	tool	narzęd	N;SG	N;NOM;NEUT;SG
mining	wydobycie	mining	wydobyć	N;SG	N;NOM;NEUT;SG
mining	górnictwa	mining	górnictwo	N;SG	N;GEN;NEUT;SG
mining	kopalnia	mining	kopalniać	N;SG	N;NOM;FEM;SG
cabinet	gabinet	cabinet	gabinet	N;SG	N;NOM;MASC;SG
bytes	bajtów	byte	bajt	N;PL	N;GEN;MASC;PL
evening	wieczór	evening	wieczór	N;SG	N;NOM;MASC;SG
evening	wieczorem	evening	wieczór	N;SG	N;INS;MASC;SG
singing	śpiewanie	sing	śpiewać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
singing	śpiew	sing	śpiew	N;SG	N;NOM;MASC;SG
gender	płeć	gender	płeć	N;SG	N;NOM;FEM;SG
mail	poczta	mail	poczta	N;SG	N;NOM;FEM;SG
electoral	wyborczych	electoral	wyborczy	ADJ	ADJ;GEN;MASC;PL
mode	tryb	mode	tryb	N;SG	N;NOM;MASC;SG
heads	głowice	head	głowica	N;PL	N;NOM;FEM;PL
proved	udowodniła	prove	udowodnić	V;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
proved	udowodnił	prove	udowodnić	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
priest	ksiądz	priest	ksiądz	N;SG	N;NOM;MASC;SG
priest	księdza	priest	ksiądz	N;SG	N;ACC;MASC;SG
priest	kapłan	priest	kapłan	N;SG	N;NOM;MASC;SG
funds	fundusze	fund	fundusz	N;PL	N;NOM;MASC;PL
funds	funduszy	fund	fundusz	N;PL	N;GEN;MASC;PL
investment	inwestycji	investment	inwestycja	N;SG	N;GEN;FEM;SG
investment	inwestycja	investment	inwestycja	N;SG	N;NOM;FEM;SG
investment	inwestowanie	investment	inwestować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
romanian	rumuński	romanian	rumuński	ADJ	ADJ;NOM;MASC;SG
session	sesja	session	sesja	N;SG	N;NOM;FEM;SG
session	sesję	session	sesja	N;SG	N;ACC;FEM;SG
session	sesji	session	sesja	N;SG	N;GEN;FEM;SG
capture	schwytać	capture	schwytać	V;IMP;FIN	V;PFV;NFIN;ACT
capture	uchwycić	capture	uchwycić	V;IMP;FIN	V;PFV;NFIN;ACT
aspects	aspektów	aspect	aspekt	N;PL	N;GEN;MASC;PL
aspects	aspekty	aspect	aspekt	N;PL	N;NOM;MASC;PL
reduce	zmniejszyć	reduce	zmniejszyć	V;IMP;FIN	V;PFV;NFIN;ACT
reduce	zredukować	reduce	zredukować	V;IMP;FIN	V;PFV;NFIN;ACT
trophy	trofeum	trophy	trofeum	N;SG	N;ACC;MASC;SG
abuse	nadużywanie	abuse	nadużywać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
walk	chodzić	walk	chodzić	V;IMP;FIN	V;IPFV;NFIN;ACT
normally	normalnie	normally	normalnie	ADV	ADV
snow	śnieg	snow	śnieg	N;SG	N;NOM;MASC;SG
snow	śnieżka	snow	śnieżkać	N;SG	N;NOM;FEM;SG
snow	śniegu	snow	śnieg	N;SG	N;GEN;MASC;SG
shop	sklep	shop	sklep	N;SG	N;NOM;MASC;SG
coal	węgiel	coal	węgiel	N;SG	N;NOM;MASC;SG
inhabitants	mieszkańców	inhabitant	mieszkaniec	N;PL	N;ACC;MASC;PL
inhabitants	mieszkańcy	inhabitant	mieszkaniec	N;PL	N;NOM;MASC;PL
employees	pracowników	employee	pracownik	N;PL	N;ACC;MASC;PL
employees	pracownicy	employee	pracownik	N;PL	N;NOM;MASC;PL
error	błąd	error	błąd	N;SG	N;NOM;MASC;SG
invited	zaproszono	invite	zaprosić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
cable	kabel	cable	kabel	N;SG	N;ACC;MASC;SG
protein	białka	protein	białko	N;SG	N;ACC;NEUT;SG
accident	wypadek	accident	wypadek	N;SG	N;NOM;MASC;SG
accident	awaria	accident	awariać	N;SG	N;NOM;FEM;SG
decade	dekadę	decade	dekada	N;SG	N;ACC;FEM;SG
measure	środek	measure	środek	N;SG	N;NOM;MASC;SG
measure	środka	measure	środek	N;SG	N;GEN;MASC;SG
measure	miara	measure	miara	N;SG	N;NOM;FEM;SG
watched	obejrzał	watch	obejrzeć	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
watched	obserwował	watch	obserwować	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
patients	pacjenci	patient	pacjent	N;PL	N;NOM;MASC;PL
patients	pacjentów	patient	pacjent	N;PL	N;ACC;MASC;PL
downtown	centrum	downtown	centrum	N;SG	N;ACC;NEUT;SG
animated	animowany	animated	animować	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
satellite	satelita	satellite	satelita	N;SG	N;NOM;MASC;SG
combination	kombinacja	combination	kombinacja	N;SG	N;NOM;FEM;SG
courts	sądy	court	sąd	N;PL	N;NOM;MASC;PL
sequence	sekwencja	sequence	sekwencja	N;SG	N;NOM;FEM;SG
sequence	ciąg	sequence	ciąg	N;SG	N;NOM;MASC;SG
sequence	kolejność	sequence	kolejność	N;SG	N;NOM;FEM;SG
hook	haczyk	hook	haczyk	N;SG	N;NOM;MASC;SG
hook	hak	hook	hak	N;SG	N;NOM;MASC;SG
hook	haku	hook	hak	N;SG	N;ACC;MASC;SG
clean	czysty	clean	czysty	ADJ	ADJ;NOM;MASC;SG
clean	czyste	clean	czysty	ADJ	ADJ;NOM;NEUT;SG
owners	właściciele	owner	właściciel	N;PL	N;NOM;MASC;PL
owners	właścicielami	owner	właściciel	N;PL	N;INS;MASC;PL
owners	właścicieli	owner	właściciel	N;PL	N;ACC;MASC;PL
describe	opisz	describe	opić	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
describe	opisać	describe	opisać	V;IMP;FIN	V;PFV;NFIN;ACT
defensive	obronne	defensive	obronny	ADJ	ADJ;NOM;NEUT;SG
photos	fotografie	photo	fotografia	N;PL	N;NOM;FEM;PL
photos	zdjęcia	photo	zdjęcie	N;PL	N;NOM;NEUT;PL
photos	zdjęć	photo	zdjęcie	N;PL	N;GEN;NEUT;PL
ottoman	osmańskiego	ottoman	osmański	ADJ	ADJ;ACC;MASC;SG
routes	trasy	route	trasa	N;PL	N;ACC;FEM;PL
routes	szlaki	route	szlak	N;PL	N;NOM;MASC;PL
routes	tras	route	tras	N;PL	N;GEN;FEM;PL
ministers	ministrowie	minister	minister	N;PL	N;NOM;MASC;PL
ministers	ministrów	minister	minister	N;PL	N;ACC;MASC;PL
wine	wino	wine	wino	N;SG	N;NOM;NEUT;SG
landing	lądowania	landing	lądowanie	N;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
landing	wyładunku	landing	wyładunek	N;SG	N;GEN;MASC;SG
landing	lądowanie	landing	lądować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
revival	ożywienie	revival	ożywienie	N;SG	N;NOM;NEUT;SG
revival	odrodzenie	revival	odrodzić	N;SG	N;NOM;NEUT;SG;POS;V.MSDR
guess	zgadnij	guess	zgadnąć	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
drop	zrzut	drop	zrzut	N;SG	N;NOM;MASC;SG
drop	kropla	drop	kropel	N;SG	N;NOM;FEM;SG
swimming	pływania	swim	pływać	N;SG	N;NOM;NEUT;SG
swimming	pływanie	swim	pływać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
membership	członkostwa	membership	członkostwa	N;SG	N;GEN;NEUT;SG
membership	członkostwo	membership	członkostwo	N;SG	N;NOM;NEUT;SG
membership	przynależność	membership	przynależność	N;SG	N;NOM;FEM;SG
degrees	stopnie	degree	stopień	N;PL	N;NOM;MASC;PL
bachelor	kawaler	bachelor	kawaler	N;SG	N;NOM;MASC;SG
personally	osobiście	personally	osobiście	ADV	ADV
briefly	zwięźle	briefly	zwięźle	ADV	ADV
briefly	krótko	briefly	krótko	ADV	ADV
files	pliki	file	plik	N;PL	N;NOM;MASC;PL
files	plików	file	plik	N;PL	N;GEN;MASC;PL
conduct	postępowanie	conduct	postępowanie	N;SG	N;NOM;NEUT;SG
conduct	prowadzenia	conduct	prowadzić	N;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
extreme	ekstremalne	extreme	ekstremalny	ADJ	ADJ;NOM;NEUT;SG
courses	kursy	course	kurs	N;PL	N;NOM;MASC;PL
homes	domy	home	dom	N;PL	N;NOM;MASC;PL
sought	zgromadziła	seek	zgromadzić	V;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
vision	wzrok	vision	wzrok	N;SG	N;NOM;MASC;SG
vision	wizji	vision	wizja	N;SG	N;GEN;FEM;SG
vision	wizja	vision	wizja	N;SG	N;NOM;FEM;SG
vision	widzenie	vision	widzenie	N;SG	N;NOM;NEUT;SG
demand	popytu	demand	popyt	N;SG	N;GEN;MASC;SG
demand	popyt	demand	popyt	N;SG	N;NOM;MASC;SG
demand	zapotrzebowanie	demand	zapotrzebowanie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
demand	żądanie	demand	żądanie	N;SG	N;NOM;NEUT;SG
vertical	pionowa	vertical	pionowy	ADJ	ADJ;NOM;FEM;SG
vertical	pionowe	vertical	pionowy	ADJ	ADJ;NOM;NEUT;SG
marketing	obrót	marketing	obrót	N;SG	N;NOM;MASC;SG
marketing	marketingu	marketing	marketing	N;SG	N;GEN;MASC;SG
consisted	polegał	consist	polegać	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
appeal	odwołania	appeal	odwołać	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
appeal	apel	appeal	apel	N;SG	N;NOM;MASC;SG
appeal	odwołanie	appeal	odwołać	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
plane	samolotem	plane	samolot	N;SG	N;INS;MASC;SG
plane	samolot	plane	samolot	N;SG	N;NOM;MASC;SG
plane	płaszczyzna	plane	płaszczyzna	N;SG	N;NOM;FEM;SG
quick	szybkie	quick	szybki	ADJ	ADJ;NOM;NEUT;SG
quick	szybki	quick	szybki	ADJ	ADJ;NOM;MASC;SG
solar	słoneczna	solar	słoneczny	ADJ	ADJ;NOM;FEM;SG
solar	słoneczny	solar	słoneczny	ADJ	ADJ;NOM;MASC;SG
solar	słoneczne	solar	słoneczny	ADJ	ADJ;NOM;NEUT;SG
ages	wieki	age	wiek	N;PL	N;ACC;MASC;PL
neighborhood	sąsiedztwo	neighborhood	sąsiedztwo	N;SG	N;NOM;NEUT;SG
neighborhood	osiedle	neighborhood	osiedle	N;SG	N;NOM;NEUT;SG
neighborhood	dzielnica	neighborhood	dzielnica	N;SG	N;NOM;FEM;SG
neighborhood	okolica	neighborhood	okolica	N;SG	N;NOM;FEM;SG
wings	skrzydełka	wing	skrzydełko	N;PL	N;NOM;NEUT;PL
wings	skrzydła	wing	skrzydło	N;PL	N;NOM;NEUT;PL
matters	sprawach	matter	sprawa	N;PL	N;DAT;FEM;PL
constant	stałej	constant	stały	ADJ	ADJ;GEN;FEM;SG
additionally	dodatkowo	additionally	dodatkowo	ADV	ADV
admins	administratorów	admin	administrator	N;PL	N;ACC;MASC;PL
admins	administratorzy	admin	administrator	N;PL	N;NOM;MASC;PL
ceremony	ceremonia	ceremony	ceremonia	N;SG	N;NOM;FEM;SG
ceremony	ceremonii	ceremony	ceremonia	N;SG	N;GEN;FEM;SG
ceremony	uroczystości	ceremony	uroczystość	N;SG	N;GEN;FEM;SG
ceremony	uroczystość	ceremony	uroczystość	N;SG	N;NOM;FEM;SG
composers	kompozytorów	composer	kompozytor	N;PL	N;GEN;MASC;PL
hero	bohatera	hero	bohatera	N;SG	N;ACC;MASC;SG
hero	bohater	hero	bohater	N;SG	N;NOM;MASC;SG
hero	bohaterze	hero	bohatera	N;SG	N;DAT;MASC;SG
designer	projektant	designer	projektant	N;SG	N;NOM;MASC;SG
instruments	instrumenty	instrument	instrument	N;PL	N;NOM;MASC;PL
instruments	przyrządy	instrument	przyrząd	N;PL	N;NOM;MASC;PL
consecutive	kolejnych	consecutive	kolejny	ADJ	ADJ;GEN;MASC;PL
movies	filmy	movie	film	N;PL	N;NOM;MASC;PL
adjacent	sąsiadujących	adjacent	sąsiadować	ADJ	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
pool	basenu	pool	basen	N;SG	N;GEN;MASC;SG
pool	pula	pool	pula	N;SG	N;NOM;FEM;SG
pool	basen	pool	basen	N;SG	N;NOM;MASC;SG
collections	zbiory	collection	zbiór	N;PL	N;NOM;MASC;PL
collections	kolekcje	collection	kolekcja	N;PL	N;NOM;FEM;PL
corporate	firmowe	corporate	firmowy	ADJ	ADJ;NOM;NEUT;SG
driving	jazda	driving	jazdać	N;SG	N;NOM;FEM;SG
phone	telefon	phone	telefon	N;SG	N;NOM;MASC;SG
fly	latać	fly	latać	V;IMP;FIN	V;IPFV;NFIN;ACT
fly	leć	fly	leć	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
window	okienko	window	okienko	N;SG	N;NOM;NEUT;SG
window	okno	window	okno	N;SG	N;NOM;NEUT;SG
document	dokument	document	dokument	N;SG	N;ACC;MASC;SG
document	dokumentu	document	dokument	N;SG	N;GEN;MASC;SG
collaboration	współpracę	collaboration	współpraca	N;SG	N;ACC;FEM;SG
collaboration	współpraca	collaboration	współpracać	N;SG	N;NOM;FEM;SG
leg	nogę	leg	noga	N;SG	N;ACC;FEM;SG
leg	noga	leg	noga	N;SG	N;NOM;FEM;SG
videos	filmy	video	film	N;PL	N;NOM;MASC;PL
videos	filmiki	video	filmika	N;PL	N;NOM;MASC;PL
assume	zakładać	assume	zakładać	V;IMP;FIN	V;IPFV;NFIN;ACT
assume	zakładaj	assume	zakładać	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
dry	suchy	dry	suchy	ADJ	ADJ;NOM;MASC;SG
expand	rozszerzyć	expand	rozszerzyć	V;IMP;FIN	V;PFV;NFIN;ACT
expand	rozwinąć	expand	rozwinąć	V;IMP;FIN	V;PFV;NFIN;ACT
serbian	serbski	serbian	serbski	ADJ	ADJ;NOM;MASC;SG
instrument	instrument	instrument	instrument	N;SG	N;ACC;MASC;SG
instrument	przyrząd	instrument	przyrząd	N;SG	N;NOM;MASC;SG
random	przypadkowe	random	przypadkowy	ADJ	ADJ;NOM;NEUT;SG
random	przypadkowa	random	przypadkowy	ADJ	ADJ;NOM;FEM;SG
random	przypadkowy	random	przypadkowy	ADJ	ADJ;NOM;MASC;SG
random	losowe	random	losowy	ADJ	ADJ;NOM;NEUT;SG
represents	reprezentuje	represent	reprezentować	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
participants	uczestników	participant	uczestnik	N;PL	N;ACC;MASC;PL
participants	uczestnikom	participant	uczestnik	N;PL	N;DAT;MASC;PL
participants	uczestnicy	participant	uczestnik	N;PL	N;NOM;MASC;PL
mentions	wzmianki	mention	wzmianka	N;PL	N;ACC;FEM;PL
drivers	kierowców	driver	kierowca	N;PL	N;ACC;MASC;PL
drivers	sterowniki	driver	sterownik	N;PL	N;ACC;MASC;PL
viewers	widzowie	viewer	widzowo	N;PL	N;NOM;MASC;PL
viewers	widzów	viewer	widz	N;PL	N;ACC;MASC;PL
finnish	fiński	finnish	fiński	ADJ	ADJ;NOM;MASC;SG
differences	różnice	difference	różnica	N;PL	N;NOM;FEM;PL
venue	miejsce	venue	miejsce	N;SG	N;NOM;NEUT;SG
element	pierwiastek	element	pierwiastka	N;SG	N;NOM;MASC;SG
element	element	element	element	N;SG	N;NOM;MASC;SG
regularly	regularnie	regularly	regularnie	ADV	ADV
rejected	odrzucono	reject	odrzucić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
relative	względne	relative	względny	ADJ	ADJ;NOM;NEUT;SG
relative	względna	relative	względny	ADJ	ADJ;NOM;FEM;SG
illegal	nielegalny	illegal	nielegalny	ADJ	ADJ;NOM;MASC;SG
illegal	nielegalna	illegal	nielegalny	ADJ	ADJ;NOM;FEM;SG
illegal	nielegalne	illegal	nielegalny	ADJ	ADJ;NOM;NEUT;SG
roof	dach	roof	dach	N;SG	N;NOM;MASC;SG
roof	dachu	roof	dach	N;SG	N;GEN;MASC;SG
colour	kolor	colour	kolor	N;SG	N;NOM;MASC;SG
colour	barwa	colour	barwa	N;SG	N;NOM;FEM;SG
prisoners	więźniowie	prisoner	więźniowie	N;PL	N;NOM;MASC;PL
prisoners	więźniów	prisoner	więzień	N;PL	N;ACC;MASC;PL
facebook	facebooku	facebook	facebook	N;SG	N;ACC;MASC;SG
facebook	facebooka	facebook	facebook	N;SG	N;ACC;MASC;SG
attend	uczestniczyć	attend	uczestniczyć	V;IMP;FIN	V;IPFV;NFIN;ACT
survived	przeżył	survive	przeżyć	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
survived	przetrwał	survive	przetrwać	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
survived	przetrwały	survive	przetrwać	V;PST;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
insurance	ubezpieczenie	insurance	ubezpieczenie	N;SG	N;NOM;NEUT;SG
insurance	ubezpieczenia	insurance	ubezpieczenie	N;SG	N;NOM;NEUT;SG
expert	specjalista	expert	specjalista	N;SG	N;NOM;MASC;SG
cards	kartki	card	kartka	N;PL	N;NOM;FEM;PL
cards	wizytówki	card	wizytówka	N;PL	N;NOM;FEM;PL
manufacturing	wytwarzanie	manufacturing	wytwarzać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
manufacturing	produkcja	manufacturing	produkcja	N;SG	N;NOM;FEM;SG
testing	badanie	testing	badanie	N;SG	N;NOM;NEUT;SG
testing	testowanie	testing	testować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
testing	próba	testing	próba	N;SG	N;NOM;FEM;SG
coastal	przybrzeżnych	coastal	przybrzeżny	ADJ	ADJ;GEN;MASC;PL
coastal	przybrzeżne	coastal	przybrzeżny	ADJ	ADJ;NOM;NEUT;SG
rescue	ratowanie	rescue	ratować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
rescue	ratunek	rescue	ratunek	N;SG	N;NOM;MASC;SG
territories	terytoriów	territory	terytoria	N;PL	N;GEN;NEUT;PL
territories	terytoria	territory	terytoria	N;PL	N;NOM;NEUT;PL
choose	wybierz	choose	wybrać	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
journey	podróż	journey	podróż	N;SG	N;NOM;FEM;SG
storage	składowanie	storage	składowanie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
storage	magazyn	storage	magazyn	N;SG	N;NOM;MASC;SG
storage	przechowywanie	storage	przechowywać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
storage	magazynowanie	storage	magazynowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
costs	koszty	cost	koszt	N;PL	N;NOM;MASC;PL
soldier	żołnierz	soldier	żołnierz	N;SG	N;NOM;MASC;SG
soldier	żołnierzu	soldier	żołnierz	N;SG	N;DAT;MASC;SG
colony	kolonia	colony	kolonia	N;SG	N;NOM;FEM;SG
colony	kolonię	colony	kolonia	N;SG	N;ACC;FEM;SG
evolution	ewolucja	evolution	ewolucja	N;SG	N;NOM;FEM;SG
evolution	ewolucję	evolution	ewolucja	N;SG	N;ACC;FEM;SG
evolution	ewolucji	evolution	ewolucja	N;SG	N;GEN;FEM;SG
judges	sędziów	judge	sędzia	N;PL	N;ACC;MASC;PL
judges	sędziowie	judge	sędzia	N;PL	N;NOM;MASC;PL
gardens	ogrody	garden	ogród	N;PL	N;NOM;MASC;PL
gardens	ogrodów	garden	ogród	N;PL	N;GEN;MASC;PL
poems	wierszy	poem	wierszyć	N;PL	N;GEN;MASC;PL
poems	wiersze	poem	wiersz	N;PL	N;NOM;MASC;PL
responsibility	odpowiedzialności	responsibility	odpowiedzialność	N;SG	N;GEN;FEM;SG
responsibility	odpowiedzialność	responsibility	odpowiedzialność	N;SG	N;NOM;FEM;SG
sentences	wyroki	sentence	wyrok	N;PL	N;NOM;MASC;PL
sentences	zdania	sentence	zdanie	N;PL	N;NOM;NEUT;PL
engineers	inżynierowie	engineer	inżynier	N;PL	N;NOM;MASC;PL
engineers	inżynierów	engineer	inżynier	N;PL	N;ACC;MASC;PL
visible	widoczna	visible	widoczny	ADJ	ADJ;NOM;FEM;SG
visible	widoczny	visible	widoczny	ADJ	ADJ;NOM;MASC;SG
