the	die	the	die	DET;DEF	DET;DEF
height	hoogte	height	hoogte	N;SG	N;SG
publication	publisering	publication	publisering	N;SG	N;SG
zone	sone	zone	sone	N;SG	N;SG
solo	solo	solo	solo	N;SG	N;SG
pay	betaal	pay	betaal	V;IMP;FIN	V;PRS
flag	vlaggie	flag	vlaggie	N;SG	N;SG
flag	vlag	flag	vlag	N;SG	N;SG
engineer	ingenieur	engineer	ingenieur	N;SG	N;SG
cars	motors	car	motors	N;PL	N;PL
cars	karre	car	karr	N;PL	N;PL
constructed	opgerig	construct	opgerig	V;PST;V.PTCP	V;PST;V.PTCP
secret	geheim	secret	heim	N;SG	N;SG
secret	sekuriteit	secret	sekuriteit	N;SG	N;SG
build	bou	build	bou	V;IMP;FIN	V;PRS
versions	weergawes	version	weergawe	N;PL	N;PL
fixed	reggemaak	fix	regmaak	V;PST;V.PTCP	V;PST;V.PTCP
efforts	pogings	effort	poging	N;PL	N;PL
equipment	toerusting	equipment	toerusting	N;SG	N;SG
prison	tronk	prison	tronk	N;SG	N;SG
prison	gevangenis	prison	gevangenis	N;SG	N;SG
freedom	vryheid	freedom	vryheid	N;SG	N;SG
store	winkel	store	winkel	N;SG	N;SG
quarter	kwart	quarter	kwart	N;SG	N;SG
quarter	kwartaal	quarter	kwartaal	N;SG	N;SG
designated	aangewys	designate	aanwys	V;PST;V.PTCP	V;PST;V.PTCP
independence	onafhanklikheid	independence	onafhanklikheid	N;SG	N;SG
platform	platform	platform	platform	N;SG	N;SG
teacher	onderwyser	teacher	onderwyser	N;SG	N;SG
copy	kopiereg	copy	kopiereg	N;SG	N;SG
effort	poging	effort	poging	N;SG	N;SG
effort	moeite	effort	moeite	N;SG	N;SG
pictures	prente	picture	prent	N;PL	N;PL
pictures	prentjies	picture	prentjies	N;PL	N;PL
models	modelle	model	modelle	N;PL	N;PL
everyone	almal	everyone	almal	PRO;SG	PRO
agreed	ooreengekom	agree	ooreenkom	V;PST;V.PTCP	V;PST;V.PTCP
facilities	fasiliteite	facility	fasiliteit	N;PL	N;PL
facilities	geriewe	facility	rief	N;PL	N;PL
stat	stat	stat	stat	N;SG	N;SG
combined	gekombineer	combine	kombineer	V;PST;V.PTCP	V;PST;V.PTCP
hosted	aangebied	host	aanbied	V;PST;V.PTCP	V;PST;V.PTCP
programming	programmering	programming	programmering	N;SG	N;SG
unique	unieke	unique	uniek	ADJ	ADJ;NOM
defined	gedefinieer	define	definieer	V;PST;V.PTCP	V;PST;V.PTCP
defined	gedefinieër	define	definieër	V;PST;V.PTCP	V;PST;V.PTCP
cell	sel	cell	sel	N;SG	N;SG
concert	konsert	concert	konsert	N;SG	N;SG
biography	biografie	biography	biografie	N;SG	N;SG
loan	lening	loan	lening	N;SG	N;SG
contact	kontak	contact	kontak	V;IMP;FIN	V;PRS
safety	veiligheid	safety	veiligheid	N;SG	N;SG
policies	beleide	policy	beleid	N;PL	N;PL
painting	skildery	painting	skildery	N;SG	N;SG
price	prys	price	prys	N;SG	N;SG
mexican	meksikaanse	mexican	meksikaans	ADJ	ADJ;NOM
leadership	leadership	leadership	leadership	N;SG	N;SG
leadership	leierskap	leadership	leierskap	N;SG	N;SG
serious	ernstige	serious	ernstig	ADJ	ADJ;NOM
cemetery	begraafplaas	cemetery	begraafplaas	N;SG	N;SG
memory	geheue	memory	heue	N;SG	N;SG
memory	herinnering	memory	herinnering	N;SG	N;SG
fields	velde	field	vel	N;PL	N;PL
generation	generasie	generation	generasie	N;SG	N;SG
copies	afskrifte	copy	afskrif	N;PL	N;PL
copies	kopieë	copy	kopie	N;PL	N;PL
representative	verteenwoordiger	representative	verteenwoordiger	N;SG	N;SG
feet	voete	foot	voet	N;PL	N;PL
serves	bedien	serve	bedien	V;IND;SG;3;PRS;FIN	V;PRS
conservative	konserwatiewe	conservative	konserwatief	ADJ	ADJ;NOM
share	deel	share	deel	V;IMP;FIN	V;PRS
disease	siekte	disease	siekte	N;SG	N;SG
sections	seksies	section	seksie	N;PL	N;PL
sections	afdelings	section	afdeling	N;PL	N;PL
sections	artikels	section	artikel	N;PL	N;PL
philosophy	filosofie	philosophy	filosofie	N;SG	N;SG
ways	wyses	way	wyses	N;PL	N;PL
ways	maniere	way	manier	N;PL	N;PL
arrived	gearriveer	arrive	arriveer	V;IND;PST;FIN	V;PST;V.PTCP
arrived	aangekom	arrive	aankom	V;IND;PST;FIN	V;PST;V.PTCP
divided	ingedeel	divide	indeel	V;PST;V.PTCP	V;PST;V.PTCP
labour	arbeid	labour	arbeid	N;SG	N;SG
logo	logo	logo	logo	N;SG	N;SG
yard	jaart	yard	jaart	N;SG	N;SG
cancer	kreef	cancer	kreef	N;SG	N;SG
cancer	kanker	cancer	kanker	N;SG	N;SG
offer	bied	offer	bied	V;IMP;FIN	V;PRS
tax	belasting	tax	belasting	N;SG	N;SG
concerns	bekommernisse	concern	bekommernis	N;PL	N;PL
graduated	gegradueer	graduate	gradueer	V;PST;V.PTCP	V;PST;V.PTCP
graduated	klaargemaak	graduate	klaargemaak	V;PST;V.PTCP	V;PST;V.PTCP
guest	gas	guest	gas	N;SG	N;SG
formation	stigting	formation	stigting	N;SG	N;SG
economy	ekonomie	economy	ekonomie	N;SG	N;SG
mile	myl	mile	myl	N;SG	N;SG
letters	briewe	letter	brief	N;PL	N;PL
letters	letters	letter	letters	N;PL	N;PL
offers	aanbiedinge	offer	aanbieding	N;PL	N;PL
offers	offers	offer	offer	N;PL	N;PL
offers	aanbiedings	offer	aanbieding	N;PL	N;PL
challenge	uitdaging	challenge	uitdaging	N;SG	N;SG
views	aansigte	view	aansigte	N;PL	N;PL
views	kykers	view	kykers	N;PL	N;PL
literary	literêre	literary	literêre	ADJ	ADJ;NOM
sales	verkope	sale	verkoop	N;PL	N;PL
fleet	fleet	fleet	fleet	N;SG	N;SG
supporting	ondersteun	support	ondersteun	V;V.MSDR	V;PRS
theme	tema	theme	tema	N;SG	N;SG
heard	aangehoor	hear	aanhoor	V;PST;V.PTCP	V;PST;V.PTCP
behavior	gedrag	behavior	gedrag	N;SG	N;SG
transferred	oorgedra	transfer	oordra	V;PST;V.PTCP	V;PST;V.PTCP
musician	musikant	musician	musikant	N;SG	N;SG
starring	rolverdeling	starr	rolverdeling	N;SG	N;SG
assigned	toegewys	assign	toewys	V;PST;V.PTCP	V;PST;V.PTCP
assigned	toegeken	assign	toeken	V;PST;V.PTCP	V;PST;V.PTCP
assigned	toegeskryf	assign	toeskryf	V;PST;V.PTCP	V;PST;V.PTCP
seats	sitplekke	seat	sitplek	N;PL	N;PL
display	aansig	display	aansig	N;SG	N;SG
ring	ring	ring	ring	N;SG	N;SG
joint	gesamentlike	joint	gesamentlik	ADJ	ADJ;NOM
deputy	adjunk	deputy	adjunk	N;SG	N;SG
universities	universiteite	university	universiteit	N;PL	N;PL
communist	kommunistiese	communist	kommunisties	ADJ	ADJ;NOM
agent	agent	agent	agent	N;SG	N;SG
animal	dier	animal	dier	N;SG	N;SG
positions	standpunte	position	standpunt	N;PL	N;PL
positions	posisies	position	posisie	N;PL	N;PL
ordered	gesorteer	order	gesorteer	V;PST;V.PTCP	V;PST;V.PTCP
opposition	opposisie	opposition	opposisie	N;SG	N;SG
attempts	pogings	attempt	poging	N;PL	N;PL
understanding	verdraagsaamheid	understanding	verdraagsaamheid	N;SG	N;SG
understanding	begrip	understanding	begrip	N;SG	N;SG
wrestling	stoei	wrestling	stoei	N;SG	N;SG
establish	vestig	establish	vestig	V;IMP;FIN	V;PRS
hands	hande	hand	hand	N;PL	N;PL
participated	deelgeneem	participate	deelneneem	V;PST;V.PTCP	V;PST;V.PTCP
revert	omkeer	revert	omkeer	V;IMP;FIN	V;PRS
poetry	poësie	poetry	poësie	N;SG	N;SG
materials	materiale	material	materiaal	N;PL	N;PL
promotion	promosie	promotion	promosie	N;SG	N;SG
additions	toevoegings	addition	toevoeging	N;PL	N;PL
merged	saamgevoeg	merge	saamvoeg	V;PST;V.PTCP	V;PST;V.PTCP
figures	figure	figure	figure	N;PL	N;PL
eye	oog	eye	oog	N;SG	N;SG
longs	longs	long	lonk	N;PL	N;PL
brigade	brigade	brigade	brigade	N;SG	N;SG
screen	skerm	screen	skerm	N;SG	N;SG
labor	arbeid	labor	arbeid	N;SG	N;SG
definition	animasie	definition	animasie	N;SG	N;SG
indeed	inderdaad	indeed	inderdaad	ADV	ADV
draw	teken	draw	teken	V;IMP;FIN	V;PRS
application	aansoek	application	aansoek	N;SG	N;SG
application	toepassing	application	toepassing	N;SG	N;SG
steel	staal	steel	staal	N;SG	N;SG
presence	teenwoordigheid	presence	teenwoordigheid	N;SG	N;SG
wild	wilde	wild	wild	ADJ	ADJ;NOM
planning	beplanning	planning	beplanning	N;SG	N;SG
adopted	aangeneem	adopt	aanneem	V;PST;V.PTCP	V;PST;V.PTCP
easy	maklike	easy	maklik	ADJ	ADJ;NOM
classes	klasse	class	klas	N;PL	N;PL
theater	teater	theater	teater	N;SG	N;SG
exists	bestaan	exist	bestaan	V;IND;SG;3;PRS;FIN	V;PRS
chance	kans	chance	kans	N;SG	N;SG
prevent	voorkom	prevent	voorkom	V;IMP;FIN	V;PRS
candidates	kandidate	candidate	kandidaat	N;PL	N;PL
object	voorwerp	object	voorwerp	N;SG	N;SG
powers	bevoegdhede	power	bevoegdheid	N;PL	N;PL
birds	voëls	bird	voël	N;PL	N;PL
defeat	oorwin	defeat	oorwin	V;IMP;FIN	V;PRS
identified	geïdentifiseer	identify	identifiseer	V;PST;V.PTCP	V;PST;V.PTCP
regions	streke	region	streke	N;PL	N;PL
sides	kante	side	kant	N;PL	N;PL
guidelines	riglyne	guideline	riglyn	N;PL	N;PL
depth	diepte	depth	diepte	N;SG	N;SG
lyrics	lirieke	lyric	liriek	N;PL	N;PL
declined	geweier	decline	weier	V;PST;V.PTCP	V;PST;V.PTCP
declined	afgewys	decline	afwys	V;PST;V.PTCP	V;PST;V.PTCP
federation	federasie	federation	federasie	N;SG	N;SG
journalist	joernalis	journalist	joernalis	N;SG	N;SG
intelligence	intelligensie	intelligence	intelligensie	N;SG	N;SG
occurred	plaasgevind	occur	plaasvind	V;IND;PST;FIN	V;PST;V.PTCP
connection	konneksie	connection	konneksie	N;SG	N;SG
portuguese	portugese	portuguese	portugees	ADJ	ADJ;NOM
declared	aangekondig	declare	aankondig	V;PST;V.PTCP	V;PST;V.PTCP
constitution	grondwet	constitution	grondwet	N;SG	N;SG
presidential	presidensiële	presidential	presidensieel	ADJ	ADJ;NOM
sons	seuns	son	seun	N;PL	N;PL
dates	datums	date	datum	N;PL	N;PL
receive	ontvang	receive	ontvang	V;IMP;FIN	V;PRS
introduction	bekendstelling	introduction	bekendstelling	N;SG	N;SG
introduction	inleiding	introduction	inleiding	N;SG	N;SG
directors	direkteure	director	direkteur	N;PL	N;PL
vehicle	voertuig	vehicle	voertuig	N;SG	N;SG
vehicles	voertuie	vehicle	voertuig	N;PL	N;PL
israeli	israeliese	israeli	israelies	ADJ	ADJ;NOM
frequently	gereeld	frequently	gereeld	ADV	ADV
drug	dwelm	drug	dwelm	N;SG	N;SG
drug	drug	drug	drug	N;SG	N;SG
visit	besoek	visit	besoek	V;IMP;FIN	V;PRS
portion	gedeelte	portion	gedeelte	N;SG	N;SG
residence	woonplek	residence	woonplek	N;SG	N;SG
moon	maan	moon	maan	N;SG	N;SG
minute	minuut	minute	minuut	N;SG	N;SG
athletics	atletiek	athletics	atletiek	N;PL	N;PL
electronic	elektroniese	electronic	elektronies	ADJ	ADJ;NOM
step	stap	step	stap	N;SG	N;SG
weapons	wapens	weapon	wapens	N;PL	N;PL
armed	gewapende	armed	gewaap	ADJ	ADJ;NOM
weekly	weeklikse	weekly	weekliks	ADJ	ADJ;NOM
dynasty	dinastie	dynasty	dinastie	N;SG	N;SG
granted	toegestaan	grant	toestaan	V;PST;V.PTCP	V;PST;V.PTCP
alliance	alliansie	alliance	alliansie	N;SG	N;SG
methods	metodes	method	metode	N;PL	N;PL
tropical	tropiese	tropical	tropies	ADJ	ADJ;NOM
refers	verwys	refer	verwys	V;IND;SG;3;PRS;FIN	V;PRS
fans	bewonderaars	fan	bewonderaar	N;PL	N;PL
fans	aanhangers	fan	aanhanger	N;PL	N;PL
purposes	doeleindes	purpose	doeleinde	N;PL	N;PL
credit	krediet	credit	krediet	N;SG	N;SG
boat	boot	boat	boot	N;SG	N;SG
boxes	bokse	box	boks	N;PL	N;PL
boxes	kassies	box	kassie	N;PL	N;PL
ethnic	etniese	ethnic	etnies	ADJ	ADJ;NOM
arena	arena	arena	arena	N;SG	N;SG
roads	paaie	road	paaie	N;PL	N;PL
dog	hond	dog	hond	N;SG	N;SG
kill	doodmaak	kill	doodmaak	V;IMP;FIN	V;PRS
negative	negatiewe	negative	negatief	ADJ	ADJ;NOM
colonel	kolonel	colonel	kolonel	N;SG	N;SG
brand	handelsmerk	brand	handelsmerk	N;SG	N;SG
supply	verskaffing	supply	verskaffing	N;SG	N;SG
supply	voorraad	supply	voorraad	N;SG	N;SG
tradition	tradisie	tradition	tradisie	N;SG	N;SG
household	huishouding	household	huishouding	N;SG	N;SG
spirit	gees	spirit	gees	N;SG	N;SG
task	taak	task	taak	N;SG	N;SG
incident	voorval	incident	voorval	N;SG	N;SG
incident	insident	incident	insident	N;SG	N;SG
develop	ontwikkel	develop	ontwikkel	V;IMP;FIN	V;PRS
discuss	bespreek	discuss	bespreek	V;IMP;FIN	V;PRS
stats	statistieke	stat	statistiek	N;PL	N;PL
climate	klimaat	climate	klimaat	N;SG	N;SG
topics	onderwerpe	topic	onderwerp	N;PL	N;PL
purchased	gekoop	purchase	koop	V;PST;V.PTCP	V;PST;V.PTCP
purchased	aangekoop	purchase	aankoop	V;PST;V.PTCP	V;PST;V.PTCP
chapter	hoofstuk	chapter	hoofstuk	N;SG	N;SG
license	lisensie	license	lisensie	N;SG	N;SG
citizens	landsburgers	citizen	landsburger	N;PL	N;PL
citizens	burgers	citizen	burger	N;PL	N;PL
guns	vuurwapens	gun	vuurwapens	N;PL	N;PL
trees	bome	tree	bome	N;PL	N;PL
gone	gegaan	go	gegaan	V;PST;V.PTCP	V;PST;V.PTCP
visual	visuele	visual	visueel	ADJ	ADJ;NOM
officials	amptenare	official	amptenaar	N;PL	N;PL
glass	glas	glass	glas	N;SG	N;SG
posted	geplaas	post	plaas	V;PST;V.PTCP	V;PST;V.PTCP
estimated	geskatte	estimate	geskat	V;PST;V.PTCP	V;PST;V.PTCP
brazilian	brasiliaanse	brazilian	brasiliaans	ADJ	ADJ;NOM
sexual	seksuele	sexual	seksueel	ADJ	ADJ;NOM
defence	verdediging	defence	verdediging	N;SG	N;SG
respectively	onderskeidelik	respectively	onderskeidelik	ADV	ADV
fast	vinnige	fast	vinnig	ADJ	ADJ;NOM
speech	spraak	speech	spraak	N;SG	N;SG
speech	toespraak	speech	toespraak	N;SG	N;SG
solution	oplossing	solution	oplossing	N;SG	N;SG
fashion	mode	fashion	mode	N;SG	N;SG
foot	voet	foot	voet	N;SG	N;SG
performances	optredes	performance	optrede	N;PL	N;PL
identity	identiteit	identity	identiteit	N;SG	N;SG
singers	sangers	singer	sangers	N;PL	N;PL
singers	singers	singer	singer	N;PL	N;PL
inspired	geïnspireer	inspire	inspireer	V;PST;V.PTCP	V;PST;V.PTCP
cells	selle	cell	selle	N;PL	N;PL
permanent	permanente	permanent	permanent	ADJ	ADJ;NOM
phase	fase	phase	fase	N;SG	N;SG
audience	gehoor	audience	gehoor	N;SG	N;SG
motion	mosie	motion	mosie	N;SG	N;SG
motion	beweging	motion	beweging	N;SG	N;SG
trains	treine	train	treine	N;PL	N;PL
sets	stelle	set	stelle	N;PL	N;PL
ranked	gerangskik	rank	rangskik	V;PST;V.PTCP	V;PST;V.PTCP
eyes	oë	eye	oog	N;PL	N;PL
criminal	kriminele	criminal	krimineel	ADJ	ADJ;NOM
finish	einde	finish	einde	N;SG	N;SG
communication	kommunikasie	communication	kommunikasie	N;SG	N;SG
accept	aanvaar	accept	aanvaar	V;IMP;FIN	V;PRS
warning	waarskuwing	warning	waarskuwing	N;SG	N;SG
objects	voorwerpe	object	voorwerpe	N;PL	N;PL
objects	objekte	object	objekte	N;PL	N;PL
contest	wedstryd	contest	wedstryd	N;SG	N;SG
contest	kompetisie	contest	kompetisie	N;SG	N;SG
finds	bevind	find	bevind	V;IND;SG;3;PRS;FIN	V;PRS
coaches	afrigters	coach	afrigter	N;PL	N;PL
beat	klop	beat	klop	V;IMP;FIN	V;PRS
extremely	uiters	extremely	uiters	ADV	ADV
extremely	vreeslik	extremely	vreeslik	ADV	ADV
worldwide	wêreldwyd	worldwide	wêreldwyd	ADV	ADV
showed	gewys	show	wys	V;IND;PST;FIN	V;PST;V.PTCP
cathedral	katedraal	cathedral	katedraal	N;SG	N;SG
reality	realiteit	reality	realiteit	N;SG	N;SG
reality	werklikheid	reality	werklikheid	N;SG	N;SG
broadcasting	uitsaai	broadcasting	uitsaai	N;SG	N;SG
vandalism	vandalisme	vandalism	vandalisme	N;SG	N;SG
enemy	vyand	enemy	vyand	N;SG	N;SG
respect	respek	respect	respek	N;SG	N;SG
colleges	kolleges	college	kollege	N;PL	N;PL
explain	verduidelik	explain	verduidelik	V;IMP;FIN	V;PRS
authorities	owerhede	authority	owerheid	N;PL	N;PL
killing	killing	killing	killing	N;SG	N;SG
universe	heelal	universe	heelal	N;SG	N;SG
passes	herhalings	pass	herhaling	N;PL	N;PL
pieces	stukke	piece	stuk	N;PL	N;PL
competitions	kompetisies	competition	kompetisie	N;PL	N;PL
driver	aandrywer	driver	aandrywer	N;SG	N;SG
baby	baba	baby	baba	N;SG	N;SG
billboard	billboard	billboard	billboard	N;SG	N;SG
danish	deense	danish	deens	ADJ	ADJ;NOM
powerful	kragtige	powerful	kragtig	ADJ	ADJ;NOM
registered	geregistreer	register	registreer	V;PST;V.PTCP	V;PST;V.PTCP
sounds	klink	sound	klink	V;IND;SG;3;PRS;FIN	V;PRS
approved	goedgekeur	approve	goedkeur	V;PST;V.PTCP	V;PST;V.PTCP
provincial	provinsiale	provincial	provinsiaal	ADJ	ADJ;NOM
fund	fonds	fund	fonds	N;SG	N;SG
fund	vonds	fund	vonds	N;SG	N;SG
athletes	atlete	athlete	atleet	N;PL	N;PL
bird	voël	bird	voël	N;SG	N;SG
bands	orkeste	band	orkes	N;PL	N;PL
cat	kat	cat	kat	N;SG	N;SG
valid	geldige	valid	geldig	ADJ	ADJ;NOM
chemical	chemiese	chemical	chemies	ADJ	ADJ;NOM
items	items	item	item	N;PL	N;PL
lane	lane	lane	lane	N;SG	N;SG
counties	provinsies	county	provinsie	N;PL	N;PL
speak	praat	speak	praat	V;IMP;FIN	V;PRS
finding	bevinding	finding	bevinding	N;SG	N;SG
domestic	huishoudelike	domestic	huishoudelik	ADJ	ADJ;NOM
perform	presteer	perform	presteer	V;IMP;FIN	V;PRS
partner	maat	partner	maat	N;SG	N;SG
partner	lewensmaat	partner	lewensmaat	N;SG	N;SG
partner	metgesel	partner	metgesel	N;SG	N;SG
aviation	lugvaart	aviation	lugvaart	N;SG	N;SG
failure	mislukking	failure	mislukking	N;SG	N;SG
knight	ridder	knight	ridder	N;SG	N;SG
knight	ruiter	knight	ruiter	N;SG	N;SG
recordings	opnames	recording	opname	N;PL	N;PL
calls	oproepe	call	oproep	N;PL	N;PL
selection	seleksie	selection	seleksie	N;SG	N;SG
islamic	islamitiese	islamic	islamities	ADJ	ADJ;NOM
fuel	brandstof	fuel	brandstof	N;SG	N;SG
artillery	artillery	artillery	artillery	N;SG	N;SG
locations	liggings	location	ligging	N;PL	N;PL
inclusion	insluiting	inclusion	insluiting	N;SG	N;SG
recognition	herkenning	recognition	herkenning	N;SG	N;SG
condition	voorwaarde	condition	voorwaarde	N;SG	N;SG
condition	kondisie	condition	kondisie	N;SG	N;SG
newspapers	koerante	newspaper	koerant	N;PL	N;PL
instance	instansie	instance	instansie	N;SG	N;SG
instance	voorbeeld	instance	voorbeeld	N;SG	N;SG
represent	verteenwoordig	represent	verteenwoordig	V;IMP;FIN	V;PRS
watch	waarneem	watch	waarneem	V;IMP;FIN	V;PRS
watch	kyk	watch	kyk	V;IMP;FIN	V;PRS
watch	dophou	watch	dophou	V;IMP;FIN	V;PRS
launch	lanseer	launch	lanseer	V;IMP;FIN	V;PRS
shared	gedeel	share	deel	V;PST;V.PTCP	V;PST;V.PTCP
parks	parke	park	park	N;PL	N;PL
applications	toepassings	application	toepassing	N;PL	N;PL
applications	programme	application	program	N;PL	N;PL
applications	aanwendings	application	aanwending	N;PL	N;PL
applications	aansoeke	application	aansoek	N;PL	N;PL
requirements	vereistes	requirement	vereiste	N;PL	N;PL
sector	sektor	sector	sektor	N;SG	N;SG
escape	ontsnap	escape	ontsnap	V;IMP;FIN	V;PRS
orders	orders	order	order	N;PL	N;PL
orders	bestellings	order	bestelling	N;PL	N;PL
subjects	vakke	subject	vak	N;PL	N;PL
temperature	temperatuur	temperature	temperatuur	N;SG	N;SG
remember	herroep	remember	herroep	V;IMP;FIN	V;PRS
remember	onthou	remember	onthou	V;IMP;FIN	V;PRS
promote	bevorder	promote	bevorder	V;IMP;FIN	V;PRS
promote	promoveer	promote	promoveer	V;IMP;FIN	V;PRS
promote	bemark	promote	bemark	V;IMP;FIN	V;PRS
values	waardes	value	waarde	N;PL	N;PL
spot	vlek	spot	vlek	N;SG	N;SG
progress	vordering	progress	vordering	N;SG	N;SG
learn	leer	learn	leer	V;IMP;FIN	V;PRS
truth	waarheid	truth	waarheid	N;SG	N;SG
administrator	administrateur	administrator	administrateur	N;SG	N;SG
factory	fabriek	factory	fabriek	N;SG	N;SG
fought	gestry	fight	stry	V;PST;V.PTCP	V;PST;V.PTCP
magazines	tydskrifte	magazine	tydskrif	N;PL	N;PL
peer	gelyke	peer	gelyk	N;SG	N;SG
attacked	aangeval	attack	aanval	V;PST;V.PTCP	V;PST;V.PTCP
generate	genereer	generate	genereer	V;IMP;FIN	V;PRS
option	opsie	option	opsie	N;SG	N;SG
carry	dra	carry	dra	V;IMP;FIN	V;PRS
establishment	vestiging	establishment	vestiging	N;SG	N;SG
causes	sake	cause	saak	N;PL	N;PL
causes	oorsake	cause	oorsaak	N;PL	N;PL
budget	begroting	budget	begroting	N;SG	N;SG
legend	legende	legend	leg	N;SG	N;SG
strike	staking	strike	staking	N;SG	N;SG
injury	skade	injury	skade	N;SG	N;SG
injury	besering	injury	besering	N;SG	N;SG
converted	omgeskakel	converted	omskakel	V;PST;V.PTCP	V;PST;V.PTCP
violence	geweld	violence	geweld	N;SG	N;SG
significantly	grootliks	significantly	grootliks	ADV	ADV
welsh	walliese	welsh	wallies	ADJ	ADJ;NOM
detail	besonderheid	detail	besonderheid	N;SG	N;SG
chapel	kapel	chapel	kapel	N;SG	N;SG
banks	banke	bank	banke	N;PL	N;PL
kings	konings	king	koning	N;PL	N;PL
kings	kings	king	king	N;PL	N;PL
factor	faktor	factor	faktor	N;SG	N;SG
rename	hernoem	rename	hernoem	V;IMP;FIN	V;PRS
rename	herbenoem	rename	herbenoem	V;IMP;FIN	V;PRS
replace	oordra	replace	oordra	V;IMP;FIN	V;PRS
museums	museums	museum	museum	N;PL	N;PL
resistance	weerstand	resistance	weerstand	N;SG	N;SG
engines	enjins	engines	enjins	N;PL	N;PL
contributed	bygedra	contribute	bydra	V;PST;V.PTCP	V;PST;V.PTCP
medium	medium	medium	medium	N;SG	N;SG
dream	droom	dream	droom	N;SG	N;SG
twelve	twaalf	twelve	twaalf	NUM	NUM
seeing	sien	see	sien	V;V.MSDR	V;PRS
skills	vaardighede	skill	vaardigheid	N;PL	N;PL
passenger	passasier	passenger	passasier	N;SG	N;SG
funding	befondsing	funding	befondsing	N;SG	N;SG
agriculture	landbou	agriculture	landbou	N;SG	N;SG
decades	dekades	decade	dekade	N;PL	N;PL
receiving	ontvang	receive	ontvang	V;V.MSDR	V;PRS
managers	bestuurders	manager	bestuurder	N;PL	N;PL
qualified	gekwalifiseerde	qualified	kwalifiseer	ADJ	ADJ;NOM
indicate	dui	indicate	dui	V;IMP;FIN	V;PRS
gay	homoseksuele	gay	homoseksueel	ADJ	ADJ;NOM
amateur	amateur	amateur	amateur	N;SG	N;SG
obviously	duidelik	obviously	duidelik	ADV	ADV
gene	gene	gene	gene	N;SG	N;SG
soul	siel	soul	siel	N;SG	N;SG
discussions	besprekings	discussion	bespreking	N;PL	N;PL
entrance	ingang	entrance	ingang	N;SG	N;SG
nice	oulike	nice	oulike	ADJ	ADJ;NOM
sample	voorbeeld	sample	voorbeeld	N;SG	N;SG
increasing	vermeerder	increase	vermeerder	V;V.MSDR	V;PRS
mathematics	wiskunde	mathematics	wiskunde	N;SG	N;SG
canal	kanaal	canal	kanaal	N;SG	N;SG
brain	brein	brain	brein	N;SG	N;SG
blog	webjoernaal	blog	webjoernaal	N;SG	N;SG
authors	skrywers	author	skrywer	N;PL	N;PL
authors	outeurs	author	outeur	N;PL	N;PL
paintings	skilderye	painting	skilderye	N;PL	N;PL
recipients	ontvangers	recipient	ontvanger	N;PL	N;PL
expressed	getoon	express	toon	V;PST;V.PTCP	V;PST;V.PTCP
conservation	bewaring	conservation	bewaring	N;SG	N;SG
arguments	argumente	argument	argument	N;PL	N;PL
chain	ketting	chain	ketting	N;SG	N;SG
focused	gefokusde	focus	fokus	V;PST;V.PTCP	V;PST;V.PTCP
readers	lesers	reader	leser	N;PL	N;PL
offices	kantore	office	kantoor	N;PL	N;PL
wave	golf	wave	golf	N;SG	N;SG
circle	sirkel	circle	sirkel	N;SG	N;SG
invasion	inval	invasion	inval	N;SG	N;SG
orthodox	ortodokse	orthodox	ortodokse	ADJ	ADJ;NOM
voted	gestem	vote	stem	V;IND;PST;FIN	V;PST;V.PTCP
formal	formele	formal	formeel	ADJ	ADJ;NOM
seconds	sekondes	seconds	sekonde	N;PL	N;PL
cycle	siklus	cycle	siklus	N;SG	N;SG
walls	mure	wall	muur	N;PL	N;PL
sell	verkoop	sell	verkoop	V;IMP;FIN	V;PRS
drawn	getrek	draw	trek	V;PST;V.PTCP	V;PST;V.PTCP
drawn	geteken	draw	teken	V;PST;V.PTCP	V;PST;V.PTCP
tank	tenk	tank	tenk	N;SG	N;SG
advice	raad	advice	raad	N;SG	N;SG
generated	gegenereer	generate	genenereer	V;PST;V.PTCP	V;PST;V.PTCP
causing	veroorsaak	cause	veroorsaak	V;V.MSDR	V;PRS
lawyer	prokureur	lawyer	prokureur	N;SG	N;SG
lawyer	dronkbestuur	lawyer	dronkbestuur	N;SG	N;SG
index	indeks	index	indeks	N;SG	N;SG
runner	naaswenner	runner	naaswenner	N;SG	N;SG
crisis	krisis	crisis	krisis	N;SG	N;SG
reaction	reaksie	reaction	reaksie	N;SG	N;SG
pattern	patroon	pattern	patroon	N;SG	N;SG
archives	argiewe	archive	argief	N;PL	N;PL
reviewed	geresenseer	review	resenseer	V;PST;V.PTCP	V;PST;V.PTCP
duty	plig	duty	plig	N;SG	N;SG
chair	voorsitter	chair	voorsitter	N;SG	N;SG
chair	stoel	chair	stoel	N;SG	N;SG
scenes	skerms	scene	skerm	N;PL	N;PL
scenes	tonele	scene	tonele	N;PL	N;PL
streets	strate	street	straat	N;PL	N;PL
parliamentary	parlementêre	parliamentary	parlementêre	ADJ	ADJ;NOM
dictionary	woordeboek	dictionary	woordeboek	N;SG	N;SG
composition	samestelling	composition	samestelling	N;SG	N;SG
composition	komposisie	composition	komposisie	N;SG	N;SG
salt	sout	salt	sout	N;SG	N;SG
salt	tafelsout	salt	tafelsout	N;SG	N;SG
benefit	voordeel	benefit	voordeel	N;SG	N;SG
lands	lands	land	lands	N;PL	N;PL
interests	belangstellings	interest	belangstelling	N;PL	N;PL
