से	no	से	no		
वक्त	laiks	वक्त	laiks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निगरानी	pārraudzība	निगरानी	pārraudzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निगरानी	monitorings	निगरानी	monitorings	N;NOM;FEM;SG;3	N;NOM;MASC;SG
निगरानी	uzraudzība	निगरानी	uzraudzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निगरानी	novērošana	निगरानी	novērošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निगरानी	novērošana	निगरानी	novērošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निगरानी	uzraudzība	निगरानी	uzraudzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
व्यवस्थित	sistemātiska	व्यवस्थित	sistemātiska	ADJ	ADJ;NOM;FEM;SG
व्यवस्थित	sistemātiskas	व्यवस्थित	sistemātiska	ADJ	ADJ;NOM;FEM;PL
व्यवस्थित	sistemātiskā	व्यवस्थित	sistemātiska	ADJ	ADJ;NOM;FEM;SG
स्लैम	slam	स्लैम	sla	N;NOM;MASC;SG;3	N
डॉक्टर	ārsts	डॉक्टर	ārsts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ऑक्सीजन	skābeklis	ऑक्सीजन	skābeklis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गणितीय	matemātiķis	गणितीय	matemātiķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रदूषण	piesārņojums	प्रदूषण	piesārņojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सबूत	pierādījums	सबूत	pierādījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सबूत	pierādījums	सबूत	pierādījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सटीक	precīza	सटीक	precīza	ADJ	ADJ;NOM;FEM;SG
सटीक	precīzs	सटीक	precīzs	ADJ	ADJ;NOM;MASC;SG
सटीक	precīzs	सटीक	precīzs	ADJ	ADJ;NOM;MASC;SG
सटीक	precīzas	सटीक	precīza	ADJ	ADJ;NOM;FEM;PL
सटीक	precīza	सटीक	precīza	ADJ	ADJ;NOM;FEM;SG
समाप्ति	pabeigšana	समाप्ति	pabeigšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
समाप्ति	pabeigšanas	समाप्ति	pabeigšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
समाप्ति	finišs	समाप्ति	finišs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
समाप्ति	izbeigšanās	समाप्ति	izbeigšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उल्लंघन	pārkāpums	उल्लंघन	pārkāpums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पूंजी	kapitāls	पूंजी	kapitāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पूंजी	galvaspilsēta	पूंजी	galvaspilsēta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
एजेंसी	aģentūra	एजेंसी	aģentūra	N;NOM;FEM;SG;3	N;NOM;FEM;SG
इतिहासकार	vēsturnieks	इतिहासकार	vēsturnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चार्ट	diagramma	चार्ट	diagramma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गरीब	nabaga	गरीब	nabags	N;NOM;MASC;SG;3	N;NOM;MASC;SG
औषधि	medicīna	औषधि	medicīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
औषधि	auga	औषधि	auga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मांस	gaļas	माँस	gaļa	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मांस	gaļa	माँस	gaļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिस्पर्धा	konkurence	प्रतिस्पर्धा	konkurence	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बिन्दु	punkts	बिंदु	punkts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कप्तान	kapteinis	कप्तान	kapteinis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खूबसूरत	skaists	खूबसूरत	skaists	ADJ	ADJ;NOM;MASC;SG
खूबसूरत	skaistas	खूबसूरत	skaista	ADJ	ADJ;NOM;FEM;PL
खूबसूरत	skaista	खूबसूरत	skaista	ADJ	ADJ;NOM;FEM;SG
खूबसूरत	skaistā	खूबसूरत	skaista	ADJ	ADJ;NOM;FEM;SG
संयंत्र	rūpnīca	संयंत्र	rūpnīca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संयंत्र	iekārta	संयंत्र	iekārta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संयंत्र	augs	संयंत्र	augt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अणु	atoms	अणु	atoms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भीड़	pūļa	भीड़	pūļa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भीड़	pūlis	भीड़	pūlis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रिकॉर्डिंग	ierakstīšana	रिकॉर्डिंग	ierakstīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रिकॉर्डिंग	reģistrēšana	रिकॉर्डिंग	reģistrēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रिकॉर्डिंग	ierakstīšanas	रिकॉर्डिंग	ierakstīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रिकॉर्डिंग	reģistrācija	रिकॉर्डिंग	reģistrācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्रेडिट	kredīts	क्रेडिट	kredīts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अवशेष	atlikumi	अवशेष	atlikums	N;NOM;MASC;PL;3	N;NOM;MASC;PL
चेतावनी	brīdinājums	चेतावनी	brīdinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
चेतावनी	brīdinājums	चेतावनी	brīdinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परामर्श	apspriešana	परामर्श	apspriešana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गोत्र	klans	गोत्र	klans	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दंड	sods	दंड	sods	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दंड	sods	दंड	sods	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिबंध	ierobežošana	प्रतिबंध	ierobežošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिबंध	ierobežojums	प्रतिबंध	ierobežojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पढ़ाई	pētījums	पढ़ाई	pētījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पढ़ाई	izpēte	पढ़ाई	izpēte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहाड़	kalns	पहाड	kalns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गिटार	ģitāra	गिटार	ģitāra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सहमति	piekrišana	सहमति	piekrišana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
लोहे	dzelzs	लोहा	dzelt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नागरिकों	pilsoņus	नागरिक	pilsonis	N;ACC;MASC;PL;3	N;ACC;MASC;PL
नागरिकों	civiliedzīvotājus	नागरिक	civiliedzīvotājs	N;ACC;MASC;PL;3	N;ACC;MASC;PL
एसिड	skābi	एसिड	skābe	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एसिड	skābe	एसिड	skābe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बुक	grāmata	बुक	grāmata	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बुक	grāmatiņa	बुक	grāmatiņš	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तीव्रता	intensitāte	तीव्रता	intensitāte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अंगों	orgānus	अंग	orgāns	N;ACC;MASC;PL;3	N;ACC;MASC;PL
हथियार	ieroči	हथियार	ieroce	N;NOM;MASC;PL;3	N;NOM;MASC;PL
कागज	papīrs	कागज	papīrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चुनौती	izaicinājums	चुनौती	izaicinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पाता	atrod	पा	atrast	V;IPFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
कमजोर	vājš	कमजोर	vājš	ADJ	ADJ;NOM;MASC;SG
कमजोर	vājā	कमजोर	vājā	ADJ	ADJ;NOM;FEM;SG
कमजोर	vāja	कमजोर	vāja	ADJ	ADJ;NOM;FEM;SG
नजर	acs	नजर	acs	N;NOM;FEM;SG;3	N;NOM;FEM;SG
असर	efekts	असर	efekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
असर	ietekme	असर	ietekme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रीति	rituāls	रीति	rituāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सीधा	taisna	सीधा	taisna	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
सीधा	tiešā	सीधा	tieša	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
सीधा	tiešs	सीधा	tiešs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
सीधा	tiešais	सीधा	tiešais	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
सीधा	tieša	सीधा	tieša	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
भाषण	runa	भाषण	runa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सृष्टि	izveidošanas	सृष्टि	izveidošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सृष्टि	izveide	सृष्टि	izveide	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सृष्टि	izveidošana	सृष्टि	izveidošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सृष्टि	radīšana	सृष्टि	radīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वस्थ	veselīga	स्वस्थ	veselīga	ADJ	ADJ;NOM;FEM;SG
स्वस्थ	veseli	स्वस्थ	vesels	ADJ	ADJ;NOM;MASC;PL
स्वस्थ	veselīgs	स्वस्थ	veselīgs	ADJ	ADJ;NOM;MASC;SG
भागीदारी	partnerība	भागीदारी	partnerība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	iesaistīšana	भागीदारी	iesaistīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	iesaistīšanās	भागीदारी	iesaistīšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	iesaiste	भागीदारी	iesaiste	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	piedalīšanās	भागीदारी	piedalīšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	līdzdalība	भागीदारी	līdzdalība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भागीदारी	dalība	भागीदारी	dalība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्टॉक	krājums	स्टॉक	krājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मर	mirusi	मर	mirt	V;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
मर	miris	मर	mirt	V;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
मर	beigts	मर	beigt	V;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
मर	miruši	मर	mirt	V;ACT	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
यात्रियों	pasažierus	यात्री	pasažieris	N;ACC;MASC;PL;3	N;ACC;MASC;PL
गहरी	dziļa	गहरा	dziļa	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
गहरी	dziļā	गहरा	dziļš	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
गहरी	dziļš	गहरा	dziļš	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
लिंक्स	links	लिंक्स	links	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लिंक्स	lūsis	लिंक्स	lūsis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विस्फोट	sprādziens	विस्फोट	sprādziens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नक्शा	karte	नक्शा	karte	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हॉकी	hokejs	हॉकी	hokejs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सोडियम	nātrijs	सोडियम	nātrijs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सोडियम	nātrija	सोडियम	nātrija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बिल्कुल	absolūti	बिल्कुल	absolūti	ADV	ADV
बिल्कुल	pilnīgi	बिल्कुल	pilnīgi	ADV	ADV
घास	zāle	घास	zāle	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पाये	atrastas	पा	atrast	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
कथन	paziņojums	कथन	paziņojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ज्वालामुखी	vulkāna	ज्वालामुखी	vulkāns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शेर	lauva	शेर	lauva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कमरे	istaba	कमरा	istaba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कमरे	telpa	कमरा	telpa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्वाद	gaume	स्वाद	gaume	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्वाद	garša	स्वाद	garša	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चित्रकार	gleznotājs	चित्रकार	gleznotājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विद्यार्थी	students	विद्यार्थी	students	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पेय	dzēriens	पेय	dzēriens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुक्रम	pasūtījums	अनुक्रम	pasūtījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुक्रम	kārtība	अनुक्रम	kārtība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुक्रम	rīkojums	अनुक्रम	rīkojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुक्रम	secība	अनुक्रम	secība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुक्रम	sekvence	अनुक्रम	sekvence	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुक्रम	secība	अनुक्रम	secība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पत्रकारिता	žurnālistikas	पत्रकारिता	žurnālistika	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तार	stieple	तार	stieple	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तार	stieples	तार	stieple	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अचानक	pēkšņi	अचानक	pēkšņi	ADV	ADV
करियर	karjera	करियर	karjera	N;NOM;MASC;SG;3	N;NOM;FEM;SG
करियर	karjera	करियर	karjera	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जानवर	zvērs	जानवर	zvērs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जानवर	dzīvnieks	जानवर	dzīvnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चेहरे	sejas	चेहरा	seja	N;NOM;MASC;PL;3	N;NOM;FEM;PL
चेहरे	sejas	चेहरा	seja	N;NOM;MASC;PL;3	N;NOM;FEM;PL
केन्द्रित	mērķtiecīga	केंद्रित	mērķtiecīga	ADJ	ADJ;NOM;FEM;SG
निर्यात	eksports	निर्यात	eksports	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्यात	eksports	निर्यात	eksports	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भूकंप	zemestrīces	भूकंप	zemestrīce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भूकंप	zemestrīce	भूकंप	zemestrīce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भूकंप	zemestrīces	भूकंप	zemestrīce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दायित्व	pienākums	दायित्व	pienākums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गाड़ी	auto	गाड़ी	auto	N;NOM;FEM;SG;3	N
गाड़ी	automašīna	गाड़ी	automašīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
गाड़ी	automobilis	गाड़ी	automobilis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गाड़ी	mašīna	गाड़ी	mašīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हिंसा	vardarbība	हिंसा	vardarbība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्तंभ	sleja	स्तंभ	sleja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्तंभ	kolonna	स्तंभ	kolonna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नहर	kanāls	नहर	kanāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आजादी	brīvība	आजादी	brīvība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अंडे	olas	अंडा	ola	N;NOM;MASC;PL;3	N;NOM;FEM;PL
अंडे	ikri	अंडा	ikri	N;NOM;MASC;PL;3	N;NOM;MASC;PL
अधिग्रहण	iegāde	अधिग्रहण	iegāde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अधिग्रहण	iegūšana	अधिग्रहण	iegūšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गुफा	ala	गुफा	ala	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिणामों	rezultātus	परिणाम	rezultāts	N;ACC;MASC;PL;3	N;ACC;MASC;PL
प्रकरण	epizode	प्रकरण	epizode	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मानकों	standartus	मानक	standarts	N;ACC;MASC;PL;3	N;ACC;MASC;PL
ब्लॉक	bloka	ब्लॉक	bloks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ब्लॉक	bloks	ब्लॉक	bloks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्लेट	plate	प्लेट	plate	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्लेट	plāksne	प्लेट	plāksne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्लेट	plātne	प्लेट	plātne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुसलमान	musulmaņi	मुसलमान	musulmanis	N;NOM;MASC;PL;3	N;NOM;MASC;PL
मुसलमान	musulmaņi	मुसलमान	musulmanis	N;NOM;MASC;PL;3	N;NOM;MASC;PL
सम्पादन	rediģēšanas	सम्पादन	rediģēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समन्वय	koordinācija	समन्वय	koordinācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समन्वय	saskaņošana	समन्वय	saskaņošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समन्वय	koordinēšana	समन्वय	koordinēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्वीकृति	apstiprinājums	स्वीकृति	apstiprinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्वीकृति	pieņemšana	स्वीकृति	pieņemšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वीकृति	apstiprināšana	स्वीकृति	apstiprināšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वीकृति	apstiprinājums	स्वीकृति	apstiprinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
असली	īstais	असली	īsts	ADJ;NOM	ADJ;NOM;MASC;SG
असली	īsta	असली	īsta	ADJ;NOM	ADJ;NOM;FEM;SG
असली	reālā	असली	reāls	ADJ;NOM	ADJ;NOM;FEM;SG
असली	reālās	असली	reāla	ADJ;NOM	ADJ;NOM;FEM;PL
असली	īstas	असली	īsta	ADJ;NOM	ADJ;NOM;FEM;PL
असली	sākotnējais	असली	sākotnējs	ADJ;NOM	ADJ;NOM;MASC;SG
पैसे	naudas	पैसा	nauda	N;NOM;MASC;PL;3	N;NOM;FEM;PL
उद्यम	uzņēmējdarbība	उद्यम	uzņēmējdarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उद्यम	uzņēmums	उद्यम	uzņēmums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उद्यम	uzņēmējdarbība	उद्यम	uzņēmējdarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शुष्क	haskijs	शुष्क	haskijs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रकाशक	izdevējs	प्रकाशक	izdevējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खाली	tukši	खाली	tukši	ADJ	ADJ;NOM;MASC;PL
खाली	tukšs	खाली	tukšs	ADJ	ADJ;NOM;MASC;SG
खाली	tukšas	खाली	tukša	ADJ	ADJ;NOM;FEM;PL
खाली	tukša	खाली	tukša	ADJ	ADJ;NOM;FEM;SG
खाली	tukšā	खाली	tukša	ADJ	ADJ;NOM;FEM;SG
खाली	tukšu	खाली	tukša	ADJ	ADJ;ACC;MASC;SG
खाली	tukšs	खाली	tukšs	ADJ	ADJ;NOM;MASC;SG
खाली	tukša	खाली	tukša	ADJ	ADJ;NOM;FEM;SG
प्रतिष्ठा	reputācija	प्रतिष्ठा	reputācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुद्दे	jautājumi	मुद्दा	jautājums	N;NOM;MASC;PL;3	N;NOM;MASC;PL
चाय	tēja	चाय	tēja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
छत	terase	छत	terase	N;NOM;FEM;SG;3	N;NOM;FEM;SG
छत	jumts	छत	jumts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आवाज़	apjoms	आवाज़	apjoms	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आवाज़	tilpums	आवाज़	tilpums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आवाज़	balss	आवाज़	balss	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चाल	triks	चाल	triks	N;NOM;FEM;SG;3	N;NOM;MASC;SG
चाल	gājiens	चाल	gājiens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रायद्वीप	pussala	प्रायद्वीप	pussala	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नक्षत्र	zvaigznājs	नक्षत्र	zvaigznājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रथ	kariete	रथ	kariete	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चलाया	izpildīts	चला	izpildīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
रहें	uzturēties	रह	uzturēties	V;SBJV;PL;FIN;ACT	V;POS;REFL;NFIN
रहें	palikt	रह	palikt	V;SBJV;PL;FIN;ACT	V;POS;NFIN
विनिमय	apmaiņa	विनिमय	apmaiņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विनिमय	birža	विनिमय	birzs	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ड्राइव	disks	ड्राइव	disks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नियुक्ति	iecelšana	नियुक्ति	iecelšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नियुक्ति	tikšanās	नियुक्ति	tikšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नियुक्ति	nodarbinātība	नियुक्ति	nodarbinātība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नियुक्ति	nodarbinātības	नियुक्ति	nodarbinātība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बहती	plūst	बह	plūst	V;IPFV;FEM;SG;V.PTCP;ACT	V;POS;NFIN
खून	asins	खून	asins	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बाग	dārzs	बाग	dārzs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बाग	dārziņš	बाग	dārziņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चौथी	ceturtais	चौथी	ceturtais	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
चौथी	ceturtā	चौथी	ceturtais	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
गठबंधन	pakta	गठबंधन	pakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गठबंधन	pakts	गठबंधन	pakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गठबंधन	alianse	गठबंधन	alianse	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उम्मीदवार	kandidāti	उम्मीदवार	kandidāts	N;NOM;MASC;PL;3	N;NOM;MASC;PL
उम्मीदवार	kandidāti	उम्मीदवार	kandidāts	N;NOM;MASC;PL;3	N;NOM;MASC;PL
बिलकुल	absolūti	बिलकुल	absolūti	ADV	ADV
बिलकुल	pilnīgi	बिलकुल	pilnīgi	ADV	ADV
रूपांतरण	pārveidošana	रूपांतरण	pārveidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरण	pārvēršana	रूपांतरण	pārvēršana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरण	konversija	रूपांतरण	konversija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरण	konvertēšana	रूपांतरण	konvertēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भ्रष्टाचार	korupcija	भ्रष्टाचार	korupcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सलाहकार	konsultants	सलाहकार	konsultants	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सलाहकार	padomdevējs	सलाहकार	padomdevējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सलाहकार	konsultants	सलाहकार	konsultants	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सलाहकार	padomnieks	सलाहकार	padomnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जनजाति	cilts	जनजाति	cilts	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पठार	slieksnis	पठार	slieksnis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पठार	robežvērtība	पठार	robežvērtība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पठार	sliekšņa	पठार	sliekšņa	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पठार	plato	पठार	platot	N;NOM;MASC;SG;3	N
चलचित्र	filma	चलचित्र	filma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नोकिया	nokia	नोकिया	nokis	N;NOM;MASC;SG;3	N
बहुमत	vairākums	बहुमत	vairākums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नैदानिक	diagnostika	नैदानिक	diagnostika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शाखाओं	zarus	शाखा	zars	N;ACC;FEM;PL;3	N;ACC;MASC;PL
दशकों	desmitgades	दशक	desmitgade	N;NOM;MASC;PL;3	N;NOM;FEM;PL
टूर	ekskursija	टूर	ekskursija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
टूर	tūre	टूर	tūre	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बजट	budžets	बजट	budžets	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मौका	iespēja	मौका	iespēja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मौका	izdevība	मौका	izdevība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समर्थक	atbalstītāji	समर्थक	atbalstītājs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
कणों	daļiņas	कण	daļiņa	N;NOM;MASC;PL;3	N;NOM;FEM;PL
उत्तराधिकारी	mantinieks	उत्तराधिकारी	mantinieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
