daha	更	daha	更	ADV	ADV
ayak	腳	ayak	腳	N;NOM;SG;3	N
ayak	英尺	ayak	英尺	N;NOM;SG;3	N
ayak	英尺	ayak	英尺	N;NOM;SG;3	N
ayak	腳	ayak	腳	N;NOM;SG;3	N
ayak	腳步	ayak	腳步	N;NOM;SG;3	N
ayak	腳步	ayak	腳步	N;NOM;SG;3	N
siz	你	siz	你	PRO;NOM;PL;2	PRO;2
sizin	你	siz	你	PRO;GEN;PL;2	PRO;2
bağımsızlık	獨立	bağımsızlık	獨立	N;NOM;SG;3	N
kulesi	塔	kule	塔	N;NOM;SG;3	N
kulesi	塔台	kule	塔台	N;NOM;SG;3	N
şampiyonluk	錦標	şampiyonluk	錦標	N;NOM;SG;3	N
şampiyonluk	錦標	şampiyonluk	錦標	N;NOM;SG;3	N
istasyonu	站	ista	站	N;ACC;SG;3	N
istasyonu	車站	ista	車站	N;ACC;SG;3	N
dağlık	山地	dağlık	山地	N;NOM;SG;3	N
mühendislik	工程	mühendislik	工程	N;NOM;SG;3	N
mühendislik	工程	mühendislik	工程	N;NOM;SG;3	N
oyunlar	遊戲	oyun	遊戲	N;NOM;PL;3	N
performansı	績效	performans	績效	N;NOM;SG;3	N
performansı	業績	performans	業績	N;NOM;SG;3	N
çocuklar	男生	çocuk	男生	N;NOM;PL;3	N
çocuklar	男孩	çocuk	男孩	N;NOM;PL;3	N
çocuklar	小孩	çocuk	小孩	N;NOM;PL;3	N
çocuklar	兒童	çocuk	兒童	N;NOM;PL;3	N
dönen	旋轉	dön	旋轉	V;PFV;IND;POS;PRS;V.PTCP	V
dönen	輪播	dön	輪播	V;PFV;IND;POS;PRS;V.PTCP	V
kelimesi	詞	kelime	詞	N;NOM;SG;3	N
kelimesi	單詞	kelime	單詞	N;NOM;SG;3	N
kelimesi	字	kelime	字	N;NOM;SG;3	N
kelimesi	單字	kelime	單字	N;NOM;SG;3	N
vergi	稅	vergi	稅	N;NOM;SG;3	N
vergi	稅務	vergi	稅務	N;NOM;SG;3	N
vergi	稅務	vergi	稅務	N;NOM;SG;3	N
vergi	稅	vergi	稅	N;NOM;SG;3	N
vergi	稅	vergi	稅	N;NOM;SG;3	N
vergi	稅金	vergi	稅金	N;NOM;SG;3	N
vergi	稅務	vergi	稅務	N;NOM;SG;3	N
vergi	稅	vergi	稅	N;NOM;SG;3	N
vergi	稅	vergi	稅	N;NOM;SG;3	N
vergi	稅款	vergi	稅款	N;NOM;SG;3	N
asist	助攻	asist	助攻	N;NOM;SG;3	N
nadir	難得	nadir	難得		
hastalık	病	hastalık	病	N;NOM;SG;3	N
hastalık	疾病	hastalık	疾病	N;NOM;SG;3	N
hastalık	病	hastalık	病	N;NOM;SG;3	N
hastalık	疾病	hastalık	疾病	N;NOM;SG;3	N
hastalık	疾病	hastalık	疾病	N;NOM;SG;3	N
hastalık	病	hastalık	病	N;NOM;SG;3	N
hastalık	疾病	hastalık	疾病	N;NOM;SG;3	N
galerisi	畫廊	galeri	畫廊	N;ACC;PL;3	N
şekli	形狀	şekli	形狀	N;ACC;SG;3	N
adları	人名	ad	人名	N;ACC;PL;3	N
adları	名稱	ad	名稱	N;ACC;PL;3	N
adları	姓名	ad	姓名	N;ACC;PL;3	N
içeriği	內容	içerik	內容	N;NOM;SG;3	N
like	讚	like	讚		
devamı	多	devam	多		
etkileri	特效	etki	特效	N;ACC;PL;3	N
etkileri	效應	etki	效應	N;ACC;PL;3	N
etkileri	效果	etki	效果	N;ACC;PL;3	N
dar	緊	dar	緊		
güvenilir	信賴	güven	信賴	V;IPFV;IND;SG;3;POS;V.PTCP;PASS	V
darbe	吹	darbe	吹		
dikkate	審議	dikkat	審議	N;DAT;SG;3	N
akşam	晚間	akşam	晚間	N;NOM;SG;3	N
akşam	晚上	akşam	晚上	N;NOM;SG;3	N
akşam	傍晚	akşam	傍晚	N;NOM;SG;3	N
bayrağı	旗幟	bayrak	旗幟	N;NOM;SG;3	N
bayrağı	國旗	bayrak	國旗	N;NOM;SG;3	N
bayrağı	旗	bayrak	旗	N;NOM;SG;3	N
bayrağı	旗子	bayrak	旗子	N;NOM;SG;3	N
yolları	小徑	yol	小徑	N;NOM;PL;3	N
yolları	路徑	yol	路徑	N;NOM;PL;3	N
yolları	路線	yol	路線	N;NOM;PL;3	N
köyleri	鄉村	köy	鄉村	N;ACC;PL;3	N
köyleri	村	köy	村	N;ACC;PL;3	N
temsilcisi	代表	temsilci	代表	N;NOM;SG;3	N
özellikler	功能	özellik	功能	N;NOM;PL;3	N
özellikler	特色	özellik	特色	N;NOM;PL;3	N
özellikler	特徵	özellik	特徵	N;NOM;PL;3	N
özellikler	特點	özellik	特點	N;NOM;PL;3	N
özellikler	規格	özellik	規格	N;NOM;PL;3	N
özellikler	特徵	özellik	特徵	N;NOM;PL;3	N
özellikler	特性	özellik	特性	N;NOM;PL;3	N
özellikler	特點	özellik	特點	N;NOM;PL;3	N
özellikler	屬性	özellik	屬性	N;NOM;PL;3	N
özellikler	屬性	özellik	屬性	N;NOM;PL;3	N
taşındı	感動	taşı	感動	V;PFV;IND;SG;3;POS;PST;PASS	V
konumu	位置	konum	位置	N;ACC;SG;3	N
konumu	地點	konum	地點	N;ACC;SG;3	N
başlangıçta	最初	başlangıç	最初	N;ESS;SG;3	N
başlığı	標題	başlık	標題	N;NOM;SG;3	N
başlığı	標題	başlık	標題	N;NOM;SG;3	N
binlerce	數千	binlerce	數千	NUM	NUM
kulüpler	俱樂部	kulüp	俱樂部	N;NOM;PL;3	N
dersleri	類別	ders	類別	N;NOM;PL;3	N
dersleri	班級	ders	班級	N;NOM;PL;3	N
isimler	人名	isim	人名	N;NOM;PL;3	N
isimler	名稱	isim	名稱	N;NOM;PL;3	N
isimler	姓名	isim	姓名	N;NOM;PL;3	N
madalyası	獎章	madalya	獎章	N;NOM;SG;3	N
madalyası	勳章	madalya	勳章	N;NOM;SG;3	N
madalyası	獎牌	madalya	獎牌	N;NOM;SG;3	N
gönderildi	提交	gönder	提交	V;PFV;IND;SG;3;POS;PST;PASS	V
tarihçi	歷史	tarihçi	歷史	N;NOM;SG;3	N
pozitif	積極	pozitif	積極		
oda	房間	oda	房間	N;NOM;SG;3	N
oda	房	oda	房	N;NOM;SG;3	N
oda	客房	oda	客房	N;NOM;SG;3	N
oda	房間	oda	房間	N;NOM;SG;3	N
more	多	more	多		
okuma	讀	oku	讀	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
okuma	讀取	oku	讀取	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
okuma	讀取	oku	讀取	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
okuma	讀	oku	讀	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
grupları	群組	grup	群組	N;ACC;PL;3	N
grupları	團體	grup	團體	N;ACC;PL;3	N
yöntemi	方法	yöntem	方法	N;ACC;SG;3	N
yöntemi	辦法	yöntem	辦法	N;ACC;SG;3	N
yöntemi	方式	yöntem	方式	N;ACC;SG;3	N
seçimi	甄選	seçim	甄選	N;ACC;SG;3	N
çevresi	圓周	çevre	圓周	N;NOM;SG;3	N
çevresi	周邊	çevre	周邊	N;NOM;SG;3	N
museum	博物	museum	博物	N;NOM;SG;3	N
karakterler	字元	karak	字元	N;NOM;PL;3	N
karakterler	角色	karak	角色	N;NOM;PL;3	N
alanlar	田間	alan	田間	N;NOM;PL;3	N
alanlar	田地	alan	田地	N;NOM;PL;3	N
alanlar	欄位	alan	欄位	N;NOM;PL;3	N
alanlar	田野	alan	田野	N;NOM;PL;3	N
alanlar	地區	alan	地區	N;NOM;PL;3	N
oyunculuk	演技	oyunculuk	演技	N;NOM;SG;3	N
eve	家	ev	家	N;DAT;SG;3	N
eve	住家	ev	住家	N;DAT;SG;3	N
eve	夏娃	ev	夏娃	N;DAT;SG;3	N
villa	別墅	villa	別墅	N;NOM;SG;3	N
seyahat	旅行	seyahat	旅行	N;NOM;SG;3	N
seyahat	旅費	seyahat	旅費	N;NOM;SG;3	N
seyahat	旅遊	seyahat	旅遊	N;NOM;SG;3	N
seyahat	旅途	seyahat	旅途	N;NOM;SG;3	N
seyahat	旅程	seyahat	旅程	N;NOM;SG;3	N
seyahat	旅行	seyahat	旅行	N;NOM;SG;3	N
seyahat	旅行	seyahat	旅行	N;NOM;SG;3	N
seyahat	旅遊	seyahat	旅遊	N;NOM;SG;3	N
özgürlük	自由	özgürlük	自由	N;NOM;SG;3	N
özgürlük	自由	özgürlük	自由	N;NOM;SG;3	N
kapısı	門	kapı	門	N;NOM;SG;3	N
kapısı	大門	kapı	大門	N;NOM;SG;3	N
şikayet	報告	şikayet	報告	N;NOM;SG;3	N
şikayet	申訴	şikayet	申訴	N;NOM;SG;3	N
şikayet	申訴	şikayet	申訴	N;NOM;SG;3	N
şikayet	報告	şikayet	報告	N;NOM;SG;3	N
öğrenciler	學生	öğrenci	學生	N;NOM;PL;3	N
kaydetti	上市	kaydet	上市	V;PFV;IND;SG;3;POS;PST	V
caddesi	大街	cadde	大街	N;NOM;SG;3	N
caddesi	大道	cadde	大道	N;NOM;SG;3	N
galibiyet	勝利	galibiyet	勝利	N;NOM;SG;3	N
elektron	電子	elektron	電子	N;NOM;SG;3	N
elektron	電子	elektron	電子	N;NOM;SG;3	N
planı	計畫	plan	計畫	N;ACC;SG;3	N
kökeni	原產	köken	原產	N;ACC;SG;3	N
kökeni	起源	köken	起源	N;ACC;SG;3	N
kökeni	起源	köken	起源	N;ACC;SG;3	N
fabrikası	廠	fabrikası	廠	N;NOM;SG;3	N
fabrikası	工廠	fabrikası	工廠	N;NOM;SG;3	N
kullanmak	使用	kullan	使用	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
kullanmak	利用	kullan	利用	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
kullanmak	使用	kullan	使用	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
kullanmak	兌換	kullan	兌換	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yazarlar	作家	yazar	作家	N;NOM;PL;3	N
yazarlar	作者	yazar	作者	N;NOM;PL;3	N
yazarlar	作者	yazar	作者	N;NOM;PL;3	N
numarası	數字	numara	數字	N;NOM;SG;3	N
numarası	數	numara	數	N;NOM;SG;3	N
numarası	號碼	numara	號碼	N;NOM;SG;3	N
numarası	編號	numara	編號	N;NOM;SG;3	N
kalabalık	人群	kalabalık	人群	N;NOM;SG;3	N
kalabalık	人群	kalabalık	人群	N;NOM;SG;3	N
kalabalık	群眾	kalabalık	群眾	N;NOM;SG;3	N
kalabalık	擁擠	kalabalık	擁擠	N;NOM;SG;3	N
kuzeyde	北方	kuzeyde	北方	N;ESS;SG;3	N
kuzeyde	北	kuzeyde	北	N;ESS;SG;3	N
kuzeyde	北部	kuzeyde	北部	N;ESS;SG;3	N
işık	輕	işık	輕		
korumak	保護	koru	保護	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
korumak	保護	koru	保護	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
makale	文章	makale	文章	N;NOM;SG;3	N
politikası	政策	politikası	政策	N;NOM;SG;3	N
örneği	範例	örnek	範例	N;NOM;SG;3	N
yöntem	方法	yöntem	方法	N;NOM;SG;3	N
yöntem	辦法	yöntem	辦法	N;NOM;SG;3	N
yöntem	方式	yöntem	方式	N;NOM;SG;3	N
bulunmuş	找到	bul	找到	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
bulunmuş	發現	bul	發現	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
bulmak	找到	bul	找到	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
bulmak	尋找	bul	尋找	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
sınırı	上限	sınır	上限	N;ACC;SG;3	N
sınırı	極限	sınır	極限	N;ACC;SG;3	N
sınırı	限	sınır	限	N;ACC;SG;3	N
sınırı	限額	sınır	限額	N;ACC;SG;3	N
mesafe	山脈	mesafe	山脈	N;NOM;SG;3	N
mesafe	範圍	mesafe	範圍	N;NOM;SG;3	N
mesafe	射程	mesafe	射程	N;NOM;SG;3	N
kıyı	岸上	kıy	岸上		
mezarlığı	墓園	mezarlık	墓園	N;NOM;SG;3	N
mezarlığı	墓地	mezarlık	墓地	N;NOM;SG;3	N
mezarlığı	公墓	mezarlık	公墓	N;NOM;SG;3	N
mezarlığı	墓地	mezarlık	墓地	N;NOM;SG;3	N
ülkeleri	國家	ülke	國家	N;ACC;PL;3	N
ülkeleri	各國	ülke	各國	N;ACC;PL;3	N
köpek	犬	köpek	犬	N;NOM;SG;3	N
köpek	狗	köpek	狗	N;NOM;SG;3	N
köpek	犬	köpek	犬	N;NOM;SG;3	N
köpek	狗	köpek	狗	N;NOM;SG;3	N
gözden	審查	göz	審查	N;AT+ABL;SG;3	N
parçaları	部件	parça	部件	N;ACC;PL;3	N
golden	黃金	gol	黃金	N;AT+ABL;SG;3	N
golden	金色	gol	金色	N;AT+ABL;SG;3	N
kurulması	建立	kur	建立	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	V
inceleme	視察	incele	視察	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
tablo	表	tablo	表		
içişleri	內政	içiş	內政	N;ACC;PL;3	N
içişleri	內部	içiş	內部	N;ACC;PL;3	N
içişleri	內地	içiş	內地	N;ACC;PL;3	N
kredi	信用	kredi	信用	N;NOM;SG;3	N
kredi	信貸	kredi	信貸	N;NOM;SG;3	N
kredi	借款	kredi	借款	N;NOM;SG;3	N
kredi	貸款	kredi	貸款	N;NOM;SG;3	N
kredi	借貸	kredi	借貸	N;NOM;SG;3	N
kredi	點數	kredi	點數	N;NOM;SG;3	N
kredi	信用	kredi	信用	N;NOM;SG;3	N
kredi	學分	kredi	學分	N;NOM;SG;3	N
kredi	信貸	kredi	信貸	N;NOM;SG;3	N
kapı	門	kapı	門	N;NOM;SG;3	N
kapı	大門	kapı	大門	N;NOM;SG;3	N
kapı	門	kapı	門	N;NOM;SG;3	N
kapı	門	kapı	門	N;NOM;SG;3	N
ağırlığı	重量	ağırlık	重量	N;NOM;SG;3	N
ağırlığı	體重	ağırlık	體重	N;NOM;SG;3	N
ağırlığı	份量	ağırlık	份量	N;NOM;SG;3	N
kuralları	規則	kural	規則	N;ACC;PL;3	N
kuralları	細則	kural	細則	N;ACC;PL;3	N
diller	語言	dil	語言	N;NOM;PL;3	N
diller	語文	dil	語文	N;NOM;PL;3	N
sandalye	椅	sandalye	椅	N;NOM;SG;3	N
sandalye	椅子	sandalye	椅子	N;NOM;SG;3	N
sandalye	椅	sandalye	椅	N;NOM;SG;3	N
sandalye	椅子	sandalye	椅子	N;NOM;SG;3	N
toplanan	收集	topla	收集	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
taraflı	偏向	taraflı	偏向		
sokak	街頭	sokak	街頭	N;NOM;SG;3	N
sokak	街道	sokak	街道	N;NOM;SG;3	N
sokak	街	sokak	街	N;NOM;SG;3	N
sokak	街道	sokak	街道	N;NOM;SG;3	N
sokak	小巷	sokak	小巷	N;NOM;SG;3	N
sokak	巷	sokak	巷	N;NOM;SG;3	N
sokak	巷子	sokak	巷子	N;NOM;SG;3	N
biçimi	格式	biçim	格式	N;ACC;SG;3	N
biçimi	形式	biçim	形式	N;ACC;SG;3	N
biçimi	格式	biçim	格式	N;ACC;SG;3	N
klibi	片段	klibi	片段	N;ACC;SG;3	N
klibi	剪輯	klibi	剪輯	N;ACC;SG;3	N
klibi	夾	klibi	夾	N;ACC;SG;3	N
karayolu	公路	karayolu	公路	N;NOM;SG;3	N
karayolu	道路	karayolu	道路	N;NOM;SG;3	N
karayolu	路	karayolu	路	N;NOM;SG;3	N
karayolu	公路	karayolu	公路	N;NOM;SG;3	N
kraliçe	女王	kraliçe	女王	N;NOM;SG;3	N
kraliçe	皇后	kraliçe	皇后	N;NOM;SG;3	N
kraliçe	王后	kraliçe	王后	N;NOM;SG;3	N
yetersiz	不足	yetersiz	不足	ADJ	ADJ
yetersiz	不足	yetersiz	不足	ADJ	ADJ
seni	你	sen	你	PRO;ACC;SG;2	PRO;2
konular	題目	konu	題目	N;NOM;PL;3	N
konular	議題	konu	議題	N;NOM;PL;3	N
konular	專題	konu	專題	N;NOM;PL;3	N
konular	主題	konu	主題	N;NOM;PL;3	N
konular	科目	konu	科目	N;NOM;PL;3	N
verilmesi	授予	ver	授予	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	V
bölgeleri	區域	bölge	區域	N;ACC;PL;3	N
atletizm	田徑	atletizm	田徑	N;NOM;SG;3	N
pkk	pkk	pkk	pkk		
basınç	壓	basınç	壓		
sorunlar	煩惱	sorun	煩惱	N;NOM;PL;3	N
programları	方案	program	方案	N;NOM;PL;3	N
programları	方案	program	方案	N;NOM;PL;3	N
programları	程式	program	程式	N;NOM;PL;3	N
kitaplar	圖書	kitap	圖書	N;NOM;PL;3	N
kitaplar	書	kitap	書	N;NOM;PL;3	N
kitaplar	書籍	kitap	書籍	N;NOM;PL;3	N
askerler	部隊	asker	部隊	N;NOM;PL;3	N
askerler	士兵	asker	士兵	N;NOM;PL;3	N
fonksiyonu	功能	fonksiyon	功能	N;NOM;SG;3	N
fonksiyonu	職能	fonksiyon	職能	N;NOM;SG;3	N
fonksiyonu	函數	fonksiyon	函數	N;NOM;SG;3	N
daire	平面	daire	平面	N;NOM;SG;3	N
daire	公寓	daire	公寓	N;NOM;SG;3	N
daire	圓形	daire	圓形	N;NOM;SG;3	N
daire	圓圈	daire	圓圈	N;NOM;SG;3	N
daire	迴圈	daire	迴圈	N;NOM;SG;3	N
daire	圈	daire	圈	N;NOM;SG;3	N
daire	公寓	daire	公寓	N;NOM;SG;3	N
daire	公寓	daire	公寓	N;NOM;SG;3	N
ilişkisi	戀愛	ilişki	戀愛	N;NOM;SG;3	N
ilişkisi	感情	ilişki	感情	N;NOM;SG;3	N
ilişkisi	關係	ilişki	關係	N;NOM;SG;3	N
haritası	地圖	harita	地圖	N;NOM;SG;3	N
makine	機械	makine	機械	N;NOM;SG;3	N
makine	機	makine	機	N;NOM;SG;3	N
makine	機器	makine	機器	N;NOM;SG;3	N
makine	機械	makine	機械	N;NOM;SG;3	N
makine	機器	makine	機器	N;NOM;SG;3	N
boğazı	海峽	boğaz	海峽	N;ACC;SG;3	N
boğazı	海峽	boğaz	海峽	N;ACC;SG;3	N
görmek	見	gör	見	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
evde	家	ev	家	N;ESS;SG;3	N
evde	住家	ev	住家	N;ESS;SG;3	N
antrenör	教練	antrenör	教練	N;NOM;SG;3	N
batıda	西邊	batı	西邊	N;ESS;SG;3	N
batıda	西	batı	西	N;ESS;SG;3	N
batıda	西部	batı	西部	N;ESS;SG;3	N
eğlence	樂趣	eğlence	樂趣	N;NOM;SG;3	N
eğlence	娛樂	eğlence	娛樂	N;NOM;SG;3	N
eğlence	休閒	eğlence	休閒	N;NOM;SG;3	N
eğlence	娛樂	eğlence	娛樂	N;NOM;SG;3	N
miktarı	金額	miktar	金額	N;NOM;SG;3	N
miktarı	款額	miktar	款額	N;NOM;SG;3	N
miktarı	數額	miktar	數額	N;NOM;SG;3	N
miktarı	數量	miktar	數量	N;NOM;SG;3	N
miktarı	量	miktar	量	N;NOM;SG;3	N
maçlar	火柴	maç	火柴	N;NOM;PL;3	N
maçlar	遊戲	maç	遊戲	N;NOM;PL;3	N
parçalar	部件	parça	部件	N;NOM;PL;3	N
parçalar	元件	parça	元件	N;NOM;PL;3	N
yoğunluğu	強度	yoğunluk	強度	N;ACC;SG;3	N
yoğunluğu	密度	yoğunluk	密度	N;ACC;SG;3	N
yoğunluğu	密度	yoğunluk	密度	N;ACC;SG;3	N
yapılar	結構	yap	結構	N;NOM;PL;3	N
doğuda	東	doğu	東	N;ESS;SG;3	N
doğuda	東部	doğu	東部	N;ESS;SG;3	N
doğuda	東方	doğu	東方	N;ESS;SG;3	N
doğuda	東區	doğu	東區	N;ESS;SG;3	N
günleri	日子	gün	日子	N;ACC;PL;3	N
günleri	天數	gün	天數	N;ACC;PL;3	N
sayıları	編號	say	編號	N;ACC;PL;3	N
mükemmel	完美	mükemmel	完美	ADJ	ADJ
felsefesi	哲學	felsefe	哲學	N;NOM;SG;3	N
felsefesi	理念	felsefe	理念	N;NOM;SG;3	N
görünümü	外觀	görün	外觀	N;NOM;SG;3	N
görünümü	外表	görün	外表	N;NOM;SG;3	N
görünümü	外貌	görün	外貌	N;NOM;SG;3	N
trafik	交通	trafik	交通	N;NOM;SG;3	N
ittifak	聯盟	ittifak	聯盟	N;NOM;SG;3	N
ittifak	同盟	ittifak	同盟	N;NOM;SG;3	N
günler	日子	gün	日子	N;NOM;PL;3	N
günler	天數	gün	天數	N;NOM;PL;3	N
bölgeler	區域	bölge	區域	N;NOM;PL;3	N
bölgeler	各區	bölge	各區	N;NOM;PL;3	N
bölgeler	地區	bölge	地區	N;NOM;PL;3	N
muharebe	戰	muharebe	戰	N;NOM;SG;3	N
muharebe	戰役	muharebe	戰役	N;NOM;SG;3	N
muharebe	戰鬥	muharebe	戰鬥	N;NOM;SG;3	N
turnuvası	錦標	turnuva	錦標	N;NOM;SG;3	N
negatif	負	negatif	負		
yıldızlar	星星	yıl	星星	N;NOM;PL;3	N
yıldızlar	明星	yıl	明星	N;NOM;PL;3	N
yıldızlar	星空	yıl	星空	N;NOM;PL;3	N
yıldızlar	星	yıl	星	N;NOM;PL;3	N
yıldızlar	恆星	yıl	恆星	N;NOM;PL;3	N
turnuva	錦標	tur	錦標	N;NOM;SG;3	N
turnuva	錦標	tur	錦標	N;NOM;SG;3	N
yazılar	文章	yazı	文章	N;NOM;PL;3	N
açan	綻放	aç	綻放		
açan	綻放	aç	綻放		
düzeni	編隊	düzen	編隊	N;NOM;SG;3	N
düzeni	版面	düzen	版面	N;NOM;SG;3	N
düzeni	佈局	düzen	佈局	N;NOM;SG;3	N
sıkı	緊	sık	緊		
hürriyet	自由	hürriyet	自由	N;NOM;SG;3	N
hürriyet	自由	hürriyet	自由	N;NOM;SG;3	N
kazan	贏了	kazan	贏了		
ürünler	項目	ürün	項目	N;NOM;PL;3	N
ürünler	商品	ürün	商品	N;NOM;PL;3	N
ürünler	貨物	ürün	貨物	N;NOM;PL;3	N
ürünler	商品	ürün	商品	N;NOM;PL;3	N
ürünler	產品	ürün	產品	N;NOM;PL;3	N
olağanüstü	傑出	olağanüstü	傑出	ADJ	ADJ
gene	再次	gene	再次	ADV	ADV
yay	蔓延	yay	蔓延		
yay	鞠躬	yay	鞠躬		
light	輕	light	輕		
geliştirilmiş	改進	geliş	改進	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
geliştirilmiş	改善	geliş	改善	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
geliştirilmiş	改良	geliş	改良	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
geliştirilmiş	強化	geliş	強化	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
geliştirilmiş	加強	geliş	加強	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
geliştirilmiş	增強	geliş	增強	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
kardeşler	姐妹	kardeş	姐妹	N;NOM;PL;3	N
kardeşler	姊妹	kardeş	姊妹	N;NOM;PL;3	N
kardeşler	兄妹	kardeş	兄妹	N;NOM;PL;3	N
oluşturmak	創建	oluş	創建	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
bisiklet	單車	bisiklet	單車	N;NOM;SG;3	N
bisiklet	單車	bisiklet	單車	N;NOM;SG;3	N
bisiklet	腳踏	bisiklet	腳踏	N;NOM;SG;3	N
bisiklet	單車	bisiklet	單車	N;NOM;SG;3	N
bisiklet	腳踏	bisiklet	腳踏	N;NOM;SG;3	N
kriterleri	基準	kriter	基準	N;ACC;PL;3	N
kriterleri	標準	kriter	標準	N;ACC;PL;3	N
deli	瘋	deli	瘋		
limanı	海港	liman	海港	N;NOM;SG;3	N
limanı	港口	liman	港口	N;NOM;SG;3	N
faaliyetleri	活動	faaliyet	活動	N;NOM;PL;3	N
değiştirme	改變	değiş	改變	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	替換	değiş	替換	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	更換	değiş	更換	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	置換	değiş	置換	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	替代	değiş	替代	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	改變	değiş	改變	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	變更	değiş	變更	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	變	değiş	變	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	替代	değiş	替代	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	取代	değiş	取代	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	替換	değiş	替換	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	更換	değiş	更換	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
değiştirme	代替	değiş	代替	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
kuramı	理論	kuram	理論	N;NOM;SG;3	N
kuramı	論	kuram	論	N;NOM;SG;3	N
sözleşmesi	合同	sözleşme	合同	N;NOM;SG;3	N
sözleşmesi	合約	sözleşme	合約	N;NOM;SG;3	N
cezası	罰	ceza	罰	N;NOM;SG;3	N
cezası	懲罰	ceza	懲罰	N;NOM;SG;3	N
cezası	處罰	ceza	處罰	N;NOM;SG;3	N
cezası	刑罰	ceza	刑罰	N;NOM;SG;3	N
cezası	刑罰	ceza	刑罰	N;NOM;SG;3	N
cezası	懲罰	ceza	懲罰	N;NOM;SG;3	N
cezası	處罰	ceza	處罰	N;NOM;SG;3	N
sayfaları	頁	sayfa	頁	N;ACC;PL;3	N
lake	湖泊	lake	湖泊	N;NOM;SG;3	N
lake	湖	lake	湖	N;NOM;SG;3	N
konum	職位	konum	職位	N;NOM;SG;3	N
konum	位置	konum	位置	N;NOM;SG;3	N
konum	立場	konum	立場	N;NOM;SG;3	N
konum	位置	konum	位置	N;NOM;SG;3	N
konum	地點	konum	地點	N;NOM;SG;3	N
örnekler	例子	örnek	例子	N;NOM;PL;3	N
örnekler	範例	örnek	範例	N;NOM;PL;3	N
örnekler	樣品	örnek	樣品	N;NOM;PL;3	N
örnekler	樣本	örnek	樣本	N;NOM;PL;3	N
yöneticisi	經理	yönetici	經理	N;NOM;SG;3	N
yöneticisi	經理	yönetici	經理	N;NOM;SG;3	N
görünüm	展望	görün	展望	N;NOM;SG;3	N
görünüm	外觀	görün	外觀	N;NOM;SG;3	N
görünüm	外表	görün	外表	N;NOM;SG;3	N
görünüm	外貌	görün	外貌	N;NOM;SG;3	N
ahşap	木質	ahşap	木質	N;NOM;SG;3	N
ahşap	木	ahşap	木	N;NOM;SG;3	N
ahşap	木工	ahşap	木工	N;NOM;SG;3	N
ahşap	木	ahşap	木	N;NOM;SG;3	N
ahşap	木材	ahşap	木材	N;NOM;SG;3	N
ahşap	木頭	ahşap	木頭	N;NOM;SG;3	N
ahşap	木材	ahşap	木材	N;NOM;SG;3	N
motoru	引擎	motor	引擎	N;ACC;SG;3	N
resimler	影像	resim	影像	N;NOM;PL;3	N
resimler	圖片	resim	圖片	N;NOM;PL;3	N
resimler	圖片	resim	圖片	N;NOM;PL;3	N
resimler	像片	resim	像片	N;NOM;PL;3	N
resimler	圖畫	resim	圖畫	N;NOM;PL;3	N
resimler	照片	resim	照片	N;NOM;PL;3	N
resimler	油畫	resim	油畫	N;NOM;PL;3	N
