پِن	pin	پِن	pin		
ترجمہ	פרשנות	ترجمہ	פרשנות	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	עדיפות	ترجیح	עדיפות	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	עליונות	ترجیح	עליונות	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	עדיפות	ترجیح	עדיפות	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	עליונות	ترجیح	עליונות	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	העדפה	ترجیح	העדפה	N;NOM;MASC;SG;3	N;FEM;SG
ترجیح	עדיפות	ترجیح	עדיפות	N;NOM;MASC;SG;3	N;FEM;SG
ترح	צער	ترح	צער		
ترخا	חתך	ترخا	חתך		
ترخا	חתוך	ترخا	חתוך		
ترخنا	סדק	ترخنا	סדק		
تردید	דחייה	تردید	דחייה	N;NOM;MASC;SG;3	N;FEM;SG
تردید	הכחשה	تردید	הכחשה	N;NOM;MASC;SG;3	N;FEM;SG
تردید	דחייה	تردید	דחייה	N;NOM;MASC;SG;3	N;FEM;SG
تردید	הכחשה	تردید	הכחשה	N;NOM;MASC;SG;3	N;FEM;SG
تردید	סתירה	تردید	סתירה	N;NOM;MASC;SG;3	N;FEM;SG
ترسا	צמאה	ترسا	צמאה		
ترساں	מפחד	ترساں	מפחד		
ترسیل	שליחה	ترسیل	שליחה	N;NOM;MASC;SG;3	N;FEM;SG
ترسیل	שליחת	ترسیل	שליחה	N;NOM;MASC;SG;3	N;FEM;SG
ترسیل	שליחה	ترسیل	שליחה	N;NOM;MASC;SG;3	N;FEM;SG
ترسیل	שליחת	ترسیل	שליחה	N;NOM;MASC;SG;3	N;FEM;SG
ترسیل	שדר	ترسیل	שדר	N;NOM;MASC;SG;3	N;MASC;SG
ترسیل	שידור	ترسیل	שידור	N;NOM;MASC;SG;3	N;MASC;SG
ترسیل	תשדורת	ترسیل	תשדורת	N;NOM;MASC;SG;3	N;FEM;SG
ترشُّح	רסס	ترشُّح	רסס	N;NOM;MASC;SG;3	N;MASC;SG
ترشُّح	טפטוף	ترشُّح	טפטוף	N;NOM;MASC;SG;3	N;MASC;SG
ترُّصد	התקווה	ترُّصد	התקווה	N;NOM;MASC;SG;3	N
ترُّصد	תקווה	ترُّصد	תקווה	N;NOM;MASC;SG;3	N;FEM;SG
ترُّصد	ציפייה	ترُّصد	ציפייה	N;NOM;MASC;SG;3	N;FEM;SG
ترُّصد	הציפייה	ترُّصد	הציפייה	N;NOM;MASC;SG;3	N;FEM;SG
ترغیب	פיתוי	ترغیب	פיתוי	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	גירוי	ترغیب	גירוי	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	שכנוע	ترغیب	שכנוע	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	פיתיון	ترغیب	פיתיון	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	פתיון	ترغیب	פתיון	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	הסתה	ترغیب	הסתה	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	ההסתה	ترغیب	ההסתה	N;NOM;MASC;SG;3	N;FEM;SG
ترغیب	פיתוי	ترغیب	פיתוי	N;NOM;MASC;SG;3	N;MASC;SG
ترغیب	גירוי	ترغیب	גירוי	N;NOM;MASC;SG;3	N;MASC;SG
ترُّفع	גובה	ترُّفع	גובה	N;NOM;MASC;SG;3	N;MASC;SG
ترُّفع	גאווה	ترُّفع	גאווה	N;NOM;MASC;SG;3	N;FEM;SG
ترُّفع	סובלימציה	ترُّفع	סובלימציה	N;NOM;MASC;SG;3	N;FEM;SG
ترقّی	שיפור	ترقّی	שיפור	N;NOM;MASC;SG;3	N;MASC;SG
ترقّی	עלייה	ترقّی	עלייה	N;NOM;MASC;SG;3	N;FEM;SG
ترقّی	קדמה	ترقّی	קדמה	N;NOM;MASC;SG;3	N;FEM;SG
ترقّی	התקדמות	ترقّی	התקדמות	N;NOM;MASC;SG;3	N;FEM;SG
ترقّی	פיתוח	ترقّی	פיתוח	N;NOM;MASC;SG;3	N;MASC;SG
ترقّی	התפתחות	ترقّی	התפתחות	N;NOM;MASC;SG;3	N;FEM;SG
ترقّی	שיפור	ترقّی	שיפור	N;NOM;MASC;SG;3	N;MASC;SG
ترقّی	קידום	ترقّی	קידום	N;NOM;MASC;SG;3	N;MASC;SG
ترکُّز	ריכוז	ترکُّز	ריכוז	N;NOM;MASC;SG;3	N;MASC;SG
ترکیب	מערכת	ترکیب	מערכת	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	מבנה	ترکیب	מבנה	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	מצב	ترکیب	מצב	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	הליך	ترکیب	הליך	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	מנגנון	ترکیب	מנגנון	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	טכניקה	ترکیب	טכניקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	טכניקת	ترکیب	טכניקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	פתרון	ترکیب	פתרון	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	טקטיקה	ترکیب	טקטיקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	שיטה	ترکیب	שיטה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תכנית	ترکیب	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תוכנית	ترکیب	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תהליך	ترکیب	תהליך	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	מערכת	ترکیب	מערכת	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	מבנה	ترکیب	מבנה	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	מצב	ترکیب	מצב	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	הליך	ترکیب	הליך	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	מנגנון	ترکیب	מנגנון	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	טכניקה	ترکیب	טכניקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	טכניקת	ترکیب	טכניקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	פתרון	ترکیب	פתרון	N;NOM;FEM;SG;3	N;MASC;SG
ترکیب	טקטיקה	ترکیب	טקטיקה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	שיטה	ترکیب	שיטה	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תכנית	ترکیب	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תוכנית	ترکیب	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
ترکیب	תהליך	ترکیب	תהליך	N;NOM;FEM;SG;3	N;MASC;SG
ترکیبی	מעורב	ترکیبی	מעורב	ADJ	ADJ;MASC;SG
ترکیبی	מעורבים	ترکیبی	מעורב	ADJ	ADJ;MASC;PL
ترکیبی	מעורבב	ترکیبی	מעורבב	ADJ	ADJ;MASC;SG
ترمیم	שיפור	ترمیم	שיפור	N;NOM;FEM;SG;3	N;MASC;SG
ترمیم	שיפור	ترمیم	שיפור	N;NOM;FEM;SG;3	N;MASC;SG
ترُن	טרי	ترُن	טרי		
ترُن	בוגר	ترُن	בוגר		
ترویج	מטבע	ترویج	מטבע	N;NOM;MASC;SG;3	N;SG
تِری	שלך	تِری	שלך		
تِریاقی	מכורה	تِریاقی	כורה	ADJ;NOM	ADJ;FEM;SG
تڑ	סדק	تڑ	סדק		
تڑپڑ	מייד	تڑپڑ	מייד		
تڑسے	מייד	تڑسہ	מייד		
تڑاق	סדק	تڑاق	סדק		
تڑپ	קפצו	تڑپ	קפץ	V;ACT	V;PL;3;PST
تڑپ	לקפוץ	تڑپ	קפץ	V;ACT	V;NFIN;ACT
تڑخنا	סדק	تڑخنا	סדק		
تڑک	סדק	تڑک	סדק		
تڑکا	השחר	تڑکا	השחר		
تڑکنا	סדק	تڑک	סדק		
تڑی	בלוף	تڑی	בלוף		
تُزک	המערכת	تُزک	המערך		
تزکیہ	טיהור	تزکیہ	טיהור	N;NOM;MASC;SG;3	N;MASC;SG
تزئین	קישוט	تزئین	קישוט	N;NOM;MASC;SG;3	N;MASC;SG
تزئین	קישוט	تزئین	קישוט	N;NOM;MASC;SG;3	N;MASC;SG
تِس	איזה	تِس	איזה		
تسجیل	רישום	تسجیل	רישום	N;NOM;MASC;SG;3	N;MASC;SG
تسجیل	הרשמה	تسجیل	הרשמה	N;NOM;MASC;SG;3	N;FEM;SG
تسجیل	להרשמה	تسجیل	הרשמם	N;NOM;MASC;SG;3	N;FEM;SG
تسکین	נוחות	تسکین	נוחות	N;NOM;MASC;SG;3	N;FEM;SG
تسکین	מנוחה	تسکین	מנוחה	N;NOM;MASC;SG;3	N;FEM;SG
تسکین	נוחות	تسکین	נוחות	N;NOM;MASC;SG;3	N;FEM;SG
تسکین	מנוחה	تسکین	מנוחה	N;NOM;MASC;SG;3	N;FEM;SG
تسکین	סיפוק	تسکین	סיפוק	N;NOM;MASC;SG;3	N;MASC;SG
تسلُح	חימוש	تسلُح	חימוש	N;NOM;MASC;SG;3	N;MASC;SG
تسلُّط	שליטה	تسلُّط	שליטה	N;NOM;MASC;SG;3	N;FEM;SG
تسلّی	נוחות	تسلّی	נוחות	N;NOM;MASC;SG;3	N;FEM;SG
تسلّی	סיפוק	تسلّی	סיפוק	N;NOM;MASC;SG;3	N;MASC;SG
تسلیم	כניעה	تسلیم	כניעה	N;NOM;MASC;SG;3	N;FEM;SG
تسلیم	קבלת	تسلیم	קבלה	N;NOM;MASC;SG;3	N;FEM;SG
تسلیم	מחווה	تسلیم	מחווה	N;NOM;MASC;SG;3	N;FEM;SG
تسلیم	כניעה	تسلیم	כניעה	N;NOM;MASC;SG;3	N;FEM;SG
تسلیم	קבלת	تسلیم	קבלה	N;NOM;MASC;SG;3	N;FEM;SG
تسلیم	מחווה	تسلیم	מחווה	N;NOM;MASC;SG;3	N;FEM;SG
تسیُّر	סיור	تسیُّر	סיור	N;NOM;MASC;SG;3	N;MASC;SG
تشخُّص	הזדהות	تشخُّص	הזדהות	N;NOM;MASC;SG;3	N;FEM;SG
تشخُّص	זיהוי	تشخُّص	זיהוי	N;NOM;MASC;SG;3	N;FEM;SG
تشخُّص	אישיות	تشخُّص	אישיות	N;NOM;MASC;SG;3	N;FEM;SG
تشخُّص	זהות	تشخُّص	זהות	N;NOM;MASC;SG;3	N;FEM;SG
تشخُّص	אפליה	تشخُّص	אפליה	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	הערכה	تشخیص	הערכה	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	נחישות	تشخیص	נחישות	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	אבחון	تشخیص	אבחון	N;NOM;MASC;SG;3	N;MASC;SG
تشخیص	אבחנה	تشخیص	אבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	הערכה	تشخیص	הערכה	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	הערכת	تشخیص	הערכה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تشخیص	הערכה	تشخیص	הערכה	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	נחישות	تشخیص	נחישות	N;NOM;MASC;SG;3	N;FEM;SG
تشخیص	אבחון	تشخیص	אבחון	N;NOM;MASC;SG;3	N;MASC;SG
تشخیص	אבחנה	تشخیص	אבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تشریح	פרשנות	تشریح	פרשנות	N;NOM;MASC;SG;3	N;FEM;SG
تشریح	הסבר	تشریح	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تشریح	פרשנות	تشریح	פרשנות	N;NOM;MASC;SG;3	N;FEM;SG
تشریح	הסבר	تشریح	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تشریحی	אנטומי	تشریحی	אנטומי	ADJ	ADJ;MASC;SG
تشفُّع	השתדלות	تشفُّع	השתדלות	N;NOM;MASC;SG;3	N;FEM;SG
تشفُّع	המלצה	تشفُّع	המלצה	N;NOM;MASC;SG;3	N;FEM;SG
تشفُّع	ההמלצה	تشفُّع	ההמלצה	N;NOM;MASC;SG;3	N;FEM;SG
تشکیل	ביצוע	تشکیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تشکیل	בניין	تشکیل	בניין	N;NOM;MASC;SG;3	N;MASC;SG
تشکیل	בנייה	تشکیل	בנייה	N;NOM;MASC;SG;3	N;FEM;SG
تشویش	חשש	تشویش	חשש	N;NOM;MASC;SG;3	N;MASC;SG
تشویش	חרדה	تشویش	חרדה	N;NOM;MASC;SG;3	N;FEM;SG
تشویش	דאגה	تشویش	דאגה	N;NOM;MASC;SG;3	N;FEM;SG
تشویش	דאגה	تشویش	דאגה	N;NOM;MASC;SG;3	N;FEM;SG
تشویش	הדאגה	تشویش	הדאגה	N;NOM;MASC;SG;3	N;FEM;SG
تشویش	חשש	تشویش	חשש	N;NOM;MASC;SG;3	N;MASC;SG
تشویش	חרדה	تشویش	חרדה	N;NOM;MASC;SG;3	N;FEM;SG
تشہیر	חרפה	تشہیر	חרפה	N;NOM;MASC;SG;3	N;FEM;SG
تشہیر	חרפה	تشہیر	חרפה	N;NOM;MASC;SG;3	N;FEM;SG
تصحیح	תיקון	تصحیح	תיקון	N;NOM;MASC;SG;3	N;MASC;SG
تصدیق	אישור	تصدیق	אישור	N;NOM;MASC;SG;3	N;MASC;SG
تصدیق	האימות	تصدیق	האימות	N;NOM;MASC;SG;3	N;FEM;SG
تصدیق	אישור	تصدیق	אישור	N;NOM;MASC;SG;3	N;MASC;SG
تصدیق	האימות	تصدیق	האימות	N;NOM;MASC;SG;3	N;FEM;SG
تصدیق	הסמכה	تصدیق	הסמכה	N;NOM;MASC;SG;3	N;FEM;SG
تصریح	הסבר	تصریح	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تصریح	הבהרה	تصریح	הבהרה	N;NOM;MASC;SG;3	N;FEM;SG
تصریح	קריינות	تصریح	קריינות	N;NOM;MASC;SG;3	N;FEM;SG
تصریف	המרה	تصریف	המרה		
تصعید	סובלימציה	تصعید	סובלימציה	N;NOM;MASC;SG;3	N;FEM;SG
تصعید	גובה	تصعید	גובה	N;NOM;MASC;SG;3	N;MASC;SG
تصعید	הרמה	تصعید	הרמה	N;NOM;MASC;SG;3	N;FEM;SG
تصفیہ	החלטה	تصفیہ	החלטה	N;NOM;MASC;SG;3	N;FEM;SG
تصفیہ	טיהור	تصفیہ	טיהור	N;NOM;MASC;SG;3	N;MASC;SG
تصفیہ	הסתגלות	تصفیہ	הסתגלות	N;NOM;MASC;SG;3	N;FEM;SG
تصفیہ	סילוק	تصفیہ	סילוק	N;NOM;MASC;SG;3	N;MASC;SG
تصنیف	ספר	تصنیف	ספר	N;NOM;MASC;SG;3	N;MASC;SG
تصنیف	כתבה	تصنیف	כתבה	N;NOM;MASC;SG;3	N;FEM;SG
تصنیف	מאמר	تصنیف	מאמר	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	ציור	تصویر	ציור	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	דיוקן	تصویر	דיוקן	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	הדיוקן	تصویر	הדיוקן	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	צביעה	تصویر	צביעה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	ציור	تصویر	ציור	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	תדמית	تصویر	תדמית	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	תצלום	تصویر	תצלום	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	ציור	تصویر	ציור	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	דיוקן	تصویر	דיוקן	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	הדיוקן	تصویر	הדיוקן	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	צביעה	تصویر	צביעה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	ציור	تصویر	ציור	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	תדמית	تصویر	תדמית	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تصویر	תצלום	تصویر	תצלום	N;NOM;MASC;SG;3	N;MASC;SG
تصویر	תמונה	تصویر	תמונה	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	ניגודיות	تضاد	ניגודי	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	ניגוד	تضاد	ניגוד	N;NOM;MASC;SG;3	N;MASC;SG
تضاد	עקביות	تضاد	עקבי	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	סתירה	تضاد	סתירה	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	ניגודיות	تضاد	ניגודי	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	ניגוד	تضاد	ניגוד	N;NOM;MASC;SG;3	N;MASC;SG
تضاد	עקביות	تضاد	עקבי	N;NOM;MASC;SG;3	N;FEM;SG
تضاد	התנגדות	تضاد	התנגדות	N;NOM;MASC;SG;3	N;FEM;SG
تضحیکی	מגוחכות	تضحیکی	מגוחך	ADJ	ADJ;FEM;PL
تضحیکی	מגוחכת	تضحیکی	מגוחך	ADJ	ADJ;FEM;SG
تضحیکی	מגוחך	تضحیکی	מגוחך	ADJ	ADJ;MASC;SG
تضمین	הכללה	تضمین	הכללה	N;NOM;MASC;SG;3	N;FEM;SG
تطابُق	הסתגלות	تطابُق	הסתגלות	N;NOM;MASC;SG;3	N;FEM;SG
تطابُق	התכתבות	تطابُق	התכתבות	N;NOM;MASC;SG;3	N;FEM;SG
تطاوُل	אורך	تطاوُل	אורך		
تطبیق	השוואה	تطبیق	השוואה	N;NOM;MASC;SG;3	N;FEM;SG
تعارض	עימות	تعارض	עימות	N;NOM;MASC;SG;3	N;FEM;SG
تعارض	תחרות	تعارض	תחרות	N;NOM;MASC;SG;3	N;FEM;SG
تعارض	עקביות	تعارض	עקבי	N;NOM;MASC;SG;3	N;FEM;SG
تعارض	התנגדות	تعارض	התנגדות	N;NOM;MASC;SG;3	N;FEM;SG
تعارض	סתירה	تعارض	סתירה	N;NOM;MASC;SG;3	N;FEM;SG
تعارف	שוחד	تعارف	שוחד	N;NOM;MASC;SG;3	N;MASC;SG
تعارف	הכרות	تعارف	הכרה	N;NOM;MASC;SG;3	N;FEM;SG
تعارف	ההיכרות	تعارف	ההיכרות	N;NOM;MASC;SG;3	N;FEM;SG
تعارف	היכרות	تعارف	היכרות	N;NOM;MASC;SG;3	N;FEM;SG
تعاقب	מרדף	تعاقب	מרדף	N;NOM;MASC;SG;3	N;MASC;SG
تعاقب	מרדף	تعاقب	מרדף	N;NOM;MASC;SG;3	N;MASC;SG
تعب	צרה	تعب	צר		
تعب	סבל	تعب	סבל		
تعب	צער	تعب	צער		
تعب	צער	تعب	צער		
تعبُّس	עצבנות	تعبُّس	עצבנות	N;NOM;MASC;SG;3	N;FEM;SG
تعبیر	הסבר	تعبیر	הסבר	N;NOM;FEM;SG;3	N;MASC;SG
تعداد	מספר	تعداد	מספר	N;NOM;MASC;SG;3	N;MASC;SG
تعداد	סכום	تعداد	סכום	N;NOM;MASC;SG;3	N;MASC;SG
تعداد	כוח	تعداد	כוח	N;NOM;MASC;SG;3	N;MASC;SG
تعداد	חוזק	تعداد	חזק	N;NOM;MASC;SG;3	N;MASC;SG
تعداد	עוצמה	تعداد	עוצמה	N;NOM;MASC;SG;3	N;FEM;SG
تعداد	סכום	تعداد	סכום	N;NOM;MASC;SG;3	N;MASC;SG
تعدیل	הסתגלות	تعدیل	הסתגלות	N;NOM;MASC;SG;3	N;FEM;SG
تعدیل	הסתגלות	تعدیل	הסתגלות	N;NOM;MASC;SG;3	N;FEM;SG
تعریف	תיאור	تعریف	תיאור	N;NOM;MASC;SG;3	N;MASC;SG
تعریف	הגדרה	تعریف	הגדרה	N;NOM;MASC;SG;3	N;FEM;SG
تعریف	הסבר	تعریف	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تعریف	תיאור	تعریف	תיאור	N;NOM;MASC;SG;3	N;MASC;SG
تعریف	הגדרה	تعریف	הגדרה	N;NOM;MASC;SG;3	N;FEM;SG
تعریف	הסבר	تعریف	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تعریف	הערצה	تعریف	הערצה	N;NOM;MASC;SG;3	N;FEM;SG
تعزیر	ענישה	تعزیر	ענישה	N;NOM;MASC;SG;3	N;FEM;SG
تعزیر	עונש	تعزیر	עונש	N;NOM;MASC;SG;3	N;MASC;SG
تعزیر	נזיפה	تعزیر	נזיפה	N;NOM;MASC;SG;3	N;FEM;SG
تعزیر	גינוי	تعزیر	גינוי	N;NOM;MASC;SG;3	N;MASC;SG
تعزیر	ענישה	تعزیر	ענישה	N;NOM;MASC;SG;3	N;FEM;SG
تعزیر	עונש	تعزیر	עונש	N;NOM;MASC;SG;3	N;MASC;SG
تعزیر	עונש	تعزیر	עונש	N;NOM;MASC;SG;3	N;MASC;SG
تعزیر	נזיפה	تعزیر	נזיפה	N;NOM;MASC;SG;3	N;FEM;SG
تعزیر	גינוי	تعزیر	גינוי	N;NOM;MASC;SG;3	N;MASC;SG
تعسُّر	קושי	تعسُّر	קושי	N;NOM;MASC;SG;3	N;MASC;SG
تعسُّف	סטייה	تعسُّف	סטייה	N;NOM;MASC;SG;3	N;FEM;SG
تعشُّق	אהבה	تعشُّق	אהבה	N;NOM;MASC;SG;3	N;FEM;SG
تعشُّق	תשוקה	تعشُّق	תשוקה	N;NOM;MASC;SG;3	N;FEM;SG
تعشُّق	רצון	تعشُّق	רצון	N;NOM;MASC;SG;3	N;MASC;SG
تعشُّق	חיבה	تعشُّق	חיבה	N;NOM;MASC;SG;3	N;FEM;SG
تعطّف	חסד	تعطّف	חסד		
تعطّل	השירות	تعطّل	השירות		
تعطیل	בטלה	تعطیل	בטל	N;NOM;MASC;SG;3	N;FEM;SG
تعطیل	חג	تعطیل	חג	N;NOM;MASC;SG;3	N;MASC;SG
تعطیل	חופשה	تعطیل	חופשה	N;NOM;MASC;SG;3	N;FEM;SG
تعطیل	נופש	تعطیل	נופש	N;NOM;MASC;SG;3	N;MASC;SG
تعطیل	חופשה	تعطیل	חופשה	N;NOM;MASC;SG;3	N;FEM;SG
تعظیم	כבוד	تعظیم	כבוד	N;NOM;FEM;SG;3	N;MASC;SG
تعظیم	כבוד	تعظیم	כבוד	N;NOM;FEM;SG;3	N;MASC;SG
تعظیم	הערצה	تعظیم	הערצה	N;NOM;FEM;SG;3	N;FEM;SG
تعلُّقہ	אחזקה	تعلُّقہ	אחזקה	N;NOM;MASC;SG;3	N;FEM;SG
تعلُّقہ	החזקה	تعلُّقہ	החזקה	N;NOM;MASC;SG;3	N;FEM;SG
تعلیم	הוראה	تعلیم	הוראה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	לימוד	تعلیم	לימוד	N;NOM;FEM;SG;3	N;MASC;SG
تعلیم	השכלה	تعلیم	השכלה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	חינוך	تعلیم	חינוך	N;NOM;FEM;SG;3	N;MASC;SG
تعلیم	הוראה	تعلیم	הוראה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	הדרכה	تعلیم	הדרכה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	הוראה	تعلیم	הוראה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	לימוד	تعلیم	לימוד	N;NOM;FEM;SG;3	N;MASC;SG
تعلیم	השכלה	تعلیم	השכלה	N;NOM;FEM;SG;3	N;FEM;SG
تعلیم	חינוך	تعلیم	חינוך	N;NOM;FEM;SG;3	N;MASC;SG
تعمیر	בניין	تعمیر	בניין	N;NOM;FEM;SG;3	N;MASC;SG
تعمیر	בנייה	تعمیر	בנייה	N;NOM;FEM;SG;3	N;FEM;SG
تعمیر	מבנה	تعمیر	מבנה	N;NOM;FEM;SG;3	N;MASC;SG
تعمیر	בניה	تعمیر	בניה	N;NOM;FEM;SG;3	N;FEM;SG
تعمیر	בנייה	تعمیر	בנייה	N;NOM;FEM;SG;3	N;FEM;SG
تعمیر	בניין	تعمیر	בניין	N;NOM;FEM;SG;3	N;MASC;SG
تعمیر	בנייה	تعمیر	בנייה	N;NOM;FEM;SG;3	N;FEM;SG
تعمیر	מבנה	تعمیر	מבנה	N;NOM;FEM;SG;3	N;MASC;SG
تعمیل	ביצוע	تعمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تعمیل	הצגה	تعمیل	הצגה	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	הופעה	تعمیل	הופעה	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	ביצוע	تعمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تعمیل	צייתנות	تعمیل	צייתנות	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	ביצוע	تعمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تعمیل	הצגה	تعمیل	הצגה	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	הופעה	تعمیل	הופעה	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	ביצוע	تعمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تعمیل	צייתנות	تعمیل	צייתנות	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	ציות	تعمیل	ציות	N;NOM;MASC;SG;3	N;FEM;SG
تعمیل	צייתנות	تعمیل	צייתנות	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	תזונה	تغذیہ	תזונה	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	הזנה	تغذیہ	הזנה	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	אכילה	تغذیہ	אכילה	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	תזונה	تغذیہ	תזונה	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	הזנה	تغذیہ	הזנה	N;NOM;MASC;SG;3	N;FEM;SG
تغذیہ	אכילה	تغذیہ	אכילה	N;NOM;MASC;SG;3	N;FEM;SG
تغییر	עודף	تغییر	עודף		
تَف	חום	تَف	חום		
تُف	לירוק	تُف	לירוק		
تفارُق	חטיבה	تفارُق	חטיבה	N;NOM;MASC;SG;3	N;FEM;SG
تفارُق	דיוויזיה	تفارُق	דיוויזיה	N;NOM;MASC;SG;3	N
تفارُق	חלוקה	تفارُق	חלוקה	N;NOM;MASC;SG;3	N;FEM;SG
تفارُق	הפרדה	تفارُق	הפרדה	N;NOM;MASC;SG;3	N;FEM;SG
تفارُق	הבדל	تفارُق	הבדל	N;NOM;MASC;SG;3	N;MASC;SG
تفت	הוט	تفت	הוט		
تفت	חם	تفت	חם		
تفت	חום	تفت	חום		
تفت	חם	تفت	חם		
تفت	חום	تفت	חום		
تفتہ	שרוף	تفتہ	שרוף		
تفتیش	מחקר	تفتیش	מחקר	N;NOM;FEM;SG;3	N;MASC;SG
تفتیش	חקירה	تفتیش	חקירה	N;NOM;FEM;SG;3	N;FEM;SG
تفتیش	חקירה	تفتیش	חקירה	N;NOM;FEM;SG;3	N;FEM;SG
