with	با	with	با	ADP	ADP
hair	موی	hair	مو	N;SG	N;SG
hair	مو	hair	مو	N;SG	N;SG
movies	فیلمهایی	movie	فیلم	N;PL	N;PL
movies	فیلمها	movie	فیلم	N;PL	N;PL
pool	بیلیارد	pool	بیلیارد	N;SG	N;SG
pool	استخری	pool	استخری	N;SG	N;SG
pool	استخر	pool	استخر	N;SG	N;SG
driving	رانندگی	driving	None	N;SG	N;SG
phone	گوشی	phone	گوش	N;SG	N;SG
phone	تلفن	phone	تلفن	N;SG	N;SG
window	پنجره	window	پنجره	N;SG	N;SG
document	سند	document	سند	N;SG	N;SG
document	نوشتار	document	نوشتار	N;SG	N;SG
collaboration	همکاری	collaboration	همکاری	N;SG	N;SG
leg	پای	leg	پا	N;SG	N;SG
leg	پاش	leg	پاش	N;SG	N;SG
leg	ساق	leg	None	N;SG	N;SG
leg	پا	leg	پا	N;SG	N;SG
videos	ویدئوهای	video	ویدئو	N;PL	N;PL
videos	ویدیوها	video	ویدیو	N;PL	N;PL
videos	ویدیوهای	video	ویدیو	N;PL	N;PL
dry	خشک	dry	خشک	ADJ	ADJ
dry	خشکیده	dry	خشکیده	ADJ	ADJ;SG;3;V.PTCP
instrument	ساز	instrument	ساز	N;SG	N;SG
portrait	طولی	portrait	طولی	N;SG	N;SG
drivers	رانندگان	driver	راننده	N;PL	N;PL
viewers	بینندگان	viewer	None	N;PL	N;PL
viewers	بازدیدکنندگان	viewer	بازدیدکننده	N;PL	N;PL
element	عنصر	element	عنصر	N;SG	N;SG
roof	سقف	roof	سقف	N;SG	N;SG
roof	بام	roof	None	N;SG	N;SG
colour	رنگ	colour	رنگ	N;SG	N;SG
prisoners	زندانیان	prisoner	زندانی	N;PL	N;PL
facebook	فیسبوک	facebook	فیسبوک	N;SG	N;SG
facebook	فیس	facebook	فیس	N;SG	N;SG
insurance	بیمه	insurance	بیمه	N;SG	N;SG
expert	متخصص	expert	متخصص	N;SG	N;SG
expert	کارشناس	expert	کارشناس	N;SG	N;SG
expert	expert	expert	expert	N;SG	N;SG
steam	بخار	steam	بخار	N;SG	N;SG
steam	استیم	steam	استیم	N;SG	N;SG
cards	کارتها	card	کارت	N;PL	N;PL
cards	کارتهای	card	کارت	N;PL	N;PL
manufacturing	ساخت	manufacturing	ساخت	N;SG	N;SG
manufacturing	تولیدی	manufacturing	تولیدی	N;SG	N;SG
testing	آزمون	testing	آزمون	N;SG	N;SG
testing	آزمودن	testing	آزمودن	N;SG	N;SG
testing	آزمایش	testing	آزمایش	N;SG	N;SG
testing	تست	testing	None	N;SG	N;SG
rescue	نجات	rescue	نجات	N;SG	N;SG
territories	سرزمینهای	territory	سرزمین	N;PL	N;PL
journey	سفر	journey	سفر	N;SG	N;SG
journey	سفری	journey	سفر	N;SG	N;SG
journey	مسافرت	journey	مسافرت	N;SG	N;SG
storage	انبار	storage	انبار	N;SG	N;SG
storage	ذخیره	storage	ذخیره	N;SG	N;SG
soldier	سرباز	soldier	سرباز	N;SG	N;SG
soldier	سربازی	soldier	سربازی	N;SG	N;SG
colony	کلونی	colony	کلونی	N;SG	N;SG
colony	مستعمره	colony	مستعمره	N;SG	N;SG
evolution	تکامل	evolution	تکامل	N;SG	N;SG
evolution	فرگشت	evolution	فرگشت	N;SG	N;SG
evolution	تحول	evolution	تحول	N;SG	N;SG
evolution	evolution	evolution	evolution	N;SG	N;SG
evolution	اوولوشن	evolution	اوولوشن	N;SG	N;SG
judges	داوران	judge	داور	N;PL	N;PL
judges	قضات	judge	قضات	N;PL	N;PL
judges	حاکمان	judge	حاکم	N;PL	N;PL
gardens	باغها	garden	باغ	N;PL	N;PL
poems	شعرهای	poem	None	N;PL	N;PL
responsibility	مسولیت	responsibility	مسولیت	N;SG	N;SG
responsibility	مسئولیتی	responsibility	مسئولیتی	N;SG	N;SG
responsibility	مسئولیت	responsibility	مسئولیت	N;SG	N;SG
sentences	جملات	sentence	None	N;PL	N;PL
engineers	مهندسان	engineer	مهندس	N;PL	N;PL
engineers	مهندسین	engineer	مهندس	N;PL	N;PL
engineers	کارشناسان	engineer	کارشناس	N;PL	N;PL
visible	نمایان	visible	نمایان	ADJ	ADJ
gulf	خلیج	gulf	None	N;SG	N;SG
inner	درونی	inner	درونی	ADJ	ADJ
trip	سفر	trip	سفر	N;SG	N;SG
restaurant	رستورانی	restaurant	رستورانی	N;SG	N;SG
restaurant	رستوران	restaurant	رستوران	N;SG	N;SG
rice	برنجی	rice	برنجی	N;SG	N;SG
rice	پلو	rice	پلو	N;SG	N;SG
rice	رایس	rice	None	N;SG	N;SG
rice	برنج	rice	برنج	N;SG	N;SG
reasonable	معقول	reasonable	معقول	ADJ	ADJ
skin	پوست	skin	پوست	N;SG	N;SG
skin	پوستی	skin	پوستی	N;SG	N;SG
volleyball	والیبال	volleyball	والیبال	N;SG	N;SG
factors	عوامل	factor	عامل	N;PL	N;PL
devices	دستگاهها	device	دستگاه	N;PL	N;PL
devices	دستگاههای	device	دستگاه	N;PL	N;PL
phrase	عبارت	phrase	عبارت	N;SG	N;SG
suicide	انتحاری	suicide	انتحاری	N;SG	N;SG
suicide	خودکشی	suicide	خودکشی	N;SG	N;SG
suicide	انتحار	suicide	انتحار	N;SG	N;SG
advantage	مزیت	advantage	مزیت	N;SG	N;SG
goods	کالاهای	goods	کالا	N;PL	N;PL
goods	اجناس	goods	اجناس	N;PL	N;PL
goods	کالاها	goods	کالا	N;PL	N;PL
charges	اتهامات	charge	اتهام	N;PL	N;PL
charges	اتهاماتی	charge	اتهاماتی	N;PL	N;PL
operator	اپراتور	operator	اپراتور	N;SG	N;SG
operator	عملگر	operator	عملگر	N;SG	N;SG
merely	صرفا	merely	صرفاً	ADV	ADV
latest	جدیدترین	latest	None	ADJ;RL	ADJ;RL
latest	آخرین	latest	آخرین	ADJ;RL	ADJ;RL
victims	قربانیان	victim	قربانی	N;PL	N;PL
explanation	شرح	explanation	شرح	N;SG	N;SG
threat	تحدید	threat	None	N;SG	N;SG
threat	تهدید	threat	تهدید	N;SG	N;SG
poets	شاعران	poet	شاعر	N;PL	N;PL
stopped	ایستاد	stop	ایستاد#ایست	V;PST;FIN	V;SG;3;PST
strategy	استراتژی	strategy	استراتژی	N;SG	N;SG
strategy	راهبرد	strategy	راهبرد	N;SG	N;SG
associate	همتای	associate	همتا	N;SG	N;SG
excellent	عالی	excellent	عالی	ADJ	ADJ
masters	اساتید	master	استاد	N;PL	N;PL
masters	استادان	master	استاد	N;PL	N;PL
masters	اربابان	master	ارباب	N;PL	N;PL
passengers	مسافرین	passenger	مسافرین	N;PL	N;PL
passengers	مسافران	passenger	مسافر	N;PL	N;PL
festivals	جشنهای	festival	جشن	N;PL	N;PL
hunter	هانتر	hunter	هانتر	N;SG	N;SG
hunter	شکارچی	hunter	شکارچی	N;SG	N;SG
partnership	شراکت	partnership	شراکت	N;SG	N;SG
partnership	همکاری	partnership	همکاری	N;SG	N;SG
partnership	شرکتی	partnership	None	N;SG	N;SG
maintenance	نگهداشت	maintenance	None	N;SG	N;SG
maintenance	نگهداری	maintenance	نگهداری	N;SG	N;SG
monitoring	نظارت	monitor	نظارت	N;SG	N;SG
evil	شرور	evil	شرور	N;SG	N;SG
evil	شرارت	evil	شرارت	N;SG	N;SG
relief	امداد	relief	امداد	N;SG	N;SG
poverty	فقر	poverty	فقر	N;SG	N;SG
breaking	شکستن	breaking	شکستن	N;SG	N;SG
breaking	شکنی	breaking	شکنی	N;SG	N;SG
historians	مورخان	historian	مورخ	N;PL	N;PL
speaker	بلندگو	speaker	بلندگو	N;SG	N;SG
speaker	سخنگوی	speaker	سخنگو	N;SG	N;SG
speaker	اسپیکر	speaker	اسپیکر	N;SG	N;SG
speaker	سخنگو	speaker	سخنگو	N;SG	N;SG
moth	شاپرک	moth	شاپرک	N;SG	N;SG
permission	اجازه	permission	اجازه	N;SG	N;SG
permission	مجوز	permission	مجوز	N;SG	N;SG
gate	دروازه	gate	دروازه	N;SG	N;SG
gate	گیت	gate	گرفت#گیر	N;SG	N;SG
gate	دری	gate	دری	N;SG	N;SG
photography	عکاسی	photography	عکاسی	N;SG	N;SG
photography	photography	photography	photography	N;SG	N;SG
photography	عکسبرداری	photography	عکسبرداری	N;SG	N;SG
roll	رول	roll	رول	N;SG	N;SG
contrast	کنتراست	contrast	None	N;SG	N;SG
processes	فرایندهای	process	فرایند	N;PL	N;PL
terminal	ترمینال	terminal	ترمینال	N;SG	N;SG
terminal	پایانه	terminal	پایانه	N;SG	N;SG
spouse	همسری	spouse	همسری	N;SG	N;SG
spouse	همسر	spouse	همسر	N;SG	N;SG
infrastructure	زیرساخت	infrastructure	زیرساخت	N;SG	N;SG
principle	اصل	principle	اصل	N;SG	N;SG
frequency	فرکانسی	frequency	فرکانسی	N;SG	N;SG
frequency	فرکانس	frequency	فرکانس	N;SG	N;SG
frequency	بسامد	frequency	بسامد#سام	N;SG	N;SG
waters	آبها	water	آب	N;PL	N;PL
waters	آبهای	water	آب	N;PL	N;PL
bridges	پلها	bridge	پل	N;PL	N;PL
monument	یادبود	monument	یادبود	N;SG	N;SG
monument	یادمان	monument	یادم	N;SG	N;SG
portal	پورتال	portal	پورتال	N;SG	N;SG
giant	غول	giant	غول	N;SG	N;SG
assessment	ارزیابی	assessment	ارزیابی	N;SG	N;SG
counter	شمارشگر	counter	شمارشگر	N;SG	N;SG
expression	تجلّی	expression	تجلّی	N;SG	N;SG
expression	عبارت	expression	عبارت	N;SG	N;SG
improvement	بهبودی	improvement	بهبودی	N;SG	N;SG
improvement	بهبود	improvement	بهبود	N;SG	N;SG
closure	خاتمه	closure	خاتمه	N;SG	N;SG
wheel	فرمون	wheel	فرمون	N;SG	N;SG
wheel	چرخ	wheel	چرخ	N;SG	N;SG
ambassador	سفیر	ambassador	سفیر	N;SG	N;SG
ambassador	کبیری	ambassador	کبیر	N;SG	N;SG
desert	کویر	desert	کویر	N;SG	N;SG
desert	بیابان	desert	بیاب	N;SG	N;SG
desert	بیابانی	desert	بیابانی	N;SG	N;SG
desert	صحرا	desert	None	N;SG	N;SG
reign	سلطنت	reign	سلطنت	N;SG	N;SG
uncle	عمو	uncle	عمو	N;SG	N;SG
uncle	عموی	uncle	None	N;SG	N;SG
uncle	دایی	uncle	دا	N;SG	N;SG
rain	باران	rain	باران	N;SG	N;SG
rain	بارانی	rain	بارانی	N;SG	N;SG
rain	بارون	rain	بارون	N;SG	N;SG
fishing	ماهیگیری	fishing	ماهیگیری	N;SG	N;SG
principles	اصول	principle	اصل	N;PL	N;PL
tests	آزمونهای	test	آزمون	N;PL	N;PL
trouble	مشکل	trouble	مشکل	N;SG	N;SG
trouble	دردسر	trouble	دردسر	N;SG	N;SG
trouble	زحمت	trouble	زحمت	N;SG	N;SG
paragraph	پاراگراف	paragraph	پاراگراف	N;SG	N;SG
paragraph	بند	paragraph	بند	N;SG	N;SG
bat	چماق	bat	چماق	N;SG	N;SG
bat	خفاش	bat	خفاش	N;SG	N;SG
prepared	مهیا	prepared	مهیا	ADJ	ADJ
fear	خوف	fear	خوف	N;SG	N;SG
fear	ترس	fear	None	N;SG	N;SG
merit	لیاقت	merit	لیاقت	N;SG	N;SG
merit	شایستگی	merit	شایستگی	N;SG	N;SG
participation	مشارکت	participation	مشارکت	N;SG	N;SG
massive	حجیم	massive	حجیم	ADJ	ADJ
designs	طراحیهای	design	طراحی	N;PL	N;PL
designs	طرحهای	design	طرح	N;PL	N;PL
technique	تکنیک	technique	تکنیک	N;SG	N;SG
clerk	کارمند	clerk	کارمند	N;SG	N;SG
knew	دانستم	know	دانست#دان	V;IND;PST;FIN	V;SG;1;PST
dating	دوستیابی	dating	دوستیابی	N;SG	N;SG
bomb	بمب	bomb	بمب	N;SG	N;SG
capable	قادر	capable	قادر	ADJ	ADJ
poem	شعری	poem	شعر	N;SG	N;SG
poem	شعر	poem	شعر	N;SG	N;SG
stages	مراحل	stage	مرحله	N;PL	N;PL
dragon	اژدهای	dragon	اژد	N;SG	N;SG
dragon	دراگون	dragon	دراگون	N;SG	N;SG
dragon	اژدها	dragon	اژد	N;SG	N;SG
proof	برهان	proof	برهان	N;SG	N;SG
proof	اثبات	proof	اثبات	N;SG	N;SG
proof	مدرک	proof	مدرک	N;SG	N;SG
mouth	دهان	mouth	دهان	N;SG	N;SG
mouth	دهن	mouth	دهن	N;SG	N;SG
symbol	نماد	symbol	نماد	N;SG	N;SG
organ	ارگ	organ	ارگ	N;SG	N;SG
organ	ارگان	organ	ارگان	N;SG	N;SG
organ	اندام	organ	اندام	N;SG	N;SG
exception	استثنا	exception	استثنا	N;SG	N;SG
exception	استثنای	exception	استثنای	N;SG	N;SG
unfortunately	بدبختانه	unfortunately	بدبختانه	ADV	ADV
unfortunately	متأسفانه	unfortunately	متأسفانه	ADV	ADV
unfortunately	متاسفانه	unfortunately	متاسفانه	ADV	ADV
replacement	جایگزینی	replacement	جایگزینی	N;SG	N;SG
thousand	هزار	thousand	هزار	NUM	NUM
legislation	قانونگذاری	legislation	قانونگذاری	N;SG	N;SG
beauty	زیبایی	beauty	زیبایی	N;SG	N;SG
opinions	نظرات	opinion	نظر	N;PL	N;PL
opinions	عقاید	opinion	عقیده	N;PL	N;PL
cavalry	سواره	cavalry	سواره	N;SG	N;SG
tribe	قبیله	tribe	None	N;SG	N;SG
chess	چس	chess	چس	N;SG	N;SG
chess	شطرنج	chess	None	N;SG	N;SG
channels	کانالها	channel	کانال	N;PL	N;PL
channels	کانالهای	channel	کانال	N;PL	N;PL
involvement	گرفتاری	involvement	گرفتاری	N;SG	N;SG
involvement	درگیری	involvement	درگیری	N;SG	N;SG
involvement	دخالت	involvement	دخالت	N;SG	N;SG
sisters	خواهران	sister	خواهر	N;PL	N;PL
requests	درخواستها	request	درخواست	N;PL	N;PL
unusual	غیرعادی	unusual	غیرعادی	ADJ	ADJ
impossible	ناممکن	impossible	ناممکن	ADJ	ADJ
impossible	غیرممکن	impossible	غیرممکن	ADJ	ADJ
colors	رنگهای	color	رنگ	N;PL	N;PL
colors	رنگها	color	رنگ	N;PL	N;PL
cook	کوک	cook	کوک	N;SG	N;SG
cook	آشپز	cook	آشپز	N;SG	N;SG
cook	آشپزی	cook	آشپزی	N;SG	N;SG
drawing	ترسیم	draw	ترسیم	N;SG	N;SG
drawing	نقاشی	draw	نقاشی	N;SG	N;SG
drawing	کشیدن	draw	کشیدن	N;SG	N;SG
moves	حرکات	move	None	N;PL	N;PL
ownership	مالکیت	ownership	مالکیت	N;SG	N;SG
regulations	مقررات	regulation	مقررات	N;PL	N;PL
crash	سقوط	crash	سقوط	N;SG	N;SG
crash	کراش	crash	کراش	N;SG	N;SG
crash	فروپاشی	crash	فروپاشی	N;SG	N;SG
guitarist	guitarist	guitarist	guitarist	N;SG	N;SG
guitarist	گیتاریست	guitarist	گیتاریست#یتار	N;SG	N;SG
deleting	حذف	delete	حذف	N;SG	N;SG
tone	لحن	tone	None	N;SG	N;SG
personality	شخصیت	personality	شخصیت	N;SG	N;SG
personality	شخصیتی	personality	شخصیت	N;SG	N;SG
reception	دریافت	reception	دریافت	N;SG	N;SG
reception	پذیرش	reception	پذیرش	N;SG	N;SG
reception	پذیرایی	reception	پذیرایی	N;SG	N;SG
transit	گذر	transit	None	N;SG	N;SG
transit	عبور	transit	عبور	N;SG	N;SG
transit	عبوری	transit	عبوری	N;SG	N;SG
flowers	گلها	flower	گل	N;PL	N;PL
adventure	ماجرای	adventure	ماجرا	N;SG	N;SG
adventure	ماجراجویی	adventure	ماجراجویی	N;SG	N;SG
definitely	قطعاً	definitely	قطعاً	ADV	ADV
definitely	قطعا	definitely	قطعاً	ADV	ADV
guinea	گینه	guinea	گینه	N;SG	N;SG
horror	ترسناک	horror	None	N;SG	N;SG
horror	وحشت	horror	وحشت	N;SG	N;SG
popularity	محبوبیت	popularity	محبوبیت	N;SG	N;SG
occasionally	گهگاه	occasionally	گهگاه	ADV	ADV
coalition	ائتلاف	coalition	ائتلاف	N;SG	N;SG
critic	منتقد	critic	منتقد	N;SG	N;SG
journals	نشریات	journal	نشریه	N;PL	N;PL
journals	مجلات	journal	مجله	N;PL	N;PL
rolling	غلتان	roll	غلتان	N;SG	N;SG
rolling	رولینگ	roll	رولینگ	N;SG	N;SG
percentage	درصد	percentage	درصد	N;SG	N;SG
percentage	درصدی	percentage	درصدی	N;SG	N;SG
laboratory	آزمایشگاهی	laboratory	آزمایشگاهی	N;SG	N;SG
laboratory	لابراتوار	laboratory	لابراتوار	N;SG	N;SG
laboratory	آزمایشگاه	laboratory	آزمایشگاه	N;SG	N;SG
movements	حرکات	movement	None	N;PL	N;PL
charter	منشور	charter	منشور	N;SG	N;SG
suitable	مناسب	suitable	مناسب	ADJ	ADJ
rooms	اتاقها	room	اتاق	N;PL	N;PL
rooms	اتاقهای	room	اتاق	N;PL	N;PL
reputation	اعتبار	reputation	اعتبار	N;SG	N;SG
reputation	آبرو	reputation	None	N;SG	N;SG
reputation	شهرت	reputation	شهرت	N;SG	N;SG
reputation	شهرتش	reputation	شهرتش	N;SG	N;SG
websites	وبسایتهای	website	وبسایت	N;PL	N;PL
interpretation	تعبیر	interpretation	تعبیر	N;SG	N;SG
interpretation	تفسیر	interpretation	تفسیر	N;SG	N;SG
chemistry	chemistry	chemistry	chemistry	N;SG	N;SG
chemistry	شیمی	chemistry	شیمی	N;SG	N;SG
knows	میداند	know	دانست#دان	V;IND;SG;3;PRS;FIN	V;SG;3;PRS
journalists	خبرنگاران	journalist	خبرنگار	N;PL	N;PL
forests	جنگلهای	forest	جنگل	N;PL	N;PL
forests	جنگلها	forest	جنگل	N;PL	N;PL
symphony	سمفونی	symphony	سمفونی	N;SG	N;SG
tags	برچسبهای	tags	برچسبای	N;PL	N;PL
tigers	ببرهای	tiger	ببر	N;PL	N;PL
tigers	ببرها	tiger	ببر	N;PL	N;PL
commerce	بازرگانی	commerce	بازرگانی	N;SG	N;SG
commerce	تجارت	commerce	تجارت	N;SG	N;SG
remix	ریمیکس	remix	ریمیکس	N;SG	N;SG
gang	گنگ	gang	گنگ	N;SG	N;SG
quote	نقل	quote	نقل	N;SG	N;SG
input	ورودی	input	ورودی	N;SG	N;SG
battery	باطری	battery	باطری	N;SG	N;SG
battery	باتری	battery	باتری	N;SG	N;SG
favor	لطفی	favor	لطفی	N;SG	N;SG
apparent	آشکار	apparent	آشکار	ADJ	ADJ
shopping	shopping	shopping	shopping	N;SG	N;SG
shopping	خرید	shopping	خرید	N;SG	N;SG
patrol	گشت	patrol	گشت#گرد	N;SG	N;SG
patrol	گشتی	patrol	گشت#گش	N;SG	N;SG
patrol	پاترول	patrol	پاترول	N;SG	N;SG
angel	آنجل	angel	آنجل	N;SG	N;SG
angel	فرشته	angel	فرشته	N;SG	N;SG
angel	انجل	angel	انجل	N;SG	N;SG
martial	رزمی	martial	رزمی	N;SG	N;SG
restoration	بازگردانی	restoration	بازگردانی	N;SG	N;SG
restoration	مرمت	restoration	مرمت	N;SG	N;SG
restoration	ترمیم	restoration	ترمیم	N;SG	N;SG
centers	مراکز	center	مرکز	N;PL	N;PL
helpful	مفید	helpful	مفید	ADJ	ADJ
components	قطعات	component	قطعه	N;PL	N;PL
components	اجزای	component	اجزا	N;PL	N;PL
tourism	گردشگری	tourism	گردشگری	N;SG	N;SG
essay	مقاله	essay	مقاله	N;SG	N;SG
circumstances	شرایطی	circumstance	شرایط	N;PL	N;PL
circumstances	شرایط	circumstance	شرایط	N;PL	N;PL
plain	ساده	plain	ساده	ADJ	ADJ
duties	وظایف	duty	None	N;PL	N;PL
grammar	گرامر	grammar	گرامر	N;SG	N;SG
amendment	متمم	amendment	None	N;SG	N;SG
relation	نسبتی	relation	نسبت	N;SG	N;SG
relation	ارتباط	relation	ارتباط	N;SG	N;SG
relation	رابطه	relation	رابطه	N;SG	N;SG
habitat	زیستگاه	habitat	زیستگاه	N;SG	N;SG
shell	شل	shell	None	N;SG	N;SG
shell	پوسته	shell	پوسته	N;SG	N;SG
conflicts	درگیریهای	conflict	درگیری	N;PL	N;PL
triple	تریپل	triple	تریپل	N;SG	N;SG
boundary	مرز	boundary	مرز	N;SG	N;SG
industries	صنایع	industry	صنعت	N;PL	N;PL
comparison	مقایسه	comparison	مقایسه	N;SG	N;SG
basin	حوضه	basin	حوضه	N;SG	N;SG
basin	سماور	basin	None	N;SG	N;SG
charity	زکات	charity	None	N;SG	N;SG
charity	صدقه	charity	صدقه	N;SG	N;SG
charity	خیریه	charity	خیریه	N;SG	N;SG
output	خروجی	output	خروجی	N;SG	N;SG
carbon	کربن	carbon	None	N;SG	N;SG
carbon	کربنی	carbon	کربنی	N;SG	N;SG
boats	قایقهای	boat	قایق	N;PL	N;PL
boats	قایقها	boat	قایق	N;PL	N;PL
representation	نمایندگی	representation	نمایندگی	N;SG	N;SG
commentary	تفسیری	commentary	تفسیر	N;SG	N;SG
commentary	تفسیر	commentary	تفسیر	N;SG	N;SG
rising	طلوع	rise	طلوع	N;SG	N;SG
markets	بازارها	market	بازار	N;PL	N;PL
markets	بازارهای	market	بازار	N;PL	N;PL
plate	پلاک	plate	None	N;SG	N;SG
plate	بشقاب	plate	بشقاب	N;SG	N;SG
processing	پردازش	processing	پردازش	N;SG	N;SG
processing	پردازی	processing	پردازی	N;SG	N;SG
landscape	عرضی	landscape	عرضی	N;SG	N;SG
landscape	منظره	landscape	منظره	N;SG	N;SG
psychology	روانشناسی	psychology	روانشناسی	N;SG	N;SG
guardian	گاردین	guardian	گاردین	N;SG	N;SG
losses	خسارات	loss	خسارت	N;PL	N;PL
balance	میزان	balance	میزان	N;SG	N;SG
balance	تعادل	balance	تعادل	N;SG	N;SG
balance	توازن	balance	توازن	N;SG	N;SG
balance	موازنه	balance	موازنه	N;SG	N;SG
democracy	دمکراسی	democracy	دمکراسی	N;SG	N;SG
democracy	دموکراسی	democracy	None	N;SG	N;SG
submarine	زیردریایی	submarine	زیردریایی	N;SG	N;SG
usual	معمول	usual	معمول	ADJ	ADJ
usual	همیشگی	usual	همیشگی	ADJ	ADJ
riding	سوارکاری	riding	سوارکاری	N;SG	N;SG
riding	سواری	riding	سواری	N;SG	N;SG
riding	سواره	riding	سواره	N;SG	N;SG
arrival	ورود	arrival	ورود	N;SG	N;SG
prose	نثر	prose	نثر	N;SG	N;SG
cargo	محموله	cargo	محموله	N;SG	N;SG
volunteer	داوطلب	volunteer	داوطلب	N;SG	N;SG
bio	bio	bio	bio	N;SG	N;SG
holder	هولدر	holder	هولدر	N;SG	N;SG
sugar	شکری	sugar	شکری	N;SG	N;SG
sugar	قند	sugar	قند	N;SG	N;SG
sugar	شکر	sugar	None	N;SG	N;SG
daughters	دختران	daughter	None	N;PL	N;PL
partners	شرکا	partner	شرکا	N;PL	N;PL
feed	تغذیه	feed	تغذیه	N;SG	N;SG
feed	خوراندن	feed	خوراندن	N;SG	N;SG
childhood	کودکی	childhood	None	N;SG	N;SG
childhood	بچگی	childhood	بچگی	N;SG	N;SG
honour	شرافتی	honour	شرافتی	N;SG	N;SG
honour	عزت	honour	None	N;SG	N;SG
soil	خاک	soil	خاک	N;SG	N;SG
server	سرور	server	سرور	N;SG	N;SG
server	کارگزار	server	کارگزار	N;SG	N;SG
manual	دستی	manual	دست	N;SG	N;SG
manual	راهنما	manual	None	N;SG	N;SG
concrete	بتون	concrete	بتون	N;SG	N;SG
concrete	بتن	concrete	بتن	N;SG	N;SG
possibility	احتمال	possibility	احتمال	N;SG	N;SG
possibility	امکان	possibility	امکان	N;SG	N;SG
ghost	شبح	ghost	شبح	N;SG	N;SG
ghost	گوست	ghost	گوست	N;SG	N;SG
ghost	روح	ghost	روح	N;SG	N;SG
confused	گیج	confused	None	ADJ	ADJ
confused	سردرگم	confused	سردرگم	ADJ	ADJ
confused	آشفته	confused	آشفته	ADJ	ADJ
tunnel	تونلی	tunnel	تونلی	N;SG	N;SG
tunnel	تونل	tunnel	None	N;SG	N;SG
styles	سبکهای	style	سبک	N;PL	N;PL
elevation	بلندی	elevation	بلندی	N;SG	N;SG
sporting	اسپورتینگ	sport	اسپورتینگ	N;SG	N;SG
sporting	ورزشی	sport	ورزشی	N;SG	N;SG
peoples	مردمان	people	مردم	N;PL	N;PL
fruit	میوه	fruit	میوه	N;SG	N;SG
decisions	تصمیمات	decision	تصمیم	N;PL	N;PL
depression	افسردگی	depression	افسردگی	N;SG	N;SG
depression	فرورفتگی	depression	فرورفتگی	N;SG	N;SG
depression	رکود	depression	رکود	N;SG	N;SG
perspective	منظر	perspective	منظر	N;SG	N;SG
midfielder	هافبک	midfielder	None	N;SG	N;SG
crystal	بلور	crystal	None	N;SG	N;SG
crystal	کریستال	crystal	کریستال	N;SG	N;SG
crystal	آبگینه	crystal	آبگینه	N;SG	N;SG
crystal	بلوری	crystal	بلوری	N;SG	N;SG
monastery	صومعه	monastery	صومعه	N;SG	N;SG
resident	مقیم	resident	مقیم	N;SG	N;SG
resident	ساکن	resident	ساکن	N;SG	N;SG
resident	رزیدنت	resident	رزیدنت	N;SG	N;SG
resident	اقامت	resident	اقامت	N;SG	N;SG
surgery	جراحی	surgery	جراحی	N;SG	N;SG
steps	گامهای	step	گام	N;PL	N;PL
carrier	فروز	carrier	فروز	N;SG	N;SG
carrier	حامل	carrier	حامل	N;SG	N;SG
stream	جریان	stream	جریان	N;SG	N;SG
stream	جریانی	stream	جریان	N;SG	N;SG
kick	ضربه	kick	ضربه	N;SG	N;SG
kick	لگد	kick	None	N;SG	N;SG
kick	شوت	kick	شوت	N;SG	N;SG
strange	عجیبی	strange	عجیبی	ADJ	ADJ
strange	عجیب	strange	عجیب	ADJ	ADJ
predecessor	اسبق	predecessor	اسبق	N;SG	N;SG
pain	درد	pain	درد	N;SG	N;SG
pain	دردی	pain	دردی	N;SG	N;SG
pain	درده	pain	درده	N;SG	N;SG
pain	دردم	pain	دردم	N;SG	N;SG
punk	ولگرد	punk	ولگرد	N;SG	N;SG
punk	پانک	punk	پانک	N;SG	N;SG
wooden	چوبی	wooden	چوبی	N;SG	N;SG
suggestion	پیشنهاد	suggestion	پیشنهاد	N;SG	N;SG
suggestion	تلقین	suggestion	تلقین	N;SG	N;SG
interaction	تعامل	interaction	تعامل	N;SG	N;SG
achievement	کامیابی	achievement	کامیابی	N;SG	N;SG
drugs	مواد	drug	ماده	N;PL	N;PL
trinity	تثلیث	trinity	تثلیث	N;SG	N;SG
trinity	ترینیتی	trinity	ترینیتی	N;SG	N;SG
minority	اقلیت	minority	اقلیت	N;SG	N;SG
businessman	کارآفرین	businessman	کارآفرین	N;SG	N;SG
businessman	کاسب	businessman	کاسب	N;SG	N;SG
coat	کت	coat	کت	N;SG	N;SG
coat	پالتو	coat	پالتو	N;SG	N;SG
alive	زنده	alive	زنده	ADJ	ADJ
behaviour	رفتاری	behaviour	رفتار	N;SG	N;SG
behaviour	سیرت	behaviour	سیرت	N;SG	N;SG
behaviour	رفتار	behaviour	رفتار	N;SG	N;SG
indoor	سالنی	indoor	سالنی	N;SG	N;SG
lions	شیرهای	lion	شیر	N;PL	N;PL
lions	شیرها	lion	شیر	N;PL	N;PL
merchant	بازرگانی	merchant	بازرگانی	N;SG	N;SG
merchant	تاجر	merchant	تاجر	N;SG	N;SG
merchant	بازرگان	merchant	بازره	N;SG	N;SG
editorial	سرمقاله	editorial	سرمقاله	N;SG	N;SG
initiative	ابتکار	initiative	None	N;SG	N;SG
pure	پاک	pure	پاک	ADJ	ADJ
borders	مرزهای	border	مرز	N;PL	N;PL
borders	مرزها	border	مرز	N;PL	N;PL
talent	استعداد	talent	استعداد	N;SG	N;SG
talent	ذکاوت	talent	ذکاوت	N;SG	N;SG
panel	تابلو	panel	تابلو	N;SG	N;SG
panel	پانل	panel	پانل	N;SG	N;SG
