cuarteto	kvarteta	cuarteto	kvartets	N	N;GEN;MASC;SG
vise	redzēju	visir	redzēt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
vise	redzēja	visir	redzēt	V	V;FH;IND;3;POS;PST;FIN;ACT
vise	ieraudzīju	visir	ieraudzīt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
vise	redz	visir	redzēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
vise	skatīt	visir	skatīt	V	V;POS;NFIN
altar	altāra	altar	altārs	N	N;NOM;MASC;SG
debates	apspriedes	debate	apspriede	N	N;NOM;FEM;PL
debates	diskusijas	debate	diskusija	N	N;NOM;FEM;PL
debates	debates	debate	debate	N	N;NOM;FEM;PL
redes	tīkli	rede	tīkls	N	N;NOM;MASC;PL
redes	tīkli	rede	tīkls	N	N;NOM;MASC;PL
investigadores	pētniekiem	investigador	pētnieks	N	N;DAT;MASC;PL
investigadores	pētnieki	investigador	pētnieks	N	N;NOM;MASC;PL
utilidade	lietošana	utilidade	lietošana	N	N;NOM;FEM;SG
utilidade	lietojums	utilidade	lietojums	N	N;NOM;MASC;SG
utilidade	izmantošana	utilidade	izmantošana	N	N;NOM;FEM;SG
crece	aug	crecer	augt	V	V;FH;IND;3;POS;PRS;FIN;ACT
entretemento	izklaide	entretemento	izklaide	N	N;NOM;FEM;SG
entretemento	izklaides	entretemento	izklaide	N	N;NOM;FEM;PL
trampas	lamatas	trampa	lamatas	N	N;NOM;FEM;PL
trampas	slazdus	trampa	slazds	N	N;ACC;MASC;PL
cometeu	apņēmusies	cometar	apņemties	V	V;PFV;NOM;INDF;FEM;SG;REFL;PST;V.PTCP
cometeu	izgatavots	cometar	izgatavot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
favoritos	mīlulis	favorito	mīlulis	N	N;NOM;MASC;SG
comparten	dalies	compartir	dalis	V	V;FH;IND;SG;2;POS;REFL;PRS;FIN;ACT
comparten	dalīties	compartir	dalīties	V	V;POS;REFL;NFIN
detector	detektoru	detector	detektors	N	N;ACC;MASC;SG
detector	detektors	detector	detektors	N	N;NOM;MASC;SG
detector	detektora	detector	detektors	N	N;NOM;MASC;SG
illado	izolēta	illar	izolēt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
illado	izolētas	illar	izolēt	V	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
illado	izolēts	illar	izolēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
illado	izolēti	illar	izolēt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
xuízos	spriedumi	xuízo	spriedums	N	N;NOM;MASC;PL
xuízos	izmēģinājumi	xuízo	izmēģinājums	N	N;NOM;MASC;PL
causas	cēloņi	causa	cēlonis	N	N;NOM;MASC;PL
causas	iemesli	causa	iemesls	N	N;NOM;MASC;PL
causas	cēloņus	causa	cēlonis	N	N;ACC;MASC;PL
substituír	nomainīt	substituír	nomainīt	V	V;POS;NFIN
substituír	aizvietot	substituír	aizvietot	V	V;POS;NFIN
substituír	aizstāt	substituír	aizstāt	V	V;POS;NFIN
debuxo	zīmējums	debuxo	zīmējums	N	N;NOM;MASC;SG
debuxo	zīmēšanas	debuxo	zīmēšana	N	N;NOM;FEM;SG
debuxo	rasējums	debuxo	rasējums	N	N;NOM;MASC;SG
rostros	sejas	rostro	seja	N	N;NOM;FEM;PL
rostros	seju	rostro	seja	N	N;ACC;FEM;SG
rostros	seja	rostro	seja	N	N;NOM;FEM;SG
aula	istaba	aula	istaba	N	N;NOM;FEM;SG
aula	istabā	aula	istaba	N	N;ESS;FEM;SG
aula	istabas	aula	istaba	N	N;NOM;FEM;PL
aula	telpa	aula	telpa	N	N;NOM;FEM;SG
aula	istabu	aula	istaba	N	N;ACC;FEM;SG
aula	šķira	aula	šķirt	N	N;NOM;FEM;SG
aula	klase	aula	klase	N	N;NOM;FEM;SG
manipulación	manipulācijām	manipulación	manipulācija	N	N;DAT;FEM;PL
manipulación	manipulācijas	manipulación	manipulācija	N	N;NOM;FEM;PL
campá	zvans	campá	zvans	N	N;NOM;MASC;SG
corrupción	korupcija	corrupción	korupcija	N	N;NOM;FEM;SG
corrupción	korupciju	corrupción	korupcija	N	N;ACC;FEM;SG
corrupción	korupcijas	corrupción	korupcija	N	N;NOM;FEM;PL
preguntarnos	ask	preguntarno	ask	N	N
corvos	vārnas	corvo	vārna	N	N;NOM;FEM;PL
prestar	maksā	prestar	maksāt	V	V;FH;IND;3;POS;PRS;FIN;ACT
prestar	maksāt	prestar	maksāt	V	V;POS;NFIN
prestar	maksā	prestar	maksāt	V	V;FH;IND;3;POS;PRS;FIN;ACT
prestar	samaksāt	prestar	samaksāt	V	V;POS;NFIN
persoais	personiska	persoal	personiska	ADJ	ADJ;NOM;FEM;SG
persoais	personīgie	persoal	personīgs	ADJ	ADJ;NOM;MASC;PL
persoais	personīgais	persoal	personīgs	ADJ	ADJ;NOM;MASC;SG
persoais	personīgā	persoal	personīga	ADJ	ADJ;NOM;FEM;SG
persoais	personīga	persoal	personīga	ADJ	ADJ;NOM;FEM;SG
herdanza	mantojums	herdanza	mantojums	N	N;NOM;MASC;SG
herdanza	mantojuma	herdanza	mantojums	N	N;GEN;MASC;SG
herdanza	mantojumā	herdanza	mantojums	N	N;ESS;MASC;SG
herdanza	mantojums	herdanza	mantojums	N	N;NOM;MASC;SG
herdanza	mantojuma	herdanza	mantojums	N	N;GEN;MASC;SG
defecto	noklusējuma	defecto	noklusējums	N	N;GEN;MASC;SG
eléctrica	elektriskais	eléctrico	elektrisks	ADJ	ADJ;NOM;MASC;SG
eléctrica	elektriskās	eléctrico	elektriska	ADJ	ADJ;NOM;FEM;PL
eléctrica	elektriskie	eléctrico	elektrisks	ADJ	ADJ;NOM;MASC;PL
eléctrica	elektriskā	eléctrico	elektriska	ADJ	ADJ;NOM;FEM;SG
eléctrica	elektrisko	eléctrico	elektriska	ADJ	ADJ;ACC;MASC;SG
prestado	aizņemties	prestar	aizņemties	V	V;POS;REFL;NFIN
prestado	aizņemtās	prestar	aizņemt	V	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
prestado	aizņemti	prestar	aizņemt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
interiores	iekšējā	interior	iekšējs	ADJ	ADJ;NOM;FEM;SG
interiores	iekšējais	interior	iekšējs	ADJ	ADJ;NOM;MASC;SG
traxes	austrumu	traxe	austrumi	N	N;GEN;MASC
traxes	kleita	traxe	kleita	N	N;NOM;FEM;SG
traxes	kostīmi	traxe	kostīmi	N	N;NOM;MASC;PL
ancián	cilvēks	ancián	cilvēks	N	N;NOM;MASC;SG
ancián	vīrietis	ancián	vīrietis	N	N;NOM;MASC;SG
infección	inficēšanās	infección	inficēšanās	N	N;NOM;FEM;SG
infección	infekcija	infección	infekcija	N	N;NOM;FEM;SG
infección	infekcijas	infección	infekcija	N	N;NOM;FEM;PL
radicais	radikāļi	radical	radikāļi	N	N;NOM;MASC;PL
xeracións	paaudzēm	xeración	paaudze	N	N;DAT;FEM;PL
xeracións	paaudzes	xeración	paaudze	N	N;NOM;FEM;PL
xeracións	paaudzēs	xeración	paaudzēt	N	N;ESS;FEM;PL
barreira	barjera	barreira	barjera	N	N;NOM;FEM;SG
barreira	šķērslis	barreira	šķērslis	N	N;NOM;MASC;SG
barreira	barjeras	barreira	barjera	N	N;NOM;FEM;PL
barreira	barjeru	barreira	barjera	N	N;ACC;MASC;SG
ouviu	sadzirdēt	ouviu	sadzirdēt	V	V;POS;NFIN
ouviu	dzirdēts	ouviu	dzirdēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ouviu	dzirdēju	ouviu	dzirdēt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
ouviu	dzird	ouviu	dzirdēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
ouviu	dzirdu	ouviu	dzirdēt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
ouviu	dzirdēt	ouviu	dzirdēt	V	V;POS;NFIN
ido	prom	ido	prom	ADV	ADV
concertos	koncerti	concerto	koncerts	N	N;NOM;MASC;PL
virus	vīrusu	virus	vīruss	N	N;ACC;MASC;SG
virus	vīrusa	virus	vīruss	N	N;GEN;MASC;SG
virus	vīrusam	virus	vīruss	N	N;DAT;MASC;SG
virus	vīruss	virus	vīruss	N	N;NOM;MASC;SG
pulmóns	plaušas	pulmón	plausa	N	N;NOM;FEM;PL
extremadamente	ārkārtīgi	extremadamente	ārkārtīgi	ADV	ADV
fármacos	medikamenti	fármaco	medikamenti	N	N;NOM;MASC;PL
fármacos	narkotikas	fármaco	narkotika	N	N;NOM;FEM;PL
prácticas	prakse	práctica	prakse	N	N;NOM;FEM;SG
prácticas	prakses	práctica	prakse	N	N;NOM;FEM;PL
estudios	studijas	estudio	studija	N	N;NOM;FEM;PL
axuden	palīdzēt	axudar	palīdzēt	V	V;POS;NFIN
arrecifes	koraļļu	arrecife	koraļļa	N	N;GEN;MASC;PL
arrecifes	rifu	arrecife	rifs	N	N;ACC;FEM;SG
ondas	viļņi	onda	vilnis	N	N;NOM;MASC;PL
acabará	būs	acabar	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
tratei	mēģināju	tratar	mēģināt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
tratei	mēģinājis	tratar	mēģināt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
tratei	centos	tratar	censties	V	V;FH;IND;SG;1;POS;REFL;PST;FIN;ACT
camiñas	pastaiga	camiña	pastaiga	N	N;NOM;FEM;SG
entramos	izgāja	entrar	iziet	V	V;FH;IND;3;POS;PST;FIN;ACT
entramos	gāju	entrar	iet	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
rescate	glābšana	rescate	glābšana	N	N;NOM;FEM;SG
rescate	glābšanas	rescate	glābšana	N	N;NOM;FEM;PL
rescate	izpirkumu	rescate	izpirkums	N	N;ACC;MASC;SG
xerar	ģenerē	xerar	ģenere	V	V;FH;IND;3;POS;PRS;FIN;ACT
xerar	ģenerēt	xerar	ģenerēt	V	V;POS;NFIN
racismo	rasisms	racismo	rasisms	N	N;NOM;MASC;SG
esposo	vīrs	esposo	vīrs	N	N;NOM;MASC;SG
grecia	grieķijā	grecio	grieķija	N	N;ESS;FEM;SG
grecia	grieķija	grecio	grieķija	N	N;NOM;FEM;SG
xenético	ģenētisko	xenético	ģenētiska	ADJ	ADJ;ACC;MASC;SG
xenético	ģenētiskā	xenético	ģenētiska	ADJ	ADJ;NOM;FEM;SG
tecidos	audus	tecido	auds	N	N;ACC;MASC;PL
tecidos	audiem	tecido	auds	N	N;DAT;MASC;PL
tecidos	audi	tecido	auds	N	N
kilos	mārciņu	kilo	mārciņa	N	N;ACC;FEM;SG
kilos	mārciņas	kilo	mārciņa	N	N;NOM;FEM;PL
tentan	mēģini	tentar	mēģināt	V	V;IMP;SG;2;POS;FIN;ACT
tentan	pamēģini	tentar	pamēģināt	V	V;IMP;SG;2;POS;FIN;ACT
tentan	mēģināt	tentar	mēģināt	V	V;POS;NFIN
tentan	mēģina	tentar	mēģināt	V	V;FH;IND;3;POS;PRS;FIN;ACT
tentan	cenšamies	tentar	censties	V	V;FH;IND;PL;1;POS;REFL;PRS;FIN;ACT
tentan	cenšos	tentar	censties	V	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
tentan	centies	tentar	censties	V	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
tentan	cenšas	tentar	censties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
axencia	aģentūra	axencia	aģentūra	N	N;NOM;FEM;SG
responsables	atbildība	responsable	atbildība	N	N;NOM;FEM;SG
responsables	atbildības	responsable	atbildība	N	N;NOM;FEM;PL
nobel	nobela	nobel	nobelt	N	N;NOM;FEM;SG
nobel	balva	nobel	balva	N	N;NOM;FEM;SG
nobel	balvu	nobel	balva	N	N;ACC;FEM;SG
sentiu	jūtu	sentiu	just	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
sentiu	jūtos	sentiu	justies	V	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
sentiu	justies	sentiu	justies	V	V;POS;REFL;NFIN
sentiu	sajust	sentiu	sajust	V	V;POS;NFIN
sentiu	just	sentiu	just	V	V;POS;NFIN
sentiu	jūtama	sentiu	just	V	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
sentiu	jūtams	sentiu	just	V	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
falen	runā	faler	runāt	V	V;FH;IND;2;POS;PRS;FIN;ACT
memorias	atmiņas	memoria	atmiņas	N	N;NOM;FEM
cultivar	augt	cultivar	augt	V	V;POS;NFIN
cultivar	kultivēt	cultivar	kultivēt	V	V;POS;NFIN
industriais	rūpniecības	industrial	rūpniecība	N	N;NOM;FEM;PL
industriais	rūpnīca	industrial	rūpnīca	N	N;NOM;FEM;SG
industriais	fabrika	industrial	fabrika	N	N;NOM;FEM;SG
desigualdade	nevienlīdzību	desigualdade	nevienlīdzība	N	N;ACC;FEM;SG
desigualdade	nevienlīdzība	desigualdade	nevienlīdzība	N	N;NOM;FEM;SG
desigualdade	nevienlīdzības	desigualdade	nevienlīdzība	N	N;NOM;FEM;PL
ameazas	apdraudējumi	ameaza	apdraudējums	N	N;NOM;MASC;PL
ameazas	draudi	ameaza	draude	N	N;NOM;MASC
posesión	valdījumā	posesión	valdījums	N	N;ESS;MASC;SG
curva	līkne	curvar	līkne	N	N;NOM;FEM;SG
curva	kārta	curvar	kārta	N	N;NOM;FEM;SG
entradas	biļetes	entrada	biļete	N	N;NOM;FEM;PL
cultivo	kultūra	cultivo	kultūra	N	N;NOM;FEM;SG
tratamentos	terapija	tratamento	terapija	N	N;NOM;FEM;SG
tratamentos	ārstēšana	tratamento	ārstēšana	N	N;NOM;FEM;SG
tratamentos	apstrāde	tratamento	apstrāde	N	N;NOM;FEM;SG
almacéns	glabātavas	almacén	glabātava	N	N;NOM;FEM;PL
almacéns	veikalos	almacén	veikals	N	N;ESS;MASC;PL
almacéns	noliktavas	almacén	noliktava	N	N;NOM;FEM;SG
almacéns	veikali	almacén	veikals	N	N;NOM;MASC;PL
almacéns	departamentā	almacén	departaments	N	N;ESS;MASC;SG
almacéns	departaments	almacén	departaments	N	N;NOM;MASC;SG
almacéns	veikals	almacén	veikals	N	N;NOM;MASC;SG
meteu	saņēmu	meteu	saņemt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
mecanismo	mehānisms	mecanismo	mehānisms	N	N;NOM;MASC;SG
mecanismo	ierīce	mecanismo	ierīce	N	N;NOM;FEM;SG
quinto	piektā	quinto	piektā	ADJ	ADJ;NOM;DEF;FEM;SG
quinto	piektajā	quinto	piektā	ADJ	ADJ;ESS;DEF;FEM;SG
quinto	piektais	quinto	piektais	ADJ	ADJ;NOM;DEF;MASC;SG
mandei	nosūtīta	mander	nosūtīt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
mandei	nosūtīja	mander	nosūtīt	V	V;FH;IND;3;POS;PST;FIN;ACT
mandei	nosūtīti	mander	nosūtīt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
mandei	nosūtīts	mander	nosūtīt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
xoguetes	rotaļlietu	xoguete	rotaļlietas	N	N;ACC;FEM;SG
xoguetes	rotaļu	xoguete	rotaļa	N	N;ACC;FEM;SG
xoguetes	rotaļlieta	xoguete	rotaļliets	N	N;NOM;FEM;SG
xoguetes	rotaļlietas	xoguete	rotaļlieta	N	N;NOM;FEM;PL
vilas	pilsētas	vila	pilsēta	N	N;NOM;FEM;PL
viñetas	multfilmas	viñeta	multfilma	N	N;NOM;FEM;PL
arquivos	faili	arquivo	faile	N	N;NOM;MASC;PL
arquivos	datnes	arquivo	datne	N	N;NOM;FEM;PL
arquivos	failus	arquivo	fails	N	N;ACC;MASC;PL
arquivos	arhīvi	arquivo	arhīve	N	N;NOM;MASC;PL
arquivos	arhīvs	arquivo	arhīvs	N	N;NOM;MASC;SG
cambiaron	mainījies	cambiar	mainīties	V	V;FH;IND;SG;2;POS;REFL;PST;FIN;ACT
cambiaron	mainītas	cambiar	mainīt	V	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
cambiaron	mainīta	cambiar	mainīt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
cambiaron	mainīts	cambiar	mainīt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
encargo	pasūtījums	encargo	pasūtījums	N	N;NOM;MASC;SG
encargo	kārtība	encargo	kārtība	N	N;NOM;FEM;SG
encargo	rīkojums	encargo	rīkojums	N	N;NOM;MASC;SG
encargo	secība	encargo	secība	N	N;NOM;FEM;SG
factor	faktoram	factor	faktors	N	N;DAT;MASC;SG
factor	koeficients	factor	koeficients	N	N;NOM;MASC;SG
factor	faktoru	factor	faktors	N	N;ACC;MASC;PL
factor	faktors	factor	faktors	N	N;NOM;MASC;SG
labor	darbs	labor	darbs	N	N;NOM;MASC;SG
labor	uzdevumu	labor	uzdevums	N	N;ACC;MASC;SG
labor	uzdevums	labor	uzdevums	N	N;NOM;MASC;SG
perpetua	dzīve	perpetuar	dzīve	N	N;NOM;FEM;SG
perpetua	dzīvi	perpetuar	dzīve	N	N;ACC;FEM;SG
perpetua	dzīvība	perpetuar	dzīvība	N	N;NOM;FEM;SG
perpetua	beztermiņa	perpetuar	beztermiņš	N	N;NOM;MASC;SG
aparencia	skatiens	aparencia	skatiens	N	N;NOM;MASC;SG
aparencia	izskats	aparencia	izskats	N	N;NOM;MASC;SG
mesas	galdi	mesa	galds	N	N;NOM;MASC;PL
mesas	tabulas	mesa	tabula	N	N;NOM;FEM;PL
mesas	tabulās	mesa	tabulīties	N	N;ESS;FEM;PL
temer	bail	temer	bail	ADV	ADV
cinto	josta	cinto	josta	N	N;NOM;FEM;SG
cinto	jostu	cinto	josta	N	N;ACC;FEM;SG
camiñamos	izgāja	camiñar	iziet	V	V;FH;IND;3;POS;PST;FIN;ACT
camiñamos	gāju	camiñar	iet	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
camiñamos	staigāt	camiñar	staigāt	V	V;POS;NFIN
camiñamos	iet	camiñar	iet	V	V;POS;FIN
camiñamos	staigā	camiñar	staiga	V	V;IMP;2;POS;PRS;FIN;ACT
lectura	lasīšana	lectura	lasīšana	N	N;NOM;FEM;SG
lectura	lasījumā	lectura	lasījums	N	N;ESS;MASC;SG
batallas	cīņas	batalla	cīņa	N	N;NOM;FEM;PL
propietaria	īpašniece	propietaria	īpašniece	N	N;NOM;FEM;SG
propietaria	īpašnieks	propietaria	īpašnieks	N	N;NOM;MASC;SG
usaba	izmanto	usar	izmantot	V	V;IMP;SG;2;POS;FIN;ACT
usaba	lietots	usar	lietot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usaba	izmantotais	usar	izmantot	V	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
usaba	izmantots	usar	izmantot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usaba	lietoti	usar	lietot	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
usaba	lietota	usar	lietot	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
matamos	nogalināti	matar	nogalināt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
matamos	nogalināts	matar	nogalināt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
matamos	nogalinājis	matar	nogalināt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
matamos	nogalināja	matar	nogalināt	V	V;FH;IND;3;POS;PST;FIN;ACT
sentou	sēdēja	sentar	sēdēt	V	V;FH;IND;3;POS;PST;FIN;ACT
mates	matemātika	mate	matemātika	N	N;NOM;FEM;SG
columnas	kolonnas	columna	kolonna	N	N;NOM;FEM;PL
columnas	ailes	columna	aile	N	N;NOM;FEM;PL
reforma	reformu	reforma	reforma	N	N;ACC;FEM;SG
reforma	reforma	reforma	reforma	N	N;NOM;FEM;SG
incendio	ugunsgrēks	incendio	ugunsgrēks	N	N;NOM;MASC;SG
incendio	uguns	incendio	uguns	N	N;NOM;FEM;SG
incendio	uguni	incendio	uguns	N	N;ACC;FEM;SG
estuda	studē	estudar	studēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
estuda	mācās	estudar	mācīties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
estuda	pēta	estudar	pēta	V	V;FH;IND;3;POS;PRS;FIN;ACT
decepción	vilšanās	decepción	vilšanās	N	N;NOM;FEM;SG
reportaxe	ziņojums	reportaxe	ziņojums	N	N;NOM;MASC;SG
móvese	pārvietojas	móvese	pārvietoties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
leopardo	leopards	leopardo	leopards	N	N;NOM;MASC;SG
oracións	lūgšanas	oración	lūgšana	N	N;NOM;FEM;PL
xentes	cilveki	xente	cilveks	N	N;NOM;MASC;PL
xentes	cilvēki	xente	cilvēks	N	N;NOM;MASC;PL
xentes	tauta	xente	tauta	N	N;NOM;FEM;SG
xentes	cilvēkiem	xente	cilvēks	N	N;DAT;MASC;PL
radiación	radiācija	radiación	radiācija	N	N;NOM;FEM;SG
radiación	starojums	radiación	starojums	N	N;NOM;MASC;SG
radiación	starojuma	radiación	starojums	N	N;GEN;MASC;SG
marco	zeme	marco	zeme	N	N;NOM;FEM;SG
marco	zemes	marco	zeme	N	N;NOM;FEM;PL
marco	rāmja	marco	rāmis	N	N;GEN;MASC;SG
marco	kadrs	marco	kadrs	N	N;NOM;MASC;SG
marco	rāmis	marco	rāmis	N	N;NOM;MASC;SG
rumbo	kursa	rumbo	kurss	N	N;GEN;MASC;SG
rumbo	kursu	rumbo	kurss	N	N;ACC;MASC;SG
rumbo	kurss	rumbo	kurss	N	N;NOM;MASC;SG
rumbo	kursā	rumbo	kurss	N	N;ESS;MASC;SG
vestíbulo	zālē	vestíbulo	zāle	N	N;ESS;FEM;SG
ave	putns	ave	putns	N	N;NOM;MASC;SG
ave	putnu	ave	putns	N	N;ACC;MASC;SG
voa	lido	voar	lidot	V	V;FH;IND;3;POS;PRS;FIN;ACT
chegado	nāc	chegar	nākt	V	V;IMP;SG;2;POS;FIN;ACT
brutalidade	brutalitāti	brutalidade	brutalitāte	N	N;ACC;FEM;SG
transición	pārejas	transición	pāreja	N	N;NOM;FEM;PL
transición	pāreja	transición	pāreja	N	N;NOM;FEM;SG
usou	izmanto	usar	izmantot	V	V;IMP;SG;2;POS;FIN;ACT
usou	lietots	usar	lietot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usou	izmantotais	usar	izmantot	V	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
usou	izmantots	usar	izmantot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usou	lietoti	usar	lietot	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
usou	lietota	usar	lietot	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
actuando	rīkojoties	actuar	rīkoties	V	V;REFL;V.CVB
caldeiro	cietumā	caldeiro	cietums	N	N;ESS;MASC;SG
atopaba	bija	atopar	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
atopaba	atrodi	atopar	atrast	V	V;IMP;SG;2;POS;FIN;ACT
atopaba	meklēt	atopar	meklēt	V	V;POS;NFIN
atopaba	atrast	atopar	atrast	V	V;POS;NFIN
bandas	joslas	banda	josla	N	N;NOM;FEM;PL
delincuencia	noziedzību	delincuencia	noziedzība	N	N;ACC;FEM;SG
delincuencia	noziegumi	delincuencia	noziegums	N	N;NOM;MASC;PL
delincuencia	noziegums	delincuencia	noziegums	N	N;NOM;MASC;SG
delincuencia	noziedzība	delincuencia	noziedzība	N	N;NOM;FEM;SG
capa	apmetnis	capa	apmetnis	N	N;NOM;MASC;SG
permitirei	būs	permitir	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
permitirei	nav	permitir	nebūt	V	V;FH;IND;3;NEG;PRS;FIN;ACT
permitirei	uzvarēja	permitir	uzvarēt	V	V;FH;IND;3;POS;PST;FIN;ACT
permitirei	uzvarējis	permitir	uzvarēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
permitirei	ieguva	permitir	iegūt	V	V;FH;IND;3;POS;PST;FIN;ACT
prométocho	solījums	prométocho	solījums	N	N;NOM;MASC;SG
virei	nāc	virei	nākt	V	V;IMP;SG;2;POS;FIN;ACT
choras	sauciens	chora	sauciens	N	N;NOM;MASC;SG
estrañas	dīvaina	estraña	dīvaina	ADJ	ADJ;NOM;FEM;SG
representantes	pārstāvjus	representante	pārstāvis	N	N;ACC;MASC;PL
representantes	pārstāvji	representante	pārstāvis	N	N;NOM;MASC;PL
representantes	delegāti	representante	delegāti	N	N;NOM;MASC;PL
envexa	skaudība	envexa	skaudība	N	N;NOM;FEM;SG
mel	medu	mel	medus	N	N;ACC;MASC
mel	medus	mel	medus	N	N;NOM;MASC
cuartel	mītnes	cuartel	mītne	N	N;NOM;FEM;PL
cuartel	mītne	cuartel	mītne	N	N;NOM;FEM;SG
cuartel	kazarmās	cuartel	kazarma	N	N;ESS;FEM;PL
afecto	pieķeršanās	afecto	pieķeršana	N	N;ESS;FEM;PL
coide	ieskaties	coidar	ieskatīties	V	V;IMP;SG;2;POS;REFL;FIN;ACT
coide	izskaties	coidar	izskatīties	V	V;IMP;SG;2;POS;REFL;FIN;ACT
coide	skaties	coidar	skatīties	V	V;IMP;SG;2;POS;REFL;FIN;ACT
coide	ņemt	coidar	ņemt	V	V;POS;NFIN
coide	ņem	coidar	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
culler	karoti	culler	karot	N	N;ACC;MASC;SG
disparan	šaut	disparar	šaut	V	V;POS;NFIN
disparan	nošaut	disparar	nošaut	V	V;POS;NFIN
disparan	šauj	disparar	šis	V	V;FH;IMP;SG;2;POS;PRS;FIN;ACT
mantas	segas	manto	sega	N	N;NOM;FEM;PL
continúe	turpina	continuír	turpināt	V	V;FH;IND;3;POS;PRS;FIN;ACT
continúe	turpināt	continuír	turpināt	V	V;POS;NFIN
levarei	ņemt	levar	ņemt	V	V;POS;NFIN
levarei	ņem	levar	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
serpe	čūsku	serpe	čūska	N	N;ACC;FEM;SG
serpe	čūska	serpe	čūska	N	N;NOM;FEM;SG
valen	ir	valar	būt	V	V;FH;IND;3;POS;PRS;FIN;ACT
proletarios	proletariāts	proletario	proletariāts	N	N;NOM;MASC;SG
proletarios	proletārieši	proletario	proletārietis	N	N;NOM;MASC;PL
bebo	dzērienu	bebo	dzēriens	N	N;ACC;MASC;SG
bebo	dzērieni	bebo	dzēriens	N	N;NOM;MASC;PL
bebo	dzēriens	bebo	dzēriens	N	N;NOM;MASC;SG
dicides	pateikt	dicidir	pateikt	V	V;POS;NFIN
dicides	teikt	dicidir	teikt	V	V;POS;NFIN
paras	pietura	para	pieturt	N	N;NOM;FEM;SG
abundancia	pārpilnība	abundancia	pārpilnība	N	N;NOM;FEM;SG
pelota	bumbu	pelota	bumba	N	N;ACC;FEM;SG
pelota	balle	pelota	balle	N	N;NOM;FEM;SG
pelota	bumba	pelota	bumba	N	N;NOM;FEM;SG
pagaron	maksā	pagar	maksāt	V	V;FH;IND;3;POS;PRS;FIN;ACT
pagaron	maksāja	pagar	maksāt	V	V;FH;IND;3;POS;PST;FIN;ACT
pagaron	samaksāts	pagar	samaksāt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
criticar	kritizēt	criticar	kritizēt	V	V;POS;NFIN
