den	la	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;FEM;SG;3
gul	amarillo	gul	amarillo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
slette	eliminando	slette	eliminar	V;NFIN;ACT	V;V.MSDR
slette	borrando	slette	borrar	V;NFIN;ACT	V;V.MSDR
slette	borrar	slette	borrar	V;NFIN;ACT	V;NFIN
slette	eliminar	slette	eliminar	V;NFIN;ACT	V;NFIN
slette	suprimir	slette	suprimir	V;NFIN;ACT	V;NFIN
rand	rand	rand	rand	N;INDF;MASC+FEM;SG	N;SG
rand	edge	rand	edge	N;INDF;MASC+FEM;SG	N
rand	filo	rand	filo	N;INDF;MASC+FEM;SG	N;MASC;SG
rand	borde	rand	borde	N;INDF;MASC+FEM;SG	N;MASC;SG
rand	arista	rand	aristar	N;INDF;MASC+FEM;SG	N;FEM;SG
demokratiske	democráticos	demokratisk	democrático	ADJ;PL	ADJ;MASC;PL
personlig	personal	personlig	personal	ADJ;INDF;MASC+FEM;SG	ADJ;SG
opdagede	descubierto	opdage	descubrir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
opdagede	descubrió	opdage	descubrir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
reference	referencia	reference	referencia	N;INDF;MASC+FEM;SG	N;FEM;SG
sand	sands	sand	sands	N;INDF;MASC+FEM;SG	N;MASC
sand	arena	sand	arena	N;INDF;MASC+FEM;SG	N;FEM;SG
sand	sand	sand	sand	N;INDF;MASC+FEM;SG	N
sand	true	sand	true	N;INDF;MASC+FEM;SG	N
sand	verdad	sand	verdad	N;INDF;MASC+FEM;SG	N;FEM;SG
stykker	trozos	stykke	trozo	N;INDF;NEUT;PL	N;MASC;PL
stykker	pedazos	stykke	pedazos	N;INDF;NEUT;PL	N;MASC;PL
stykker	trozos	stykke	trozo	N;INDF;NEUT;PL	N;MASC;PL
stykker	piezas	stykke	pieza	N;INDF;NEUT;PL	N;FEM;PL
stykker	pedazos	stykke	pedazos	N;INDF;NEUT;PL	N;MASC;PL
naturen	naturaleza	natur	naturaleza	N;DEF;MASC+FEM;SG	N;FEM;SG
naturen	nature	natur	nature	N;DEF;MASC+FEM;SG	N
prøver	intentando	prøve	intentar	V;IND;PRS;FIN;ACT	V;V.MSDR
prøver	probando	prøve	probar	V;IND;PRS;FIN;ACT	V;V.MSDR
prøver	tratando	prøve	tratar	V;IND;PRS;FIN;ACT	V;V.MSDR
forskere	investigadores	forsker	investigador	N;INDF;MASC+FEM;PL	N;MASC;PL
forskere	científicos	forsker	científico	N;INDF;MASC+FEM;PL	N;MASC;PL
mølle	molino	mølle	molino	N;INDF;MASC+FEM;SG	N;MASC;SG
johnson	johnson	johnson	johnson	N;INDF;MASC+FEM;SG	N;MASC;SG
dårligt	mal	dårligt	mal	ADV	ADV
ansvar	responsabilidad	ansvar	responsabilidad	N;INDF;NEUT;SG	N;FEM;SG
ansvar	responsabilidad	ansvar	responsabilidad	N;INDF;NEUT;SG	N;FEM;SG
mennesket	man	menneske	man	N;DEF;NEUT;SG	N
mennesket	hombre	menneske	hombre	N;DEF;NEUT;SG	N;MASC;SG
forskellig	distinta	forskellig	distinto	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
forskellig	diferente	forskellig	diferente	ADJ;INDF;MASC+FEM;SG	ADJ;SG
forskellig	distinto	forskellig	distinto	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
format	formato	format	formato	N;INDF;NEUT;SG	N;MASC;SG
struktur	estructura	struktur	estructura	N;INDF;MASC+FEM;SG	N;FEM;SG
månekrater	cráter	månekrat	cráter	N;INDF;MASC+FEM;SG	N;MASC;SG
ledere	conductores	leder	conductor	N;INDF;MASC+FEM;PL	N;MASC;PL
ledere	gerentes	leder	gerente	N;INDF;MASC+FEM;PL	N;PL
ledere	gestores	leder	gestor	N;INDF;MASC+FEM;PL	N;MASC;PL
ledere	administradores	leder	administrador	N;INDF;MASC+FEM;PL	N;MASC;PL
ledere	directivos	leder	directivo	N;INDF;MASC+FEM;PL	N;MASC;PL
ledere	directores	leder	director	N;INDF;MASC+FEM;PL	N;MASC;PL
ledere	lideres	leder	lider	N;INDF;MASC+FEM;PL	N;PL
ledere	dirigentes	leder	dirigente	N;INDF;MASC+FEM;PL	N;PL
ledere	líderes	leder	líder	N;INDF;MASC+FEM;PL	N;PL
bands	bandas	band	banda	N;INDF;NEUT;PL	N;FEM;PL
radikale	radicales	radikal	radical	ADJ;PL	ADJ;PL
beskyttelse	proteccion	beskyttelse	proteccion	N;INDF;MASC+FEM;SG	N;FEM;SG
beskyttelse	protección	beskyttelse	protección	N;INDF;MASC+FEM;SG	N;FEM;SG
haderslev	haderslev	haderslev	haderslev	N;INDF;MASC+FEM;SG	N;MASC;SG
fysiske	físicas	fysisk	físico	ADJ;PL	ADJ;FEM;PL
fysiske	físicos	fysisk	físico	ADJ;PL	ADJ;MASC;PL
ishockey	hockey	ishockey	hockey	N;INDF;MASC+FEM;SG	N;MASC;SG
modsatte	opuestos	modsat	opuesto	ADJ;PL	ADJ;MASC;PL;V.PTCP
naturligt	natural	naturlig	natural	ADJ;INDF;NEUT;SG	ADJ;SG
carolina	carolina	carolina	carolina	N;INDF;MASC+FEM;SG	N;FEM;SG
interesser	intereses	interesse	interés	N;INDF;MASC+FEM;PL	N;MASC;PL
interesser	intereses	interesse	interés	N;INDF;MASC+FEM;PL	N;MASC;PL
systemer	sistemas	system	sistema	N;INDF;NEUT;PL	N;MASC;PL
systemer	systems	system	system	N;INDF;NEUT;PL	N
portræt	retrato	portræt	retrato	N;INDF;NEUT;SG	N;MASC;SG
herre	lord	herre	lord	N;INDF;MASC+FEM;SG	N;MASC;SG
herre	maestro	herre	maestro	N;INDF;MASC+FEM;SG	N;MASC;SG
herre	master	herre	master	N;INDF;MASC+FEM;SG	N;MASC;SG
herre	máster	herre	máster	N;INDF;MASC+FEM;SG	N;MASC;SG
herre	sire	herre	ser	N;INDF;MASC+FEM;SG	N;MASC;SG
rødder	raíces	rod	raíz	N;INDF;MASC+FEM;PL	N;FEM;PL
rødder	raices	rod	raiz	N;INDF;MASC+FEM;PL	N;FEM;PL
drama	drama	drama	drama	N;INDF;NEUT;SG	N;MASC;SG
kirsten	kirsten	kirsten	kirstar	N;DEF;MASC+FEM;SG	N;FEM;SG
ændring	modificación	ændring	modificación	N;INDF;MASC+FEM;SG	N;FEM;SG
ændring	enmienda	ændring	enmienda	N;INDF;MASC+FEM;SG	N;FEM;SG
ændring	modificación	ændring	modificación	N;INDF;MASC+FEM;SG	N;FEM;SG
ændring	cambio	ændring	cambio	N;INDF;MASC+FEM;SG	N;MASC;SG
ændring	variación	ændring	variación	N;INDF;MASC+FEM;SG	N;FEM;SG
undtagelse	exención	undtagelse	exención	N;INDF;MASC+FEM;SG	N;FEM;SG
undtagelse	excepción	undtagelse	excepción	N;INDF;MASC+FEM;SG	N;FEM;SG
undtagelse	exención	undtagelse	exención	N;INDF;MASC+FEM;SG	N;FEM;SG
undtagelse	excepción	undtagelse	excepción	N;INDF;MASC+FEM;SG	N;FEM;SG
undtagelse	derogación	undtagelse	derogación	N;INDF;MASC+FEM;SG	N;FEM;SG
guitarist	guitarrista	guitarist	guitarrista	N;INDF;MASC+FEM;SG	N;SG
medarbejdere	empleados	medarbejder	empleado	N;INDF;MASC+FEM;PL	N;MASC;PL
tilføjet	añadió	tilføje	añadir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
tilføjet	agregó	tilføje	agregar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
bay	bahía	bay	bahía	N;INDF;MASC+FEM;SG	N;FEM;SG
sur	enfadado	sur	enfadado	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
sur	enojada	sur	enojada	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG;V.PTCP
sur	enfadada	sur	enfadado	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG;V.PTCP
sur	enojado	sur	enojado	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
sur	amargo	sur	amargo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
sur	agrio	sur	agrio	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
sur	agria	sur	agrio	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
sur	loca	sur	loco	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
sur	loco	sur	loco	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
eng	prado	eng	prado	N;INDF;MASC+FEM;SG	N;MASC;SG
eng	pradera	eng	pradera	N;INDF;MASC+FEM;SG	N;FEM;SG
frederikshavn	frederikshavn	frederikshavn	frederikshavn	N;INDF;NEUT;SG	N;MASC;SG
kampvogne	tanques	kampvogne	tanque	N;INDF;MASC+FEM;PL	N;MASC;PL
kampvogne	cisternas	kampvogne	cisterna	N;INDF;MASC+FEM;PL	N;FEM;PL
hastighed	velocidad	hastighed	velocidad	N;INDF;MASC+FEM;SG	N;FEM;SG
hastighed	rapidez	hastighed	rapidez	N;INDF;MASC+FEM;SG	N;FEM;SG
hastighed	celeridad	hastighed	celeridad	N;INDF;MASC+FEM;SG	N;FEM;SG
hastighed	speed	hastighed	speed	N;INDF;MASC+FEM;SG	N
hastighed	velocidad	hastighed	velocidad	N;INDF;MASC+FEM;SG	N;FEM;SG
kommandoen	mando	kommando	mando	N;DEF;MASC+FEM;SG	N;MASC;SG
kommandoen	comando	kommando	comando	N;DEF;MASC+FEM;SG	N;MASC;SG
kommandoen	comandancia	kommando	comandancia	N;DEF;MASC+FEM;SG	N;FEM;SG
disciplin	disciplina	disciplin	disciplina	N;INDF;MASC+FEM;SG	N;FEM;SG
hoved	head	hoved	head	N;INDF;NEUT;SG	N
hoved	cabezal	hoved	cabezal	N;INDF;NEUT;SG	N;MASC;SG
hoved	cabeza	hoved	cabeza	N;INDF;NEUT;SG	N;FEM;SG
piger	muchachas	pige	muchacha	N;INDF;MASC+FEM;PL	N;FEM;PL
piger	girls	pige	girls	N;INDF;MASC+FEM;PL	N
piger	niñas	pige	niña	N;INDF;MASC+FEM;PL	N;FEM;PL
piger	chicas	pige	chica	N;INDF;MASC+FEM;PL	N;FEM;PL
mødes	conozca	mødes	conocer	V;NFIN;ACT	V;IMP;SG;3;FIN
mødes	conocer	mødes	conocer	V;NFIN;ACT	V;NFIN
lokal	local	lokal	local	ADJ;INDF;MASC+FEM;SG	ADJ;SG
held	suerte	held	suerte	N;INDF;NEUT;SG	N;FEM;SG
samtidigt	simultáneamente	samtidigt	simultáneamente	ADV	ADV
samtidigt	simultáneamente	samtidigt	simultáneamente	ADV	ADV
praktisk	práctico	praktisk	práctico	ADJ;INDF;SG	ADJ;MASC;SG
praktisk	practico	praktisk	practico	ADJ;INDF;SG	ADJ;MASC;SG
praktisk	conveniente	praktisk	conveniente	ADJ;INDF;SG	ADJ;SG
praktisk	práctico	praktisk	práctico	ADJ;INDF;SG	ADJ;MASC;SG
praktisk	hábil	praktisk	hábil	ADJ;INDF;SG	ADJ;SG
kulturelle	culturales	kulturel	cultural	ADJ;PL	ADJ;PL
medlemmerne	diputados	medlem	diputado	N;DEF;NEUT;PL	N;MASC;PL
medlemmerne	miembros	medlem	miembro	N;DEF;NEUT;PL	N;MASC;PL
musikere	músicos	musiker	músico	N;INDF;MASC+FEM;PL	N;MASC;PL
town	pueblo	town	pueblo	N;INDF;MASC+FEM;SG	N;MASC;SG
town	ciudad	town	ciudad	N;INDF;MASC+FEM;SG	N;FEM;SG
stillinger	posiciones	stilling	posición	N;INDF;MASC+FEM;PL	N;FEM;PL
stillinger	posturas	stilling	postura	N;INDF;MASC+FEM;PL	N;FEM;PL
stillinger	postes	stilling	poste	N;INDF;MASC+FEM;PL	N;MASC;PL
stillinger	publicaciones	stilling	publicación	N;INDF;MASC+FEM;PL	N;FEM;PL
tårn	torre	tårn	torre	N;INDF;NEUT;SG	N;FEM;SG
tårn	tower	tårn	tower	N;INDF;NEUT;SG	N;MASC;SG
tårn	torre	tårn	torre	N;INDF;NEUT;SG	N;FEM;SG
godsejer	terrateniente	godsej	terrateniente	N;INDF;MASC+FEM;SG	N;SG
institutioner	instituciones	institution	institución	N;INDF;MASC+FEM;PL	N;FEM;PL
brødre	hermanos	broder	hermano	N;INDF;MASC+FEM;PL	N;MASC;PL
brødre	brothers	broder	brothers	N;INDF;MASC+FEM;PL	N;MASC;PL
brede	amplias	bred	amplio	ADJ;PL	ADJ;FEM;PL
driver	deriva	drive	derivar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
flygtede	escapó	flygte	escapar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
flygtede	huyó	flygte	huir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
flygtede	huyeron	flygte	huir	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
funktioner	funciones	funktion	función	N;INDF;MASC+FEM;PL	N;FEM;PL
funktioner	funcionalidades	funktion	funcionalidad	N;INDF;MASC+FEM;PL	N;FEM;PL
funktioner	características	funktion	característica	N;INDF;MASC+FEM;PL	N;FEM;PL
funktioner	rasgos	funktion	rasgo	N;INDF;MASC+FEM;PL	N;MASC;PL
funktioner	caracteristicas	funktion	caracteristica	N;INDF;MASC+FEM;PL	N;FEM;PL
funktioner	funciones	funktion	función	N;INDF;MASC+FEM;PL	N;FEM;PL
marked	mercado	marked	mercado	N;INDF;NEUT;SG	N;MASC;SG
marked	market	marked	market	N;INDF;NEUT;SG	N
part	parte	part	parte	N;INDF;MASC+FEM;SG	N;FEM;SG
part	partido	part	partido	N;INDF;MASC+FEM;SG	N;MASC;SG
part	fiesta	part	fiesta	N;INDF;MASC+FEM;SG	N;FEM;SG
part	party	part	party	N;INDF;MASC+FEM;SG	N
hektar	hectáreas	hektar	hectárea	N;INDF;MASC+FEM;PL	N;FEM;PL
hektar	acres	hektar	acre	N;INDF;MASC+FEM;PL	N;MASC;PL
holdning	posicion	holdning	posicion	N;INDF;MASC+FEM;SG	N;FEM;SG
holdning	posición	holdning	posición	N;INDF;MASC+FEM;SG	N;FEM;SG
holdning	actitud	holdning	actitud	N;INDF;MASC+FEM;SG	N;FEM;SG
holdning	postura	holdning	postura	N;INDF;MASC+FEM;SG	N;FEM;SG
holdning	postura	holdning	postura	N;INDF;MASC+FEM;SG	N;FEM;SG
briterne	británicos	brit	británico	N;DEF;MASC+FEM;PL	N;MASC;PL
ovenstående	arriba	ovenstående	arriba	ADV	ADV
latinske	latinas	latinsk	latina	ADJ;PL	ADJ;FEM;PL
søer	cerdas	søe	cerda	N;INDF;MASC+FEM;PL	N;FEM;PL
søer	lagos	søe	lago	N;INDF;MASC+FEM;PL	N;MASC;PL
korrekt	exacto	korrekt	exacto	ADJ;INDF;SG	ADJ;MASC;SG
korrekt	exacta	korrekt	exacto	ADJ;INDF;SG	ADJ;FEM;SG
korrekt	correcto	korrekt	correcto	ADJ;INDF;SG	ADJ;MASC;SG
korrekt	correcta	korrekt	correcto	ADJ;INDF;SG	ADJ;FEM;SG
resterende	permaneciendo	resterende	permanecer	V;PRS;V.PTCP	V;V.MSDR
hovedkvarter	sede	hovedkvarter	sede	N;INDF;NEUT;SG	N;FEM;SG
hovedkvarter	cuartel	hovedkvarter	cuartel	N;INDF;NEUT;SG	N;MASC;SG
trafik	tránsito	trafik	tránsito	N;INDF;MASC+FEM;SG	N;MASC;SG
trafik	tráfico	trafik	tráfico	N;INDF;MASC+FEM;SG	N;MASC;SG
trafik	trafico	trafik	trafico	N;INDF;MASC+FEM;SG	N;MASC;SG
enke	viudo	enke	viudo	N;INDF;MASC+FEM;SG	N;MASC;SG
enke	viuda	enke	viuda	N;INDF;MASC+FEM;SG	N;FEM;SG
enke	viuda	enke	viuda	N;INDF;MASC+FEM;SG	N;FEM;SG
sager	estuches	sag	estuche	N;INDF;MASC+FEM;PL	N;MASC;PL
sager	cases	sag	case	N;INDF;MASC+FEM;PL	N
sager	casos	sag	caso	N;INDF;MASC+FEM;PL	N;MASC;PL
kyst	shore	kyst	shorar	N;INDF;MASC+FEM;SG	N;SG
kyst	orilla	kyst	orilla	N;INDF;MASC+FEM;SG	N;FEM;SG
kyst	litoral	kyst	litoral	N;INDF;MASC+FEM;SG	N;MASC;SG
kyst	costa	kyst	costa	N;INDF;MASC+FEM;SG	N;FEM;SG
vinderen	ganador	vinder	ganador	N;DEF;MASC+FEM;SG	N;MASC;SG
vinderen	vencedor	vinder	vencedor	N;DEF;MASC+FEM;SG	N;MASC;SG
aften	noche	aften	noche	N;DEF;MASC+FEM;SG	N;FEM;SG
aften	velada	aften	velado	N;DEF;MASC+FEM;SG	N;FEM;SG
aften	noche	aften	noche	N;DEF;MASC+FEM;SG	N;FEM;SG
aften	night	aften	night	N;DEF;MASC+FEM;SG	N
samle	reunir	samle	reunir	V;NFIN;ACT	V;NFIN
samle	reunir	samle	reunir	V;NFIN;ACT	V;NFIN
samle	ensamblar	samle	ensamblar	V;NFIN;ACT	V;NFIN
breve	mensajes	brev	mensaje	N;INDF;NEUT;PL	N;MASC;PL
breve	cartas	brev	carta	N;INDF;NEUT;PL	N;FEM;PL
breve	letras	brev	letra	N;INDF;NEUT;PL	N;FEM;PL
afhængig	adicto	afhængig	adicto	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
afhængig	adicta	afhængig	adicta	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
afhængig	dependiente	afhængig	dependiente	ADJ;INDF;MASC+FEM;SG	ADJ;SG
invasion	invasión	invasion	invasión	N;INDF;MASC+FEM;SG	N;FEM;SG
airport	aeropuerto	airport	aeropuerto	N;INDF;MASC+FEM;SG	N;MASC;SG
handlinger	acciones	handling	acción	N;INDF;MASC+FEM;PL	N;FEM;PL
betydelige	sustanciales	betydelig	sustancial	ADJ;PL	ADJ;PL
betydelige	significativos	betydelig	significativo	ADJ;PL	ADJ;MASC;PL
betydelige	significativas	betydelig	significativo	ADJ;PL	ADJ;FEM;PL
anderledes	distinta	anderledes	distinto	ADJ	ADJ;FEM;SG
anderledes	diferente	anderledes	diferente	ADJ	ADJ;SG
anderledes	distinto	anderledes	distinto	ADJ	ADJ;MASC;SG
anderledes	diferentes	anderledes	diferente	ADJ	ADJ;PL
fanger	reclusos	fange	recluso	N;INDF;MASC+FEM;PL	N;MASC;PL
fanger	prisioneros	fange	prisionero	N;INDF;MASC+FEM;PL	N;MASC;PL
fanger	presos	fange	preso	N;INDF;MASC+FEM;PL	N;MASC;PL
baron	barón	baron	barón	N;INDF;MASC+FEM;SG	N;MASC;SG
baron	baron	baron	bar	N;INDF;MASC+FEM;SG	N;MASC;SG
blanding	mezcla	blanding	mezcla	N;INDF;MASC+FEM;SG	N;FEM;SG
blanding	mix	blanding	mix	N;INDF;MASC+FEM;SG	N
blanding	mezcla	blanding	mezcla	N;INDF;MASC+FEM;SG	N;FEM;SG
blanding	mezcla	blanding	mezcla	N;INDF;MASC+FEM;SG	N;FEM;SG
blanding	mezcla	blanding	mezcla	N;INDF;MASC+FEM;SG	N;FEM;SG
blanding	mezcla	blanding	mezcla	N;INDF;MASC+FEM;SG	N;FEM;SG
rejst	erigió	rejse	eregir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
rejst	viajó	rejse	viajar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
rejst	viajó	rejse	viajar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
kvalitet	quality	kvalitet	quality	N;INDF;MASC+FEM;SG	N
kvalitet	calidad	kvalitet	calidad	N;INDF;MASC+FEM;SG	N;FEM;SG
kvalitet	cualidad	kvalitet	cualidad	N;INDF;MASC+FEM;SG	N;FEM;SG
associerede	asociados	associere	asociado	ADJ;PL	ADJ;MASC;PL;V.PTCP
associerede	asociadas	associere	asociado	ADJ;PL	ADJ;FEM;PL;V.PTCP
næppe	apenas	næppe	apenas	ADV	ADV
næppe	difícilmente	næppe	difícilmente	ADV	ADV
napoleon	napoleón	napoleon	napoleón	N;INDF;MASC+FEM;SG	N;MASC;SG
storm	tormenta	storm	tormenta	N;INDF;MASC+FEM;SG	N;FEM;SG
storm	tempestad	storm	tempestad	N;INDF;MASC+FEM;SG	N;FEM;SG
storm	storm	storm	storm	N;INDF;MASC+FEM;SG	N
målet	objetivo	mål	objetivo	N;DEF;NEUT;SG	N;MASC;SG
målet	target	mål	target	N;DEF;NEUT;SG	N;SG
stationer	estaciones	station	estación	N;INDF;MASC+FEM;PL	N;FEM;PL
stationer	emisoras	station	emisora	N;INDF;MASC+FEM;PL	N;FEM;PL
skoven	bosque	skov	bosque	N;DEF;MASC+FEM;SG	N;MASC;SG
skoven	woods	skov	woods	N;DEF;MASC+FEM;SG	N
skoven	bosque	skov	bosque	N;DEF;MASC+FEM;SG	N;MASC;SG
skoven	selva	skov	selva	N;DEF;MASC+FEM;SG	N;FEM;SG
hollywood	hollywood	hollywood	hollywood	N;INDF;MASC+FEM;SG	N;MASC;SG
elektriske	eléctricas	elektrisk	eléctrico	ADJ;PL	ADJ;FEM;PL
sent	tarde	sent	tarde	ADV	ADV
historiker	historiador	historike	historiador	N;INDF;MASC+FEM;SG	N;MASC;SG
udseende	aspecto	udseende	aspecto	N;INDF;NEUT;SG	N;MASC;SG
udseende	aparición	udseende	aparición	N;INDF;NEUT;SG	N;FEM;SG
udseende	comparecencia	udseende	comparecencia	N;INDF;NEUT;SG	N;FEM;SG
udseende	apariencia	udseende	apariencia	N;INDF;NEUT;SG	N;FEM;SG
udseende	aspecto	udseende	aspecto	N;INDF;NEUT;SG	N;MASC;SG
tryk	prensa	tryk	prensa	N;INDF;NEUT;SG	N;FEM;SG
tryk	presión	tryk	presión	N;INDF;NEUT;SG	N;FEM;SG
tryk	presion	tryk	presionar	N;INDF;NEUT;SG	N;FEM;SG
tryk	huella	tryk	huella	N;INDF;NEUT;SG	N;FEM;SG
tryk	impresión	tryk	impresión	N;INDF;NEUT;SG	N;FEM;SG
tryk	grifo	tryk	grifo	N;INDF;NEUT;SG	N;MASC;SG
skuespil	actuación	skuespil	actuación	N;INDF;NEUT;SG	N;FEM;SG
alternativ	alternativa	alternativ	alternativa	N;INDF;NEUT;SG	N;FEM;SG
alternativ	suplente	alternativ	suplente	N;INDF;NEUT;SG	N;SG
alternativ	alternativa	alternativ	alternativa	N;INDF;NEUT;SG	N;FEM;SG
samlinger	articulaciones	samling	articulación	N;INDF;MASC+FEM;PL	N;FEM;PL
samlinger	porros	samling	porro	N;INDF;MASC+FEM;PL	N;MASC;PL
samlinger	reuniones	samling	reunión	N;INDF;MASC+FEM;PL	N;FEM;PL
samlinger	encuentros	samling	encuentro	N;INDF;MASC+FEM;PL	N;MASC;PL
samlinger	cobros	samling	cobro	N;INDF;MASC+FEM;PL	N;MASC;PL
samlinger	colecciones	samling	colección	N;INDF;MASC+FEM;PL	N;FEM;PL
samlinger	asambleas	samling	asamblea	N;INDF;MASC+FEM;PL	N;FEM;PL
samlinger	montajes	samling	montaje	N;INDF;MASC+FEM;PL	N;MASC;PL
udføre	realizar	udføre	realizar	V;NFIN;ACT	V;NFIN
udføre	realice	udføre	realizar	V;NFIN;ACT	V;SBJV;SG;3;FIN
dna	adn	dna	adn	N;INDF;NEUT;SG	N;MASC;SG
dna	dna	dna	dna	N;INDF;NEUT;SG	N;MASC;SG
vælger	elija	vælge	elegir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vælger	elegir	vælge	elegir	V;IND;PRS;FIN;ACT	V;NFIN
vælger	elige	vælge	elegir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vælger	escoger	vælge	escoger	V;IND;PRS;FIN;ACT	V;NFIN
vælger	elegir	vælge	elegir	V;IND;PRS;FIN;ACT	V;NFIN
vælger	escogiendo	vælge	escoger	V;IND;PRS;FIN;ACT	V;V.MSDR
vælger	eligiendo	vælge	elegir	V;IND;PRS;FIN;ACT	V;V.MSDR
vælger	selecciona	vælge	seleccionar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
anton	anton	anton	anton	N;INDF;MASC+FEM;SG	N;MASC;SG
anton	antón	anton	antón	N;INDF;MASC+FEM;SG	N;MASC;SG
skyld	culpa	skyld	culpa	N;INDF;MASC+FEM;SG	N;FEM;SG
skyld	culpa	skyld	culpa	N;INDF;MASC+FEM;SG	N;FEM;SG
skyld	culpabilidad	skyld	culpabilidad	N;INDF;MASC+FEM;SG	N;FEM;SG
kongelig	real	kongelig	real	ADJ;INDF;MASC+FEM;SG	ADJ;SG
ære	honor	ære	honor	N;INDF;MASC+FEM;SG	N;MASC;SG
ære	honra	ære	honra	N;INDF;MASC+FEM;SG	N;FEM;SG
ære	honor	ære	honor	N;INDF;MASC+FEM;SG	N;MASC;SG
ære	honra	ære	honra	N;INDF;MASC+FEM;SG	N;FEM;SG
ære	glory	ære	glory	N;INDF;MASC+FEM;SG	N;SG
ære	gloria	ære	gloria	N;INDF;MASC+FEM;SG	N;FEM;SG
normale	normales	normal	normal	ADJ;PL	ADJ;PL
søger	mirando	søge	mirar	V;IND;PRS;FIN;ACT	V;V.MSDR
søger	buscando	søge	buscar	V;IND;PRS;FIN;ACT	V;V.MSDR
søger	buscando	søge	buscar	V;IND;PRS;FIN;ACT	V;V.MSDR
holstein	holstein	holstein	holstein	N;INDF;MASC+FEM;SG	N;FEM;SG
sproget	lengua	sprog	lengua	N;DEF;NEUT;SG	N;FEM;SG
sproget	idioma	sprog	idioma	N;DEF;NEUT;SG	N;MASC;SG
sproget	lenguaje	sprog	lenguaje	N;DEF;NEUT;SG	N;MASC;SG
admiral	almirante	admiral	almirante	N;INDF;MASC+FEM;SG	N;MASC;SG
tanker	pensamientos	tanke	pensamiento	N;INDF;MASC+FEM;PL	N;MASC;PL
markedet	mercado	marked	mercado	N;DEF;NEUT;SG	N;MASC;SG
markedet	market	marked	market	N;DEF;NEUT;SG	N
kvalificerede	calificar	kvalificere	calificar	V;PL;PST;V.PTCP	V;NFIN
referencer	referencias	reference	referencia	N;INDF;MASC+FEM;PL	N;FEM;PL
edvard	edvard	edvard	edvard	N;INDF;MASC+FEM;SG	N;MASC;SG
edvard	eduardo	edvard	eduardo	N;INDF;MASC+FEM;SG	N;MASC;SG
edvard	edward	edvard	edward	N;INDF;MASC+FEM;SG	N;MASC;SG
victor	vencedor	victor	vencedor	N;INDF;MASC+FEM;SG	N;MASC;SG
victor	víctor	victor	víctor	N;INDF;MASC+FEM;SG	N;MASC;SG
holdene	equipos	holde	equipo	N;DEF;MASC+FEM;PL	N;MASC;PL
lake	lago	lake	lago	N;INDF;MASC+FEM;SG	N;MASC;SG
lake	laguna	lake	laguna	N;INDF;MASC+FEM;SG	N;FEM;SG
skud	tiro	skud	tiro	N;INDF;NEUT;SG	N;MASC;SG
skud	shot	skud	shot	N;INDF;NEUT;SG	N
skud	disparo	skud	disparo	N;INDF;NEUT;SG	N;MASC;SG
skud	tiroteo	skud	tiroteo	N;INDF;NEUT;SG	N;MASC;SG
skud	disparo	skud	disparo	N;INDF;NEUT;SG	N;MASC;SG
grunde	motivos	grund	motivo	N;INDF;MASC+FEM;PL	N;MASC;PL
grunde	razones	grund	razón	N;INDF;MASC+FEM;PL	N;FEM;PL
definition	definición	definition	definición	N;INDF;MASC+FEM;SG	N;FEM;SG
forum	foro	forum	foro	N;INDF;NEUT;SG	N;MASC;SG
gennemføre	implementar	gennemføre	implementar	V;NFIN;ACT	V;NFIN
knudsen	knudsen	knuds	knudsir	N;DEF;MASC+FEM;SG	N;SG
