蛍光	fluoresenssi	蛍光	fluoresyn	N	N;NOM;SG
オペレーション	toimien	オペレーション	toimi	N	N;GEN;PL
オペレーション	toiminnot	オペレーション	toiminto	N	N;NOM;PL
オペレーション	toiminta	オペレーション	toiminta	N	N;NOM;SG
オペレーション	toimenpide	オペレーション	toimen#pide	N	N;NOM;SG
オペレーション	toiminto	オペレーション	toiminto	N	N;NOM;SG
オペレーション	operaatio	オペレーション	operaatio	N	N;NOM;SG
小麦	vehnä	小麦	vehnä	N	N;NOM;SG
小麦	vehnää	小麦	vehnä	N	N;PRT;SG
物事	asioita	物事	asia	N	N;PRT;PL
物事	asiat	物事	asia	N	N;NOM;PL
描画	piirtää	描画	piirtää	V	V;IND;SG;FIN;ACT
パレット	lava	パレット	lava	N	N;NOM;SG
パレット	paletti	パレット	palettaa	N	N;NOM;SG
フューチャー	tulevaisuuden	フューチャー	tulevaisuus	N	N;GEN;SG
フューチャー	tulevaisuus	フューチャー	tulevaisuus	N	N;NOM;SG
フューチャー	tulevaisuutta	フューチャー	tulevaisuus	N	N;PRT;SG
フューチャー	tulevaisuudessa	フューチャー	tulevaisuus	N	N;IN+ESS;SG
フューチャー	tulevaisuuteen	フューチャー	tulevaisuus	N	N;IN+ALL;SG
狂気	hulluutta	狂気	hulluus	N	N;PRT;SG
狂気	hulluus	狂気	hulluus	N	N;NOM;SG
狂気	hulluuden	狂気	hulluus	N	N;GEN;SG
狂気	hulluutta	狂気	hulluus	N	N;PRT;SG
狂気	hulluus	狂気	hulluus	N	N;NOM;SG
懸賞	palkintoja	懸賞	palkinta	N	N;PRT;PL
懸賞	palkinnot	懸賞	palkinto	N	N;NOM;PL
ロバ	aasi	ロバ	aasi	N	N;NOM;SG
大麻	kannabis	大麻	kannabis	N	N;NOM;SG
大麻	kannabiksen	大麻	kannabis	N	N;GEN;SG
大麻	kannabista	大麻	kannabi	N	N;IN+ABL;SG
村落	kylien	村落	kylä	N	N;GEN;PL
村落	kyliä	村落	kylä	N	N;PRT;PL
村落	kylän	村落	kylä	N	N;GEN;SG
村落	kylä	村落	kylä	N	N;NOM;SG
村落	kylässä	村落	kylä	N	N;IN+ESS;SG
生態	ekosysteemin	生態	ekosysteemi	N	N;GEN;SG
生態	ekosysteemien	生態	ekosysteemi	N	N;GEN;PL
かわいい	söpö	かわいい	söpö	ADJ	ADJ;NOM;SG
モニュメント	monumentti	モニュメント	monumentti	N	N;NOM;SG
モニュメント	muistomerkki	モニュメント	muisto#merkki	N	N;NOM;SG
ジャッジ	judge	ジャッジ	judge	N	N;NOM;SG
ジャッジ	tuomari	ジャッジ	tuomari	N	N;NOM;SG
ジャッジ	tuomarina	ジャッジ	tuomari	N	N;FRML;SG
ファインダー	löytäjä	ファインダー	löytäjä	N	N;NOM;SG
覚書	muistio	覚書	muistio	N	N;NOM;SG
サンダー	ukkonen	サンダー	ukkonen	N	N;NOM;SG
紅茶	tea	紅茶	tea	N	N;NOM;SG
紅茶	teetä	紅茶	tee	N	N;PRT;SG
信じる	uskoa	信じる	uskoa	V	V;SG;NFIN;ACT
信じる	uskoo	信じる	uskoa	V	V;IND;SG;3;PRS;FIN;ACT
信じる	usko	信じる	uskoa	V	V;IMP;SG;2;FIN;ACT
ハイライト	korostus	ハイライト	korostus	N	N;NOM;SG
マシーン	laite	マシーン	laite	N	N;NOM;SG
マシーン	koneen	マシーン	kone	N	N;GEN;SG
マシーン	kone	マシーン	kone	N	N;NOM;SG
ポーラ	paula	ポーラ	paula	N	N;NOM;SG
船首	keula	船首	keula	N	N;NOM;SG
船首	jousi	船首	jousi	N	N;NOM;SG
暗闇	pimeyttä	暗闇	pimeys	N	N;PRT;SG
暗闇	pimeys	暗闇	pimeys	N	N;NOM;SG
暗闇	pimeyden	暗闇	pimeys	N	N;GEN;SG
リベラル	liberaalit	リベラル	liberaali	N	N;NOM;PL
プロローグ	prologi	プロローグ	prologi	N	N;NOM;SG
果物	hedelmä	果物	hedelmä	N	N;NOM;SG
果物	hedelmät	果物	hedelmä	N	N;NOM;PL
果物	hedelmiä	果物	hedelmä	N	N;PRT;PL
果物	hedelmistä	果物	hedelmä	N	N;IN+ABL;PL
果物	hedelmät	果物	hedelmä	N	N;NOM;PL
果物	hedelmiä	果物	hedelmä	N	N;PRT;PL
おじ	setä	おじる	setä	N	N;NOM;SG
おじ	eno	おじる	eno	N	N;NOM;SG
おじ	sedät	おじる	setä	N	N;NOM;PL
停電	pimennys	停電	pimennys	N	N;NOM;SG
爬虫	matelija	爬虫	matelija	N	N;NOM;SG
爬虫	matelijat	爬虫	matelija	N	N;NOM;PL
五	viisi	五	viisi	NUM	NUM;NOM;SG
税金	veroja	税金	vero	N	N;PRT;PL
税金	verotus	税金	verotus	N	N;NOM;SG
税金	vero	税金	vero	N	N;NOM;SG
税金	verot	税金	vero	N	N;NOM;PL
税金	veroja	税金	vero	N	N;PRT;PL
税金	verot	税金	vero	N	N;NOM;PL
登る	kiivetä	登る	kiivetä	V	V;SG;NFIN;ACT
領事	konsuli	領事	konsuli	N	N;NOM;SG
知識人	älymystön	知識人	älymystö	N	N;GEN;SG
ウェディング	häät	ウェディング	häät	N	N;NOM;PL
ウェディング	häitä	ウェディング	häät	N	N;PRT;PL
ウェディング	häissä	ウェディング	häät	N	N;IN+ESS;PL
ウェディング	häät	ウェディング	häät	N	N;NOM;PL
ウェディング	häitä	ウェディング	häät	N	N;PRT;PL
着物	kimono	着物	kimono	N	N;NOM;SG
救急車	ambulanssi	救急車	ambulanssi	N	N;NOM;SG
花弁	terälehtiä	花弁	terä#lehti	N	N;PRT;PL
残党	jäänteitä	残党	jäänne	N	N;PRT;PL
残党	jäänteet	残党	jäänne	N	N;NOM;PL
セグメント	segmentin	セグメント	segmentti	N	N;GEN;SG
絶縁	eristetty	絶縁	eristää	V	V;NOM;SG;V.PTCP;PASS
サングラス	aurinkolasit	サングラス	aurinko#lasit	N	N;NOM;PL
スプリンター	pikajuoksija	スプリンター	pika#juoksija	N	N;NOM;SG
スプリンター	tikun	スプリンター	tikku	N	N;GEN;SG
スプリンター	tikku	スプリンター	tikku	N	N;NOM;SG
リセット	palauta	リセット	palauttaa	V	V;IMP;SG;2;FIN;ACT
軍縮	aseistariisunnan	軍縮	aseistari#isunta	N	N;GEN;SG
ジングル	jingle	ジングル	jingle	N	N;NOM;SG
スプレー	spray	スプレー	spray	N	N;NOM;SG
ポテンシャル	potentiaali	ポテンシャル	potentiaali	N	N;NOM;SG
生化学	biokemian	生化学	bio#kemia	N	N;GEN;SG
スピーチ	puhe	スピーチ	puhe	N	N;NOM;SG
スピーチ	puhetta	スピーチ	puhe	N	N;PRT;SG
スピーチ	puheenvuoro	スピーチ	puheen#vuoro	N	N;NOM;SG
タスク	tehtäviä	タスク	tehtävä	N	N;PRT;PL
タスク	tehtävien	タスク	tehtävä	N	N;GEN;PL
タスク	tehtävät	タスク	tehtävä	N	N;NOM;PL
タスク	tehtävän	タスク	tehtävä	N	N;GEN;SG
タスク	tehtävä	タスク	tehtävä	N	N;NOM;SG
キャプション	kuvateksti	キャプション	kuvateksti	N	N;NOM;SG
キャプション	kuvatekstit	キャプション	kuvateksti	N	N;NOM;PL
物品	tavara	物品	tavara	N	N;NOM;SG
物品	tavarat	物品	tavara	N	N;NOM;PL
物品	tavaran	物品	tavara	N	N;GEN;SG
物品	tavaroiden	物品	tavara	N	N;GEN;PL
サイレン	sireeni	サイレン	sire	N	N;NOM;SG
小人	kääpiö	小人	kääpiö	N	N;NOM;SG
リビング	asuminen	リビング	asuminen	N	N;NOM;SG
リビング	eläminen	リビング	eläminen	N	N;NOM;SG
バイオリン	viulu	バイオリン	viulu	N	N;NOM;SG
バイオリン	viulua	バイオリン	viulu	N	N;PRT;SG
インターフェース	liittymä	インターフェース	liittyä	N	N;NOM;SG
インターフェース	käyttöliittymä	インターフェース	käyttö#liittymä	N	N;NOM;SG
インターフェース	liitäntä	インターフェース	liitän	N	N;NOM;SG
インターフェース	liitännät	インターフェース	liitää	N	N;NOM;PL
即興	improvisointia	即興	improvisointi	N	N;PRT;SG
ドロー	tasapeli	ドロー	tasa#peli	N	N;NOM;SG
賞品	palkintoja	賞品	palkinta	N	N;PRT;PL
賞品	palkinnot	賞品	palkinto	N	N;NOM;PL
公判	oikeudenkäyntiä	公判	oikeuden#käynti	N	N;PRT;SG
公判	oikeudenkäynnin	公判	oikeuden#käynti	N	N;GEN;SG
公判	oikeudenkäynti	公判	oikeuden#käynti	N	N;NOM;SG
カスタマイズ	muokkausta	カスタマイズ	muokkaus	N	N;PRT;SG
変種	lajikkeen	変種	lajike	N	N;GEN;SG
リハビリテーション	kunnostaminen	リハビリテーション	kunnostaminen	N	N;NOM;SG
リハビリテーション	kunnostus	リハビリテーション	kunnostus	N	N;NOM;SG
リハビリテーション	kuntoutus	リハビリテーション	kuntoutus	N	N;NOM;SG
アクセサリー	tarvikkeet	アクセサリー	tarvike	N	N;NOM;PL
フォーチュン	omaisuuden	フォーチュン	omaisuus	N	N;GEN;SG
ラッパー	räppäri	ラッパー	räppäri	N	N;NOM;SG
ラッパー	kääre	ラッパー	kääre	N	N;NOM;SG
検知	havaittu	検知	havaita	V	V;NOM;SG;V.PTCP;PASS
検知	havaitut	検知	havaita	V	V;NOM;PL;V.PTCP;PASS
検知	havaittiin	検知	havaita	V	V;IND;PST;FIN;PASS
検知	havaitse	検知	havaita	V	V;IMP;SG;2;FIN;ACT
検知	havaita	検知	havaita	V	V;SG;NFIN;ACT
野獣	peto	野獣	peto	N	N;NOM;SG
野獣	elukka	野獣	elukka	N	N;NOM;SG
野獣	hirviö	野獣	hirviö	N	N;NOM;SG
サメ	haita	サメ	haita	N	N;PRT;SG
サメ	hait	サメ	hait	N	N;NOM;PL
サメ	hai	サメ	hai	N	N;NOM;SG
サメ	haita	サメ	haita	N	N;PRT;SG
サメ	hait	サメ	hait	N	N;NOM;PL
湖沼	järvien	湖沼	järvi	N	N;GEN;PL
湖沼	järvet	湖沼	järvi	N	N;NOM;PL
オペレーター	operaattori	オペレーター	operaattori	N	N;NOM;SG
オペレーター	toimija	オペレーター	toimija	N	N;NOM;SG
レクイエム	requiem	レクイエム	requiem	N	N;NOM;SG
ゲット	hanki	ゲット	hankkia	V	V;IMP;SG;2;FIN;ACT
ゲット	saada	ゲット	saada	V	V;SG;NFIN;ACT
ゲット	saa	ゲット	saada	V	V;IND;SG;0;PRS;FIN;ACT
ゲット	hae	ゲット	hakea	V	V;IMP;SG;2;FIN;ACT
ナット	pähkinä	ナット	pähki	N	N;NOM;SG
陽気	hilpeä	陽気	hilpeä	ADJ	ADJ;NOM;SG
陽気	iloinen	陽気	iloinen	ADJ	ADJ;NOM;SG
陽気	hilpeä	陽気	hilpeä	ADJ	ADJ;NOM;SG
陽気	leikkisä	陽気	leikkisä	ADJ	ADJ;NOM;SG
概説	hahmotella	概説	hahmotella	V	V;SG;NFIN;ACT
マグロ	tonnikalaa	マグロ	tonni#kalaa	N	N;PRT;SG
マグロ	tonnikalan	マグロ	tonni#kala	N	N;GEN;SG
マグロ	tonnikala	マグロ	tonni#kala	N	N;NOM;SG
ファンク	funk	ファンク	funk	N	N;NOM;SG
キープ	säilytä	キープ	säilyttää	V	V;IMP;SG;2;FIN;ACT
キープ	pidä	キープ	pitää	V	V;IMP;SG;2;FIN;ACT
ダイバー	sukeltaja	ダイバー	sukeltaja	N	N;NOM;SG
ダイバー	sukeltajat	ダイバー	sukeltaja	N	N;NOM;PL
長方形	suorakaiteen	長方形	suora#kaide	N	N;GEN;SG
長方形	suorakulmion	長方形	suora#kulmio	N	N;GEN;SG
長方形	suorakaiteen	長方形	suora#kaide	N	N;GEN;SG
パイプライン	putken	パイプライン	putki	N	N;GEN;SG
有益	hyödyllistä	有益	hyödyllinen	ADJ	ADJ;PRT;SG
疾病	tauti	疾病	tauti	N	N;NOM;SG
疾病	taudista	疾病	tauti	N	N;IN+ABL;SG
疾病	sairaus	疾病	sairaus	N	N;NOM;SG
疾病	taudit	疾病	tauti	N	N;NOM;PL
迷路	sokkelo	迷路	sokkelo	N	N;NOM;SG
コントローラー	valvojat	コントローラー	valvoja	N	N;NOM;PL
コントローラー	ohjaimet	コントローラー	ohjain	N	N;NOM;PL
コントローラー	ohjain	コントローラー	ohjain	N	N;NOM;SG
形容詞	adjektiivi	形容詞	adjektiivi	N	N;NOM;SG
形容詞	adjektiiveja	形容詞	adjektiivi	N	N;PRT;PL
アスリート	urheilija	アスリート	urheilija	N	N;NOM;SG
アスリート	urheilijoita	アスリート	urheilija	N	N;PRT;PL
アスリート	urheilijat	アスリート	urheilija	N	N;NOM;PL
キャラバン	karavaani	キャラバン	karava	N	N;NOM;SG
丸い	pyöreä	丸く	pyöreä	ADJ	ADJ;NOM;SG
変奏曲	vaihtelu	変奏曲	vaihtelu	N	N;NOM;SG
変奏曲	muutokset	変奏曲	muutos	N	N;NOM;PL
変奏曲	vaihtelut	変奏曲	vaihtelu	N	N;NOM;PL
カーテン	verhon	カーテン	verho	N	N;GEN;SG
カーテン	verhot	カーテン	verho	N	N;NOM;PL
カーテン	verho	カーテン	verho	N	N;NOM;SG
カーテン	verhot	カーテン	verho	N	N;NOM;PL
コンベンション	yleissopimus	コンベンション	yleis#sopimus	N	N;NOM;SG
コンベンション	yleissopimuksen	コンベンション	yleis#sopimus	N	N;GEN;SG
ラッチ	salpa	ラッチ	salpa	N	N;NOM;SG
レクリエーション	virkistys	レクリエーション	virkistys	N	N;NOM;SG
コンパイル	kokoaminen	コンパイル	kokoaminen	N	N;NOM;SG
コンパイル	kokoelma	コンパイル	kokoelma	N	N;NOM;SG
超	supernova	超	supernova	N	N;NOM;SG
バンパー	puskurin	バンパー	puskuri	N	N;GEN;SG
サーベル	saber	サーベル	saber	N	N;NOM;SG
ファシズム	fasisti	ファシズム	fasisti	N	N;NOM;SG
ファシズム	fasismin	ファシズム	fasismi	N	N;GEN;SG
ファシズム	fasistit	ファシズム	fasisti	N	N;NOM;PL
内乱	kapina	内乱	kapina	N	N;NOM;SG
組み込み	upotettu	組み込み	upottaa	V	V;NOM;SG;V.PTCP;PASS
ズボン	housuja	ズボン	housut	N	N;PRT;PL
ズボン	housut	ズボン	housut	N	N;NOM;PL
ズボン	housujen	ズボン	housut	N	N;GEN;PL
ズボン	housuja	ズボン	housut	N	N;PRT;PL
ズボン	housut	ズボン	housut	N	N;NOM;PL
日	auringonnousua	日	auringon#nousu	N	N;PRT;SG
カリキュラム	opetussuunnitelmien	カリキュラム	opetus#suunnitelma	N	N;GEN;PL
カリキュラム	opetussuunnitelman	カリキュラム	opetus#suunnitelma	N	N;GEN;SG
おしゃれ	tyylikkäitä	おしゃれ	tyylikäs	ADJ	ADJ;PRT;PL
おしゃれ	tyylikäs	おしゃれ	tyylikäs	ADJ	ADJ;NOM;SG
おしゃれ	tyylikästä	おしゃれ	tyylikäs	ADJ	ADJ;PRT;SG
風車	tuulimylly	風車	tuulimylly	N	N;NOM;SG
風車	tuulimyllyjä	風車	tuuli#mylly	N	N;PRT;PL
触手	lonkero	触手	lonkero	N	N;NOM;SG
触手	lonkerot	触手	lonkero	N	N;NOM;PL
チタン	titaania	チタン	titaani	N	N;PRT;SG
悲しい	surullista	悲しい	surullinen	ADJ	ADJ;PRT;SG
悲しい	surullinen	悲しい	surullinen	ADJ	ADJ;NOM;SG
ハガキ	postikortti	ハガキ	posti#kortti	N	N;NOM;SG
ダイス	noppaa	ダイス	noppa	N	N;IN+ABL;SG
ノミ	kirppu	ノミ	kirppu	N	N;NOM;SG
ファイナンス	rahoitus	ファイナンス	rahoitus	N	N;NOM;SG
スーパースター	supertähti	スーパースター	super#tähti	N	N;NOM;SG
ホステス	emännän	ホステス	emäntä	N	N;GEN;SG
ホステス	emäntä	ホステス	emäntä	N	N;NOM;SG
ダイビング	sukellus	ダイビング	sukellus	N	N;NOM;SG
ダイビング	sukellus	ダイビング	sukellus	N	N;NOM;SG
ブロンズ	pronssia	ブロンズ	pronssi	N	N;PRT;SG
スキップ	skip	スキップ	skip	N	N;NOM;SG
絶叫	huuto	絶叫	huuto	N	N;NOM;SG
手榴	kranaatti	手榴	kranaatti	N	N;NOM;SG
手榴	kranaatteja	手榴	kranaatti	N	N;PRT;PL
議定	pöytäkirjan	議定	pöytä#kirja	N	N;GEN;SG
議定	protokolla	議定	protoko	N	N;NOM;SG
議定	pöytäkirja	議定	pöytä#kirja	N	N;NOM;SG
ピザ	pizzaa	ピザ	pizza	N	N;PRT;SG
ピザ	pizza	ピザ	pizza	N	N;NOM;SG
土星	saturnus	土星	saturnus	N	N;NOM;SG
サクセス	menestys	サクセス	menestys	N	N;NOM;SG
サクセス	menestystä	サクセス	menestys	N	N;PRT;SG
サクセス	onnistuminen	サクセス	onnistuminen	N	N;NOM;SG
海老	rapu	海老	rapu	N	N;NOM;SG
海老	äyriäinen	海老	äyriäinen	N	N;NOM;SG
海老	katkarapuja	海老	katka#rapu	N	N;PRT;PL
海老	katkarapuja	海老	katka#rapu	N	N;PRT;PL
退屈	tylsää	退屈	tylsä	ADJ	ADJ;PRT;SG
退屈	tylsä	退屈	tylsä	ADJ	ADJ;NOM;SG
退屈	tylsää	退屈	tylsä	ADJ	ADJ;PRT;SG
ダーツ	darts	ダーツ	darts	N	N;NOM;SG
中庭	pihan	中庭	piha	N	N;GEN;SG
中庭	piha	中庭	piha	N	N;NOM;SG
購買	osto	購買	osto	N	N;NOM;SG
購買	ostaminen	購買	ostaminen	N	N;NOM;SG
ウィルス	virukset	ウィルス	virus	N	N;NOM;PL
ウィルス	virus	ウィルス	virus	N	N;NOM;SG
ウィルス	viruksen	ウィルス	virus	N	N;GEN;SG
ウィルス	virusta	ウィルス	virus	N	N;IN+ABL;SG
ウィルス	viruksia	ウィルス	virus	N	N;PRT;PL
ウィルス	virukset	ウィルス	virus	N	N;NOM;PL
ウィルス	virusten	ウィルス	virus	N	N;GEN;PL
噴水	suihkulähde	噴水	suihku#lähte	N	N;NOM;SG
噴水	suihkulähteitä	噴水	suihku#lähde	N	N;PRT;PL
試練	oikeudenkäynnit	試練	oikeuden#käynti	N	N;NOM;PL
試練	kokeet	試練	koe	N	N;NOM;PL
ガレージ	autotalli	ガレージ	auto#talli	N	N;NOM;SG
ガレージ	autotallin	ガレージ	auto#talli	N	N;GEN;SG
苦しむ	kärsi	苦しむ	kärsiä	V	V;IND;SG;3;PST;FIN;ACT
苦しむ	kärsivät	苦しむ	kärsiä	V	V;IND;PL;3;PRS;FIN;ACT
苦しむ	kärsii	苦しむ	kärsiä	V	V;IND;SG;3;PRS;FIN;ACT
苦しむ	kärsiä	苦しむ	kärsi	V	V;SG;NFIN;ACT
ヘルプ	apua	ヘルプ	apu	N	N;PRT;SG
ヘルプ	ohje	ヘルプ	ohje	N	N;NOM;SG
レンガ	tiiliä	レンガ	tiili	N	N;PRT;PL
レンガ	brick	レンガ	brick	N	N;NOM;SG
イデオロギー	ideologia	イデオロギー	ideologia	N	N;NOM;SG
イデオロギー	ideologiat	イデオロギー	ideologia	N	N;NOM;PL
切腹	seppuku	切腹	seppuku	N	N;NOM;SG
ベーシック	perus	ベーシック	perus	N	N;NOM;SG
包装	pakkaus	包装	pakkaus	N	N;NOM;SG
包装	pakkaaminen	包装	pakkaaminen	N	N;NOM;SG
包装	pakkaukset	包装	pakkaus	N	N;NOM;PL
鉛	kynän	鉛	kynä	N	N;GEN;SG
鉛	kynä	鉛	kynä	N	N;NOM;SG
鉛	kyniä	鉛	kynä	N	N;PRT;PL
会計士	kirjanpitäjä	会計士	kirja#pitäjä	N	N;NOM;SG
会計士	tilintarkastaja	会計士	tili#tarkastaja	N	N;NOM;SG
カーリング	curling	カーリング	curling	N	N;NOM;SG
ヒート	lämpöä	ヒート	lämpö	N	N;PRT;SG
ヒート	kuumuus	ヒート	kuumuus	N	N;NOM;SG
ヒート	lämpö	ヒート	lämpö	N	N;NOM;SG
ヒート	helle	ヒート	hälle	N	N;NOM;SG
東南	kaakkoon	東南	kaakko	N	N;IN+ALL;SG
東南	kaakkois	東南	kaakkois	N	N;NOM;SG
隣人	naapuri	隣人	naapuri	N	N;NOM;SG
隣人	naapurin	隣人	naapuri	N	N;GEN;SG
隣人	naapuri	隣人	naapuri	N	N;NOM;SG
隣人	naapurin	隣人	naapuri	N	N;GEN;SG
乱暴	rankka	乱暴	rankka	ADJ	ADJ;NOM;SG
乱暴	rankkaa	乱暴	rankka	ADJ	ADJ;PRT;SG
乱暴	karkea	乱暴	karkea	ADJ	ADJ;NOM;SG
後悔	pahoittelee	後悔	pahoitella	V	V;IND;SG;3;PRS;FIN;ACT
催眠	hypnoosi	催眠	hypä#osi	N	N;NOM;SG
ハエ	kärpänen	ハエ	kärpänen	N	N;NOM;SG
悪霊	paholainen	悪霊	paholainen	N	N;NOM;SG
悪霊	demoni	悪霊	demoni	N	N;NOM;SG
悪霊	demonin	悪霊	demoni	N	N;GEN;SG
悪霊	demoneja	悪霊	demoni	N	N;PRT;PL
悪霊	demonit	悪霊	demoni	N	N;NOM;PL
汚職	korruptio	汚職	korruptio	N	N;NOM;SG
汚職	lahjontaa	汚職	lahjonta	N	N;PRT;SG
汚職	korruption	汚職	korruptio	N	N;GEN;SG
汚職	korruptiota	汚職	korruptio	N	N;PRT;SG
取り付ける	liittää	取り付ける	liittää	V	V;SG;NFIN;ACT
取り付ける	kiinnitä	取り付ける	kiinnittää	V	V;IMP;SG;2;FIN;ACT
取り付ける	liitä	取り付ける	liittää	V	V;IMP;SG;2;FIN;ACT
服飾	puku	服飾	puku	N	N;NOM;SG
服飾	asu	服飾	asua	N	N;NOM;SG
ロケーション	sijainti	ロケーション	sijainti	N	N;NOM;SG
牛肉	naudan	牛肉	nauta	N	N;GEN;SG
牛肉	naudanliha	牛肉	naudan#liha	N	N;NOM;SG
牛肉	naudanlihan	牛肉	naudan#liha	N	N;GEN;SG
万歳	banzai	万歳	banzai	N	N;NOM;SG
由緒	historia	由緒	historia	N	N;NOM;SG
由緒	historiaan	由緒	historia	N	N;IN+ALL;SG
由緒	historiaa	由緒	historia	N	N;PRT;SG
由緒	historian	由緒	historia	N	N;GEN;SG
由緒	historiasta	由緒	historia	N	N;IN+ABL;SG
地下	pohjaveden	地下	pohja#vesi	N	N;GEN;SG
好奇心	utelias	好奇心	utelias	N	N;NOM;SG
好奇心	uteliaisuus	好奇心	uteliaisuus	N	N;NOM;SG
花粉	siitepölyä	花粉	siite#pöly	N	N;PRT;SG
生態学	ekologia	生態学	ekologia	N	N;NOM;SG
ギミック	kikka	ギミック	kikka	N	N;NOM;SG
バスト	ratsia	バスト	ratsia	N	N;PRT;SG
レゲエ	reggae	レゲエ	reggae	N	N;NOM;SG
フェーズ	vaihe	フェーズ	vaihe	N	N;NOM;SG
タフ	kova	タフ	kova	ADJ	ADJ;NOM;SG
タフ	kovaa	タフ	kova	ADJ	ADJ;PRT;SG
タフ	rankkaa	タフ	rankka	ADJ	ADJ;PRT;SG
スパイス	mausteita	スパイス	mauste	N	N;PRT;PL
スパイス	mausteet	スパイス	mauste	N	N;NOM;PL
光沢	kiilto	光沢	kiilto	N	N;NOM;SG
親指	peukalo	親指	peukalo	N	N;NOM;SG
親指	peukalo	親指	peukalo	N	N;NOM;SG
フォロー	seurata	フォロー	seurata	V	V;SG;NFIN;ACT
フォロー	seuraa	フォロー	seurata	V	V;IMP;SG;2;PRS;FIN;ACT
粉末	jauhoja	粉末	jauha	N	N;PRT;PL
粉末	jauhot	粉末	jauho	N	N;NOM;PL
粉末	jauhe	粉末	jauhe	N	N;NOM;SG
台所	keittiöt	台所	keittiö	N	N;NOM;PL
台所	keittiöön	台所	keittiö	N	N;IN+ALL;SG
台所	keittiö	台所	keittiö	N	N;NOM;SG
誘発	aiheuttama	誘発	aiheuttaa	V	V;NOM;SG;V.PTCP;ACT
楽屋	takahuoneessa	楽屋	taka#huone	N	N;IN+ESS;SG
公道	valtatie	公道	valta#tie	N	N;NOM;SG
公道	maantie	公道	maantie	N	N;NOM;SG
公道	highway	公道	highway	N	N;NOM;SG
公道	moottoritie	公道	moottori#tie	N	N;NOM;SG
峡谷	rotko	峡谷	rotko	N	N;NOM;SG
峡谷	rotko	峡谷	rotko	N	N;NOM;SG
救世主	pelastaja	救世主	pelastaja	N	N;NOM;SG
馬術	ratsastus	馬術	ratsastus	N	N;NOM;SG
馬術	ratsastaja	馬術	ratsastaja	N	N;NOM;SG
書式	muodoissa	書式	muoto	N	N;IN+ESS;PL
書式	muodot	書式	muoto	N	N;NOM;PL
書式	muodossa	書式	muoto	N	N;IN+ESS;SG
書式	muoto	書式	muoto	N	N;NOM;SG
アレルギー	allergia	アレルギー	allergia	N	N;NOM;SG
序文	johdanto	序文	johdanto	N	N;NOM;SG
ヘッドライト	ajovalo	ヘッドライト	ajovalo	N	N;NOM;SG
ヘッドライト	ajovalot	ヘッドライト	ajo#valo	N	N;NOM;PL
知覚	näkemys	知覚	näkemys	N	N;NOM;SG
知覚	käsitys	知覚	käsitys	N	N;NOM;SG
勇敢	rohkeaa	勇敢	rohkea	ADJ	ADJ;PRT;SG
勇敢	rohkea	勇敢	rohkea	ADJ	ADJ;NOM;SG
モーメント	hetket	モーメント	hetki	N	N;NOM;PL
モーメント	hetkiä	モーメント	hetki	N	N;PRT;PL
モーメント	hetki	モーメント	hetki	N	N;NOM;SG
農産物	viljelykasvien	農産物	viljely#kasvi	N	N;GEN;PL
わざと	tahallaan	わざと	tahallaan	ADV	ADV
わざと	tarkoituksellisesti	わざと	tarkoituksellisesti	ADV	ADV
レプリカ	jäljennös	レプリカ	jäljennös	N	N;NOM;SG
レプリカ	kopio	レプリカ	kopio	N	N;NOM;SG
レプリカ	jäljennöksiä	レプリカ	jäljennös	N	N;PRT;PL
注射	injektio	注射	injektio	N	N;NOM;SG
平仮	hiragana	平仮	hiraga	N	N;NOM;SG
博物学	luonnontieteilijä	博物学	luonnon#tieteilijä	N	N;NOM;SG
ブレンド	sekoitus	ブレンド	sekoitus	N	N;NOM;SG
クレーム	valitukset	クレーム	valitus	N	N;NOM;PL
クレーム	valituksia	クレーム	valitus	N	N;PRT;PL
クレーム	valitus	クレーム	valitus	N	N;NOM;SG
クレーム	valitukset	クレーム	valitus	N	N;NOM;PL
クレーム	kantelun	クレーム	kantelu	N	N;GEN;SG
クレーム	kantelu	クレーム	kantelu	N	N;NOM;SG
島民	saarelainen	島民	saarelainen	N	N;NOM;SG
島民	islanders	島民	islanders	N	N;NOM;SG
トウモロコシ	maissi	トウモロコシ	maissi	N	N;NOM;SG
トウモロコシ	maissin	トウモロコシ	maissi	N	N;GEN;SG
トウモロコシ	maissia	トウモロコシ	maissi	N	N;PRT;SG
トウモロコシ	maissi	トウモロコシ	maissi	N	N;NOM;SG
トウモロコシ	maissia	トウモロコシ	maissi	N	N;PRT;SG
ギネス	guinness	ギネス	guinness	N	N;NOM;SG
ギネス	gwyneth	ギネス	gwyneth	N	N;NOM;SG
景色	maisemat	景色	maisema	N	N;NOM;PL
景色	maisemia	景色	maisema	N	N;PRT;PL
景色	maisemat	景色	maisema	N	N;NOM;PL
景色	maisemia	景色	maisema	N	N;PRT;PL
甲状	kilpirauhasen	甲状	kilpi#rauhanen	N	N;GEN;SG
硝酸	nitraatti	硝酸	nitraatti	N	N;NOM;SG
図面	piirustukset	図面	piirustus	N	N;NOM;PL
図面	piirustuksia	図面	piirustus	N	N;PRT;PL
図面	piirrokset	図面	piirros	N	N;NOM;PL
図面	piirustus	図面	piirustus	N	N;NOM;SG
図面	piirros	図面	piirros	N	N;NOM;SG
埋める	haudata	埋める	haudata	V	V;SG;NFIN;ACT
埋める	täytä	埋める	täyttää	V	V;IMP;SG;2;FIN;ACT
