for	za	for	za		
progress	napredovanie	progress	napredovanie	N;SG	N;NOM;NEUT;SG
progress	priebeh	progress	priebeh	N;SG	N;INAN;NOM;MASC;SG
learn	učiť	learn	učiť	V;IMP;FIN	V;IPFV;POS;NFIN
planet	planéta	planet	planéta	N;SG	N;NOM;FEM;SG
planet	planétu	planet	planéta	N;SG	N;ACC;FEM;SG
planet	planéte	planet	planéta	N;SG	N;DAT;FEM;SG
usage	využívanie	usage	využívanie	N;SG	N;NOM;NEUT;SG
usage	využitie	usage	využitie	N;SG	N;NOM;NEUT;SG
usage	používanie	usage	používanie	N;SG	N;NOM;NEUT;SG
usage	použitie	usage	použitie	N;SG	N;NOM;NEUT;SG
refused	odmietol	refuse	odmietnuť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
truth	pravda	truth	pravda	N;SG	N;NOM;FEM;SG
truth	pravdy	truth	pravda	N;SG	N;GEN;FEM;SG
truth	pravdu	truth	pravda	N;SG	N;ACC;FEM;SG
truth	pravde	truth	pravda	N;SG	N;DAT;FEM;SG
sufficient	dostatočný	sufficient	dostatočný	ADJ	ADJ;INAN;NOM;MASC;SG
sufficient	dostatočná	sufficient	dostatočný	ADJ	ADJ;NOM;FEM;SG
sufficient	dostatočné	sufficient	dostatočný	ADJ	ADJ;NOM;NEUT;SG
sufficient	postačujúce	sufficient	postačujúci	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
equal	rovnaké	equal	rovnaký	ADJ	ADJ;NOM;NEUT;SG
equal	rovnaký	equal	rovnaký	ADJ	ADJ;ANIM;NOM;MASC;SG
equal	rovné	equal	rovný	ADJ	ADJ;NOM;NEUT;SG
administrator	administrátor	administrator	administrátor	N;SG	N;ANIM;NOM;MASC;SG
administrator	správcu	administrator	správca	N;SG	N;ANIM;ACC;MASC;SG
administrator	správca	administrator	správca	N;SG	N;ANIM;NOM;MASC;SG
persons	osobám	person	osobať	N;PL	N;DAT;FEM;PL
persons	osoby	person	osoba	N;PL	N;NOM;FEM;PL
persons	osôb	person	osoba	N;PL	N;GEN;FEM;PL
factory	továreň	factory	továreň	N;SG	N;NOM;FEM;SG
fought	bojovali	fight	bojovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
fought	bojovala	fight	bojovať	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
fought	bojoval	fight	bojovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
outstanding	vynikajúce	outstanding	vynikajúci	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
magazines	časopisy	magazine	časopis	N;PL	N;INAN;NOM;MASC;PL
magazines	časopisov	magazine	časopis	N;PL	N;INAN;GEN;MASC;PL
flow	tok	flow	tok	N;SG	N;INAN;NOM;MASC;SG
flow	toku	flow	tok	N;SG	N;INAN;GEN;MASC;SG
flow	prietok	flow	prietok	N;SG	N;INAN;NOM;MASC;SG
peer	peer	peer	peer	N;SG	N;ANIM;NOM;MASC;SG
attacked	napadol	attack	napadnúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
attacked	zaútočil	attack	zaútočiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
attacked	zaútočili	attack	zaútočiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
generate	generovať	generate	generovať	V;IMP;FIN	V;IPFV;POS;NFIN
shape	tvar	shape	tvar	N;SG	N;INAN;NOM;MASC;SG
shape	tvare	shape	tvar	N;SG	N;INAN;NOM;MASC;SG
creator	stvoriteľ	creator	stvoriteľ	N;SG	N;ANIM;NOM;MASC;SG
creator	tvorca	creator	tvorca	N;SG	N;ANIM;NOM;MASC;SG
requires	vyžaduje	require	vyžadovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
option	opcia	option	opcia	N;SG	N;NOM;FEM;SG
option	možnosť	option	možnosť	N;SG	N;NOM;FEM;SG
option	možnost	option	možnost	N;SG	N;NOM;FEM;SG
option	voľba	option	voľba	N;SG	N;NOM;FEM;SG
starts	štartuje	start	štartovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
starts	začne	start	začať	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
starts	začína	start	začínať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
stands	stojí	stand	stáť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
carry	odniesť	carry	odniesť	V;IMP;FIN	V;PFV;POS;NFIN
carry	niesť	carry	niesť	V;IMP;FIN	V;IPFV;POS;NFIN
carry	nosiť	carry	nosiť	V;IMP;FIN	V;IPFV;POS;NFIN
establishment	založenie	establishment	založenie	N;SG	N;NOM;NEUT;SG
establishment	zriadenie	establishment	zriadenie	N;SG	N;NOM;NEUT;SG
establishment	ustanovenie	establishment	ustanovenie	N;SG	N;NOM;NEUT;SG
selling	predávanie	sell	predávanie	N;SG	N;NOM;NEUT;SG
selling	predaj	sell	predaj	N;SG	N;INAN;NOM;MASC;SG
causes	príčiny	cause	príčina	N;PL	N;NOM;FEM;PL
causes	príčin	cause	príčina	N;PL	N;GEN;FEM;PL
budget	rozpočet	budget	rozpočet	N;SG	N;INAN;NOM;MASC;SG
budget	rozpočtu	budget	rozpočet	N;SG	N;INAN;GEN;MASC;SG
battles	boje	battle	boj	N;PL	N;INAN;NOM;MASC;PL
battles	bitky	battle	bitka	N;PL	N;NOM;FEM;PL
sky	obloha	sky	obloha	N;SG	N;NOM;FEM;SG
sky	nebo	sky	nebo	N;SG	N;NOM;NEUT;SG
legend	legendu	legend	legenda	N;SG	N;ACC;FEM;SG
legend	legenda	legend	legenda	N;SG	N;NOM;FEM;SG
forum	fórum	forum	fórum	N;SG	N;NOM;NEUT;SG
forum	fóra	forum	fór	N;SG	N;INAN;NOM;MASC;SG
forum	forum	forum	forum	N;SG	N;NOM;FEM;SG
broke	rozbila	break	rozbiť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
broke	zlomil	break	zlomiť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
broke	zlomilo	break	zlomiť	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
strike	strike	strike	strika	N;SG	N;INAN;NOM;MASC;SG
strike	štrajk	strike	štrajk	N;SG	N;INAN;NOM;MASC;SG
injury	úraz	injury	úraz	N;SG	N;INAN;NOM;MASC;SG
injury	zranenie	injury	zranenie	N;SG	N;NOM;NEUT;SG
injury	poškodenie	injury	poškodenie	N;SG	N;NOM;NEUT;SG
injury	poranenie	injury	poranenie	N;SG	N;NOM;NEUT;SG
injury	ujma	injury	ujma	N;SG	N;NOM;FEM;SG
violence	násilie	violence	násilie	N;SG	N;NOM;NEUT;SG
significantly	podstatne	significantly	podstatne	ADV	ADV
significantly	významne	significantly	významne	ADV	ADV
significantly	výrazne	significantly	výrazne	ADV	ADV
statements	vyhlásenia	statement	vyhlásenie	N;PL	N;NOM;NEUT;PL
statements	výkazy	statement	výkaz	N;PL	N;INAN;NOM;MASC;PL
welsh	waleské	welsh	waleský	ADJ	ADJ;NOM;NEUT;SG
translated	preložil	translate	preložiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
papers	papiere	papers	papier	N;PL	N;INAN;NOM;MASC;PL
detail	detail	detail	detail	N;SG	N;INAN;NOM;MASC;SG
chapel	kaplnke	chapel	kaplnka	N;SG	N;DAT;FEM;SG
thousands	tisícoch	thousand	tisíc	N;PL	N;ANIM;ACC;MASC;PL
thousands	tisíce	thousand	tisíc`1000	N;PL	N;NOM;MASC;PL
banks	banky	bank	banka	N;PL	N;NOM;FEM;PL
banks	bankami	bank	banka	N;PL	N;INS;FEM;PL
banks	bánk	bank	banka	N;PL	N;GEN;FEM;PL
offensive	urážlivé	offensive	urážlivý	ADJ	ADJ;NOM;NEUT;SG
kings	králi	king	kráľ	N;PL	N;ANIM;NOM;MASC;PL
kings	kráľov	king	kráľ	N;PL	N;ANIM;GEN;MASC;PL
factor	činiteľ	factor	činiteľ	N;SG	N;ANIM;NOM;MASC;SG
factor	faktor	factor	faktor	N;SG	N;INAN;NOM;MASC;SG
rename	premenovať	rename	premenovať	V;IMP;FIN	V;IPFV;POS;NFIN
replace	nahradiť	replace	nahradiť	V;IMP;FIN	V;PFV;POS;NFIN
museums	múzeá	museum	múzeum	N;PL	N;NOM;NEUT;PL
museums	múzea	museum	múzeum	N;PL	N;NOM;NEUT;PL
resistance	odolnosť	resistance	odolnosť	N;SG	N;NOM;FEM;SG
resistance	rezistencia	resistance	rezistencia	N;SG	N;NOM;FEM;SG
resistance	odpor	resistance	odpor	N;SG	N;INAN;NOM;MASC;SG
junction	križovatke	junction	križovatka	N;SG	N;DAT;FEM;SG
junction	križovatka	junction	križovatko	N;SG	N;NOM;FEM;SG
tries	skúša	try	skúša	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
tries	pokúša	try	pokúšať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
tries	pokúsi	try	pokúsi	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
engines	motorov	engines	motor	N;PL	N;INAN;GEN;MASC;PL
engines	motory	engines	motor	N;PL	N;INAN;NOM;MASC;PL
contributed	prispelo	contribute	prispieť	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
contributed	prispel	contribute	prispieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
contributed	prispela	contribute	prispieť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
contributed	prispeli	contribute	prispieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
medium	médium	medium	médium	N;SG	N;NOM;NEUT;SG
device	zariadenie	device	zariadenie	N;SG	N;NOM;NEUT;SG
device	prístroj	device	prístroj	N;SG	N;INAN;NOM;MASC;SG
device	pomôcka	device	pomôcka	N;SG	N;NOM;FEM;SG
profit	profit	profit	profit	N;SG	N;INAN;NOM;MASC;SG
profit	zisku	profit	ziska	N;SG	N;INAN;GEN;MASC;SG
profit	zisk	profit	zisk	N;SG	N;INAN;NOM;MASC;SG
dream	sen	dream	sen	N;SG	N;INAN;NOM;MASC;SG
dream	sna	dream	sen	N;SG	N;INAN;GEN;MASC;SG
enter	vstúpiť	enter	vstúpiť	V;IMP;FIN	V;PFV;POS;NFIN
enter	zadajte	enter	zadať	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
twelve	dvanásť	twelve	dvanásť	NUM	NUM;NOM;NEUT;SG
twelve	dvanástich	twelve	dvanásť	NUM	NUM;GEN;MASC;PL
universal	univerzálny	universal	univerzálny	ADJ	ADJ;ANIM;NOM;MASC;SG
universal	univerzálnych	universal	univerzálny	ADJ	ADJ;GEN;MASC;PL
universal	univerzálnej	universal	univerzálny	ADJ	ADJ;GEN;FEM;SG
universal	univerzálne	universal	univerzálny	ADJ	ADJ;NOM;NEUT;SG
typical	typický	typical	typický	ADJ	ADJ;ANIM;NOM;MASC;SG
typical	typická	typical	typický	ADJ	ADJ;NOM;FEM;SG
typical	typické	typical	typický	ADJ	ADJ;NOM;NEUT;SG
seeing	vidieť	see	vidieť	V;V.MSDR	V;IPFV;POS;NFIN
skills	zručností	skill	zručnosť	N;PL	N;GEN;FEM;PL
skills	zručnosti	skill	zručnosť	N;PL	N;NOM;FEM;PL
bought	kúpila	buy	kúpiť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
bought	kúpil	buy	kúpiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
passenger	pasažier	passenger	pasažier	N;SG	N;ANIM;NOM;MASC;SG
funding	financovanie	funding	financovanie	N;SG	N;NOM;NEUT;SG
agriculture	poľnohospodárstvo	agriculture	poľnohospodárstvo	N;SG	N;NOM;NEUT;SG
parent	rodiča	parent	rodiča	N;SG	N;ANIM;ACC;MASC;SG
parent	rodič	parent	rodič	N;SG	N;ANIM;NOM;MASC;SG
decades	desaťročia	decade	desaťročie	N;PL	N;NOM;NEUT;PL
signal	signál	signal	signál	N;SG	N;INAN;NOM;MASC;SG
signal	signálu	signal	signál	N;SG	N;INAN;GEN;MASC;SG
reform	reforma	reform	reforma	N;SG	N;NOM;FEM;SG
organisation	organizáciu	organisation	organizácia	N;SG	N;ACC;FEM;SG
organisation	organizácia	organisation	organizácia	N;SG	N;NOM;FEM;SG
column	kolóna	column	kolón	N;SG	N;NOM;FEM;SG
column	stĺpec	column	stĺpec	N;SG	N;INAN;NOM;MASC;SG
column	stĺpci	column	stĺpec	N;SG	N;INAN;NOM;MASC;SG
managers	správcovia	manager	správca	N;PL	N;ANIM;NOM;MASC;PL
managers	manažéri	manager	manažér	N;PL	N;ANIM;NOM;MASC;PL
managers	manažérov	manager	manažér	N;PL	N;ANIM;ACC;MASC;PL
qualified	kvalifikovaný	qualified	kvalifikovaný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
qualified	kvalifikovaných	qualified	kvalifikovaný	ADJ	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
qualified	kvalifikovaná	qualified	kvalifikovaný	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
qualified	kvalifikovaní	qualified	kvalifikovanie	ADJ	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
indicate	uveďte	indicate	uviesť	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
ukrainian	ukrajinské	ukrainian	ukrajinský	ADJ	ADJ;NOM;NEUT;SG
gay	teplý	gay	teplý	ADJ	ADJ;INAN;NOM;MASC;SG
amateur	amatér	amateur	amatér	N;SG	N;ANIM;NOM;MASC;SG
obviously	očividne	obviously	očividne	ADV	ADV
obviously	zjavne	obviously	zjavne	ADV	ADV
flora	flora	flora	flor	N;SG	N;NOM;FEM;SG
gene	gén	gene	gén	N;SG	N;INAN;NOM;MASC;SG
soul	duša	soul	duša	N;SG	N;NOM;FEM;SG
soul	dušu	soul	duša	N;SG	N;ACC;FEM;SG
discussions	diskusie	discussion	diskusie	N;PL	N;NOM;FEM;PL
discussions	diskusií	discussion	diskusia	N;PL	N;GEN;FEM;PL
turns	otočí	turn	otočiť	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
entrance	vchod	entrance	vchod	N;SG	N;INAN;NOM;MASC;SG
entrance	vstup	entrance	vstup	N;SG	N;INAN;NOM;MASC;SG
entrance	nástup	entrance	nástup	N;SG	N;INAN;NOM;MASC;SG
path	cestu	path	cesta	N;SG	N;ACC;FEM;SG
path	trasa	path	triasť	N;SG	N;NOM;FEM;SG
path	cesta	path	cesta	N;SG	N;NOM;FEM;SG
path	chodník	path	chodník	N;SG	N;INAN;NOM;MASC;SG
nice	pekný	nice	pekný	ADJ	ADJ;ANIM;NOM;MASC;SG
nice	pekná	nice	pekný	ADJ	ADJ;NOM;FEM;SG
nice	pekné	nice	pekný	ADJ	ADJ;NOM;NEUT;SG
string	reťazec	string	reťazec	N;SG	N;INAN;NOM;MASC;SG
influenced	ovplyvnil	influence	ovplyvniť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
influenced	ovplyvnili	influence	ovplyvniť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
humans	ľudia	human	človek	N;PL	N;ANIM;NOM;MASC;PL
humans	ľudí	human	človek	N;PL	N;ANIM;ACC;MASC;PL
pair	párik	pair	párik	N;SG	N;INAN;NOM;MASC;SG
pair	dvojica	pair	dvojica	N;SG	N;NOM;FEM;SG
flat	byt	flat	byt	N;SG	N;INAN;NOM;MASC;SG
sample	vzorku	sample	vzork	N;SG	N;ACC;FEM;SG
sample	vzorka	sample	vzorka	N;SG	N;NOM;FEM;SG
sample	ukážka	sample	ukážka	N;SG	N;NOM;FEM;SG
contained	obsahovala	contain	obsahovať	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
contained	obsahoval	contain	obsahovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
contained	obsahovali	contain	obsahovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
banned	zakázať	ban	zakázať	V;PST;V.PTCP	V;PFV;POS;NFIN
strongly	ostro	strongly	ostro	ADV	ADV
strongly	dôrazne	strongly	dôrazne	ADV	ADV
strongly	silno	strongly	silno	ADV	ADV
strongly	silne	strongly	silne	ADV	ADV
visited	navštívil	visit	navštíviť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
visited	navštívili	visit	navštíviť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
visited	navštívila	visit	navštíviť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
attorney	advokát	attorney	advokát	N;SG	N;ANIM;NOM;MASC;SG
arm	rameno	arm	rameno	N;SG	N;NOM;NEUT;SG
arm	ruka	arm	ruka	N;SG	N;NOM;FEM;SG
arm	ruku	arm	ruka	N;SG	N;ACC;FEM;SG
mathematics	matematiku	mathematics	matematika	N;SG	N;ACC;FEM;SG
mathematics	matematika	mathematics	matematika	N;SG	N;NOM;FEM;SG
canal	kanála	canal	kanál	N;SG	N;INAN;GEN;MASC;SG
charts	grafy	chart	graf	N;PL	N;INAN;NOM;MASC;PL
thinking	premýšľanie	thinking	premýšľanie	N;SG	N;NOM;NEUT;SG
thinking	myslenie	thinking	myslenie	N;SG	N;NOM;NEUT;SG
suggests	navrhuje	suggest	navrhovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
suggests	naznačuje	suggest	naznačovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
surname	priezvisko	surname	priezvisko	N;SG	N;NOM;NEUT;SG
brain	mozog	brain	mozog	N;SG	N;INAN;NOM;MASC;SG
brain	mozgu	brain	mozog	N;SG	N;INAN;GEN;MASC;SG
blog	blog	blog	blog	N;SG	N;INAN;NOM;MASC;SG
blog	blogu	blog	bloga	N;SG	N;INAN;GEN;MASC;SG
economics	ekonomiky	economics	ekonomika	N;PL	N;NOM;FEM;PL
heavily	silne	heavily	silne	ADV	ADV
authors	autori	author	autori	N;PL	N;ANIM;NOM;MASC;PL
authors	autorov	author	autor	N;PL	N;ANIM;GEN;MASC;PL
paintings	obrazy	painting	obraz	N;PL	N;INAN;NOM;MASC;PL
paintings	maľby	painting	maľba	N;PL	N;NOM;FEM;PL
concerned	znepokojený	concerned	znepokojený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
concerned	dotknuté	concerned	dotknutý	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
concerned	dotknutá	concerned	dotknutý	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
recipients	príjemcov	recipient	príjemec	N;PL	N;ANIM;ACC;MASC;PL
scholars	učenci	scholar	učenie	N;PL	N;ANIM;NOM;MASC;PL
controversial	kontroverzné	controversial	kontroverzný	ADJ	ADJ;NOM;NEUT;SG
controversy	spor	controversy	spor	N;SG	N;INAN;NOM;MASC;SG
expressed	vyjadrila	express	vyjadriť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
bodies	telá	body	telo	N;PL	N;NOM;NEUT;PL
bodies	karosérie	body	karoséria	N;PL	N;NOM;FEM;PL
bodies	tiel	body	telo	N;PL	N;GEN;NEUT;PL
bodies	orgány	body	orgán	N;PL	N;INAN;NOM;MASC;PL
conservation	zachovanie	conservation	zachovanie	N;SG	N;NOM;NEUT;SG
maps	máp	map	máp	N;PL	N;GEN;FEM;PL
maps	mapy	map	mapy	N;PL	N;NOM;FEM;PL
arguments	tvrdenia	argument	tvrdenie	N;PL	N;NOM;NEUT;PL
arguments	argumentov	argument	argument	N;PL	N;INAN;GEN;MASC;PL
arguments	argumenty	argument	argument	N;PL	N;INAN;NOM;MASC;PL
chain	reťaz	chain	reťaz	N;SG	N;NOM;FEM;SG
chain	reťazec	chain	reťazec	N;SG	N;INAN;NOM;MASC;SG
chain	reťazca	chain	reťazec	N;SG	N;INAN;GEN;MASC;SG
readers	čitateľov	reader	čitateľ	N;PL	N;ANIM;ACC;MASC;PL
readers	čitatelia	reader	čitateľ	N;PL	N;ANIM;NOM;MASC;PL
violation	porušenie	violation	porušenie	N;SG	N;NOM;NEUT;SG
violation	priestupok	violation	priestupok	N;SG	N;INAN;NOM;MASC;SG
violation	porušovanie	violation	porušovanie	N;SG	N;NOM;NEUT;SG
offices	úrady	office	úrad	N;PL	N;INAN;NOM;MASC;PL
offices	kancelárie	office	kancelária	N;PL	N;NOM;FEM;PL
wave	vlna	wave	vlna	N;SG	N;NOM;FEM;SG
wave	vlnu	wave	vln	N;SG	N;ACC;FEM;SG
circle	kruh	circle	kruh	N;SG	N;INAN;NOM;MASC;SG
circle	krúžok	circle	krúžok	N;SG	N;INAN;NOM;MASC;SG
circle	kruhu	circle	kruh	N;SG	N;INAN;GEN;MASC;SG
invasion	invázia	invasion	inváziť	N;SG	N;NOM;FEM;SG
invasion	inváziu	invasion	invázia	N;SG	N;ACC;FEM;SG
opportunity	príležitosť	opportunity	príležitosť	N;SG	N;NOM;FEM;SG
opportunity	príležitosťou	opportunity	príležitosť	N;SG	N;INS;FEM;SG
determine	určovať	determine	určovať	V;IMP;FIN	V;IPFV;POS;NFIN
determine	určiť	determine	určiť	V;IMP;FIN	V;PFV;POS;NFIN
orthodox	ortodoxný	orthodox	ortodoxný	ADJ	ADJ;ANIM;NOM;MASC;SG
voted	hlasovali	vote	hlasovať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
voted	hlasovala	vote	hlasovať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
voted	hlasoval	vote	hlasovať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
voted	hlasovalo	vote	hlasovať	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
formal	formálneho	formal	formálny	ADJ	ADJ;GEN;NEUT;SG
formal	formálny	formal	formálny	ADJ	ADJ;INAN;NOM;MASC;SG
formal	formálna	formal	formálny	ADJ	ADJ;NOM;FEM;SG
describes	vystihuje	describe	vystihovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
describes	opisuje	describe	opisovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
describes	popisuje	describe	popisovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
seconds	sekúnd	seconds	sekunda	N;PL	N;GEN;FEM;PL
seconds	sekundy	seconds	sekunda	N;PL	N;NOM;FEM;PL
cycle	cyklus	cycle	cyklus	N;SG	N;INAN;NOM;MASC;SG
cycle	cyklu	cycle	cyklus	N;SG	N;INAN;GEN;MASC;SG
doubt	pochybnosť	doubt	pochybnosť	N;SG	N;NOM;FEM;SG
walls	múry	wall	múr	N;PL	N;INAN;NOM;MASC;PL
walls	steny	wall	stena	N;PL	N;NOM;FEM;PL
walls	stien	wall	stieň	N;PL	N;GEN;FEM;PL
closely	úzko	closely	úzko	ADV	ADV
occurs	nastáva	occur	nastávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
huge	obrovský	huge	obrovský	ADJ	ADJ;ANIM;NOM;MASC;SG
huge	obrovská	huge	obrovský	ADJ	ADJ;NOM;FEM;SG
huge	obrovské	huge	obrovský	ADJ	ADJ;NOM;NEUT;SG
sell	predať	sell	predať	V;IMP;FIN	V;PFV;POS;NFIN
sell	predávať	sell	predávať	V;IMP;FIN	V;IPFV;POS;NFIN
drawn	vyvodiť	draw	vyvodiť	V;PST;V.PTCP	V;PFV;POS;NFIN
tank	nádrž	tank	nádrž	N;SG	N;NOM;FEM;SG
tank	tank	tank	tank	N;SG	N;INAN;NOM;MASC;SG
advice	poradenstvo	advice	poradenstvo	N;SG	N;NOM;NEUT;SG
advice	rada	advice	rád	N;SG	N;NOM;FEM;SG
advice	radu	advice	rada	N;SG	N;ACC;FEM;SG
asking	pýtať	ask	pýtať	V;V.MSDR	V;IPFV;POS;NFIN
causing	spôsobuje	cause	spôsobovať	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
causing	spôsobujú	cause	spôsobovať	V;V.MSDR	V;IPFV;IND;PL;3;POS;PRS;FIN
leads	vedie	lead	viesť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
lawyer	právnik	lawyer	právnik	N;SG	N;ANIM;NOM;MASC;SG
lawyer	právnika	lawyer	právnik	N;SG	N;ANIM;ACC;MASC;SG
lawyer	advokát	lawyer	advokát	N;SG	N;ANIM;NOM;MASC;SG
gain	získať	gain	získať	V;IMP;FIN	V;PFV;POS;NFIN
index	index	index	index	N;SG	N;INAN;NOM;MASC;SG
saints	svätí	saint	svätie	N;PL	N;ANIM;NOM;MASC;PL
saints	svätých	saint	svätý	N;PL	N;ANIM;GEN;MASC;PL
runner	bežec	runner	bežec	N;SG	N;ANIM;NOM;MASC;SG
crisis	kríza	crisis	kríza	N;SG	N;NOM;FEM;SG
cinema	kino	cinema	kino	N;SG	N;NOM;NEUT;SG
cinema	kine	cinema	kino	N;SG	N;NOM;NEUT;SG
reaction	reakcia	reaction	reakcia	N;SG	N;NOM;FEM;SG
reaction	reakciu	reaction	reakcia	N;SG	N;ACC;FEM;SG
medals	medaily	medal	medaila	N;PL	N;NOM;FEM;PL
documents	dokumenty	document	dokument	N;PL	N;INAN;NOM;MASC;PL
documents	doklady	document	doklad	N;PL	N;INAN;NOM;MASC;PL
documents	dokumentov	document	dokument	N;PL	N;INAN;GEN;MASC;PL
documents	písomnosti	document	písomnosť	N;PL	N;NOM;FEM;PL
reader	čitateľ	reader	čitateľ	N;SG	N;ANIM;NOM;MASC;SG
reader	reader	reader	reader	N;SG	N;INAN;NOM;MASC;SG
pattern	vzor	pattern	vzor	N;SG	N;INAN;NOM;MASC;SG
archives	archívov	archive	archív	N;PL	N;INAN;GEN;MASC;PL
archives	archívy	archive	archíva	N;PL	N;INAN;NOM;MASC;PL
voting	hlasovanie	voting	hlasovanie	N;SG	N;NOM;NEUT;SG
looked	vyzeral	look	vyzerať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
looked	pozrel	look	pozrieť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
looked	pozrela	look	pozrieť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
looked	vyzerala	look	vyzerať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
bear	macko	bear	macko	N;SG	N;ANIM;NOM;MASC;SG
bear	medvedí	bear	medvedí	N;SG	N;INAN;NOM;MASC;SG
bear	medveď	bear	medveď	N;SG	N;ANIM;NOM;MASC;SG
bear	medvedík	bear	medvedík	N;SG	N;ANIM;NOM;MASC;SG
perfect	perfektný	perfect	perfektný	ADJ	ADJ;INAN;NOM;MASC;SG
perfect	perfektné	perfect	perfektný	ADJ	ADJ;NOM;NEUT;SG
