ben	بِن	ben	بِن		
szerkezet	ساختار	szerkezet	ساختار	N;NOM;SG	N;SG
szerkezet	سازه	szerkezet	سازه	N;NOM;SG	N;SG
cégek	شرکتها	cég	شرکت	N;NOM;PL	N;PL
cégek	شرکتها	cég	شرکت	N;NOM;PL	N;PL
cégek	شرکتهای	cég	شرکت	N;NOM;PL	N;PL
cégek	احزاب	cég	حزب	N;NOM;PL	N;PL
karácsonyi	کریسمس	karácsonyi	کریسمس	N;NOM;SG	N;SG
rom	رام	rom	رام	N;NOM;SG	N;SG
rom	rom	rom	rom	N;NOM;SG	N;SG
hegyek	کوهها	hegy	کوه	N;NOM;PL	N;PL
frankfurt	فرانکفورت	frankfurt	فرانکفورت	N;NOM;SG	N;SG
oktató	educator	oktató	educator	N;NOM;SG	N;SG
oktató	instructor	oktató	instructor	N;NOM;SG	N;SG
oktató	مدرس	oktató	مدرس	N;NOM;SG	N;SG
stuttgart	اشتوتگارت	stuttgar	اشتوتگارت	N;NOM;SG	N;SG
virág	گل	virág	گل	N;NOM;SG	N;SG
virág	گل	virág	گل	N;NOM;SG	N;SG
virág	شکوفه	virág	شکوفه	N;NOM;SG	N;SG
virág	فلاور	virág	فلاور	N;NOM;SG	N;SG
rendbe	رفع	rend	رفع	N;IN+ALL;SG	N;SG
volán	فرمون	volán	فرمون	N;NOM;SG	N;SG
volán	چرخ	volán	چرخ	N;NOM;SG	N;SG
gyilkos	قاتل	gyilkos	قاتل	N;NOM;SG	N;SG
utak	سفرها	út	سفر	N;NOM;PL	N;PL
lakosok	ساکنین	lakos	ساکنین	N;NOM;PL	N;PL
lakosok	یاران	lakos	یار	N;NOM;PL	N;PL
gyerek	کید	gyerek	کرد#کن	N;NOM;SG	N;SG
gyerek	کودک	gyerek	کودک	N;NOM;SG	N;SG
gyerek	فرزند	gyerek	فرزند	N;NOM;SG	N;SG
gyerek	بچه	gyerek	بچه	N;NOM;SG	N;SG
ostrom	محاصره	ostrom	محاصره	N;NOM;SG	N;SG
megjelenés	ظاهر	megjelenés	ظاهر	N;NOM;SG	N;SG
megjelenés	اثری	megjelenés	اثر	N;NOM;SG	N;SG
emberiség	انسانیت	emberiség	انسانیت	N;NOM;SG	N;SG
emberiség	بشر	emberiség	بشر	N;NOM;SG	N;SG
emberiség	بشریت	emberiség	بشریت	N;NOM;SG	N;SG
feladatok	وظایف	feladat	None	N;NOM;PL	N;PL
nemi	جنسیتی	nemi	جنسیتی	N;NOM;SG	N;SG
nemi	جنسیت	nemi	جنسیت	N;NOM;SG	N;SG
titokban	پنهانی	titok	پنهانی	N;IN+ESS;SG	N;SG
repülőgépek	هواپیماهای	repülőgép	هواپیما	N;NOM;PL	N;PL
repülőgépek	هواپیماها	repülőgép	هواپیما	N;NOM;PL	N;PL
szezont	فصل	szezont	فصل	N;ACC;SG	N;SG
oldalak	صفحات	oldal	None	N;NOM;PL	N;PL
nyomás	فشار	nyomás	فشار	N;NOM;SG	N;SG
nyomás	فشاری	nyomás	فشاری	N;NOM;SG	N;SG
kikötő	مارینا	kikötő	مارینا	N;NOM;SG	N;SG
kikötő	درگاه	kikötő	درگاه	N;NOM;SG	N;SG
kikötő	بندر	kikötő	بندر	N;NOM;SG	N;SG
kikötő	بندرگاه	kikötő	بندرگاه	N;NOM;SG	N;SG
kikötő	هاربر	kikötő	هاربر	N;NOM;SG	N;SG
próbálta	آزموده	próbál	آزموده	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
megszállás	اشغال	megszállás	اشغال	N;NOM;SG	N;SG
alkotás	آفرینش	alkotás	آفرینش	N;NOM;SG	N;SG
alkotás	ایجاد	alkotás	ایجاد	N;NOM;SG	N;SG
alkotás	خلقت	alkotás	خلقت	N;NOM;SG	N;SG
logikai	بولی	logikai	بولی	N;NOM;SG	N;SG
logikai	منطق	logikai	منطق	N;NOM;SG	N;SG
hangot	صوت	hang	صوت	N;ACC;SG	N;SG
hangot	صدا	hang	صدا	N;ACC;SG	N;SG
kört	چرخه	kör	چرخه	N;ACC;SG	N;SG
kört	دایره	kör	دایره	N;ACC;SG	N;SG
zárójelben	پرانتز	zárójel	پرانتز	N;IN+ESS;SG	N;SG
zéland	زلاند	zéland	زلاند#زلان	N;NOM;SG	N;SG
kiemelés	ترویج	kiemelés	ترویج	N;NOM;SG	N;SG
kiemelés	ارتقاء	kiemelés	ارتقاءء	N;NOM;SG	N;SG
kiemelés	ترفیع	kiemelés	ترفیع	N;NOM;SG	N;SG
kiemelés	تبلیغ	kiemelés	تبلیغ	N;NOM;SG	N;SG
kiemelés	ارتقای	kiemelés	ارتقا	N;NOM;SG	N;SG
kiemelés	ارتقا	kiemelés	ارتقا	N;NOM;SG	N;SG
kiemelés	ارتقا	kiemelés	ارتقا	N;NOM;SG	N;SG
demokrata	دمکراتیک	demokrata	None	N;NOM;SG	N;SG
demokrata	دموکراتیک	demokrata	دموکراتیک	N;NOM;SG	N;SG
demokrata	دموکرات	demokrata	دموکر	N;NOM;SG	N;SG
demokrata	دموکرات	demokrata	دموکر	N;NOM;SG	N;SG
demokrata	دمکرات	demokrata	دمکرات	N;NOM;SG	N;SG
statisztika	آمار	statisztika	آمار	N;NOM;SG	N;SG
statisztika	آماری	statisztika	آماری	N;NOM;SG	N;SG
statisztika	آماره	statisztika	آماره	N;NOM;SG	N;SG
firenze	فلورنس	firenz	فلورنس	N;NOM;SG	N;SG
firenze	فلورانس	firenz	فلورانس	N;NOM;SG	N;SG
firenze	firenze	firenz	firenze	N;NOM;SG	N;SG
technológia	فناوری	technológia	فناوری	N;NOM;SG	N;SG
technológia	تکنولوژی	technológia	None	N;NOM;SG	N;SG
okok	دلایل	ok	دلیل	N;NOM;PL	N;PL
okok	علل	ok	علت	N;NOM;PL	N;PL
szint	سطح	szint	سطح	N;NOM;SG	N;SG
szint	تراز	szint	تراز	N;NOM;SG	N;SG
szint	لول	szint	None	N;NOM;SG	N;SG
szint	سطح	szint	سطح	N;NOM;SG	N;SG
vígjáték	کمدی	víg	None	N;NOM;SG	N;SG
musical	موزیکال	musical	موزیکال	N;NOM;SG	N;SG
ára	قیمتش	ár	قیمتش	N;NOM;SG	N;SG
ára	بهای	ár	None	N;NOM;SG	N;SG
ára	پرایس	ár	پرایس	N;NOM;SG	N;SG
ára	بهایی	ár	بهایی	N;NOM;SG	N;SG
ára	قیمتی	ár	None	N;NOM;SG	N;SG
ára	قیمت	ár	قیمت	N;NOM;SG	N;SG
történészek	مورخان	történész	مورخ	N;NOM;PL	N;PL
történetek	داستانها	történet	داستان	N;NOM;PL	N;PL
tárgy	فقره	tárgy	None	N;NOM;SG	N;SG
tárgy	شئ	tárgy	شئ	N;NOM;SG	N;SG
tárgy	مفعول	tárgy	مفعول	N;NOM;SG	N;SG
tárgy	شیء	tárgy	شیء	N;NOM;SG	N;SG
tárgy	سوژه	tárgy	None	N;NOM;SG	N;SG
tárgy	فاعل	tárgy	None	N;NOM;SG	N;SG
tárgy	موضوع	tárgy	موضوع	N;NOM;SG	N;SG
renault	رنو	renaul	رنو	N;NOM;SG	N;SG
viták	بحثهای	vita	بحث	N;NOM;PL	N;PL
viták	اختلافات	vita	اختلاف	N;NOM;PL	N;PL
teszt	آزمون	tesz	آزمون	N;NOM;SG	N;SG
teszt	آزمایش	tesz	آزمایش	N;NOM;SG	N;SG
teszt	تست	tesz	None	N;NOM;SG	N;SG
teszt	آزمون	tesz	آزمون	N;NOM;SG	N;SG
teszt	آزمودن	tesz	آزمودن	N;NOM;SG	N;SG
teszt	آزمایش	tesz	آزمایش	N;NOM;SG	N;SG
teszt	تست	tesz	None	N;NOM;SG	N;SG
pyrénées	پیرنس	pyrénées	پیرنس		
lányok	دخترها	lány	دختر	N;NOM;PL	N;PL
lányok	دختران	lány	None	N;NOM;PL	N;PL
eléri	میرسد	eléri	میرسد	V;DEF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
copa	کوپا	copa	کوپا	N;NOM;SG	N;SG
rovarok	حشرات	rovar	حشره	N;NOM;PL	N;PL
rovarok	حشرات	rovar	حشره	N;NOM;PL	N;PL
szentély	پناهگاه	szentély	پناهگاه	N;NOM;SG	N;SG
szentély	محراب	szentély	None	N;NOM;SG	N;SG
szentély	حرم	szentély	حرم	N;NOM;SG	N;SG
szentély	خلوتگاه	szentély	خلوتگاه	N;NOM;SG	N;SG
szentély	عبادتگاه	szentély	عبادتگاه	N;NOM;SG	N;SG
szentély	معبد	szentély	None	N;NOM;SG	N;SG
szentély	زیارتگاه	szentély	زیارتگاه	N;NOM;SG	N;SG
szentély	پرستشگاه	szentély	پرستشگاه	N;NOM;SG	N;SG
szentély	عبادتگاه	szentély	عبادتگاه	N;NOM;SG	N;SG
szentély	معبد	szentély	None	N;NOM;SG	N;SG
szentély	تمپل	szentély	تمپل	N;NOM;SG	N;SG
napok	روزها	nap	روز	N;NOM;PL	N;PL
napok	روزهایی	nap	روز	N;NOM;PL	N;PL
napok	روزای	nap	روزا	N;NOM;PL	N;PL
napok	روزهای	nap	روز	N;NOM;PL	N;PL
előadók	هنرمندان	előadó	هنرمند	N;NOM;PL	N;PL
pártok	احزاب	párt	حزب	N;NOM;PL	N;PL
konföderáció	متحدین	konföderáció	None	N;NOM;SG	N;SG
személyzet	سرنشین	személyzet	سرنشین	N;NOM;SG	N;SG
személyzet	خدمه	személyzet	خدمه	N;NOM;SG	N;SG
személyzet	ستاد	személyzet	ستاد	N;NOM;SG	N;SG
személyzet	عصای	személyzet	عصا	N;NOM;SG	N;SG
hangok	صداها	hang	صدا	N;NOM;PL	N;PL
hangok	صداهایی	hang	صدا	N;NOM;PL	N;PL
hangok	صداهای	hang	صدا	N;NOM;PL	N;PL
hangok	آوازها	hang	آواز	N;NOM;PL	N;PL
esetek	موارد	eset	مورد	N;NOM;PL	N;PL
úszás	شنا	úszás	None	N;NOM;SG	N;SG
úszás	شنا	úszás	None	N;NOM;SG	N;SG
mercedes	mercedes	mercedes	mercedes	N;NOM;SG	N;SG
mercedes	مرسدس	mercedes	مرسدس	N;NOM;SG	N;SG
csoportban	گروهبندی	csoport	گروهبندی	N;IN+ESS;SG	N;SG
csoportban	گروپ	csoport	گروپ	N;IN+ESS;SG	N;SG
csoportban	گروه	csoport	گروه	N;IN+ESS;SG	N;SG
germán	ژرمنی	germán	ژرمنی	N;NOM;SG	N;SG
falvak	روستاها	falu	روستا	N;NOM;PL	N;PL
falvak	روستاهای	falu	روستا	N;NOM;PL	N;PL
tudtam	دانستم	tud	دانست#دان	V;INDF;IND;SG;1;PST;FIN;ACT	V;SG;1;PST
kereskedelem	بازرگانی	kereskedelem	بازرگانی	N;NOM;SG	N;SG
kereskedelem	تجارت	kereskedelem	تجارت	N;NOM;SG	N;SG
kereskedelem	تجارت	kereskedelem	تجارت	N;NOM;SG	N;SG
mecklenburg	مکلنبورگ	mecklenburg	مکلنبورگ	N;NOM;SG	N;SG
űrhajós	فضانورد	űrhajós	فضانورد	N;NOM;SG	N;SG
űrhajós	فضانورد	űrhajós	فضانورد	N;NOM;SG	N;SG
címek	عناوین	cím	عناوین	N;NOM;PL	N;PL
vihar	استورم	vihar	استورم	N;NOM;SG	N;SG
vihar	توفان	vihar	توفان	N;NOM;SG	N;SG
vihar	طوفان	vihar	طوفان	N;NOM;SG	N;SG
szélesebb	بازتر	széles	باز	ADJ;NOM;CMPR;SG	ADJ;CMPR
szélesebb	وسیعتر	széles	وسیع	ADJ;NOM;CMPR;SG	ADJ;CMPR
szélesebb	وسیعتر	széles	وسیع	ADJ;NOM;CMPR;SG	ADJ;CMPR
vezetők	مربیان	vezető	مربی	N;NOM;PL	N;PL
vezetők	رهبران	vezető	رهبر	N;NOM;PL	N;PL
vezetők	رانندگان	vezető	راننده	N;NOM;PL	N;PL
fantasy	وهم	fantasy	وهم		
szoftver	نرمافزار	szoftver	نرمافزار	N;NOM;SG	N;SG
meghal	میمیرد	meghal	مرمید#میمر	V;INDF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
szótár	دیکشنری	szótár	دیکشنری	N;NOM;SG	N;SG
írása	نویسندگی	írás	نویسندگی	N;NOM;SG	N;SG
írása	نوشتن	írás	نوشتن	N;NOM;SG	N;SG
témák	موضوعات	téma	موضوع	N;NOM;PL	N;PL
témák	موضوعاتی	téma	موضوع	N;NOM;PL	N;PL
döntetlen	گره	döntetlen	None	N;NOM;SG	N;SG
döntetlen	کروات	döntetlen	کروات	N;NOM;SG	N;SG
döntetlen	کراوات	döntetlen	کراوات	N;NOM;SG	N;SG
döntetlen	ترسیم	döntetlen	ترسیم	N;NOM;SG	N;SG
döntetlen	گره	döntetlen	None	N;NOM;SG	N;SG
minimális	کمینه	minimális	کمینه		
minimális	کمینه	minimális	کمینه		
matt	مَت	matt	مَت		
oroszok	روسها	orosz	روس	N;NOM;PL	N;PL
aus	aus	aus	aus		
űrhajó	فضاپیمای	űrhajó	فضاپیما	N;NOM;SG	N;SG
űrhajó	فضاپیما	űrhajó	فضاپیما	N;NOM;SG	N;SG
űrhajó	فضاپیما	űrhajó	فضاپیما	N;NOM;SG	N;SG
szabályos	منظم	szabályos	منظم	ADJ;NOM;SG	ADJ
ellenség	دشمن	ellenség	دشمن	N;NOM;SG	N;SG
ellenség	دشمنی	ellenség	دشمنی	N;NOM;SG	N;SG
ellenség	دشمنی	ellenség	دشمنی	N;NOM;SG	N;SG
ellenség	خصومت	ellenség	خصومت	N;NOM;SG	N;SG
ellenség	دشمنی	ellenség	دشمنی	N;NOM;SG	N;SG
részek	قطعات	rész	قطعه	N;NOM;PL	N;PL
termék	فرآورده	termék	فرآورده	N;NOM;SG	N;SG
termék	محصول	termék	محصول	N;NOM;SG	N;SG
termék	ضرب	termék	None	N;NOM;SG	N;SG
termék	حاصل	termék	حاصل	N;NOM;SG	N;SG
kémia	chemistry	kémia	chemistry	N;NOM;SG	N;SG
kémia	شیمی	kémia	شیمی	N;NOM;SG	N;SG
pályaudvar	پاسگاه	pályaudvar	پاسگاه	N;NOM;SG	N;SG
pályaudvar	ایستگاه	pályaudvar	ایستگاه	N;NOM;SG	N;SG
hősök	قهرمانان	hős	قهرمان	N;NOM;PL	N;PL
támogatást	پشتیبان	támogatás	پشتیب	N;ACC;SG	N;SG
támogatást	پشتیبانی	támogatás	پشتیبانی	N;ACC;SG	N;SG
támogatást	حمایت	támogatás	حمایت	N;ACC;SG	N;SG
örökség	میراثی	örökség	میراثی	N;NOM;SG	N;SG
örökség	میراث	örökség	میراث	N;NOM;SG	N;SG
örökség	ارث	örökség	ارث	N;NOM;SG	N;SG
örökség	میراث	örökség	میراث	N;NOM;SG	N;SG
örökség	ارث	örökség	ارث	N;NOM;SG	N;SG
apa	بابا	apa	None	N;NOM;SG	N;SG
apa	پدر	apa	پدر	N;NOM;SG	N;SG
működési	عامل	működési	عامل	N;NOM;SG	N;SG
költségvetés	بودجه	költségvetés	بودجه	N;NOM;SG	N;SG
garonne	گارون	garon	گارون	N;NOM;SG	N;SG
részvétel	حضور	részvétel	حضور	N;NOM;SG	N;SG
részvétel	گرفتاری	részvétel	گرفتاری	N;NOM;SG	N;SG
részvétel	درگیری	részvétel	درگیری	N;NOM;SG	N;SG
részvétel	دخالت	részvétel	دخالت	N;NOM;SG	N;SG
részvétel	مشارکت	részvétel	مشارکت	N;NOM;SG	N;SG
oroszlán	شیر	oroszlán	شیر	N;NOM;SG	N;SG
mezőgazdaság	کشاورزی	mezőgazdaság	کشاورزی	N;NOM;SG	N;SG
mezőgazdaság	زراعتی	mezőgazdaság	زراعت	N;NOM;SG	N;SG
mezőgazdaság	کشاورزی	mezőgazdaság	کشاورزی	N;NOM;SG	N;SG
richárd	ریچارد	richárd	ریچارد	N;NOM;SG	N;SG
motogp	motogp	motogp	motogp	N;NOM;SG	N;SG
szeme	چشم	szem	چشم	N;NOM;SG	N;SG
szeme	چشم	szem	چشم	N;NOM;SG	N;SG
szeme	چشمی	szem	چشم	N;NOM;SG	N;SG
tánc	dance	tánc	dance	N;NOM;SG	N;SG
tánc	رقص	tánc	رقص	N;NOM;SG	N;SG
tánc	رقص	tánc	رقص	N;NOM;SG	N;SG
tánc	رقصیدن	tánc	رقصیدن	N;NOM;SG	N;SG
szállító	ترانسپورتر	szállító	ترانسپورتر	ADJ;NOM;SG	ADJ;CMPR
botanikus	گیاهشناسی	botanikus	گیاهشناسی	N;NOM;SG	N;SG
forgalom	ترافیک	forgalom	ترافیک	N;NOM;SG	N;SG
forgalom	ترافیکی	forgalom	ترافیکی	N;NOM;SG	N;SG
viselt	پوشید	visel	پوشید	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
viselt	پوشیده	visel	پوشید#پوش	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
bazilika	بازیلیکا	bazilika	بازیلیکا	N;NOM;SG	N;SG
védelme	محافظت	védelem	محافظت	N;NOM;SG	N;SG
védelme	حفاظت	védelem	حفاظت	N;NOM;SG	N;SG
védelme	پناه	védelem	None	N;NOM;SG	N;SG
védelme	محافظت	védelem	محافظت	N;NOM;SG	N;SG
önállóan	مستقل	önálló	مستقل	ADJ;FRML;SG	ADJ
bay	بای	bay	با		
ellenállás	مقاومت	ellenállás	مقاومت	N;NOM;SG	N;SG
ellenállás	مقاومتی	ellenállás	مقاومتی	N;NOM;SG	N;SG
szicília	سیسیل	szicília	سیسیل	N;NOM;SG	N;SG
automatikus	خودکار	automatikus	خودکار	N;NOM;SG	N;SG
automatikus	اتوماتیک	automatikus	اتوماتیک	N;NOM;SG	N;SG
automatikus	خودکار	automatikus	خودکار	N;NOM;SG	N;SG
munkás	ورکمن	munkás	ورکمن	N;NOM;SG	N;SG
munkás	کارگری	munkás	کارگر	N;NOM;SG	N;SG
munkás	کارگر	munkás	کارگر	N;NOM;SG	N;SG
jelek	سیگنالهای	jelek	سیگنال	N;NOM;PL	N;PL
jelek	نمادهای	jelek	نماد	N;NOM;PL	N;PL
jelek	نمادها	jelek	نماد	N;NOM;PL	N;PL
szenátor	سناتور	szenátor	سناتور	N;NOM;SG	N;SG
helyesírás	هجی	helyesírás	هجی	N;NOM;SG	N;SG
helyesírás	املایی	helyesírás	املایی	N;NOM;SG	N;SG
pszichológia	روانشناسی	pszichológia	روانشناسی	N;NOM;SG	N;SG
legfiatalabb	جوانترین	legfalal	جوان	ADJ;NOM;RL;SG	ADJ;RL
életrajz	بیوگرافی	életrajz	بیوگرافی	N;NOM;SG	N;SG
életrajz	تذکره	életrajz	تذکره	N;NOM;SG	N;SG
életrajz	زندگینامه	életrajz	زندگینامه	N;NOM;SG	N;SG
pomeránia	پومرانی	pomeránia	پومرانی	N;NOM;SG	N;SG
hős	قهرمان	hős	قهرمان	N;NOM;SG	N;SG
hős	پهلوان	hős	None	N;NOM;SG	N;SG
társai	همراهان	társ	همراه	N;NOM;PL	N;PL
társai	یاران	társ	یار	N;NOM;PL	N;PL
társai	شرکا	társ	شرکا	N;NOM;PL	N;PL
társai	شریکان	társ	None	N;NOM;PL	N;PL
társai	شرکای	társ	شرکا	N;NOM;PL	N;PL
segítség	کمک	segítség	کمک	N;NOM;SG	N;SG
vonatok	قطارها	vonat	قطار	N;NOM;PL	N;PL
vonatok	متقاضیان	vonat	متقاضی	N;NOM;PL	N;PL
fegyvert	آغوش	fegyver	آغوش	N;ACC;SG	N;SG
fegyvert	بازو	fegyver	بازو	N;ACC;SG	N;SG
oldalra	پهلو	oldal	پهلو	N;ON+ALL;SG	N;SG
oldalra	طرف	oldal	طرف	N;ON+ALL;SG	N;SG
nyomda	چاپ	nyomda	چاپ	N;NOM;SG	N;SG
paraméter	پارامتر	paraméter	پارامتر	N;NOM;SG	N;SG
iráni	iranian	iráni	None		
mózes	موسی	mózes	موسی	N;NOM;SG	N;SG
mózes	موسى	mózes	موسى	N;NOM;SG	N;SG
vizuális	دیداری	vizuális	دیدار	N;NOM;SG	N;SG
vizuális	بصری	vizuális	بصری	N;NOM;SG	N;SG
vizuális	تصویری	vizuális	تصویر	N;NOM;SG	N;SG
törzsek	قبایل	törzs	None	N;NOM;PL	N;PL
törzsek	قبایلی	törzs	قبایلی	N;NOM;PL	N;PL
réteg	لایه	réteg	لایه	N;NOM;SG	N;SG
elemei	عناصری	elem	عناصر	N;NOM;PL	N;PL
elemei	عناصر	elem	عنصر	N;NOM;PL	N;PL
kun	kun	kun	kun		
jelenet	صحنه	jelenet	صحنه	N;NOM;SG	N;SG
jelenet	سکانس	jelenet	سکانس	N;NOM;SG	N;SG
módszerek	روشهای	módszer	روش	N;NOM;PL	N;PL
zenés	موزیکال	zenés	موزیکال	N;NOM;SG	N;SG
dinamo	دینامو	dinamo	None	N;NOM;SG	N;SG
bor	شرابی	bor	شراب	N;NOM;SG	N;SG
bor	شراب	bor	شراب	N;NOM;SG	N;SG
bor	باده	bor	باده	N;NOM;SG	N;SG
felvonás	عمل	felvonás	عمل	N;NOM;SG	N;SG
ellenőrzés	مهار	ellenőrzés	مهار	N;NOM;SG	N;SG
ellenőrzés	کنترل	ellenőrzés	کنترل	N;NOM;SG	N;SG
ellenőrzés	کنترول	ellenőrzés	کنترول	N;NOM;SG	N;SG
ellenőrzés	حسابرسی	ellenőrzés	حسابرسی	N;NOM;SG	N;SG
ellenőrzés	نظارت	ellenőrzés	نظارت	N;NOM;SG	N;SG
ellenőrzés	وارسی	ellenőrzés	None	N;NOM;SG	N;SG
ellenőrzés	تصدیق	ellenőrzés	تصدیق	N;NOM;SG	N;SG
ellenőrzés	تفتیش	ellenőrzés	تفتیش	N;NOM;SG	N;SG
ellenőrzés	بازرسی	ellenőrzés	بازرسی	N;NOM;SG	N;SG
ellenőrzés	بررسی	ellenőrzés	بررسی	N;NOM;SG	N;SG
kérésére	درخواست	kérés	درخواست	N;ON+ALL;SG	N;SG
dinoszauruszok	دایناسورها	dinoszaurusz	دایناسور	N;NOM;PL	N;PL
szerkezeti	ساختاری	szerkezeti	ساختاری	N;NOM;SG	N;SG
szolgáltatások	خدمات	szolgáltatás	خدمت	N;NOM;PL	N;PL
kilencedik	نهم	kilencedik	نهم	ADJ;NOM;SG	ADJ
kilencedik	نهمین	kilencedik	نهمین	ADJ;NOM;SG	ADJ;RL
fotó	فتو	fotó	فتو	N;NOM;SG	N;SG
fotó	photo	fotó	photo	N;NOM;SG	N;SG
fotó	عکس	fotó	عکس	N;NOM;SG	N;SG
utódja	جانشینی	utód	جانشینی	N;NOM;SG	N;SG
utódja	جانشین	utód	جانشین	N;NOM;SG	N;SG
mitológia	اساطیر	mitológia	اساطیر	N;NOM;SG	N;SG
mitológia	اسطوره	mitológia	اسطوره	N;NOM;SG	N;SG
optikai	نوری	optikai	نوری	N;NOM;SG	N;SG
piktogram	تصویرنگاشت	piktogram	تصویرنگاشت	N;NOM;SG	N;SG
futam	نژاد	futa	نژاد	N;NOM;SG	N;SG
futam	مسابقه	futa	مسابقه	N;NOM;SG	N;SG
szervek	اندامها	szerv	اندام	N;NOM;PL	N;PL
szervek	اجساد	szerv	جسد	N;NOM;PL	N;PL
elődje	اسبق	előd	اسبق	N;NOM;SG	N;SG
utánpótlás	تامین	utánpótlás	تامین	N;NOM;SG	N;SG
tulajdonos	مالک	tulajdonos	مالک	N;NOM;SG	N;SG
tulajdonos	صاحب	tulajdonos	صاحب	N;NOM;SG	N;SG
tulajdonos	صاحبش	tulajdonos	صاحبش	N;NOM;SG	N;SG
földrengés	زلزله	földrengés	زلزله	N;NOM;SG	N;SG
határon	لبه	határ	لبه	N;ON+ESS;SG	N;SG
határon	مرزی	határ	مرز	N;ON+ESS;SG	N;SG
határon	مرز	határ	مرز	N;ON+ESS;SG	N;SG
határon	لبۀ	határ	لبۀ	N;ON+ESS;SG	N;SG
szolgáltatás	خدمت	szolgáltatás	خدمت	N;NOM;SG	N;SG
szolgáltatás	سرویس	szolgáltatás	سرویس	N;NOM;SG	N;SG
zsinat	synod	zsinat	synod	N;NOM;SG	N;SG
bevétel	درآمدی	bevétel	درآمدی	N;NOM;SG	N;SG
bevétel	درآمد	bevétel	درآمد	N;NOM;SG	N;SG
bevétel	درآمدش	bevétel	درآمدش	N;NOM;SG	N;SG
bevétel	درآمد	bevétel	درآمد	N;NOM;SG	N;SG
pasa	پاشا	pasa	پاشا	N;NOM;SG	N;SG
brassó	براشوو	brassó	براشوو		
rajongói	هواداران	rajongói	هوادار	N;NOM;PL	N;PL
rajongói	هوادارن	rajongói	هوادارن	N;NOM;PL	N;PL
rajongói	طرفداران	rajongói	طرفدار	N;NOM;PL	N;PL
gáz	گس	gáz	گس	N;NOM;SG	N;SG
gáz	گاز	gáz	گاز	N;NOM;SG	N;SG
kommunikáció	ارتباط	kommunikáció	ارتباط	N;NOM;SG	N;SG
kommunikáció	مکاتبه	kommunikáció	مکاتبه	N;NOM;SG	N;SG
kommunikáció	ارتباطی	kommunikáció	ارتباط	N;NOM;SG	N;SG
kommunikáció	مخابرات	kommunikáció	مخابرات	N;NOM;SG	N;SG
vállalatok	شرکتها	vállalat	شرکت	N;NOM;PL	N;PL
vállalatok	شرکتهای	vállalat	شرکت	N;NOM;PL	N;PL
vállalatok	احزاب	vállalat	حزب	N;NOM;PL	N;PL
folyamatok	فرایندهای	folyamat	فرایند	N;NOM;PL	N;PL
iraki	عراقی	iraki	عراقی	N;NOM;SG	N;SG
iraki	عراق	iraki	عراق	N;NOM;SG	N;SG
adatbázis	دادگان	adatbázis	داده	N;NOM;SG	N;SG
szokatlan	غیرعادی	szokatlan	غیرعادی	ADJ;NOM;SG	ADJ
hagyományok	رسوم	hagyomány	رسم	N;NOM;PL	N;PL
példák	مثالهای	példa	مثال	N;NOM;PL	N;PL
lemezt	دیسک	lemez	دیسک	N;ACC;SG	N;SG
lemezt	دیسک	lemez	دیسک	N;ACC;SG	N;SG
moselle	مسل	mosel	مسل		
oszlop	ستون	oszlop	ستون	N;NOM;SG	N;SG
oszlop	ستونی	oszlop	ستون	N;NOM;SG	N;SG
oszlop	ستون	oszlop	ستون	N;NOM;SG	N;SG
oszlop	رکن	oszlop	رکن	N;NOM;SG	N;SG
oszlop	ستونی	oszlop	ستون	N;NOM;SG	N;SG
formák	شکلها	forma	شکل	N;NOM;PL	N;PL
formák	شکلهای	forma	شکل	N;NOM;PL	N;PL
batman	بتمن	batman	بتمن	N;NOM;SG	N;SG
hidrogén	هیدروژن	hidrog	هیدروژن	N;NOM;SG	N;SG
hidrogén	هیدروژنی	hidrog	هیدروژنی	N;NOM;SG	N;SG
fodor	فودر	fodor	فودر		
értékek	مقادیر	érték	مقدار	N;NOM;PL	N;PL
értékek	ارزشها	érték	ارزش	N;NOM;PL	N;PL
váratlanul	غیرمنتظره	váratlan	غیرمنتظره	ADJ;FRML;SG	ADJ
hír	نیوز	hír	نیوز	N;NOM;SG	N;SG
hír	خبر	hír	خبر	N;NOM;SG	N;SG
hír	خبری	hír	None	N;NOM;SG	N;SG
képzés	آموزش	képzés	آموزش	N;NOM;SG	N;SG
képzés	تمرین	képzés	تمرین	N;NOM;SG	N;SG
képzés	تعلیم	képzés	تعلیم	N;NOM;SG	N;SG
képzés	اموزش	képzés	اموزش	N;NOM;SG	N;SG
kéz	دست	kéz	دست	N;NOM;SG	N;SG
kéz	دست	kéz	دست	N;NOM;SG	N;SG
létrehozása	ایجاد	létrehozás	ایجاد	N;NOM;SG	N;SG
létrehozása	آفرینش	létrehozás	آفرینش	N;NOM;SG	N;SG
létrehozása	ایجاد	létrehozás	ایجاد	N;NOM;SG	N;SG
létrehozása	خلقت	létrehozás	خلقت	N;NOM;SG	N;SG
létrehozása	موسسه	létrehozás	None	N;NOM;SG	N;SG
létrehozása	تاسیس	létrehozás	تاسیس	N;NOM;SG	N;SG
