और	και	और	και		CONJ
बर्फ	πάγο	बर्फ	πάγος	N;NOM;FEM;SG;3	ADV
बर्फ	ice	बर्फ	ice	N;NOM;FEM;SG;3	
कार्रवाई	δράσης	कार्रवाई	δράση	N;NOM;FEM;SG;3	N;GEN;FEM;SG
कार्रवाई	action	कार्रवाई	action	N;NOM;FEM;SG;3	
शिशु	μωρά	शिशु	μωρά	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
साक्षरता	αλφαβητισμού	साक्षरता	αλφαβητισμός	N;NOM;FEM;SG;3	N;GEN;MASC;SG
मार्क	μαρκ	मार्क	μαρκ	PROPN;NOM;MASC;SG;3	
मार्क	μάρκ	मार्क	μάρκ	PROPN;NOM;MASC;SG;3	
मार्क	mark	मार्क	mark	PROPN;NOM;MASC;SG;3	
मार्क	μαρκ	मार्क	μαρκ	PROPN;NOM;MASC;SG;3	
मार्क	μάρκ	मार्क	μάρκ	PROPN;NOM;MASC;SG;3	
मार्क	marc	मार्क	marc	PROPN;NOM;MASC;SG;3	
ब्रह्म	βράχμα	ब्रह्म	βράχμα	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
ट्रैक	πίστα	ट्रैक	πίστα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
ट्रैक	ίχνη	ट्रैक	ίχνος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
ट्रैक	ράγες	ट्रैक	ράγη	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मनोवैज्ञानिक	ψυχολογικό	मनोवैज्ञानिक	ψυχολογικός	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मनोवैज्ञानिक	ψυχολογική	मनोवैज्ञानिक	ψυχολογικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मनोवैज्ञानिक	ψυχολογικά	मनोवैज्ञानिक	ψυχολογικά	N;NOM;MASC;SG;3	ADV
कही	κάπου	कह	κάπου	V;PFV;FEM;SG;V.PTCP;ACT	ADV
गर्मी	σάμερ	गर्मी	σάμερ	N;NOM;FEM;SG;3	
गर्मी	θερμότητας	गर्मी	θερμότητα	N;NOM;FEM;SG;3	N;GEN;FEM;SG
मैन	άνθρωπος	मैन	άνθρωπος		N;NOM;MASC;SG
मैन	φίλε	मैन	φίλομαι		V;IPFV;IND;SG;1;PRS;FIN;ACT
मैन	φιλε	मैन	φίλομαι		V;IPFV;IND;SG;1;PRS;FIN;ACT
गीतों	τραγούδια	गीत	τραγούδιο	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
आवृत्ति	επανεμφάνιση	आवृत्ति	επανεμφάνιση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
आवृत्ति	υποτροπή	आवृत्ति	υποτροπή	N;NOM;FEM;SG;3	N;ACC;FEM;SG
आवृत्ति	επανάληψης	आवृत्ति	επανάληψη	N;NOM;FEM;SG;3	N;GEN;FEM;SG
आवृत्ति	συχνότητα	आवृत्ति	συχνότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
आवृत्ति	επαναλαμβανόμενη	आवृत्ति	επαναλαμβανόμενος	N;NOM;FEM;SG;3	V;PFV;NOM;FEM;SG;V.PTCP;PASS
आवृत्ति	επαναλαμβανόμενο	आवृत्ति	επαναλαμβανόμενος	N;NOM;FEM;SG;3	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
स्रोतों	ελατήρια	स्रोत	ελατήριος	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
स्रोतों	σπρινγκς	स्रोत	σπρινγκς	N;ACC;MASC;PL;3	PROPN;NOM;FEM;SG
स्रोतों	σιντριβάνια	स्रोत	σιντριβάνι	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
कोण	γωνίες	कोण	γωνία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ईस्ट	ανατολή	ईस्ट	ανατολή	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
ईस्ट	ανατολική	ईस्ट	ανατολικός	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
ईस्ट	ανατολικά	ईस्ट	ανατολικά	PROPN;NOM;MASC;SG;3	ADV
ईस्ट	ανατολικό	ईस्ट	ανατολικός	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
ईस्ट	ιστ	ईस्ट	ιστ	PROPN;NOM;MASC;SG;3	NUM;NOM;MASC;SG
अफ्रीकी	αφρικάανς	अफ्रीकी	αφρικάα	ADJ	ADV
रंगों	χρωματα	रंग	χρώμα	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
रंगों	χρώματα	रंग	χρώμα	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
संज्ञा	ουσιαστικό	संज्ञा	ουσιαστικός	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
खतरा	κίνδυνο	खतरा	κίνδυνος	N;NOM;MASC;SG;3	N;ACC;MASC;SG
चिंता	αγωνία	चिंता	αγωνία	N;NOM;FEM;SG;3	N;ACC;FEM;SG
चिंता	ανησύχησε	चिंता	ανησυχώ	N;NOM;FEM;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
सहमत	συμφώνησε	सहमत	συμφωνώ	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
सहमत	συμφώνησαν	सहमत	συμφωνώ	ADJ	V;PFV;IND;PL;3;PST;FIN;ACT
सहमत	συμφωνούν	सहमत	συμφωνώ	ADJ	V;IPFV;IND;PL;3;PRS;FIN;ACT
सहमत	συμφωνώ	सहमत	συμφωνώ	ADJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
मोटे	παχύσαρκοι	मोटा	παχύσσω	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ;NOM;MASC;PL
मोटे	λίπος	मोटा	λίπος	V;PFV;MASC;PL;3;V.PTCP;ACT	N;NOM;NEUT;SG
मोटे	χοντρός	मोटा	χοντρός	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ;NOM;MASC;SG
घरों	σπίτια	घर	σπίτι	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
घरों	σπίτια	घर	σπίτι	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
मार्शल	marshall	मार्शल	marshall	PROPN;NOM;MASC;SG;3	
मार्शल	μάρσαλ	मार्शल	μάρσαλ	PROPN;NOM;MASC;SG;3	
हिसाब	λογιστική	हिसाब	λογιστικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
हिसाब	λογιστικές	हिसाब	λογιστικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
हिसाब	λογιστικά	हिसाब	λογιστικά	N;NOM;MASC;SG;3	ADV
उदय	άνοδος	उदय	άνοδος	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
उदय	ανατέλλει	उदय	ανατέλλω	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
प्रयोगशाला	εργαστηριακά	प्रयोगशाला	εργαστηριακά	N;NOM;FEM;SG;3	ADV
मेक्सिको	μεξικό	मेक्सिको	μεξικό	PROPN;NOM;MASC;SG;3	PROPN;NOM;NEUT;SG
बिग	μεγάλη	बिग	μεγάλος		ADJ;NOM;FEM;SG
बिग	μεγάλα	बिग	μεγάλος		ADJ;NOM;NEUT;PL
बिग	μεγάλος	बिग	μεγάλος		ADJ;NOM;MASC;SG
बिग	μεγάλο	बिग	μεγάλος		ADJ;NOM;NEUT;SG
संस्थानों	ιδρύματα	संस्थान	ίδρυμα	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
संस्थानों	θεσμοί	संस्थान	θεσμός	N;ACC;MASC;PL;3	N;NOM;MASC;PL
संस्थानों	όργανα	संस्थान	όργανο	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
प्रार्थना	προσεύχεται	प्रार्थना	προσεύχομαι	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;PASS
प्रार्थना	προσευχές	प्रार्थना	προσευχής	N;NOM;FEM;SG;3	N;NOM;FEM;PL
समानता	ομοιότητα	समानता	ομοιότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
समानता	ισότητα	समानता	ισότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
समानता	ομοιότητα	समानता	ομοιότητα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
बम	μπαμ	बम	μπαμ	N;NOM;MASC;SG;3	
बम	βόμβες	बम	βόμβας	N;NOM;MASC;SG;3	N;NOM;FEM;PL
हैरी	χάρι	हैरी	χάρι	PROPN;NOM;FEM;SG;3	
हैरी	χάρρυ	हैरी	χάρρ	PROPN;NOM;FEM;SG;3	PROPN;NOM;MASC;SG
कैथोलिक	καθολική	कैथोलिक	καθολικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
कैथोलिक	καθολικές	कैथोलिक	καθολικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
कैथोलिक	καθολικό	कैथोलिक	καθολικός	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
कैथोलिक	καθολικός	कैथोलिक	καθολικός	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
कैथोलिक	καθολικοί	कैथोलिक	καθολικός	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
लम्बाई	μήκος	लम्बाई	μήκος	N;NOM;FEM;SG;3	N;ACC;NEUT;SG
उपनाम	nick	उपनाम	nick	N;NOM;MASC;SG;3	
उपनाम	νικ	उपनाम	νικ	N;NOM;MASC;SG;3	
बंगाली	μπενγκάλι	बंगाली	μπενγκάλι	PROPN;NOM;MASC;SG;3	
घायल	τραυματισμένος	घायल	τραυματισμένος	ADJ	V;PFV;NOM;MASC;SG;V.PTCP;PASS
घायल	τραυματίες	घायल	τραυματίας	ADJ	N;NOM;MASC;PL
घायल	τραυματίστηκε	घायल	τραυματίζω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
घायल	τραυματίας	घायल	τραυματίας	ADJ	N;NOM;FEM;SG
घायल	πληγωμένος	घायल	πληγωμένος	ADJ	V;PFV;NOM;MASC;SG;V.PTCP;PASS
सहारा	σαχάρα	सहारा	σαχάρα		PROPN;NOM;FEM;SG
चेतना	συνείδηση	चेत	συνείδηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सारा	σάρα	सारा	σάρα	ADJ;NOM;MASC;SG	PROPN;NOM;FEM;SG
सारा	sara	सारा	sara	ADJ;NOM;MASC;SG	
सारा	σάρα	सारा	σάρα	ADJ;NOM;MASC;SG	PROPN;NOM;FEM;SG
इलेक्ट्रॉनिक	ηλεκτρονική	इलेक्ट्रॉनिक	ηλεκτρονικός	N;NOM	ADJ;NOM;FEM;SG
इलेक्ट्रॉनिक	ηλεκτρονικό	इलेक्ट्रॉनिक	ηλεκτρονικός	N;NOM	ADJ;NOM;NEUT;SG
इलेक्ट्रॉनिक	ηλεκτρονικά	इलेक्ट्रॉनिक	ηλεκτρονικά	N;NOM	ADV
पट्टी	μπαρ	पट्टी	μπαρ	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
पट्टी	bar	पट्टी	bar	N;NOM;FEM;SG;3	
पट्टी	πάτι	पट्टी	πάτι	N;NOM;FEM;SG;3	
गोवा	γκόα	गोवा	γκόα	PROPN;NOM;MASC;SG;3	
रास्ता	way	रास्ता	way	N;NOM;MASC;SG;3	
सोच	σκέψης	सोच	σκέψη	V;SG;FIN;ACT	N;GEN;FEM;SG
सोच	σκέψη	सोच	σκέψη	V;SG;FIN;ACT	N;NOM;FEM;SG
टाटा	tata	टाटा	tata	PROPN;NOM;MASC;SG;3	
पृष्ठभूमि	ιστορικό	पृष्ठभूमि	ιστορικός	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
टन	τόνους	टन	τόνος	N;NOM;MASC;SG;3	N;ACC;MASC;PL
टन	τόνοι	टन	τόνος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
टन	τόνους	टन	τόνος	N;NOM;MASC;SG;3	N;ACC;MASC;PL
टन	τόνοι	टन	τόνος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
ऋतु	εποχή	ऋतु	εποχή	N;NOM;FEM;SG;3	N;ACC;FEM;SG
ऋतु	σεζον	ऋतु	σεζον	N;NOM;FEM;SG;3	
ऋतु	σεζόν	ऋतु	σεζόν	N;NOM;FEM;SG;3	N;ACC;FEM;SG
शाम	καλησπέρα	शाम	καλησπέρα	N;NOM;FEM;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
शाम	βράδυ	शाम	βράδυ	N;NOM;FEM;SG;3	N;ACC;NEUT;SG
मेडिकल	ιατρικό	मेडिकल	ιατρικός	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मेडिकल	ιατρική	मेडिकल	ιατρικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मेडिकल	ιατρικά	मेडिकल	ιατρικός	N;NOM;MASC;SG;3	ADV
मेडिकल	ιατρικές	मेडिकल	ιατρικός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
मार्टिन	martin	मार्टिन	martin	PROPN;NOM;MASC;SG;3	
मार्टिन	μάρτιν	मार्टिन	μάρτιν	PROPN;NOM;MASC;SG;3	
नामकरण	ονοματολογίας	नामकरण	ονοματολογία	N;NOM;MASC;SG;3	N;GEN;FEM;SG
नामकरण	βάφτιση	नामकरण	βάφτιση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
नामकरण	βάπτιση	नामकरण	βάπτιση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
हस्तक्षेप	παρεμβολές	हस्तक्षेप	παρεμβολή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
हस्तक्षेप	παρέμβαση	हस्तक्षेप	παρέμβαση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
हस्तक्षेप	παρεμβάσεις	हस्तक्षेप	παρέμβαση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
हस्तक्षेप	παρέμβασης	हस्तक्षेप	παρέμβαση	N;NOM;MASC;SG;3	N;GEN;FEM;SG
हस्तक्षेप	παρέμβαση	हस्तक्षेप	παρέμβαση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
किसान	γεωργός	किसान	γεωργός	N;NOM;MASC;PL;3	N;NOM;MASC;SG
किसान	αγρότης	किसान	αγρότης	N;NOM;MASC;PL;3	N;NOM;MASC;SG
किसान	γεωργό	किसान	γεωργός	N;NOM;MASC;PL;3	N;ACC;MASC;SG
पतन	υποτροπή	पतन	υποτροπή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पतन	εκφύλιση	पतन	εκφύλιση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पतन	κατάρρευση	पतन	κατάρρευση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पतन	πτώση	पतन	πτώση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
स्वाभाविक	έμφυτη	स्वाभाविक	έμφυτος	ADJ	N;NOM;FEM;SG
स्नान	κολύμβησης	स्नान	κολύμβηση	N;NOM;MASC;SG;3	N;GEN;FEM;SG
स्नान	κολύμβηση	स्नान	κολύμβηση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
वेग	ταχύτητα	वेग	ταχύτητα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
कुशल	αποτελεσματική	कुशल	αποτελεσματικός		ADJ;NOM;FEM;SG
कुशल	αποτελεσματικό	कुशल	αποτελεσματικός		ADJ;NOM;NEUT;SG
कुशल	αποδοτικό	कुशल	αποδοτικός		ADJ;NOM;NEUT;SG
कुशल	αποδοτική	कुशल	αποδοτικός		ADJ;NOM;FEM;SG
कुशल	ευκίνητος	कुशल	ευκίνητος		ADJ;NOM;MASC;SG
सफ़ेद	λευκός	सफ़ेद	λευκός	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सफ़ेद	λευκή	सफ़ेद	λευκός	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सफ़ेद	λευκά	सफ़ेद	λευκός	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
हरे	λαγός	हरा	λαγός		N;NOM;MASC;SG
हरे	λαγό	हरा	λαγός		N;ACC;MASC;SG
सोलहवीं	sixteenth	सोलहवाँ	sixteenth	ADJ;ACC;FEM;SG	
फ़ाइल	αρχεία	फााइल	αρχείο	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
फ़ाइल	φάκελοι	फााइल	φάκελος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
फ़ाइल	file	फााइल	file	N;NOM;MASC;SG;3	
स्वागत	καλωσόρισες	स्वागत	καλωσόριση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पक्षियों	πουλιά	पक्षी	πουλί	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
पक्षियों	πτηνά	पक्षी	πτηνώ	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
विरासत	κληρονομήσει	विरासत	κληρονομώ	N;NOM;FEM;SG;3	V;PFV;NFIN;ACT
गोली	βολή	गोली	βολή	N;NOM;FEM;SG;3	N;ACC;FEM;SG
गोली	πυροβόλησε	गोली	πυροβολώ	N;NOM;FEM;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
गोली	σουτ	गोली	σουτ	N;NOM;FEM;SG;3	
गोली	πυροβολήθηκε	गोली	πυροβολώ	N;NOM;FEM;SG;3	V;PFV;IND;SG;3;PST;FIN;PASS
विलोपन	εξάλειψη	विलोपन	εξάλειψη	N;NOM;MASC;SG;3	N;ACC;FEM;SG
विलोपन	αποβολή	विलोपन	αποβολή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पृष्ठों	σελίδες	पृष्ठ	σελίδα	N;ACC;MASC;PL;3	N;NOM;FEM;PL
दुर्लभ	σπάνιος	दुर्लभ	σπάνιος		ADJ;NOM;MASC;SG
दुर्लभ	σπάνιο	दुर्लभ	σπάνιος		ADJ;NOM;NEUT;SG
दुर्लभ	σπάνια	दुर्लभ	σπάνια		ADV
दुर्लभ	σπάνιες	दुर्लभ	σπάνιος		ADJ;NOM;FEM;PL
उपनिषदों	ουπανισάδες	उपनिषद	ουπανισάδα	N;ACC;MASC;PL;3	N;NOM;FEM;PL
चावल	ράις	चावल	ράις	N;NOM;MASC;SG;3	
गहरा	dark	गहरा	dark	ADJ;NOM;MASC;SG	
गहरा	σκοτεινά	गहरा	σκοτεινά	ADJ;NOM;MASC;SG	N;NOM;NEUT;PL
गहरा	σκοτάδι	गहरा	σκοτάδι	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
गहरा	σκούρο	गहरा	σκούρος	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
गहरा	σκοτεινό	गहरा	σκοτεινός	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
गहरा	βαθύς	गहरा	βαθύς	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
गहरा	βαθιά	गहरा	βαθύς	ADJ;NOM;MASC;SG	ADV
गहरा	βαθύ	गहरा	βαθύς	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
बारह	twelve	बारह	twelve	NUM	
यादव	γιαντάβ	यादव	γιαντάβ	PROPN;NOM;SG;3	N
पूर्ति	εκπλήρωση	पूर्ति	εκπλήρωση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
संकलन	άθροισης	संकलन	άθροιση	N;NOM;MASC;SG;3	N;GEN;FEM;SG
खड़ी	όρθια	खड़ा	όρθιο	ADJ;NOM;FEM;SG	ADV
खड़ी	όρθιοι	खड़ा	όρθιος	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
खड़ी	στέκεται	खड़ा	στέκω	ADJ;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
लड़की	τσικ	लड़की	τσικ	N;NOM;FEM;SG;3	
अपनाया	υιοθετήθηκε	अपना	υιοθετώ	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
अपनाया	υιοθετημένος	अपना	υιοθετημένος	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
अपनाया	εγκρίθηκε	अपना	εγκρίνω	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
अपनाया	ενέκρινε	अपना	εγκρίνω	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
अपनाया	εγκρίνεται	अपना	εγκρίνω	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
भट्ट	φούρνο	भट्ट	φούρνο	PROPN;NOM;SG;3	N;NOM;NEUT;SG
सुख	απολαύσεις	सुख	απόλαυση		N;NOM;FEM;PL
सुख	χαρές	सुख	χαρός		N;NOM;FEM;PL
सुख	ευτυχία	सुख	ευτυχία		N;NOM;FEM;SG
अहमद	αχμέντ	अहमद	αχμέντ	PROPN;NOM;MASC;SG;3	
अहमद	αχμέτ	अहमद	αχμέτ	PROPN;NOM;MASC;SG;3	
अहमद	αχμάντ	अहमद	αχμάντ	PROPN;NOM;MASC;SG;3	
वर्गीकृत	απόρρητα	वर्गीकृत	απόρρητος	ADJ	ADV
वर्गीकृत	απόρρητο	वर्गीकृत	απόρρητος	ADJ	N;NOM;NEUT;SG
लॉस	los	लॉस	los	PROPN;NOM;MASC;SG;3	
लॉस	λος	लॉस	λος	PROPN;NOM;MASC;SG;3	
आकर्षक	ελκυστικά	आकर्षक	ελκυστικά	ADJ	ADV
सवाल	ερώτηση	सवाल	ερώτηση	N;NOM;MASC;PL;3	N;ACC;FEM;SG
सवाल	ερώτημα	सवाल	ερώτημα	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
संतुलन	υπόλοιπο	संतुलन	υπόλοιπος	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
संतुलन	ισορροπία	संतुलन	ισορροπία	N;NOM;MASC;SG;3	N;ACC;FEM;SG
संतुलन	ισορροπία	संतुलन	ισορροπία	N;NOM;MASC;SG;3	N;ACC;FEM;SG
राष्ट्रों	εθνών	राष्ट्र	εθνό	N;ACC;MASC;PL;3	N;GEN;NEUT;PL
राष्ट्रों	έθνη	राष्ट्र	έθνος	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
पकड़	λαβή	पकड	λαβή	V;FIN;ACT	N;NOM;FEM;SG
पथ	διαδρομή	पथ	διαδρομή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पथ	μονοπάτια	पथ	μονοπάτι	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
पथ	διαδρομές	पथ	διαδρομή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
शिक्षक	εκπαιδευτή	शिक्षक	εκπαιδευτής	N;NOM;MASC;SG;3	N;ACC;MASC;SG
शिक्षक	διδάσκοντες	शिक्षक	διδάσκων	N;NOM;MASC;SG;3	N;NOM;MASC;PL
शिक्षक	δασκάλους	शिक्षक	δάσκαλος	N;NOM;MASC;SG;3	N;ACC;MASC;PL
शिक्षक	δάσκαλοι	शिक्षक	δάσκαλος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
शिक्षक	εκπαιδευτικοί	शिक्षक	εκπαιδευτικός	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
शिक्षक	καθηγητές	शिक्षक	καθηγητής	N;NOM;MASC;SG;3	N;NOM;MASC;PL
खाता	account	खा	account	V;IPFV;MASC;SG;V.PTCP;ACT	
खाता	λογαριασμός	खा	λογαριασμός	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;MASC;SG
खाता	λογαριασμό	खा	λογαριασμός	V;IPFV;MASC;SG;V.PTCP;ACT	N;ACC;MASC;SG
खाता	λογαριασμοί	खा	λογαριασμός	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;MASC;PL
खाता	λογαριασμούς	खा	λογαριασμός	V;IPFV;MASC;SG;V.PTCP;ACT	N;ACC;MASC;PL
सहयोगी	συνάδελφος	सहयोगी	συνάδελφος	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सहयोगी	συνάδελφός	सहयोगी	συνάδελφος	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सहयोगी	συνάδελφό	सहयोगी	συνάδελφος	N;NOM;MASC;PL;3	N;ACC;MASC;SG
सहयोगी	συνάδελφο	सहयोगी	συνάδελφος	N;NOM;MASC;PL;3	N;VOC;MASC;SG
सहयोगी	συνεργάτης	सहयोगी	συνεργάτης	N;NOM;MASC;PL;3	N;NOM;MASC;SG
नोट	νότες	नोट	νότος	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नोट	σημειώσεις	नोट	σημείωση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नीतियों	πολιτικές	नीति	πολιτική	N;ACC;FEM;PL;3	N;NOM;FEM;PL
पेज	page	पेज	page	N;NOM;MASC;SG;3	
पेज	σελιδα	पेज	σελιδα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पेज	σελίδες	पेज	σελίδα	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सजा	ποινή	सजा	ποινή	PROPN;NOM;FEM;SG;3	N;ACC;FEM;SG
सजा	τιμωρήσει	सजा	τιμωρώ	PROPN;NOM;FEM;SG;3	V;PFV;NFIN;ACT
सजा	μαστίγωμα	सजा	μαστίγωμα	PROPN;NOM;FEM;SG;3	N;NOM;NEUT;SG
सजा	διακοσμημένα	सजा	διακοσμημένος	PROPN;NOM;FEM;SG;3	ADV
सजा	τιμωρία	सजा	τιμωρία	PROPN;NOM;FEM;SG;3	N;ACC;FEM;SG
परम	μπαστ	परम	μπαστ		N
गिर	γκε	गिर	γκε	V;ACT	
गिर	φθινόπωρο	गिर	φθινόπωρος	V;ACT	N;NOM;NEUT;SG
गिर	πτώση	गिर	πτώση	V;ACT	N;ACC;FEM;SG
अर्जित	μεγάλωσε	अर्जित	μεγάλω	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
अमर	αθάνατο	अमर	αθάνατος	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
अमर	αθάνατη	अमर	αθάνατος	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अमर	αθάνατοι	अमर	αθάνατος	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
अमर	αθάνατος	अमर	αθάνατος	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अमर	αμάρ	अमर	αμάρ	PROPN;NOM;MASC;SG;3	N
खुला	ανοιχτά	खुल	ανοικτά	V;PFV;MASC;SG;V.PTCP;ACT	ADV
खुला	ανοιχτό	खुल	ανοιχτός	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
खुला	άνοιγμα	खुल	άνοιγμα	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
खुला	ανοικτό	खुल	ανοιχτός	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG
चालक	οδηγούς	चालक	οδηγός	N;NOM;MASC;SG;3	N;ACC;MASC;PL
चालक	οδηγοί	चालक	οδηγός	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वास्तुकला	αρχιτέκτονα	वास्तुकला	αρχιτέκτονας	N;NOM;FEM;SG;3	N;ACC;MASC;SG
वास्तुकला	αρχιτεκτονική	वास्तुकला	αρχιτεκτονικός	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
नकारात्मक	αρνητικά	नकारात्मक	αρνητικά	ADJ	ADV
अंकित	καταγράφονται	अंकित	καταγράφω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
अंकित	καταγράφεται	अंकित	καταγράφω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
