터치스크린	pekskärm	터치스크린	pekskärm		N;NOM;INDF;MASC+FEM;SG
에리크	erik	에리크	erik	PROPN	PROPN;NOM
에리크	eric	에리크	eric	PROPN	PROPN;NOM
에리크	erik	에리크	erik	PROPN	PROPN;NOM
퍼레이드	paraden	퍼레이드	parad		N;NOM;DEF;MASC+FEM;SG
퍼레이드	parade	퍼레이드	para		N;NOM;INDF;MASC+FEM;SG
퍼레이드	parad	퍼레이드	para		N;NOM;INDF;MASC+FEM;SG
퍼레이드	parader	퍼레이드	parad		N;NOM;INDF;MASC+FEM;PL
리버티	liberty	리버티	liberty		PROPN;NOM
리버티	frihet	리버티	frihet		N;NOM;INDF;MASC+FEM;SG
로크	locke	로크	locke		PROPN;NOM
투르크메니스탄	turkmenistan	투르크메니스탄	turkmenistan	PROPN	PROPN;NOM
투르크메니스탄	turkmenska	투르크메니스탄	turkmensk	PROPN	ADJ;NOM;PL
코카콜라	coke	코카콜라	coke		PROPN;NOM
코카콜라	kola	코카콜라	kola		N;NOM;INDF;MASC+FEM;SG
코카콜라	koks	코카콜라	koks		N;NOM;INDF;MASC+FEM;SG
코카콜라	cola	코카콜라	cola		N;NOM;INDF;MASC+FEM;SG
흐른	rinnande	흐르+ㄴ	rinnande		ADJ;NOM;PRS;V.PTCP
오스트레일리아인	australiensare	오스트레일리아인	australiensare	V	N;NOM;INDF;MASC+FEM;PL
화합	harmoni	화합	harmoni		N;NOM;INDF;MASC+FEM;SG
화합	harmony	화합	harmony		N;NOM;INDF;MASC+FEM;SG
포탈	portaler	포탈	portal		N;NOM;INDF;MASC+FEM;PL
포탈	portal	포탈	portal		N;NOM;INDF;MASC+FEM;SG
포탈	portalen	포탈	portal		N;NOM;DEF;MASC+FEM;SG
히브리	hebreiska	히브리	hebreisk		N;NOM;INDF;MASC+FEM;SG
맥도날드	mcdonald	맥도날드	mcdonald		N;NOM;INDF;MASC+FEM;SG
맥도날드	mcdonalds	맥도날드	mcdonald		N;NOM;INDF;MASC+FEM;SG
맥도날드	macdonald	맥도날드	macdonald		N;NOM;INDF;MASC+FEM;SG
맥도날드	mcdonalds	맥도날드	mcdonald		N;NOM;INDF;MASC+FEM;SG
윤리학	etiska	윤리학	etisk	N	ADJ;NOM;PL
윤리학	etisk	윤리학	etisk	N	ADJ;NOM;INDF;MASC+FEM;SG
브레스트	brest	브레스트	bres	PROPN	PROPN;NOM
낚시	fiska	낚시	fisk	N	V;NFIN;ACT
밀리미터	millimeter	밀리미터	millimet		N;NOM;INDF;MASC+FEM;PL
밀리미터	millimeter	밀리미터	millimet		N;NOM;INDF;MASC+FEM;PL
밀리미터	millimeters	밀리미터	millimet		N;GEN;INDF;MASC+FEM;PL
밀리미터	millimeter	밀리미터	millimet		N;NOM;INDF;MASC+FEM;PL
밀리미터	millimeter	밀리미터	millimet		N;NOM;INDF;MASC+FEM;PL
노퍽	norfolk	노퍽	norfolk		PROPN;NOM
기울여	lutning	기울이+어	lutning	V	N;NOM;INDF;MASC+FEM;SG
커스텀	anpassade	커스텀	anpassa		ADJ;NOM;PL;PST;V.PTCP
커스텀	sed	커스텀	sed		N;NOM;INDF;MASC+FEM;SG
커스텀	anpassad	커스텀	anpassa		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
커스텀	egen	커스텀	egen		ADJ;NOM;MASC+FEM;SG
커스텀	anpassat	커스텀	anpassa		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
비참한	eländiga	비참+하+ㄴ	eländig	V	ADJ;NOM;PL
비참한	olycklig	비참+하+ㄴ	olycklig	V	ADJ;NOM;INDF;MASC+FEM;SG
디랙	dirac	디랙	dirac		N;NOM;DEF;MASC+FEM;SG
수마트라	sumatra	수마트+이+라	sumatra		PROPN;NOM
전망	utsikter	전망	utsikt		N;NOM;INDF;MASC+FEM;PL
전망	framtidsutsikter	전망	framtidsutsikt		N;NOM;INDF;MASC+FEM;PL
전망	utsikter	전망	utsikt		N;NOM;INDF;MASC+FEM;PL
전망	outlook	전망	outlook		N;NOM;INDF;NEUT;SG
전망	framtidsutsikter	전망	framtidsutsikt		N;NOM;INDF;MASC+FEM;PL
전망	utsikter	전망	utsikt		N;NOM;INDF;MASC+FEM;PL
메콩	mekong	메콩	mekong	PROPN	N;NOM;INDF;NEUT;SG
앨릭스	alex	앨릭스	alex		PROPN;NOM
보나파르트	bonaparte	보나파르트	bonaparte		PROPN;NOM
선덜랜드	värmdö	선덜랜드	värmdö	PROPN	N;NOM;INDF;MASC+FEM;SG
선덜랜드	sunderland	선덜랜드	sunderland	PROPN	PROPN;NOM
동정	sympatier	동정	sympatium		N;NOM;INDF;MASC+FEM;PL
동정	medkänsla	동정	medkänsla		N;NOM;INDF;MASC+FEM;SG
동정	sympati	동정	sympati		N;NOM;INDF;MASC+FEM;SG
동정	medkänsla	동정	medkänsla		N;NOM;INDF;MASC+FEM;SG
동정	medlidande	동정	medlidande		ADJ;NOM;PRS;V.PTCP
칼리아리	cagliari	칼리아리	cagliari	PROPN	PROPN;NOM
검토하기	översyn	검토+하+기	översyn	V	N;NOM;INDF;MASC+FEM;SG
검토하기	granskning	검토+하+기	granskning	V	N;NOM;INDF;MASC+FEM;SG
검토하기	omprövning	검토+하+기	omprövning	V	N;NOM;INDF;MASC+FEM;SG
검토하기	recension	검토+하+기	recension	V	N;NOM;INDF;MASC+FEM;SG
랠프	ralf	랠프	ralf	PROPN	PROPN;NOM
랠프	ralph	랠프	ralph	PROPN	N;NOM;INDF;MASC+FEM;SG
아이오딘	jod	아이오딘	jod		N;NOM;INDF;NEUT;SG
데이지	kajsa	데이지	kajsa	N	PROPN;NOM
토리	tory	토리	tory		N;NOM;INDF;MASC+FEM;SG
토리	tori	토리	tori		N;NOM;INDF;NEUT;SG
홈즈	holmes	홈즈	holmes		PROPN;NOM
페레스	peres	페레스	peres		PROPN;NOM
페레스	pérez	페레스	pérez		PROPN;NOM
간지	kanji	간지	kanji		N;NOM;INDF;NEUT;SG
플랑드르	flamländska	플랑드르	flamländsk	PROPN	ADJ;NOM;PL
지우	klart	지우	klar		ADJ;NOM;INDF;NEUT;SG
지우	tydlig	지우	tydlig		ADJ;NOM;INDF;MASC+FEM;SG
지우	rensa	지우	rensa		V;IMP;FIN;ACT
지우	sudda	지우	sudda		V;IMP;FIN;ACT
지우	radera	지우	radera		V;IMP;FIN;ACT
반대편	motsatsen	반대편	motsats		N;NOM;DEF;MASC+FEM;SG
반대편	mittemot	반대편	mittemot		N;NOM;INDF;MASC+FEM;SG
반대편	motsatt	반대편	motsatt		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
반대편	motsatta	반대편	motsatt		ADJ;NOM;PL;PST;V.PTCP
프로그래머	programmerare	프로그래머	programmerare		N;NOM;INDF;MASC+FEM;PL
프로그래머	programmerare	프로그래머	programmerare		N;NOM;INDF;MASC+FEM;PL
제럴드	gerald	제럴드	gerald	PROPN	PROPN;NOM
습작	fuktigt	습작	fuktig	N	ADJ;NOM;INDF;NEUT;SG
습작	fuktiga	습작	fuktig	N	ADJ;NOM;PL
월리스	wallace	월리스	wallace	PROPN	PROPN;NOM
재판소	court	재판소	court	N	PROPN;NOM
둘레	omkrets	둘레	omkrets		N;NOM;INDF;MASC+FEM;SG
둘레	omfång	둘레	omfång		N;NOM;INDF;NEUT;SG
상업용	kommersiella	상업용	kommersiell	N	ADJ;NOM;PL
상업용	kommersiellt	상업용	kommersiell	N	ADJ;NOM;INDF;NEUT;SG
이민자	invandrade	이민자	invandra	N	ADJ;NOM;PL;PST;V.PTCP
환영	välkommen	환영	välkomm		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
환영	välkomna	환영	välkomna		V;IMP;FIN;ACT
데이먼	damon	데이먼	damon	PROPN	PROPN;NOM
자발적	frivilliga	자발+적	frivillig	N	ADJ;NOM;PL
자발적	frivilligt	자발+적	frivillig	N	ADV
자발적	frivillig	자발+적	frivillig	N	ADJ;NOM;INDF;MASC+FEM;SG
황소	tjur	황소	tjur		N;NOM;INDF;MASC+FEM;SG
황소	bull	황소	bull		N;NOM;INDF;MASC+FEM;SG
안달루시아	andalusiska	안달루시아	andalusisk	PROPN	ADJ;NOM;PL
안달루시아	andalusien	안달루시아	andalusien	PROPN	N;NOM;DEF;MASC+FEM;SG
화랑	galleriet	화랑	galleri		N;NOM;DEF;NEUT;SG
화랑	galleri	화랑	galleri		N;NOM;INDF;NEUT;SG
스택	stapla	스택	stapla	N	V;IMP;FIN;ACT
스택	stack	스택	stack	N	V;IMP;FIN;ACT
스택	stacks	스택	stack	N	V;IND;FIN;PASS
큐슈	kyushu	큐슈	kyushu		PROPN;NOM
에픽	episk	에픽	episk		ADJ;NOM;INDF;MASC+FEM;SG
블로거	bloggare	블로거	blogg		N;NOM;INDF;MASC+FEM;PL
블로거	bloggare	블로거	blogg		N;NOM;INDF;MASC+FEM;PL
파인	tall	파인	tall		N;NOM;INDF;MASC+FEM;SG
파인	pine	파인	pine		N;NOM;INDF;NEUT;SG
재무	ekonomiskt	재무	ekonomisk	N	ADJ;NOM;INDF;NEUT;SG
재무	finansiellt	재무	finansiell	N	ADJ;NOM;INDF;NEUT;SG
재무	finansiella	재무	finansiell	N	ADJ;NOM;PL
재무	finansiera	재무	finansiera	N	V;IMP;FIN;ACT
재무	finansierar	재무	finansiera	N	V;IND;PRS;FIN;ACT
치과	tandläkaren	치+과	tandläkare		N;NOM;DEF;MASC+FEM;SG
치과	tandläkare	치+과	tandläkare		N;NOM;INDF;MASC+FEM;PL
치과	tandläkare	치+과	tandläkare		N;NOM;INDF;MASC+FEM;PL
치과	tandvård	치+과	tandvård		N;NOM;INDF;MASC+FEM;SG
치과	tandläkare	치+과	tandläkare		N;NOM;INDF;MASC+FEM;PL
치과	tandvård	치+과	tandvård		N;NOM;INDF;MASC+FEM;SG
알렌	alan	알렌	alan		PROPN;NOM
인코딩	koda	인코딩	koda	N	V;IMP;FIN;ACT
몰리	mollie	몰리	mollie		PROPN;NOM
몰리	molly	몰리	molly		PROPN;NOM
몰리	morley	몰리	morley		PROPN;NOM
트루	tru	트루	tru		PROPN;NOM
햄릿	hamlet	햄릿	hamlet	PROPN	N;NOM;INDF;NEUT;SG
그린란드	grönland	그린란드	grönland		PROPN;NOM
그린란드	grönländska	그린란드	grönländsk		ADJ;NOM;PL
루브르	louvren	루브르	louvren	PROPN	N;NOM;DEF;NEUT;PL
무시	ignorera	무시	ignorera		V;IMP;FIN;ACT
무시	kasta	무시	kasta		V;IMP;FIN;ACT
무시	kasseras	무시	kassera		V;NFIN;PASS
무시	släng	무시	släng		V;IMP;FIN;ACT
무시	avvisa	무시	avvisa		V;IMP;FIN;ACT
무시	ogilla	무시	ogill		V;IMP;FIN;ACT
무시	avskeda	무시	avskeda		V;IMP;FIN;ACT
무시	avfärda	무시	avfärda		V;IMP;NFIN;ACT
무시	ignoreras	무시	ignorera		V;NFIN;PASS
무시	ignorerade	무시	ignorera		ADJ;NOM;PL;PST;V.PTCP
무시	ignorerat	무시	ignorerad		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
닐스	nils	닐스	nils	PROPN	PROPN;NOM
대표자	representativ	대표자	representativ	N	ADJ;NOM;INDF;MASC+FEM;SG
대표자	representativt	대표자	representativ	N	ADJ;NOM;INDF;NEUT;SG
가끔은	ibland	가끔+은	ibland		ADV
미러	speglar	미+러	spegel		V;IND;PRS;FIN;ACT
미러	spegel	미+러	spegel		N;NOM;INDF;MASC+FEM;SG
미러	spegla	미+러	spegel		V;IMP;FIN;ACT
다카오카	takaoka	다카오카	takaok		N;NOM;INDF;MASC+FEM;SG
결제	betalar	결제	betala	N	V;IND;PRS;FIN;ACT
결제	betala	결제	betala	N	V;IMP;FIN;ACT
트럼프	trump	트럼프	trump		PROPN;NOM
갈릴레이	galilei	갈릴레이	galilei	PROPN	PROPN;NOM
브룩	brooke	브룩	brooke	PROPN	PROPN;NOM
브룩	bäck	브룩	bäcka	PROPN	N;NOM;INDF;MASC+FEM;SG
브룩	brook	브룩	brook	PROPN	N;NOM;INDF;NEUT;SG
카이사르	caesar	카이사르	caes		PROPN;NOM
불행한	olyckliga	불행+하+ㄴ	olycklig	V	ADJ;NOM;PL
불행한	olycklig	불행+하+ㄴ	olycklig	V	ADJ;NOM;INDF;MASC+FEM;SG
불행한	missnöjd	불행+하+ㄴ	missnöjd	V	ADJ;NOM;INDF;MASC+FEM;SG
불행한	olyckligt	불행+하+ㄴ	olycklig	V	ADJ;NOM;INDF;NEUT;SG
불행한	olyckliga	불행+하+ㄴ	olycklig	V	ADJ;NOM;PL
불행한	olycklig	불행+하+ㄴ	olycklig	V	ADJ;NOM;INDF;MASC+FEM;SG
안도라	andorra	안도+라	andorra	PROPN	PROPN;NOM
마리야	marie	말리+아야	marie		PROPN;NOM
띄어쓰기	avstånd	띄+어+가+기	avstånd	V	N;NOM;INDF;NEUT;SG
띄어쓰기	mellanrum	띄+어+가+기	mellanrum	V	N;NOM;INDF;NEUT;SG
허가서	licens	허가+서	lic		N;NOM;INDF;MASC+FEM;SG
허가서	körkort	허가+서	körkort		N;NOM;INDF;NEUT;SG
허가서	license	허가+서	license		N;NOM;INDF;MASC+FEM;SG
어린시절	barndomen	어린차절	barndom		N;NOM;DEF;MASC+FEM;SG
어린시절	barndom	어린차절	barndom		N;NOM;INDF;MASC+FEM;SG
어린시절	barndoms	어린차절	barndom		N;NOM;INDF;MASC+FEM;SG
어메이징	otroligt	어메이+징	otrolig		ADJ;NOM;INDF;NEUT;SG
어메이징	fantastiskt	어메이+징	fantastisk		ADJ;NOM;INDF;NEUT;SG
어메이징	amazing	어메이+징	amazing		N;NOM;INDF;NEUT;SG
어메이징	fantastiska	어메이+징	fantastisk		ADJ;NOM;PL
어메이징	fantastisk	어메이+징	fantastisk		ADJ;NOM;INDF;MASC+FEM;SG
브렛	brett	브렛	bred	PROPN	ADJ;NOM;INDF;NEUT;SG
알토	alto	알토	alto		PROPN;NOM
올리비아	olivia	올리비아	olivi	PROPN	PROPN;NOM
브라질리아	brasilia	브라질리아	brasili	PROPN	N;NOM;INDF;MASC+FEM;SG
브라질리아	brasília	브라질리아	braslli	PROPN	N;NOM;INDF;MASC+FEM;SG
칼데라	caldera	칼데라	caldera		N;NOM;INDF;MASC+FEM;SG
켄타	kenta	켄타	kenta		PROPN;NOM
급한	angeläget	급하+ㄴ	angelägen		ADJ;NOM;INDF;NEUT;SG
급한	brådskande	급하+ㄴ	brådskande		ADJ;NOM;PRS;V.PTCP
급한	akut	급하+ㄴ	akut		ADJ;NOM;INDF;NEUT;SG
솔리드	solid	솔리드	solid		N;NOM;INDF;MASC+FEM;SG
솔리드	solitt	솔리드	solitt		ADJ;NOM;INDF;NEUT;SG
외할아버지	farfar	외할아버지	farfar		N;NOM;INDF;MASC+FEM;SG
외할아버지	morfar	외할아버지	morf		N;NOM;INDF;MASC+FEM;SG
캐머런	cameron	캐머렇+ㄴ	cameron	PROPN	PROPN;NOM
넓이	breda	넓이	bred		ADJ;NOM;PL
넓이	bred	넓이	bred		ADJ;NOM;INDF;MASC+FEM;SG
넓이	brett	넓이	bred		ADJ;NOM;INDF;NEUT;SG
넓이	wide	넓이	wide		N;NOM;INDF;NEUT;SG
베스	beth	베스	beth		PROPN;NOM
임상	kliniskt	임상	klinisk	N	ADV
임상	kliniska	임상	klinisk	N	ADJ;NOM;PL
최단	kortaste	최단	kort	N	ADJ;NOM;DEF;RL
최단	kortast	최단	kort	N	ADJ;NOM;INDF;RL
몽키	apan	몽키	apan		N;NOM;DEF;MASC+FEM;SG
몽키	apa	몽키	apa		N;NOM;INDF;MASC+FEM;SG
몽키	monkey	몽키	monkey		N;NOM;INDF;MASC+FEM;SG
시에라	sierra	시+이+라	sierr		N;NOM;INDF;MASC+FEM;SG
로건	logan	로건	loga		N;NOM;DEF;MASC+FEM;SG
카와시마	kawashima	카와시마	kapashim		N;NOM;INDF;MASC+FEM;SG
기독교인	kristna	기독교인	kristen	N	ADJ;NOM;PL
소원	önskan	소원	önskan		N;NOM;INDF;MASC+FEM;SG
소원	önskar	소원	önska		V;IND;PRS;FIN;ACT
소원	önska	소원	önska		V;IMP;FIN;ACT
소원	wish	소원	wish		N;NOM;INDF;MASC+FEM;SG
소원	önskemål	소원	önskemål		N;NOM;INDF;NEUT;SG
소원	önskar	소원	önska		V;IND;PRS;FIN;ACT
소원	önskningar	소원	önskning		N;NOM;INDF;MASC+FEM;PL
병행	samtidig	병행	samtidig		ADJ;NOM;INDF;MASC+FEM;SG
병행	samtidiga	병행	samtidig		ADJ;NOM;PL
존경하는	respekterade	존경+하+는	respektera	V	ADJ;NOM;PL;PST;V.PTCP
존경하는	respekterat	존경+하+는	respektera	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
존경하는	respekterad	존경+하+는	respektera	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
비례	proportionell	비례	proportionell		ADJ;NOM;INDF;MASC+FEM;SG
비례	proportionerligt	비례	proportionerlig		ADJ;NOM;INDF;NEUT;SG
비례	proportionella	비례	proportionell		ADJ;NOM;PL
비례	proportionerlig	비례	proportionerlig		ADJ;NOM;INDF;MASC+FEM;SG
비례	proportionellt	비례	proportionell		ADV
비례	proportionalitet	비례	proportionalitet		N;NOM;INDF;MASC+FEM;SG
비례	proportioner	비례	proportion		N;NOM;INDF;MASC+FEM;PL
비례	proportion	비례	proportion		N;NOM;INDF;MASC+FEM;SG
비례	andel	비례	andel		N;NOM;INDF;MASC+FEM;SG
반박	motbevisa	반박	motbevisa	N	V;IMP;FIN;ACT
베스트셀러	bästsäljare	베스트셀러	bästsäljare		N;NOM;INDF;MASC+FEM;PL
베스트셀러	bästsäljande	베스트셀러	bästsälja		ADJ;NOM;PRS;V.PTCP
모니터링	övervakade	모니터링	övervaka		ADJ;NOM;PL;PST;V.PTCP
모니터링	övervakat	모니터링	övervaka		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
모니터링	övervakas	모니터링	övervaka		V;NFIN;PASS
모니터링	övervakning	모니터링	övervakning		N;NOM;INDF;MASC+FEM;SG
모니터링	uppföljning	모니터링	uppföljning		N;NOM;INDF;MASC+FEM;SG
모니터링	bildskärm	모니터링	bildskärm		N;NOM;INDF;MASC+FEM;SG
모니터링	övervaka	모니터링	övervaka		V;IMP;FIN;ACT
모니터링	övervakare	모니터링	övervakare		N;NOM;INDF;MASC+FEM;PL
모니터링	monitor	모니터링	monitor		N;NOM;INDF;MASC+FEM;SG
오크	orch	오크	orch		N;NOM;INDF;MASC+FEM;SG
엣지	kant	짙+지	kunna		N;NOM;INDF;MASC+FEM;SG
엣지	edge	짙+지	edge		N;NOM;INDF;MASC+FEM;SG
엣지	kanten	짙+지	kant		N;NOM;DEF;MASC+FEM;SG
파이썬	python	파이썬	python		N;NOM;INDF;MASC+FEM;SG
난이도	svårighet	난이+도	svårighet	ADV	N;NOM;INDF;MASC+FEM;SG
난이도	svårigheter	난이+도	svårighet	ADV	N;NOM;INDF;MASC+FEM;PL
난이도	svårighetsgrad	난이+도	svårighetsgrad	ADV	N;NOM;INDF;MASC+FEM;SG
브룩스	brooke	브룩스	brooke		PROPN;NOM
브룩스	bäckar	브룩스	bäcka		N;NOM;INDF;MASC+FEM;PL
브룩스	brooks	브룩스	brook		PROPN;NOM
현관	veranda	현관	verand		N;NOM;INDF;MASC+FEM;SG
현관	verandan	현관	verandan		N;NOM;DEF;MASC+FEM;SG
미니애폴리스	minneapolis	미니애폴리스	minneapolis	PROPN	PROPN;NOM
스바루	subaru	스바루	subaru		N;NOM;INDF;MASC+FEM;SG
사담	saddam	사담	saddam	PROPN	PROPN;NOM
파라	farah	파르+아	farah		PROPN;NOM
아이디어	uppslag	아이디어	uppslag		N;NOM;INDF;NEUT;SG
아이디어	idéer	아이디어	idé		N;NOM;INDF;MASC+FEM;PL
아이디어	idé	아이디어	idé		N;NOM;INDF;MASC+FEM;SG
관습	brukligt	관습	bruklig	N	ADJ;NOM;INDF;NEUT;SG
관습	sedvanligt	관습	sedvanlig	N	ADJ;NOM;INDF;NEUT;SG
캐롤라이나	carolina	캐롤라이나	carolin		N;NOM;INDF;MASC+FEM;SG
인터랙티브	interaktiv	인터랙티브	interaktiv		ADJ;NOM;INDF;MASC+FEM;SG
인터랙티브	interaktiva	인터랙티브	interaktiv		ADJ;NOM;PL
인터랙티브	interaktivt	인터랙티브	interaktiv		ADJ;NOM;INDF;NEUT;SG
부상당한	sårad	부상+당하+ㄴ	såra	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
부상당한	skadad	부상+당하+ㄴ	skada	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
부상당한	skadade	부상+당하+ㄴ	skada	V	ADJ;NOM;PL;PST;V.PTCP
부상당한	sårade	부상+당하+ㄴ	såra	V	ADJ;NOM;PL;PST;V.PTCP
케이시	casey	케이시	casey		PROPN;NOM
기꺼이	gladeligen	기꺼이	gladeligen		ADV
기꺼이	gärna	기꺼이	gärna		ADV
퍼거슨	ferguson	퍼거슨	ferguson		PROPN;NOM
우회	kringgå	우회	kringgå	N	V;IMP;FIN;ACT
드레이크	drake	드레이크	drake		N;NOM;INDF;MASC+FEM;SG
애니멀	djur	애니멀	djur		N;NOM;INDF;NEUT;PL
죄수	fångar	죄수	fånga	N	V;IND;PRS;FIN;ACT
훔볼트	humboldt	훔볼트	humbold		PROPN;NOM
맬컴	malcolm	맬컴	malcolm	N	PROPN;NOM
푸틴	putin	푸틴	putin		PROPN;NOM
푸틴	putins	푸틴	puti		PROPN;GEN
다카기	takagi	다카기	takagi		N;NOM;INDF;MASC+FEM;SG
프리덤	friheten	프리덤	frihet		N;NOM;DEF;MASC+FEM;SG
프리덤	frihet	프리덤	frihet		N;NOM;INDF;MASC+FEM;SG
프리덤	freedom	프리덤	freedom		N;NOM;INDF;NEUT;SG
요시키	yoshiki	요시키	yoshiki		PROPN;NOM
동지	kamrat	동지	kamrat		N;NOM;INDF;MASC+FEM;SG
동지	kamrater	동지	kamrat		N;NOM;INDF;MASC+FEM;PL
메이슨	mason	메이슨	mason		PROPN;NOM
침묵	tysta	침묵	tyst	N	ADJ;NOM;PL
침묵	tyst	침묵	tyst	N	ADJ;NOM;INDF;MASC+FEM;SG
침묵	tiga	침묵	tig	N	V;IMP;FIN;ACT
중성	neutral	중성	neutral	N	ADJ;NOM;INDF;MASC+FEM;SG
중성	neutralt	중성	neutral	N	ADJ;NOM;INDF;NEUT;SG
중성	neutrala	중성	neutral	N	ADJ;NOM;PL
헌트	jaga	헌트	jaga		V;IMP;FIN;ACT
헌트	jakt	헌트	jakt		N;NOM;INDF;MASC+FEM;SG
헌트	hunt	헌트	hunt		PROPN;NOM
헌트	jagar	헌트	jaga		V;IND;PRS;FIN;ACT
괴산	bortförd	괴산	bortförd	PROPN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
괴산	bortförda	괴산	bortföra	PROPN	ADJ;NOM;PL;PST;V.PTCP
괴산	kidnappad	괴산	kidnappad	PROPN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
벵골	bengaliska	벵골	bengalisk	PROPN	ADJ;NOM;PL
벵골	bengal	벵골	bengal	PROPN	N;NOM;INDF;MASC+FEM;SG
융합	smält	융합	smält	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
비틀즈	beatles	비틀즈	beatla	N	PROPN;NOM
니코	niko	니코	niko		PROPN;NOM
니코	nico	니코	nico		PROPN;NOM
스나이퍼	prickskytt	스나이퍼	prickskytt		N;NOM;INDF;MASC+FEM;SG
버팔로	buffalo	버팔+로	buffalo		PROPN;NOM
버팔로	buffel	버팔+로	buffel		N;NOM;INDF;MASC+FEM;SG
버팔로	bufflar	버팔+로	buffla		N;NOM;INDF;MASC+FEM;PL
커리어	karriären	커리어	karriär		N;NOM;DEF;MASC+FEM;SG
커리어	karriär	커리어	karriär		N;NOM;INDF;MASC+FEM;SG
커리어	karriär	커리어	karriär		N;NOM;INDF;MASC+FEM;SG
커리어	karriärer	커리어	karriär		N;NOM;INDF;MASC+FEM;PL
프로스트	frost	프로스트	frost		N;NOM;INDF;MASC+FEM;SG
셰인	shane	셰인	shane		PROPN;NOM
크릭	crick	크릭	crick		PROPN;NOM
둥지	näste	둥+지	näste		N;NOM;INDF;MASC+FEM;SG
일시적	temporärt	일시+적	temporär	N	ADV
일시적	tillfälligt	일시+적	tillfällig	N	ADV
일시적	tillfällig	일시+적	tillfällig	N	ADJ;NOM;INDF;MASC+FEM;SG
일시적	temporär	일시+적	temporär	N	ADJ;NOM;INDF;MASC+FEM;SG
일시적	tillfälliga	일시+적	tillfällig	N	ADJ;NOM;PL
일시적	temporärt	일시+적	temporär	N	ADV
일시적	tillfälligt	일시+적	tillfällig	N	ADV
절벽	klippor	절벽	klippa		N;NOM;INDF;MASC+FEM;PL
절벽	klippan	절벽	klippa		N;NOM;DEF;MASC+FEM;SG
절벽	klippa	절벽	klippa		V;IMP;FIN;ACT
절벽	cliff	절벽	cliff		PROPN;NOM
박쥐	fladdermus	박쥐	fladdermus		N;NOM;INDF;MASC+FEM;SG
박쥐	bat	박쥐	bit		N;NOM;INDF;MASC+FEM;SG
박쥐	fladdermöss	박쥐	fladdermus		N;NOM;INDF;MASC+FEM;PL
올림푸스	olympus	올림푸스	olympus		N;NOM;INDF;MASC+FEM;SG
푸앵카레	poincaré	푸앵카레	poincaré	PROPN	PROPN;NOM
스타킹	strumpor	스타킹	strumpa		N;NOM;INDF;MASC+FEM;PL
스타킹	strumpa	스타킹	strumpa		N;NOM;INDF;MASC+FEM;SG
발광	självlysande	발광	självlysande	N	ADJ;NOM;PRS;V.PTCP
콤플렉스	komplext	콤플렉스	komplext		ADJ;NOM;INDF;NEUT;SG
콤플렉스	komplicerad	콤플렉스	komplicerad		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
콤플렉스	komplex	콤플렉스	komplex		ADJ;NOM;INDF;NEUT;SG
콤플렉스	komplexa	콤플렉스	komplex		ADJ;NOM;PL
콤플렉스	komplicerat	콤플렉스	komplicerad		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
럭셔리	lyx	럭셔리	lyx		N;NOM;INDF;MASC+FEM;SG
어쨌거나	iallafall	어찌하+었+거나	iallafall		N;NOM;INDF;MASC+FEM;SG
어쨌거나	hursomhelst	어찌하+었+거나	hursomhelst		ADV;RL
보츠와나	botswana	보츠+와+나	botswana	CONJ	PROPN;NOM
물결	våg	물결	våg		N;NOM;INDF;MASC+FEM;SG
물결	vinka	물결	vinken		V;IMP;FIN;ACT
물결	wave	물결	wave		N;NOM;INDF;NEUT;SG
스트레이트	straight	스트레이트	straight		N;NOM;INDF;MASC+FEM;SG
스트레이트	rakt	스트레이트	rak		ADV
스트레이트	rak	스트레이트	rak		ADJ;NOM;INDF;MASC+FEM;SG
스트레이트	raka	스트레이트	rak		ADJ;NOM;PL
이탈리아인	italienare	이탈리아인	italienare	V	N;NOM;INDF;MASC+FEM;PL
이탈리아인	italienarna	이탈리아인	italienare	V	N;NOM;DEF;MASC+FEM;PL
이탈리아인	italienare	이탈리아인	italienare	V	N;NOM;INDF;MASC+FEM;PL
이탈리아인	italienska	이탈리아인	italiensk	V	ADJ;NOM;PL
이탈리아인	italienskt	이탈리아인	italiensk	V	ADJ;NOM;INDF;NEUT;SG
이탈리아인	italiensk	이탈리아인	italiensk	V	ADJ;NOM;INDF;MASC+FEM;SG
홀리	holly	홀리	holly		PROPN;NOM
로체스터	rochester	로체스터	rochest	PROPN	N;NOM;INDF;MASC+FEM;PL
무작위	slumpmässiga	무작위	slumpmässig	N	ADJ;NOM;PL
