the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
samuel	samuel	samuel	samuel	PROPN;SG	N;MASC;SG
detail	detalhes	detail	detalhe	N;SG	N;MASC;PL
frederick	frederico	frederick	frederico	PROPN;SG	N;MASC;SG
frederick	frederick	frederick	frederick	PROPN;SG	N;MASC;SG
banks	banks	bank	bank	N;PL	N;MASC;SG
offensive	ofensiva	offensive	ofensiva	ADJ	N;FEM;SG
kings	kings	king	kings	N;PL	N;MASC;SG
replace	substitui	replace	substituir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
replace	substitua	replace	substituar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
replace	substituição	replace	substituição	V;IMP;FIN	N;FEM;SG
resistance	resistências	resistance	resistência	N;SG	N;FEM;PL
tries	tentativas	try	tentativa	V;IND;SG;3;PRS;FIN	N;FEM;PL
tim	tim	tim	tim	PROPN;SG	N;MASC;SG
medium	médio	medium	médio	N;SG	ADJ;MASC;SG
medium	meio	medium	meio	N;SG	ADV
profit	lucros	profit	lucro	N;SG	N;MASC;PL
dream	sonhar	dream	sonhar	N;SG	V;NFIN
enter	entra	enter	entrar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
enter	insira	enter	insirar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
enter	enter	enter	enter	V;IMP;FIN	N;MASC;SG
twelve	twelve	twelve	twelver	NUM	N;MASC;SG
universal	universal	universal	universal	ADJ	N;MASC;SG
passenger	passageiros	passenger	passageiro	N;SG	N;MASC;PL
cleveland	cleveland	cleveland	cleveland	PROPN;SG	N;MASC;SG
parent	pais	parent	pai	N;SG	N;MASC;PL
receiving	recebimento	receive	recebimento	V;V.MSDR	N;MASC;SG
signal	sinalizar	signal	sinalizar	N;SG	V;NFIN
reform	reformar	reform	reformar	N;SG	V;NFIN
reform	reformas	reform	reforma	N;SG	N;FEM;PL
column	colunas	column	coluna	N;SG	N;FEM;PL
utah	utah	utah	utah	PROPN;SG	N;MASC;SG
qualified	qualificadas	qualified	qualificar	ADJ	V;FEM;PL;V.PTCP
qualified	qualificada	qualified	qualificar	ADJ	V;FEM;SG;V.PTCP
qualified	qualificado	qualified	qualificado	ADJ	V;MASC;SG;V.PTCP
qualified	qualificados	qualified	qualificar	ADJ	V;MASC;PL;V.PTCP
indicate	indique	indicate	indique	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
indicate	indiquem	indicate	indiquir	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
ukrainian	ucraniana	ukrainian	ucraniano	ADJ	N;FEM;SG
ukrainian	ucranianos	ukrainian	ucraniano	ADJ	N;MASC;PL
ukrainian	ucraniano	ukrainian	ucraniano	ADJ	N;MASC;SG
gay	gays	gay	gay	ADJ	N;MASC;PL
gay	gay	gay	gay	ADJ	N;MASC;SG
amateur	amadores	amateur	amadores	N;SG	N;MASC;PL
gene	genes	gene	gene	N;SG	N;MASC;PL
alt	alt	alt	alt	PROPN;SG	N;MASC;SG
montreal	montreal	montreal	montreal	PROPN;SG	N;MASC;SG
walker	walker	walker	walker	PROPN;SG	N;MASC;SG
nice	belo	nice	belo	ADJ	N;MASC;SG
nice	nice	nice	nice	ADJ	N;MASC;SG
sample	amostras	sample	amostra	N;SG	N;FEM;PL
contained	continham	contain	conter	V;PST;V.PTCP	V;IND;PL;3;IPFV;FIN
contained	continha	contain	conter	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
moore	moore	moore	moore	PROPN;SG	N;MASC;SG
increasing	crescente	increase	crescente	V;V.MSDR	ADJ;MASC;SG
arm	armar	arm	armar	N;SG	V;NFIN
thinking	pensando	thinking	pensar	N;SG	V;V.MSDR
thinking	pensar	thinking	pensar	N;SG	V;NFIN
dublin	dublin	dublin	dublin	PROPN;SG	N;MASC;SG
dublin	dublim	dublin	dublim	PROPN;SG	N;MASC;SG
surname	apelidos	surname	apelido	N;SG	N;MASC;PL
brain	miolos	brain	miolo	N;SG	N;MASC;PL
pittsburgh	pittsburgh	pittsburgh	pittsburgh	PROPN;SG	N;MASC;SG
economics	economia	economics	economia	N;PL	N;FEM;SG
seventh	sétima	seventh	sétimo	PROPN;SG	ADJ;FEM;SG
seventh	seventh	seventh	seventh	PROPN;SG	N;MASC;SG
seventh	sétimo	seventh	sétimo	PROPN;SG	ADJ;MASC;SG
alex	alex	alex	alex	PROPN;SG	N;MASC;SG
employed	empregado	employ	empregado	V;PST;V.PTCP	N;MASC;SG
employed	empregados	employ	empregado	V;PST;V.PTCP	N;MASC;PL
controversial	polémica	controversial	polémica	ADJ	N;FEM;SG
controversial	polêmica	controversial	polêmica	ADJ	N;FEM;SG
controversy	controvérsias	controversy	controvérsia	N;SG	N;FEM;PL
josé	josé	josé	josé	PROPN;SG	N;MASC;SG
maps	mapa	map	mapa	N;PL	N;MASC;SG
marie	marie	marie	marie	PROPN;SG	N;FEM;SG
marie	maria	marie	maria	PROPN;SG	N;FEM;SG
arguments	argumentação	argument	argumentação	N;PL	N;FEM;SG
carl	carlos	carl	carlo	PROPN;SG	N;MASC;SG
carl	carl	carl	carl	PROPN;SG	N;MASC;SG
wave	acenar	wave	acenar	N;SG	V;NFIN
apart	apart	apart	apart	ADV	N;MASC;SG
invasion	invasões	invasion	invasão	N;SG	N;FEM;PL
jimmy	jimmy	jimmy	jimmy	PROPN;SG	N;MASC;SG
opportunity	oportunidades	opportunity	oportunidade	N;SG	N;FEM;PL
determine	determina	determine	determinar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
determine	determinam	determine	determinar	V;IMP;FIN	V;IND;PL;3;PRS;FIN
determine	determine	determine	determinar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
colspan	colspan	colspan	colspan		N;MASC;SG
orthodox	ortodoxo	orthodox	ortodoxo	ADJ	N;MASC;SG
orthodox	ortodoxos	orthodox	ortodoxo	ADJ	N;MASC;PL
orthodox	ortodoxa	orthodox	ortodoxa	ADJ	N;FEM;SG
doubt	duvido	doubt	duvido	N;SG	V;IND;SG;1;PRS;FIN
doubt	dúvidas	doubt	dúvida	N;SG	N;FEM;PL
doubt	duvidas	doubt	duvida	N;SG	N;FEM;PL
golf	golfe	golf	golfe	PROPN;SG	N;MASC;SG
andy	andy	andy	andy	PROPN;SG	N;MASC;SG
indonesia	indonésia	indonesia	indonésio	PROPN;SG	N;MASC;SG
sell	venda	sell	venda	V;IMP;FIN	N;FEM;SG
sell	vende	sell	vender	V;IMP;FIN	V;IND;SG;3;PRS;FIN
mon	seg	mon	segunda-feira	PROPN;SG	N;MASC;SG
mon	mon	mon	mon	PROPN;SG	N;MASC;SG
tank	tanques	tank	tanque	N;SG	N;MASC;PL
advice	conselhos	advice	conselho	N;SG	N;MASC;PL
senator	senador	senator	senador	PROPN;SG	N;MASC;SG
senator	senadora	senator	senadora	PROPN;SG	N;FEM;SG
malaysia	malásia	malaysia	malásia	PROPN;SG	N;FEM;SG
finland	finlândia	finland	finlândia	PROPN;SG	N;FEM;SG
finland	finlandia	finland	finlandia	PROPN;SG	N;FEM;SG
leads	cadastros	lead	cadastro	V;IND;SG;3;PRS;FIN	N;MASC;PL
leads	leads	lead	lead	V;IND;SG;3;PRS;FIN	N;MASC;PL
seattle	seattle	seattle	seattle	PROPN;SG	N;MASC;SG
gain	ganho	gain	ganho	V;IMP;FIN	N;MASC;SG
index	índices	index	índice	N;SG	N;MASC;PL
saints	saints	saint	saint	N;PL	N;MASC;SG
crisis	crises	crisis	crise	N;SG	N;FEM;PL
matt	matt	matt	matt	PROPN;SG	N;MASC;SG
hollywood	hollywood	hollywood	hollywood	PROPN;SG	N;MASC;SG
lawrence	lourenço	lawrence	lourenço	PROPN;SG	N;MASC;SG
lawrence	lawrence	lawrence	lawrence	PROPN;SG	N;MASC;SG
archives	arquivo	archive	arquivo	N;PL	N;MASC;SG
atlanta	atlanta	atlanta	atlantar	PROPN;SG	N;MASC;SG
voting	votando	voting	votar	N;SG	V;V.MSDR
voting	votações	voting	votação	N;SG	N;FEM;PL
voting	votar	voting	votar	N;SG	V;NFIN
looked	parecia	look	parecer	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
perfect	perfeito	perfect	perfeito	ADJ	V;MASC;SG;V.PTCP
perfect	perfeitas	perfect	perfeito	ADJ	V;FEM;PL;V.PTCP
perfect	perfeitos	perfect	perfeito	ADJ	V;MASC;PL;V.PTCP
perfect	perfeita	perfect	perfazer	ADJ	V;FEM;SG;V.PTCP
perfect	perfect	perfect	perfect	ADJ	N;MASC;SG
bruce	bruce	bruce	bruce	PROPN;SG	N;MASC;SG
baltimore	baltimore	baltimore	baltimore	PROPN;SG	N;MASC;SG
baron	barão	baron	barão	PROPN;SG	N;MASC;SG
baron	baron	baron	baron	PROPN;SG	N;MASC;SG
fantasy	fantasias	fantasy	fantasia	N;SG	N;FEM;PL
broad	vasto	broad	vasto	PROPN;SG	ADJ;MASC;SG
broad	ampla	broad	ampla	PROPN;SG	ADJ;FEM;SG
broad	amplo	broad	amplo	PROPN;SG	ADJ;MASC;SG
opposite	oposta	opposite	oposto	N;SG	ADJ;FEM;SG
opposite	opostos	opposite	oposto	N;SG	N;MASC;PL
opposite	oposto	opposite	oposto	N;SG	ADJ;MASC;SG
aged	envelheceu	aged	envelhecer	ADJ	V;IND;SG;3;PST;FIN
aged	envelhecido	aged	envelhecido	ADJ	V;MASC;SG;V.PTCP
aged	envelhecida	aged	envelhecer	ADJ	V;FEM;SG;V.PTCP
nick	nick	nick	nick	PROPN;SG	N;MASC;SG
anna	ana	anna	ana	PROPN;SG	PROPN;FEM;SG
anna	anna	anna	anna	PROPN;SG	N;FEM;SG
billy	billy	billy	billy	PROPN;SG	N;MASC;SG
kent	kent	kend	kent	PROPN;SG	N;MASC;SG
parliamentary	parlamentar	parliamentary	parlamentar	ADJ	N;MASC;SG
parliamentary	parlamentares	parliamentary	parlamentar	ADJ	N;MASC;PL
kelly	kelly	kelly	kelly	PROPN;SG	N;FEM;SG
shooting	atirando	shooting	atirar	N;SG	V;V.MSDR
ready	preparados	ready	preparar	ADJ	V;MASC;PL;V.PTCP
ready	preparado	ready	preparar	ADJ	V;MASC;SG;V.PTCP
pick	palheta	pick	palheta	V;IMP;FIN	N;FEM;SG
pick	picareta	pick	picareta	V;IMP;FIN	N;FEM;SG
pick	pick	pick	pick	V;IMP;FIN	N;MASC;SG
pick	escolhe	pick	escolher	V;IMP;FIN	V;IND;SG;3;PRS;FIN
aware	ciente	aware	ciente	ADJ	ADV
jordan	jordânia	jordan	jordânia	PROPN;SG	N;FEM;SG
jordan	jordão	jordan	jordão	PROPN;SG	N;MASC;SG
jordan	jordan	jordan	jordan	PROPN;SG	N;MASC;SG
bangladesh	brazil	bangladesh	brazil	PROPN;SG	N;MASC;SG
bangladesh	bangladeche	bangladesh	bangladeche	PROPN;SG	N;FEM;SG
bangladesh	bangladesh	bangladesh	bangladesh	PROPN;SG	N;FEM;PL
benefit	benefícios	benefit	benefício	N;SG	N;MASC;PL
benefit	beneficiar	benefit	beneficiar	N;SG	V;NFIN
scheduled	regulares	schedule	regular	V;PST;V.PTCP	ADJ;MASC;PL
closing	fechando	closing	fechar	N;SG	V;V.MSDR
closing	fechar	closing	fechar	N;SG	V;NFIN
maine	maine	maine	maine	PROPN;SG	N;MASC;SG
las	las	las	elas	PROPN;SG	PRO;ACC;FEM;PL;3
print	impressão	print	impressão	V;IMP;FIN	N;FEM;SG
print	print	print	print	V;IMP;FIN	N;FEM;SG
participate	participe	participate	participe	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
participate	participa	participate	participar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
participate	participem	participate	participar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
discovery	descobertas	discovery	descobrir	N;SG	V;FEM;PL;V.PTCP
und	und	und	und	PROPN;SG	N;MASC;SG
creative	creative	creative	creative	ADJ	N;FEM;SG
pierre	pierre	pierre	pierre	PROPN;SG	N;MASC;SG
detailed	detalhado	detailed	detalhar	ADJ	V;MASC;SG;V.PTCP
detailed	pormenorizadas	detailed	pormenorizar	ADJ	V;FEM;PL;V.PTCP
detailed	detalhada	detailed	detalhar	ADJ	V;FEM;SG;V.PTCP
detailed	detalhadas	detailed	detalhar	ADJ	V;FEM;PL;V.PTCP
finance	finanças	finance	finanças	N;SG	N;FEM;PL
socialist	socialistas	socialist	socialista	N;SG	N;MASC;PL
returns	devoluções	return	devolução	V;IND;SG;3;PRS;FIN	N;FEM;PL
returns	retornos	return	retorno	V;IND;SG;3;PRS;FIN	N;MASC;PL
engaged	noiva	engage	noiva	V;PST;V.PTCP	N;FEM;SG
engaged	noivos	engage	noivo	V;PST;V.PTCP	N;MASC;PL
engaged	noivo	engage	noivo	V;PST;V.PTCP	N;MASC;SG
experienced	experientes	experienced	experiente	ADJ	N;MASC;PL
experienced	experimentado	experienced	experimentar	ADJ	V;MASC;SG;V.PTCP
underground	underground	underground	underground	ADJ	N;MASC;SG
underground	subterrânea	underground	subterrânea	ADJ	N;FEM;SG
underground	subterrâneos	underground	subterrâneo	ADJ	N;MASC;PL
jane	jane	jane	jane	PROPN;SG	N;FEM;SG
jane	joana	jane	joana	PROPN;SG	N;FEM;SG
abc	abc	abc	abc	PROPN;SG	N;MASC;SG
producing	produzindo	produce	produzir	N;SG	V;V.MSDR
producing	produzir	produce	produzir	N;SG	V;NFIN
ross	ross	ross	ross	PROPN;SG	N;MASC;SG
russell	russel	russell	russel	PROPN;SG	N;MASC;SG
russell	russell	russell	russell	PROPN;SG	N;MASC;SG
singing	cantando	sing	cantar	N;SG	V;V.MSDR
singing	cantar	sing	cantar	N;SG	V;NFIN
fifa	fifa	fifa	fifa	PROPN;SG	N;FEM;SG
jeff	jeff	jeff	jeff	PROPN;SG	N;MASC;SG
electoral	eleitoral	electoral	eleitoral	ADJ	N;MASC;SG
emergency	emergências	emergency	emergência	N;SG	N;FEM;PL
christopher	cristóvão	christopher	cristóvão	PROPN;SG	N;MASC;SG
christopher	christopher	christopher	christopher	PROPN;SG	N;MASC;SG
investment	investimentos	investment	investimento	N;SG	N;MASC;PL
romanian	romeno	romanian	romeno	ADJ	N;MASC;SG
romanian	romenos	romanian	romeno	ADJ	N;MASC;PL
romanian	romena	romanian	romeno	ADJ	N;FEM;SG
session	sessões	session	sessão	N;SG	N;FEM;PL
capture	captura	capture	captura	V;IMP;FIN	N;FEM;SG
capture	captação	capture	captação	V;IMP;FIN	N;FEM;SG
reduce	reduza	reduce	reduzir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
abuse	abusos	abuse	abuso	N;SG	N;MASC;PL
prefecture	prefeitura	prefecture	prefeitura	PROPN;SG	N;FEM;SG
walk	caminhada	walk	caminhar	V;IMP;FIN	N;FEM;SG
walk	passeio	walk	passeio	V;IMP;FIN	N;MASC;SG
dakota	dakota	dakota	dakota	PROPN;SG	N;FEM;SG
dakota	dacota	dakota	dacota	PROPN;SG	N;MASC;SG
bush	mato	bush	mato	PROPN;SG	N;MASC;SG
bush	bush	bush	bush	PROPN;SG	PROPN;MASC;SG
bush	arbusto	bush	arbusto	PROPN;SG	N;MASC;SG
gary	gary	gary	gary	PROPN;SG	N;MASC;SG
employees	assalariados	employee	assalariado	N;PL	V;MASC;PL;V.PTCP
error	erros	error	erro	N;SG	N;MASC;PL
invited	convidados	invite	convidado	V;PST;V.PTCP	N;MASC;PL
cable	cabos	cable	cabo	N;SG	N;MASC;PL
protein	proteínas	protein	proteína	N;SG	N;FEM;PL
measure	medir	measure	medir	N;SG	V;NFIN
measure	mede	measure	medir	N;SG	V;IND;SG;3;PRS;FIN
animated	animado	animated	animar	ADJ	V;MASC;SG;V.PTCP
animated	animação	animated	animação	ADJ	N;FEM;SG
animated	animados	animated	animar	ADJ	N;MASC;PL
animated	animada	animated	animar	ADJ	V;FEM;SG;V.PTCP
animated	animadas	animated	animar	ADJ	V;FEM;PL;V.PTCP
satellite	satélites	satellite	satélite	N;SG	N;MASC;PL
johnny	johnny	johnny	johnny	PROPN;SG	N;MASC;SG
clean	limpe	clean	limpe	ADJ	V;SBJV;SG;3;PRS;FIN
clean	limpar	clean	limpar	ADJ	V;NFIN
twin	gémeo	twin	gémeo	PROPN;SG	N;MASC;SG
twin	gêmeos	twin	gêmeo	PROPN;SG	N;MASC;PL
twin	gêmeas	twin	gêmea	PROPN;SG	N;FEM;PL
twin	twin	twin	twin	PROPN;SG	N;MASC;SG
twin	gêmeo	twin	gêmeo	PROPN;SG	N;MASC;SG
twin	gêmea	twin	gêmea	PROPN;SG	N;FEM;SG
describe	descreve	describe	descrever	V;IMP;FIN	V;IND;SG;3;PRS;FIN
describe	descreva	describe	descrever	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
defensive	defensiva	defensive	defensivo	ADJ	N;FEM;SG
defensive	defensivos	defensive	defensivo	ADJ	N;MASC;PL
islam	islam	islam	islar	PROPN;SG	N;MASC;SG
islam	islã	islam	islã	PROPN;SG	N;MASC;SG
islam	islamismo	islam	islamismo	PROPN;SG	N;MASC;SG
islam	islão	islam	islão	PROPN;SG	N;MASC;SG
ottoman	otomano	ottoman	otomano	ADJ	N;MASC;SG
ottoman	otomanos	ottoman	otomano	ADJ	N;MASC;PL
ottoman	otomana	ottoman	otomano	ADJ	N;FEM;SG
wine	vinhos	wine	vinho	N;SG	N;MASC;PL
lanka	lanca	lanka	lanca	PROPN;SG	V;IND;SG;3;PRS;FIN
lanka	lanka	lanka	lanka	PROPN;SG	N;MASC;SG
carlos	carlos	carlo	carlo	PROPN;SG	N;MASC;SG
rio	rio	rio	rio	PROPN;SG	N;MASC;SG
saturday	sábados	saturday	sábado	PROPN;SG	N;MASC;PL
saturday	sábado	saturday	sábado	PROPN;SG	N;MASC;SG
saturday	sabado	saturday	sabar	PROPN;SG	N;MASC;SG
guess	adivinha	guess	adivinhar	V;IMP;FIN	N;FEM;SG
guess	adivinhe	guess	adivinhar	V;IMP;FIN	N;MASC;SG
sarah	sarah	sarah	sarah	PROPN;SG	N;FEM;SG
sarah	sara	sarah	sara	PROPN;SG	N;FEM;SG
swimming	nadar	swim	nadar	N;SG	V;NFIN
edinburgh	edimburgo	edinburgh	edimburgo	PROPN;SG	N;MASC;SG
fit	apto	fit	apto	V;IMP;FIN	ADJ;MASC;SG
fit	fit	fit	fit	V;IMP;FIN	N;MASC;SG
harris	harris	harris	harri	PROPN;SG	N;MASC;SG
dallas	dallas	dallas	dalla	PROPN;SG	N;MASC;SG
extreme	extremos	extreme	extremo	ADJ	N;MASC;PL
extreme	extremo	extreme	extremo	ADJ	N;MASC;SG
extreme	extreme	extreme	extremer	ADJ	N;MASC;SG
demand	exigir	demand	exigir	N;SG	V;NFIN
vertical	verticais	vertical	vertical	ADJ	N;MASC;PL
vertical	vertical	vertical	vertical	ADJ	N;MASC;SG
jason	jason	jason	jason	PROPN;SG	N;MASC;SG
consisted	consistiam	consist	consistir	V;PST;V.PTCP	V;IND;PL;3;IPFV;FIN
consisted	consistia	consist	consistir	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
victor	vítor	victor	vítor	PROPN;SG	N;MASC;SG
victor	victor	victor	victor	PROPN;SG	N;MASC;SG
victor	vitor	victor	vitor	PROPN;SG	N;MASC;SG
dyk	dyk	dyk	dyk	PROPN;SG	N;MASC;SG
solar	solares	solar	solar	ADJ	N;MASC;PL
solar	solar	solar	solar	ADJ	N;MASC;SG
wings	wings	wing	wing	N;PL	N;MASC;SG
acid	ácidos	acid	ácido	PROPN;SG	N;MASC;PL
acid	ácido	acid	ácido	PROPN;SG	N;MASC;SG
hip	hip	hip	hip	PROPN;SG	N;MASC;SG
hip	quadril	hip	quadril	PROPN;SG	N;MASC;SG
hip	anca	hip	ancar	PROPN;SG	N;FEM;SG
nova	nova	nova	novo	PROPN;SG	ADJ;FEM;SG
ceremony	cerimónias	ceremony	cerimónia	N;SG	N;FEM;PL
chile	chile	chile	chile	PROPN;SG	N;MASC;SG
nazi	nazista	nazi	nazista	PROPN;SG	N;MASC;SG
nazi	nazi	nazi	nazi	PROPN;SG	N;MASC;SG
nazi	nazis	nazi	nazi	PROPN;SG	N;MASC;PL
nazi	nazistas	nazi	nazista	PROPN;SG	N;MASC;PL
liverpool	liverpool	liverpool	liverpool	PROPN;SG	N;MASC;SG
hair	cabelos	hair	cabelo	N;SG	N;MASC;PL
consecutive	consecutivas	consecutive	consecutivo	ADJ	N;FEM;PL
consecutive	consecutiva	consecutive	consecutivo	ADJ	N;FEM;SG
consecutive	consecutivos	consecutive	consecutivo	ADJ	N;MASC;PL
movies	cinema	movie	cinema	N;PL	N;MASC;SG
adjacent	adjacentes	adjacent	adjacente	ADJ	N;MASC;PL
adjacent	adjacente	adjacent	adjacente	ADJ	N;MASC;SG
norman	normando	norman	normar	PROPN;SG	N;MASC;SG
norman	normandos	norman	normando	PROPN;SG	N;MASC;PL
norman	norman	norman	norman	PROPN;SG	N;MASC;SG
norman	normanda	norman	normanda	PROPN;SG	N;FEM;SG
belgian	belga	belgian	belga	PROPN;SG	N;MASC;SG
belgian	belgas	belgian	belga	PROPN;SG	N;MASC;PL
corporate	corporativa	corporate	corporativo	ADJ	N;FEM;SG
austin	austin	austin	austin	PROPN;SG	N;MASC;SG
driving	conduzir	driving	conduzir	N;SG	V;NFIN
driving	dirigindo	driving	dirigir	N;SG	V;V.MSDR
driving	conduzindo	driving	conduzir	N;SG	V;V.MSDR
fly	fly	fly	fly	V;IMP;FIN	N;MASC;SG
fly	voe	fly	voe	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
fly	mosca	fly	mosco	V;IMP;FIN	N;FEM;SG
fly	voa	fly	voa	V;IMP;FIN	V;IND;SG;3;PRS;FIN
ian	lan	ian	lan	PROPN;SG	N;FEM;SG
ian	ian	ian	ian	PROPN;SG	N;MASC;SG
document	documentar	document	documentar	N;SG	V;NFIN
adams	adams	adam	adar	PROPN;SG	N;MASC;SG
margaret	margaret	margaret	margaret	PROPN;SG	N;FEM;SG
margaret	margarida	margaret	margarida	PROPN;SG	N;FEM;SG
kennedy	kennedy	kennedy	kennedy	PROPN;SG	N;MASC;SG
assume	assumam	assume	assumir	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
assume	assuma	assume	assumir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
attached	anexa	attach	anexo	V;PST;V.PTCP;PASS	N;FEM;SG
dry	seca	dry	seca	ADJ	N;FEM;SG
dry	secos	dry	seco	ADJ	N;MASC;PL
dry	secas	dry	seca	ADJ	N;FEM;PL
dry	secar	dry	secar	ADJ	V;NFIN
bible	biblia	bible	biblia	PROPN;SG	N;FEM;SG
bible	bíblia	bible	bíblia	PROPN;SG	N;FEM;SG
matthew	matthew	matthew	matthew	PROPN;SG	N;MASC;SG
matthew	mateus	matthew	mater	PROPN;SG	N;MASC;SG
serbian	sérvio	serbian	sérvio	ADJ	N;MASC;SG
serbian	sérvia	serbian	sérvio	ADJ	N;FEM;SG
random	aleatoriamente	random	aleatoriamente	ADJ	ADV
random	random	random	randar	ADJ	N;MASC;SG
random	aleatório	random	aleatório	ADJ	N;MASC;SG
represents	represente	represent	represente	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
airlines	airlines	airlines	airline	N;PL	N;MASC;SG
franklin	franklin	franklin	franklin	PROPN;SG	N;MASC;SG
finnish	finlandês	finnish	finlandês	ADJ	N;MASC;SG
finnish	finlandesa	finnish	finlandês	ADJ	N;FEM;SG
finnish	finlandeses	finnish	finlandês	ADJ	N;MASC;PL
vocal	vocal	vocal	vocal	ADJ	N;MASC;SG
vocal	vocais	vocal	vocal	ADJ	N;MASC;PL
element	elementos	element	elemento	N;SG	N;MASC;PL
relative	parente	relative	parente	ADJ	N;MASC;SG
relative	relativa	relative	relativo	ADJ	N;FEM;SG
stewart	stewart	stewart	stewart	PROPN;SG	N;MASC;SG
roof	telhados	roof	telhado	N;SG	N;MASC;PL
colour	cores	colour	cor	N;SG	N;FEM;PL
morgan	morgan	morgan	morgan	PROPN;SG	N;MASC;SG
morgan	morgana	morgan	morgana	PROPN;SG	N;FEM;SG
nelson	nelson	nelson	nelson	PROPN;SG	N;MASC;SG
insurance	seguros	insurance	seguro	N;SG	N;MASC;PL
testing	testando	testing	testar	N;SG	V;V.MSDR
testing	ensaios	testing	ensaio	N;SG	N;MASC;PL
testing	testes	testing	teste	N;SG	N;MASC;PL
coastal	litoral	coastal	litoral	ADJ	N;MASC;SG
coastal	costeiro	coastal	costeiro	ADJ	N;MASC;SG
coastal	costeira	coastal	costeiro	ADJ	N;FEM;SG
coastal	costeiras	coastal	costeiro	ADJ	N;FEM;PL
yorkshire	yorkshire	yorkshire	yorkshire	PROPN;SG	N;MASC;SG
thailand	tailândia	thailand	tailândia	PROPN;SG	N;FEM;SG
choose	escolhe	choose	escolher	V;IMP;FIN	V;IND;SG;3;PRS;FIN
choose	escolha	choose	escolha	V;IMP;FIN	N;FEM;SG
vienna	viena	vienna	viena	PROPN;SG	N;FEM;SG
singh	singh	singh	singh	PROPN;SG	N;MASC;SG
taiwan	taiwan	taiwan	taiwan	PROPN;SG	N;MASC;SG
taiwan	formosa	taiwan	formoso	PROPN;SG	N;FEM;SG
hurricane	furacão	hurricane	furacão	PROPN;SG	N;MASC;SG
removing	remoção	remove	remoção	V;V.MSDR	N;FEM;SG
birmingham	birmingham	birmingham	birminghar	PROPN;SG	N;MASC;SG
revolutionary	revolucionários	revolutionary	revolucionário	ADJ	N;MASC;PL
revolutionary	revolucionárias	revolutionary	revolucionário	ADJ	N;FEM;PL
inner	interior	inner	interior	ADJ	N;MASC;SG
graham	graham	graham	grahar	PROPN;SG	N;MASC;SG
prove	prove	prove	provar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
stanley	stanley	stanley	stanley	PROPN;SG	N;MASC;SG
lemmon	lemmon	lemmon	lemmon	PROPN;SG	N;MASC;SG
thompson	thompson	thompson	thompson	PROPN;SG	N;MASC;SG
disc	disc	disc	disc	PROPN;SG	N;MASC;SG
disc	disco	disc	disco	PROPN;SG	N;MASC;SG
minimum	mínimos	minimum	mínimo	N;SG	N;MASC;PL
goods	mercadoria	goods	mercadoria	N;PL	N;FEM;SG
alfred	alfredo	alfred	alfredo	PROPN;SG	N;MASC;SG
alfred	alfred	alfred	alfred	PROPN;SG	N;MASC;SG
operator	operadores	operator	operador	N;SG	N;MASC;PL
finishing	finalizando	finish	finalizar	N;SG	V;V.MSDR
finishing	terminando	finish	terminar	N;SG	V;V.MSDR
finishing	acabamentos	finish	acabamento	N;SG	N;MASC;PL
fred	fred	fred	fred	PROPN;SG	N;MASC;SG
identify	identifique	identify	identifiqar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
identify	identifica	identify	identificar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
ann	ann	ann	ann	PROPN;SG	PROPN;FEM;SG
campbell	campbell	campbell	campbell	PROPN;SG	N;MASC;SG
portland	portland	portland	portland	PROPN;SG	N;MASC;SG
releases	libera	release	liberar	N;PL	V;IND;SG;3;PRS;FIN
explanation	explicações	explanation	explicação	N;SG	N;FEM;PL
threat	ameaças	threat	ameaça	N;SG	N;FEM;PL
crossing	cruzando	crossing	cruzar	N;SG	V;V.MSDR
slow	slow	slow	slow	ADJ	N;MASC;SG
slow	devagar	slow	devagar	ADJ	ADV
wayne	wayne	wayne	wayne	PROPN;SG	N;MASC;SG
disney	disney	disney	disney	PROPN;SG	N;FEM;SG
wright	wright	wright	wright	PROPN;SG	N;MASC;SG
residential	residencial	residential	residencial	ADJ	N;MASC;SG
residential	residenciais	residential	residencial	ADJ	N;MASC;PL
associate	associada	associate	associar	N;SG	V;FEM;SG;V.PTCP
