und	और	und	और	CONJ	
garten	गार्डन	garten	गार्डन	V;NFIN	N;NOM;MASC;SG;3
weisen	बुद्धिमानी	weisen	बुद्धिमानी	V;NFIN	N;NOM;FEM;SG;3
weisen	हिकमत	weisen	हिकमत	V;NFIN	N;NOM;FEM;SG;3
weisen	ऋषि	weisen	ऋषि	V;NFIN	PROPN;NOM;MASC;SG;3
auftritt	फिरकी	auftreten	फिरकी	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG;3
auftritt	टमटम	auftreten	टमटम	V;IND;SG;3;PRS;FIN	
auftritt	गिग	auftreten	गिग	V;IND;SG;3;PRS;FIN	
auftritt	प्रकटन	auftreten	प्रकटन	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
auftritt	रूप	auftreten	रूप	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
oberhalb	अरदास	oberhalb	अरदास	ADV	
evangelisch	धर्मान्तरण	evangelisch	धर्मांतरण	ADJ	N;NOM;MASC;SG;3
evangelisch	लूथरन	evangelisch	लूथरन	ADJ	PROPN;NOM;MASC;SG;3
evangelisch	प्रोटोस्टेंट	evangelisch	प्रोटोस्टेंट	ADJ	N;NOM;MASC;SG;3
thüringen	thüringen	thüringen	ीओओआओआू	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG;3
tonnen	टन	tonnen	टन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
tonnen	टन	tonnen	टन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
tonnen	टन	tonnen	टन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
afrika	afrika	afrika	afrika	PROPN;NOM;MASC;SG	
afrika	अफ़्रीका	afrika	अफेरीका	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
afrika	अफ्रीका	afrika	अफ्रीका	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
afrika	अफ़्रीकी	afrika	अफ़्रीकी	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
wagner	वेगनर	wagner	वेगनर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
bedingungen	शर्तों	bedingung	शर्त	V;NFIN	N;ACC;FEM;PL;3
bedingungen	शर्तो	bedingung	शर्त	V;NFIN	N;ACC;FEM;PL;3
bedingungen	शर्तें	bedingung	शर्त	V;NFIN	N;NOM;FEM;PL;3
bedingungen	शर्तों	bedingung	शर्त	V;NFIN	N;ACC;FEM;PL;3
bedingungen	शर्तें	bedingung	शर्त	V;NFIN	N;NOM;FEM;PL;3
niederlande	नीदरलैंड	niederlinde	नीदरलैंड	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niederlande	नीदरलैंड्स	niederlinde	नीदरलैंड्स	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niederlande	हॉलैंड	niederlinde	हॉलैंड	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
höhere	उच्चतर	hoch	उच्चतर	ADJ;NOM;FEM;PL	
hafen	तट	hafen	तट		N;NOM;MASC;SG;3
hafen	हार्बर	hafen	हार्बर		PROPN;NOM;MASC;SG;3
hafen	पोर्ट	hafen	पोर्ट		N;NOM;MASC;SG;3
hafen	बंदरगाह	hafen	बंदरगाह		N;NOM;MASC;SG;3
hafen	बंदरगाहों	hafen	बंदरगाह		N;ACC;MASC;PL;3
hafen	पोर्ट	hafen	पोर्ट		N;NOM;MASC;SG;3
ermöglicht	सक्षम	ermöglichen	सक्षम	V;V.PTCP	ADJ
ermöglicht	सक्रिय	ermöglichen	सक्रिय	V;V.PTCP	ADJ
verbindungen	कनेक्शन	verbindung	कनेक्शन	V;NFIN	N;NOM;MASC;SG;3
verbindungen	कनेक्शन्स	verbindung	कनेक्शन्स	V;NFIN	N;NOM;MASC;PL;3
verbindungen	कनेक्टिविटी	verbindung	कनेक्टिविटी	V;NFIN	N;NOM;FEM;SG;3
verbindungen	लिंक	verbindung	लिंक	V;NFIN	N;NOM;MASC;SG;3
verbindungen	लिंक्स	verbindung	लिंक्स	V;NFIN	N;NOM;FEM;SG;3
verbindungen	कड़ियाँ	verbindung	कड़ी	V;NFIN	N;NOM;FEM;PL;3
verbindungen	कड़ी	verbindung	कडा	V;NFIN	ADJ;NOM;FEM;SG
verbindungen	यौगिकों	verbindung	यौगिक	V;NFIN	N;ACC;MASC;PL;3
kontrolle	नियंत्रण	kontroll	नियंत्रण	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
kontrolle	कंट्रोल	kontroll	कंट्रोल	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
kontrolle	निगरानी	kontroll	निगरानी	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
kontrolle	निरीक्षण	kontroll	निरीक्षण	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
kontrolle	नियंत्रक	kontroll	नियंत्रक	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
kontrolle	नियंत्रण	kontroll	नियंत्रण	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
kontrolle	पर्यवेक्षण	kontroll	पर्यवेक्षण	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
emil	एमिल	emil	एमिल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
schwerpunkt	जोर	schwerpunkt	जोर	ADJ	N;NOM;MASC;SG;3
schwerpunkt	फोकस	schwerpunkt	फोकस	ADJ	
schwerpunkt	फ़ोकस	schwerpunkt	फाओकस	ADJ	N;NOM;MASC;SG;3
schwerpunkt	धुरी	schwerpunkt	धुरी	ADJ	N;NOM;FEM;SG;3
schwerpunkt	अक्ष	schwerpunkt	अक्ष	ADJ	N;NOM;MASC;SG;3
reiches	रिच	reich	रिच	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
reiches	अमीर	reich	अमीर	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
reiches	समृद्ध	reich	समृद्ध	ADJ;NOM;NEUT;SG	ADP
gern	शौकीन	gern	शौकीन		N;NOM;MASC;SG;3
langsam	धीमे	langsam	धीमा	ADJ	V;MASC;SG;FIN;ACT
langsam	धीमा	langsam	धीमा	ADJ	N;NOM;MASC;SG;3
langsam	स्लो	langsam	स्लो	ADJ	
langsam	मन्द	langsam	मन्द	ADJ	
langsam	slow	langsam	slow	ADJ	
langsam	धीमे	langsam	धीमा	ADJ	V;MASC;SG;FIN;ACT
langsam	धीरे	langsam	धीरे	ADJ	ADV
norwegen	ओस्लो	norwegen	ओस्लो	PROPN	PROPN;NOM;MASC;SG;3
norwegen	नॉर्वे	norwegen	नॉर्वे	PROPN	PROPN;NOM;MASC;SG;3
norwegen	नार्वे	norwegen	नार्वे	PROPN	PROPN;NOM;MASC;SG;3
angeblich	माना	angeblich	मान	ADJ	V;PFV;MASC;SG;V.PTCP;ACT
sebastian	सेबेस्टियन	sebastian	सेबेस्टियन	PROPN;NOM;SG	N;NOM;MASC;SG;3
initiative	पहल	initiativ	पहल	N;NOM;FEM;SG	
maßnahmen	क्रिया	maßnahmen	क्रिया	V;NFIN	N;NOM;FEM;SG;3
maßnahmen	एक्शन	maßnahmen	एक्शन	V;NFIN	N;NOM;MASC;SG;3
maßnahmen	कार्रवाई	maßnahmen	कार्रवाई	V;NFIN	N;NOM;FEM;SG;3
maßnahmen	उपाय	maßnahmen	उपाय	V;NFIN	N;NOM;MASC;PL;3
maßnahmen	उपायों	maßnahmen	उपाय	V;NFIN	N;ACC;MASC;PL;3
maßnahmen	क्रिया	maßnahmen	क्रिया	V;NFIN	N;NOM;FEM;SG;3
maßnahmen	कार्रवाइयों	maßnahmen	कार्रवाई	V;NFIN	N;ACC;FEM;PL;3
maßnahmen	कार्रवाइयाँ	maßnahmen	कार्रवाई	V;NFIN	N;NOM;FEM;PL;3
maßnahmen	क्रियाएँ	maßnahmen	क्रिया	V;NFIN	N;NOM;FEM;PL;3
aktivitäten	उपक्रम	aktivität	उपक्रम	V;NFIN	N;NOM;MASC;SG;3
aktivitäten	गतिविधियाँ	aktivität	गतिविधि	V;NFIN	N;NOM;FEM;PL;3
aktivitäten	क्रियाएँ	aktivität	क्रिया	V;NFIN	N;NOM;FEM;PL;3
aktivitäten	क्रिया	aktivität	क्रिया	V;NFIN	N;NOM;FEM;SG;3
aktivitäten	गतिविधि	aktivität	गतिविधि	V;NFIN	N;NOM;FEM;SG;3
aktivitäten	सक्रियता	aktivität	सक्रियता	V;NFIN	N;NOM;FEM;SG;3
aktivitäten	क्रियाएँ	aktivität	क्रिया	V;NFIN	N;NOM;FEM;PL;3
aktivitäten	कार्यकलाप	aktivität	कार्यकलाप	V;NFIN	N;NOM;MASC;SG;3
oscar	ऑस्कर	oscar	ऑस्कर	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
medaille	मैडल	medaill	मैडल	N;NOM;FEM;SG	
chef	शेफ़	chef	शेफ़	N;NOM;MASC;SG	
chef	मुख्य	chef	मुख्य	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
chef	boss	chef	boss	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
großteil	बल्क	großteil	बल्क	ADV	
dritter	तृतीय	dritt	तृतीय	ADJ	PROPN;NOM;MASC;SG;3
freiheit	आज़ादी	freiheit	आज़ादी		N;NOM;FEM;SG;3
freiheit	आजादी	freiheit	आजादी		N;NOM;FEM;SG;3
freiheit	स्वतंत्रता	freiheit	स्वतन्त्रता		N;NOM;FEM;SG;3
freiheit	लिबर्टी	freiheit	लिबर्टी		PROPN;NOM;MASC;SG;3
freiheit	स्वाधीनता	freiheit	स्वाधीनता		N;NOM;FEM;SG;3
freiheit	स्वतंत्रता	freiheit	स्वतन्त्रता		N;NOM;FEM;SG;3
sicherlich	कतई	sicherlich	कतई	ADV	
sicherlich	पक्का	sicherlich	पक्का	ADV	V;PFV;MASC;SG;V.PTCP;ACT
sicherlich	ज़रूर	sicherlich	जारूर	ADV	CONJ
sicherlich	निश्चित	sicherlich	निश्चित	ADV	ADJ;NOM
sicherlich	यकीनन	sicherlich	यकीनन	ADV	
sicherlich	बेशक	sicherlich	बेशक	ADV	CONJ
route	मार्ग	rouen	मार्ग	PROPN;NOM;SG	N;NOM;MASC;SG;3
route	रूट	rouen	रूट	PROPN;NOM;SG	N;NOM;MASC;SG;3
doppel	युगल	doppel	युगल		PROPN;NOM;MASC;SG;3
doppel	दोहरा	doppel	दोहरा		ADJ;NOM;MASC;SG
doppel	डुअल	doppel	डुअल		PROPN;NOM;MASC;SG;3
doppel	दोहरा	doppel	दोहरा		ADJ;NOM;MASC;SG
doppel	दोगुना	doppel	दोगुना		NUM
baron	सामन्त	baron	सामन्त	PROPN	N;NOM;MASC;SG;3
verschieben	शिफ्ट	verscheiben	शिफ्ट	V;NFIN	N;NOM;MASC;SG;3
verschieben	शिफ़्ट	verscheiben	शिफ़्ट	V;NFIN	
verschieben	चाल	verscheiben	चाल	V;NFIN	N;NOM;FEM;SG;3
verschieben	मूव	verscheiben	मूव	V;NFIN	
projekte	परियोजना	projekt	परियोजना	ADJ;NOM;PL	N;NOM;FEM;SG;3
projekte	प्रोजेक्ट	projekt	प्रोजेक्ट	ADJ;NOM;PL	N;NOM;MASC;SG;3
projekte	परियोजनाएँ	projekt	परियोजना	ADJ;NOM;PL	N;NOM;FEM;PL;3
projekte	परियोजनाएं	projekt	परियोजना	ADJ;NOM;PL	N;NOM;FEM;PL;3
projekte	प्रोजेक्ट	projekt	प्रोजेक्ट	ADJ;NOM;PL	N;NOM;MASC;SG;3
felix	फेलिक्स	felix	फेलिक्स	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
kamera	कैमरा	kamera	कैमरा	PROPN	N;NOM;MASC;SG;3
kamera	कैम	kamera	कैम	PROPN	
priester	पुजारी	priest	पुजारी	ADJ	N;NOM;MASC;SG;3
priester	पुजारियों	priest	पुजारी	ADJ	N;ACC;MASC;PL;3
charakter	कैरेक्टर	charakter	कैरेक्टर	ADJ	N;NOM;MASC;SG;3
charakter	वर्ण	charakter	वर्ण	ADJ	N;NOM;MASC;SG;3
charakter	अक्षर	charakter	अक्षर	ADJ	N;NOM;MASC;SG;3
erklärte	घोषित	erklären	घोषित	V;IND;SG;3;PST;FIN	ADJ
big	बड़े	bigen	बडा		ADJ;NOM;MASC;PL
big	बड़ा	bigen	बड़ा		ADJ;NOM;MASC;SG
big	बड़ी	bigen	बडा		ADJ;NOM;FEM;SG
street	सड़क	streen	सड़क	PROPN	N;NOM;FEM;SG;3
street	गली	streen	गली	PROPN	N;NOM;FEM;SG;3
ausgeführt	performed	ausführen	performed	V;V.PTCP	
charts	चार्ट	charts	चार्ट	ADV	N;NOM;MASC;SG;3
organisationen	संगठन	organisation	संगठन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
organisationen	संगठनों	organisation	संगठन	N;NOM;FEM;PL	N;ACC;MASC;PL;3
ziehen	खींचो	ziehen	खींचो	V;NFIN	
ziehen	चित्रण	ziehen	चित्रण	V;NFIN	N;NOM;MASC;SG;3
fahrer	चालक	fahrer	चालक	ADJ	N;NOM;MASC;SG;3
fahrer	ड्राइवर	fahrer	ड्राइवर	ADJ	N;NOM;MASC;SG;3
fahrer	ड्राईवर	fahrer	ड्राईवर	ADJ	N;NOM;MASC;SG;3
fahrer	ड्राइवर	fahrer	ड्राइवर	ADJ	N;NOM;MASC;SG;3
fahrer	राइडर	fahrer	राइडर	ADJ	N;NOM;MASC;SG;3
fahrer	राइडर्स	fahrer	राइडर	ADJ	N;NOM;MASC;PL;3
magdeburg	मागदेबुर्ग	magdeburg	मागदेबुर्ग	PROPN	N;NOM;MASC;SG;3
lagen	परतें	liegen	परत	V;IND;PL;3;PST;FIN	N;NOM;FEM;PL;3
lagen	लेयर	liegen	लेयर	V;IND;PL;3;PST;FIN	N;NOM;MASC;SG;3
lagen	परतों	liegen	परत	V;IND;PL;3;PST;FIN	N;ACC;FEM;PL;3
kommentar	comment	kommentar	comment	ADJ	
kommentar	टिप्पणी	kommentar	टिप्पणी	ADJ	N;NOM;FEM;SG;3
kommentar	टिप्पणियां	kommentar	टिप्पणी	ADJ	N;NOM;FEM;PL;3
kommentar	टिप्पणियाँ	kommentar	टिप्पणी	ADJ	N;NOM;FEM;PL;3
kommentar	टिप्पणी	kommentar	टिप्पणी	ADJ	N;NOM;FEM;SG;3
bieten	ऑफर	bieten	ऑफर	V;NFIN	N;NOM;MASC;SG;3
bieten	प्रस्ताव	bieten	प्रस्ताव	V;NFIN	N;NOM;MASC;SG;3
küste	coasts	küsen	coasts	ADJ	
küste	तटरेखा	küsen	तटरेखा	ADJ	N;NOM;MASC;SG;3
wege	पथ	wege	पथ		N;NOM;MASC;SG;3
wege	राहें	wege	राह		N;NOM;FEM;PL;3
wege	तरीके	wege	तरीका		N;NOM;MASC;PL;3
debüt	डेब्यू	debüt	डेब्यू	V;SG;FIN	N;NOM;MASC;SG;3
eindruck	छाप	eindruck	छाप	ADV	N;NOM;FEM;SG;3
gedichte	कविताओं	gedicht	कविता	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
gedichte	कविता	gedicht	कविता	N;NOM;NEUT;PL	PROPN;NOM;FEM;SG;3
gedichte	शायरी	gedicht	शायरी	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
gedichte	काव्य	gedicht	काव्य	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
produkte	उत्पाद	produkt	उत्पाद	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
produkte	उत्पाद	produkt	उत्पाद	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
besitzer	स्वामी	besitzer	स्वामी	ADJ	PROPN;NOM;MASC;SG;3
besitzer	मालिक	besitzer	मालिक	ADJ	N;NOM;MASC;SG;3
besitzer	मालिकों	besitzer	मालिक	ADJ	N;ACC;MASC;PL;3
besitzer	स्वामी	besitzer	स्वामी	ADJ	PROPN;NOM;MASC;SG;3
besitzer	होल्डर	besitzer	होल्डर	ADJ	N;NOM;MASC;SG;3
besitzer	मालिक	besitzer	मालिक	ADJ	N;NOM;MASC;SG;3
möglichkeiten	संभावनाओं	möglichkeiten	संभावना	V;NFIN	N;ACC;FEM;PL;3
möglichkeiten	फंक्शन्स	möglichkeiten	फंक्शन्स	V;NFIN	N;NOM;MASC;PL;3
möglichkeiten	विकल्प	möglichkeiten	विकल्प	V;NFIN	N;NOM;MASC;SG;3
möglichkeiten	अवसर	möglichkeiten	अवसर	V;NFIN	N;NOM;MASC;SG;3
donau	डेन्यूब	donau	डेन्यूब	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
mission	मिशन	mission	मिशन		N;NOM;MASC;SG;3
amtszeit	कार्यकाल	amtszeit	कार्यकाल	ADJ	N;NOM;MASC;SG;3
spanischer	स्पैनिश	spanisch	स्पैनिश	ADJ	PROPN;NOM;MASC;SG;3
spanischer	स्पेनिश	spanisch	स्पेनिश	ADJ	PROPN;NOM;MASC;SG;3
spanischer	स्पेनी	spanisch	स्पेनी	ADJ	PROPN;NOM;MASC;SG;3
gegend	पड़ोस	gegend	पड़ोस	ADV	N;NOM;MASC;SG;3
kombination	संयोजित	kombination	संयोजित	N;SG	PROPN;NOM;SG;3
kombination	संयुक्त	kombination	संयुक्त	N;SG	PROPN;NOM;MASC;SG;3
kombination	संयोजन	kombination	संयोजन	N;SG	
first	प्रथम	fersen	प्रथम	PROPN	ADJ
first	पहली	fersen	पहला	PROPN	ADJ;NOM;FEM;SG
first	पहले	fersen	पहले	PROPN	ADV;NOM;MASC;SG;3
first	पहला	fersen	पहला	PROPN	ADJ;NOM;MASC;SG
prinz	राजकुमार	prinz	राजकुमार	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
prinz	प्रिन्स	prinz	प्रिन्स	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
prinz	प्रिंस	prinz	प्रिंस	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
endgültig	फ़ाइनल	endgültig	फ़ाइनल	ADJ	PROPN;NOM;MASC;SG;3
endgültig	फाइनल	endgültig	फाइनल	ADJ	N;NOM;MASC;SG;3
endgültig	निर्णायक	endgültig	निर्णायक	ADJ	N;NOM;MASC;SG;3
juan	जुआन	juan	जुआन	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
künste	कला	künsen	कला	N;PL	N;NOM;FEM;SG;3
versuche	कोशिशें	versuchen	कोशिश	N;NOM;SG	N;NOM;FEM;PL;3
ortschaften	स्थान	ortschaften	स्थान	ADJ	N;NOM;MASC;SG;3
ortschaften	रिसॉर्ट्स	ortschaften	रिसॉर्ट्स	ADJ	N;NOM;MASC;PL;3
ortschaften	रिसॉर्ट	ortschaften	रिसॉर्ट	ADJ	N;NOM;MASC;SG;3
ortschaften	गावों	ortschaften	गाव	ADJ	N;ACC;MASC;PL;3
ortschaften	गांवों	ortschaften	गांव	ADJ	N;NOM;MASC;PL;3
ortschaften	अवस्थिति	ortschaften	अवस्थिति	ADJ	N;NOM;FEM;SG;3
ortschaften	स्थान	ortschaften	स्थान	ADJ	N;NOM;MASC;SG;3
ortschaften	स्थितियाँ	ortschaften	स्थिति	ADJ	N;NOM;FEM;PL;3
ortschaften	बस्तियों	ortschaften	बस्ति	ADJ	N;ACC;FEM;PL;3
ortschaften	कस्बों	ortschaften	कस्बा	ADJ	N;ACC;MASC;PL;3
alternative	विकल्प	alternativ	विकल्प	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
infrastruktur	अवसंरचना	infrastruktur	अवसंरचना	ADJ	N;NOM;FEM;SG;3
praktisch	वस्तुतः	praktisch	वस्तुतः	ADJ	ADV
praktisch	सुलभ	praktisch	सुलभ	ADJ	
jacques	ज़ाक	jacques	ज़ाक	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
biografie	जीवनी	biografie	जीवनी		PROPN;NOM;FEM;SG;3
gründe	कारणों	gründen	कारण		N;ACC;MASC;PL;3
gründe	कारण	gründen	कारण		N;NOM;MASC;SG;3
gründe	ध्येय	gründen	ध्येय		N;NOM;MASC;SG;3
gründe	कारण	gründen	कारण		N;NOM;MASC;SG;3
gründe	कल्याणकारी	gründen	कल्याणकारी		N;NOM;MASC;SG;3
gründe	युक्तिसंगत	gründen	युक्तिसंगत		ADV
junioren	जूनियर	junior	जूनियर	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
antike	पुरातन	antik	पुरातन	ADJ;NOM;FEM;SG	
antike	अगलों	antik	अगल	ADJ;NOM;FEM;SG	N;ACC;MASC;PL;3
antike	प्राचीनता	antik	प्राचीनता	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
behandlung	चिकित्सकों	behandlung	चिकित्सक		N;ACC;MASC;PL;3
behandlung	चिकित्सक	behandlung	चिकित्सक		N;NOM;MASC;SG;3
behandlung	चिकित्सा	behandlung	चिकित्सा		N;NOM;FEM;SG;3
behandlung	इलाज	behandlung	इलाज		N;NOM;MASC;SG;3
behandlung	उपचार	behandlung	उपचार		N;NOM;MASC;SG;3
behandlung	उपचार	behandlung	उपचार		N;NOM;MASC;SG;3
verändert	परिवर्तित	verändern	परिवर्तित	V;V.PTCP	ADJ
verändert	परिवर्तित	verändern	परिवर्तित	V;V.PTCP	ADJ
verändert	संशोधित	verändern	संशोधित	V;V.PTCP	ADJ
verändert	परिवर्धित	verändern	परिवर्धित	V;V.PTCP	PROPN;NOM;SG;3
unterscheidet	फर्क	unterscheiden	फर्क	V;IND;SG;3;PRS;FIN	
unterscheidet	differentiates	unterscheiden	differentiates	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;PL;V.PTCP
pokal	कप	pokal	कप	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
meisterschaften	चैम्पियनशिप	meisterschaften	चैम्पियनशिप	V;NFIN	N;NOM;FEM;SG;3
meisterschaften	चैंपियनशिप	meisterschaften	चैंपियनशिप	V;NFIN	N;NOM;FEM;SG;3
eng	इंग्लैंड	eng	इंग्लैंड	ADJ	PROPN;NOM;MASC;SG;3
eng	eng	eng	eng	ADJ	PROPN;NOM;MASC;SG;3
eng	टाइट	eng	टाइट	ADJ	
eng	कस	eng	कस	ADJ	V;ACT
eng	तंग	eng	तंग	ADJ	
eng	संकीर्ण	eng	संकीर्ण	ADJ	
eng	तंग	eng	तंग	ADJ	
jack	जैक	jack	जैक	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
jack	जोकर	jack	जोकर	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
handeln	अभिनय	handeln	अभिनय	V;NFIN	N;NOM;MASC;SG;3
handeln	एक्टिंग	handeln	एक्टिंग	V;NFIN	N;NOM;FEM;SG;3
handeln	एक्ट	handeln	एक्ट	V;NFIN	N;NOM;MASC;SG;3
handeln	अधिनियम	handeln	अधिनियम	V;NFIN	N;NOM;MASC;SG;3
mary	मैरी	mary	मैरी	PROPN;NOM;SG	PROPN;NOM;FEM;SG;3
mary	मरियम	mary	मरियम	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
nikolaus	निकोलस	nikolaus	निकोलस	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
beteiligten	शामिल	beteiligt	शामिल	V;IND;PL;3;PST;FIN	ADJ
beteiligten	हितधारकों	beteiligt	हितधारक	V;IND;PL;3;PST;FIN	N;ACC;MASC;PL;3
freunde	मित्रो	freund	मित्रो	N;NOM;PL	PROPN;NOM;MASC;SG;3
freunde	दोस्तो	freund	दोस्तो	N;NOM;PL	
freunde	मित्र	freund	मित्र	N;NOM;PL	N;NOM;MASC;SG;3
freunde	दोस्तों	freund	दोस्त	N;NOM;PL	N;ACC;MASC;PL;3
freunde	मित्रों	freund	मित्र	N;NOM;PL	N;ACC;MASC;PL;3
freunde	मित्र	freund	मित्र	N;NOM;PL	N;NOM;MASC;SG;3
freunde	दोस्त	freund	दोस्त	N;NOM;PL	N;NOM;MASC;SG;3
freunde	dost	freund	dost	N;NOM;PL	
frieden	युद्धविराम	frieden	युद्धविराम		PROPN;NOM;MASC;SG;3
frieden	शांति	frieden	शान्ति		N;NOM;FEM;SG;3
bereichen	सीमाएँ	bereichen	सीमा	V;NFIN	N;NOM;FEM;PL;3
bereichen	फ़ील्ड्स	bereichen	फ़ील्ड्स	V;NFIN	N;NOM;MASC;PL;3
bereichen	फील्ड्स	bereichen	फील्ड्स	V;NFIN	N;NOM;MASC;SG;3
bereichen	फ़ील्ड	bereichen	फ़ील्ड	V;NFIN	N;NOM;MASC;SG;3
bereichen	एटलस	bereichen	एटलस	V;NFIN	
bereichen	क्षेत्र	bereichen	क्षेत्र	V;NFIN	N;NOM;MASC;SG;3
bereichen	क्षेत्रों	bereichen	क्षेत्र	V;NFIN	N;ACC;MASC;PL;3
herz	हृदय	herz	हृदय		N;NOM;MASC;SG;3
herz	हृदय	herz	हृदय		N;NOM;MASC;SG;3
herz	ह्रदय	herz	ह्रदय		N;NOM;MASC;SG;3
herz	दिल	herz	दिल		N;NOM;MASC;SG;3
herz	दिलों	herz	दिल		N;ACC;MASC;PL;3
herz	दिल	herz	दिल		N;NOM;MASC;SG;3
handlung	synopsis	handlung	synopsis		N;NOM;MASC;SG;3
handlung	सारांश	handlung	सारांश		PROPN;NOM;MASC;SG;3
handlung	कथानक	handlung	कथानक		N;NOM;MASC;SG;3
biographie	जीवनी	biographie	जीवनी		PROPN;NOM;FEM;SG;3
eröffnung	उदघाटन	Eröffnung	उदघाटन		N;NOM;MASC;SG;3
eröffnung	उद्घाटन	Eröffnung	उद्घाटन		N;NOM;MASC;SG;3
eröffnung	ओपनिंग	Eröffnung	ओपनिंग		N;NOM;FEM;SG;3
eröffnung	खोलने	Eröffnung	खोल		V;NFIN;ACT
ägypten	इजिप्ट	ägypten	इजिप्ट	PROPN;NOM	
ägypten	मिस्त्र	ägypten	मिस्त्र	PROPN;NOM	
ägypten	मिस्र	ägypten	मिस्र	PROPN;NOM	PROPN;NOM;MASC;SG;3
ägypten	मिश्र	ägypten	मिश्र	PROPN;NOM	PROPN;NOM;SG;3
ägypten	कैरो	ägypten	कैरो	PROPN;NOM	
ägypten	काहिरा	ägypten	काहिरा	PROPN;NOM	PROPN;NOM;MASC;SG;3
ägypten	कायरो	ägypten	कायरो	PROPN;NOM	
ägypten	एलेक्जेंड्रिया	ägypten	एलेक्जेंड्रिया	PROPN;NOM	N;NOM;MASC;SG;3
ägypten	मिस्र	ägypten	मिस्र	PROPN;NOM	PROPN;NOM;MASC;SG;3
ägypten	मिस्री	ägypten	मिस्री	PROPN;NOM	
ägypten	मिश्र	ägypten	मिश्र	PROPN;NOM	PROPN;NOM;SG;3
größer	वृहद	groß	वृहद	ADJ	
größer	बडे	groß	बडा	ADJ	V;MASC;SG;3;V.PTCP;ACT
mittlere	मतलब	mittler	मतलब	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
mittlere	औसत	mittler	औसत	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
mittlere	इंटरमीडिएट	mittler	इंटरमीडिएट	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
mittlere	मध्यम	mittler	मध्यम	ADJ;NOM;FEM;PL	
mittlere	माध्यम	mittler	माध्यम	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
mittlere	मीडियम	mittler	मीडियम	ADJ;NOM;FEM;PL	
mittlere	मध्य	mittler	मध्य	ADJ;NOM;FEM;PL	
mittlere	मध्य	mittler	मध्य	ADJ;NOM;FEM;PL	
studio	स्टूडियो	studio	स्टूडियो	PROPN;NOM;SG	N;NOM;MASC;SG;3
studio	स्टुडियो	studio	स्टुडियो	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
