yang	יאנג	yang	אנג	PRO	PROPN
siap	מוכנים	siap	מוכן	ADJ;SG	ADJ;MASC;PL
diumumkan	הודיעה	diumumkan	הודיע	V;SG;PASS	V;FEM;SG;3;PST;ACT
diumumkan	הודיע	diumumkan	הודיע	V;SG;PASS	V;MASC;SG;3;PST;ACT
asian	אסייתית	asian	אסייתי	PROPN	ADV
asian	אסייתי	asian	אסייתי	PROPN	PROPN
asian	אסיאתית	asian	אסיאתי	PROPN	PROPN
asian	אסיה	asian	אסיה	PROPN	PROPN
asian	אסיאתי	asian	אסיאתי	PROPN	PROPN
menyelenggarakan	מארח	menselenggarakan	מרח	V;SG;ACT	PROPN
menyelenggarakan	אירוח	menselenggarakan	אירוח	V;SG;ACT	N;MASC;SG
menyelenggarakan	מארחים	menselenggarakan	מארח	V;SG;ACT	N;MASC;PL
setia	נאמן	setia	נאמן	PROPN;SG	PROPN
setia	נאמנים	setia	נאמן	PROPN;SG	N;MASC;PL
setia	נאמנה	setia	נאמן	PROPN;SG	ADJ;FEM;SG
setia	נאמן	setia	נאמן	PROPN;SG	PROPN
setia	נאמנים	setia	נאמן	PROPN;SG	N;MASC;PL
setia	נאמנה	setia	נאמן	PROPN;SG	ADJ;FEM;SG
penyerang	התוקף	penserang	התוקף	N;SG	V;MASC;SG;3;PST
penyerang	תוקפים	penserang	תוקף	N;SG	N;MASC;PL
penyerang	התוקפים	penserang	התוקף	N;SG	N;MASC;PL
penyerang	תוקפים	penserang	תוקף	N;SG	N;MASC;PL
buat	צור	buat	צור		PROPN
buat	ליצור	buat	יצר		V;NFIN;ACT
little	קטן	little	קטן	PROPN	ADJ;MASC;SG
little	קטנה	little	קטן	PROPN	ADJ;FEM;SG
little	ליטל	little	ניטל	PROPN	PROPN
dipanggil	נקרא	dipanggil	נקרא	V;SG;PASS	V;MASC;SG;3;PST;MID
dipanggil	זימן	dipanggil	זימן	V;SG;PASS	PROPN
after	אחרי	after	אחרי	PROPN	ADP
after	לאחר	after	לאחר	PROPN	ADP
kolonial	הקולוניאלי	kolonial	הקולוניאלי	ADJ;SG	N
blog	בלוג	blog	בלוג	N;SG	
blog	בלוגים	blog	בלוג	N;SG	N;MASC;PL
berpartisipasi	משתתפים	berpartisipasi	השתתף	V;SG;ACT	V;MASC;PL;V.PTCP
berpartisipasi	השתתפו	berpartisipasi	השתתף	V;SG;ACT	V;PL;3;PST
aman	כספת	aman	כסף	ADJ;SG	PROPN
aman	בטוחים	aman	בטוח	ADJ;SG	V;V.PTCP
aman	בטוח	aman	None	ADJ;SG	
aman	מאובטחת	aman	מאובטח	ADJ;SG	V;FEM;SG;V.PTCP;PASS
aman	מאובטח	aman	מאובטח	ADJ;SG	V;MASC;SG;V.PTCP;PASS
aman	אמאן	aman	אמאן	ADJ;SG	PROPN
juan	חואן	juan	חואן	PROPN	PROPN
daud	דויד	daud	דויד		PROPN
daud	דיוויד	daud	דיוויד		PROPN
daud	דיויד	daud	דיויד		PROPN
daud	דייוויד	daud	דייוויד		PROPN
daud	דוד	daud	דוד		PROPN
daud	דייויד	daud	דייויד		PROPN
pilot	טייסים	pilot	טייס	N;SG	N;MASC;PL
pilot	פיילוט	pilot	פיילוט	N;SG	PROPN
keuskupan	האפיסקופלית	keuskupan	האפיסקופלית	N;SG	PROPN
keuskupan	הדיוקסיה	keuskupan	הדיוקסיה	N;SG	PROPN
used	משומש	used	משומש	PROPN	V;MASC;SG;V.PTCP;PASS
used	בשימוש	used	בשימוש	PROPN	PROPN
blank	בלאנק	blank	בלאנק	PROPN	PROPN
profesor	פרופסורים	profesor	פרופסור	N;SG	N;MASC;PL
gangguan	הפרעות	gangguan	הפרעה	N;SG	N;FEM;PL
diduga	צפוי	diduga	צפוי	ADP;SG;PASS	ADJ;MASC;SG
diduga	ציפיתי	diduga	ציפה	ADP;SG;PASS	V;SG;1;PST;ACT
diduga	צפויה	diduga	צפוי	ADP;SG;PASS	ADJ;FEM;SG
diduga	ציפה	diduga	ציפה	ADP;SG;PASS	PROPN
diduga	חשד	diduga	חשד	ADP;SG;PASS	N;MASC;SG
diduga	לכאורה	diduga	לכאורה	ADP;SG;PASS	ADV
diduga	כביכול	diduga	כביכול	ADP;SG;PASS	
land	אדמה	land	אדמה	PROPN	N;FEM;SG
land	ארץ	land	ארץ	PROPN	N;FEM;SG
land	קרקע	land	קרקע	PROPN	N;FEM;SG
lumpur	בוץ	lumpur	בוץ	N;SG	PROPN
lumpur	הבוץ	lumpur	הבוץ	N;SG	
lumpur	סחף	lumpur	סחף	N;SG	
mary	מרי	mary	מרי	PROPN	PROPN
mary	מארי	mary	מארי	PROPN	PROPN
menyadari	הבין	mensadari	הבין	V;SG;ACT	ADV
menyadari	מודע	mensadari	מודע	V;SG;ACT	ADJ;MASC;SG
menyadari	מודעת	mensadari	מודעה	V;SG;ACT	ADJ;FEM;SG
keagamaan	דתיות	keagamaan	דתי	N;SG	ADJ;FEM;PL
keagamaan	דתיים	keagamaan	דתי	N;SG	N;MASC;PL
warisan	הירושה	warisan	הירושה	N;SG	
dikalahkan	תבוסה	dikalahkan	תבוסה	V;SG;PASS	N;FEM;SG
puteri	הנסיכה	puteri	הנסיכה	N	V;FEM;SG;3;PST;ACT
puteri	נסיכה	puteri	נסיכה	N	PROPN
biji	זרע	biji	זרע	N;SG	
biji	בלוטים	biji	בלוט	N;SG	N;MASC;PL
biji	גרעינים	biji	גרעין	N;SG	N;MASC;PL
biji	זרעים	biji	זרע	N;SG	N;MASC;PL
diharapkan	צפוי	diharapkan	צפוי	V;SG;PASS	ADJ;MASC;SG
diharapkan	ציפיתי	diharapkan	ציפה	V;SG;PASS	V;SG;1;PST;ACT
diharapkan	צפויה	diharapkan	צפוי	V;SG;PASS	ADJ;FEM;SG
diharapkan	ציפה	diharapkan	ציפה	V;SG;PASS	PROPN
menghabiskan	בילו	menhabiskan	בילו	V;SG;ACT	V;PL;3;PST;ACT
menghabiskan	הוצאה	menhabiskan	הוצאה	V;SG;ACT	N;FEM;SG
elizabeth	אליזבט	elizabeth	אליזבט	PROPN	PROPN
elizabeth	אליזבת	elizabeth	אליזבת	PROPN	PROPN
siang	הצהריים	siang	הצהריים	N;SG	N;MASC;DU
siang	בצהריים	siang	בצהריים	N;SG	N;MASC;DU
siang	צהרים	siang	צהריים	N;SG	N;MASC;PL
siang	צהריים	siang	צהריים	N;SG	N;MASC;PL
siang	day	siang	day	N;SG	
siang	צהריים	siang	צהריים	N;SG	N;MASC;PL
pictures	תמונות	pictures	תמונה	PROPN	N;FEM;PL
latihan	אימונים	latihan	אימון	N;SG	N;MASC;PL
latihan	להתאמן	latihan	התאמן	N;SG	V;NFIN
latihan	החזרות	latihan	החזרה	N;SG	N;FEM;PL
latihan	חזרה	latihan	None	N;SG	ADV
latihan	חזרות	latihan	חזרות	N;SG	N;FEM;PL
latihan	תרגילים	latihan	תרגיל	N;SG	N;MASC;PL
marah	כעס	marah	כעס	ADJ;SG	N;MASC;SG
marah	כעס	marah	כעס	ADJ;SG	N;MASC;SG
marah	כועסת	marah	כעס	ADJ;SG	V;FEM;SG;V.PTCP;ACT
marah	כועס	marah	כעס	ADJ;SG	V;MASC;SG;V.PTCP;ACT
marah	כועס	marah	כעס	ADJ;SG	V;MASC;SG;V.PTCP;ACT
marah	נסער	marah	נסער	ADJ;SG	V;MASC;SG;3;PST;MID
marah	כועסת	marah	כעס	ADJ;SG	V;FEM;SG;V.PTCP;ACT
marah	כועס	marah	כעס	ADJ;SG	V;MASC;SG;V.PTCP;ACT
marah	מזג	marah	מזג	ADJ;SG	N;MASC;SG
server	שרת	server	שרת	N;SG	PROPN
server	השרת	server	השרה	N;SG	PROPN
server	שרתים	server	שרתים	N;SG	N;MASC;PL
hiburan	שעשועים	hiburan	שעשוע	N;SG	N;MASC;PL
over	נגמר	over	נגמר	PROPN	V;MASC;SG;V.PTCP;MID
over	מעל	over	מעל	PROPN	ADP
bencana	אסונות	bencana	אסון	N;SG	N;MASC;PL
bencana	קטסטרופה	bencana	קטסטרופה	N;SG	PROPN
demokrat	דמוקרטית	demokrat	דמוקרטי	N;SG	ADV
demokrat	דמוקרטים	demokrat	דמוקרט	N;SG	N;MASC;PL
demokrat	הדמוקרטים	demokrat	הדמוקרט	N;SG	N;MASC;PL
girls	בנות	girls	בת	PROPN	N;FEM;PL
girls	נערות	girls	נערה	PROPN	N;FEM;PL
girls	ילדות	girls	ילד	PROPN	N;FEM;PL
mobile	נייד	mobile	נייד	PROPN	N;MASC;SG
mobile	לנייד	mobile	לנייד	PROPN	PROPN
lubang	חור	lubang	חור	N;SG	
lubang	גומה	lubang	גומה	N;SG	
lubang	חורים	lubang	חור	N;SG	N;MASC;PL
lubang	גומות	lubang	גומה	N;SG	N;FEM;PL
family	משפחה	family	משפחה	PROPN	N;FEM;SG
tidur	ישן	tidur	ישן	N;SG;ACT	PROPN
tidur	נרדם	tidur	נרדם	N;SG;ACT	V;MASC;SG;MID
tidur	שינה	tidur	שינה	N;SG;ACT	PROPN
tidur	תישן	tidur	תישן	N;SG;ACT	
tidur	לישון	tidur	לישון	N;SG;ACT	
tidur	ישנה	tidur	ישן	N;SG;ACT	ADJ;FEM;SG
tidur	ישנים	tidur	ישן	N;SG;ACT	ADJ;MASC;PL
tidur	ישן	tidur	ישן	N;SG;ACT	PROPN
tidur	שינה	tidur	שינה	N;SG;ACT	PROPN
pembantu	עוזרת	penbantu	עוזר	N;SG	ADJ;FEM;SG
pembantu	מסייע	penbantu	סייע	N;SG	V;MASC;SG;V.PTCP;ACT
pembantu	משרתת	penbantu	משרת	N;SG	ADJ;FEM;SG
samuel	סמואל	samuel	סמואל	PROPN	PROPN
samuel	שמואל	samuel	שמואל	PROPN	PROPN
ibrahim	איברהים	ibrahim	איברהים	PROPN;SG	PROPN
ibrahim	אברהם	ibrahim	אברהם	PROPN;SG	PROPN
brown	בראון	brown	בראון	PROPN	PROPN
brown	חומה	brown	חומה	PROPN	PROPN
brown	חומות	brown	חומה	PROPN	N;FEM;PL
brown	חום	brown	חום	PROPN	
tertarik	מתעניין	tertarik	התעניין	ADJ;SG	V;MASC;SG;V.PTCP
tertarik	מעוניינים	tertarik	מעוניין	ADJ;SG	ADJ;MASC;PL
tertarik	מעוניינת	tertarik	עונין	ADJ;SG	V;FEM;SG;V.PTCP
alamat	כתובות	alamat	כתובת	N;SG	N;FEM;PL
alamat	הכתובת	alamat	הכתובה	N;SG	PROPN
las	ריתוך	las	ריתוך	PROPN	N;MASC;SG
las	לאס	las	לאס	PROPN	PROPN
death	המוות	death	המווה	PROPN	
death	מות	death	מוות	PROPN	
death	מוות	death	מוות	PROPN	N;MASC;SG
radar	הרדאר	radar	הרדאר	N	PROPN
radar	מכ	radar	מכ	N	
radar	רדאר	radar	רדאר	N	PROPN
berkat	הברכות	berkat	הברכה	CONJ	N;FEM;PL
berkat	ברכות	berkat	ברכה	CONJ	
berkat	ברכה	berkat	ברכה	CONJ	PROPN
people	אנשים	people	איש	PROPN	N;MASC;PL
church	כנסיה	church	כנסיה	PROPN	PROPN
church	כנסייה	church	כנסייה	PROPN	N;FEM;SG
kepolisian	המשטרה	kepolisian	המשטר	N;SG	PROPN
damai	שלווים	damai	שלווה	ADJ;SG	N;MASC;PL
damai	שליו	damai	של	ADJ;SG	
damai	שלווה	damai	שלווה	ADJ;SG	
damai	שלום	damai	שלום	ADJ;SG	PROPN
damai	השלום	damai	השלום	ADJ;SG	
damai	שלווה	damai	שלווה	ADJ;SG	
berpengaruh	השפעה	berpengaruh	השפעה	V;SG;ACT	N;FEM;SG
protestan	פרוטסטנטי	protestan	פרוטסטנטי	N	PROPN
banjarmasin	לונדון	banjarmasin	לונדון	PROPN	PROPN
memperkenalkan	מציגים	menperkenalkan	הציג	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
dance	תרקוד	dance	תרקוד	PROPN	V;MASC;SG;2;FUT;ACT
dance	לרקוד	dance	רקד	PROPN	V;NFIN;ACT
dance	דאנס	dance	דאנס	PROPN	PROPN
dance	ריקוד	dance	ריקוד	PROPN	N;MASC;SG
dance	מחול	dance	מחול	PROPN	PROPN
cocok	גפרורים	cocok	גפרור	ADJ;SG	N;MASC;PL
cocok	התאמות	cocok	התאמה	ADJ;SG	N;FEM;PL
cocok	מתאים	cocok	התאים	ADJ;SG	V;MASC;SG;V.PTCP;ACT
cocok	גפרור	cocok	גפרור	ADJ;SG	N;MASC;SG
cocok	התאמה	cocok	התאמה	ADJ;SG	N;FEM;SG
cocok	התאמת	cocok	התאמה	ADJ;SG	N;FEM;SG
cocok	התאמה	cocok	התאמה	ADJ;SG	N;FEM;SG
cocok	תאם	cocok	תאם	ADJ;SG	V;MASC;SG;3;PST;ACT
masehi	הגרגוריאני	masehi	הגרגוריאני	PROPN;SG	N;MASC;SG
papan	פלאנק	papan	פלאנק	N;SG	PROPN
papan	קרש	papan	קרש	N;SG	
papan	הלוח	papan	הלוח	N;SG	
papan	קרש	papan	קרש	N;SG	
papan	לוח	papan	לוח	N;SG	
papan	לוחות	papan	לוח	N;SG	N;MASC;PL
carlos	קרלוס	carlos	קרלוס	PROPN	
terang	אור	terang	אור	ADJ;SG	
terang	בהיר	terang	בהיר	ADJ;SG	
terang	ברייט	terang	ברייט	ADJ;SG	PROPN
ditambahkan	הוסיף	ditambahkan	הוסיף	V;SG;PASS	V;MASC;SG;3;PST;ACT
ditambahkan	נוספו	ditambahkan	נוסף	V;SG;PASS	V;PL;3;PST;MID
ditambahkan	נוספה	ditambahkan	נוסף	V;SG;PASS	V;FEM;SG;3;PST;MID
ditambahkan	הוסיפה	ditambahkan	הוסיף	V;SG;PASS	V;FEM;SG;3;PST;ACT
ditambahkan	נוסף	ditambahkan	None	V;SG;PASS	ADP
special	ספיישל	special	ספיישל	PROPN	PROPN
special	מיוחדת	special	מיוחד	PROPN	ADJ;FEM;SG
special	מיוחדים	special	מיוחד	PROPN	ADJ;MASC;PL
special	מיוחדות	special	מיוחד	PROPN	ADJ;FEM;PL
special	מיוחד	special	מיוחד	PROPN	ADJ;MASC;SG
ribu	אלף	ribu	אלף	N	NUM;MASC;SG
kebebasan	החופש	kebebasan	החופש	N;SG	ADV
kebebasan	ליברטי	kebebasan	ליברטי	N;SG	PROPN
elektron	אלקטרונים	elektron	אלקטרון	N;SG	N;MASC;PL
dosa	חטא	dosa	חטא	N;SG	PROPN
dosa	החטא	dosa	החטא	N;SG	PROPN
dosa	חטאים	dosa	חטאי	N;SG	N;MASC;PL
coklat	בראון	coklat	בראון	N;SG	PROPN
coklat	חומה	coklat	חומה	N;SG	PROPN
coklat	חומות	coklat	חומה	N;SG	N;FEM;PL
coklat	חום	coklat	חום	N;SG	
coklat	שוקולד	coklat	שוקולד	N;SG	PROPN
coklat	שוקו	coklat	שוק	N;SG	
rektor	רקטור	rektor	רקטור	N	PROPN
rilis	שחרר	rilis	שחרר	N;SG;ACT	PROPN
rilis	שחררו	rilis	שחרר	N;SG;ACT	V;PL;3;PST;ACT
rilis	משחרר	rilis	משחרר	N;SG;ACT	V;MASC;SG;V.PTCP;ACT
cantik	יפה	cantik	יפה	ADJ;SG	
cantik	יפים	cantik	יפה	ADJ;SG	ADJ;MASC;PL
cantik	יפות	cantik	יפה	ADJ;SG	ADJ;FEM;PL
cantik	מהממת	cantik	מהממה	ADJ;SG	V;FEM;SG;V.PTCP;ACT
cantik	מהמם	cantik	הימם	ADJ;SG	PROPN
info	מידע	info	מידע	PROPN;SG	N;MASC;SG
kotamadya	טאון	kotamadya	טאון	N;SG	PROPN
kotamadya	העיר	kotamadya	העיר	N;SG	V;MASC;SG;3;PST;ACT
bertindak	משחק	bertindak	משחק	V;SG;ACT	N;MASC;SG
bertindak	מערכה	bertindak	מערכה	V;SG;ACT	N;FEM;SG
kacang	בוטן	kacang	בוטן	N;SG	PROPN
kacang	אגוז	kacang	אגוז	N;SG	PROPN
kacang	אגוזים	kacang	אגוז	N;SG	N;MASC;PL
kacang	בין	kacang	בין	N;SG	ADP
kacang	אפונים	kacang	אפונים	N;SG	N;MASC;PL
kacang	בוטנים	kacang	בוטן	N;SG	N;MASC;PL
kacang	בוטן	kacang	בוטן	N;SG	PROPN
material	חומרי	material	חומרי	N;SG	ADJ;MASC;PL
material	חומרים	material	חומר	N;SG	N;MASC;PL
back	אחורה	back	אחורה	PROPN	ADV
back	בחזרה	back	בחזרה	PROPN	
back	חזרה	back	None	PROPN	ADV
back	לאחור	back	לאחור	PROPN	ADV
now	כעת	now	כעת	PROPN	ADV
now	עכשיו	now	עכשיו	PROPN	ADV
natal	המולד	natal	המולד	N;SG	
target	יעד	target	יעד	N;SG	
target	המטרה	target	המטרה	N;SG	PROPN
target	מטרות	target	מטרה	N;SG	N;FEM;PL
target	יעדים	target	יעד	N;SG	N;MASC;PL
seksual	מינית	seksual	מיני	ADJ;SG	N;FEM;SG
seksual	מיני	seksual	מין	ADJ;SG	
seksual	מיניות	seksual	מיני	ADJ;SG	N;FEM;SG
seksual	מיני	seksual	מין	ADJ;SG	
seine	הסיין	seine	הסיין	PROPN	PROPN
library	הספרייה	library	הספרייה	N;SG	PROPN
manajer	מנהלים	manajer	ניהל	N;SG	V;MASC;PL;V.PTCP;ACT
seoul	סיאול	seoul	סיאול	PROPN	PROPN
menghindari	הימנעות	menhindari	הימנעות	V;SG;ACT	N;FEM;SG
menghindari	להימנע	menhindari	נמנע	V;SG;ACT	V;NFIN;MID
metal	מטאל	metal	מטאל	N	PROPN
gagasan	רעיונות	gagasan	רעיון	N;SG	N;MASC;PL
order	הסדר	order	הסדר	PROPN	N;MASC;SG
order	הזמנה	order	הזמנה	PROPN	N;FEM;SG
order	סדר	order	סדר	PROPN	N;MASC;SG
order	פקודה	order	פקודה	PROPN	N;FEM;SG
samudra	האוקיינוסים	samudra	האוקיינוסי	PROPN;SG	N
samudra	האוקיינוס	samudra	האוקיינוס	PROPN;SG	PROPN
samudra	אוקיינוס	samudra	אוקיינוס	PROPN;SG	N;MASC;SG
menangkap	תפוס	mentangkap	None	V;SG;ACT	
menangkap	תפיסה	mentangkap	תפיסה	V;SG;ACT	N;FEM;SG
menangkap	מלכוד	mentangkap	מלכוד	V;SG;ACT	N;MASC;SG
menangkap	תפיסה	mentangkap	תפיסה	V;SG;ACT	N;FEM;SG
menangkap	תפיסת	mentangkap	תפיסה	V;SG;ACT	N;PSSD;FEM;SG
bayern	בוואריה	bayern	בוואריה	PROPN	PROPN
bayern	באיירן	bayern	אייר	PROPN	PROPN
suriah	סוריה	suriah	סוריה	N;SG	PROPN
suriah	סורים	suriah	סורי	N;SG	N;MASC;PL
suriah	סורי	suriah	סורי	N;SG	PROPN
suriah	הסורי	suriah	הסורי	N;SG	PROPN
suriah	סווזילנד	suriah	סווזילנד	N;SG	PROPN
mazmur	מזמור	mazmur	מזמור	PROPN	PROPN
mazmur	תהילים	mazmur	תהיל	PROPN	N;MASC;PL
mazmur	תהילים	mazmur	תהיל	PROPN	N;MASC;PL
menyebar	התפשטות	mensebar	התפשטות	V;SG;ACT	N;FEM;SG
menentang	כנגד	mententang	כנגד	V;SG;ACT	ADP
menentang	נגד	mententang	נגד	V;SG;ACT	ADP
statistik	סטטיסטי	statistik	סטטיסטי	N;SG	ADJ;MASC;SG
century	המאה	century	המאה	PROPN	
memerlukan	דורשים	menperlukan	דרש	V;SG;ACT	V;MASC;PL;V.PTCP;ACT
memerlukan	דרוש	menperlukan	דרש	V;SG;ACT	PROPN
old	ישנה	old	ישן	PROPN	ADJ;FEM;SG
old	זקן	old	זקן	PROPN	
old	ישן	old	ישן	PROPN	PROPN
old	זקנה	old	זקן	PROPN	N;FEM;SG
menderita	סבל	menderita	סבל	V;SG;ACT	
menderita	סבלה	menderita	סבלה	V;SG;ACT	N;FEM;SG
salib	צלבים	salib	צלב	PROPN;SG	N;MASC;PL
salib	צלב	salib	צלב	PROPN;SG	N;MASC;SG
salib	קרוס	salib	קרוס	PROPN;SG	PROPN
salib	הצלב	salib	הצלב	PROPN;SG	N;MASC;SG
manis	מתוקים	manis	מתוק	ADJ;SG	ADJ;MASC;PL
manis	מתוקה	manis	מתוקה	ADJ;SG	PROPN
manis	מתוקות	manis	מתוק	ADJ;SG	ADJ;FEM;PL
manis	מתוק	manis	מתוק	ADJ;SG	
manis	מתיקות	manis	מתיקות	ADJ;SG	N;FEM;SG
maha	מאהה	maha	מאהה	PROPN;SG	PROPN
dibutuhkan	דרושים	dibutuhkan	דרוש	V;SG;PASS	ADJ;MASC;PL
dibutuhkan	דרושה	dibutuhkan	דרש	V;SG;PASS	V;FEM;SG;V.PTCP;ACT
dibutuhkan	נדרשת	dibutuhkan	נדרש	V;SG;PASS	V;FEM;SG;V.PTCP;MID
dibutuhkan	דרושים	dibutuhkan	דרוש	V;SG;PASS	ADJ;MASC;PL
dibutuhkan	חובה	dibutuhkan	חובה	V;SG;PASS	N;FEM;SG
dibutuhkan	נדרש	dibutuhkan	נדרש	V;SG;PASS	V;MASC;SG;MID
dibutuhkan	דרוש	dibutuhkan	דרש	V;SG;PASS	PROPN
finlandia	פינלנד	finlandia	פינלנד	PROPN;SG	PROPN
finlandia	פיני	finlandia	פיני	PROPN;SG	PROPN
finlandia	פינית	finlandia	פיני	PROPN;SG	PROPN
rumania	רומניה	rumania	רומניה	PROPN;SG	PROPN
rumania	רומנים	rumania	רומני	PROPN;SG	N;MASC;PL
rumania	רומני	rumania	רומני	PROPN;SG	PROPN
rumania	רומניה	rumania	רומניה	PROPN;SG	PROPN
rumania	רומנים	rumania	רומני	PROPN;SG	N;MASC;PL
sains	מדע	sains	מדע	N;SG	
sains	מדעים	sains	מדע	N;SG	N;MASC;PL
pendeta	הכהן	pendeta	הכהן	N;SG	PROPN
pendeta	כומר	pendeta	כומר	N;SG	PROPN
pencipta	אופה	pencipta	אופה	N;SG	PROPN
pencipta	יצרנית	pencipta	יצרן	N;SG	PROPN
pencipta	יוצר	pencipta	יצר	N;SG	V;MASC;SG;V.PTCP;ACT
pencipta	יוצרת	pencipta	יצר	N;SG	V;FEM;SG;V.PTCP;ACT
pencipta	היוצר	pencipta	היוצר	N;SG	PROPN
minimal	מינימום	minimal	מינימום	ADJ;SG	N;MASC;SG
minimal	המינימום	minimal	המינימום	ADJ;SG	PROPN
minimal	מינימלי	minimal	מינימלי	ADJ;SG	N;MASC;SG
minimal	מינימלית	minimal	מינימלית	ADJ;SG	ADV
letnan	לוטננט	letnan	לוטננט	N;SG	PROPN
letnan	הסגן	letnan	הסגן	N;SG	
letnan	לוטנט	letnan	לוטנט	N;SG	PROPN
letnan	סגנים	letnan	סגן	N;SG	N;MASC;PL
ibadah	לסגוד	ibadah	סגד	N;SG	V;NFIN;ACT
ibadah	סוגדים	ibadah	סוגד	N;SG	V;MASC;PL;V.PTCP;ACT
heart	הלב	heart	הלב	PROPN	
heart	לב	heart	לב	PROPN	PROPN
penggemar	מעריצים	pengemar	מעריץ	N;SG	N;MASC;PL
penggemar	אוהדי	pengemar	אוהד	N;SG	N;PSSD;MASC;PL
penggemar	האוהדים	pengemar	האוהד	N;SG	N;MASC;PL
penggemar	אוהדים	pengemar	אוהד	N;SG	N;MASC;PL
penggemar	מאוורר	pengemar	מאוורר	N;SG	PROPN
penggemar	מעריץ	pengemar	מעריץ	N;SG	V;MASC;SG;V.PTCP;ACT
penggemar	מעריצה	pengemar	העריץ	N;SG	
penggemar	אוהד	pengemar	אוהד	N;SG	PROPN
visual	חזותיים	visual	חזותי	N	ADJ;MASC;PL
universal	אוניברסלי	universal	אוניברסלי	ADJ	PROPN
universal	יוניברסל	universal	יוניברסל	ADJ	PROPN
klan	שבט	klan	שבט	N	PROPN
klan	קלאן	klan	קלאן	N	PROPN
madrasah	מדרסה	madrasah	מדרסה	N;SG	PROPN
beda	שונות	beda	שונה	ADJ;SG	ADJ;FEM;PL
beda	שונה	beda	שונה	ADJ;SG	
beda	שונים	beda	שונה	ADJ;SG	ADJ;MASC;PL
god	אלהים	god	אלהים	PROPN	PROPN
god	אלוקים	god	אלוק	PROPN	N;MASC;PL
god	אלוהים	god	אלוהים	PROPN	N;MASC;SG
kekerasan	אלים	kekerasan	אלים	N;SG	
kekerasan	אלימים	kekerasan	אלים	N;SG	ADJ;MASC;PL
cat	צבע	cat	צבע	PROPN	N;MASC;SG
cat	חתול	cat	חתול	PROPN	PROPN
cat	חתולה	cat	חתולה	PROPN	N;FEM;SG
cat	קט	cat	קט	PROPN	
selat	מצר	selat	מצר	N	PROPN
sengaja	בכוונה	sengaja	בכוונה	ADV	
sengaja	בכוונה	sengaja	בכוונה	ADV	
earth	אדמה	earth	אדמה	PROPN	N;FEM;SG
earth	ארץ	earth	ארץ	PROPN	N;FEM;SG
earth	הארץ	earth	הארץ	PROPN	
bill	ביל	bill	ביל	PROPN	PROPN
bill	שביל	bill	שביל	PROPN	
kain	מבד	kain	מבד	N;SG	
kain	קין	kain	קין	N;SG	PROPN
kain	קיין	kain	קיין	N;SG	PROPN
kain	אריג	kain	אריג	N;SG	
kain	בדים	kain	בד	N;SG	N;MASC;PL
post	פוסט	post	פוסט	PROPN	PROPN
post	פרסם	post	פרסם	PROPN	V;MASC;SG;3;PST;ACT
post	פרסום	post	פרסום	PROPN	N;MASC;SG
naga	נאגה	naga	נאגה	N	PROPN
naga	דרגון	naga	דרגון	N	PROPN
naga	דרקון	naga	דרקון	N	PROPN
naga	הדרקון	naga	הדרקון	N	PROPN
tertulis	נכתב	tertulis	נכתב	V;SG;PASS	V;MASC;SG;3;PST;MID
tertulis	כתובה	tertulis	כתוב	V;SG;PASS	N;FEM;SG
tertulis	נכתבה	tertulis	נכתב	V;SG;PASS	V;FEM;SG;3;PST;MID
tertulis	כתובים	tertulis	כתוב	V;SG;PASS	N;MASC;PL
tertulis	כתוב	tertulis	כתב	V;SG;PASS	
suaminya	בעלי	suami	בעל	N;SG	N;PSSD;MASC;PL
suaminya	הבעל	suami	הבעל	N;SG	
agen	סוכנות	agen	סוכנות	PROPN;SG	N;FEM;SG
agen	הסוכנות	agen	הסוכנות	PROPN;SG	N;FEM
agen	סוכנים	agen	סוכן	PROPN;SG	N;MASC;PL
agen	סוכנויות	agen	סוכנות	PROPN;SG	N;FEM;PL
agen	סוכן	agen	סוכן	PROPN;SG	N;MASC;SG
agen	הסוכן	agen	הסוכן	PROPN;SG	PROPN
agen	סוכנת	agen	סוכן	PROPN;SG	N;FEM;SG
menyukai	אהבו	mensukai	אהב	V;SG;ACT	V;PL;3;PST;ACT
menyukai	לייקים	mensukai	לייק	V;SG;ACT	PROPN
keinginan	חשק	keinginan	חשק	N;SG	
keinginan	משתוקק	keinginan	השתוקק	N;SG	V;MASC;SG;V.PTCP
keinginan	משתוקקת	keinginan	השתוקק	N;SG	V;FEM;SG;V.PTCP
keinginan	רצונות	keinginan	רצונה	N;SG	N;MASC;PL
keinginan	תשוקות	keinginan	תשוקה	N;SG	N;FEM;PL
keinginan	הרצונות	keinginan	הרצונה	N;SG	
tang	טאנג	tang	טאנג	PROPN	PROPN
francisco	פרנסיסקו	francisco	פרנסיסקו	PROPN	PROPN
wayang	בובה	wayang	בובה	PROPN	N;FEM;SG
original	מקוריות	original	מקורי	PROPN	ADJ;FEM;PL
original	מקוריים	original	מקורי	PROPN	ADJ;MASC;PL
original	מקורית	original	מקורי	PROPN	ADV
original	מקורי	original	מקורי	PROPN	ADJ;MASC;SG
original	המקורי	original	המקור	PROPN	PROPN
topik	הנושא	topik	הנושא	N;SG	
topik	נושאים	topik	נושא	N;SG	N;MASC;PL
kebenaran	האמת	kebenaran	האמה	N;SG	ADV
pemberian	מתנה	penberian	מתנה	N;SG	
federasi	הפדרציה	federasi	הפדרציה	N;SG	PROPN
