और	y	और	y		CONJ
बन्द	cierra	बंद	cerrar		V;IND;SG;3;PRS;FIN
बन्द	cerca	बंद	cerca		ADV
बन्द	cierre	बंद	cierre		N;MASC;SG
बन्द	cerrar	बंद	cerrar		V;NFIN
कब	when	कब	when	PRO	N
कब	cuando	कब	cuando	PRO	CONJ
तारीख	date	तारीख	date	N;NOM;FEM;SG;3	V;IND;SG;2;PRS;FIN
समावेश	inclusiones	समावेश	inclusión	N;NOM;MASC;SG;3	N;FEM;PL
खुदाई	excavaciones	खुदाई	excavación	N;NOM;FEM;SG;3	N;FEM;PL
खुदाई	excavar	खुदाई	excavar	N;NOM;FEM;SG;3	V;NFIN
खुदाई	cavar	खुदाई	cavar	N;NOM;FEM;SG;3	V;NFIN
खुदाई	perforaciones	खुदाई	perforación	N;NOM;FEM;SG;3	N;FEM;PL
भरत	bharat	भरत	bharat	PROPN;NOM;MASC;SG;3	N;SG
भरत	bharata	भरत	bharata	PROPN;NOM;MASC;SG;3	N;SG
फलों	fruta	फल	fruta	N;ACC;MASC;PL;3	N;FEM;SG
हमलों	ataca	हमला	atacar	N;ACC;MASC;PL;3	V;IND;SG;3;PRS;FIN
बीस	twenty	बीस	twenty	NUM	N
बीस	veintiuno	बीस	veintiuno	NUM	N;MASC;PL
शिकायत	quejas	शिकायत	queja	N;NOM;FEM;SG;3	N;FEM;PL
शिकायत	reclamaciones	शिकायत	reclamación	N;NOM;FEM;SG;3	N;FEM;PL
शिकायत	denuncias	शिकायत	denuncia	N;NOM;FEM;SG;3	N;FEM;PL
शिकायत	quejas	शिकायत	queja	N;NOM;FEM;SG;3	N;FEM;PL
शिकायत	quejarme	शिकायत	quejarme	N;NOM;FEM;SG;3	V;NFIN
शिकायत	quejarse	शिकायत	quejarse	N;NOM;FEM;SG;3	V;SBJV;SG;3;IPFV;FIN
सफाई	limpiando	सफाई	limpiar	N;NOM;FEM;SG;3	V;V.MSDR
सफाई	limpiar	सफाई	limpiar	N;NOM;FEM;SG;3	V;NFIN
टेलीविज़न	televisiones	टेलीविज़न	televisión	N;NOM;MASC;SG;3	N;FEM;PL
टेलीविज़न	televisores	टेलीविज़न	televisor	N;NOM;MASC;SG;3	N;MASC;PL
टेलीविज़न	televisiones	टेलीविज़न	televisión	N;NOM;MASC;SG;3	N;FEM;PL
अन्ना	ana	अन्ना	ana	PROPN;NOM;MASC;SG;3	N;FEM;SG
अन्ना	anna	अन्ना	anno	PROPN;NOM;MASC;SG;3	PROPN
विन्यास	configuraciones	विन्यास	configuración	N;NOM;MASC;SG;3	N;FEM;PL
विन्यास	ajustes	विन्यास	ajuste	N;NOM;MASC;SG;3	N;MASC;PL
विन्यास	preferencias	विन्यास	preferencia	N;NOM;MASC;SG;3	N;FEM;PL
ध्रुवीय	polar	ध्रुवीय	polar	PROPN;NOM;SG;3	N;SG
ध्रुवीय	polares	ध्रुवीय	polar	PROPN;NOM;SG;3	N;PL
तिहाई	tercios	तिहाई	tercio		N;MASC;PL
तिहाई	terceras	तिहाई	tercero		ADJ;FEM;PL
पार्श्व	flanco	पार्श्व	flanco		N;MASC;SG
पार्श्व	flancos	पार्श्व	flanco		N;MASC;PL
पार्श्व	lateral	पार्श्व	lateral		N;SG
पार्श्व	costado	पार्श्व	costar		ADJ;MASC;SG;V.PTCP
पार्श्व	laterales	पार्श्व	lateral		N;PL
पार्श्व	lado	पार्श्व	lado		N;MASC;SG
रोशनी	luces	रोशनी	luz	N;NOM;FEM;SG;3	N;FEM;PL
रोशनी	ligera	रोशनी	ligero	N;NOM;FEM;SG;3	ADJ;FEM;SG
रोशनी	ligero	रोशनी	ligero	N;NOM;FEM;SG;3	ADJ;MASC;SG
आलोचक	crítico	आलोचक	crítico	N;NOM;MASC;SG;3	ADJ;MASC;SG
आलोचक	critico	आलोचक	critico	N;NOM;MASC;SG;3	ADJ;MASC;SG
डीएनए	adn	डीएनए	adn	PROPN;NOM;MASC;SG;3	N;MASC;SG
डीएनए	dna	डीएनए	dna	PROPN;NOM;MASC;SG;3	N;MASC;SG
नाना	nana	नाना	nanar		N;FEM;SG
स्पर्श	touch	स्पर्श	touch		N
स्पर्श	toques	स्पर्श	toque		N;MASC;PL
स्पर्श	tacto	स्पर्श	tacto		N;MASC;SG
स्पर्श	toque	स्पर्श	toque		N;SG
गणितज्ञ	matemático	गणितज्ञ	matemático	N;NOM;MASC;SG;3	ADJ;MASC;SG
वनों	deforestación	वन	deforestación	N;NOM;MASC;PL;3	N;FEM;SG
वनों	bosque	वन	bosque	N;NOM;MASC;PL;3	N;MASC;SG
वनों	forestales	वन	forestal	N;NOM;MASC;PL;3	ADJ;PL
वनों	forestal	वन	forestal	N;NOM;MASC;PL;3	ADJ;SG
वनों	selva	वन	selva	N;NOM;MASC;PL;3	N;FEM;SG
वनों	selva	वन	selva	N;NOM;MASC;PL;3	N;FEM;SG
वनों	bosque	वन	bosque	N;NOM;MASC;PL;3	N;MASC;SG
जीते	ganados	जीत	ganado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
जीते	ganado	जीत	ganado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
कबीर	kabir	कबीर	kabir	PROPN;NOM;MASC;SG;3	N;MASC;SG
हानिकारक	dañino	हानिकारक	dañino	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
हानिकारक	perjudiciales	हानिकारक	perjudicial	PROPN;NOM;MASC;SG;3	ADJ;PL
हानिकारक	dañina	हानिकारक	dañinar	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
हानिकारक	perjudicial	हानिकारक	perjudicial	PROPN;NOM;MASC;SG;3	ADJ;SG
हानिकारक	dañinos	हानिकारक	dañino	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
हानिकारक	nocivo	हानिकारक	nocivo	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
हानिकारक	perjudicial	हानिकारक	perjudicial	PROPN;NOM;MASC;SG;3	ADJ;SG
आमंत्रित	invita	आमंत्रित	invitar	ADJ	V;IND;SG;3;PRS;FIN
आमंत्रित	invitados	आमंत्रित	invitado	ADJ	N;MASC;PL
शिल्प	shillong	शिल्प	shillong		N;MASC;SG
शिल्प	artesanía	शिल्प	artesanía		N;FEM;SG
शिल्प	embarcaciones	शिल्प	embarcación		N;FEM;PL
हिन्दुस्तान	hindustan	हिन्दुस्तान	hindustar	PROPN;NOM;MASC;SG;3	N;SG
पीला	amarillos	पीला	amarillo	N;NOM;MASC;SG;3	ADJ;MASC;PL
पीला	amarilla	पीला	amarillo	N;NOM;MASC;SG;3	ADJ;FEM;SG
पीला	amarillas	पीला	amarillo	N;NOM;MASC;SG;3	ADJ;FEM;PL
पीला	amarillo	पीला	amarillo	N;NOM;MASC;SG;3	ADJ;MASC;SG
सीधी	recta	सीधा	recta	ADJ;FEM;SG	N;FEM;SG
सीधी	directamente	सीधा	directamente	ADJ;FEM;SG	ADV
बादल	nubes	बादल	nube	PROPN;NOM;MASC;SG;3	N;FEM;PL
बादल	nube	बादल	nube	PROPN;NOM;MASC;SG;3	N;FEM;SG
बादल	cloud	बादल	cloud	PROPN;NOM;MASC;SG;3	N
बादल	nubes	बादल	nube	PROPN;NOM;MASC;SG;3	N;FEM;PL
बादल	badal	बादल	badal	PROPN;NOM;MASC;SG;3	N;SG
चंद्रमा	luna	चंद्रमा	luna	PROPN;NOM;MASC;SG;3	N;FEM;SG
चंद्रमा	moon	चंद्रमा	moon	PROPN;NOM;MASC;SG;3	N
संवैधानिक	constitucionalidad	संवैधानिक	constitucionalidad	ADJ;NOM	N;FEM;SG
पादप	plantas	पादप	planta	N;NOM;MASC;SG;3	N;FEM;PL
पादप	vegetal	पादप	vegetal	N;NOM;MASC;SG;3	ADJ;SG
मान्य	valido	मान्य	valer		ADJ;MASC;SG;V.PTCP
मान्य	válida	मान्य	válido		ADJ;FEM;SG
मान्य	válido	मान्य	válido		ADJ;MASC;SG
मान्य	válidos	मान्य	válido		ADJ;MASC;PL
मान्य	valida	मान्य	valida		ADJ;FEM;SG;V.PTCP
अनुसूचित	programados	अनुसूचित	programado	N;NOM;MASC;SG;3	ADJ;MASC;PL;V.PTCP
अनुसूचित	programado	अनुसूचित	programado	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
सम्पन्न	acabados	संपन्न	acabar		ADJ;MASC;PL;V.PTCP
सम्पन्न	terminados	संपन्न	terminado		ADJ;MASC;PL;V.PTCP
सम्पन्न	finalizado	संपन्न	finalizar		ADJ;MASC;SG;V.PTCP
सम्पन्न	acabado	संपन्न	acabar		ADJ;MASC;SG;V.PTCP
सम्पन्न	terminado	संपन्न	terminar		ADJ;MASC;SG;V.PTCP
सम्पन्न	terminada	संपन्न	terminado		ADJ;FEM;SG;V.PTCP
सम्पन्न	hecho	संपन्न	hecho		ADJ;MASC;SG;V.PTCP
हॉलीवुड	hollywood	हॉलीवुड	hollywood	PROPN;NOM;MASC;SG;3	N;MASC;SG
शहीद	mártir	शहीद	mártir	ADJ	N;MASC;SG
शहीद	martirio	शहीद	martirio	ADJ	N;MASC;SG
शहीद	mártires	शहीद	mártir	ADJ	N;MASC;PL
शहीद	shaheed	शहीद	shaheed	ADJ	
तेज़	rapidez	तेज़	rapidez		N;FEM;SG
तेज़	rápido	तेज़	rápido		ADJ;MASC;SG
तेज़	rapido	तेज़	rapido		INTJ
तेज़	fast	तेज़	fast		N
तेज़	ayuno	तेज़	ayuno		N;MASC;SG
पीछा	persigue	पीछा	perseguir	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
विकासशील	desarrollándose	विकासशील	desarrollándose	N;NOM;MASC;SG;3	ADJ;MASC;SG
विकासशील	desarrollando	विकासशील	desarrollar	N;NOM;MASC;SG;3	V;V.MSDR
अल्प	ligera	अल्प	ligero		ADJ;FEM;SG
अल्प	leve	अल्प	leve		ADJ;SG
अल्प	ligero	अल्प	ligero		ADJ;MASC;SG
तिवारी	tiwari	तिवारी	tiwari	PROPN;NOM;SG;3	
फंड	fondos	फंड	fondo	N;NOM;MASC;SG;3	N;MASC;PL
नाक	nose	नाक	nose	N;NOM;FEM;SG;3	V;SBJV;SG;2;PRS;FIN
बाई	bai	बाई	bai		PROPN
राणा	rana	राणा	rana	PROPN;NOM;MASC;SG;3	N;FEM;SG
निवेदन	solicita	निवेदन	solicitar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
निवेदन	peticiones	निवेदन	petición	N;NOM;MASC;SG;3	N;FEM;PL
निवेदन	solicitudes	निवेदन	solicitud	N;NOM;MASC;SG;3	N;FEM;PL
निवेदन	solicitar	निवेदन	solicitar	N;NOM;MASC;SG;3	V;NFIN
निवेदन	solicite	निवेदन	solicitar	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
इंदौर	indore	इंदौर	indorar	PROPN;NOM;MASC;SG;3	N;MASC;SG
ब्रायन	brian	ब्रायन	brian	PROPN;NOM;MASC;SG;3	PROPN
ब्रायन	bryan	ब्रायन	bryar	PROPN;NOM;MASC;SG;3	PROPN
अनुभाग	secciones	अनुभाग	sección	N;NOM;MASC;SG;3	N;FEM;PL
अनुभाग	tramos	अनुभाग	tramo	N;NOM;MASC;SG;3	N;MASC;PL
बीसवीं	vigésima	बीसवां	vigésimo	PROPN;NOM;FEM;SG;3	ADJ;FEM;SG
बीसवीं	vigésimo	बीसवां	vigésimo	PROPN;NOM;FEM;SG;3	N;MASC;SG
रंगीन	coloridas	रंगीन	colorido		ADJ;FEM;PL;V.PTCP
रंगीन	colorida	रंगीन	colorida		ADJ;FEM;SG;V.PTCP
रंगीन	colorido	रंगीन	colorido		ADJ;MASC;SG
रंगीन	coloridos	रंगीन	colorido		ADJ;MASC;PL;V.PTCP
रंगीन	coloreado	रंगीन	coloreado		ADJ;MASC;SG;V.PTCP
रंगीन	coloridas	रंगीन	colorido		ADJ;FEM;PL;V.PTCP
रंगीन	colorida	रंगीन	colorida		ADJ;FEM;SG;V.PTCP
रंगीन	colorido	रंगीन	colorido		ADJ;MASC;SG
रंगीन	coloridos	रंगीन	colorido		ADJ;MASC;PL;V.PTCP
अपेक्षित	esperaban	अपेक्षित	esperar	ADP	V;IND;PL;3;IPFV;FIN
अपेक्षित	esperados	अपेक्षित	esperado	ADP	ADJ;MASC;PL;V.PTCP
अपेक्षित	esperada	अपेक्षित	esperado	ADP	ADJ;FEM;SG;V.PTCP
अपेक्षित	esperado	अपेक्षित	esperado	ADP	ADJ;MASC;SG;V.PTCP
मूलभूत	fundamentales	मूलभूत	fundamental	N;NOM;MASC;SG;3	ADJ;PL
मूलभूत	fundamental	मूलभूत	fundamental	N;NOM;MASC;SG;3	ADJ;SG
मूलभूत	predeterminados	मूलभूत	predeterminado	N;NOM;MASC;SG;3	ADJ;MASC;PL;V.PTCP
मूलभूत	predeterminado	मूलभूत	predeterminado	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
मूलभूत	predeterminadas	मूलभूत	predeterminado	N;NOM;MASC;SG;3	ADJ;FEM;PL;V.PTCP
मूलभूत	predeterminados	मूलभूत	predeterminado	N;NOM;MASC;SG;3	ADJ;MASC;PL;V.PTCP
मूलभूत	incumplimientos	मूलभूत	incumplimiento	N;NOM;MASC;SG;3	N;MASC;PL
मूलभूत	impagos	मूलभूत	impago	N;NOM;MASC;SG;3	N;MASC;PL
मूलभूत	básica	मूलभूत	básico	N;NOM;MASC;SG;3	ADJ;FEM;SG
मूलभूत	básicos	मूलभूत	básico	N;NOM;MASC;SG;3	ADJ;MASC;PL
मूलभूत	básicas	मूलभूत	básico	N;NOM;MASC;SG;3	ADJ;FEM;PL
मूलभूत	básico	मूलभूत	básico	N;NOM;MASC;SG;3	ADJ;MASC;SG
मूलभूत	intrínseco	मूलभूत	intrínseco	N;NOM;MASC;SG;3	ADJ;MASC;SG
मूलभूत	intrínseca	मूलभूत	intrínseco	N;NOM;MASC;SG;3	ADJ;FEM;SG
अदा	pagar	अदा	pagar	ADJ	V;NFIN
अदा	sueldo	अदा	sueldo	ADJ	N;MASC;SG
अदा	pago	अदा	pago	ADJ	N;MASC;SG
अदा	paga	अदा	pagar	ADJ	V;IND;SG;3;PRS;FIN
अदा	pague	अदा	pagar	ADJ	V;IMP;SG;3;FIN
जिम	jim	जिम	jim	N;NOM;MASC;SG;3	PROPN
एटा	eta	एटा	eta	PROPN;NOM;MASC;SG;3	PROPN
अनिल	anil	अनिल	anil	PROPN;NOM;MASC;SG;3	N;MASC;SG
नरेन्द्र	narendra	नरेंद्र	narendra	PROPN;NOM;MASC;SG;3	N;SG
पूछा	preguntado	पूछ	preguntado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
उत्पादित	producidos	उत्पादित	producido	PROPN;NOM;SG;3	ADJ;MASC;PL;V.PTCP
उत्पादित	producido	उत्पादित	producido	PROPN;NOM;SG;3	ADJ;MASC;SG;V.PTCP
उत्पादित	producida	उत्पादित	producido	PROPN;NOM;SG;3	ADJ;FEM;SG;V.PTCP
पहुँचा	consultado	पहुँच	consultar	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
पहुँचा	accedido	पहुँच	acceder	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
क्रिसमस	navidad	क्रिसमस	navidad	PROPN;NOM;MASC;SG;3	N;FEM;SG
क्रिसमस	navidades	क्रिसमस	navidad	PROPN;NOM;MASC;SG;3	N;FEM;PL
फ़्रांस	francia	फाररांस	francia	PROPN;NOM;MASC;SG;3	PROPN
फ़्रांस	france	फाररांस	france	PROPN;NOM;MASC;SG;3	N;FEM;SG
ठंडा	frio	ठंडा	frio	ADJ;NOM;MASC;SG	
ठंडा	frías	ठंडा	fría	ADJ;NOM;MASC;SG	N;FEM;PL
ठंडा	fría	ठंडा	fría	ADJ;NOM;MASC;SG	N
ठंडा	frío	ठंडा	frío	ADJ;NOM;MASC;SG	N;MASC;SG
ठंडा	cold	ठंडा	cold	ADJ;NOM;MASC;SG	N
नाडु	nadu	नाडु	nadu	PROPN;NOM;MASC;SG;3	N;MASC;SG
अक्ष	ejes	अक्ष	eje	N;NOM;MASC;SG;3	N;MASC;PL
अक्ष	hachas	अक्ष	hacha	N;NOM;MASC;SG;3	N;FEM;PL
अक्ष	ejes	अक्ष	eje	N;NOM;MASC;SG;3	N;MASC;PL
पन्ने	páginas	पन्ना	página	N;NOM;MASC;SG;3	N;FEM;PL
पन्ने	paginas	पन्ना	pagina	N;NOM;MASC;SG;3	N;FEM;PL
मोदी	modi	मोदी	modi	PROPN;NOM;SG;3	N;MASC;SG
एपिसोड	episodios	एपिसोड	episodio	N;NOM;MASC;SG;3	N;MASC;PL
डोमेन	dominios	डोमेन	dominio	N;NOM;MASC;SG;3	N;MASC;PL
डोमेन	dominios	डोमेन	dominio	N;NOM;MASC;SG;3	N;MASC;PL
मैक	mac	मैक	mac	PROPN;NOM;MASC;SG;3	N;MASC
आकलन	evaluaciones	आकलन	evaluación	N;NOM;MASC;SG;3	N;FEM;PL
आकलन	conjeturas	आकलन	conjetura	N;NOM;MASC;SG;3	N;FEM;PL
मध्यकालीन	medieval	मध्यकालीन	medieval	N;NOM;MASC;SG;3	ADJ;SG
पर्यावरणीय	medioambiente	पर्यावरणीय	medioambiente	ADJ;NOM	N;MASC;SG
पसंदीदा	favoritos	पसंदीदा	favorito	N;NOM;MASC;SG;3	N;MASC;PL
पसंदीदा	favorito	पसंदीदा	favorito	N;NOM;MASC;SG;3	ADJ;MASC;SG
पसंदीदा	marcadores	पसंदीदा	marcador	N;NOM;MASC;SG;3	N;MASC;PL
पसंदीदा	favoritos	पसंदीदा	favorito	N;NOM;MASC;SG;3	N;MASC;PL
पसंदीदा	favoritas	पसंदीदा	favorita	N;NOM;MASC;SG;3	N;FEM;PL
पसंदीदा	favorito	पसंदीदा	favorito	N;NOM;MASC;SG;3	ADJ;MASC;SG
पसंदीदा	favoritos	पसंदीदा	favorito	N;NOM;MASC;SG;3	N;MASC;PL
पसंदीदा	favoritas	पसंदीदा	favorita	N;NOM;MASC;SG;3	N;FEM;PL
मुकदमा	trial	मुकदमा	trial	N;NOM;MASC;SG;3	
मुकदमा	sue	मुकदमा	ser	N;NOM;MASC;SG;3	PROPN
मुकदमा	demandar	मुकदमा	demandar	N;NOM;MASC;SG;3	V;NFIN
कार्ल	carl	कार्ल	carl	PROPN;NOM;MASC;SG;3	PROPN
कार्ल	carlos	कार्ल	carlo	PROPN;NOM;MASC;SG;3	N;MASC;SG
वियतनाम	vietnam	वियतनाम	vietnam	PROPN;NOM;MASC;SG;3	N;FEM;SG
तलवार	lance	तलवार	lance	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
तुलनात्मक	comparativo	तुलनात्मक	comparativo	N;NOM;MASC;SG;3	ADJ;MASC;SG
तुलनात्मक	comparado	तुलनात्मक	comparado	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
तुलनात्मक	comparativas	तुलनात्मक	comparativo	N;NOM;MASC;SG;3	ADJ;FEM;PL
उत्पादक	productivo	उत्पादक	productivo	N;NOM;MASC;SG;3	ADJ;MASC;SG
उत्पादक	productivos	उत्पादक	productivo	N;NOM;MASC;SG;3	ADJ;MASC;PL
उत्पादक	productivas	उत्पादक	productivo	N;NOM;MASC;SG;3	ADJ;FEM;PL
उत्पादक	productiva	उत्पादक	productivo	N;NOM;MASC;SG;3	ADJ;FEM;SG
उत्पादक	productores	उत्पादक	productor	N;NOM;MASC;SG;3	N;MASC;PL
उत्पादक	productoras	उत्पादक	productora	N;NOM;MASC;SG;3	N;FEM;PL
उत्पादक	fabricantes	उत्पादक	fabricante	N;NOM;MASC;SG;3	N;PL
प्राकृत	prácrito	प्राकृत	prácrito	N;NOM;MASC;SG;3	
आयरिश	irlanda	आयरिश	irlanda	PROPN;NOM;MASC;SG;3	N;FEM;SG
आयरिश	irlandeses	आयरिश	irlandés	PROPN;NOM;MASC;SG;3	N;MASC;PL
आयरिश	irish	आयरिश	irish	PROPN;NOM;MASC;SG;3	N
आयरिश	irlandesa	आयरिश	irlandés	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
आयरिश	irlandés	आयरिश	irlandés	PROPN;NOM;MASC;SG;3	N;MASC;SG
अभिलेख	archivar	अभिलेख	archivar	N;NOM;MASC;SG;3	V;NFIN
अभिलेख	archivos	अभिलेख	archivo	N;NOM;MASC;SG;3	N;MASC;PL
अभिलेख	archivado	अभिलेख	archivar	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
अभिलेख	archivos	अभिलेख	archivo	N;NOM;MASC;SG;3	N;MASC;PL
राजकुमारी	infanta	राजकुमारी	infantar	PROPN;NOM;FEM;SG;3	N;FEM;SG
राजकुमारी	princesas	राजकुमारी	princesa	PROPN;NOM;FEM;SG;3	N;FEM;PL
राजकुमारी	princess	राजकुमारी	princess	PROPN;NOM;FEM;SG;3	N
राजकुमारी	princesa	राजकुमारी	princesa	PROPN;NOM;FEM;SG;3	N;FEM;SG
अनुचित	irrespetuoso	अनुचित	irrespetuoso	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अनुचित	injusto	अनुचित	injusto	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अनुचित	injustos	अनुचित	injusto	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
अनुचित	desleal	अनुचित	desleal	PROPN;NOM;MASC;SG;3	ADJ;SG
अनुचित	injusta	अनुचित	injusto	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
अनुचित	injustamente	अनुचित	injustamente	PROPN;NOM;MASC;SG;3	ADV
अनुचित	inapropiada	अनुचित	inapropiado	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
अनुचित	inapropiados	अनुचित	inapropiado	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL;V.PTCP
अनुचित	inadecuada	अनुचित	inadecuado	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
अनुचित	inadecuado	अनुचित	inadecuado	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अनुचित	inapropiado	अनुचित	inapropiado	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
कल	mañana	कल	mañana	N;NOM;MASC;SG;3	ADV
कल	ayer	कल	ayer	N;NOM;MASC;SG;3	ADV
इनकार	niegan	इनकार	negar	N;NOM;MASC;SG;3	V;IND;PL;3;PRS;FIN
इनकार	negar	इनकार	negar	N;NOM;MASC;SG;3	V;NFIN
इनकार	denegar	इनकार	denegar	N;NOM;MASC;SG;3	V;NFIN
इनकार	negado	इनकार	negado	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
इनकार	niegue	इनकार	niegue	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
प्रतिकूल	desfavorable	प्रतिकूल	desfavorable	PROPN;NOM;SG;3	ADJ;SG
प्रतिकूल	desfavorables	प्रतिकूल	desfavorable	PROPN;NOM;SG;3	ADJ;PL
प्रतिकूल	adversas	प्रतिकूल	adverso	PROPN;NOM;SG;3	ADJ;FEM;PL
प्रतिकूल	adverso	प्रतिकूल	adverso	PROPN;NOM;SG;3	ADJ;MASC;SG
प्रतिकूल	adversa	प्रतिकूल	adverso	PROPN;NOM;SG;3	ADJ;FEM;SG
प्रतिकूल	adversos	प्रतिकूल	adverso	PROPN;NOM;SG;3	N;MASC;PL
प्रतिकूल	hostil	प्रतिकूल	hostil	PROPN;NOM;SG;3	ADJ;SG
प्रतिकूल	hostiles	प्रतिकूल	hostil	PROPN;NOM;SG;3	ADJ;PL
नींद	duerma	नींद	duerma	N;NOM;FEM;SG;3	V;SBJV;SG;3;FIN
नींद	duerme	नींद	dormir	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
नींद	dormir	नींद	dormir	N;NOM;FEM;SG;3	V;NFIN
बाँध	dam	बाँध	dam	PROPN;NOM;MASC;SG;3	N;MASC
बाँध	presa	बाँध	presa	PROPN;NOM;MASC;SG;3	N;FEM;SG
बाँध	embalse	बाँध	embalse	PROPN;NOM;MASC;SG;3	N;MASC;SG
बाँध	represa	बाँध	represar	PROPN;NOM;MASC;SG;3	N;FEM;SG
बाँध	dique	बाँध	dique	PROPN;NOM;MASC;SG;3	N;MASC;SG
विवादास्पद	polémica	विवादास्पद	polémica	ADJ	N;FEM;SG
बेहतरीन	best	बेहतरीन	best	ADJ	N;MASC;SG
बेहतरीन	mejor	बेहतरीन	mejor	ADJ	ADV
तालिका	cuadro	तालिका	cuadro		N;MASC;SG
तालिका	mesa	तालिका	mesa		N;FEM;SG
तालिका	tabla	तालिका	tabla		N;FEM;SG
तालिका	catálogo	तालिका	catálogo		N;MASC;SG
तालिका	catalogo	तालिका	catalogo		N;MASC;SG
यथार्थ	real	यथार्थ	real	ADV	ADJ;SG
यथार्थ	reales	यथार्थ	real	ADV	ADJ;PL
यथार्थ	verdadero	यथार्थ	verdadero	ADV	ADJ;MASC;SG
रहस्य	secretos	रहस्य	secreto	N;NOM;MASC;SG;3	N;MASC;PL
रहस्य	misteriosa	रहस्य	misterioso	N;NOM;MASC;SG;3	ADJ;FEM;SG
रहस्य	misterios	रहस्य	misterio	N;NOM;MASC;SG;3	N;MASC;PL
रहस्य	misterioso	रहस्य	misterioso	N;NOM;MASC;SG;3	ADJ;MASC;SG
रहस्य	secreta	रहस्य	secreto	N;NOM;MASC;SG;3	ADJ;FEM;SG
रहस्य	secretos	रहस्य	secreto	N;NOM;MASC;SG;3	N;MASC;PL
वृत्त	círculos	वृत्त	círculo	N;NOM;MASC;SG;3	N;MASC;PL
रोहित	rohit	रोहित	rohit	PROPN;NOM;MASC;SG;3	N;MASC;SG
रुपए	rupias	रुपया	rupio	N;NOM;MASC;SG;3	N;FEM;PL
रुपए	rs	रुपया	rs	N;NOM;MASC;SG;3	
पूरक	complementar	पूरक	complementar	N;NOM;MASC;SG;3	V;NFIN
पूरक	complementos	पूरक	complemento	N;NOM;MASC;SG;3	N;MASC;PL
पूरक	suplementos	पूरक	suplemento	N;NOM;MASC;SG;3	N;MASC;PL
पूरक	complementaria	पूरक	complementario	N;NOM;MASC;SG;3	ADJ;FEM;SG
पूरक	complementario	पूरक	complementario	N;NOM;MASC;SG;3	ADJ;MASC;SG
पूरक	complementarias	पूरक	complementario	N;NOM;MASC;SG;3	ADJ;FEM;PL
पूरक	complementarios	पूरक	complementario	N;NOM;MASC;SG;3	ADJ;MASC;PL
स्पेस	espaciales	स्पेस	espacial	N;NOM;MASC;SG;3	ADJ;PL
स्पेस	espacial	स्पेस	espacial	N;NOM;MASC;SG;3	ADJ;SG
वाशिंगटन	washington	वाशिंगटन	washington	PROPN;NOM;MASC;SG;3	PROPN
बर्लिन	berlin	बर्लिन	berlin	PROPN;NOM;MASC;SG;3	N;MASC;SG
बर्लिन	berlín	बर्लिन	berlín	PROPN;NOM;MASC;SG;3	N;MASC;SG
पैटर्न	pautas	पैटर्न	pauta	N;NOM;MASC;SG;3	N;FEM;PL
पैटर्न	patrones	पैटर्न	patrón	N;NOM;MASC;SG;3	N;MASC;PL
पैटर्न	patrones	पैटर्न	patrón	N;NOM;MASC;SG;3	N;MASC;PL
गोल्डन	oro	गोल्डन	oro	PROPN;NOM;MASC;SG;3	N;MASC;SG
गोल्डन	dorada	गोल्डन	dorado	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
गोल्डन	golden	गोल्डन	golden	PROPN;NOM;MASC;SG;3	N;MASC;SG
गोल्डन	dorado	गोल्डन	dorado	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
