von	no	von	no	ADP	
weiterleitung	nosūtīšana	weiterleitung	nosūtīšana	ADJ	N;NOM;FEM;SG
weiterleitung	pārraide	weiterleitung	pārraide	ADJ	N;NOM;FEM;SG
weiterleitung	pārvades	weiterleitung	pārvade	ADJ	N;NOM;FEM;PL
weiterleitung	pārsūtīšana	weiterleitung	pārsūtīšana	ADJ	N;NOM;FEM;SG
weiterleitung	nosūtīšanu	weiterleitung	nosūtīšana	ADJ	N;ACC;FEM;SG
weiterleitung	pārsūtīšana	weiterleitung	pārsūtīšana	ADJ	N;NOM;FEM;SG
ausstellungen	gadatirgus	ausstellingen	gadatirgus	N;NOM;FEM;PL	N;NOM;MASC;SG
ausstellungen	izstādēs	ausstellingen	izstāde	N;NOM;FEM;PL	N;ESS;FEM;PL
ausstellungen	piemīt	ausstellingen	piemist	N;NOM;FEM;PL	V;FH;IND;3;POS;PRS;FIN;ACT
ausstellungen	izstāde	ausstellingen	izstāde	N;NOM;FEM;PL	N;NOM;FEM;SG
ausstellungen	izstādē	ausstellingen	izstāde	N;NOM;FEM;PL	N;ESS;FEM;SG
roger	sapratu	roger	saprast	PROPN;NOM;MASC;SG	V;FH;IND;SG;1;POS;PST;FIN;ACT
roger	rodžers	roger	rodžers	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
kurzer	īsi	kurz	īsi	ADJ	ADV
kurzer	īsi	kurz	īsi	ADJ	ADV
tempel	templi	tempel	templis		N;ACC;MASC;SG
bearbeitung	labot	bearbeitung	labot	N;NOM;FEM;SG	V;POS;NFIN
bearbeitung	rediģēt	bearbeitung	rediģēt	N;NOM;FEM;SG	V;POS;NFIN
nutzer	izmantotāji	nutzer	izmantotājs		N;NOM;MASC;PL
nutzer	lietotāji	nutzer	lietotājs		N;NOM;MASC;PL
nutzer	lietotājs	nutzer	lietotājs		N;NOM;MASC;SG
nutzer	lietotāja	nutzer	lietotāja		N;NOM;MASC;SG
nutzer	lietotājam	nutzer	lietotājs		N;DAT;MASC;SG
gedacht	doma	denken|gedenken	doma	V;V.PTCP	N;NOM;FEM;SG
vierte	ceturtajā	viert	ceturtais	ADJ;NOM;FEM;SG	ADJ;ESS;DEF;FEM;SG
erfahrung	pieredzes	erfahrung	pieredze	ADJ	N;NOM;FEM;PL
erfahrung	pieredze	erfahrung	pieredze	ADJ	N;NOM;FEM;SG
erfahrung	pieredzes	erfahrung	pieredze	ADJ	N;NOM;FEM;PL
carlos	carlos	carlos	carls	PROPN;NOM;SG	PROPN
denken	domāšana	denken	domāšana	V;NFIN	N;NOM;FEM;SG
denken	padomā	denken	padomāt	V;NFIN	N;MASC;SG
denken	domāšana	denken	domāšana	V;NFIN	N;NOM;FEM;SG
denken	domāšanas	denken	domāšana	V;NFIN	N;NOM;FEM;PL
täglich	ikdienas	täglich	ikdiena	ADJ	N;NOM;FEM;PL
täglich	ikdienā	täglich	ikdiena	ADJ	N;ESS;FEM;SG
täglich	dienā	täglich	diena	ADJ	N;ESS;FEM;SG
täglich	dienas	täglich	diena	ADJ	N;NOM;FEM;PL
breslau	vroclavā	breslau	vroclava	PROPN;NOM;SG	PROPN;ESS;FEM;SG
breslau	wrocław	breslau	wrocław	PROPN;NOM;SG	
umfang	apkārtmērs	umfingen	apkārtmērs		N;NOM;MASC;SG
umfang	apjoms	umfingen	apjoms		N;NOM;MASC;SG
umfang	tilpums	umfingen	tilpums		N;NOM;MASC;SG
umfang	joma	umfingen	joma		N;NOM;FEM;SG
laufen	braukšana	laufen	braukšana	V;NFIN	N;NOM;FEM;SG
kern	kodola	kern	kodols	ADJ	N;GEN;MASC;SG
kern	kodols	kern	kodols	ADJ	N;NOM;MASC;SG
kern	kodola	kern	kodols	ADJ	N;GEN;MASC;SG
bill	rēķinu	billen	rēķins	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
bill	bils	billen	bils	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
dom	katedrāle	dom	katedrāle	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
dom	dome	dom	dome	PROPN;NOM;MASC;SG	N;NOM;FEM;SG
dom	duomo	dom	duomo	PROPN;NOM;MASC;SG	
dom	dom	dom	dom	PROPN;NOM;MASC;SG	
kaufmann	uzņēmējs	kaufmann	uzņēmējs		N;NOM;MASC;SG
direkte	tiešā	direkt	tieša	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
direkte	tiešs	direkt	tiešs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
direkte	tiešais	direkt	tiešais	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
direkte	direct	direkt	direct	ADJ;NOM;FEM;PL	
direkte	tieša	direkt	tieša	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
schließt	noslēdz	schließen	noslēgt	V;IND;SG;3;PRS;FIN	V;FH;IND;SG;2;POS;PRS;FIN;ACT
schließt	aizver	schließen	aizvērt	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
schließt	slēdz	schließen	slēgt	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
schließt	noslēdz	schließen	noslēgt	V;IND;SG;3;PRS;FIN	V;FH;IND;SG;2;POS;PRS;FIN;ACT
brief	vēstule	brufen	vēstule	V;IND;SG;3;PST;FIN	N;NOM;FEM;SG
brief	burts	brufen	burts	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG
ben	bens	ben	bens		PROPN;NOM;MASC;SG
ben	ben	ben	ben		
awards	apbalvošana	awards	apbalvošana	PROPN	N;NOM;FEM;SG
awards	balva	awards	balva	PROPN	N;NOM;FEM;SG
awards	balvas	awards	balva	PROPN	N;NOM;FEM;PL
force	piespiest	force	piespiest	PROPN;NOM;SG	V;POS;NFIN
force	spēkā	force	spēks	PROPN;NOM;SG	N;ESS;MASC;SG
force	spēka	force	spēks	PROPN;NOM;SG	N;GEN;MASC;SG
force	spēks	force	spēks	PROPN;NOM;SG	N;NOM;MASC;SG
maximal	max	maximal	maxēt	ADJ	
maximal	maks	maximal	maks	ADJ	N;NOM;MASC;SG
maximal	makss	maximal	makss	ADJ	PROPN;NOM;MASC;SG
maximal	galotnēm	maximal	galotne	ADJ	N;DAT;FEM;PL
maximal	maksimums	maximal	maksimums	ADJ	N;NOM;MASC;SG
maximal	maksimāli	maximal	maksimāli	ADJ	ADV
forum	forumos	forum	forums		N;ESS;MASC;PL
forum	forums	forum	forums		N;NOM;MASC;SG
forum	forumā	forum	forums		N;ESS;MASC;SG
forum	forum	forum	forum		
passiert	gadījās	passieren	gadīties	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;REFL;PST;FIN;ACT
passiert	notika	passieren	notikt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PST;FIN;ACT
fahren	disks	fahren	disks	V;NFIN	N;NOM;MASC;SG
fahren	braukšanas	fahren	braukšana	V;NFIN	N;NOM;FEM;SG
fahren	braukšana	fahren	braukšana	V;NFIN	N;NOM;FEM;SG
fahren	vadīšana	fahren	vadīšana	V;NFIN	N;NOM;FEM;SG
physiker	fizikas	physiker	fizika	ADJ	N;NOM;FEM;PL
physiker	fiziķe	physiker	fiziķe	ADJ	PROPN;NOM;FEM;SG
physiker	fiziķi	physiker	fiziķis	ADJ	N;NOM;MASC;PL
weltmeister	čempions	weltmeister	čempions	ADJ	N;NOM;MASC;SG
preise	cenas	preis	cena	ADJ	N;NOM;FEM;PL
preise	likmes	preis	likme	ADJ	N;NOM;FEM;PL
preise	apbalvošana	preis	apbalvošana	ADJ	N;NOM;FEM;SG
preise	balva	preis	balva	ADJ	N;NOM;FEM;SG
preise	balvas	preis	balva	ADJ	N;NOM;FEM;PL
preise	godalgas	preis	godalga	ADJ	N;NOM;FEM;PL
preise	balvas	preis	balva	ADJ	N;NOM;FEM;PL
philosoph	filozofs	philosoph	filozofs	PROPN;NOM;SG	N;NOM;MASC;SG
klassische	klasiskais	klassisch	klasisks	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
klassische	klasisko	klassisch	klasiska	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
klassische	klasiskā	klassisch	klasiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
klassische	klasisks	klassisch	klasisks	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
klassische	klasika	klassisch	klasika	ADJ;NOM;FEM;PL	N;NOM;FEM;SG
klassische	klasiska	klassisch	klasiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
klassische	klasisks	klassisch	klasisks	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
goldenen	golden	golden	golden	ADJ;NOM;MASC;PL	
goldenen	zelta	golden	zelts	ADJ;NOM;MASC;PL	N;GEN;MASC
times	laiki	times	laiks	PROPN;NOM;SG	N;NOM;MASC;PL
oliver	olivers	oliver	olivers	ADJ	PROPN;NOM;MASC;SG
ensemble	ansamblis	ensemble	ansamblis		N;NOM;MASC;SG
diplomat	diplomāts	diplomat	diplomāts	ADJ	N;NOM;MASC;SG
wissenschaftler	pētnieku	wissenschaftl	pētnieks	ADJ	N;ACC;MASC;SG
wissenschaftler	pētnieks	wissenschaftl	pētnieks	ADJ	N;NOM;MASC;SG
wissenschaftler	zinātnieks	wissenschaftl	zinātnieks	ADJ	N;NOM;MASC;SG
wissenschaftler	zinātnieki	wissenschaftl	zinātnieks	ADJ	N;NOM;MASC;PL
wissenschaftler	pētniekiem	wissenschaftl	pētnieks	ADJ	N;DAT;MASC;PL
wissenschaftler	pētnieki	wissenschaftl	pētnieks	ADJ	N;NOM;MASC;PL
wissenschaftler	zinātnieki	wissenschaftl	zinātnieks	ADJ	N;NOM;MASC;PL
wissenschaftler	zinātniekiem	wissenschaftl	zinātnieks	ADJ	N;DAT;MASC;PL
malerei	gleznu	malerei	glezna	ADJ;NOM;FEM;SG	N;ACC;FEM;SG
malerei	krāsošana	malerei	krāsošana	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
malerei	zīmēšana	malerei	zīmēšana	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
malerei	glezna	malerei	glezna	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
malerei	gleznas	malerei	glezna	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
gewicht	atsvari	wechen	atsvars	N;NOM;NEUT;SG	N;NOM;MASC;PL
gewicht	svaru	wechen	svars	N;NOM;NEUT;SG	N;ACC;MASC;SG
gewicht	svara	wechen	svars	N;NOM;NEUT;SG	N;GEN;MASC;SG
absolut	absolūtais	absolut	absolūts	ADV	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
absolut	absolūtā	absolut	absolūt	ADV	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
absolut	absolūts	absolut	absolūts	ADV	ADJ;NOM;MASC;SG
ergeben	nodošanas	ergeben	nodošana	V;V.PTCP	N;NOM;FEM;PL
ergeben	nodošana	ergeben	nodošana	V;V.PTCP	N;NOM;FEM;SG
ergeben	atteikšanās	ergeben	atteikšanās	V;V.PTCP	N;NOM;FEM;SG
who	kas	who	kas	PROPN;NOM;SG	PRO;NOM
who	pvo	who	pvo	PROPN;NOM;SG	PROPN
who	kurš	who	kurš	PROPN;NOM;SG	PRO;NOM;MASC;SG
glück	bagātību	glück	bagātība	N;NOM;SG	N;ACC;FEM;SG
glück	laimes	glück	laime	N;NOM;SG	N;NOM;FEM;PL
glück	laimīgā	glück	laimīgs	N;NOM;SG	ADJ;NOM;FEM;SG
glück	laimīgais	glück	laimīgs	N;NOM;SG	ADJ;NOM;MASC;SG
glück	laimi	glück	laime	N;NOM;SG	N;ACC;FEM;SG
glück	laimes	glück	laime	N;NOM;SG	N;NOM;FEM;PL
glück	veiksmi	glück	veiksme	N;NOM;SG	N;ACC;FEM;SG
veränderungen	pārveidojumi	veränderung	pārveidojums	V;NFIN	N;NOM;MASC;PL
veränderungen	modifikācijas	veränderung	modifikācija	V;NFIN	N;NOM;FEM;PL
veränderungen	izmaiņas	veränderung	izmaiņa	V;NFIN	N;NOM;FEM;PL
veränderungen	pārmaiņas	veränderung	pārmaiņa	V;NFIN	N;NOM;FEM;PL
autorin	rakstnieks	autorin	rakstnieks	PROPN	N;NOM;MASC;SG
autorin	autors	autorin	autors	PROPN	N;NOM;MASC;SG
autorin	autore	autorin	autore	PROPN	N;NOM;FEM;SG
gitarre	ģitāra	gitarre	ģitāra	ADJ	N;NOM;FEM;SG
gitarre	ģitāras	gitarre	ģitāra	ADJ	N;NOM;FEM;PL
patrick	patriks	patrick	patrikt	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
behörden	iestādes	behörden	iestāde	V;NFIN	N;NOM;FEM;PL
behörden	administrācijas	behörden	administrācija	V;NFIN	N;NOM;FEM;PL
rechtsanwalt	jurists	rechtsanwalt	jurists	ADJ	N;NOM;MASC;SG
rechtsanwalt	advokātu	rechtsanwalt	advokāts	ADJ	N;ACC;MASC;SG
rechtsanwalt	advokāts	rechtsanwalt	advokāts	ADJ	N;NOM;MASC;SG
rechtsanwalt	advokāta	rechtsanwalt	advokāta	ADJ	N;NOM;MASC;SG
umwelt	vides	umwelt	vide	N;NOM;FEM;SG	N;NOM;FEM;PL
ingenieur	inženierijas	ingenieur	inženierija		N;NOM;FEM;PL
ingenieur	inženieri	ingenieur	inženieris		N;NOM;MASC;PL
ingenieur	inženieris	ingenieur	inženieris		N;NOM;MASC;SG
goldene	golden	golden	golden	ADJ;NOM;FEM;PL	
goldene	zelta	golden	zelts	ADJ;NOM;FEM;PL	N;GEN;MASC
goldene	zeltā	golden	zelts	ADJ;NOM;FEM;PL	N;ESS;MASC;SG
goldene	zelta	golden	zelts	ADJ;NOM;FEM;PL	N;GEN;MASC
goldene	zelts	golden	zelts	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
manager	pārvaldnieks	manager	pārvaldnieks	ADJ	N;NOM;MASC;SG
manager	vadītājs	manager	vadītājs	ADJ	N;NOM;MASC;SG
manager	vadītāji	manager	vadītājs	ADJ	N;NOM;MASC;PL
manager	pārvaldnieki	manager	pārvaldnieks	ADJ	N;NOM;MASC;PL
senat	senāta	senaen	senāt		N;NOM;MASC;SG
senat	senāts	senaen	senāts		N;NOM;MASC;SG
reisen	braucieni	reisen	brauciens	V;NFIN	N;NOM;MASC;PL
reisen	ceļošana	reisen	ceļošana	V;NFIN	N;NOM;FEM;SG
reisen	ceļojumi	reisen	ceļojums	V;NFIN	N;NOM;MASC;PL
reisen	ekskursijas	reisen	ekskursija	V;NFIN	N;NOM;FEM;PL
reisen	braucienos	reisen	brauciens	V;NFIN	N;ESS;MASC;PL
reisen	braucieni	reisen	brauciens	V;NFIN	N;NOM;MASC;PL
reisen	trips	reisen	trips	V;NFIN	
reisen	ceļojumi	reisen	ceļojums	V;NFIN	N;NOM;MASC;PL
rundfunk	pārraida	rundfunk	pārraidīt		V;FH;IND;3;POS;PRS;FIN;ACT
rundfunk	pārraide	rundfunk	pārraide		N;NOM;FEM;SG
rundfunk	raidījums	rundfunk	raidījums		N;NOM;MASC;SG
rundfunk	raidījumu	rundfunk	raidījums		N;ACC;MASC;SG
rundfunk	apraides	rundfunk	apraide		N;NOM;FEM;PL
rundfunk	apraide	rundfunk	apraide		N;NOM;FEM;SG
rundfunk	rundfunk	rundfunk	rundfunk		
rundfunk	apraides	rundfunk	apraide		N;NOM;FEM;PL
rundfunk	apraide	rundfunk	apraide		N;NOM;FEM;SG
rundfunk	radio	rundfunk	radio		N
hoffmann	hofmanis	hoffmann	hofmanis	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
hoffmann	hofmans	hoffmann	hofmans	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
reinhard	reinhard	reinhard	reinhard	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
din	din	din	din		
erinnerung	atceres	erinnerung	atcere	ADJ	N;NOM;FEM;PL
erinnerung	piemiņas	erinnerung	piemiņa	ADJ	N;NOM;FEM;PL
erinnerung	atmiņas	erinnerung	atmiņas	ADJ	N;NOM;FEM
erinnerung	atgādinājums	erinnerung	atgādinājums	ADJ	N;NOM;MASC;SG
erinnerung	signalizācija	erinnerung	signalizācija	ADJ	N;NOM;FEM;SG
erinnerung	atmiņa	erinnerung	atmiņa	ADJ	N;NOM;FEM;SG
erinnerung	atmiņas	erinnerung	atmiņas	ADJ	N;NOM;FEM
urteil	spriedumi	urteil	spriedums	N;SG	N;NOM;MASC;PL
wichtigste	galvenās	wichtig	galvenā	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
internationaler	international	international	international	ADJ	
internationaler	starptautiski	international	starptautiski	ADJ	ADV
botschafter	vēstnieks	botschafter	vēstnieks	ADJ	N;NOM;MASC;SG
botschafter	vēstnieku	botschafter	vēstnieks	ADJ	N;ACC;MASC;SG
drehbuchautor	scenārists	drehbuchautor	scenārists	ADJ	N;NOM;MASC;SG
drehbuchautor	scenāriste	drehbuchautor	scenāriste	ADJ	N;NOM;FEM;SG
heilige	svēto	heilig	svēts	ADJ;NOM;FEM;PL	N
heilige	svēto	heilig	svēts	ADJ;NOM;FEM;PL	N
heilige	svētais	heilig	svēts	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
heilige	svēta	heilig	svēta	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
marx	markss	marx	markss	PROPN;NOM;SG	N;NOM;MASC;SG
nominierung	izvirza	nominierung	izvirzīt	N;NOM;FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
nominierung	izvirzīts	nominierung	izvirzīt	N;NOM;FEM;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
nominierung	izvirzīšanas	nominierung	izvirzīšana	N;NOM;FEM;SG	N;NOM;FEM;PL
nominierung	nominācijas	nominierung	nominācija	N;NOM;FEM;SG	N;NOM;FEM;PL
nominierung	nomināciju	nominierung	nominācija	N;NOM;FEM;SG	N;ACC;FEM;SG
moritz	moriss	moritz	moriss	PROPN;NOM;SG	PROPN;NOM;MASC;SG
moritz	morics	moritz	morics	PROPN;NOM;SG	PROPN;NOM;MASC;SG
festgelegt	komplekts	festlegen	komplekts	V;V.PTCP	N;NOM;MASC;SG
festgelegt	kopa	festlegen	kopt	V;V.PTCP	N;NOM;FEM;SG
fraktion	frakcija	fraktion	frakcija	PROPN	N;NOM;FEM;SG
fraktion	frakciju	fraktion	frakcija	PROPN	N;ACC;FEM;SG
wirtschaftliche	ekonomikas	wirtschaftlich	ekonomika	ADJ;NOM;FEM;PL	N;NOM;FEM;PL
wirtschaftliche	ekonomiskais	wirtschaftlich	ekonomisks	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
wirtschaftliche	ekonomiskā	wirtschaftlich	ekonomiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
wirtschaftliche	ekonomiska	wirtschaftlich	ekonomiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
wirtschaftliche	ekonomiska	wirtschaftlich	ekonomiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
üblichen	parasti	üblich	parasti	ADJ	ADV
bauen	ēkas	bauen	ēka	V;NFIN	N;NOM;FEM;PL
bauen	ēka	bauen	ēka	V;NFIN	N;NOM;FEM;SG
filmografie	filmogrāfija	filmografie	filmogrāfija		N;NOM;FEM;SG
lord	pavēlnieks	lord	pavēlnieks	PROPN;NOM;SG	N;NOM;MASC;SG
lord	kungs	lord	kungs	PROPN;NOM;SG	N;NOM;MASC;SG
auge	acī	auge	acī	N;NOM;SG	N;ESS;FEM;SG
auge	acu	auge	acs	N;NOM;SG	N;ACC;FEM;PL
katharina	džiliana	katharina	džiliana	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
katharina	katrīna	katharina	katrīns	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
geburt	dzemdības	geburen	dzemdība	N;SG	N;NOM;FEM;PL
geburt	dzemdības	geburen	dzemdība	N;SG	N;NOM;FEM;PL
obere	augšējo	ober	augšējs	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
obere	augšējā	ober	augšēja	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
obere	augstākais	ober	augsts	ADJ;NOM;FEM;PL	ADJ;NOM;CMPR;MASC;SG
obere	augšējais	ober	augšējs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
olympische	olympic	olympisch	olympic	ADJ;NOM;FEM;PL	
olympische	olimpiskā	olympisch	olimpiska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
olympische	olimpiskajā	olympisch	olimpiska	ADJ;NOM;FEM;PL	ADJ;ESS;FEM;SG
olympische	olimpiskais	olympisch	olimpisks	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
rose	roze	rose	roze	PROPN;NOM;SG	N;NOM;FEM;SG
wales	velsā	wales	velss	PROPN;NOM;MASC;SG	N;ESS;FEM;SG
wales	velsa	wales	veltīt	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
feuer	ugunsgrēks	feuer	ugunsgrēks		N;NOM;MASC;SG
feuer	uguns	feuer	uguns		N;NOM;FEM;SG
feuer	uguni	feuer	uguns		N;ACC;FEM;SG
feuer	ugunsgrēki	feuer	ugunsgrēke		N;NOM;MASC;PL
feuer	liesma	feuer	liesma		N;NOM;FEM;SG
feuer	liesmu	feuer	liesma		N;ACC;FEM;SG
feuer	liesmas	feuer	liesma		N;NOM;FEM;PL
feuer	aizdegšanās	feuer	aizdegšanās		N;NOM;FEM;SG
feuer	ugunskuru	feuer	ugunskurs		N;ACC;MASC;SG
prüfung	revīzijas	prüfung	revīzija	N;SG	N;NOM;FEM;PL
prüfung	testēšanas	prüfung	testēšana	N;SG	N;NOM;FEM;PL
vergessen	aizmirstībā	vergessen	aizmirstība	V;V.PTCP	N;ESS;FEM;SG
vergessen	aizmirsts	vergessen	aizmirst	V;V.PTCP	ADJ;NOM;MASC;SG
polnische	poļu	polnisch	polis	ADJ;NOM;FEM;PL	N;GEN;MASC;PL
polnische	polijas	polnisch	polija	ADJ;NOM;FEM;PL	PROPN;NOM;FEM;SG
distrikt	rajons	distrikt	rajons	ADJ	N;NOM;MASC;SG
distrikt	apgabals	distrikt	apgabals	ADJ	N;NOM;MASC;SG
iso	iso	iso	ist		N
stärker	spēcīgāk	stark	spēcīgi	ADJ	ADV;CMPR
irland	īrija	irland	īrija	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
irland	īrijā	irland	īrija	PROPN;NOM;NEUT;SG	N;ESS;FEM;SG
pennsylvania	pensilvānija	pennsylvania	pensilvānija	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
eugen	eugen	eugen	eugen		
aufmerksamkeit	uzmanību	aufmerksamkeit	uzmanība	ADJ	N;ACC;FEM;SG
aufmerksamkeit	uzmanība	aufmerksamkeit	uzmanība	ADJ	N;NOM;FEM;SG
aufmerksamkeit	uzmanības	aufmerksamkeit	uzmanība	ADJ	N;NOM;FEM;PL
generell	parasti	generell	parasti	ADJ	ADV
erlangen	erlangene	erlangen	erlangene	V;NFIN	N;NOM;FEM;SG
himmel	debesīm	himmel	debess		N;DAT;FEM;PL
himmel	debesis	himmel	debess		N;NOM;FEM;PL
himmel	debesīs	himmel	debess		N;ESS;FEM;PL
himmel	paradīze	himmel	paradīze		N;NOM;FEM;SG
himmel	debesis	himmel	debess		N;NOM;FEM;PL
himmel	debesis	himmel	debess		N;NOM;FEM;PL
himmel	sky	himmel	sky		
himmel	debesis	himmel	debess		N;NOM;FEM;PL
hundert	simti	hundert	simti	NUM	N;NOM;MASC;PL
hundert	simtu	hundert	simts	NUM	N;ACC;MASC;SG
hundert	simtus	hundert	simts	NUM	N;ACC;MASC;PL
hundert	simts	hundert	simts	NUM	N;NOM;MASC;SG
hundert	hundert	hundert	hundert	NUM	N;NOM;FEM;SG
hundert	simtu	hundert	simts	NUM	N;ACC;MASC;SG
hundert	simtiem	hundert	simts	NUM	N;DAT;MASC;PL
hundert	simti	hundert	simti	NUM	N;NOM;MASC;PL
mike	maiks	mike	maiks	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
eingang	ienākošās	eingehen	ienākt	N;SG	V;IPFV;NOM;DEF;FEM;PL;PRS;V.PTCP;PASS
eingang	ienākošo	eingehen	ienākt	N;SG	V;IPFV;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
eingang	ievades	eingehen	ievade	N;SG	N;NOM;FEM;PL
eingang	ieejas	eingehen	ieeja	N;SG	N;NOM;FEM;PL
eva	eva	eva	eva	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
eva	priekšvakarā	eva	priekšvakars	PROPN;NOM;FEM;SG	N;ESS;MASC;SG
western	rietumu	western	rietumi	PROPN;NOM;SG	N;ACC;MASC;SG
western	western	western	westerne	PROPN;NOM;SG	
green	zaļas	Green	zaļa	PROPN;NOM;SG	ADJ;NOM;FEM;PL
green	zaļa	Green	zaļš	PROPN;NOM;SG	ADJ;NOM;FEM;SG
green	zaļā	Green	zaļš	PROPN;NOM;SG	ADJ;NOM;FEM;SG
green	zaļš	Green	zaļš	PROPN;NOM;SG	ADJ;NOM;MASC;SG
green	zaļi	Green	zaļš	PROPN;NOM;SG	ADJ;NOM;MASC;PL
bessere	labāku	gut	labs	ADJ;NOM;FEM;PL	ADJ;ACC;CMPR;MASC;SG
bessere	labāka	gut	laba	ADJ;NOM;FEM;PL	ADJ;NOM;CMPR;FEM;SG
bessere	labāk	gut	labi	ADJ;NOM;FEM;PL	ADV;CMPR
bessere	labāks	gut	labs	ADJ;NOM;FEM;PL	ADJ;NOM;CMPR;MASC;SG
sir	kungs	sir	kungs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
sir	ser	sir	ser	PROPN;NOM;MASC;SG	
anhänger	atbalstītājiem	anhänger	atbalstītājs		N;DAT;MASC;PL
anhänger	atbalstītāji	anhänger	atbalstītājs		N;NOM;MASC;PL
anhänger	piekariņi	anhänger	piekariņš		N;NOM;MASC;PL
anhänger	piekabes	anhänger	piekabe		N;NOM;FEM;PL
anhänger	piekabju	anhänger	piekabe		N;GEN;FEM;PL
anhänger	sekotāju	anhänger	sekotājs		N;ACC;MASC;SG
anhänger	sekotāji	anhänger	sekotājs		N;NOM;MASC;PL
anhänger	piekabes	anhänger	piekabe		N;NOM;FEM;PL
erheblich	ievērojami	erheblich	ievērojami	ADJ	ADV
erheblich	ievērojams	erheblich	ievērojams	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
columbia	kolumbija	columbia	kolumbija	PROPN	N;NOM;FEM;SG
columbia	kolumbijas	columbia	kolumbija	PROPN	PROPN;NOM;FEM;SG
toten	mirusi	toten	mirt	V;PL;FIN	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
toten	miris	toten	mirt	V;PL;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
toten	beigts	toten	beigt	V;PL;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
kirchengemeinde	pagasts	kirchengemeinde	pagasts	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
kirchengemeinde	draudzi	kirchengemeinde	draudzi	ADJ;NOM;FEM;PL	N;ACC;FEM;SG
dänischen	dāņu	dänisch	dāna	ADJ;MASC	N;GEN;MASC;PL
dänischen	dānijas	dänisch	dānija	ADJ;MASC	PROPN;NOM;FEM;SG
kontext	kontekstos	kontext	konteksts	ADJ	N;ESS;MASC;PL
kontext	konteksts	kontext	konteksts	ADJ	N;NOM;MASC;SG
kontext	konteksta	kontext	konteksts	ADJ	N;GEN;MASC;SG
