được	okey	được	okey	V	
gắn	fenòmens	gắn	fenòmen	V	N;MASC;PL
sáu	six	sáu	six	NUM	PROPN
tặng	regal	tặng	regal	V	
tắc	paparra	tắc	paparra	V	N;FEM;SG
dọc	verticalment	dọc	verticalment	N	ADV
dọc	vertical	dọc	vertical	N	ADJ;SG
rgb	rgb	rgb	rgb	N	
dạy	ensenyament	dạy	ensenyament	V	N;MASC;SG
dạy	docència	dạy	docència	V	N;FEM;SG
dạy	impartit	dạy	impartir	V	ADJ;MASC;SG;V.PTCP
tránh	evitant	tránh	evitar	V	V;V.MSDR
tránh	evitar	tránh	evitar	V	V;NFIN
sớm	aviat	sớm	aviat	ADJ	N
thù	enemic	thù	enemic	N	
lông	ploma	lông	ploma	N	
lông	pèls	lông	pèl	N	
săn	hunt	săn	hunt	N	PROPN
săn	caça	săn	caça	N	
hungary	hongria	hungary	hongrir	N	ADJ;FEM;SG
hungary	hongarès	hungary	hongarès	N	ADJ;MASC;SG
tắt	discapacitats	tắt	discapacitat		N;MASC;PL
tắt	inhabilitat	tắt	inhabilitat		ADJ;MASC;SG;V.PTCP
tắt	deshabilitat	tắt	deshabilitat		ADJ;MASC;SG;V.PTCP
tắt	apagat	tắt	apagat		ADJ;MASC;SG;V.PTCP
quê	agricultor	quê	agricultor	N	ADJ;MASC;SG
quê	granger	quê	granger	N	
chấm	punts	chấm	punt	V	N;MASC;PL
chấm	dot	chấm	dot	V	
chấm	punt	chấm	punt	V	N;MASC;SG
gòn	gon	gòn	gon	N	PROPN
mũi	mui	mũi	mui	N	
mũi	nas	mũi	nas	N	
tĩnh	estàtic	tĩnh	estàtic	N	ADJ;MASC;SG
tĩnh	estàtica	tĩnh	estàtica	N	ADJ;FEM;SG
body	cos	body	cos		N;MASC;SG
hài	humorística	hài	humorístic	N	ADJ;FEM;SG
hài	funny	hài	funny	N	PROPN
hài	comèdia	hài	comèdia	N	V;IND;SG;3;PRS;FIN
trồng	plantació	trồng	plantació	V	N;FEM;SG
trồng	planta	trồng	planta	V	N;FEM;SG
thước	governant	thước	governar	N	V;V.MSDR
mexico	mèxic	mexico	mèxic	N	ADJ;MASC;SG
ngang	horitzontalment	ngang	horitzontalment	ADJ	ADV
nhẹ	lleus	nhẹ	lleu		ADJ;PL
nhẹ	lleu	nhẹ	lleu		ADJ;SG
nhẹ	fàcil	nhẹ	fàcil		ADJ;SG
nhẹ	lleuger	nhẹ	lleuger		ADJ;MASC;SG
nhẹ	flaca	nhẹ	flaca		N;FEM;SG
đáp	land	đáp	land	V	PROPN
khô	secà	khô	secà	V	N;MASC;SG
ném	tirant	ném	tirar	V	V;V.MSDR
xúc	insults	xúc	insult	V	N;MASC;PL
xúc	insult	xúc	insult	V	ADJ;MASC;SG
rơi	cascades	rơi	cascada	V	ADJ;FEM;PL;V.PTCP
rơi	caiguda	rơi	caiguda	V	N;FEM;SG
rơi	falling	rơi	falling	V	PROPN
rơi	caient	rơi	caure	V	
kém	bad	kém	bad	ADJ	PROPN
huyền	epic	huyền	epic	N	
huyền	èpica	huyền	èpic	N	ADJ;FEM;SG
tổn	trauma	tổn	trauma	V	N;MASC;SG
triết	marla	triết	marla	N	V;IND;SG;3;PRS;FIN
mời	invitació	mời	invitació	V	N;FEM;SG
mời	invitacions	mời	invitació	V	N;FEM;PL
chinh	creu	chinh	creure		V;IND;SG;3;PRS;FIN
simon	simon	simon	simon		PROPN
hoà	neerlandès	hoà	neerlandès		ADJ;MASC;SG
hoà	holandès	hoà	holandès		ADJ;MASC;SG
pennsylvania	pennsylvania	pennsylvania	pennsylvania		ADJ;FEM;SG
pennsylvania	pennsilvània	pennsylvania	pennsilvani		ADJ;FEM;SG
trinh	virgin	trinh	virjar	N	PROPN
trinh	verge	trinh	verge	N	
thiệt	real	thiệt	real	PART	ADJ;SG
lang	lang	lang	lang	N	
lang	hall	lang	hall	N	
lào	lao	lào	lao	N	
lào	laos	lào	laos	N	PROPN
tào	cao	tào	cao	N	PROPN
lỗi	bugs	lỗi	bug	N	
lỗi	bitxos	lỗi	bitx	N	ADJ;MASC;PL
lỗi	malament	lỗi	malament	N	ADV
background	antecedents	background	antecedent		N;MASC;PL
background	fons	background	fon		N;MASC;PL
lôi	lei	lôi	lei	V	
lôi	arrossegament	lôi	arrossegament	V	N;MASC;SG
ngọt	dolços	ngọt	dolç	ADJ	N;MASC;PL
ngọt	dolçor	ngọt	dolçor	ADJ	
ngọt	cerveseria	ngọt	cerveseria	ADJ	N;FEM;SG
huân	lord	huân	lord	N	
sóc	esquirol	sóc	esquirol	V	ADJ;MASC;SG
sóc	esquirols	sóc	esquirol	V	N;MASC;PL
chặn	blocs	chặn	bloc	V	N;MASC;PL
chặn	bloquejant	chặn	bloquejar	V	V;V.MSDR
chặn	bloc	chặn	bloc	V	N;MASC;SG
ống	touch	ống	touch	N	
ống	pipa	ống	pipa	N	
ống	gasoducte	ống	gasoducte	N	ADJ;MASC;SG
phước	beneïda	phước	beneït	N	ADJ;FEM;SG;V.PTCP
phước	esplèndida	phước	esplèndid	N	ADJ;FEM;SG;V.PTCP
phước	beneït	phước	beneit	N	ADJ;MASC;SG;V.PTCP
cừu	lamb	cừu	lamb	N	PROPN
cừu	xai	cừu	xai	N	
cừu	corder	cừu	corder	N	
trống	drum	trống	drum	V	N;MASC;SG
trống	tambor	trống	tambor	V	N;MASC;SG
trống	tambors	trống	tambor	V	N;MASC;PL
trống	buit	trống	buit	V	
trống	buida	trống	buit	V	ADJ;FEM;SG
indonesia	indonesi	indonesia	indonesi	N	ADJ;MASC;SG
indonesia	indonèsia	indonesia	indonesi	N	ADJ;FEM;SG
jpl	jpl	jpl	jpl		PROPN
nhánh	sucursal	nhánh	sucursal	N	
nhánh	branca	nhánh	branca	N	
nhiễm	infectats	nhiễm	infectat	V	ADJ;MASC;PL;V.PTCP
tàn	romanent	tàn	romanent	ADJ	
đuổi	acomiadat	đuổi	acomiadar	V	ADJ;MASC;SG;V.PTCP
đuổi	disparat	đuổi	disparar	V	ADJ;MASC;SG;V.PTCP
đuổi	chase	đuổi	chase	V	PROPN
bách	greus	bách	greu	N	ADJ;PL
bách	seriós	bách	seriós	N	ADJ;MASC;SG
hấp	tallarines	hấp	tallarina	V	N;FEM;PL
png	png	png	png	N	
hút	fum	hút	fum	V	
william	guillem	william	guillar		N;MASC;SG
william	william	william	william		N;MASC;SG
george	george	george	george		PROPN
air	aire	air	aire		N;MASC;SG
air	air	air	air		PROPN
cam	orange	cam	orange	N	
cam	taronja	cam	taronja	N	
cam	cam	cam	cam	N	
biện	bian	biện	bian	N	
họp	sessió	họp	sessió	V	N;FEM;SG
họp	reunió	họp	reunió	V	N;FEM;SG
họp	trobada	họp	trobada	V	N;FEM;SG
usd	cinquanta	usd	cinquanta	N	
may	maig	may	maig	ADJ	N
may	costura	may	costura	ADJ	N;FEM;SG
may	cosir	may	cosir	ADJ	
may	sort	may	sort	ADJ	N;FEM;SG
kia	kia	kia	kia	PROPN	PROPN
kia	hi	kia	hi	PROPN	PRO;3
kia	allà	kia	allà	PROPN	ADV
đinh	ding	đinh	ding	N	
dặm	kilòmetre	dặm	kilòmetre	N	
hoang	wild	hoang	wild	ADJ	PROPN
hoang	salvatge	hoang	salvatge	ADJ	
hoang	hoang	hoang	hoang	ADJ	
luân	chakra	luân	chakra	N	
đâu	on	đâu	on	PROPN	PRO
sắp	gairebé	sắp	gairebé		ADV
sắp	aviat	sắp	aviat		N
sắp	pròximes	sắp	pròxim		ADJ;FEM;PL
sắp	propers	sắp	proper		ADJ;MASC;PL
sắp	properes	sắp	proper		ADJ;FEM;PL
cân	pes	cân	pes	V	
hiếu	hospitalitat	hiếu	hospitalitat		N;FEM;SG
tận	terminal	tận	terminal	ADP	
mong	mong	mong	mong	V	
mong	esperança	mong	esperança	V	N;FEM;SG
rối	titella	rối	titella	V	
rượu	vi	rượu	vi	N	
minnesota	minnesota	minnesota	minnesota	N	ADJ;SG
góc	angle	góc	angle	N	
james	james	james	jama	N	PROPN
james	jaume	james	jaume	N	
thẩm	shen	thẩm	ser	N	PROPN
phu	phu	phu	phu	N	
nghỉ	vacances	nghỉ	vacança	V	N;FEM;PL
nghỉ	descans	nghỉ	descans	V	N;MASC;SG
paul	paul	paul	paul		PROPN
thua	perdent	thua	perdre	V	V;V.MSDR
thua	perdedor	thua	perdedor	V	ADJ;MASC;SG
thua	perduda	thua	perdre	V	ADJ;FEM;SG;V.PTCP
thua	perduts	thua	perdut	V	ADJ;MASC;PL;V.PTCP
thua	lost	thua	lost	V	PROPN
thua	perdut	thua	perdut	V	ADJ;MASC;SG;V.PTCP
uống	beguda	uống	beguda	V	N;FEM;SG
uống	begudes	uống	beguda	V	N;FEM;PL
nhu	nhu	nhu	nhu	N	
phạt	castigat	phạt	castigat	N	ADJ;MASC;SG;V.PTCP
đoán	endevinar	đoán	endevinar	V	V;NFIN
chị	sister	chị	sister	N	
thịnh	avatar	thịnh	avatar	N	
thịnh	sheng	thịnh	sheng	N	
phe	side	phe	side	N	
huế	huế	huế	hu/	N	
bến	alger	bến	alger	N	
lam	lam	lam	lam	N	PROPN
lam	fet	lam	fet	N	ADJ;MASC;SG;V.PTCP
hoài	aconseguit	hoài	aconseguit	N	ADJ;MASC;SG;V.PTCP
hoài	assolits	hoài	assolit	N	ADJ;MASC;PL;V.PTCP
ukraina	ucraïna	ukraina	ucraí	N	ADJ;FEM;SG
nhắc	indicatiu	nhắc	indicatiu	V	ADJ;MASC;SG
internet	internet	internet	internet		N;SG
trà	tea	trà	tea	N	
trà	te	trà	te	N	
der	der	der	der	N	PROPN
kiên	paciència	kiên	paciència	ADJ	N;FEM;SG
hạc	arpa	hạc	arpa	N	
malaysia	malàisia	malaysia	malàisia	N	
malaysia	malaisi	malaysia	malaisi	N	
nóng	hot	nóng	hot	ADJ	PROPN
nóng	calent	nóng	calent	ADJ	
pha	pha	pha	pha	N	
pha	make	pha	make	N	
phức	microscopi	phức	microscopi	V	N;MASC;SG
tròn	circumferència	tròn	circumferència	ADJ	N;FEM;SG
tròn	cercle	tròn	cercle	ADJ	N;MASC;SG
nhảy	saltant	nhảy	saltar	V	V;V.MSDR
lạnh	fred	lạnh	fred	ADJ	N;MASC;SG
đòi	demanda	đòi	demanda	V	N;FEM;SG
tiêm	injecció	tiêm	injecció	V	N;FEM;SG
tiêm	condició	tiêm	condició	V	N;FEM;SG
zealand	zelanda	zealand	zelanda	N	ADJ;FEM;SG
bottom	bottom	bottom	bottom		PROPN
bottom	fons	bottom	fon		N;MASC;PL
nhi	nhi	nhi	nhi	N	
đau	dolor	đau	dolor	ADJ	N;MASC;SG
lọc	filtre	lọc	filtre	V	N;MASC;SG
lọc	filtrat	lọc	filtrar	V	ADJ;MASC;SG;V.PTCP
lọc	filtratge	lọc	filtratge	V	N;MASC;SG
lọc	filtres	lọc	filtra	V	N;MASC;PL
vui	funny	vui	funny		PROPN
vui	divertit	vui	divertit		ADJ;MASC;SG;V.PTCP
vui	diversió	vui	diversió		N;FEM;SG
vui	feliç	vui	feliç		ADJ;SG
israel	israel	israel	israel		ADJ;SG
khổ	patiment	khổ	patiment	ADJ	N;MASC;SG
khổ	sofriment	khổ	sofriment	ADJ	N;MASC;SG
khổ	patint	khổ	patir	ADJ	V;V.MSDR
khổ	hard	khổ	hard	ADJ	N;SG
khổ	dur	khổ	dur	ADJ	
khổ	misèria	khổ	misèria	ADJ	N;FEM;SG
cháu	nebot	cháu	nebot	N	
canh	geng	canh	geng	N	PROPN
canh	brou	canh	brou	N	
liêu	liao	liêu	liao	N	PROPN
thuế	mel	thuế	mel	N	
dày	gruix	dày	gruix	ADJ	N;MASC;SG
love	amor	love	amor		N;MASC;SG
đợt	lot	đợt	lot	N	
rập	aràbia	rập	arabia	N	ADJ;FEM;SG
des	des	des	des	N	ADP
dinh	dinh	dinh	dinh		
anime	anime	anime	anime		N;MASC;SG
giọng	veu	giọng	veure	N	V;IND;SG;3;PRS;FIN
trạm	terminal	trạm	terminal	N	
erebidae	erebidae	erebidae	erebidae		ADJ;FEM;SG
michael	michael	michael	michael		N;SG
mộc	fuster	mộc	fuster	N	ADJ;MASC;SG
non	non	non	non	N	
lee	lee	lee	lee	N	PROPN
campuchia	cambodja	campuchia	cambodja	N	
bùi	bui	bùi	bui	N	
bùi	pei	bùi	pei	N	
colombia	colòmbia	colombia	colòmbia	N	ADJ;FEM;SG
colombia	colombiana	colombia	colombià	N	ADJ;FEM;SG
lưới	malla	lưới	malla	N	
than	carbó	than	carbó		N;MASC;SG
than	carbonet	than	carbonet		ADJ;MASC;SG
tuấn	tuan	tuấn	tuan	N	
