til	لاجل	til	لاجل	ADV	
mærke	اشعر	mærke	أَشعَر	V;NFIN;ACT	
mærke	براند	mærke	بَرنَدَة	V;NFIN;ACT	
mærke	ماركة	mærke	مَاركَة	V;NFIN;ACT	N;NOM;INDF;SG
mærke	تاغ	mærke	تاغ	V;NFIN;ACT	
mærke	تسمية	mærke	تَسمِيَة	V;NFIN;ACT	N;NOM;INDF;SG
mærke	التسمية	mærke	تَسمِيَة	V;NFIN;ACT	N;NOM;DEF;SG
mærke	العلامة	mærke	عَلَامَة	V;NFIN;ACT	N;NOM;DEF;SG
mærke	مارك	mærke	مَارك	V;NFIN;ACT	
mærke	علامة	mærke	عَلَامَة	V;NFIN;ACT	N;NOM;INDF;SG
højst	معظم	højst	مُعظَم	ADV	N;NOM;INDF;SG
højst	الاكثر	højst	أَكثَر	ADV	ADJ;NOM;DEF;MASC;SG
højst	اغلب	højst	أَغلَب	ADV	
krone	تاج	krone	تاج	N;INDF;MASC+FEM;SG	
krone	كراون	krone	كرَاون	N;INDF;MASC+FEM;SG	
krone	التاج	krone	تَاج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
krone	رؤوس	krone	رَأس	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
krone	الرؤوس	krone	رُؤُوس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
trin	الخطوة	trin	خَطوَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
trin	الخطوات	trin	خَطوَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
trin	خطوات	trin	خَطوَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
vers	ايات	vers	أَيَّا	N;INDF;NEUT;SG	N;NOM;INDF;PL
vers	الايات	vers	آلَات	N;INDF;NEUT;SG	N;NOM;DEF;PL
vers	الاية	vers	أَيّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
kredsløb	المدار	kredsløb	مَدَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
kredsløb	الدائرة	kredsløb	دَائِرَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
english	الانجليزية	english	إِنجلِيزِيَّة		N;NOM;DEF;SG
english	انجليزي	english	أَنجِلِيزِيّ		
english	انجليزية	english	إِنجلِيزِيّ		ADJ;NOM;INDF;FEM;SG
english	الانكليزية	english	الانكليزية		
english	بالانكليزية	english	بَالانكلِيزِيّ		
agent	العميل	agent	عَمِيل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
agent	عميلة	agent	عَمِيل	N;INDF;MASC+FEM;SG	
agent	الوكيل	agent	وَكِيل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
fortællinger	الحكايات	fortælling	حِكَايَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
fortællinger	القصص	fortælling	قِصَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bolig	الاقامة	bolig	إِقَامَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bolig	الاسكان	bolig	إِسكَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bolig	السكن	bolig	سَكَن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bolig	مساكن	bolig	مَسكَن	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
bolig	المساكن	bolig	مَسكَن	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
bolig	الاقامة	bolig	إِقَامَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bolig	السكن	bolig	سَكَن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
beskyttet	محمية	beskytte	محمية	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
beskyttet	محمي	beskytte	محمي	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
berg	بيرغ	berg	بَيرغ		
berg	بيرج	berg	بِيرج		
interessant	للاهتمام	interessant	للاهتمام	ADJ;INDF;SG	PRO;GEN;MASC;SG;3
politikere	السياسيين	politiker	سِيَاسِيّ	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
politikere	السياسيون	politiker	سِيَاسِيّ	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;MASC;PL
politikere	الساسة	politiker	سَاسَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
genstand	الكائن	genstand	كَائِن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
genstand	كائن	genstand	كَائِن	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
israelske	اسرائيلي	israelsk	إِسرَائِيلِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
israelske	اسرائيلية	israelsk	إِسرَائِيلِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
israelske	الاسرائيلي	israelsk	إِسرَائِيلِيّ	ADJ;PL	N;NOM;DEF;SG
israelske	الاسرائيلية	israelsk	إِسرَائِيلِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
orange	اورانج	orange	اورانج	ADJ	
orange	برتقالي	orange	بُرتُقَالِيّ	ADJ	
orange	برتقال	orange	بُرتُقَال	ADJ	
malede	صبغ	male	صبغ	V;IND;PST;FIN;ACT	N;NOM;INDF;SG
besøgende	زوار	besøge	زَارّ	V;PRS;V.PTCP	N;NOM;INDF;PL
besøgende	الزائرين	besøge	زَائِر	V;PRS;V.PTCP	ADJ;ACC;DEF;MASC;PL
besøgende	الزوار	besøge	زَوَار	V;PRS;V.PTCP	N;NOM;DEF;PL
besøgende	الزائر	besøge	الزائر	V;PRS;V.PTCP	
besøgende	زائر	besøge	زَائِر	V;PRS;V.PTCP	
institution	المؤسسة	institution	مُؤَسَّسَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
køn	الجنسانية	køn	جِنسَانِيّ	N;INDF;MASC+FEM;SG	
køn	الجنس	køn	جِنس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
skotske	الاسكتلندي	skotsk	إِسكُتلَندِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
euro	اليورو	euro	يُورُو	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
euro	باليورو	euro	باليورو	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
euro	يورو	euro	يورو	N;INDF;MASC+FEM;SG	
euro	اليورو	euro	يُورُو	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
euro	باليورو	euro	باليورو	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
floder	الانهار	flode	إِنهَار	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
floder	انهار	flode	انهار	N;INDF;MASC+FEM;PL	
floder	ريفرز	flode	ريفرز	N;INDF;MASC+FEM;PL	
bønder	الفلاحين	bonde	فَلَّاح	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
web	الشبكة	web	شَبَكَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
web	الويب	web	وَيب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
web	ويب	web	وِيب	N;INDF;MASC+FEM;SG	
svenska	sv	svenska	خَثّ	N;INDF;NEUT;SG	
religiøs	الدينية	religiøs	دِينِيّ	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
religiøs	الديني	religiøs	دِينِيّ	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
religiøs	متدين	religiøs	متدين	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;DU
modtage	استلام	modtage	اِستِلَام	V;NFIN;ACT	N;NOM;INDF;SG
modtage	تلقي	modtage	تلقي	V;NFIN;ACT	
sky	السما	sky	سَمَا		N;NOM;DEF;SG
sky	سماء	sky	سَمَاء		N;NOM;INDF;SG
sky	سكاي	sky	سَاكِي		
sky	السماء	sky	سَمَاء		N;NOM;DEF;SG
sky	السحاب	sky	سَحَّاب		N;NOM;DEF;SG
sky	سحاب	sky	سَحَّاب		N;NOM;INDF;SG
sky	غيمة	sky	غِيمَة		N;NOM;INDF;SG
sky	سحابة	sky	سِحَابَة		N;NOM;INDF;SG
lejligheder	الشقق	lejlighed	شَقَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
lejligheder	شقق	lejlighed	شَقَّق	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
lejligheder	الشقق	lejlighed	شَقَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
lejligheder	شقق	lejlighed	شَقَّق	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
overgang	انتقالية	overgang	اِنتِقَالِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
overgang	الانتقال	overgang	اِنتِقَال	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tillader	اسمح	tillade	أَسمَح	V;IND;PRS;FIN;ACT	PRO;NOM;MASC;SG;2
beijing	بكين	beijing	بِكِين		
beijing	بيجين	beijing	بِيجِين		
operationer	العمليات	operation	عَمَلِيَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
passerer	عابر	passere	عابر	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
passerer	تمرير	passere	تَمرِير	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
passerer	مرور	passere	مُرُور	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
rene	خالص	ren	خالص	ADJ;PL	
rene	نقي	ren	نَقي	ADJ;PL	N;NOM;INDF;SG
rene	نقية	ren	نَقِيَّة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
rene	نظيف	ren	نظيف	ADJ;PL	
rene	النظيفة	ren	نَظِيف	ADJ;PL	N;NOM;DEF;SG
rene	نظيفة	ren	نَظِيف	ADJ;PL	ADJ;NOM;INDF;FEM;SG
diameter	القطر	diameter	قَطَر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tennessee	تينيسي	tennesse	تينيسي	N;INDF;MASC+FEM;SG	
alvorlige	جاد	alvorlig	جاد	ADJ;PL	
alvorlige	جادة	alvorlig	جَادّ	ADJ;PL	ADJ;ACC;INDF;FEM;SG
begyndelse	البداية	begyndelse	بِدَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
begyndelse	البدايات	begyndelse	بِدَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
guild	نقابة	guild	نِقَابَة		N;NOM;INDF;SG
guild	النقابة	guild	نِقَابَة		N;NOM;DEF;SG
kaj	رصيف	kaj	رَصِيف	PROPN	N;NOM;INDF;SG
kaj	الرصيف	kaj	رَصِيف	PROPN	N;NOM;DEF;SG
tidende	يوميات	tidende	يَومِيّ	V;PRS;V.PTCP	ADJ;NOM;INDF;FEM;PL
tidende	اليوميات	tidende	يَومِيّ	V;PRS;V.PTCP	N;NOM;DEF;PL
action	اكشن	action	اكشن	N;INDF;MASC+FEM;SG	
action	العمل	action	عَمَل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
action	الاجراء	action	إِجرَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
action	الحركة	action	حَرَكَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
story	ستوري	story	ستوري		
story	قصة	story	قِصَّة		N;NOM;INDF;SG
story	حكاية	story	حِكَايَة		N;NOM;INDF;SG
story	القصة	story	قِصَّة		N;NOM;DEF;SG
story	قصه	story	قَصه		
baner	المدارج	bane	مَدرَجَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
berører	لمسات	berøre	لَمسَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
berører	اللمسات	berøre	لَمسَة	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
tommy	تومي	tommy	تُومِي		
skridt	الخطوة	skridt	خَطوَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
skridt	الخطوات	skridt	خَطوَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
skridt	خطوات	skridt	خَطوَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
hammer	هامر	hammer	هَامِر	N;INDF;MASC+FEM;SG	
hammer	المطرقة	hammer	مُطَّرِق	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
teorier	نظريات	teori	نَظَرِيَّة	N;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;PL
teorier	النظريات	teori	نَظَرِيَّة	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
fredede	محمية	frede	محمية	V;PL;PST;V.PTCP	N;NOM;INDF;SG
fredede	محمي	frede	محمي	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
plade	الالبوم	plade	أَلبُوم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
plade	البوم	plade	أَلبُوم	N;INDF;MASC+FEM;SG	
plade	سجل	plade	سَجَّل	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
plade	السجل	plade	سِجِلّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
plade	الصحن	plade	صَحن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
skuespillere	الممثلون	skuespiller	مُمَثِّل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
skuespillere	الفعاليات	skuespiller	الفعاليات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
skuespillere	فعاليات	skuespiller	فَعَّالِيّ	N;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;PL
revet	ممزق	rive	مُمزَق	V;INDF;SG;PST;V.PTCP	
revet	ممزق	rive	مُمزَق	V;INDF;SG;PST;V.PTCP	
revet	ممزقة	rive	ممزقة	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
revet	المبشور	rive	مَبشُور	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;SG
besiddelse	الحيازة	besiddelse	حِيَازَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
besiddelse	الاستحواذ	besiddelse	اِستِحوَاذ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bulgarien	بلغاريا	bulgarie	بُلغَارِيَا	PROPN	
font	الخط	font	خَطّ		N;NOM;DEF;SG
font	خط	font	خَطّ		N;NOM;INDF;SG
følelser	عاطفة	følelse	عاطفة	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
følelser	العاطفة	følelse	عَاطِفَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
følelser	العواطف	følelse	عَاطِفَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
følelser	المشاعر	følelse	مَشعَر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
følelser	العواطف	følelse	عَاطِفَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
følelser	المشاعر	følelse	مَشعَر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
frue	مدام	frue	مَدَام	N;INDF;MASC+FEM;SG	
frue	سيدتي	frue	سيدتي	N;INDF;MASC+FEM;SG	
frue	السيدة	frue	سَيِّدَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
frue	مدام	frue	مَدَام	N;INDF;MASC+FEM;SG	
kronen	تاج	kron	تاج	N;DEF;MASC+FEM;SG	
kronen	كراون	kron	كرَاون	N;DEF;MASC+FEM;SG	
episoder	الحلقات	episode	حَلقَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
fattige	مسكين	fattig	مسكين	ADJ;PL	
fattige	الفقراء	fattig	فَقِير	ADJ;PL	N;NOM;DEF;PL
fattige	فقير	fattig	فَقِير	ADJ;PL	ADJ;NOM;INDF;MASC;SG
fattige	فقيرة	fattig	فَقِير	ADJ;PL	ADJ;NOM;INDF;FEM;SG
fattige	الفقير	fattig	فَقِير	ADJ;PL	N;NOM;DEF;SG
fattige	فقراء	fattig	فَقِير	ADJ;PL	N;NOM;INDF;PL
digt	القصيدة	digt	قَصِيد	N;INDF;NEUT;SG	N;NOM;DEF;SG
master	ماجستير	mast	ماجستير	N;INDF;MASC+FEM;PL	
master	معلم	mast	مُعَلِّم	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
master	ماستر	mast	ماستر	N;INDF;MASC+FEM;PL	
master	المعلم	mast	مُعلِم	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
heart	القلب	heart	قَلب		N;NOM;DEF;SG
heart	قلبا	heart	قَلب		N;ACC;INDF;SG
heart	قلب	heart	قَلب		N;NOM;INDF;SG
bataljon	الكتيبة	bataljon	الكتيبة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
youthclubs	youthclu	youthclubs	youthclu	N;INDF;MASC+FEM;SG	
overordnede	رؤساء	overordne	رَئِيس	ADJ;PL	N;NOM;INDF;PL
overordnede	الرؤساء	overordne	رَئِيس	ADJ;PL	N;NOM;DEF;PL
muslimske	المسلم	muslimsk	مُسلِم	ADJ;PL	N;NOM;DEF;SG
muslimske	مسلم	muslimsk	مُسلِم	ADJ;PL	N;NOM;INDF;SG
muslimske	اسلامي	muslimsk	إِسلَامِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
muslimske	مسلمة	muslimsk	مُسلِم	ADJ;PL	ADJ;NOM;INDF;FEM;SG
besatte	محتلة	besætte	مُحتَلّ	V;PST;FIN;ACT	ADJ;NOM;INDF;FEM;SG
besatte	المحتلة	besætte	مُحتَلّ	V;PST;FIN;ACT	ADJ;NOM;DEF;FEM;SG
besatte	المحتل	besætte	مُحتَلّ	V;PST;FIN;ACT	ADJ;NOM;DEF;MASC;SG
nationalt	الوطنية	nationalt	وَطَنِيَّة	ADV	N;NOM;DEF;SG
nationalt	ناشيونال	nationalt	ناشيونال	ADV	
nationalt	وطنية	nationalt	وَطَنِيّ	ADV	ADJ;NOM;INDF;FEM;SG
nationalt	وطني	nationalt	وَطَنِيّ	ADV	ADJ;NOM;INDF;MASC;SG
nationalt	وطنيا	nationalt	وَطَنِيّ	ADV	ADJ;ACC;INDF;MASC;SG
præcis	دقيقا	præcis	دَقِيق	ADV	ADJ;ACC;INDF;MASC;SG
præcis	دقيق	præcis	دَقِيق	ADV	ADJ;NOM;INDF;MASC;SG
præcis	بالضبط	præcis	بَالضبط	ADV	N;NOM;DEF;SG
adfærd	السلوك	adfærd	سُلُوك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
adfærd	سلوكيات	adfærd	سُلُوكِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;PL
adfærd	السلوكيات	adfærd	سُلُوكِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;PL
adfærd	السلوك	adfærd	سُلُوك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
adfærd	السلوك	adfærd	سُلُوك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
brugeren	مستخدم	bruger	مُستَخدَم	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
brugeren	مستعمل	bruger	مُستَعمَل	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
brugeren	المستعمل	bruger	مُستَعمَل	N;DEF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
denmark	الدانمرك	denmark	الدانمرك		
denmark	الدنمارك	denmark	دَنِمَارك		N;NOM;DEF;SG
pensioneret	متقاعد	pensionere	مُتَقَاعِد	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
pensioneret	تقاعد	pensionere	تَقَاعُد	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
pensioneret	المتقاعدين	pensionere	مُتَقَاعِد	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;PL
arresteret	معتقل	arrestere	مُعتَقَل	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
demokrati	الديمقراطية	demokrati	دِيمُقرَاطِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
demokrati	ديمقراطية	demokrati	دِيمُقرَاطِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
howard	هوارد	howard	هوارد	N;INDF;MASC+FEM;SG	
howard	هاوارد	howard	هاوارد	N;INDF;MASC+FEM;SG	
howard	هاورد	howard	هاورد	N;INDF;MASC+FEM;SG	
zone	المنطقة	zone	مِنطَقَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
nemt	السهل	nemt	سَهل	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
brun	اسمر	brun	أَسمَر	ADJ;INDF;MASC+FEM;SG	
brun	البني	brun	بَنِّيّ	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
brun	بنية	brun	بِنيَة	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
brun	براون	brun	براون	ADJ;INDF;MASC+FEM;SG	
angivet	مدرجة	angive	مَدرَجَة	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
angivet	مدرج	angive	مُدَرِّج	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
angivet	محدد	angive	مُحَدَّد	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
angivet	محددة	angive	مُحَدَّد	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
angivet	المحدد	angive	مُحَدَّد	V;INDF;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;SG
francis	فرنسيس	francis	فَرَنسِيس		
francis	فرانسيس	francis	فرَانسِيس		
francis	فرانسيز	francis	فرَانسِيز		
overlevende	الناجين	overleve	الناجين	V;PRS;V.PTCP	N;NOM;DEF;PL
overlevende	الناجون	overleve	نَاجُون	V;PRS;V.PTCP	N;NOM;DEF;PL
overlevende	ناج	overleve	نَاج	V;PRS;V.PTCP	N;NOM;INDF;SG
overlevende	الناجين	overleve	الناجين	V;PRS;V.PTCP	N;NOM;DEF;PL
overlevende	الناجون	overleve	نَاجُون	V;PRS;V.PTCP	N;NOM;DEF;PL
overlevende	ناجي	overleve	ناجي	V;PRS;V.PTCP	
preussiske	البروسية	preussisk	بُرُوسِيّ	ADJ;PL	N;NOM;DEF;SG
preussiske	بروسية	preussisk	بروسية	ADJ;PL	
nedre	اخفض	nedre	خَفض	ADJ	
nedre	ادنى	nedre	أَدنَى	ADJ	
iso	ايزو	iso	ايزو	N;INDF;NEUT;SG	
iso	i	iso	!	N;INDF;NEUT;SG	
fiat	فيات	fiat	فِيَّة	N;INDF;MASC+FEM;SG	
tim	تيم	tim	تِيم		
stamme	السلالة	stamme	سِلَالَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stamme	القبيلة	stamme	قَبِيلَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indbyggerne	ساكن	indbygger	سَاكِن	N;DEF;MASC+FEM;PL	ADJ;NOM;INDF;MASC;SG
brandenburg	براندنبورغ	brandenburg	براندنبورغ	N;DEF;MASC+FEM;SG	
tilgængelig	تتوفر	tilgængelig	تَوَفَّر	ADJ;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
restaurant	المطعم	restaurant	مَطعَم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
onkel	عمو	onkel	عُمُوّ	N;INDF;MASC+FEM;SG	
onkel	عمي	onkel	عمي	N;INDF;MASC+FEM;SG	
onkel	عم	onkel	عَمّ	N;INDF;MASC+FEM;SG	
onkel	العم	onkel	عَمّ	N;INDF;MASC+FEM;SG	
bredere	اوسع	bred	أَوسَع	ADV;CMPR	
bredere	اوسع	bred	أَوسَع	ADV;CMPR	
hjerte	القلب	hjerte	قَلب	N;INDF;NEUT;SG	N;NOM;DEF;SG
afsluttede	منتهي	afslutte	منتهي	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG
anmeldelser	المراجعات	anmeldelse	مُرَاجِعَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
anmeldelser	الاستعراضات	anmeldelse	اِستِعرَاض	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
wild	البرية	wild	بَرِّيّ		N;NOM;DEF;SG
wild	برية	wild	بَرِّيّ		ADJ;NOM;INDF;FEM;SG
wild	البري	wild	بَرِّيّ		N;NOM;DEF;SG
kap	العباءة	kipe	عِبَاءَة		N;NOM;DEF;SG
kap	الراس	kipe	رَأس		N;NOM;DEF;SG
kap	عباءة	kipe	عِبَاءَة		N;NOM;INDF;SG
budget	الميزانية	budget	مِيزَانِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
dokumenter	الوثائق	dokument	وَثِيقَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
dokumenter	المستندات	dokument	مُستَنَد	N;INDF;NEUT;PL	N;NOM;DEF;PL
hul	الحفرة	hul	حَفرَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
hul	الحفرة	hul	حَفرَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
hul	جوف	hul	جوف	N;INDF;NEUT;SG	
hul	الجوف	hul	جَوف	N;INDF;NEUT;SG	
gentagne	متكرر	gentage	مُتَكَرِّر	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
info	in	info	مَثّ	N;INDF;NEUT;SG	
info	المعلومات	info	مَعلُومَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
info	معلومات	info	مَعلُومَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
løn	مرتبات	løn	مُرَتَّب	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
løn	الراتب	løn	رَاتِب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
løn	المرتب	løn	مَرتَب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
løn	الدفع	løn	دَفع	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
løn	الاجر	løn	أَجر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
løn	ادفع	løn	أَدفَع	N;INDF;MASC+FEM;SG	V;MASC;IMP;SG;FIN
løn	دفع	løn	دَفَع	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
løn	اجور	løn	اجور	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
løn	الاجور	løn	أَجر	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
defineret	معرف	definere	مَعرِف	V;INDF;SG;PST;V.PTCP	
gammelt	القدماء	gammel	قَدِيم	ADJ;INDF;NEUT;SG	N;NOM;DEF;PL
gammelt	قديمه	gammel	قديمه	ADJ;INDF;NEUT;SG	
gammelt	عجوز	gammel	عَجُوز	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
gammelt	القديم	gammel	قَدِيم	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
territorium	الاقليم	territorium	إِقلِيم	N;INDF;NEUT;SG	
territorium	اقليم	territorium	اقليم	N;INDF;NEUT;SG	
beck	بيك	beck	بَيكَ		
ledelsen	ادارة	ledelse	إِدَارَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
kendskab	المعرفة	kendskab	مَعرِفَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
kendskab	المعارف	kendskab	مَعرِفَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
kendskab	التوعية	kendskab	تَوعِيَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
kendskab	الوعي	kendskab	وَعي	N;INDF;NEUT;SG	N;NOM;DEF;SG
falde	سقوط	falde	سُقُوط	V;NFIN;ACT	N;NOM;INDF;SG
falde	السقوط	falde	سُقُوط	V;NFIN;ACT	N;NOM;DEF;SG
falde	الخريف	falde	خَرِيف	V;NFIN;ACT	N;NOM;DEF;SG
christina	كريستينا	christina	كريستينا	N;INDF;MASC+FEM;SG	
christina	كرستينا	christina	كرستينا	N;INDF;MASC+FEM;SG	
georgia	جورجيا	georgia	جُورجِيَا		
fame	الشهرة	fame	شُهرَة		N;NOM;DEF;SG
fame	شهرة	fame	شُهرَة		N;NOM;INDF;SG
