august	аугуст	august	аугуст	N;MASC;SG	PROPN;INDF;MASC;SG
move	движения	mover	движение	V;IMP;SG;3;PRS;FIN	N;INDF;NEUT;PL
oklahoma	оклахома	oklahoma	оклахом	N;MASC;SG	PROPN;INDF;MASC;SG
main	основни	main	основен	N;MASC;SG	ADJ;INDF;PL
main	основна	main	основен	N;MASC;SG	ADJ;INDF;FEM;SG
main	главна	main	главен	N;MASC;SG	ADJ;INDF;FEM;SG
main	главен	main	главен	N;MASC;SG	ADJ;INDF;MASC;SG
main	главни	main	главен	N;MASC;SG	ADJ;INDF;PL
negativo	отрицателно	negativo	отрицателен	ADJ;MASC;SG	ADV
negativo	отрицателни	negativo	отрицателен	ADJ;MASC;SG	ADJ;INDF;PL
causado	причинени	causar	причиня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
protestantes	протестант	protestante	протестант	N;MASC;PL	N;INDF;MASC;SG
protestantes	протестиращи	protestante	протестирам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
protestantes	протестиращите	protestante	протестирам	N;MASC;PL	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
protestantes	протестиращи	protestante	протестирам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
cantada	сунг	cantar	сунг	V;FEM;SG;V.PTCP	N;INDF;MASC;SG
úteis	полезна	útil	полезен	N;MASC;PL	ADJ;INDF;FEM;SG
úteis	полезно	útil	полезен	N;MASC;PL	ADV
úteis	полезни	útil	полезен	N;MASC;PL	ADJ;INDF;PL
úteis	полезен	útil	полезен	N;MASC;PL	ADJ;INDF;MASC;SG
úteis	полезна	útil	полезен	N;MASC;PL	ADJ;INDF;FEM;SG
úteis	полезно	útil	полезен	N;MASC;PL	ADV
úteis	полезни	útil	полезен	N;MASC;PL	ADJ;INDF;PL
úteis	полезен	útil	полезен	N;MASC;PL	ADJ;INDF;MASC;SG
passe	пропуск	passar	пропуск	V;SBJV;SG;3;PRS;FIN	N;INDF;MASC;SG
passe	мине	passar	мина-(се)	V;SBJV;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
passe	пас	passar	пас	V;SBJV;SG;3;PRS;FIN	N;INDF;MASC;SG
passe	преминаване	passar	преминаване	V;SBJV;SG;3;PRS;FIN	N;INDF;NEUT;SG
anfíbio	земноводно	anfíbio	земноводен	N;MASC;SG	ADV
petersburgo	петербург	petersburgo	петербург	N;MASC;SG	PROPN;INDF;MASC;SG
remo	ремо	remo	ремо	N;MASC;SG	PROPN;INDF;MASC;SG
iowa	айова	iowa	айова	N;MASC;SG	PROPN;INDF;FEM;SG
silver	сребърни	silver	сребърен	N;MASC;SG	ADJ;INDF;PL
heaven	раят	heaven	рай	N;MASC;SG	ADV
ralph	ралф	ralph	ралф	N;MASC;SG	PROPN;INDF;MASC;SG
responde	отговори	responder	отговоря	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
responde	отговор	responder	отговор	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
responde	отговори	responder	отговоря	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
responde	отговор	responder	отговор	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
fixo	фиксирани	fixo	фиксирам	N;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
fixo	фиксирана	fixo	фиксирам	N;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fixo	поправен	fixo	поправя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fixo	фиксиран	fixo	фиксирам	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
penas	перо	pena	перо	N;FEM;PL	N;INDF;NEUT;SG
penas	перце	pena	перце	N;FEM;PL	N;INDF;NEUT;SG
gardens	гардънс	gardem	гардънс	N;MASC;PL	N;INDF;MASC;SG
segura	безопасно	seguro	безопасен	ADJ;FEM;SG	ADV
segura	сейф	seguro	сейф	ADJ;FEM;SG	N;INDF;FEM;SG
info	информация	info	информация	ADJ;FEM;SG	N;INDF;FEM;SG
info	info	info	info	ADJ;FEM;SG	INTJ
info	инфо	info	инфо	ADJ;FEM;SG	N;INDF;MASC;SG
introduzida	въведени	introduzir	въведа	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
jesuítas	йезуит	jesuíta	йезуит	N;MASC;PL	N;INDF;MASC;SG
chipre	кипър	chipre	кипър	N;MASC;SG	PROPN;INDF;MASC;SG
capturar	улавяне	capturar	улавяне	V;NFIN	N;INDF;NEUT;SG
capturar	залавяне	capturar	залавяне	V;NFIN	N;INDF;NEUT;SG
capturar	залавянето	capturar	залавяне	V;NFIN	N;DEF;NEUT;SG
capturar	залавянето	capturar	залавяне	V;NFIN	N;DEF;NEUT;SG
saudita	саудитска	saudita	саудитски	N;FEM;SG	ADJ;INDF;FEM;SG
marítimo	морско	marítimo	морски	N;MASC;SG	ADV
marítimo	морска	marítimo	морски	N;MASC;SG	ADJ;INDF;FEM;SG
marítimo	морски	marítimo	морски	N;MASC;SG	ADJ;INDF;MASC;SG
inseto	насекоми	inseto	насекомя	N;MASC;SG	N;INDF;MASC;PL
expectativa	очаквания	expectativa	очакване	N;FEM;SG	N;INDF;NEUT;PL
expectativa	очакванията	expectativa	очакване	N;FEM;SG	N;DEF;NEUT;PL
expectativa	очаквания	expectativa	очакване	N;FEM;SG	N;INDF;NEUT;PL
gerenciamento	управляващи	gerenciamento	управлявам	N;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
gerenciamento	управляващ	gerenciamento	управлявам	N;MASC;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
estrangeiras	чужди	estrangeiro	чужд	N;FEM;PL	ADJ;INDF;PL
estrangeiras	чуждестранни	estrangeiro	чуждестранен	N;FEM;PL	ADJ;INDF;PL
estrangeiras	чужд	estrangeiro	чужд	N;FEM;PL	ADJ;INDF;MASC;SG
estrangeiras	чужда	estrangeiro	чужд	N;FEM;PL	ADJ;INDF;FEM;SG
estrangeiras	чужденец	estrangeiro	чужденец	N;FEM;PL	N;INDF;MASC;SG
pecado	грехове	pecado	грях	N;MASC;SG	N;INDF;MASC;PL
craig	крейг	craig	крейг	N;MASC;SG	PROPN;INDF;MASC;SG
fugiu	избягали	fugir	избягам	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;PST;V.PTCP;ACT
drive	карай	drive	карай	N;MASC;SG	V;IPFV;IMP;SG;2;FIN
burocratas	бюрократ	burocrata	бюрокра	N;MASC;PL	N;INDF;MASC;SG
pensando	мислене	pensar	мислене	V;V.MSDR	N;INDF;NEUT;SG
full	пълна	full	пълен	N;MASC;SG	ADJ;INDF;FEM;SG
full	пълни	full	пълен	N;MASC;SG	ADJ;INDF;PL
full	пълен	full	пълен	N;MASC;SG	ADJ;INDF;MASC;SG
full	пълно	full	пълен	N;MASC;SG	ADV
pato	патици	pato	патик	N;MASC;SG	N;INDF;MASC;PL
classificadas	поверително	classificar	поверителен	V;FEM;PL;V.PTCP	ADV
classificadas	секретно	classificar	секретен	V;FEM;PL;V.PTCP	ADV
classificadas	класифициран	classificar	класифицирам	V;FEM;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
classificadas	класифицирана	classificar	класифицирам	V;FEM;PL;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
concreto	конкретни	concreto	конкретен	N;MASC;SG	ADJ;INDF;PL
ama	ama	amar	ama	V;IND;SG;3;PRS;FIN	N;MASC;SG
ama	нани	amar	нани	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
ama	бавачка	amar	бавачка	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
ama	детегледачка	amar	детегледачка	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
ama	бавачката	amar	бавачка	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
fiável	надеждно	fiável	надеждно	ADJ;MASC;SG	ADV
fiável	надеждни	fiável	надежден	ADJ;MASC;SG	ADJ;INDF;PL
protegido	защитен	proteger	защитен	V;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
protegido	защитени	proteger	защитя	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
institucional	институционални	institucional	институционален	ADJ;MASC;SG	ADJ;INDF;PL
institucional	институционално	institucional	институционално	ADJ;MASC;SG	ADV
square	квадратна	square	квадратен	N;MASC;SG	ADJ;INDF;FEM;SG
square	квадратни	square	квадратен	N;MASC;SG	ADJ;INDF;PL
square	квадратен	square	квадратен	N;MASC;SG	ADJ;INDF;MASC;SG
emmy	еми	emmy	еми	N;MASC;SG	PROPN;INDF;MASC;SG
anuais	годишен	anual	годишен	N;MASC;PL	ADJ;INDF;MASC;SG
anuais	годишно	anual	годишно	N;MASC;PL	ADV
anuais	годишна	anual	годишна	N;MASC;PL	ADJ;INDF;FEM;SG
psd	сдп	psd	сдп	N;MASC;SG	PROPN;INDF;MASC;SG
uruguaio	уругвайски	uruguaio	уругвайски	N;MASC;SG	PROPN;INDF;MASC;SG
fraco	слабо	fraco	слабо	ADJ;MASC;SG	ADV
fraco	слаби	fraco	слаб	ADJ;MASC;SG	ADJ;INDF;PL
dezesseis	sixteen	dezessel	sixteen	NUM	PROPN;INDF;MASC;SG
dezesseis	шестнайсет	dezessel	шестнайсет	NUM	N;INDF;MASC;PL
demonstrou	демонстрира	demonstrar	демонстрирам	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
demonstração	демонстрации	demonstração	демонстрация	N;FEM;SG	N;INDF;FEM;PL
salário	заплати	salário	заплата	N;MASC;SG	N;INDF;FEM;PL
salário	заплатите	salário	заплата	N;MASC;SG	N;DEF;FEM;PL
salário	възнаграждения	salário	възнаграждение	N;MASC;SG	N;INDF;NEUT;PL
salário	заплати	salário	заплата	N;MASC;SG	N;INDF;FEM;PL
rodolfo	родолфо	rodolfo	родолфо	N;MASC;SG	PROPN;INDF;MASC;SG
rodolfo	рудолф	rodolfo	рудолф	N;MASC;SG	PROPN;INDF;MASC;SG
rodolfo	рудолф	rodolfo	рудолф	N;MASC;SG	PROPN;INDF;MASC;SG
wallace	уолъс	wallace	уолъс	N;MASC;SG	PROPN;INDF;MASC;SG
cole	кол	cole	кол	V;SBJV;SG;3;PRS;FIN	N;INDF;MASC;SG
cole	коул	cole	коул	V;SBJV;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
comandos	командос	comando	командос	N;MASC;PL	N;INDF;MASC;SG
comandos	контрол	comando	контрол	N;MASC;PL	N;INDF;MASC;SG
comandos	управление	comando	управление	N;MASC;PL	N;INDF;NEUT;SG
recomendação	препоръки	recomendação	препоръка	N;FEM;SG	N;INDF;FEM;PL
coberto	обхванат	cobrir	обхвана	V;MASC;SG;V.PTCP	V;PFV;IND;PL;3;PRS;FIN;ACT
coberto	покрит	cobrir	покрит	V;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
coberto	покрити	cobrir	покрия-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
carol	каръл	carol	каръл	N;FEM;SG	PROPN;INDF;MASC;SG
carol	керъл	carol	керъл	N;FEM;SG	PROPN;INDF;MASC;SG
carol	карол	carol	карол	N;FEM;SG	PROPN;INDF;MASC;SG
usos	употреби	uso	употребя	N;MASC;PL	V;PFV;IMP;SG;2;FIN
usos	използва	uso	използвам	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
gilbert	жилбер	gilbert	жилбер	N;MASC;SG	PROPN;INDF;MASC;SG
gilbert	гилбърт	gilbert	гилбърт	N;MASC;SG	PROPN;INDF;MASC;SG
sagrada	свещено	sagrada	свещено	N;FEM;SG	ADV
sagrada	свещена	sagrada	свещен	N;FEM;SG	ADJ;INDF;FEM;SG
sagrada	свещени	sagrada	свещен	N;FEM;SG	N;INDF;MASC;PL
sagrada	свещен	sagrada	свещен	N;FEM;SG	ADJ;INDF;MASC;SG
triste	тъжни	triste	тъжен	ADJ;MASC;SG	ADJ;INDF;PL
triste	тъжно	triste	тъжно	ADJ;MASC;SG	ADV
doente	пациентът	doente	пациент	ADJ;MASC;SG	N;DEF;MASC;SG
doente	пациентка	doente	пациентка	ADJ;MASC;SG	N;INDF;FEM;SG
doente	пациент	doente	пациент	ADJ;MASC;SG	N;INDF;MASC;SG
doente	болно	doente	болен	ADJ;MASC;SG	ADV
doente	болни	doente	болен	ADJ;MASC;SG	ADJ;INDF;PL
aveiro	авейро	aveiro	авейро	N;MASC;SG	PROPN;INDF;MASC;SG
happy	щастлив	happy	щастлив	N;MASC;SG	ADJ;INDF;MASC;SG
happy	щастливи	happy	щастлив	N;MASC;SG	ADJ;INDF;PL
happy	щастлива	happy	щастлив	N;MASC;SG	ADJ;INDF;FEM;SG
happy	щастливо	happy	щастлив	N;MASC;SG	ADV
happy	хепи	happy	хеп	N;MASC;SG	INTJ
variados	разнообразни	variado	разнообразен	V;MASC;PL;V.PTCP	ADJ;INDF;PL
bonito	красавец	bonito	красавец	ADJ;MASC;SG	N;INDF;MASC;SG
cabelos	косъм	cabelo	косъм	N;MASC;PL	N;INDF;MASC;SG
cabelos	косата	cabelo	коса	N;MASC;PL	N;DEF;FEM;SG
cabelos	коса	cabelo	коса	N;MASC;PL	N;INDF;FEM;SG
escândalo	скандали	escândalo	скандал	N;MASC;SG	N;INDF;MASC;PL
escândalo	скандално	escândalo	скандално	N;MASC;SG	ADV
escândalo	скандално	escândalo	скандално	N;MASC;SG	ADV
escândalo	скандални	escândalo	скандален	N;MASC;SG	ADJ;INDF;PL
lyon	лион	lyon	лион	N;MASC;SG	PROPN;INDF;MASC;SG
contemporâneos	съвременни	contemporâneo	съвременен	N;MASC;PL	ADJ;INDF;PL
contemporâneos	съвременна	contemporâneo	съвременен	N;MASC;PL	ADJ;INDF;FEM;SG
contemporâneos	съвременно	contemporâneo	съвременно	N;MASC;PL	ADV
contemporâneos	съвременен	contemporâneo	съвременен	N;MASC;PL	ADJ;INDF;MASC;SG
tyler	тайлър	tyler	тайлър	N;MASC;SG	PROPN;INDF;MASC;SG
suspeita	подозрения	suspeita	подозрение	N;FEM;SG	N;INDF;NEUT;PL
suspeita	подозрителна	suspeita	подозрителен	N;FEM;SG	ADJ;INDF;FEM;SG
suspeita	подозрителен	suspeita	подозрителен	N;FEM;SG	ADJ;INDF;MASC;SG
suspeita	подозрителни	suspeita	подозрителен	N;FEM;SG	ADJ;INDF;PL
suspeita	подозрително	suspeita	подозрително	N;FEM;SG	ADV
suspeita	заподозряна	suspeita	заподозра	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
suspeita	заподозрян	suspeita	заподозра	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
suspeita	заподозрения	suspeita	заподозрение	N;FEM;SG	ADJ;PFV;DEF;MASC;SG;V.PTCP;PASS
suspeita	заподозрян	suspeita	заподозра	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interessado	заинтересовани	interessado	заинтересован	ADJ;MASC;SG	ADJ;INDF;PL
interessado	заинтригуван	interessado	заинтригувам	ADJ;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interessado	заинтересуван	interessado	заинтересувам-(се)	ADJ;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
vela	плават	vela	плавам	N;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
tiger	тайгър	tiger	тайгър	N;MASC;SG	PROPN;INDF;MASC;SG
müller	мюлер	müller	мюлер	N;MASC;SG	PROPN;INDF;MASC;SG
pesada	тежка	pesar	тежък	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
pesada	тежки	pesar	тежък	V;FEM;SG;V.PTCP	ADJ;INDF;PL
pesada	тежък	pesar	тежък	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
pesada	тежко	pesar	тежко	V;FEM;SG;V.PTCP	ADV
alessandro	алесандро	alessandro	алесандро	N;MASC;SG	PROPN;INDF;MASC;SG
myspace	myspace	myspace	myspace	N;MASC;SG	PROPN
bruto	сурово	bruto	суров	N;MASC;SG	ADV
bruto	грубо	bruto	грубо	N;MASC;SG	ADV
bruto	сурова	bruto	суров	N;MASC;SG	ADJ;INDF;FEM;SG
bruto	суров	bruto	суров	N;MASC;SG	ADJ;INDF;MASC;SG
bruto	сурови	bruto	суров	N;MASC;SG	ADJ;INDF;PL
bruto	гадно	bruto	гаден	N;MASC;SG	ADV
bruto	грубо	bruto	грубо	N;MASC;SG	ADV
bruto	груба	bruto	груб	N;MASC;SG	ADJ;INDF;FEM;SG
bruto	груб	bruto	груб	N;MASC;SG	ADJ;INDF;MASC;SG
bruto	груби	bruto	груб	N;MASC;SG	ADJ;INDF;PL
regressou	върнати	regressar	върна-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
interino	междинен	interino	междинен	N;MASC;SG	ADJ;INDF;MASC;SG
interino	междинно	interino	междинно	N;MASC;SG	ADV
linguística	езикови	linguística	езиков	N;FEM;SG	ADJ;INDF;PL
utilizador	потребителски	utilizador	потребителски	N;MASC;SG	ADJ;INDF;MASC;SG
johns	джонс	johm	джонс	N;FEM;SG	PROPN;INDF;MASC;SG
tiros	стрелба	tiro	стрелба	N;MASC;PL	N;INDF;FEM;SG
etiópia	етиопски	etiópia	етиопски	N;FEM;SG	ADJ;INDF;MASC;SG
amado	обичах	amado	обичам	N;MASC;SG	V;IPFV;IND;SG;1;IPFV;FIN;ACT
amado	обичана	amado	обичам	N;MASC;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
amado	обичаше	amado	обичам	N;MASC;SG	V;IPFV;IND;SG;3;IPFV;FIN;ACT
amado	обичан	amado	обичам	N;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
amado	любими	amado	любим	N;MASC;SG	ADJ;INDF;PL
alcançado	достигнат	alcançar	достигна	V;MASC;SG;V.PTCP	V;PFV;IND;PL;3;PRS;FIN;ACT
alcançado	постигнати	alcançar	постигна	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
resolvido	решени	resolver	реша	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
resolvido	решени	resolver	реша	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
resolvido	сортирани	resolver	сортирам	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
lane	лейн	lane	лейн	N;MASC;SG	PROPN;INDF;MASC;SG
polegadas	сантиметър	polegada	сантиметър	N;FEM;PL	N;INDF;MASC;SG
polegadas	инч	polegada	инч	N;FEM;PL	N;INDF;MASC;SG
polegadas	инча	polegada	инча	N;FEM;PL	N;INDF;MASC;SG
polegadas	см	polegada	сантиметър	N;FEM;PL	N;INDF;MASC;SG
teodoro	теодор	teodoro	теодор	N;MASC;SG	PROPN;INDF;MASC;SG
roland	роланд	roland	роланд	N;MASC;SG	PROPN;INDF;MASC;SG
completos	пълна	completo	пълен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
completos	пълно	completo	пълен	ADJ;MASC;PL	ADV
completos	завършен	completo	завърша	ADJ;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
completos	пълен	completo	пълен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
completos	завършено	completo	завърша	ADJ;MASC;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
especializado	специализирани	especializar	специализирам	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
especializado	специализирани	especializar	специализирам	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
especializado	специалист	especializar	специалист	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
dano	щети	dano	щета	N;MASC;SG	N;INDF;FEM;PL
dano	вреди	dano	вреда	N;MASC;SG	N;INDF;FEM;PL
dano	повреди	dano	повредя	N;MASC;SG	N;INDF;MASC;PL
dano	щети	dano	щета	N;MASC;SG	N;INDF;FEM;PL
dano	вреди	dano	вреда	N;MASC;SG	N;INDF;FEM;PL
dano	обезщетения	dano	обезщетение	N;MASC;SG	N;INDF;NEUT;PL
hesse	хес	hessar	хес	N;MASC;SG	PROPN;INDF;MASC;SG
reconhece	разпознае	reconhecer	разпозная-(се)	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
mineral	минерална	mineral	минерален	N;MASC;SG	ADJ;INDF;FEM;SG
mineral	минерални	mineral	минерален	N;MASC;SG	ADJ;INDF;PL
mineral	минерали	mineral	минерал	N;MASC;SG	N;INDF;MASC;PL
promocional	промоционални	promocional	промоционален	N;MASC;SG	ADJ;INDF;PL
fina	тънко	fino	тънко	ADJ;FEM;SG	ADV
fina	тънки	fino	тънкък	ADJ;FEM;SG	ADJ;INDF;PL
esperava	очаквани	esperar	очаквам	V;IND;SG;3;IPFV;FIN	V;IPFV;INDF;PL;V.PTCP;PASS
pete	пийт	pete	пийт	PROPN;MASC;SG	PROPN;INDF;MASC;SG
pete	пит	pete	пит	PROPN;MASC;SG	PROPN;INDF;MASC;SG
sólido	твърдо	sólido	твърдо	ADJ;MASC;SG	ADV
magnético	магнитни	magnético	магнитен	N;MASC;SG	ADJ;INDF;PL
magnético	магнитен	magnético	магнитен	N;MASC;SG	ADJ;INDF;MASC;SG
gigantes	гигантски	gigante	гигантски	N;MASC;PL	ADJ;INDF;MASC;SG
gigantes	великан	gigante	велик	N;MASC;PL	ADJ;INDF;MASC;SG
gigantes	гигант	gigante	гигант	N;MASC;PL	N;INDF;MASC;SG
gigantes	гигантска	gigante	гигантски	N;MASC;PL	ADJ;INDF;FEM;SG
licenciatura	завърша	licenciatura	завърша	N;FEM;SG	V;PFV;IND;SG;1;PST;FIN;ACT
ameaças	заплаха	ameaça	заплаха	N;FEM;PL	N;INDF;FEM;SG
múltiplos	множествена	múltiplo	множествен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
múltiplos	множество	múltiplo	множество	ADJ;MASC;PL	N;INDF;NEUT;SG
mercadorias	блага	mercadoria	благам-(се)	N;FEM;PL	N;INDF;FEM;SG
mercadorias	стока	mercadoria	стока	N;FEM;PL	N;INDF;FEM;SG
mercadorias	товарен	mercadoria	товарен	N;FEM;PL	ADJ;INDF;MASC;SG
agradeço	оцени	agradeço	оценя	V;IND;SG;1;PRS;FIN	V;PFV;IMP;SG;2;FIN
frutas	плод	fruta	плод	N;FEM;PL	N;INDF;MASC;SG
índices	индекс	índice	индекс	N;MASC;PL	N;INDF;MASC;SG
índices	показател	índice	показател	N;MASC;PL	N;INDF;MASC;SG
junius	юний	juniu	юний	N;MASC;SG	PROPN;INDF;MASC;SG
eliminados	изтрит	eliminar	изтрия	V;MASC;PL;V.PTCP	N;INDF;MASC;SG
eliminados	изтрита	eliminar	изтрия	V;MASC;PL;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
eliminados	изтрито	eliminar	изтрия	V;MASC;PL;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
eliminados	елиминиран	eliminar	елиминирам	V;MASC;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
crônicas	хроничен	crônica	хроничен	N;FEM;PL	ADJ;INDF;MASC;SG
crônicas	хронично	crônica	хроничен	N;FEM;PL	ADV
crônicas	хронични	crônica	хроничен	N;FEM;PL	ADJ;INDF;PL
crônicas	хронична	crônica	хроничен	N;FEM;PL	ADJ;INDF;FEM;SG
masters	господари	master	господар	N;MASC;SG	N;INDF;MASC;PL
masters	майстори	master	майстор	N;MASC;SG	N;INDF;MASC;PL
separar	отделни	separar	отделен	V;NFIN	ADJ;INDF;PL
separar	отделно	separar	отделно	V;NFIN	ADV
separar	отделна	separar	отделен	V;NFIN	ADJ;INDF;FEM;SG
separar	отделен	separar	отделен	V;NFIN	ADJ;INDF;MASC;SG
incapaz	неспособни	incapaz	неспособен	ADJ;MASC;SG	ADJ;INDF;PL
interessados	заинтересовани	interessado	заинтересован	N;MASC;PL	ADJ;INDF;PL
interessados	заинтересована	interessado	заинтересован	N;MASC;PL	ADJ;INDF;FEM;SG
interessados	заинтригуван	interessado	заинтригувам	N;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interessados	заинтересуван	interessado	заинтересувам-(се)	N;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interessados	заинтересован	interessado	заинтересовам	N;MASC;PL	ADJ;INDF;MASC;SG
deficiência	увреждания	deficiência	увреждане	N;FEM;SG	N;INDF;NEUT;PL
collins	колинс	collin	колинс	N;MASC;SG	PROPN;INDF;MASC;SG
tomado	взети	tomar	взема	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
removido	премахнат	remover	премахна	V;MASC;SG;V.PTCP	V;PFV;IND;PL;3;PRS;FIN;ACT
removido	премахнати	remover	премахна	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
removido	отстранени	remover	отстраня-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
diariamente	дневна	diariamente	дневен	ADV	ADJ;INDF;FEM;SG
diariamente	дневен	diariamente	дневен	ADV	ADJ;INDF;MASC;SG
chi	chi	chi	chi	N;MASC;SG	PROPN;INDF;MASC;SG
chi	чи	chi	чи	N;MASC;SG	PROPN;INDF;FEM;SG
armadura	брони	armadura	броня	N;FEM;SG	N;INDF;FEM;PL
armadura	доспехи	armadura	доспех	N;FEM;SG	N;INDF;MASC;PL
adquirido	придобит	adquirir	придобит	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
adquirido	придобити	adquirir	придобия	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
adquirido	купени	adquirir	купен	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
adquirido	закупени	adquirir	закупя	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
frequentou	присъстваха	frequentar	присъствам	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;3;IPFV;FIN;ACT
recomendações	препоръка	recomendação	препоръка	N;FEM;PL	N;INDF;FEM;SG
garantia	гаранции	garantia	гаранция	N;FEM;SG	N;INDF;FEM;PL
criminal	престъпно	criminal	престъпно	N;MASC;SG	ADV
phillips	филипс	phillips	филипс	N;MASC;SG	PROPN;INDF;MASC;SG
esculturas	скулптура	escultura	скулптура	N;FEM;PL	N;INDF;FEM;SG
born	родени	born	родя-(се)	N;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
born	роден	born	родя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
born	родена	born	родя-(се)	N;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
novatos	начинаещи	novato	начинаещ	N;MASC;PL	ADJ;INDF;PL
mitchell	мичъл	mitchell	мичъл	N;MASC;SG	PROPN;INDF;MASC;SG
made	направена	made	направя-(се)	N;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
made	направено	made	направя-(се)	N;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
made	направен	made	направя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
made	направени	made	направя-(се)	N;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
subdivisões	подразделение	subdivisão	подразделение	N;FEM;PL	N;INDF;NEUT;SG
claudio	клаудио	claudio	клаудио	N;MASC;SG	PROPN;INDF;MASC;SG
