فرس	tamma	فَرَس	tamma		N;NOM;SG
التحديد	tunnistetiedot	تَحدِيد	tunniste#tieto	N;NOM;DEF;SG	N;NOM;PL
الاستخدامات	käyttää	اِستِخدَام	käyttää	N;NOM;DEF;PL	V;IND;SG;PRS;FIN;ACT
العبودية	orjuuden	عُبُودِيّ	orjuus	N;NOM;DEF;SG	N;GEN;SG
العبودية	orjuudesta	عُبُودِيّ	orjuus	N;NOM;DEF;SG	N;IN+ABL;SG
فوج	fogg	فَوجَ	fogg	N;NOM;INDF;SG	PROPN;NOM;SG
لغوية	kielellisen	لَغوِيّ	kielellinen	ADJ;NOM;INDF;FEM;SG	ADJ;GEN;SG
وطن	kotimaan	وَطَن	koti#maa	N;NOM;INDF;SG	N;GEN;SG
استضافة	isännöi	اِستِضَافَة	isännöidä	N;NOM;INDF;SG	V;IND;SG;3;PST;FIN;ACT
استضافة	isännöi	اِستِضَافَة	isännöidä	N;NOM;INDF;SG	V;IND;SG;3;PST;FIN;ACT
المحاكمة	oikeudenkäyntiä	مُحَاكَمَة	oikeuden#käynti	N;NOM;DEF;SG	N;PRT;SG
المحاكمة	oikeudenkäynnin	مُحَاكَمَة	oikeuden#käynti	N;NOM;DEF;SG	N;GEN;SG
الشبكية	verkkokalvon	شَبَكِيّ	verkko#kalvo		N;GEN;SG
وجوه	kasvoja	وَجه	kasvot	N;NOM;INDF;PL	N;PRT;PL
تعامل	kohdella	تَعَامُل	kohdella	N;NOM;INDF;SG	V;SG;NFIN;ACT
عنق	kaulan	عَنق	kaula		N;GEN;SG
عنق	niskan	عَنق	niska		N;GEN;SG
عنق	niska	عَنق	niska		N;NOM;SG
عنق	kaula	عَنق	kaula		N;NOM;SG
التشريع	lainsäädäntöä	تَشرِيع	lain#säädäntö	N;NOM;DEF;SG	N;PRT;SG
التشريع	lainsäädännön	تَشرِيع	lain#säädäntö	N;NOM;DEF;SG	N;GEN;SG
انعدام	puutetta	اِنعِدَام	puute	N;NOM;INDF;SG	N;PRT;SG
كونيتيكت	connecticut	كُونِيتِيكت	connecticut		PROPN;NOM;SG
بادن	baden	بَادِن	bade		
الاطفال	lapsia	طِفل	lapsi	N;NOM;DEF;PL	N;PRT;PL
الاطفال	lasten	طِفل	lapsi	N;NOM;DEF;PL	N;GEN;PL
الاطفال	lapsia	طِفل	lapsi	N;NOM;DEF;PL	N;PRT;PL
الاطفال	vauvoja	طِفل	vauva	N;NOM;DEF;PL	N;PRT;PL
بار	baariin	بَار	baari		N;IN+ALL;SG
بار	baarissa	بَار	baari		N;IN+ESS;SG
بار	baari	بَار	baari		N;NOM;SG
بار	baarin	بَار	baari		N;GEN;SG
قراصنة	merirosvot	قراصنة	meri#rosvo		N;NOM;PL
قراصنة	merirosvoja	قراصنة	meri#rosvo		N;PRT;PL
ثالثة	kolmannet	ثَالِث	kolmas	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
ثالثة	kolmanneksi	ثَالِث	kolmas	ADJ;NOM;INDF;FEM;SG	ADJ;TRANS;SG
سويدي	ruotsiksi	سويدي	ruotsi	ADJ;NOM;INDF;MASC;SG	N;TRANS;SG
سويدي	ruotsi	سويدي	ruotsi	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
سويدي	ruotsin	سويدي	ruotsi	ADJ;NOM;INDF;MASC;SG	N;GEN;SG
ملح	suolan	ملح	suola	N;NOM;INDF;SG	N;GEN;SG
ملح	salt	ملح	salt	N;NOM;INDF;SG	
ملح	suolaa	ملح	suola	N;NOM;INDF;SG	N;PRT;SG
بوخارست	bukarestin	بُوخرَست	bukaresti		N;GEN;SG
حبيبي	kulta	حبيبي	kulta		N;NOM;SG
حبيبي	vauva	حبيبي	vauva		N;NOM;SG
حبيبي	beibi	حبيبي	beibi		INTJ
حبيبي	muru	حبيبي	muru		N;NOM;SG
الشروق	auringonnousua	شُرُوق	auringon#nousu	N;NOM;DEF;SG	N;PRT;SG
مزدوج	duplex	مزدوج	duplex	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
مزدوج	tupla	مزدوج	tupla	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
كلود	claude	كلود	claude		PROPN;NOM;SG
العمق	syvyyteen	عُمق	syvyys	N;NOM;DEF;SG	N;IN+ALL;SG
مصنوع	tehdyt	مَصنُوع	tehdä	ADJ;NOM;INDF;MASC;SG	V;NOM;PL;V.PTCP;PASS
مصنوع	tehty	مَصنُوع	tehdä	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مصنوع	valmistettu	مَصنُوع	valmistaa	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مصنوع	made	مَصنُوع	made	ADJ;NOM;INDF;MASC;SG	
غازات	kaasu	غَاز	kaasu	N;NOM;INDF;PL	N;NOM;SG
غازات	kaasua	غَاز	kaasu	N;NOM;INDF;PL	N;PRT;SG
غازات	bensiini	غَاز	bensiini	N;NOM;INDF;PL	N;NOM;SG
غازات	bensa	غَاز	bensa	N;NOM;INDF;PL	N;NOM;SG
غازات	kaasun	غَاز	kaasu	N;NOM;INDF;PL	N;GEN;SG
غازات	kaasuja	غَاز	kaasu	N;NOM;INDF;PL	N;PRT;PL
داروين	darwin	دَارُوين	darwin		PROPN;NOM;SG
كارول	carol	كارول	carol		PROPN;NOM;SG
كارول	carolin	كارول	carolin		N;NOM;SG
تطبق	sovellettu	طَبَّق	soveltaa	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;NOM;SG;V.PTCP;PASS
تطبق	sovelletaan	طَبَّق	soveltaa	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IND;PRS;FIN;PASS
كوسوفو	kosovossa	كُوسُوفُو	koso#vossa		N;IN+ESS;SG
كوسوفو	kosovon	كُوسُوفُو	koso#von		N;GEN;SG
كوسوفو	kosovo	كُوسُوفُو	kosovo		N;NOM;SG
المستحيل	mahdotonta	مُستَحِيل	mahdoton	ADJ;NOM;DEF;MASC;SG	ADJ;PRT;SG
الدجاج	kanaa	دَجَاج	kana	N;NOM;DEF;SG	N;PRT;SG
السباقات	kilpa	سِبَاقَة	kilpa	N;NOM;DEF;PL	N;NOM;SG
السباقات	kisaa	سِبَاقَة	kisa	N;NOM;DEF;PL	N;PRT;SG
السباقات	racing	سِبَاقَة	racing	N;NOM;DEF;PL	N;NOM;SG
التحديات	haasteita	تَحَدِّي	haaste	N;NOM;DEF;PL	N;PRT;PL
كريمة	voidetta	كَرِيم	voide	ADJ;NOM;INDF;FEM;SG	N;PRT;SG
كريمة	kerma	كَرِيم	kerma	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
كريمة	kermaa	كَرِيم	kerma	ADJ;NOM;INDF;FEM;SG	N;PRT;SG
كريمة	kerman	كَرِيم	kerma	ADJ;NOM;INDF;FEM;SG	N;GEN;SG
جونغ	jung	جُونغ	jung		N;NOM;SG
ساكن	asukkaita	سَاكِن	asukas	ADJ;NOM;INDF;MASC;SG	N;PRT;PL
ساكن	asukkaat	سَاكِن	asukas	ADJ;NOM;INDF;MASC;SG	N;NOM;PL
ساكن	asukasta	سَاكِن	asukas	ADJ;NOM;INDF;MASC;SG	N;PRT;SG
شهيرة	kuuluisia	شَهِيرَة	kuuluisa	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;PL
شهيرة	kuuluisat	شَهِيرَة	kuuluisa	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
التجديد	innovaatiot	تَجدِيد	innovaatio	N;NOM;DEF;SG	N;NOM;PL
التجديد	uusimista	تَجدِيد	uusiminen	N;NOM;DEF;SG	N;PRT;SG
المدرعة	panssaroitu	مَدرَعَة	panssaroida	N;NOM;DEF;SG	V;NOM;SG;V.PTCP;PASS
المدرعة	panssaroidut	مَدرَعَة	panssaroida	N;NOM;DEF;SG	V;NOM;PL;V.PTCP;PASS
تروي	troy	رَوَى	troy	V;IPFV;FEM;IND;SG;3;FIN;ACT	PROPN;NOM;SG
تروي	troijan	رَوَى	troija	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;GEN;SG
ميغيل	miguel	مِيغِيل	miguel		PROPN;NOM;SG
ميغيل	miguelin	مِيغِيل	migueli		V;IND;SG;1;PST;FIN;ACT
المتقدم	ennakko	مُتَقَدِّم	ennakko	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
المتقدم	ennakkoon	مُتَقَدِّم	ennakko	ADJ;NOM;DEF;MASC;SG	N;IN+ALL;SG
المتقدم	eteneminen	مُتَقَدِّم	eteneminen	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
المتقدم	kehittynyt	مُتَقَدِّم	kehittyä	ADJ;NOM;DEF;MASC;SG	V;NOM;SG;V.PTCP;ACT
المتقدم	edistynyt	مُتَقَدِّم	edistyä	ADJ;NOM;DEF;MASC;SG	V;NOM;SG;V.PTCP;ACT
المتقدم	kehittyneet	مُتَقَدِّم	kehittyä	ADJ;NOM;DEF;MASC;SG	V;NOM;PL;V.PTCP;ACT
لوحظ	todetut	لَاحَظ	todeta	V;PFV;MASC;SG;3;PASS	V;NOM;PL;V.PTCP;PASS
لوحظ	havaitut	لَاحَظ	havaita	V;PFV;MASC;SG;3;PASS	V;NOM;PL;V.PTCP;PASS
لوحظ	merkille	لَاحَظ	merkki	V;PFV;MASC;SG;3;PASS	N;AT+ALL;SG
يسمع	kuule	سَمِع	kuulla	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IMP;SG;2;FIN;ACT
موجه	suunnattu	مُوَجَّه	suunnata	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
موجه	kohdistettu	مُوَجَّه	kohdistaa	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
موجه	kohdennettu	مُوَجَّه	kohdentaa	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
موجه	vektori	مُوَجَّه	vektori	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
بطن	vatsa	بَطن	vatsa		N;NOM;SG
بطن	maha	بَطن	maha		N;NOM;SG
بطن	vatsa	بَطن	vatsa		N;NOM;SG
بطن	vatsan	بَطن	vatsa		N;GEN;SG
السعر	hinnan	سِعر	hinta	N;NOM;DEF;SG	N;GEN;SG
السعر	hintaa	سِعر	hinta	N;NOM;DEF;SG	N;PRT;SG
المهرة	taitava	مُهرَة	taitava	N;NOM;DEF;SG	ADJ;NOM;SG
تصفية	suodattimen	تَصفِيَة	suodatin	N;NOM;INDF;SG	N;GEN;SG
تصفية	selvitystilaan	تَصفِيَة	selvitys#tila	N;NOM;INDF;SG	N;IN+ALL;SG
التذاكر	liput	تَذَاكُر	lippu	N;NOM;DEF;SG	N;NOM;PL
التذاكر	lippuja	تَذَاكُر	lippu	N;NOM;DEF;SG	N;PRT;PL
التذاكر	lippujen	تَذَاكُر	lippu	N;NOM;DEF;SG	N;GEN;PL
المشاهير	julkkis	مَشهُور	julkkis	N;NOM;DEF;PL	N;NOM;SG
المشاهير	julkkiksia	مَشهُور	julkkis	N;NOM;DEF;PL	N;PRT;PL
التفتيش	tarkastukset	تَفتِيش	tarkastus	N;NOM;DEF;SG	N;NOM;PL
التفتيش	tarkastuksen	تَفتِيش	tarkastus	N;NOM;DEF;SG	N;GEN;SG
المعتاد	tavallista	مُعتَاد	tavallinen	ADJ;NOM;DEF;MASC;SG	ADJ;PRT;SG
المعتاد	tavanomaiset	مُعتَاد	tavan#omainen	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;PL
تكشف	paljasta	كَشَف	paljas	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IMP;SG;2;FIN;ACT
نيلسون	nelson	نيلسون	nelson		
استيعاب	imeytymistä	اِستِيعَاب	imeytyminen	N;NOM;INDF;SG	N;PRT;SG
سحر	taikaa	سِحر	taikaa	N;NOM;INDF;SG	N;PRT;SG
سحر	magic	سِحر	magic	N;NOM;INDF;SG	
سحر	taikuutta	سِحر	taikuus	N;NOM;INDF;SG	N;PRT;SG
تنشيط	aktivoi	تَنشِيط	aktivoida	N;NOM;INDF;SG	V;IMP;SG;2;FIN;ACT
الورقة	paperia	وَرَقَة	paperi	N;NOM;DEF;SG	N;PRT;SG
لوثر	luther	لوثر	luther		N;NOM;SG
شطرنج	shakkia	شطرنج	shakki		N;PRT;SG
شطرنج	shakki	شطرنج	shakki		N;NOM;SG
متجر	kauppa	مَتجَر	kauppa		N;NOM;SG
متجر	shop	مَتجَر	shop		N;NOM;SG
متجر	säilytä	مَتجَر	säilyttää		V;IMP;SG;2;FIN;ACT
متجر	kaupassa	مَتجَر	kauppa		N;IN+ESS;SG
متجر	kaupan	مَتجَر	kauppa		N;GEN;SG
متجر	kauppa	مَتجَر	kauppa		N;NOM;SG
التنس	tennis	تَنسّ	tennis		N;NOM;SG
التنس	tennistä	تَنسّ	tenninen		N;PRT;SG
المتطلبات	vaatimuksia	مُتَطَلَّبَات	vaatimus	N;NOM;DEF;PL	N;PRT;PL
النسر	kotkan	النسر	kotka	N;NOM;DEF;SG	N;GEN;SG
فرعي	tytäryhtiö	فَرعِيّ	tytär#yhtiö	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
استئصال	hävittämistä	اِستِئصَال	hävittäminen	N;NOM;INDF;SG	N;PRT;SG
مهددة	uhkasi	مُهَدَّد	uhata	ADJ;NOM;INDF;FEM;SG	V;IND;SG;3;PST;FIN;ACT
مهددة	uhkaili	مُهَدَّد	uhkailla	ADJ;NOM;INDF;FEM;SG	V;IND;SG;3;PST;FIN;ACT
مهددة	uhattuna	مُهَدَّد	uhata	ADJ;NOM;INDF;FEM;SG	V;FRML;SG;V.PTCP;PASS
جوني	johnny	جُونِيّ	johtaa		N;NOM;SG
ضفدع	konna	ضفدع	konna		N;NOM;SG
ضفدع	rupikonna	ضفدع	rupikko		N;NOM;SG
ضفدع	sammakon	ضفدع	sammakko		N;GEN;SG
ضفدع	sammakko	ضفدع	sammakko		N;NOM;SG
جزئية	osittaista	جُزئِيّ	osittainen	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;SG
المتطوعين	vapaaehtoisia	مُتَطَوِّع	vapaa#ehtoinen	ADJ;NOM;DEF;MASC;PL	ADJ;PRT;PL
المشاركون	osallistujia	مُشَارِك	osallistuja	N;NOM;DEF;PL	N;PRT;PL
المشاركون	osallistujien	مُشَارِك	osallistuja	N;NOM;DEF;PL	N;GEN;PL
اجتماعات	kokouksiin	اِجتِمَاع	kokous	N;NOM;INDF;PL	N;IN+ALL;PL
منهجية	menetelmät	مُنهَجِيّ	menetelmä	N;NOM;INDF;SG	N;NOM;PL
منهجية	systemaattisesti	مُنهَجِيّ	systemaattisesti	N;NOM;INDF;SG	ADV
منهجية	järjestelmällistä	مُنهَجِيّ	järjestelmä	N;NOM;INDF;SG	ADJ;PRT;SG
منهجية	järjestelmällisesti	مُنهَجِيّ	järjestelmällisesti	N;NOM;INDF;SG	ADV
منهجية	järjestelmällinen	مُنهَجِيّ	järjestelmällinen	N;NOM;INDF;SG	ADJ;NOM;SG
المعادلات	yhtälöitä	مُعَادِلَة	yhtälö	N;NOM;DEF;PL	N;PRT;PL
البلطيق	itämeri	بُلط	itämeri		N;NOM;SG
البلطيق	baltian	بُلط	baltia		N;GEN;SG
البلطيق	itämeren	بُلط	itä#meri		N;GEN;SG
تحفيز	stimuloi	تحفيز	stimuloida	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
السويسرية	sveitsiläinen	سُوِيسرِيَّة	sveitsiläinen	N;NOM;DEF;SG	ADJ;NOM;SG
السويسرية	sveitsin	سُوِيسرِيَّة	sveitsi	N;NOM;DEF;SG	N;GEN;SG
زائد	lisäksi	زَائِد	lisäksi	ADJ;NOM;INDF;MASC;SG	ADV
زائد	plus	زَائِد	plus	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
زائد	plussaa	زَائِد	plussa	ADJ;NOM;INDF;MASC;SG	N;PRT;SG
خشب	puuta	خشب	puu	N;NOM;INDF;SG	N;PRT;SG
خشب	puusta	خشب	puu	N;NOM;INDF;SG	N;IN+ABL;SG
خشب	puutavaran	خشب	puu#tavara	N;NOM;INDF;SG	N;GEN;SG
ضيقة	tiukat	ضيقة	tiukka	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
ضيقة	tiukkaa	ضيقة	tiukka	ADJ;NOM;INDF;FEM;SG	ADJ;PRT;SG
ضيقة	tiukasti	ضيقة	tiukasti	ADJ;NOM;INDF;FEM;SG	ADV
الحوت	kalat	حُوت	kala	N;NOM;DEF;SG	N;NOM;PL
الحوت	valaan	حُوت	valaa	N;NOM;DEF;SG	N;GEN;SG
الحوت	valasta	حُوت	vala	N;NOM;DEF;SG	N;IN+ABL;SG
ياسمين	jasmine	ياسمين	jasmine	N;ACC;INDF;DU	N;NOM;SG
لوبيز	lópez	لوبيز	lópez		PROPN;NOM;SG
لوبيز	lopez	لوبيز	lopez		PROPN;NOM;SG
ادعى	haettu	اِدَّعَى	hakea	V;PFV;MASC;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
ادعى	väittivät	اِدَّعَى	väittää	V;PFV;MASC;SG;3;ACT	V;IND;PL;3;PST;FIN;ACT
ادعى	väitetty	اِدَّعَى	väittää	V;PFV;MASC;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
المساء	iltaa	مَسَاء	ilta	N;NOM;DEF;SG	N;PRT;SG
جوليا	julia	جوليا	juli		N;NOM;SG
الكل	kaikille	كُلّ	kaikki		PRO;AT+ALL;PL
الكل	kaikki	كُلّ	kaikki		PRO;NOM;SG
المعاملة	hoitoa	مُعَامَلَة	hoito	N;NOM;DEF;SG	N;PRT;SG
المعاملة	hoidon	مُعَامَلَة	hoito	N;NOM;DEF;SG	N;GEN;SG
المتغير	muuttujaa	مُتَغَيِّر	muuttuja	N;NOM;DEF;SG	N;PRT;SG
المتغير	vaihteleva	مُتَغَيِّر	vaihdella	N;NOM;DEF;SG	V;NOM;SG;V.PTCP;ACT
المتغير	muuttujan	مُتَغَيِّر	muuttuja	N;NOM;DEF;SG	N;GEN;SG
المتغير	muuttuva	مُتَغَيِّر	muuttua	N;NOM;DEF;SG	V;NOM;SG;V.PTCP;ACT
شارلوت	charlotte	شَارَل	charlotte		
شارلوت	lotta	شَارَل	lotta		N;NOM;SG
ديانا	diana	دِيَانَا	diana		
ديانا	dianan	دِيَانَا	diana		N;GEN;SG
منتزه	park	منتزه	park		PROPN;NOM;SG
منتزه	puisto	منتزه	puisto		N;NOM;SG
منتزه	puistoon	منتزه	puisto		N;IN+ALL;SG
منتزه	puiston	منتزه	puisto		N;GEN;SG
تسهيل	helpotetaan	تَسهِيل	helpottaa	N;NOM;INDF;SG	V;IND;PRS;FIN;PASS
تسهيل	helpottavat	تَسهِيل	helpottaa	N;NOM;INDF;SG	V;PL;3;FIN;ACT
تسهيل	helpotetaan	تَسهِيل	helpottaa	N;NOM;INDF;SG	V;IND;PRS;FIN;PASS
تسهيل	helpottaa	تَسهِيل	helpottaa	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
تسهيل	helpottavat	تَسهِيل	helpottaa	N;NOM;INDF;SG	V;PL;3;FIN;ACT
انتقد	arvosteltu	اِنتَقَد	arvostella	V;PFV;MASC;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
الاحتفالات	viettoa	اِحتِفَال	vietto	N;NOM;DEF;PL	N;PRT;SG
الاحتفالات	juhlinta	اِحتِفَال	juhlinta	N;NOM;DEF;PL	N;NOM;SG
الاحتفالات	vietto	اِحتِفَال	vietto	N;NOM;DEF;PL	N;NOM;SG
فرعون	faarao	فرعون	faarao		N;NOM;SG
فرعون	faaraon	فرعون	faaras		N;GEN;SG
يفسر	selitetään	فَسَّر	selittää	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;PRS;FIN;PASS
شكر	kiitos	شَكَر	kiitos		N;NOM;SG
شكر	kiitti	شَكَر	kiittää		V;IND;SG;3;PST;FIN;ACT
تلقائيا	automaattinen	تِلقَائِيّ	automaattinen	ADJ;ACC;INDF;MASC;SG	ADJ;NOM;SG
تلقائيا	automaattisesti	تِلقَائِيّ	automaattisesti	ADJ;ACC;INDF;MASC;SG	ADV
تلقائيا	automaattiset	تِلقَائِيّ	automaattinen	ADJ;ACC;INDF;MASC;SG	ADJ;NOM;PL
تلقائيا	automaatti	تِلقَائِيّ	automaatti	ADJ;ACC;INDF;MASC;SG	N;NOM;SG
تلقائيا	automaattisesti	تِلقَائِيّ	automaattisesti	ADJ;ACC;INDF;MASC;SG	ADV
زائر	vieras	زَائِر	vieras		N;NOM;SG
زائر	vierailija	زَائِر	vierailija		N;NOM;SG
معتمد	akkreditoitu	معتمد	akkreditoida	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
معتمد	sertifioitu	معتمد	sertifioida	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
الكوارث	katastrofien	كَارِثَة	katastrofi	N;NOM;DEF;PL	N;GEN;PL
الكوارث	tuho	كَارِثَة	tuho	N;NOM;DEF;PL	N;NOM;SG
الكوارث	katastrofi	كَارِثَة	katastrofi	N;NOM;DEF;PL	N;NOM;SG
الكوارث	onnettomuus	كَارِثَة	onnettomuus	N;NOM;DEF;PL	N;NOM;SG
الكوارث	katastrofin	كَارِثَة	katastrofi	N;NOM;DEF;PL	N;GEN;SG
ميديا	medeia	مِيدِيَا	medea		N;NOM;PL
تلسكوب	teleskooppi	تَلَسكُوب	teles#kooppi		N;NOM;SG
التنقل	liikkuvuutta	تَنَقُّل	liikkuvuus	N;NOM;DEF;SG	N;PRT;SG
سمعة	mainetta	سُمعَة	maine	N;NOM;INDF;SG	N;PRT;SG
هانز	hans	هانز	hans		PROPN;NOM;SG
جسيم	hiukkasten	جَسِيم	hiukkanen	N;NOM;INDF;SG	N;GEN;PL
حنا	hanna	حنا	hanna		N;NOM;SG
فدان	hehtaarin	فَدَّان	hehtaari	N;NOM;INDF;SG	N;GEN;SG
الاعلى	huippu	أَعلَى	huippu	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
الاعلى	top	أَعلَى	top	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;SG
الاعلى	huippua	أَعلَى	huippu	ADJ;NOM;DEF;MASC;SG	N;PRT;SG
الاعلى	ylä	أَعلَى	ylä	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
الاعلى	suosituimmat	أَعلَى	suosittu	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;RL;PL
تفقد	tarkista	فَقَد	tarkistaa	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IMP;SG;2;FIN;ACT
تفقد	tarkistus	فَقَد	tarkistus	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;SG
تفقد	tarkistetaan	فَقَد	tarkistaa	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;PRS;FIN;PASS
تفقد	check	فَقَد	check	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;SG
امبراطورية	imperiumin	امبراطورية	imperiumi	N;NOM;INDF;SG	N;GEN;SG
امبراطورية	empire	امبراطورية	empire	N;NOM;INDF;SG	
تلبية	tavata	تَلبِيَة	tavata	N;NOM;INDF;SG	V;SG;NFIN;ACT
تلبية	tapaa	تَلبِيَة	tapa	N;NOM;INDF;SG	N;PRT;SG
بخار	höyryä	بخار	höyry	N;NOM;INDF;SG	N;PRT;SG
الاصابة	vahinkoa	إِصَابَة	vahinko	N;NOM;DEF;SG	N;PRT;SG
الاصابة	vammat	إِصَابَة	vamma	N;NOM;DEF;SG	N;NOM;PL
وضعية	asentoa	وَضعِيَّة	asento	N;NOM;INDF;SG	N;PRT;SG
وضعية	asennon	وَضعِيَّة	asento	N;NOM;INDF;SG	N;GEN;SG
العلمانية	maallinen	عِلمَانِيَّة	maallinen	N;NOM;DEF;SG	ADJ;NOM;SG
التدقيق	tarkistetaan	تَدقِيق	tarkistaa	N;NOM;DEF;SG	V;IND;PRS;FIN;PASS
التدقيق	tarkistaa	تَدقِيق	tarkistaa	N;NOM;DEF;SG	V;IND;SG;FIN;ACT
الاراضي	maa	أَرض	maa	N;NOM;DEF;PL	N;NOM;SG
الاراضي	maata	أَرض	maa	N;NOM;DEF;PL	N;PRT;SG
المكسيكي	meksikolaista	مَكسِيكِيّ	meksi#kolainen	N;NOM;DEF;SG	N;PRT;SG
المكسيكي	meksikolainen	مَكسِيكِيّ	meksikolainen	N;NOM;DEF;SG	ADJ;NOM;SG
المكسيكي	meksikon	مَكسِيكِيّ	meksikko	N;NOM;DEF;SG	N;GEN;SG
مضاعفات	komplikaatioita	مُضَاعَفَات	komplikaatio	N;NOM;INDF;PL	N;PRT;PL
العينات	näytteiden	عِينَة	näyte	N;NOM;DEF;PL	N;GEN;PL
العينات	näytteitä	عِينَة	näyte	N;NOM;DEF;PL	N;PRT;PL
مدرعة	panssaroitu	مُدَرَّع	panssaroida	N;NOM;INDF;SG	V;NOM;SG;V.PTCP;PASS
مدرعة	panssaroidut	مُدَرَّع	panssaroida	N;NOM;INDF;SG	V;NOM;PL;V.PTCP;PASS
مطلوب	tarvita	مَطلُوب	tarvita	ADJ;NOM;INDF;MASC;SG	V;IMP;SG;2;FIN;ACT
مطلوب	tarvittiin	مَطلُوب	tarvita	ADJ;NOM;INDF;MASC;SG	V;IND;PST;FIN;PASS
مطلوب	tarvitaan	مَطلُوب	tarvita	ADJ;NOM;INDF;MASC;SG	V;IND;PRS;FIN;PASS
مطلوب	tarvittu	مَطلُوب	tarvita	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مطلوب	edellytetään	مَطلُوب	edellyttää	ADJ;NOM;INDF;MASC;SG	V;IND;PRS;FIN;PASS
مطلوب	vaadittu	مَطلُوب	vaatia	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مطلوب	vaaditaan	مَطلُوب	vaatia	ADJ;NOM;INDF;MASC;SG	V;IND;PRS;FIN;PASS
مطلوب	etsintäkuulutettu	مَطلُوب	etsintä#kuuluttaa	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مطلوب	haluttu	مَطلُوب	haluta	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
مطلوب	halusi	مَطلُوب	haluta	ADJ;NOM;INDF;MASC;SG	V;IND;SG;3;PST;FIN;ACT
هارت	hart	هَار	hart		PROPN;NOM;SG
التزلج	hiihtämään	تَزَلُّج	hiihtää	N;NOM;DEF;SG	V;IN+ALL;SG;NFIN;ACT
الكمال	täydelliset	كَمَال	täydellinen	N;NOM;DEF;SG	ADJ;NOM;PL
الكمال	täydellistä	كَمَال	täydellinen	N;NOM;DEF;SG	ADJ;PRT;SG
الكمال	täydellinen	كَمَال	täydellinen	N;NOM;DEF;SG	ADJ;NOM;SG
الكمال	täydellisyyttä	كَمَال	täydellisyys	N;NOM;DEF;SG	N;PRT;SG
الجسور	siltoja	جِسر	silta	N;NOM;DEF;PL	N;PRT;PL
الجسور	siltojen	جِسر	silta	N;NOM;DEF;PL	N;GEN;PL
اللاهوت	teologiaa	لَاهُوت	teologia	N;NOM;DEF;SG	N;PRT;SG
مهن	ammattien	مهن	ammatti	N;NOM;INDF;PL	N;GEN;PL
مهن	uran	مهن	ura	N;NOM;INDF;PL	N;GEN;SG
مهن	ura	مهن	ura	N;NOM;INDF;PL	N;NOM;SG
مهن	uraa	مهن	ura	N;NOM;INDF;PL	N;PRT;SG
مهن	ammateissa	مهن	ammatti	N;NOM;INDF;PL	N;IN+ESS;PL
بيتش	rannan	بيتش	ranta		N;GEN;SG
بيتش	ranta	بيتش	ranta		N;NOM;SG
بيتش	beach	بيتش	beach		N;NOM;SG
