de	say	de	say		
yollar	도로	yol	도로	N;NOM;PL;3	
hollandalı	네덜란드인	hollandal	네덜란드인		V
hollandalı	네덜란드	hollandal	네덜란드		PROPN
hollandalı	네덜란드인	hollandal	네덜란드인		V
hollandalı	네덜란드령	hollandal	네덜란드령		PROPN
gündüz	하루	gündüz	하루		N
iso	iso	iso	iso		
blok	차단	blok	차단		N
blok	차단	blok	차단		N
seven	loving	sev	loving		
şehit	순교자	şehit	순교자		N
şehit	순교자	şehit	순교자		N
bernard	베르나르	bernard	베르나르		PROPN
prag	프라하	prag	프라하	PROPN;NOM;SG;3	PROPN
arpa	보리	arpa	보리		N
kongo	콩고	kongo	콩고		PROPN
hesap	계산법	hesap	계산법		N
hesap	계산	hesap	계산		N
hesap	계좌	hesap	계좌		N
hesap	계정	hesap	계정		N
hesap	계좌	hesap	계좌		N
hesap	계정	hesap	계정		N
hesap	수학	hesap	수학		N
köle	노예	köle	노예		N
köle	노예제	köle	노예제		N
köle	노예	köle	노예		N
sekizinci	여덟번째	sekizinci	여덟번+째		N
iskoç	스코틀랜드	iskoç	스코틀랜드		PROPN
iskoç	스코틀랜드인	iskoç	스코틀랜랜인		V
iskoç	스카치	iskoç	스카치		N
iskoç	스코틀랜드	iskoç	스코틀랜드		PROPN
iskoç	스코틀랜드인	iskoç	스코틀랜랜인		V
firma	컴퍼니	firma	컴퍼니	N;NOM;SG;3	
maliyeti	비용	maliyet	비용	N;NOM;SG;3	
maliyeti	비용	maliyet	비용	N;NOM;SG;3	
değişken	변광성	değişken	변광성		N
değişken	변수	değişken	변수		N
değişken	변수	değişken	변수		N
sayfalar	페이지	sayfa	페이지	N;NOM;PL;3	
mod	모드	mod	모드		N
mod	mod	mod	mod		
yorumlar	리뷰	yorum	리뷰	N;NOM;PL;3	
kızılderili	인도	kızılderili	인도	V;PFV;IND;POS;PRS;PASS	PROPN
kızılderili	인디언	kızılderili	인디언	V;PFV;IND;POS;PRS;PASS	
yüklü	설치	yüklü	설치		N
yüklü	설치됨	yüklü	설치+되+ㄴ		V
kayıtları	로그	kayıt	로그	N;ACC;PL;3	
reis	과장	reis	과장		N
komuta	커맨드	komut	커맨드	N;NOM;SG;3	
komuta	지휘	komut	지휘	N;NOM;SG;3	
slovenya	슬로베니아	slovenya	슬로베니아	PROPN;NOM;SG;3	PROPN
slovenya	슬로베니아어	slovenya	슬로베니아어	PROPN;NOM;SG;3	
sıralama	sort	sıralama	sort		
sıralama	순위	sıralama	순위		N
sıralama	계급	sıralama	계급		N
sıralama	순위	sıralama	순위		N
gelişmeler	진전	geliş	진전	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
gelişmeler	향상	geliş	향상	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
gelişmeler	개선	geliş	개선	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
estonya	에스토니아	estonya	에스토니아	PROPN;NOM;SG;3	PROPN
senato	상원	senato	상원		N
senato	상원의원	senato	상원의원		N
alçak	낮은	alçak	낮+ㄴ		ADJ
alçak	낮음	alçak	낮+ㅁ		ADJ
alçak	low	alçak	low		
isveçli	스웨덴	isveçli	스웨덴		PROPN
illinois	일리노이	illinois	일리노이	PROPN;NOM;SG;3	PROPN
yaralandı	부상	yarala	부상	V;PFV;IND;SG;3;POS;PST;PASS	N
maya	효모	maya	효모		N
soyadı	성씨	soya	성씨		N
toronto	토론토	toronto	토론토	PROPN;NOM;SG;3	PROPN
heykeli	동상	heykeli	동상		N
heykeli	조각상	heykeli	조각상		N
fındık	땅콩	fındık	땅콩		N
fındık	땅콩	fındık	땅콩		N
avukat	변호사	avukat	변호사		N
avukat	변호사	avukat	변호사		N
boyut	차원	boyut	차원		N
islami	이슬람	islami	이슬람		N
sayfaya	페이지	sayfa	페이지	N;DAT;SG;3	
önlemek	방지	önle	방지	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
önlemek	예방	önle	예방	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
önlemek	방지	önle	방지	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
önlemek	예방	önle	예방	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
mahkûm	포로	mahkûm	포로		N
gezegen	행성	gezegen	행성		N
şerif	보안관	şerif	보안관		N
işleme	프로세싱	işle	프로세쉬		N
işleme	처리	işle	처리		N
işleme	가공	işle	가공		N
notlar	노트	not	노트	N;NOM;PL;3	
ilkokul	초등	ilkokul	초등		N
nerede	어디서	nere	어디+서	PRO;ESS;SG;3	ADV
nerede	어디	nere	어디	PRO;ESS;SG;3	
nerede	어디에	nere	어디+에	PRO;ESS;SG;3	ADV
nerede	어디로	nere	어디+로	PRO;ESS;SG;3	ADV
earth	earth	earth	earth		
earth	지구	earth	지구		N
inanç	신념	inanç	신념		N
inanç	신앙	inanç	신앙		N
inanç	신념	inanç	신념		N
inanç	신앙	inanç	신앙		N
ekleme	추가하기	ekle	추가+하+기		V
ekleme	추가하기	ekle	추가+하+기		V
ekleme	삽입	ekle	삽입		N
konfederasyon	연맹	konfederasyon	연맹		N
konfederasyon	연방	konfederasyon	연방		N
garip	어색한	garip	어색하+ㄴ		V
garip	이상한	garip	이상+하+ㄴ		V
garip	이상하다	garip	이상+하+다		V
garip	이상한	garip	이상+하+ㄴ		V
garip	odd	garip	odd		
minnesota	미네소타	minnesota	미네소타	PROPN;NOM;SG;3	PROPN
heyeti	위임	heyet	위임	N;NOM;SG;3	
mit	mit	mit	mit		
kişiliği	개성	kişilik	개성	N;NOM;SG;3	
çalışmak	공부	çalış	공부	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışmak	퇴근	çalış	퇴근	V;PFV;NOM;IND;POS;PRS;V.MSDR	
çalışmak	직장	çalış	직장	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışmak	작업	çalış	작업	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışmak	일하기	çalış	일하+기	V;PFV;NOM;IND;POS;PRS;V.MSDR	
gitmek	떠나	git	떠나+아	V;PFV;NOM;IND;POS;PRS;V.MSDR	CONJ
alay	풍자	alay	풍자		N
alay	연대	alay	연대		N
düet	듀엣	düet	듀엣		N
kum	모래시계	kum	모래+시계		N
ist	ist	ist	ist		
empire	제국	empir	제국		N
cüce	난쟁이	cüce	난쟁+이		N
edit	편집	edit	편집		N
edit	편집하기	edit	편집+하+기		V
edit	수정	edit	수정		N
özbekistan	우즈베키스탄	özbekistan	우즈베키스탄	PROPN;NOM;SG;3	PROPN
belge	문서로	belge	문서+로		ADV
belge	문서	belge	문서		N
belge	설명서	belge	설명서		N
belge	문서	belge	문서		N
tapınağı	템플	tapınak	템플	N;NOM;SG;3	
nur	가볍게	nur	가볍+게		CONJ
nur	가벼운	nur	가볍+ㄴ		ADJ
gezi	여행	gez	여행		N
gezi	견학	gez	견학		N
gezi	관광	gez	관광		N
kaplı	코팅	kaplı	코팅		N
temiz	지우기	temiz	지우+기		V
temiz	청소	temiz	청소		N
temiz	깨끗한	temiz	깨끗하+ㄴ		ADJ
temiz	깨끗하다	temiz	깨끗하+다		V
muhteşem	놀라운	muhteşem	놀랍+ㄴ		ADJ
muhteşem	화려하다	muhteşem	화려+하+다		V
muhteşem	화려한	muhteşem	화려+하+ㄴ		V
güneybatı	남서부	güneybatı	남서부	N;ACC;SG;3	
güneybatı	사우스웨스트	güneybatı	사우스웨스트	N;ACC;SG;3	PROPN
güneybatı	남서	güneybatı	남서	N;ACC;SG;3	
güneybatı	남서부	güneybatı	남서부	N;ACC;SG;3	
görevli	승무원	görevli	승무원		N
yaban	야생	yaban	야생		N
boya	paint	boy	paint		
boya	염색	boy	염색		N
yemen	예멘	yemen	예멘		PROPN
yemen	예멘	yemen	예멘		PROPN
gümrük	관세	gümrük	관세		N
gümrük	관습	gümrük	관습		N
doğrusal	직선형	doğrusal	직선형	ADJ	
doğrusal	선형	doğrusal	선형	ADJ	N
başarılar	성공함	başarı	성공함	N;NOM;PL;3	V
uyuşturucu	약물	uyuşturucu	약물	ADJ;NOM;SG;3	N
uyuşturucu	의약품	uyuşturucu	의약품	ADJ;NOM;SG;3	N
uyuşturucu	약품	uyuşturucu	약품	ADJ;NOM;SG;3	N
uyuşturucu	마약	uyuşturucu	마약	ADJ;NOM;SG;3	N
uyuşturucu	쩔어	uyuşturucu	쩔+어	ADJ;NOM;SG;3	
uyuşturucu	마약	uyuşturucu	마약	ADJ;NOM;SG;3	N
uyuşturucu	약물	uyuşturucu	약물	ADJ;NOM;SG;3	N
uyuşturucu	의약품	uyuşturucu	의약품	ADJ;NOM;SG;3	N
emri	칙령	emri	칙령		N
besin	영양소	besin	영양소		N
besin	영양	besin	영양		N
marcus	마커스	marcus	마커스		PROPN
marcus	마르쿠스	marcus	마르쿠스		PROPN
floransa	플로렌스	floransa	플로렌스	PROPN;NOM;SG;3	PROPN
floransa	피렌체	floransa	피렌체	PROPN;NOM;SG;3	PROPN
uyumlu	호환	uyumlu	호환	ADJ	N
digital	디지털	digital	디지털		N
şeytan	악마	şeytan	악마		N
şeytan	악마	şeytan	악마		N
tatar	타타르족	tat	타타르족		N
type	종류	type	종류		N
type	유형	type	유형		N
başarıyla	성공적으로	başarı	성공+적+으로	N;INS;SG;3	ADV
öteki	기타	öteki	기타		N
öteki	다른	öteki	다르+ㄴ		ADJ
lincoln	링컨	lincoln	링컨	PROPN;NOM;SG;3	
vakıf	파운데이션	vakıf	파운데이션		N
eleştiri	평론	eleştiri	평론		N
eleştiri	비판	eleştiri	비판		N
eleştiri	비평	eleştiri	비평		N
eleştiri	평론	eleştiri	평론		N
eleştiri	크리틱스	eleştiri	크리틱스		PROPN
eleştiri	비평가	eleştiri	비평가		N
eleştiri	비판	eleştiri	비판		N
kiev	키예프	kiev	키예프	PROPN;NOM;SG;3	PROPN
kiev	키예프	kiev	키예프	PROPN;NOM;SG;3	PROPN
nijerya	나이지리아	nijer	나이지리아	PROPN;NOM;SG;3	PROPN
nijerya	니제르	nijer	니제르	PROPN;NOM;SG;3	PROPN
gine	기니	gin	기+니		PROPN
terör	테러리즘	terö	테러리즘		N
terör	공포	terö	공포		N
terör	테러	terö	테러		N
terör	테러리즘	terö	테러리즘		N
terör	테러	terö	테러		N
terör	테러리스트	terö	테러리스트		N
corporation	코퍼레이션	corporation	코퍼레이션	N;NOM;SG;3	PROPN
bakım	유지보수	bakım	유지보수		N
bakım	정비	bakım	정비		N
bakım	점검	bakım	점검		N
bakım	케어	bakım	케+어		N
otel	모텔	otel	모텔	N;NOM;SG;3	
tanımı	정의	tanım	정의	N;NOM;SG;3	
massachusetts	매사추세츠	massachusetts	매사+세리츠		N
anıt	기념비	anıt	기념비		N
anıt	기념관	anıt	기념관		N
anıt	기념물	anıt	기념물		N
anıt	기념비	anıt	기념비		N
talk	talk	talk	talk		
rekabet	경쟁력	rekabet	경쟁력		N
rekabet	경쟁	rekabet	경쟁		N
rekabet	경쟁력	rekabet	경쟁력		N
rekabet	경쟁	rekabet	경쟁		N
harika	놀라운	harik	놀랍+ㄴ		ADJ
harika	멋진	harik	멋지+ㄴ		ADJ
balina	고래	bal	고래		N
balina	고래	bal	고래		N
prince	왕자	prince	왕자		N
bürokrat	관료	bürokrat	관료		N
wayne	웨인	wayne	웨인	PROPN;NOM;SG;3	
wayne	wayne	wayne	wayne	PROPN;NOM;SG;3	
box	box	box	box		
box	상자	box	상자		N
çıplak	누드	çıplak	누드		N
çıplak	nude	çıplak	nude		
philip	펠리페	phil	펠리페	N;NOM;SG;3	PROPN
philip	필립	phil	필립	N;NOM;SG;3	PROPN
hamburg	함부르크	hamburg	함부르크	PROPN;NOM;SG;3	PROPN
sağlıklı	건강하게	sağlıklı	건강+하+게		CONJ
sağlıklı	건강	sağlıklı	건강		N
sağlıklı	건강한	sağlıklı	건강+하+ㄴ		V
bilge	지혜로운	bilge	지혜+롭+ㄴ		ADJ
bilge	현명한	bilge	현명+하+ㄴ		V
damat	신랑이	damat	신랑+이		N
santos	산토스	santos	산토스	PROPN;NOM;SG;3	PROPN
atlanta	애틀랜타	atlan	애틀+선타	PROPN;NOM;SG;3	PROPN
atlanta	아틀란타	atlan	아틀란타	PROPN;NOM;SG;3	
atlanta	애틀란타	atlan	애틀+란타	PROPN;NOM;SG;3	PROPN
dağlar	산맥	dağ	산맥	N;NOM;PL;3	
dağlar	힐스	dağ	힐스	N;NOM;PL;3	
dağlar	언덕	dağ	언덕	N;NOM;PL;3	
örümcek	스파이더	örü	스파이더	N;NOM;SG;3	
eylem	행동	eylem	행동		N
eylem	활동	eylem	활동		N
eylem	작업	eylem	작업		N
eylem	동작	eylem	동작		N
eylem	액션	eylem	액션		N
dallas	댈러스	dallas	댈러스	PROPN;NOM;SG;3	PROPN
dallas	달라스	dallas	달라스	PROPN;NOM;SG;3	
davranış	태도	davranış	태도	N;NOM;SG;3	
akıllı	지혜로운	akıllı	지혜+롭+ㄴ		ADJ
akıllı	현명한	akıllı	현명+하+ㄴ		V
akıllı	영리한	akıllı	영리+하+ㄴ		V
akıllı	지능형	akıllı	지능형		N
kuvvetli	강한	kuvvetli	강하+ㄴ		ADJ
ibranice	히브리어	ibranice	히브리어		PROPN
akımı	스트리밍	akım	스트리밍	N;NOM;SG;3	
akımı	흐름	akım	흐름	N;NOM;SG;3	
kütüphane	라이브러리	kütüphane	라이브러리	N;NOM;SG;3	
kütüphane	라이브러리	kütüphane	라이브러리	N;NOM;SG;3	
konak	주최	konak	주최		N
akan	흐르는	ak	흐르+는		V
texas	텍사스	texas	텍사스	PROPN;NOM;SG;3	PROPN
kayıtlı	등록	kayıtlı	등록		N
jeff	jeff	jeff	jeff		
romalı	로마	romalı	로마		PROPN
kafa	머리	kafa	머리		N
ihlal	침해	ihlal	침해		N
ihlal	위반	ihlal	위반		N
ihlal	위반	ihlal	위반		N
hitit	히타이트	hitit	히타이트		PROPN
sürüldü	추방	sür	추방	V;PFV;IND;SG;3;POS;PST;PASS	N
etkiler	영향	etkile	영향		N
etkiler	영향	etkile	영향		N
etkiler	효과	etkile	효과		N
etkiler	영향	etkile	영향		N
juventus	유벤투스	juventus	유벤투스	N;NOM;SG;3	PROPN
görevden	무시	görev	무시	N;AT+ABL;SG;3	
görevden	닫기	görev	닫+기	N;AT+ABL;SG;3	
ihraç	내보내기	ihraç	내보내+기		V
ihraç	수출	ihraç	수출		N
ihraç	내보내기	ihraç	내보내+기		V
ihraç	수출	ihraç	수출		N
tutuklandı	체포	tutukla	체포	V;PFV;IND;SG;3;POS;PST;PASS	N
abbas	압바스	abbas	압바스		PROPN
abbas	아바스	abbas	아바스		PROPN
romalılar	로마인	romalı	로마인	N;NOM;PL;3	
rastgele	무작위	rastgele	무작위		N
rastgele	무작위로	rastgele	무작위+로		ADV
rastgele	랜덤	rastgele	랜덤		N
ajansı	에이전시	ajansı	에이전시		N
ajansı	대행사	ajansı	대행사		N
ajansı	대리점	ajansı	대리점		N
kaybı	상실	kayıp	상실		N
kaybı	손실	kayıp	손실		N
düzen	배치	düz	배치		N
düzen	layout	düz	layout		
düzen	형성	düz	형성		N
düzen	순서	düz	순서		N
düzen	주문	düz	주문		N
yükseklik	고도	yükseklik	고도	N;NOM;SG;3	
yükseklik	고도	yükseklik	고도	N;NOM;SG;3	
yükseklik	높이	yükseklik	높이	N;NOM;SG;3	
port	항구	port	항구		N
global	전역	global	전역		N
anıtı	기념탑	anıt	기념탑	N;ACC;SG;3	
anıtı	모뉴먼트	anıt	모뉴먼트	N;ACC;SG;3	
jonathan	조나단	jonathan	조나단	PROPN;NOM;SG;3	
kemer	벨트	kemer	벨트		N
kemer	벨트	kemer	벨트		N
kuşatma	포위전	kuşat	포위전		N
istenen	원하는	iste	원하+는	V;PFV;IND;POS;PRS;V.PTCP;PASS	
üreme	전파	üre	전파	V;PFV;NOM;IND;NEG;PRS;V.MSDR	N
üreme	번식	üre	번식	V;PFV;NOM;IND;NEG;PRS;V.MSDR	N
üreme	사육	üre	사육	V;PFV;NOM;IND;NEG;PRS;V.MSDR	N
punk	펑크	punk	펑크		N
okula	스쿨	okul	스쿨	N;DAT;SG;3	
okula	학원	okul	학원	N;DAT;SG;3	
geçirmek	지출	geçir	지출	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
ludwig	루트비히	ludbig	루트비히	PROPN;NOM;SG;3	PROPN
ludwig	루드비히	ludbig	루드비히	PROPN;NOM;SG;3	PROPN
yaklaşım	근사	yaklaşım	근사		N
yaklaşım	접근법	yaklaşım	접근법		N
yaklaşım	접근	yaklaşım	접근		N
cep	세포	cep	세포		N
adams	애덤스	adams	애덤스		PROPN
adams	아담스	adams	아담스		PROPN
merak	궁금해	merak	궁금+하+어	N;NOM;SG;3	V
merak	호기심	merak	호기심	N;NOM;SG;3	
merak	원더	merak	원더	N;NOM;SG;3	
merak	궁금해	merak	궁금+하+어	N;NOM;SG;3	V
justin	저스틴	justin	저스틴		PROPN
kaybeden	루저	kaybet	루저	V;PFV;IND;POS;PRS;V.PTCP	
kaybeden	패자	kaybet	패자	V;PFV;IND;POS;PRS;V.PTCP	N
kate	kate	kate	kate		
valencia	발렌시아	valencia	발렌시아	PROPN;NOM;SG;3	PROPN
plastik	성형외과	plastik	성형외+과		CONJ
plastik	성형	plastik	성형		N
ferdinand	페르디난트	ferdinand	페르디난트	N;AT+ABL;SG;3	PROPN
gabriel	가브리엘	gabriel	가브리엘		PROPN
sayfayı	페이지	sayfa	페이지	N;ACC;SG;3	
pekin	베이징	pekin	베이징	PROPN;NOM;SG;3	PROPN
pekin	베이징	pekin	베이징	PROPN;NOM;SG;3	PROPN
patlama	분출	patla	분출		N
patlama	폭발	patla	폭발		N
patlama	폭발	patla	폭발		N
açısı	앵글	açı	앵글	N;NOM;SG;3	
sesli	목소리	sesli	목소리		N
sesli	음성	sesli	음성		N
sesli	모음	sesli	모음		N
günlüğü	학술	günlük	학술	ADJ;ACC;SG;3	N
günlüğü	학술지	günlük	학술지	ADJ;ACC;SG;3	N
günlüğü	저널	günlük	저널	ADJ;ACC;SG;3	N
günlüğü	일기장	günlük	일기장	ADJ;ACC;SG;3	
günlüğü	다이어리	günlük	다이어리	ADJ;ACC;SG;3	
günlüğü	일기	günlük	일기	ADJ;ACC;SG;3	N
magic	마술	magic	마술		N
magic	마법	magic	마법		N
magic	magic	magic	magic		
maurice	모리스	maurice	모리스		PROPN
norman	노르만	norman	노르만	PROPN;NOM;SG;3	
norman	노먼	norman	노서+ㄴ	PROPN;NOM;SG;3	PROPN
yasak	금지	yasak	금지		N
yasak	금지	yasak	금지		N
adolf	아돌프	adolf	아돌프	PROPN;NOM;SG;3	PROPN
bradley	브래들리	bradley	브래+들+리		N
suikast	암살	suikast	암살		N
suikast	암살	suikast	암살		N
suikast	암살	suikast	암살		N
sunucusu	발표자	sunucu	발표자	N;NOM;SG;3	
iktidar	판결	iktidar	판결		N
ayaklanması	폭동	ayakla	폭동	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
ayaklanması	봉기	ayakla	봉기	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
açıklaması	설명	açıkla	설명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklaması	묘사	açıkla	묘사	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
alışveriş	가게	alışveriş	가게	N;NOM;SG;3	
alışveriş	구매하기	alışveriş	구매+하+기	N;NOM;SG;3	V
sahte	위조	sahte	위조		N
sahte	위조	sahte	위조		N
uygulamalar	애플리케이션	uygulama	애플리케이션	N;NOM;PL;3	
uygulamalar	어플리케이션	uygulama	어플리케이션	N;NOM;PL;3	
arkeoloji	고고학	arkeoloji	고고학		N
arkeoloji	고고학	arkeoloji	고고학		N
arkeoloji	고고학	arkeoloji	고고학		N
ohio	오하이오	ohio	오하+이+오	PROPN;NOM;SG;3	PROPN
tapınak	템플	tapınak	템플	N;NOM;SG;3	
romantik	낭만	romantik	낭만	N;NOM;SG;3	
romantik	로맨틱	romantik	로맨틱	N;NOM;SG;3	
bahçesi	가든	bahçe	가든	N;NOM;SG;3	
bahçesi	정원	bahçe	정원	N;NOM;SG;3	
merkezleri	센터	merkez	센터	N;ACC;PL;3	
tahrip	폭파	tahr	폭파		N
otobüs	버스	otobüs	버스	N;NOM;SG;3	
otobüs	버스	otobüs	버스	N;NOM;SG;3	
pedro	페드로	pedro	페드+로	PROPN;NOM;SG;3	ADV
tartışmalar	토론	tartış	토론	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışmalar	논쟁	tartış	논쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışmalar	분쟁	tartış	분쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışmalar	인자	tartış	인자	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışmalar	인수	tartış	인수	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışmalar	토론	tartış	토론	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışmalar	논의	tartış	논의	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
oluşturulmuş	생성	oluş	생성	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N
psikoloji	심리학	psikoloji	심리학		N
yiyecek	음식	yiyecek	음식		N
yiyecek	식량	yiyecek	식량		N
yiyecek	식품	yiyecek	식품		N
çatışmalar	갈등	çatış	갈등	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çatışmalar	분쟁	çatış	분쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
kürdistan	쿠르드	kürdistan	쿠르드		PROPN
kürdistan	쿠르디스탄	kürdistan	쿠르디스탄		PROPN
carlo	카를로	carlo	카를+로		ADV
seattle	시애틀	seat	시애틀	PROPN;NOM;SG;3	PROPN
wild	야생	wild	야생		N
kurallar	가이드라인	kural	가이드라인	N;NOM;PL;3	
analizi	해석학	analiz	해석학		N
analizi	해석	analiz	해석		N
analizi	분석	analiz	분석		N
hamilton	해밀턴	hamilton	해밀턴	PROPN;NOM;SG;3	
vincent	빈센트	vincent	빈센트	PROPN;NOM;SG;3	PROPN
ted	ted	ted	ted		
taksim	택시	taksim	택시		N
fırtına	폭풍	fırt	폭풍		N
duygusal	감정	duygusal	감정	ADJ	N
duygusal	센티멘탈	duygusal	센티멘탈	ADJ	
başa	핸들	baş	핸들		N
kritik	크리티컬	kritik	크리티컬		N
girişimi	이니셔티브	girişim	이니셔티브	N;NOM;SG;3	
sil	지우기	sil	지우+기		V
sil	삭제	sil	삭제		N
sil	지우기	sil	지우+기		V
sil	삭제하기	sil	삭제+하+기		V
xbox	엑스박스	xbox	엑스박스		N
yörünge	궤도	yörünge	궤도		N
çatışma	갈등	çatış	갈등	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çatışma	갈등이	çatış	갈등+이	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çatışma	충돌	çatış	충돌	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çatışma	분쟁	çatış	분쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
stuttgart	슈투트가르트	stuttgart	슈투트가르트	PROPN;NOM;SG;3	PROPN
peygamber	예언자	peygamber	예언자		N
akustik	어쿠스틱	akustik	어쿠스틱		N
ian	lan	ian	lan		
beklenen	예상	bekle	예상	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
tayland	태국	tayla	태국	PROPN;NOM;SG;3	PROPN
tayland	타이	tayla	타이	PROPN;NOM;SG;3	
tayland	타이완	tayla	타이완	PROPN;NOM;SG;3	PROPN
tayland	대만	tayla	대만	PROPN;NOM;SG;3	
aynen	마찬가지로	aynen	마찬가지+로		ADV
aynen	정확히	aynen	정확+히		ADV
aynen	같은	aynen	같+ㄴ		ADJ
aynen	똑같이	aynen	똑같이		ADV
fahri	명예	fahir	명예		N
yanıt	응답	yanıt	응답		N
yanıt	답변	yanıt	답변		N
yanıt	응답	yanıt	응답		N
yanıt	답변	yanıt	답변		N
yanıt	응답	yanıt	응답		N
yanıt	정답	yanıt	정답		N
yanıt	대답해	yanıt	대답+하+어		V
yanıt	대답	yanıt	대답		N
yanıt	답변	yanıt	답변		N
yanıt	응답	yanıt	응답		N
yanıt	답변	yanıt	답변		N
yanıt	대응	yanıt	대응		N
yanıt	반응	yanıt	반응		N
yanıt	응답	yanıt	응답		N
kızlar	소녀	kız	소녀	ADJ;NOM;PL;3	N
kızlar	소녀들	kız	소녀+들	ADJ;NOM;PL;3	N
kızlar	걸스	kız	걸스	ADJ;NOM;PL;3	N
filosu	플리트	filo	플리트	N;NOM;SG;3	
warner	워너	warner	워너	PROPN;NOM;SG;3	
sky	하늘	sky	하늘		N
kilo	몸무게	kilo	몸무+게		N
kilo	몸무게가	kilo	몸무게+가		N
kilo	체중	kilo	체중		N
sahnesi	현장	sahne	현장	N;NOM;SG;3	
gereklidir	필요함	gerekli	필요함		V
bahçe	가든	bahçe	가든	N;NOM;SG;3	
bahçe	정원	bahçe	정원	N;NOM;SG;3	
fonksiyon	함수	fonksiyon	함수		N
marx	마르크스	marx	마르크스		PROPN
nelson	넬슨	nelson	넬슨	PROPN;NOM;SG;3	
üssü	기지	üss	기지		N
nesne	객체	nesne	객체		N
nesne	개체	nesne	개체		N
nesne	대상	nesne	대상		N
nesne	천체	nesne	천체		N
nesne	객체	nesne	객체		N
nesne	개체	nesne	개체		N
nesne	물체	nesne	물체		N
nesne	천체	nesne	천체		N
georgia	조지아어	georgia	조지아어	PROPN;NOM;SG;3	
georgia	조지아	georgia	조지아	PROPN;NOM;SG;3	PROPN
oluşturuldu	생성	oluş	생성	V;PFV;IND;SG;3;POS;PST;PASS	N
oluşturuldu	생성	oluş	생성	V;PFV;IND;SG;3;POS;PST;PASS	N
sözler	따옴표	söz	따옴표	N;NOM;PL;3	V
sözler	약속	söz	약속	N;NOM;PL;3	
sözler	words	söz	words	N;NOM;PL;3	
sözler	단어	söz	단어	N;NOM;PL;3	
sözler	노랫말	söz	노랫말	N;NOM;PL;3	
finansal	재무	finansal	재무	ADJ	N
finansal	금융	finansal	금융	ADJ	N
marka	브랜드	marka	브랜드		N
marka	브랜드	marka	브랜드		N
marka	상표권	marka	상표권		N
marka	상표	marka	상표		N
charlotte	샬럿	charlot	샬럿	PROPN;NOM;SG;3	PROPN
charlotte	샬롯	charlot	샬롯	PROPN;NOM;SG;3	
filipinler	필리핀	filip	필리핀	N;NOM;PL;3	PROPN
çocukluk	어린시절	çocukluk	어린차절	N;NOM;SG;3	
değerlendirme	리뷰	değerlen	리뷰	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	
değerlendirme	평가	değerlen	평가	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N
değerlendirme	검토	değerlen	검토	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N
değerlendirme	검수	değerlen	검수	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N
değerlendirme	리뷰	değerlen	리뷰	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	
değerlendirme	고려	değerlen	고려	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	PROPN
burun	주둥이	burun	주둥+이		N
burun	비강	burun	비강		N
adsl	adsl	adsl	adsl		
kıta	콘티넨털	kıta	콘티넨털		N
girişi	로그인	giriş	로그인		N
girişi	입구	giriş	입구		N
gözlem	관찰	gözlem	관찰		N
gözlem	관찰	gözlem	관찰		N
gözlem	관측	gözlem	관측		N
tahran	테헤란	tahran	테헤+란	PROPN;NOM;SG;3	
sancak	배너	sancak	배너		N
kurşun	총알	kurşun	총알		N
kurşun	총알	kurşun	총알		N
kurşun	탄환	kurşun	탄환		N
yatay	수평	yatay	수평		N
yatay	수평으로	yatay	수평+으로		ADV
yatay	수평	yatay	수평		N
