amino	amino	amino	amină		N;INDF;MASC;SG
uzmanlık	expertiză	uzmanlık	expertiz	N;NOM;SG;3	N;INDF;FEM;SG
uzmanlık	expertiza	uzmanlık	expertiza	N;NOM;SG;3	N;DEF;FEM;SG
uzmanlık	specialitate	uzmanlık	specialitate	N;NOM;SG;3	N;INDF;FEM;SG
uzmanlık	specializare	uzmanlık	specializare	N;NOM;SG;3	N;INDF;FEM;SG
uzmanlık	specialitatea	uzmanlık	specialitate	N;NOM;SG;3	N;DEF;FEM;SG
mesih	mesia	mesih	mesie		N;DEF;FEM;SG
keşfi	descoperire	keşif	descoperire		N;INDF;FEM;SG
keşfi	descoperiri	keşif	descoperire		N;INDF;FEM;PL
keşfi	descoperirea	keşif	descoperire		N;DEF;FEM;SG
keşfi	discovery	keşif	discovery		N;INDF;MASC;SG
chaplin	chaplin	chaplin	chaplin		PROPN
tay	colt	tay	colt		N;INDF;MASC;SG
johan	johan	johan	johan		PROPN
olivier	olivier	olivier	olivier		PROPN
çete	bandă	çete	bandă		N;INDF;FEM;SG
çete	gasca	çete	gască		N;DEF;FEM;SG
foster	foster	foster	fost	PROPN;NOM;SG;3	PROPN
fotoğrafçı	fotograf	fotoğrafçı	fotograf		N;INDF;MASC;SG
sibel	sibel	sibel	sibel		N;INDF;MASC;SG
grönland	groenlanda	grönla	groenlanda		N;DEF;FEM;SG
soykırım	genocidul	soykırım	genocid		N;DEF;MASC;SG
soykırım	genocid	soykırım	genocid		N;INDF;MASC;SG
soykırım	holocaustului	soykırım	holocaust		N;DEF;MASC;SG
soykırım	holocaust	soykırım	holocaust		N;INDF;MASC;SG
bakanlık	ministerul	bakanlık	minister	N;NOM;SG;3	N;DEF;MASC;SG
bakanlık	ministerului	bakanlık	minister	N;NOM;SG;3	N;DEF;MASC;SG
ibm	ibm	ibm	ibm		PROPN
faith	credinta	faith	credintă		N;DEF;FEM;SG
faith	faith	faith	faith		N;INDF;MASC;SG
faith	credința	faith	credință		N;DEF;FEM;SG
faith	credință	faith	credință		N;INDF;FEM;SG
key	cheie	key	cheie		N;INDF;FEM;SG
key	tasta	key	tasta		N;DEF;FEM;SG
key	cheia	key	cheie		N;DEF;FEM;SG
peri	nimfă	peri	nimfă		N;INDF;FEM;SG
peri	zână	peri	zână		N;INDF;FEM;SG
peri	zâna	peri	zână		N;DEF;FEM;SG
peri	zana	peri	zană		N;DEF;FEM;SG
çizim	schita	çiz	schită		N;DEF;FEM;SG
çizim	schiţa	çiz	schigă		N;DEF;FEM;SG
çizim	schiţă	çiz	schiţă		N;INDF;FEM;SG
çizim	desenul	çiz	desen		N;DEF;MASC;SG
çizim	desen	çiz	desen		N;INDF;MASC;SG
çizim	desenez	çiz	deseni		V;IND;SG;1;PRS;FIN
ihracat	exporturi	ihracat	export		N;INDF;FEM;PL
ihracat	exporturile	ihracat	export		N;DEF;FEM;PL
ihracat	exportă	ihracat	exporta		V;IND;SG;3;PST;FIN
ihracat	export	ihracat	export		N;INDF;MASC;SG
ihracat	exportul	ihracat	export		N;DEF;MASC;SG
shane	shane	shane	shan		PROPN
simetrik	simetrice	simetrik	simetric		ADJ;INDF;FEM;PL
mah	mah	mah	mah	PROPN;NOM;SG;3	
infaz	executate	infaz	executa		ADJ;INDF;FEM;PL
infaz	executată	infaz	executa		ADJ;INDF;FEM;SG
infaz	executat	infaz	executa		ADJ;INDF;MASC;SG
infaz	execuție	infaz	execuție		N;INDF;FEM;SG
infaz	executare	infaz	executare		N;INDF;FEM;SG
infaz	executie	infaz	executie		N;INDF;FEM;SG
infaz	executarea	infaz	executare		N;DEF;FEM;SG
yüzük	inelul	yüzük	inel	N;NOM;SG;3	N;DEF;MASC;SG
yüzük	inelele	yüzük	inel	N;NOM;SG;3	N;DEF;FEM;PL
yüzük	inele	yüzük	inel	N;NOM;SG;3	N;INDF;FEM;PL
deneyimi	experiență	deney	experiență	N;ACC;SG;3	N;INDF;FEM;SG
deneyimi	experiența	deney	experiență	N;ACC;SG;3	N;DEF;FEM;SG
deneyimi	experienta	deney	experient	N;ACC;SG;3	N;DEF;FEM;SG
genişleme	extinderea	genişle	extindere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
genişleme	extindere	genişle	extindere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
genişleme	dilatarea	genişle	dilatare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
genişleme	expansiune	genişle	expansiune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
genişleme	extinderea	genişle	extindere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
genişleme	expansiunea	genişle	expansiune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
genişleme	extindere	genişle	extindere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
bağlanmış	atașat	bağla	atașa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
bağlanmış	atașate	bağla	atașa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
bağlanmış	atasat	bağla	atasa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
bağlanmış	conectat	bağla	conecta	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
bağlanmış	conectate	bağla	conecta	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
bağlanmış	conectată	bağla	conecta	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
bağlanmış	legate	bağla	legat	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
bağlanmış	legată	bağla	lega	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
bağlanmış	legată	bağla	lega	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
bağlanmış	legat	bağla	lega	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
bağlanmış	legată	bağla	lega	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
bağlanmış	legat	bağla	lega	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
yanlışlıkla	accidental	yanlışlık	accidental	N;INS;SG;3	ADV
lezbiyen	dyke	lezbiyen	dyke		PROPN
lezbiyen	lesbiană	lezbiyen	lesbian		ADJ;INDF;FEM;SG
lezbiyen	lesbiene	lezbiyen	lesbian		N;INDF;FEM;PL
lezbiyen	lesbienele	lezbiyen	lesbien		N;DEF;FEM;PL
lezbiyen	lesbiene	lezbiyen	lesbian		N;INDF;FEM;PL
tutsak	prizonierul	tutsak	prizonier		N;DEF;MASC;SG
tutsak	prizonier	tutsak	prizonier		N;INDF;MASC;SG
tutsak	captivi	tutsak	captiv		ADJ;INDF;MASC;PL
tutsak	captive	tutsak	captiv		ADJ;INDF;FEM;PL
tutsak	captivă	tutsak	captivă		ADJ;INDF;FEM;SG
tutsak	captiv	tutsak	captiv		ADJ;INDF;MASC;SG
tutsak	prizonierii	tutsak	prizonier		N;DEF;MASC;PL
tutsak	prizonieri	tutsak	prizonier		N;INDF;MASC;PL
tutsak	captivitate	tutsak	captivitate		N;INDF;FEM;SG
sonsuza	forever	sonsuz	forever	ADJ;DAT;SG;3	N;INDF;MASC;SG
protokolü	protocolul	protokolü	protocol	N;ACC;SG;3	N;DEF;MASC;SG
emily	emily	emily	emily		PROPN
haiti	haiti	hait	haiti		PROPN
haiti	haitian	hait	haitian		N;INDF;MASC;SG
buluşma	data	buluş	dată	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
buluşma	dată	buluş	dată	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
buluşma	intalnire	buluş	intalnire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
buluşma	întâlnirea	buluş	întâlnire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
buluşma	întâlnire	buluş	întâlnire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
kazanma	câștigătoare	kazan	câștigător		ADJ;INDF;FEM
korkut	sperie	korkut	speria		V;IND;SG;3;PST;FIN
fikirler	opiniile	fikir	opinie	N;NOM;PL;3	N;DEF;FEM;PL
fikirler	pareri	fikir	parer	N;NOM;PL;3	
fikirler	ideile	fikir	idee	N;NOM;PL;3	N;DEF;FEM;PL
liderlik	conducerea	liderlik	conducere	N;NOM;SG;3	N;DEF;FEM;SG
liderlik	conducere	liderlik	conducere	N;NOM;SG;3	N;INDF;FEM;SG
temelde	practic	temel	practic	ADJ;ESS;SG;3	ADV
jimnastik	gimnastică	jimnastik	gimnastică		N;INDF;FEM;SG
jimnastik	gimnastica	jimnastik	gimnastică		N;DEF;FEM;SG
sağlanan	furnizat	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
sağlanan	furnizată	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
sağlanan	furnizate	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
sağlanan	furnizat	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
sağlanan	aprovizionat	sağla	aprovizionat	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
sağlanan	furnizată	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
sağlanan	furnizate	sağla	furniza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
garcia	garcia	garcia	garcia	PROPN;NOM;SG;3	PROPN
sembolik	simbolic	sembolik	simbolic		ADV
sembolik	simbolic	sembolik	simbolic		ADV
sembolik	simbolică	sembolik	simbolic		ADJ;INDF;FEM;SG
minimum	minimul	minim	minim	N;NOM;SG;3	N;DEF;MASC;SG
minimum	minimum	minim	minimum	N;NOM;SG;3	
minimum	minime	minim	minim	N;NOM;SG;3	ADJ;INDF;FEM;PL
minimum	minimă	minim	minim	N;NOM;SG;3	ADJ;INDF;FEM;SG
minimum	minimă	minim	minim	N;NOM;SG;3	ADJ;INDF;FEM;SG
minimum	minime	minim	minim	N;NOM;SG;3	ADJ;INDF;FEM;PL
cbs	cbs	cbs	cbs		PROPN
cbs	gis	cbs	gis		N;INDF;MASC;SG
yen	yeni	yen	yeni		N;INDF;MASC;SG
yen	yen	yen	yen		N;INDF;MASC;SG
joey	joey	joey	joey		PROPN
asistan	locuitor	asistan	locuitor		N;INDF;MASC;SG
asistan	rezident	asistan	rezident		N;INDF;MASC;SG
asistan	rezidente	asistan	rezidentă		ADJ;INDF;FEM;PL
asistan	rezidentă	asistan	rezident		N;INDF;FEM;SG
asistan	asistent	asistan	asistent		N;INDF;MASC;SG
parametre	parametrul	parametre	parametru	N;NOM;SG;3	N;DEF;MASC;SG
karşılaşma	meci	karşılaşma	meci		N;INDF;MASC;SG
karşılaşma	match	karşılaşma	match		N;INDF;MASC;SG
karşılaşma	potrivire	karşılaşma	potrivire		N;INDF;FEM;SG
karşılaşma	întâlniri	karşılaşma	întâlnire		N;INDF;FEM;PL
bitkisel	vegetală	bitkisel	vegetală		ADJ;INDF;FEM;SG
bitkisel	legume	bitkisel	legumă		N;INDF;FEM;PL
bitkisel	vegetale	bitkisel	vegetal		N;INDF;FEM;PL
bitkisel	vegetal	bitkisel	vegetal		ADJ;INDF;MASC;SG
bitkisel	legumă	bitkisel	legumă		N;INDF;FEM;SG
bitkisel	vegetativă	bitkisel	vegetativ		ADJ;INDF;FEM;SG
sedan	sedan	sedan	sedan	PROPN;NOM;SG;3	N;INDF;MASC;SG
önerisi	sugestia	öneri	sugestie	N;NOM;SG;3	N;DEF;FEM;SG
önerisi	sugestie	öneri	sugestie	N;NOM;SG;3	N;INDF;FEM;SG
topluluklar	comunitățile	topluluk	comunitate	N;NOM;PL;3	N;DEF;FEM;PL
veronica	veronica	veronica	veronică		N;DEF;FEM;SG
nötron	neutroni	nötron	neutron	N;NOM;SG;3	N;INDF;MASC;PL
derinliği	adancime	derinlik	adancime	N;ACC;SG;3	
derinliği	adâncimea	derinlik	adâncime	N;ACC;SG;3	N;DEF;FEM;SG
derinliği	adâncime	derinlik	adâncime	N;ACC;SG;3	N;INDF;FEM;SG
derinliği	profunzime	derinlik	profunzime	N;ACC;SG;3	N;INDF;FEM;SG
beğeni	rating	beğen	ratinge		N;INDF;MASC;SG
beğeni	evaluare	beğen	evaluare		N;INDF;FEM;SG
beğeni	aprecierile	beğen	apreciere		N;DEF;FEM;PL
beğeni	aprecieri	beğen	apreciere		N;INDF;FEM;PL
beğeni	aprecierea	beğen	apreciere		N;DEF;FEM;SG
beğeni	apreciere	beğen	apreciere		N;INDF;FEM;SG
şifreleme	criptare	şifrele	criptare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
şifreleme	cripto	şifrele	cripto	V;PFV;NOM;IND;POS;PRS;V.MSDR	
şifreleme	criptografie	şifrele	criptografie	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
galileo	galileo	gal	galileo		PROPN
chuck	chuck	chuck	chuck		PROPN
goethe	goethe	goethe	goethe		PROPN
wales	wales	wales	wales	PROPN;NOM;SG;3	PROPN
fetih	cucerire	fetih	cucerire		N;INDF;FEM;SG
fetih	cucerirea	fetih	cucerire		N;DEF;FEM;SG
fetih	cuceriri	fetih	cucerire		N;INDF;FEM;PL
kulüpleri	cluburile	kulüp	club	N;ACC;PL;3	N;DEF;FEM;PL
meşgul	ocupat	meşgul	ocupa		ADJ;INDF;MASC;SG
meşgul	ocupate	meşgul	ocupat		ADJ;INDF;FEM;PL
meşgul	ocupata	meşgul	ocupata		ADJ;DEF;FEM;SG
meşgul	ocupată	meşgul	ocupa		ADJ;INDF;FEM;SG
beyan	declarație	beyan	declarație		N;INDF;FEM;SG
beyan	declarația	beyan	declarație		N;DEF;FEM;SG
beyan	declarație	beyan	declarație		N;INDF;FEM;SG
beyan	declarația	beyan	declarație		N;DEF;FEM;SG
engellendi	blocat	engelle	bloca		ADJ;INDF;MASC;SG
engellendi	blocate	engelle	bloca		ADJ;INDF;FEM;PL
engellendi	blocată	engelle	bloca		ADJ;INDF;FEM;SG
taklit	personificare	taklit	personificare		N;INDF;FEM;SG
taklit	imită	taklit	imita		V;IND;SG;3;PST;FIN
taklit	imita	taklit	imita		V;IND;SG;3;IPFV;FIN
chan	chan	chan	chan		PROPN
aras	aras	aras	aras		N;INDF;MASC;SG
yakalandı	prinsă	yakala	prinde	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
yakalandı	prins	yakala	prinde	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
yakalandı	capturat	yakala	capturat	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
yakalandı	capturată	yakala	captura	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
yakalandı	capturate	yakala	captura	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
monarşi	monarhiei	monarşi	monarhie	N;NOM;SG;3	N;DEF;FEM;SG
monarşi	monarhie	monarşi	monarhie	N;NOM;SG;3	N;INDF;FEM;SG
monarşi	monarhia	monarşi	monarhie	N;NOM;SG;3	N;DEF;FEM;SG
kaybeder	pierde	kaybet	pierde	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
kaybeder	pierzi	kaybet	pierde	V;IPFV;IND;SG;3;POS	V;IND;SG;2;PRS;FIN
kaybeder	pierd	kaybet	pierde	V;IPFV;IND;SG;3;POS	V;IND;PL;3;PRS;FIN
kaybeder	pierde	kaybet	pierde	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
milletvekilleri	parlamentarii	milletvekili	parlamentar	N;NOM;PL;3	N;DEF;MASC;PL
milletvekilleri	parlamentarii	milletvekili	parlamentar	N;NOM;PL;3	N;DEF;MASC;PL
milletvekilleri	parlamentarilor	milletvekili	parlamentar	N;NOM;PL;3	N;DEF;MASC;PL
karataş	karataş	karataş	karataş	PROPN;NOM;SG;3	N;INDF;MASC;SG
mevsim	sezonier	mevsim	sezonier		N;INDF;MASC;SG
mevsim	sezoniere	mevsim	sezonier		ADJ;INDF;FEM;PL
mevsim	anotimpul	mevsim	anotimp		N;DEF;MASC;SG
mevsim	sezonul	mevsim	sezon		N;DEF;MASC;SG
mevsim	sezon	mevsim	sezon		N;INDF;MASC;SG
mevsim	anotimp	mevsim	anotimp		N;INDF;MASC;SG
mevsim	anotimpurile	mevsim	anotimp		N;DEF;FEM;PL
mevsim	sezoane	mevsim	sezon		N;INDF;FEM;PL
mevsim	anotimpuri	mevsim	anotimp		N;INDF;FEM;PL
analitik	analitică	analitik	analitic		ADJ;INDF;FEM;SG
analitik	analitice	analitik	analitic		ADJ;INDF;FEM;PL
analitik	analitic	analitik	analitic		ADV
bulma	constatare	bul	constatare		N;INDF;FEM;SG
bulma	gasirea	bul	gasire		N;DEF;FEM;SG
bulma	găsirea	bul	găsire		N;DEF;FEM;SG
bahreyn	bahrain	bahrey	bahrain	PROPN;NOM;SG;3	PROPN
sarp	abrupte	sarp	abrupt		ADJ;INDF;FEM;PL
sarp	abruptă	sarp	abrupt		ADJ;INDF;FEM;SG
sarp	abrupt	sarp	abrupt		ADJ;INDF;MASC;SG
maccabi	maccabi	maccabi	maccabi		PROPN
atp	atp	atp	atp		N;INDF;MASC;SG
turne	tour	tur	tour		N;INDF;MASC;SG
turne	tur	tur	tur		N;INDF;MASC;SG
turne	turul	tur	tur		N;DEF;MASC;SG
turne	turneu	tur	turneu		N;INDF;MASC;SG
kaydedilen	înregistrate	kaydet	înregistra	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
kaydedilen	înregistrată	kaydet	înregistrat	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
kaydedilen	înregistrat	kaydet	înregistrat	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
kaydedilen	inregistrat	kaydet	inregistra	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
kaydedilen	salvate	kaydet	salva	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
kaydedilen	salvată	kaydet	salva	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
kaydedilen	salvat	kaydet	salva	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
sipariş	comanda	sipariş	comandă	N;NOM;SG;3	N;DEF;FEM;SG
sipariş	ordinea	sipariş	ordine	N;NOM;SG;3	N;DEF;FEM;SG
sipariş	comandă	sipariş	comandă	N;NOM;SG;3	N;INDF;FEM;SG
sipariş	ordine	sipariş	ordine	N;NOM;SG;3	N;INDF;FEM;SG
sipariş	ordine	sipariş	ordine	N;NOM;SG;3	N;INDF;FEM;SG
sipariş	ordinele	sipariş	ordin	N;NOM;SG;3	N;DEF;FEM;PL
sipariş	comenzi	sipariş	comandă	N;NOM;SG;3	N;INDF;FEM;PL
ağaçlar	copacii	ağaç	copac	N;NOM;PL;3	N;DEF;MASC;PL
bern	berna	bern	bernă	PROPN;NOM;SG;3	PROPN
bern	bern	bern	bern	PROPN;NOM;SG;3	PROPN
bulanık	neclare	bulanık	neclar		ADJ;INDF;FEM;PL
bulanık	neclară	bulanık	neclar		ADJ;INDF;FEM;SG
ispat	dovedeste	ispat	dovedest		V;IND;SG;3;PRS;FIN
gözlemci	observator	gözlemci	observator		N;INDF;MASC;SG
gözlemci	observatorul	gözlemci	observator		N;DEF;MASC;SG
gerilla	gherilă	geril	gherilă		N;INDF;FEM;SG
gerilla	gherilă	geril	gherilă		N;INDF;FEM;SG
gerilla	gherilă	geril	gherilă		N;INDF;FEM;SG
değişti	schimbat	değiş	schimba	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;MASC;SG
değişti	schimbată	değiş	schimba	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;FEM;SG
dolaşım	circulator	dolaşım	circulator		ADJ;INDF;MASC;SG
dolaşım	circulatie	dolaşım	circulatie		N;INDF;FEM;SG
dolaşım	circulația	dolaşım	circulație		N;DEF;FEM;SG
dolaşım	circulație	dolaşım	circulație		N;INDF;FEM;SG
dolaşım	circula	dolaşım	circula		V;IND;SG;3;IPFV;FIN
dolaşım	circulant	dolaşım	circulant		ADJ;INDF;MASC;SG
dolaşım	roaming	dolaşım	roaming		N;INDF;MASC;SG
anlamsız	inutil	anlamsız	inutil	ADJ	ADV
palermo	palermo	palermo	palermo	PROPN;NOM;SG;3	N;INDF;MASC;SG
göller	lacurile	göl	lac	N;NOM;PL;3	N;DEF;FEM;PL
katılımı	prezență	katılım	prezență	N;ACC;SG;3	N;INDF;FEM;SG
katılımı	participare	katılım	participare	N;ACC;SG;3	N;INDF;FEM;SG
katılımı	participarea	katılım	participare	N;ACC;SG;3	N;DEF;FEM;SG
katılımı	participări	katılım	participare	N;ACC;SG;3	N;INDF;FEM;PL
havzası	bazinul	havza	bazin	N;NOM;SG;3	N;DEF;MASC;SG
blackburn	blackburn	blackburn	blackburn	PROPN;NOM;SG;3	PROPN
eklenmiş	adăugată	ekle	adăugat	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
eklenmiş	adaugat	ekle	adauga	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
eklenmiş	adăugate	ekle	adăuga	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
eklenmiş	adăugat	ekle	adăuga	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
farkında	conștient	fark	conștient	N;ESS;SG;3	ADJ;INDF;MASC;SG
asi	rebelul	asi	rebel		N;DEF;MASC;SG
asi	rebel	asi	rebel		ADJ;INDF;MASC;SG
asi	rebelă	asi	rebel		ADJ;INDF;FEM;SG
greg	greg	greg	greg		PROPN
tyler	tyler	iy	tyler		PROPN
ilaçlar	medicament	ilaç	medicament	N;NOM;PL;3	N;INDF;MASC;SG
ilaçlar	medicina	ilaç	medicină	N;NOM;PL;3	N;DEF;FEM;SG
ilaçlar	medicină	ilaç	medicină	N;NOM;PL;3	N;INDF;FEM;SG
ilaçlar	pastilele	ilaç	pastil	N;NOM;PL;3	N;DEF;FEM;PL
nielsen	nielsen	niel	nielsen		PROPN
yahudilere	evreilor	yahudi	evreu	N;DAT;PL;3	N;DEF;MASC;PL
yahudilere	evreii	yahudi	evreu	N;DAT;PL;3	N;DEF;MASC;PL
yasadışı	ilegale	yasa	ilegal		ADJ;INDF;FEM;PL
yasadışı	ilegală	yasa	ilegal		ADJ;INDF;FEM;SG
yasadışı	ilegal	yasa	ilegal		ADV
yasadışı	ilegal	yasa	ilegal		ADV
yasadışı	ilicite	yasa	ilicita		ADJ;INDF;FEM;PL
yasadışı	ilicit	yasa	ilicit		ADJ;INDF;MASC;SG
viking	viking	viking	viking		N;INDF;MASC;SG
medeni	civil	meden	civil		ADJ;INDF;MASC;SG
medeni	civila	meden	civil		ADJ;DEF;FEM;SG
medeni	civilă	meden	civil		ADJ;INDF;FEM;SG
medeni	civile	meden	civil		ADJ;INDF;FEM;PL
medeni	civilizate	meden	civiliza		ADJ;INDF;FEM;PL
medeni	civilizată	meden	civilizat		ADJ;INDF;FEM;SG
medeni	civilizat	meden	civiliza		ADJ;INDF;MASC;SG
medeni	civilizate	meden	civiliza		ADJ;INDF;FEM;PL
medeni	civilizată	meden	civilizat		ADJ;INDF;FEM;SG
medeni	civilizat	meden	civiliza		ADJ;INDF;MASC;SG
fiziki	fizice	fizik	fizic		ADJ;INDF;FEM;PL
fiziki	fizică	fizik	fizic		ADJ;INDF;FEM;SG
fiziki	fizic	fizik	fizic		ADV
riski	riscul	riski	risc		N;DEF;MASC;SG
riski	risc	riski	risc		N;INDF;MASC;SG
riski	riscuri	riski	risc		N;INDF;FEM;PL
quebec	quebec	quebec	quebec	PROPN;NOM;SG;3	N;INDF;MASC;SG
teşhis	diagnosticare	teşhis	diagnosticare	N;NOM;SG;3	N;INDF;FEM;SG
teşhis	identifică	teşhis	identifica	N;NOM;SG;3	V;IND;SG;3;PST;FIN
teşhis	identifica	teşhis	identifica	N;NOM;SG;3	V;IND;SG;3;IPFV;FIN
teşhis	diagnosticare	teşhis	diagnosticare	N;NOM;SG;3	N;INDF;FEM;SG
teşhis	diagnosticarea	teşhis	diagnosticare	N;NOM;SG;3	N;DEF;FEM;SG
teşhis	diagnosticul	teşhis	diagnostic	N;NOM;SG;3	N;DEF;MASC;SG
teşhis	diagnosticare	teşhis	diagnosticare	N;NOM;SG;3	N;INDF;FEM;SG
teşhis	diagnostice	teşhis	diagnostic	N;NOM;SG;3	N;INDF;FEM;PL
tavşan	hare	tavşan	hare		N;INDF;MASC;SG
tavşan	bunny	tavşan	bunny		PROPN
tavşan	iepure	tavşan	iepure		N;INDF;MASC;SG
tavşan	iepurele	tavşan	iepure		N;DEF;MASC;SG
tavşan	rabbit	tavşan	rabbit		N;INDF;MASC;SG
thunder	thunder	thunder	thunder		N;INDF;MASC;SG
thunder	tunetul	thunder	tunet		N;DEF;MASC;SG
thunder	tunete	thunder	tunet		N;INDF;FEM;PL
thunder	tunet	thunder	tunet		N;INDF;MASC;SG
yaklaşan	viitoare	yaklaş	viitor	V;PFV;IND;POS;PRS;V.PTCP	ADJ;INDF;FEM
hayvanat	zoo	hayvanat	zoo	ADJ;NOM;SG;3	N;INDF;MASC;SG
luigi	luigi	luigi	luig		N;INDF;MASC;SG
başlatıldı	initiat	başla	initia	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
başlatıldı	inițiate	başla	iniția	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;PL
başlatıldı	inițiat	başla	inițiat	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
iğne	injectarea	iğne	injectare	N;NOM;SG;3	N;DEF;FEM;SG
iğne	injecție	iğne	injecție	N;NOM;SG;3	N;INDF;FEM;SG
iğne	injectare	iğne	injectare	N;NOM;SG;3	N;INDF;FEM;SG
iğne	acului	iğne	ac	N;NOM;SG;3	N;DEF;MASC;SG
iğne	acul	iğne	ac	N;NOM;SG;3	N;DEF;MASC;SG
iğne	fixează	iğne	fixa	N;NOM;SG;3	V;IND;3;PRS;FIN
dokuma	țesute	dokum	țesute		ADJ;INDF;FEM;PL
dokuma	țesut	dokum	țesut		N;INDF;MASC;SG
nicole	nicole	nicol	nicol		N;INDF;MASC;SG
todd	todd	todd	todd		PROPN
katılımcılar	participanții	katılımcı	participant	N;NOM;PL;3	N;DEF;MASC;PL
ellen	ellen	el	ellen		PROPN
deve	cămilele	deve	cămil		N;DEF;FEM;PL
deve	cămile	deve	came		N;INDF;FEM;PL
deve	cămilă	deve	cămilă		N;INDF;FEM;SG
granada	granada	grana	granadă	PROPN;ESS;SG;3	N;DEF;FEM;SG
vokalist	vocalistul	vokalist	vocalist		N;DEF;MASC;SG
wesley	wesley	wesley	wesley		PROPN
selahaddin	saladin	selahaddi	saladin		N;INDF;MASC;SG
ameliyat	operație	ameliyat	operație	N;NOM;SG;3	N;INDF;FEM;SG
