til	for	til	for	ADV	ADP
uafhængig	independence	uafhængig	independence	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
thisted	thisted	thisted	thisted	PROPN	N;INDF;MASC;SG
afdelinger	chambers	afdeling	chambers	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
afdelinger	divisjoner	afdeling	divisjon	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
parker	parker	park	parker	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
parker	parkene	park	park	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
parker	parker	park	parker	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
parker	parks	park	parks	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
race	oppdretter	race	oppdretter	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
adams	adams	adams	adams		N;INDF;MASC;SG
plante	planter	plante	plante	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
geografiske	geographic	geografisk	geographic	ADJ;PL	N
geografiske	geografisk	geografisk	geografisk	ADJ;PL	ADJ;INDF;NEUT;SG
heavy	tungt	heavy	tung	N;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
heavy	kraftig	heavy	kraftig	N;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
heavy	tung	heavy	tung	N;INDF;NEUT;SG	ADJ;INDF;SG
body	body	body	body		N
body	legeme	body	legeme		N;INDF;NEUT;SG
body	kropp	body	kropp		N;INDF;MASC;SG
body	kroppen	body	kropp		N;DEF;MASC;SG
body	lik	body	lik		ADJ;INDF;SG
henrettet	henrettet	henrette	henrett	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
opmærksom	oppmerksom	opmærksom	oppmerksom	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
opmærksom	oppmerksomme	opmærksom	oppmerksomme	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
talent	talentfulle	talent	talentfull	N;INDF;NEUT;SG	ADJ;PL
talent	begavet	talent	begav	N;INDF;NEUT;SG	N;DEF;NEUT;SG
talent	talentfull	talent	talentfull	N;INDF;NEUT;SG	ADJ;INDF;SG
tronen	trone	trone	trone	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
princippet	prinsipp	princip	prinsipp	N;DEF;NEUT;SG	N;INDF;NEUT;PL
hof	hof	hof	hof	N;INDF;MASC+FEM;SG	PROPN
mord	mordene	mord	morde	N;INDF;NEUT;SG	N;DEF;FEM;PL
mord	myrde	mord	myrde	N;INDF;NEUT;SG	ADJ;PL
anthony	anthony	anthony	anthony		N;INDF;MASC;SG
placerede	plassert	placere	plassere	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
godkendt	autoriserte	godkende	autorisere	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
godkendt	autorisert	godkende	autorisere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
godkendt	godkjente	godkende	godkjenne	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
godkendt	godkjent	godkende	godkjenne	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
godkendt	autoriserte	godkende	autorisere	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
godkendt	autorisert	godkende	autorisere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
light	lys	light	lys		N;INDF;NEUT;SG
forhandlinger	forhandling	forhandling	forhandling	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
forhandlinger	debatter	forhandling	debatter	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
forhandlinger	forhandlingene	forhandling	forhandling	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
hugo	hugo	hugo	hugo		N;INDF;NEUT;SG
ejes	eies	eje	eins	V;IND;PRS;FIN;PASS	N;INDF;NEUT;SG
ejes	eide	eje	eide	V;IND;PRS;FIN;PASS	PROPN
ejes	eid	eje	eid	V;IND;PRS;FIN;PASS	N;INDF;MASC;SG
ejes	eiet	eje	ei	V;IND;PRS;FIN;PASS	N;INDF;NEUT;SG
dark	dark	dark	dark		N;INDF;SG
dark	mørk	dark	mørk		ADJ;INDF;SG
dark	mørkt	dark	mørk		ADJ;INDF;NEUT;SG
dark	mørke	dark	mørk		ADJ;PL
kommunikation	kommunisere	kommunikation	kommunisere	N;INDF;MASC+FEM;SG	V;NFIN
kommunikation	kommuniserer	kommunikation	kommunisere	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN
tilhængere	følgere	tilhænger	følgere	N;INDF;MASC+FEM;PL	V;IMP;FIN
tilhængere	followers	tilhænger	followers	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
tilhængere	tilhengere	tilhænger	tilhengere	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
tilhængere	støttespillere	tilhænger	støttespillere	N;INDF;MASC+FEM;PL	V;NFIN
tilhængere	supportere	tilhænger	supportere	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
tilhængere	tilhengere	tilhænger	tilhengere	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
smukke	vakker	smukke	vakker	ADJ;PL	ADJ;INDF;SG
smukke	vakkert	smukke	vakker	ADJ;PL	ADJ;INDF;NEUT;SG
smukke	pen	smukke	pen	ADJ;PL	N;INDF;MASC;SG
smukke	ganske	smukke	ganske	ADJ;PL	ADV
smukke	lekker	smukke	lekke	ADJ;PL	N;INDF;FEM;SG
smukke	nydelig	smukke	nydelig	ADJ;PL	ADJ;INDF;NEUT;SG
fase	scenen	fase	scene	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
aab	aab	aab	aab	PROPN	N;INDF;MASC;SG
normal	normale	normal	normal	ADJ;INDF;MASC+FEM;SG	ADJ;PL
normal	normalen	normal	normal	ADJ;INDF;MASC+FEM;SG	N;DEF;MASC;SG
media	media	media	medium		N;DEF;NEUT;PL
media	medier	media	medium		N;INDF;MASC;SG
media	mediefiler	media	mediefile		N;INDF;MASC;PL
canadiske	canadisk	canadisk	canadisk	ADJ;PL	N;INDF;MASC;SG
canadiske	kanadisk	canadisk	kanadisk	ADJ;PL	ADJ;INDF;NEUT;SG
bevægelser	bevegelser	bevægelse	bevegelser	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
bevægelser	bevegelse	bevægelse	bevegelse	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
bevægelser	movement	bevægelse	movement	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
spilleren	player	spiller	play	N;DEF;MASC+FEM;SG	N;INDF;FEM;PL
spilleren	spiller	spiller	spille	N;DEF;MASC+FEM;SG	V;IND;PRS;FIN
double	dobbelt	doubel	dobbelt		ADJ;INDF;NEUT;SG
double	dobbeltgjenger	doubel	dobbeltgjenge		N;INDF;MASC;SG
double	dobbel	doubel	dobbel		N;INDF;MASC;SG
mikkel	mikkel	mikkel	mikkel		N;INDF;MASC;SG
mikkel	tod	mikkel	tod		N;INDF;NEUT;SG
vokset	vokst	vokse	vokst	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
jødisk	jødiske	jødisk	jødisk	ADJ;INDF;SG	ADJ;PL
indgået	avsluttet	indgå	avslutt	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
flåden	navy	flåd	navy	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
flåden	marine	flåd	marin	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
flåden	flåte	flåd	flåte	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
california	californias	california	californias		N;INDF;MASC;SG
california	california	california	californi		N;DEF;FEM;SG
artilleri	artilleriet	artilleri	artillerium	N;INDF;NEUT;SG	N;DEF;NEUT;SG
hest	hesten	hest	hest	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
erstatning	erstatter	erstatning	erstatter	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
syntes	virket	synes	virk	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
sygdomme	sykdom	sygdom	sykdom	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
arkæologiske	arkeologisk	arkæologisk	arkeologisk	ADJ;PL	ADJ;INDF;NEUT;SG
udstillet	vist	udstille	vise	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
udstillet	vises	udstille	vises	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
sendes	sendte	sende	sende	V;IND;PRS;FIN;PASS	V;IND;PST;FIN
sendes	sendt	sende	sende	V;IND;PRS;FIN;PASS	ADJ;INDF;NEUT;SG;V.PTCP
stående	stående	stå	stå	V;PRS;V.PTCP	ADJ;INDF;SG;V.PTCP
registreret	registrerte	registrere	registrere	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
registreret	registrert	registrere	registrere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
registreret	innspilt	registrere	innspilt	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
registreret	registrert	registrere	registrere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
registreret	oppdaget	registrere	oppdag	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
hellerup	hellerup	hellerup	hellerup		N;INDF;MASC;SG
menneskelige	menneskelig	menneskelig	menneskelig	ADJ;PL	ADJ;INDF;NEUT;SG
absolut	absolutt	absolut	absolutt	ADV	ADJ;INDF;NEUT;SG
absolut	absolutte	absolut	absolutt	ADV	ADJ;PL
absolut	absolutt	absolut	absolutt	ADV	ADJ;INDF;NEUT;SG
josé	jose	josé	jose		N;INDF;MASC;SG
josé	josé	josé	josé		N;INDF;MASC;SG
josé	josé	josé	josé		N;INDF;MASC;SG
stig	stig	stig	stige		V;IND;PRS;FIN
forklaring	forklaringer	forklaring	forklaring	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
book	bok	book	bok	V;IMP	N;INDF;FEM;SG
hot	varm	hot	varm	N;INDF;NEUT;SG	ADJ;INDF;SG
hot	varmt	hot	varm	N;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
overlevede	overlevd	overleve	overleve	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
håndboldspiller	håndballspiller	håndboldspiller	håndballspille	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
ellen	ellen	ellen	ellen		N;INDF;FEM;SG
off	off	off	off		N;INDF;NEUT
off	av	off	av		ADP
aktivt	aktive	aktiv	aktiv	ADJ;INDF;NEUT;SG	ADJ;PL
aktivt	active	aktiv	activ	ADJ;INDF;NEUT;SG	N;INDF;MASC;SG
jimmy	jimmy	jimmy	jimmy		N;INDF;MASC;SG
given	gitt	give	gi	N;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG;V.PTCP
marine	marinen	marine	marin	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kristensen	kristensen	kristens	kristens	PROPN	N;DEF;MASC;SG
bund	bunnen	bund	bunn	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
solo	solo	solo	solo		N;INDF;MASC;SG
skiftet	endret	skift	endre	N;DEF;NEUT;SG	N;INDF;NEUT;SG
skiftet	endra	skift	endre	N;DEF;NEUT;SG	ADJ;INDF;SG;V.PTCP
skiftet	forandra	skift	forandre	N;DEF;NEUT;SG	ADJ;INDF;NEUT;SG;V.PTCP
skiftet	bytta	skift	byte	N;DEF;NEUT;SG	ADJ;INDF;NEUT;SG;V.PTCP
stillehavet	pacific	stillehavet	pacific	N;DEF;NEUT;SG	N;INDF;NEUT;SG
detaljer	detaljer	detalje	detaljer	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
detaljer	detalj	detalje	detalj	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
tegner	tegner	tegne	tegn	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
tegner	tegning	tegne	tegning	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
tegner	trekning	tegne	trekning	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
tegner	tegner	tegne	tegn	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
tegner	tegne	tegne	ta	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
sjældne	skjelden	sjælden	skjeld	ADJ;PL	N;DEF;MASC;SG
sjældne	sjelden	sjælden	sjelden	ADJ;PL	ADJ;INDF;SG
sjældne	sjeldent	sjælden	sjeldent	ADJ;PL	N;INDF;MASC;SG
fanget	innestengt	fange	innestengje	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
fanget	fanget	fange	fang	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
fanget	tatt	fange	ta	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
fanget	fanget	fange	fang	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
fanget	fanget	fange	fang	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
redde	lagring	redde	lagring	V;NFIN;ACT	N;INDF;FEM;SG
redde	sparing	redde	sparing	V;NFIN;ACT	N;INDF;FEM;SG
redde	rescue	redde	rescue	V;NFIN;ACT	N;INDF;NEUT;SG
redde	unnsetning	redde	unnsetning	V;NFIN;ACT	N;INDF;FEM;SG
redde	redningen	redde	redning	V;NFIN;ACT	N;DEF;MASC;SG
redde	redning	redde	redning	V;NFIN;ACT	N;INDF;FEM;SG
redde	redde	redde	redd	V;NFIN;ACT	ADJ;PL
nævner	omtale	nævne	omtale	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
nævner	nevn	nævne	nevn	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
sven	sven	sven	sven		N;INDF;MASC;SG
undersøge	undersøk	undersøge	undersøk	V;NFIN;ACT	N;INDF;MASC;SG
undersøge	etterforske	undersøge	etterforske	V;NFIN;ACT	N;INDF;NEUT;SG
landskab	landsbygda	landskab	landsbygd	N;INDF;NEUT;SG	N;DEF;FEM;SG
flygte	flykte	flygte	flykte	V;NFIN;ACT	N;INDF;NEUT;SG
flygte	flykt	flygte	flykt	V;NFIN;ACT	N;INDF;MASC;SG
flygte	rømme	flygte	rømme	V;NFIN;ACT	N;INDF;FEM;SG
flygte	flukt	flygte	flukt	V;NFIN;ACT	N;INDF;FEM;SG
flygte	flukten	flygte	flukt	V;NFIN;ACT	N;DEF;MASC;SG
flygte	escape	flygte	escape	V;NFIN;ACT	N
kant	kanten	kant	kant	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kant	grensen	kant	grens	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
boys	boys	boys	boys		N;INDF;MASC;SG
boys	gutter	boys	gutter		N;INDF;FEM;PL
boys	guttene	boys	gutt		N;DEF;FEM;PL
hvidt	hvit	hvid	hvit	ADJ;INDF;NEUT;SG	N;INDF;MASC;SG
hvidt	white	hvid	white	ADJ;INDF;NEUT;SG	N;INDF
hvidt	hvitt	hvid	hvi	ADJ;INDF;NEUT;SG	N;INDF;NEUT;SG
hvidt	hvite	hvid	hvite	ADJ;INDF;NEUT;SG	N;INDF;NEUT;SG
nicolas	nicolas	nicolas	nicol		N
nicolas	nicholas	nicolas	nichol		N
udvikler	utvikler	udvikel	utvikle	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
dead	dødt	dead	død		ADJ;INDF;NEUT;SG
dead	døde	dead	død		ADJ;PL
dead	død	dead	død		N;INDF;MASC;SG
dead	dead	dead	dead		N;INDF;MASC;SG
tvang	tvungen	tvinge	tvung	N;INDF;MASC+FEM;SG	ADJ;INDF;SG
tøj	antrekket	tøj	antrekk	N;INDF;NEUT;SG	N;DEF;NEUT;SG
aspx	aspx	aspx	aspx		N;INDF;MASC;SG
motorer	motors	motor	motors	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
motorer	motorer	motor	motore	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
motorer	motorene	motor	motore	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
navngivet	navngitt	navngivet	navngitt	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
navngivet	oppkalt	navngivet	oppkalt	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
årsagen	sak	årsag	sak	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
årsagen	årsak	årsag	årsak	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
årsagen	forårsake	årsag	forårsake	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
boy	gutt	boy	gu		N;INDF;MASC;SG
boy	gutten	boy	gutt		N;DEF;MASC;SG
ali	ali	ali	ali	PROPN	PROPN
offentligheden	offentleg	offentlighed	offentleg	N;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
offentligheden	offentlige	offentlighed	offentlige	N;DEF;MASC+FEM;SG	ADJ;PL
offentligheden	offentlig	offentlighed	offentlig	N;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
prag	praha	prag	prahe	PROPN	N;INDF;MASC;SG
grå	gray	grå	gray	ADJ;INDF;SG	N;INDF;MASC;SG
grå	grå	grå	grå	ADJ;INDF;SG	ADJ;PL
grå	grå	grå	grå	ADJ;INDF;SG	ADJ;PL
grå	grey	grå	grey	ADJ;INDF;SG	N;INDF;MASC;SG
wwf	wwf	wwf	wwf	PROPN	N
leveret	leverte	levere	levere	V;INDF;SG;PST;V.PTCP	ADJ;PL;V.PTCP
leveret	levert	levere	levere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
leveret	leveres	levere	levere	V;INDF;SG;PST;V.PTCP	N;INDF;NEUT;SG
leveret	forsynt	levere	forsyne	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
leveret	oppgitt	levere	oppgi	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
district	distriktet	district	distrikt	N;INDF;NEUT;SG	N;DEF;NEUT;SG
plader	skilter	plade	skilter	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
plader	arket	plade	arke	N;INDF;MASC+FEM;PL	N;DEF;NEUT;SG
plader	records	plade	record	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
plader	rekorder	plade	rekord	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
plader	laken	plade	lake	N;INDF;MASC+FEM;PL	N;DEF;MASC;SG
plader	sengetøy	plade	sengetøy	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
plader	tallerken	plade	tallerk	N;INDF;MASC+FEM;PL	N;DEF;MASC;SG
nogenlunde	noenlunde	nogenlunde	noenlunde	ADV	N;INDF;MASC;SG
rio	rio	rio	rio		PROPN
hilsen	hilsner	hilse	hilsner	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
hilsen	hilsener	hilse	hilsen	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
jersey	jersey	jersey	jersey		N;INDF;MASC;SG
fodboldspillere	fotballspillere	fodboldspiller	fotballspillere	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
modstandere	motstandere	modstander	motstandere	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
modstandere	motstanderne	modstander	motstanderne	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
forud	prior	forud	prior	ADV	N;INDF;NEUT;SG
offensiv	offensiv	offensiv	offensiv	N;INDF;MASC+FEM;SG	ADJ;INDF;SG
serbien	serbia	serbi	serbi	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
bære	slitasje	bære	slitasje	V;NFIN;ACT	N;INDF;MASC;SG
bære	wear	bære	wear	V;NFIN;ACT	N;INDF
bære	bjørn	bære	bjørn	V;NFIN;ACT	N;INDF;MASC;SG
bære	bear	bære	be	V;NFIN;ACT	N;INDF;MASC;SG
rig	rike	rig	rik	ADJ;INDF;MASC+FEM;SG	ADJ;PL
rig	rich	rig	rich	ADJ;INDF;MASC+FEM;SG	N
site	nettstedet	site	nettsted	N;INDF;NEUT;SG	N;DEF;NEUT;SG
varianter	variant	variant	variant	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
varianter	variasjoner	variant	variasjon	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
violin	fela	violin	fal	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
stigning	øke	stigning	øken	N;INDF;MASC+FEM;SG	V;IMP;FIN
queen	dronningen	que	dronning		N;DEF;MASC;SG
queen	queen	que	que		N;DEF;MASC;SG
queen	dronning	que	dronning		N;INDF;FEM;SG
tidligste	tidligst	tidlig	tidligst	ADJ;DEF;RL	ADJ;INDF;NEUT;SG
opgør	oppgjøret	opgør	oppgjør	N;INDF;NEUT;SG	N;DEF;NEUT;SG
arsenal	arsenal	arsenal	arsenal	N;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
kejseren	keiser	kejser	keise	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
andel	dele	andel	dele	N;INDF;MASC+FEM;SG	V;NFIN
andel	delingen	andel	deling	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
andel	del	andel	dele	N;INDF;MASC+FEM;SG	V;IMP;FIN
andel	deler	andel	del	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
foregående	tidligere	foregående	tidligere	ADJ	N;INDF;FEM;SG
foregående	førre	foregående	førre	ADJ	DET;DEF
liberale	liberal	liberal	liberal	ADJ;PL	ADJ;INDF;SG
motoren	motor	motor	motor	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
göteborg	göteborg	göteborg	göteborg		N;INDF;NEUT;SG
göteborg	gøteborg	göteborg	gøteborg		N;INDF;NEUT;SG
göteborg	göteborg	göteborg	göteborg		N;INDF;NEUT;SG
henri	henri	henri	henri		N;INDF;MASC;SG
bevare	bevare	bevare	bevare	V;NFIN;ACT	N;INDF;NEUT;SG
bevare	bevar	bevare	beve	V;NFIN;ACT	N;INDF;NEUT;SG
trommeslager	trommis	trommeslag	trommis	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
trommeslager	trommeslager	trommeslag	trommeslag	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
amalie	amalie	amalie	amalie		N;INDF;FEM;SG
vindere	vinnere	vinder	vinnere	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
vindere	mestere	vinder	mestere	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
pres	belastninger	pres	belastning	N;INDF;NEUT;SG	N;INDF;FEM;PL
pennsylvania	pennsylvania	pennsylvania	pennsylvania	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
tilgængelige	tilgjengeleg	tilgængelig	tilgjengeleg	ADJ;PL	ADJ;INDF;SG
tilgængelige	ledig	tilgængelig	ledig	ADJ;PL	ADJ;INDF;SG
tilgængelige	tilgjengelig	tilgængelig	tilgjengelig	ADJ;PL	ADJ;INDF;NEUT;SG
tilgængelige	tilgjengelig	tilgængelig	tilgjengelig	ADJ;PL	ADJ;INDF;NEUT;SG
skotsk	skotter	skotsk	skotter	ADJ;INDF;SG	N;INDF;FEM;PL
skotsk	skotsk	skotsk	skotsk	ADJ;INDF;SG	N;INDF;MASC;SG
skotsk	skotsk	skotsk	skotsk	ADJ;INDF;SG	N;INDF;MASC;SG
manuel	manuel	manuel	manuel		N;INDF;MASC;SG
manuel	manuell	manuel	manuell		ADJ;INDF;SG
manuel	manual	manuel	manual		N;INDF;NEUT;SG
tilsammen	kombinert	tilsammen	kombinere	ADV	ADJ;INDF;SG;V.PTCP
ruten	route	ruten	route	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
ruten	rute	ruten	rute	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
akademiet	akademi	akademium	akademi	N;DEF;NEUT;SG	N;INDF;NEUT;SG
akademiet	academy	akademium	academy	N;DEF;NEUT;SG	N;INDF;MASC;SG
krydser	kryss	krydse	kryss	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
krydser	cross	krydse	cross	V;IND;PRS;FIN;ACT	N;INDF;SG
krydser	kors	krydse	kors	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
krydser	cruiser	krydse	cruise	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
bjergene	fjell	bjerg	fjell	N;DEF;NEUT;PL	N;INDF;NEUT;SG
jacques	jacques	jacque	jacques		N;INDF;MASC;SG
erobre	hersk	erobre	hersk	V;NFIN;ACT	N;INDF;MASC;SG
carlos	carlos	carlos	carlos		N;INDF;MASC;SG
alvorligt	alvorlig	alvorligt	alvorlig	ADV	ADJ;INDF;NEUT;SG
alvorligt	alvorlige	alvorligt	alvorlig	ADV	ADJ;PL
alvorligt	alvor	alvorligt	alvor	ADV	N;INDF;NEUT;SG
alvorligt	seriøs	alvorligt	seriøs	ADV	ADJ;INDF;SG
alvorligt	alvorlig	alvorligt	alvorlig	ADV	ADJ;INDF;NEUT;SG
alvorligt	seriøst	alvorligt	seriøs	ADV	ADJ;INDF;NEUT;SG
alvorligt	alvorlige	alvorligt	alvorlig	ADV	ADJ;PL
alvorligt	alvorlig	alvorligt	alvorlig	ADV	ADJ;INDF;NEUT;SG
alvorligt	kraftig	alvorligt	kraftig	ADV	ADJ;INDF;NEUT;SG
preben	preben	preb	preb	PROPN	N;INDF;MASC;SG
boliger	boliger	bolig	boliger	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
boliger	bolig	bolig	bolig	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
boliger	boliger	bolig	boliger	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
tegning	tegner	tegning	tegn	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
fritz	fritz	fritz	fritz		N;INDF;MASC;SG
lån	lån	lån	lån	N;INDF;NEUT;PL	N;INDF;NEUT;SG
non	non	non	non		N;INDF;SG
østersøen	baltiske	østersøen	baltisk	N;DEF;MASC+FEM;SG	ADJ;PL
ulrik	ulrik	ulrik	ulrik	PROPN	N;INDF;MASC;SG
centralt	central	centralt	central	ADJ;INDF;NEUT;SG	N;INDF;MASC;SG
teorien	teori	teori	teori	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
från	från	från	från	N;INDF;MASC+FEM;SG	
opførte	oppførte	opføre	oppføre	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
fællesskab	samfunnet	fællesskab	samfunn	N;INDF;NEUT;SG	N;DEF;NEUT;SG
fællesskab	fellesskapet	fællesskab	fellesskap	N;INDF;NEUT;SG	N;DEF;NEUT;SG
riga	riga	riga	rige		N;INDF;NEUT;SG
mærke	feel	mærke	feel	V;NFIN;ACT	N;INDF;MASC;SG
mærke	kjenn	mærke	kjenn	V;NFIN;ACT	N;INDF;MASC;SG
mærke	merke	mærke	merke	V;NFIN;ACT	N;INDF;NEUT;SG
mærke	brand	mærke	brand	V;NFIN;ACT	N;INDF;NEUT;SG
mærke	merkevare	mærke	merkevare	V;NFIN;ACT	N;INDF;MASC;SG
mærke	tagg	mærke	tagg	V;NFIN;ACT	N;INDF;MASC;SG
mærke	etikett	mærke	etikett	V;NFIN;ACT	N;INDF;MASC;SG
mærke	marker	mærke	marker	V;NFIN;ACT	N;INDF;MASC;SG
mærke	mark	mærke	mark	V;NFIN;ACT	N;INDF;NEUT;SG
døtre	døtre	døn	døtter	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
døtre	døtrene	døn	dotter	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
højst	most	højst	most	ADV	N;INDF;FEM;SG
højst	meste	højst	mykje	ADV	ADJ;DEF;RL
højst	mest	højst	mykje	ADV	ADJ;INDF;RL
