年	year	年	year	N	PROPN
鄰近	sekitar	鄰近	sekitar	N	ADP
十一	november	十一	november	NUM	PROPN;SG
十一	nopember	十一	nopember	NUM	N
十一	nov	十一	nov	NUM	
射擊	shooting	射擊	shooting	N	PROPN
射擊	menembak	射擊	mentembak	N	V;SG;ACT
滑	licin	滑	licin	N	ADJ;SG
滑	tergelincir	滑	tergelincir	N	V
滑	terpeleset	滑	terpeleset	N	V;SG;PASS
滑	slip	滑	slip	N	PROPN
融合	integrasi	融合	integrasi	V	N;SG
融合	fusion	融合	fusion	V	PROPN
融合	fusi	融合	fusi	V	N;SG
姓名	names	姓名	names	N	PROPN
姓名	mamang	姓名	mamang	N	PROPN
跑道	runway	跑道	runway	N	PROPN
主管	supervisor	主管	supervisor	N	PROPN
補充	tambahan	補充	tambahan	V	N;SG
補充	supplement	補充	supplement	V	PROPN
補充	suplemen	補充	suplemen	V	PROPN
補充	supplemental	補充	supplemental	V	PROPN
得分	score	得分	score	N	PROPN
逸	yat	逸	yat		PROPN
彗星	comet	彗星	comet	N	PROPN
敵人	enemy	敵人	enemy	N	PROPN
箭	arrows	箭	arrows	N	PROPN
箭	arrow	箭	arrow	N	PROPN
受	populer	受	populer	V	ADJ;SG
櫻	sakura	櫻	sakura	N	PROPN
警報	waspada	警報	waspada	N	ADJ;SG
警報	alert	警報	alert	N	PROPN
兩	twice	兩	twice	NUM	PROPN
簽署	penandatanganan	簽署	pentandatanganan	V	N;SG
簽署	signed	簽署	signed	V	PROPN
簽署	tandatangan	簽署	tandatangan	V	N;SG
簽署	signature	簽署	signature	V	PROPN
客串	cameo	客串	cameo	V	PROPN
上游	hulu	上游	hulu	N	PROPN;SG
紅外	infrared	紅外	infrared	N	PROPN
外部	luar	外部	luar	N	ADJ;SG
外部	diluar	外部	diluar	N	ADP;SG;PASS
可用	tersedia	可用	tersedia	N	ADJ;SG
日本	jepang	日本	jepang	PROPN	PROPN;SG
日本	japanese	日本	japanese	PROPN	PROPN
彌	myon	彌	myon	PROPN	PROPN
黑人	hitam	黑人	hitam	N	ADJ;SG
黑人	black	黑人	black	N	PROPN
浮	floating	浮	floating		PROPN
浮	melayang	浮	menlayang		V;SG;ACT
浮	mengambang	浮	menambang		V;SG;ACT
向量	vector	向量	vector	N	PROPN
態度	attitude	態度	attitude	N	PROPN
穆罕默德	muhammad	穆罕默德	muhammad	PROPN	PROPN;SG
穆罕默德	mohammed	穆罕默德	mohammed	PROPN	PROPN
模特	models	模特	models	N	PROPN
逐步	berangsur	逐步	berangsur	ADV	V;SG;ACT
逐步	bertahap	逐步	bertahap	ADV	V;SG;ACT
逐步	progresif	逐步	progresif	ADV	ADJ;SG
保羅	paulus	保羅	paulus	PROPN	PROPN
保羅	paul	保羅	paul	PROPN	PROPN
防禦	defense	防禦	defense	N	PROPN
先前	sebelumnya	先前	sebelumnya	N	ADV
先前	sebelumnya	先前	sebelumnya	N	ADV
嚴	yan	嚴	yan	N	
嚴	uhm	嚴	uhm	N	PROPN
簽名	menandatangani	簽名	mentandatangani	N	V;SG;ACT
簽名	menandatangani	簽名	mentandatangani	N	V;SG;ACT
簽名	ditandatangani	簽名	ditandatangani	N	V;SG;PASS
簽名	signed	簽名	signed	N	PROPN
簽名	signature	簽名	signature	N	PROPN
回歸	return	回歸	return	V	PROPN
回歸	regresi	回歸	regresi	V	N;SG
定理	teorema	定理	teorema	N	PROPN
注入	suntik	注入	suntik	V	N
注入	injeksi	注入	injeksi	V	N;SG
注入	suntikan	注入	suntikan	V	N
注入	infus	注入	infus	V	PROPN
獅	lion	獅	lion	N	PROPN
獅	singa	獅	singa	N	PROPN;SG
推廣	promosi	推廣	promosi	V	N;SG
推廣	promosi	推廣	promosi	V	N;SG
推廣	promosi	推廣	promosi	V	N;SG
推廣	promote	推廣	promote	V	PROPN
僧	monk	僧	monk	N	PROPN
升級	mutakhirkan	升級	mutakhirkan	V	PROPN
升級	upgrade	升級	upgrade	V	PROPN
升級	upgrade	升級	upgrade	V	PROPN
升級	upgrade	升級	upgrade	V	PROPN
嘗試	coba	嘗試	coba	V	
嘗試	cobalah	嘗試	cobalah	V	
嘗試	nyoba	嘗試	nyoba	V	N
嘗試	upaya	嘗試	upaya	V	N;SG
隋	sui	隋	sui	PROPN	PROPN
造型	pemodelan	造型	penmodelan	V	N;SG
造型	modeling	造型	modeling	V	PROPN
造型	styling	造型	styling	V	N
書籍	book	書籍	book	N	PROPN
六十	sixty	六十	sixty	NUM	PROPN
為何	kenapa	為何	kenapa		ADV
為何	mengapa	為何	mengapa		ADV
為何	why	為何	why		PROPN
大橋	bridge	大橋	bridge	N	PROPN
佐藤	sato	佐藤	sato	PROPN	PROPN
征服	penaklukan	征服	pentaklukan	V	N;SG
聚集	gathering	聚集	gathering	V	PROPN
聚集	kumpul	聚集	kumpul	V	PROPN
聚集	pengumpulan	聚集	penkumpulan	V	N;SG
定位	memposisikan	定位	menposisikan	N	V;SG;ACT
弓	bow	弓	bow	N	PROPN
專用	didedikasikan	專用	didedikasikan	N	V;SG;PASS
專用	berdedikasi	專用	berdedikasi	N	V;SG;ACT
芬蘭	finlandia	芬蘭	finlandia	PROPN	PROPN;SG
女	actress	女	actress	N	PROPN
防守	defense	防守	defense	N	PROPN
宣告	pengumuman	宣告	penumuman		N;SG
宣告	menyatakan	宣告	mennyatakan		V;SG;ACT
宣告	proklamasi	宣告	proklamasi		N
評價	evaluasi	評價	evaluasi	V	N;SG
蛋	eggs	蛋	eggs	N	PROPN
蛋	egg	蛋	egg	N	PROPN
鱷	buaya	鱷	buaya	N	PROPN;SG
關閉	close	關閉	close	V	PROPN
關閉	dekat	關閉	dekat	V	ADJ;SG
關閉	tutup	關閉	tutup	V	PROPN;SG;ACT
關閉	nonaktif	關閉	nonaktif	V	
關閉	off	關閉	off	V	PROPN
關閉	mati	關閉	mati	V	ADJ;SG
瓊	joan	瓊	joan	PROPN	PROPN
裁判	ref	裁判	ref	N	PROPN
臺中	taichung	臺中	taichung	PROPN	PROPN
小	tiny	小	tiny	ADJ	PROPN
下方	dibawah	下方	dibawah	N	ADP;SG;PASS
下方	terbawah	下方	terbawah	N	ADP;RL;SG
下方	bottom	下方	bottom	N	PROPN
架構	architecture	架構	architecture	N	PROPN
葬	pemakaman	葬	penmakaman	V	N;SG
葬	penguburan	葬	penuburan	V	N;SG
共享	shared	共享	shared	V	PROPN
共享	sharing	共享	sharing	V	PROPN
共享	share	共享	share	V	PROPN
共享	saham	共享	saham	V	N;SG
累	lelah	累	lelah	N	
累	letih	累	letih	N	ADJ;SG
星期	week	星期	week	N	PROPN
竣工	penyelesaian	竣工	penselesaian	V	N;SG
竣工	pelengkapan	竣工	penlengkapan	V	N;SG
加工	pemrosesan	加工	penprosesan	V	N;SG
加工	pengolahan	加工	penolahan	V	N;SG
斯洛伐克	slowakia	斯洛伐克	slowakia	PROPN	PROPN
奏	kana	奏	kana	N	PROPN
等	waiting	等	waiting	N	PROPN
等	menunggu	等	mentunggu	N	V;SG;ACT
等	menanti	等	menanti	N	V;SG;ACT
等	tunggu	等	tunggu	N	V;SG;ACT
等	wait	等	wait	N	PROPN
恆	heng	恆	heng	PROPN	PROPN
山地	mountain	山地	mountain	N	PROPN
改良	penyempurnaan	改良	pensempurnaan	V	N;SG
改良	peningkatan	改良	pentingkatan	V	N;SG
改良	perbaikan	改良	perbaikan	V	N;SG
改良	peningkatan	改良	pentingkatan	V	N;SG
改良	perbaikan	改良	perbaikan	V	N;SG
改良	penyempurnaan	改良	pensempurnaan	V	N;SG
劇本	skenario	劇本	skenario	N	PROPN;SG
發動	engine	發動	engine	V	N
發動	mesin	發動	mesin	V	N;SG
發動	mesin	發動	mesin	V	N;SG
發動	motor	發動	motor	V	N;SG
完美	perfect	完美	perfect	ADJ	PROPN
完美	kesempurnaan	完美	kesempurnaan	ADJ	N;SG
夏天	summer	夏天	summer	N	PROPN
借	dipinjam	借	dipinjam	ADP	V;SG;PASS
借	meminjam	借	menpinjam	ADP	V;SG;ACT
借	pinjam	借	pinjam	ADP	N;SG
借	meminjam	借	menpinjam	ADP	V;SG;ACT
借	meminjamkan	借	menpinjamkan	ADP	V;SG;ACT
立陶宛	lithuania	立陶宛	lithuania	PROPN	N;SG
立陶宛	lituania	立陶宛	lituania	PROPN	N;SG
聰	satoshi	聰	satoshi	N	PROPN
縮寫	kependekan	縮寫	kependekan	V	N;SG
縮寫	singkatan	縮寫	singkatan	V	N;SG
縮寫	inisial	縮寫	inisial	V	N
玫瑰	roses	玫瑰	roses	N	PROPN
玫瑰	rose	玫瑰	rose	N	PROPN
記憶	memories	記憶	menpories	N	PROPN
記憶	memory	記憶	memory	N	PROPN
座位	seat	座位	seat	N	PROPN
田中	tanaka	田中	tanaka	PROPN	PROPN
期刊	journal	期刊	journal	N	PROPN
大	besaran	大	besaran	PART	N;SG
大	masif	大	masif	PART	ADJ;SG
大	massive	大	massive	PART	PROPN
遊行	parade	遊行	parade	V	N
遊行	prosesi	遊行	prosesi	V	N;SG
喜劇	comedy	喜劇	comedy	N	PROPN
楠	nan	楠	nan	PROPN	PROPN
植	sik	植	sik	PROPN	PROPN
人氣	populer	人氣	populer	N	ADJ;SG
順利	lancar	順利	lancar	ADV	ADJ;SG
順利	smooth	順利	smooth	ADV	PROPN
順利	kelancaran	順利	kelancaran	ADV	N;SG
順利	halus	順利	halus	ADV	ADJ;SG
順利	mulus	順利	mulus	ADV	ADJ;SG
美術	art	美術	art	N	PROPN
光明	light	光明	light	N	PROPN
光明	terang	光明	terang	N	ADJ;SG
光明	ringan	光明	ringan	N	ADJ;SG
平安	aman	平安	aman	PROPN	ADJ;SG
平安	brankas	平安	brankas	PROPN	N;SG
平安	damai	平安	damai	PROPN	ADJ;SG
平安	kedamaian	平安	kedamaian	PROPN	N;SG
平安	peace	平安	peace	PROPN	PROPN
平安	perdamaian	平安	perdamaian	PROPN	N;SG
哈利	harry	哈利	harry	PROPN	PROPN
事務	teguh	事務	teguh	N	ADJ;SG
事務	tegas	事務	tegas	N	ADJ;SG
垂直	tegak	垂直	tegak	N	
垂直	tegak	垂直	tegak	N	
網上	online	網上	online	N	PROPN
主辦	penyelenggara	主辦	penselenggara	V	N;SG
主辦	hosting	主辦	hosting	V	N
主辦	inang	主辦	inang	V	N
技能	skill	技能	skill	N	PROPN
技能	skill	技能	skill	N	PROPN
帆	berlayar	帆	berlayar	PROPN	V;SG;ACT
帆	sail	帆	sail	PROPN	PROPN
帆	layar	帆	layar	PROPN	N;SG
雅典	athens	雅典	athens	PROPN	PROPN
雅典	athena	雅典	athena	PROPN	PROPN;SG
豐富	berlimpah	豐富	berlimpah	ADJ	V;SG;ACT
豐富	melimpah	豐富	menlimpah	ADJ	V;SG;ACT
豐富	rich	豐富	rich	ADJ	PROPN
砂	sand	砂	sand	N	PROPN
砂	pasir	砂	pasir	N	PROPN;SG
上方	diatas	上方	diatas	N	ADP;SG;PASS
男孩	boy	男孩	boy	N	PROPN
男孩	nak	男孩	nak	N	PART
男孩	boys	男孩	boys	N	PROPN
梨	pir	梨	pir	PROPN	N;SG
梨	pear	梨	pear	PROPN	N
梨	pir	梨	pir	PROPN	N;SG
加速	akselerasi	加速	akselerasi	V	N;SG
加速	percepatan	加速	percepatan	V	N;SG
加速	akselerasi	加速	akselerasi	V	N;SG
狐	fox	狐	fox	N	PROPN
重複	duplikat	重複	duplikat	V	N
重複	duplikasi	重複	duplikasi	V	N
利物浦	liverpool	利物浦	liverpool	PROPN	PROPN
比利	belgia	比利	belgia	PROPN	PROPN;SG
尺寸	size	尺寸	size	N	PROPN
嫁	marry	嫁	marry	V	PROPN
嫁	akad	嫁	akad	V	PROPN
幸	beruntung	幸	beruntung	N	ADJ;SG
騎	berkuda	騎	berkuda	N	V;SG;ACT
騎	menunggang	騎	mentunggang	N	V;SG;ACT
騎	riding	騎	riding	N	PROPN
騎	ride	騎	ride	N	PROPN
體育	gym	體育	gym	N	PROPN
逆	kebalikan	逆	kebalikan		N;SG
逆	reverse	逆	reverse		PROPN
逆	terbalik	逆	terbalik		V;SG;PASS
鐘	zhong	鐘	zhong	N	PROPN
鐘	clock	鐘	clock	N	PROPN
鐘	jong	鐘	jong	N	PROPN
鐘	chung	鐘	chung	N	PROPN
鐘	belle	鐘	belle	N	PROPN
鐘	bel	鐘	bel	N	PROPN;SG
鐘	bell	鐘	bell	N	PROPN
分享	shared	分享	shared	V	PROPN
分享	sharing	分享	sharing	V	PROPN
分享	share	分享	share	V	PROPN
分享	saham	分享	saham	V	N;SG
班機	flight	班機	flight	N	PROPN
入圍	finalis	入圍	finalis	V	N;SG
入圍	finalis	入圍	finalis	V	N;SG
時報	times	時報	times	N	PROPN
擴大	mengembang	擴大	menkembang	V	PROPN;SG;ACT
擴大	perluasan	擴大	perluasan	V	N;SG
擴大	mengembang	擴大	menkembang	V	PROPN;SG;ACT
擴大	perluasan	擴大	perluasan	V	N;SG
擴大	ekspansi	擴大	ekspansi	V	N;SG
擴大	pembesaran	擴大	penbesaran	V	N;SG
擴大	perluas	擴大	perluas	V	N;SG;ACT
擴大	ekspansi	擴大	ekspansi	V	N;SG
讀者	reader	讀者	reader	N	PROPN
有	famous	有	famous	V	PROPN
有	terkenal	有	terkenal	V	ADJ;SG;PASS
猴	monkey	猴	monkey	N	PROPN
帝王	imperial	帝王	imperial	N	PROPN
撰寫	tulis	撰寫	tulis	V	N;SG;ACT
撰寫	penulisan	撰寫	pentulisan	V	N;SG
撰寫	tulisan	撰寫	tulisan	V	N;SG
就	suka	就	suka	ADV	V;SG
就	sukai	就	sukai	ADV	ADJ;SG
就	seperti	就	seperti	ADV	ADP
就	like	就	like	ADV	PROPN
絕對	mutlak	絕對	mutlak	ADV	ADJ;SG
絕對	absolut	絕對	absolut	ADV	ADJ;SG
絕對	absolute	絕對	absolute	ADV	PROPN
重點	focus	重點	focus	N	PROPN
感覺	feel	感覺	feel	N	PROPN
感覺	merasa	感覺	menrasa	N	V;SG;ACT
感覺	rasakan	感覺	rasakan	N	V;SG;ACT
感覺	terasa	感覺	terrasa	N	V;SG;PASS
感覺	merasa	感覺	menrasa	N	V;SG;ACT
感覺	merasa	感覺	menrasa	N	V;SG;ACT
感覺	feeling	感覺	feeling	N	PROPN
左翼	tersisa	左翼	tersisa	N	V;SG;PASS
九州	kyushu	九州	kyushu	PROPN	PROPN
扁	bian	扁	bian	N	PROPN
種族	race	種族	race	N	PROPN
限	limited	限	limited	N	PROPN
限	terbatas	限	terbatas	N	V;SG
限	dibatasi	限	dibatasi	N	V;SG;PASS
限	batasi	限	batasi	N	V;SG;ACT
限	membatasi	限	menbatasi	N	V;SG;ACT
限	limit	限	limit	N	PROPN
總	ceo	總	ceo	ADJ	PROPN
休息	istirahat	休息	istirahat	V	N;SG
休息	break	休息	break	V	PROPN
休息	istirahat	休息	istirahat	V	N;SG
曲目	trek	曲目	trek	N	PROPN
曲目	track	曲目	track	N	PROPN
曲目	trek	曲目	trek	N	PROPN
曆	kalender	曆	kalender		PROPN;SG
東區	east	東區	east	N	PROPN
定期	biasa	定期	biasa	N	ADJ;SG
定期	regular	定期	regular	N	PROPN
定期	berkala	定期	berkala	N	PROPN;SG;ACT
反抗	pemberontakan	反抗	penberontakan	V	N;SG
穿越	crossing	穿越	crossing	V	PROPN
穿越	penyeberangan	穿越	penseberangan	V	N;SG
管制	kontrol	管制	kontrol	V	N;SG;ACT
管制	kendali	管制	kendali	V	N;SG
轄區	bailiwick	轄區	bailiwick	N	PROPN
咖啡	coffee	咖啡	coffee	N	PROPN
胸	chest	胸	chest	N	PROPN
胸	dada	胸	dada	N	PROPN;SG
胸	dada	胸	dada	N	PROPN;SG
胸	breast	胸	breast	N	PROPN
眼睛	eyes	眼睛	eyes	N	PROPN
眼睛	eye	眼睛	eye	N	PROPN
亂	messy	亂	messy	N	PROPN
亂	berantakan	亂	berantakan	N	V;SG;ACT
亂	mess	亂	mess	N	PROPN
亂	mess	亂	mess	N	PROPN
星座	constellation	星座	constellation	N	PROPN
否則	sebaliknya	否則	sebaliknya	ADP	ADV
貴族	mulia	貴族	mulia	N	ADJ;SG
貴族	noble	貴族	noble	N	PROPN
浪漫	romance	浪漫	romance	N	PROPN
浪漫	romansa	浪漫	romansa	N	PROPN;SG
窗	windows	窗	windows	N	PROPN
窗	window	窗	window	N	PROPN
主權	berdaulat	主權	berdaulat	N	V;SG;ACT
探索	jelajahi	探索	jelajahi	V	PROPN
探索	jelajah	探索	jelajah	V	N;SG
探索	penjelajahan	探索	penjelajahan	V	N;SG
探索	eksplorasi	探索	eksplorasi	V	N;SG
探索	temuan	探索	temuan	V	N;SG
探索	penemuan	探索	pentemuan	V	N;SG
探索	discovery	探索	discovery	V	PROPN
簽約	penandatanganan	簽約	pentandatanganan	V	N;SG
參賽	kontestan	參賽	kontestan	V	N
參賽	kontestan	參賽	kontestan	V	N
晚間	evening	晚間	evening	N	PROPN
望遠	teropong	望遠	teropong	V	N;SG
望遠	teleskop	望遠	teleskop	V	N;SG
軸	axis	軸	axis	N	PROPN
內地	mainland	內地	mainland	N	PROPN
唇	lips	唇	lips	N	PROPN
唇	bibir	唇	bibir	N	PROPN;SG
唇	bibir	唇	bibir	N	PROPN;SG
唇	lip	唇	lip	N	PROPN
特區	sar	特區	sar	N	PROPN
緊急	mendesak	緊急	mendesak	N	V;SG;ACT
緊急	penting	緊急	penting	N	ADJ;SG
緊急	urgent	緊急	urgent	N	PROPN
適合	fit	適合	fit	V	PROPN
價格	price	價格	price	N	PROPN
精選	diunggulkan	精選	diunggulkan	N	V;SG;PASS
精選	ditampilkan	精選	ditampilkan	N	V;SG;PASS
精選	feature	精選	feature	N	PROPN
單	mono	單	mono	NUM	PROPN
單	single	單	single	NUM	N
單	lajang	單	lajang	NUM	N
單	jomblo	單	jomblo	NUM	PROPN
單	tunggal	單	tunggal	NUM	ADJ;SG
象徵	simbol	象徵	simbol	V	N;SG
象徵	simbolik	象徵	simbolik	V	N;SG
象徵	simbolis	象徵	simbolis	V	ADJ;SG
部署	menyebarkan	部署	mensebarkan	N	V;SG;ACT
部署	menyebarkan	部署	mensebarkan	N	V;SG;ACT
精靈	genie	精靈	genie	N	PROPN
精靈	elf	精靈	elf	N	PROPN
百年	centennial	百年	centennial	N	PROPN
事實	truth	事實	truth	N	PROPN
閣	gak	閣	gak	N	PART
巨人	giants	巨人	giants	N	PROPN
巨人	giant	巨人	giant	N	PROPN
梓	azusa	梓	azusa	PROPN	PROPN
無限	infinite	無限	infinite	N	PROPN;SG
無限	infinity	無限	infinity	N	PROPN
無限	limitless	無限	limitless	N	PROPN
無限	unlimited	無限	unlimited	N	PROPN
王后	ratu	王后	ratu	N	PROPN;SG
王后	queen	王后	queen	N	PROPN
永遠	always	永遠	always	N	PROPN
永遠	selalu	永遠	selalu	N	ADV
永遠	forever	永遠	forever	N	PROPN
充分	sepenuhnya	充分	sepenuhnya		ADV
福岡	fukuoka	福岡	fukuoka	PROPN	PROPN
難	susah	難	susah	N	ADJ;SG
難	hard	難	hard	N	PROPN
難	keras	難	keras	N	ADJ;SG
難	susah	難	susah	N	ADJ;SG
難	sulit	難	sulit	N	ADJ;SG
難	sukar	難	sukar	N	ADJ;SG
宿舍	hostel	宿舍	hostel	N	PROPN
追求	quest	追求	quest	V	PROPN
追求	pengejaran	追求	penkejaran	V	N;SG
衛生	higienis	衛生	higienis	N	ADJ;SG
衛生	higienis	衛生	higienis	N	ADJ;SG
南斯拉夫	yugoslavia	南斯拉夫	yugoslavia	PROPN	PROPN
南斯拉夫	yugoslavia	南斯拉夫	yugoslavia	PROPN	PROPN
誕生	born	誕生	born	V	PROPN
郝	hao	郝	hao	PROPN	PROPN
緬甸	burma	緬甸	burma	PROPN	PROPN
緬甸	myanmar	緬甸	myanmar	PROPN	PROPN
七十	seventy	七十	seventy	NUM	PROPN
昆明	kunming	昆明	kunming	PROPN	PROPN
規範	norm	規範	norm	N	PROPN
環球	universal	環球	universal	PROPN	ADJ
環球	globe	環球	globe	PROPN	PROPN
彬	bin	彬	bin	PROPN	PROPN
燈	lights	燈	lights	N	PROPN
燈	pelita	燈	pelita	N	PROPN;SG
燈	lamp	燈	lamp	N	PROPN
交換	swap	交換	swap	V	PROPN
交換	tukar	交換	tukar	V	N;SG;ACT
交換	exchange	交換	exchange	V	PROPN
交換	pertukaran	交換	pertukaran	V	N;SG
交換	bursa	交換	bursa	V	N;SG
交易	tukar	交易	tukar	V	N;SG;ACT
交易	exchange	交易	exchange	V	PROPN
交易	pertukaran	交易	pertukaran	V	N;SG
交易	bursa	交易	bursa	V	N;SG
提前	early	提前	early	V	PROPN
提前	dini	提前	dini	V	ADJ;SG
提前	awal	提前	awal	V	ADJ;SG
神奇	menakjubkan	神奇	mentakjubkan	ADJ	V;SG;ACT
神奇	amazing	神奇	amazing	ADJ	PROPN
神奇	sihir	神奇	sihir	ADJ	N;SG
神奇	magic	神奇	magic	ADJ	PROPN
神奇	sulap	神奇	sulap	ADJ	N;SG
神奇	magis	神奇	magis	ADJ	N
週刊	weekly	週刊	weekly	N	PROPN
示威	demonstrasi	示威	demonstrasi	V	N;SG
示威	demonstrasi	示威	demonstrasi	V	N;SG
吐	ludah	吐	ludah	V	N;SG
撞擊	impact	撞擊	impact	V	PROPN
撞擊	dampak	撞擊	dampak	V	N;SG
撞擊	benturan	撞擊	benturan	V	N;SG
撞擊	tabrakan	撞擊	tabrakan	V	N;SG
日子	days	日子	days	N	PROPN
種子	seed	種子	seed	N	PROPN
慕容	murong	慕容	murong	PROPN	PROPN
樂園	firdaus	樂園	firdaus	N	PROPN
樂園	surga	樂園	surga	N	PROPN;SG
樂園	paradise	樂園	paradise	N	PROPN
瀑布	falls	瀑布	falls	N	PROPN
瀑布	jatuh	瀑布	jatuh	N	V;SG;ACT
萍	ping	萍	ping	PROPN	PROPN
搜尋	mencari	搜尋	mencari	N	PROPN;SG;ACT
搜尋	cari	搜尋	cari	N	V;SG;ACT
搜尋	search	搜尋	search	N	PROPN
搜尋	mencari	搜尋	mencari	N	PROPN;SG;ACT
米蘭	milan	米蘭	milan	PROPN	PROPN
德州	texas	德州	texas	PROPN	PROPN
威尼斯	venesia	威尼斯	venesia	PROPN	PROPN
威尼斯	venice	威尼斯	venice	PROPN	PROPN
答	jawablah	答	jawab	N	V;SG;ACT
答	menjawab	答	menjawab	N	V;SG;ACT
折	melipat	折	menlipat	PROPN	V;SG;ACT
折	lipatan	折	lipatan	PROPN	N;SG;ACT
折	lipat	折	lipat	PROPN	N;SG;ACT
鼓勵	anjurkan	鼓勵	anjurkan	V	N;SG;ACT
鼓勵	dorongan	鼓勵	dorongan	V	N;SG
氪	krypton	氪	krypton	N	PROPN
柬埔寨	kamboja	柬埔寨	kamboja	PROPN	PROPN;SG
柬埔寨	cambodia	柬埔寨	cambodia	PROPN	PROPN
希特勒	hitler	希特勒	hitler	PROPN	N
輸入	input	輸入	input	V	N
輸入	masukan	輸入	masukan	V	N;SG
輸入	enter	輸入	enter	V	PROPN
處理	prosesor	處理	prosesor	V	N;SG
處理	processor	處理	processor	V	PROPN
處理	pengolah	處理	penolah	V	N;SG
處理	prosesor	處理	prosesor	V	N;SG
無	nol	無	nol	V	
無	null	無	null	V	PROPN
贊助	sponsor	贊助	sponsor	V	N;SG
贊助	sponsor	贊助	sponsor	V	N;SG
真人	masato	真人	masato	N	PROPN
幫忙	bantu	幫忙	bantu	V	N;SG;ACT
幫忙	bantuan	幫忙	bantuan	V	N;SG
金剛	vajra	金剛	vajra	N	PROPN
競賽	race	競賽	race	N	PROPN
競賽	contest	競賽	contest	N	PROPN
首歌	song	首歌	song	N	PROPN
超人	superman	超人	superman	N	PROPN
股票	stock	股票	stock	N	PROPN
實現	realisasi	實現	realisasi	V	N;SG
八十	eighty	八十	eighty	NUM	PROPN
出局	out	出局	out	V	PROPN
瑪麗	mary	瑪麗	mary	PROPN	PROPN
瑪麗	maria	瑪麗	maria	PROPN	PROPN
戰場	battleground	戰場	battleground	N	PROPN
平等	sama	平等	sama	N	ADJ;SG
平等	setara	平等	setara	N	ADJ;SG
價	price	價	price	N	PROPN
聽	mendengarkan	聽	mendengarkan	ADP	V;SG;ACT
聽	dengarkanlah	聽	dengarkan	ADP	V;SG;ACT
聽	dengarkan	聽	dengarkan	ADP	V;SG;ACT
聽	dengarlah	聽	dengar	ADP	V;SG;ACT
聽	dengar	聽	dengar	ADP	
困難	susah	困難	susah	N	ADJ;SG
困難	sulit	困難	sulit	N	ADJ;SG
困難	sukar	困難	sukar	N	ADJ;SG
機車	scooter	機車	scooter	N	PROPN
危險	berbahaya	危險	berbahaya	N	V;SG;ACT
危險	danger	危險	danger	N	PROPN
強大	tegar	強大	tegar	N	ADJ;SG
強大	strong	強大	strong	N	PROPN
強大	kuat	強大	kuat	N	ADJ;SG
強大	ampuh	強大	ampuh	N	ADJ;SG
強大	kuat	強大	kuat	N	ADJ;SG
技巧	skill	技巧	skill	N	PROPN
外國	asing	外國	asing	N	ADJ;SG
外國	foreign	外國	foreign	N	PROPN
瓦爾	val	瓦爾	val	PROPN	PROPN
帽	kapt	帽	kapt	N	PROPN
帽	hat	帽	hat	N	PROPN
帽	caps	帽	caps	N	PROPN
公寓	kempes	公寓	kempes	N	
公寓	flat	公寓	flat	N	PROPN
公寓	rata	公寓	rata	N	ADJ;SG
公寓	kondo	公寓	kondo	N	PROPN
接管	pengambilalihan	接管	penambilalihan	V	N;SG
一	sisi	一	sisi	NUM	N;SG
一	side	一	side	NUM	PROPN
一	samping	一	samping	NUM	N;SG
奧運	olimpiade	奧運	olimpiade	PROPN	N;SG
聯絡	hubungi	聯絡	hubungi	V	N;SG;ACT
聯絡	kontak	聯絡	kontak	V	PROPN;SG
聯絡	contact	聯絡	contact	V	PROPN
漢	tionghoa	漢	tionghoa	PROPN	N
漢	china	漢	china	PROPN	PROPN
漢	cina	漢	cina	PROPN	PROPN;SG
下載	download	下載	download	V	PROPN
下載	unduhan	下載	unduhan	V	N;SG
下載	unduh	下載	unduh	V	PROPN;SG;ACT
下載	download	下載	download	V	PROPN
下載	unduhan	下載	unduhan	V	N;SG
下載	unduh	下載	unduh	V	PROPN;SG;ACT
下載	pengunduhan	下載	penunduhan	V	N;SG
下載	pengunduhan	下載	penunduhan	V	N;SG
獅子	lion	獅子	lion	N	PROPN
獅子	singa	獅子	singa	N	PROPN;SG
獅子	singa	獅子	singa	N	PROPN;SG
獅子	lions	獅子	lions	N	PROPN
裡面	inside	裡面	inside	N	PROPN
裡面	didalam	裡面	didalam	N	ADP;SG;PASS
修道	vihara	修道	vihara	V	N
修道	biara	修道	biara	V	N
修道	biara	修道	biara	V	N
修道	abbey	修道	abbey	V	PROPN
修道	biara	修道	biara	V	N
租借	sewa	租借	sewa	N	PROPN;SG
總	pengawas	總	penawas	PART	N;SG
總	inspektur	總	inspektur	PART	N
地中	mediterania	地中	mediterania	PROPN	N;SG
釋放	rilis	釋放	rilis	V	N;SG;ACT
登記	register	登記	register	V	N
登記	pendaftaran	登記	pendaftaran	V	N;SG
登記	registrasi	登記	registrasi	V	N
學士	bachelor	學士	bachelor	N	PROPN
批判	kritis	批判	kritis	N	PROPN;SG
傀儡	wayang	傀儡	wayang	N	PROPN
馬力	malik	馬力	malik	N	PROPN
聖經	bible	聖經	bible	PROPN	PROPN
聖經	alkitab	聖經	alkitab	PROPN	N;SG
聖經	alkitabiah	聖經	alkitabiah	PROPN	N
聖經	alkitab	聖經	alkitab	PROPN	N;SG
威爾斯	wales	威爾斯	wales	PROPN	PROPN
招生	penerimaan	招生	penterimaan	V	N;SG
招生	pengakuan	招生	penakuan	V	N;SG
拱	arch	拱	arch	N	PROPN
銀河	galaxy	銀河	galaxy	PROPN	PROPN
