और	un	और	un		CONJ
सम्पन्न	pabeigti	संपन्न	pabeigt		V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
सम्पन्न	pabeigts	संपन्न	pabeigt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सम्पन्न	pabeigta	संपन्न	pabeigt		V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
सम्पन्न	gatavo	संपन्न	gatavot		V;FH;IND;2;POS;PRS;FIN;ACT
सम्पन्न	paveikts	संपन्न	paveikt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सम्पन्न	darīts	संपन्न	darīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सम्पन्न	izdarīts	संपन्न	izdarīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
हॉलीवुड	holivudas	हॉलीवुड	holivuda	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
शहीद	nomocīti	शहीद	nomocīti	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
शहीद	moceklis	शहीद	moceklis	ADJ	N;NOM;MASC;SG
तेज़	ātrāks	तेज़	ātrs		ADJ;NOM;CMPR;MASC;SG
तेज़	ātrāk	तेज़	ātri		ADV;CMPR
तेज़	ātrāka	तेज़	ātra		ADJ;NOM;CMPR;FEM;SG
तेज़	ātri	तेज़	ātri		ADV
तेज़	ātra	तेज़	ātra		ADJ;NOM;FEM;SG
तेज़	ātrs	तेज़	ātrs		ADJ;NOM;MASC;SG
तेज़	strauji	तेज़	strauji		ADV
तेज़	fast	तेज़	fast		
अल्प	alp	अल्प	alp		
अल्प	nelieli	अल्प	neliels		ADJ;NOM;MASC;PL
अल्प	neliels	अल्प	neliels		ADJ;NOM;MASC;SG
अल्प	neliela	अल्प	neliels		ADJ;NOM;FEM;SG
अल्प	nelielas	अल्प	neliela		ADJ;NOM;FEM;PL
फंड	fonda	फंड	fonds	N;NOM;MASC;SG;3	N;GEN;MASC;SG
नाक	deguna	नाक	deguna	N;NOM;FEM;SG;3	N;GEN;MASC;SG
नाक	degunu	नाक	deguns	N;NOM;FEM;SG;3	N;ACC;MASC;SG
बाई	bai	बाई	bai		
राणा	rana	राणा	rana	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
निवेदन	pieprasījumi	निवेदन	pieprasījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
निवेदन	lūgumi	निवेदन	lūgums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
निवेदन	pieprasīt	निवेदन	pieprasīt	N;NOM;MASC;SG;3	V;POS;NFIN
ब्रायन	braiens	ब्रायन	braiens	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
ब्रायन	braiens	ब्रायन	braiens	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
अनुभाग	iedaļas	अनुभाग	iedaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनुभाग	nodaļas	अनुभाग	nodaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनुभाग	sekcijas	अनुभाग	sekcija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनुभाग	sadaļas	अनुभाग	sadaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बीसवीं	divdesmitā	बीसवां	divdesmitais	PROPN;NOM;FEM;SG;3	ADJ;NOM;DEF;MASC;PL
बीसवीं	divdesmitajā	बीसवां	divdesmitais	PROPN;NOM;FEM;SG;3	ADJ;ESS;DEF;MASC;SG
रंगीन	koša	रंगीन	košs		V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
रंगीन	krāsaino	रंगीन	krāsaina		ADJ;ACC;MASC;SG
रंगीन	krāsainu	रंगीन	krāsaina		ADJ;ACC;MASC;SG
रंगीन	krāsains	रंगीन	krāsains		ADJ;NOM;MASC;SG
अपेक्षित	paredzamais	अपेक्षित	paredzēt	ADP	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
अपेक्षित	gaidīts	अपेक्षित	gaidīt	ADP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
अपेक्षित	paredzamo	अपेक्षित	paredzēt	ADP	V;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
मूलभूत	fundamentāli	मूलभूत	fundamentāls	N;NOM;MASC;SG;3	ADV
मूलभूत	noklusētā	मूलभूत	noklusēt	N;NOM;MASC;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
मूलभूत	noklusētais	मूलभूत	noklusēt	N;NOM;MASC;SG;3	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
मूलभूत	noklusējuma	मूलभूत	noklusējums	N;NOM;MASC;SG;3	N;GEN;MASC;SG
विभागों	departamenti	विभाग	departaments	N;ACC;MASC;PL;3	N;NOM;MASC;PL
विभागों	struktūrvienības	विभाग	struktūrvienība	N;ACC;MASC;PL;3	N;NOM;FEM;PL
विभागों	departamentiem	विभाग	departaments	N;ACC;MASC;PL;3	N;DAT;MASC;PL
अदा	maksāt	अदा	maksāt	ADJ	V;POS;NFIN
अदा	atalgojums	अदा	atalgojums	ADJ	N;NOM;MASC;SG
अदा	maksā	अदा	maksāt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
अदा	samaksa	अदा	samaksa	ADJ	N;NOM;FEM;SG
अदा	samaksāt	अदा	samaksāt	ADJ	V;POS;NFIN
जिम	džims	जिम	džims	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
एटा	eta	एटा	eta	PROPN;NOM;MASC;SG;3	
एटा	pil	एटा	pil	PROPN;NOM;MASC;SG;3	
उत्पादित	ražoti	उत्पादित	ražot	PROPN;NOM;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
उत्पादित	ražota	उत्पादित	ražot	PROPN;NOM;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
उत्पादित	ražotas	उत्पादित	ražot	PROPN;NOM;SG;3	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
उत्पादित	saražots	उत्पादित	saražot	PROPN;NOM;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
उत्पादित	ražots	उत्पादित	ražot	PROPN;NOM;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
दोषी	vainīgi	दोषी	vainīgi	ADJ	ADV
क्रिसमस	ziemassvētkos	क्रिसमस	ziemassvētkis	PROPN;NOM;MASC;SG;3	N;ESS;MASC;PL
क्रिसमस	ziemassvētku	क्रिसमस	ziemassvētki	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
क्रिसमस	ziemassvētkus	क्रिसमस	ziemassvētkis	PROPN;NOM;MASC;SG;3	N;ACC;MASC;PL
क्रिसमस	ziemassvētki	क्रिसमस	ziemassvētki	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
राहत	atvieglojumi	राहत	atvieglojums	N;NOM;FEM;SG;3	N;NOM;MASC;PL
गार्डन	dārzā	गार्डन	dārzs	N;NOM;MASC;SG;3	N;ESS;MASC;SG
गार्डन	dārza	गार्डन	dārzs	N;NOM;MASC;SG;3	N;GEN;MASC;SG
गार्डन	dārzam	गार्डन	dārzs	N;NOM;MASC;SG;3	N;DAT;MASC;SG
फ़्रांस	franciju	फाररांस	francija	PROPN;NOM;MASC;SG;3	PROPN;ACC;FEM;SG
फ़्रांस	francijā	फाररांस	francija	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
फ़्रांस	francija	फाररांस	francija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
फ़्रांस	france	फाररांस	france	PROPN;NOM;MASC;SG;3	
व्यंग्य	parodijas	व्यंग्य	parodija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ठंडा	saaukstēšanās	ठंडा	saaukstēšanās	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
ठंडा	auksti	ठंडा	auksti	ADJ;NOM;MASC;SG	ADV
ठंडा	aukstums	ठंडा	aukstums	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
पत्थरों	akmeņiem	पत्थर	akmens	N;ACC;MASC;PL;3	N;DAT;MASC;PL
पत्थरों	akmeņi	पत्थर	akmens	N;ACC;MASC;PL;3	N;NOM;MASC;PL
अक्ष	asis	अक्ष	asis	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रतिपादन	padarītu	प्रतिपादन	padarīt	N;NOM;MASC;SG;3	V;COND;POS;FIN;ACT
पन्ने	lapas	पन्ना	lapa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पन्ने	lappuses	पन्ना	lappuse	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मोदी	modi	मोदी	mods	PROPN;NOM;SG;3	N;ACC;MASC;SG
एपिसोड	epizodes	एपिसोड	epizode	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एपिसोड	epizodi	एपिसोड	epizode	N;NOM;MASC;SG;3	N;ACC;FEM;SG
डोमेन	sfēras	डोमेन	sfēra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
डोमेन	jomās	डोमेन	joma	N;NOM;MASC;SG;3	N;ESS;FEM;PL
मैक	mac	मैक	macēt	PROPN;NOM;MASC;SG;3	
मैक	mak	मैक	mak	PROPN;NOM;MASC;SG;3	
मध्यकालीन	viduslaiku	मध्यकालीन	viduslaiks	N;NOM;MASC;SG;3	N;ACC;MASC
पर्यावरणीय	vides	पर्यावरणीय	vide	ADJ;NOM	N;NOM;FEM;PL
पसंदीदा	grāmatzīmes	पसंदीदा	grāmatzīme	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पसंदीदा	mīļākie	पसंदीदा	mīļš	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;MASC;PL
पसंदीदा	mīļākās	पसंदीदा	mīļa	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;FEM;PL
पसंदीदा	mīļākais	पसंदीदा	mīļš	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;MASC;SG
पसंदीदा	mīļākā	पसंदीदा	mīļākā	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;FEM;SG
अनुयायी	sekotāju	अनुयायी	sekotājs	N;NOM;MASC;PL;3	N;ACC;MASC;SG
मुकदमा	pētījumā	मुकदमा	pētījums	N;NOM;MASC;SG;3	N;ESS;MASC;SG
कार्ल	kārlis	कार्ल	kārlis	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
वियतनाम	vjetnama	वियतनाम	vjetnams	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
तलवार	lens	तलवार	lens	N;NOM;FEM;SG;3	
तलवार	zobenu	तलवार	zobens	N;NOM;FEM;SG;3	N;ACC;MASC;SG
तुलनात्मक	salīdzinošo	तुलनात्मक	salīdzināt	N;NOM;MASC;SG;3	V;IPFV;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
तुलनात्मक	salīdzinošā	तुलनात्मक	salīdzināt	N;NOM;MASC;SG;3	V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
उत्पादक	produktīva	उत्पादक	produktīva	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आयरिश	īrijas	आयरिश	Īrija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
आयरिश	īru	आयरिश	īrs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अभिलेख	arhīvā	अभिलेख	arhīvs	N;NOM;MASC;SG;3	N;ESS;MASC;SG
अभिलेख	arhīvi	अभिलेख	arhīve	N;NOM;MASC;SG;3	N;NOM;MASC;PL
राजकुमारी	princeses	राजकुमारी	princese	PROPN;NOM;FEM;SG;3	N;NOM;FEM;PL
राजकुमारी	princese	राजकुमारी	princese	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
राजकुमारी	princesei	राजकुमारी	princese	PROPN;NOM;FEM;SG;3	N;DAT;FEM;SG
अनुचित	negodīgu	अनुचित	negodīga	PROPN;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
अनुचित	negodīgi	अनुचित	negodīgi	PROPN;NOM;MASC;SG;3	ADV
अनुचित	negodīgi	अनुचित	negodīgi	PROPN;NOM;MASC;SG;3	ADV
अनुचित	nepiemērota	अनुचित	nepiemērot	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
अनुचित	nepiemērots	अनुचित	nepiemērot	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
अनुचित	nepiemērotu	अनुचित	nepiemērot	PROPN;NOM;MASC;SG;3	V;PFV;ACC;INDF;MASC;SG;PST;V.PTCP
अनुचित	neatbilstoši	अनुचित	neatbilstoši	PROPN;NOM;MASC;SG;3	ADV
अनुचित	neatbilstošs	अनुचित	neatbilst	PROPN;NOM;MASC;SG;3	V;IPFV;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
कल	rīt	कल	rīt	N;NOM;MASC;SG;3	ADV
कल	vakar	कल	vakar	N;NOM;MASC;SG;3	ADV
इनकार	zaimošanu	इनकार	zaimošana	N;NOM;MASC;SG;3	N;ACC;FEM;SG
इनकार	liegt	इनकार	liegt	N;NOM;MASC;SG;3	V;POS;NFIN
इनकार	noliegt	इनकार	noliegt	N;NOM;MASC;SG;3	V;POS;NFIN
इनकार	noliedz	इनकार	noliegt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
प्रतिकूल	naidīgu	प्रतिकूल	naidīgs	PROPN;NOM;SG;3	ADJ;ACC;MASC;SG
नींद	miega	नींद	miegs	N;NOM;FEM;SG;3	N;GEN;MASC;SG
नींद	gulēt	नींद	gulēt	N;NOM;FEM;SG;3	V;POS;NFIN
नाइट	nite	नाइट	nite	N;NOM;FEM;SG;3	
बाँध	dam	बाँध	ds	PROPN;NOM;MASC;SG;3	
बाँध	dambis	बाँध	dambis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बाँध	aizsprostam	बाँध	aizsprosts	PROPN;NOM;MASC;SG;3	N;DAT;MASC;SG
विवादास्पद	pretrunīgi	विवादास्पद	pretrunīgs	ADJ	ADV
कथानक	scenārijā	कथानक	scenārija	N;NOM;MASC;SG;3	N;ESS;MASC;SG
प्रभुत्व	pārsvaru	प्रभुत्व	pārsvars	N;NOM;MASC;SG;3	N;ACC;MASC;SG
बेहतरीन	vislabāk	बेहतरीन	labi	ADJ	ADV;RL
बेहतरीन	izcili	बेहतरीन	izcils	ADJ	ADV
तालिका	galds	तालिका	galds		N;NOM;MASC;SG
तालिका	galdiņš	तालिका	galdiņš		N;NOM;MASC;SG
तालिका	tabula	तालिका	tabuls		N;NOM;FEM;SG
तालिका	galda	तालिका	galds		N;GEN;MASC;SG
वायुमंडल	atmosfērā	वायुमंडल	atmosfērs	N;NOM;MASC;SG;3	N;ESS;FEM;SG
वायुमंडल	atmosfēras	वायुमंडल	atmosfēra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
यथार्थ	īstais	यथार्थ	īsts	ADV	ADJ;NOM;MASC;SG
यथार्थ	īsta	यथार्थ	īsta	ADV	ADJ;NOM;FEM;SG
यथार्थ	reālā	यथार्थ	reāls	ADV	ADJ;NOM;FEM;SG
यथार्थ	reālās	यथार्थ	reāla	ADV	ADJ;NOM;FEM;PL
यथार्थ	īstas	यथार्थ	īsta	ADV	ADJ;NOM;FEM;PL
रहस्य	noslēpumus	रहस्य	noslēpums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
रहस्य	noslēpumi	रहस्य	noslēpums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रहस्य	noslēpumainā	रहस्य	noslēpumains	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रहस्य	secret	रहस्य	secret	N;NOM;MASC;SG;3	
रहस्य	slepeni	रहस्य	slepenis	N;NOM;MASC;SG;3	ADV
रहस्य	slepens	रहस्य	slepens	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
फसलों	kultūras	फसल	kultūra	N;ACC;FEM;PL;3	N;NOM;FEM;PL
फसलों	kultūraugi	फसल	kultūraugs	N;ACC;FEM;PL;3	N;NOM;MASC;PL
वृत्त	aprindās	वृत्त	aprinda	N;NOM;MASC;SG;3	N;ESS;FEM
वृत्त	aprindas	वृत्त	aprinda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
वृत्त	apļa	वृत्त	aplis	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मोक्ष	pestīšanas	मोक्ष	pestīšana	N;NOM;MASC;SG;3	N;GEN;FEM;SG
मोक्ष	mokšu	मोक्ष	moksts	N;NOM;MASC;SG;3	N;ACC;FEM;PL
पूरक	papildināt	पूरक	papildināt	N;NOM;MASC;SG;3	V;POS;NFIN
पूरक	papildina	पूरक	papildināt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
नाटकीय	dramatiski	नाटकीय	dramatiski	ADJ;NOM	ADV
वाशिंगटन	vašingtonas	वाशिंगटन	vašingtona	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
बर्लिन	berlīnē	बर्लिन	berlīnēt	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
बर्लिन	berlīne	बर्लिन	berlīne	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
बर्लिन	berlīnes	बर्लिन	berlīne	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
बर्लिन	berlin	बर्लिन	berlin	PROPN;NOM;MASC;SG;3	
रद्द	atcelts	रद्द	atcelt	ADJ	N;NOM;MASC;SG
रद्द	anulēts	रद्द	anulēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
रद्द	anulēta	रद्द	anulēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
रद्द	atcelts	रद्द	atcelt	ADJ	N;NOM;MASC;SG
रद्द	atsaukts	रद्द	atsaukt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
रद्द	atsaukta	रद्द	atsaukt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
रद्द	anulēta	रद्द	anulēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
पैटर्न	modeļi	पैटर्न	modelis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पैटर्न	modeļus	पैटर्न	modelis	N;NOM;MASC;SG;3	N;ACC;MASC;PL
पैटर्न	ievirzes	पैटर्न	ievirze	N;NOM;MASC;SG;3	N;NOM;FEM;PL
गोल्डन	golden	गोल्डन	golden	PROPN;NOM;MASC;SG;3	
गोल्डन	zelta	गोल्डन	zelts	PROPN;NOM;MASC;SG;3	N;GEN;MASC
प्रभु	pavēlnieks	प्रभु	pavēlnieks	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभु	kungs	प्रभु	kungs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
खण्ड	iedaļas	खण्ड	iedaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
खण्ड	nodaļas	खण्ड	nodaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
खण्ड	sekcijas	खण्ड	sekcija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
खण्ड	sadaļas	खण्ड	sadaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
खण्ड	segmenti	खण्ड	segments	N;NOM;MASC;SG;3	N;NOM;MASC;PL
खण्ड	segmentiem	खण्ड	segments	N;NOM;MASC;SG;3	N;DAT;MASC;PL
खण्ड	segmentus	खण्ड	segments	N;NOM;MASC;SG;3	N;ACC;MASC;PL
नेत्र	acī	नेत्र	acī	N;NOM;MASC;SG;3	N;ESS;FEM;SG
नेत्र	acu	नेत्र	acs	N;NOM;MASC;SG;3	N;ACC;FEM;PL
लायक	vērta	लायक	vērtīt	ADP	ADJ;NOM;FEM;SG
लायक	vērts	लायक	vērts	ADP	ADJ;NOM;MASC;SG
सांता	santa	सांत	santa	PROPN;NOM;FEM;SG;3	PROPN;NOM;FEM;SG
संगणक	datoram	संगणक	dators	N;NOM;MASC;SG;3	N;DAT;MASC;SG
संगणक	datoru	संगणक	dators	N;NOM;MASC;SG;3	N;ACC;MASC;SG
रूचि	intereses	रूचि	interese	N;NOM;FEM;SG;3	N;NOM;FEM;PL
रूचि	procentiem	रूचि	procents	N;NOM;FEM;SG;3	N;DAT;MASC;PL
रूचि	procentus	रूचि	procents	N;NOM;FEM;SG;3	N;ACC;MASC;PL
रूचि	procenti	रूचि	procents	N;NOM;FEM;SG;3	N;NOM;MASC;PL
रेगिस्तान	tuksnešiem	रेगिस्तान	tuksnesis	N;NOM;MASC;SG;3	N;DAT;MASC;PL
व्यायाम	vingrinājumi	व्यायाम	vingrinājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
एट	ēdu	एट	ēst	PROPN;NOM;MASC;SG;3	V;FH;IND;SG;1;POS;PRS;FIN;ACT
एट	apēda	एट	apēst	PROPN;NOM;MASC;SG;3	V;FH;IND;3;POS;PST;FIN;ACT
भीतरी	iekšējā	भीतरी	iekšējs	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
भीतरी	iekšējais	भीतरी	iekšējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्ववर्ती	priekšgājējs	पूर्ववर्ती	priekšgājējs	ADJ	N;NOM;MASC;SG
सेनाओं	armijas	सेना	armija	N;ACC;FEM;PL;3	N;NOM;FEM;PL
इंजीनियर	inženieris	इंजीनियर	inženieris	N;NOM;MASC;PL;3	N;NOM;MASC;SG
रोल	ripo	रोल	ripot		N
रहमान	rahman	रहमान	rahman	PROPN;NOM;MASC;SG;3	
मुफ्त	bezmaksas	मुफ्त	bezmaksa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मुफ्त	brīva	मुफ्त	brīva	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मुफ्त	free	मुफ्त	free	N;NOM;MASC;SG;3	
मुफ्त	brīvs	मुफ्त	brīvs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
लवण	sāļi	लवण	sāls	N;NOM;MASC;SG;3	N;NOM;MASC;PL
तूफान	vētras	तूफान	vētra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तूफान	vētru	तूफान	vētra	N;NOM;MASC;SG;3	N;ACC;FEM;SG
वर्णमाला	alfabētiskā	वर्णमाला	alfabētiska	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
टर्मिनल	termināli	टर्मिनल	termināli	N;NOM;MASC;SG;3	N;NOM;MASC;PL
टर्मिनल	termināļa	टर्मिनल	terminālis	N;NOM;MASC;SG;3	N;GEN;MASC;SG
दुबई	dubaijas	दुबई	dubaija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;PL
पावर	power	पावर	powērēt	N;NOM;FEM;SG;3	
पावर	jaudas	पावर	jauda	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भूत	spoks	भूत	spoks		N;NOM;MASC;SG
भूत	spoku	भूत	spoks		N;ACC;MASC;SG
भूत	rēgs	भूत	rēgs		N;NOM;MASC;SG
भूत	spoki	भूत	spoks		N;NOM;MASC;PL
क्यूबा	kubu	क्यूबा	kuba	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
क्यूबा	kubā	क्यूबा	kuba	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
क्यूबा	kuba	क्यूबा	kuba	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
संश्लेषण	sintēzi	संश्लेषण	sintēze	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मूत्र	urīnā	मूत्र	urīns	N;NOM;MASC;SG;3	N;ESS;MASC;SG
मूत्र	urīnu	मूत्र	urīns	N;NOM;MASC;SG;3	N;ACC;MASC;SG
संस्कृतियों	kultūras	संस्कृति	kultūra	N;ACC;FEM;PL;3	N;NOM;FEM;PL
उपासना	dievkalpojumu	उपासना	dievkalpojums	V;SG;FIN;ACT	N;ACC;MASC;SG
अनंत	bezgalīgu	अनंत	bezgalīga		ADJ;ACC;MASC;SG
अनंत	bezgalība	अनंत	bezgalība		N;NOM;FEM;SG
बालों	apmatojums	बाल	apmatojums	N;ACC;MASC;PL;3	N;NOM;MASC;SG
बालों	matiem	बाल	mats	N;ACC;MASC;PL;3	N;DAT;MASC;PL
बालों	mati	बाल	mats	N;ACC;MASC;PL;3	N;NOM;MASC;PL
बालों	matiņi	बाल	matiņš	N;ACC;MASC;PL;3	N;NOM;MASC;PL
कुत्ते	suņiem	कुत्ता	suns	N;NOM;MASC;SG;3	N;DAT;MASC;PL
कुत्ते	suņi	कुत्ता	suns	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कुत्ते	suņi	कुत्ता	suns	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मुँह	muti	मुँह	mute	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मुँह	mutē	मुँह	mute	N;NOM;MASC;SG;3	N;ESS;FEM;SG
मुँह	mutes	मुँह	mute	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कम्युनिस्ट	komunistu	कम्युनिस्ट	komunists	N;NOM;MASC;SG;3	N;ACC;MASC;SG
कम्युनिस्ट	komunistiskā	कम्युनिस्ट	komunistiska	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रसंग	tēmas	प्रसंग	tēma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बिहारी	bihāri	बिहारी	bihāris	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
पेड़ों	kokiem	पेड़	koks	N;ACC;MASC;PL;3	N;DAT;MASC;PL
पेड़ों	koki	पेड़	koks	N;ACC;MASC;PL;3	N;NOM;MASC;PL
अफ़ग़ानिस्तान	afganistāna	अफ़ग़ानिस्तान	afganistāna	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
इन्द्र	indra	इंद्र	indra	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
बर्तन	ēdieni	बर्तन	ēdiens	N;NOM;MASC;SG;3	N;NOM;MASC;PL
अस्वीकार	kritums	अस्वीकार	kritums		N;NOM;MASC;SG
अस्वीकार	liegt	अस्वीकार	liegt		V;POS;NFIN
अस्वीकार	noliegt	अस्वीकार	noliegt		V;POS;NFIN
अस्वीकार	noliedz	अस्वीकार	noliegt		V;FH;IND;3;POS;PRS;FIN;ACT
अस्वीकार	noraidīt	अस्वीकार	noraidīt		V;POS;NFIN
अस्वीकार	noraida	अस्वीकार	noraidīt		V;FH;IND;3;POS;PRS;FIN;ACT
हॉट	hot	हॉट	hot		
हॉट	karsts	हॉट	karsts		ADJ;NOM;MASC;SG
हॉट	karsti	हॉट	karsti		ADV
पाठकों	lasītājiem	पाठक	lasītājs	N;ACC;MASC;PL;3	N;DAT;MASC;PL
पाठकों	lasītāji	पाठक	lasītājs	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दमन	represijās	दमन	represija	N;NOM;MASC;SG;3	N;ESS;FEM;PL
दमन	represijas	दमन	represija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दमन	apspiešanu	दमन	apspiešana	N;NOM;MASC;SG;3	N;ACC;FEM;SG
नाइट्रोजन	slāpekli	नाइट्रोजन	slāpeklis	N;NOM;MASC;SG;3	N;ACC;MASC;SG
नाइट्रोजन	slāpekļa	नाइट्रोजन	slāpeklis	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मार्गदर्शन	norādījumi	मार्गदर्शन	norādījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मार्गदर्शन	vadlīnijas	मार्गदर्शन	vadlīnija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
समापन	likvidācijas	समापन	likvidācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
