den	the	den	the	PRO;DEF;MASC+FEM;SG	
operan	opera	operan	opera	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
efterträdare	etterfølger	efterträdare	etterfølg	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
blad	blader	blad	blade	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
blad	arket	blad	arke	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
blad	laken	blad	lake	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
borta	gone	borta	gone	ADV	N;INDF;SG
borta	gått	borta	gå	ADV	V;V.PTCP
borta	borte	borta	borte	ADV	ADP
segrar	triumfer	segra	triumfer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
segrar	vinner	segra	vinne	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
segrar	seiere	segra	seiere	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
segrar	seiere	segra	seiere	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
segrar	seire	segra	seire	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
drag	flytte	drag	flytte	N;NOM;INDF;NEUT;SG	V;IND;FIN
drag	flytt	drag	flytt	N;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG;V.PTCP
drag	dra	drag	dra	N;NOM;INDF;NEUT;SG	V;IMP;FIN
tillverkade	lagd	tillverkad	leggje	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
tillverkade	made	tillverkad	made	ADJ;NOM;PL;PST;V.PTCP	N;INDF;SG
tillverkade	laget	tillverkad	lag	ADJ;NOM;PL;PST;V.PTCP	N;DEF;NEUT;SG
tillverkade	fremstilt	tillverkad	fremstille	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
tillverkade	produsert	tillverkad	produsere	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
absolut	absolutt	absolut	absolutt	ADV	ADJ;INDF;NEUT;SG
absolut	absolutte	absolut	absolutt	ADV	ADJ;PL
absolut	absolutt	absolut	absolutt	ADV	ADJ;INDF;NEUT;SG
iowa	iowa	iowa	iowe	PROPN;NOM	PROPN
trädde	oppgitt	träda	oppgi	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
trädde	angitt	träda	angitt	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
torn	tårnene	torn	tårne	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
torn	tårnet	torn	tårne	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
nominerad	nominasjonen	nominera	nominasjon	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;DEF;MASC;SG
nominerad	nominasjon	nominera	nominasjon	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;INDF;MASC;SG
dance	danse	danc	danse	N;NOM;INDF;NEUT;SG	V;IMP;NFIN
utvecklat	utviklet	utvecklad	utvikle	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;NEUT;SG
utvecklat	utviklede	utvecklad	utviklede	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;PL
utvecklat	utviklet	utvecklad	utvikle	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;NEUT;SG
förare	førere	förare	førere	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
förare	sjåfør	förare	sjåfør	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
raymond	raymond	raymond	raymond	PROPN;NOM	N;INDF;MASC;SG
borgmästare	ordfører	borgmästare	ordføre	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
eugen	eugen	eugen	eugen	PROPN;NOM	N;INDF;MASC;SG
folkmängd	befolkningen	folkmängd	befolkning	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
lyder	adlyder	lyda	adlyde	V;IND;PRS;FIN;ACT	N;INDF;MASC;PL
prinsessan	prinsesse	prinsessa	prinsesse	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
cooper	cooper	coop	coope	PROPN;NOM	N;INDF;NEUT;SG
botswana	botswana	botswana	botswane	PROPN;NOM	N;DEF;NEUT;PL
stannade	sluttet	stanna	slutt	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
stannade	stoppes	stanna	stoppes	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
stannade	stoppet	stanna	stopp	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
stannade	stanset	stanna	stanse	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
stannade	slutta	stanna	slutte	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
stannade	stoppa	stanna	stoppe	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
stannade	ble	stanna	ble	V;IND;PST;FIN;ACT	
stannade	forblitt	stanna	forbli	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
stannade	forble	stanna	forble	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
anslöt	sluttet	anslöta	slutt	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
donald	donald	donal	donald	PROPN;NOM	N;INDF;MASC;SG
nederländska	nederlendere	nederländsk	nederlendere	N;NOM;INDF;MASC+FEM;SG	V;NFIN
nederländska	hollandsk	nederländsk	hollandsk	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
stan	stan	stad	stan	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
redigera	rediger	rediger	redig	V;IMP;FIN;ACT	N;INDF;MASC;PL
redigera	edit	rediger	edit	V;IMP;FIN;ACT	N;INDF;NEUT;SG
redigera	redigering	rediger	redigering	V;IMP;FIN;ACT	N;INDF;FEM;SG
redigera	redigerer	rediger	redigere	V;IMP;FIN;ACT	V;IND;PRS;FIN
redigera	redigering	rediger	redigering	V;IMP;FIN;ACT	N;INDF;FEM;SG
premier	premier	premie	premie	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
täckvävarspindlar	linyphiidae	täckvävarspindla	linyphiid	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
förlust	tapene	förlust	tape	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;PL
säte	sete	säte	sitje	N;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG;V.PTCP
vald	utvalgte	välja	utvalg	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;PL
vald	utvalgte	välja	utvalg	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;PL
vald	valgte	välja	velge	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;IND;PST;FIN
andre	andre	annan	annan	ADJ;NOM;DEF;MASC;SG	DET;PL
andre	andré	annan	annan	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
spencer	spencer	spencer	spencer	PROPN;NOM	N;INDF;NEUT;SG
handel	bytte	handel	byte	N;NOM;INDF;MASC+FEM;SG	ADJ;PL;V.PTCP
utbildade	utdanna	utbilda	utdanne	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
utbildade	utdannede	utbilda	utdannede	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
utbildade	utdannet	utbilda	utdann	ADJ;NOM;PL;PST;V.PTCP	N;DEF;NEUT;SG
utbildade	trent	utbilda	trenfe	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
utbildade	opplært	utbilda	opplære	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG
gatan	gate	gata	gate	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
gatan	street	gata	stre	N;NOM;DEF;MASC+FEM;SG	PROPN
genomförde	gjennomført	genomföra	gjennomføre	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
idéer	idéer	idé	idé	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
musikaliska	musical	musikalisk	musical	ADJ;NOM;PL	N
musikaliska	musikal	musikalisk	musikal	ADJ;NOM;PL	N;INDF;MASC;SG
musikaliska	musikalsk	musikalisk	musikalsk	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
jon	jon	jon	jon	PROPN;NOM	N;MASC
profil	profilen	profil	profil	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
anhängare	følgere	anhängare	følgere	N;NOM;INDF;MASC+FEM;PL	V;IMP;FIN
anhängare	followers	anhängare	followers	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
anhängare	tilhengere	anhängare	tilhengere	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
anhängare	støttespillere	anhängare	støttespillere	N;NOM;INDF;MASC+FEM;PL	V;NFIN
anhängare	supportere	anhängare	supportere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
anhängare	tilhengere	anhängare	tilhengere	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
anhängare	tilhenger	anhängare	tilhenger	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN
higgins	higgins	higga	higgins	PROPN;NOM	N;INDF;MASC;SG
semifinal	semifinalen	semifinal	semifinale	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
thailand	thailand	thailand	thailand	PROPN;NOM	N;INDF;NEUT;SG
thailand	thailands	thailand	thailands	PROPN;NOM	N;INDF;MASC;SG
förbi	fortida	förbi	fortid	ADV	N;DEF;FEM;SG
förbi	fortiden	förbi	fortid	ADV	N;DEF;MASC;SG
förbi	fortid	förbi	fortid	ADV	N;INDF;FEM;SG
förbi	forbi	förbi	forbi	ADV	ADP
förbi	past	förbi	past	ADV	N;INDF
medborgare	borgere	medborgare	borgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
medborgare	innbyggere	medborgare	innbyggere	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
medborgare	statsborgere	medborgare	statsborgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
medborgare	statsborgere	medborgare	statsborgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
medborgare	statsborger	medborgare	statsborge	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
medborgare	borger	medborgare	borg	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
polsk	polsk	polsk	polsk	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
pakistan	pakistan	pakistan	pakistan	PROPN;NOM	N;INDF;MASC;SG
petter	petter	pett	petter	PROPN;NOM	N;MASC
page	siden	page	siden	V;IMP;FIN;ACT	
page	sida	page	side	V;IMP;FIN;ACT	N;DEF;FEM;SG
page	side	page	side	V;IMP;FIN;ACT	N;INDF;FEM;SG
page	page	page	page	V;IMP;FIN;ACT	N;INDF;MASC;SG
behandlar	godbiter	behandla	godbite	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
asplenium	asplenium	asplenium	asplenium	V;IMP;FIN;ACT	N;INDF;MASC;SG
clara	clara	clara	clare	PROPN;NOM	PROPN
styrelsen	brettspill	styrelse	brettspill	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
styrelsen	board	styrelse	board	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
mittfältare	midtbane	mittfältare	midtb	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
erövrade	erobret	erövra	erobr	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
swedish	engelsk	swedish	engelsk	PROPN;NOM	N;INDF;MASC;SG
motala	motala	motal	motale	PROPN;NOM	N;DEF;FEM;SG
kjell	kjell	kjell	kjell	PROPN;NOM	N;MASC
söker	kikker	söka	kikker	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
söker	looking	söka	looking	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
söker	titter	söka	titter	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
söker	søker	söka	søke	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
söker	søke	söka	søk	V;IND;PRS;FIN;ACT	V;IMP;NFIN
söker	leting	söka	leting	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
söker	søker	söka	søke	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
allierade	alliert	alliera	alliere	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
allierade	forbundsfelle	alliera	forbundsfelle	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
allierade	ally	alliera	ally	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
torsten	torsten	torst	torst	PROPN;NOM	N;INDF;MASC;SG
jason	jason	jason	jason	PROPN;NOM	N;INDF;MASC;SG
tyrolen	tirol	tyrol	tirol	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
tyrolen	tirol	tyrol	tirol	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
jens	jens	jen	jense	PROPN;NOM	N;MASC
let	let	leta	la	N;NOM;INDF;NEUT;SG	V;IMP;FIN
let	la	leta	leggje	N;NOM;INDF;NEUT;SG	V;IMP;FIN
kelly	kelly	kelly	kelly	PROPN;NOM	N;INDF;FEM;SG
evans	evans	evans	evans	PROPN;NOM	N;INDF;MASC;SG
skillnaden	forskjell	skillnad	forskjell	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byggt	bygget	bygga	bygg	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;NEUT;SG
byggt	bygde	bygga	byggje	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;PL;V.PTCP
baserade	basert	basera	basere	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
lokalt	lokale	lokal	lokal	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
lokalt	local	lokal	local	ADJ;NOM;INDF;NEUT;SG	N
dokument	dokumentet	dokument	dokument	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
dokument	dokumentere	dokument	dokumentere	N;NOM;INDF;NEUT;SG	V;NFIN
dokument	dokumenter	dokument	dokumenter	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
träffar	fulltreffere	träffa	fulltreffere	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
träffar	hits	träffa	hits	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
benjamin	benjamin	benjamin	benjamin	PROPN;NOM	N;INDF;MASC;SG
förbättra	forbedrer	förbättra	forbedre	V;IMP;FIN;ACT	N;INDF;MASC;PL
diskussioner	diskusjoner	diskussion	diskusjon	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
diskussioner	diskusjon	diskussion	diskusjon	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
hotell	hotels	hotell	hotels	N;NOM;INDF;NEUT;SG	ADJ;PL
hotell	hoteller	hotell	hotelle	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
abraham	abraham	abraham	abraham	PROPN;NOM	N;INDF;MASC;SG
resor	reise	resa	reise	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
resor	turene	resa	tur	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
omedelbart	omgående	omedelbar	omgående	ADV	N;INDF;NEUT;SG
omedelbart	øyeblikkelig	omedelbar	øyeblikkelig	ADV	N;INDF;MASC;SG
omedelbart	umiddelbart	omedelbar	umiddelbar	ADV	ADJ;INDF;NEUT;SG
omedelbart	umiddelbar	omedelbar	umiddelbar	ADV	ADJ;INDF;SG
omedelbart	øyeblikkelig	omedelbar	øyeblikkelig	ADV	N;INDF;MASC;SG
omedelbart	øyeblikkelig	omedelbar	øyeblikkelig	ADV	N;INDF;MASC;SG
omedelbart	umiddelbart	omedelbar	umiddelbar	ADV	ADJ;INDF;NEUT;SG
omedelbart	momentant	omedelbar	momentant	ADV	N;INDF;MASC;SG
diverse	ymse	diverse	ymis	N;NOM;INDF;MASC+FEM;PL	ADJ;PL
diverse	diverse	diverse	diverse	N;NOM;INDF;MASC+FEM;PL	ADJ;PL
diverse	diverse	diverse	diverse	N;NOM;INDF;MASC+FEM;PL	ADJ;PL
diverse	diverse	diverse	diverse	N;NOM;INDF;MASC+FEM;PL	ADJ;PL
fordon	kjøretøyer	fordon	kjøretøy	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
fordon	kjøretøy	fordon	kjøretøy	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
fordon	kjøretøy	fordon	kjøretøy	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
väljer	velg	välja	velg	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
väljer	velge	välja	velge	V;IND;PRS;FIN;ACT	V;IMP;FIN
väljer	velge	välja	velge	V;IND;PRS;FIN;ACT	V;IMP;FIN
framtiden	fremtidig	framtid	fremtidig	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
framtiden	future	framtid	future	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
framtiden	fremtid	framtid	fremtid	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
framtiden	framtid	framtid	framtid	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
holm	holm	holm	holm	PROPN;NOM	N;INDF;FEM;SG
baja	baja	baja	baje	PROPN;NOM	N;INDF;FEM;SG
lokaler	lokalene	lokal	lokale	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
eventuellt	muligens	eventuell	mulig	ADJ;NOM;INDF;NEUT;SG	N;GEN;DEF;MASC;SG
götalands	götaland	götaland	götaland	PROPN;NOM	N;INDF;MASC;SG
toronto	toronto	toronto	toronto	PROPN;NOM	N;INDF;MASC;SG
österrikiska	østerriksk	österrikisk	østerriksk	ADJ;NOM;PL	N;INDF;MASC;SG
córdoba	córdoba	cardob	cprdobe	PROPN;NOM	N;INDF;SG
antoine	antoine	antoine	antoine	PROPN;NOM	N;INDF;MASC;SG
judiska	jødisk	judisk	jødisk	ADJ;NOM;PL	ADJ;INDF;SG
saga	saga	saga	sag	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
deltagande	deltar	deltagande	delta	N;NOM;INDF;NEUT;SG	V;IND;PRS;FIN
jane	jane	jane	jane	PROPN;NOM	N;INDF;FEM;SG
carlo	carlo	carlo	carlo	PROPN;NOM	N;INDF;MASC;SG
shandong	shandong	shandong	shandong	PROPN;NOM	N;INDF;NEUT;SG
tillfälle	anledningen	tillfälle	anledning	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
margaret	margareth	margar	margareth	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
margaret	margrete	margar	margrete	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
georgetown	georgetown	georgeton	georgetown	PROPN;NOM	N;INDF;MASC;SG
birgitta	birgitta	birgitta	birgitt	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
birgitta	bridget	birgitta	bridg	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
götaland	götaland	götaland	götaland	PROPN;NOM	N;INDF;MASC;SG
förklarade	erklært	förklara	erklære	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
förklarade	erklæres	förklara	erklæres	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
förklarade	forklares	förklara	forklare	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
förklarade	forklart	förklara	forklare	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
köra	kjøre	köra	kjøre	V;IMP;FIN;ACT	N;INDF;MASC;SG
köra	drive	köra	drive	V;IMP;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
köra	kjør	köra	kjør	V;IMP;FIN;ACT	N;INDF;MASC;SG
köra	kjøring	köra	kjøring	V;IMP;FIN;ACT	N;INDF;FEM;SG
köra	kjører	köra	kjøre	V;IMP;FIN;ACT	V;IND;PRS;FIN
traditionellt	tradisjonelle	traditionell	tradisjonell	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
krävde	forlangte	kräva	forlange	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
krävde	forlangt	kräva	forlang	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
krävde	krevde	kräva	krevje	V;IND;PST;FIN;ACT	ADJ;PL;V.PTCP
irak	irak	irak	irak	PROPN;NOM	N;INDF;NEUT;SG
referenser	referanser	referens	referanse	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
referenser	refererer	referens	referere	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN
bbc	bbc	bbc	bbc	PROPN;NOM	N
marshall	marshall	marshall	marshall	PROPN;NOM	N;INDF;MASC;SG
ombord	ombord	ombord	ombord	ADV	ADP
ombord	ombord	ombord	ombord	ADV	ADP
antogs	adoptert	anta	adoptere	V;IND;PST;FIN;PASS	ADJ;INDF;SG;V.PTCP
antogs	vedtatt	anta	vedta	V;IND;PST;FIN;PASS	ADJ;INDF;SG;V.PTCP
antogs	implementert	anta	implementere	V;IND;PST;FIN;PASS	ADJ;INDF;SG;V.PTCP
delade	delte	delad	delte	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
delade	delt	delad	dele	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
kalendern	kalender	kalender	kalende	N;NOM;DEF;NEUT;SG	N;INDF;FEM;PL
organ	kropper	organ	kropper	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
diplomat	diplomat	diplom	diplomat	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;INDF;MASC;SG
thomson	thompson	thomson	thompson	PROPN;NOM	N;INDF;MASC;SG
thomson	thomson	thomson	thomson	PROPN;NOM	N;INDF;MASC;SG
enstaka	single	enstaka	single	ADJ;NOM	N;INDF;MASC;SG
enstaka	singel	enstaka	singel	ADJ;NOM	N;INDF;MASC;SG
tillverkad	made	tillverkad	made	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;INDF;SG
tillverkad	laget	tillverkad	lag	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;DEF;NEUT;SG
emma	emma	emma	emma	PROPN;NOM	N;INDF;FEM;SG
borgerliga	borgerlig	borgerlig	borgerlig	ADJ;NOM;PL	N;INDF;MASC;SG
bohuslän	bohuslän	bohuslän	bohuslän	PROPN;NOM	N;INDF;MASC;SG
montenegro	montenegros	montenegro	montenegros	PROPN;NOM	N;INDF;MASC;SG
montenegro	montenegro	montenegro	montenegro	PROPN;NOM	N;INDF;NEUT;SG
lanserades	lansert	lansera	lansere	V;IND;PST;FIN;PASS	ADJ;INDF;SG;V.PTCP
lanserades	sjøsatt	lansera	sjøsatt	V;IND;PST;FIN;PASS	ADJ;INDF;NEUT;SG
rörande	berøre	röra	berøre	ADJ;NOM;PRS;V.PTCP	N;INDF;MASC;SG
rörande	berører	röra	berøre	ADJ;NOM;PRS;V.PTCP	V;IND;PRS;FIN
rörande	berøring	röra	berøring	ADJ;NOM;PRS;V.PTCP	N;INDF;FEM;SG
rörande	gripende	röra	gripende	ADJ;NOM;PRS;V.PTCP	N;INDF;NEUT;SG
rörande	rørende	röra	rørende	ADJ;NOM;PRS;V.PTCP	N;INDF;FEM;SG
dålig	ille	dålig	ille	ADJ;NOM;INDF;MASC+FEM;SG	ADV
dålig	slem	dålig	slem	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
veckan	uken	vecka	uken	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
veckan	uke	vecka	uke	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
veckan	uka	vecka	uka	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
veckan	ukedager	vecka	ukedag	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
veckan	ukentlige	vecka	ukentlig	N;NOM;DEF;MASC+FEM;SG	ADJ;PL
veckan	ukentlig	vecka	ukentlig	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
burkina	burkina	burkin	burkin	PROPN;NOM	N;INDF;NEUT;SG
ola	ola	ola	ole	PROPN;NOM	N;MASC
deltagit	deltok	delta	delta	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;IND;PST;FIN
körde	kjørt	köra	kjøre	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
kritiker	kritikere	kritik	kritikere	N;NOM;INDF;MASC+FEM;PL	V;NFIN
kritiker	kritiker	kritik	kritiker	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
motståndare	motstandere	motståndare	motstandere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
motståndare	motstanderne	motståndare	motstanderne	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
motståndare	motstander	motståndare	motstand	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
häst	hesten	häst	hest	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
grå	grå	grå	grå	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
grå	grått	grå	grå	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
grå	grå	grå	grå	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
tyckte	tanke	tycka	tanke	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
förstå	forstår	förstå	forstå	V;IMP;FIN;ACT	V;IND;PRS;FIN
förstå	skjønner	förstå	skjønne	V;IMP;FIN;ACT	V;IND;PRS;FIN
förstå	forståelse	förstå	forståelse	V;IMP;FIN;ACT	N;INDF;MASC;SG
förstå	forståelsesfull	förstå	forståelsesfull	V;IMP;FIN;ACT	N;INDF;MASC;SG
strider	slagene	strid	slag	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
äktenskapet	ekteskap	äktenskap	ekteskap	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
flandern	flandern	flander	flandern	PROPN;NOM	N;INDF;MASC;SG
carter	carter	cart	cart	PROPN;NOM	N;INDF;MASC;SG
stiftelsen	foundation	stiftelse	foundation	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
stiftelsen	stiftelse	stiftelse	stiftelse	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
mord	mordene	mord	morde	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
mord	myrde	mord	myrde	N;NOM;INDF;NEUT;SG	ADJ;PL
naturen	natur	natur	natur	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
naturen	nature	natur	nature	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
enkla	enkelt	enkel	enkel	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
enkla	enkel	enkel	enkel	ADJ;NOM;PL	ADJ;INDF;SG
dave	dave	dav	dave	PROPN;NOM	N;INDF;FEM;SG
singlar	single	singla	single	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
dalsland	dalsland	dalsland	dalsland	PROPN;NOM	N;INDF;NEUT;SG
resulterade	resultert	resultera	resultere	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
låga	flamme	låg	flamme	ADJ;NOM;PL	N;INDF;FEM;SG
låga	lavmål	låg	lavmål	ADJ;NOM;PL	N;INDF;NEUT;SG
låga	lav	låg	lav	ADJ;NOM;PL	N;INDF;NEUT;SG
