les	the	le	the	DET;DEF;PL	
rose	pink	rose	pink	ADJ;FEM;SG	
rose	hồng	rose	hồng	ADJ;FEM;SG	N
rose	rose	rose	rose	ADJ;FEM;SG	
rose	ngợi	rose	ngợi	ADJ;FEM;SG	V
disque	đĩa	disque	đĩa	N;MASC;SG	
disque	đĩa	disque	đĩa	N;MASC;SG	
recensement	census	recensement	census	N;MASC;SG	
ouvert	má	ouvrir	má	V;MASC;SG;PST;V.PTCP	N
astéroïdes	asteroids	astéroïde	asteroids	N;MASC;PL	
nécessaire	thiết	nécessaire	thiết	ADJ;MASC;SG	V
nécessaire	ấp	nécessaire	ấp	ADJ;MASC;SG	N
tom	tom	tom	tom	PROPN	N
modèles	templates	modèle	templates	N;MASC;PL	V
meilleurs	nhất	meilleur	nhất	ADJ;MASC;PL	
cheval	cheval	cheval	cheval	N;MASC;SG	V
débuts	debut	début	debut	N;MASC;PL	
milan	milan	milan	milan	PROPN	N
milan	milano	milan	milano	PROPN	NUM
milan	milano	milan	milano	PROPN	NUM
rive	rive	rive	rive	N;FEM;SG	
rive	shore	rive	shore	N;FEM;SG	
raymond	raymond	raymond	raymond	PROPN	
jardin	garden	jardin	garden	N;MASC;SG	
internes	nội	interne	nội	ADJ;MASC;PL	N
portugal	portugal	portugal	portugal	ADJ;MASC;SG	NUM
vert	lục	vert	lục	ADJ;MASC;SG	N
vert	vert	vert	vert	ADJ;MASC;SG	N
strasbourg	strasbourg	strasbourg	strasbourg	PROPN	
frank	frank	frank	frank	PROPN	
olivier	oliver	olivier	oliver	PROPN	
olivier	olivier	olivier	olivier	PROPN	
catherine	catherine	catherine	catherine	N;FEM;SG	
inde	inde	inde	inde	PROPN	N
navire	ship	navire	ship	N;MASC;SG	V
baptiste	baptiste	baptiste	baptiste	N;MASC;SG	
étudiants	bmi	étudiant	bmi	N;MASC;PL	NUM
apparition	nhê	apparition	nhê	N;FEM;SG	ADJ
manque	thiếu	manque	thiếu	N;MASC;SG	V
plein	say	plein	say	ADJ;MASC;SG	V
plein	full	plein	full	ADJ;MASC;SG	
naturel	chích	naturel	chích	ADJ;MASC;SG	V
franco	franco	franco	franco	N;MASC;SG	
simplement	chỉ	simplement	chỉ	ADV	
simplement	funny	simplement	funny	ADV	N
pourtant	chưa	pourtant	chưa	ADV	
pourtant	vân	pourtant	vân	ADV	N
pourtant	thinh	pourtant	thinh	ADV	
gérard	gérard	gérard	gérard	PROPN	
gérard	gerard	gérard	gerard	PROPN	
gérard	gerard	gérard	gerard	PROPN	
gardien	guardian	gardien	guardian	N;MASC;SG	
appelle	call	appeler	call	V;IND;SG;3;PRS;FIN	
appelle	cẩm	appeler	cẩm	V;IND;SG;3;PRS;FIN	N
dramatique	dramatique	dramatique	dramatique	ADJ;MASC;SG	
dramatique	drama	dramatique	drama	ADJ;MASC;SG	N
dramatique	kịch	dramatique	kịch	ADJ;MASC;SG	N
dramatique	kịch	dramatique	kịch	ADJ;MASC;SG	N
restauration	catering	restauration	catering	N;FEM;SG	
draft	nháp	draft	nháp	PROPN	V
marne	marne	marne	marne	N;FEM;SG	NUM
prison	giam	prison	giam	N;FEM;SG	V
capacité	capability	capacité	capability	N;FEM;SG	ADJ
littéraire	littéraire	littéraire	littéraire	ADJ;MASC;SG	
étoile	star	étoile	star	N;FEM;SG	
marche	march	marche	march	N;FEM;SG	
jaune	vàng	jaune	vàng	ADJ;MASC;SG	N
jaune	nhát	jaune	nhát	ADJ;MASC;SG	V
serbie	serbia	serbier	serbia	PROPN	N
masse	nhái	masse	nhái	N;FEM;SG	V
masse	mass	masse	mass	N;FEM;SG	
arc	rainbow	arc	rainbow	N;MASC;SG	
arc	cra	arc	cra	N;MASC;SG	
arc	cung	arc	cung	N;MASC;SG	V
arc	bow	arc	bow	N;MASC;SG	
tombe	ngã	tomber	ngã	V;IND;SG;3;PRS;FIN	N
tombe	falls	tomber	falls	V;IND;SG;3;PRS;FIN	N
tombe	thác	tomber	thác	V;IND;SG;3;PRS;FIN	N
tombe	mộ	tomber	mộ	V;IND;SG;3;PRS;FIN	N
tombe	tomb	tomber	tomb	V;IND;SG;3;PRS;FIN	N
tombe	tombe	tomber	tombe	V;IND;SG;3;PRS;FIN	
tombe	mộ	tomber	mộ	V;IND;SG;3;PRS;FIN	N
tombe	mồ	tomber	mồ	V;IND;SG;3;PRS;FIN	N
vrai	real	vrai	real	ADJ;MASC;SG	N
vrai	thực	vrai	thực	ADJ;MASC;SG	V
vrai	thật	vrai	thật	ADJ;MASC;SG	PART
vrai	thiệt	vrai	thiệt	ADJ;MASC;SG	PART
vrai	thật	vrai	thật	ADJ;MASC;SG	PART
arabe	arab	arabe	arab	ADJ;MASC;SG	N
arabe	arabian	arabe	arabian	ADJ;MASC;SG	
acte	act	acte	act	N;MASC;SG	NUM
arthur	arthur	arthur	arthur	N;MASC;SG	
live	sống	live	sống	PROPN	V
live	live	live	live	PROPN	
santa	trã	santa	trã	PROPN	V
santa	santa	santa	santa	PROPN	
civile	civil	civil	civil	ADJ;FEM;SG	
essai	test	essai	test	N;MASC;SG	V
essai	thử	essai	thử	N;MASC;SG	V
écosse	scotland	écosse	scotland	PROPN	
héros	hoàn	héros	hoàn	N;MASC;SG	
nantes	nantes	nant	nantes	PROPN	N
filles	girls	fille	girls	N;FEM;PL	
filles	babes	fille	babes	N;FEM;PL	
midi	noon	midi	noon	N;MASC;SG	
aura	aura	avoir	aura	V;IND;SG;3;FUT;FIN	N
ciel	ciel	ciel	ciel	N;MASC;SG	
ciel	sky	ciel	sky	N;MASC;SG	
anti	anti	anti	anti	N;MASC;SG	
rang	rang	rang	rang	N;MASC;SG	
occidentale	tây	occidental	tây	ADJ;FEM;SG	N
occidentale	tây	occidental	tây	ADJ;FEM;SG	N
washington	washington	washington	washington	N;MASC;SG	
rurale	rural	rural	rural	ADJ;FEM;SG	NUM
maladie	maladie	maladie	maladie	N;FEM;SG	
king	king	king	king	PROPN	
king	guy	king	guy	PROPN	
king	vua	king	vua	PROPN	N
dictionnaire	dictionnaire	dictionnaire	dictionnaire	N;MASC;SG	
préfecture	préfecture	préfecture	préfecture	N;FEM;SG	V
futur	lai	futur	lai	ADJ;MASC;SG	
objectif	lens	objectif	lens	N;MASC;SG	
objectif	đo	objectif	đo	N;MASC;SG	V
objectif	đo	objectif	đo	N;MASC;SG	V
sorte	xếp	sorte	xếp	N;FEM;SG	V
actes	deeds	acte	deeds	N;MASC;PL	
irlande	ireland	irlande	ireland	N;MASC;SG	
hongrie	hungary	hongrie	hungary	ADJ;FEM;SG	N
peine	đau	peine	đau	N;FEM;SG	ADJ
britanniques	british	britannique	british	ADJ;MASC;PL	N
importants	trọng	important	trọng	ADJ;MASC;PL	
guerres	war	guerre	war	N;FEM;PL	
yves	yves	yve	yves	PROPN	
yves	stanley	yve	stanley	PROPN	
brigade	squad	brigade	squad	N;FEM;SG	
madrid	madrid	madrid	madrid	PROPN	N
japonaise	nhật	japonais	nhật	ADJ;FEM;SG	
désigner	designate	désigner	designate	V;NFIN	N
genève	geneve	genève	geneve	ADJ;FEM;SG	
remplacé	superseded	remplacer	superseded	V;MASC;SG;PST;V.PTCP	
fleuve	fleuve	fleuve	fleuve	N;MASC;SG	
vraiment	thực	vraiment	thực	ADV	V
vraiment	thật	vraiment	thật	ADV	PART
argentine	argentina	argentin	argentina	ADJ;FEM;SG	
argentine	argentina	argentin	argentina	ADJ;FEM;SG	
argentine	argentine	argentin	argentine	ADJ;FEM;SG	N
salon	lounge	salon	lounge	N;MASC;SG	
salon	salon	salon	salon	N;MASC;SG	
écriture	viết	écriture	viết	N;FEM;SG	V
écriture	ghi	écriture	ghi	N;FEM;SG	V
écriture	écriture	écriture	écriture	N;FEM;SG	
libération	release	libération	release	N;FEM;SG	
libération	nhả	libération	nhả	N;FEM;SG	V
die	die	der	die		
die	chết	der	chết		V
réunion	họp	réunion	họp	N;FEM;SG	V
trente	trente	trente	trente	NUM	
trente	thirty	trente	thirty	NUM	
julien	julian	julien	julian	PROPN	
julien	julien	julien	julien	PROPN	
chasse	hunt	chasse	hunt	N;FEM;SG	
orléans	orleans	orléan	orleans	N;MASC;SG	
orléans	orléans	orléan	orléans	N;MASC;SG	
propres	chính	propre	chính	ADJ;MASC;PL	PART
mixte	võ	mixte	võ	ADJ;MASC;SG	N
gmina	gmina	gmina	gmina	N;MASC;SG	
juan	juan	juan	juan	PROPN	N
véritable	real	véritable	real	ADJ;MASC;SG	N
véritable	thực	véritable	thực	ADJ;MASC;SG	V
véritable	thật	véritable	thật	ADJ;MASC;SG	PART
véritable	thiệt	véritable	thiệt	ADJ;MASC;SG	PART
véritable	thật	véritable	thật	ADJ;MASC;SG	PART
lee	lee	lee	lee	PROPN	N
rapide	rapid	rapide	rapid	ADJ;MASC;SG	
traduit	dịch	traduire	dịch	V;MASC;SG;PST;V.PTCP	
chœur	chorus	chœur	chorus	N;MASC;SG	
léon	léon	léon	léon	N;MASC;SG	
léon	leon	léon	leon	N;MASC;SG	
léon	leo	léon	leo	N;MASC;SG	V
naturelle	chích	naturel	chích	ADJ;FEM;SG	V
fusion	trộn	fusion	trộn	N;FEM;SG	V
fusion	fusion	fusion	fusion	N;FEM;SG	
commandement	lệnh	commandement	lệnh	N;MASC;SG	
mairie	mairie	mairie	mairie	N;FEM;SG	
jan	jan	jan	jan	N;MASC;SG	
sang	sang	sang	sang	N;MASC;SG	V
jeanne	jane	jeanne	jane	N;FEM;SG	
yeux	eye	oeil	eye	N;MASC;PL	
all	hết	all	hết		V
reprise	cv	reprendre	cv	V;FEM;SG;PST;V.PTCP	N
reprise	resume	reprendre	resume	V;FEM;SG;PST;V.PTCP	N
antonio	antonio	antonio	antonio	PROPN	
magnitude	magnitude	magnitude	magnitude	N;FEM;SG	
emploi	jobs	emploi	jobs	N;MASC;SG	
québécois	québécois	québécois	québécois	ADJ;MASC;SG	
québécois	quebec	québécois	quebec	ADJ;MASC;SG	N
quel	gì	quel	gì	DET;MASC;SG	PROPN
importantes	trọng	important	trọng	ADJ;FEM;PL	
brun	brown	brun	brown	ADJ;MASC;SG	
brun	nâu	brun	nâu	ADJ;MASC;SG	N
faune	hiking	faune	hiking	N;FEM;SG	
faite	chế	faire	chế	V;FEM;SG;PST;V.PTCP	N
faite	lam	faire	lam	V;FEM;SG;PST;V.PTCP	N
baron	baron	baron	baron	N;MASC;SG	
bosnie	bô	bosnie	bô	PROPN	N
égypte	égypte	égypte	égypte	N;FEM;SG	
avenue	avenue	avenue	avenue	N;FEM;SG	
blocage	chặn	blocage	chặn	N;MASC;SG	V
blocage	block	blocage	block	N;MASC;SG	
blocage	chặn	blocage	chặn	N;MASC;SG	V
dominique	dominic	dominique	dominic	ADJ;MASC;SG	N
dominique	dominique	dominique	dominique	ADJ;MASC;SG	
dominique	dominica	dominique	dominica	ADJ;MASC;SG	N
serbe	serbia	serbe	serbia	ADJ;MASC;SG	N
christophe	chris	christophe	chris	N;MASC;SG	
christophe	christopher	christophe	christopher	N;MASC;SG	V
christophe	christophe	christophe	christophe	N;MASC;SG	
devrait	nên	devoir	nên	V;COND;SG;3;PRS;FIN	CONJ
francis	phanxicô	francis	phanxicô	PROPN	N
francis	francis	francis	francis	PROPN	
bout	bout	bout	bout	N;MASC;SG	
cent	cent	cent	cent	NUM	
voiture	car	voiture	car	N;FEM;SG	
disney	disney	disney	disney	N;MASC;SG	
chute	sáp	chute	sáp	N;FEM;SG	V
chute	rơi	chute	rơi	N;FEM;SG	V
chute	sút	chute	sút	N;FEM;SG	V
chute	rơi	chute	rơi	N;FEM;SG	V
étranger	alien	étranger	alien	N;MASC;SG	
sièges	seating	siège	seating	N;MASC;PL	
secret	mật	secret	mật	ADJ;MASC;SG	N
secret	bí	secret	bí	ADJ;MASC;SG	N
couple	couple	couple	couple	N;MASC;SG	
couple	đôi	couple	đôi	N;MASC;SG	NUM
couple	torque	couple	torque	N;MASC;SG	
publics	công	public	công	ADJ;MASC;PL	N
col	col	col	col	N;MASC;SG	
col	collar	col	collar	N;MASC;SG	
mary	mary	mary	mary	PROPN	
différence	diff	différence	diff	N;FEM;SG	
musicale	nhạc	musical	nhạc	ADJ;FEM;SG	V
musicale	musical	musical	musical	ADJ;FEM;SG	N
connexe	related	connexe	related	ADJ;MASC;SG	V
changement	đổi	changement	đổi	N;MASC;SG	V
changement	thay	changement	thay	N;MASC;SG	V
privée	tư	priver	tư	V;FEM;SG;PST;V.PTCP	NUM
électrique	điện	électrique	điện	ADJ;MASC;SG	N
électrique	điện	électrique	điện	ADJ;MASC;SG	N
vite	mau	vite	mau	ADV	ADJ
vite	nhanh	vite	nhanh	ADV	ADJ
vite	mau	vite	mau	ADV	ADJ
vite	nhanh	vite	nhanh	ADV	ADJ
vite	nhanh	vite	nhanh	ADV	ADJ
identité	identity	identité	identity	N;FEM;SG	
normandie	normandie	normandie	normandie	N;FEM;SG	NUM
sportive	sport	sportif	sport	ADJ;FEM;SG	N
hommage	homage	hommage	homage	N;MASC;SG	ADJ
rio	rio	rio	rio	PROPN	N
francisco	francisco	francisco	francisco	PROPN	
néerlandais	bản	néerlandais	bản	ADJ;MASC;SG	N
néerlandais	hoà	néerlandais	hoà	ADJ;MASC;SG	
néerlandais	dutch	néerlandais	dutch	ADJ;MASC;SG	N
complexe	complex	complexe	complex	ADJ;MASC;SG	N
und	und	und	und	PROPN	N
contexte	nền	contexte	nền	N;MASC;SG	
contexte	background	contexte	background	N;MASC;SG	
vis	screws	vis	screws	N;MASC;SG	
vis	vis	vis	vis	N;MASC;SG	
vis	screw	vis	screw	N;MASC;SG	
concert	concert	concert	concert	N;MASC;SG	
lois	lois	loi	lois	N;FEM;PL	
douze	twelve	douze	twelve	NUM	
ferme	farm	ferme	farm	ADJ;FEM;SG	N
one	xả	one	xả	PROPN	V
one	một	one	một	PROPN	NUM
one	one	one	one	PROPN	
hautes	hautes	haut	hautes	ADJ;FEM;PL	
édouard	edouard	édouard	edouard	N;MASC;SG	
édouard	edward	édouard	edward	N;MASC;SG	
massif	massive	massif	massive	N;MASC;SG	
vente	bán	vente	bán	N;FEM;SG	V
vente	sale	vente	sale	N;FEM;SG	
vente	bán	vente	bán	N;FEM;SG	V
avocat	avocado	avocat	avocado	N;MASC;SG	
bras	bras	bras	bras	N;MASC;SG	
calais	calais	calais	calais	PROPN	N
conduit	driven	conduire	driven	V;MASC;SG;PST;V.PTCP	
conduit	conduit	conduire	conduit	V;MASC;SG;PST;V.PTCP	N
nice	đẹp	nice	đẹp	PROPN	ADJ
visite	thăm	visite	thăm	N;FEM;SG	V
portes	gates	porte	gates	N;FEM;PL	
mur	wall	mur	wall	N;MASC;SG	
passant	passant	passer	passant	V;PRS;V.PTCP	
luc	luc	luc	luc	N;MASC;SG	
photos	pics	photo	pics	N;FEM;PL	
tente	lều	tenter	lều	V;IND;SG;3;PRS;FIN	N
scott	scott	scott	scott	PROPN	
liège	liège	liège	liège	PROPN	NUM
liège	cork	liège	cork	PROPN	N
orient	đông	orier	đông	N;MASC;SG	ADJ
tourné	tráng	tourner	tráng	V;MASC;SG;PST;V.PTCP	N
joe	joe	joe	joe	PROPN	N
faux	lỗi	faux	lỗi	ADJ;MASC;SG	N
faux	nhầm	faux	nhầm	ADJ;MASC;SG	V
faux	giả	faux	giả	ADJ;MASC;SG	
faux	giả	faux	giả	ADJ;MASC;SG	
faux	fake	faux	fake	ADJ;MASC;SG	N
colombie	columbia	colombie	columbia	PROPN	N
colombie	colombia	colombie	colombia	PROPN	N
baie	berry	baie	berry	N;FEM;SG	
baie	baie	baie	baie	N;FEM;SG	
baie	bay	baie	bay	N;FEM;SG	
contraire	ngược	contraire	ngược	ADJ;MASC;SG	V
destination	đích	destination	đích	N;FEM;SG	
vierge	virgo	vierge	virgo	ADJ;MASC;SG	
vierge	trinh	vierge	trinh	ADJ;MASC;SG	N
vierge	virgin	vierge	virgin	ADJ;MASC;SG	N
vierge	tân	vierge	tân	ADJ;MASC;SG	N
vierge	trống	vierge	trống	ADJ;MASC;SG	V
vierge	blank	vierge	blank	ADJ;MASC;SG	V
lesquels	mà	lequel	mà	PRO;MASC;PL	CONJ
cercle	tròn	cercle	tròn	N;MASC;SG	ADJ
arrêt	dừng	arrêt	dừng	N;MASC;SG	V
arrêt	ngừng	arrêt	ngừng	N;MASC;SG	V
mari	mari	mari	mari	N;MASC;SG	
mari	husband	mari	husband	N;MASC;SG	
sais	biết	savoir	biết	INTJ	V
hall	vắng	hall	vắng	N;MASC;SG	ADJ
hall	hall	hall	hall	N;MASC;SG	
marin	marin	marin	marin	N;MASC;SG	NUM
marin	marine	marin	marine	N;MASC;SG	
usine	gieo	usine	gieo	N;FEM;SG	V
usine	trồng	usine	trồng	N;FEM;SG	V
usine	cấy	usine	cấy	N;FEM;SG	V
roland	roland	roland	roland	PROPN	
printemps	spring	printemps	spring	N;MASC;SG	
printemps	printemps	printemps	printemps	N;MASC;SG	V
étoiles	star	étoile	star	N;FEM;PL	
étoiles	stars	étoile	stars	N;FEM;PL	
chris	chris	chris	chris	PROPN	
gabriel	gabriel	gabriel	gabriel	N;MASC;SG	
élevé	vung	élevé	vung	ADJ;MASC;SG	
xixe	xixe	xixe	xixe	N;MASC;SG	
xixe	xix	xixe	xix	N;MASC;SG	NUM
xixe	nineteenth	xixe	nineteenth	N;MASC;SG	
noël	noël	noël	noël	PROPN	
noël	christmas	noël	christmas	PROPN	
enquête	inquiry	enquête	inquiry	N;FEM;SG	
enquête	survey	enquête	survey	N;FEM;SG	
anomalie	abnormal	anomalie	abnormal	N;FEM;SG	
anomalie	anomaly	anomalie	anomaly	N;FEM;SG	
ign	ign	ign	ign	PROPN	
beau	beau	beau	beau	ADJ;MASC;SG	
lecture	đọc	lecture	đọc	N;FEM;SG	V
lecture	đọc	lecture	đọc	N;FEM;SG	V
montage	montage	montage	montage	N;MASC;SG	
dollars	đôla	dollar	đôla	N;MASC;PL	
masculin	buồng	masculin	buồng	ADJ;MASC;SG	N
masculin	đực	masculin	đực	ADJ;MASC;SG	N
masculin	nam	masculin	nam	ADJ;MASC;SG	N
batterie	trống	batterie	trống	N;FEM;SG	V
batterie	trống	batterie	trống	N;FEM;SG	V
pointe	pointe	pointe	pointe	N;FEM;SG	
thèse	thesis	thèse	thesis	N;FEM;SG	ADJ
nancy	nancy	nancy	nancy	PROPN	
caroline	caroline	caroline	caroline	N;FEM;SG	
autorités	bang	autorité	bang	N;FEM;PL	
clair	xoã	clair	xoã	ADJ;MASC;SG	N
clair	clair	clair	clair	ADJ;MASC;SG	
test	test	test	test	N;MASC;SG	V
test	thử	test	thử	N;MASC;SG	V
west	tây	west	tây	PROPN	N
venir	đến	venir	đến	V;NFIN	PART
venir	đến	venir	đến	V;NFIN	PART
gilles	giles	gille	giles	PROPN	
gilles	gilles	gille	gilles	PROPN	
plateau	platter	plateau	platter	N;MASC;SG	
bataillon	bataillon	bataillon	bataillon	N;MASC;SG	
vin	vin	vin	vin	N;MASC;SG	V
spécialiste	chuyên	spécialiste	chuyên	N;MASC;SG	ADJ
vivant	living	vivre	living	V;PRS;V.PTCP	
vivant	live	vivre	live	V;PRS;V.PTCP	
vivant	live	vivre	live	V;PRS;V.PTCP	
vivant	alive	vivre	alive	V;PRS;V.PTCP	
ajouter	add	ajouter	add	V;NFIN	
féminine	feminine	féminin	feminine	ADJ;FEM;SG	N
rencontres	encounters	rencontre	encounters	N;FEM;PL	V
rencontres	dating	rencontre	dating	N;FEM;PL	
israël	israel	israël	israel	N;MASC;SG	
généraux	tướng	général	tướng	ADJ;MASC;PL	N
mike	mike	mike	mike	PROPN	
revanche	payback	revanche	payback	N;FEM;SG	
revanche	revanche	revanche	revanche	N;FEM;SG	
recueil	recueil	recueil	recueil	N;MASC;SG	
napoléon	napoléon	napoléon	napoléon	N;MASC;SG	
napoléon	napoleon	napoléon	napoleon	N;MASC;SG	
net	web	net	web	ADJ;MASC;SG	N
net	net	net	net	ADJ;MASC;SG	N
auparavant	trước	auparavant	trước	ADV	
bob	bob	bob	bob	N;MASC;SG	
combats	fighting	combat	fighting	N;MASC;PL	
corée	korea	corée	korea	PROPN	
corée	hàn	corée	hàn	PROPN	N
tokyo	tokyo	tokyo	tokyo	N;MASC;SG	
totale	tổng	total	tổng	ADJ;FEM;SG	N
comprendre	hieu	comprendre	hieu	V;NFIN	N
vivre	living	vivre	living	V;NFIN	
vivre	live	vivre	live	V;NFIN	
edward	edward	edward	edward	N;MASC;SG	
ordres	lệnh	ordre	lệnh	N;MASC;PL	
erreur	sai	erreur	sai	N;FEM;SG	ADJ
coll	coll	coll	coll	PROPN	
organisme	thân	organisme	thân	N;MASC;SG	
organisme	body	organisme	body	N;MASC;SG	
williams	williams	william	williams	PROPN	
faculté	khoa	faculté	khoa	N;FEM;SG	
tribunal	tribunal	tribunal	tribunal	N;MASC;SG	
walter	walter	walter	walter	PROPN	N
euros	euro	euro	euro	N;MASC;PL	
euros	euros	euro	euros	N;MASC;PL	NUM
euros	euro	euro	euro	N;MASC;PL	
eugène	eugene	eugène	eugene	PROPN	
avions	aeroplanes	avion	aeroplanes	N;MASC;PL	
avions	airplanes	avion	airplanes	N;MASC;PL	
dvd	dvd	DVD	dvd	N;MASC;SG	V
dvd	dvd	DVD	dvd	N;MASC;SG	V
dvd	dvds	DVD	dvds	N;MASC;SG	
administrateur	admin	administrateur	admin	N;MASC;SG	
vos	của	son	của	DET;MASC;PL	ADP
bruno	bruno	bruno	bruno	PROPN	
volonté	will	volonté	will	N;FEM;SG	
volonté	sẽ	volonté	sẽ	N;FEM;SG	
volonté	muốn	volonté	muốn	N;FEM;SG	V
germain	germain	germain	germain	PROPN	V
oiseaux	oiseaux	oiseau	oiseaux	N;MASC;PL	
race	breed	race	breed	N;FEM;SG	
race	đua	race	đua	N;FEM;SG	V
race	nhung	race	nhung	N;FEM;SG	
sûr	an	sûr	an	ADJ;MASC;SG	
disponible	rảnh	disponible	rảnh	ADJ;MASC;SG	V
continentale	continental	continental	continental	ADJ;FEM;SG	N
continentale	liền	continental	liền	ADJ;FEM;SG	
échelle	phóng	échelle	phóng	N;FEM;SG	V
antique	antique	antique	antique	ADJ;MASC;SG	N
monte	monte	monter	monte	V;IND;SG;3;PRS;FIN	N
canadienne	canadian	canadien	canadian	ADJ;FEM;SG	N
buteur	striker	buteur	striker	N;MASC;SG	NUM
accident	crash	accident	crash	N;MASC;SG	
bill	bill	bill	bill	PROPN	
humaine	human	humain	human	ADJ;FEM;SG	
nationales	gạt	national	gạt	ADJ;FEM;PL	V
usa	kỳ	usa	kỳ	PROPN	N
usa	mỹ	usa	mỹ	PROPN	N
usa	usa	usa	usa	PROPN	
riche	vương	riche	vương	ADJ;MASC;SG	N
riche	rich	riche	rich	ADJ;MASC;SG	
complète	say	complet	say	ADJ;FEM;SG	V
complète	full	complet	full	ADJ;FEM;SG	
néo	neo	néo	neo	PROPN	N
feuilles	feuilles	feuille	feuilles	N;FEM;PL	
feuilles	tờ	feuille	tờ	N;FEM;PL	
feuilles	sheets	feuille	sheets	N;FEM;PL	
maréchal	maréchal	maréchal	maréchal	N;MASC;SG	
répondre	tời	répondre	tời	V;NFIN	N
spectacle	xem	spectacle	xem	N;MASC;SG	V
spectacle	show	spectacle	show	N;MASC;SG	
moulin	mill	moulin	mill	N;MASC;SG	
numérique	digital	numérique	digital	ADJ;MASC;SG	N
mayotte	mayotte	mayotte	mayotte	ADJ;FEM;SG	N
rendu	rendered	rendre	rendered	V;MASC;SG;PST;V.PTCP	ADJ
rendu	rendu	rendre	rendu	V;MASC;SG;PST;V.PTCP	
champagne	champagne	champagne	champagne	N;MASC;SG	
disparu	faded	disparaître	faded	V;MASC;SG;PST;V.PTCP	
rouges	rouges	rouge	rouges	ADJ;MASC;PL	
rouges	đỏ	rouge	đỏ	ADJ;MASC;PL	N
poésie	poésie	poésie	poésie	N;FEM;SG	
ouverte	má	ouvrir	má	V;FEM;SG;PST;V.PTCP	N
tar	tar	tar	tar	N;MASC;SG	
productions	production	production	production	N;FEM;PL	
big	lớn	big	lớn	INTJ	ADJ
big	to	big	to	INTJ	ADJ
big	đúc	big	đúc	INTJ	V
big	đại	big	đại	INTJ	N
big	big	big	big	INTJ	
louise	louise	louise	louise	N;FEM;SG	
supprimer	xoá	supprimer	xoá	V;NFIN	
harry	harry	harry	harry	PROPN	
claire	clare	clair	clare	ADJ;FEM;SG	N
claire	claire	clair	claire	ADJ;FEM;SG	
carlos	carlos	carlos	carlos	PROPN	
anna	anna	anna	anna	PROPN	
adjoint	phó	adjoint	phó	N;MASC;SG	
adjoint	ass	adjoint	ass	N;MASC;SG	
steve	steve	steve	steve	PROPN	
rennes	rennes	renne	rennes	PROPN	NUM
extrême	extreme	extrême	extreme	ADJ;MASC;SG	
venise	venice	venise	venice	PROPN	N
venise	venezia	venise	venezia	PROPN	N
civil	civil	civil	civil	ADJ;MASC;SG	
lancer	lancer	lancer	lancer	V;NFIN	
lancer	pitch	lancer	pitch	V;NFIN	
lancer	launch	lancer	launch	V;NFIN	
commande	lệnh	commande	lệnh	N;FEM;SG	
quelle	gì	quel	gì	DET;FEM;SG	PROPN
tony	tony	tony	tony	PROPN	
standard	chuẩn	standard	chuẩn	N;MASC;SG	V
standard	standard	standard	standard	N;MASC;SG	
médias	media	média	media	N;MASC;PL	
porter	porter	porter	porter	V;NFIN	
metal	co	metal	co	N;MASC;SG	V
boston	boston	boston	boston	PROPN	N
eric	eric	eric	eric	PROPN	
pose	posing	pose	posing	N;FEM;SG	
adam	adam	adam	adam	PROPN	
côtes	rib	côte	rib	N;FEM;PL	
gagne	thắng	gagner	thắng	V;IND;SG;3;PRS;FIN	N
origines	vạn	origine	vạn	N;FEM;PL	ADJ
origines	origins	origine	origins	N;FEM;PL	
indépendant	lập	indépendant	lập	ADJ;MASC;SG	V
indépendant	freelance	indépendant	freelance	ADJ;MASC;SG	
nef	nave	nef	nave	N;FEM;SG	
blason	blason	blason	blason	N;MASC;SG	
bat	bat	battre	bat	V;IND;SG;3;PRS;FIN	
bat	dơi	battre	dơi	V;IND;SG;3;PRS;FIN	N
bat	hê	battre	hê	V;IND;SG;3;PRS;FIN	N
bat	sọc	battre	sọc	V;IND;SG;3;PRS;FIN	N
suédois	swede	suédois	swede	ADJ;MASC;SG	
mille	nghìn	mille	nghìn	NUM	N
mille	ngàn	mille	ngàn	NUM	N
direct	direct	direct	direct	ADJ;MASC;SG	
direct	trực	direct	trực	ADJ;MASC;SG	V
attaquant	striker	attaquant	striker	N;MASC;SG	NUM
mini	mini	mini	mini	N;MASC;SG	
privé	tư	privé	tư	ADJ;MASC;SG	NUM
complet	say	complet	say	ADJ;MASC;SG	V
complet	full	complet	full	ADJ;MASC;SG	
trophée	trophée	trophée	trophée	N;MASC;SG	
aspect	nhê	aspect	nhê	N;MASC;SG	ADJ
sinon	kẻo	sinon	kẻo	CONJ	V
tôt	sớm	tôt	sớm	ADV	ADJ
humain	human	humain	human	ADJ;MASC;SG	
info	info	info	info	N;MASC;SG	
russes	nga	russe	nga	ADJ;MASC;PL	N
russes	nga	russe	nga	ADJ;MASC;PL	N
septième	seventh	septième	seventh	ADJ;MASC;SG	
sélections	chọn	sélection	chọn	N;FEM;PL	V
pascal	pascal	pascal	pascal	PROPN	N
maillot	maillot	maillot	maillot	N;MASC;SG	
dispute	cãi	dispute	cãi	N;FEM;SG	V
lune	nen	lune	nen	N;FEM;SG	
championne	champ	champion	champ	N;FEM;SG	
championne	champion	champion	champion	N;FEM;SG	V
murs	walls	mur	walls	N;MASC;PL	
francs	franks	franc	franks	N;MASC;PL	
norvège	nauy	norvège	nauy	ADJ;MASC;SG	N
corse	corse	corse	corse	PROPN	N
corse	corsica	corse	corsica	PROPN	N
