το	az	ο	az	DET;NOM;DEF;NEUT;SG	
σικελία	szicíliai	σικελία	szicíliai	PROPN;ACC;FEM;SG	ADJ;NOM;SG
πλούσιο	gazdag	πλούσιο	gazdag	ADJ;NOM;NEUT;SG	
πλούσιο	gazdagok	πλούσιο	gazdag	ADJ;NOM;NEUT;SG	N;NOM;PL
πλούσιο	rich	πλούσιο	rich	ADJ;NOM;NEUT;SG	
πτυχίο	oklevél	πτυχίο	oklevél	N;NOM;NEUT;SG	
γρήγορη	gyorsan	γρήγορος	gyors	ADJ;NOM;FEM;SG	ADJ;FRML;SG
γρήγορη	gyors	γρήγορος	gyors	ADJ;NOM;FEM;SG	
γρήγορη	gyorsan	γρήγορος	gyors	ADJ;NOM;FEM;SG	ADJ;FRML;SG
γρήγορη	gyors	γρήγορος	gyors	ADJ;NOM;FEM;SG	
εξοπλισμό	felszerelés	εξοπλισμός	felszerelés	N;ACC;MASC;SG	N;NOM;SG
εξοπλισμό	gear	εξοπλισμός	gear	N;ACC;MASC;SG	
ενδεχομένως	potenciálisan	ενδεχομένως	potenciális	ADV	ADJ;FRML;SG
σοβαρή	komoly	σοβαρός	komoly	ADJ;NOM;FEM;SG	
σοβαρή	súlyos	σοβαρός	súlyos	ADJ;NOM;FEM;SG	
σοβαρή	súlyos	σοβαρός	súlyos	ADJ;NOM;FEM;SG	
αποσπάσματα	kivonat	απόσπασμα	kivonat	N;NOM;NEUT;PL	N;NOM;SG
βαριά	heavy	βαριός	heavy	ADV	
βαριά	súlyos	βαριός	súlyos	ADV	
βαριά	nehéz	βαριός	nehéz	ADV	
ουρανό	égbolt	ουρανός	égbol	N;ACC;MASC;SG	N;NOM;SG
ουρανό	sky	ουρανός	sky	N;ACC;MASC;SG	
ουρανό	ég	ουρανός	ég	N;ACC;MASC;SG	
κόντρα	contra	κόντρο	contra	N;ACC;FEM;SG	
κόντρα	ellene	κόντρο	ellen	N;ACC;FEM;SG	PRO;NOM;SG;3
κόντρα	ellen	κόντρο	ellen	N;ACC;FEM;SG	ADP
ταξίδια	utazás	ταξίδι	utazás	N;NOM;NEUT;PL	N;NOM;SG
ταξίδια	utazási	ταξίδι	utazási	N;NOM;NEUT;PL	N;NOM;SG
ταξίδια	utazik	ταξίδι	utazik	N;NOM;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
ταξίδια	utazás	ταξίδι	utazás	N;NOM;NEUT;PL	N;NOM;SG
ταξίδια	utazik	ταξίδι	utazik	N;NOM;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
ταξίδια	utazó	ταξίδι	utazó	N;NOM;NEUT;PL	
ταξίδια	utazás	ταξίδι	utazás	N;NOM;NEUT;PL	N;NOM;SG
ταξίδια	utazó	ταξίδι	utazó	N;NOM;NEUT;PL	
ταξίδια	utazni	ταξίδι	utazik	N;NOM;NEUT;PL	V;NFIN;ACT
θετικές	pozitív	θετικός	pozitív	ADJ;NOM;FEM;PL	ADJ;NOM;SG
κρις	chris	κρις	chris		
προορισμό	rendeltetési	προορισμός	rendeltetési	N;ACC;MASC;SG	ADJ;NOM;SG
προορισμό	cél	προορισμός	cél	N;ACC;MASC;SG	N;NOM;SG
επιδόσεις	előadás	επίδοση	előadás	N;NOM;FEM;PL	N;NOM;SG
επιδόσεις	teljesítmény	επίδοση	teljesítmény	N;NOM;FEM;PL	N;NOM;SG
τριάντα	harminc	τριάντα	harminc	NUM;NOM;NEUT;PL	
τριάντα	thirty	τριάντα	thirty	NUM;NOM;NEUT;PL	
σταθμούς	állomások	σταθμός	állomás	N;ACC;MASC;PL	N;NOM;PL
αντικατάσταση	helyettesíteni	αντικατάσταση	helyettesít	N;ACC;FEM;SG	V;NFIN;ACT
αντικατάσταση	felülírja	αντικατάσταση	felülír	N;ACC;FEM;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
αντικατάσταση	helyettesítő	αντικατάσταση	helyettesítő	N;ACC;FEM;SG	ADJ;NOM;SG
αντικατάσταση	helyettesítő	αντικατάσταση	helyettesítő	N;ACC;FEM;SG	ADJ;NOM;SG
αντικατάσταση	pótlék	αντικατάσταση	pótlék	N;ACC;FEM;SG	N;NOM;SG
αντικατάσταση	csere	αντικατάσταση	csere	N;ACC;FEM;SG	N;NOM;SG
αντικατάσταση	cseréje	αντικατάσταση	csere	N;ACC;FEM;SG	N;NOM;SG
συνεργάτης	társult	συνεργάτης	társul	N;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
ασκήσεις	gyakorlatokat	άσκηση	gyakorlat	N;NOM;FEM;PL	N;ACC;PL
κλαμπ	klub	κλαμπ	klub		N;NOM;SG
κλαμπ	club	κλαμπ	club		
κλαμπ	klubok	κλαμπ	klub		N;NOM;PL
αλφάβητο	abc	αλφάβητος	abc	N;NOM;NEUT;SG	
εσωτερικά	belső	εσωτερικά	belső	ADV	
επιρροές	befolyása	επιρροή	befolyás	N;NOM;FEM;PL	N;NOM;SG
επιρροές	befolyással	επιρροή	befolyás	N;NOM;FEM;PL	N;INS;SG
επιρροές	befolyás	επιρροή	befolyás	N;NOM;FEM;PL	N;NOM;SG
επιρροές	befolyásolja	επιρροή	befolyásol	N;NOM;FEM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
περού	perui	περ	perui	PROPN;NOM;NEUT;SG	
περού	perui	περ	perui	PROPN;NOM;NEUT;SG	
περού	peru	περ	peru	PROPN;NOM;NEUT;SG	PROPN;NOM;SG
έπαιζε	játszottam	παίζω	játszik	V;IPFV;IND;SG;3;PST;FIN;ACT	V;INDF;IND;SG;1;PST;FIN;ACT
αστερισμό	csillagkép	αστερισμός	csillagkép	N;ACC;MASC;SG	N;NOM;SG
υποχρεώσεις	kötelezettség	υποχρέωση	kötelezettség	N;NOM;FEM;PL	N;NOM;SG
υποχρεώσεις	kötelezettségekkel	υποχρέωση	kötelezettség	N;NOM;FEM;PL	N;INS;PL
σπήλαιο	barlangot	σπήλαιο	barlangot	N;NOM;NEUT;SG	N;ACC;SG
δέλτα	delta	δέλτα	delta	N;NOM;MASC;SG	
μπράιαν	brian	μπράιαν	brian		
φρανσουά	francois	φρανσούά	francois	PROPN;NOM;MASC;SG	
φρανσουά	françois	φρανσούά	françois	PROPN;NOM;MASC;SG	N;NOM;SG
φρανσουά	francois	φρανσούά	francois	PROPN;NOM;MASC;SG	
φρανσουά	françois	φρανσούά	françois	PROPN;NOM;MASC;SG	N;NOM;SG
ιδιωτική	magán	ιδιωτικός	maga	ADJ;NOM;FEM;SG	
ιδιωτική	privát	ιδιωτικός	priva	ADJ;NOM;FEM;SG	
θετικά	pozitívak	θετικός	pozitív	ADV	ADJ;NOM;PL
θετικά	pozitív	θετικός	pozitív	ADV	ADJ;NOM;SG
δυσκολίες	nehézséget	δυσκολία	nehézség	N;NOM;FEM;PL	N;ACC;SG
δυσκολίες	nehézség	δυσκολία	nehézség	N;NOM;FEM;PL	N;NOM;SG
δυσκολίες	nehézségekkel	δυσκολία	nehézség	N;NOM;FEM;PL	N;INS;PL
δυσκολίες	nehézség	δυσκολία	nehézség	N;NOM;FEM;PL	N;NOM;SG
τάφο	sír	τάφος	sír	N;ACC;MASC;SG	N;NOM;SG
τάφο	sírba	τάφος	sír	N;ACC;MASC;SG	N;IN+ALL;SG
τάφο	sír	τάφος	sír	N;ACC;MASC;SG	N;NOM;SG
στάλθηκε	elküldött	στέλνω	elküldött	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
στάλθηκε	elküldve	στέλνω	elküldve	V;PFV;IND;SG;3;PST;FIN;PASS	N;NOM;SG
στάλθηκε	küldött	στέλνω	küld	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
ατομικό	egyén	ατομικός	egyén	ADJ;NOM;NEUT;SG	N;NOM;SG
ατομικό	egyéni	ατομικός	egyéni	ADJ;NOM;NEUT;SG	
αναφέρθηκε	jelentett	αναφέρω	jelent	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
αναφέρθηκε	bejelentett	αναφέρω	bejelent	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
βουλγαρική	bolgár	βουλγάρικος	bolgár	ADJ;NOM;FEM;SG	
νομοθεσία	jogszabályok	νομοθεσία	jogszabály	N;NOM;FEM;SG	N;NOM;PL
νομοθεσία	jogszabály	νομοθεσία	jogszabály	N;NOM;FEM;SG	
αραβική	arab	αραβικός	arab	ADJ;NOM;FEM;SG	
αραβική	arab	αραβικός	arab	ADJ;NOM;FEM;SG	
αραβική	arabul	αραβικός	arab	ADJ;NOM;FEM;SG	
δωρεάν	ingyenes	δωρεάν	ingyenes		
δωρεάν	ingyen	δωρεάν	ingyen		
δωρεάν	free	δωρεάν	free		
δωρεάν	szabad	δωρεάν	szabad		
βελιγραδίου	belgrád	βελιγράδιο	belgrád	PROPN;GEN;NEUT;SG	N;NOM;SG
εξετάσεις	vizsga	εξέταση	vizsga	N;NOM;FEM;PL	N;NOM;SG
συνδυασμός	kombinálni	συνδυασμός	kombinál	N;NOM;MASC;SG	V;NFIN;ACT
τζαζ	jazz	τζαζ	jazz		
λάθη	hibákat	λάθος	hiba	N;NOM;NEUT;PL	N;ACC;PL
λάθη	hibákat	λάθος	hiba	N;NOM;NEUT;PL	N;ACC;PL
σόλο	szóló	σόλος	szóló		ADJ;NOM;SG
σόλο	solo	σόλος	solo		
σόλο	önálló	σόλος	önálló		
συνέπειες	következmény	συνέπεια	következmény	N;NOM;FEM;PL	N;NOM;SG
φιλοσοφική	filozófiai	φιλοσοφικός	filozófiai	ADJ;NOM;FEM;SG	N;NOM;SG
προσωπικότητα	személyiség	προσωπικότητα	személyiség	N;ACC;FEM;SG	N;NOM;SG
προσωπικότητα	személyisége	προσωπικότητα	személyiség	N;ACC;FEM;SG	N;NOM;SG
προσωπικότητα	egyéniség	προσωπικότητα	egyéniség	N;ACC;FEM;SG	N;NOM;SG
βελιγράδι	belgrád	βελιγράδι	belgrád	PROPN;NOM;NEUT;SG	N;NOM;SG
οπαδούς	követői	οπαδός	követő	N;ACC;MASC;PL	N;NOM;PL
ξενοδοχείο	szálloda	ξενοδοχείο	szálloda	N;NOM;NEUT;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
ξενοδοχείο	hotel	ξενοδοχείο	hotel	N;NOM;NEUT;SG	
διάσπαση	osztott	διάσπαση	osztott	N;NOM;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
επισήμως	hivatalosan	επίσημα	hivatalos	ADV	ADJ;FRML;SG
στάλιν	sztálin	στάλιν	sztálin		
στόχους	célkitűzések	στόχος	célkitűzés	N;ACC;MASC;PL	N;NOM;PL
στόχους	célok	στόχος	cél	N;ACC;MASC;PL	N;NOM;PL
επαγγελματικό	profi	επαγγελματικός	profi	ADJ;NOM;NEUT;SG	
μαύρα	fekete	μαύρας	feket	N;NOM;NEUT;PL	
μαύρα	black	μαύρας	black	N;NOM;NEUT;PL	
κίνδυνος	kockázatos	κίνδυνος	kockázatos	N;NOM;MASC;SG	ADJ;NOM;SG
κίνδυνος	veszélyességi	κίνδυνος	veszélyességi	N;NOM;MASC;SG	ADJ;NOM;SG
σχεδιασμού	tervezés	σχεδιασμός	tervezés	N;GEN;MASC;SG	N;NOM;SG
φυσικοί	fizikusok	φυσικός	fizikus	ADJ;NOM;MASC;PL	N;NOM;PL
αποδείχθηκε	bebizonyosodott	αποδεικνύω	be+bizonyosodik	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
αποδείχθηκε	bizonyított	αποδεικνύω	bizonyított	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
αποδείχθηκε	bizonyult	αποδεικνύω	bizonyul	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
κατανάλωση	fogyasztása	κατανάλωση	fogyasztás	N;ACC;FEM;SG	N;NOM;SG
κατανάλωση	fogyasztás	κατανάλωση	fogyasztás	N;ACC;FEM;SG	N;NOM;SG
κατανάλωση	fogyasztásra	κατανάλωση	fogyasztás	N;ACC;FEM;SG	N;ON+ALL;SG
κατανάλωση	felhasználás	κατανάλωση	felhasználás	N;ACC;FEM;SG	N;NOM;SG
φλωρεντία	florence	φλωρεντία	florence	PROPN;NOM;FEM;SG	
φλωρεντία	firenze	φλωρεντία	firenz	PROPN;NOM;FEM;SG	N;NOM;SG
μονακό	monaco	μονακός	monaco		
υψηλότερο	legmagasabb	ψηλός	nagmagas	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;RL;SG
υψηλότερο	feljebb	ψηλός	fől	ADJ;NOM;CMPR;NEUT;SG	ADV
μωάμεθ	muhammad	μωάμεθ	muhammad	N;NOM;NEUT;SG	
μωάμεθ	mohammed	μωάμεθ	mohammed	N;NOM;NEUT;SG	
μωάμεθ	mohamed	μωάμεθ	mohamed	N;NOM;NEUT;SG	
μωάμεθ	mohammed	μωάμεθ	mohammed	N;NOM;NEUT;SG	
μωάμεθ	mohamed	μωάμεθ	mohamed	N;NOM;NEUT;SG	
μεταφορές	transzfer	μεταφορά	transzfer	N;NOM;FEM;PL	N;NOM;SG
μεταφορές	közlekedés	μεταφορά	közlekedés	N;NOM;FEM;PL	N;NOM;SG
μεταφορές	fuvarozás	μεταφορά	fuvarozás	N;NOM;FEM;PL	N;NOM;SG
μεταφορές	szállítás	μεταφορά	szállítás	N;NOM;FEM;PL	N;NOM;SG
μεταφορές	közlekedési	μεταφορά	közlekedési	N;NOM;FEM;PL	ADJ;NOM;SG
φάρμακα	orvosság	φάρμακο	orvosság	N;NOM;NEUT;PL	N;NOM;SG
φάρμακα	gyógyszert	φάρμακο	gyógyszert	N;NOM;NEUT;PL	N;ACC;SG
φάρμακα	gyógyszer	φάρμακο	gyógyszer	N;NOM;NEUT;PL	N;NOM;SG
φάρμακα	orvostudomány	φάρμακο	orvostudomány	N;NOM;NEUT;PL	N;NOM;SG
δυναμική	dynamics	δυναμικός	dynamics	ADJ;NOM;FEM;SG	
κατάλληλο	megfelelő	κατάλληλος	megfelelő	ADJ;NOM;NEUT;SG	
κατάλληλο	megfelelő	κατάλληλος	megfelelő	ADJ;NOM;NEUT;SG	
ακτίνα	sugár	ακτίνα	sugár	N;ACC;FEM;SG	N;NOM;SG
ακτίνα	körzetben	ακτίνα	körzet	N;ACC;FEM;SG	N;IN+ESS;SG
ακτίνα	sugár	ακτίνα	sugár	N;ACC;FEM;SG	N;NOM;SG
εναλλακτική	alternatív	εναλλακτικός	alternatív	ADJ;NOM;FEM;SG	
εναλλακτική	alternatíva	εναλλακτικός	alternatíva	ADJ;NOM;FEM;SG	N;NOM;SG
εναλλακτική	alternatív	εναλλακτικός	alternatív	ADJ;NOM;FEM;SG	
εξίσου	egyenlően	εξίσου	egyenlően	ADV	ADJ;FRML;SG
εξίσου	egyformán	εξίσου	egyforma	ADV	
εκφράσεις	kifejezéseket	έκφραση	kifejezés	N;NOM;FEM;PL	N;ACC;PL
ίαν	lan	ίαν	lan		N;NOM;SG
ίαν	ian	ίαν	ian		
ίαν	lan	ίαν	lan		N;NOM;SG
ίαν	ian	ίαν	ian		
μύθος	legendák	μύθος	legenda	N;NOM;MASC;SG	N;NOM;PL
μύθος	legenda	μύθος	legenda	N;NOM;MASC;SG	
έξοδο	kilépés	έξοδος	kilépés	N;ACC;FEM;SG	
έξοδο	kilépő	έξοδος	kilépő	N;ACC;FEM;SG	
έξοδο	kijárat	έξοδος	kijárat	N;ACC;FEM;SG	N;NOM;SG
χανς	hans	χανς	hans		PROPN;NOM;SG
στερεά	tömör	στεργώ	tömör	ADV	
στερεά	szilárd	στεργώ	szilárd	ADV	
στερεά	szilárd	στεργώ	szilárd	ADV	
ισορροπία	egyenleg	ισορροπία	egyenleg	N;ACC;FEM;SG	N;NOM;SG
ισορροπία	mérleg	ισορροπία	mérleg	N;ACC;FEM;SG	N;NOM;SG
ισορροπία	egyensúly	ισορροπία	egyensúly	N;ACC;FEM;SG	N;NOM;SG
ισορροπία	egyensúly	ισορροπία	egyensúly	N;ACC;FEM;SG	N;NOM;SG
ισορροπία	egyensúlyi	ισορροπία	egyensúlyi	N;ACC;FEM;SG	N;NOM;SG
ισπανός	spanyolul	ισπανός	spanyolul	ADJ;NOM;MASC;SG	
ισπανός	spanyolok	ισπανός	spanyol	ADJ;NOM;MASC;SG	N;NOM;PL
ισπανός	spanyol	ισπανός	spanyol	ADJ;NOM;MASC;SG	
τυπική	tipikus	τυπικός	tipikus	ADJ;NOM;FEM;SG	
τυπική	jellegzetes	τυπικός	jellegzetes	ADJ;NOM;FEM;SG	
ρυθμός	lépést	ρυθμός	lépés	N;NOM;MASC;SG	N;ACC;SG
ρυθμός	mérték	ρυθμός	mér	N;NOM;MASC;SG	
ρυθμός	tempó	ρυθμός	tempó	N;NOM;MASC;SG	
συνασπισμού	koalíció	συνασπισμός	koalíció	N;GEN;MASC;SG	N;NOM;SG
θεατές	néző	θεατός	néző	N;NOM;MASC;PL	
σφαγή	mészárlás	σφαγή	mészárlás	N;ACC;FEM;SG	N;NOM;SG
σφαγή	vérfürdő	σφαγή	vérfürdő	N;ACC;FEM;SG	N;NOM;SG
σφαγή	vérontás	σφαγή	vérontás	N;ACC;FEM;SG	N;NOM;SG
σφαγή	mészárlás	σφαγή	mészárlás	N;ACC;FEM;SG	N;NOM;SG
σφαγή	vérfürdő	σφαγή	vérfürdő	N;ACC;FEM;SG	N;NOM;SG
σφαγή	mészárlás	σφαγή	mészárlás	N;ACC;FEM;SG	N;NOM;SG
σφαγή	vágás	σφαγή	vágás	N;ACC;FEM;SG	N;NOM;SG
ελαφρά	enyhe	ελαφρά	enyhe	ADV	
ελαφρά	enyhén	ελαφρά	enyhén	ADV	
ελαφρά	kissé	ελαφρά	kissé	ADV	
ελαφρά	kevéssé	ελαφρά	kevéssé	ADV	
σεν	shen	σεν	shen		
σεν	sen	σεν	sen		
βιρτζίνια	virginiában	βιρτζίνιος	virginia	PROPN;NOM;FEM;SG	N;IN+ESS;SG
βιρτζίνια	virginia	βιρτζίνιος	virginia	PROPN;NOM;FEM;SG	
βιρτζίνια	virginiai	βιρτζίνιος	virginiai	PROPN;NOM;FEM;SG	ADJ;NOM;SG
μέταλλα	metál	μέταλλος	metál	N;NOM;NEUT;PL	
μέταλλα	metal	μέταλλος	metal	N;NOM;NEUT;PL	
μέταλλα	fém	μέταλλος	fém	N;NOM;NEUT;PL	
αρχαίους	ősök	άρχαιος	ősök	ADJ;ACC;MASC;PL	N;NOM;PL
υποκατάσταση	helyettesítő	υποκατάσταση	helyettesítő	N;NOM;FEM;SG	ADJ;NOM;SG
χορός	dance	χορός	dance	N;NOM;MASC;SG	
χορός	táncolj	χορός	táncol	N;NOM;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
χορός	táncolni	χορός	táncol	N;NOM;MASC;SG	V;NFIN;ACT
χορός	táncolni	χορός	táncol	N;NOM;MASC;SG	V;NFIN;ACT
χορός	táncol	χορός	táncol	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
σχεδιάστηκε	tervezett	σχεδιάζω	tervezett	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
σχεδιάστηκε	megtervezett	σχεδιάζω	megtervezett	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
κέρματα	érméket	κέρμα	érmék	N;NOM;NEUT;PL	N;ACC;PL
κέρματα	érme	κέρμα	érer	N;NOM;NEUT;PL	N;NOM;SG
βία	erőszakos	βία	erőszakos	N;NOM;FEM;SG	ADJ;NOM;SG
μαδρίτη	madrid	μαδρίτη	madrid	PROPN;ACC;FEM;SG	N;NOM;SG
μαδρίτη	madridi	μαδρίτη	madridi	PROPN;ACC;FEM;SG	
κάρλος	carlos	κάρλος	carlos	PROPN;NOM;MASC;SG	
πύλες	gates	πύλη	gates	N;NOM;FEM;PL	
πύλες	kapu	πύλη	kapu	N;NOM;FEM;PL	N;NOM;SG
πρόσφατη	nemrég	πρόσφατος	nemrég	ADJ;NOM;FEM;SG	ADV
πρόσφατη	legutóbbi	πρόσφατος	legutóbbi	ADJ;NOM;FEM;SG	
ρίο	rio	ρίο	rio		
βυζάντιο	bizánc	βυζάντιος	bizánc	PROPN;NOM;NEUT;SG	N;NOM;SG
σταύρος	stavros	σταύρος	stavros	N;NOM;MASC;SG	
αρσενικό	arzén	αρσενικός	arz	ADJ;NOM;NEUT;SG	N;NOM;SG
αρσενικό	férfi	αρσενικός	férfi	ADJ;NOM;NEUT;SG	N;NOM;SG
αρσενικό	hím	αρσενικός	hím	ADJ;NOM;NEUT;SG	N;NOM;SG
ψηφιακή	digitális	ψηφιακός	digitális	ADJ;NOM;FEM;SG	N;NOM;SG
ηλεκτρονική	elektronika	ηλεκτρονικός	elektronika	ADJ;NOM;FEM;SG	N;NOM;SG
ηλεκτρονική	elektronikusan	ηλεκτρονικός	elektronikus	ADJ;NOM;FEM;SG	ADJ;FRML;SG
ηλεκτρονική	elektronikus	ηλεκτρονικός	elektronikus	ADJ;NOM;FEM;SG	N;NOM;SG
κομμουνιστικό	kommunisták	κομμουνιστικός	kommunista	ADJ;NOM;NEUT;SG	N;NOM;PL
κομμουνιστικό	kommunista	κομμουνιστικός	kommunista	ADJ;NOM;NEUT;SG	
επεκτάθηκε	bővült	επικτείνω	bővül	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
επεκτάθηκε	kiterjesztett	επικτείνω	kiterjesztett	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
επεκτάθηκε	kibővített	επικτείνω	kibővít	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
κατάργηση	visszavonás	κατάργηση	visszavonás	N;ACC;FEM;SG	N;NOM;SG
κατάργηση	eltörlése	κατάργηση	eltörlés	N;ACC;FEM;SG	N;NOM;SG
ήλιος	napsütés	ήλιος	napsütés	PROPN;NOM;MASC;SG	N;NOM;SG
ήλιος	sun	ήλιος	sun	PROPN;NOM;MASC;SG	
ήλιος	nap	ήλιος	nap	PROPN;NOM;MASC;SG	N;NOM;SG
ήλιος	napfény	ήλιος	napfény	PROPN;NOM;MASC;SG	N;NOM;SG
άσπρο	fehér	άσπρο	fehér	N;NOM;NEUT;SG	
σύνταξη	nyugdíjak	σύνταξη	nyugdíj	N;NOM;FEM;SG	N;NOM;PL
τεχνικά	műszaki	τεχνικά	műszaki	ADV	N;NOM;SG
τεχνικά	technikai	τεχνικά	technikai	ADV	ADJ;NOM;SG
τεχνικά	technikailag	τεχνικά	technikai	ADV	ADJ;FRML;SG
τεχνικά	gyakorlatilag	τεχνικά	gyakorlati	ADV	ADJ;FRML;SG
ωραία	szep	ωραίος	szep	ADJ;NOM;FEM;SG	
ωραία	szép	ωραίος	szép	ADJ;NOM;FEM;SG	
τάσεις	trend	τάση	trend	N;NOM;FEM;PL	
τάσεις	tendencia	τάση	tendencia	N;NOM;FEM;PL	N;NOM;SG
σελήνη	hold	σελήνη	hold	N;NOM;FEM;SG	
σελήνη	holdon	σελήνη	hold	N;NOM;FEM;SG	
σελήνη	holdat	σελήνη	holdat	N;NOM;FEM;SG	N;ACC;SG
σελήνη	moon	σελήνη	moon	N;NOM;FEM;SG	
εύκολο	könnyű	εύκολος	könnyű	ADJ;NOM;NEUT;SG	
εκτιμήσεις	becslés	εκτίμηση	becslés	N;NOM;FEM;PL	N;NOM;SG
δούναβη	duna	δούναβη	duna	N;FEM	
ολυμπιακοί	olimpia	ολυμπιακός	olimpia	ADJ;NOM;MASC;PL	N;NOM;SG
απάντησε	válasz	απαντώ	válasz	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;SG
θηλαστικά	emlősök	θηλαστικά	emlős	ADJ;NOM;NEUT;PL	N;NOM;PL
θηλαστικά	emlős	θηλαστικά	emlős	ADJ;NOM;NEUT;PL	N;NOM;SG
θηλαστικά	emlősök	θηλαστικά	emlős	ADJ;NOM;NEUT;PL	N;NOM;PL
μεσαιωνική	középkori	μεσαιωνικός	középkori	ADJ;NOM;FEM;SG	N;NOM;SG
ισοπαλία	nyakkendő	ισοπαλία	nyakkendő	N;ACC;FEM;SG	N;NOM;SG
ισοπαλία	döntetlen	ισοπαλία	döntetlen	N;ACC;FEM;SG	N;NOM;SG
ισοπαλία	rajzolni	ισοπαλία	rajzol	N;ACC;FEM;SG	V;NFIN;ACT
ισοπαλία	sorsolás	ισοπαλία	sorsolás	N;ACC;FEM;SG	N;NOM;SG
ισοπαλία	rajzol	ισοπαλία	rajzol	N;ACC;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
ισοπαλία	döntetlen	ισοπαλία	döntetlen	N;ACC;FEM;SG	N;NOM;SG
κεφαλή	fej	κεφαλή	fej	N;ACC;FEM;SG	N;NOM;SG
κεφαλή	robbanófej	κεφαλή	robbanófej	N;ACC;FEM;SG	
παρακολούθησε	néztem	παρακολουθώ	néz	V;PFV;IND;SG;3;PST;FIN;ACT	V;DEF;IND;SG;1;PRS;FIN;ACT
φυλακές	börtön	φυλακή	börtön	N;NOM;FEM;PL	N;NOM;SG
φυλακές	börtönben	φυλακή	börtönben	N;NOM;FEM;PL	N;IN+ESS;SG
φυλακές	börtönökben	φυλακή	börtönök	N;NOM;FEM;PL	N;IN+ESS;SG
σαλβαδόρ	salvador	σαλβαδόρ	salvador		
ηλεκτρονικό	elektronikusan	ηλεκτρονικός	elektronikus	ADJ;NOM;NEUT;SG	ADJ;FRML;SG
ηλεκτρονικό	elektronikus	ηλεκτρονικός	elektronikus	ADJ;NOM;NEUT;SG	N;NOM;SG
κάλεσε	hívás	καλώ	hívás	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;SG
κάλεσε	hívd	καλώ	hívd	V;PFV;IND;SG;3;PST;FIN;ACT	V;DEF;IMP;SG;1;PRS;FIN;ACT
αερίου	benzin	αέριο	benzin	N;GEN;NEUT;SG	N;NOM;SG
αερίου	gáz	αέριο	gáz	N;GEN;NEUT;SG	N;NOM;SG
ζεύγος	páros	ζεύγος	páros	N;NOM;NEUT;SG	
πόρων	erőforrások	πόρος	erőforrás	N;GEN;MASC;PL	N;NOM;PL
πόρων	erőforrás	πόρος	erőforrás	N;GEN;MASC;PL	
πόρων	források	πόρος	forrás	N;GEN;MASC;PL	N;NOM;PL
ολοκληρωθεί	befejeződött	ολοκληρώνω	befejeződik	V;PFV;NFIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
ολοκληρωθεί	elkészült	ολοκληρώνω	elkészült	V;PFV;NFIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
ολοκληρωθεί	befejezett	ολοκληρώνω	befejezett	V;PFV;NFIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
άσκηση	gyakorlás	άσκηση	gyakorlás	N;ACC;FEM;SG	N;NOM;SG
άσκηση	testmozgás	άσκηση	testmozgás	N;ACC;FEM;SG	N;NOM;SG
άσκηση	gyakorlat	άσκηση	gyakorlat	N;ACC;FEM;SG	N;NOM;SG
ηλεκτρική	elektromos	ηλεκτρικός	elektromos	ADJ;NOM;FEM;SG	
ηλεκτρική	villamos	ηλεκτρικός	villamos	ADJ;NOM;FEM;SG	N;NOM;SG
ηλεκτρική	villany	ηλεκτρικός	villany	ADJ;NOM;FEM;SG	N;NOM;SG
ηλεκτρική	elektromos	ηλεκτρικός	elektromos	ADJ;NOM;FEM;SG	
