van	f	van	!	ADP	
beperkte	محدودا	beperken	مَحدُود	V;SG;PST;FIN	ADJ;ACC;INDF;MASC;SG
beperkte	محدودة	beperken	مَحدُود	V;SG;PST;FIN	ADJ;NOM;INDF;FEM;SG
beperkte	محدودية	beperken	مَحدُودِيَّة	V;SG;PST;FIN	N;NOM;INDF;SG
beperkte	مقيدة	beperken	مُقَيَّد	V;SG;PST;FIN	ADJ;NOM;INDF;FEM;SG
beperkte	مقيد	beperken	مَقِيد	V;SG;PST;FIN	ADJ;NOM;INDF;MASC;SG
cross	كروس	cross	كروس	N;MASC+FEM;SG	
kwalificatie	المؤهلة	kwalificatie	مُؤَهَّل	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
kwalificatie	المؤهلات	kwalificatie	مُؤَهِّل	N;MASC+FEM;SG	N;NOM;DEF;PL
hedendaagse	المعاصر	hedendaags	مُعَاصِر	ADJ	N;NOM;DEF;SG
hedendaagse	المعاصرة	hedendaags	مُعَاصِر	ADJ	N;NOM;DEF;SG
gehuwd	متزوجة	huwen	مُتَزَوِّج	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
gehuwd	متزوجه	huwen	متزوجه	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
gehuwd	متزوج	huwen	مُتَزَوِّج	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
jongens	اولاد	jongens	اولاد	N;PL	
jongens	ولاد	jongens	وَلَد	N;PL	
fouten	اخطاء	fout	خَطَأ	N;PL	N;NOM;INDF;SG
fouten	اخطاء	fout	خَطَأ	N;PL	N;NOM;INDF;SG
fouten	الخطا	fout	خَطَا	N;PL	N;NOM;DEF;SG
fouten	خطا	fout	خَطّ	N;PL	N;NOM;INDF;SG
orchestra	الاوركسترا	orchestra	الاوركسترا	N;NEUT;SG	
orchestra	اوركسترا	orchestra	اوركسترا	N;NEUT;SG	
prestaties	الاداء	prestatie	أَدَاء	N;PL	N;NOM;DEF;SG
prestaties	اداء	prestatie	أَدَاء	N;PL	N;NOM;INDF;SG
anthony	انتوني	anthony	أَنتُونِي	N;MASC+FEM;SG	
anthony	انطوني	anthony	أَنطُونِيّ	N;MASC+FEM;SG	
lord	ربي	lord	ربي	N;MASC+FEM;SG	
lord	رب	lord	رَبّ	N;MASC+FEM;SG	
lord	لورد	lord	لورد	N;MASC+FEM;SG	
edwards	ادواردز	edward	أَدُورَد	N;PL	
bedekt	مغطاة	bedekken	مُغَطَّا	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
bedekt	مغطى	bedekken	مَغطَى	V;V.PTCP	
alan	الن	alan	الن	N;MASC+FEM;SG	
zelden	نادرا	zelden	نَادِر	ADV	ADJ;ACC;INDF;MASC;SG
zelden	النادر	zelden	نَادِر	ADV	ADJ;NOM;DEF;MASC;SG
zelden	نادر	zelden	نَادِر	ADV	ADJ;NOM;INDF;MASC;SG
zelden	نادرة	zelden	نَادِر	ADV	ADJ;NOM;INDF;FEM;SG
oekraïne	اوكرانيا	oekraïne	اوكرانيا	PROPN;NEUT;SG	
maarten	مارتن	maarten	مَارتِن	N;PL	
maarten	مارتين	maarten	مَارَّة	N;PL	
samuel	سامويل	samuel	سامويل	N;MASC+FEM;SG	
samuel	صامويل	samuel	صامويل	N;MASC+FEM;SG	
jordan	jorda	jordan	مَذِيث	N;MASC+FEM;SG	
jordan	جوردان	jordan	جُوردَان	N;MASC+FEM;SG	
gehucht	هاملت	huchten	هَامَل	N;NEUT;SG	
gehucht	هملت	huchten	هَمَل	N;NEUT;SG	
ned	نيد	ned	نيد	N;MASC+FEM;SG	
louise	لويز	louis	لويز	N;MASC+FEM;SG	
honderd	hundr	honderd	أَمِثثَة	NUM	
nick	نيك	nick	نيك	N;MASC+FEM;SG	
nick	نك	nick	نك	N;MASC+FEM;SG	
groeten	تحية	groet	تَحِيَّة	N;PL	N;NOM;INDF;SG
groeten	تحياتي	groet	تحياتي	N;PL	
groeten	تحياتى	groet	تحياتى	N;PL	
grande	غراندي	grande	غراندي	N;MASC+FEM;SG	
oxford	اوكسفورد	oxford	اوكسفورد	N;MASC+FEM;SG	
oxford	اكسفورد	oxford	اكسفورد	N;MASC+FEM;SG	
zorg	اهتم	zorg	اِهتَمّ	N;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
wang	وانج	wang	وانج	N;MASC+FEM;SG	
wang	وانغ	wang	وانغ	N;MASC+FEM;SG	
classic	كلاس	classic	كلاس	N;MASC+FEM;SG	
classic	كلاسيكي	classic	كلَاسِيكِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
classic	كلاسيكية	classic	كلَاسِيكِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
classic	الكلاسيكية	classic	كُلآسِيكِيّ	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
classic	تقليدي	classic	تَقلِيدِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
gevoel	اشعر	gevoel	أَشعَر	N;NEUT;SG	
afgesloten	مختومة	afsluiten	مُختَوِم	V;V.PTCP	N;NOM;INDF;SG
afgesloten	مغلقة	afsluiten	مُغلَق	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
afgesloten	مغلق	afsluiten	مُغلَق	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
studeren	الدراسه	studeren	دِرَاسِه	V;NFIN	
studeren	ادرس	studeren	أَدرَس	V;NFIN	
studeren	دراسة	studeren	دِرَاسَة	V;NFIN	N;NOM;INDF;SG
studeren	الدراسة	studeren	دِرَاسَة	V;NFIN	N;NOM;DEF;SG
studeren	دراسة	studeren	دِرَاسَة	V;NFIN	N;NOM;INDF;SG
studeren	ادرس	studeren	أَدرَس	V;NFIN	
studeren	الدراسة	studeren	دِرَاسَة	V;NFIN	N;NOM;DEF;SG
tanden	اسنان	tand	إِسنَان	N;PL	N;NOM;INDF;SG
tanden	الاسنان	tand	الاسنان	N;PL	N;NOM;DEF;SG
insecten	حشرة	insecten	حَشرَة	N;PL	N;NOM;INDF;SG
insecten	الحشرة	insecten	حَشرَة	N;PL	N;NOM;DEF;SG
insecten	البق	insecten	البق	N;PL	N;NOM;DEF;SG
manuel	مانويل	manuel	مَانُوِيل	N;MASC+FEM;SG	
jimmy	جيمى	jimmy	جِيمِيّ	N;MASC+FEM;SG	
jimmy	جيمي	jimmy	جِيمِيّ	N;MASC+FEM;SG	
voorganger	سلف	voorganger	سَالِف	N;MASC+FEM;SG	
reageren	الاستجابة	reageren	اِستِجَابَة	V;NFIN	N;NOM;DEF;SG
leerling	طالب	leerling	طَالَب	N;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
down	اسفل	down	أَسفَل	N;MASC+FEM;SG	
service	الخدمات	service	خِدمَة	N;MASC+FEM;SG	N;NOM;DEF;PL
evenement	حدث	evenement	حَدَث	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
trouw	تزوج	trouw	زَاج	ADJ	V;MASC;IMP;SG;FIN
trouw	الاخلاص	trouw	خَلَص	ADJ	N;NOM;DEF;SG
trouw	وفاء	trouw	وفاء	ADJ	
trouw	ولاء	trouw	وَلَاء	ADJ	N;NOM;INDF;SG
trouw	الولاء	trouw	وَلَاء	ADJ	N;NOM;DEF;SG
trouw	الاخلاص	trouw	خَلَص	ADJ	N;NOM;DEF;SG
trouw	الوفاء	trouw	وَفَاء	ADJ	N;NOM;DEF;SG
trouw	وفاء	trouw	وفاء	ADJ	
vleugels	اجنحة	vleugel	اجنحة	N;PL	
assen	المحاور	ass	مِحوَر	PROPN;NEUT;SG	N;NOM;DEF;PL
assen	محاور	ass	مِحوَر	PROPN;NEUT;SG	N;NOM;INDF;PL
assen	الرماد	ass	رَمَاد	PROPN;NEUT;SG	N;NOM;DEF;SG
assen	اش	ass	أَش	PROPN;NEUT;SG	V;PFV;MASC;SG;3;ACT
assen	رماد	ass	رَمَاد	PROPN;NEUT;SG	N;NOM;INDF;SG
duizenden	الالاف	duizend	أَلف	NUM	N;NOM;DEF;PL
peru	بيرو	peru	بِيرُو	PROPN;NEUT;SG	
peru	البيرو	peru	بَيرُو	PROPN;NEUT;SG	
motoren	موتورز	motor	مُوتُورز	N;PL	
geregisseerd	موجه	regisseren	مُوَجَّه	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
begrijp	افهم	begrijpen	أَفهَم	V;SG;PRS;FIN	
begrijp	فاهم	begrijpen	فَاهَم	V;SG;PRS;FIN	
carolina	كارولاينا	carolina	كارولاينا	N;MASC+FEM;SG	
carolina	كارولينا	carolina	كارولينا	N;MASC+FEM;SG	
getallen	الاعداد	getal	إِعدَاد	N;PL	N;NOM;DEF;SG
verkoop	يبيع	verkoop	بَاع	N;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
verkoop	المبيعات	verkoop	مَبِيعَات	N;MASC+FEM;SG	N;NOM;DEF;PL
verkoop	مبيعات	verkoop	مَبِيعَات	N;MASC+FEM;SG	N;NOM;INDF;PL
verkoop	تخفيضات	verkoop	تَخفِيض	N;MASC+FEM;SG	N;NOM;INDF;PL
tiende	عاشرا	tien	عَاشِر	ADJ	N;ACC;INDF;SG
boston	بوسطن	boston	بُوسطُن	N;MASC+FEM;SG	
burgemeesters	العمد	burgemeester	عَمد	N;PL	N;NOM;DEF;SG
tegenstander	خصم	tegenstander	خصم	N;MASC+FEM;SG	
samengesteld	مركبة	samenstellen	مَركَبَة	V;V.PTCP	N;NOM;INDF;SG
samengesteld	مركب	samenstellen	مركب	V;V.PTCP	N;NOM;INDF;SG
ontwerpen	التصاميم	ontwerpen	تَصمِيم	V;NFIN	N;NOM;DEF;PL
ontwerpen	تصميمات	ontwerpen	تَصمِيم	V;NFIN	N;NOM;INDF;PL
ontwerpen	التصميمات	ontwerpen	تَصمِيم	V;NFIN	N;NOM;DEF;PL
ontwerpen	تصاميم	ontwerpen	تَصمِيم	V;NFIN	N;NOM;INDF;PL
ontwerpen	تصميم	ontwerpen	تَصمِيم	V;NFIN	N;NOM;INDF;SG
ontwerpen	التصميم	ontwerpen	تَصمِيم	V;NFIN	N;NOM;DEF;SG
ontwerpen	تصميم	ontwerpen	تَصمِيم	V;NFIN	N;NOM;INDF;SG
troon	عرش	troon	عَرش	N;MASC+FEM;SG	
literaire	ادبي	literair	أَدبَى	ADJ	N;NOM;INDF;SG
encyclopedische	الموسوعي	encyclopedisch	مَوسُوعِيّ	ADJ	N;NOM;DEF;SG
madagaskar	مدغشقر	madagaskar	مدغشقر	N;MASC+FEM;SG	
verkopen	بيع	verkopen	بَيع	V;NFIN	N;NOM;INDF;SG
verkopen	بيع	verkopen	بَيع	V;NFIN	N;NOM;INDF;SG
verkopen	البيع	verkopen	بَيع	V;NFIN	N;NOM;DEF;SG
verkopen	المبيعات	verkopen	مَبِيعَات	V;NFIN	N;NOM;DEF;PL
verkopen	مبيعات	verkopen	مَبِيعَات	V;NFIN	N;NOM;INDF;PL
verkopen	البيع	verkopen	بَيع	V;NFIN	N;NOM;DEF;SG
verkopen	بيع	verkopen	بَيع	V;NFIN	N;NOM;INDF;SG
verkopen	البيع	verkopen	بَيع	V;NFIN	N;NOM;DEF;SG
verkopen	تخفيضات	verkopen	تَخفِيض	V;NFIN	N;NOM;INDF;PL
getekend	موقعة	tekenen	مُوَقَّع	V;V.PTCP	N;NOM;INDF;SG
getekend	توقيع	tekenen	تَوقِيع	V;V.PTCP	N;NOM;INDF;SG
andy	اندي	andy	اندي	N;MASC+FEM;SG	
rosenberg	روزنبرغ	rosenberg	رُوزنبرغ	N;MASC+FEM;SG	
disney	ديزني	disney	دِيزنِي	N;MASC+FEM;SG	
servië	صربيا	servië	صَربِيّ	PROPN;NEUT;SG	
servië	صربية	servië	صَربِيّ	PROPN;NEUT;SG	ADJ;NOM;INDF;FEM;SG
servië	الصرب	servië	صَرب	PROPN;NEUT;SG	N;NOM;DEF;PL
servië	الصربية	servië	صَربِيّ	PROPN;NEUT;SG	ADJ;NOM;DEF;FEM;SG
servië	الصربي	servië	صَربِيّ	PROPN;NEUT;SG	ADJ;NOM;DEF;MASC;SG
eenvoudige	بسيطه	eenvoudig	بسيطه	ADJ	PRO;NOM;MASC;SG;3
eenvoudige	البسيط	eenvoudig	بَسِيط	ADJ	
winkel	تسوق	winkel	سَوَّق	N;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
winkel	متجر	winkel	مَتجَر	N;MASC+FEM;SG	
winkel	شوب	winkel	شَوبَ	N;MASC+FEM;SG	
winkel	متجر	winkel	مَتجَر	N;MASC+FEM;SG	
voorloper	السلائف	voorloper	سَلَائِف	N;MASC+FEM;SG	N;NOM;DEF;PL
voorloper	تباشير	voorloper	تَبشِير	N;MASC+FEM;SG	N;NOM;INDF;PL
slowakije	سلوفاكيا	slowakije	سلُوفَاكِيَا	N;NEUT;SG	
portret	بورتريه	portret	بُورترِيه	N;NEUT;SG	
wezen	اليتامى	wezen	اليتامى	V;NFIN	
wezen	ايتام	wezen	ايتام	V;NFIN	
wezen	الايتام	wezen	يَتِيم	V;NFIN	N;NOM;DEF;PL
wezen	مخلوق	wezen	مَخلُوق	V;NFIN	ADJ;NOM;INDF;MASC;SG
wezen	المخلوق	wezen	مَخلُوق	V;NFIN	N;NOM;DEF;SG
romeinen	الرومان	romein	رُومَان	N;PL	N;NOM;DEF;SG
verliefd	اعجاب	verliefd	عَجَب	ADJ	N;NOM;INDF;PL
verliefd	سحق	verliefd	سَحق	ADJ	V;PFV;MASC;SG;3;ACT
milaan	ميلان	milaan	ميلان	PROPN;NEUT;SG	
milaan	ميلانو	milaan	مِيلَانُو	PROPN;NEUT;SG	
toon	اظهر	toon	أَظهَر	N;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
toon	اعرض	toon	أَعرَض	N;MASC+FEM;SG	
producent	منتجة	producent	مُنتِج	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
producent	المنتجة	producent	مُنتِج	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
manchester	مانشستر	manchester	مَانشِستَر	N;MASC+FEM;SG	
minimaal	الدنيا	minimaal	دِنِّيَا	ADJ	N;NOM;DEF;SG
kelly	كيلي	kelly	كيلي	N;MASC+FEM;SG	
jongeren	الشباب	jong	شَبّ	ADJ;CMPR	N;NOM;DEF;PL
jongeren	شب	jong	شَبّ	ADJ;CMPR	N;NOM;INDF;SG
auteurs	المؤلفين	auteur	مُؤَلِّف	N;PL	ADJ;ACC;DEF;MASC;PL
melding	الاشعار	melding	شَعَر	N;MASC+FEM;SG	N;NOM;DEF;PL
melding	اشعار	melding	شَعر	N;MASC+FEM;SG	N;NOM;INDF;PL
müller	مولر	mul	مولر	N;MASC+FEM;SG	
müller	مولر	mul	مولر	N;MASC+FEM;SG	
müller	مولر	mul	مولر	N;MASC+FEM;SG	
positief	موجب	positief	مُوجِب	ADJ	N;NOM;INDF;SG
shorts	شورت	shorts	شورت	N;PL	
special	الخاص	special	خَاصّ	N;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
special	خاص	special	خَاصّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
special	مميز	special	مُمَيَّز	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
special	خاصة	special	خَاصّ	N;MASC+FEM;SG	ADJ;ACC;INDF;FEM;SG
lambert	لامبرت	lamberen	لَامبِرت	N;MASC+FEM;SG	
lambert	لامبيرت	lamberen	لَامبِير	N;MASC+FEM;SG	
master	معلمي	master	مُعَلِّم	N;MASC+FEM;SG	N;NOM;INDF;PL
master	ماجستير	master	ماجستير	N;MASC+FEM;SG	
master	ماستر	master	ماستر	N;MASC+FEM;SG	
liga	دوري	liga	دَورِيّ	N;MASC+FEM;SG	
hertogdom	دوقية	hertogdom	دَوقِيّ	N;NEUT;SG	
systemen	نظم	systeem	نَظَّم	N;PL	V;PFV;MASC;SG;3;ACT
jules	جولز	jules	جولز	N;MASC+FEM;SG	
ludwig	لودفيج	ludwig	لودفيج	N;MASC+FEM;SG	
boy	بوي	boy	بوي	N;MASC+FEM;SG	
arabisch	العرب	arabisch	عَرَب	ADJ	N;NOM;DEF;SG
arabisch	عرب	arabisch	عرب	ADJ	
arabisch	بالعربي	arabisch	بالعربي	ADJ	N;NOM;DEF;SG
arabisch	بالعربية	arabisch	بَالِعربِيّ	ADJ	N;NOM;DEF;SG
bestuurder	سائقا	bestuurder	سَائِق	N;MASC+FEM;SG	ADJ;ACC;INDF;MASC;SG
camera	كاميرا	camera	كَامِيرَا	N;MASC+FEM;SG	
stockholm	استكهولم	stockholm	استكهولم	N;NEUT;SG	
stockholm	ستوكهولم	stockholm	ستوكهولم	N;NEUT;SG	
breken	كسر	breken	كَسر	V;NFIN	N;NOM;INDF;SG
breken	استراحة	breken	اِستِرَاحَة	V;NFIN	N;NOM;INDF;SG
breken	كسر	breken	كَسر	V;NFIN	N;NOM;INDF;SG
wijn	نبيذ	wijn	نبيذ	N;MASC+FEM;SG	
neem	خذ	nemen	خَذّ	V;SG;PRS;FIN	
philip	فيليب	philip	فِيلِيب	N;MASC+FEM;SG	
howard	هوارد	howard	هوارد	N;MASC+FEM;SG	
howard	هاوارد	howard	هاوارد	N;MASC+FEM;SG	
howard	هاورد	howard	هاورد	N;MASC+FEM;SG	
gelukkig	بسعادة	gelukkig	بسعادة	ADJ	N;GEN;INDF;SG
gelukkig	لاكي	gelukkig	لاكي	ADJ	
gelukkig	المحظوظ	gelukkig	مَحظُوظ	ADJ	N;NOM;DEF;SG
gelukkig	يسعد	gelukkig	سَعِد	ADJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
gelukkig	سعيده	gelukkig	سعيده	ADJ	PRO;NOM;FEM;SG;3
gelukkig	هابي	gelukkig	هابي	ADJ	
gelukkig	سعيد	gelukkig	سعيد	ADJ	
masters	الماجستير	master	الماجستير	N;PL	N;NOM;DEF;SG
toegelaten	مسموح	toelaten	مَسمُوح	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
toegelaten	المسموح	toelaten	مَسمُوح	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
toegelaten	المسموح	toelaten	مَسمُوح	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
bruine	اسمر	bruin	أَسمَر	ADJ	
bruine	البني	bruin	بَنِّيّ	ADJ	N;NOM;DEF;SG
bruine	بنية	bruin	بِنيَة	ADJ	N;NOM;INDF;SG
bruine	براون	bruin	براون	ADJ	
vreemd	غربة	vreemd	غُربَة	ADJ	N;NOM;INDF;SG
vreemd	غريب	vreemd	غريب	ADJ	
ontsnappen	هروب	ontsnappen	هُرُوب	V;NFIN	N;NOM;INDF;SG
ontsnappen	الهرب	ontsnappen	الهرب	V;NFIN	N;NOM;DEF;SG
ontsnappen	الهروب	ontsnappen	هُرُوب	V;NFIN	N;NOM;DEF;SG
ali	الي	ali	اليّ	N;MASC+FEM;SG	
ali	علي	ali	علي	N;MASC+FEM;SG	
ali	ali	ali	شَضَم	N;MASC+FEM;SG	
analyse	تحليلات	analyse	تَحلِيل	N;MASC+FEM;SG	N;NOM;INDF;PL
vietnam	فيتنام	vietnemen	فِيَتنَام	PROPN;NEUT;SG	
johanna	جوانا	johanna	جَوَان	N;MASC+FEM;SG	
story	ستوري	story	ستوري	N;MASC+FEM;SG	
story	قصه	story	قَصه	N;MASC+FEM;SG	
drama	دراما	drama	دِرَامَا	N;NEUT;SG	N;NOM;INDF;PL
drama	الدراما	drama	دِرَامَا	N;NEUT;SG	N;NOM;DEF;PL
dak	سطح	dak	سَطح	N;NEUT;SG	
redden	الادخار	redden	اِدِّخَار	V;NFIN	N;NOM;DEF;SG
redden	الحفظ	redden	حِفظ	V;NFIN	N;NOM;DEF;SG
redden	انقاذ	redden	إِنقَاذ	V;NFIN	N;NOM;INDF;SG
redden	الانقاذ	redden	إِنقَاذ	V;NFIN	N;NOM;DEF;SG
redden	انقاذ	redden	إِنقَاذ	V;NFIN	N;NOM;INDF;SG
eer	شرف	eer	شَرَف	N;MASC+FEM;SG	
more	المزيد	more	مَزِيد		N;NOM;DEF;SG
more	اكتر	more	أَكتَر		
more	اكثر	more	أَكثَر		ADJ;NOM;INDF;MASC;SG
more	مزيد	more	مَزِيد		N;NOM;INDF;SG
tenzij	مالم	tenzij	مَالَم	CONJ	CONJ
tenzij	الا	tenzij	إِلَّا	CONJ	PART
verkregen	المكتسبة	verkrijgen	مُكتَسَبَة	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
boys	اولاد	boys	اولاد	N;PL	
boys	ولاد	boys	وَلَد	N;PL	
journal	يوميات	journal	يَومِيّ		ADJ;NOM;INDF;FEM;PL
journal	اليوميات	journal	يَومِيّ		N;NOM;DEF;PL
charlie	تشارلى	charlie	تشَارلِي	N;MASC+FEM;SG	
charlie	تشارلي	charlie	تشَارلِي	N;MASC+FEM;SG	
charlie	شارلي	charlie	شَارِلِيّ	N;MASC+FEM;SG	
drummer	الطبال	drummer	طَبِيل	N;MASC+FEM;SG	
test	اختبر	test	اِختَبَر	N;MASC+FEM;SG	
origineel	اصلي	origineel	أَصلِيّ	ADJ	
origineel	الاصل	origineel	أَصل	ADJ	
dave	دايف	dave	دايف	N;MASC+FEM;SG	
dave	ديف	dave	دَيفَ	N;MASC+FEM;SG	
verdediging	دفاع	verdediging	دفاع	N;MASC+FEM;SG	
verdediging	دفاع	verdediging	دفاع	N;MASC+FEM;SG	
kopje	كاس	kopje	كَاس	N;NEUT;SG	
kopje	الكاس	kopje	كَاسّ	N;NEUT;SG	
hoeven	حوافر	hoeven	حَافِر	V;NFIN	N;NOM;INDF;PL
draaien	تناوب	draaien	تَنَاوُب	V;NFIN	N;NOM;INDF;SG
draaien	تدوير	draaien	تَدوِير	V;NFIN	N;NOM;INDF;SG
draaien	سبين	draaien	سَبَين	V;NFIN	
draaien	الدوران	draaien	دَوَرَان	V;NFIN	N;NOM;DEF;SG
bewust	بوعي	bewust	بُوعِي	ADJ	
bezet	مشغولا	bezetten	مَشغُول	V;V.PTCP	ADJ;ACC;INDF;MASC;SG
bezet	مشغول	bezetten	مَشغُول	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
bezet	مشغولين	bezetten	مَشغُول	V;V.PTCP	ADJ;NOM;INDF;MASC;PL
bezet	مشغولة	bezetten	مَشغُول	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
bezet	محتلة	bezetten	مُحتَلّ	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
bezet	المحتلة	bezetten	مُحتَلّ	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
bezet	المحتل	bezetten	مُحتَلّ	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
like	مثل	lik	مِثلَ		ADP;NOM
like	لايك	lik	لَايك		
peking	بكين	peking	بِكِين	N;NEUT;SG	
peking	بيجين	peking	بِيجِين	N;NEUT;SG	
peking	بكين	peking	بِكِين	N;NEUT;SG	
getroffen	المتضررة	treffen	مُتَضَرِّر	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
getroffen	المنكوبة	treffen	مَنكُوب	V;V.PTCP	N;NOM;DEF;SG
positieve	موجب	positief	مُوجِب	ADJ	N;NOM;INDF;SG
paulo	باولو	paulo	بَاولُو	N;MASC+FEM;SG	
onderzoeken	التحقيقات	onderzoeken	تَحقِيق	V;NFIN	N;NOM;DEF;PL
onderzoeken	تحقيقات	onderzoeken	تَحقِيق	V;NFIN	N;NOM;INDF;PL
onderzoeken	استفسارات	onderzoeken	اِستِفسَار	V;NFIN	N;NOM;INDF;PL
onderzoeken	تحريات	onderzoeken	تَحَرِّي	V;NFIN	N;NOM;INDF;PL
onderzoeken	للاستفسار	onderzoeken	للاستفسار	V;NFIN	N;NOM;DEF;SG
onderzoeken	التحقيقات	onderzoeken	تَحقِيق	V;NFIN	N;NOM;DEF;PL
onderzoeken	الاستفسارات	onderzoeken	اِستِفسَار	V;NFIN	N;NOM;DEF;PL
kopenhagen	كوبنهاغن	kopenhaag	كُوبِنهَاغِن	N;PL	
iran	ايران	iran	إِيرَان	PROPN;NEUT;SG	N;NOM;INDF;SG
ernstige	جاد	ernstig	جاد	ADJ	
zürich	زيورخ	zürich	زيورخ	PROPN;NEUT;SG	
zürich	زيوريخ	zürich	زيوريخ	PROPN;NEUT;SG	
benoemde	مسمى	benoemen	مُسَمَّى	V;V.PTCP	N;NOM;INDF;SG
benoemde	المعين	benoemen	المعين	V;V.PTCP	
sprint	spr	sprint	خَذَل	N;MASC+FEM;SG	
deens	الدانمرك	deens	الدانمرك	ADJ	
deens	الدانمركية	deens	دَانَمِركِيّ	ADJ	
deens	الدنماركية	deens	دَنِمَارِكِيّ	ADJ	N;NOM;DEF;SG
liberale	الليبرالية	liberaal	لِيبِرَالِيّ	ADJ	N;NOM;DEF;SG
vriendin	حبيبه	vriendin	حبيبه	N;MASC+FEM;SG	PRO;NOM;MASC;SG;3
vriendin	صديقي	vriendin	صديقي	N;MASC+FEM;SG	
stephen	ستيفن	stephen	ستِيفِن	N;SG	
stephen	ستيفين	stephen	ستِيفِين	N;SG	
nicolaas	نيكولاس	nicolaas	نيكولاس	N;MASC+FEM;SG	
robin	روبين	robin	رُوبِين	N;MASC+FEM;SG	
robin	روبن	robin	رُوبِن	N;MASC+FEM;SG	
opnemen	تسجيل	opnemen	تَسجِيل	V;NFIN	N;NOM;INDF;SG
opnemen	التسجيل	opnemen	تَسجِيل	V;NFIN	N;NOM;DEF;SG
negentig	تسعين	negentig	تَسعِين	NUM	
negentig	تسعون	negentig	سَعَى	NUM	
verbond	عهد	verbinden	عَهد	V;SG;PST;FIN	N;NOM;INDF;SG
verbond	العهد	verbinden	عَهد	V;SG;PST;FIN	N;NOM;DEF;SG
verbond	الحلف	verbinden	حِلف	V;SG;PST;FIN	N;NOM;DEF;SG
verbond	تحالف	verbinden	تَحَالُف	V;SG;PST;FIN	N;NOM;INDF;SG
verbond	التحالف	verbinden	تَحَالُف	V;SG;PST;FIN	N;NOM;DEF;SG
transport	المواصلات	transport	مُوَاصَلَة	N;NEUT;SG	N;NOM;DEF;PL
transport	المواصلات	transport	مُوَاصَلَة	N;NEUT;SG	N;NOM;DEF;PL
jacobus	جيمس	jacobus	جِيمس	N;MASC+FEM;SG	
jacobus	جايمس	jacobus	جَايمس	N;MASC+FEM;SG	
interessant	للاهتمام	interessant	للاهتمام	ADJ	PRO;GEN;MASC;SG;3
main	رئيسية	main	رَئِيسِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
main	الرئيسية	main	رَئِيسِيّ	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
verkeerd	الخطا	verkeerd	خَطَا	ADJ	N;NOM;DEF;SG
verkeerd	غلط	verkeerd	غَلط	ADJ	
verkeerd	خطا	verkeerd	خَطّ	ADJ	N;NOM;INDF;SG
federale	الاتحادية	federaal	اِتِّحَادِيّ	ADJ	
volgorde	متتالية	volgorde	مُتَتَالِي	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
sturen	ارسال	sturen	ارسال	V;NFIN	
ervaren	خبرة	ervaren	خِبرَة	V;V.PTCP	N;NOM;INDF;SG
ervaren	خبرة	ervaren	خِبرَة	V;V.PTCP	N;NOM;INDF;SG
ervaren	التجربة	ervaren	تَجرِبَة	V;V.PTCP	N;NOM;DEF;SG
ervaren	الخبرة	ervaren	خِبرَة	V;V.PTCP	N;NOM;DEF;SG
ervaren	الخبرات	ervaren	خِبرَة	V;V.PTCP	N;NOM;DEF;PL
ervaren	تجربة	ervaren	تَجرِبَة	V;V.PTCP	N;NOM;INDF;SG
vreemde	غريب	vreemd	غريب	ADJ	
