terry	terry	terry	terry	PROPN	N;MASC;SG
atribuite	atribuídos	atribuit	atribuir	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
atribuite	atribuído	atribuit	atribuir	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
atribuite	atribuída	atribuit	atribuir	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
atribuite	atribuídas	atribuit	atribuir	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
atribuite	atribuídos	atribuit	atribuir	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
atribuite	atribuído	atribuit	atribuir	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
atribuite	atribuída	atribuit	atribuir	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
atribuite	atribuídas	atribuit	atribuir	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
dragomir	dragomir	dragomir	dragomir	PROPN	N;MASC;SG
reciproc	mútua	reciproc	mútuo	ADV	N;FEM;SG
reciproc	mútuo	reciproc	mútuo	ADV	N;MASC;SG
extra	figurante	extra	figurante		N;MASC;SG
extra	extra	extra	extra		N;MASC;SG
avansate	avançados	avansat	avançar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
avansate	avançado	avansat	avançar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
avansate	avançada	avansat	avançar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
avansate	advanced	avansat	advanced	ADJ;INDF;FEM;PL	N;MASC;SG
avansate	avançadas	avansat	avançar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
tratarea	tratando	tratare	tratar	N;DEF;FEM;SG	V;V.MSDR
antena	antenas	antena	antena	N;DEF;FEM;SG	N;FEM;PL
antena	antenas	antena	antena	N;DEF;FEM;SG	N;FEM;PL
umbra	sombras	umbră	sombra	N;DEF;FEM;SG	N;FEM;PL
umbra	sombras	umbră	sombra	N;DEF;FEM;SG	N;FEM;PL
creuse	creuse	creus	creuse	V;IND;SG;3;PST+PRF;FIN	N;MASC;SG
omorat	assassinado	omora	assassinar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
omorat	assassinadas	omora	assassinar	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
omorat	assassinada	omora	assassinar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
omorat	assassinados	omora	assassinar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
omorat	morto	omora	morrer	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
omorat	matou	omora	matar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
marturii	testemunho	marturie	testemunho	N;INDF;FEM;PL	N;MASC;SG
aaron	aaron	aaron	aaron	PROPN	N;MASC;SG
aaron	aarão	aaron	aarão	PROPN	INTJ
falls	cai	fall	cair	PROPN	V;IND;SG;3;PRS;FIN
falls	quedas	fall	queda	PROPN	N;FEM;PL
falls	cataratas	fall	catarata	PROPN	N;MASC;PL
falls	falls	fall	fall	PROPN	N;MASC;SG
paraná	paraná	paraná	paraná	PROPN	N;MASC;SG
transformare	transformações	transformare	transformação	N;INDF;FEM;SG	N;FEM;PL
promoveaza	promove	promoveaza	promover	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
promoveaza	promova	promoveaza	promover	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
digitale	digitais	digital	digital	ADJ;INDF;FEM;PL	N;MASC;PL
digitale	digital	digital	digital	ADJ;INDF;FEM;PL	N;MASC;SG
grafic	gráfico	grafic	gráfico	ADV	N;MASC;SG
grafic	grafo	grafic	grafo	ADV	N;MASC;SG
grafic	gráfica	grafic	gráfico	ADV	N;FEM;SG
grafic	gráfico	grafic	gráfico	ADV	N;MASC;SG
grafic	gráficos	grafic	gráfico	ADV	N;MASC;PL
grafic	tabela	grafic	tabela	ADV	N;FEM;SG
grafic	gráfico	grafic	gráfico	ADV	N;MASC;SG
pedeapsa	castigos	pedeapsă	castigo	N;DEF;FEM;SG	N;MASC;PL
pedeapsa	punições	pedeapsă	punição	N;DEF;FEM;SG	N;FEM;PL
pedeapsa	castigos	pedeapsă	castigo	N;DEF;FEM;SG	N;MASC;PL
pedeapsa	punições	pedeapsă	punição	N;DEF;FEM;SG	N;FEM;PL
mei	mei	meu	mei	DET;MASC;PL;1	N;MASC;SG
sevilla	sevilla	sevilla	sevilla	PROPN	N;MASC;SG
sevilla	sevilha	sevilla	sevilha	PROPN	N;MASC;SG
definite	definida	definit	definir	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
definite	definidos	definit	definir	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
definite	definidas	definit	definido	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
definite	definiu	definit	definir	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
definite	definido	definit	definir	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
pauza	quebrar	pauză	quebrar	N;DEF;FEM;SG	V;NFIN
pauza	quebrar	pauză	quebrar	N;DEF;FEM;SG	V;NFIN
allan	allan	allan	allan	PROPN	N;MASC;SG
globala	globais	globală	global	ADJ;DEF;FEM;SG	ADJ;MASC;PL
torre	torre	torre	torre	PROPN	N;FEM;SG
conan	conan	conan	conan	PROPN	N;MASC;SG
brescia	brescia	brescie	brescer	PROPN	N;MASC;SG
circuitul	circuitos	circuit	circuito	N;DEF;MASC;SG	N;MASC;PL
infrant	derrotou	infrant	derrotar		V;IND;SG;3;PST;FIN
infrant	derrotado	infrant	derrotar		V;MASC;SG;V.PTCP
infrant	vencido	infrant	vencer		V;MASC;SG;V.PTCP
infrant	derrotada	infrant	derrotar		V;FEM;SG;V.PTCP
infrant	derrotados	infrant	derrotar		V;MASC;PL;V.PTCP
ferrara	ferrara	ferrara	ferrar	PROPN	N;MASC;SG
string	string	stringe	string		N;FEM;SG
collins	collins	collins	collin	PROPN	N;MASC;SG
ontario	ontário	ontario	ontário	PROPN	N;MASC;SG
valoroase	valiosa	valoros	valioso	ADJ;INDF;FEM;PL	ADJ;FEM;SG
valoroase	valioso	valoros	valioso	ADJ;INDF;FEM;PL	ADJ;MASC;SG
manifestat	manifestou	manifesta	manifestar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
manifestat	manifestada	manifesta	manifestar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
manifestat	manifestado	manifesta	manifestar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
manifestat	manifestadas	manifesta	manifestar	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
reclama	comerciais	reclama	comercial	N;DEF;FEM;SG	N;MASC;PL
reclama	comercial	reclama	comercial	N;DEF;FEM;SG	ADJ;MASC;SG
merite	mérito	merit	mérito	N;INDF;FEM;PL	N;MASC;SG
tong	tong	tong	tong	PROPN	N;MASC;SG
comunicatii	comunicações	comunicat	comunicação		N;FEM;PL
comunicatii	comunicação	comunicat	comunicação		N;FEM;SG
manga	manga	manga	mangar		N;FEM;SG
manga	mangá	manga	mangar		N;MASC;SG
indo	indo	indo	ir		V;V.MSDR
montreal	montreal	montreal	montreal	PROPN	N;MASC;SG
scade	diminuição	scădea	diminuição	V;IND;SG;3;PRS;FIN	N;FEM;SG
ton	atuns	ton	atum	N;INDF;MASC;SG	N;MASC;PL
ton	tons	ton	tom	N;INDF;MASC;SG	N;MASC;PL
cheia	chaves	cheie	chave	N;DEF;FEM;SG	N;MASC;PL
romanov	romanov	romanov	romanov	PROPN	N;MASC;SG
mecanice	mecânico	mecanic	mecânico	ADJ;INDF;FEM;PL	N;MASC;SG
mecanice	mecânicos	mecanic	mecânico	ADJ;INDF;FEM;PL	N;MASC;PL
mecanice	mecânica	mecanic	mecânico	ADJ;INDF;FEM;PL	N;FEM;SG
mobil	móveis	mobil	móvel	N;INDF;MASC;SG	N;MASC;PL
sean	sean	sean	sean	PROPN	N;MASC;SG
schi	esquiar	schi	esquiar	N;INDF;MASC;SG	V;NFIN
fictiv	fictício	fictiv	fictício	ADJ;INDF;MASC;SG	N;MASC;SG
fictiv	fictícias	fictiv	fictícia	ADJ;INDF;MASC;SG	N;FEM;PL
fictiv	fictícios	fictiv	fictício	ADJ;INDF;MASC;SG	N;MASC;PL
fictiv	ficção	fictiv	ficção	ADJ;INDF;MASC;SG	N;FEM;SG
fictiv	fictício	fictiv	fictício	ADJ;INDF;MASC;SG	N;MASC;SG
talentul	talentos	talent	talento	N;DEF;MASC;SG	N;MASC;PL
oklahoma	oklahoma	oklahoma	oklahoma	PROPN	N;MASC;SG
terestra	terrestres	terestră	terrestre	N;DEF;FEM;SG	N;MASC;PL
bernhard	bernhard	bernhard	bernhard	PROPN	N;MASC;SG
bernhard	bernardo	bernhard	bernardo	PROPN	N;MASC;SG
batut	espancado	bate	espancar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
batut	vencido	bate	vencer	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
batut	batido	bate	bater	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
batut	espancado	bate	espancar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
batut	vencido	bate	vencer	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
batut	batido	bate	bater	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
aristotel	aristóteles	aristotel	aristótele	N;INDF;MASC;SG	N;MASC;PL
alpha	alpha	alpha	alpha		N;MASC;SG
alpha	alfa	alpha	alfar		N;MASC;SG
atlético	atlético	atlético	atlético	PROPN	N;MASC;SG
sprijina	suporta	sprijină	suportar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
sprijina	apoia	sprijină	apoiar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
sprijina	suportes	sprijină	suporte	V;IND;SG;3;IPFV;FIN	N;MASC;PL
sprijina	apoios	sprijină	apoio	V;IND;SG;3;IPFV;FIN	N;MASC;PL
tiparita	impressos	tiparită	imprimir	ADJ;DEF;FEM;SG	N;MASC;PL
tiparita	impressa	tiparită	imprimir	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
tiparita	impresso	tiparită	imprimir	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
rica	rica	rica	rico	PROPN	ADJ;FEM;SG
afecta	afetam	afecta	afetar	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
icoana	ícones	icoană	ícone	N;DEF;FEM;SG	N;MASC;PL
xinglong	xinglong	xinglong	xinglong		N;MASC;SG
amy	amy	amy	amy	PROPN	N;FEM;SG
klaus	klaus	klaus	klaus	PROPN	N;MASC;SG
pasi	degraus	pas	degrau		N;MASC;PL
pasi	etapas	pas	etapa		N;FEM;PL
pasi	passos	pas	passo		N;MASC;PL
pasi	pegadas	pas	pegada		N;FEM;PL
pasi	pisadas	pas	pisar		V;FEM;PL;V.PTCP
pasi	passos	pas	passo		N;MASC;PL
pasi	degraus	pas	degrau		N;MASC;PL
pasi	etapas	pas	etapa		N;FEM;PL
pasi	passos	pas	passo		N;MASC;PL
butler	butler	butler	butler	PROPN	N;MASC;SG
butler	mordomo	butler	mordomo	PROPN	N;MASC;SG
discutat	discutiu	discuta	discutir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
discutat	discutiram	discuta	discutir	ADJ;INDF;MASC;SG	V;IND;PL;3;FIN
discutat	discutida	discuta	discutir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
discutat	discutido	discuta	discutir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
inutil	inútil	inutil	inútil	ADV	ADJ;MASC;SG
inutil	inútil	inutil	inútil	ADV	ADJ;MASC;SG
inutil	inúteis	inutil	inútil	ADV	ADJ;MASC;PL
rolling	rolling	rolling	rolling	PROPN	N;MASC;SG
rolling	rolando	rolling	rolando	PROPN	V;V.MSDR
rolling	rolamento	rolling	rolamento	PROPN	N;MASC;SG
explicatie	explicações	explicatie	explicação	N;INDF;FEM;SG	N;FEM;PL
explicatie	explicações	explicatie	explicação	N;INDF;FEM;SG	N;FEM;PL
hudson	hudson	hudson	hudson	PROPN	N;MASC;SG
edmund	edmundo	edmunde	edmundo	PROPN	N;MASC;SG
edmund	edmund	edmunde	edmund	PROPN	N;MASC;SG
intelectuali	intelectual	intelectual	intelectual	N;INDF;MASC;PL	ADJ;MASC;SG
protejat	protegida	protejat	protegido	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
protejat	protegidas	protejat	proteger	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
protejat	protegidos	protejat	proteger	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
protejat	protegido	protejat	proteger	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
ronald	ronald	ronald	ronald	PROPN	N;MASC;SG
alin	alin	alin	alin	PROPN	N;MASC;SG
colective	coletiva	colectiv	coletivo	ADJ;INDF;FEM;PL	N;FEM;SG
colective	colectivo	colectiv	colectivo	ADJ;INDF;FEM;PL	N;MASC;SG
colective	colectiva	colectiv	colectivo	ADJ;INDF;FEM;PL	ADJ;FEM;SG
colective	coletivo	colectiv	coletivo	ADJ;INDF;FEM;PL	N;MASC;SG
gandit	pensei	gandi	pensar	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
gandit	pensamento	gandi	pensamento	ADJ;INDF;MASC;SG	N;MASC;SG
gandit	pensado	gandi	pensar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
gandit	pensou	gandi	pensar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
homo	gays	homo	gay	N;INDF;MASC;SG	N;MASC;PL
homo	homossexual	homo	homossexual	N;INDF;MASC;SG	ADJ;MASC;SG
droguri	droga	drog	droga	N;INDF;FEM;PL	N;FEM;SG
droguri	droga	drog	droga	N;INDF;FEM;PL	N;FEM;SG
droguri	fármaco	drog	fármaco	N;INDF;FEM;PL	N;MASC;SG
droguri	droga	drog	droga	N;INDF;FEM;PL	N;FEM;SG
willem	willem	willem	willar	PROPN	N;MASC;SG
jucand	jogar	juca	jogar	N;INDF;MASC;SG	V;NFIN
jucand	tocando	juca	tocar	N;INDF;MASC;SG	V;V.MSDR
jucand	jogando	juca	jogar	N;INDF;MASC;SG	V;V.MSDR
jucand	brincando	juca	brincar	N;INDF;MASC;SG	V;V.MSDR
intervenit	interveio	interveni	intervir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intervenit	intervieram	interveni	intervir	ADJ;INDF;MASC;SG	V;IND;PL;3;FIN
intervenit	intervindo	interveni	intervir	ADJ;INDF;MASC;SG	V;V.MSDR
generat	gerados	genera	gerar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
generat	gerado	genera	gerar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
generat	gerada	genera	gerar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
generat	geradas	genera	gerar	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
succese	êxito	succes	êxito	N;INDF;FEM;PL	N;MASC;SG
succese	sucesso	succes	sucesso	N;INDF;FEM;PL	N;MASC;SG
morbihan	morbihan	morbihan	morbihan	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
reformei	reformar	reformă	reformar	N;DEF;FEM;SG	V;NFIN
reformei	reformas	reformă	reforma	N;DEF;FEM;SG	N;FEM;PL
necunoscute	desconhecida	necunoscut	desconhecer	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
necunoscute	desconhecidos	necunoscut	desconhecer	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
necunoscute	desconhecidas	necunoscut	desconhecer	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
necunoscute	desconhecido	necunoscut	desconhecer	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
filipine	filipinas	filipine	filipina	N;INDF;FEM;SG	N;FEM;PL
secundara	secundárias	secundar	secundário	ADJ;DEF;FEM;SG	ADJ;FEM;PL
secundara	secundária	secundar	secundário	ADJ;DEF;FEM;SG	N;FEM;SG
secundara	secundário	secundar	secundário	ADJ;DEF;FEM;SG	N;MASC;SG
secundara	secundários	secundar	secundário	ADJ;DEF;FEM;SG	ADJ;MASC;PL
gandire	pensando	gandire	pensar	N;INDF;FEM;SG	V;V.MSDR
gandire	pensar	gandire	pensar	N;INDF;FEM;SG	V;NFIN
identificate	identificou	identificat	identificar	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
identificate	identificado	identificat	identificar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
identificate	identificadas	identificat	identificar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
identificate	identificada	identificat	identificar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
identificate	identificados	identificat	identificar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
farmacie	farmácias	farmacie	farmácia	N;INDF;FEM;SG	N;FEM;PL
biti	bits	biti	bit		N;MASC;PL
rightarm	rightarm	rightarm	rightar	N;INDF;MASC;SG	V;NFIN
mexican	mexicanos	mexican	mexicano	ADJ;INDF;MASC;SG	N;MASC;PL
mexican	mexicana	mexican	mexicano	ADJ;INDF;MASC;SG	N;FEM;SG
mexican	mexicanas	mexican	mexicano	ADJ;INDF;MASC;SG	N;FEM;PL
mexican	mexicano	mexican	mexicano	ADJ;INDF;MASC;SG	N;MASC;SG
five	cinco	fiv	cinco	N;INDF;MASC;SG	NUM
pictate	pintado	picta	pintar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
pictate	pintada	picta	pintar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
pictate	pintadas	picta	pintar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
pictate	pintados	picta	pintar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
pictate	pintou	picta	pintar	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
aleksandr	aleksandr	aleksandr	aleksandr	PROPN	N;MASC;SG
pozitiva	positivos	pozitivă	positivo	ADJ;DEF;FEM;SG	N;MASC;PL
pozitiva	positivas	pozitivă	positivo	ADJ;DEF;FEM;SG	ADJ;FEM;PL
tiparit	impressos	tipari	imprimir	ADJ;INDF;MASC;SG	N;MASC;PL
tiparit	impressa	tipari	imprimir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
tiparit	impresso	tipari	imprimir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
yemen	iêmen	yemen	iêmen	PROPN	N;MASC;SG
yemen	iémen	yemen	iémen	PROPN	N;MASC;SG
cantand	cantando	cantand	cantar		V;V.MSDR
cantand	cantar	cantand	cantar		V;NFIN
cantand	cantando	cantand	cantar		V;V.MSDR
cantand	cantar	cantand	cantar		V;NFIN
stiluri	styles	stil	style	N;INDF;FEM;PL	N;MASC;SG
protejarea	proteger	protejare	proteger	N;DEF;FEM;SG	V;NFIN
protejarea	protegendo	protejare	proteger	N;DEF;FEM;SG	V;V.MSDR
norvegian	noruegueses	norvegian	norueguês	ADJ;INDF;MASC;SG	N;MASC;PL
norvegian	norueguesa	norvegian	norueguês	ADJ;INDF;MASC;SG	N;FEM;SG
norvegian	norueguês	norvegian	norueguês	ADJ;INDF;MASC;SG	N;MASC;SG
impuscat	shot	impusca	shot	ADJ;INDF;MASC;SG	N;MASC;SG
impuscat	tiro	impusca	tiro	ADJ;INDF;MASC;SG	N;MASC;SG
impuscat	baleado	impusca	balear	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
impuscat	shot	impusca	shot	ADJ;INDF;MASC;SG	N;MASC;SG
impuscat	tiro	impusca	tiro	ADJ;INDF;MASC;SG	N;MASC;SG
impuscat	baleado	impusca	balear	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
salbatica	selvagem	salbatică	selvagem	N;DEF;FEM;SG	ADJ;MASC;SG
salbatica	selvagens	salbatică	selvagem	N;DEF;FEM;SG	N;MASC;PL
teama	temer	teamă	temer	N;DEF;FEM;SG	V;NFIN
teama	temer	teamă	temer	N;DEF;FEM;SG	V;NFIN
sambata	sábados	sambata	sábado	N;DEF;FEM;SG	N;MASC;PL
sambata	sábados	sambata	sábado	N;DEF;FEM;SG	N;MASC;PL
sambata	sábados	sambata	sábado	N;DEF;FEM;SG	N;MASC;PL
sambata	sábados	sambata	sábado	N;DEF;FEM;SG	N;MASC;PL
sambata	sábados	sambata	sábado	N;DEF;FEM;SG	N;MASC;PL
profesionisti	profissionais	profesionist	profissional	ADJ;INDF;MASC;PL	N;MASC;PL
profesionisti	profissionais	profesionist	profissional	ADJ;INDF;MASC;PL	N;MASC;PL
irlandez	irlandeses	irlandez	irlandês	ADJ;INDF;MASC;SG	N;MASC;PL
irlandez	irish	irlandez	irish	ADJ;INDF;MASC;SG	N;MASC;SG
irlandez	irlandesa	irlandez	irlandesa	ADJ;INDF;MASC;SG	N;FEM;SG
irlandez	irlandês	irlandez	irlandês	ADJ;INDF;MASC;SG	N;MASC;SG
lituaniei	lituânia	lituanie	lituânia	PROPN;DEF;FEM;SG	N;FEM;SG
limitate	limitado	limitat	limitar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
limitate	limitados	limitat	limitar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
limitate	limitadas	limitat	limitar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
limitate	limited	limitat	limited	ADJ;INDF;FEM;PL	N;MASC;SG
limitate	limitada	limitat	limitar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
sándor	sándor	sándor	sándor	PROPN	N;MASC;SG
cosmin	cosmin	cosmine	cosmin	PROPN	N;MASC;SG
perry	perry	perry	perry	PROPN	N;MASC;SG
sept	septo	sept	septo		N;MASC;SG
luther	luther	luther	luther	PROPN	N;MASC;SG
luther	lutero	luther	lutero	PROPN	N;MASC;SG
cook	cook	cook	cook	PROPN	N;MASC;SG
cook	cozinhar	cook	cozinhar	PROPN	V;NFIN
cook	cozinheiro	cook	cozinheiro	PROPN	N;MASC;SG
blois	blois	blois	blois	PROPN	N;MASC;SG
oleg	oleg	oleg	oleg	PROPN	PROPN;MASC;SG
vama	costumes	vamă	costume	N;DEF;FEM;SG	N;MASC;PL
vama	alfândegas	vamă	alfândega	N;DEF;FEM;SG	N;FEM;PL
vama	costumes	vamă	costume	N;DEF;FEM;SG	N;MASC;PL
vama	alfândegas	vamă	alfândega	N;DEF;FEM;SG	N;FEM;PL
interimar	intercalar	interimar	intercalar	N;INDF;MASC;SG	V;NFIN
adult	adultos	adult	adulto	N;INDF;MASC;SG	N;MASC;PL
imparte	split	imparte	split	V;IND;SG;3;PRS;FIN	N;MASC;SG
experimental	experimentais	experimental	experimental	ADJ;INDF;MASC;SG	N;MASC;PL
dir	dir	dir	dir		N;MASC;SG
helsinki	helsínquia	helsinki	helsínquia	PROPN	N;FEM;SG
helsinki	helsinki	helsinki	helsinki	PROPN	N;MASC;SG
mussolini	mussolini	mussolină	mussolini	N;INDF;MASC;PL	N;MASC;SG
faimos	famosas	faimos	famoso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
faimos	famosos	faimos	famoso	ADJ;INDF;MASC;SG	N;MASC;PL
posterior	posteriores	posterior	posterior	ADJ;INDF;MASC;SG	ADJ;MASC;PL
bat	bat	bate	bat	V;IND;PL;3;PRS;FIN	N;MASC;SG
bat	morcego	bate	morcego	V;IND;PL;3;PRS;FIN	N;MASC;SG
bat	bastão	bate	bastão	V;IND;PL;3;PRS;FIN	N;MASC;SG
bat	espeto	bate	espeto	V;IND;PL;3;PRS;FIN	N;MASC;SG
apr	abr	apr	abr		N;MASC;SG
dmitri	dmitry	dmitru	dmitry	PROPN	N;MASC;SG
dmitri	dmitri	dmitru	dmitri	PROPN	N;MASC;SG
dmitri	dimitri	dmitru	dimitrir	PROPN	N;MASC;SG
alexei	alexei	alexe	alexar	PROPN;DEF;FEM;SG	N;MASC;SG
sarb	sérvio	sarb	sérvio	PROPN	N;MASC;SG
sarb	sérvia	sarb	sérvio	PROPN	N;FEM;SG
documentul	documentar	document	documentar	N;DEF;MASC;SG	V;NFIN
preocupat	preocupados	preocupa	preocupado	ADJ;INDF;MASC;SG	ADJ;MASC;PL
preocupat	preocupados	preocupa	preocupado	ADJ;INDF;MASC;SG	ADJ;MASC;PL
brusc	repentino	brusc	repentino	ADV	N;MASC;SG
brusc	súbita	brusc	súbito	ADV	N;FEM;SG
brusc	súbito	brusc	súbito	ADV	N;MASC;SG
debehogne	debehogne	debehogne	debehogne		N;MASC;SG
japonezi	japonesa	japonez	japonesa	N;INDF;MASC;PL	N;FEM;SG
japonezi	japonês	japonez	japonês	N;INDF;MASC;PL	N;MASC;SG
japonezi	japão	japonez	japão	N;INDF;MASC;PL	N;MASC;SG
inspirata	inspirado	inspirat	inspirar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
inspirata	inspirou	inspirat	inspirar	ADJ;DEF;FEM;SG	V;IND;SG;3;PST;FIN
inspirata	inspirada	inspirat	inspirar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
inspirata	inspirados	inspirat	inspirar	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
paraguay	paraguai	paraguay	paraguai	PROPN	N;MASC;SG
consacrat	consagrado	consacra	consagrado	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
consacrat	consagradas	consacra	consagrado	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
consacrat	consagrados	consacra	consagrado	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
consacrat	consagrada	consacra	consagrado	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
jennifer	jennifer	jennifer	jennifer	PROPN	N;FEM;SG
izolat	isolados	izolat	isolar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
izolat	isolado	izolat	isolar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
izolat	isolada	izolat	isolar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
izolat	isolados	izolat	isolar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
izolat	isoladas	izolat	isolar	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
izolat	isolado	izolat	isolar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
berg	berg	berg	berg	PROPN	N;MASC;SG
anulat	cancelado	anula	cancelar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
anulat	cancelou	anula	cancelar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
anulat	cancelados	anula	cancelar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
anulat	cancelada	anula	cancelar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
anulat	cancelado	anula	cancelar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
anulat	cancelou	anula	cancelar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
anulat	cancelados	anula	cancelar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
anulat	cancelei	anula	canceler	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
anulat	cancelada	anula	cancelar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
precizeaza	especifica	precizează	especificar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
precizeaza	especifique	precizează	especificar	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
divizat	divididas	diviza	dividir	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
