से	din	से	din		ADP;ACC
प्रथा	practica	प्रथा	practică	N;NOM;FEM;SG;3	N;DEF;FEM;SG
दोनो	ambele	दोनो	ambii		NUM;FEM;PL
संपादित	editat	संपादित	edita		ADJ;INDF;MASC;SG
संपादित	editata	संपादित	editată		N;DEF;FEM;SG
देखी	vazute	देख	vazut	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;FEM;PL
देखी	vazut	देख	vaz	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखी	vazut	देख	vaz	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखी	vazuta	देख	vazut	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
देखी	vazut	देख	vaz	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखी	fierastrau	देख	fierastra	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;PL;3;IPFV;FIN
देखी	ferastrau	देख	ferastra	V;PFV;FEM;SG;V.PTCP;ACT	N;DEF;FEM;SG
देखी	urmarit	देख	urmarit	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखी	urmarita	देख	urmarita	V;PFV;FEM;SG;V.PTCP;ACT	N;DEF;FEM;SG
देखी	privit	देख	privi	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
देखी	supravegheata	देख	supravegheat	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
देर	tarziu	देर	tarziu	N;NOM;FEM;SG;3	
देर	intarziat	देर	intarziat	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
देर	tarziu	देर	tarziu	N;NOM;FEM;SG;3	
आंशिक	proportionala	आंशिक	proportional	ADJ;NOM	ADJ;DEF;FEM;SG
आंशिक	partiala	आंशिक	partial	ADJ;NOM	ADJ;DEF;FEM;SG
आंशिक	partiala	आंशिक	partial	ADJ;NOM	ADJ;DEF;FEM;SG
परम्परा	traditia	परम्परा	traditie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
परम्परा	traditie	परम्परा	traditie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
परम्परा	traditie	परम्परा	traditie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
परम्परा	traditia	परम्परा	traditie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
एसोसिएशन	asociatii	एसोसिएशन	asociat	N;NOM;FEM;SG;3	N;INDF;FEM;PL
एसोसिएशन	asocieri	एसोसिएशन	asociere	N;NOM;FEM;SG;3	N;INDF;FEM;PL
एसोसिएशन	asociatii	एसोसिएशन	asociat	N;NOM;FEM;SG;3	N;INDF;FEM;PL
एसोसिएशन	asociatia	एसोसिएशन	asociatie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
एसोसिएशन	asociatia	एसोसिएशन	asociatie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
एसोसिएशन	asociatie	एसोसिएशन	asociatie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
एसोसिएशन	asocierea	एसोसिएशन	asociere	N;NOM;FEM;SG;3	N;DEF;FEM;SG
एसोसिएशन	asociere	एसोसिएशन	asociere	N;NOM;FEM;SG;3	N;INDF;FEM;SG
आध्यात्मिक	spirituala	आध्यात्मिक	spiritual	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
आध्यात्मिक	spiritual	आध्यात्मिक	spiritual	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
आध्यात्मिक	spirituale	आध्यात्मिक	spiritual	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
आध्यात्मिक	spirituala	आध्यात्मिक	spiritual	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
साइट	situl	साइट	sit	N;NOM;FEM;SG;3	N;DEF;MASC;SG
साइट	site	साइट	sită	N;NOM;FEM;SG;3	N;INDF;FEM;PL
साइट	situri	साइट	situr	N;NOM;FEM;SG;3	N;INDF;FEM;PL
यहूदी	evreica	यहूदी	evreica	N;NOM;MASC;SG;3	N;DEF;FEM;SG
यहूदी	evreiesc	यहूदी	evreiesc	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
यहूदी	ebraica	यहूदी	ebraică	N;NOM;MASC;SG;3	N;DEF;FEM;SG
यहूदी	evreilor	यहूदी	evreu	N;NOM;MASC;SG;3	N;DEF;MASC;PL
यहूदी	evreii	यहूदी	evreu	N;NOM;MASC;SG;3	N;DEF;MASC;PL
यहूदी	evrei	यहूदी	evreu	N;NOM;MASC;SG;3	N;INDF;MASC;PL
महाद्वीप	continentul	महाद्वीप	continent	N;NOM;MASC;SG;3	N;DEF;MASC;SG
महाद्वीप	continente	महाद्वीप	continent	N;NOM;MASC;SG;3	N;INDF;FEM;PL
महाद्वीप	continentele	महाद्वीप	continent	N;NOM;MASC;SG;3	N;DEF;FEM;PL
मुक्ति	eliberare	मुक्ति	eliberare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मुक्ति	eliberarea	मुक्ति	eliberare	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मुक्ति	salvarea	मुक्ति	salvare	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मुक्ति	mantuirea	मुक्ति	mantuire	N;NOM;FEM;SG;3	N;DEF;FEM;SG
मुक्ति	mantuire	मुक्ति	mantuire	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मुक्ति	salvare	मुक्ति	salvare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
प्रजनन	reproductie	प्रजनन	reproductie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रजनन	reproducere	प्रजनन	reproducere	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रजनन	fertilitate	प्रजनन	fertilitate	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रजनन	fertilitatea	प्रजनन	fertilitate	N;NOM;MASC;SG;3	N;DEF;FEM;SG
बॉक्स	casuta	बॉक्स	casut	N;NOM;MASC;SG;3	N;DEF;FEM;SG
बॉक्स	cutie	बॉक्स	cutie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
बॉक्स	cutia	बॉक्स	cutie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
बॉक्स	cutiile	बॉक्स	cută	N;NOM;MASC;SG;3	N;DEF;FEM;PL
बॉक्स	cutii	बॉक्स	cutie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
श्रेय	creditul	श्रेय	credit	N;NOM;MASC;SG;3	N;DEF;MASC;SG
श्रेय	creditele	श्रेय	credit	N;NOM;MASC;SG;3	N;DEF;FEM;PL
श्रेय	credite	श्रेय	credit	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्टेट	stare	स्टेट	stare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
स्टेट	state	स्टेट	stat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्टेट	statul	स्टेट	stat	N;NOM;MASC;SG;3	N;DEF;MASC;SG
वेल्स	wales	वेल्स	wales	PROPN;NOM;MASC;SG;3	PROPN
समकालीन	contemporana	समकालीन	contemporană	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
समकालीन	contemporane	समकालीन	contemporan	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
समकालीन	contemporan	समकालीन	contemporan	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
निभाई	jucate	निभा	juca	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;FEM;PL
निभाई	jucat	निभा	juca	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
गुना	guna	गुना	gună	ADP;NOM;MASC;SG	N;DEF;FEM;SG
प्रारूप	schita	प्रारूप	schită	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रारूप	schita	प्रारूप	schită	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रारूप	formatul	प्रारूप	format	N;NOM;MASC;SG;3	N;DEF;MASC;SG
एक्सप्रेस	exprim	एक्सप्रेस	exprima	N;NOM;FEM;SG;3	V;IND;SG;1;PRS;FIN
एक्सप्रेस	expres	एक्सप्रेस	expres	N;NOM;FEM;SG;3	ADV
एक्सप्रेस	exprima	एक्सप्रेस	exprima	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
एक्सप्रेस	exprima	एक्सप्रेस	exprima	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
वजन	greutate	वजन	greutate	N;NOM;MASC;SG;3	N;INDF;FEM;SG
वजन	greutatea	वजन	greutate	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रक्रियाओं	procesele	प्रक्रिया	proces	N;ACC;FEM;PL;3	N;DEF;FEM;PL
प्रक्रियाओं	proceselor	प्रक्रिया	proces	N;ACC;FEM;PL;3	N;DEF;FEM;PL
प्रक्रियाओं	procedurile	प्रक्रिया	procedură	N;ACC;FEM;PL;3	N;DEF;FEM;PL
अभिव्यक्ति	expresia	अभिव्यक्ति	expresie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
अभिव्यक्ति	exprimare	अभिव्यक्ति	exprimare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
अभिव्यक्ति	expresie	अभिव्यक्ति	expresie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
मंदिरों	templele	मंदिर	templu	N;ACC;MASC;PL;3	N;DEF;FEM;PL
चोट	accidentare	चोट	accidentare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
चोट	vatamare	चोट	vatamare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
चोट	ranit	चोट	ranit	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
चोट	ranit	चोट	ranit	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
मौजूदा	curentul	मौजूदा	curent	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
मौजूदा	curent	मौजूदा	curent	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मौजूदा	actual	मौजूदा	actual	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मौजूदा	curentului	मौजूदा	curent	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
मौजूदा	actuala	मौजूदा	actual	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
मौजूदा	cadou	मौजूदा	cadou	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मौजूदा	prezente	मौजूदा	prezent	PROPN;NOM;MASC;SG;3	V;IND;PL;3;PRS;FIN
मौजूदा	prezentul	मौजूदा	prezent	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
मौजूदा	prezent	मौजूदा	prezent	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मौजूदा	prezenta	मौजूदा	prezent	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
मौजूदा	existent	मौजूदा	existent	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मौजूदा	existenta	मौजूदा	existent	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
मौजूदा	existand	मौजूदा	existand	PROPN;NOM;MASC;SG;3	
मौजूदा	existente	मौजूदा	existent	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
हरा	verzilor	हरा	verz	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;PL
हरा	verzi	हरा	verde	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;PL
हरा	verde	हरा	verde	V;MASC;SG;V.PTCP;ACT	
हरा	green	हरा	green	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
हरा	grenada	हरा	grenadă	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
संगीतकार	muzicieni	संगीतकार	muzician	N;NOM;MASC;SG;3	N;INDF;MASC;PL
संगीतकार	muzicienii	संगीतकार	muziciene	N;NOM;MASC;SG;3	N;DEF;MASC;PL
प्रवृत्ति	tendinta	प्रवृत्ति	tendintă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
रुचि	interesate	रुचि	interesat	N;NOM;FEM;SG;3	ADJ;INDF;FEM;PL
रुचि	interesat	रुचि	interesat	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
रुचि	interesati	रुचि	interesat	N;NOM;FEM;SG;3	V;IND;PL;2;PRS;FIN
रुचि	interesata	रुचि	interesat	N;NOM;FEM;SG;3	ADJ;DEF;FEM;SG
रुचि	dobanzi	रुचि	doband	N;NOM;FEM;SG;3	N;INDF;FEM;PL
रुचि	interese	रुचि	interes	N;NOM;FEM;SG;3	N;INDF;FEM;PL
रुचि	dobanda	रुचि	dobandă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
रुचि	dobanda	रुचि	dobandă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
रुचि	interesul	रुचि	interes	N;NOM;FEM;SG;3	N;DEF;MASC;SG
आर्य	aryan	आर्य	aryan	PROPN;NOM;MASC;SG;3	
आर्य	arian	आर्य	arian	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
परत	stratul	परत	strat	N;NOM;FEM;SG;3	N;DEF;MASC;SG
पर्यटक	turistii	पर्यटक	turist	N;NOM;MASC;PL;3	N;DEF;MASC;PL
पर्यटक	turist	पर्यटक	turist	N;NOM;MASC;PL;3	N;INDF;MASC;SG
पर्यटक	turistice	पर्यटक	turistic	N;NOM;MASC;PL;3	ADJ;INDF;FEM;PL
मछली	fibre	मछली	fibră	N;NOM;FEM;SG;3	N;INDF;FEM;PL
मछली	fibrele	मछली	fibră	N;NOM;FEM;SG;3	N;DEF;FEM;PL
मछली	fibrelor	मछली	fibră	N;NOM;FEM;SG;3	N;DEF;FEM;PL
मछली	peste	मछली	peste	N;NOM;FEM;SG;3	ADP;ACC
मछली	pesti	मछली	pesti	N;NOM;FEM;SG;3	N;INDF;MASC;PL
मछली	pesti	मछली	pesti	N;NOM;FEM;SG;3	N;INDF;MASC;PL
मछली	fibre	मछली	fibră	N;NOM;FEM;SG;3	N;INDF;FEM;PL
मछली	fibrele	मछली	fibră	N;NOM;FEM;SG;3	N;DEF;FEM;PL
उपभोक्ता	consumatori	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उपभोक्ता	consumatorul	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;DEF;MASC;SG
उपभोक्ता	consumatorului	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;DEF;MASC;SG
उपभोक्ता	consumatorilor	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;DEF;MASC;PL
उपभोक्ता	consumatori	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उपभोक्ता	consumatorii	उपभोक्ता	consumator	N;NOM;MASC;SG;3	N;DEF;MASC;PL
आविष्कार	inventie	आविष्कार	inventie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
आसान	usor	आसान	usor	ADJ	ADV
आसान	usor	आसान	usor	ADJ	ADV
यान	yan	यान	yan	N;NOM;MASC;SG;3	PROPN
कक्ष	camera	कक्ष	cameră		N;DEF;FEM;SG
कक्ष	camera	कक्ष	cameră		N;DEF;FEM;SG
कक्ष	celule	कक्ष	celulă		N;INDF;FEM;PL
कक्ष	celulele	कक्ष	celulă		N;DEF;FEM;PL
कक्ष	celulelor	कक्ष	celulă		N;DEF;FEM;PL
कक्ष	celula	कक्ष	celulă		N;DEF;FEM;SG
कक्ष	celula	कक्ष	celulă		N;DEF;FEM;SG
कक्ष	camerele	कक्ष	cameră		N;DEF;FEM;PL
कक्ष	camere	कक्ष	cameră		N;INDF;FEM;PL
यौन	sexuala	यौन	sexual	N;NOM;MASC;SG;3	N;DEF;FEM;SG
यौन	sexuale	यौन	sexual	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
यौन	sexuala	यौन	sexual	N;NOM;MASC;SG;3	N;DEF;FEM;SG
यौन	sexual	यौन	sexual	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
विकेट	wicket	विकेट	wicket	N;NOM;MASC;SG;3	
अनुबंध	pactul	अनुबंध	pact	N;NOM;MASC;SG;3	N;DEF;MASC;SG
अनुबंध	pactului	अनुबंध	pact	N;NOM;MASC;SG;3	N;DEF;MASC;SG
अनुबंध	contractele	अनुबंध	contract	N;NOM;MASC;SG;3	N;DEF;FEM;PL
अनुबंध	contracte	अनुबंध	contract	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अनुबंध	acordul	अनुबंध	acord	N;NOM;MASC;SG;3	N;DEF;MASC;SG
अनुबंध	contractul	अनुबंध	contract	N;NOM;MASC;SG;3	N;DEF;MASC;SG
अनुबंध	contractului	अनुबंध	contract	N;NOM;MASC;SG;3	N;DEF;MASC;SG
राव	rao	राव	rao	PROPN;NOM;SG;3	N;INDF;MASC;SG
पाठ्यक्रम	programa	पाठ्यक्रम	programă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
पाठ्यक्रम	cursul	पाठ्यक्रम	curs	N;NOM;MASC;SG;3	N;DEF;MASC;SG
पाठ्यक्रम	cursuri	पाठ्यक्रम	curs	N;NOM;MASC;SG;3	N;INDF;FEM;PL
वेस्ट	west	वेस्ट	west	PROPN;NOM;MASC;SG;3	PROPN
वेस्ट	vest	वेस्ट	vest	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वेस्ट	occident	वेस्ट	occident	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वेस्ट	vestul	वेस्ट	vest	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
प्रतिष्ठित	noble	प्रतिष्ठित	noble	ADJ	N;INDF;MASC;SG
प्रतिष्ठित	nobili	प्रतिष्ठित	nobil	ADJ	N;INDF;MASC;PL
प्रतिष्ठित	eminent	प्रतिष्ठित	eminent	ADJ	N;INDF;MASC;SG
गवर्नर	guvernatorul	गवर्नर	guvernator	N;NOM;MASC;SG;3	N;DEF;MASC;SG
न्यूनतम	minimul	न्यूनतम	minim	PROPN;NOM;SG;3	N;DEF;MASC;SG
न्यूनतम	minimum	न्यूनतम	minimum	PROPN;NOM;SG;3	
न्यूनतम	minime	न्यूनतम	minim	PROPN;NOM;SG;3	ADJ;INDF;FEM;PL
न्यूनतम	minima	न्यूनतम	minimă	PROPN;NOM;SG;3	ADJ;DEF;FEM;SG
न्यूनतम	minim	न्यूनतम	minim	PROPN;NOM;SG;3	N;INDF;MASC;SG
न्यूनतम	min	न्यूनतम	min	PROPN;NOM;SG;3	
प्रतिभा	geniul	प्रतिभा	geniu	N;NOM;FEM;SG;3	N;DEF;MASC;SG
प्रतिभा	talente	प्रतिभा	talent	N;NOM;FEM;SG;3	N;INDF;FEM;PL
प्रतिभा	talentul	प्रतिभा	talent	N;NOM;FEM;SG;3	N;DEF;MASC;SG
प्रशंसा	lauda	प्रशंसा	laudă	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
प्रशंसा	lauda	प्रशंसा	laudă	N;NOM;FEM;SG;3	V;IND;SG;3;IPFV;FIN
प्रशंसा	laude	प्रशंसा	laudă	N;NOM;FEM;SG;3	
व्यावहारिक	practice	व्यावहारिक	practica	ADJ;NOM	
व्यावहारिक	practica	व्यावहारिक	practică	ADJ;NOM	N;DEF;FEM;SG
व्यावहारिक	practic	व्यावहारिक	practic	ADJ;NOM	ADV
व्यावहारिक	perspicace	व्यावहारिक	perspicace	ADJ;NOM	
उत्सव	festivalul	उत्सव	festival	N;NOM;MASC;SG;3	N;DEF;MASC;SG
उत्सव	festivalului	उत्सव	festival	N;NOM;MASC;SG;3	N;DEF;MASC;SG
उत्सव	jamboree	उत्सव	jamboree	N;NOM;MASC;SG;3	
उत्सव	sarbatorire	उत्सव	sarbatorire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उत्सव	sarbatoare	उत्सव	sarbator	N;NOM;MASC;SG;3	ADJ;INDF;FEM
कपड़े	imbracaminte	कपड़ा	imbracamint	N;NOM;MASC;PL;3	N;INDF;FEM;SG
कपड़े	imbracaminte	कपड़ा	imbracamint	N;NOM;MASC;PL;3	N;INDF;FEM;SG
कपड़े	hainele	कपड़ा	haină	N;NOM;MASC;PL;3	N;DEF;FEM;PL
सालों	anii	साल	an	N;NOM;MASC;PL;3	N;DEF;MASC;PL
हजारों	mii	हजार	mie	N;ACC;MASC;PL;3	NUM;INDF;FEM;PL
हजारों	miile	हजार	mie	N;ACC;MASC;PL;3	NUM;DEF;FEM;PL
खनिज	minerale	खनिज	mineral	N;NOM;MASC;SG;3	N;INDF;FEM;PL
खनिज	minerala	खनिज	minerală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
खनिज	fosile	खनिज	fosilă	N;NOM;MASC;SG;3	N;INDF;FEM;PL
खनिज	fosila	खनिज	fosilă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
खनिज	fosili	खनिज	fosil	N;NOM;MASC;SG;3	N;INDF;MASC;PL
खनिज	minerale	खनिज	mineral	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लम्बी	lunga	लंबा	lung	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
लम्बी	long	लंबा	long	ADJ;NOM;FEM;SG	
बुद्धि	inteligenta	बुद्धि	inteligent	N;NOM;FEM;SG;3	N;DEF;FEM;SG
विषाणु	virusul	विषाणु	virus	N;NOM;MASC;SG;3	N;DEF;MASC;SG
फ्रांसीसी	franceza	फ्रांसीसी	franceza	ADJ;NOM	N;DEF;FEM;SG
फ्रांसीसी	franceza	फ्रांसीसी	franceza	ADJ;NOM	N;DEF;FEM;SG
कठोर	greu	कठोर	greu	ADJ	ADV
कठोर	tare	कठोर	tare	ADJ	ADV
कठोर	riguros	कठोर	riguros	ADJ	ADV
विकार	tulburare	विकार	tulburare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
विकार	boala	विकार	boală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
विकार	boli	विकार	boală	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विकार	boala	विकार	boală	N;NOM;MASC;SG;3	N;DEF;FEM;SG
विकार	tulburari	विकार	tulburar	N;NOM;MASC;SG;3	N;INDF;MASC;PL
घटक	compozite	घटक	compozit	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
घटक	componenta	घटक	componenta	N;NOM;MASC;SG;3	N;DEF;FEM;SG
घटक	componenta	घटक	componenta	N;NOM;MASC;SG;3	N;DEF;FEM;SG
ऑस्ट्रेलियाई	australiana	ऑस्ट्रेलियाई	australian	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
ऑस्ट्रेलियाई	australian	ऑस्ट्रेलियाई	australian	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
ऑस्ट्रेलियाई	australieni	ऑस्ट्रेलियाई	australian	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;PL
घनत्व	densitate	घनत्व	densitate	N;NOM;MASC;SG;3	N;INDF;FEM;SG
घनत्व	densitatea	घनत्व	densitate	N;NOM;MASC;SG;3	N;DEF;FEM;SG
वर्गों	sectiunile	वर्ग	sectiune	N;ACC;MASC;PL;3	N;DEF;FEM;PL
संहिता	codul	संहिता	cod	N;NOM;FEM;SG;3	N;DEF;MASC;SG
संहिता	cod	संहिता	cod	N;NOM;FEM;SG;3	
काल्पनिक	fantezii	काल्पनिक	fantezie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
काल्पनिक	fantezia	काल्पनिक	fantezie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
काल्पनिक	fantezie	काल्पनिक	fantezie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
काल्पनिक	imaginara	काल्पनिक	imaginar	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
काल्पनिक	imaginari	काल्पनिक	imaginar	N;NOM;MASC;SG;3	N;INDF;MASC;PL
काल्पनिक	imaginare	काल्पनिक	imaginare	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
काल्पनिक	imaginar	काल्पनिक	imaginar	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
काल्पनिक	ireal	काल्पनिक	ireal	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
काल्पनिक	ipotetic	काल्पनिक	ipotetic	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
काल्पनिक	ipotetica	काल्पनिक	ipotetică	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
प्रयत्न	eforturi	प्रयत्न	efort	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रयत्न	eforturile	प्रयत्न	efort	N;NOM;MASC;SG;3	N;DEF;FEM;PL
प्रयत्न	efortul	प्रयत्न	efort	N;NOM;MASC;SG;3	N;DEF;MASC;SG
प्रजाति	specii	प्रजाति	specie	N;NOM;FEM;SG;3	N;INDF;FEM;PL
प्रजाति	specie	प्रजाति	specie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
प्रजाति	specia	प्रजाति	specie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
विविधता	diversitatea	विविधता	diversitate	N;NOM;FEM;SG;3	N;DEF;FEM;SG
विविधता	diversitate	विविधता	diversitate	N;NOM;FEM;SG;3	N;INDF;FEM;SG
इस्लामी	islamic	इस्लामी	islamic		N;INDF;MASC;SG
इस्लामी	islamice	इस्लामी	islamic		ADJ;INDF;FEM;PL
इस्लामी	islamica	इस्लामी	islamică		N;DEF;FEM;SG
शहरी	urban	शहरी	urban	PROPN;NOM	ADJ;INDF;MASC;SG
शहरी	urbane	शहरी	urban	PROPN;NOM	ADJ;INDF;FEM;PL
शहरी	urbana	शहरी	urbană	PROPN;NOM	N;DEF;FEM;SG
बातें	lucrurile	बात	lucru	N;NOM;FEM;PL;3	N;DEF;FEM;PL
नदियाँ	raurilor	नदी	raură	N;NOM;FEM;PL;3	N;DEF;FEM;PL
नदियाँ	rivers	नदी	rivers	N;NOM;FEM;PL;3	PROPN
नदियाँ	raurile	नदी	raură	N;NOM;FEM;PL;3	N;DEF;FEM;PL
शास्त्रीय	clasica	शास्त्रीय	clasică	PROPN;NOM;SG;3	ADJ;DEF;FEM;SG
शास्त्रीय	clasic	शास्त्रीय	clasic	PROPN;NOM;SG;3	ADV
शास्त्रीय	clasica	शास्त्रीय	clasică	PROPN;NOM;SG;3	ADJ;DEF;FEM;SG
कृति	capodopera	कृति	capodoperă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
कृति	capodopera	कृति	capodoperă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
सैन	san	सैन	san	PROPN;NOM;MASC;SG;3	PROPN
अग्नि	focul	अग्नि	foc	PROPN;NOM;FEM;SG;3	N;DEF;MASC;SG
अग्नि	incendiu	अग्नि	incendiu	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
अग्नि	foc	अग्नि	foc	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
अग्नि	agni	अग्नि	agni	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
ग्रेट	mare	ग्रेट	mare		ADJ;INDF;MASC;SG
श्रम	muncitoresc	श्रम	muncitoresc	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
आयरलैंड	islanda	आयरलैंड	islanda	PROPN;NOM;MASC;SG;3	PROPN
आयरलैंड	irlanda	आयरलैंड	irlanda	PROPN;NOM;MASC;SG;3	PROPN
आयरलैंड	irlandei	आयरलैंड	irlandă	PROPN;NOM;MASC;SG;3	PROPN;DEF;FEM;SG
उसको	el	वह	el	PRO;SG;3	PRO;MASC;SG;3
दर्जा	evaluare	दर्जा	evaluare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
दर्जा	gradul	दर्जा	grad	N;NOM;MASC;SG;3	N;DEF;MASC;SG
दर्जा	rangul	दर्जा	rang	N;NOM;MASC;SG;3	N;DEF;MASC;SG
