और	وال	और	وَال		N;NOM;DEF;SG
बुद्धि	المخابرات	बुद्धि	مُخَابَرَات	N;NOM;FEM;SG;3	N;NOM;DEF;PL
बुद्धि	مخابرات	बुद्धि	مُخَابَرَات	N;NOM;FEM;SG;3	N;NOM;INDF;PL
बुद्धि	ذكاء	बुद्धि	ذَكَاء	N;NOM;FEM;SG;3	
विषाणु	فيروس	विषाणु	فَيرُوس	N;NOM;MASC;SG;3	
विषाणु	فيرس	विषाणु	فَيرَس	N;NOM;MASC;SG;3	
फ्रांसीसी	فرنسيا	फ्रांसीसी	فَرَنسِيّ	ADJ;NOM	ADJ;ACC;INDF;MASC;SG
फ्रांसीसी	بالفرنسية	फ्रांसीसी	بالفرنسية	ADJ;NOM	N;NOM;DEF;SG
फ्रांसीसी	الفرنسية	फ्रांसीसी	فَرَنسِيَّة	ADJ;NOM	N;NOM;DEF;SG
कठोर	بجد	कठोर	بَجدَ	ADJ	
प्रणालियों	نظم	प्रणाली	نَظَّم	N;ACC;MASC;PL;3	V;PFV;MASC;SG;3;ACT
प्रणालियों	الانظمة	प्रणाली	نِظَام	N;ACC;MASC;PL;3	N;NOM;DEF;PL
प्रणालियों	النظم	प्रणाली	نِظَام	N;ACC;MASC;PL;3	N;NOM;DEF;PL
प्रणालियों	انظمة	प्रणाली	نِظَام	N;ACC;MASC;PL;3	N;NOM;INDF;PL
विकार	داء	विकार	دَاء	N;NOM;MASC;SG;3	
विकार	الامراض	विकार	مَرَض	N;NOM;MASC;SG;3	N;NOM;DEF;PL
घटक	المكون	घटक	مُكَوِّن	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
घटक	مكون	घटक	مَكَّن	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
ऑस्ट्रेलियाई	الاسترالي	ऑस्ट्रेलियाई	أُستُرَالِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
ऑस्ट्रेलियाई	استراليا	ऑस्ट्रेलियाई	إِستِرَالِيَا	PROPN;NOM;MASC;SG;3	
ऑस्ट्रेलियाई	الاسترالية	ऑस्ट्रेलियाई	أُستُرَالِيَّة	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
ऑस्ट्रेलियाई	الاسترالي	ऑस्ट्रेलियाई	أُستُرَالِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
ऑस्ट्रेलियाई	استرالي	ऑस्ट्रेलियाई	إِستِرَالِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
वर्गों	المربعات	वर्ग	مُرَبِّع	N;ACC;MASC;PL;3	N;NOM;DEF;PL
वर्गों	مربعات	वर्ग	مُرَبَّع	N;ACC;MASC;PL;3	ADJ;NOM;INDF;FEM;PL
वर्गों	الاقسام	वर्ग	قِسم	N;ACC;MASC;PL;3	N;NOM;DEF;PL
वर्गों	اقسام	वर्ग	قِسم	N;ACC;MASC;PL;3	N;NOM;INDF;PL
संहिता	كود	संहिता	كود	N;NOM;FEM;SG;3	
काल्पनिक	خيالي	काल्पनिक	خيالي	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
काल्पनिक	وهمي	काल्पनिक	وهمي	N;NOM;MASC;SG;3	
काल्पनिक	افتراضية	काल्पनिक	اِفتِرَاضِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
प्रयत्न	الجهود	प्रयत्न	جَهد	N;NOM;MASC;SG;3	N;NOM;DEF;PL
प्रजाति	الانواع	प्रजाति	نَوع	N;NOM;FEM;SG;3	N;NOM;DEF;PL
चौधरी	شودري	चौधरी	شودري	PROPN;NOM;MASC;SG;3	
इस्लामी	الاسلامي	इस्लामी	إِسلَامِيّ		ADJ;NOM;DEF;MASC;SG
इस्लामी	اسلامية	इस्लामी	إِسلَامِيّ		ADJ;NOM;INDF;FEM;SG
इस्लामी	الاسلامية	इस्लामी	إِسلَامِيّ		ADJ;NOM;DEF;FEM;SG
इस्लामी	اسلامي	इस्लामी	إِسلَامِيّ		ADJ;NOM;INDF;MASC;SG
शहरी	التحضر	शहरी	تَحَضُّر	PROPN;NOM	N;NOM;DEF;SG
शहरी	الحضر	शहरी	حَضَر	PROPN;NOM	N;NOM;DEF;SG
शहरी	حضرية	शहरी	حَضَرِيّ	PROPN;NOM	ADJ;NOM;INDF;FEM;SG
शहरी	الحضري	शहरी	حَضَرِيّ	PROPN;NOM	
शहरी	الحضرية	शहरी	حَضَرِيّ	PROPN;NOM	N;NOM;DEF;SG
शहरी	حضري	शहरी	حضري	PROPN;NOM	
बातें	الامور	बात	الامور	N;NOM;FEM;PL;3	
बातें	امور	बात	أَمر	N;NOM;FEM;PL;3	N;NOM;INDF;SG
नदियाँ	انهار	नदी	انهار	N;NOM;FEM;PL;3	
नदियाँ	ريفرز	नदी	ريفرز	N;NOM;FEM;PL;3	
शास्त्रीय	الكلاسيكي	शास्त्रीय	كلَاسِيكِيّ	PROPN;NOM;SG;3	
शास्त्रीय	كلاسيكي	शास्त्रीय	كلَاسِيكِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
शास्त्रीय	كلاسيكية	शास्त्रीय	كلَاسِيكِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
शास्त्रीय	الكلاسيكية	शास्त्रीय	كُلآسِيكِيّ	PROPN;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
सैन	سان	सैन	سَان	PROPN;NOM;MASC;SG;3	
अग्नि	النار	अग्नि	نَار	PROPN;NOM;FEM;SG;3	N;NOM;DEF;SG
अग्नि	نار	अग्नि	نَار	PROPN;NOM;FEM;SG;3	N;NOM;INDF;SG
अग्नि	حريق	अग्नि	حَرِيق	PROPN;NOM;FEM;SG;3	N;NOM;INDF;SG
ग्रेट	عظيم	ग्रेट	عظيم		ADJ;NOM;INDF;MASC;SG
ग्रेट	عظيمة	ग्रेट	عَظِيمَة		ADJ;NOM;INDF;FEM;SG
ग्रेट	العظيم	ग्रेट	عَظِيم		ADJ;NOM;DEF;MASC;SG
आयरलैंड	ايسلندا	आयरलैंड	ايسلندا	PROPN;NOM;MASC;SG;3	
आयरलैंड	ايرلندا	आयरलैंड	إِيرلَندَا	PROPN;NOM;MASC;SG;3	
निकटतम	الاقرب	निकटतम	أَقرَب	N;NOM;MASC;SG;3	
उसको	له	वह	هُوَ	PRO;SG;3	
उसको	هو	वह	هُوَ	PRO;SG;3	PRO;NOM;MASC;SG;3
असफल	فشل	असफल	فَشَل	ADP	N;NOM;INDF;SG
असफल	تفشل	असफल	شَشَل	ADP	V;IPFV;FEM;IND;SG;3;FIN;ACT
असफल	فشل	असफल	فَشَل	ADP	N;NOM;INDF;SG
असफल	فشلت	असफल	فَشِل	ADP	V;PFV;FEM;SG;3;ACT
असफल	فشل	असफल	فَشَل	ADP	N;NOM;INDF;SG
असफल	الفشل	असफल	فَشَل	ADP	N;NOM;DEF;SG
चन्द्र	تشاندرا	चन्द्र	تشَاندرَا	PROPN;NOM;MASC;SG;3	
चन्द्र	شاندرا	चन्द्र	شَاندر	PROPN;NOM;MASC;SG;3	
चन्द्र	قمر	चन्द्र	قَمَر	PROPN;NOM;MASC;SG;3	
चन्द्र	القمر	चन्द्र	قَمَر	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
गाँधी	غاندي	गाँधी	غاندي	PROPN;NOM;MASC;SG;3	
अनुप्रयोग	الطلبات	अनुप्रयोग	طَلَب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अनुप्रयोग	التطبيقات	अनुप्रयोग	تَطبِيق	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अनुप्रयोग	تطبيقات	अनुप्रयोग	تَطبِيق	N;NOM;MASC;SG;3	N;NOM;INDF;PL
बचने	تفادي	बच	تفادي	V;NFIN;ACT	
सोने	ذهبي	सोना	ذهبي	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
सोने	جولد	सोना	جولد	N;NOM;MASC;SG;3	
सोने	غولد	सोना	غُولِد	N;NOM;MASC;SG;3	
सोने	ذهب	सोना	ذَهَب	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
ब्रांड	الماركات	ब्रांड	مَاركَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
ब्रांड	براند	ब्रांड	بَرنَدَة	N;NOM;MASC;SG;3	
आवास	الموائل	आवास	مَائِل	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आवास	مساكن	आवास	مَسكَن	N;NOM;MASC;SG;3	N;NOM;INDF;PL
आवास	المساكن	आवास	مَسكَن	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आवास	لودج	आवास	لودج	N;NOM;MASC;SG;3	
यांत्रिक	ميكانيكي	यांत्रिक	مِيكَانِيكِي	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
यांत्रिक	ميكانيكية	यांत्रिक	مِيكَانِيكِيَّة	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
खड़े	واقف	खडा	وَاقِف	ADJ;NOM;MASC;PL	
खड़े	واقفة	खडा	واقفة	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;FEM;SG
खड़े	الوقوف	खडा	وُقُوف	ADJ;NOM;MASC;PL	N;NOM;DEF;SG
न्यायाधीश	قاضي	न्यायाधीश	قاضي	N;NOM;MASC;SG;3	
न्यायाधीश	قاضية	न्यायाधीश	قَاضِي	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
लाइव	تعيش	लाइव	عَاش	N;NOM;MASC;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
लाइव	يعيش	लाइव	عَاش	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
लाइव	مباشر	लाइव	مُبَاشِر	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
लाइव	عيش	लाइव	عَيش	N;NOM;MASC;SG;3	
लाइव	عش	लाइव	عَشّ	N;NOM;MASC;SG;3	
कवियों	الشعراء	कवी	شَاعِر	N;ACC;MASC;PL;3	N;NOM;DEF;PL
स्थितियों	حالات	स्थिति	حَالَة	N;ACC;FEM;PL;3	N;NOM;INDF;PL
स्थितियों	الحالات	स्थिति	حَالَة	N;ACC;FEM;PL;3	N;NOM;DEF;PL
करेंगे	ويل	कर	وِيل	V;MASC;IND;PL;3;FUT;FIN;ACT	
करेंगे	راح	कर	رَاح	V;MASC;IND;PL;3;FUT;FIN;ACT	
करेंगे	سوف	कर	سَوفَ	V;MASC;IND;PL;3;FUT;FIN;ACT	PART
हालाँकि	بالرغم	हालाँकि	بِ	CONJ	N;NOM;DEF;SG
पीटर	بيتر	पीटर	بِيتر	PROPN;NOM;MASC;SG;3	
पीटर	بطرس	पीटर	بطرس	PROPN;NOM;MASC;SG;3	
खराब	باد	खराब	بَاد	ADJ	
एलबम	البوم	एलबम	أَلبُوم	N;NOM;MASC;SG;3	
एलबम	البومات	एलबम	البومات	N;NOM;MASC;SG;3	N;NOM;DEF;PL
एलबम	الالبومات	एलबम	أَلبُومَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
संवाद	الحوارات	संवाद	حِوَار		N;NOM;DEF;PL
संवाद	حوارات	संवाद	حِوَار		N;NOM;INDF;PL
संवाद	حوار	संवाद	حِوَار		N;NOM;INDF;SG
संवाद	الحوار	संवाद	حِوَار		N;NOM;DEF;SG
संवाद	حوار	संवाद	حِوَار		N;NOM;INDF;SG
संवाद	الحوار	संवाद	حِوَار		N;NOM;DEF;SG
चित्रित	رسمت	चित्रित	رَسمَت	ADJ	V;PFV;FEM;SG;3;ACT
चित्रित	صبغ	चित्रित	صبغ	ADJ	N;NOM;INDF;SG
पेट	معدة	पेट	مُعَدّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
पेट	بطن	पेट	بَطن	N;NOM;MASC;SG;3	
पेट	بطني	पेट	بطني	N;NOM;MASC;SG;3	
मोहम्मद	محمد	मोहम्मद	محمد	PROPN;NOM;MASC;SG;3	
मोहम्मद	moham	मोहम्मद	moham	PROPN;NOM;MASC;SG;3	
फसल	محصول	फसल	محصول	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
फसल	المحاصيل	फसल	مَحصُول	N;NOM;FEM;SG;3	N;NOM;DEF;PL
दोस्त	بودي	दोस्त	بودي	N;NOM;MASC;SG;3	
दोस्त	بادي	दोस्त	بادي	N;NOM;MASC;SG;3	
दोस्त	صديقي	दोस्त	صديقي	N;NOM;MASC;SG;3	
प्रोत्साहित	نشجع	प्रोत्साहित	نشجع	ADJ	V;IPFV;MASC;IND;PL;1;FIN;ACT
प्रोत्साहित	شجع	प्रोत्साहित	شَجع	ADJ	V;PFV;MASC;SG;3;ACT
प्रोत्साहित	شجعت	प्रोत्साहित	شَجَع	ADJ	V;PFV;FEM;SG;3;ACT
सूरज	صن	सूरज	صَن	PROPN;NOM;MASC;SG;3	
सूरज	شمس	सूरज	شمس	PROPN;NOM;MASC;SG;3	
सूरज	الشمس	सूरज	شَمس	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
सूरज	سوراج	सूरज	سُورَاج	PROPN;NOM;MASC;SG;3	
लाइसेंस	الرخص	लाइसेंस	رُخصَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
लाइसेंस	التراخيص	लाइसेंस	تَرخِيص	N;NOM;MASC;SG;3	N;NOM;DEF;PL
लाइसेंस	تراخيص	लाइसेंस	تَرخِيص	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सेन	صن	सेन	صَن	PROPN;NOM;SG;3	
सेन	سين	सेन	سَين	PROPN;NOM;SG;3	
छः	six	छः	قِثَّة	NUM	
छः	سكس	छः	سَكس	NUM	
मिशन	بعثات	मिशन	بَعثَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
मिशन	البعثات	मिशन	بَعثَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
लंबा	الطويل	लंबा	طَوِيل	ADJ;MASC;SG	
लंबा	لونغ	लंबा	لُونغ	ADJ;MASC;SG	
लंबा	الطويل	लंबा	طَوِيل	ADJ;MASC;SG	
विशेषज्ञ	اخصائي	विशेषज्ञ	اِخِّصَائِيّ	N;NOM;MASC;PL;3	
विशेषज्ञ	متخصص	विशेषज्ञ	مُتَخَصِّص	N;NOM;MASC;PL;3	ADJ;NOM;INDF;MASC;SG
विशेषज्ञ	المتخصصة	विशेषज्ञ	مُتَخَصِّص	N;NOM;MASC;PL;3	ADJ;NOM;DEF;FEM;SG
विशेषज्ञ	متخصصة	विशेषज्ञ	مُتَخَصِّص	N;NOM;MASC;PL;3	ADJ;NOM;INDF;FEM;SG
विशेषज्ञ	اختصاصي	विशेषज्ञ	اختصاصي	N;NOM;MASC;PL;3	
विशेषज्ञ	خبير	विशेषज्ञ	خَبِير	N;NOM;MASC;PL;3	N;NOM;INDF;SG
विशेषज्ञ	الخبير	विशेषज्ञ	خَبِير	N;NOM;MASC;PL;3	N;NOM;DEF;SG
विशेषज्ञ	خبيرة	विशेषज्ञ	خَبِيرَة	N;NOM;MASC;PL;3	ADJ;NOM;INDF;FEM;SG
विशेषज्ञ	الخبيرة	विशेषज्ञ	خَبِيرَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
नौकरी	شغل	नौकरी	شَغَل	N;NOM;FEM;SG;3	V;PFV;MASC;SG;3;ACT
उपाय	الانتصاف	उपाय	اِنتِصَاف	N;NOM;MASC;PL;3	N;NOM;DEF;SG
आकाश	السموات	आकाश	سُمُوَّة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आकाश	السماوات	आकाश	سَمَاوَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
आकाश	سكاي	आकाश	سَاكِي	N;NOM;MASC;SG;3	
शासकों	حكام	शासक	حَاكِم	N;ACC;MASC;PL;3	N;NOM;INDF;PL
शासकों	الحكام	शासक	حَكَم	N;ACC;MASC;PL;3	N;NOM;DEF;PL
तिब्बत	التبت	तिब्बत	اَلتِّبِت	PROPN;NOM;MASC;SG;3	
स्थानांतरित	انتقلت	स्थानांतरित	اِنتَقَل	ADJ	V;PFV;FEM;SG;3;ACT
स्थानांतरित	تحركت	स्थानांतरित	تَحَرَّك	ADJ	V;PFV;FEM;SG;3;ACT
पर्यटकों	السياح	पर्यटक	سَائِح	N;ACC;MASC;PL;3	N;NOM;DEF;PL
ईरानी	ايران	ईरानी	إِيرَان	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
ईरानी	ايراني	ईरानी	إِيرَانِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
ईरानी	الايرانية	ईरानी	إِيرَانِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
ईरानी	الايراني	ईरानी	إِيرَانِيّ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
सिंगापुर	سنغافورة	सिंगापुर	سِنغَافُورَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
मादा	الاناث	मादा	أَنَاث	N;NOM;MASC;SG;3	N;NOM;DEF;PL
खरीद	مشتريات	खरीद	مُشتَرَى	N;NOM;FEM;SG;3	ADJ;NOM;INDF;FEM;PL
खरीद	المشتريات	खरीद	مُشتَرَى	N;NOM;FEM;SG;3	N;NOM;DEF;PL
उत्सर्जन	الانبعاثات	उत्सर्जन	اِنبِعَاث	N;NOM;MASC;SG;3	N;NOM;DEF;PL
उत्सर्जन	انبعاثات	उत्सर्जन	اِنبِعَاث	N;NOM;MASC;SG;3	N;NOM;INDF;PL
निवासियों	ساكن	निवासी	سَاكِن	N;ACC;MASC;PL;3	ADJ;NOM;INDF;MASC;SG
निवासियों	السكان	निवासी	سَاكِن	N;ACC;MASC;PL;3	N;NOM;DEF;PL
निवासियों	المقيمون	निवासी	مُقَيَّم	N;ACC;MASC;PL;3	N;NOM;DEF;PL
निवासियों	المقيمين	निवासी	مُقِيم	N;ACC;MASC;PL;3	ADJ;ACC;DEF;MASC;PL
क्षति	الاضرار	क्षति	ضَرَر	N;NOM;FEM;SG;3	N;NOM;DEF;PL
क्षति	اضرار	क्षति	ضَرَر	N;NOM;FEM;SG;3	N;NOM;INDF;PL
दोष	لوم	दोष	لَوم		N;NOM;INDF;SG
दोष	اللوم	दोष	لَوم		N;NOM;DEF;SG
हाथी	فيل	हाथी	فِيل	N;NOM;MASC;SG;3	
शैक्षिक	الاكاديمية	शैक्षिक	إِكَادِيمِيّ	N;NOM	
शैक्षिक	اكاديمي	शैक्षिक	إِكَادِيمِيّ	N;NOM	
शैक्षिक	التعليمية	शैक्षिक	تَعلِيمِيّ	N;NOM	ADJ;NOM;DEF;FEM;SG
शैक्षिक	تعليمية	शैक्षिक	تَعلِيمِيّ	N;NOM	ADJ;NOM;INDF;FEM;SG
शैक्षिक	تربوية	शैक्षिक	تَربَوِيّ	N;NOM	ADJ;NOM;INDF;FEM;SG
युगल	الازواج	युगल	زَوج	PROPN;NOM;MASC;SG;3	N;NOM;DEF;PL
युगल	ازواج	युगल	زَوج	PROPN;NOM;MASC;SG;3	N;NOM;INDF;PL
युगल	زوجين	युगल	زُوجِين	PROPN;NOM;MASC;SG;3	N;ACC;INDF;DU
युगल	زوجان	युगल	زوجان	PROPN;NOM;MASC;SG;3	
युगल	ثنائي	युगल	ثُنَائِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
ग्रीक	يوناني	ग्रीक	يُونَانِيّ		ADJ;NOM;INDF;MASC;SG
ग्रीक	يونانية	ग्रीक	يُونَانِيّ		ADJ;NOM;INDF;FEM;SG
ग्रीक	اليوناني	ग्रीक	يُونَانِيّ		ADJ;NOM;DEF;MASC;SG
ग्रीक	اليونانية	ग्रीक	يُونَانِيّ		ADJ;NOM;DEF;FEM;SG
टीका	تيكا	टीका	تيكا	N;NOM;MASC;SG;3	
टीका	اللقاحات	टीका	لِقَاح	N;NOM;MASC;SG;3	N;NOM;DEF;PL
टीका	لقاح	टीका	لقاح	N;NOM;MASC;SG;3	
सुविधाओं	المرافق	सुविधा	مِرفَق	N;ACC;FEM;PL;3	N;NOM;DEF;PL
रिलीज	اصدارات	रिलीज	إِصدَار	N;NOM;MASC;SG;3	N;NOM;INDF;PL
रिलीज	الاصدارات	रिलीज	إِصدَار	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अदालत	المحاكم	अदालत	مَحكَمَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
इस्पात	ستيل	इस्पात	سَتِيل	N;NOM;MASC;SG;3	
सुपर	سوبر	सुपर	سُوبَر	N;NOM	
समझौता	حلف	समझौता	حِلف	N;NOM;MASC;SG;3	
आवासीय	سكني	आवासीय	سَكَنِيّ	N;NOM	ADJ;NOM;INDF;MASC;SG
जंगली	برية	जंगली	بَرِّيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
जंगली	سافج	जंगली	سَافِج	N;NOM;MASC;SG;3	
जंगली	سافاج	जंगली	سافاج	N;NOM;MASC;SG;3	
जंगली	هاغارد	जंगली	هاغارد	N;NOM;MASC;SG;3	
आर्ट	ارت	आर्ट	أَرت	N;NOM;MASC;SG;3	
आर्ट	فن	आर्ट	فَنّ	N;NOM;MASC;SG;3	
शनि	ساترن	शनि	ساترن	PROPN;NOM;MASC;SG;3	
शनि	زحل	शनि	زَحل	PROPN;NOM;MASC;SG;3	
शनि	جلس	शनि	جَلَس	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
शनि	جلست	शनि	جَلَس	PROPN;NOM;MASC;SG;3	V;PFV;FEM;SG;3;ACT
श्वेत	بيضاء	श्वेत	بَيضَاء		ADJ;NOM;INDF;FEM;SG
श्वेत	الابيض	श्वेत	أَبيَض		ADJ;NOM;DEF;MASC;SG
श्वेत	وايت	श्वेत	وايت		
श्वेत	ابيض	श्वेत	أَبيَض		
नमक	سولت	नमक	سُولت	N;NOM;MASC;SG;3	
बातों	اشياء	बात	شَيء	N;ACC;FEM;PL;3	N;NOM;INDF;PL
बातों	الاشياء	बात	شَيء	N;ACC;FEM;PL;3	N;NOM;DEF;PL
बातों	الامور	बात	الامور	N;ACC;FEM;PL;3	
बातों	امور	बात	أَمر	N;ACC;FEM;PL;3	N;NOM;INDF;SG
बिलियन	بليون	बिलियन	بِليُون	N;NOM;MASC;SG;3	NUM;NOM;INDF;SG
बिलियन	مليار	बिलियन	مِليَار	N;NOM;MASC;SG;3	NUM;NOM;INDF;SG
एकीकृत	موحدة	एकीकृत	مُوَحَّد	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
एकीकृत	موحد	एकीकृत	مُوَحَّد	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
एकीकृत	متكاملة	एकीकृत	مُتَكَامِل	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
एकीकृत	متكامل	एकीकृत	مُتَكَامِل	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पत्रकार	الصحفي	पत्रकार	صُحُفِيّ	N;NOM;MASC;PL;3	N;NOM;DEF;SG
पत्रकार	صحفية	पत्रकार	صُحُفِيّ	N;NOM;MASC;PL;3	ADJ;NOM;INDF;FEM;SG
पत्रकार	صحفي	पत्रकार	صُحُفِيّ	N;NOM;MASC;PL;3	ADJ;NOM;INDF;MASC;SG
वस्त्र	نسيج	वस्त्र	نَسِيج	N;NOM;MASC;SG;3	
वस्त्र	ملابس	वस्त्र	مَلبَس	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वस्त्र	الملابس	वस्त्र	مَلبَس	N;NOM;MASC;SG;3	N;NOM;DEF;PL
वस्त्र	المنسوجات	वस्त्र	مَنسُوج	N;NOM;MASC;SG;3	N;NOM;DEF;PL
जानवरों	حيوانات	जानवर	حيوانات	N;ACC;MASC;PL;3	N;NOM;INDF;PL
जानवरों	الحيوانات	जानवर	حَيَوَان	N;ACC;MASC;PL;3	N;NOM;DEF;PL
आगमन	يصل	आगमन	وَصَل	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
मनुष्यों	البشر	मनुष्य	بَشَر	N;ACC;MASC;PL;3	N;NOM;DEF;SG
मनुष्यों	بشر	मनुष्य	بَشَّر	N;ACC;MASC;PL;3	
निष्कर्ष	الحصيلة	निष्कर्ष	حَصِيلَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
निष्कर्ष	الخلاصة	निष्कर्ष	خَلَاصَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
निष्कर्ष	خاتمة	निष्कर्ष	خاتمة	N;NOM;MASC;PL;3	N;NOM;INDF;SG
निष्कर्ष	الخاتمة	निष्कर्ष	خَاتِم	N;NOM;MASC;PL;3	N;NOM;DEF;SG
निष्कर्ष	الختام	निष्कर्ष	خِتَام	N;NOM;MASC;PL;3	N;NOM;DEF;SG
निष्कर्ष	استنتاج	निष्कर्ष	اِستِنتَاج	N;NOM;MASC;PL;3	N;NOM;INDF;SG
निष्कर्ष	الاستنتاج	निष्कर्ष	اِستِنتَاج	N;NOM;MASC;PL;3	N;NOM;DEF;SG
साफ	خال	साफ	خَالِي	ADJ	
साफ	مبين	साफ	مبين	ADJ	
साफ	نظيف	साफ	نظيف	ADJ	
साफ	النظيفة	साफ	نَظِيف	ADJ	N;NOM;DEF;SG
गरम	دافئة	गरम	دَافِئ		ADJ;NOM;INDF;FEM;SG
गरम	دافئ	गरम	دَافِئ		N;NOM;INDF;SG
आवश्यकताओं	المتطلبات	आवश्यकता	مُتَطَلَّبَات	N;ACC;FEM;PL;3	N;NOM;DEF;PL
आवश्यकताओं	متطلبات	आवश्यकता	مُتَطَلَّبَات	N;ACC;FEM;PL;3	N;NOM;INDF;PL
आवश्यकताओं	الاحتياجات	आवश्यकता	اِحتِيَاج	N;ACC;FEM;PL;3	N;NOM;DEF;PL
आवश्यकताओं	الشروط	आवश्यकता	شَرط	N;ACC;FEM;PL;3	N;NOM;DEF;PL
सदा	دايما	सदा	دَايمَا		
सदा	دائما	सदा	دَائِم		ADJ;ACC;INDF;MASC;SG
सदा	دوما	सदा	دَوم		N;ACC;INDF;SG
खड़ा	واقف	खडा	وَاقِف	ADJ;NOM;MASC;SG	
खड़ा	الوقوف	खडा	وُقُوف	ADJ;NOM;MASC;SG	N;NOM;DEF;SG
खड़ा	الراسي	खडा	رَاسِي	ADJ;NOM;MASC;SG	
खड़ा	راسي	खडा	راسي	ADJ;NOM;MASC;SG	
पोस्ट	بوست	पोस्ट	بُوست	N;NOM;FEM;SG;3	
पोस्ट	الوظائف	पोस्ट	وَظِيفَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
पोस्ट	منشورات	पोस्ट	مَنشُور	N;NOM;FEM;SG;3	N;NOM;INDF;PL
पोस्ट	المناصب	पोस्ट	مُنَاصِب	N;NOM;FEM;SG;3	N;NOM;DEF;PL
पोस्ट	المنشورات	पोस्ट	مَنشُور	N;NOM;FEM;SG;3	N;NOM;DEF;PL
मेला	عادل	मेला	عادل	N;NOM;MASC;SG;3	
मेला	عادلة	मेला	عَادِل	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
मेला	عدل	मेला	عدل	N;NOM;MASC;SG;3	
मेला	منصف	मेला	مَنصِف	N;NOM;MASC;SG;3	
लिंग	الجنسانية	लिंग	جِنسَانِيّ		
वायरस	فيروس	वायरस	فَيرُوس	N;NOM;MASC;SG;3	
वायरस	فيرس	वायरस	فَيرَس	N;NOM;MASC;SG;3	
रिचर्ड	ريتشارد	रिचर्ड	رِيتشَارد	PROPN;NOM;MASC;SG;3	
मगर	عدا	मगर	عَدَا	CONJ	
