astronomie	astronomii	astronomie	astronomia	N;FEM;SG	
sylvie	sylvia	sylvie	sylvia	PROPN	N;NOM;FEM;SG
sylvie	sylwia	sylvie	sylwia	PROPN	PROPN;NOM;FEM;SG
sylvie	dawid	sylvie	dawid	PROPN	PROPN;NOM;MASC;SG
sylvie	david	sylvie	david	PROPN	PROPN;NOM;MASC;SG
sylvie	sylvie	sylvie	sylvia	PROPN	V;IPFV;IND;SG;2;FIN;ACT
sylvie	susan	sylvie	susan	PROPN	PROPN;NOM;FEM;SG
sylvie	zuzia	sylvie	zuzia	PROPN	PROPN;NOM;FEM;SG
sylvie	zosia	sylvie	zosia	PROPN	PROPN;NOM;FEM;SG
posthume	pośmiertnie	posthume	pośmiertnie	ADJ;MASC;SG	ADV
posthume	pośmiertnie	posthume	pośmiertnie	ADJ;MASC;SG	ADV
wolfgang	wolfgang	wolfgang	wolfgang	PROPN	N;NOM;MASC;SG
câble	kable	câble	kabeł	N;MASC;SG	N;NOM;MASC;PL
mers	morza	mer	morze	N;FEM;PL	N;GEN;NEUT;SG
lost	zagubiona	lost	zagubić	PROPN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
lost	zagubiony	lost	zagubić	PROPN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
lost	stracił	lost	stracić	PROPN	V;PFV;MASC;IND;SG;PST;FIN;ACT
lost	stracone	lost	stracić	PROPN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
lost	utracone	lost	utracić	PROPN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
johan	johan	johan	johanin	PROPN	PROPN;NOM;MASC;SG
cbs	cbs	cbs	cbs	PROPN	
reconstruit	odtworzone	reconstruire	odtworzyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
figaro	figaro	figaro	figaro	N;MASC;SG	
irlandaise	irlandczycy	irlandais	irlandczyk	ADJ;FEM;SG	N;NOM;MASC;PL
irlandaise	irlandczyk	irlandais	irlandczyk	ADJ;FEM;SG	N;NOM;MASC;SG
boucle	klamry	boucle	klamra	N;FEM;SG	N;ACC;FEM;PL
boucle	pętli	boucle	pętla	N;FEM;SG	
escadre	wing	escadre	wing	N;FEM;SG	
maçonnerie	murarskie	maçonnerie	murarski	N;FEM;SG	ADJ;NOM;NEUT;SG
slovénie	słowenia	slovénie	słowonie	ADJ;FEM;SG	N;NOM;NEUT;SG
piliers	słup	pilier	słup	N;MASC;PL	N;NOM;MASC;SG
piliers	filaru	pilier	filar	N;MASC;PL	N;GEN;MASC;SG
piliers	filar	pilier	filar	N;MASC;PL	N;NOM;MASC;SG
talents	talentu	talent	talent	N;MASC;PL	N;GEN;MASC;SG
talents	talent	talent	talent	N;MASC;PL	N;NOM;MASC;SG
diplomatique	dyplomatycznych	diplomatique	dyplomatyczny	ADJ;MASC;SG	ADJ;GEN;MASC;PL
doux	słodki	doux	słodki	ADJ;MASC;SG	
doux	słodko	doux	słodko	ADJ;MASC;SG	
doux	sweet	doux	sweet	ADJ;MASC;SG	
doux	delikatnie	doux	delikatnie	ADJ;MASC;SG	ADV
doux	łagodne	doux	łagodny	ADJ;MASC;SG	
capables	zdolne	capable	zdolny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
capables	zdolna	capable	zdolny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
capables	zdolny	capable	zdolny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
partagé	udostępnione	partager	udostępnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
partagé	wspólny	partager	wspólny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
partagé	udostępniony	partager	udostępnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
partagé	wspólne	partager	wspólny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
romaines	rzymski	romain	rzymski	ADJ;FEM;PL	ADJ;NOM;MASC;SG
romaines	roman	romain	roman	ADJ;FEM;PL	PROPN;NOM;MASC;SG
romaines	rzymskie	romain	rzymski	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
achevé	zrealizowane	achever	zrealizować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
achevé	zakończone	achever	zakończyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
achevé	zakończona	achever	zakończyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
achevé	zaliczone	achever	zaliczyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
achevé	ukończone	achever	ukończyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
joint	joint	joindre	joint	V;MASC;SG;PST;V.PTCP	
joint	wspólnego	joindre	wspólny	V;MASC;SG;PST;V.PTCP	ADJ;ACC;MASC;SG
joint	wspólny	joindre	wspólny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
joint	wspólna	joindre	wspólny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
vieil	vieil	vieux	vieil	ADJ;MASC;SG	
nigeria	nigerii	nigeria	nigeria	PROPN	
lou	lou	lou	lou		
gaulois	gal	gaulois	gala	ADJ;MASC;SG	
gaulois	galii	gaulois	galia	ADJ;MASC;SG	
gaulois	galowie	gaulois	galowo	ADJ;MASC;SG	
émilie	émilie	émilie	hmili	PROPN	
émilie	emilia	émilie	emilia	PROPN	PROPN;NOM;FEM;SG
émilie	emilie	émilie	emilia	PROPN	PROPN;NOM;FEM;SG
émilie	emily	émilie	emil	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
convaincu	przekonany	convaincre	przekonany	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
convaincu	przekonani	convaincre	przekonać	V;MASC;SG;PST;V.PTCP	V;PFV;IND;PL;PRS;FIN;ACT
nacional	nacional	nacional	nacional	PROPN	PROPN;NOM;MASC;SG
malades	chora	malade	chory	N;MASC;PL	ADJ;NOM;FEM;SG
malades	chory	malade	chory	N;MASC;PL	V;IPFV;MASC;IND;SG;PST;FIN;ACT
malades	chore	malade	chory	N;MASC;PL	
malades	chora	malade	chory	N;MASC;PL	ADJ;NOM;FEM;SG
malades	chory	malade	chory	N;MASC;PL	V;IPFV;MASC;IND;SG;PST;FIN;ACT
leonard	leonarda	leonard	leonard	PROPN	
leonard	leonard	leonard	leonard	PROPN	N;NOM;MASC;SG
hainaut	hainaut	hainer	hainaut	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
inspirée	inspiracja	inspirer	inspiracja	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG
inspirée	zainspirowany	inspirer	zainspirować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
inspirée	inspirujące	inspirer	inspirować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
dérive	drift	dérive	drift	N;FEM;SG	
égyptien	egipcjanie	égyptien	egipcjanin	ADJ;MASC;SG	N;NOM;MASC;PL
tort	źle	tort	źle	N;MASC;SG	ADV
hms	hms	hm	hmsieć	N;MASC;SG	
avantages	korzyści	avantage	korzyść	N;MASC;PL	N;ACC;FEM;SG
avantages	zalet	avantage	zalet	N;MASC;PL	
avantages	korzyści	avantage	korzyść	N;MASC;PL	N;ACC;FEM;SG
avantages	świadczenia	avantage	świadczenie	N;MASC;PL	N;GEN;NEUT;SG
keith	keitha	keith	keitha	PROPN	N;ACC;MASC;SG
keith	keith	keith	keith	PROPN	PROPN;NOM;MASC;SG
dommages	zniszczenia	dommage	zniszczyć	N;MASC;PL	N;NOM;NEUT;SG
dommages	uszkodzenie	dommage	uszkodzić	N;MASC;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
dommages	szkody	dommage	szkoda	N;MASC;PL	
dommages	uszkodzenia	dommage	uszkodzenie	N;MASC;PL	N;NOM;NEUT;SG
dommages	szkody	dommage	szkoda	N;MASC;PL	
dommages	odszkodowanie	dommage	odszkodowanie	N;MASC;PL	N;NOM;NEUT;SG
eglise	church	eglise	chury	N;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
organique	organicznych	organique	organiczny	ADJ;MASC;SG	ADJ;GEN;MASC;PL
impôt	podatki	impôt	podatek	N;MASC;SG	N;NOM;MASC;PL
impôt	podatki	impôt	podatek	N;MASC;SG	N;NOM;MASC;PL
vengeance	zemsta	vengeance	zemsta	N;FEM;SG	
vengeance	zemsty	vengeance	zemsta	N;FEM;SG	
vengeance	zemsta	vengeance	zemsta	N;FEM;SG	
vengeance	zemsty	vengeance	zemsta	N;FEM;SG	
vengeance	zemsta	vengeance	zemsta	N;FEM;SG	
violoncelle	wiolonczeli	violoncelle	wiolonczeny	N;MASC;SG	V;PFV;MASC;IND;PL;PST;FIN;ACT
impliqué	zaangażowane	impliquer	zaangażowany	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
impliqué	zaangażowana	impliquer	zaangażować	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
impliqué	zaangażowany	impliquer	zaangażować	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
ancêtre	przodków	ancêtre	przodek	N;MASC;SG	N;ACC;MASC;PL
ancêtre	przodkowie	ancêtre	przodek	N;MASC;SG	N;NOM;MASC;PL
memorial	memorial	memorial	memorial	PROPN	N;NOM;MASC;SG
memorial	pomnik	memorial	pomnik	PROPN	N;ACC;MASC;SG
sfondo	sfondo	sfondo	sfondo	PROPN	
stage	praktyki	stage	praktyka	N;MASC;SG	N;ACC;FEM;PL
bros	bracia	bros	brat	PROPN	N;NOM;MASC;PL
bros	bros	bros	bros	PROPN	
nasa	nasa	nasa	nas	N;FEM;SG	PROPN;NOM;MASC;SG
mensuel	miesięcznie	mensuel	miesięcznie	ADJ;MASC;SG	ADV
équipée	zamontowane	équiper	zamontować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
équipée	zamontowany	équiper	zamontować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
équipée	wyposażone	équiper	wyposażyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
équipée	wyposażony	équiper	wyposażyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
équipée	wyposażona	équiper	wyposażyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
dakar	dakar	dakar	dakar	PROPN	N;NOM;MASC;SG
profond	głęboko	profond	głęboko	ADJ;MASC;SG	ADV
profond	deep	profond	deep	ADJ;MASC;SG	
spécialisés	wyspecjalizowane	spécialiser	wyspecjalizować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
spécialisés	specjalistyczne	spécialiser	specjalistyczny	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
spécialisés	wyspecjalizowanych	spécialiser	wyspecjalizować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;GEN;MASC;PL;POS;V.PTCP;PASS
spécialisés	wyspecjalizowane	spécialiser	wyspecjalizować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
spécialisés	specjalistyczne	spécialiser	specjalistyczny	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
systématiquement	systematyczny	systématiquement	systematyczny	ADV	ADJ;NOM;MASC;SG
systématiquement	systematyczne	systématiquement	systematyczny	ADV	ADJ;NOM;NEUT;SG
protéines	białko	protéine	białko	N;FEM;PL	
protéines	białka	protéine	białko	N;FEM;PL	N;ACC;NEUT;SG
protéines	białek	protéine	białek	N;FEM;PL	
protéines	białka	protéine	białko	N;FEM;PL	N;ACC;NEUT;SG
récent	niedawno	récent	niedawno	ADJ;MASC;SG	ADV
récent	ostatnio	récent	ostatnio	ADJ;MASC;SG	ADV
récent	niedawno	récent	niedawno	ADJ;MASC;SG	ADV
récent	ostatnich	récent	ostatni	ADJ;MASC;SG	ADJ;GEN;MASC;PL
récent	ostatnio	récent	ostatnio	ADJ;MASC;SG	ADV
hollandais	dutch	hollandais	dutch	ADJ;MASC;SG	PROPN;NOM;MASC;SG
attentats	atakuje	attentat	atakować	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
intéressé	zainteresowanych	intéresser	zainteresować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
intéressé	zainteresowane	intéresser	zainteresować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
intéressé	zainteresowani	intéresser	zainteresować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
intéressé	zainteresowana	intéresser	zainteresować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
intéressé	zainteresowany	intéresser	zainteresować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
betty	betty	betty	betty	INTJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
haye	hadze	haye	haga	N;FEM;SG	
rochefort	rochefort	rochefort	rochefort	N;MASC;SG	PROPN;NOM;MASC;SG
assurée	ubezpieczony	assurer	ubezpieczyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
assurée	zapewniona	assurer	zapewnić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
assurée	zapewnione	assurer	zapewnić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
assurée	zapewniony	assurer	zapewnić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
martinique	martyniki	martinique	martynika	ADJ;MASC;SG	
esp	pse	esp	pies		
esp	pil	esp	pil		V;IPFV;IND;SG;PST;FIN;ACT
esp	esp	esp	espy		
mathématique	matematyka	mathématique	matematyka	ADJ;MASC;SG	N;NOM;FEM;SG
mathématique	matematyki	mathématique	matematyk	ADJ;MASC;SG	N;GEN;FEM;SG
mathématique	matematyka	mathématique	matematyka	ADJ;MASC;SG	N;NOM;FEM;SG
mathématique	matematykę	mathématique	matematyka	ADJ;MASC;SG	N;ACC;FEM;SG
mathématique	matematyki	mathématique	matematyk	ADJ;MASC;SG	N;GEN;FEM;SG
mathématique	matematyka	mathématique	matematyka	ADJ;MASC;SG	N;NOM;FEM;SG
ita	ita	ita	ita		V;IPFV;IMP;SG;2;FIN;ACT
gonzález	gonzález	gonzáler	gonzól	PROPN	PROPN;NOM;MASC;SG
gonzález	gonzalez	gonzáler	gonzalez	PROPN	N;NOM;MASC;SG
wikidata	wikidane	wikidata	wikidać	N;MASC;SG	
dialogues	dialogu	dialogue	dialog	N;MASC;PL	N;GEN;MASC;SG
dialogues	dialog	dialogue	dialog	N;MASC;PL	N;NOM;MASC;SG
appliquée	stosowane	appliquer	stosować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
appliquée	zastosowane	appliquer	zastosować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
appliquée	stosowana	appliquer	stosować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
appliquée	zastosowana	appliquer	zastosować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
appliquée	zastosowany	appliquer	zastosować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
passes	przechodzi	passe	przechodzić	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
passes	przemija	passe	przemijać	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
passes	mija	passe	mijać	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
mesurer	pomiar	mesurer	pomiar	V;NFIN	N;NOM;MASC;SG
mesurer	pomiary	mesurer	pomiar	V;NFIN	N;NOM;MASC;PL
mesurer	pomiaru	mesurer	pomiar	V;NFIN	N;GEN;MASC;SG
mesurer	pomiar	mesurer	pomiar	V;NFIN	N;NOM;MASC;SG
mesurer	wycena	mesurer	wycenać	V;NFIN	N;NOM;FEM;SG
mesurer	pomiaru	mesurer	pomiar	V;NFIN	N;GEN;MASC;SG
mesurer	pomiary	mesurer	pomiar	V;NFIN	N;NOM;MASC;PL
mesurer	środek	mesurer	środek	V;NFIN	N;NOM;MASC;SG
mesurer	środka	mesurer	środek	V;NFIN	N;GEN;MASC;SG
mesurer	miara	mesurer	miara	V;NFIN	N;NOM;FEM;SG
mesurer	miary	mesurer	miara	V;NFIN	
joachim	joachim	joachim	joachić	PROPN	PROPN;NOM;MASC;SG
sèvres	sèvres	sèvre	sèvres	N;FEM;PL	
gallois	welsh	gallois	welsh	ADJ;MASC;SG	
jupiter	jowisz	jupiter	jowić	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
jupiter	jowisza	jupiter	jowiszo	PROPN	N;ACC;MASC;SG
wwe	wwe	wwe	wwać	PROPN	
grace	grace	grace	graka	N;FEM;SG	
marianne	marian	marianne	marianin	ADJ;FEM;SG	PROPN;NOM;MASC;SG
bohême	czechy	bohême	czech	ADJ;MASC;SG	
bohême	bohemian	bohême	bohemianin	ADJ;MASC;SG	
sidi	sidi	sidi	sidić	PROPN	
paire	pary	paire	para	N;FEM;SG	
paire	para	paire	para	N;FEM;SG	
console	konsoli	console	konsoli	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
santos	santos	santo	santos	PROPN	PROPN;NOM;MASC;SG
tombes	graves	tombe	graves	N;FEM;PL	
tombes	grobie	tombe	grób	N;FEM;PL	N;DAT;MASC;SG
tombes	nagrobek	tombe	nagrobek	N;FEM;PL	N;ACC;MASC;SG
tombes	grób	tombe	grób	N;FEM;PL	N;ACC;MASC;SG
tombes	grobowiec	tombe	grobowiec	N;FEM;PL	N;NOM;MASC;SG
adolf	adolf	adolf	adolf	PROPN	PROPN;NOM;MASC;SG
récents	niedawno	récent	niedawno	ADJ;MASC;PL	ADV
récents	najnowsze	récent	nowy	ADJ;MASC;PL	ADJ;NOM;CMPR;MASC;SG
récents	ostatnie	récent	ostatni	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
récents	ostatnio	récent	ostatnio	ADJ;MASC;PL	ADV
réservoir	tank	réservoir	tank	N;MASC;SG	
approfondir	pogłębienia	approfondir	pogłębienie	V;NFIN	N;GEN;NEUT;SG
approfondir	pogłębienia	approfondir	pogłębienie	V;NFIN	N;GEN;NEUT;SG
transformée	przekształcone	transformer	przekształcić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
linda	linda	linda	linda	PROPN	PROPN;NOM;FEM;SG
linda	lindo	linda	lindo	PROPN	V;IPFV;IMP;SG;2;FIN;ACT
élevés	podwyższone	élevé	podwyższyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
élevés	podniesiony	élevé	podnieść	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
utiles	użyteczny	utile	użyteczny	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS;V.PTCP;PASS
utiles	przydatne	utile	przydatny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
utiles	użyteczne	utile	użyteczny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
utiles	przydatny	utile	przydatny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
utiles	przydatna	utile	przydatny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
utiles	przydatna	utile	przydatny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
utiles	pomocny	utile	pomocny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
utiles	pomocna	utile	pomocny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
utiles	pomocne	utile	pomocny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
glasgow	glasgow	glasgow	glasg	PROPN	PROPN;NOM;MASC;SG
écoute	słucham	écoute	słuchać	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
écoute	posłuchaj	écoute	posłuchać	N;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
écoute	słuchaj	écoute	słuchać	N;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
harrison	harrisona	harrison	harrison	PROPN	
harrison	harrison	harrison	harrison	PROPN	
wallonie	wallonie	wallonie	wallon	N;FEM;SG	
wallonie	walonii	wallonie	walonia	N;FEM;SG	
représentés	reprezentował	représenter	reprezentować	V;MASC;PL;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
représentés	reprezentowane	représenter	reprezentować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
représentés	reprezentowany	représenter	reprezentować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
représentés	reprezentowana	représenter	reprezentować	V;MASC;PL;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
anneaux	pierścienie	anneau	pierścienie	N;MASC;PL	N;NOM;NEUT;SG
cyr	cyr	cyr	cyr	N;MASC;SG	
sentier	ścieżki	sentier	ścieżka	N;MASC;SG	N;ACC;FEM;PL
croisade	krucjaty	croisade	krucjata	N;FEM;SG	N;ACC;FEM;PL
parisiens	paryżan	parisien	paryżan	ADJ;MASC;PL	
parisiens	parisiens	parisien	parisiens	ADJ;MASC;PL	
parisiens	paryskiej	parisien	paryski	ADJ;MASC;PL	ADJ;GEN;FEM;SG
qualifiée	wykwalifikowanych	qualifier	wykwalikowikować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
qualifiée	wykwalifikowany	qualifier	wykwalikowikować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
qualifiée	kwalifikacje	qualifier	kwalifikacja	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;PL
qualifiée	kwalifikowaną	qualifier	kwalifokować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;ACC;FEM;SG;POS;V.PTCP;PASS
qualifiée	wykwalifikowany	qualifier	wykwalikowikować	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
fifa	fifa	fif	fifa	N;FEM;SG	
finance	finanse	finance	finans	N;FEM;SG	
finance	finansów	finance	finanse	N;FEM;SG	
finance	finanse	finance	finans	N;FEM;SG	
vedette	star	vedette	star	N;FEM;SG	
vedette	gwiezdne	vedette	gwiezdny	N;FEM;SG	
vedette	gwiazdy	vedette	gwiazda	N;FEM;SG	N;ACC;FEM;PL
vedette	wyświetlane	vedette	wyświetlać	N;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
vedette	prezentowane	vedette	prezentować	N;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
vedette	polecane	vedette	polecać	N;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
vedette	rekomendowane	vedette	rekomendować	N;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
critère	kryteria	critère	kryterium	N;MASC;SG	N;NOM;NEUT;PL
inédit	niepublikowanych	inédit	upublikować	ADJ;MASC;SG	ADJ;GEN;MASC;PL
inédit	unreleased	inédit	unreleased	ADJ;MASC;SG	
stanislas	stanislas	stanislas	stanislas	PROPN	PROPN;NOM;MASC;SG
tensions	napięcia	tension	napięcie	N;FEM;PL	N;GEN;NEUT;SG
tensions	napięcie	tension	napięcie	N;FEM;PL	N;NOM;NEUT;SG
lucie	lucie	lucie	luto	PROPN	PROPN;NOM;FEM;SG
lucie	lucy	lucie	lucy	PROPN	
lucie	lucia	lucie	lucia	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
rica	rica	rica	rica	PROPN	
casse	przerw	casse	przerw	N;FEM;SG	N;GEN;FEM;PL
casse	przerwy	casse	przerwa	N;FEM;SG	
casse	łamie	casse	łamać	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
casse	pęka	casse	pękać	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
casse	casse	casse	cassy	N;FEM;SG	
bête	bestia	bête	bestia	ADJ;FEM;SG	N;NOM;FEM;SG
bête	bestii	bête	bestia	ADJ;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
bête	bestie	bête	być	ADJ;FEM;SG	N;NOM;MASC;PL
impôts	podatek	impôt	podatek	N;MASC;PL	N;ACC;MASC;SG
brigitte	bridget	brigitte	bridget	N;FEM;SG	
brigitte	brigitte	brigitte	brigitty	N;FEM;SG	
pattes	nóżki	patte	nóżka	N;FEM;PL	
pattes	nóg	patte	noga	N;FEM;PL	
adapter	przystosowanie	adapter	przystosowanie	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
disparaître	znikający	disparaître	znikać	V;NFIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
disparaître	zniknięcie	disparaître	zniknięcie	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
disparaître	zniknięcie	disparaître	zniknięcie	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
verbe	czasownik	verbe	czasownik	N;MASC;SG	
bull	byka	bull	byk	PROPN	N;ACC;MASC;SG
bull	byk	bull	byk	PROPN	N;NOM;MASC;SG
bull	bull	bull	bull	PROPN	
reconstruite	odtworzone	reconstruire	odtworzyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
adopter	przyjmująca	adopter	przyjmujący	V;NFIN	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
craig	craig	craig	craig	PROPN	PROPN;NOM;MASC;SG
craig	craiga	craig	craiga	PROPN	N;ACC;MASC;SG
évalué	oceniony	évaluer	ocenić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
évalué	oceniony	évaluer	ocenić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
évalué	ocenione	évaluer	ocenić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
évalué	oceniane	évaluer	oceniać	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
évalué	znamionowej	évaluer	znamionowy	V;MASC;SG;PST;V.PTCP	ADJ;GEN;FEM;SG
